"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","4281","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4288","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","8944","0.0-2.0-0.0","","","","","4654","{""name"":""张小雨"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","10416","0.0-2.0-1.0","","","","","1471","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","11496","0.0-3.0","","","","","1077"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","17616","0.0-4.0","","","","","","","","","1472","","","","","","","","","","","","","","","","",""
"","html-button-response","6","18840","0.0-5.0-0.0","","","","","1221","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","30174","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","32296","0.0-5.0-2.0","","","","","2122","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","50136","0.0-5.0-3.0","","","","","","","","","","[[{""x"":429,""y"":450,""dx"":-62,""dy"":169,""t"":989},{""x"":424,""y"":462,""dx"":-67,""dy"":181,""t"":1022},{""x"":456,""y"":453,""dx"":-35,""dy"":172,""t"":1058},{""x"":465,""y"":441,""dx"":-26,""dy"":160,""t"":1092},{""x"":482,""y"":459,""dx"":-9,""dy"":178,""t"":1127},{""x"":475,""y"":462,""dx"":-16,""dy"":181,""t"":1159},{""x"":494,""y"":451,""dx"":3,""dy"":170,""t"":1194},{""x"":505,""y"":464,""dx"":14,""dy"":183,""t"":1228},{""x"":497,""y"":461,""dx"":6,""dy"":180,""t"":1262},{""x"":489,""y"":431,""dx"":-2,""dy"":150,""t"":1298},{""x"":492,""y"":418,""dx"":1,""dy"":137,""t"":1330},{""x"":502,""y"":385,""dx"":11,""dy"":104,""t"":1364},{""x"":499,""y"":389,""dx"":8,""dy"":108,""t"":1397},{""x"":496,""y"":393,""dx"":5,""dy"":112,""t"":1429},{""x"":505,""y"":409,""dx"":14,""dy"":128,""t"":1466},{""x"":527,""y"":430,""dx"":36,""dy"":149,""t"":1501},{""x"":521,""y"":398,""dx"":30,""dy"":117,""t"":1535},{""x"":519,""y"":403,""dx"":28,""dy"":122,""t"":1568},{""x"":496,""y"":376,""dx"":5,""dy"":95,""t"":1602},{""x"":512,""y"":347,""dx"":21,""dy"":66,""t"":1636},{""x"":533,""y"":350,""dx"":42,""dy"":69,""t"":1670},{""x"":512,""y"":380,""dx"":21,""dy"":99,""t"":1705},{""x"":523,""y"":387,""dx"":32,""dy"":106,""t"":1738},{""x"":497,""y"":398,""dx"":6,""dy"":117,""t"":1772},{""x"":516,""y"":400,""dx"":25,""dy"":119,""t"":1805},{""x"":517,""y"":419,""dx"":26,""dy"":138,""t"":1840},{""x"":525,""y"":423,""dx"":34,""dy"":142,""t"":1874},{""x"":539,""y"":423,""dx"":48,""dy"":142,""t"":1909},{""x"":526,""y"":449,""dx"":35,""dy"":168,""t"":1942},{""x"":520,""y"":433,""dx"":29,""dy"":152,""t"":1977},{""x"":496,""y"":412,""dx"":5,""dy"":131,""t"":2010},{""x"":490,""y"":423,""dx"":-1,""dy"":142,""t"":2044},{""x"":485,""y"":408,""dx"":-6,""dy"":127,""t"":2077},{""x"":475,""y"":429,""dx"":-16,""dy"":148,""t"":2113},{""x"":493,""y"":430,""dx"":2,""dy"":149,""t"":2146},{""x"":490,""y"":442,""dx"":-1,""dy"":161,""t"":2180},{""x"":493,""y"":459,""dx"":2,""dy"":178,""t"":2214},{""x"":493,""y"":461,""dx"":2,""dy"":180,""t"":2248},{""x"":490,""y"":450,""dx"":-1,""dy"":169,""t"":2282},{""x"":530,""y"":430,""dx"":39,""dy"":149,""t"":2317},{""x"":546,""y"":424,""dx"":55,""dy"":143,""t"":2350},{""x"":550,""y"":426,""dx"":59,""dy"":145,""t"":2384},{""x"":561,""y"":411,""dx"":70,""dy"":130,""t"":2418},{""x"":554,""y"":428,""dx"":63,""dy"":147,""t"":2452},{""x"":550,""y"":440,""dx"":59,""dy"":159,""t"":2486},{""x"":548,""y"":448,""dx"":57,""dy"":167,""t"":2519},{""x"":558,""y"":448,""dx"":67,""dy"":167,""t"":2554},{""x"":539,""y"":481,""dx"":48,""dy"":200,""t"":2588},{""x"":522,""y"":508,""dx"":31,""dy"":227,""t"":2620},{""x"":536,""y"":524,""dx"":45,""dy"":243,""t"":2656},{""x"":538,""y"":515,""dx"":47,""dy"":234,""t"":2690},{""x"":548,""y"":530,""dx"":57,""dy"":249,""t"":2723},{""x"":537,""y"":524,""dx"":46,""dy"":243,""t"":2757},{""x"":543,""y"":504,""dx"":52,""dy"":223,""t"":2793},{""x"":538,""y"":504,""dx"":47,""dy"":223,""t"":2826},{""x"":539,""y"":494,""dx"":48,""dy"":213,""t"":2859},{""x"":518,""y"":476,""dx"":27,""dy"":195,""t"":2894},{""x"":544,""y"":455,""dx"":53,""dy"":174,""t"":2928},{""x"":656,""y"":449,""dx"":165,""dy"":168,""t"":2962}],[{""x"":1467,""y"":474,""dx"":16,""dy"":193,""t"":3983},{""x"":1492,""y"":485,""dx"":41,""dy"":204,""t"":4017},{""x"":1481,""y"":463,""dx"":30,""dy"":182,""t"":4050},{""x"":1508,""y"":469,""dx"":57,""dy"":188,""t"":4084},{""x"":1499,""y"":473,""dx"":48,""dy"":192,""t"":4118},{""x"":1504,""y"":460,""dx"":53,""dy"":179,""t"":4152},{""x"":1508,""y"":449,""dx"":57,""dy"":168,""t"":4185},{""x"":1510,""y"":465,""dx"":59,""dy"":184,""t"":4221},{""x"":1531,""y"":458,""dx"":80,""dy"":177,""t"":4254},{""x"":1514,""y"":416,""dx"":63,""dy"":135,""t"":4287},{""x"":1524,""y"":420,""dx"":73,""dy"":139,""t"":4322},{""x"":1507,""y"":455,""dx"":56,""dy"":174,""t"":4356},{""x"":1515,""y"":481,""dx"":64,""dy"":200,""t"":4390},{""x"":1494,""y"":488,""dx"":43,""dy"":207,""t"":4424},{""x"":1456,""y"":479,""dx"":5,""dy"":198,""t"":4459},{""x"":1452,""y"":489,""dx"":1,""dy"":208,""t"":4493},{""x"":1438,""y"":520,""dx"":-13,""dy"":239,""t"":4525},{""x"":1467,""y"":512,""dx"":16,""dy"":231,""t"":4560},{""x"":1493,""y"":505,""dx"":42,""dy"":224,""t"":4592},{""x"":1499,""y"":527,""dx"":48,""dy"":246,""t"":4628},{""x"":1480,""y"":526,""dx"":29,""dy"":245,""t"":4662},{""x"":1510,""y"":504,""dx"":59,""dy"":223,""t"":4696},{""x"":1478,""y"":510,""dx"":27,""dy"":229,""t"":4730},{""x"":1473,""y"":507,""dx"":22,""dy"":226,""t"":4764},{""x"":1511,""y"":515,""dx"":60,""dy"":234,""t"":4798},{""x"":1509,""y"":514,""dx"":58,""dy"":233,""t"":4832},{""x"":1509,""y"":509,""dx"":58,""dy"":228,""t"":4866},{""x"":1490,""y"":526,""dx"":39,""dy"":245,""t"":4900},{""x"":1479,""y"":451,""dx"":28,""dy"":170,""t"":4934},{""x"":1494,""y"":436,""dx"":43,""dy"":155,""t"":4969},{""x"":1483,""y"":450,""dx"":32,""dy"":169,""t"":5003},{""x"":1477,""y"":454,""dx"":26,""dy"":173,""t"":5036},{""x"":1475,""y"":490,""dx"":24,""dy"":209,""t"":5070},{""x"":1484,""y"":513,""dx"":33,""dy"":232,""t"":5104},{""x"":1460,""y"":556,""dx"":9,""dy"":275,""t"":5137},{""x"":1462,""y"":547,""dx"":11,""dy"":266,""t"":5171},{""x"":1457,""y"":531,""dx"":6,""dy"":250,""t"":5205},{""x"":1462,""y"":503,""dx"":11,""dy"":222,""t"":5240},{""x"":1466,""y"":524,""dx"":15,""dy"":243,""t"":5274},{""x"":1474,""y"":514,""dx"":23,""dy"":233,""t"":5308},{""x"":1481,""y"":545,""dx"":30,""dy"":264,""t"":5342},{""x"":1478,""y"":563,""dx"":27,""dy"":282,""t"":5376},{""x"":1444,""y"":563,""dx"":-7,""dy"":282,""t"":5410},{""x"":1429,""y"":582,""dx"":-22,""dy"":301,""t"":5443},{""x"":1422,""y"":569,""dx"":-29,""dy"":288,""t"":5477},{""x"":1473,""y"":490,""dx"":22,""dy"":209,""t"":5512},{""x"":1484,""y"":496,""dx"":33,""dy"":215,""t"":5546},{""x"":1487,""y"":512,""dx"":36,""dy"":231,""t"":5579},{""x"":1486,""y"":521,""dx"":35,""dy"":240,""t"":5613},{""x"":1483,""y"":548,""dx"":32,""dy"":267,""t"":5649},{""x"":1453,""y"":577,""dx"":2,""dy"":296,""t"":5682},{""x"":1447,""y"":608,""dx"":-4,""dy"":327,""t"":5717},{""x"":1460,""y"":621,""dx"":9,""dy"":340,""t"":5750},{""x"":1450,""y"":618,""dx"":-1,""dy"":337,""t"":5784},{""x"":1453,""y"":610,""dx"":2,""dy"":329,""t"":5819},{""x"":1466,""y"":613,""dx"":15,""dy"":332,""t"":5852},{""x"":1480,""y"":580,""dx"":29,""dy"":299,""t"":5887},{""x"":1505,""y"":536,""dx"":54,""dy"":255,""t"":5921},{""x"":1484,""y"":518,""dx"":33,""dy"":237,""t"":5954},{""x"":1495,""y"":550,""dx"":44,""dy"":269,""t"":5987}],[{""x"":932,""y"":507,""dx"":-39,""dy"":-44,""t"":7008},{""x"":861,""y"":576,""dx"":-110,""dy"":25,""t"":7042},{""x"":848,""y"":628,""dx"":-123,""dy"":77,""t"":7076},{""x"":808,""y"":672,""dx"":-163,""dy"":121,""t"":7110},{""x"":852,""y"":684,""dx"":-119,""dy"":133,""t"":7144},{""x"":882,""y"":682,""dx"":-89,""dy"":131,""t"":7177},{""x"":911,""y"":636,""dx"":-60,""dy"":85,""t"":7212},{""x"":926,""y"":644,""dx"":-45,""dy"":93,""t"":7246},{""x"":941,""y"":626,""dx"":-30,""dy"":75,""t"":7280},{""x"":966,""y"":560,""dx"":-5,""dy"":9,""t"":7315},{""x"":974,""y"":546,""dx"":3,""dy"":-5,""t"":7348},{""x"":1017,""y"":527,""dx"":46,""dy"":-24,""t"":7382},{""x"":1041,""y"":492,""dx"":70,""dy"":-59,""t"":7417},{""x"":1068,""y"":449,""dx"":97,""dy"":-102,""t"":7449},{""x"":1095,""y"":449,""dx"":124,""dy"":-102,""t"":7483},{""x"":1067,""y"":475,""dx"":96,""dy"":-76,""t"":7517},{""x"":1066,""y"":458,""dx"":95,""dy"":-93,""t"":7552},{""x"":1050,""y"":438,""dx"":79,""dy"":-113,""t"":7586},{""x"":1049,""y"":433,""dx"":78,""dy"":-118,""t"":7619},{""x"":1015,""y"":515,""dx"":44,""dy"":-36,""t"":7654},{""x"":985,""y"":575,""dx"":14,""dy"":24,""t"":7688},{""x"":979,""y"":542,""dx"":8,""dy"":-9,""t"":7722},{""x"":982,""y"":471,""dx"":11,""dy"":-80,""t"":7753},{""x"":955,""y"":524,""dx"":-16,""dy"":-27,""t"":7790},{""x"":940,""y"":483,""dx"":-31,""dy"":-68,""t"":7824},{""x"":931,""y"":536,""dx"":-40,""dy"":-15,""t"":7857},{""x"":920,""y"":506,""dx"":-51,""dy"":-45,""t"":7892},{""x"":908,""y"":431,""dx"":-63,""dy"":-120,""t"":7926},{""x"":930,""y"":427,""dx"":-41,""dy"":-124,""t"":7959},{""x"":938,""y"":418,""dx"":-33,""dy"":-133,""t"":7995},{""x"":989,""y"":396,""dx"":18,""dy"":-155,""t"":8027},{""x"":1005,""y"":375,""dx"":34,""dy"":-176,""t"":8062},{""x"":996,""y"":409,""dx"":25,""dy"":-142,""t"":8096},{""x"":995,""y"":407,""dx"":24,""dy"":-144,""t"":8129},{""x"":995,""y"":407,""dx"":24,""dy"":-144,""t"":8162},{""x"":1005,""y"":400,""dx"":34,""dy"":-151,""t"":8198},{""x"":1037,""y"":391,""dx"":66,""dy"":-160,""t"":8232},{""x"":1026,""y"":401,""dx"":55,""dy"":-150,""t"":8266},{""x"":1028,""y"":407,""dx"":57,""dy"":-144,""t"":8300},{""x"":1027,""y"":411,""dx"":56,""dy"":-140,""t"":8334},{""x"":1009,""y"":440,""dx"":38,""dy"":-111,""t"":8368},{""x"":1026,""y"":437,""dx"":55,""dy"":-114,""t"":8402},{""x"":1018,""y"":432,""dx"":47,""dy"":-119,""t"":8436},{""x"":1009,""y"":455,""dx"":38,""dy"":-96,""t"":8470},{""x"":1017,""y"":416,""dx"":46,""dy"":-135,""t"":8504},{""x"":996,""y"":424,""dx"":25,""dy"":-127,""t"":8537},{""x"":965,""y"":416,""dx"":-6,""dy"":-135,""t"":8572},{""x"":961,""y"":439,""dx"":-10,""dy"":-112,""t"":8605},{""x"":969,""y"":465,""dx"":-2,""dy"":-86,""t"":8641},{""x"":962,""y"":476,""dx"":-9,""dy"":-75,""t"":8674},{""x"":983,""y"":427,""dx"":12,""dy"":-124,""t"":8708},{""x"":935,""y"":450,""dx"":-36,""dy"":-101,""t"":8742},{""x"":874,""y"":526,""dx"":-97,""dy"":-25,""t"":8776},{""x"":788,""y"":580,""dx"":-183,""dy"":29,""t"":8849},{""x"":707,""y"":622,""dx"":-264,""dy"":71,""t"":8877},{""x"":653,""y"":665,""dx"":-318,""dy"":114,""t"":8911},{""x"":641,""y"":673,""dx"":-330,""dy"":122,""t"":8947},{""x"":624,""y"":664,""dx"":-347,""dy"":113,""t"":8980}],[{""x"":674,""y"":643,""dx"":183,""dy"":-178,""t"":10000},{""x"":671,""y"":617,""dx"":180,""dy"":-204,""t"":10035},{""x"":673,""y"":626,""dx"":182,""dy"":-195,""t"":10068},{""x"":645,""y"":632,""dx"":154,""dy"":-189,""t"":10102},{""x"":646,""y"":622,""dx"":155,""dy"":-199,""t"":10136},{""x"":664,""y"":633,""dx"":173,""dy"":-188,""t"":10171},{""x"":654,""y"":639,""dx"":163,""dy"":-182,""t"":10204},{""x"":650,""y"":652,""dx"":159,""dy"":-169,""t"":10238},{""x"":639,""y"":662,""dx"":148,""dy"":-159,""t"":10271},{""x"":626,""y"":665,""dx"":135,""dy"":-156,""t"":10306},{""x"":620,""y"":669,""dx"":129,""dy"":-152,""t"":10340},{""x"":608,""y"":671,""dx"":117,""dy"":-150,""t"":10374},{""x"":600,""y"":643,""dx"":109,""dy"":-178,""t"":10408},{""x"":584,""y"":650,""dx"":93,""dy"":-171,""t"":10442},{""x"":567,""y"":649,""dx"":76,""dy"":-172,""t"":10477},{""x"":539,""y"":653,""dx"":48,""dy"":-168,""t"":10510},{""x"":536,""y"":649,""dx"":45,""dy"":-172,""t"":10544},{""x"":565,""y"":655,""dx"":74,""dy"":-166,""t"":10578},{""x"":544,""y"":671,""dx"":53,""dy"":-150,""t"":10612},{""x"":563,""y"":672,""dx"":72,""dy"":-149,""t"":10646},{""x"":570,""y"":667,""dx"":79,""dy"":-154,""t"":10681},{""x"":558,""y"":677,""dx"":67,""dy"":-144,""t"":10714},{""x"":584,""y"":690,""dx"":93,""dy"":-131,""t"":10748},{""x"":561,""y"":687,""dx"":70,""dy"":-134,""t"":10782},{""x"":574,""y"":693,""dx"":83,""dy"":-128,""t"":10816},{""x"":576,""y"":698,""dx"":85,""dy"":-123,""t"":10849},{""x"":577,""y"":692,""dx"":86,""dy"":-129,""t"":10883},{""x"":575,""y"":699,""dx"":84,""dy"":-122,""t"":10919},{""x"":581,""y"":708,""dx"":90,""dy"":-113,""t"":10952},{""x"":600,""y"":733,""dx"":109,""dy"":-88,""t"":10987},{""x"":584,""y"":737,""dx"":93,""dy"":-84,""t"":11020},{""x"":601,""y"":732,""dx"":110,""dy"":-89,""t"":11054},{""x"":596,""y"":727,""dx"":105,""dy"":-94,""t"":11088},{""x"":612,""y"":707,""dx"":121,""dy"":-114,""t"":11122},{""x"":594,""y"":705,""dx"":103,""dy"":-116,""t"":11156},{""x"":583,""y"":696,""dx"":92,""dy"":-125,""t"":11190},{""x"":557,""y"":721,""dx"":66,""dy"":-100,""t"":11223},{""x"":545,""y"":708,""dx"":54,""dy"":-113,""t"":11260},{""x"":567,""y"":713,""dx"":76,""dy"":-108,""t"":11292},{""x"":570,""y"":712,""dx"":79,""dy"":-109,""t"":11323},{""x"":564,""y"":694,""dx"":73,""dy"":-127,""t"":11359},{""x"":591,""y"":706,""dx"":100,""dy"":-115,""t"":11394},{""x"":606,""y"":697,""dx"":115,""dy"":-124,""t"":11428},{""x"":608,""y"":677,""dx"":117,""dy"":-144,""t"":11462},{""x"":621,""y"":669,""dx"":130,""dy"":-152,""t"":11496},{""x"":609,""y"":681,""dx"":118,""dy"":-140,""t"":11530},{""x"":608,""y"":692,""dx"":117,""dy"":-129,""t"":11564},{""x"":586,""y"":705,""dx"":95,""dy"":-116,""t"":11598},{""x"":593,""y"":701,""dx"":102,""dy"":-120,""t"":11631},{""x"":589,""y"":693,""dx"":98,""dy"":-128,""t"":11666},{""x"":595,""y"":705,""dx"":104,""dy"":-116,""t"":11700},{""x"":600,""y"":714,""dx"":109,""dy"":-107,""t"":11732},{""x"":587,""y"":706,""dx"":96,""dy"":-115,""t"":11767},{""x"":578,""y"":686,""dx"":87,""dy"":-135,""t"":11803},{""x"":586,""y"":690,""dx"":95,""dy"":-131,""t"":11837},{""x"":581,""y"":681,""dx"":90,""dy"":-140,""t"":11870},{""x"":593,""y"":688,""dx"":102,""dy"":-133,""t"":11904},{""x"":620,""y"":706,""dx"":129,""dy"":-115,""t"":11938},{""x"":616,""y"":725,""dx"":125,""dy"":-96,""t"":11972},{""x"":627,""y"":710,""dx"":136,""dy"":-111,""t"":12007}],[{""x"":1337,""y"":740,""dx"":-114,""dy"":-81,""t"":13027},{""x"":1342,""y"":738,""dx"":-109,""dy"":-83,""t"":13059},{""x"":1351,""y"":730,""dx"":-100,""dy"":-91,""t"":13094},{""x"":1335,""y"":738,""dx"":-116,""dy"":-83,""t"":13128},{""x"":1331,""y"":723,""dx"":-120,""dy"":-98,""t"":13162},{""x"":1323,""y"":735,""dx"":-128,""dy"":-86,""t"":13196},{""x"":1300,""y"":749,""dx"":-151,""dy"":-72,""t"":13230},{""x"":1313,""y"":742,""dx"":-138,""dy"":-79,""t"":13263},{""x"":1279,""y"":712,""dx"":-172,""dy"":-109,""t"":13298},{""x"":1251,""y"":687,""dx"":-200,""dy"":-134,""t"":13329},{""x"":1295,""y"":695,""dx"":-156,""dy"":-126,""t"":13367},{""x"":1320,""y"":706,""dx"":-131,""dy"":-115,""t"":13400},{""x"":1339,""y"":708,""dx"":-112,""dy"":-113,""t"":13434},{""x"":1330,""y"":725,""dx"":-121,""dy"":-96,""t"":13469},{""x"":1341,""y"":721,""dx"":-110,""dy"":-100,""t"":13502},{""x"":1360,""y"":730,""dx"":-91,""dy"":-91,""t"":13536},{""x"":1374,""y"":760,""dx"":-77,""dy"":-61,""t"":13570},{""x"":1367,""y"":762,""dx"":-84,""dy"":-59,""t"":13605},{""x"":1409,""y"":759,""dx"":-42,""dy"":-62,""t"":13638},{""x"":1425,""y"":725,""dx"":-26,""dy"":-96,""t"":13673},{""x"":1426,""y"":715,""dx"":-25,""dy"":-106,""t"":13706},{""x"":1341,""y"":760,""dx"":-110,""dy"":-61,""t"":13740},{""x"":1345,""y"":779,""dx"":-106,""dy"":-42,""t"":13774},{""x"":1343,""y"":791,""dx"":-108,""dy"":-30,""t"":13808},{""x"":1332,""y"":774,""dx"":-119,""dy"":-47,""t"":13842},{""x"":1340,""y"":790,""dx"":-111,""dy"":-31,""t"":13877},{""x"":1329,""y"":794,""dx"":-122,""dy"":-27,""t"":13909},{""x"":1310,""y"":812,""dx"":-141,""dy"":-9,""t"":13943},{""x"":1284,""y"":814,""dx"":-167,""dy"":-7,""t"":13978},{""x"":1288,""y"":793,""dx"":-163,""dy"":-28,""t"":14012},{""x"":1327,""y"":787,""dx"":-124,""dy"":-34,""t"":14047},{""x"":1309,""y"":780,""dx"":-142,""dy"":-41,""t"":14079},{""x"":1326,""y"":785,""dx"":-125,""dy"":-36,""t"":14115},{""x"":1343,""y"":765,""dx"":-108,""dy"":-56,""t"":14147},{""x"":1345,""y"":761,""dx"":-106,""dy"":-60,""t"":14182},{""x"":1324,""y"":778,""dx"":-127,""dy"":-43,""t"":14216},{""x"":1296,""y"":773,""dx"":-155,""dy"":-48,""t"":14249},{""x"":1292,""y"":811,""dx"":-159,""dy"":-10,""t"":14284},{""x"":1288,""y"":824,""dx"":-163,""dy"":3,""t"":14317},{""x"":1285,""y"":853,""dx"":-166,""dy"":32,""t"":14352},{""x"":1279,""y"":873,""dx"":-172,""dy"":52,""t"":14385},{""x"":1271,""y"":853,""dx"":-180,""dy"":32,""t"":14421},{""x"":1277,""y"":858,""dx"":-174,""dy"":37,""t"":14454},{""x"":1278,""y"":848,""dx"":-173,""dy"":27,""t"":14488},{""x"":1293,""y"":850,""dx"":-158,""dy"":29,""t"":14522},{""x"":1284,""y"":830,""dx"":-167,""dy"":9,""t"":14557},{""x"":1302,""y"":831,""dx"":-149,""dy"":10,""t"":14590},{""x"":1305,""y"":830,""dx"":-146,""dy"":9,""t"":14623},{""x"":1316,""y"":842,""dx"":-135,""dy"":21,""t"":14658},{""x"":1341,""y"":839,""dx"":-110,""dy"":18,""t"":14693},{""x"":1363,""y"":818,""dx"":-88,""dy"":-3,""t"":14726},{""x"":1368,""y"":814,""dx"":-83,""dy"":-7,""t"":14760},{""x"":1366,""y"":800,""dx"":-85,""dy"":-21,""t"":14794},{""x"":1332,""y"":814,""dx"":-119,""dy"":-7,""t"":14828},{""x"":1347,""y"":805,""dx"":-104,""dy"":-16,""t"":14862},{""x"":1334,""y"":811,""dx"":-117,""dy"":-10,""t"":14893},{""x"":1300,""y"":816,""dx"":-151,""dy"":-5,""t"":14930},{""x"":1309,""y"":806,""dx"":-142,""dy"":-15,""t"":14964},{""x"":1319,""y"":784,""dx"":-132,""dy"":-37,""t"":14998},{""x"":1307,""y"":785,""dx"":-144,""dy"":-36,""t"":15032}]]","[83.05084745762711,26.666666666666668,91.37931034482759,80,95]","[{""x"":23.45762711864407,""y"":157.59322033898306,""r"":40.60707098900676},{""x"":29.866666666666667,""y"":232.13333333333333,""r"":60.241682319148445},{""x"":-21.396551724137932,""y"":-52.36206896551724,""r"":152.0666902300343},{""x"":105.51666666666667,""y"":-137.65,""r"":51.57999288869325},{""x"":-126.23333333333333,""y"":-40.483333333333334,""r"":68.93362657763288}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","","",""
"","html-button-response","10","50888","0.0-5.0-4.0-0.0-0.0","","","","","751","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","60692","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","61656","0.0-5.0-4.0-0.0-2.0","","","","","964","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
