"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","5710","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","5713","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","15017","0.0-2.0-0.0","","","","","9299","{""name"":""shh"",""age"":""27""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","20519","0.0-2.0-1.0","","","","","5501","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","36856","0.0-3.0","","","","","16334"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","42248","0.0-4.0","","","","","","","","","2187","","","","","","","","","","","","","","","","",""
"","html-button-response","6","45039","0.0-5.0-0.0","","","","","2789","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","57616","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","58718","0.0-5.0-2.0","","","","","1102","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","78280","0.0-5.0-3.0","","","","","","","","","","[[{""x"":476,""y"":402,""dx"":-15,""dy"":121,""t"":990},{""x"":509,""y"":378,""dx"":18,""dy"":97,""t"":1024},{""x"":534,""y"":345,""dx"":43,""dy"":64,""t"":1057},{""x"":548,""y"":379,""dx"":57,""dy"":98,""t"":1092},{""x"":583,""y"":414,""dx"":92,""dy"":133,""t"":1125},{""x"":567,""y"":373,""dx"":76,""dy"":92,""t"":1160},{""x"":566,""y"":392,""dx"":75,""dy"":111,""t"":1195},{""x"":579,""y"":423,""dx"":88,""dy"":142,""t"":1228},{""x"":556,""y"":448,""dx"":65,""dy"":167,""t"":1261},{""x"":531,""y"":470,""dx"":40,""dy"":189,""t"":1297},{""x"":554,""y"":488,""dx"":63,""dy"":207,""t"":1331},{""x"":499,""y"":394,""dx"":8,""dy"":113,""t"":1364},{""x"":498,""y"":411,""dx"":7,""dy"":130,""t"":1398},{""x"":475,""y"":432,""dx"":-16,""dy"":151,""t"":1432},{""x"":465,""y"":438,""dx"":-26,""dy"":157,""t"":1466},{""x"":482,""y"":455,""dx"":-9,""dy"":174,""t"":1500},{""x"":488,""y"":454,""dx"":-3,""dy"":173,""t"":1533},{""x"":489,""y"":460,""dx"":-2,""dy"":179,""t"":1569},{""x"":476,""y"":445,""dx"":-15,""dy"":164,""t"":1603},{""x"":472,""y"":451,""dx"":-19,""dy"":170,""t"":1635},{""x"":465,""y"":434,""dx"":-26,""dy"":153,""t"":1670},{""x"":486,""y"":390,""dx"":-5,""dy"":109,""t"":1704},{""x"":496,""y"":349,""dx"":5,""dy"":68,""t"":1738},{""x"":515,""y"":330,""dx"":24,""dy"":49,""t"":1771},{""x"":507,""y"":343,""dx"":16,""dy"":62,""t"":1806},{""x"":513,""y"":369,""dx"":22,""dy"":88,""t"":1840},{""x"":514,""y"":346,""dx"":23,""dy"":65,""t"":1874},{""x"":514,""y"":333,""dx"":23,""dy"":52,""t"":1908},{""x"":523,""y"":371,""dx"":32,""dy"":90,""t"":1942},{""x"":519,""y"":396,""dx"":28,""dy"":115,""t"":1977},{""x"":509,""y"":369,""dx"":18,""dy"":88,""t"":2009},{""x"":516,""y"":338,""dx"":25,""dy"":57,""t"":2044},{""x"":522,""y"":373,""dx"":31,""dy"":92,""t"":2078},{""x"":500,""y"":395,""dx"":9,""dy"":114,""t"":2112},{""x"":514,""y"":367,""dx"":23,""dy"":86,""t"":2147},{""x"":509,""y"":331,""dx"":18,""dy"":50,""t"":2180},{""x"":540,""y"":347,""dx"":49,""dy"":66,""t"":2214},{""x"":545,""y"":340,""dx"":54,""dy"":59,""t"":2249},{""x"":555,""y"":320,""dx"":64,""dy"":39,""t"":2282},{""x"":556,""y"":327,""dx"":65,""dy"":46,""t"":2316},{""x"":557,""y"":329,""dx"":66,""dy"":48,""t"":2350},{""x"":548,""y"":325,""dx"":57,""dy"":44,""t"":2384},{""x"":541,""y"":328,""dx"":50,""dy"":47,""t"":2418},{""x"":547,""y"":319,""dx"":56,""dy"":38,""t"":2453},{""x"":553,""y"":311,""dx"":62,""dy"":30,""t"":2484},{""x"":553,""y"":313,""dx"":62,""dy"":32,""t"":2520},{""x"":554,""y"":311,""dx"":63,""dy"":30,""t"":2555},{""x"":551,""y"":323,""dx"":60,""dy"":42,""t"":2588},{""x"":548,""y"":325,""dx"":57,""dy"":44,""t"":2622},{""x"":543,""y"":324,""dx"":52,""dy"":43,""t"":2655},{""x"":548,""y"":309,""dx"":57,""dy"":28,""t"":2690},{""x"":544,""y"":301,""dx"":53,""dy"":20,""t"":2724},{""x"":536,""y"":293,""dx"":45,""dy"":12,""t"":2758},{""x"":530,""y"":288,""dx"":39,""dy"":7,""t"":2792},{""x"":520,""y"":276,""dx"":29,""dy"":-5,""t"":2827},{""x"":512,""y"":286,""dx"":21,""dy"":5,""t"":2860},{""x"":505,""y"":295,""dx"":14,""dy"":14,""t"":2892},{""x"":530,""y"":303,""dx"":39,""dy"":22,""t"":2927},{""x"":551,""y"":331,""dx"":60,""dy"":50,""t"":2962},{""x"":559,""y"":326,""dx"":68,""dy"":45,""t"":2996}],[{""x"":1425,""y"":534,""dx"":-26,""dy"":253,""t"":4015},{""x"":1417,""y"":525,""dx"":-34,""dy"":244,""t"":4051},{""x"":1410,""y"":517,""dx"":-41,""dy"":236,""t"":4082},{""x"":1406,""y"":515,""dx"":-45,""dy"":234,""t"":4118},{""x"":1417,""y"":503,""dx"":-34,""dy"":222,""t"":4152},{""x"":1406,""y"":502,""dx"":-45,""dy"":221,""t"":4187},{""x"":1418,""y"":503,""dx"":-33,""dy"":222,""t"":4221},{""x"":1393,""y"":499,""dx"":-58,""dy"":218,""t"":4254},{""x"":1392,""y"":505,""dx"":-59,""dy"":224,""t"":4287},{""x"":1385,""y"":488,""dx"":-66,""dy"":207,""t"":4322},{""x"":1362,""y"":475,""dx"":-89,""dy"":194,""t"":4356},{""x"":1337,""y"":481,""dx"":-114,""dy"":200,""t"":4390},{""x"":1337,""y"":493,""dx"":-114,""dy"":212,""t"":4424},{""x"":1320,""y"":489,""dx"":-131,""dy"":208,""t"":4457},{""x"":1306,""y"":485,""dx"":-145,""dy"":204,""t"":4490},{""x"":1318,""y"":491,""dx"":-133,""dy"":210,""t"":4526},{""x"":1324,""y"":494,""dx"":-127,""dy"":213,""t"":4560},{""x"":1343,""y"":514,""dx"":-108,""dy"":233,""t"":4593},{""x"":1347,""y"":510,""dx"":-104,""dy"":229,""t"":4629},{""x"":1345,""y"":505,""dx"":-106,""dy"":224,""t"":4662},{""x"":1349,""y"":500,""dx"":-102,""dy"":219,""t"":4695},{""x"":1335,""y"":489,""dx"":-116,""dy"":208,""t"":4730},{""x"":1313,""y"":501,""dx"":-138,""dy"":220,""t"":4764},{""x"":1303,""y"":494,""dx"":-148,""dy"":213,""t"":4799},{""x"":1311,""y"":498,""dx"":-140,""dy"":217,""t"":4831},{""x"":1321,""y"":498,""dx"":-130,""dy"":217,""t"":4866},{""x"":1326,""y"":499,""dx"":-125,""dy"":218,""t"":4900},{""x"":1338,""y"":516,""dx"":-113,""dy"":235,""t"":4934},{""x"":1373,""y"":558,""dx"":-78,""dy"":277,""t"":4968},{""x"":1383,""y"":560,""dx"":-68,""dy"":279,""t"":5001},{""x"":1423,""y"":585,""dx"":-28,""dy"":304,""t"":5036},{""x"":1436,""y"":577,""dx"":-15,""dy"":296,""t"":5070},{""x"":1445,""y"":569,""dx"":-6,""dy"":288,""t"":5103},{""x"":1435,""y"":562,""dx"":-16,""dy"":281,""t"":5138},{""x"":1434,""y"":558,""dx"":-17,""dy"":277,""t"":5172},{""x"":1393,""y"":544,""dx"":-58,""dy"":263,""t"":5206},{""x"":1411,""y"":540,""dx"":-40,""dy"":259,""t"":5240},{""x"":1420,""y"":541,""dx"":-31,""dy"":260,""t"":5273},{""x"":1429,""y"":544,""dx"":-22,""dy"":263,""t"":5308},{""x"":1425,""y"":535,""dx"":-26,""dy"":254,""t"":5342},{""x"":1445,""y"":528,""dx"":-6,""dy"":247,""t"":5376},{""x"":1443,""y"":530,""dx"":-8,""dy"":249,""t"":5410},{""x"":1435,""y"":538,""dx"":-16,""dy"":257,""t"":5444},{""x"":1445,""y"":531,""dx"":-6,""dy"":250,""t"":5478},{""x"":1436,""y"":531,""dx"":-15,""dy"":250,""t"":5511},{""x"":1422,""y"":527,""dx"":-29,""dy"":246,""t"":5545},{""x"":1412,""y"":526,""dx"":-39,""dy"":245,""t"":5580},{""x"":1398,""y"":532,""dx"":-53,""dy"":251,""t"":5614},{""x"":1387,""y"":532,""dx"":-64,""dy"":251,""t"":5647},{""x"":1390,""y"":509,""dx"":-61,""dy"":228,""t"":5679},{""x"":1384,""y"":511,""dx"":-67,""dy"":230,""t"":5715},{""x"":1385,""y"":508,""dx"":-66,""dy"":227,""t"":5750},{""x"":1380,""y"":512,""dx"":-71,""dy"":231,""t"":5784},{""x"":1396,""y"":516,""dx"":-55,""dy"":235,""t"":5819},{""x"":1403,""y"":517,""dx"":-48,""dy"":236,""t"":5862},{""x"":1401,""y"":514,""dx"":-50,""dy"":233,""t"":5898},{""x"":1402,""y"":518,""dx"":-49,""dy"":237,""t"":5925},{""x"":1400,""y"":519,""dx"":-51,""dy"":238,""t"":5953},{""x"":1405,""y"":506,""dx"":-46,""dy"":225,""t"":5988}],[{""x"":994,""y"":502,""dx"":23,""dy"":-49,""t"":7043},{""x"":1003,""y"":486,""dx"":32,""dy"":-65,""t"":7076},{""x"":1029,""y"":464,""dx"":58,""dy"":-87,""t"":7109},{""x"":1021,""y"":476,""dx"":50,""dy"":-75,""t"":7144},{""x"":1046,""y"":464,""dx"":75,""dy"":-87,""t"":7179},{""x"":1021,""y"":492,""dx"":50,""dy"":-59,""t"":7212},{""x"":1027,""y"":477,""dx"":56,""dy"":-74,""t"":7246},{""x"":998,""y"":498,""dx"":27,""dy"":-53,""t"":7280},{""x"":1000,""y"":487,""dx"":29,""dy"":-64,""t"":7314},{""x"":985,""y"":528,""dx"":14,""dy"":-23,""t"":7348},{""x"":995,""y"":493,""dx"":24,""dy"":-58,""t"":7382},{""x"":966,""y"":505,""dx"":-5,""dy"":-46,""t"":7417},{""x"":962,""y"":483,""dx"":-9,""dy"":-68,""t"":7450},{""x"":953,""y"":476,""dx"":-18,""dy"":-75,""t"":7484},{""x"":995,""y"":459,""dx"":24,""dy"":-92,""t"":7518},{""x"":998,""y"":483,""dx"":27,""dy"":-68,""t"":7551},{""x"":993,""y"":468,""dx"":22,""dy"":-83,""t"":7587},{""x"":973,""y"":484,""dx"":2,""dy"":-67,""t"":7617},{""x"":976,""y"":463,""dx"":5,""dy"":-88,""t"":7653},{""x"":979,""y"":457,""dx"":8,""dy"":-94,""t"":7688},{""x"":969,""y"":496,""dx"":-2,""dy"":-55,""t"":7722},{""x"":998,""y"":479,""dx"":27,""dy"":-72,""t"":7756},{""x"":987,""y"":490,""dx"":16,""dy"":-61,""t"":7791},{""x"":1000,""y"":481,""dx"":29,""dy"":-70,""t"":7824},{""x"":1016,""y"":465,""dx"":45,""dy"":-86,""t"":7858},{""x"":1019,""y"":449,""dx"":48,""dy"":-102,""t"":7891},{""x"":987,""y"":461,""dx"":16,""dy"":-90,""t"":7926},{""x"":991,""y"":443,""dx"":20,""dy"":-108,""t"":7960},{""x"":999,""y"":441,""dx"":28,""dy"":-110,""t"":7993},{""x"":989,""y"":460,""dx"":18,""dy"":-91,""t"":8025},{""x"":1006,""y"":417,""dx"":35,""dy"":-134,""t"":8062},{""x"":1014,""y"":430,""dx"":43,""dy"":-121,""t"":8095},{""x"":1009,""y"":436,""dx"":38,""dy"":-115,""t"":8130},{""x"":997,""y"":462,""dx"":26,""dy"":-89,""t"":8163},{""x"":1032,""y"":478,""dx"":61,""dy"":-73,""t"":8198},{""x"":1030,""y"":505,""dx"":59,""dy"":-46,""t"":8232},{""x"":1031,""y"":473,""dx"":60,""dy"":-78,""t"":8266},{""x"":1026,""y"":504,""dx"":55,""dy"":-47,""t"":8300},{""x"":1036,""y"":481,""dx"":65,""dy"":-70,""t"":8334},{""x"":1032,""y"":516,""dx"":61,""dy"":-35,""t"":8369},{""x"":1048,""y"":514,""dx"":77,""dy"":-37,""t"":8402},{""x"":1037,""y"":541,""dx"":66,""dy"":-10,""t"":8436},{""x"":1042,""y"":518,""dx"":71,""dy"":-33,""t"":8470},{""x"":1042,""y"":514,""dx"":71,""dy"":-37,""t"":8505},{""x"":1036,""y"":479,""dx"":65,""dy"":-72,""t"":8537},{""x"":1040,""y"":491,""dx"":69,""dy"":-60,""t"":8571},{""x"":1053,""y"":474,""dx"":82,""dy"":-77,""t"":8606},{""x"":1061,""y"":462,""dx"":90,""dy"":-89,""t"":8640},{""x"":1051,""y"":447,""dx"":80,""dy"":-104,""t"":8673},{""x"":1016,""y"":484,""dx"":45,""dy"":-67,""t"":8708},{""x"":1029,""y"":471,""dx"":58,""dy"":-80,""t"":8742},{""x"":1028,""y"":467,""dx"":57,""dy"":-84,""t"":8777},{""x"":1045,""y"":444,""dx"":74,""dy"":-107,""t"":8810},{""x"":1025,""y"":484,""dx"":54,""dy"":-67,""t"":8844},{""x"":1046,""y"":469,""dx"":75,""dy"":-82,""t"":8878},{""x"":1034,""y"":496,""dx"":63,""dy"":-55,""t"":8913},{""x"":1058,""y"":488,""dx"":87,""dy"":-63,""t"":8946},{""x"":1026,""y"":505,""dx"":55,""dy"":-46,""t"":8979},{""x"":1036,""y"":482,""dx"":65,""dy"":-69,""t"":9014}],[{""x"":391,""y"":476,""dx"":-100,""dy"":-345,""t"":10068},{""x"":400,""y"":459,""dx"":-91,""dy"":-362,""t"":10102},{""x"":399,""y"":465,""dx"":-92,""dy"":-356,""t"":10136},{""x"":404,""y"":459,""dx"":-87,""dy"":-362,""t"":10170},{""x"":400,""y"":478,""dx"":-91,""dy"":-343,""t"":10204},{""x"":398,""y"":483,""dx"":-93,""dy"":-338,""t"":10238},{""x"":415,""y"":480,""dx"":-76,""dy"":-341,""t"":10272},{""x"":424,""y"":469,""dx"":-67,""dy"":-352,""t"":10306},{""x"":420,""y"":469,""dx"":-71,""dy"":-352,""t"":10340},{""x"":410,""y"":478,""dx"":-81,""dy"":-343,""t"":10374},{""x"":411,""y"":479,""dx"":-80,""dy"":-342,""t"":10408},{""x"":424,""y"":494,""dx"":-67,""dy"":-327,""t"":10442},{""x"":414,""y"":484,""dx"":-77,""dy"":-337,""t"":10476},{""x"":422,""y"":496,""dx"":-69,""dy"":-325,""t"":10510},{""x"":420,""y"":500,""dx"":-71,""dy"":-321,""t"":10544},{""x"":418,""y"":509,""dx"":-73,""dy"":-312,""t"":10578},{""x"":407,""y"":500,""dx"":-84,""dy"":-321,""t"":10612},{""x"":409,""y"":489,""dx"":-82,""dy"":-332,""t"":10646},{""x"":410,""y"":494,""dx"":-81,""dy"":-327,""t"":10680},{""x"":412,""y"":481,""dx"":-79,""dy"":-340,""t"":10714},{""x"":430,""y"":520,""dx"":-61,""dy"":-301,""t"":10748},{""x"":430,""y"":512,""dx"":-61,""dy"":-309,""t"":10782},{""x"":438,""y"":548,""dx"":-53,""dy"":-273,""t"":10816},{""x"":437,""y"":513,""dx"":-54,""dy"":-308,""t"":10850},{""x"":442,""y"":534,""dx"":-49,""dy"":-287,""t"":10884},{""x"":444,""y"":517,""dx"":-47,""dy"":-304,""t"":10918},{""x"":436,""y"":506,""dx"":-55,""dy"":-315,""t"":10952},{""x"":424,""y"":483,""dx"":-67,""dy"":-338,""t"":10986},{""x"":426,""y"":490,""dx"":-65,""dy"":-331,""t"":11020},{""x"":422,""y"":486,""dx"":-69,""dy"":-335,""t"":11054},{""x"":411,""y"":490,""dx"":-80,""dy"":-331,""t"":11089},{""x"":418,""y"":488,""dx"":-73,""dy"":-333,""t"":11122},{""x"":427,""y"":496,""dx"":-64,""dy"":-325,""t"":11156},{""x"":429,""y"":494,""dx"":-62,""dy"":-327,""t"":11190},{""x"":431,""y"":493,""dx"":-60,""dy"":-328,""t"":11221},{""x"":439,""y"":494,""dx"":-52,""dy"":-327,""t"":11258},{""x"":439,""y"":492,""dx"":-52,""dy"":-329,""t"":11292},{""x"":431,""y"":503,""dx"":-60,""dy"":-318,""t"":11326},{""x"":426,""y"":509,""dx"":-65,""dy"":-312,""t"":11360},{""x"":405,""y"":500,""dx"":-86,""dy"":-321,""t"":11395},{""x"":405,""y"":510,""dx"":-86,""dy"":-311,""t"":11428},{""x"":413,""y"":513,""dx"":-78,""dy"":-308,""t"":11463},{""x"":403,""y"":510,""dx"":-88,""dy"":-311,""t"":11496},{""x"":411,""y"":494,""dx"":-80,""dy"":-327,""t"":11529},{""x"":405,""y"":485,""dx"":-86,""dy"":-336,""t"":11564},{""x"":408,""y"":489,""dx"":-83,""dy"":-332,""t"":11598},{""x"":411,""y"":493,""dx"":-80,""dy"":-328,""t"":11630},{""x"":416,""y"":492,""dx"":-75,""dy"":-329,""t"":11667},{""x"":423,""y"":498,""dx"":-68,""dy"":-323,""t"":11699},{""x"":430,""y"":506,""dx"":-61,""dy"":-315,""t"":11734},{""x"":421,""y"":498,""dx"":-70,""dy"":-323,""t"":11768},{""x"":407,""y"":502,""dx"":-84,""dy"":-319,""t"":11802},{""x"":401,""y"":498,""dx"":-90,""dy"":-323,""t"":11837},{""x"":391,""y"":520,""dx"":-100,""dy"":-301,""t"":11870},{""x"":396,""y"":564,""dx"":-95,""dy"":-257,""t"":11904},{""x"":376,""y"":638,""dx"":-115,""dy"":-183,""t"":11938},{""x"":372,""y"":780,""dx"":-119,""dy"":-41,""t"":11972},{""x"":382,""y"":790,""dx"":-109,""dy"":-31,""t"":12006},{""x"":364,""y"":817,""dx"":-127,""dy"":-4,""t"":12040}],[{""x"":1215,""y"":731,""dx"":-236,""dy"":-90,""t"":13060},{""x"":1224,""y"":747,""dx"":-227,""dy"":-74,""t"":13094},{""x"":1239,""y"":752,""dx"":-212,""dy"":-69,""t"":13128},{""x"":1239,""y"":757,""dx"":-212,""dy"":-64,""t"":13162},{""x"":1240,""y"":760,""dx"":-211,""dy"":-61,""t"":13194},{""x"":1235,""y"":757,""dx"":-216,""dy"":-64,""t"":13230},{""x"":1243,""y"":747,""dx"":-208,""dy"":-74,""t"":13264},{""x"":1237,""y"":734,""dx"":-214,""dy"":-87,""t"":13299},{""x"":1247,""y"":751,""dx"":-204,""dy"":-70,""t"":13331},{""x"":1254,""y"":763,""dx"":-197,""dy"":-58,""t"":13366},{""x"":1268,""y"":756,""dx"":-183,""dy"":-65,""t"":13400},{""x"":1266,""y"":767,""dx"":-185,""dy"":-54,""t"":13434},{""x"":1250,""y"":762,""dx"":-201,""dy"":-59,""t"":13468},{""x"":1259,""y"":773,""dx"":-192,""dy"":-48,""t"":13503},{""x"":1255,""y"":781,""dx"":-196,""dy"":-40,""t"":13536},{""x"":1248,""y"":806,""dx"":-203,""dy"":-15,""t"":13570},{""x"":1235,""y"":799,""dx"":-216,""dy"":-22,""t"":13604},{""x"":1215,""y"":788,""dx"":-236,""dy"":-33,""t"":13638},{""x"":1219,""y"":799,""dx"":-232,""dy"":-22,""t"":13672},{""x"":1204,""y"":807,""dx"":-247,""dy"":-14,""t"":13706},{""x"":1209,""y"":797,""dx"":-242,""dy"":-24,""t"":13740},{""x"":1203,""y"":788,""dx"":-248,""dy"":-33,""t"":13774},{""x"":1214,""y"":801,""dx"":-237,""dy"":-20,""t"":13809},{""x"":1222,""y"":810,""dx"":-229,""dy"":-11,""t"":13842},{""x"":1223,""y"":819,""dx"":-228,""dy"":-2,""t"":13877},{""x"":1212,""y"":807,""dx"":-239,""dy"":-14,""t"":13910},{""x"":1214,""y"":822,""dx"":-237,""dy"":1,""t"":13945},{""x"":1229,""y"":819,""dx"":-222,""dy"":-2,""t"":13978},{""x"":1236,""y"":812,""dx"":-215,""dy"":-9,""t"":14012},{""x"":1225,""y"":811,""dx"":-226,""dy"":-10,""t"":14046},{""x"":1210,""y"":776,""dx"":-241,""dy"":-45,""t"":14081},{""x"":1250,""y"":739,""dx"":-201,""dy"":-82,""t"":14114},{""x"":1288,""y"":697,""dx"":-163,""dy"":-124,""t"":14148},{""x"":1311,""y"":676,""dx"":-140,""dy"":-145,""t"":14182},{""x"":1303,""y"":687,""dx"":-148,""dy"":-134,""t"":14216},{""x"":1294,""y"":698,""dx"":-157,""dy"":-123,""t"":14250},{""x"":1259,""y"":707,""dx"":-192,""dy"":-114,""t"":14284},{""x"":1247,""y"":727,""dx"":-204,""dy"":-94,""t"":14317},{""x"":1227,""y"":721,""dx"":-224,""dy"":-100,""t"":14352},{""x"":1216,""y"":723,""dx"":-235,""dy"":-98,""t"":14386},{""x"":1205,""y"":766,""dx"":-246,""dy"":-55,""t"":14420},{""x"":1221,""y"":738,""dx"":-230,""dy"":-83,""t"":14453},{""x"":1222,""y"":733,""dx"":-229,""dy"":-88,""t"":14488},{""x"":1223,""y"":691,""dx"":-228,""dy"":-130,""t"":14522},{""x"":1220,""y"":737,""dx"":-231,""dy"":-84,""t"":14556},{""x"":1201,""y"":768,""dx"":-250,""dy"":-53,""t"":14590},{""x"":1212,""y"":740,""dx"":-239,""dy"":-81,""t"":14623},{""x"":1235,""y"":751,""dx"":-216,""dy"":-70,""t"":14657},{""x"":1248,""y"":743,""dx"":-203,""dy"":-78,""t"":14692},{""x"":1253,""y"":712,""dx"":-198,""dy"":-109,""t"":14726},{""x"":1274,""y"":679,""dx"":-177,""dy"":-142,""t"":14759},{""x"":1292,""y"":652,""dx"":-159,""dy"":-169,""t"":14792},{""x"":1307,""y"":647,""dx"":-144,""dy"":-174,""t"":14828},{""x"":1322,""y"":652,""dx"":-129,""dy"":-169,""t"":14862},{""x"":1335,""y"":660,""dx"":-116,""dy"":-161,""t"":14895},{""x"":1338,""y"":637,""dx"":-113,""dy"":-184,""t"":14966},{""x"":1348,""y"":627,""dx"":-103,""dy"":-194,""t"":14998},{""x"":1347,""y"":613,""dx"":-104,""dy"":-208,""t"":15033}]]","[98.33333333333333,0,100,5.084745762711865,10.344827586206897]","[{""x"":33.916666666666664,""y"":82.93333333333334,""r"":73.41497882000368},{""x"":-64.89830508474576,""y"":237.66101694915255,""r"":41.5303421507837},{""x"":43.152542372881356,""y"":-72.32203389830508,""r"":30.071240702373146},{""x"":-76.96610169491525,""y"":-307.3220338983051,""r"":25.40491959586778},{""x"":-202.94827586206895,""y"":-77.55172413793103,""r"":76.61149698150386}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","","",""
"","html-button-response","10","79359","0.0-5.0-4.0-0.0-0.0","","","","","1079","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","89122","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","90104","0.0-5.0-4.0-0.0-2.0","","","","","981","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
