"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2833","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2839","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7813","0.0-2.0-0.0","","","","","4971","{""name"":""syx"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","9372","0.0-2.0-1.0","","","","","1558","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","10333","0.0-3.0","","","","","958"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","18010","0.0-4.0","","","","","","","","","1455","","","","","","","","","","","","","","","",""
"","html-button-response","6","19621","0.0-5.0-0.0","","","","","1609","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","30158","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","31020","0.0-5.0-2.0","","","","","862","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","49381","0.0-5.0-3.0","","","","","","","","","","[[{""x"":453,""y"":295,""dx"":-38,""dy"":14,""t"":989},{""x"":433,""y"":299,""dx"":-58,""dy"":18,""t"":1025},{""x"":443,""y"":311,""dx"":-48,""dy"":30,""t"":1057},{""x"":453,""y"":322,""dx"":-38,""dy"":41,""t"":1092},{""x"":470,""y"":315,""dx"":-21,""dy"":34,""t"":1127},{""x"":481,""y"":315,""dx"":-10,""dy"":34,""t"":1161},{""x"":492,""y"":311,""dx"":1,""dy"":30,""t"":1194},{""x"":506,""y"":310,""dx"":15,""dy"":29,""t"":1226},{""x"":505,""y"":300,""dx"":14,""dy"":19,""t"":1262},{""x"":519,""y"":301,""dx"":28,""dy"":20,""t"":1297},{""x"":519,""y"":311,""dx"":28,""dy"":30,""t"":1329},{""x"":530,""y"":319,""dx"":39,""dy"":38,""t"":1364},{""x"":526,""y"":320,""dx"":35,""dy"":39,""t"":1398},{""x"":524,""y"":328,""dx"":33,""dy"":47,""t"":1432},{""x"":530,""y"":309,""dx"":39,""dy"":28,""t"":1466},{""x"":533,""y"":318,""dx"":42,""dy"":37,""t"":1500},{""x"":534,""y"":302,""dx"":43,""dy"":21,""t"":1534},{""x"":533,""y"":308,""dx"":42,""dy"":27,""t"":1568},{""x"":518,""y"":317,""dx"":27,""dy"":36,""t"":1602},{""x"":507,""y"":323,""dx"":16,""dy"":42,""t"":1636},{""x"":488,""y"":318,""dx"":-3,""dy"":37,""t"":1671},{""x"":492,""y"":329,""dx"":1,""dy"":48,""t"":1704},{""x"":482,""y"":335,""dx"":-9,""dy"":54,""t"":1738},{""x"":480,""y"":336,""dx"":-11,""dy"":55,""t"":1771},{""x"":486,""y"":342,""dx"":-5,""dy"":61,""t"":1806},{""x"":482,""y"":340,""dx"":-9,""dy"":59,""t"":1840},{""x"":475,""y"":321,""dx"":-16,""dy"":40,""t"":1875},{""x"":475,""y"":297,""dx"":-16,""dy"":16,""t"":1908},{""x"":477,""y"":295,""dx"":-14,""dy"":14,""t"":1942},{""x"":472,""y"":287,""dx"":-19,""dy"":6,""t"":1976},{""x"":477,""y"":295,""dx"":-14,""dy"":14,""t"":2010},{""x"":482,""y"":309,""dx"":-9,""dy"":28,""t"":2044},{""x"":478,""y"":299,""dx"":-13,""dy"":18,""t"":2078},{""x"":473,""y"":297,""dx"":-18,""dy"":16,""t"":2111},{""x"":453,""y"":296,""dx"":-38,""dy"":15,""t"":2146},{""x"":453,""y"":299,""dx"":-38,""dy"":18,""t"":2180},{""x"":465,""y"":287,""dx"":-26,""dy"":6,""t"":2214},{""x"":476,""y"":279,""dx"":-15,""dy"":-2,""t"":2248},{""x"":470,""y"":284,""dx"":-21,""dy"":3,""t"":2282},{""x"":478,""y"":283,""dx"":-13,""dy"":2,""t"":2315},{""x"":482,""y"":270,""dx"":-9,""dy"":-11,""t"":2350},{""x"":497,""y"":272,""dx"":6,""dy"":-9,""t"":2385},{""x"":510,""y"":274,""dx"":19,""dy"":-7,""t"":2416},{""x"":514,""y"":275,""dx"":23,""dy"":-6,""t"":2452},{""x"":519,""y"":276,""dx"":28,""dy"":-5,""t"":2486},{""x"":501,""y"":282,""dx"":10,""dy"":1,""t"":2520},{""x"":485,""y"":288,""dx"":-6,""dy"":7,""t"":2554},{""x"":505,""y"":279,""dx"":14,""dy"":-2,""t"":2588},{""x"":511,""y"":281,""dx"":20,""dy"":0,""t"":2622},{""x"":522,""y"":276,""dx"":31,""dy"":-5,""t"":2657},{""x"":516,""y"":278,""dx"":25,""dy"":-3,""t"":2690},{""x"":519,""y"":282,""dx"":28,""dy"":1,""t"":2724},{""x"":522,""y"":277,""dx"":31,""dy"":-4,""t"":2757},{""x"":523,""y"":277,""dx"":32,""dy"":-4,""t"":2790},{""x"":527,""y"":264,""dx"":36,""dy"":-17,""t"":2826},{""x"":526,""y"":264,""dx"":35,""dy"":-17,""t"":2860},{""x"":525,""y"":270,""dx"":34,""dy"":-11,""t"":2895},{""x"":515,""y"":277,""dx"":24,""dy"":-4,""t"":2928},{""x"":509,""y"":284,""dx"":18,""dy"":3,""t"":2962}],[{""x"":1440,""y"":312,""dx"":-11,""dy"":31,""t"":4016},{""x"":1436,""y"":297,""dx"":-15,""dy"":16,""t"":4050},{""x"":1435,""y"":287,""dx"":-16,""dy"":6,""t"":4085},{""x"":1433,""y"":278,""dx"":-18,""dy"":-3,""t"":4117},{""x"":1421,""y"":283,""dx"":-30,""dy"":2,""t"":4152},{""x"":1419,""y"":291,""dx"":-32,""dy"":10,""t"":4186},{""x"":1412,""y"":282,""dx"":-39,""dy"":1,""t"":4220},{""x"":1406,""y"":271,""dx"":-45,""dy"":-10,""t"":4253},{""x"":1397,""y"":267,""dx"":-54,""dy"":-14,""t"":4288},{""x"":1396,""y"":278,""dx"":-55,""dy"":-3,""t"":4322},{""x"":1393,""y"":285,""dx"":-58,""dy"":4,""t"":4356},{""x"":1391,""y"":290,""dx"":-60,""dy"":9,""t"":4388},{""x"":1391,""y"":298,""dx"":-60,""dy"":17,""t"":4423},{""x"":1388,""y"":299,""dx"":-63,""dy"":18,""t"":4458},{""x"":1380,""y"":291,""dx"":-71,""dy"":10,""t"":4492},{""x"":1382,""y"":283,""dx"":-69,""dy"":2,""t"":4525},{""x"":1390,""y"":277,""dx"":-61,""dy"":-4,""t"":4560},{""x"":1398,""y"":268,""dx"":-53,""dy"":-13,""t"":4594},{""x"":1394,""y"":268,""dx"":-57,""dy"":-13,""t"":4628},{""x"":1385,""y"":263,""dx"":-66,""dy"":-18,""t"":4661},{""x"":1386,""y"":269,""dx"":-65,""dy"":-12,""t"":4696},{""x"":1385,""y"":278,""dx"":-66,""dy"":-3,""t"":4730},{""x"":1390,""y"":291,""dx"":-61,""dy"":10,""t"":4764},{""x"":1394,""y"":302,""dx"":-57,""dy"":21,""t"":4795},{""x"":1396,""y"":306,""dx"":-55,""dy"":25,""t"":4831},{""x"":1393,""y"":311,""dx"":-58,""dy"":30,""t"":4866},{""x"":1397,""y"":316,""dx"":-54,""dy"":35,""t"":4900},{""x"":1399,""y"":323,""dx"":-52,""dy"":42,""t"":4934},{""x"":1395,""y"":326,""dx"":-56,""dy"":45,""t"":4968},{""x"":1389,""y"":328,""dx"":-62,""dy"":47,""t"":5003},{""x"":1385,""y"":327,""dx"":-66,""dy"":46,""t"":5036},{""x"":1386,""y"":331,""dx"":-65,""dy"":50,""t"":5070},{""x"":1386,""y"":325,""dx"":-65,""dy"":44,""t"":5104},{""x"":1387,""y"":318,""dx"":-64,""dy"":37,""t"":5139},{""x"":1385,""y"":314,""dx"":-66,""dy"":33,""t"":5172},{""x"":1379,""y"":312,""dx"":-72,""dy"":31,""t"":5206},{""x"":1375,""y"":314,""dx"":-76,""dy"":33,""t"":5240},{""x"":1378,""y"":310,""dx"":-73,""dy"":29,""t"":5274},{""x"":1398,""y"":299,""dx"":-53,""dy"":18,""t"":5308},{""x"":1393,""y"":304,""dx"":-58,""dy"":23,""t"":5341},{""x"":1401,""y"":312,""dx"":-50,""dy"":31,""t"":5375},{""x"":1400,""y"":313,""dx"":-51,""dy"":32,""t"":5410},{""x"":1418,""y"":284,""dx"":-33,""dy"":3,""t"":5444},{""x"":1427,""y"":292,""dx"":-24,""dy"":11,""t"":5478},{""x"":1421,""y"":290,""dx"":-30,""dy"":9,""t"":5512},{""x"":1444,""y"":279,""dx"":-7,""dy"":-2,""t"":5547},{""x"":1444,""y"":295,""dx"":-7,""dy"":14,""t"":5580},{""x"":1444,""y"":281,""dx"":-7,""dy"":0,""t"":5613},{""x"":1432,""y"":279,""dx"":-19,""dy"":-2,""t"":5648},{""x"":1445,""y"":284,""dx"":-6,""dy"":3,""t"":5681},{""x"":1437,""y"":294,""dx"":-14,""dy"":13,""t"":5716},{""x"":1446,""y"":317,""dx"":-5,""dy"":36,""t"":5750},{""x"":1443,""y"":306,""dx"":-8,""dy"":25,""t"":5784},{""x"":1427,""y"":301,""dx"":-24,""dy"":20,""t"":5818},{""x"":1432,""y"":286,""dx"":-19,""dy"":5,""t"":5853},{""x"":1434,""y"":262,""dx"":-17,""dy"":-19,""t"":5886},{""x"":1434,""y"":264,""dx"":-17,""dy"":-17,""t"":5920},{""x"":1425,""y"":269,""dx"":-26,""dy"":-12,""t"":5954},{""x"":1426,""y"":264,""dx"":-25,""dy"":-17,""t"":5986}],[{""x"":1094,""y"":488,""dx"":123,""dy"":-63,""t"":7007},{""x"":1096,""y"":483,""dx"":125,""dy"":-68,""t"":7041},{""x"":1095,""y"":474,""dx"":124,""dy"":-77,""t"":7077},{""x"":1102,""y"":474,""dx"":131,""dy"":-77,""t"":7110},{""x"":1089,""y"":499,""dx"":118,""dy"":-52,""t"":7144},{""x"":1059,""y"":633,""dx"":88,""dy"":82,""t"":7178},{""x"":1025,""y"":775,""dx"":54,""dy"":224,""t"":7211},{""x"":998,""y"":870,""dx"":27,""dy"":319,""t"":7246},{""x"":1018,""y"":866,""dx"":47,""dy"":315,""t"":7310},{""x"":1035,""y"":845,""dx"":64,""dy"":294,""t"":7317},{""x"":1046,""y"":826,""dx"":75,""dy"":275,""t"":7347},{""x"":1059,""y"":766,""dx"":88,""dy"":215,""t"":7382},{""x"":1069,""y"":712,""dx"":98,""dy"":161,""t"":7416},{""x"":1059,""y"":648,""dx"":88,""dy"":97,""t"":7449},{""x"":1065,""y"":596,""dx"":94,""dy"":45,""t"":7484},{""x"":1078,""y"":556,""dx"":107,""dy"":5,""t"":7518},{""x"":1081,""y"":521,""dx"":110,""dy"":-30,""t"":7551},{""x"":1083,""y"":488,""dx"":112,""dy"":-63,""t"":7586},{""x"":1082,""y"":465,""dx"":111,""dy"":-86,""t"":7620},{""x"":1085,""y"":444,""dx"":114,""dy"":-107,""t"":7655},{""x"":1091,""y"":428,""dx"":120,""dy"":-123,""t"":7687},{""x"":1099,""y"":430,""dx"":128,""dy"":-121,""t"":7723},{""x"":1102,""y"":430,""dx"":131,""dy"":-121,""t"":7756},{""x"":1091,""y"":430,""dx"":120,""dy"":-121,""t"":7791},{""x"":1080,""y"":434,""dx"":109,""dy"":-117,""t"":7824},{""x"":1081,""y"":438,""dx"":110,""dy"":-113,""t"":7857},{""x"":1061,""y"":434,""dx"":90,""dy"":-117,""t"":7892},{""x"":1069,""y"":439,""dx"":98,""dy"":-112,""t"":7926},{""x"":1077,""y"":445,""dx"":106,""dy"":-106,""t"":7958},{""x"":1077,""y"":454,""dx"":106,""dy"":-97,""t"":7994},{""x"":1088,""y"":464,""dx"":117,""dy"":-87,""t"":8027},{""x"":1082,""y"":460,""dx"":111,""dy"":-91,""t"":8061},{""x"":1082,""y"":468,""dx"":111,""dy"":-83,""t"":8097},{""x"":1081,""y"":465,""dx"":110,""dy"":-86,""t"":8130},{""x"":1057,""y"":448,""dx"":86,""dy"":-103,""t"":8164},{""x"":1069,""y"":462,""dx"":98,""dy"":-89,""t"":8198},{""x"":1073,""y"":464,""dx"":102,""dy"":-87,""t"":8232},{""x"":1082,""y"":476,""dx"":111,""dy"":-75,""t"":8266},{""x"":1086,""y"":478,""dx"":115,""dy"":-73,""t"":8300},{""x"":1078,""y"":467,""dx"":107,""dy"":-84,""t"":8334},{""x"":1082,""y"":471,""dx"":111,""dy"":-80,""t"":8368},{""x"":1065,""y"":446,""dx"":94,""dy"":-105,""t"":8403},{""x"":1068,""y"":460,""dx"":97,""dy"":-91,""t"":8437},{""x"":1066,""y"":454,""dx"":95,""dy"":-97,""t"":8469},{""x"":1085,""y"":471,""dx"":114,""dy"":-80,""t"":8503},{""x"":1066,""y"":468,""dx"":95,""dy"":-83,""t"":8538},{""x"":1071,""y"":477,""dx"":100,""dy"":-74,""t"":8572},{""x"":1064,""y"":466,""dx"":93,""dy"":-85,""t"":8606},{""x"":1068,""y"":456,""dx"":97,""dy"":-95,""t"":8640},{""x"":1077,""y"":447,""dx"":106,""dy"":-104,""t"":8674},{""x"":1078,""y"":429,""dx"":107,""dy"":-122,""t"":8709},{""x"":1080,""y"":428,""dx"":109,""dy"":-123,""t"":8741},{""x"":1087,""y"":440,""dx"":116,""dy"":-111,""t"":8776},{""x"":1084,""y"":437,""dx"":113,""dy"":-114,""t"":8810},{""x"":1086,""y"":447,""dx"":115,""dy"":-104,""t"":8844},{""x"":1088,""y"":452,""dx"":117,""dy"":-99,""t"":8878},{""x"":1091,""y"":460,""dx"":120,""dy"":-91,""t"":8912},{""x"":1100,""y"":470,""dx"":129,""dy"":-81,""t"":8945},{""x"":1087,""y"":462,""dx"":116,""dy"":-89,""t"":8980}],[{""x"":502,""y"":632,""dx"":11,""dy"":-189,""t"":10000},{""x"":508,""y"":627,""dx"":17,""dy"":-194,""t"":10033},{""x"":520,""y"":627,""dx"":29,""dy"":-194,""t"":10068},{""x"":518,""y"":629,""dx"":27,""dy"":-192,""t"":10102},{""x"":522,""y"":635,""dx"":31,""dy"":-186,""t"":10137},{""x"":527,""y"":623,""dx"":36,""dy"":-198,""t"":10170},{""x"":521,""y"":608,""dx"":30,""dy"":-213,""t"":10204},{""x"":521,""y"":589,""dx"":30,""dy"":-232,""t"":10238},{""x"":539,""y"":595,""dx"":48,""dy"":-226,""t"":10272},{""x"":536,""y"":605,""dx"":45,""dy"":-216,""t"":10306},{""x"":528,""y"":598,""dx"":37,""dy"":-223,""t"":10340},{""x"":527,""y"":594,""dx"":36,""dy"":-227,""t"":10374},{""x"":510,""y"":586,""dx"":19,""dy"":-235,""t"":10408},{""x"":524,""y"":594,""dx"":33,""dy"":-227,""t"":10442},{""x"":527,""y"":602,""dx"":36,""dy"":-219,""t"":10476},{""x"":528,""y"":606,""dx"":37,""dy"":-215,""t"":10510},{""x"":534,""y"":604,""dx"":43,""dy"":-217,""t"":10544},{""x"":529,""y"":602,""dx"":38,""dy"":-219,""t"":10577},{""x"":548,""y"":614,""dx"":57,""dy"":-207,""t"":10612},{""x"":547,""y"":620,""dx"":56,""dy"":-201,""t"":10646},{""x"":550,""y"":632,""dx"":59,""dy"":-189,""t"":10680},{""x"":569,""y"":635,""dx"":78,""dy"":-186,""t"":10713},{""x"":587,""y"":653,""dx"":96,""dy"":-168,""t"":10748},{""x"":600,""y"":669,""dx"":109,""dy"":-152,""t"":10781},{""x"":606,""y"":680,""dx"":115,""dy"":-141,""t"":10816},{""x"":601,""y"":689,""dx"":110,""dy"":-132,""t"":10849},{""x"":596,""y"":692,""dx"":105,""dy"":-129,""t"":10884},{""x"":604,""y"":702,""dx"":113,""dy"":-119,""t"":10918},{""x"":605,""y"":715,""dx"":114,""dy"":-106,""t"":10952},{""x"":610,""y"":721,""dx"":119,""dy"":-100,""t"":10986},{""x"":606,""y"":724,""dx"":115,""dy"":-97,""t"":11019},{""x"":604,""y"":729,""dx"":113,""dy"":-92,""t"":11054},{""x"":614,""y"":734,""dx"":123,""dy"":-87,""t"":11088},{""x"":623,""y"":737,""dx"":132,""dy"":-84,""t"":11119},{""x"":612,""y"":714,""dx"":121,""dy"":-107,""t"":11156},{""x"":603,""y"":709,""dx"":112,""dy"":-112,""t"":11190},{""x"":584,""y"":704,""dx"":93,""dy"":-117,""t"":11223},{""x"":599,""y"":700,""dx"":108,""dy"":-121,""t"":11258},{""x"":599,""y"":694,""dx"":108,""dy"":-127,""t"":11291},{""x"":602,""y"":682,""dx"":111,""dy"":-139,""t"":11326},{""x"":609,""y"":687,""dx"":118,""dy"":-134,""t"":11360},{""x"":605,""y"":681,""dx"":114,""dy"":-140,""t"":11394},{""x"":593,""y"":679,""dx"":102,""dy"":-142,""t"":11428},{""x"":592,""y"":671,""dx"":101,""dy"":-150,""t"":11462},{""x"":592,""y"":673,""dx"":101,""dy"":-148,""t"":11496},{""x"":591,""y"":675,""dx"":100,""dy"":-146,""t"":11528},{""x"":604,""y"":690,""dx"":113,""dy"":-131,""t"":11565},{""x"":616,""y"":699,""dx"":125,""dy"":-122,""t"":11597},{""x"":613,""y"":697,""dx"":122,""dy"":-124,""t"":11632},{""x"":610,""y"":701,""dx"":119,""dy"":-120,""t"":11666},{""x"":617,""y"":705,""dx"":126,""dy"":-116,""t"":11700},{""x"":625,""y"":710,""dx"":134,""dy"":-111,""t"":11734},{""x"":619,""y"":695,""dx"":128,""dy"":-126,""t"":11769},{""x"":619,""y"":679,""dx"":128,""dy"":-142,""t"":11801},{""x"":615,""y"":668,""dx"":124,""dy"":-153,""t"":11835},{""x"":621,""y"":662,""dx"":130,""dy"":-159,""t"":11870},{""x"":615,""y"":642,""dx"":124,""dy"":-179,""t"":11904},{""x"":603,""y"":636,""dx"":112,""dy"":-185,""t"":11937},{""x"":600,""y"":633,""dx"":109,""dy"":-188,""t"":11971},{""x"":573,""y"":627,""dx"":82,""dy"":-194,""t"":12006}],[{""x"":1404,""y"":588,""dx"":-47,""dy"":-233,""t"":13026},{""x"":1383,""y"":604,""dx"":-68,""dy"":-217,""t"":13060},{""x"":1379,""y"":615,""dx"":-72,""dy"":-206,""t"":13092},{""x"":1365,""y"":632,""dx"":-86,""dy"":-189,""t"":13128},{""x"":1379,""y"":652,""dx"":-72,""dy"":-169,""t"":13162},{""x"":1399,""y"":651,""dx"":-52,""dy"":-170,""t"":13195},{""x"":1375,""y"":656,""dx"":-76,""dy"":-165,""t"":13229},{""x"":1376,""y"":662,""dx"":-75,""dy"":-159,""t"":13263},{""x"":1360,""y"":665,""dx"":-91,""dy"":-156,""t"":13298},{""x"":1362,""y"":676,""dx"":-89,""dy"":-145,""t"":13331},{""x"":1380,""y"":662,""dx"":-71,""dy"":-159,""t"":13366},{""x"":1389,""y"":655,""dx"":-62,""dy"":-166,""t"":13399},{""x"":1412,""y"":662,""dx"":-39,""dy"":-159,""t"":13435},{""x"":1420,""y"":655,""dx"":-31,""dy"":-166,""t"":13467},{""x"":1408,""y"":654,""dx"":-43,""dy"":-167,""t"":13501},{""x"":1391,""y"":657,""dx"":-60,""dy"":-164,""t"":13535},{""x"":1381,""y"":655,""dx"":-70,""dy"":-166,""t"":13570},{""x"":1371,""y"":651,""dx"":-80,""dy"":-170,""t"":13604},{""x"":1359,""y"":649,""dx"":-92,""dy"":-172,""t"":13638},{""x"":1370,""y"":656,""dx"":-81,""dy"":-165,""t"":13672},{""x"":1374,""y"":672,""dx"":-77,""dy"":-149,""t"":13707},{""x"":1380,""y"":678,""dx"":-71,""dy"":-143,""t"":13740},{""x"":1384,""y"":679,""dx"":-67,""dy"":-142,""t"":13774},{""x"":1346,""y"":734,""dx"":-105,""dy"":-87,""t"":13808},{""x"":1287,""y"":841,""dx"":-164,""dy"":20,""t"":13842},{""x"":1229,""y"":929,""dx"":-222,""dy"":108,""t"":13876},{""x"":1197,""y"":970,""dx"":-254,""dy"":149,""t"":13910},{""x"":1185,""y"":964,""dx"":-266,""dy"":143,""t"":13944},{""x"":1198,""y"":938,""dx"":-253,""dy"":117,""t"":13977},{""x"":1221,""y"":917,""dx"":-230,""dy"":96,""t"":14012},{""x"":1257,""y"":887,""dx"":-194,""dy"":66,""t"":14046},{""x"":1306,""y"":841,""dx"":-145,""dy"":20,""t"":14080},{""x"":1341,""y"":783,""dx"":-110,""dy"":-38,""t"":14114},{""x"":1356,""y"":765,""dx"":-95,""dy"":-56,""t"":14148},{""x"":1362,""y"":733,""dx"":-89,""dy"":-88,""t"":14181},{""x"":1376,""y"":718,""dx"":-75,""dy"":-103,""t"":14215},{""x"":1373,""y"":673,""dx"":-78,""dy"":-148,""t"":14250},{""x"":1374,""y"":678,""dx"":-77,""dy"":-143,""t"":14284},{""x"":1374,""y"":661,""dx"":-77,""dy"":-160,""t"":14318},{""x"":1411,""y"":669,""dx"":-40,""dy"":-152,""t"":14352},{""x"":1444,""y"":676,""dx"":-7,""dy"":-145,""t"":14387},{""x"":1447,""y"":670,""dx"":-4,""dy"":-151,""t"":14419},{""x"":1452,""y"":638,""dx"":1,""dy"":-183,""t"":14454},{""x"":1446,""y"":623,""dx"":-5,""dy"":-198,""t"":14488},{""x"":1466,""y"":627,""dx"":15,""dy"":-194,""t"":14522},{""x"":1460,""y"":621,""dx"":9,""dy"":-200,""t"":14556},{""x"":1456,""y"":619,""dx"":5,""dy"":-202,""t"":14589},{""x"":1448,""y"":621,""dx"":-3,""dy"":-200,""t"":14624},{""x"":1445,""y"":625,""dx"":-6,""dy"":-196,""t"":14659},{""x"":1439,""y"":631,""dx"":-12,""dy"":-190,""t"":14721},{""x"":1433,""y"":637,""dx"":-18,""dy"":-184,""t"":14728},{""x"":1434,""y"":650,""dx"":-17,""dy"":-171,""t"":14759},{""x"":1442,""y"":651,""dx"":-9,""dy"":-170,""t"":14795},{""x"":1442,""y"":643,""dx"":-9,""dy"":-178,""t"":14827},{""x"":1438,""y"":677,""dx"":-13,""dy"":-144,""t"":14861},{""x"":1435,""y"":654,""dx"":-16,""dy"":-167,""t"":14895},{""x"":1424,""y"":666,""dx"":-27,""dy"":-155,""t"":14930},{""x"":1423,""y"":671,""dx"":-28,""dy"":-150,""t"":14964},{""x"":1423,""y"":687,""dx"":-28,""dy"":-134,""t"":14997}]]","[100,100,89.83050847457628,65,77.96610169491525]","[{""x"":4.779661016949152,""y"":17.440677966101696,""r"":29.689158562811574},{""x"":-43.49152542372882,""y"":12.966101694915254,""r"":28.652601276264285},{""x"":103.86440677966101,""y"":-41.101694915254235,""r"":56.59680396367461},{""x"":86.03333333333333,""y"":-160.75,""r"":81.7901935925172},{""x"":-71.49152542372882,""y"":-126.52542372881356,""r"":61.04604296964895}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
"","html-keyboard-response","10","50237","0.0-6.0-0.0","","","","","855"," ","","<p>回忆实验（两个刺激物）：每个试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，500毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>实验要求：记忆所呈现刺激物和其对应的位置，根据目标提示选择对应刺激的位置，左边按数字键盘的 "" 4 "" ,右边按 "" 6 "",不存在或者不记得的选择 "" 5 "" 。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","51605","0.0-6.0-1.0","","","","","867"," ","","<p>要求：记忆项目的形状。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","52617","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recall","[""4"",""4"",""6"",""6"",""4"",""4"",""5"",""6"",""4"",""4"",""6"",""5"",""5"",""5"",""6"",""6"",""5"",""5"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""4"",""4"",""5"",""6"",""5"",""6"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""4"",""5"",""5"",""6"",""6"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""6"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""4"",""4"",""6"",""5"",""4"",""5"",""4"",""6""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","13","54626","0.0-6.0-2.0-1.0","","","","","null","null","","[""circle"",""rect_1""]","","","","","","","","","","2","","[{""x"":873,""y"":593,""t"":5},{""x"":876,""y"":561,""t"":39},{""x"":879,""y"":548,""t"":72},{""x"":891,""y"":538,""t"":108},{""x"":901,""y"":528,""t"":140},{""x"":910,""y"":525,""t"":174},{""x"":931,""y"":527,""t"":208},{""x"":941,""y"":521,""t"":242},{""x"":941,""y"":526,""t"":276},{""x"":864,""y"":551,""t"":310},{""x"":790,""y"":551,""t"":344},{""x"":732,""y"":563,""t"":379},{""x"":691,""y"":558,""t"":412},{""x"":657,""y"":587,""t"":446},{""x"":626,""y"":597,""t"":480},{""x"":599,""y"":582,""t"":514},{""x"":588,""y"":577,""t"":548},{""x"":575,""y"":561,""t"":583},{""x"":580,""y"":585,""t"":616},{""x"":645,""y"":729,""t"":650},{""x"":710,""y"":884,""t"":684},{""x"":784,""y"":971,""t"":718},{""x"":856,""y"":1001,""t"":751},{""x"":930,""y"":983,""t"":786},{""x"":1029,""y"":948,""t"":820},{""x"":1097,""y"":897,""t"":854},{""x"":1159,""y"":845,""t"":887},{""x"":1180,""y"":779,""t"":921},{""x"":1199,""y"":718,""t"":956},{""x"":1215,""y"":664,""t"":991},{""x"":1250,""y"":639,""t"":1025},{""x"":1270,""y"":589,""t"":1058},{""x"":1275,""y"":557,""t"":1092},{""x"":1272,""y"":522,""t"":1126},{""x"":1265,""y"":498,""t"":1160},{""x"":1264,""y"":483,""t"":1193},{""x"":1262,""y"":474,""t"":1226},{""x"":1261,""y"":474,""t"":1262},{""x"":1267,""y"":500,""t"":1296},{""x"":1252,""y"":508,""t"":1329},{""x"":1244,""y"":523,""t"":1364},{""x"":1247,""y"":541,""t"":1398},{""x"":1257,""y"":553,""t"":1432},{""x"":1259,""y"":574,""t"":1466},{""x"":1264,""y"":583,""t"":1500},{""x"":1262,""y"":592,""t"":1533},{""x"":1262,""y"":588,""t"":1567},{""x"":1253,""y"":583,""t"":1602},{""x"":1250,""y"":578,""t"":1637},{""x"":1251,""y"":567,""t"":1670},{""x"":1250,""y"":571,""t"":1704},{""x"":1231,""y"":587,""t"":1738},{""x"":1189,""y"":580,""t"":1772},{""x"":1139,""y"":573,""t"":1806},{""x"":1102,""y"":555,""t"":1843},{""x"":1073,""y"":543,""t"":1873},{""x"":1045,""y"":531,""t"":1907},{""x"":1027,""y"":533,""t"":1942},{""x"":1007,""y"":519,""t"":1976}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]","","",""
