"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","4479","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4484","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","10559","0.0-2.0-0.0","","","","","6074","{""name"":""罗晨曦"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","12775","0.0-2.0-1.0","","","","","2214","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","16386","0.0-3.0","","","","","","","","1521","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","17558","0.0-4.0-0.0","","","","","1170","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","28271","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","28926","0.0-4.0-2.0","","","","","654","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","47823","0.0-4.0-3.0","","","","","","","","","","[[{""x"":416,""y"":328,""dx"":-75,""dy"":47,""t"":990},{""x"":376,""y"":336,""dx"":-115,""dy"":55,""t"":1024},{""x"":359,""y"":346,""dx"":-132,""dy"":65,""t"":1059},{""x"":366,""y"":337,""dx"":-125,""dy"":56,""t"":1093},{""x"":403,""y"":333,""dx"":-88,""dy"":52,""t"":1126},{""x"":388,""y"":323,""dx"":-103,""dy"":42,""t"":1160},{""x"":438,""y"":329,""dx"":-53,""dy"":48,""t"":1195},{""x"":450,""y"":326,""dx"":-41,""dy"":45,""t"":1229},{""x"":443,""y"":322,""dx"":-48,""dy"":41,""t"":1263},{""x"":410,""y"":338,""dx"":-81,""dy"":57,""t"":1296},{""x"":434,""y"":346,""dx"":-57,""dy"":65,""t"":1329},{""x"":412,""y"":352,""dx"":-79,""dy"":71,""t"":1364},{""x"":431,""y"":351,""dx"":-60,""dy"":70,""t"":1395},{""x"":418,""y"":351,""dx"":-73,""dy"":70,""t"":1431},{""x"":387,""y"":359,""dx"":-104,""dy"":78,""t"":1466},{""x"":386,""y"":363,""dx"":-105,""dy"":82,""t"":1500},{""x"":413,""y"":364,""dx"":-78,""dy"":83,""t"":1534},{""x"":471,""y"":506,""dx"":-20,""dy"":225,""t"":1568},{""x"":553,""y"":654,""dx"":62,""dy"":373,""t"":1602},{""x"":556,""y"":692,""dx"":65,""dy"":411,""t"":1636},{""x"":542,""y"":683,""dx"":51,""dy"":402,""t"":1670},{""x"":577,""y"":645,""dx"":86,""dy"":364,""t"":1705},{""x"":568,""y"":591,""dx"":77,""dy"":310,""t"":1738},{""x"":560,""y"":544,""dx"":69,""dy"":263,""t"":1769},{""x"":553,""y"":496,""dx"":62,""dy"":215,""t"":1806},{""x"":540,""y"":452,""dx"":49,""dy"":171,""t"":1841},{""x"":512,""y"":402,""dx"":21,""dy"":121,""t"":1874},{""x"":466,""y"":379,""dx"":-25,""dy"":98,""t"":1908},{""x"":438,""y"":365,""dx"":-53,""dy"":84,""t"":1943},{""x"":415,""y"":355,""dx"":-76,""dy"":74,""t"":1976},{""x"":376,""y"":345,""dx"":-115,""dy"":64,""t"":2021},{""x"":362,""y"":328,""dx"":-129,""dy"":47,""t"":2059},{""x"":346,""y"":324,""dx"":-145,""dy"":43,""t"":2086},{""x"":339,""y"":320,""dx"":-152,""dy"":39,""t"":2113},{""x"":333,""y"":318,""dx"":-158,""dy"":37,""t"":2147},{""x"":340,""y"":328,""dx"":-151,""dy"":47,""t"":2180},{""x"":334,""y"":344,""dx"":-157,""dy"":63,""t"":2215},{""x"":336,""y"":345,""dx"":-155,""dy"":64,""t"":2248},{""x"":349,""y"":362,""dx"":-142,""dy"":81,""t"":2282},{""x"":356,""y"":361,""dx"":-135,""dy"":80,""t"":2316},{""x"":364,""y"":357,""dx"":-127,""dy"":76,""t"":2350},{""x"":377,""y"":340,""dx"":-114,""dy"":59,""t"":2384},{""x"":394,""y"":345,""dx"":-97,""dy"":64,""t"":2418},{""x"":434,""y"":323,""dx"":-57,""dy"":42,""t"":2452},{""x"":431,""y"":329,""dx"":-60,""dy"":48,""t"":2486},{""x"":421,""y"":335,""dx"":-70,""dy"":54,""t"":2520},{""x"":407,""y"":335,""dx"":-84,""dy"":54,""t"":2554},{""x"":376,""y"":346,""dx"":-115,""dy"":65,""t"":2588},{""x"":397,""y"":330,""dx"":-94,""dy"":49,""t"":2622},{""x"":447,""y"":337,""dx"":-44,""dy"":56,""t"":2656},{""x"":475,""y"":345,""dx"":-16,""dy"":64,""t"":2690},{""x"":510,""y"":325,""dx"":19,""dy"":44,""t"":2724},{""x"":535,""y"":331,""dx"":44,""dy"":50,""t"":2758},{""x"":556,""y"":333,""dx"":65,""dy"":52,""t"":2793},{""x"":576,""y"":305,""dx"":85,""dy"":24,""t"":2827},{""x"":598,""y"":305,""dx"":107,""dy"":24,""t"":2860},{""x"":610,""y"":277,""dx"":119,""dy"":-4,""t"":2895},{""x"":594,""y"":288,""dx"":103,""dy"":7,""t"":2928},{""x"":578,""y"":292,""dx"":87,""dy"":11,""t"":2962},{""x"":573,""y"":292,""dx"":82,""dy"":11,""t"":2996}],[{""x"":1419,""y"":327,""dx"":-32,""dy"":46,""t"":4016},{""x"":1409,""y"":304,""dx"":-42,""dy"":23,""t"":4050},{""x"":1380,""y"":304,""dx"":-71,""dy"":23,""t"":4084},{""x"":1339,""y"":298,""dx"":-112,""dy"":17,""t"":4118},{""x"":1354,""y"":368,""dx"":-97,""dy"":87,""t"":4153},{""x"":1279,""y"":526,""dx"":-172,""dy"":245,""t"":4186},{""x"":1164,""y"":723,""dx"":-287,""dy"":442,""t"":4220},{""x"":1123,""y"":831,""dx"":-328,""dy"":550,""t"":4255},{""x"":1107,""y"":845,""dx"":-344,""dy"":564,""t"":4289},{""x"":1116,""y"":821,""dx"":-335,""dy"":540,""t"":4322},{""x"":1201,""y"":771,""dx"":-250,""dy"":490,""t"":4356},{""x"":1258,""y"":689,""dx"":-193,""dy"":408,""t"":4391},{""x"":1330,""y"":644,""dx"":-121,""dy"":363,""t"":4424},{""x"":1370,""y"":568,""dx"":-81,""dy"":287,""t"":4458},{""x"":1372,""y"":507,""dx"":-79,""dy"":226,""t"":4492},{""x"":1415,""y"":456,""dx"":-36,""dy"":175,""t"":4526},{""x"":1428,""y"":431,""dx"":-23,""dy"":150,""t"":4561},{""x"":1463,""y"":397,""dx"":12,""dy"":116,""t"":4593},{""x"":1437,""y"":377,""dx"":-14,""dy"":96,""t"":4628},{""x"":1452,""y"":335,""dx"":1,""dy"":54,""t"":4663},{""x"":1424,""y"":323,""dx"":-27,""dy"":42,""t"":4696},{""x"":1448,""y"":333,""dx"":-3,""dy"":52,""t"":4730},{""x"":1466,""y"":312,""dx"":15,""dy"":31,""t"":4764},{""x"":1477,""y"":315,""dx"":26,""dy"":34,""t"":4798},{""x"":1473,""y"":328,""dx"":22,""dy"":47,""t"":4832},{""x"":1496,""y"":342,""dx"":45,""dy"":61,""t"":4865},{""x"":1495,""y"":350,""dx"":44,""dy"":69,""t"":4901},{""x"":1470,""y"":346,""dx"":19,""dy"":65,""t"":4931},{""x"":1498,""y"":348,""dx"":47,""dy"":67,""t"":4969},{""x"":1483,""y"":358,""dx"":32,""dy"":77,""t"":5002},{""x"":1512,""y"":351,""dx"":61,""dy"":70,""t"":5036},{""x"":1525,""y"":355,""dx"":74,""dy"":74,""t"":5070},{""x"":1502,""y"":361,""dx"":51,""dy"":80,""t"":5104},{""x"":1502,""y"":344,""dx"":51,""dy"":63,""t"":5139},{""x"":1489,""y"":346,""dx"":38,""dy"":65,""t"":5173},{""x"":1491,""y"":354,""dx"":40,""dy"":73,""t"":5206},{""x"":1512,""y"":347,""dx"":61,""dy"":66,""t"":5240},{""x"":1500,""y"":325,""dx"":49,""dy"":44,""t"":5274},{""x"":1504,""y"":325,""dx"":53,""dy"":44,""t"":5307},{""x"":1481,""y"":336,""dx"":30,""dy"":55,""t"":5339},{""x"":1473,""y"":314,""dx"":22,""dy"":33,""t"":5376},{""x"":1483,""y"":310,""dx"":32,""dy"":29,""t"":5409},{""x"":1475,""y"":297,""dx"":24,""dy"":16,""t"":5444},{""x"":1479,""y"":309,""dx"":28,""dy"":28,""t"":5477},{""x"":1504,""y"":314,""dx"":53,""dy"":33,""t"":5512},{""x"":1510,""y"":321,""dx"":59,""dy"":40,""t"":5546},{""x"":1507,""y"":315,""dx"":56,""dy"":34,""t"":5580},{""x"":1499,""y"":322,""dx"":48,""dy"":41,""t"":5615},{""x"":1466,""y"":300,""dx"":15,""dy"":19,""t"":5647},{""x"":1475,""y"":321,""dx"":24,""dy"":40,""t"":5682},{""x"":1471,""y"":315,""dx"":20,""dy"":34,""t"":5717},{""x"":1446,""y"":327,""dx"":-5,""dy"":46,""t"":5750},{""x"":1426,""y"":316,""dx"":-25,""dy"":35,""t"":5784},{""x"":1412,""y"":302,""dx"":-39,""dy"":21,""t"":5818},{""x"":1411,""y"":317,""dx"":-40,""dy"":36,""t"":5852},{""x"":1403,""y"":334,""dx"":-48,""dy"":53,""t"":5886},{""x"":1384,""y"":341,""dx"":-67,""dy"":60,""t"":5920},{""x"":1384,""y"":354,""dx"":-67,""dy"":73,""t"":5954},{""x"":1364,""y"":352,""dx"":-87,""dy"":71,""t"":5988}],[{""x"":954,""y"":502,""dx"":-17,""dy"":-49,""t"":7008},{""x"":928,""y"":486,""dx"":-43,""dy"":-65,""t"":7042},{""x"":937,""y"":463,""dx"":-34,""dy"":-88,""t"":7077},{""x"":962,""y"":447,""dx"":-9,""dy"":-104,""t"":7111},{""x"":954,""y"":438,""dx"":-17,""dy"":-113,""t"":7145},{""x"":968,""y"":451,""dx"":-3,""dy"":-100,""t"":7178},{""x"":970,""y"":440,""dx"":-1,""dy"":-111,""t"":7213},{""x"":978,""y"":449,""dx"":7,""dy"":-102,""t"":7247},{""x"":994,""y"":492,""dx"":23,""dy"":-59,""t"":7280},{""x"":994,""y"":487,""dx"":23,""dy"":-64,""t"":7314},{""x"":961,""y"":474,""dx"":-10,""dy"":-77,""t"":7348},{""x"":957,""y"":464,""dx"":-14,""dy"":-87,""t"":7382},{""x"":946,""y"":445,""dx"":-25,""dy"":-106,""t"":7417},{""x"":931,""y"":445,""dx"":-40,""dy"":-106,""t"":7451},{""x"":922,""y"":433,""dx"":-49,""dy"":-118,""t"":7484},{""x"":924,""y"":439,""dx"":-47,""dy"":-112,""t"":7518},{""x"":917,""y"":437,""dx"":-54,""dy"":-114,""t"":7553},{""x"":918,""y"":430,""dx"":-53,""dy"":-121,""t"":7586},{""x"":893,""y"":426,""dx"":-78,""dy"":-125,""t"":7620},{""x"":866,""y"":423,""dx"":-105,""dy"":-128,""t"":7654},{""x"":879,""y"":447,""dx"":-92,""dy"":-104,""t"":7688},{""x"":875,""y"":448,""dx"":-96,""dy"":-103,""t"":7722},{""x"":860,""y"":449,""dx"":-111,""dy"":-102,""t"":7756},{""x"":869,""y"":458,""dx"":-102,""dy"":-93,""t"":7790},{""x"":866,""y"":453,""dx"":-105,""dy"":-98,""t"":7823},{""x"":867,""y"":442,""dx"":-104,""dy"":-109,""t"":7857},{""x"":869,""y"":440,""dx"":-102,""dy"":-111,""t"":7893},{""x"":876,""y"":437,""dx"":-95,""dy"":-114,""t"":7927},{""x"":889,""y"":441,""dx"":-82,""dy"":-110,""t"":7960},{""x"":888,""y"":440,""dx"":-83,""dy"":-111,""t"":7994},{""x"":903,""y"":452,""dx"":-68,""dy"":-99,""t"":8028},{""x"":894,""y"":452,""dx"":-77,""dy"":-99,""t"":8063},{""x"":897,""y"":444,""dx"":-74,""dy"":-107,""t"":8096},{""x"":904,""y"":439,""dx"":-67,""dy"":-112,""t"":8130},{""x"":901,""y"":446,""dx"":-70,""dy"":-105,""t"":8164},{""x"":908,""y"":445,""dx"":-63,""dy"":-106,""t"":8198},{""x"":936,""y"":458,""dx"":-35,""dy"":-93,""t"":8232},{""x"":919,""y"":470,""dx"":-52,""dy"":-81,""t"":8266},{""x"":935,""y"":474,""dx"":-36,""dy"":-77,""t"":8299},{""x"":947,""y"":480,""dx"":-24,""dy"":-71,""t"":8335},{""x"":951,""y"":484,""dx"":-20,""dy"":-67,""t"":8368},{""x"":945,""y"":491,""dx"":-26,""dy"":-60,""t"":8402},{""x"":949,""y"":495,""dx"":-22,""dy"":-56,""t"":8437},{""x"":936,""y"":488,""dx"":-35,""dy"":-63,""t"":8470},{""x"":938,""y"":506,""dx"":-33,""dy"":-45,""t"":8504},{""x"":940,""y"":513,""dx"":-31,""dy"":-38,""t"":8536},{""x"":922,""y"":513,""dx"":-49,""dy"":-38,""t"":8572},{""x"":913,""y"":501,""dx"":-58,""dy"":-50,""t"":8606},{""x"":896,""y"":488,""dx"":-75,""dy"":-63,""t"":8641},{""x"":892,""y"":481,""dx"":-79,""dy"":-70,""t"":8673},{""x"":888,""y"":469,""dx"":-83,""dy"":-82,""t"":8707},{""x"":883,""y"":457,""dx"":-88,""dy"":-94,""t"":8742},{""x"":880,""y"":446,""dx"":-91,""dy"":-105,""t"":8776},{""x"":874,""y"":454,""dx"":-97,""dy"":-97,""t"":8810},{""x"":879,""y"":453,""dx"":-92,""dy"":-98,""t"":8845},{""x"":915,""y"":449,""dx"":-56,""dy"":-102,""t"":8878},{""x"":921,""y"":455,""dx"":-50,""dy"":-96,""t"":8910},{""x"":920,""y"":456,""dx"":-51,""dy"":-95,""t"":8945},{""x"":909,""y"":456,""dx"":-62,""dy"":-95,""t"":8980},{""x"":904,""y"":450,""dx"":-67,""dy"":-101,""t"":9014}],[{""x"":638,""y"":622,""dx"":147,""dy"":-199,""t"":10033},{""x"":646,""y"":631,""dx"":155,""dy"":-190,""t"":10068},{""x"":653,""y"":638,""dx"":162,""dy"":-183,""t"":10100},{""x"":639,""y"":632,""dx"":148,""dy"":-189,""t"":10137},{""x"":648,""y"":634,""dx"":157,""dy"":-187,""t"":10170},{""x"":653,""y"":639,""dx"":162,""dy"":-182,""t"":10204},{""x"":647,""y"":639,""dx"":156,""dy"":-182,""t"":10238},{""x"":628,""y"":622,""dx"":137,""dy"":-199,""t"":10272},{""x"":645,""y"":627,""dx"":154,""dy"":-194,""t"":10305},{""x"":666,""y"":640,""dx"":175,""dy"":-181,""t"":10340},{""x"":655,""y"":639,""dx"":164,""dy"":-182,""t"":10374},{""x"":647,""y"":631,""dx"":156,""dy"":-190,""t"":10409},{""x"":655,""y"":638,""dx"":164,""dy"":-183,""t"":10442},{""x"":661,""y"":636,""dx"":170,""dy"":-185,""t"":10476},{""x"":667,""y"":634,""dx"":176,""dy"":-187,""t"":10508},{""x"":648,""y"":641,""dx"":157,""dy"":-180,""t"":10544},{""x"":639,""y"":649,""dx"":148,""dy"":-172,""t"":10577},{""x"":617,""y"":661,""dx"":126,""dy"":-160,""t"":10612},{""x"":601,""y"":667,""dx"":110,""dy"":-154,""t"":10646},{""x"":605,""y"":688,""dx"":114,""dy"":-133,""t"":10680},{""x"":610,""y"":680,""dx"":119,""dy"":-141,""t"":10714},{""x"":582,""y"":669,""dx"":91,""dy"":-152,""t"":10748},{""x"":582,""y"":670,""dx"":91,""dy"":-151,""t"":10783},{""x"":587,""y"":671,""dx"":96,""dy"":-150,""t"":10816},{""x"":595,""y"":674,""dx"":104,""dy"":-147,""t"":10850},{""x"":605,""y"":667,""dx"":114,""dy"":-154,""t"":10883},{""x"":632,""y"":671,""dx"":141,""dy"":-150,""t"":10919},{""x"":638,""y"":693,""dx"":147,""dy"":-128,""t"":10952},{""x"":636,""y"":690,""dx"":145,""dy"":-131,""t"":10986},{""x"":629,""y"":696,""dx"":138,""dy"":-125,""t"":11020},{""x"":621,""y"":675,""dx"":130,""dy"":-146,""t"":11054},{""x"":636,""y"":674,""dx"":145,""dy"":-147,""t"":11088},{""x"":643,""y"":655,""dx"":152,""dy"":-166,""t"":11122},{""x"":660,""y"":672,""dx"":169,""dy"":-149,""t"":11157},{""x"":653,""y"":673,""dx"":162,""dy"":-148,""t"":11191},{""x"":638,""y"":671,""dx"":147,""dy"":-150,""t"":11267},{""x"":655,""y"":692,""dx"":164,""dy"":-129,""t"":11293},{""x"":637,""y"":695,""dx"":146,""dy"":-126,""t"":11326},{""x"":616,""y"":677,""dx"":125,""dy"":-144,""t"":11360},{""x"":584,""y"":672,""dx"":93,""dy"":-149,""t"":11394},{""x"":550,""y"":674,""dx"":59,""dy"":-147,""t"":11428},{""x"":546,""y"":689,""dx"":55,""dy"":-132,""t"":11461},{""x"":501,""y"":674,""dx"":10,""dy"":-147,""t"":11496},{""x"":518,""y"":661,""dx"":27,""dy"":-160,""t"":11531},{""x"":510,""y"":663,""dx"":19,""dy"":-158,""t"":11564},{""x"":507,""y"":667,""dx"":16,""dy"":-154,""t"":11599},{""x"":539,""y"":664,""dx"":48,""dy"":-157,""t"":11632},{""x"":579,""y"":651,""dx"":88,""dy"":-170,""t"":11666},{""x"":602,""y"":659,""dx"":111,""dy"":-162,""t"":11700},{""x"":624,""y"":661,""dx"":133,""dy"":-160,""t"":11734},{""x"":593,""y"":678,""dx"":102,""dy"":-143,""t"":11768},{""x"":561,""y"":682,""dx"":70,""dy"":-139,""t"":11802},{""x"":559,""y"":691,""dx"":68,""dy"":-130,""t"":11836},{""x"":554,""y"":673,""dx"":63,""dy"":-148,""t"":11871},{""x"":564,""y"":683,""dx"":73,""dy"":-138,""t"":11904},{""x"":570,""y"":673,""dx"":79,""dy"":-148,""t"":11938},{""x"":560,""y"":685,""dx"":69,""dy"":-136,""t"":11972},{""x"":571,""y"":673,""dx"":80,""dy"":-148,""t"":12007}],[{""x"":1405,""y"":654,""dx"":-46,""dy"":-167,""t"":13027},{""x"":1335,""y"":635,""dx"":-116,""dy"":-186,""t"":13061},{""x"":1285,""y"":642,""dx"":-166,""dy"":-179,""t"":13094},{""x"":1238,""y"":645,""dx"":-213,""dy"":-176,""t"":13128},{""x"":1214,""y"":639,""dx"":-237,""dy"":-182,""t"":13163},{""x"":1243,""y"":626,""dx"":-208,""dy"":-195,""t"":13196},{""x"":1232,""y"":637,""dx"":-219,""dy"":-184,""t"":13230},{""x"":1217,""y"":634,""dx"":-234,""dy"":-187,""t"":13264},{""x"":1261,""y"":637,""dx"":-190,""dy"":-184,""t"":13299},{""x"":1295,""y"":631,""dx"":-156,""dy"":-190,""t"":13332},{""x"":1314,""y"":638,""dx"":-137,""dy"":-183,""t"":13367},{""x"":1322,""y"":646,""dx"":-129,""dy"":-175,""t"":13400},{""x"":1373,""y"":664,""dx"":-78,""dy"":-157,""t"":13434},{""x"":1388,""y"":666,""dx"":-63,""dy"":-155,""t"":13468},{""x"":1417,""y"":676,""dx"":-34,""dy"":-145,""t"":13501},{""x"":1421,""y"":685,""dx"":-30,""dy"":-136,""t"":13536},{""x"":1420,""y"":684,""dx"":-31,""dy"":-137,""t"":13569},{""x"":1416,""y"":687,""dx"":-35,""dy"":-134,""t"":13604},{""x"":1409,""y"":697,""dx"":-42,""dy"":-124,""t"":13638},{""x"":1402,""y"":705,""dx"":-49,""dy"":-116,""t"":13670},{""x"":1397,""y"":682,""dx"":-54,""dy"":-139,""t"":13706},{""x"":1377,""y"":669,""dx"":-74,""dy"":-152,""t"":13740},{""x"":1365,""y"":661,""dx"":-86,""dy"":-160,""t"":13774},{""x"":1336,""y"":652,""dx"":-115,""dy"":-169,""t"":13808},{""x"":1314,""y"":652,""dx"":-137,""dy"":-169,""t"":13842},{""x"":1304,""y"":645,""dx"":-147,""dy"":-176,""t"":13876},{""x"":1278,""y"":644,""dx"":-173,""dy"":-177,""t"":13911},{""x"":1258,""y"":646,""dx"":-193,""dy"":-175,""t"":13945},{""x"":1250,""y"":645,""dx"":-201,""dy"":-176,""t"":13978},{""x"":1253,""y"":644,""dx"":-198,""dy"":-177,""t"":14013},{""x"":1257,""y"":642,""dx"":-194,""dy"":-179,""t"":14044},{""x"":1252,""y"":638,""dx"":-199,""dy"":-183,""t"":14081},{""x"":1220,""y"":641,""dx"":-231,""dy"":-180,""t"":14114},{""x"":1222,""y"":649,""dx"":-229,""dy"":-172,""t"":14149},{""x"":1214,""y"":636,""dx"":-237,""dy"":-185,""t"":14183},{""x"":1208,""y"":638,""dx"":-243,""dy"":-183,""t"":14216},{""x"":1229,""y"":632,""dx"":-222,""dy"":-189,""t"":14250},{""x"":1235,""y"":631,""dx"":-216,""dy"":-190,""t"":14284},{""x"":1247,""y"":651,""dx"":-204,""dy"":-170,""t"":14319},{""x"":1262,""y"":656,""dx"":-189,""dy"":-165,""t"":14351},{""x"":1275,""y"":661,""dx"":-176,""dy"":-160,""t"":14386},{""x"":1289,""y"":666,""dx"":-162,""dy"":-155,""t"":14420},{""x"":1303,""y"":671,""dx"":-148,""dy"":-150,""t"":14454},{""x"":1316,""y"":670,""dx"":-135,""dy"":-151,""t"":14489},{""x"":1321,""y"":666,""dx"":-130,""dy"":-155,""t"":14522},{""x"":1319,""y"":663,""dx"":-132,""dy"":-158,""t"":14556},{""x"":1300,""y"":664,""dx"":-151,""dy"":-157,""t"":14590},{""x"":1302,""y"":681,""dx"":-149,""dy"":-140,""t"":14624},{""x"":1276,""y"":704,""dx"":-175,""dy"":-117,""t"":14659},{""x"":1255,""y"":688,""dx"":-196,""dy"":-133,""t"":14691},{""x"":1236,""y"":668,""dx"":-215,""dy"":-153,""t"":14727},{""x"":1217,""y"":661,""dx"":-234,""dy"":-160,""t"":14761},{""x"":1202,""y"":676,""dx"":-249,""dy"":-145,""t"":14794},{""x"":1206,""y"":674,""dx"":-245,""dy"":-147,""t"":14828},{""x"":1203,""y"":680,""dx"":-248,""dy"":-141,""t"":14862},{""x"":1214,""y"":685,""dx"":-237,""dy"":-136,""t"":14896},{""x"":1222,""y"":684,""dx"":-229,""dy"":-137,""t"":14931},{""x"":1225,""y"":684,""dx"":-226,""dy"":-137,""t"":14964},{""x"":1239,""y"":678,""dx"":-212,""dy"":-143,""t"":14997},{""x"":1235,""y"":685,""dx"":-216,""dy"":-136,""t"":15032}]]","[86.66666666666667,83.05084745762711,100,55.172413793103445,20]","[{""x"":-44.25,""y"":92.55,""r"":119.78357832223764},{""x"":-31.74576271186441,""y"":115.64406779661017,""r"":96.66114920178663},{""x"":-54.15,""y"":-91.15,""r"":55.49597623591933},{""x"":117.70689655172414,""y"":-158.13793103448276,""r"":67.52521971936206},{""x"":-163.66666666666666,""y"":-161.15,""r"":81.64467840308063}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","","",""
"","html-button-response","9","48414","0.0-4.0-4.0-0.0-0.0","","","","","590","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","10","57923","0.0-4.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","11","58991","0.0-4.0-4.0-0.0-2.0","","","","","1067","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","recalibration","","","","","","","","","",""
