index,name,age,sex,rt,response,answer,stimulus,target,correct,webgazer_data,webgazer_targets_data,canvas_data,fixation,fixation_target,first_dot
0,scc,24.0,男,,,,,,,,,,,,
1,,,,658.0,4.0,4.0,"[""purple"",""yellow"",""green"",""red"",""cyan"",""blue""]",purple,True,"[{""x"":913,""y"":339,""t"":4},{""x"":996,""y"":422,""t"":38},{""x"":1102,""y"":497,""t"":72},{""x"":1175,""y"":618,""t"":106},{""x"":1247,""y"":737,""t"":140},{""x"":1231,""y"":739,""t"":174},{""x"":1172,""y"":813,""t"":208},{""x"":1153,""y"":911,""t"":242},{""x"":1166,""y"":938,""t"":277},{""x"":1174,""y"":954,""t"":308},{""x"":1135,""y"":929,""t"":343},{""x"":1140,""y"":955,""t"":379},{""x"":1082,""y"":985,""t"":412},{""x"":1077,""y"":959,""t"":446},{""x"":1068,""y"":948,""t"":480},{""x"":1003,""y"":929,""t"":515},{""x"":956,""y"":934,""t"":549},{""x"":857,""y"":989,""t"":582},{""x"":863,""y"":1015,""t"":628}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'yellow': [{'x': 503, 'y': 284.609375, 't': 4, 'tagged': True}]}, {'red': [{'x': 765, 'y': 563.609375, 't': 106, 'tagged': False}]}, {'cyan': [{'x': 821, 'y': 684.609375, 't': 174, 'tagged': False}, {'x': 762, 'y': 758.609375, 't': 208, 'tagged': False}, {'x': 743, 'y': 856.609375, 't': 242, 'tagged': False}, {'x': 756, 'y': 883.609375, 't': 277, 'tagged': False}, {'x': 725, 'y': 874.609375, 't': 343, 'tagged': False}, {'x': 730, 'y': 900.609375, 't': 379, 'tagged': False}, {'x': 667, 'y': 904.609375, 't': 446, 'tagged': False}, {'x': 658, 'y': 893.609375, 't': 480, 'tagged': False}]}]",,yellow
2,,,,692.0,3.0,3.0,"[""blue"",""green"",""cyan"",""red"",""yellow"",""purple""]",yellow,True,"[{""x"":858,""y"":974,""t"":5},{""x"":952,""y"":833,""t"":42},{""x"":902,""y"":769,""t"":73},{""x"":978,""y"":683,""t"":105},{""x"":1092,""y"":590,""t"":140},{""x"":1170,""y"":550,""t"":171},{""x"":1185,""y"":534,""t"":208},{""x"":1245,""y"":527,""t"":242},{""x"":1342,""y"":462,""t"":277},{""x"":1304,""y"":493,""t"":310},{""x"":1243,""y"":491,""t"":344},{""x"":1270,""y"":545,""t"":378},{""x"":1268,""y"":562,""t"":412},{""x"":1277,""y"":565,""t"":446},{""x"":1283,""y"":539,""t"":479},{""x"":1317,""y"":543,""t"":513},{""x"":1366,""y"":485,""t"":547},{""x"":1406,""y"":438,""t"":579},{""x"":1426,""y"":455,""t"":615},{""x"":1405,""y"":487,""t"":650}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'red': [{'x': 760, 'y': 495.609375, 't': 171, 'tagged': False}, {'x': 775, 'y': 479.609375, 't': 208, 'tagged': False}, {'x': 835, 'y': 472.609375, 't': 242, 'tagged': False}, {'x': 932, 'y': 407.609375, 't': 277, 'tagged': False}, {'x': 894, 'y': 438.609375, 't': 310, 'tagged': False}, {'x': 833, 'y': 436.609375, 't': 344, 'tagged': False}, {'x': 860, 'y': 490.609375, 't': 378, 'tagged': False}, {'x': 858, 'y': 507.609375, 't': 412, 'tagged': False}, {'x': 867, 'y': 510.609375, 't': 446, 'tagged': False}, {'x': 873, 'y': 484.609375, 't': 479, 'tagged': False}, {'x': 907, 'y': 488.609375, 't': 513, 'tagged': False}, {'x': 956, 'y': 430.609375, 't': 547, 'tagged': False}]}, {'purple': [{'x': 542, 'y': 778.609375, 't': 42, 'tagged': True}, {'x': 492, 'y': 714.609375, 't': 73, 'tagged': False}]}]",,purple
3,,,,502.0,4.0,4.0,"[""green"",""purple"",""cyan"",""blue"",""red"",""yellow""]",green,True,"[{""x"":1322,""y"":569,""t"":5},{""x"":1340,""y"":578,""t"":44},{""x"":1214,""y"":536,""t"":76},{""x"":1206,""y"":535,""t"":106},{""x"":1096,""y"":614,""t"":140},{""x"":988,""y"":678,""t"":173},{""x"":933,""y"":710,""t"":209},{""x"":960,""y"":708,""t"":242},{""x"":929,""y"":734,""t"":275},{""x"":992,""y"":748,""t"":310},{""x"":984,""y"":802,""t"":344},{""x"":953,""y"":844,""t"":378},{""x"":928,""y"":866,""t"":411},{""x"":862,""y"":797,""t"":446},{""x"":857,""y"":757,""t"":480}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'blue': [{'x': 912, 'y': 514.609375, 't': 5, 'tagged': True}, {'x': 930, 'y': 523.609375, 't': 44, 'tagged': False}, {'x': 804, 'y': 481.609375, 't': 76, 'tagged': False}, {'x': 796, 'y': 480.609375, 't': 106, 'tagged': False}]}, {'red': [{'x': 582, 'y': 693.609375, 't': 310, 'tagged': False}, {'x': 574, 'y': 747.609375, 't': 344, 'tagged': False}]}, {'yellow': [{'x': 519, 'y': 679.609375, 't': 275, 'tagged': False}, {'x': 543, 'y': 789.609375, 't': 378, 'tagged': False}, {'x': 518, 'y': 811.609375, 't': 411, 'tagged': False}, {'x': 452, 'y': 742.609375, 't': 446, 'tagged': False}, {'x': 447, 'y': 702.609375, 't': 480, 'tagged': False}]}]",,blue
4,,,,533.0,7.0,7.0,"[""blue"",""red"",""cyan"",""purple"",""yellow"",""green""]",red,True,"[{""x"":973,""y"":687,""t"":5},{""x"":1071,""y"":647,""t"":43},{""x"":1155,""y"":614,""t"":70},{""x"":1202,""y"":617,""t"":106},{""x"":1133,""y"":685,""t"":140},{""x"":1081,""y"":672,""t"":174},{""x"":1097,""y"":610,""t"":207},{""x"":1137,""y"":587,""t"":242},{""x"":1107,""y"":541,""t"":276},{""x"":1045,""y"":533,""t"":309},{""x"":1036,""y"":509,""t"":344},{""x"":988,""y"":532,""t"":378},{""x"":936,""y"":532,""t"":412},{""x"":950,""y"":614,""t"":446},{""x"":979,""y"":547,""t"":480}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'purple': [{'x': 745, 'y': 559.609375, 't': 70, 'tagged': True}, {'x': 792, 'y': 562.609375, 't': 106, 'tagged': False}, {'x': 727, 'y': 532.609375, 't': 242, 'tagged': False}]}, {'yellow': [{'x': 723, 'y': 630.609375, 't': 140, 'tagged': False}, {'x': 671, 'y': 617.609375, 't': 174, 'tagged': False}]}]",,purple
5,,,,473.0,6.0,6.0,"[""purple"",""green"",""blue"",""cyan"",""red"",""yellow""]",cyan,True,"[{""x"":1056,""y"":553,""t"":4},{""x"":1090,""y"":545,""t"":42},{""x"":1070,""y"":574,""t"":72},{""x"":1021,""y"":598,""t"":107},{""x"":974,""y"":607,""t"":141},{""x"":994,""y"":600,""t"":173},{""x"":1061,""y"":596,""t"":209},{""x"":1059,""y"":619,""t"":242},{""x"":1084,""y"":609,""t"":276},{""x"":1113,""y"":581,""t"":311},{""x"":1133,""y"":573,""t"":345},{""x"":1175,""y"":597,""t"":378},{""x"":1274,""y"":617,""t"":412},{""x"":1376,""y"":604,""t"":446}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'cyan': [{'x': 703, 'y': 526.609375, 't': 311, 'tagged': True}, {'x': 723, 'y': 518.609375, 't': 345, 'tagged': False}, {'x': 765, 'y': 542.609375, 't': 378, 'tagged': False}, {'x': 864, 'y': 562.609375, 't': 412, 'tagged': False}, {'x': 966, 'y': 549.609375, 't': 446, 'tagged': False}]}]","{'cyan': [{'x': 703, 'y': 526.609375, 't': 311, 'tagged': True}, {'x': 723, 'y': 518.609375, 't': 345, 'tagged': False}, {'x': 765, 'y': 542.609375, 't': 378, 'tagged': False}, {'x': 864, 'y': 562.609375, 't': 412, 'tagged': False}, {'x': 966, 'y': 549.609375, 't': 446, 'tagged': False}]}",cyan
6,,,,674.0,9.0,9.0,"[""green"",""purple"",""cyan"",""blue"",""yellow"",""red""]",cyan,True,"[{""x"":1334,""y"":636,""t"":5},{""x"":1318,""y"":640,""t"":42},{""x"":1276,""y"":665,""t"":73},{""x"":1262,""y"":678,""t"":107},{""x"":1248,""y"":688,""t"":138},{""x"":1207,""y"":575,""t"":174},{""x"":1123,""y"":581,""t"":208},{""x"":1135,""y"":633,""t"":243},{""x"":1066,""y"":692,""t"":277},{""x"":988,""y"":739,""t"":310},{""x"":922,""y"":791,""t"":344},{""x"":967,""y"":780,""t"":378},{""x"":1029,""y"":832,""t"":412},{""x"":1130,""y"":858,""t"":446},{""x"":1225,""y"":861,""t"":480},{""x"":1366,""y"":859,""t"":514},{""x"":1371,""y"":830,""t"":547},{""x"":1383,""y"":802,""t"":582},{""x"":1385,""y"":763,""t"":617},{""x"":1436,""y"":828,""t"":650}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'blue': [{'x': 924, 'y': 581.609375, 't': 5, 'tagged': True}, {'x': 908, 'y': 585.609375, 't': 42, 'tagged': False}, {'x': 866, 'y': 610.609375, 't': 73, 'tagged': False}, {'x': 852, 'y': 623.609375, 't': 107, 'tagged': False}, {'x': 838, 'y': 633.609375, 't': 138, 'tagged': False}, {'x': 797, 'y': 520.609375, 't': 174, 'tagged': False}, {'x': 713, 'y': 526.609375, 't': 208, 'tagged': False}, {'x': 725, 'y': 578.609375, 't': 243, 'tagged': False}]}, {'yellow': [{'x': 656, 'y': 637.609375, 't': 277, 'tagged': False}, {'x': 578, 'y': 684.609375, 't': 310, 'tagged': False}, {'x': 557, 'y': 725.609375, 't': 378, 'tagged': False}, {'x': 619, 'y': 777.609375, 't': 412, 'tagged': False}, {'x': 720, 'y': 803.609375, 't': 446, 'tagged': False}, {'x': 815, 'y': 806.609375, 't': 480, 'tagged': False}]}, {'red': [{'x': 512, 'y': 736.609375, 't': 344, 'tagged': False}]}]",,blue
7,,,,555.0,4.0,4.0,"[""cyan"",""green"",""red"",""yellow"",""blue"",""purple""]",cyan,True,"[{""x"":1365,""y"":679,""t"":4},{""x"":1260,""y"":573,""t"":39},{""x"":1177,""y"":463,""t"":72},{""x"":1090,""y"":455,""t"":107},{""x"":1008,""y"":388,""t"":140},{""x"":953,""y"":370,""t"":175},{""x"":832,""y"":309,""t"":209},{""x"":732,""y"":295,""t"":242},{""x"":714,""y"":316,""t"":275},{""x"":766,""y"":328,""t"":310},{""x"":758,""y"":294,""t"":344},{""x"":741,""y"":313,""t"":377},{""x"":689,""y"":367,""t"":412},{""x"":627,""y"":450,""t"":447},{""x"":574,""y"":469,""t"":481},{""x"":559,""y"":439,""t"":514}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'cyan': [{'x': 217, 'y': 395.609375, 't': 447, 'tagged': False}, {'x': 164, 'y': 414.609375, 't': 481, 'tagged': False}]}, {'green': [{'x': 422, 'y': 254.609375, 't': 209, 'tagged': False}, {'x': 322, 'y': 240.609375, 't': 242, 'tagged': False}, {'x': 304, 'y': 261.609375, 't': 275, 'tagged': False}, {'x': 356, 'y': 273.609375, 't': 310, 'tagged': False}, {'x': 348, 'y': 239.609375, 't': 344, 'tagged': False}, {'x': 331, 'y': 258.609375, 't': 377, 'tagged': False}, {'x': 279, 'y': 312.609375, 't': 412, 'tagged': False}]}, {'red': [{'x': 598, 'y': 333.609375, 't': 140, 'tagged': False}]}, {'yellow': [{'x': 850, 'y': 518.609375, 't': 39, 'tagged': True}, {'x': 767, 'y': 408.609375, 't': 72, 'tagged': False}]}]","{'cyan': [{'x': 217, 'y': 395.609375, 't': 447, 'tagged': False}, {'x': 164, 'y': 414.609375, 't': 481, 'tagged': False}]}",yellow
8,,,,806.0,9.0,9.0,"[""yellow"",""purple"",""green"",""blue"",""red"",""cyan""]",green,True,"[{""x"":668,""y"":458,""t"":5},{""x"":727,""y"":512,""t"":43},{""x"":840,""y"":540,""t"":73},{""x"":827,""y"":572,""t"":106},{""x"":913,""y"":575,""t"":140},{""x"":931,""y"":545,""t"":175},{""x"":982,""y"":550,""t"":208},{""x"":1008,""y"":543,""t"":242},{""x"":1071,""y"":534,""t"":276},{""x"":1088,""y"":541,""t"":310},{""x"":1053,""y"":585,""t"":345},{""x"":1073,""y"":565,""t"":375},{""x"":1091,""y"":609,""t"":412},{""x"":1092,""y"":523,""t"":447},{""x"":1119,""y"":490,""t"":480},{""x"":1112,""y"":481,""t"":514},{""x"":1149,""y"":484,""t"":549},{""x"":1169,""y"":455,""t"":582},{""x"":1151,""y"":456,""t"":617},{""x"":1093,""y"":472,""t"":657},{""x"":1066,""y"":472,""t"":684},{""x"":1030,""y"":482,""t"":718},{""x"":994,""y"":449,""t"":752},{""x"":1023,""y"":411,""t"":785}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'yellow': [{'x': 258, 'y': 403.609375, 't': 5, 'tagged': True}, {'x': 317, 'y': 457.609375, 't': 43, 'tagged': False}]}, {'green': [{'x': 613, 'y': 356.609375, 't': 785, 'tagged': False}]}, {'blue': [{'x': 739, 'y': 429.609375, 't': 549, 'tagged': False}, {'x': 759, 'y': 400.609375, 't': 582, 'tagged': False}, {'x': 741, 'y': 401.609375, 't': 617, 'tagged': False}]}]","{'green': [{'x': 613, 'y': 356.609375, 't': 785, 'tagged': False}]}",yellow
9,,,,597.0,1.0,1.0,"[""yellow"",""blue"",""purple"",""red"",""cyan"",""green""]",green,True,"[{""x"":938,""y"":400,""t"":5},{""x"":913,""y"":372,""t"":40},{""x"":999,""y"":368,""t"":72},{""x"":1056,""y"":346,""t"":105},{""x"":1105,""y"":329,""t"":138},{""x"":1164,""y"":369,""t"":174},{""x"":1169,""y"":315,""t"":208},{""x"":1150,""y"":344,""t"":242},{""x"":1113,""y"":388,""t"":276},{""x"":1047,""y"":457,""t"":309},{""x"":1077,""y"":448,""t"":343},{""x"":1067,""y"":452,""t"":379},{""x"":1038,""y"":469,""t"":412},{""x"":1021,""y"":467,""t"":446},{""x"":1021,""y"":474,""t"":479},{""x"":1044,""y"":510,""t"":512},{""x"":1066,""y"":465,""t"":548}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'blue': [{'x': 503, 'y': 317.609375, 't': 40, 'tagged': True}]}, {'purple': [{'x': 589, 'y': 313.609375, 't': 72, 'tagged': False}, {'x': 646, 'y': 291.609375, 't': 105, 'tagged': False}, {'x': 695, 'y': 274.609375, 't': 138, 'tagged': False}, {'x': 754, 'y': 314.609375, 't': 174, 'tagged': False}, {'x': 759, 'y': 260.609375, 't': 208, 'tagged': False}, {'x': 740, 'y': 289.609375, 't': 242, 'tagged': False}, {'x': 703, 'y': 333.609375, 't': 276, 'tagged': False}]}]",,blue
10,,,,541.0,1.0,1.0,"[""blue"",""cyan"",""red"",""green"",""purple"",""yellow""]",yellow,True,"[{""x"":1014,""y"":535,""t"":5},{""x"":1000,""y"":506,""t"":43},{""x"":959,""y"":485,""t"":74},{""x"":960,""y"":440,""t"":106},{""x"":957,""y"":401,""t"":140},{""x"":963,""y"":359,""t"":174},{""x"":934,""y"":373,""t"":207},{""x"":983,""y"":308,""t"":241},{""x"":1010,""y"":290,""t"":276},{""x"":1024,""y"":273,""t"":309},{""x"":1036,""y"":338,""t"":343},{""x"":1033,""y"":416,""t"":377},{""x"":1019,""y"":487,""t"":412},{""x"":958,""y"":542,""t"":446},{""x"":869,""y"":550,""t"":479},{""x"":819,""y"":592,""t"":514}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'cyan': [{'x': 524, 'y': 318.609375, 't': 207, 'tagged': True}]}, {'red': [{'x': 573, 'y': 253.609375, 't': 241, 'tagged': False}, {'x': 600, 'y': 235.609375, 't': 276, 'tagged': False}, {'x': 614, 'y': 218.609375, 't': 309, 'tagged': False}, {'x': 626, 'y': 283.609375, 't': 343, 'tagged': False}, {'x': 623, 'y': 361.609375, 't': 377, 'tagged': False}]}]",,cyan
11,,,,538.0,1.0,1.0,"[""blue"",""green"",""red"",""yellow"",""purple"",""cyan""]",cyan,True,"[{""x"":787,""y"":640,""t"":5},{""x"":784,""y"":698,""t"":39},{""x"":883,""y"":678,""t"":73},{""x"":898,""y"":704,""t"":114},{""x"":957,""y"":697,""t"":141},{""x"":952,""y"":716,""t"":174},{""x"":964,""y"":727,""t"":209},{""x"":1034,""y"":675,""t"":242},{""x"":1044,""y"":756,""t"":276},{""x"":1023,""y"":764,""t"":310},{""x"":1019,""y"":798,""t"":344},{""x"":988,""y"":836,""t"":377},{""x"":971,""y"":849,""t"":412},{""x"":927,""y"":851,""t"":447},{""x"":943,""y"":890,""t"":480},{""x"":952,""y"":860,""t"":514}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'purple': [{'x': 634, 'y': 701.609375, 't': 276, 'tagged': False}, {'x': 613, 'y': 709.609375, 't': 310, 'tagged': False}, {'x': 609, 'y': 743.609375, 't': 344, 'tagged': False}, {'x': 578, 'y': 781.609375, 't': 377, 'tagged': False}, {'x': 561, 'y': 794.609375, 't': 412, 'tagged': False}]}, {'cyan': [{'x': 374, 'y': 643.609375, 't': 39, 'tagged': True}, {'x': 488, 'y': 649.609375, 't': 114, 'tagged': False}, {'x': 517, 'y': 796.609375, 't': 447, 'tagged': False}, {'x': 542, 'y': 805.609375, 't': 514, 'tagged': False}]}]","{'cyan': [{'x': 374, 'y': 643.609375, 't': 39, 'tagged': True}, {'x': 488, 'y': 649.609375, 't': 114, 'tagged': False}, {'x': 517, 'y': 796.609375, 't': 447, 'tagged': False}, {'x': 542, 'y': 805.609375, 't': 514, 'tagged': False}]}",cyan
