"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","6508","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","6515","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","13083","0.0-2.0-0.0","","","","","6566","{""name"":""何靓雯"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","14851","0.0-2.0-1.0","","","","","1766","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","15594","0.0-3.0","","","","","742"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","23178","0.0-4.0","","","","","","","","","1542","","","","","","","","","","","","","","","",""
"","html-button-response","6","24098","0.0-5.0-0.0","","","","","918","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","34512","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","35530","0.0-5.0-2.0","","","","","1018","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","52890","0.0-5.0-3.0","","","","","","","","","","[[{""x"":689,""y"":365,""dx"":198,""dy"":84,""t"":989},{""x"":662,""y"":390,""dx"":171,""dy"":109,""t"":1024},{""x"":641,""y"":412,""dx"":150,""dy"":131,""t"":1059},{""x"":645,""y"":409,""dx"":154,""dy"":128,""t"":1092},{""x"":694,""y"":406,""dx"":203,""dy"":125,""t"":1125},{""x"":663,""y"":409,""dx"":172,""dy"":128,""t"":1161},{""x"":690,""y"":401,""dx"":199,""dy"":120,""t"":1194},{""x"":651,""y"":419,""dx"":160,""dy"":138,""t"":1229},{""x"":632,""y"":441,""dx"":141,""dy"":160,""t"":1262},{""x"":609,""y"":447,""dx"":118,""dy"":166,""t"":1296},{""x"":604,""y"":452,""dx"":113,""dy"":171,""t"":1330},{""x"":584,""y"":447,""dx"":93,""dy"":166,""t"":1364},{""x"":575,""y"":455,""dx"":84,""dy"":174,""t"":1399},{""x"":555,""y"":467,""dx"":64,""dy"":186,""t"":1432},{""x"":535,""y"":473,""dx"":44,""dy"":192,""t"":1466},{""x"":533,""y"":476,""dx"":42,""dy"":195,""t"":1500},{""x"":532,""y"":472,""dx"":41,""dy"":191,""t"":1535},{""x"":559,""y"":469,""dx"":68,""dy"":188,""t"":1568},{""x"":567,""y"":462,""dx"":76,""dy"":181,""t"":1602},{""x"":556,""y"":472,""dx"":65,""dy"":191,""t"":1637},{""x"":563,""y"":463,""dx"":72,""dy"":182,""t"":1670},{""x"":567,""y"":453,""dx"":76,""dy"":172,""t"":1704},{""x"":578,""y"":449,""dx"":87,""dy"":168,""t"":1738},{""x"":602,""y"":434,""dx"":111,""dy"":153,""t"":1771},{""x"":665,""y"":413,""dx"":174,""dy"":132,""t"":1806},{""x"":660,""y"":423,""dx"":169,""dy"":142,""t"":1839},{""x"":653,""y"":427,""dx"":162,""dy"":146,""t"":1873},{""x"":645,""y"":436,""dx"":154,""dy"":155,""t"":1909},{""x"":603,""y"":421,""dx"":112,""dy"":140,""t"":1943},{""x"":589,""y"":423,""dx"":98,""dy"":142,""t"":1977},{""x"":595,""y"":427,""dx"":104,""dy"":146,""t"":2010},{""x"":605,""y"":418,""dx"":114,""dy"":137,""t"":2045},{""x"":601,""y"":396,""dx"":110,""dy"":115,""t"":2079},{""x"":597,""y"":387,""dx"":106,""dy"":106,""t"":2113},{""x"":602,""y"":399,""dx"":111,""dy"":118,""t"":2146},{""x"":600,""y"":405,""dx"":109,""dy"":124,""t"":2181},{""x"":609,""y"":393,""dx"":118,""dy"":112,""t"":2213},{""x"":611,""y"":403,""dx"":120,""dy"":122,""t"":2247},{""x"":612,""y"":388,""dx"":121,""dy"":107,""t"":2282},{""x"":600,""y"":381,""dx"":109,""dy"":100,""t"":2316},{""x"":608,""y"":385,""dx"":117,""dy"":104,""t"":2349},{""x"":611,""y"":383,""dx"":120,""dy"":102,""t"":2384},{""x"":611,""y"":394,""dx"":120,""dy"":113,""t"":2419},{""x"":602,""y"":396,""dx"":111,""dy"":115,""t"":2452},{""x"":597,""y"":395,""dx"":106,""dy"":114,""t"":2483},{""x"":604,""y"":393,""dx"":113,""dy"":112,""t"":2520},{""x"":592,""y"":400,""dx"":101,""dy"":119,""t"":2554},{""x"":602,""y"":396,""dx"":111,""dy"":115,""t"":2588},{""x"":593,""y"":404,""dx"":102,""dy"":123,""t"":2622},{""x"":594,""y"":392,""dx"":103,""dy"":111,""t"":2656},{""x"":591,""y"":384,""dx"":100,""dy"":103,""t"":2690},{""x"":588,""y"":401,""dx"":97,""dy"":120,""t"":2723},{""x"":593,""y"":392,""dx"":102,""dy"":111,""t"":2759},{""x"":605,""y"":413,""dx"":114,""dy"":132,""t"":2791},{""x"":609,""y"":407,""dx"":118,""dy"":126,""t"":2826},{""x"":602,""y"":403,""dx"":111,""dy"":122,""t"":2860},{""x"":595,""y"":399,""dx"":104,""dy"":118,""t"":2891},{""x"":590,""y"":378,""dx"":99,""dy"":97,""t"":2929},{""x"":587,""y"":388,""dx"":96,""dy"":107,""t"":2962},{""x"":581,""y"":396,""dx"":90,""dy"":115,""t"":2997}],[{""x"":1422,""y"":278,""dx"":-29,""dy"":-3,""t"":4016},{""x"":1414,""y"":262,""dx"":-37,""dy"":-19,""t"":4048},{""x"":1395,""y"":273,""dx"":-56,""dy"":-8,""t"":4085},{""x"":1387,""y"":278,""dx"":-64,""dy"":-3,""t"":4118},{""x"":1403,""y"":260,""dx"":-48,""dy"":-21,""t"":4152},{""x"":1388,""y"":258,""dx"":-63,""dy"":-23,""t"":4187},{""x"":1385,""y"":280,""dx"":-66,""dy"":-1,""t"":4221},{""x"":1400,""y"":276,""dx"":-51,""dy"":-5,""t"":4253},{""x"":1407,""y"":278,""dx"":-44,""dy"":-3,""t"":4287},{""x"":1409,""y"":258,""dx"":-42,""dy"":-23,""t"":4322},{""x"":1383,""y"":290,""dx"":-68,""dy"":9,""t"":4356},{""x"":1370,""y"":316,""dx"":-81,""dy"":35,""t"":4389},{""x"":1369,""y"":317,""dx"":-82,""dy"":36,""t"":4425},{""x"":1369,""y"":318,""dx"":-82,""dy"":37,""t"":4455},{""x"":1385,""y"":318,""dx"":-66,""dy"":37,""t"":4491},{""x"":1389,""y"":333,""dx"":-62,""dy"":52,""t"":4525},{""x"":1383,""y"":339,""dx"":-68,""dy"":58,""t"":4560},{""x"":1393,""y"":323,""dx"":-58,""dy"":42,""t"":4594},{""x"":1387,""y"":313,""dx"":-64,""dy"":32,""t"":4629},{""x"":1418,""y"":306,""dx"":-33,""dy"":25,""t"":4662},{""x"":1402,""y"":292,""dx"":-49,""dy"":11,""t"":4697},{""x"":1405,""y"":281,""dx"":-46,""dy"":0,""t"":4731},{""x"":1403,""y"":273,""dx"":-48,""dy"":-8,""t"":4764},{""x"":1402,""y"":258,""dx"":-49,""dy"":-23,""t"":4799},{""x"":1413,""y"":239,""dx"":-38,""dy"":-42,""t"":4832},{""x"":1419,""y"":234,""dx"":-32,""dy"":-47,""t"":4867},{""x"":1441,""y"":238,""dx"":-10,""dy"":-43,""t"":4900},{""x"":1442,""y"":245,""dx"":-9,""dy"":-36,""t"":4934},{""x"":1439,""y"":268,""dx"":-12,""dy"":-13,""t"":4969},{""x"":1429,""y"":269,""dx"":-22,""dy"":-12,""t"":5003},{""x"":1423,""y"":265,""dx"":-28,""dy"":-16,""t"":5036},{""x"":1407,""y"":278,""dx"":-44,""dy"":-3,""t"":5071},{""x"":1409,""y"":269,""dx"":-42,""dy"":-12,""t"":5105},{""x"":1403,""y"":282,""dx"":-48,""dy"":1,""t"":5138},{""x"":1388,""y"":294,""dx"":-63,""dy"":13,""t"":5172},{""x"":1393,""y"":286,""dx"":-58,""dy"":5,""t"":5206},{""x"":1413,""y"":275,""dx"":-38,""dy"":-6,""t"":5240},{""x"":1414,""y"":283,""dx"":-37,""dy"":2,""t"":5274},{""x"":1430,""y"":280,""dx"":-21,""dy"":-1,""t"":5309},{""x"":1454,""y"":293,""dx"":3,""dy"":12,""t"":5342},{""x"":1471,""y"":283,""dx"":20,""dy"":2,""t"":5376},{""x"":1475,""y"":307,""dx"":24,""dy"":26,""t"":5410},{""x"":1470,""y"":300,""dx"":19,""dy"":19,""t"":5445},{""x"":1468,""y"":303,""dx"":17,""dy"":22,""t"":5478},{""x"":1453,""y"":295,""dx"":2,""dy"":14,""t"":5511},{""x"":1443,""y"":286,""dx"":-8,""dy"":5,""t"":5546},{""x"":1425,""y"":281,""dx"":-26,""dy"":0,""t"":5580},{""x"":1432,""y"":276,""dx"":-19,""dy"":-5,""t"":5613},{""x"":1435,""y"":269,""dx"":-16,""dy"":-12,""t"":5647},{""x"":1442,""y"":262,""dx"":-9,""dy"":-19,""t"":5682},{""x"":1457,""y"":275,""dx"":6,""dy"":-6,""t"":5716},{""x"":1458,""y"":271,""dx"":7,""dy"":-10,""t"":5750},{""x"":1462,""y"":278,""dx"":11,""dy"":-3,""t"":5784},{""x"":1454,""y"":276,""dx"":3,""dy"":-5,""t"":5819},{""x"":1447,""y"":271,""dx"":-4,""dy"":-10,""t"":5852},{""x"":1431,""y"":275,""dx"":-20,""dy"":-6,""t"":5885},{""x"":1426,""y"":275,""dx"":-25,""dy"":-6,""t"":5921},{""x"":1421,""y"":285,""dx"":-30,""dy"":4,""t"":5954},{""x"":1399,""y"":321,""dx"":-52,""dy"":40,""t"":5988}],[{""x"":971,""y"":501,""dx"":0,""dy"":-50,""t"":7009},{""x"":958,""y"":490,""dx"":-13,""dy"":-61,""t"":7042},{""x"":951,""y"":508,""dx"":-20,""dy"":-43,""t"":7076},{""x"":948,""y"":518,""dx"":-23,""dy"":-33,""t"":7111},{""x"":967,""y"":537,""dx"":-4,""dy"":-14,""t"":7144},{""x"":985,""y"":547,""dx"":14,""dy"":-4,""t"":7178},{""x"":971,""y"":536,""dx"":0,""dy"":-15,""t"":7212},{""x"":977,""y"":556,""dx"":6,""dy"":5,""t"":7246},{""x"":956,""y"":545,""dx"":-15,""dy"":-6,""t"":7280},{""x"":951,""y"":551,""dx"":-20,""dy"":0,""t"":7314},{""x"":938,""y"":546,""dx"":-33,""dy"":-5,""t"":7348},{""x"":951,""y"":558,""dx"":-20,""dy"":7,""t"":7396},{""x"":955,""y"":559,""dx"":-16,""dy"":8,""t"":7439},{""x"":962,""y"":552,""dx"":-9,""dy"":1,""t"":7453},{""x"":968,""y"":545,""dx"":-3,""dy"":-6,""t"":7481},{""x"":978,""y"":546,""dx"":7,""dy"":-5,""t"":7518},{""x"":978,""y"":560,""dx"":7,""dy"":9,""t"":7552},{""x"":980,""y"":556,""dx"":9,""dy"":5,""t"":7586},{""x"":980,""y"":570,""dx"":9,""dy"":19,""t"":7618},{""x"":985,""y"":569,""dx"":14,""dy"":18,""t"":7654},{""x"":989,""y"":569,""dx"":18,""dy"":18,""t"":7688},{""x"":1003,""y"":585,""dx"":32,""dy"":34,""t"":7721},{""x"":1018,""y"":574,""dx"":47,""dy"":23,""t"":7755},{""x"":1025,""y"":563,""dx"":54,""dy"":12,""t"":7790},{""x"":1031,""y"":561,""dx"":60,""dy"":10,""t"":7823},{""x"":1033,""y"":535,""dx"":62,""dy"":-16,""t"":7859},{""x"":1058,""y"":545,""dx"":87,""dy"":-6,""t"":7893},{""x"":1055,""y"":546,""dx"":84,""dy"":-5,""t"":7926},{""x"":1067,""y"":563,""dx"":96,""dy"":12,""t"":7960},{""x"":1055,""y"":574,""dx"":84,""dy"":23,""t"":7994},{""x"":1045,""y"":584,""dx"":74,""dy"":33,""t"":8026},{""x"":1055,""y"":577,""dx"":84,""dy"":26,""t"":8061},{""x"":1043,""y"":555,""dx"":72,""dy"":4,""t"":8097},{""x"":1050,""y"":558,""dx"":79,""dy"":7,""t"":8129},{""x"":1039,""y"":535,""dx"":68,""dy"":-16,""t"":8164},{""x"":1035,""y"":530,""dx"":64,""dy"":-21,""t"":8204},{""x"":1038,""y"":558,""dx"":67,""dy"":7,""t"":8231},{""x"":1039,""y"":571,""dx"":68,""dy"":20,""t"":8266},{""x"":1025,""y"":557,""dx"":54,""dy"":6,""t"":8301},{""x"":1017,""y"":538,""dx"":46,""dy"":-13,""t"":8335},{""x"":1031,""y"":554,""dx"":60,""dy"":3,""t"":8369},{""x"":1037,""y"":532,""dx"":66,""dy"":-19,""t"":8403},{""x"":1052,""y"":549,""dx"":81,""dy"":-2,""t"":8437},{""x"":1060,""y"":514,""dx"":89,""dy"":-37,""t"":8470},{""x"":1078,""y"":521,""dx"":107,""dy"":-30,""t"":8504},{""x"":1082,""y"":538,""dx"":111,""dy"":-13,""t"":8538},{""x"":1068,""y"":563,""dx"":97,""dy"":12,""t"":8573},{""x"":1055,""y"":578,""dx"":84,""dy"":27,""t"":8606},{""x"":1043,""y"":577,""dx"":72,""dy"":26,""t"":8641},{""x"":1027,""y"":561,""dx"":56,""dy"":10,""t"":8676},{""x"":1024,""y"":534,""dx"":53,""dy"":-17,""t"":8707},{""x"":1008,""y"":540,""dx"":37,""dy"":-11,""t"":8742},{""x"":1012,""y"":520,""dx"":41,""dy"":-31,""t"":8776},{""x"":1019,""y"":543,""dx"":48,""dy"":-8,""t"":8809},{""x"":1018,""y"":528,""dx"":47,""dy"":-23,""t"":8844},{""x"":1036,""y"":503,""dx"":65,""dy"":-48,""t"":8879},{""x"":1041,""y"":512,""dx"":70,""dy"":-39,""t"":8912},{""x"":1044,""y"":545,""dx"":73,""dy"":-6,""t"":8946},{""x"":1061,""y"":531,""dx"":90,""dy"":-20,""t"":8979},{""x"":1064,""y"":547,""dx"":93,""dy"":-4,""t"":9015}],[{""x"":573,""y"":747,""dx"":82,""dy"":-74,""t"":10034},{""x"":592,""y"":733,""dx"":101,""dy"":-88,""t"":10069},{""x"":598,""y"":725,""dx"":107,""dy"":-96,""t"":10101},{""x"":606,""y"":729,""dx"":115,""dy"":-92,""t"":10136},{""x"":616,""y"":737,""dx"":125,""dy"":-84,""t"":10170},{""x"":620,""y"":739,""dx"":129,""dy"":-82,""t"":10205},{""x"":636,""y"":738,""dx"":145,""dy"":-83,""t"":10238},{""x"":626,""y"":749,""dx"":135,""dy"":-72,""t"":10271},{""x"":623,""y"":754,""dx"":132,""dy"":-67,""t"":10306},{""x"":636,""y"":741,""dx"":145,""dy"":-80,""t"":10341},{""x"":625,""y"":744,""dx"":134,""dy"":-77,""t"":10376},{""x"":641,""y"":753,""dx"":150,""dy"":-68,""t"":10409},{""x"":638,""y"":763,""dx"":147,""dy"":-58,""t"":10442},{""x"":619,""y"":771,""dx"":128,""dy"":-50,""t"":10476},{""x"":619,""y"":771,""dx"":128,""dy"":-50,""t"":10509},{""x"":624,""y"":774,""dx"":133,""dy"":-47,""t"":10544},{""x"":625,""y"":767,""dx"":134,""dy"":-54,""t"":10578},{""x"":641,""y"":762,""dx"":150,""dy"":-59,""t"":10611},{""x"":644,""y"":756,""dx"":153,""dy"":-65,""t"":10646},{""x"":637,""y"":759,""dx"":146,""dy"":-62,""t"":10681},{""x"":661,""y"":748,""dx"":170,""dy"":-73,""t"":10714},{""x"":660,""y"":759,""dx"":169,""dy"":-62,""t"":10749},{""x"":658,""y"":763,""dx"":167,""dy"":-58,""t"":10784},{""x"":646,""y"":776,""dx"":155,""dy"":-45,""t"":10814},{""x"":635,""y"":777,""dx"":144,""dy"":-44,""t"":10850},{""x"":635,""y"":780,""dx"":144,""dy"":-41,""t"":10885},{""x"":618,""y"":787,""dx"":127,""dy"":-34,""t"":10919},{""x"":616,""y"":790,""dx"":125,""dy"":-31,""t"":10953},{""x"":617,""y"":794,""dx"":126,""dy"":-27,""t"":10987},{""x"":631,""y"":790,""dx"":140,""dy"":-31,""t"":11020},{""x"":615,""y"":792,""dx"":124,""dy"":-29,""t"":11054},{""x"":629,""y"":795,""dx"":138,""dy"":-26,""t"":11088},{""x"":622,""y"":812,""dx"":131,""dy"":-9,""t"":11122},{""x"":630,""y"":822,""dx"":139,""dy"":1,""t"":11156},{""x"":650,""y"":825,""dx"":159,""dy"":4,""t"":11187},{""x"":632,""y"":816,""dx"":141,""dy"":-5,""t"":11225},{""x"":629,""y"":801,""dx"":138,""dy"":-20,""t"":11258},{""x"":631,""y"":802,""dx"":140,""dy"":-19,""t"":11292},{""x"":640,""y"":809,""dx"":149,""dy"":-12,""t"":11326},{""x"":627,""y"":820,""dx"":136,""dy"":-1,""t"":11361},{""x"":640,""y"":830,""dx"":149,""dy"":9,""t"":11394},{""x"":650,""y"":826,""dx"":159,""dy"":5,""t"":11429},{""x"":658,""y"":823,""dx"":167,""dy"":2,""t"":11461},{""x"":655,""y"":821,""dx"":164,""dy"":0,""t"":11496},{""x"":660,""y"":827,""dx"":169,""dy"":6,""t"":11530},{""x"":659,""y"":840,""dx"":168,""dy"":19,""t"":11564},{""x"":635,""y"":851,""dx"":144,""dy"":30,""t"":11598},{""x"":645,""y"":844,""dx"":154,""dy"":23,""t"":11632},{""x"":639,""y"":844,""dx"":148,""dy"":23,""t"":11666},{""x"":634,""y"":832,""dx"":143,""dy"":11,""t"":11700},{""x"":652,""y"":819,""dx"":161,""dy"":-2,""t"":11734},{""x"":652,""y"":813,""dx"":161,""dy"":-8,""t"":11768},{""x"":632,""y"":824,""dx"":141,""dy"":3,""t"":11803},{""x"":648,""y"":820,""dx"":157,""dy"":-1,""t"":11835},{""x"":642,""y"":816,""dx"":151,""dy"":-5,""t"":11870},{""x"":648,""y"":809,""dx"":157,""dy"":-12,""t"":11904},{""x"":645,""y"":823,""dx"":154,""dy"":2,""t"":11938},{""x"":645,""y"":808,""dx"":154,""dy"":-13,""t"":11972},{""x"":650,""y"":822,""dx"":159,""dy"":1,""t"":12005},{""x"":639,""y"":827,""dx"":148,""dy"":6,""t"":12040}],[{""x"":1470,""y"":738,""dx"":19,""dy"":-83,""t"":13059},{""x"":1449,""y"":736,""dx"":-2,""dy"":-85,""t"":13095},{""x"":1439,""y"":738,""dx"":-12,""dy"":-83,""t"":13127},{""x"":1437,""y"":735,""dx"":-14,""dy"":-86,""t"":13162},{""x"":1428,""y"":736,""dx"":-23,""dy"":-85,""t"":13193},{""x"":1419,""y"":736,""dx"":-32,""dy"":-85,""t"":13230},{""x"":1401,""y"":730,""dx"":-50,""dy"":-91,""t"":13264},{""x"":1392,""y"":736,""dx"":-59,""dy"":-85,""t"":13300},{""x"":1416,""y"":737,""dx"":-35,""dy"":-84,""t"":13333},{""x"":1405,""y"":754,""dx"":-46,""dy"":-67,""t"":13366},{""x"":1406,""y"":780,""dx"":-45,""dy"":-41,""t"":13401},{""x"":1381,""y"":800,""dx"":-70,""dy"":-21,""t"":13434},{""x"":1387,""y"":782,""dx"":-64,""dy"":-39,""t"":13468},{""x"":1368,""y"":771,""dx"":-83,""dy"":-50,""t"":13502},{""x"":1380,""y"":788,""dx"":-71,""dy"":-33,""t"":13536},{""x"":1381,""y"":776,""dx"":-70,""dy"":-45,""t"":13570},{""x"":1394,""y"":776,""dx"":-57,""dy"":-45,""t"":13604},{""x"":1390,""y"":763,""dx"":-61,""dy"":-58,""t"":13638},{""x"":1382,""y"":778,""dx"":-69,""dy"":-43,""t"":13672},{""x"":1389,""y"":774,""dx"":-62,""dy"":-47,""t"":13706},{""x"":1385,""y"":768,""dx"":-66,""dy"":-53,""t"":13739},{""x"":1400,""y"":783,""dx"":-51,""dy"":-38,""t"":13774},{""x"":1389,""y"":794,""dx"":-62,""dy"":-27,""t"":13808},{""x"":1392,""y"":786,""dx"":-59,""dy"":-35,""t"":13843},{""x"":1395,""y"":781,""dx"":-56,""dy"":-40,""t"":13876},{""x"":1392,""y"":783,""dx"":-59,""dy"":-38,""t"":13909},{""x"":1376,""y"":775,""dx"":-75,""dy"":-46,""t"":13944},{""x"":1395,""y"":774,""dx"":-56,""dy"":-47,""t"":13978},{""x"":1385,""y"":783,""dx"":-66,""dy"":-38,""t"":14013},{""x"":1401,""y"":775,""dx"":-50,""dy"":-46,""t"":14047},{""x"":1389,""y"":793,""dx"":-62,""dy"":-28,""t"":14080},{""x"":1372,""y"":808,""dx"":-79,""dy"":-13,""t"":14114},{""x"":1376,""y"":796,""dx"":-75,""dy"":-25,""t"":14149},{""x"":1377,""y"":815,""dx"":-74,""dy"":-6,""t"":14182},{""x"":1388,""y"":812,""dx"":-63,""dy"":-9,""t"":14216},{""x"":1382,""y"":811,""dx"":-69,""dy"":-10,""t"":14250},{""x"":1392,""y"":799,""dx"":-59,""dy"":-22,""t"":14284},{""x"":1397,""y"":742,""dx"":-54,""dy"":-79,""t"":14317},{""x"":1392,""y"":754,""dx"":-59,""dy"":-67,""t"":14352},{""x"":1387,""y"":764,""dx"":-64,""dy"":-57,""t"":14384},{""x"":1396,""y"":758,""dx"":-55,""dy"":-63,""t"":14420},{""x"":1423,""y"":749,""dx"":-28,""dy"":-72,""t"":14454},{""x"":1424,""y"":760,""dx"":-27,""dy"":-61,""t"":14488},{""x"":1423,""y"":774,""dx"":-28,""dy"":-47,""t"":14522},{""x"":1415,""y"":787,""dx"":-36,""dy"":-34,""t"":14555},{""x"":1446,""y"":738,""dx"":-5,""dy"":-83,""t"":14589},{""x"":1427,""y"":716,""dx"":-24,""dy"":-105,""t"":14625},{""x"":1428,""y"":737,""dx"":-23,""dy"":-84,""t"":14659},{""x"":1409,""y"":768,""dx"":-42,""dy"":-53,""t"":14692},{""x"":1432,""y"":758,""dx"":-19,""dy"":-63,""t"":14727},{""x"":1452,""y"":750,""dx"":1,""dy"":-71,""t"":14757},{""x"":1464,""y"":743,""dx"":13,""dy"":-78,""t"":14793},{""x"":1483,""y"":703,""dx"":32,""dy"":-118,""t"":14827},{""x"":1466,""y"":693,""dx"":15,""dy"":-128,""t"":14861},{""x"":1444,""y"":692,""dx"":-7,""dy"":-129,""t"":14898},{""x"":1435,""y"":687,""dx"":-16,""dy"":-134,""t"":14930},{""x"":1426,""y"":701,""dx"":-25,""dy"":-120,""t"":14964},{""x"":1427,""y"":710,""dx"":-24,""dy"":-111,""t"":14998},{""x"":1435,""y"":718,""dx"":-16,""dy"":-103,""t"":15032}]]","[75,100,100,100,100]","[{""x"":113.8,""y"":135.36666666666667,""r"":50.45782151770014},{""x"":-33.13559322033898,""y"":1.4576271186440677,""r"":31.184644384524507},{""x"":43.833333333333336,""y"":-4.033333333333333,""r"":59.92082214127643},{""x"":143.15,""y"":-31.183333333333334,""r"":51.706939871876614},{""x"":-42,""y"":-61.644067796610166,""r"":32.57337859077801}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.40","validate","","","","","","","","","",""
"","html-keyboard-response","10","54035","0.0-6.0-0.0","","","","","1143"," ","","<p>回忆实验(四个刺激物)：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，500毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>要求：记忆所呈现刺激物的位置，根据提示选择对应刺激的位置，根据数字键盘的 "" 4 "" ,"" 8 "","" 6 "","" 2 "" 进行选择响应，如果不记得或者不存在选择""5""。</p><p>按"" ""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","55042","0.0-6.0-1.0","","","","","507"," ","","<p>要求：根据目标的形状进行选择。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","56053","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recall","[""2"",""5"",""8"",""8"",""4"",""5"",""4"",""6"",""5"",""5"",""6"",""8"",""4"",""2"",""4"",""2"",""4"",""8"",""6"",""6"",""4"",""5"",""4"",""8"",""2"",""2"",""5"",""6"",""6"",""5"",""8"",""8"",""2"",""5"",""8"",""6"",""6"",""5"",""6"",""4"",""4"",""8"",""2"",""2"",""2"",""8"",""2"",""6"",""5"",""4""]","1500","4","shape","","","","","",""
"","canvas-keyboard-response","13","58062","0.0-6.0-2.0-1.0","","","","","null","null","","[""star"",""circle"",""rect"",""hexagram_1""]","","","","","","","","","","4","","[{""x"":1324,""y"":843,""t"":5},{""x"":1271,""y"":812,""t"":40},{""x"":1227,""y"":800,""t"":73},{""x"":1180,""y"":777,""t"":107},{""x"":1152,""y"":746,""t"":140},{""x"":1134,""y"":725,""t"":174},{""x"":1107,""y"":707,""t"":208},{""x"":1095,""y"":697,""t"":243},{""x"":1070,""y"":688,""t"":275},{""x"":1090,""y"":679,""t"":311},{""x"":1067,""y"":661,""t"":344},{""x"":1012,""y"":643,""t"":377},{""x"":971,""y"":623,""t"":413},{""x"":910,""y"":631,""t"":447},{""x"":871,""y"":621,""t"":481},{""x"":827,""y"":626,""t"":515},{""x"":810,""y"":623,""t"":548},{""x"":762,""y"":621,""t"":583},{""x"":758,""y"":627,""t"":616},{""x"":728,""y"":629,""t"":650},{""x"":707,""y"":622,""t"":683},{""x"":719,""y"":624,""t"":718},{""x"":721,""y"":643,""t"":752},{""x"":742,""y"":636,""t"":787},{""x"":785,""y"":645,""t"":820},{""x"":846,""y"":656,""t"":854},{""x"":901,""y"":651,""t"":889},{""x"":955,""y"":658,""t"":922},{""x"":995,""y"":659,""t"":957},{""x"":1019,""y"":647,""t"":990},{""x"":1044,""y"":616,""t"":1024},{""x"":1057,""y"":609,""t"":1058},{""x"":1072,""y"":587,""t"":1092},{""x"":1170,""y"":595,""t"":1125},{""x"":1245,""y"":605,""t"":1161},{""x"":1305,""y"":613,""t"":1192},{""x"":1323,""y"":624,""t"":1228},{""x"":1359,""y"":641,""t"":1262},{""x"":1386,""y"":652,""t"":1296},{""x"":1385,""y"":631,""t"":1330},{""x"":1390,""y"":623,""t"":1363},{""x"":1393,""y"":614,""t"":1399},{""x"":1397,""y"":600,""t"":1432},{""x"":1371,""y"":588,""t"":1467},{""x"":1372,""y"":575,""t"":1500},{""x"":1351,""y"":562,""t"":1534},{""x"":1341,""y"":565,""t"":1568},{""x"":1326,""y"":548,""t"":1600},{""x"":1291,""y"":532,""t"":1636},{""x"":1283,""y"":545,""t"":1671},{""x"":1294,""y"":562,""t"":1704},{""x"":1308,""y"":545,""t"":1739},{""x"":1312,""y"":536,""t"":1773},{""x"":1312,""y"":555,""t"":1806},{""x"":1312,""y"":572,""t"":1839},{""x"":1299,""y"":593,""t"":1874},{""x"":1264,""y"":610,""t"":1908},{""x"":1258,""y"":619,""t"":1942},{""x"":1262,""y"":628,""t"":1977}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":92.37604307034013,""height"":80,""top"":760,""right"":596.18802153517,""bottom"":840,""left"":503.81197846482996}]","","",""
