"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","3614","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3621","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7759","0.0-2.0-0.0","","","","","4132","{""name"":""张小雨"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","9167","0.0-2.0-1.0","","","","","1407","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","10208","0.0-3.0","","","","","1038"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","20137","0.0-4.0","","","","","","","","","1493","","","","","","","","","","","","","","","","",""
"","html-button-response","6","21119","0.0-5.0-0.0","","","","","979","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","34502","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","35311","0.0-5.0-2.0","","","","","808","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","53054","0.0-5.0-3.0","","","","","","","","","","[[{""x"":196,""y"":203,""dx"":-295,""dy"":-78,""t"":989},{""x"":188,""y"":213,""dx"":-303,""dy"":-68,""t"":1024},{""x"":189,""y"":200,""dx"":-302,""dy"":-81,""t"":1058},{""x"":187,""y"":224,""dx"":-304,""dy"":-57,""t"":1092},{""x"":175,""y"":225,""dx"":-316,""dy"":-56,""t"":1126},{""x"":173,""y"":231,""dx"":-318,""dy"":-50,""t"":1160},{""x"":162,""y"":232,""dx"":-329,""dy"":-49,""t"":1193},{""x"":159,""y"":237,""dx"":-332,""dy"":-44,""t"":1227},{""x"":149,""y"":246,""dx"":-342,""dy"":-35,""t"":1262},{""x"":155,""y"":236,""dx"":-336,""dy"":-45,""t"":1296},{""x"":173,""y"":236,""dx"":-318,""dy"":-45,""t"":1331},{""x"":199,""y"":229,""dx"":-292,""dy"":-52,""t"":1364},{""x"":182,""y"":257,""dx"":-309,""dy"":-24,""t"":1397},{""x"":177,""y"":266,""dx"":-314,""dy"":-15,""t"":1432},{""x"":178,""y"":251,""dx"":-313,""dy"":-30,""t"":1466},{""x"":199,""y"":217,""dx"":-292,""dy"":-64,""t"":1500},{""x"":235,""y"":203,""dx"":-256,""dy"":-78,""t"":1534},{""x"":229,""y"":204,""dx"":-262,""dy"":-77,""t"":1568},{""x"":237,""y"":204,""dx"":-254,""dy"":-77,""t"":1601},{""x"":220,""y"":223,""dx"":-271,""dy"":-58,""t"":1637},{""x"":229,""y"":213,""dx"":-262,""dy"":-68,""t"":1670},{""x"":231,""y"":214,""dx"":-260,""dy"":-67,""t"":1703},{""x"":233,""y"":216,""dx"":-258,""dy"":-65,""t"":1738},{""x"":235,""y"":233,""dx"":-256,""dy"":-48,""t"":1772},{""x"":233,""y"":215,""dx"":-258,""dy"":-66,""t"":1806},{""x"":217,""y"":217,""dx"":-274,""dy"":-64,""t"":1840},{""x"":185,""y"":210,""dx"":-306,""dy"":-71,""t"":1874},{""x"":201,""y"":210,""dx"":-290,""dy"":-71,""t"":1908},{""x"":188,""y"":207,""dx"":-303,""dy"":-74,""t"":1941},{""x"":198,""y"":210,""dx"":-293,""dy"":-71,""t"":1976},{""x"":204,""y"":211,""dx"":-287,""dy"":-70,""t"":2011},{""x"":200,""y"":219,""dx"":-291,""dy"":-62,""t"":2044},{""x"":194,""y"":227,""dx"":-297,""dy"":-54,""t"":2078},{""x"":213,""y"":211,""dx"":-278,""dy"":-70,""t"":2112},{""x"":217,""y"":201,""dx"":-274,""dy"":-80,""t"":2146},{""x"":212,""y"":202,""dx"":-279,""dy"":-79,""t"":2180},{""x"":204,""y"":196,""dx"":-287,""dy"":-85,""t"":2212},{""x"":216,""y"":202,""dx"":-275,""dy"":-79,""t"":2248},{""x"":218,""y"":199,""dx"":-273,""dy"":-82,""t"":2282},{""x"":227,""y"":195,""dx"":-264,""dy"":-86,""t"":2317},{""x"":227,""y"":192,""dx"":-264,""dy"":-89,""t"":2349},{""x"":250,""y"":184,""dx"":-241,""dy"":-97,""t"":2384},{""x"":268,""y"":171,""dx"":-223,""dy"":-110,""t"":2418},{""x"":257,""y"":169,""dx"":-234,""dy"":-112,""t"":2451},{""x"":249,""y"":191,""dx"":-242,""dy"":-90,""t"":2486},{""x"":237,""y"":211,""dx"":-254,""dy"":-70,""t"":2521},{""x"":230,""y"":212,""dx"":-261,""dy"":-69,""t"":2557},{""x"":224,""y"":197,""dx"":-267,""dy"":-84,""t"":2588},{""x"":236,""y"":181,""dx"":-255,""dy"":-100,""t"":2620},{""x"":483,""y"":219,""dx"":-8,""dy"":-62,""t"":2657},{""x"":671,""y"":244,""dx"":180,""dy"":-37,""t"":2690},{""x"":849,""y"":259,""dx"":358,""dy"":-22,""t"":2724},{""x"":969,""y"":254,""dx"":478,""dy"":-27,""t"":2758},{""x"":1062,""y"":284,""dx"":571,""dy"":3,""t"":2792},{""x"":1144,""y"":290,""dx"":653,""dy"":9,""t"":2826},{""x"":1213,""y"":305,""dx"":722,""dy"":24,""t"":2860},{""x"":1247,""y"":320,""dx"":756,""dy"":39,""t"":2894},{""x"":1255,""y"":333,""dx"":764,""dy"":52,""t"":2928},{""x"":1250,""y"":328,""dx"":759,""dy"":47,""t"":2962}],[{""x"":1159,""y"":311,""dx"":-292,""dy"":30,""t"":4016},{""x"":1185,""y"":321,""dx"":-266,""dy"":40,""t"":4050},{""x"":1192,""y"":318,""dx"":-259,""dy"":37,""t"":4083},{""x"":1215,""y"":318,""dx"":-236,""dy"":37,""t"":4118},{""x"":1210,""y"":320,""dx"":-241,""dy"":39,""t"":4151},{""x"":1219,""y"":325,""dx"":-232,""dy"":44,""t"":4186},{""x"":1227,""y"":330,""dx"":-224,""dy"":49,""t"":4218},{""x"":1254,""y"":308,""dx"":-197,""dy"":27,""t"":4254},{""x"":1265,""y"":332,""dx"":-186,""dy"":51,""t"":4288},{""x"":1270,""y"":326,""dx"":-181,""dy"":45,""t"":4323},{""x"":1251,""y"":353,""dx"":-200,""dy"":72,""t"":4356},{""x"":1222,""y"":357,""dx"":-229,""dy"":76,""t"":4389},{""x"":1221,""y"":352,""dx"":-230,""dy"":71,""t"":4423},{""x"":1213,""y"":351,""dx"":-238,""dy"":70,""t"":4458},{""x"":1213,""y"":381,""dx"":-238,""dy"":100,""t"":4492},{""x"":1218,""y"":366,""dx"":-233,""dy"":85,""t"":4526},{""x"":1190,""y"":344,""dx"":-261,""dy"":63,""t"":4560},{""x"":1183,""y"":326,""dx"":-268,""dy"":45,""t"":4594},{""x"":1167,""y"":344,""dx"":-284,""dy"":63,""t"":4628},{""x"":1199,""y"":327,""dx"":-252,""dy"":46,""t"":4662},{""x"":1235,""y"":323,""dx"":-216,""dy"":42,""t"":4696},{""x"":1221,""y"":342,""dx"":-230,""dy"":61,""t"":4731},{""x"":1244,""y"":316,""dx"":-207,""dy"":35,""t"":4764},{""x"":1227,""y"":314,""dx"":-224,""dy"":33,""t"":4797},{""x"":1199,""y"":316,""dx"":-252,""dy"":35,""t"":4832},{""x"":1184,""y"":322,""dx"":-267,""dy"":41,""t"":4866},{""x"":1201,""y"":324,""dx"":-250,""dy"":43,""t"":4901},{""x"":1190,""y"":319,""dx"":-261,""dy"":38,""t"":4934},{""x"":1219,""y"":333,""dx"":-232,""dy"":52,""t"":4967},{""x"":1242,""y"":335,""dx"":-209,""dy"":54,""t"":5002},{""x"":1232,""y"":338,""dx"":-219,""dy"":57,""t"":5036},{""x"":1193,""y"":355,""dx"":-258,""dy"":74,""t"":5070},{""x"":1206,""y"":373,""dx"":-245,""dy"":92,""t"":5104},{""x"":1150,""y"":357,""dx"":-301,""dy"":76,""t"":5138},{""x"":1107,""y"":332,""dx"":-344,""dy"":51,""t"":5172},{""x"":1111,""y"":296,""dx"":-340,""dy"":15,""t"":5205},{""x"":1139,""y"":318,""dx"":-312,""dy"":37,""t"":5239},{""x"":1159,""y"":345,""dx"":-292,""dy"":64,""t"":5274},{""x"":1168,""y"":347,""dx"":-283,""dy"":66,""t"":5308},{""x"":1170,""y"":324,""dx"":-281,""dy"":43,""t"":5341},{""x"":1160,""y"":346,""dx"":-291,""dy"":65,""t"":5376},{""x"":1175,""y"":355,""dx"":-276,""dy"":74,""t"":5410},{""x"":1170,""y"":348,""dx"":-281,""dy"":67,""t"":5444},{""x"":1185,""y"":338,""dx"":-266,""dy"":57,""t"":5478},{""x"":1221,""y"":358,""dx"":-230,""dy"":77,""t"":5513},{""x"":1208,""y"":351,""dx"":-243,""dy"":70,""t"":5546},{""x"":1212,""y"":350,""dx"":-239,""dy"":69,""t"":5580},{""x"":1168,""y"":346,""dx"":-283,""dy"":65,""t"":5613},{""x"":1171,""y"":362,""dx"":-280,""dy"":81,""t"":5647},{""x"":1140,""y"":357,""dx"":-311,""dy"":76,""t"":5683},{""x"":1147,""y"":324,""dx"":-304,""dy"":43,""t"":5715},{""x"":1108,""y"":315,""dx"":-343,""dy"":34,""t"":5750},{""x"":1085,""y"":307,""dx"":-366,""dy"":26,""t"":5782},{""x"":1125,""y"":320,""dx"":-326,""dy"":39,""t"":5818},{""x"":1169,""y"":329,""dx"":-282,""dy"":48,""t"":5851},{""x"":1161,""y"":326,""dx"":-290,""dy"":45,""t"":5886},{""x"":1156,""y"":306,""dx"":-295,""dy"":25,""t"":5921},{""x"":1160,""y"":284,""dx"":-291,""dy"":3,""t"":5955},{""x"":1127,""y"":262,""dx"":-324,""dy"":-19,""t"":5989}],[{""x"":920,""y"":625,""dx"":-51,""dy"":74,""t"":7007},{""x"":914,""y"":589,""dx"":-57,""dy"":38,""t"":7042},{""x"":875,""y"":542,""dx"":-96,""dy"":-9,""t"":7079},{""x"":852,""y"":512,""dx"":-119,""dy"":-39,""t"":7111},{""x"":835,""y"":488,""dx"":-136,""dy"":-63,""t"":7144},{""x"":850,""y"":433,""dx"":-121,""dy"":-118,""t"":7179},{""x"":865,""y"":406,""dx"":-106,""dy"":-145,""t"":7211},{""x"":851,""y"":414,""dx"":-120,""dy"":-137,""t"":7245},{""x"":880,""y"":385,""dx"":-91,""dy"":-166,""t"":7279},{""x"":881,""y"":389,""dx"":-90,""dy"":-162,""t"":7316},{""x"":870,""y"":396,""dx"":-101,""dy"":-155,""t"":7349},{""x"":860,""y"":386,""dx"":-111,""dy"":-165,""t"":7379},{""x"":853,""y"":382,""dx"":-118,""dy"":-169,""t"":7417},{""x"":868,""y"":388,""dx"":-103,""dy"":-163,""t"":7452},{""x"":878,""y"":372,""dx"":-93,""dy"":-179,""t"":7485},{""x"":902,""y"":413,""dx"":-69,""dy"":-138,""t"":7519},{""x"":918,""y"":413,""dx"":-53,""dy"":-138,""t"":7554},{""x"":910,""y"":412,""dx"":-61,""dy"":-139,""t"":7586},{""x"":919,""y"":418,""dx"":-52,""dy"":-133,""t"":7620},{""x"":922,""y"":417,""dx"":-49,""dy"":-134,""t"":7656},{""x"":894,""y"":420,""dx"":-77,""dy"":-131,""t"":7689},{""x"":915,""y"":421,""dx"":-56,""dy"":-130,""t"":7721},{""x"":905,""y"":433,""dx"":-66,""dy"":-118,""t"":7756},{""x"":884,""y"":434,""dx"":-87,""dy"":-117,""t"":7787},{""x"":907,""y"":437,""dx"":-64,""dy"":-114,""t"":7824},{""x"":924,""y"":441,""dx"":-47,""dy"":-110,""t"":7861},{""x"":868,""y"":399,""dx"":-103,""dy"":-152,""t"":7893},{""x"":867,""y"":406,""dx"":-104,""dy"":-145,""t"":7927},{""x"":884,""y"":403,""dx"":-87,""dy"":-148,""t"":7960},{""x"":905,""y"":401,""dx"":-66,""dy"":-150,""t"":7997},{""x"":908,""y"":424,""dx"":-63,""dy"":-127,""t"":8036},{""x"":918,""y"":459,""dx"":-53,""dy"":-92,""t"":8069},{""x"":911,""y"":453,""dx"":-60,""dy"":-98,""t"":8101},{""x"":905,""y"":469,""dx"":-66,""dy"":-82,""t"":8134},{""x"":898,""y"":474,""dx"":-73,""dy"":-77,""t"":8166},{""x"":917,""y"":472,""dx"":-54,""dy"":-79,""t"":8199},{""x"":945,""y"":467,""dx"":-26,""dy"":-84,""t"":8232},{""x"":952,""y"":498,""dx"":-19,""dy"":-53,""t"":8268},{""x"":959,""y"":487,""dx"":-12,""dy"":-64,""t"":8300},{""x"":939,""y"":472,""dx"":-32,""dy"":-79,""t"":8334},{""x"":943,""y"":482,""dx"":-28,""dy"":-69,""t"":8371},{""x"":938,""y"":479,""dx"":-33,""dy"":-72,""t"":8405},{""x"":934,""y"":443,""dx"":-37,""dy"":-108,""t"":8437},{""x"":941,""y"":439,""dx"":-30,""dy"":-112,""t"":8470},{""x"":955,""y"":447,""dx"":-16,""dy"":-104,""t"":8504},{""x"":946,""y"":451,""dx"":-25,""dy"":-100,""t"":8538},{""x"":994,""y"":485,""dx"":23,""dy"":-66,""t"":8573},{""x"":988,""y"":516,""dx"":17,""dy"":-35,""t"":8605},{""x"":915,""y"":485,""dx"":-56,""dy"":-66,""t"":8641},{""x"":907,""y"":492,""dx"":-64,""dy"":-59,""t"":8676},{""x"":881,""y"":488,""dx"":-90,""dy"":-63,""t"":8711},{""x"":888,""y"":521,""dx"":-83,""dy"":-30,""t"":8742},{""x"":862,""y"":510,""dx"":-109,""dy"":-41,""t"":8775},{""x"":850,""y"":498,""dx"":-121,""dy"":-53,""t"":8811},{""x"":816,""y"":465,""dx"":-155,""dy"":-86,""t"":8845},{""x"":831,""y"":469,""dx"":-140,""dy"":-82,""t"":8878},{""x"":831,""y"":464,""dx"":-140,""dy"":-87,""t"":8913},{""x"":831,""y"":460,""dx"":-140,""dy"":-91,""t"":8945},{""x"":827,""y"":462,""dx"":-144,""dy"":-89,""t"":8981},{""x"":822,""y"":469,""dx"":-149,""dy"":-82,""t"":9013}],[{""x"":407,""y"":534,""dx"":-84,""dy"":-287,""t"":10034},{""x"":426,""y"":553,""dx"":-65,""dy"":-268,""t"":10068},{""x"":429,""y"":574,""dx"":-62,""dy"":-247,""t"":10101},{""x"":459,""y"":580,""dx"":-32,""dy"":-241,""t"":10136},{""x"":462,""y"":592,""dx"":-29,""dy"":-229,""t"":10169},{""x"":461,""y"":604,""dx"":-30,""dy"":-217,""t"":10204},{""x"":473,""y"":612,""dx"":-18,""dy"":-209,""t"":10238},{""x"":496,""y"":615,""dx"":5,""dy"":-206,""t"":10272},{""x"":524,""y"":596,""dx"":33,""dy"":-225,""t"":10306},{""x"":473,""y"":555,""dx"":-18,""dy"":-266,""t"":10339},{""x"":519,""y"":587,""dx"":28,""dy"":-234,""t"":10374},{""x"":520,""y"":587,""dx"":29,""dy"":-234,""t"":10407},{""x"":393,""y"":589,""dx"":-98,""dy"":-232,""t"":10442},{""x"":380,""y"":560,""dx"":-111,""dy"":-261,""t"":10476},{""x"":349,""y"":533,""dx"":-142,""dy"":-288,""t"":10510},{""x"":316,""y"":493,""dx"":-175,""dy"":-328,""t"":10544},{""x"":267,""y"":517,""dx"":-224,""dy"":-304,""t"":10577},{""x"":244,""y"":515,""dx"":-247,""dy"":-306,""t"":10612},{""x"":279,""y"":531,""dx"":-212,""dy"":-290,""t"":10646},{""x"":323,""y"":541,""dx"":-168,""dy"":-280,""t"":10680},{""x"":350,""y"":558,""dx"":-141,""dy"":-263,""t"":10714},{""x"":401,""y"":553,""dx"":-90,""dy"":-268,""t"":10747},{""x"":394,""y"":549,""dx"":-97,""dy"":-272,""t"":10782},{""x"":418,""y"":562,""dx"":-73,""dy"":-259,""t"":10816},{""x"":439,""y"":572,""dx"":-52,""dy"":-249,""t"":10850},{""x"":451,""y"":566,""dx"":-40,""dy"":-255,""t"":10884},{""x"":423,""y"":564,""dx"":-68,""dy"":-257,""t"":10918},{""x"":398,""y"":562,""dx"":-93,""dy"":-259,""t"":10949},{""x"":391,""y"":548,""dx"":-100,""dy"":-273,""t"":10987},{""x"":386,""y"":554,""dx"":-105,""dy"":-267,""t"":11019},{""x"":384,""y"":550,""dx"":-107,""dy"":-271,""t"":11053},{""x"":407,""y"":554,""dx"":-84,""dy"":-267,""t"":11088},{""x"":412,""y"":518,""dx"":-79,""dy"":-303,""t"":11122},{""x"":351,""y"":498,""dx"":-140,""dy"":-323,""t"":11156},{""x"":341,""y"":476,""dx"":-150,""dy"":-345,""t"":11190},{""x"":311,""y"":485,""dx"":-180,""dy"":-336,""t"":11224},{""x"":281,""y"":495,""dx"":-210,""dy"":-326,""t"":11258},{""x"":323,""y"":517,""dx"":-168,""dy"":-304,""t"":11292},{""x"":330,""y"":525,""dx"":-161,""dy"":-296,""t"":11325},{""x"":328,""y"":513,""dx"":-163,""dy"":-308,""t"":11361},{""x"":385,""y"":514,""dx"":-106,""dy"":-307,""t"":11394},{""x"":374,""y"":535,""dx"":-117,""dy"":-286,""t"":11428},{""x"":373,""y"":535,""dx"":-118,""dy"":-286,""t"":11463},{""x"":385,""y"":570,""dx"":-106,""dy"":-251,""t"":11496},{""x"":405,""y"":583,""dx"":-86,""dy"":-238,""t"":11530},{""x"":432,""y"":585,""dx"":-59,""dy"":-236,""t"":11564},{""x"":448,""y"":599,""dx"":-43,""dy"":-222,""t"":11598},{""x"":478,""y"":597,""dx"":-13,""dy"":-224,""t"":11631},{""x"":480,""y"":606,""dx"":-11,""dy"":-215,""t"":11666},{""x"":483,""y"":615,""dx"":-8,""dy"":-206,""t"":11700},{""x"":433,""y"":593,""dx"":-58,""dy"":-228,""t"":11734},{""x"":494,""y"":572,""dx"":3,""dy"":-249,""t"":11768},{""x"":460,""y"":560,""dx"":-31,""dy"":-261,""t"":11802},{""x"":466,""y"":563,""dx"":-25,""dy"":-258,""t"":11836},{""x"":489,""y"":592,""dx"":-2,""dy"":-229,""t"":11870},{""x"":432,""y"":552,""dx"":-59,""dy"":-269,""t"":11904},{""x"":423,""y"":557,""dx"":-68,""dy"":-264,""t"":11937},{""x"":390,""y"":532,""dx"":-101,""dy"":-289,""t"":11973},{""x"":410,""y"":556,""dx"":-81,""dy"":-265,""t"":12006}],[{""x"":1203,""y"":616,""dx"":-248,""dy"":-205,""t"":13026},{""x"":1233,""y"":664,""dx"":-218,""dy"":-157,""t"":13059},{""x"":1261,""y"":663,""dx"":-190,""dy"":-158,""t"":13094},{""x"":1221,""y"":655,""dx"":-230,""dy"":-166,""t"":13128},{""x"":1218,""y"":659,""dx"":-233,""dy"":-162,""t"":13161},{""x"":1178,""y"":653,""dx"":-273,""dy"":-168,""t"":13196},{""x"":1194,""y"":644,""dx"":-257,""dy"":-177,""t"":13230},{""x"":1201,""y"":646,""dx"":-250,""dy"":-175,""t"":13264},{""x"":1232,""y"":658,""dx"":-219,""dy"":-163,""t"":13297},{""x"":1224,""y"":661,""dx"":-227,""dy"":-160,""t"":13331},{""x"":1209,""y"":636,""dx"":-242,""dy"":-185,""t"":13366},{""x"":1180,""y"":637,""dx"":-271,""dy"":-184,""t"":13400},{""x"":1179,""y"":619,""dx"":-272,""dy"":-202,""t"":13433},{""x"":1167,""y"":606,""dx"":-284,""dy"":-215,""t"":13468},{""x"":1137,""y"":566,""dx"":-314,""dy"":-255,""t"":13502},{""x"":1134,""y"":568,""dx"":-317,""dy"":-253,""t"":13536},{""x"":1134,""y"":543,""dx"":-317,""dy"":-278,""t"":13571},{""x"":1150,""y"":545,""dx"":-301,""dy"":-276,""t"":13604},{""x"":1193,""y"":555,""dx"":-258,""dy"":-266,""t"":13638},{""x"":1222,""y"":581,""dx"":-229,""dy"":-240,""t"":13673},{""x"":1202,""y"":578,""dx"":-249,""dy"":-243,""t"":13707},{""x"":1229,""y"":608,""dx"":-222,""dy"":-213,""t"":13740},{""x"":1220,""y"":614,""dx"":-231,""dy"":-207,""t"":13774},{""x"":1180,""y"":639,""dx"":-271,""dy"":-182,""t"":13807},{""x"":1173,""y"":615,""dx"":-278,""dy"":-206,""t"":13842},{""x"":1190,""y"":611,""dx"":-261,""dy"":-210,""t"":13877},{""x"":1160,""y"":603,""dx"":-291,""dy"":-218,""t"":13910},{""x"":1182,""y"":593,""dx"":-269,""dy"":-228,""t"":13944},{""x"":1234,""y"":608,""dx"":-217,""dy"":-213,""t"":13978},{""x"":1210,""y"":614,""dx"":-241,""dy"":-207,""t"":14012},{""x"":1211,""y"":607,""dx"":-240,""dy"":-214,""t"":14045},{""x"":1222,""y"":602,""dx"":-229,""dy"":-219,""t"":14080},{""x"":1232,""y"":597,""dx"":-219,""dy"":-224,""t"":14112},{""x"":1234,""y"":620,""dx"":-217,""dy"":-201,""t"":14148},{""x"":1203,""y"":583,""dx"":-248,""dy"":-238,""t"":14182},{""x"":1198,""y"":607,""dx"":-253,""dy"":-214,""t"":14216},{""x"":1154,""y"":623,""dx"":-297,""dy"":-198,""t"":14250},{""x"":1165,""y"":642,""dx"":-286,""dy"":-179,""t"":14285},{""x"":1176,""y"":604,""dx"":-275,""dy"":-217,""t"":14317},{""x"":1185,""y"":631,""dx"":-266,""dy"":-190,""t"":14351},{""x"":1174,""y"":636,""dx"":-277,""dy"":-185,""t"":14386},{""x"":1151,""y"":638,""dx"":-300,""dy"":-183,""t"":14420},{""x"":1134,""y"":649,""dx"":-317,""dy"":-172,""t"":14454},{""x"":1112,""y"":655,""dx"":-339,""dy"":-166,""t"":14488},{""x"":1093,""y"":660,""dx"":-358,""dy"":-161,""t"":14519},{""x"":1093,""y"":661,""dx"":-358,""dy"":-160,""t"":14556},{""x"":1116,""y"":679,""dx"":-335,""dy"":-142,""t"":14591},{""x"":1103,""y"":691,""dx"":-348,""dy"":-130,""t"":14624},{""x"":1132,""y"":687,""dx"":-319,""dy"":-134,""t"":14657},{""x"":1123,""y"":692,""dx"":-328,""dy"":-129,""t"":14692},{""x"":1136,""y"":678,""dx"":-315,""dy"":-143,""t"":14727},{""x"":1130,""y"":648,""dx"":-321,""dy"":-173,""t"":14760},{""x"":1132,""y"":608,""dx"":-319,""dy"":-213,""t"":14794},{""x"":1126,""y"":637,""dx"":-325,""dy"":-184,""t"":14828},{""x"":1084,""y"":627,""dx"":-367,""dy"":-194,""t"":14862},{""x"":1117,""y"":638,""dx"":-334,""dy"":-183,""t"":14896},{""x"":1096,""y"":645,""dx"":-355,""dy"":-176,""t"":14929},{""x"":1077,""y"":625,""dx"":-374,""dy"":-196,""t"":14963},{""x"":1077,""y"":640,""dx"":-374,""dy"":-181,""t"":14998},{""x"":1104,""y"":644,""dx"":-347,""dy"":-177,""t"":15032}]]","[3.389830508474576,5.084745762711865,96.66666666666667,0,0]","[{""x"":-146.28813559322035,""y"":-55.76271186440678,""r"":144.8462200520697},{""x"":-262.5593220338983,""y"":51.59322033898305,""r"":34.1897051456848},{""x"":-75.53333333333333,""y"":-98.08333333333333,""r"":82.73978192175133},{""x"":-84.91525423728814,""y"":-265.0169491525424,""r"":56.121001337752055},{""x"":-282,""y"":-194.13333333333333,""r"":87.84183854695493}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
"","html-button-response","10","53911","0.0-5.0-4.0-0.0-0.0","","","","","856","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","66284","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","66878","0.0-5.0-4.0-0.0-2.0","","","","","593","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
