index,name,age,sex,rt,response,answer,stimulus,target,correct,webgazer_data,webgazer_targets_data,canvas_data,fixation,fixation_target,first_dot
0,scc,24.0,男,,,,,,,,,,,,
1,,,,877.0,6.0,6.0,"[""star"",""hexagram"",""circle"",""triangle"",""rect_1"",""diamond""]",triangle,True,"[{""x"":940,""y"":644,""t"":4},{""x"":941,""y"":567,""t"":48},{""x"":966,""y"":521,""t"":79},{""x"":950,""y"":468,""t"":106},{""x"":990,""y"":432,""t"":148},{""x"":1023,""y"":404,""t"":173},{""x"":1004,""y"":405,""t"":211},{""x"":1003,""y"":360,""t"":242},{""x"":996,""y"":352,""t"":290},{""x"":1021,""y"":341,""t"":315},{""x"":1001,""y"":321,""t"":344},{""x"":960,""y"":325,""t"":382},{""x"":938,""y"":340,""t"":412},{""x"":953,""y"":333,""t"":451},{""x"":924,""y"":351,""t"":479},{""x"":948,""y"":423,""t"":516},{""x"":1000,""y"":447,""t"":545},{""x"":1003,""y"":445,""t"":584},{""x"":1008,""y"":468,""t"":617},{""x"":980,""y"":532,""t"":662},{""x"":985,""y"":617,""t"":690},{""x"":1037,""y"":643,""t"":715},{""x"":1095,""y"":641,""t"":756},{""x"":1144,""y"":636,""t"":784},{""x"":1197,""y"":623,""t"":819}]","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":446.18802153517004,""bottom"":280.1923788646684,""left"":353.81197846482996},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":450,""bottom"":809.8076211353316,""left"":350}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'star': 0}, {'hexagram': 3}, {'circle': 5}, {'triangle': 2}, {'rect_1': 0}, {'diamond': 0}]",{'triangle': 2},circle
3,,,,710.0,3.0,3.0,"[""hexagram"",""triangle_1"",""rect"",""circle"",""star"",""diamond""]",star,True,"[{""x"":928,""y"":544,""t"":5},{""x"":928,""y"":571,""t"":43},{""x"":929,""y"":593,""t"":70},{""x"":968,""y"":557,""t"":122},{""x"":964,""y"":588,""t"":146},{""x"":930,""y"":638,""t"":174},{""x"":908,""y"":651,""t"":214},{""x"":913,""y"":591,""t"":240},{""x"":880,""y"":633,""t"":277},{""x"":878,""y"":654,""t"":312},{""x"":878,""y"":670,""t"":342},{""x"":910,""y"":669,""t"":386},{""x"":875,""y"":699,""t"":412},{""x"":859,""y"":679,""t"":448},{""x"":836,""y"":699,""t"":480},{""x"":829,""y"":690,""t"":525},{""x"":822,""y"":710,""t"":548},{""x"":858,""y"":653,""t"":588},{""x"":876,""y"":689,""t"":616},{""x"":904,""y"":703,""t"":664},{""x"":939,""y"":713,""t"":691}]","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":400,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":446,""bottom"":286.1923788646684,""left"":354},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":450,""bottom"":809.8076211353316,""left"":350}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'hexagram': 0}, {'triangle_1': 0}, {'rect': 0}, {'circle': 0}, {'star': 0}, {'diamond': 7}]",,diamond
4,,,,1204.0,1.0,1.0,"[""rect"",""triangle"",""star_1"",""circle"",""diamond"",""hexagram""]",hexagram,True,"[{""x"":982,""y"":717,""t"":5},{""x"":1012,""y"":712,""t"":42},{""x"":1044,""y"":693,""t"":73},{""x"":1089,""y"":688,""t"":107},{""x"":1092,""y"":683,""t"":140},{""x"":1067,""y"":718,""t"":185},{""x"":1070,""y"":738,""t"":209},{""x"":1091,""y"":738,""t"":242},{""x"":1058,""y"":702,""t"":279},{""x"":1089,""y"":694,""t"":310},{""x"":1076,""y"":688,""t"":357},{""x"":1066,""y"":686,""t"":386},{""x"":1033,""y"":684,""t"":411},{""x"":1036,""y"":680,""t"":452},{""x"":1047,""y"":678,""t"":479},{""x"":1007,""y"":666,""t"":522},{""x"":987,""y"":671,""t"":547},{""x"":1011,""y"":694,""t"":582},{""x"":1033,""y"":690,""t"":618},{""x"":1053,""y"":687,""t"":647},{""x"":1007,""y"":718,""t"":685},{""x"":926,""y"":706,""t"":730},{""x"":874,""y"":700,""t"":758},{""x"":809,""y"":701,""t"":785},{""x"":776,""y"":706,""t"":825},{""x"":730,""y"":726,""t"":854},{""x"":717,""y"":737,""t"":888},{""x"":707,""y"":747,""t"":922},{""x"":694,""y"":767,""t"":964},{""x"":723,""y"":746,""t"":989},{""x"":757,""y"":748,""t"":1027},{""x"":781,""y"":707,""t"":1056},{""x"":805,""y"":679,""t"":1098},{""x"":824,""y"":689,""t"":1124},{""x"":869,""y"":694,""t"":1162}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":446,""bottom"":286.1923788646684,""left"":354},{""x"":700,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":750,""bottom"":290.1923788646684,""left"":650},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":92.37604307034013,""height"":80,""top"":719.8076211353316,""right"":446.18802153517004,""bottom"":799.8076211353316,""left"":353.81197846482996}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'rect': 0}, {'triangle': 0}, {'star_1': 0}, {'circle': 0}, {'diamond': 14}, {'hexagram': 13}]",{'hexagram': 13},diamond
5,,,,689.0,4.0,4.0,"[""diamond_1"",""star"",""triangle"",""hexagram"",""rect"",""circle""]",diamond_1,True,"[{""x"":939,""y"":691,""t"":5},{""x"":962,""y"":668,""t"":45},{""x"":979,""y"":668,""t"":72},{""x"":1006,""y"":675,""t"":105},{""x"":1049,""y"":698,""t"":141},{""x"":1076,""y"":685,""t"":184},{""x"":1086,""y"":693,""t"":212},{""x"":1062,""y"":706,""t"":242},{""x"":1096,""y"":663,""t"":277},{""x"":1095,""y"":674,""t"":316},{""x"":1109,""y"":664,""t"":344},{""x"":1054,""y"":646,""t"":380},{""x"":1018,""y"":616,""t"":410},{""x"":1016,""y"":639,""t"":447},{""x"":1009,""y"":613,""t"":493},{""x"":1008,""y"":604,""t"":517},{""x"":998,""y"":604,""t"":548},{""x"":1016,""y"":586,""t"":587},{""x"":998,""y"":565,""t"":614},{""x"":954,""y"":581,""t"":652}]","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":450,""bottom"":290.1923788646684,""left"":350},{""x"":700,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":746,""bottom"":286.1923788646684,""left"":654},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'diamond_1': 0}, {'star': 0}, {'triangle': 0}, {'hexagram': 0}, {'rect': 5}, {'circle': 0}]",,rect
6,,,,1223.0,1.0,1.0,"[""hexagram"",""circle"",""triangle"",""rect"",""star"",""diamond_1""]",diamond_1,True,"[{""x"":899,""y"":597,""t"":5},{""x"":943,""y"":566,""t"":38},{""x"":952,""y"":519,""t"":74},{""x"":935,""y"":543,""t"":106},{""x"":906,""y"":507,""t"":152},{""x"":887,""y"":553,""t"":181},{""x"":909,""y"":530,""t"":208},{""x"":900,""y"":582,""t"":243},{""x"":865,""y"":622,""t"":276},{""x"":884,""y"":573,""t"":323},{""x"":873,""y"":626,""t"":350},{""x"":899,""y"":573,""t"":378},{""x"":911,""y"":549,""t"":417},{""x"":985,""y"":536,""t"":446},{""x"":970,""y"":568,""t"":481},{""x"":963,""y"":538,""t"":527},{""x"":917,""y"":572,""t"":550},{""x"":894,""y"":596,""t"":581},{""x"":913,""y"":523,""t"":619},{""x"":880,""y"":550,""t"":650},{""x"":869,""y"":566,""t"":698},{""x"":851,""y"":602,""t"":722},{""x"":826,""y"":642,""t"":751},{""x"":844,""y"":669,""t"":791},{""x"":831,""y"":707,""t"":819},{""x"":853,""y"":678,""t"":868},{""x"":856,""y"":696,""t"":891},{""x"":888,""y"":693,""t"":922},{""x"":904,""y"":676,""t"":962},{""x"":926,""y"":659,""t"":990},{""x"":906,""y"":685,""t"":1039},{""x"":922,""y"":630,""t"":1058},{""x"":942,""y"":592,""t"":1100},{""x"":997,""y"":574,""t"":1126},{""x"":960,""y"":656,""t"":1163},{""x"":949,""y"":610,""t"":1194}]","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":746,""bottom"":286.1923788646684,""left"":654},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":450,""bottom"":809.8076211353316,""left"":350}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'hexagram': 0}, {'circle': 0}, {'triangle': 0}, {'rect': 0}, {'star': 0}, {'diamond_1': 5}]",{'diamond_1': 5},diamond_1
7,,,,763.0,4.0,4.0,"[""hexagram"",""star_1"",""triangle"",""rect"",""diamond"",""circle""]",hexagram,True,"[{""x"":923,""y"":660,""t"":5},{""x"":950,""y"":591,""t"":44},{""x"":907,""y"":590,""t"":73},{""x"":881,""y"":595,""t"":109},{""x"":856,""y"":610,""t"":141},{""x"":860,""y"":607,""t"":185},{""x"":836,""y"":639,""t"":208},{""x"":848,""y"":647,""t"":247},{""x"":860,""y"":650,""t"":276},{""x"":886,""y"":676,""t"":310},{""x"":865,""y"":659,""t"":357},{""x"":879,""y"":644,""t"":384},{""x"":913,""y"":562,""t"":412},{""x"":971,""y"":607,""t"":451},{""x"":1009,""y"":776,""t"":480},{""x"":1054,""y"":895,""t"":514},{""x"":1071,""y"":990,""t"":560},{""x"":1055,""y"":1012,""t"":587},{""x"":1010,""y"":956,""t"":616},{""x"":1007,""y"":954,""t"":654},{""x"":970,""y"":823,""t"":684},{""x"":977,""y"":732,""t"":730}]","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":400,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":450,""bottom"":290.1923788646684,""left"":350},{""x"":700,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":746,""bottom"":286.1923788646684,""left"":654},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'hexagram': 0}, {'star_1': 0}, {'triangle': 0}, {'rect': 0}, {'diamond': 3}, {'circle': 0}]",,diamond
8,,,,670.0,9.0,9.0,"[""diamond"",""triangle"",""rect"",""hexagram_1"",""star"",""circle""]",rect,True,"[{""x"":1033,""y"":700,""t"":5},{""x"":1025,""y"":701,""t"":39},{""x"":1009,""y"":667,""t"":75},{""x"":997,""y"":641,""t"":106},{""x"":990,""y"":649,""t"":152},{""x"":981,""y"":671,""t"":181},{""x"":981,""y"":714,""t"":207},{""x"":987,""y"":737,""t"":245},{""x"":969,""y"":764,""t"":278},{""x"":1002,""y"":796,""t"":322},{""x"":993,""y"":779,""t"":349},{""x"":994,""y"":808,""t"":377},{""x"":1006,""y"":806,""t"":416},{""x"":1045,""y"":767,""t"":446},{""x"":1095,""y"":772,""t"":495},{""x"":1095,""y"":704,""t"":520},{""x"":1086,""y"":685,""t"":549},{""x"":1073,""y"":644,""t"":587},{""x"":1080,""y"":618,""t"":616}]","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":446,""bottom"":286.1923788646684,""left"":354},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'diamond': 0}, {'triangle': 0}, {'rect': 0}, {'hexagram_1': 0}, {'star': 12}, {'circle': 0}]",,star
9,,,,714.0,7.0,7.0,"[""diamond"",""rect"",""circle"",""star"",""triangle_1"",""hexagram""]",rect,True,"[{""x"":1050,""y"":699,""t"":5},{""x"":1079,""y"":693,""t"":39},{""x"":1113,""y"":653,""t"":73},{""x"":1078,""y"":581,""t"":112},{""x"":1092,""y"":537,""t"":140},{""x"":1075,""y"":524,""t"":181},{""x"":1077,""y"":509,""t"":209},{""x"":1079,""y"":548,""t"":241},{""x"":1093,""y"":524,""t"":276},{""x"":1071,""y"":518,""t"":319},{""x"":1051,""y"":514,""t"":343},{""x"":1047,""y"":505,""t"":378},{""x"":1053,""y"":497,""t"":415},{""x"":1077,""y"":500,""t"":446},{""x"":1078,""y"":508,""t"":479},{""x"":1036,""y"":484,""t"":525},{""x"":999,""y"":465,""t"":550},{""x"":967,""y"":467,""t"":582},{""x"":951,""y"":429,""t"":619},{""x"":953,""y"":400,""t"":650},{""x"":988,""y"":407,""t"":688}]","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":746,""bottom"":805.8076211353316,""left"":654},{""x"":400,""y"":759.8076211353316,""width"":92.37604307034013,""height"":80,""top"":719.8076211353316,""right"":446.18802153517004,""bottom"":799.8076211353316,""left"":353.81197846482996}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'diamond': 0}, {'rect': 0}, {'circle': 0}, {'star': 0}, {'triangle_1': 2}, {'hexagram': 0}]",,triangle_1
10,,,,629.0,1.0,1.0,"[""circle"",""star"",""rect"",""diamond"",""triangle"",""hexagram_1""]",hexagram_1,True,"[{""x"":994,""y"":445,""t"":5},{""x"":984,""y"":481,""t"":43},{""x"":988,""y"":537,""t"":73},{""x"":995,""y"":582,""t"":111},{""x"":1034,""y"":613,""t"":140},{""x"":1051,""y"":650,""t"":174},{""x"":1042,""y"":676,""t"":220},{""x"":1048,""y"":680,""t"":248},{""x"":1050,""y"":678,""t"":276},{""x"":1057,""y"":632,""t"":311},{""x"":1042,""y"":642,""t"":358},{""x"":1049,""y"":593,""t"":387},{""x"":1045,""y"":613,""t"":413},{""x"":1042,""y"":557,""t"":451},{""x"":1036,""y"":572,""t"":480},{""x"":1032,""y"":587,""t"":524},{""x"":1034,""y"":574,""t"":551},{""x"":1000,""y"":587,""t"":582}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":450,""bottom"":290.1923788646684,""left"":350},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":746,""bottom"":805.8076211353316,""left"":654},{""x"":400,""y"":759.8076211353316,""width"":92.37604307034013,""height"":80,""top"":719.8076211353316,""right"":446.18802153517004,""bottom"":799.8076211353316,""left"":353.81197846482996}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'circle': 0}, {'star': 0}, {'rect': 0}, {'diamond': 0}, {'triangle': 2}, {'hexagram_1': 0}]",,triangle
11,,,,961.0,3.0,3.0,"[""rect_1"",""star"",""diamond"",""hexagram"",""triangle"",""circle""]",triangle,True,"[{""x"":1011,""y"":581,""t"":5},{""x"":1018,""y"":592,""t"":40},{""x"":993,""y"":604,""t"":73},{""x"":1034,""y"":590,""t"":116},{""x"":1055,""y"":575,""t"":143},{""x"":1036,""y"":569,""t"":174},{""x"":1053,""y"":565,""t"":212},{""x"":1081,""y"":564,""t"":241},{""x"":1040,""y"":566,""t"":291},{""x"":1032,""y"":566,""t"":315},{""x"":1027,""y"":561,""t"":344},{""x"":1014,""y"":539,""t"":383},{""x"":958,""y"":521,""t"":411},{""x"":1020,""y"":526,""t"":446},{""x"":1030,""y"":564,""t"":483},{""x"":1051,""y"":622,""t"":514},{""x"":1083,""y"":636,""t"":547},{""x"":1048,""y"":671,""t"":587},{""x"":1058,""y"":663,""t"":615},{""x"":1089,""y"":713,""t"":650},{""x"":1115,""y"":754,""t"":689},{""x"":1105,""y"":758,""t"":718},{""x"":1116,""y"":767,""t"":755},{""x"":1124,""y"":772,""t"":783},{""x"":1146,""y"":741,""t"":819},{""x"":1163,""y"":750,""t"":869},{""x"":1191,""y"":724,""t"":896},{""x"":1210,""y"":730,""t"":923}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":450,""bottom"":290.1923788646684,""left"":350},{""x"":700,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":750,""bottom"":290.1923788646684,""left"":650},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":700,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":746,""bottom"":805.8076211353316,""left"":654},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'rect_1': 0}, {'star': 0}, {'diamond': 0}, {'hexagram': 0}, {'triangle': 9}, {'circle': 0}]",{'triangle': 9},triangle
12,,,,629.0,3.0,3.0,"[""diamond"",""triangle"",""circle"",""hexagram"",""rect_1"",""star""]",rect_1,True,"[{""x"":1212,""y"":878,""t"":4},{""x"":1209,""y"":1049,""t"":36},{""x"":1163,""y"":1082,""t"":76},{""x"":1100,""y"":1130,""t"":107},{""x"":1015,""y"":1043,""t"":154},{""x"":1013,""y"":943,""t"":183},{""x"":984,""y"":834,""t"":211},{""x"":945,""y"":776,""t"":242},{""x"":941,""y"":634,""t"":279},{""x"":927,""y"":603,""t"":310},{""x"":904,""y"":578,""t"":356},{""x"":899,""y"":514,""t"":385},{""x"":911,""y"":464,""t"":413},{""x"":923,""y"":486,""t"":449},{""x"":933,""y"":463,""t"":480},{""x"":992,""y"":463,""t"":527},{""x"":1070,""y"":491,""t"":552},{""x"":1125,""y"":523,""t"":582}]","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":446,""bottom"":286.1923788646684,""left"":354},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":450,""bottom"":809.8076211353316,""left"":350}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'diamond': 0}, {'triangle': 0}, {'circle': 0}, {'hexagram': 1}, {'rect_1': 2}, {'star': 1}]",{'rect_1': 2},rect_1
13,,,,731.0,1.0,1.0,"[""hexagram"",""star"",""rect_1"",""circle"",""diamond"",""triangle""]",triangle,True,"[{""x"":1155,""y"":514,""t"":4},{""x"":1189,""y"":510,""t"":39},{""x"":1162,""y"":458,""t"":84},{""x"":1116,""y"":419,""t"":108},{""x"":1126,""y"":432,""t"":140},{""x"":1091,""y"":457,""t"":176},{""x"":1054,""y"":428,""t"":209},{""x"":999,""y"":401,""t"":254},{""x"":1045,""y"":456,""t"":282},{""x"":1051,""y"":491,""t"":311},{""x"":1071,""y"":515,""t"":349},{""x"":1115,""y"":517,""t"":378},{""x"":1131,""y"":504,""t"":412},{""x"":1122,""y"":525,""t"":457},{""x"":1119,""y"":538,""t"":486},{""x"":1111,""y"":550,""t"":514},{""x"":1130,""y"":573,""t"":552},{""x"":1131,""y"":619,""t"":581},{""x"":1149,""y"":647,""t"":631},{""x"":1136,""y"":687,""t"":658},{""x"":1107,""y"":666,""t"":684}]","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":400,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":450,""bottom"":290.1923788646684,""left"":350},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":446,""bottom"":805.8076211353316,""left"":354}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'hexagram': 0}, {'star': 0}, {'rect_1': 3}, {'circle': 11}, {'diamond': 2}, {'triangle': 0}]",,circle
14,,,,421.0,6.0,6.0,"[""diamond"",""triangle"",""hexagram"",""star"",""circle"",""rect_1""]",star,True,"[{""x"":1088,""y"":628,""t"":5},{""x"":1058,""y"":629,""t"":40},{""x"":1092,""y"":641,""t"":74},{""x"":1159,""y"":652,""t"":121},{""x"":1216,""y"":661,""t"":140},{""x"":1190,""y"":639,""t"":184},{""x"":1190,""y"":642,""t"":212},{""x"":1164,""y"":619,""t"":243},{""x"":1119,""y"":590,""t"":277},{""x"":1118,""y"":550,""t"":310},{""x"":1095,""y"":555,""t"":355},{""x"":1064,""y"":549,""t"":382}]","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":446,""bottom"":286.1923788646684,""left"":354},{""x"":700,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":746.18802153517,""bottom"":280.1923788646684,""left"":653.81197846483},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'diamond': 0}, {'triangle': 0}, {'hexagram': 0}, {'star': 7}, {'circle': 0}, {'rect_1': 0}]",{'star': 7},star
