"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","4447","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4453","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7262","0.0-2.0-0.0","","","","","2807","{""name"":""范雨祥"",""age"":""22""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","8254","0.0-2.0-1.0","","","","","991","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","15478","0.0-3.0","","","","","","","","2221","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","16342","0.0-4.0-0.0","","","","","862","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","28195","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","29278","0.0-4.0-2.0","","","","","1083","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","46422","0.0-4.0-3.0","","","","","","","","","","[[{""x"":509,""y"":243,""dx"":18,""dy"":-38,""t"":990},{""x"":496,""y"":266,""dx"":5,""dy"":-15,""t"":1023},{""x"":512,""y"":262,""dx"":21,""dy"":-19,""t"":1058},{""x"":529,""y"":295,""dx"":38,""dy"":14,""t"":1093},{""x"":546,""y"":308,""dx"":55,""dy"":27,""t"":1125},{""x"":543,""y"":321,""dx"":52,""dy"":40,""t"":1160},{""x"":544,""y"":325,""dx"":53,""dy"":44,""t"":1193},{""x"":555,""y"":332,""dx"":64,""dy"":51,""t"":1228},{""x"":564,""y"":337,""dx"":73,""dy"":56,""t"":1259},{""x"":570,""y"":347,""dx"":79,""dy"":66,""t"":1296},{""x"":567,""y"":343,""dx"":76,""dy"":62,""t"":1331},{""x"":548,""y"":324,""dx"":57,""dy"":43,""t"":1364},{""x"":529,""y"":296,""dx"":38,""dy"":15,""t"":1398},{""x"":500,""y"":286,""dx"":9,""dy"":5,""t"":1432},{""x"":483,""y"":283,""dx"":-8,""dy"":2,""t"":1466},{""x"":478,""y"":273,""dx"":-13,""dy"":-8,""t"":1500},{""x"":479,""y"":257,""dx"":-12,""dy"":-24,""t"":1534},{""x"":484,""y"":257,""dx"":-7,""dy"":-24,""t"":1568},{""x"":479,""y"":261,""dx"":-12,""dy"":-20,""t"":1602},{""x"":467,""y"":258,""dx"":-24,""dy"":-23,""t"":1635},{""x"":465,""y"":266,""dx"":-26,""dy"":-15,""t"":1670},{""x"":463,""y"":273,""dx"":-28,""dy"":-8,""t"":1703},{""x"":461,""y"":253,""dx"":-30,""dy"":-28,""t"":1738},{""x"":462,""y"":262,""dx"":-29,""dy"":-19,""t"":1771},{""x"":489,""y"":283,""dx"":-2,""dy"":2,""t"":1806},{""x"":518,""y"":308,""dx"":27,""dy"":27,""t"":1841},{""x"":503,""y"":315,""dx"":12,""dy"":34,""t"":1873},{""x"":503,""y"":322,""dx"":12,""dy"":41,""t"":1909},{""x"":519,""y"":315,""dx"":28,""dy"":34,""t"":1942},{""x"":532,""y"":318,""dx"":41,""dy"":37,""t"":1976},{""x"":522,""y"":312,""dx"":31,""dy"":31,""t"":2009},{""x"":524,""y"":319,""dx"":33,""dy"":38,""t"":2043},{""x"":518,""y"":313,""dx"":27,""dy"":32,""t"":2078},{""x"":540,""y"":320,""dx"":49,""dy"":39,""t"":2112},{""x"":553,""y"":314,""dx"":62,""dy"":33,""t"":2146},{""x"":548,""y"":298,""dx"":57,""dy"":17,""t"":2180},{""x"":521,""y"":289,""dx"":30,""dy"":8,""t"":2214},{""x"":530,""y"":289,""dx"":39,""dy"":8,""t"":2248},{""x"":509,""y"":273,""dx"":18,""dy"":-8,""t"":2282},{""x"":505,""y"":281,""dx"":14,""dy"":0,""t"":2316},{""x"":493,""y"":277,""dx"":2,""dy"":-4,""t"":2350},{""x"":495,""y"":287,""dx"":4,""dy"":6,""t"":2384},{""x"":494,""y"":297,""dx"":3,""dy"":16,""t"":2418},{""x"":493,""y"":304,""dx"":2,""dy"":23,""t"":2449},{""x"":516,""y"":321,""dx"":25,""dy"":40,""t"":2486},{""x"":504,""y"":292,""dx"":13,""dy"":11,""t"":2520},{""x"":493,""y"":307,""dx"":2,""dy"":26,""t"":2554},{""x"":524,""y"":324,""dx"":33,""dy"":43,""t"":2588},{""x"":541,""y"":338,""dx"":50,""dy"":57,""t"":2622},{""x"":544,""y"":343,""dx"":53,""dy"":62,""t"":2656},{""x"":556,""y"":348,""dx"":65,""dy"":67,""t"":2690},{""x"":532,""y"":338,""dx"":41,""dy"":57,""t"":2724},{""x"":555,""y"":347,""dx"":64,""dy"":66,""t"":2758},{""x"":542,""y"":333,""dx"":51,""dy"":52,""t"":2792},{""x"":550,""y"":331,""dx"":59,""dy"":50,""t"":2824},{""x"":535,""y"":332,""dx"":44,""dy"":51,""t"":2860},{""x"":545,""y"":340,""dx"":54,""dy"":59,""t"":2894},{""x"":523,""y"":330,""dx"":32,""dy"":49,""t"":2927},{""x"":516,""y"":305,""dx"":25,""dy"":24,""t"":2963},{""x"":495,""y"":284,""dx"":4,""dy"":3,""t"":2996}],[{""x"":1471,""y"":367,""dx"":20,""dy"":86,""t"":4015},{""x"":1452,""y"":354,""dx"":1,""dy"":73,""t"":4050},{""x"":1445,""y"":350,""dx"":-6,""dy"":69,""t"":4084},{""x"":1427,""y"":346,""dx"":-24,""dy"":65,""t"":4118},{""x"":1414,""y"":337,""dx"":-37,""dy"":56,""t"":4151},{""x"":1415,""y"":347,""dx"":-36,""dy"":66,""t"":4186},{""x"":1418,""y"":344,""dx"":-33,""dy"":63,""t"":4219},{""x"":1414,""y"":357,""dx"":-37,""dy"":76,""t"":4254},{""x"":1420,""y"":372,""dx"":-31,""dy"":91,""t"":4288},{""x"":1413,""y"":388,""dx"":-38,""dy"":107,""t"":4322},{""x"":1404,""y"":382,""dx"":-47,""dy"":101,""t"":4356},{""x"":1399,""y"":369,""dx"":-52,""dy"":88,""t"":4390},{""x"":1396,""y"":358,""dx"":-55,""dy"":77,""t"":4422},{""x"":1387,""y"":349,""dx"":-64,""dy"":68,""t"":4458},{""x"":1395,""y"":348,""dx"":-56,""dy"":67,""t"":4492},{""x"":1400,""y"":360,""dx"":-51,""dy"":79,""t"":4525},{""x"":1405,""y"":367,""dx"":-46,""dy"":86,""t"":4560},{""x"":1405,""y"":379,""dx"":-46,""dy"":98,""t"":4595},{""x"":1401,""y"":380,""dx"":-50,""dy"":99,""t"":4628},{""x"":1410,""y"":384,""dx"":-41,""dy"":103,""t"":4662},{""x"":1415,""y"":386,""dx"":-36,""dy"":105,""t"":4696},{""x"":1409,""y"":383,""dx"":-42,""dy"":102,""t"":4730},{""x"":1417,""y"":388,""dx"":-34,""dy"":107,""t"":4764},{""x"":1415,""y"":395,""dx"":-36,""dy"":114,""t"":4798},{""x"":1428,""y"":389,""dx"":-23,""dy"":108,""t"":4832},{""x"":1432,""y"":397,""dx"":-19,""dy"":116,""t"":4867},{""x"":1435,""y"":407,""dx"":-16,""dy"":126,""t"":4900},{""x"":1440,""y"":417,""dx"":-11,""dy"":136,""t"":4934},{""x"":1440,""y"":413,""dx"":-11,""dy"":132,""t"":5000},{""x"":1433,""y"":401,""dx"":-18,""dy"":120,""t"":5036},{""x"":1428,""y"":378,""dx"":-23,""dy"":97,""t"":5070},{""x"":1437,""y"":383,""dx"":-14,""dy"":102,""t"":5104},{""x"":1431,""y"":382,""dx"":-20,""dy"":101,""t"":5138},{""x"":1433,""y"":393,""dx"":-18,""dy"":112,""t"":5171},{""x"":1435,""y"":396,""dx"":-16,""dy"":115,""t"":5206},{""x"":1428,""y"":393,""dx"":-23,""dy"":112,""t"":5240},{""x"":1427,""y"":391,""dx"":-24,""dy"":110,""t"":5274},{""x"":1427,""y"":391,""dx"":-24,""dy"":110,""t"":5307},{""x"":1433,""y"":398,""dx"":-18,""dy"":117,""t"":5342},{""x"":1431,""y"":397,""dx"":-20,""dy"":116,""t"":5376},{""x"":1436,""y"":405,""dx"":-15,""dy"":124,""t"":5410},{""x"":1434,""y"":407,""dx"":-17,""dy"":126,""t"":5444},{""x"":1436,""y"":398,""dx"":-15,""dy"":117,""t"":5479},{""x"":1441,""y"":393,""dx"":-10,""dy"":112,""t"":5512},{""x"":1446,""y"":388,""dx"":-5,""dy"":107,""t"":5546},{""x"":1434,""y"":376,""dx"":-17,""dy"":95,""t"":5580},{""x"":1436,""y"":383,""dx"":-15,""dy"":102,""t"":5615},{""x"":1421,""y"":368,""dx"":-30,""dy"":87,""t"":5648},{""x"":1416,""y"":358,""dx"":-35,""dy"":77,""t"":5682},{""x"":1415,""y"":356,""dx"":-36,""dy"":75,""t"":5716},{""x"":1418,""y"":346,""dx"":-33,""dy"":65,""t"":5750},{""x"":1412,""y"":343,""dx"":-39,""dy"":62,""t"":5784},{""x"":1402,""y"":339,""dx"":-49,""dy"":58,""t"":5818},{""x"":1411,""y"":346,""dx"":-40,""dy"":65,""t"":5851},{""x"":1425,""y"":359,""dx"":-26,""dy"":78,""t"":5886},{""x"":1425,""y"":369,""dx"":-26,""dy"":88,""t"":5919},{""x"":1418,""y"":370,""dx"":-33,""dy"":89,""t"":5955},{""x"":1408,""y"":378,""dx"":-43,""dy"":97,""t"":5988}],[{""x"":1062,""y"":501,""dx"":91,""dy"":-50,""t"":7042},{""x"":1096,""y"":511,""dx"":125,""dy"":-40,""t"":7077},{""x"":1050,""y"":498,""dx"":79,""dy"":-53,""t"":7111},{""x"":1040,""y"":486,""dx"":69,""dy"":-65,""t"":7144},{""x"":1004,""y"":485,""dx"":33,""dy"":-66,""t"":7177},{""x"":970,""y"":479,""dx"":-1,""dy"":-72,""t"":7212},{""x"":932,""y"":458,""dx"":-39,""dy"":-93,""t"":7246},{""x"":897,""y"":461,""dx"":-74,""dy"":-90,""t"":7281},{""x"":918,""y"":462,""dx"":-53,""dy"":-89,""t"":7313},{""x"":953,""y"":478,""dx"":-18,""dy"":-73,""t"":7348},{""x"":965,""y"":500,""dx"":-6,""dy"":-51,""t"":7382},{""x"":955,""y"":509,""dx"":-16,""dy"":-42,""t"":7416},{""x"":982,""y"":524,""dx"":11,""dy"":-27,""t"":7450},{""x"":1001,""y"":537,""dx"":30,""dy"":-14,""t"":7484},{""x"":1022,""y"":545,""dx"":51,""dy"":-6,""t"":7517},{""x"":1022,""y"":554,""dx"":51,""dy"":3,""t"":7552},{""x"":1030,""y"":547,""dx"":59,""dy"":-4,""t"":7586},{""x"":1016,""y"":565,""dx"":45,""dy"":14,""t"":7620},{""x"":1004,""y"":554,""dx"":33,""dy"":3,""t"":7654},{""x"":989,""y"":566,""dx"":18,""dy"":15,""t"":7688},{""x"":979,""y"":587,""dx"":8,""dy"":36,""t"":7721},{""x"":984,""y"":579,""dx"":13,""dy"":28,""t"":7756},{""x"":989,""y"":590,""dx"":18,""dy"":39,""t"":7789},{""x"":950,""y"":542,""dx"":-21,""dy"":-9,""t"":7824},{""x"":938,""y"":526,""dx"":-33,""dy"":-25,""t"":7859},{""x"":911,""y"":500,""dx"":-60,""dy"":-51,""t"":7891},{""x"":910,""y"":524,""dx"":-61,""dy"":-27,""t"":7926},{""x"":891,""y"":483,""dx"":-80,""dy"":-68,""t"":7958},{""x"":898,""y"":524,""dx"":-73,""dy"":-27,""t"":7994},{""x"":892,""y"":493,""dx"":-79,""dy"":-58,""t"":8029},{""x"":884,""y"":488,""dx"":-87,""dy"":-63,""t"":8062},{""x"":884,""y"":493,""dx"":-87,""dy"":-58,""t"":8096},{""x"":883,""y"":506,""dx"":-88,""dy"":-45,""t"":8131},{""x"":883,""y"":504,""dx"":-88,""dy"":-47,""t"":8165},{""x"":916,""y"":493,""dx"":-55,""dy"":-58,""t"":8198},{""x"":946,""y"":476,""dx"":-25,""dy"":-75,""t"":8232},{""x"":955,""y"":483,""dx"":-16,""dy"":-68,""t"":8266},{""x"":950,""y"":493,""dx"":-21,""dy"":-58,""t"":8300},{""x"":964,""y"":497,""dx"":-7,""dy"":-54,""t"":8334},{""x"":1004,""y"":500,""dx"":33,""dy"":-51,""t"":8365},{""x"":1025,""y"":493,""dx"":54,""dy"":-58,""t"":8402},{""x"":1029,""y"":492,""dx"":58,""dy"":-59,""t"":8435},{""x"":1038,""y"":495,""dx"":67,""dy"":-56,""t"":8470},{""x"":1027,""y"":518,""dx"":56,""dy"":-33,""t"":8503},{""x"":1042,""y"":520,""dx"":71,""dy"":-31,""t"":8539},{""x"":1044,""y"":546,""dx"":73,""dy"":-5,""t"":8571},{""x"":1037,""y"":521,""dx"":66,""dy"":-30,""t"":8606},{""x"":1031,""y"":543,""dx"":60,""dy"":-8,""t"":8640},{""x"":993,""y"":541,""dx"":22,""dy"":-10,""t"":8674},{""x"":955,""y"":535,""dx"":-16,""dy"":-16,""t"":8707},{""x"":965,""y"":557,""dx"":-6,""dy"":6,""t"":8742},{""x"":927,""y"":555,""dx"":-44,""dy"":4,""t"":8775},{""x"":894,""y"":587,""dx"":-77,""dy"":36,""t"":8810},{""x"":907,""y"":583,""dx"":-64,""dy"":32,""t"":8844},{""x"":949,""y"":568,""dx"":-22,""dy"":17,""t"":8879},{""x"":950,""y"":570,""dx"":-21,""dy"":19,""t"":8912},{""x"":959,""y"":559,""dx"":-12,""dy"":8,""t"":8945},{""x"":959,""y"":548,""dx"":-12,""dy"":-3,""t"":8979},{""x"":952,""y"":539,""dx"":-19,""dy"":-12,""t"":9015}],[{""x"":490,""y"":685,""dx"":-1,""dy"":-136,""t"":10068},{""x"":486,""y"":684,""dx"":-5,""dy"":-137,""t"":10102},{""x"":489,""y"":683,""dx"":-2,""dy"":-138,""t"":10135},{""x"":495,""y"":657,""dx"":4,""dy"":-164,""t"":10170},{""x"":501,""y"":656,""dx"":10,""dy"":-165,""t"":10204},{""x"":525,""y"":647,""dx"":34,""dy"":-174,""t"":10238},{""x"":527,""y"":630,""dx"":36,""dy"":-191,""t"":10272},{""x"":536,""y"":624,""dx"":45,""dy"":-197,""t"":10305},{""x"":536,""y"":625,""dx"":45,""dy"":-196,""t"":10339},{""x"":531,""y"":635,""dx"":40,""dy"":-186,""t"":10374},{""x"":538,""y"":630,""dx"":47,""dy"":-191,""t"":10408},{""x"":541,""y"":656,""dx"":50,""dy"":-165,""t"":10442},{""x"":540,""y"":659,""dx"":49,""dy"":-162,""t"":10476},{""x"":547,""y"":673,""dx"":56,""dy"":-148,""t"":10510},{""x"":541,""y"":671,""dx"":50,""dy"":-150,""t"":10544},{""x"":538,""y"":658,""dx"":47,""dy"":-163,""t"":10578},{""x"":538,""y"":651,""dx"":47,""dy"":-170,""t"":10612},{""x"":534,""y"":648,""dx"":43,""dy"":-173,""t"":10645},{""x"":526,""y"":629,""dx"":35,""dy"":-192,""t"":10680},{""x"":526,""y"":610,""dx"":35,""dy"":-211,""t"":10714},{""x"":530,""y"":605,""dx"":39,""dy"":-216,""t"":10748},{""x"":528,""y"":583,""dx"":37,""dy"":-238,""t"":10782},{""x"":532,""y"":596,""dx"":41,""dy"":-225,""t"":10815},{""x"":538,""y"":598,""dx"":47,""dy"":-223,""t"":10850},{""x"":532,""y"":611,""dx"":41,""dy"":-210,""t"":10884},{""x"":530,""y"":616,""dx"":39,""dy"":-205,""t"":10918},{""x"":529,""y"":620,""dx"":38,""dy"":-201,""t"":10951},{""x"":522,""y"":622,""dx"":31,""dy"":-199,""t"":10985},{""x"":532,""y"":611,""dx"":41,""dy"":-210,""t"":11020},{""x"":543,""y"":603,""dx"":52,""dy"":-218,""t"":11054},{""x"":545,""y"":617,""dx"":54,""dy"":-204,""t"":11088},{""x"":553,""y"":618,""dx"":62,""dy"":-203,""t"":11122},{""x"":559,""y"":618,""dx"":68,""dy"":-203,""t"":11154},{""x"":547,""y"":612,""dx"":56,""dy"":-209,""t"":11190},{""x"":568,""y"":612,""dx"":77,""dy"":-209,""t"":11224},{""x"":569,""y"":601,""dx"":78,""dy"":-220,""t"":11257},{""x"":560,""y"":607,""dx"":69,""dy"":-214,""t"":11292},{""x"":552,""y"":593,""dx"":61,""dy"":-228,""t"":11325},{""x"":533,""y"":601,""dx"":42,""dy"":-220,""t"":11359},{""x"":537,""y"":625,""dx"":46,""dy"":-196,""t"":11394},{""x"":532,""y"":618,""dx"":41,""dy"":-203,""t"":11428},{""x"":528,""y"":616,""dx"":37,""dy"":-205,""t"":11461},{""x"":530,""y"":610,""dx"":39,""dy"":-211,""t"":11496},{""x"":539,""y"":609,""dx"":48,""dy"":-212,""t"":11529},{""x"":538,""y"":615,""dx"":47,""dy"":-206,""t"":11562},{""x"":539,""y"":613,""dx"":48,""dy"":-208,""t"":11598},{""x"":533,""y"":621,""dx"":42,""dy"":-200,""t"":11632},{""x"":527,""y"":630,""dx"":36,""dy"":-191,""t"":11667},{""x"":528,""y"":629,""dx"":37,""dy"":-192,""t"":11700},{""x"":534,""y"":625,""dx"":43,""dy"":-196,""t"":11734},{""x"":533,""y"":638,""dx"":42,""dy"":-183,""t"":11768},{""x"":537,""y"":645,""dx"":46,""dy"":-176,""t"":11801},{""x"":533,""y"":642,""dx"":42,""dy"":-179,""t"":11837},{""x"":523,""y"":666,""dx"":32,""dy"":-155,""t"":11869},{""x"":544,""y"":664,""dx"":53,""dy"":-157,""t"":11904},{""x"":540,""y"":685,""dx"":49,""dy"":-136,""t"":11938},{""x"":534,""y"":671,""dx"":43,""dy"":-150,""t"":11972},{""x"":536,""y"":688,""dx"":45,""dy"":-133,""t"":12005},{""x"":526,""y"":690,""dx"":35,""dy"":-131,""t"":12040}],[{""x"":1521,""y"":670,""dx"":70,""dy"":-151,""t"":13059},{""x"":1501,""y"":640,""dx"":50,""dy"":-181,""t"":13093},{""x"":1482,""y"":616,""dx"":31,""dy"":-205,""t"":13125},{""x"":1467,""y"":607,""dx"":16,""dy"":-214,""t"":13161},{""x"":1453,""y"":593,""dx"":2,""dy"":-228,""t"":13195},{""x"":1449,""y"":571,""dx"":-2,""dy"":-250,""t"":13230},{""x"":1453,""y"":601,""dx"":2,""dy"":-220,""t"":13263},{""x"":1424,""y"":585,""dx"":-27,""dy"":-236,""t"":13299},{""x"":1409,""y"":575,""dx"":-42,""dy"":-246,""t"":13331},{""x"":1397,""y"":574,""dx"":-54,""dy"":-247,""t"":13366},{""x"":1390,""y"":587,""dx"":-61,""dy"":-234,""t"":13400},{""x"":1385,""y"":587,""dx"":-66,""dy"":-234,""t"":13434},{""x"":1380,""y"":593,""dx"":-71,""dy"":-228,""t"":13467},{""x"":1374,""y"":585,""dx"":-77,""dy"":-236,""t"":13501},{""x"":1370,""y"":579,""dx"":-81,""dy"":-242,""t"":13533},{""x"":1373,""y"":583,""dx"":-78,""dy"":-238,""t"":13570},{""x"":1389,""y"":584,""dx"":-62,""dy"":-237,""t"":13603},{""x"":1413,""y"":592,""dx"":-38,""dy"":-229,""t"":13645},{""x"":1408,""y"":603,""dx"":-43,""dy"":-218,""t"":13686},{""x"":1413,""y"":607,""dx"":-38,""dy"":-214,""t"":13714},{""x"":1418,""y"":615,""dx"":-33,""dy"":-206,""t"":13739},{""x"":1415,""y"":614,""dx"":-36,""dy"":-207,""t"":13773},{""x"":1424,""y"":618,""dx"":-27,""dy"":-203,""t"":13807},{""x"":1424,""y"":616,""dx"":-27,""dy"":-205,""t"":13842},{""x"":1433,""y"":630,""dx"":-18,""dy"":-191,""t"":13875},{""x"":1440,""y"":628,""dx"":-11,""dy"":-193,""t"":13910},{""x"":1430,""y"":625,""dx"":-21,""dy"":-196,""t"":13944},{""x"":1424,""y"":626,""dx"":-27,""dy"":-195,""t"":13978},{""x"":1438,""y"":620,""dx"":-13,""dy"":-201,""t"":14012},{""x"":1434,""y"":603,""dx"":-17,""dy"":-218,""t"":14045},{""x"":1430,""y"":593,""dx"":-21,""dy"":-228,""t"":14080},{""x"":1430,""y"":580,""dx"":-21,""dy"":-241,""t"":14114},{""x"":1438,""y"":594,""dx"":-13,""dy"":-227,""t"":14148},{""x"":1425,""y"":581,""dx"":-26,""dy"":-240,""t"":14182},{""x"":1408,""y"":571,""dx"":-43,""dy"":-250,""t"":14216},{""x"":1393,""y"":569,""dx"":-58,""dy"":-252,""t"":14250},{""x"":1396,""y"":575,""dx"":-55,""dy"":-246,""t"":14283},{""x"":1393,""y"":584,""dx"":-58,""dy"":-237,""t"":14318},{""x"":1381,""y"":592,""dx"":-70,""dy"":-229,""t"":14352},{""x"":1385,""y"":576,""dx"":-66,""dy"":-245,""t"":14386},{""x"":1394,""y"":575,""dx"":-57,""dy"":-246,""t"":14420},{""x"":1426,""y"":579,""dx"":-25,""dy"":-242,""t"":14454},{""x"":1422,""y"":581,""dx"":-29,""dy"":-240,""t"":14488},{""x"":1410,""y"":577,""dx"":-41,""dy"":-244,""t"":14522},{""x"":1418,""y"":592,""dx"":-33,""dy"":-229,""t"":14555},{""x"":1404,""y"":593,""dx"":-47,""dy"":-228,""t"":14591},{""x"":1402,""y"":599,""dx"":-49,""dy"":-222,""t"":14624},{""x"":1401,""y"":607,""dx"":-50,""dy"":-214,""t"":14658},{""x"":1399,""y"":591,""dx"":-52,""dy"":-230,""t"":14692},{""x"":1397,""y"":578,""dx"":-54,""dy"":-243,""t"":14724},{""x"":1411,""y"":586,""dx"":-40,""dy"":-235,""t"":14760},{""x"":1403,""y"":591,""dx"":-48,""dy"":-230,""t"":14795},{""x"":1408,""y"":606,""dx"":-43,""dy"":-215,""t"":14827},{""x"":1405,""y"":609,""dx"":-46,""dy"":-212,""t"":14861},{""x"":1409,""y"":628,""dx"":-42,""dy"":-193,""t"":14896},{""x"":1427,""y"":639,""dx"":-24,""dy"":-182,""t"":14931},{""x"":1419,""y"":649,""dx"":-32,""dy"":-172,""t"":14964},{""x"":1420,""y"":645,""dx"":-31,""dy"":-176,""t"":14998},{""x"":1428,""y"":638,""dx"":-23,""dy"":-183,""t"":15033}]]","[100,100,100,47.45762711864407,18.64406779661017]","[{""x"":25.883333333333333,""y"":21.916666666666668,""r"":51.397434264127995},{""x"":-28.603448275862068,""y"":94.82758620689656,""r"":33.22641196448073},{""x"":-1.4745762711864407,""y"":-29.45762711864407,""r"":60.66002007127429},{""x"":42.186440677966104,""y"":-187.864406779661,""r"":24.226031521380495},{""x"":-33.83050847457627,""y"":-220.91525423728814,""r"":29.03245368288059}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.30","validate","","","","","","","","","","",""
"","html-button-response","9","47038","0.0-4.0-4.0-0.0-0.0","","","","","615","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","10","57493","0.0-4.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","11","58358","0.0-4.0-4.0-0.0-2.0","","","","","864","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","recalibration","","","","","","","","","",""
