"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2083","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2087","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6839","0.0-2.0-0.0","","","","","4750","{""name"":""罗晨曦"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","12870","0.0-2.0-1.0","","","","","6031","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","13463","0.0-3.0","","","","","591"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","28537","0.0-4.0","","","","","","","","","1358","","","","","","","","","","","","","","","","",""
"","html-button-response","6","29766","0.0-5.0-0.0","","","","","1228","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","40047","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","41887","0.0-5.0-2.0","","","","","1840","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","59854","0.0-5.0-3.0","","","","","","","","","","[[{""x"":510,""y"":339,""dx"":19,""dy"":58,""t"":990},{""x"":532,""y"":338,""dx"":41,""dy"":57,""t"":1023},{""x"":522,""y"":327,""dx"":31,""dy"":46,""t"":1058},{""x"":514,""y"":318,""dx"":23,""dy"":37,""t"":1090},{""x"":503,""y"":348,""dx"":12,""dy"":67,""t"":1126},{""x"":484,""y"":318,""dx"":-7,""dy"":37,""t"":1161},{""x"":486,""y"":329,""dx"":-5,""dy"":48,""t"":1194},{""x"":470,""y"":333,""dx"":-21,""dy"":52,""t"":1227},{""x"":482,""y"":297,""dx"":-9,""dy"":16,""t"":1262},{""x"":500,""y"":342,""dx"":9,""dy"":61,""t"":1296},{""x"":493,""y"":328,""dx"":2,""dy"":47,""t"":1330},{""x"":475,""y"":319,""dx"":-16,""dy"":38,""t"":1364},{""x"":473,""y"":319,""dx"":-18,""dy"":38,""t"":1398},{""x"":426,""y"":321,""dx"":-65,""dy"":40,""t"":1431},{""x"":421,""y"":319,""dx"":-70,""dy"":38,""t"":1465},{""x"":411,""y"":299,""dx"":-80,""dy"":18,""t"":1499},{""x"":413,""y"":293,""dx"":-78,""dy"":12,""t"":1534},{""x"":460,""y"":279,""dx"":-31,""dy"":-2,""t"":1568},{""x"":492,""y"":281,""dx"":1,""dy"":0,""t"":1601},{""x"":461,""y"":262,""dx"":-30,""dy"":-19,""t"":1636},{""x"":449,""y"":270,""dx"":-42,""dy"":-11,""t"":1669},{""x"":452,""y"":293,""dx"":-39,""dy"":12,""t"":1704},{""x"":456,""y"":292,""dx"":-35,""dy"":11,""t"":1737},{""x"":496,""y"":290,""dx"":5,""dy"":9,""t"":1772},{""x"":471,""y"":250,""dx"":-20,""dy"":-31,""t"":1806},{""x"":466,""y"":247,""dx"":-25,""dy"":-34,""t"":1840},{""x"":469,""y"":265,""dx"":-22,""dy"":-16,""t"":1873},{""x"":427,""y"":254,""dx"":-64,""dy"":-27,""t"":1907},{""x"":357,""y"":261,""dx"":-134,""dy"":-20,""t"":1941},{""x"":334,""y"":284,""dx"":-157,""dy"":3,""t"":1976},{""x"":345,""y"":278,""dx"":-146,""dy"":-3,""t"":2010},{""x"":418,""y"":334,""dx"":-73,""dy"":53,""t"":2045},{""x"":424,""y"":306,""dx"":-67,""dy"":25,""t"":2078},{""x"":422,""y"":291,""dx"":-69,""dy"":10,""t"":2112},{""x"":412,""y"":300,""dx"":-79,""dy"":19,""t"":2146},{""x"":405,""y"":303,""dx"":-86,""dy"":22,""t"":2180},{""x"":403,""y"":301,""dx"":-88,""dy"":20,""t"":2214},{""x"":425,""y"":295,""dx"":-66,""dy"":14,""t"":2248},{""x"":432,""y"":280,""dx"":-59,""dy"":-1,""t"":2282},{""x"":451,""y"":293,""dx"":-40,""dy"":12,""t"":2316},{""x"":407,""y"":296,""dx"":-84,""dy"":15,""t"":2350},{""x"":420,""y"":288,""dx"":-71,""dy"":7,""t"":2384},{""x"":451,""y"":288,""dx"":-40,""dy"":7,""t"":2418},{""x"":443,""y"":291,""dx"":-48,""dy"":10,""t"":2452},{""x"":447,""y"":303,""dx"":-44,""dy"":22,""t"":2486},{""x"":444,""y"":308,""dx"":-47,""dy"":27,""t"":2520},{""x"":440,""y"":296,""dx"":-51,""dy"":15,""t"":2553},{""x"":441,""y"":308,""dx"":-50,""dy"":27,""t"":2587},{""x"":498,""y"":314,""dx"":7,""dy"":33,""t"":2621},{""x"":496,""y"":330,""dx"":5,""dy"":49,""t"":2656},{""x"":510,""y"":327,""dx"":19,""dy"":46,""t"":2688},{""x"":627,""y"":311,""dx"":136,""dy"":30,""t"":2723},{""x"":795,""y"":313,""dx"":304,""dy"":32,""t"":2757},{""x"":1006,""y"":322,""dx"":515,""dy"":41,""t"":2791},{""x"":1171,""y"":321,""dx"":680,""dy"":40,""t"":2826},{""x"":1272,""y"":353,""dx"":781,""dy"":72,""t"":2860},{""x"":1431,""y"":381,""dx"":940,""dy"":100,""t"":2894},{""x"":1467,""y"":390,""dx"":976,""dy"":109,""t"":2928},{""x"":1496,""y"":407,""dx"":1005,""dy"":126,""t"":2962}],[{""x"":1501,""y"":407,""dx"":50,""dy"":126,""t"":4017},{""x"":1521,""y"":390,""dx"":70,""dy"":109,""t"":4050},{""x"":1512,""y"":369,""dx"":61,""dy"":88,""t"":4085},{""x"":1497,""y"":368,""dx"":46,""dy"":87,""t"":4118},{""x"":1481,""y"":370,""dx"":30,""dy"":89,""t"":4152},{""x"":1488,""y"":375,""dx"":37,""dy"":94,""t"":4186},{""x"":1532,""y"":396,""dx"":81,""dy"":115,""t"":4220},{""x"":1501,""y"":386,""dx"":50,""dy"":105,""t"":4252},{""x"":1512,""y"":411,""dx"":61,""dy"":130,""t"":4287},{""x"":1492,""y"":433,""dx"":41,""dy"":152,""t"":4321},{""x"":1463,""y"":435,""dx"":12,""dy"":154,""t"":4356},{""x"":1462,""y"":435,""dx"":11,""dy"":154,""t"":4390},{""x"":1475,""y"":422,""dx"":24,""dy"":141,""t"":4423},{""x"":1417,""y"":408,""dx"":-34,""dy"":127,""t"":4457},{""x"":1407,""y"":412,""dx"":-44,""dy"":131,""t"":4492},{""x"":1425,""y"":392,""dx"":-26,""dy"":111,""t"":4526},{""x"":1447,""y"":401,""dx"":-4,""dy"":120,""t"":4560},{""x"":1432,""y"":394,""dx"":-19,""dy"":113,""t"":4593},{""x"":1411,""y"":396,""dx"":-40,""dy"":115,""t"":4628},{""x"":1394,""y"":398,""dx"":-57,""dy"":117,""t"":4659},{""x"":1389,""y"":394,""dx"":-62,""dy"":113,""t"":4696},{""x"":1412,""y"":426,""dx"":-39,""dy"":145,""t"":4730},{""x"":1427,""y"":426,""dx"":-24,""dy"":145,""t"":4765},{""x"":1455,""y"":421,""dx"":4,""dy"":140,""t"":4798},{""x"":1483,""y"":413,""dx"":32,""dy"":132,""t"":4832},{""x"":1493,""y"":393,""dx"":42,""dy"":112,""t"":4866},{""x"":1464,""y"":380,""dx"":13,""dy"":99,""t"":4900},{""x"":1478,""y"":388,""dx"":27,""dy"":107,""t"":4933},{""x"":1479,""y"":413,""dx"":28,""dy"":132,""t"":4968},{""x"":1517,""y"":416,""dx"":66,""dy"":135,""t"":5002},{""x"":1509,""y"":426,""dx"":58,""dy"":145,""t"":5036},{""x"":1532,""y"":423,""dx"":81,""dy"":142,""t"":5071},{""x"":1528,""y"":419,""dx"":77,""dy"":138,""t"":5104},{""x"":1568,""y"":422,""dx"":117,""dy"":141,""t"":5138},{""x"":1518,""y"":409,""dx"":67,""dy"":128,""t"":5172},{""x"":1547,""y"":424,""dx"":96,""dy"":143,""t"":5206},{""x"":1576,""y"":450,""dx"":125,""dy"":169,""t"":5240},{""x"":1549,""y"":420,""dx"":98,""dy"":139,""t"":5273},{""x"":1513,""y"":404,""dx"":62,""dy"":123,""t"":5307},{""x"":1498,""y"":382,""dx"":47,""dy"":101,""t"":5341},{""x"":1537,""y"":384,""dx"":86,""dy"":103,""t"":5376},{""x"":1523,""y"":352,""dx"":72,""dy"":71,""t"":5409},{""x"":1564,""y"":356,""dx"":113,""dy"":75,""t"":5444},{""x"":1585,""y"":379,""dx"":134,""dy"":98,""t"":5477},{""x"":1544,""y"":360,""dx"":93,""dy"":79,""t"":5511},{""x"":1527,""y"":343,""dx"":76,""dy"":62,""t"":5545},{""x"":1542,""y"":367,""dx"":91,""dy"":86,""t"":5580},{""x"":1548,""y"":361,""dx"":97,""dy"":80,""t"":5614},{""x"":1571,""y"":357,""dx"":120,""dy"":76,""t"":5648},{""x"":1584,""y"":364,""dx"":133,""dy"":83,""t"":5682},{""x"":1589,""y"":389,""dx"":138,""dy"":108,""t"":5715},{""x"":1586,""y"":415,""dx"":135,""dy"":134,""t"":5750},{""x"":1561,""y"":379,""dx"":110,""dy"":98,""t"":5784},{""x"":1548,""y"":351,""dx"":97,""dy"":70,""t"":5818},{""x"":1570,""y"":341,""dx"":119,""dy"":60,""t"":5851},{""x"":1542,""y"":357,""dx"":91,""dy"":76,""t"":5886},{""x"":1529,""y"":344,""dx"":78,""dy"":63,""t"":5920},{""x"":1521,""y"":351,""dx"":70,""dy"":70,""t"":5954},{""x"":1537,""y"":353,""dx"":86,""dy"":72,""t"":5987}],[{""x"":911,""y"":916,""dx"":-60,""dy"":365,""t"":7008},{""x"":917,""y"":938,""dx"":-54,""dy"":387,""t"":7042},{""x"":929,""y"":935,""dx"":-42,""dy"":384,""t"":7075},{""x"":935,""y"":932,""dx"":-36,""dy"":381,""t"":7110},{""x"":954,""y"":909,""dx"":-17,""dy"":358,""t"":7144},{""x"":930,""y"":888,""dx"":-41,""dy"":337,""t"":7178},{""x"":911,""y"":834,""dx"":-60,""dy"":283,""t"":7211},{""x"":947,""y"":796,""dx"":-24,""dy"":245,""t"":7246},{""x"":955,""y"":758,""dx"":-16,""dy"":207,""t"":7279},{""x"":951,""y"":771,""dx"":-20,""dy"":220,""t"":7314},{""x"":917,""y"":788,""dx"":-54,""dy"":237,""t"":7347},{""x"":931,""y"":808,""dx"":-40,""dy"":257,""t"":7382},{""x"":959,""y"":799,""dx"":-12,""dy"":248,""t"":7415},{""x"":996,""y"":771,""dx"":25,""dy"":220,""t"":7450},{""x"":986,""y"":727,""dx"":15,""dy"":176,""t"":7484},{""x"":1006,""y"":695,""dx"":35,""dy"":144,""t"":7518},{""x"":1017,""y"":703,""dx"":46,""dy"":152,""t"":7551},{""x"":1007,""y"":750,""dx"":36,""dy"":199,""t"":7586},{""x"":995,""y"":854,""dx"":24,""dy"":303,""t"":7620},{""x"":1005,""y"":913,""dx"":34,""dy"":362,""t"":7654},{""x"":984,""y"":957,""dx"":13,""dy"":406,""t"":7688},{""x"":978,""y"":945,""dx"":7,""dy"":394,""t"":7722},{""x"":992,""y"":915,""dx"":21,""dy"":364,""t"":7756},{""x"":990,""y"":895,""dx"":19,""dy"":344,""t"":7789},{""x"":989,""y"":877,""dx"":18,""dy"":326,""t"":7821},{""x"":985,""y"":838,""dx"":14,""dy"":287,""t"":7859},{""x"":970,""y"":794,""dx"":-1,""dy"":243,""t"":7891},{""x"":966,""y"":762,""dx"":-5,""dy"":211,""t"":7926},{""x"":962,""y"":751,""dx"":-9,""dy"":200,""t"":7960},{""x"":940,""y"":740,""dx"":-31,""dy"":189,""t"":7994},{""x"":934,""y"":706,""dx"":-37,""dy"":155,""t"":8027},{""x"":911,""y"":697,""dx"":-60,""dy"":146,""t"":8063},{""x"":948,""y"":703,""dx"":-23,""dy"":152,""t"":8095},{""x"":943,""y"":692,""dx"":-28,""dy"":141,""t"":8130},{""x"":936,""y"":667,""dx"":-35,""dy"":116,""t"":8164},{""x"":935,""y"":655,""dx"":-36,""dy"":104,""t"":8197},{""x"":928,""y"":655,""dx"":-43,""dy"":104,""t"":8229},{""x"":937,""y"":660,""dx"":-34,""dy"":109,""t"":8266},{""x"":947,""y"":638,""dx"":-24,""dy"":87,""t"":8300},{""x"":955,""y"":654,""dx"":-16,""dy"":103,""t"":8334},{""x"":967,""y"":667,""dx"":-4,""dy"":116,""t"":8368},{""x"":1013,""y"":631,""dx"":42,""dy"":80,""t"":8402},{""x"":1016,""y"":585,""dx"":45,""dy"":34,""t"":8436},{""x"":1009,""y"":601,""dx"":38,""dy"":50,""t"":8470},{""x"":995,""y"":638,""dx"":24,""dy"":87,""t"":8503},{""x"":969,""y"":663,""dx"":-2,""dy"":112,""t"":8538},{""x"":973,""y"":685,""dx"":2,""dy"":134,""t"":8572},{""x"":954,""y"":706,""dx"":-17,""dy"":155,""t"":8606},{""x"":968,""y"":733,""dx"":-3,""dy"":182,""t"":8639},{""x"":971,""y"":742,""dx"":0,""dy"":191,""t"":8673},{""x"":979,""y"":758,""dx"":8,""dy"":207,""t"":8708},{""x"":961,""y"":749,""dx"":-10,""dy"":198,""t"":8742},{""x"":988,""y"":772,""dx"":17,""dy"":221,""t"":8776},{""x"":979,""y"":798,""dx"":8,""dy"":247,""t"":8810},{""x"":970,""y"":811,""dx"":-1,""dy"":260,""t"":8844},{""x"":951,""y"":808,""dx"":-20,""dy"":257,""t"":8878},{""x"":937,""y"":816,""dx"":-34,""dy"":265,""t"":8913},{""x"":906,""y"":790,""dx"":-65,""dy"":239,""t"":8946},{""x"":915,""y"":780,""dx"":-56,""dy"":229,""t"":8981}],[{""x"":773,""y"":814,""dx"":282,""dy"":-7,""t"":10000},{""x"":772,""y"":824,""dx"":281,""dy"":3,""t"":10034},{""x"":792,""y"":826,""dx"":301,""dy"":5,""t"":10067},{""x"":771,""y"":806,""dx"":280,""dy"":-15,""t"":10102},{""x"":768,""y"":805,""dx"":277,""dy"":-16,""t"":10136},{""x"":740,""y"":803,""dx"":249,""dy"":-18,""t"":10170},{""x"":740,""y"":820,""dx"":249,""dy"":-1,""t"":10203},{""x"":752,""y"":865,""dx"":261,""dy"":44,""t"":10238},{""x"":778,""y"":992,""dx"":287,""dy"":171,""t"":10272},{""x"":776,""y"":1053,""dx"":285,""dy"":232,""t"":10306},{""x"":776,""y"":1062,""dx"":285,""dy"":241,""t"":10340},{""x"":761,""y"":1074,""dx"":270,""dy"":253,""t"":10373},{""x"":778,""y"":1051,""dx"":287,""dy"":230,""t"":10408},{""x"":781,""y"":1032,""dx"":290,""dy"":211,""t"":10442},{""x"":761,""y"":1020,""dx"":270,""dy"":199,""t"":10475},{""x"":756,""y"":962,""dx"":265,""dy"":141,""t"":10510},{""x"":747,""y"":942,""dx"":256,""dy"":121,""t"":10544},{""x"":741,""y"":909,""dx"":250,""dy"":88,""t"":10578},{""x"":734,""y"":868,""dx"":243,""dy"":47,""t"":10612},{""x"":716,""y"":842,""dx"":225,""dy"":21,""t"":10646},{""x"":725,""y"":831,""dx"":234,""dy"":10,""t"":10679},{""x"":730,""y"":825,""dx"":239,""dy"":4,""t"":10713},{""x"":752,""y"":831,""dx"":261,""dy"":10,""t"":10747},{""x"":758,""y"":829,""dx"":267,""dy"":8,""t"":10782},{""x"":759,""y"":824,""dx"":268,""dy"":3,""t"":10816},{""x"":751,""y"":818,""dx"":260,""dy"":-3,""t"":10849},{""x"":752,""y"":800,""dx"":261,""dy"":-21,""t"":10884},{""x"":754,""y"":803,""dx"":263,""dy"":-18,""t"":10917},{""x"":739,""y"":773,""dx"":248,""dy"":-48,""t"":10952},{""x"":740,""y"":758,""dx"":249,""dy"":-63,""t"":10986},{""x"":727,""y"":752,""dx"":236,""dy"":-69,""t"":11020},{""x"":714,""y"":746,""dx"":223,""dy"":-75,""t"":11053},{""x"":714,""y"":750,""dx"":223,""dy"":-71,""t"":11088},{""x"":720,""y"":759,""dx"":229,""dy"":-62,""t"":11122},{""x"":704,""y"":758,""dx"":213,""dy"":-63,""t"":11156},{""x"":710,""y"":745,""dx"":219,""dy"":-76,""t"":11190},{""x"":715,""y"":723,""dx"":224,""dy"":-98,""t"":11223},{""x"":730,""y"":733,""dx"":239,""dy"":-88,""t"":11258},{""x"":694,""y"":749,""dx"":203,""dy"":-72,""t"":11292},{""x"":674,""y"":750,""dx"":183,""dy"":-71,""t"":11327},{""x"":655,""y"":764,""dx"":164,""dy"":-57,""t"":11360},{""x"":666,""y"":774,""dx"":175,""dy"":-47,""t"":11391},{""x"":671,""y"":780,""dx"":180,""dy"":-41,""t"":11428},{""x"":678,""y"":779,""dx"":187,""dy"":-42,""t"":11461},{""x"":698,""y"":793,""dx"":207,""dy"":-28,""t"":11495},{""x"":689,""y"":778,""dx"":198,""dy"":-43,""t"":11530},{""x"":666,""y"":777,""dx"":175,""dy"":-44,""t"":11564},{""x"":641,""y"":776,""dx"":150,""dy"":-45,""t"":11597},{""x"":642,""y"":789,""dx"":151,""dy"":-32,""t"":11632},{""x"":656,""y"":791,""dx"":165,""dy"":-30,""t"":11665},{""x"":675,""y"":797,""dx"":184,""dy"":-24,""t"":11701},{""x"":688,""y"":814,""dx"":197,""dy"":-7,""t"":11733},{""x"":665,""y"":823,""dx"":174,""dy"":2,""t"":11767},{""x"":644,""y"":830,""dx"":153,""dy"":9,""t"":11800},{""x"":638,""y"":833,""dx"":147,""dy"":12,""t"":11837},{""x"":632,""y"":819,""dx"":141,""dy"":-2,""t"":11870},{""x"":622,""y"":820,""dx"":131,""dy"":-1,""t"":11904},{""x"":642,""y"":808,""dx"":151,""dy"":-13,""t"":11938},{""x"":648,""y"":823,""dx"":157,""dy"":2,""t"":11972},{""x"":657,""y"":828,""dx"":166,""dy"":7,""t"":12006}],[{""x"":1419,""y"":705,""dx"":-32,""dy"":-116,""t"":13026},{""x"":1407,""y"":721,""dx"":-44,""dy"":-100,""t"":13061},{""x"":1400,""y"":732,""dx"":-51,""dy"":-89,""t"":13094},{""x"":1403,""y"":731,""dx"":-48,""dy"":-90,""t"":13129},{""x"":1399,""y"":723,""dx"":-52,""dy"":-98,""t"":13162},{""x"":1398,""y"":727,""dx"":-53,""dy"":-94,""t"":13197},{""x"":1385,""y"":707,""dx"":-66,""dy"":-114,""t"":13231},{""x"":1355,""y"":700,""dx"":-96,""dy"":-121,""t"":13263},{""x"":1332,""y"":699,""dx"":-119,""dy"":-122,""t"":13298},{""x"":1326,""y"":717,""dx"":-125,""dy"":-104,""t"":13332},{""x"":1329,""y"":701,""dx"":-122,""dy"":-120,""t"":13366},{""x"":1332,""y"":686,""dx"":-119,""dy"":-135,""t"":13397},{""x"":1342,""y"":680,""dx"":-109,""dy"":-141,""t"":13434},{""x"":1371,""y"":663,""dx"":-80,""dy"":-158,""t"":13467},{""x"":1380,""y"":675,""dx"":-71,""dy"":-146,""t"":13503},{""x"":1407,""y"":663,""dx"":-44,""dy"":-158,""t"":13536},{""x"":1396,""y"":669,""dx"":-55,""dy"":-152,""t"":13571},{""x"":1390,""y"":693,""dx"":-61,""dy"":-128,""t"":13604},{""x"":1379,""y"":725,""dx"":-72,""dy"":-96,""t"":13637},{""x"":1353,""y"":796,""dx"":-98,""dy"":-25,""t"":13672},{""x"":1292,""y"":887,""dx"":-159,""dy"":66,""t"":13706},{""x"":1225,""y"":969,""dx"":-226,""dy"":148,""t"":13740},{""x"":1167,""y"":1015,""dx"":-284,""dy"":194,""t"":13774},{""x"":1182,""y"":1010,""dx"":-269,""dy"":189,""t"":13807},{""x"":1207,""y"":1016,""dx"":-244,""dy"":195,""t"":13841},{""x"":1214,""y"":1023,""dx"":-237,""dy"":202,""t"":13876},{""x"":1241,""y"":1007,""dx"":-210,""dy"":186,""t"":13909},{""x"":1270,""y"":982,""dx"":-181,""dy"":161,""t"":13944},{""x"":1258,""y"":936,""dx"":-193,""dy"":115,""t"":13978},{""x"":1289,""y"":856,""dx"":-162,""dy"":35,""t"":14011},{""x"":1288,""y"":876,""dx"":-163,""dy"":55,""t"":14046},{""x"":1293,""y"":818,""dx"":-158,""dy"":-3,""t"":14079},{""x"":1322,""y"":798,""dx"":-129,""dy"":-23,""t"":14114},{""x"":1337,""y"":779,""dx"":-114,""dy"":-42,""t"":14148},{""x"":1356,""y"":766,""dx"":-95,""dy"":-55,""t"":14182},{""x"":1324,""y"":803,""dx"":-127,""dy"":-18,""t"":14216},{""x"":1333,""y"":820,""dx"":-118,""dy"":-1,""t"":14249},{""x"":1332,""y"":801,""dx"":-119,""dy"":-20,""t"":14284},{""x"":1333,""y"":778,""dx"":-118,""dy"":-43,""t"":14318},{""x"":1329,""y"":767,""dx"":-122,""dy"":-54,""t"":14352},{""x"":1340,""y"":756,""dx"":-111,""dy"":-65,""t"":14385},{""x"":1344,""y"":768,""dx"":-107,""dy"":-53,""t"":14420},{""x"":1344,""y"":768,""dx"":-107,""dy"":-53,""t"":14454},{""x"":1325,""y"":739,""dx"":-126,""dy"":-82,""t"":14487},{""x"":1325,""y"":718,""dx"":-126,""dy"":-103,""t"":14522},{""x"":1324,""y"":738,""dx"":-127,""dy"":-83,""t"":14556},{""x"":1324,""y"":726,""dx"":-127,""dy"":-95,""t"":14590},{""x"":1317,""y"":714,""dx"":-134,""dy"":-107,""t"":14623},{""x"":1312,""y"":679,""dx"":-139,""dy"":-142,""t"":14658},{""x"":1317,""y"":700,""dx"":-134,""dy"":-121,""t"":14691},{""x"":1323,""y"":713,""dx"":-128,""dy"":-108,""t"":14727},{""x"":1337,""y"":706,""dx"":-114,""dy"":-115,""t"":14759},{""x"":1311,""y"":715,""dx"":-140,""dy"":-106,""t"":14794},{""x"":1314,""y"":716,""dx"":-137,""dy"":-105,""t"":14827},{""x"":1305,""y"":731,""dx"":-146,""dy"":-90,""t"":14862},{""x"":1293,""y"":751,""dx"":-158,""dy"":-70,""t"":14896},{""x"":1289,""y"":758,""dx"":-162,""dy"":-63,""t"":14930},{""x"":1283,""y"":756,""dx"":-168,""dy"":-65,""t"":14961},{""x"":1300,""y"":741,""dx"":-151,""dy"":-80,""t"":14998},{""x"":1296,""y"":749,""dx"":-155,""dy"":-72,""t"":15033}]]","[88.13559322033898,98.30508474576271,42.3728813559322,31.666666666666664,86.66666666666667]","[{""x"":56.52542372881356,""y"":26.508474576271187,""r"":103.52659057204852},{""x"":54.30508474576271,""y"":111.37288135593221,""r"":50.968201272327754},{""x"":-9.813559322033898,""y"":218.8135593220339,""r"":81.47746924659032},{""x"":224.8,""y"":11.05,""r"":110.28715378529603},{""x"":-127.36666666666666,""y"":-46.63333333333333,""r"":110.6522256042833}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
"","html-button-response","10","61127","0.0-5.0-4.0-0.0-0.0","","","","","1271","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","72273","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","73214","0.0-5.0-4.0-0.0-2.0","","","","","941","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
