"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","1670","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1671","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5069","0.0-2.0-0.0","","","","","3396","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7092","0.0-2.0-1.0","","","","","2022","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","7801","0.0-3.0","","","","","708"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","11806","0.0-4.0","","","","","","","","","746","","","","","","","","","","","","","","","",""
"","html-button-response","6","12665","0.0-5.0-0.0","","","","","858","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","23499","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","24262","0.0-5.0-2.0","","","","","762","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","41801","0.0-5.0-3.0","","","","","","","","","","[[{""x"":494,""y"":328,""dx"":3,""dy"":47,""t"":988},{""x"":499,""y"":319,""dx"":8,""dy"":38,""t"":1021},{""x"":497,""y"":314,""dx"":6,""dy"":33,""t"":1055},{""x"":492,""y"":306,""dx"":1,""dy"":25,""t"":1091},{""x"":499,""y"":290,""dx"":8,""dy"":9,""t"":1123},{""x"":496,""y"":286,""dx"":5,""dy"":5,""t"":1157},{""x"":503,""y"":293,""dx"":12,""dy"":12,""t"":1193},{""x"":516,""y"":333,""dx"":25,""dy"":52,""t"":1225},{""x"":519,""y"":356,""dx"":28,""dy"":75,""t"":1259},{""x"":546,""y"":376,""dx"":55,""dy"":95,""t"":1295},{""x"":554,""y"":396,""dx"":63,""dy"":115,""t"":1328},{""x"":546,""y"":412,""dx"":55,""dy"":131,""t"":1361},{""x"":553,""y"":419,""dx"":62,""dy"":138,""t"":1397},{""x"":550,""y"":394,""dx"":59,""dy"":113,""t"":1429},{""x"":548,""y"":390,""dx"":57,""dy"":109,""t"":1464},{""x"":543,""y"":394,""dx"":52,""dy"":113,""t"":1499},{""x"":554,""y"":398,""dx"":63,""dy"":117,""t"":1532},{""x"":545,""y"":401,""dx"":54,""dy"":120,""t"":1565},{""x"":553,""y"":400,""dx"":62,""dy"":119,""t"":1601},{""x"":543,""y"":380,""dx"":52,""dy"":99,""t"":1634},{""x"":544,""y"":349,""dx"":53,""dy"":68,""t"":1668},{""x"":557,""y"":340,""dx"":66,""dy"":59,""t"":1703},{""x"":565,""y"":351,""dx"":74,""dy"":70,""t"":1736},{""x"":571,""y"":377,""dx"":80,""dy"":96,""t"":1769},{""x"":579,""y"":352,""dx"":88,""dy"":71,""t"":1805},{""x"":551,""y"":328,""dx"":60,""dy"":47,""t"":1837},{""x"":522,""y"":318,""dx"":31,""dy"":37,""t"":1871},{""x"":492,""y"":301,""dx"":1,""dy"":20,""t"":1904},{""x"":480,""y"":298,""dx"":-11,""dy"":17,""t"":1941},{""x"":463,""y"":297,""dx"":-28,""dy"":16,""t"":1973},{""x"":471,""y"":297,""dx"":-20,""dy"":16,""t"":2007},{""x"":493,""y"":315,""dx"":2,""dy"":34,""t"":2043},{""x"":499,""y"":316,""dx"":8,""dy"":35,""t"":2075},{""x"":524,""y"":320,""dx"":33,""dy"":39,""t"":2110},{""x"":534,""y"":319,""dx"":43,""dy"":38,""t"":2144},{""x"":540,""y"":319,""dx"":49,""dy"":38,""t"":2177},{""x"":551,""y"":323,""dx"":60,""dy"":42,""t"":2211},{""x"":563,""y"":324,""dx"":72,""dy"":43,""t"":2245},{""x"":569,""y"":333,""dx"":78,""dy"":52,""t"":2281},{""x"":573,""y"":341,""dx"":82,""dy"":60,""t"":2313},{""x"":582,""y"":334,""dx"":91,""dy"":53,""t"":2348},{""x"":554,""y"":332,""dx"":63,""dy"":51,""t"":2381},{""x"":538,""y"":334,""dx"":47,""dy"":53,""t"":2418},{""x"":536,""y"":328,""dx"":45,""dy"":47,""t"":2450},{""x"":519,""y"":332,""dx"":28,""dy"":51,""t"":2484},{""x"":514,""y"":311,""dx"":23,""dy"":30,""t"":2520},{""x"":507,""y"":308,""dx"":16,""dy"":27,""t"":2551},{""x"":516,""y"":309,""dx"":25,""dy"":28,""t"":2585},{""x"":501,""y"":289,""dx"":10,""dy"":8,""t"":2622},{""x"":506,""y"":306,""dx"":15,""dy"":25,""t"":2653},{""x"":502,""y"":319,""dx"":11,""dy"":38,""t"":2687},{""x"":496,""y"":309,""dx"":5,""dy"":28,""t"":2723},{""x"":499,""y"":301,""dx"":8,""dy"":20,""t"":2755},{""x"":505,""y"":307,""dx"":14,""dy"":26,""t"":2789},{""x"":509,""y"":309,""dx"":18,""dy"":28,""t"":2825},{""x"":506,""y"":311,""dx"":15,""dy"":30,""t"":2858},{""x"":508,""y"":322,""dx"":17,""dy"":41,""t"":2892},{""x"":516,""y"":333,""dx"":25,""dy"":52,""t"":2927},{""x"":505,""y"":341,""dx"":14,""dy"":60,""t"":2959},{""x"":496,""y"":358,""dx"":5,""dy"":77,""t"":2993}],[{""x"":1493,""y"":199,""dx"":42,""dy"":-82,""t"":4013},{""x"":1476,""y"":195,""dx"":25,""dy"":-86,""t"":4049},{""x"":1465,""y"":180,""dx"":14,""dy"":-101,""t"":4082},{""x"":1447,""y"":179,""dx"":-4,""dy"":-102,""t"":4115},{""x"":1442,""y"":184,""dx"":-9,""dy"":-97,""t"":4149},{""x"":1439,""y"":186,""dx"":-12,""dy"":-95,""t"":4186},{""x"":1426,""y"":191,""dx"":-25,""dy"":-90,""t"":4216},{""x"":1431,""y"":197,""dx"":-20,""dy"":-84,""t"":4252},{""x"":1421,""y"":184,""dx"":-30,""dy"":-97,""t"":4285},{""x"":1431,""y"":194,""dx"":-20,""dy"":-87,""t"":4321},{""x"":1432,""y"":195,""dx"":-19,""dy"":-86,""t"":4353},{""x"":1440,""y"":197,""dx"":-11,""dy"":-84,""t"":4387},{""x"":1440,""y"":203,""dx"":-11,""dy"":-78,""t"":4423},{""x"":1434,""y"":202,""dx"":-17,""dy"":-79,""t"":4455},{""x"":1424,""y"":218,""dx"":-27,""dy"":-63,""t"":4489},{""x"":1420,""y"":226,""dx"":-31,""dy"":-55,""t"":4525},{""x"":1415,""y"":222,""dx"":-36,""dy"":-59,""t"":4557},{""x"":1414,""y"":233,""dx"":-37,""dy"":-48,""t"":4592},{""x"":1402,""y"":226,""dx"":-49,""dy"":-55,""t"":4627},{""x"":1392,""y"":222,""dx"":-59,""dy"":-59,""t"":4660},{""x"":1381,""y"":216,""dx"":-70,""dy"":-65,""t"":4693},{""x"":1380,""y"":211,""dx"":-71,""dy"":-70,""t"":4729},{""x"":1388,""y"":201,""dx"":-63,""dy"":-80,""t"":4762},{""x"":1381,""y"":196,""dx"":-70,""dy"":-85,""t"":4796},{""x"":1388,""y"":205,""dx"":-63,""dy"":-76,""t"":4832},{""x"":1393,""y"":220,""dx"":-58,""dy"":-61,""t"":4863},{""x"":1404,""y"":239,""dx"":-47,""dy"":-42,""t"":4897},{""x"":1407,""y"":260,""dx"":-44,""dy"":-21,""t"":4933},{""x"":1407,""y"":273,""dx"":-44,""dy"":-8,""t"":4966},{""x"":1379,""y"":261,""dx"":-72,""dy"":-20,""t"":4999},{""x"":1362,""y"":267,""dx"":-89,""dy"":-14,""t"":5035},{""x"":1360,""y"":291,""dx"":-91,""dy"":10,""t"":5068},{""x"":1361,""y"":309,""dx"":-90,""dy"":28,""t"":5101},{""x"":1364,""y"":323,""dx"":-87,""dy"":42,""t"":5136},{""x"":1371,""y"":333,""dx"":-80,""dy"":52,""t"":5171},{""x"":1359,""y"":313,""dx"":-92,""dy"":32,""t"":5203},{""x"":1363,""y"":321,""dx"":-88,""dy"":40,""t"":5238},{""x"":1384,""y"":305,""dx"":-67,""dy"":24,""t"":5273},{""x"":1394,""y"":287,""dx"":-57,""dy"":6,""t"":5306},{""x"":1400,""y"":262,""dx"":-51,""dy"":-19,""t"":5340},{""x"":1392,""y"":257,""dx"":-59,""dy"":-24,""t"":5375},{""x"":1388,""y"":232,""dx"":-63,""dy"":-49,""t"":5407},{""x"":1398,""y"":252,""dx"":-53,""dy"":-29,""t"":5442},{""x"":1415,""y"":277,""dx"":-36,""dy"":-4,""t"":5476},{""x"":1434,""y"":322,""dx"":-17,""dy"":41,""t"":5508},{""x"":1433,""y"":335,""dx"":-18,""dy"":54,""t"":5545},{""x"":1437,""y"":350,""dx"":-14,""dy"":69,""t"":5577},{""x"":1442,""y"":355,""dx"":-9,""dy"":74,""t"":5612},{""x"":1448,""y"":345,""dx"":-3,""dy"":64,""t"":5647},{""x"":1441,""y"":333,""dx"":-10,""dy"":52,""t"":5680},{""x"":1425,""y"":355,""dx"":-26,""dy"":74,""t"":5714},{""x"":1422,""y"":341,""dx"":-29,""dy"":60,""t"":5749},{""x"":1400,""y"":367,""dx"":-51,""dy"":86,""t"":5781},{""x"":1381,""y"":390,""dx"":-70,""dy"":109,""t"":5815},{""x"":1348,""y"":408,""dx"":-103,""dy"":127,""t"":5849},{""x"":1333,""y"":413,""dx"":-118,""dy"":132,""t"":5885},{""x"":1326,""y"":446,""dx"":-125,""dy"":165,""t"":5917},{""x"":1367,""y"":469,""dx"":-84,""dy"":188,""t"":5952},{""x"":1392,""y"":484,""dx"":-59,""dy"":203,""t"":5987}],[{""x"":930,""y"":420,""dx"":-41,""dy"":-131,""t"":7005},{""x"":931,""y"":418,""dx"":-40,""dy"":-133,""t"":7041},{""x"":922,""y"":419,""dx"":-49,""dy"":-132,""t"":7074},{""x"":937,""y"":423,""dx"":-34,""dy"":-128,""t"":7106},{""x"":942,""y"":421,""dx"":-29,""dy"":-130,""t"":7142},{""x"":966,""y"":438,""dx"":-5,""dy"":-113,""t"":7177},{""x"":963,""y"":450,""dx"":-8,""dy"":-101,""t"":7210},{""x"":972,""y"":469,""dx"":1,""dy"":-82,""t"":7244},{""x"":981,""y"":472,""dx"":10,""dy"":-79,""t"":7279},{""x"":990,""y"":484,""dx"":19,""dy"":-67,""t"":7312},{""x"":987,""y"":469,""dx"":16,""dy"":-82,""t"":7345},{""x"":977,""y"":457,""dx"":6,""dy"":-94,""t"":7380},{""x"":968,""y"":446,""dx"":-3,""dy"":-105,""t"":7413},{""x"":978,""y"":447,""dx"":7,""dy"":-104,""t"":7450},{""x"":995,""y"":444,""dx"":24,""dy"":-107,""t"":7481},{""x"":1009,""y"":442,""dx"":38,""dy"":-109,""t"":7515},{""x"":1022,""y"":438,""dx"":51,""dy"":-113,""t"":7549},{""x"":1036,""y"":436,""dx"":65,""dy"":-115,""t"":7585},{""x"":1028,""y"":442,""dx"":57,""dy"":-109,""t"":7617},{""x"":1023,""y"":448,""dx"":52,""dy"":-103,""t"":7651},{""x"":1035,""y"":449,""dx"":64,""dy"":-102,""t"":7687},{""x"":1044,""y"":455,""dx"":73,""dy"":-96,""t"":7720},{""x"":1053,""y"":468,""dx"":82,""dy"":-83,""t"":7754},{""x"":1057,""y"":461,""dx"":86,""dy"":-90,""t"":7789},{""x"":1064,""y"":462,""dx"":93,""dy"":-89,""t"":7821},{""x"":1065,""y"":452,""dx"":94,""dy"":-99,""t"":7855},{""x"":1064,""y"":444,""dx"":93,""dy"":-107,""t"":7891},{""x"":1071,""y"":447,""dx"":100,""dy"":-104,""t"":7923},{""x"":1074,""y"":444,""dx"":103,""dy"":-107,""t"":7957},{""x"":1077,""y"":435,""dx"":106,""dy"":-116,""t"":7993},{""x"":1063,""y"":446,""dx"":92,""dy"":-105,""t"":8025},{""x"":1052,""y"":426,""dx"":81,""dy"":-125,""t"":8059},{""x"":1052,""y"":422,""dx"":81,""dy"":-129,""t"":8095},{""x"":1050,""y"":447,""dx"":79,""dy"":-104,""t"":8127},{""x"":1050,""y"":451,""dx"":79,""dy"":-100,""t"":8161},{""x"":1049,""y"":435,""dx"":78,""dy"":-116,""t"":8197},{""x"":1040,""y"":451,""dx"":69,""dy"":-100,""t"":8229},{""x"":1035,""y"":417,""dx"":64,""dy"":-134,""t"":8263},{""x"":1040,""y"":417,""dx"":69,""dy"":-134,""t"":8299},{""x"":1051,""y"":425,""dx"":80,""dy"":-126,""t"":8331},{""x"":1053,""y"":443,""dx"":82,""dy"":-108,""t"":8365},{""x"":1066,""y"":438,""dx"":95,""dy"":-113,""t"":8401},{""x"":1071,""y"":442,""dx"":100,""dy"":-109,""t"":8433},{""x"":1077,""y"":427,""dx"":106,""dy"":-124,""t"":8467},{""x"":1092,""y"":434,""dx"":121,""dy"":-117,""t"":8503},{""x"":1103,""y"":436,""dx"":132,""dy"":-115,""t"":8535},{""x"":1115,""y"":438,""dx"":144,""dy"":-113,""t"":8569},{""x"":1106,""y"":419,""dx"":135,""dy"":-132,""t"":8605},{""x"":1091,""y"":419,""dx"":120,""dy"":-132,""t"":8637},{""x"":1066,""y"":443,""dx"":95,""dy"":-108,""t"":8672},{""x"":1042,""y"":439,""dx"":71,""dy"":-112,""t"":8705},{""x"":1030,""y"":451,""dx"":59,""dy"":-100,""t"":8741},{""x"":1041,""y"":472,""dx"":70,""dy"":-79,""t"":8773},{""x"":1038,""y"":470,""dx"":67,""dy"":-81,""t"":8807},{""x"":1045,""y"":483,""dx"":74,""dy"":-68,""t"":8843},{""x"":1034,""y"":478,""dx"":63,""dy"":-73,""t"":8876},{""x"":1023,""y"":465,""dx"":52,""dy"":-86,""t"":8909},{""x"":1039,""y"":484,""dx"":68,""dy"":-67,""t"":8945},{""x"":1029,""y"":473,""dx"":58,""dy"":-78,""t"":8978}],[{""x"":525,""y"":789,""dx"":34,""dy"":-32,""t"":10032},{""x"":567,""y"":811,""dx"":76,""dy"":-10,""t"":10067},{""x"":605,""y"":810,""dx"":114,""dy"":-11,""t"":10099},{""x"":621,""y"":805,""dx"":130,""dy"":-16,""t"":10133},{""x"":623,""y"":806,""dx"":132,""dy"":-15,""t"":10169},{""x"":630,""y"":795,""dx"":139,""dy"":-26,""t"":10201},{""x"":614,""y"":792,""dx"":123,""dy"":-29,""t"":10235},{""x"":624,""y"":813,""dx"":133,""dy"":-8,""t"":10271},{""x"":632,""y"":830,""dx"":141,""dy"":9,""t"":10303},{""x"":612,""y"":820,""dx"":121,""dy"":-1,""t"":10337},{""x"":607,""y"":824,""dx"":116,""dy"":3,""t"":10371},{""x"":598,""y"":813,""dx"":107,""dy"":-8,""t"":10407},{""x"":587,""y"":823,""dx"":96,""dy"":2,""t"":10439},{""x"":590,""y"":836,""dx"":99,""dy"":15,""t"":10473},{""x"":583,""y"":853,""dx"":92,""dy"":32,""t"":10509},{""x"":551,""y"":851,""dx"":60,""dy"":30,""t"":10541},{""x"":540,""y"":841,""dx"":49,""dy"":20,""t"":10575},{""x"":530,""y"":850,""dx"":39,""dy"":29,""t"":10609},{""x"":551,""y"":847,""dx"":60,""dy"":26,""t"":10645},{""x"":565,""y"":839,""dx"":74,""dy"":18,""t"":10678},{""x"":582,""y"":834,""dx"":91,""dy"":13,""t"":10711},{""x"":588,""y"":830,""dx"":97,""dy"":9,""t"":10745},{""x"":579,""y"":820,""dx"":88,""dy"":-1,""t"":10781},{""x"":582,""y"":782,""dx"":91,""dy"":-39,""t"":10813},{""x"":559,""y"":768,""dx"":68,""dy"":-53,""t"":10847},{""x"":563,""y"":764,""dx"":72,""dy"":-57,""t"":10883},{""x"":570,""y"":760,""dx"":79,""dy"":-61,""t"":10916},{""x"":580,""y"":764,""dx"":89,""dy"":-57,""t"":10949},{""x"":565,""y"":751,""dx"":74,""dy"":-70,""t"":10984},{""x"":557,""y"":749,""dx"":66,""dy"":-72,""t"":11017},{""x"":571,""y"":777,""dx"":80,""dy"":-44,""t"":11053},{""x"":578,""y"":801,""dx"":87,""dy"":-20,""t"":11085},{""x"":576,""y"":811,""dx"":85,""dy"":-10,""t"":11119},{""x"":564,""y"":808,""dx"":73,""dy"":-13,""t"":11155},{""x"":554,""y"":812,""dx"":63,""dy"":-9,""t"":11187},{""x"":539,""y"":823,""dx"":48,""dy"":2,""t"":11221},{""x"":538,""y"":842,""dx"":47,""dy"":21,""t"":11257},{""x"":520,""y"":832,""dx"":29,""dy"":11,""t"":11289},{""x"":516,""y"":829,""dx"":25,""dy"":8,""t"":11323},{""x"":517,""y"":823,""dx"":26,""dy"":2,""t"":11358},{""x"":523,""y"":826,""dx"":32,""dy"":5,""t"":11391},{""x"":538,""y"":841,""dx"":47,""dy"":20,""t"":11425},{""x"":553,""y"":838,""dx"":62,""dy"":17,""t"":11460},{""x"":560,""y"":847,""dx"":69,""dy"":26,""t"":11493},{""x"":562,""y"":845,""dx"":71,""dy"":24,""t"":11527},{""x"":573,""y"":846,""dx"":82,""dy"":25,""t"":11563},{""x"":577,""y"":848,""dx"":86,""dy"":27,""t"":11595},{""x"":571,""y"":845,""dx"":80,""dy"":24,""t"":11629},{""x"":564,""y"":852,""dx"":73,""dy"":31,""t"":11665},{""x"":571,""y"":848,""dx"":80,""dy"":27,""t"":11697},{""x"":568,""y"":844,""dx"":77,""dy"":23,""t"":11732},{""x"":549,""y"":826,""dx"":58,""dy"":5,""t"":11767},{""x"":547,""y"":837,""dx"":56,""dy"":16,""t"":11799},{""x"":544,""y"":850,""dx"":53,""dy"":29,""t"":11833},{""x"":533,""y"":847,""dx"":42,""dy"":26,""t"":11869},{""x"":521,""y"":855,""dx"":30,""dy"":34,""t"":11901},{""x"":515,""y"":866,""dx"":24,""dy"":45,""t"":11936},{""x"":525,""y"":861,""dx"":34,""dy"":40,""t"":11971},{""x"":527,""y"":858,""dx"":36,""dy"":37,""t"":12003}],[{""x"":1360,""y"":721,""dx"":-91,""dy"":-100,""t"":13025},{""x"":1363,""y"":709,""dx"":-88,""dy"":-112,""t"":13057},{""x"":1359,""y"":700,""dx"":-92,""dy"":-121,""t"":13091},{""x"":1347,""y"":703,""dx"":-104,""dy"":-118,""t"":13127},{""x"":1344,""y"":725,""dx"":-107,""dy"":-96,""t"":13159},{""x"":1354,""y"":723,""dx"":-97,""dy"":-98,""t"":13193},{""x"":1352,""y"":711,""dx"":-99,""dy"":-110,""t"":13229},{""x"":1348,""y"":739,""dx"":-103,""dy"":-82,""t"":13261},{""x"":1343,""y"":773,""dx"":-108,""dy"":-48,""t"":13295},{""x"":1340,""y"":773,""dx"":-111,""dy"":-48,""t"":13330},{""x"":1316,""y"":761,""dx"":-135,""dy"":-60,""t"":13364},{""x"":1303,""y"":758,""dx"":-148,""dy"":-63,""t"":13397},{""x"":1292,""y"":762,""dx"":-159,""dy"":-59,""t"":13433},{""x"":1299,""y"":771,""dx"":-152,""dy"":-50,""t"":13466},{""x"":1305,""y"":765,""dx"":-146,""dy"":-56,""t"":13500},{""x"":1304,""y"":766,""dx"":-147,""dy"":-55,""t"":13535},{""x"":1316,""y"":762,""dx"":-135,""dy"":-59,""t"":13567},{""x"":1308,""y"":750,""dx"":-143,""dy"":-71,""t"":13601},{""x"":1311,""y"":746,""dx"":-140,""dy"":-75,""t"":13637},{""x"":1308,""y"":737,""dx"":-143,""dy"":-84,""t"":13670},{""x"":1308,""y"":729,""dx"":-143,""dy"":-92,""t"":13703},{""x"":1301,""y"":714,""dx"":-150,""dy"":-107,""t"":13739},{""x"":1288,""y"":700,""dx"":-163,""dy"":-121,""t"":13771},{""x"":1285,""y"":691,""dx"":-166,""dy"":-130,""t"":13805},{""x"":1269,""y"":689,""dx"":-182,""dy"":-132,""t"":13841},{""x"":1274,""y"":691,""dx"":-177,""dy"":-130,""t"":13873},{""x"":1279,""y"":693,""dx"":-172,""dy"":-128,""t"":13907},{""x"":1291,""y"":691,""dx"":-160,""dy"":-130,""t"":13941},{""x"":1296,""y"":685,""dx"":-155,""dy"":-136,""t"":13977},{""x"":1300,""y"":686,""dx"":-151,""dy"":-135,""t"":14009},{""x"":1289,""y"":687,""dx"":-162,""dy"":-134,""t"":14044},{""x"":1297,""y"":709,""dx"":-154,""dy"":-112,""t"":14079},{""x"":1300,""y"":701,""dx"":-151,""dy"":-120,""t"":14111},{""x"":1300,""y"":710,""dx"":-151,""dy"":-111,""t"":14146},{""x"":1297,""y"":733,""dx"":-154,""dy"":-88,""t"":14179},{""x"":1295,""y"":752,""dx"":-156,""dy"":-69,""t"":14213},{""x"":1297,""y"":761,""dx"":-154,""dy"":-60,""t"":14249},{""x"":1284,""y"":763,""dx"":-167,""dy"":-58,""t"":14282},{""x"":1279,""y"":755,""dx"":-172,""dy"":-66,""t"":14315},{""x"":1276,""y"":762,""dx"":-175,""dy"":-59,""t"":14350},{""x"":1282,""y"":775,""dx"":-169,""dy"":-46,""t"":14385},{""x"":1277,""y"":778,""dx"":-174,""dy"":-43,""t"":14418},{""x"":1273,""y"":752,""dx"":-178,""dy"":-69,""t"":14452},{""x"":1289,""y"":749,""dx"":-162,""dy"":-72,""t"":14487},{""x"":1305,""y"":723,""dx"":-146,""dy"":-98,""t"":14520},{""x"":1305,""y"":709,""dx"":-146,""dy"":-112,""t"":14554},{""x"":1308,""y"":704,""dx"":-143,""dy"":-117,""t"":14589},{""x"":1315,""y"":689,""dx"":-136,""dy"":-132,""t"":14622},{""x"":1310,""y"":683,""dx"":-141,""dy"":-138,""t"":14656},{""x"":1310,""y"":662,""dx"":-141,""dy"":-159,""t"":14691},{""x"":1321,""y"":651,""dx"":-130,""dy"":-170,""t"":14724},{""x"":1333,""y"":648,""dx"":-118,""dy"":-173,""t"":14757},{""x"":1334,""y"":652,""dx"":-117,""dy"":-169,""t"":14793},{""x"":1341,""y"":659,""dx"":-110,""dy"":-162,""t"":14826},{""x"":1345,""y"":646,""dx"":-106,""dy"":-175,""t"":14860},{""x"":1340,""y"":629,""dx"":-111,""dy"":-192,""t"":14895},{""x"":1340,""y"":650,""dx"":-111,""dy"":-171,""t"":14928},{""x"":1336,""y"":641,""dx"":-115,""dy"":-180,""t"":14961},{""x"":1322,""y"":643,""dx"":-129,""dy"":-178,""t"":14997}]]","[100,94.91525423728814,100,100,69.49152542372882]","[{""x"":34.1,""y"":53.93333333333333,""r"":56.02606337706008},{""x"":-45.3728813559322,""y"":-8.847457627118644,""r"":70.01035955681378},{""x"":59.57627118644068,""y"":-105.38983050847457,""r"":35.51976277836161},{""x"":74.66101694915254,""y"":1.1694915254237288,""r"":35.266653615347956},{""x"":-139.76271186440678,""y"":-105.7457627118644,""r"":44.43966307390706}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
"","html-keyboard-response","10","43137","0.0-6.0-0.0","","","","","1335"," ","","<p>识别实验（6个刺激物）：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，500毫秒的空白间隔后，会呈现一个六个项目的阵列。</p> <p>要求：记忆单个项目的<b>形状（该条件下，颜色为黑色）</b>或者<b>颜色（该条件下，形状为圆且颜色不为黑）</b>，忽略其拓扑特征，并在多个项目阵列中快速找到，</p><p>并根据数字键盘的 ""4"", ""7"", ""9"", ""6"", ""3"", ""1"" 进行选择响应，如果不记得或者不存在选择 ""5""。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","44272","0.0-6.0-1.0","","","","","629"," ","","<p>要求：记忆项目的颜色。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","45303","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recognition","[""7"",""3"",""1"",""1"",""3"",""6"",""1"",""3"",""6"",""4"",""3"",""1"",""4"",""9"",""9"",""9"",""6"",""3"",""4"",""6"",""7"",""9"",""6"",""7"",""9"",""6"",""7"",""6"",""6"",""4"",""7"",""1"",""3"",""7"",""6"",""7"",""6"",""4"",""9"",""1"",""9"",""1"",""3"",""7"",""6"",""3"",""4"",""7"",""6"",""3"",""4"",""1"",""1"",""9"",""4"",""9"",""1"",""9"",""9"",""1"",""3"",""3"",""7"",""7"",""7"",""4"",""4"",""9"",""4"",""4"",""3"",""1""]","1000","color","6","","","","","",""
"","canvas-keyboard-response","13","45408","0.0-6.0-2.0-1.0","","","","","null","null","","","","","","","","","recognition","[""7"",""3"",""1"",""1"",""3"",""6"",""1"",""3"",""6"",""4"",""3"",""1"",""4"",""9"",""9"",""9"",""6"",""3"",""4"",""6"",""7"",""9"",""6"",""7"",""9"",""6"",""7"",""6"",""6"",""4"",""7"",""1"",""3"",""7"",""6"",""7"",""6"",""4"",""9"",""1"",""9"",""1"",""3"",""7"",""6"",""3"",""4"",""7"",""6"",""3"",""4"",""1"",""1"",""9"",""4"",""9"",""1"",""9"",""9"",""1"",""3"",""3"",""7"",""7"",""7"",""4"",""4"",""9"",""4"",""4"",""3"",""1""]","1000","color","6","","","","","",""
"","canvas-keyboard-response","14","46929","0.0-6.0-2.0-2.0","","","","","515","7","","[""cyan"",""purple"",""green"",""blue"",""yellow"",""red""]","","","","","","","","","","","","[{""x"":1093,""y"":495,""t"":1},{""x"":1103,""y"":529,""t"":37},{""x"":1089,""y"":545,""t"":69},{""x"":1100,""y"":565,""t"":103},{""x"":1073,""y"":556,""t"":140},{""x"":1055,""y"":534,""t"":172},{""x"":1010,""y"":525,""t"":205},{""x"":998,""y"":497,""t"":241},{""x"":964,""y"":486,""t"":273},{""x"":883,""y"":483,""t"":321},{""x"":800,""y"":468,""t"":341},{""x"":746,""y"":451,""t"":385},{""x"":698,""y"":439,""t"":410},{""x"":659,""y"":444,""t"":445},{""x"":641,""y"":438,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","purple_1","7","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]"
