"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","11191","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","11199","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","122723","0.0-2.0-0.0","","","","","111523","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","124611","0.0-2.0-1.0","","","","","1887","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","129219","0.0-3.0","","","","","4606"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","132006","0.0-4.0","","","","","","","","","841","","","","","","","","","","","","","","","","",""
"","html-button-response","6","133394","0.0-5.0-0.0","","","","","1386","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","245153","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","246422","0.0-5.0-2.0","","","","","1268","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","263716","0.0-5.0-3.0","","","","","","","","","","[[{""x"":507,""y"":447,""dx"":16,""dy"":166,""t"":1022},{""x"":534,""y"":429,""dx"":43,""dy"":148,""t"":1057},{""x"":519,""y"":426,""dx"":28,""dy"":145,""t"":1089},{""x"":512,""y"":438,""dx"":21,""dy"":157,""t"":1123},{""x"":513,""y"":455,""dx"":22,""dy"":174,""t"":1157},{""x"":529,""y"":465,""dx"":38,""dy"":184,""t"":1193},{""x"":543,""y"":473,""dx"":52,""dy"":192,""t"":1225},{""x"":551,""y"":480,""dx"":60,""dy"":199,""t"":1259},{""x"":541,""y"":483,""dx"":50,""dy"":202,""t"":1293},{""x"":533,""y"":497,""dx"":42,""dy"":216,""t"":1329},{""x"":531,""y"":511,""dx"":40,""dy"":230,""t"":1361},{""x"":534,""y"":499,""dx"":43,""dy"":218,""t"":1395},{""x"":536,""y"":483,""dx"":45,""dy"":202,""t"":1431},{""x"":534,""y"":473,""dx"":43,""dy"":192,""t"":1463},{""x"":522,""y"":478,""dx"":31,""dy"":197,""t"":1497},{""x"":519,""y"":489,""dx"":28,""dy"":208,""t"":1533},{""x"":505,""y"":505,""dx"":14,""dy"":224,""t"":1565},{""x"":487,""y"":498,""dx"":-4,""dy"":217,""t"":1599},{""x"":473,""y"":492,""dx"":-18,""dy"":211,""t"":1633},{""x"":474,""y"":476,""dx"":-17,""dy"":195,""t"":1669},{""x"":453,""y"":477,""dx"":-38,""dy"":196,""t"":1701},{""x"":455,""y"":478,""dx"":-36,""dy"":197,""t"":1735},{""x"":448,""y"":476,""dx"":-43,""dy"":195,""t"":1771},{""x"":447,""y"":468,""dx"":-44,""dy"":187,""t"":1804},{""x"":451,""y"":464,""dx"":-40,""dy"":183,""t"":1838},{""x"":453,""y"":463,""dx"":-38,""dy"":182,""t"":1874},{""x"":459,""y"":450,""dx"":-32,""dy"":169,""t"":1906},{""x"":471,""y"":432,""dx"":-20,""dy"":151,""t"":1940},{""x"":488,""y"":430,""dx"":-3,""dy"":149,""t"":1975},{""x"":508,""y"":411,""dx"":17,""dy"":130,""t"":2007},{""x"":515,""y"":402,""dx"":24,""dy"":121,""t"":2041},{""x"":519,""y"":406,""dx"":28,""dy"":125,""t"":2077},{""x"":526,""y"":405,""dx"":35,""dy"":124,""t"":2110},{""x"":536,""y"":405,""dx"":45,""dy"":124,""t"":2143},{""x"":544,""y"":404,""dx"":53,""dy"":123,""t"":2179},{""x"":539,""y"":414,""dx"":48,""dy"":133,""t"":2212},{""x"":537,""y"":414,""dx"":46,""dy"":133,""t"":2246},{""x"":541,""y"":418,""dx"":50,""dy"":137,""t"":2281},{""x"":538,""y"":427,""dx"":47,""dy"":146,""t"":2313},{""x"":533,""y"":437,""dx"":42,""dy"":156,""t"":2347},{""x"":547,""y"":424,""dx"":56,""dy"":143,""t"":2383},{""x"":556,""y"":416,""dx"":65,""dy"":135,""t"":2416},{""x"":564,""y"":396,""dx"":73,""dy"":115,""t"":2449},{""x"":578,""y"":381,""dx"":87,""dy"":100,""t"":2485},{""x"":585,""y"":368,""dx"":94,""dy"":87,""t"":2517},{""x"":575,""y"":381,""dx"":84,""dy"":100,""t"":2551},{""x"":573,""y"":387,""dx"":82,""dy"":106,""t"":2587},{""x"":567,""y"":400,""dx"":76,""dy"":119,""t"":2619},{""x"":560,""y"":408,""dx"":69,""dy"":127,""t"":2653},{""x"":540,""y"":427,""dx"":49,""dy"":146,""t"":2689},{""x"":544,""y"":439,""dx"":53,""dy"":158,""t"":2722},{""x"":547,""y"":449,""dx"":56,""dy"":168,""t"":2755},{""x"":570,""y"":424,""dx"":79,""dy"":143,""t"":2789},{""x"":567,""y"":430,""dx"":76,""dy"":149,""t"":2843},{""x"":564,""y"":435,""dx"":73,""dy"":154,""t"":2856},{""x"":573,""y"":427,""dx"":82,""dy"":146,""t"":2892},{""x"":585,""y"":407,""dx"":94,""dy"":126,""t"":2925},{""x"":576,""y"":414,""dx"":85,""dy"":133,""t"":2961},{""x"":577,""y"":409,""dx"":86,""dy"":128,""t"":2993}],[{""x"":1465,""y"":302,""dx"":14,""dy"":21,""t"":4013},{""x"":1452,""y"":316,""dx"":1,""dy"":35,""t"":4049},{""x"":1433,""y"":317,""dx"":-18,""dy"":36,""t"":4082},{""x"":1438,""y"":338,""dx"":-13,""dy"":57,""t"":4115},{""x"":1419,""y"":321,""dx"":-32,""dy"":40,""t"":4152},{""x"":1433,""y"":321,""dx"":-18,""dy"":40,""t"":4183},{""x"":1418,""y"":317,""dx"":-33,""dy"":36,""t"":4217},{""x"":1408,""y"":320,""dx"":-43,""dy"":39,""t"":4253},{""x"":1396,""y"":309,""dx"":-55,""dy"":28,""t"":4285},{""x"":1390,""y"":306,""dx"":-61,""dy"":25,""t"":4319},{""x"":1409,""y"":326,""dx"":-42,""dy"":45,""t"":4355},{""x"":1422,""y"":348,""dx"":-29,""dy"":67,""t"":4387},{""x"":1410,""y"":338,""dx"":-41,""dy"":57,""t"":4421},{""x"":1395,""y"":309,""dx"":-56,""dy"":28,""t"":4455},{""x"":1386,""y"":292,""dx"":-65,""dy"":11,""t"":4491},{""x"":1380,""y"":297,""dx"":-71,""dy"":16,""t"":4523},{""x"":1390,""y"":284,""dx"":-61,""dy"":3,""t"":4557},{""x"":1402,""y"":280,""dx"":-49,""dy"":-1,""t"":4593},{""x"":1423,""y"":284,""dx"":-28,""dy"":3,""t"":4627},{""x"":1439,""y"":297,""dx"":-12,""dy"":16,""t"":4659},{""x"":1451,""y"":300,""dx"":0,""dy"":19,""t"":4695},{""x"":1463,""y"":312,""dx"":12,""dy"":31,""t"":4727},{""x"":1472,""y"":316,""dx"":21,""dy"":35,""t"":4761},{""x"":1476,""y"":307,""dx"":25,""dy"":26,""t"":4795},{""x"":1482,""y"":310,""dx"":31,""dy"":29,""t"":4829},{""x"":1486,""y"":314,""dx"":35,""dy"":33,""t"":4865},{""x"":1482,""y"":331,""dx"":31,""dy"":50,""t"":4897},{""x"":1478,""y"":348,""dx"":27,""dy"":67,""t"":4931},{""x"":1482,""y"":369,""dx"":31,""dy"":88,""t"":4967},{""x"":1477,""y"":373,""dx"":26,""dy"":92,""t"":4999},{""x"":1439,""y"":361,""dx"":-12,""dy"":80,""t"":5033},{""x"":1431,""y"":355,""dx"":-20,""dy"":74,""t"":5069},{""x"":1425,""y"":362,""dx"":-26,""dy"":81,""t"":5101},{""x"":1434,""y"":374,""dx"":-17,""dy"":93,""t"":5135},{""x"":1407,""y"":360,""dx"":-44,""dy"":79,""t"":5172},{""x"":1409,""y"":366,""dx"":-42,""dy"":85,""t"":5203},{""x"":1408,""y"":382,""dx"":-43,""dy"":101,""t"":5238},{""x"":1417,""y"":393,""dx"":-34,""dy"":112,""t"":5274},{""x"":1413,""y"":379,""dx"":-38,""dy"":98,""t"":5305},{""x"":1427,""y"":394,""dx"":-24,""dy"":113,""t"":5339},{""x"":1426,""y"":378,""dx"":-25,""dy"":97,""t"":5374},{""x"":1421,""y"":340,""dx"":-30,""dy"":59,""t"":5410},{""x"":1418,""y"":321,""dx"":-33,""dy"":40,""t"":5442},{""x"":1423,""y"":290,""dx"":-28,""dy"":9,""t"":5476},{""x"":1419,""y"":264,""dx"":-32,""dy"":-17,""t"":5511},{""x"":1411,""y"":260,""dx"":-40,""dy"":-21,""t"":5543},{""x"":1413,""y"":240,""dx"":-38,""dy"":-41,""t"":5578},{""x"":1420,""y"":235,""dx"":-31,""dy"":-46,""t"":5613},{""x"":1431,""y"":232,""dx"":-20,""dy"":-49,""t"":5645},{""x"":1447,""y"":256,""dx"":-4,""dy"":-25,""t"":5679},{""x"":1448,""y"":253,""dx"":-3,""dy"":-28,""t"":5715},{""x"":1450,""y"":243,""dx"":-1,""dy"":-38,""t"":5747},{""x"":1457,""y"":248,""dx"":6,""dy"":-33,""t"":5781},{""x"":1452,""y"":235,""dx"":1,""dy"":-46,""t"":5817},{""x"":1455,""y"":244,""dx"":4,""dy"":-37,""t"":5849},{""x"":1445,""y"":238,""dx"":-6,""dy"":-43,""t"":5883},{""x"":1424,""y"":240,""dx"":-27,""dy"":-41,""t"":5919},{""x"":1425,""y"":224,""dx"":-26,""dy"":-57,""t"":5951},{""x"":1437,""y"":258,""dx"":-14,""dy"":-23,""t"":5985}],[{""x"":764,""y"":700,""dx"":-207,""dy"":149,""t"":7005},{""x"":763,""y"":704,""dx"":-208,""dy"":153,""t"":7039},{""x"":748,""y"":700,""dx"":-223,""dy"":149,""t"":7075},{""x"":737,""y"":684,""dx"":-234,""dy"":133,""t"":7107},{""x"":740,""y"":670,""dx"":-231,""dy"":119,""t"":7141},{""x"":729,""y"":674,""dx"":-242,""dy"":123,""t"":7177},{""x"":731,""y"":654,""dx"":-240,""dy"":103,""t"":7209},{""x"":728,""y"":665,""dx"":-243,""dy"":114,""t"":7244},{""x"":734,""y"":671,""dx"":-237,""dy"":120,""t"":7279},{""x"":743,""y"":666,""dx"":-228,""dy"":115,""t"":7311},{""x"":754,""y"":667,""dx"":-217,""dy"":116,""t"":7345},{""x"":741,""y"":662,""dx"":-230,""dy"":111,""t"":7381},{""x"":734,""y"":655,""dx"":-237,""dy"":104,""t"":7413},{""x"":739,""y"":655,""dx"":-232,""dy"":104,""t"":7447},{""x"":756,""y"":658,""dx"":-215,""dy"":107,""t"":7483},{""x"":754,""y"":629,""dx"":-217,""dy"":78,""t"":7515},{""x"":733,""y"":634,""dx"":-238,""dy"":83,""t"":7549},{""x"":756,""y"":640,""dx"":-215,""dy"":89,""t"":7585},{""x"":771,""y"":650,""dx"":-200,""dy"":99,""t"":7617},{""x"":761,""y"":658,""dx"":-210,""dy"":107,""t"":7651},{""x"":761,""y"":650,""dx"":-210,""dy"":99,""t"":7687},{""x"":765,""y"":638,""dx"":-206,""dy"":87,""t"":7719},{""x"":779,""y"":615,""dx"":-192,""dy"":64,""t"":7753},{""x"":792,""y"":621,""dx"":-179,""dy"":70,""t"":7789},{""x"":804,""y"":603,""dx"":-167,""dy"":52,""t"":7821},{""x"":777,""y"":615,""dx"":-194,""dy"":64,""t"":7855},{""x"":751,""y"":626,""dx"":-220,""dy"":75,""t"":7891},{""x"":731,""y"":623,""dx"":-240,""dy"":72,""t"":7923},{""x"":741,""y"":609,""dx"":-230,""dy"":58,""t"":7957},{""x"":745,""y"":611,""dx"":-226,""dy"":60,""t"":7991},{""x"":736,""y"":612,""dx"":-235,""dy"":61,""t"":8025},{""x"":759,""y"":627,""dx"":-212,""dy"":76,""t"":8061},{""x"":727,""y"":638,""dx"":-244,""dy"":87,""t"":8093},{""x"":758,""y"":652,""dx"":-213,""dy"":101,""t"":8127},{""x"":771,""y"":653,""dx"":-200,""dy"":102,""t"":8164},{""x"":770,""y"":652,""dx"":-201,""dy"":101,""t"":8195},{""x"":790,""y"":650,""dx"":-181,""dy"":99,""t"":8229},{""x"":776,""y"":649,""dx"":-195,""dy"":98,""t"":8267},{""x"":791,""y"":629,""dx"":-180,""dy"":78,""t"":8298},{""x"":776,""y"":621,""dx"":-195,""dy"":70,""t"":8331},{""x"":746,""y"":610,""dx"":-225,""dy"":59,""t"":8366},{""x"":699,""y"":591,""dx"":-272,""dy"":40,""t"":8401},{""x"":685,""y"":581,""dx"":-286,""dy"":30,""t"":8433},{""x"":668,""y"":564,""dx"":-303,""dy"":13,""t"":8467},{""x"":653,""y"":562,""dx"":-318,""dy"":11,""t"":8503},{""x"":641,""y"":555,""dx"":-330,""dy"":4,""t"":8536},{""x"":634,""y"":554,""dx"":-337,""dy"":3,""t"":8569},{""x"":660,""y"":553,""dx"":-311,""dy"":2,""t"":8605},{""x"":667,""y"":554,""dx"":-304,""dy"":3,""t"":8637},{""x"":667,""y"":573,""dx"":-304,""dy"":22,""t"":8671},{""x"":689,""y"":561,""dx"":-282,""dy"":10,""t"":8707},{""x"":686,""y"":580,""dx"":-285,""dy"":29,""t"":8739},{""x"":702,""y"":559,""dx"":-269,""dy"":8,""t"":8773},{""x"":695,""y"":575,""dx"":-276,""dy"":24,""t"":8809},{""x"":692,""y"":572,""dx"":-279,""dy"":21,""t"":8842},{""x"":688,""y"":582,""dx"":-283,""dy"":31,""t"":8876},{""x"":686,""y"":588,""dx"":-285,""dy"":37,""t"":8911},{""x"":684,""y"":596,""dx"":-287,""dy"":45,""t"":8943},{""x"":706,""y"":592,""dx"":-265,""dy"":41,""t"":8977}],[{""x"":386,""y"":832,""dx"":-105,""dy"":11,""t"":10031},{""x"":389,""y"":841,""dx"":-102,""dy"":20,""t"":10067},{""x"":391,""y"":827,""dx"":-100,""dy"":6,""t"":10100},{""x"":409,""y"":843,""dx"":-82,""dy"":22,""t"":10133},{""x"":429,""y"":837,""dx"":-62,""dy"":16,""t"":10169},{""x"":433,""y"":837,""dx"":-58,""dy"":16,""t"":10201},{""x"":446,""y"":838,""dx"":-45,""dy"":17,""t"":10235},{""x"":458,""y"":820,""dx"":-33,""dy"":-1,""t"":10271},{""x"":471,""y"":810,""dx"":-20,""dy"":-11,""t"":10304},{""x"":489,""y"":801,""dx"":-2,""dy"":-20,""t"":10337},{""x"":508,""y"":771,""dx"":17,""dy"":-50,""t"":10373},{""x"":525,""y"":764,""dx"":34,""dy"":-57,""t"":10405},{""x"":532,""y"":725,""dx"":41,""dy"":-96,""t"":10439},{""x"":542,""y"":714,""dx"":51,""dy"":-107,""t"":10475},{""x"":552,""y"":689,""dx"":61,""dy"":-132,""t"":10509},{""x"":539,""y"":718,""dx"":48,""dy"":-103,""t"":10541},{""x"":540,""y"":682,""dx"":49,""dy"":-139,""t"":10577},{""x"":536,""y"":710,""dx"":45,""dy"":-111,""t"":10610},{""x"":546,""y"":693,""dx"":55,""dy"":-128,""t"":10644},{""x"":532,""y"":735,""dx"":41,""dy"":-86,""t"":10679},{""x"":529,""y"":753,""dx"":38,""dy"":-68,""t"":10712},{""x"":514,""y"":781,""dx"":23,""dy"":-40,""t"":10745},{""x"":499,""y"":809,""dx"":8,""dy"":-12,""t"":10781},{""x"":487,""y"":835,""dx"":-4,""dy"":14,""t"":10814},{""x"":468,""y"":859,""dx"":-23,""dy"":38,""t"":10847},{""x"":451,""y"":867,""dx"":-40,""dy"":46,""t"":10883},{""x"":446,""y"":885,""dx"":-45,""dy"":64,""t"":10916},{""x"":450,""y"":888,""dx"":-41,""dy"":67,""t"":10949},{""x"":439,""y"":892,""dx"":-52,""dy"":71,""t"":10986},{""x"":424,""y"":905,""dx"":-67,""dy"":84,""t"":11018},{""x"":415,""y"":911,""dx"":-76,""dy"":90,""t"":11051},{""x"":404,""y"":900,""dx"":-87,""dy"":79,""t"":11087},{""x"":401,""y"":895,""dx"":-90,""dy"":74,""t"":11119},{""x"":408,""y"":886,""dx"":-83,""dy"":65,""t"":11153},{""x"":413,""y"":894,""dx"":-78,""dy"":73,""t"":11189},{""x"":411,""y"":900,""dx"":-80,""dy"":79,""t"":11220},{""x"":418,""y"":902,""dx"":-73,""dy"":81,""t"":11255},{""x"":423,""y"":909,""dx"":-68,""dy"":88,""t"":11289},{""x"":426,""y"":893,""dx"":-65,""dy"":72,""t"":11325},{""x"":431,""y"":896,""dx"":-60,""dy"":75,""t"":11357},{""x"":435,""y"":904,""dx"":-56,""dy"":83,""t"":11391},{""x"":435,""y"":878,""dx"":-56,""dy"":57,""t"":11427},{""x"":435,""y"":861,""dx"":-56,""dy"":40,""t"":11459},{""x"":437,""y"":852,""dx"":-54,""dy"":31,""t"":11493},{""x"":433,""y"":852,""dx"":-58,""dy"":31,""t"":11529},{""x"":430,""y"":853,""dx"":-61,""dy"":32,""t"":11560},{""x"":425,""y"":855,""dx"":-66,""dy"":34,""t"":11595},{""x"":421,""y"":856,""dx"":-70,""dy"":35,""t"":11628},{""x"":412,""y"":856,""dx"":-79,""dy"":35,""t"":11663},{""x"":403,""y"":856,""dx"":-88,""dy"":35,""t"":11700},{""x"":411,""y"":852,""dx"":-80,""dy"":31,""t"":11731},{""x"":420,""y"":859,""dx"":-71,""dy"":38,""t"":11765},{""x"":418,""y"":885,""dx"":-73,""dy"":64,""t"":11801},{""x"":414,""y"":875,""dx"":-77,""dy"":54,""t"":11833},{""x"":420,""y"":866,""dx"":-71,""dy"":45,""t"":11867},{""x"":412,""y"":866,""dx"":-79,""dy"":45,""t"":11903},{""x"":409,""y"":870,""dx"":-82,""dy"":49,""t"":11935},{""x"":409,""y"":890,""dx"":-82,""dy"":69,""t"":11970},{""x"":418,""y"":897,""dx"":-73,""dy"":76,""t"":12005}],[{""x"":1412,""y"":796,""dx"":-39,""dy"":-25,""t"":13023},{""x"":1381,""y"":779,""dx"":-70,""dy"":-42,""t"":13059},{""x"":1354,""y"":747,""dx"":-97,""dy"":-74,""t"":13091},{""x"":1357,""y"":762,""dx"":-94,""dy"":-59,""t"":13125},{""x"":1340,""y"":725,""dx"":-111,""dy"":-96,""t"":13158},{""x"":1320,""y"":706,""dx"":-131,""dy"":-115,""t"":13195},{""x"":1303,""y"":667,""dx"":-148,""dy"":-154,""t"":13227},{""x"":1304,""y"":672,""dx"":-147,""dy"":-149,""t"":13261},{""x"":1298,""y"":663,""dx"":-153,""dy"":-158,""t"":13295},{""x"":1290,""y"":676,""dx"":-161,""dy"":-145,""t"":13331},{""x"":1294,""y"":722,""dx"":-157,""dy"":-99,""t"":13363},{""x"":1287,""y"":711,""dx"":-164,""dy"":-110,""t"":13397},{""x"":1278,""y"":693,""dx"":-173,""dy"":-128,""t"":13433},{""x"":1292,""y"":729,""dx"":-159,""dy"":-92,""t"":13465},{""x"":1320,""y"":757,""dx"":-131,""dy"":-64,""t"":13499},{""x"":1343,""y"":794,""dx"":-108,""dy"":-27,""t"":13535},{""x"":1362,""y"":825,""dx"":-89,""dy"":4,""t"":13567},{""x"":1382,""y"":851,""dx"":-69,""dy"":30,""t"":13601},{""x"":1399,""y"":871,""dx"":-52,""dy"":50,""t"":13635},{""x"":1411,""y"":881,""dx"":-40,""dy"":60,""t"":13671},{""x"":1409,""y"":885,""dx"":-42,""dy"":64,""t"":13703},{""x"":1407,""y"":900,""dx"":-44,""dy"":79,""t"":13737},{""x"":1409,""y"":904,""dx"":-42,""dy"":83,""t"":13774},{""x"":1365,""y"":903,""dx"":-86,""dy"":82,""t"":13805},{""x"":1385,""y"":904,""dx"":-66,""dy"":83,""t"":13839},{""x"":1384,""y"":909,""dx"":-67,""dy"":88,""t"":13876},{""x"":1397,""y"":903,""dx"":-54,""dy"":82,""t"":13907},{""x"":1411,""y"":897,""dx"":-40,""dy"":76,""t"":13941},{""x"":1413,""y"":889,""dx"":-38,""dy"":68,""t"":13977},{""x"":1415,""y"":881,""dx"":-36,""dy"":60,""t"":14009},{""x"":1393,""y"":880,""dx"":-58,""dy"":59,""t"":14044},{""x"":1409,""y"":874,""dx"":-42,""dy"":53,""t"":14079},{""x"":1418,""y"":870,""dx"":-33,""dy"":49,""t"":14112},{""x"":1423,""y"":873,""dx"":-28,""dy"":52,""t"":14145},{""x"":1426,""y"":873,""dx"":-25,""dy"":52,""t"":14181},{""x"":1435,""y"":876,""dx"":-16,""dy"":55,""t"":14214},{""x"":1414,""y"":885,""dx"":-37,""dy"":64,""t"":14248},{""x"":1421,""y"":883,""dx"":-30,""dy"":62,""t"":14283},{""x"":1422,""y"":882,""dx"":-29,""dy"":61,""t"":14315},{""x"":1416,""y"":891,""dx"":-35,""dy"":70,""t"":14349},{""x"":1404,""y"":889,""dx"":-47,""dy"":68,""t"":14385},{""x"":1392,""y"":868,""dx"":-59,""dy"":47,""t"":14418},{""x"":1348,""y"":866,""dx"":-103,""dy"":45,""t"":14452},{""x"":1329,""y"":856,""dx"":-122,""dy"":35,""t"":14487},{""x"":1314,""y"":851,""dx"":-137,""dy"":30,""t"":14519},{""x"":1288,""y"":842,""dx"":-163,""dy"":21,""t"":14554},{""x"":1290,""y"":844,""dx"":-161,""dy"":23,""t"":14589},{""x"":1285,""y"":838,""dx"":-166,""dy"":17,""t"":14621},{""x"":1262,""y"":843,""dx"":-189,""dy"":22,""t"":14656},{""x"":1267,""y"":839,""dx"":-184,""dy"":18,""t"":14692},{""x"":1267,""y"":835,""dx"":-184,""dy"":14,""t"":14724},{""x"":1255,""y"":843,""dx"":-196,""dy"":22,""t"":14757},{""x"":1268,""y"":848,""dx"":-183,""dy"":27,""t"":14792},{""x"":1280,""y"":852,""dx"":-171,""dy"":31,""t"":14825},{""x"":1266,""y"":853,""dx"":-185,""dy"":32,""t"":14861},{""x"":1284,""y"":849,""dx"":-167,""dy"":28,""t"":14893},{""x"":1308,""y"":845,""dx"":-143,""dy"":24,""t"":14928},{""x"":1289,""y"":846,""dx"":-162,""dy"":25,""t"":14963},{""x"":1300,""y"":846,""dx"":-151,""dy"":25,""t"":14995}]]","[81.35593220338984,100,5.084745762711865,100,91.52542372881356]","[{""x"":36.220338983050844,""y"":159.67796610169492,""r"":44.50880374747576},{""x"":-18.983050847457626,""y"":27.93220338983051,""r"":51.1753860551282},{""x"":-239.40677966101694,""y"":72.59322033898304,""r"":47.77055426347355},{""x"":-41.728813559322035,""y"":16.796610169491526,""r"":57.46476881769797},{""x"":-101.9322033898305,""y"":8.525423728813559,""r"":82.6726810494185}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
"","html-button-response","10","315077","0.0-5.0-4.0-0.0-0.0","","","","","51361","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","324362","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","325214","0.0-5.0-4.0-0.0-2.0","","","","","852","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
