"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2241","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2249","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7412","0.0-2.0-0.0","","","","","5161","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","8615","0.0-2.0-1.0","","","","","1202","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","9195","0.0-3.0","","","","","578"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","12078","0.0-4.0","","","","","","","","","804","","","","","","","","","","","","","","","",""
"","html-button-response","6","13252","0.0-5.0-0.0","","","","","1172","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","23832","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","25024","0.0-5.0-2.0","","","","","1191","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","42194","0.0-5.0-3.0","","","","","","","","","","[[{""x"":492,""y"":325,""dx"":1,""dy"":44,""t"":1021},{""x"":492,""y"":321,""dx"":1,""dy"":40,""t"":1055},{""x"":494,""y"":326,""dx"":3,""dy"":45,""t"":1091},{""x"":497,""y"":326,""dx"":6,""dy"":45,""t"":1123},{""x"":496,""y"":324,""dx"":5,""dy"":43,""t"":1157},{""x"":502,""y"":325,""dx"":11,""dy"":44,""t"":1191},{""x"":505,""y"":332,""dx"":14,""dy"":51,""t"":1227},{""x"":511,""y"":333,""dx"":20,""dy"":52,""t"":1259},{""x"":515,""y"":334,""dx"":24,""dy"":53,""t"":1293},{""x"":511,""y"":343,""dx"":20,""dy"":62,""t"":1327},{""x"":502,""y"":356,""dx"":11,""dy"":75,""t"":1363},{""x"":508,""y"":358,""dx"":17,""dy"":77,""t"":1395},{""x"":507,""y"":368,""dx"":16,""dy"":87,""t"":1429},{""x"":514,""y"":370,""dx"":23,""dy"":89,""t"":1465},{""x"":514,""y"":366,""dx"":23,""dy"":85,""t"":1497},{""x"":504,""y"":369,""dx"":13,""dy"":88,""t"":1531},{""x"":494,""y"":362,""dx"":3,""dy"":81,""t"":1567},{""x"":488,""y"":361,""dx"":-3,""dy"":80,""t"":1599},{""x"":484,""y"":353,""dx"":-7,""dy"":72,""t"":1633},{""x"":471,""y"":354,""dx"":-20,""dy"":73,""t"":1667},{""x"":471,""y"":336,""dx"":-20,""dy"":55,""t"":1704},{""x"":477,""y"":323,""dx"":-14,""dy"":42,""t"":1735},{""x"":488,""y"":326,""dx"":-3,""dy"":45,""t"":1769},{""x"":495,""y"":320,""dx"":4,""dy"":39,""t"":1805},{""x"":504,""y"":322,""dx"":13,""dy"":41,""t"":1837},{""x"":513,""y"":330,""dx"":22,""dy"":49,""t"":1871},{""x"":518,""y"":324,""dx"":27,""dy"":43,""t"":1906},{""x"":519,""y"":330,""dx"":28,""dy"":49,""t"":1941},{""x"":518,""y"":337,""dx"":27,""dy"":56,""t"":1974},{""x"":524,""y"":341,""dx"":33,""dy"":60,""t"":2007},{""x"":524,""y"":322,""dx"":33,""dy"":41,""t"":2043},{""x"":517,""y"":325,""dx"":26,""dy"":44,""t"":2076},{""x"":513,""y"":333,""dx"":22,""dy"":52,""t"":2110},{""x"":503,""y"":340,""dx"":12,""dy"":59,""t"":2145},{""x"":503,""y"":342,""dx"":12,""dy"":61,""t"":2177},{""x"":493,""y"":345,""dx"":2,""dy"":64,""t"":2212},{""x"":485,""y"":348,""dx"":-6,""dy"":67,""t"":2248},{""x"":486,""y"":349,""dx"":-5,""dy"":68,""t"":2279},{""x"":483,""y"":352,""dx"":-8,""dy"":71,""t"":2314},{""x"":481,""y"":337,""dx"":-10,""dy"":56,""t"":2349},{""x"":492,""y"":326,""dx"":1,""dy"":45,""t"":2382},{""x"":489,""y"":327,""dx"":-2,""dy"":46,""t"":2416},{""x"":500,""y"":336,""dx"":9,""dy"":55,""t"":2451},{""x"":506,""y"":341,""dx"":15,""dy"":60,""t"":2484},{""x"":506,""y"":343,""dx"":15,""dy"":62,""t"":2518},{""x"":510,""y"":344,""dx"":19,""dy"":63,""t"":2553},{""x"":529,""y"":333,""dx"":38,""dy"":52,""t"":2587},{""x"":532,""y"":341,""dx"":41,""dy"":60,""t"":2619},{""x"":526,""y"":347,""dx"":35,""dy"":66,""t"":2655},{""x"":516,""y"":346,""dx"":25,""dy"":65,""t"":2688},{""x"":511,""y"":349,""dx"":20,""dy"":68,""t"":2722},{""x"":520,""y"":340,""dx"":29,""dy"":59,""t"":2758},{""x"":522,""y"":329,""dx"":31,""dy"":48,""t"":2790},{""x"":520,""y"":334,""dx"":29,""dy"":53,""t"":2824},{""x"":521,""y"":332,""dx"":30,""dy"":51,""t"":2859},{""x"":522,""y"":331,""dx"":31,""dy"":50,""t"":2891},{""x"":527,""y"":320,""dx"":36,""dy"":39,""t"":2926},{""x"":530,""y"":310,""dx"":39,""dy"":29,""t"":2959},{""x"":529,""y"":315,""dx"":38,""dy"":34,""t"":2996}],[{""x"":1506,""y"":484,""dx"":55,""dy"":203,""t"":4015},{""x"":1491,""y"":480,""dx"":40,""dy"":199,""t"":4047},{""x"":1458,""y"":466,""dx"":7,""dy"":185,""t"":4081},{""x"":1427,""y"":453,""dx"":-24,""dy"":172,""t"":4117},{""x"":1403,""y"":452,""dx"":-48,""dy"":171,""t"":4149},{""x"":1392,""y"":457,""dx"":-59,""dy"":176,""t"":4183},{""x"":1378,""y"":460,""dx"":-73,""dy"":179,""t"":4219},{""x"":1378,""y"":448,""dx"":-73,""dy"":167,""t"":4251},{""x"":1387,""y"":429,""dx"":-64,""dy"":148,""t"":4285},{""x"":1395,""y"":432,""dx"":-56,""dy"":151,""t"":4321},{""x"":1393,""y"":443,""dx"":-58,""dy"":162,""t"":4353},{""x"":1406,""y"":421,""dx"":-45,""dy"":140,""t"":4387},{""x"":1397,""y"":410,""dx"":-54,""dy"":129,""t"":4423},{""x"":1371,""y"":414,""dx"":-80,""dy"":133,""t"":4455},{""x"":1349,""y"":418,""dx"":-102,""dy"":137,""t"":4488},{""x"":1351,""y"":411,""dx"":-100,""dy"":130,""t"":4524},{""x"":1357,""y"":413,""dx"":-94,""dy"":132,""t"":4559},{""x"":1357,""y"":403,""dx"":-94,""dy"":122,""t"":4591},{""x"":1349,""y"":388,""dx"":-102,""dy"":107,""t"":4625},{""x"":1369,""y"":386,""dx"":-82,""dy"":105,""t"":4661},{""x"":1422,""y"":364,""dx"":-29,""dy"":83,""t"":4693},{""x"":1462,""y"":335,""dx"":11,""dy"":54,""t"":4727},{""x"":1496,""y"":312,""dx"":45,""dy"":31,""t"":4761},{""x"":1522,""y"":307,""dx"":71,""dy"":26,""t"":4797},{""x"":1548,""y"":307,""dx"":97,""dy"":26,""t"":4829},{""x"":1555,""y"":312,""dx"":104,""dy"":31,""t"":4863},{""x"":1559,""y"":317,""dx"":108,""dy"":36,""t"":4896},{""x"":1561,""y"":331,""dx"":110,""dy"":50,""t"":4933},{""x"":1540,""y"":341,""dx"":89,""dy"":60,""t"":4965},{""x"":1546,""y"":332,""dx"":95,""dy"":51,""t"":4999},{""x"":1523,""y"":346,""dx"":72,""dy"":65,""t"":5035},{""x"":1486,""y"":361,""dx"":35,""dy"":80,""t"":5067},{""x"":1461,""y"":365,""dx"":10,""dy"":84,""t"":5101},{""x"":1455,""y"":396,""dx"":4,""dy"":115,""t"":5137},{""x"":1467,""y"":410,""dx"":16,""dy"":129,""t"":5169},{""x"":1439,""y"":416,""dx"":-12,""dy"":135,""t"":5203},{""x"":1411,""y"":420,""dx"":-40,""dy"":139,""t"":5239},{""x"":1396,""y"":430,""dx"":-55,""dy"":149,""t"":5271},{""x"":1410,""y"":415,""dx"":-41,""dy"":134,""t"":5305},{""x"":1423,""y"":400,""dx"":-28,""dy"":119,""t"":5341},{""x"":1427,""y"":389,""dx"":-24,""dy"":108,""t"":5373},{""x"":1431,""y"":387,""dx"":-20,""dy"":106,""t"":5407},{""x"":1427,""y"":398,""dx"":-24,""dy"":117,""t"":5443},{""x"":1424,""y"":394,""dx"":-27,""dy"":113,""t"":5475},{""x"":1413,""y"":420,""dx"":-38,""dy"":139,""t"":5510},{""x"":1430,""y"":383,""dx"":-21,""dy"":102,""t"":5545},{""x"":1445,""y"":375,""dx"":-6,""dy"":94,""t"":5577},{""x"":1457,""y"":362,""dx"":6,""dy"":81,""t"":5611},{""x"":1478,""y"":353,""dx"":27,""dy"":72,""t"":5647},{""x"":1492,""y"":347,""dx"":41,""dy"":66,""t"":5679},{""x"":1502,""y"":338,""dx"":51,""dy"":57,""t"":5713},{""x"":1513,""y"":350,""dx"":62,""dy"":69,""t"":5749},{""x"":1509,""y"":339,""dx"":58,""dy"":58,""t"":5781},{""x"":1491,""y"":351,""dx"":40,""dy"":70,""t"":5815},{""x"":1482,""y"":357,""dx"":31,""dy"":76,""t"":5851},{""x"":1490,""y"":338,""dx"":39,""dy"":57,""t"":5883},{""x"":1499,""y"":348,""dx"":48,""dy"":67,""t"":5917},{""x"":1482,""y"":359,""dx"":31,""dy"":78,""t"":5953},{""x"":1441,""y"":373,""dx"":-10,""dy"":92,""t"":5985}],[{""x"":1023,""y"":390,""dx"":52,""dy"":-161,""t"":7008},{""x"":1034,""y"":392,""dx"":63,""dy"":-159,""t"":7040},{""x"":1026,""y"":378,""dx"":55,""dy"":-173,""t"":7074},{""x"":1018,""y"":363,""dx"":47,""dy"":-188,""t"":7109},{""x"":1022,""y"":366,""dx"":51,""dy"":-185,""t"":7142},{""x"":1035,""y"":402,""dx"":64,""dy"":-149,""t"":7176},{""x"":1032,""y"":396,""dx"":61,""dy"":-155,""t"":7211},{""x"":1027,""y"":399,""dx"":56,""dy"":-152,""t"":7244},{""x"":1034,""y"":418,""dx"":63,""dy"":-133,""t"":7278},{""x"":1036,""y"":443,""dx"":65,""dy"":-108,""t"":7314},{""x"":1038,""y"":455,""dx"":67,""dy"":-96,""t"":7346},{""x"":1034,""y"":445,""dx"":63,""dy"":-106,""t"":7380},{""x"":1030,""y"":437,""dx"":59,""dy"":-114,""t"":7415},{""x"":1022,""y"":426,""dx"":51,""dy"":-125,""t"":7448},{""x"":1003,""y"":422,""dx"":32,""dy"":-129,""t"":7482},{""x"":1002,""y"":410,""dx"":31,""dy"":-141,""t"":7518},{""x"":995,""y"":396,""dx"":24,""dy"":-155,""t"":7550},{""x"":987,""y"":390,""dx"":16,""dy"":-161,""t"":7584},{""x"":984,""y"":379,""dx"":13,""dy"":-172,""t"":7620},{""x"":980,""y"":382,""dx"":9,""dy"":-169,""t"":7652},{""x"":977,""y"":382,""dx"":6,""dy"":-169,""t"":7686},{""x"":981,""y"":372,""dx"":10,""dy"":-179,""t"":7722},{""x"":994,""y"":401,""dx"":23,""dy"":-150,""t"":7754},{""x"":979,""y"":395,""dx"":8,""dy"":-156,""t"":7788},{""x"":988,""y"":384,""dx"":17,""dy"":-167,""t"":7825},{""x"":999,""y"":386,""dx"":28,""dy"":-165,""t"":7855},{""x"":1003,""y"":382,""dx"":32,""dy"":-169,""t"":7890},{""x"":1024,""y"":413,""dx"":53,""dy"":-138,""t"":7925},{""x"":1036,""y"":434,""dx"":65,""dy"":-117,""t"":7958},{""x"":1025,""y"":454,""dx"":54,""dy"":-97,""t"":7991},{""x"":1037,""y"":466,""dx"":66,""dy"":-85,""t"":8026},{""x"":1055,""y"":480,""dx"":84,""dy"":-71,""t"":8061},{""x"":1032,""y"":481,""dx"":61,""dy"":-70,""t"":8092},{""x"":1031,""y"":490,""dx"":60,""dy"":-61,""t"":8128},{""x"":1023,""y"":473,""dx"":52,""dy"":-78,""t"":8161},{""x"":1009,""y"":486,""dx"":38,""dy"":-65,""t"":8197},{""x"":1004,""y"":492,""dx"":33,""dy"":-59,""t"":8229},{""x"":985,""y"":473,""dx"":14,""dy"":-78,""t"":8263},{""x"":975,""y"":448,""dx"":4,""dy"":-103,""t"":8299},{""x"":972,""y"":454,""dx"":1,""dy"":-97,""t"":8331},{""x"":976,""y"":464,""dx"":5,""dy"":-87,""t"":8365},{""x"":980,""y"":465,""dx"":9,""dy"":-86,""t"":8398},{""x"":999,""y"":469,""dx"":28,""dy"":-82,""t"":8435},{""x"":1006,""y"":475,""dx"":35,""dy"":-76,""t"":8467},{""x"":1023,""y"":483,""dx"":52,""dy"":-68,""t"":8501},{""x"":1023,""y"":484,""dx"":52,""dy"":-67,""t"":8537},{""x"":1006,""y"":458,""dx"":35,""dy"":-93,""t"":8569},{""x"":1000,""y"":469,""dx"":29,""dy"":-82,""t"":8603},{""x"":991,""y"":475,""dx"":20,""dy"":-76,""t"":8639},{""x"":1001,""y"":478,""dx"":30,""dy"":-73,""t"":8671},{""x"":1001,""y"":480,""dx"":30,""dy"":-71,""t"":8705},{""x"":1007,""y"":481,""dx"":36,""dy"":-70,""t"":8741},{""x"":1016,""y"":489,""dx"":45,""dy"":-62,""t"":8773},{""x"":1010,""y"":471,""dx"":39,""dy"":-80,""t"":8807},{""x"":1002,""y"":453,""dx"":31,""dy"":-98,""t"":8843},{""x"":1000,""y"":444,""dx"":29,""dy"":-107,""t"":8875},{""x"":993,""y"":426,""dx"":22,""dy"":-125,""t"":8909},{""x"":991,""y"":409,""dx"":20,""dy"":-142,""t"":8945},{""x"":1001,""y"":407,""dx"":30,""dy"":-144,""t"":8977}],[{""x"":466,""y"":804,""dx"":-25,""dy"":-17,""t"":10031},{""x"":472,""y"":808,""dx"":-19,""dy"":-13,""t"":10067},{""x"":469,""y"":801,""dx"":-22,""dy"":-20,""t"":10100},{""x"":471,""y"":793,""dx"":-20,""dy"":-28,""t"":10133},{""x"":467,""y"":786,""dx"":-24,""dy"":-35,""t"":10169},{""x"":466,""y"":787,""dx"":-25,""dy"":-34,""t"":10201},{""x"":464,""y"":790,""dx"":-27,""dy"":-31,""t"":10236},{""x"":466,""y"":789,""dx"":-25,""dy"":-32,""t"":10271},{""x"":466,""y"":788,""dx"":-25,""dy"":-33,""t"":10303},{""x"":461,""y"":774,""dx"":-30,""dy"":-47,""t"":10337},{""x"":457,""y"":763,""dx"":-34,""dy"":-58,""t"":10371},{""x"":455,""y"":757,""dx"":-36,""dy"":-64,""t"":10408},{""x"":464,""y"":771,""dx"":-27,""dy"":-50,""t"":10440},{""x"":459,""y"":762,""dx"":-32,""dy"":-59,""t"":10473},{""x"":464,""y"":771,""dx"":-27,""dy"":-50,""t"":10509},{""x"":465,""y"":779,""dx"":-26,""dy"":-42,""t"":10542},{""x"":466,""y"":794,""dx"":-25,""dy"":-27,""t"":10575},{""x"":469,""y"":803,""dx"":-22,""dy"":-18,""t"":10611},{""x"":486,""y"":823,""dx"":-5,""dy"":2,""t"":10643},{""x"":505,""y"":845,""dx"":14,""dy"":24,""t"":10677},{""x"":509,""y"":868,""dx"":18,""dy"":47,""t"":10713},{""x"":500,""y"":885,""dx"":9,""dy"":64,""t"":10746},{""x"":488,""y"":887,""dx"":-3,""dy"":66,""t"":10779},{""x"":481,""y"":877,""dx"":-10,""dy"":56,""t"":10815},{""x"":489,""y"":907,""dx"":-2,""dy"":86,""t"":10847},{""x"":491,""y"":912,""dx"":0,""dy"":91,""t"":10882},{""x"":481,""y"":910,""dx"":-10,""dy"":89,""t"":10917},{""x"":477,""y"":914,""dx"":-14,""dy"":93,""t"":10949},{""x"":461,""y"":885,""dx"":-30,""dy"":64,""t"":10984},{""x"":447,""y"":871,""dx"":-44,""dy"":50,""t"":11019},{""x"":459,""y"":865,""dx"":-32,""dy"":44,""t"":11052},{""x"":452,""y"":862,""dx"":-39,""dy"":41,""t"":11086},{""x"":465,""y"":868,""dx"":-26,""dy"":47,""t"":11121},{""x"":471,""y"":876,""dx"":-20,""dy"":55,""t"":11154},{""x"":487,""y"":862,""dx"":-4,""dy"":41,""t"":11188},{""x"":493,""y"":874,""dx"":2,""dy"":53,""t"":11223},{""x"":508,""y"":894,""dx"":17,""dy"":73,""t"":11256},{""x"":521,""y"":911,""dx"":30,""dy"":90,""t"":11289},{""x"":520,""y"":909,""dx"":29,""dy"":88,""t"":11324},{""x"":524,""y"":918,""dx"":33,""dy"":97,""t"":11359},{""x"":531,""y"":920,""dx"":40,""dy"":99,""t"":11392},{""x"":537,""y"":922,""dx"":46,""dy"":101,""t"":11427},{""x"":537,""y"":928,""dx"":46,""dy"":107,""t"":11461},{""x"":538,""y"":941,""dx"":47,""dy"":120,""t"":11494},{""x"":521,""y"":966,""dx"":30,""dy"":145,""t"":11528},{""x"":506,""y"":987,""dx"":15,""dy"":166,""t"":11561},{""x"":510,""y"":980,""dx"":19,""dy"":159,""t"":11598},{""x"":512,""y"":970,""dx"":21,""dy"":149,""t"":11630},{""x"":519,""y"":960,""dx"":28,""dy"":139,""t"":11664},{""x"":524,""y"":950,""dx"":33,""dy"":129,""t"":11697},{""x"":526,""y"":941,""dx"":35,""dy"":120,""t"":11733},{""x"":536,""y"":931,""dx"":45,""dy"":110,""t"":11766},{""x"":541,""y"":925,""dx"":50,""dy"":104,""t"":11799},{""x"":523,""y"":914,""dx"":32,""dy"":93,""t"":11835},{""x"":529,""y"":916,""dx"":38,""dy"":95,""t"":11868},{""x"":537,""y"":917,""dx"":46,""dy"":96,""t"":11901},{""x"":544,""y"":918,""dx"":53,""dy"":97,""t"":11936},{""x"":550,""y"":919,""dx"":59,""dy"":98,""t"":11969},{""x"":526,""y"":894,""dx"":35,""dy"":73,""t"":12005}],[{""x"":1463,""y"":892,""dx"":12,""dy"":71,""t"":13023},{""x"":1435,""y"":889,""dx"":-16,""dy"":68,""t"":13059},{""x"":1436,""y"":899,""dx"":-15,""dy"":78,""t"":13091},{""x"":1423,""y"":888,""dx"":-28,""dy"":67,""t"":13125},{""x"":1419,""y"":886,""dx"":-32,""dy"":65,""t"":13161},{""x"":1415,""y"":884,""dx"":-36,""dy"":63,""t"":13192},{""x"":1406,""y"":882,""dx"":-45,""dy"":61,""t"":13227},{""x"":1400,""y"":882,""dx"":-51,""dy"":61,""t"":13261},{""x"":1396,""y"":882,""dx"":-55,""dy"":61,""t"":13294},{""x"":1385,""y"":874,""dx"":-66,""dy"":53,""t"":13331},{""x"":1387,""y"":867,""dx"":-64,""dy"":46,""t"":13363},{""x"":1394,""y"":869,""dx"":-57,""dy"":48,""t"":13397},{""x"":1393,""y"":865,""dx"":-58,""dy"":44,""t"":13433},{""x"":1390,""y"":866,""dx"":-61,""dy"":45,""t"":13465},{""x"":1392,""y"":858,""dx"":-59,""dy"":37,""t"":13499},{""x"":1382,""y"":858,""dx"":-69,""dy"":37,""t"":13535},{""x"":1370,""y"":860,""dx"":-81,""dy"":39,""t"":13567},{""x"":1360,""y"":862,""dx"":-91,""dy"":41,""t"":13600},{""x"":1359,""y"":868,""dx"":-92,""dy"":47,""t"":13635},{""x"":1357,""y"":875,""dx"":-94,""dy"":54,""t"":13671},{""x"":1348,""y"":890,""dx"":-103,""dy"":69,""t"":13703},{""x"":1336,""y"":891,""dx"":-115,""dy"":70,""t"":13737},{""x"":1334,""y"":887,""dx"":-117,""dy"":66,""t"":13773},{""x"":1326,""y"":890,""dx"":-125,""dy"":69,""t"":13805},{""x"":1316,""y"":893,""dx"":-135,""dy"":72,""t"":13839},{""x"":1281,""y"":885,""dx"":-170,""dy"":64,""t"":13875},{""x"":1312,""y"":846,""dx"":-139,""dy"":25,""t"":13908},{""x"":1322,""y"":834,""dx"":-129,""dy"":13,""t"":13941},{""x"":1333,""y"":827,""dx"":-118,""dy"":6,""t"":13977},{""x"":1343,""y"":800,""dx"":-108,""dy"":-21,""t"":14010},{""x"":1341,""y"":799,""dx"":-110,""dy"":-22,""t"":14043},{""x"":1334,""y"":788,""dx"":-117,""dy"":-33,""t"":14079},{""x"":1340,""y"":788,""dx"":-111,""dy"":-33,""t"":14111},{""x"":1342,""y"":784,""dx"":-109,""dy"":-37,""t"":14145},{""x"":1345,""y"":788,""dx"":-106,""dy"":-33,""t"":14181},{""x"":1342,""y"":791,""dx"":-109,""dy"":-30,""t"":14213},{""x"":1334,""y"":780,""dx"":-117,""dy"":-41,""t"":14247},{""x"":1320,""y"":776,""dx"":-131,""dy"":-45,""t"":14283},{""x"":1328,""y"":785,""dx"":-123,""dy"":-36,""t"":14315},{""x"":1322,""y"":800,""dx"":-129,""dy"":-21,""t"":14349},{""x"":1328,""y"":804,""dx"":-123,""dy"":-17,""t"":14385},{""x"":1330,""y"":808,""dx"":-121,""dy"":-13,""t"":14417},{""x"":1354,""y"":854,""dx"":-97,""dy"":33,""t"":14451},{""x"":1349,""y"":881,""dx"":-102,""dy"":60,""t"":14485},{""x"":1344,""y"":889,""dx"":-107,""dy"":68,""t"":14521},{""x"":1344,""y"":892,""dx"":-107,""dy"":71,""t"":14553},{""x"":1337,""y"":872,""dx"":-114,""dy"":51,""t"":14587},{""x"":1325,""y"":851,""dx"":-126,""dy"":30,""t"":14623},{""x"":1325,""y"":845,""dx"":-126,""dy"":24,""t"":14655},{""x"":1320,""y"":833,""dx"":-131,""dy"":12,""t"":14689},{""x"":1314,""y"":840,""dx"":-137,""dy"":19,""t"":14725},{""x"":1319,""y"":829,""dx"":-132,""dy"":8,""t"":14757},{""x"":1329,""y"":843,""dx"":-122,""dy"":22,""t"":14791},{""x"":1324,""y"":840,""dx"":-127,""dy"":19,""t"":14827},{""x"":1324,""y"":850,""dx"":-127,""dy"":29,""t"":14859},{""x"":1333,""y"":824,""dx"":-118,""dy"":3,""t"":14893},{""x"":1322,""y"":830,""dx"":-129,""dy"":9,""t"":14927},{""x"":1333,""y"":836,""dx"":-118,""dy"":15,""t"":14963},{""x"":1331,""y"":853,""dx"":-120,""dy"":32,""t"":14995}]]","[100,96.61016949152543,100,100,100]","[{""x"":14.491525423728813,""y"":56.83050847457627,""r"":18.618356693738964},{""x"":-3.0508474576271185,""y"":106.22033898305085,""r"":69.03499689105772},{""x"":37.76271186440678,""y"":-116.84745762711864,""r"":42.56295335809806},{""x"":2.711864406779661,""y"":49.20338983050848,""r"":69.37876134045962},{""x"":-97.67796610169492,""y"":28.1864406779661,""r"":42.46417622618184}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
"","html-keyboard-response","10","43600","0.0-6.0-0.0","","","","","1405"," ","","<p>识别实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，500毫秒的空白间隔后，会呈现一个四个项目的阵列。</p> <p>要求：记忆单个项目的<b>形状（该条件下，颜色为黑色）</b>或者<b>颜色（该条件下，形状为圆且颜色不为黑）</b>，忽略其拓扑特征，并在多个项目阵列中快速找到，</p>并根据数字键盘的 "" 4 "" ,"" 8 "","" 6 "","" 2 "" 进行选择响应，如果不记得或者不存在选择""5""。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","45200","0.0-6.0-1.0","","","","","1091"," ","","<p>要求：记忆单个项目的形状。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","46218","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","13","46324","0.0-6.0-2.0-1.0","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","14","47317","0.0-6.0-2.0-2.0","","","","","484","6","","[""star"",""triangle"",""ring_1"",""rect""]","","","","","","","","","","","","[{""x"":630,""y"":825,""t"":3},{""x"":688,""y"":769,""t"":35},{""x"":771,""y"":738,""t"":69},{""x"":840,""y"":711,""t"":103},{""x"":899,""y"":699,""t"":139},{""x"":938,""y"":701,""t"":171},{""x"":953,""y"":694,""t"":205},{""x"":988,""y"":723,""t"":241},{""x"":993,""y"":725,""t"":273},{""x"":990,""y"":701,""t"":314},{""x"":1019,""y"":685,""t"":343},{""x"":1078,""y"":689,""t"":377},{""x"":1125,""y"":695,""t"":409},{""x"":1163,""y"":697,""t"":457}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","ring_1","6","true","[{""x"":250,""y"":425,""width"":100,""height"":100,""top"":375,""right"":300,""bottom"":475,""left"":200},{""x"":550,""y"":125,""width"":92,""height"":92,""top"":79,""right"":596,""bottom"":171,""left"":504},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]"
"","canvas-keyboard-response","15","48342","0.0-6.0-2.0-0.1","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","16","48447","0.0-6.0-2.0-1.1","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
