"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2353","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2358","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","8172","0.0-2.0-0.0","","","","","5809","{""name"":""syx"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","9876","0.0-2.0-1.0","","","","","1703","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","11084","0.0-3.0","","","","","1206"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","20071","0.0-4.0","","","","","","","","","1451","","","","","","","","","","","","","","","","",""
"","html-button-response","6","22508","0.0-5.0-0.0","","","","","2435","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","37285","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","38476","0.0-5.0-2.0","","","","","1191","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","56524","0.0-5.0-3.0","","","","","","","","","","[[{""x"":442,""y"":207,""dx"":-49,""dy"":-74,""t"":991},{""x"":447,""y"":204,""dx"":-44,""dy"":-77,""t"":1025},{""x"":461,""y"":208,""dx"":-30,""dy"":-73,""t"":1058},{""x"":469,""y"":226,""dx"":-22,""dy"":-55,""t"":1092},{""x"":475,""y"":218,""dx"":-16,""dy"":-63,""t"":1127},{""x"":480,""y"":220,""dx"":-11,""dy"":-61,""t"":1160},{""x"":475,""y"":221,""dx"":-16,""dy"":-60,""t"":1194},{""x"":473,""y"":220,""dx"":-18,""dy"":-61,""t"":1228},{""x"":473,""y"":227,""dx"":-18,""dy"":-54,""t"":1262},{""x"":475,""y"":238,""dx"":-16,""dy"":-43,""t"":1295},{""x"":478,""y"":237,""dx"":-13,""dy"":-44,""t"":1330},{""x"":485,""y"":245,""dx"":-6,""dy"":-36,""t"":1364},{""x"":497,""y"":254,""dx"":6,""dy"":-27,""t"":1398},{""x"":501,""y"":265,""dx"":10,""dy"":-16,""t"":1432},{""x"":497,""y"":257,""dx"":6,""dy"":-24,""t"":1466},{""x"":496,""y"":264,""dx"":5,""dy"":-17,""t"":1500},{""x"":494,""y"":260,""dx"":3,""dy"":-21,""t"":1534},{""x"":494,""y"":264,""dx"":3,""dy"":-17,""t"":1568},{""x"":495,""y"":277,""dx"":4,""dy"":-4,""t"":1602},{""x"":491,""y"":272,""dx"":0,""dy"":-9,""t"":1636},{""x"":494,""y"":277,""dx"":3,""dy"":-4,""t"":1670},{""x"":494,""y"":278,""dx"":3,""dy"":-3,""t"":1705},{""x"":490,""y"":280,""dx"":-1,""dy"":-1,""t"":1737},{""x"":493,""y"":282,""dx"":2,""dy"":1,""t"":1772},{""x"":492,""y"":289,""dx"":1,""dy"":8,""t"":1806},{""x"":485,""y"":280,""dx"":-6,""dy"":-1,""t"":1840},{""x"":482,""y"":266,""dx"":-9,""dy"":-15,""t"":1875},{""x"":482,""y"":255,""dx"":-9,""dy"":-26,""t"":1908},{""x"":494,""y"":264,""dx"":3,""dy"":-17,""t"":1942},{""x"":501,""y"":261,""dx"":10,""dy"":-20,""t"":1976},{""x"":513,""y"":266,""dx"":22,""dy"":-15,""t"":2009},{""x"":512,""y"":253,""dx"":21,""dy"":-28,""t"":2044},{""x"":508,""y"":240,""dx"":17,""dy"":-41,""t"":2077},{""x"":501,""y"":250,""dx"":10,""dy"":-31,""t"":2112},{""x"":506,""y"":247,""dx"":15,""dy"":-34,""t"":2146},{""x"":508,""y"":231,""dx"":17,""dy"":-50,""t"":2180},{""x"":511,""y"":235,""dx"":20,""dy"":-46,""t"":2214},{""x"":504,""y"":235,""dx"":13,""dy"":-46,""t"":2248},{""x"":502,""y"":247,""dx"":11,""dy"":-34,""t"":2279},{""x"":501,""y"":246,""dx"":10,""dy"":-35,""t"":2316},{""x"":497,""y"":247,""dx"":6,""dy"":-34,""t"":2350},{""x"":504,""y"":254,""dx"":13,""dy"":-27,""t"":2384},{""x"":500,""y"":246,""dx"":9,""dy"":-35,""t"":2418},{""x"":506,""y"":230,""dx"":15,""dy"":-51,""t"":2452},{""x"":493,""y"":239,""dx"":2,""dy"":-42,""t"":2486},{""x"":483,""y"":232,""dx"":-8,""dy"":-49,""t"":2520},{""x"":478,""y"":227,""dx"":-13,""dy"":-54,""t"":2554},{""x"":487,""y"":228,""dx"":-4,""dy"":-53,""t"":2588},{""x"":484,""y"":222,""dx"":-7,""dy"":-59,""t"":2622},{""x"":491,""y"":227,""dx"":0,""dy"":-54,""t"":2656},{""x"":498,""y"":231,""dx"":7,""dy"":-50,""t"":2688},{""x"":489,""y"":235,""dx"":-2,""dy"":-46,""t"":2723},{""x"":483,""y"":236,""dx"":-8,""dy"":-45,""t"":2758},{""x"":478,""y"":243,""dx"":-13,""dy"":-38,""t"":2792},{""x"":487,""y"":247,""dx"":-4,""dy"":-34,""t"":2825},{""x"":490,""y"":259,""dx"":-1,""dy"":-22,""t"":2860},{""x"":497,""y"":239,""dx"":6,""dy"":-42,""t"":2894},{""x"":508,""y"":248,""dx"":17,""dy"":-33,""t"":2928},{""x"":519,""y"":249,""dx"":28,""dy"":-32,""t"":2962}],[{""x"":1522,""y"":312,""dx"":71,""dy"":31,""t"":4017},{""x"":1521,""y"":326,""dx"":70,""dy"":45,""t"":4050},{""x"":1518,""y"":316,""dx"":67,""dy"":35,""t"":4084},{""x"":1514,""y"":304,""dx"":63,""dy"":23,""t"":4118},{""x"":1507,""y"":313,""dx"":56,""dy"":32,""t"":4152},{""x"":1492,""y"":318,""dx"":41,""dy"":37,""t"":4186},{""x"":1498,""y"":312,""dx"":47,""dy"":31,""t"":4220},{""x"":1490,""y"":310,""dx"":39,""dy"":29,""t"":4255},{""x"":1484,""y"":309,""dx"":33,""dy"":28,""t"":4286},{""x"":1475,""y"":303,""dx"":24,""dy"":22,""t"":4322},{""x"":1483,""y"":299,""dx"":32,""dy"":18,""t"":4357},{""x"":1486,""y"":307,""dx"":35,""dy"":26,""t"":4391},{""x"":1494,""y"":302,""dx"":43,""dy"":21,""t"":4424},{""x"":1491,""y"":313,""dx"":40,""dy"":32,""t"":4458},{""x"":1485,""y"":302,""dx"":34,""dy"":21,""t"":4492},{""x"":1478,""y"":303,""dx"":27,""dy"":22,""t"":4526},{""x"":1479,""y"":299,""dx"":28,""dy"":18,""t"":4560},{""x"":1477,""y"":300,""dx"":26,""dy"":19,""t"":4594},{""x"":1479,""y"":302,""dx"":28,""dy"":21,""t"":4628},{""x"":1480,""y"":300,""dx"":29,""dy"":19,""t"":4662},{""x"":1476,""y"":288,""dx"":25,""dy"":7,""t"":4696},{""x"":1474,""y"":286,""dx"":23,""dy"":5,""t"":4730},{""x"":1480,""y"":285,""dx"":29,""dy"":4,""t"":4764},{""x"":1484,""y"":283,""dx"":33,""dy"":2,""t"":4798},{""x"":1481,""y"":278,""dx"":30,""dy"":-3,""t"":4832},{""x"":1487,""y"":285,""dx"":36,""dy"":4,""t"":4866},{""x"":1492,""y"":287,""dx"":41,""dy"":6,""t"":4901},{""x"":1491,""y"":302,""dx"":40,""dy"":21,""t"":4934},{""x"":1499,""y"":306,""dx"":48,""dy"":25,""t"":4968},{""x"":1498,""y"":299,""dx"":47,""dy"":18,""t"":5002},{""x"":1501,""y"":293,""dx"":50,""dy"":12,""t"":5037},{""x"":1499,""y"":287,""dx"":48,""dy"":6,""t"":5069},{""x"":1496,""y"":297,""dx"":45,""dy"":16,""t"":5104},{""x"":1494,""y"":301,""dx"":43,""dy"":20,""t"":5138},{""x"":1495,""y"":294,""dx"":44,""dy"":13,""t"":5172},{""x"":1497,""y"":297,""dx"":46,""dy"":16,""t"":5206},{""x"":1483,""y"":290,""dx"":32,""dy"":9,""t"":5241},{""x"":1488,""y"":292,""dx"":37,""dy"":11,""t"":5275},{""x"":1481,""y"":277,""dx"":30,""dy"":-4,""t"":5308},{""x"":1485,""y"":289,""dx"":34,""dy"":8,""t"":5342},{""x"":1498,""y"":303,""dx"":47,""dy"":22,""t"":5376},{""x"":1500,""y"":298,""dx"":49,""dy"":17,""t"":5410},{""x"":1499,""y"":289,""dx"":48,""dy"":8,""t"":5443},{""x"":1502,""y"":307,""dx"":51,""dy"":26,""t"":5477},{""x"":1505,""y"":298,""dx"":54,""dy"":17,""t"":5512},{""x"":1500,""y"":291,""dx"":49,""dy"":10,""t"":5546},{""x"":1506,""y"":303,""dx"":55,""dy"":22,""t"":5580},{""x"":1513,""y"":296,""dx"":62,""dy"":15,""t"":5614},{""x"":1508,""y"":297,""dx"":57,""dy"":16,""t"":5648},{""x"":1513,""y"":315,""dx"":62,""dy"":34,""t"":5682},{""x"":1513,""y"":309,""dx"":62,""dy"":28,""t"":5717},{""x"":1511,""y"":309,""dx"":60,""dy"":28,""t"":5750},{""x"":1508,""y"":302,""dx"":57,""dy"":21,""t"":5783},{""x"":1506,""y"":305,""dx"":55,""dy"":24,""t"":5818},{""x"":1504,""y"":308,""dx"":53,""dy"":27,""t"":5849},{""x"":1501,""y"":307,""dx"":50,""dy"":26,""t"":5886},{""x"":1507,""y"":312,""dx"":56,""dy"":31,""t"":5920},{""x"":1509,""y"":309,""dx"":58,""dy"":28,""t"":5954},{""x"":1495,""y"":287,""dx"":44,""dy"":6,""t"":5988}],[{""x"":749,""y"":764,""dx"":-222,""dy"":213,""t"":6975},{""x"":798,""y"":705,""dx"":-173,""dy"":154,""t"":7031},{""x"":838,""y"":643,""dx"":-133,""dy"":92,""t"":7041},{""x"":889,""y"":592,""dx"":-82,""dy"":41,""t"":7076},{""x"":913,""y"":545,""dx"":-58,""dy"":-6,""t"":7110},{""x"":942,""y"":508,""dx"":-29,""dy"":-43,""t"":7144},{""x"":980,""y"":492,""dx"":9,""dy"":-59,""t"":7179},{""x"":995,""y"":483,""dx"":24,""dy"":-68,""t"":7212},{""x"":1003,""y"":476,""dx"":32,""dy"":-75,""t"":7247},{""x"":1012,""y"":470,""dx"":41,""dy"":-81,""t"":7280},{""x"":1014,""y"":465,""dx"":43,""dy"":-86,""t"":7314},{""x"":1019,""y"":443,""dx"":48,""dy"":-108,""t"":7348},{""x"":1023,""y"":434,""dx"":52,""dy"":-117,""t"":7384},{""x"":1023,""y"":454,""dx"":52,""dy"":-97,""t"":7417},{""x"":1020,""y"":470,""dx"":49,""dy"":-81,""t"":7447},{""x"":1006,""y"":489,""dx"":35,""dy"":-62,""t"":7484},{""x"":999,""y"":506,""dx"":28,""dy"":-45,""t"":7519},{""x"":991,""y"":491,""dx"":20,""dy"":-60,""t"":7553},{""x"":996,""y"":492,""dx"":25,""dy"":-59,""t"":7586},{""x"":997,""y"":503,""dx"":26,""dy"":-48,""t"":7620},{""x"":1004,""y"":498,""dx"":33,""dy"":-53,""t"":7654},{""x"":1005,""y"":508,""dx"":34,""dy"":-43,""t"":7689},{""x"":993,""y"":511,""dx"":22,""dy"":-40,""t"":7722},{""x"":997,""y"":526,""dx"":26,""dy"":-25,""t"":7756},{""x"":987,""y"":530,""dx"":16,""dy"":-21,""t"":7790},{""x"":989,""y"":534,""dx"":18,""dy"":-17,""t"":7824},{""x"":987,""y"":529,""dx"":16,""dy"":-22,""t"":7855},{""x"":995,""y"":532,""dx"":24,""dy"":-19,""t"":7891},{""x"":993,""y"":525,""dx"":22,""dy"":-26,""t"":7926},{""x"":990,""y"":525,""dx"":19,""dy"":-26,""t"":7960},{""x"":992,""y"":535,""dx"":21,""dy"":-16,""t"":7994},{""x"":988,""y"":538,""dx"":17,""dy"":-13,""t"":8027},{""x"":973,""y"":533,""dx"":2,""dy"":-18,""t"":8062},{""x"":965,""y"":534,""dx"":-6,""dy"":-17,""t"":8096},{""x"":967,""y"":534,""dx"":-4,""dy"":-17,""t"":8130},{""x"":978,""y"":538,""dx"":7,""dy"":-13,""t"":8164},{""x"":987,""y"":546,""dx"":16,""dy"":-5,""t"":8198},{""x"":984,""y"":561,""dx"":13,""dy"":10,""t"":8232},{""x"":985,""y"":558,""dx"":14,""dy"":7,""t"":8266},{""x"":989,""y"":563,""dx"":18,""dy"":12,""t"":8300},{""x"":996,""y"":559,""dx"":25,""dy"":8,""t"":8334},{""x"":994,""y"":563,""dx"":23,""dy"":12,""t"":8368},{""x"":998,""y"":568,""dx"":27,""dy"":17,""t"":8403},{""x"":996,""y"":572,""dx"":25,""dy"":21,""t"":8436},{""x"":987,""y"":573,""dx"":16,""dy"":22,""t"":8470},{""x"":989,""y"":573,""dx"":18,""dy"":22,""t"":8505},{""x"":990,""y"":586,""dx"":19,""dy"":35,""t"":8537},{""x"":988,""y"":581,""dx"":17,""dy"":30,""t"":8572},{""x"":981,""y"":574,""dx"":10,""dy"":23,""t"":8606},{""x"":969,""y"":576,""dx"":-2,""dy"":25,""t"":8641},{""x"":968,""y"":563,""dx"":-3,""dy"":12,""t"":8675},{""x"":969,""y"":565,""dx"":-2,""dy"":14,""t"":8708},{""x"":962,""y"":557,""dx"":-9,""dy"":6,""t"":8741},{""x"":954,""y"":563,""dx"":-17,""dy"":12,""t"":8776},{""x"":962,""y"":567,""dx"":-9,""dy"":16,""t"":8810},{""x"":962,""y"":572,""dx"":-9,""dy"":21,""t"":8844},{""x"":972,""y"":576,""dx"":1,""dy"":25,""t"":8878},{""x"":969,""y"":565,""dx"":-2,""dy"":14,""t"":8912},{""x"":964,""y"":566,""dx"":-7,""dy"":15,""t"":8946},{""x"":959,""y"":555,""dx"":-12,""dy"":4,""t"":8979}],[{""x"":482,""y"":600,""dx"":-9,""dy"":-221,""t"":10034},{""x"":491,""y"":610,""dx"":0,""dy"":-211,""t"":10069},{""x"":485,""y"":610,""dx"":-6,""dy"":-211,""t"":10102},{""x"":488,""y"":635,""dx"":-3,""dy"":-186,""t"":10136},{""x"":491,""y"":639,""dx"":0,""dy"":-182,""t"":10170},{""x"":488,""y"":647,""dx"":-3,""dy"":-174,""t"":10204},{""x"":478,""y"":645,""dx"":-13,""dy"":-176,""t"":10238},{""x"":488,""y"":644,""dx"":-3,""dy"":-177,""t"":10272},{""x"":488,""y"":643,""dx"":-3,""dy"":-178,""t"":10306},{""x"":477,""y"":633,""dx"":-14,""dy"":-188,""t"":10341},{""x"":484,""y"":637,""dx"":-7,""dy"":-184,""t"":10374},{""x"":500,""y"":641,""dx"":9,""dy"":-180,""t"":10408},{""x"":498,""y"":635,""dx"":7,""dy"":-186,""t"":10443},{""x"":492,""y"":632,""dx"":1,""dy"":-189,""t"":10476},{""x"":480,""y"":639,""dx"":-11,""dy"":-182,""t"":10510},{""x"":461,""y"":636,""dx"":-30,""dy"":-185,""t"":10544},{""x"":464,""y"":626,""dx"":-27,""dy"":-195,""t"":10579},{""x"":454,""y"":627,""dx"":-37,""dy"":-194,""t"":10612},{""x"":456,""y"":646,""dx"":-35,""dy"":-175,""t"":10646},{""x"":454,""y"":632,""dx"":-37,""dy"":-189,""t"":10681},{""x"":428,""y"":621,""dx"":-63,""dy"":-200,""t"":10714},{""x"":427,""y"":622,""dx"":-64,""dy"":-199,""t"":10749},{""x"":415,""y"":639,""dx"":-76,""dy"":-182,""t"":10782},{""x"":404,""y"":635,""dx"":-87,""dy"":-186,""t"":10816},{""x"":398,""y"":628,""dx"":-93,""dy"":-193,""t"":10850},{""x"":404,""y"":639,""dx"":-87,""dy"":-182,""t"":10884},{""x"":421,""y"":630,""dx"":-70,""dy"":-191,""t"":10918},{""x"":419,""y"":627,""dx"":-72,""dy"":-194,""t"":10952},{""x"":442,""y"":636,""dx"":-49,""dy"":-185,""t"":10986},{""x"":447,""y"":643,""dx"":-44,""dy"":-178,""t"":11017},{""x"":453,""y"":641,""dx"":-38,""dy"":-180,""t"":11054},{""x"":439,""y"":638,""dx"":-52,""dy"":-183,""t"":11088},{""x"":443,""y"":651,""dx"":-48,""dy"":-170,""t"":11122},{""x"":447,""y"":651,""dx"":-44,""dy"":-170,""t"":11155},{""x"":443,""y"":641,""dx"":-48,""dy"":-180,""t"":11190},{""x"":441,""y"":629,""dx"":-50,""dy"":-192,""t"":11224},{""x"":439,""y"":624,""dx"":-52,""dy"":-197,""t"":11258},{""x"":425,""y"":624,""dx"":-66,""dy"":-197,""t"":11291},{""x"":412,""y"":611,""dx"":-79,""dy"":-210,""t"":11326},{""x"":430,""y"":627,""dx"":-61,""dy"":-194,""t"":11360},{""x"":430,""y"":628,""dx"":-61,""dy"":-193,""t"":11394},{""x"":421,""y"":618,""dx"":-70,""dy"":-203,""t"":11428},{""x"":435,""y"":631,""dx"":-56,""dy"":-190,""t"":11462},{""x"":415,""y"":629,""dx"":-76,""dy"":-192,""t"":11496},{""x"":425,""y"":637,""dx"":-66,""dy"":-184,""t"":11531},{""x"":432,""y"":644,""dx"":-59,""dy"":-177,""t"":11564},{""x"":431,""y"":635,""dx"":-60,""dy"":-186,""t"":11598},{""x"":432,""y"":644,""dx"":-59,""dy"":-177,""t"":11632},{""x"":427,""y"":620,""dx"":-64,""dy"":-201,""t"":11666},{""x"":415,""y"":619,""dx"":-76,""dy"":-202,""t"":11700},{""x"":424,""y"":632,""dx"":-67,""dy"":-189,""t"":11734},{""x"":429,""y"":632,""dx"":-62,""dy"":-189,""t"":11768},{""x"":441,""y"":634,""dx"":-50,""dy"":-187,""t"":11803},{""x"":454,""y"":632,""dx"":-37,""dy"":-189,""t"":11836},{""x"":455,""y"":644,""dx"":-36,""dy"":-177,""t"":11870},{""x"":454,""y"":663,""dx"":-37,""dy"":-158,""t"":11904},{""x"":465,""y"":676,""dx"":-26,""dy"":-145,""t"":11938},{""x"":456,""y"":683,""dx"":-35,""dy"":-138,""t"":11972}],[{""x"":1264,""y"":731,""dx"":-187,""dy"":-90,""t"":13026},{""x"":1249,""y"":740,""dx"":-202,""dy"":-81,""t"":13060},{""x"":1236,""y"":745,""dx"":-215,""dy"":-76,""t"":13094},{""x"":1226,""y"":750,""dx"":-225,""dy"":-71,""t"":13128},{""x"":1222,""y"":757,""dx"":-229,""dy"":-64,""t"":13162},{""x"":1214,""y"":761,""dx"":-237,""dy"":-60,""t"":13196},{""x"":1211,""y"":774,""dx"":-240,""dy"":-47,""t"":13230},{""x"":1203,""y"":771,""dx"":-248,""dy"":-50,""t"":13264},{""x"":1193,""y"":771,""dx"":-258,""dy"":-50,""t"":13298},{""x"":1187,""y"":765,""dx"":-264,""dy"":-56,""t"":13332},{""x"":1190,""y"":770,""dx"":-261,""dy"":-51,""t"":13366},{""x"":1189,""y"":771,""dx"":-262,""dy"":-50,""t"":13400},{""x"":1195,""y"":755,""dx"":-256,""dy"":-66,""t"":13434},{""x"":1178,""y"":742,""dx"":-273,""dy"":-79,""t"":13468},{""x"":1186,""y"":747,""dx"":-265,""dy"":-74,""t"":13502},{""x"":1183,""y"":751,""dx"":-268,""dy"":-70,""t"":13536},{""x"":1174,""y"":752,""dx"":-277,""dy"":-69,""t"":13571},{""x"":1176,""y"":750,""dx"":-275,""dy"":-71,""t"":13603},{""x"":1189,""y"":750,""dx"":-262,""dy"":-71,""t"":13638},{""x"":1173,""y"":749,""dx"":-278,""dy"":-72,""t"":13673},{""x"":1173,""y"":751,""dx"":-278,""dy"":-70,""t"":13706},{""x"":1153,""y"":738,""dx"":-298,""dy"":-83,""t"":13740},{""x"":1163,""y"":755,""dx"":-288,""dy"":-66,""t"":13773},{""x"":1162,""y"":763,""dx"":-289,""dy"":-58,""t"":13808},{""x"":1154,""y"":777,""dx"":-297,""dy"":-44,""t"":13862},{""x"":1148,""y"":789,""dx"":-303,""dy"":-32,""t"":13875},{""x"":1154,""y"":785,""dx"":-297,""dy"":-36,""t"":13910},{""x"":1151,""y"":782,""dx"":-300,""dy"":-39,""t"":13944},{""x"":1150,""y"":780,""dx"":-301,""dy"":-41,""t"":13979},{""x"":1157,""y"":774,""dx"":-294,""dy"":-47,""t"":14012},{""x"":1165,""y"":773,""dx"":-286,""dy"":-48,""t"":14047},{""x"":1161,""y"":778,""dx"":-290,""dy"":-43,""t"":14080},{""x"":1164,""y"":771,""dx"":-287,""dy"":-50,""t"":14113},{""x"":1173,""y"":777,""dx"":-278,""dy"":-44,""t"":14148},{""x"":1152,""y"":767,""dx"":-299,""dy"":-54,""t"":14180},{""x"":1166,""y"":766,""dx"":-285,""dy"":-55,""t"":14216},{""x"":1165,""y"":770,""dx"":-286,""dy"":-51,""t"":14250},{""x"":1183,""y"":780,""dx"":-268,""dy"":-41,""t"":14285},{""x"":1165,""y"":768,""dx"":-286,""dy"":-53,""t"":14318},{""x"":1175,""y"":773,""dx"":-276,""dy"":-48,""t"":14352},{""x"":1178,""y"":773,""dx"":-273,""dy"":-48,""t"":14386},{""x"":1192,""y"":778,""dx"":-259,""dy"":-43,""t"":14420},{""x"":1178,""y"":769,""dx"":-273,""dy"":-52,""t"":14454},{""x"":1181,""y"":760,""dx"":-270,""dy"":-61,""t"":14489},{""x"":1151,""y"":750,""dx"":-300,""dy"":-71,""t"":14522},{""x"":1144,""y"":741,""dx"":-307,""dy"":-80,""t"":14556},{""x"":1147,""y"":736,""dx"":-304,""dy"":-85,""t"":14587},{""x"":1127,""y"":714,""dx"":-324,""dy"":-107,""t"":14624},{""x"":1118,""y"":728,""dx"":-333,""dy"":-93,""t"":14658},{""x"":1114,""y"":730,""dx"":-337,""dy"":-91,""t"":14691},{""x"":1136,""y"":762,""dx"":-315,""dy"":-59,""t"":14727},{""x"":1113,""y"":759,""dx"":-338,""dy"":-62,""t"":14760},{""x"":1131,""y"":770,""dx"":-320,""dy"":-51,""t"":14794},{""x"":1147,""y"":762,""dx"":-304,""dy"":-59,""t"":14828},{""x"":1131,""y"":761,""dx"":-320,""dy"":-60,""t"":14862},{""x"":1130,""y"":753,""dx"":-321,""dy"":-68,""t"":14896},{""x"":1100,""y"":745,""dx"":-351,""dy"":-76,""t"":14930},{""x"":1122,""y"":749,""dx"":-329,""dy"":-72,""t"":14963},{""x"":1091,""y"":740,""dx"":-360,""dy"":-81,""t"":14998}]]","[100,100,96.66666666666667,65.51724137931035,0]","[{""x"":-0.4406779661016949,""y"":-35.152542372881356,""r"":18.475742460471537},{""x"":44.45762711864407,""y"":19.1864406779661,""r"":13.632219300066367},{""x"":3.7333333333333334,""y"":-10.05,""r"":51.85772844690909},{""x"":-42.43103448275862,""y"":-186.25862068965517,""r"":38.96384679804772},{""x"":-283.1525423728813,""y"":-61.69491525423729,""r"":25.649153158379853}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","","",""
"","html-button-response","10","57188","0.0-5.0-4.0-0.0-0.0","","","","","663","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","68656","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","69635","0.0-5.0-4.0-0.0-2.0","","","","","979","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
