"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","33264","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","33270","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","39151","0.0-2.0-0.0","","","","","5878","{""name"":""罗晨曦"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","43191","0.0-2.0-1.0","","","","","4039","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","44583","0.0-3.0","","","","","1390"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","51966","0.0-4.0","","","","","","","","","1515","","","","","","","","","","","","","","","",""
"","html-button-response","6","53774","0.0-5.0-0.0","","","","","1806","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","64289","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","66438","0.0-5.0-2.0","","","","","2149","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","83560","0.0-5.0-3.0","","","","","","","","","","[[{""x"":407,""y"":221,""dx"":-84,""dy"":-60,""t"":991},{""x"":382,""y"":229,""dx"":-109,""dy"":-52,""t"":1024},{""x"":379,""y"":251,""dx"":-112,""dy"":-30,""t"":1058},{""x"":384,""y"":272,""dx"":-107,""dy"":-9,""t"":1094},{""x"":364,""y"":281,""dx"":-127,""dy"":0,""t"":1126},{""x"":358,""y"":290,""dx"":-133,""dy"":9,""t"":1159},{""x"":365,""y"":302,""dx"":-126,""dy"":21,""t"":1194},{""x"":368,""y"":306,""dx"":-123,""dy"":25,""t"":1229},{""x"":420,""y"":284,""dx"":-71,""dy"":3,""t"":1262},{""x"":465,""y"":265,""dx"":-26,""dy"":-16,""t"":1295},{""x"":495,""y"":253,""dx"":4,""dy"":-28,""t"":1329},{""x"":510,""y"":248,""dx"":19,""dy"":-33,""t"":1365},{""x"":493,""y"":233,""dx"":2,""dy"":-48,""t"":1398},{""x"":493,""y"":232,""dx"":2,""dy"":-49,""t"":1432},{""x"":487,""y"":227,""dx"":-4,""dy"":-54,""t"":1466},{""x"":489,""y"":220,""dx"":-2,""dy"":-61,""t"":1500},{""x"":488,""y"":218,""dx"":-3,""dy"":-63,""t"":1535},{""x"":470,""y"":212,""dx"":-21,""dy"":-69,""t"":1568},{""x"":463,""y"":199,""dx"":-28,""dy"":-82,""t"":1601},{""x"":453,""y"":203,""dx"":-38,""dy"":-78,""t"":1637},{""x"":455,""y"":199,""dx"":-36,""dy"":-82,""t"":1670},{""x"":459,""y"":209,""dx"":-32,""dy"":-72,""t"":1704},{""x"":471,""y"":218,""dx"":-20,""dy"":-63,""t"":1738},{""x"":487,""y"":222,""dx"":-4,""dy"":-59,""t"":1772},{""x"":470,""y"":219,""dx"":-21,""dy"":-62,""t"":1806},{""x"":466,""y"":231,""dx"":-25,""dy"":-50,""t"":1840},{""x"":457,""y"":247,""dx"":-34,""dy"":-34,""t"":1874},{""x"":456,""y"":270,""dx"":-35,""dy"":-11,""t"":1908},{""x"":444,""y"":289,""dx"":-47,""dy"":8,""t"":1942},{""x"":501,""y"":284,""dx"":10,""dy"":3,""t"":1975},{""x"":492,""y"":293,""dx"":1,""dy"":12,""t"":2010},{""x"":509,""y"":282,""dx"":18,""dy"":1,""t"":2044},{""x"":533,""y"":274,""dx"":42,""dy"":-7,""t"":2078},{""x"":540,""y"":263,""dx"":49,""dy"":-18,""t"":2112},{""x"":544,""y"":246,""dx"":53,""dy"":-35,""t"":2146},{""x"":559,""y"":243,""dx"":68,""dy"":-38,""t"":2179},{""x"":558,""y"":235,""dx"":67,""dy"":-46,""t"":2215},{""x"":557,""y"":228,""dx"":66,""dy"":-53,""t"":2248},{""x"":571,""y"":232,""dx"":80,""dy"":-49,""t"":2283},{""x"":549,""y"":252,""dx"":58,""dy"":-29,""t"":2316},{""x"":532,""y"":270,""dx"":41,""dy"":-11,""t"":2351},{""x"":531,""y"":278,""dx"":40,""dy"":-3,""t"":2384},{""x"":497,""y"":265,""dx"":6,""dy"":-16,""t"":2418},{""x"":467,""y"":258,""dx"":-24,""dy"":-23,""t"":2451},{""x"":454,""y"":253,""dx"":-37,""dy"":-28,""t"":2486},{""x"":470,""y"":247,""dx"":-21,""dy"":-34,""t"":2520},{""x"":487,""y"":246,""dx"":-4,""dy"":-35,""t"":2554},{""x"":508,""y"":234,""dx"":17,""dy"":-47,""t"":2588},{""x"":496,""y"":219,""dx"":5,""dy"":-62,""t"":2622},{""x"":489,""y"":195,""dx"":-2,""dy"":-86,""t"":2656},{""x"":517,""y"":201,""dx"":26,""dy"":-80,""t"":2691},{""x"":513,""y"":212,""dx"":22,""dy"":-69,""t"":2724},{""x"":518,""y"":212,""dx"":27,""dy"":-69,""t"":2758},{""x"":531,""y"":219,""dx"":40,""dy"":-62,""t"":2791},{""x"":520,""y"":212,""dx"":29,""dy"":-69,""t"":2826},{""x"":535,""y"":232,""dx"":44,""dy"":-49,""t"":2862},{""x"":535,""y"":257,""dx"":44,""dy"":-24,""t"":2891},{""x"":536,""y"":265,""dx"":45,""dy"":-16,""t"":2928},{""x"":551,""y"":272,""dx"":60,""dy"":-9,""t"":2961},{""x"":542,""y"":264,""dx"":51,""dy"":-17,""t"":2995}],[{""x"":1650,""y"":234,""dx"":199,""dy"":-47,""t"":4016},{""x"":1616,""y"":231,""dx"":165,""dy"":-50,""t"":4050},{""x"":1624,""y"":237,""dx"":173,""dy"":-44,""t"":4084},{""x"":1609,""y"":238,""dx"":158,""dy"":-43,""t"":4118},{""x"":1593,""y"":235,""dx"":142,""dy"":-46,""t"":4152},{""x"":1595,""y"":238,""dx"":144,""dy"":-43,""t"":4187},{""x"":1600,""y"":243,""dx"":149,""dy"":-38,""t"":4220},{""x"":1610,""y"":249,""dx"":159,""dy"":-32,""t"":4254},{""x"":1611,""y"":256,""dx"":160,""dy"":-25,""t"":4288},{""x"":1627,""y"":249,""dx"":176,""dy"":-32,""t"":4321},{""x"":1631,""y"":257,""dx"":180,""dy"":-24,""t"":4356},{""x"":1632,""y"":267,""dx"":181,""dy"":-14,""t"":4390},{""x"":1634,""y"":248,""dx"":183,""dy"":-33,""t"":4423},{""x"":1601,""y"":251,""dx"":150,""dy"":-30,""t"":4458},{""x"":1585,""y"":255,""dx"":134,""dy"":-26,""t"":4492},{""x"":1563,""y"":257,""dx"":112,""dy"":-24,""t"":4526},{""x"":1527,""y"":252,""dx"":76,""dy"":-29,""t"":4560},{""x"":1581,""y"":239,""dx"":130,""dy"":-42,""t"":4595},{""x"":1595,""y"":245,""dx"":144,""dy"":-36,""t"":4628},{""x"":1558,""y"":244,""dx"":107,""dy"":-37,""t"":4661},{""x"":1551,""y"":248,""dx"":100,""dy"":-33,""t"":4695},{""x"":1538,""y"":247,""dx"":87,""dy"":-34,""t"":4731},{""x"":1520,""y"":246,""dx"":69,""dy"":-35,""t"":4764},{""x"":1510,""y"":244,""dx"":59,""dy"":-37,""t"":4797},{""x"":1482,""y"":232,""dx"":31,""dy"":-49,""t"":4832},{""x"":1459,""y"":221,""dx"":8,""dy"":-60,""t"":4864},{""x"":1459,""y"":222,""dx"":8,""dy"":-59,""t"":4900},{""x"":1452,""y"":220,""dx"":1,""dy"":-61,""t"":4934},{""x"":1498,""y"":234,""dx"":47,""dy"":-47,""t"":4969},{""x"":1506,""y"":239,""dx"":55,""dy"":-42,""t"":5002},{""x"":1533,""y"":246,""dx"":82,""dy"":-35,""t"":5035},{""x"":1537,""y"":264,""dx"":86,""dy"":-17,""t"":5071},{""x"":1557,""y"":279,""dx"":106,""dy"":-2,""t"":5104},{""x"":1499,""y"":361,""dx"":48,""dy"":80,""t"":5138},{""x"":1415,""y"":506,""dx"":-36,""dy"":225,""t"":5172},{""x"":1319,""y"":631,""dx"":-132,""dy"":350,""t"":5206},{""x"":1297,""y"":678,""dx"":-154,""dy"":397,""t"":5241},{""x"":1302,""y"":690,""dx"":-149,""dy"":409,""t"":5274},{""x"":1321,""y"":654,""dx"":-130,""dy"":373,""t"":5309},{""x"":1328,""y"":593,""dx"":-123,""dy"":312,""t"":5342},{""x"":1360,""y"":547,""dx"":-91,""dy"":266,""t"":5376},{""x"":1383,""y"":485,""dx"":-68,""dy"":204,""t"":5410},{""x"":1420,""y"":417,""dx"":-31,""dy"":136,""t"":5444},{""x"":1466,""y"":385,""dx"":15,""dy"":104,""t"":5478},{""x"":1505,""y"":362,""dx"":54,""dy"":81,""t"":5512},{""x"":1532,""y"":345,""dx"":81,""dy"":64,""t"":5546},{""x"":1558,""y"":317,""dx"":107,""dy"":36,""t"":5580},{""x"":1569,""y"":297,""dx"":118,""dy"":16,""t"":5613},{""x"":1559,""y"":281,""dx"":108,""dy"":0,""t"":5648},{""x"":1576,""y"":270,""dx"":125,""dy"":-11,""t"":5681},{""x"":1584,""y"":256,""dx"":133,""dy"":-25,""t"":5715},{""x"":1542,""y"":221,""dx"":91,""dy"":-60,""t"":5750},{""x"":1561,""y"":219,""dx"":110,""dy"":-62,""t"":5784},{""x"":1568,""y"":224,""dx"":117,""dy"":-57,""t"":5818},{""x"":1565,""y"":231,""dx"":114,""dy"":-50,""t"":5851},{""x"":1545,""y"":226,""dx"":94,""dy"":-55,""t"":5886},{""x"":1523,""y"":227,""dx"":72,""dy"":-54,""t"":5919},{""x"":1560,""y"":237,""dx"":109,""dy"":-44,""t"":5954},{""x"":1534,""y"":238,""dx"":83,""dy"":-43,""t"":5989}],[{""x"":917,""y"":658,""dx"":-54,""dy"":107,""t"":7042},{""x"":934,""y"":774,""dx"":-37,""dy"":223,""t"":7076},{""x"":931,""y"":873,""dx"":-40,""dy"":322,""t"":7110},{""x"":918,""y"":938,""dx"":-53,""dy"":387,""t"":7143},{""x"":920,""y"":946,""dx"":-51,""dy"":395,""t"":7178},{""x"":984,""y"":931,""dx"":13,""dy"":380,""t"":7212},{""x"":1014,""y"":913,""dx"":43,""dy"":362,""t"":7246},{""x"":1021,""y"":887,""dx"":50,""dy"":336,""t"":7280},{""x"":1010,""y"":856,""dx"":39,""dy"":305,""t"":7314},{""x"":996,""y"":811,""dx"":25,""dy"":260,""t"":7348},{""x"":1020,""y"":767,""dx"":49,""dy"":216,""t"":7382},{""x"":1049,""y"":738,""dx"":78,""dy"":187,""t"":7415},{""x"":1052,""y"":715,""dx"":81,""dy"":164,""t"":7450},{""x"":1067,""y"":678,""dx"":96,""dy"":127,""t"":7483},{""x"":1053,""y"":644,""dx"":82,""dy"":93,""t"":7518},{""x"":1075,""y"":632,""dx"":104,""dy"":81,""t"":7551},{""x"":1055,""y"":613,""dx"":84,""dy"":62,""t"":7585},{""x"":1060,""y"":602,""dx"":89,""dy"":51,""t"":7620},{""x"":1040,""y"":635,""dx"":69,""dy"":84,""t"":7654},{""x"":1024,""y"":728,""dx"":53,""dy"":177,""t"":7688},{""x"":971,""y"":830,""dx"":0,""dy"":279,""t"":7722},{""x"":917,""y"":905,""dx"":-54,""dy"":354,""t"":7756},{""x"":933,""y"":916,""dx"":-38,""dy"":365,""t"":7791},{""x"":952,""y"":903,""dx"":-19,""dy"":352,""t"":7824},{""x"":958,""y"":883,""dx"":-13,""dy"":332,""t"":7858},{""x"":962,""y"":849,""dx"":-9,""dy"":298,""t"":7892},{""x"":996,""y"":817,""dx"":25,""dy"":266,""t"":7926},{""x"":1006,""y"":788,""dx"":35,""dy"":237,""t"":7959},{""x"":1026,""y"":753,""dx"":55,""dy"":202,""t"":7995},{""x"":1042,""y"":724,""dx"":71,""dy"":173,""t"":8026},{""x"":1038,""y"":685,""dx"":67,""dy"":134,""t"":8062},{""x"":1041,""y"":663,""dx"":70,""dy"":112,""t"":8096},{""x"":1057,""y"":628,""dx"":86,""dy"":77,""t"":8130},{""x"":1064,""y"":602,""dx"":93,""dy"":51,""t"":8164},{""x"":1072,""y"":588,""dx"":101,""dy"":37,""t"":8198},{""x"":1061,""y"":568,""dx"":90,""dy"":17,""t"":8233},{""x"":1071,""y"":545,""dx"":100,""dy"":-6,""t"":8266},{""x"":1077,""y"":546,""dx"":106,""dy"":-5,""t"":8300},{""x"":1081,""y"":536,""dx"":110,""dy"":-15,""t"":8334},{""x"":1102,""y"":544,""dx"":131,""dy"":-7,""t"":8368},{""x"":1081,""y"":539,""dx"":110,""dy"":-12,""t"":8402},{""x"":1062,""y"":535,""dx"":91,""dy"":-16,""t"":8434},{""x"":1053,""y"":515,""dx"":82,""dy"":-36,""t"":8470},{""x"":1042,""y"":524,""dx"":71,""dy"":-27,""t"":8504},{""x"":1048,""y"":555,""dx"":77,""dy"":4,""t"":8539},{""x"":1021,""y"":555,""dx"":50,""dy"":4,""t"":8571},{""x"":1052,""y"":584,""dx"":81,""dy"":33,""t"":8605},{""x"":1044,""y"":584,""dx"":73,""dy"":33,""t"":8639},{""x"":1056,""y"":615,""dx"":85,""dy"":64,""t"":8674},{""x"":1055,""y"":625,""dx"":84,""dy"":74,""t"":8707},{""x"":1001,""y"":625,""dx"":30,""dy"":74,""t"":8742},{""x"":1023,""y"":611,""dx"":52,""dy"":60,""t"":8777},{""x"":988,""y"":603,""dx"":17,""dy"":52,""t"":8809},{""x"":1002,""y"":583,""dx"":31,""dy"":32,""t"":8844},{""x"":1005,""y"":583,""dx"":34,""dy"":32,""t"":8878},{""x"":1031,""y"":586,""dx"":60,""dy"":35,""t"":8912},{""x"":1016,""y"":572,""dx"":45,""dy"":21,""t"":8946},{""x"":1001,""y"":579,""dx"":30,""dy"":28,""t"":8980},{""x"":1011,""y"":576,""dx"":40,""dy"":25,""t"":9013}],[{""x"":591,""y"":1083,""dx"":100,""dy"":262,""t"":10032},{""x"":590,""y"":1100,""dx"":99,""dy"":279,""t"":10069},{""x"":555,""y"":1072,""dx"":64,""dy"":251,""t"":10101},{""x"":596,""y"":1012,""dx"":105,""dy"":191,""t"":10136},{""x"":607,""y"":968,""dx"":116,""dy"":147,""t"":10171},{""x"":620,""y"":928,""dx"":129,""dy"":107,""t"":10204},{""x"":626,""y"":887,""dx"":135,""dy"":66,""t"":10238},{""x"":631,""y"":850,""dx"":140,""dy"":29,""t"":10273},{""x"":604,""y"":814,""dx"":113,""dy"":-7,""t"":10306},{""x"":601,""y"":781,""dx"":110,""dy"":-40,""t"":10340},{""x"":578,""y"":756,""dx"":87,""dy"":-65,""t"":10374},{""x"":572,""y"":731,""dx"":81,""dy"":-90,""t"":10407},{""x"":553,""y"":718,""dx"":62,""dy"":-103,""t"":10442},{""x"":598,""y"":701,""dx"":107,""dy"":-120,""t"":10475},{""x"":583,""y"":685,""dx"":92,""dy"":-136,""t"":10510},{""x"":572,""y"":669,""dx"":81,""dy"":-152,""t"":10544},{""x"":582,""y"":669,""dx"":91,""dy"":-152,""t"":10579},{""x"":607,""y"":684,""dx"":116,""dy"":-137,""t"":10611},{""x"":663,""y"":695,""dx"":172,""dy"":-126,""t"":10646},{""x"":625,""y"":691,""dx"":134,""dy"":-130,""t"":10680},{""x"":610,""y"":698,""dx"":119,""dy"":-123,""t"":10714},{""x"":575,""y"":693,""dx"":84,""dy"":-128,""t"":10748},{""x"":547,""y"":682,""dx"":56,""dy"":-139,""t"":10782},{""x"":540,""y"":689,""dx"":49,""dy"":-132,""t"":10816},{""x"":580,""y"":694,""dx"":89,""dy"":-127,""t"":10850},{""x"":582,""y"":698,""dx"":91,""dy"":-123,""t"":10884},{""x"":574,""y"":693,""dx"":83,""dy"":-128,""t"":10918},{""x"":564,""y"":697,""dx"":73,""dy"":-124,""t"":10952},{""x"":563,""y"":727,""dx"":72,""dy"":-94,""t"":10986},{""x"":569,""y"":832,""dx"":78,""dy"":11,""t"":11019},{""x"":575,""y"":939,""dx"":84,""dy"":118,""t"":11054},{""x"":584,""y"":992,""dx"":93,""dy"":171,""t"":11088},{""x"":613,""y"":998,""dx"":122,""dy"":177,""t"":11121},{""x"":609,""y"":981,""dx"":118,""dy"":160,""t"":11156},{""x"":581,""y"":954,""dx"":90,""dy"":133,""t"":11190},{""x"":554,""y"":926,""dx"":63,""dy"":105,""t"":11224},{""x"":558,""y"":898,""dx"":67,""dy"":77,""t"":11258},{""x"":557,""y"":870,""dx"":66,""dy"":49,""t"":11292},{""x"":580,""y"":827,""dx"":89,""dy"":6,""t"":11327},{""x"":605,""y"":806,""dx"":114,""dy"":-15,""t"":11361},{""x"":603,""y"":790,""dx"":112,""dy"":-31,""t"":11394},{""x"":574,""y"":768,""dx"":83,""dy"":-53,""t"":11428},{""x"":559,""y"":754,""dx"":68,""dy"":-67,""t"":11462},{""x"":529,""y"":744,""dx"":38,""dy"":-77,""t"":11495},{""x"":536,""y"":729,""dx"":45,""dy"":-92,""t"":11531},{""x"":518,""y"":721,""dx"":27,""dy"":-100,""t"":11564},{""x"":503,""y"":715,""dx"":12,""dy"":-106,""t"":11596},{""x"":522,""y"":705,""dx"":31,""dy"":-116,""t"":11632},{""x"":543,""y"":706,""dx"":52,""dy"":-115,""t"":11666},{""x"":559,""y"":712,""dx"":68,""dy"":-109,""t"":11701},{""x"":568,""y"":719,""dx"":77,""dy"":-102,""t"":11734},{""x"":563,""y"":733,""dx"":72,""dy"":-88,""t"":11767},{""x"":567,""y"":726,""dx"":76,""dy"":-95,""t"":11802},{""x"":567,""y"":727,""dx"":76,""dy"":-94,""t"":11836},{""x"":562,""y"":732,""dx"":71,""dy"":-89,""t"":11870},{""x"":557,""y"":741,""dx"":66,""dy"":-80,""t"":11904},{""x"":567,""y"":749,""dx"":76,""dy"":-72,""t"":11938},{""x"":576,""y"":755,""dx"":85,""dy"":-66,""t"":11969},{""x"":595,""y"":764,""dx"":104,""dy"":-57,""t"":12005}],[{""x"":1499,""y"":634,""dx"":48,""dy"":-187,""t"":13060},{""x"":1464,""y"":655,""dx"":13,""dy"":-166,""t"":13094},{""x"":1454,""y"":664,""dx"":3,""dy"":-157,""t"":13128},{""x"":1445,""y"":671,""dx"":-6,""dy"":-150,""t"":13160},{""x"":1434,""y"":682,""dx"":-17,""dy"":-139,""t"":13196},{""x"":1416,""y"":688,""dx"":-35,""dy"":-133,""t"":13231},{""x"":1434,""y"":684,""dx"":-17,""dy"":-137,""t"":13264},{""x"":1435,""y"":671,""dx"":-16,""dy"":-150,""t"":13298},{""x"":1421,""y"":682,""dx"":-30,""dy"":-139,""t"":13333},{""x"":1428,""y"":674,""dx"":-23,""dy"":-147,""t"":13367},{""x"":1421,""y"":690,""dx"":-30,""dy"":-131,""t"":13399},{""x"":1424,""y"":706,""dx"":-27,""dy"":-115,""t"":13435},{""x"":1404,""y"":732,""dx"":-47,""dy"":-89,""t"":13467},{""x"":1402,""y"":729,""dx"":-49,""dy"":-92,""t"":13502},{""x"":1419,""y"":724,""dx"":-32,""dy"":-97,""t"":13536},{""x"":1416,""y"":740,""dx"":-35,""dy"":-81,""t"":13567},{""x"":1406,""y"":765,""dx"":-45,""dy"":-56,""t"":13605},{""x"":1386,""y"":756,""dx"":-65,""dy"":-65,""t"":13639},{""x"":1368,""y"":765,""dx"":-83,""dy"":-56,""t"":13673},{""x"":1372,""y"":779,""dx"":-79,""dy"":-42,""t"":13706},{""x"":1377,""y"":769,""dx"":-74,""dy"":-52,""t"":13740},{""x"":1387,""y"":753,""dx"":-64,""dy"":-68,""t"":13774},{""x"":1388,""y"":748,""dx"":-63,""dy"":-73,""t"":13808},{""x"":1410,""y"":740,""dx"":-41,""dy"":-81,""t"":13842},{""x"":1389,""y"":774,""dx"":-62,""dy"":-47,""t"":13876},{""x"":1315,""y"":882,""dx"":-136,""dy"":61,""t"":13910},{""x"":1241,""y"":941,""dx"":-210,""dy"":120,""t"":13945},{""x"":1173,""y"":975,""dx"":-278,""dy"":154,""t"":13978},{""x"":1165,""y"":978,""dx"":-286,""dy"":157,""t"":14012},{""x"":1208,""y"":972,""dx"":-243,""dy"":151,""t"":14046},{""x"":1255,""y"":951,""dx"":-196,""dy"":130,""t"":14080},{""x"":1286,""y"":923,""dx"":-165,""dy"":102,""t"":14114},{""x"":1306,""y"":912,""dx"":-145,""dy"":91,""t"":14148},{""x"":1349,""y"":874,""dx"":-102,""dy"":53,""t"":14181},{""x"":1376,""y"":835,""dx"":-75,""dy"":14,""t"":14216},{""x"":1396,""y"":810,""dx"":-55,""dy"":-11,""t"":14250},{""x"":1383,""y"":792,""dx"":-68,""dy"":-29,""t"":14284},{""x"":1418,""y"":795,""dx"":-33,""dy"":-26,""t"":14318},{""x"":1420,""y"":778,""dx"":-31,""dy"":-43,""t"":14352},{""x"":1438,""y"":771,""dx"":-13,""dy"":-50,""t"":14385},{""x"":1435,""y"":781,""dx"":-16,""dy"":-40,""t"":14420},{""x"":1434,""y"":795,""dx"":-17,""dy"":-26,""t"":14454},{""x"":1426,""y"":795,""dx"":-25,""dy"":-26,""t"":14488},{""x"":1431,""y"":782,""dx"":-20,""dy"":-39,""t"":14522},{""x"":1419,""y"":767,""dx"":-32,""dy"":-54,""t"":14556},{""x"":1419,""y"":789,""dx"":-32,""dy"":-32,""t"":14590},{""x"":1446,""y"":782,""dx"":-5,""dy"":-39,""t"":14624},{""x"":1440,""y"":779,""dx"":-11,""dy"":-42,""t"":14658},{""x"":1467,""y"":769,""dx"":16,""dy"":-52,""t"":14692},{""x"":1453,""y"":765,""dx"":2,""dy"":-56,""t"":14726},{""x"":1445,""y"":737,""dx"":-6,""dy"":-84,""t"":14760},{""x"":1463,""y"":738,""dx"":12,""dy"":-83,""t"":14794},{""x"":1455,""y"":748,""dx"":4,""dy"":-73,""t"":14828},{""x"":1414,""y"":740,""dx"":-37,""dy"":-81,""t"":14861},{""x"":1395,""y"":752,""dx"":-56,""dy"":-69,""t"":14897},{""x"":1389,""y"":756,""dx"":-62,""dy"":-65,""t"":14930},{""x"":1378,""y"":765,""dx"":-73,""dy"":-56,""t"":14965},{""x"":1362,""y"":765,""dx"":-89,""dy"":-56,""t"":14998},{""x"":1364,""y"":764,""dx"":-87,""dy"":-57,""t"":15033}]]","[100,84.7457627118644,66.10169491525424,89.83050847457628,91.52542372881356]","[{""x"":-7,""y"":-36.11666666666667,""r"":75.36363203368126},{""x"":75.01694915254237,""y"":23.491525423728813,""r"":90.78249954423481},{""x"":48.644067796610166,""y"":136.47457627118644,""r"":111.80921725382463},{""x"":85.98305084745763,""y"":-28.152542372881356,""r"":94.98005052181885},{""x"":-58.40677966101695,""y"":-47.559322033898304,""r"":47.731633319055796}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
"","html-keyboard-response","10","85598","0.0-6.0-0.0","","","","","2036"," ","","<p>识别实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，500毫秒的空白间隔后，会呈现一个四个项目的阵列。</p> <p>要求：记忆单个项目的<b>形状（该条件下，颜色为黑色）</b>或者<b>颜色（该条件下，形状为圆且颜色不为黑）</b>，忽略其拓扑特征，并在多个项目阵列中快速找到，</p>并根据数字键盘的 "" 4 "" ,"" 8 "","" 6 "","" 2 "" 进行选择响应，如果不记得或者不存在选择""5""。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","86574","0.0-6.0-1.0","","","","","475"," ","","<p>要求：记忆单个项目的形状。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","87584","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","","","","","","",""
"","canvas-keyboard-response","13","87692","0.0-6.0-2.0-1.0","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","14","89245","0.0-6.0-2.0-2.0","","","","","543","8","","[""triangle"",""star"",""rect"",""ring_1""]","","","","","","","","","","","","[{""x"":985,""y"":569,""t"":5},{""x"":967,""y"":559,""t"":40},{""x"":949,""y"":532,""t"":73},{""x"":933,""y"":504,""t"":106},{""x"":924,""y"":496,""t"":141},{""x"":913,""y"":499,""t"":174},{""x"":910,""y"":501,""t"":208},{""x"":907,""y"":504,""t"":241},{""x"":875,""y"":495,""t"":278},{""x"":904,""y"":470,""t"":310},{""x"":904,""y"":464,""t"":344},{""x"":963,""y"":418,""t"":378},{""x"":1029,""y"":378,""t"":413},{""x"":1083,""y"":350,""t"":446},{""x"":1103,""y"":313,""t"":480},{""x"":1090,""y"":303,""t"":514}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","star","8","true","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]"
"","canvas-keyboard-response","15","90254","0.0-6.0-2.0-0.1","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","16","90364","0.0-6.0-2.0-1.1","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
