success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,response,question_order,load_time,stimulus,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,task,phase,ans,ISI,webgazer_data,webgazer_targets,size,target,response_answer,correct,webgazer_targets_data
TRUE,fullscreen,0,2366,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,preload,1,2371,0.0-1.0,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,
,survey-text,2,21906,0.0-2.0-0.0,,,,,19533,"{""name"":""罗晨曦"",""age"":""23""}",,,,,,,,,,,,,,,,,,,
,survey-multi-choice,3,28498,0.0-2.0-1.0,,,,,6590,{"sex":"女"},[0],,,,,,,,,,,,,,,,,,
,webgazer-init-camera,4,39114,0.0-3.0,,,,,,,,1957,,,,,,,,,,,,,,,,,
,html-button-response,125,212242,0.0-5.0-4.0-0.0,,,,,4459,0,,,"
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ",,,,,,,,,,,,,,,,
,webgazer-calibrate,126,225166,0.0-5.0-4.0-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,html-button-response,127,226562,0.0-5.0-4.0-2.0,,,,,1395,0,,,"
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ",,,,,,,,,,,,,,,,
,webgazer-validate,128,244114,0.0-5.0-4.0-3.0,,,,,,,,,,"[[{""x"":446,""y"":283,""dx"":-45,""dy"":2,""t"":990},{""x"":455,""y"":246,""dx"":-36,""dy"":-35,""t"":1024},{""x"":464,""y"":252,""dx"":-27,""dy"":-29,""t"":1058},{""x"":461,""y"":246,""dx"":-30,""dy"":-35,""t"":1093},{""x"":462,""y"":269,""dx"":-29,""dy"":-12,""t"":1126},{""x"":464,""y"":262,""dx"":-27,""dy"":-19,""t"":1160},{""x"":461,""y"":240,""dx"":-30,""dy"":-41,""t"":1193},{""x"":471,""y"":240,""dx"":-20,""dy"":-41,""t"":1228},{""x"":479,""y"":240,""dx"":-12,""dy"":-41,""t"":1260},{""x"":476,""y"":261,""dx"":-15,""dy"":-20,""t"":1295},{""x"":505,""y"":203,""dx"":14,""dy"":-78,""t"":1330},{""x"":491,""y"":218,""dx"":0,""dy"":-63,""t"":1363},{""x"":492,""y"":232,""dx"":1,""dy"":-49,""t"":1398},{""x"":513,""y"":235,""dx"":22,""dy"":-46,""t"":1433},{""x"":497,""y"":238,""dx"":6,""dy"":-43,""t"":1465},{""x"":479,""y"":291,""dx"":-12,""dy"":10,""t"":1500},{""x"":457,""y"":277,""dx"":-34,""dy"":-4,""t"":1534},{""x"":472,""y"":267,""dx"":-19,""dy"":-14,""t"":1568},{""x"":519,""y"":277,""dx"":28,""dy"":-4,""t"":1602},{""x"":621,""y"":320,""dx"":130,""dy"":39,""t"":1637},{""x"":700,""y"":361,""dx"":209,""dy"":80,""t"":1676},{""x"":710,""y"":410,""dx"":219,""dy"":129,""t"":1704},{""x"":688,""y"":463,""dx"":197,""dy"":182,""t"":1738},{""x"":639,""y"":501,""dx"":148,""dy"":220,""t"":1772},{""x"":598,""y"":488,""dx"":107,""dy"":207,""t"":1805},{""x"":608,""y"":441,""dx"":117,""dy"":160,""t"":1839},{""x"":604,""y"":375,""dx"":113,""dy"":94,""t"":1874},{""x"":562,""y"":345,""dx"":71,""dy"":64,""t"":1909},{""x"":538,""y"":312,""dx"":47,""dy"":31,""t"":1941},{""x"":521,""y"":337,""dx"":30,""dy"":56,""t"":1976},{""x"":498,""y"":344,""dx"":7,""dy"":63,""t"":2009},{""x"":506,""y"":289,""dx"":15,""dy"":8,""t"":2044},{""x"":492,""y"":290,""dx"":1,""dy"":9,""t"":2078},{""x"":456,""y"":296,""dx"":-35,""dy"":15,""t"":2112},{""x"":460,""y"":290,""dx"":-31,""dy"":9,""t"":2146},{""x"":461,""y"":250,""dx"":-30,""dy"":-31,""t"":2180},{""x"":477,""y"":245,""dx"":-14,""dy"":-36,""t"":2214},{""x"":506,""y"":217,""dx"":15,""dy"":-64,""t"":2248},{""x"":513,""y"":231,""dx"":22,""dy"":-50,""t"":2282},{""x"":515,""y"":229,""dx"":24,""dy"":-52,""t"":2316},{""x"":503,""y"":241,""dx"":12,""dy"":-40,""t"":2350},{""x"":484,""y"":262,""dx"":-7,""dy"":-19,""t"":2383},{""x"":459,""y"":302,""dx"":-32,""dy"":21,""t"":2418},{""x"":448,""y"":301,""dx"":-43,""dy"":20,""t"":2450},{""x"":456,""y"":307,""dx"":-35,""dy"":26,""t"":2486},{""x"":460,""y"":308,""dx"":-31,""dy"":27,""t"":2520},{""x"":452,""y"":319,""dx"":-39,""dy"":38,""t"":2554},{""x"":413,""y"":360,""dx"":-78,""dy"":79,""t"":2588},{""x"":425,""y"":350,""dx"":-66,""dy"":69,""t"":2622},{""x"":436,""y"":334,""dx"":-55,""dy"":53,""t"":2656},{""x"":380,""y"":368,""dx"":-111,""dy"":87,""t"":2689},{""x"":410,""y"":333,""dx"":-81,""dy"":52,""t"":2724},{""x"":433,""y"":382,""dx"":-58,""dy"":101,""t"":2757},{""x"":444,""y"":366,""dx"":-47,""dy"":85,""t"":2793},{""x"":437,""y"":362,""dx"":-54,""dy"":81,""t"":2825},{""x"":433,""y"":367,""dx"":-58,""dy"":86,""t"":2857},{""x"":443,""y"":333,""dx"":-48,""dy"":52,""t"":2893},{""x"":461,""y"":299,""dx"":-30,""dy"":18,""t"":2927},{""x"":381,""y"":327,""dx"":-110,""dy"":46,""t"":2962}],[{""x"":1279,""y"":331,""dx"":-172,""dy"":50,""t"":4016},{""x"":1290,""y"":293,""dx"":-161,""dy"":12,""t"":4049},{""x"":1295,""y"":292,""dx"":-156,""dy"":11,""t"":4084},{""x"":1296,""y"":277,""dx"":-155,""dy"":-4,""t"":4117},{""x"":1312,""y"":279,""dx"":-139,""dy"":-2,""t"":4152},{""x"":1268,""y"":319,""dx"":-183,""dy"":38,""t"":4187},{""x"":1272,""y"":290,""dx"":-179,""dy"":9,""t"":4220},{""x"":1260,""y"":280,""dx"":-191,""dy"":-1,""t"":4254},{""x"":1301,""y"":281,""dx"":-150,""dy"":0,""t"":4288},{""x"":1323,""y"":290,""dx"":-128,""dy"":9,""t"":4323},{""x"":1351,""y"":285,""dx"":-100,""dy"":4,""t"":4355},{""x"":1329,""y"":241,""dx"":-122,""dy"":-40,""t"":4389},{""x"":1309,""y"":204,""dx"":-142,""dy"":-77,""t"":4421},{""x"":1360,""y"":229,""dx"":-91,""dy"":-52,""t"":4458},{""x"":1346,""y"":221,""dx"":-105,""dy"":-60,""t"":4492},{""x"":1354,""y"":206,""dx"":-97,""dy"":-75,""t"":4526},{""x"":1382,""y"":208,""dx"":-69,""dy"":-73,""t"":4560},{""x"":1375,""y"":241,""dx"":-76,""dy"":-40,""t"":4595},{""x"":1405,""y"":225,""dx"":-46,""dy"":-56,""t"":4628},{""x"":1386,""y"":240,""dx"":-65,""dy"":-41,""t"":4662},{""x"":1353,""y"":260,""dx"":-98,""dy"":-21,""t"":4695},{""x"":1330,""y"":255,""dx"":-121,""dy"":-26,""t"":4731},{""x"":1320,""y"":296,""dx"":-131,""dy"":15,""t"":4764},{""x"":1313,""y"":291,""dx"":-138,""dy"":10,""t"":4803},{""x"":1304,""y"":296,""dx"":-147,""dy"":15,""t"":4831},{""x"":1297,""y"":262,""dx"":-154,""dy"":-19,""t"":4866},{""x"":1280,""y"":269,""dx"":-171,""dy"":-12,""t"":4899},{""x"":1281,""y"":290,""dx"":-170,""dy"":9,""t"":4934},{""x"":1262,""y"":279,""dx"":-189,""dy"":-2,""t"":4967},{""x"":1261,""y"":265,""dx"":-190,""dy"":-16,""t"":5002},{""x"":1245,""y"":272,""dx"":-206,""dy"":-9,""t"":5037},{""x"":1280,""y"":269,""dx"":-171,""dy"":-12,""t"":5070},{""x"":1277,""y"":269,""dx"":-174,""dy"":-12,""t"":5103},{""x"":1268,""y"":279,""dx"":-183,""dy"":-2,""t"":5138},{""x"":1300,""y"":231,""dx"":-151,""dy"":-50,""t"":5172},{""x"":1325,""y"":264,""dx"":-126,""dy"":-17,""t"":5206},{""x"":1348,""y"":261,""dx"":-103,""dy"":-20,""t"":5241},{""x"":1328,""y"":241,""dx"":-123,""dy"":-40,""t"":5274},{""x"":1309,""y"":252,""dx"":-142,""dy"":-29,""t"":5308},{""x"":1333,""y"":230,""dx"":-118,""dy"":-51,""t"":5342},{""x"":1347,""y"":234,""dx"":-104,""dy"":-47,""t"":5376},{""x"":1362,""y"":219,""dx"":-89,""dy"":-62,""t"":5410},{""x"":1411,""y"":215,""dx"":-40,""dy"":-66,""t"":5444},{""x"":1443,""y"":216,""dx"":-8,""dy"":-65,""t"":5478},{""x"":1443,""y"":216,""dx"":-8,""dy"":-65,""t"":5512},{""x"":1473,""y"":212,""dx"":22,""dy"":-69,""t"":5546},{""x"":1442,""y"":241,""dx"":-9,""dy"":-40,""t"":5581},{""x"":1413,""y"":209,""dx"":-38,""dy"":-72,""t"":5614},{""x"":1416,""y"":244,""dx"":-35,""dy"":-37,""t"":5648},{""x"":1432,""y"":203,""dx"":-19,""dy"":-78,""t"":5682},{""x"":1395,""y"":242,""dx"":-56,""dy"":-39,""t"":5716},{""x"":1344,""y"":261,""dx"":-107,""dy"":-20,""t"":5749},{""x"":1298,""y"":313,""dx"":-153,""dy"":32,""t"":5784},{""x"":1268,""y"":343,""dx"":-183,""dy"":62,""t"":5817},{""x"":1250,""y"":354,""dx"":-201,""dy"":73,""t"":5852},{""x"":1271,""y"":325,""dx"":-180,""dy"":44,""t"":5886},{""x"":1266,""y"":299,""dx"":-185,""dy"":18,""t"":5920},{""x"":1261,""y"":305,""dx"":-190,""dy"":24,""t"":5954},{""x"":1245,""y"":302,""dx"":-206,""dy"":21,""t"":5988}],[{""x"":866,""y"":527,""dx"":-105,""dy"":-24,""t"":7008},{""x"":844,""y"":519,""dx"":-127,""dy"":-32,""t"":7042},{""x"":859,""y"":497,""dx"":-112,""dy"":-54,""t"":7076},{""x"":900,""y"":479,""dx"":-71,""dy"":-72,""t"":7110},{""x"":889,""y"":478,""dx"":-82,""dy"":-73,""t"":7144},{""x"":948,""y"":482,""dx"":-23,""dy"":-69,""t"":7178},{""x"":1013,""y"":543,""dx"":42,""dy"":-8,""t"":7212},{""x"":1037,""y"":571,""dx"":66,""dy"":20,""t"":7246},{""x"":1059,""y"":540,""dx"":88,""dy"":-11,""t"":7280},{""x"":987,""y"":600,""dx"":16,""dy"":49,""t"":7314},{""x"":956,""y"":645,""dx"":-15,""dy"":94,""t"":7348},{""x"":940,""y"":684,""dx"":-31,""dy"":133,""t"":7382},{""x"":907,""y"":689,""dx"":-64,""dy"":138,""t"":7416},{""x"":912,""y"":657,""dx"":-59,""dy"":106,""t"":7449},{""x"":953,""y"":656,""dx"":-18,""dy"":105,""t"":7484},{""x"":965,""y"":649,""dx"":-6,""dy"":98,""t"":7518},{""x"":970,""y"":620,""dx"":-1,""dy"":69,""t"":7551},{""x"":970,""y"":627,""dx"":-1,""dy"":76,""t"":7583},{""x"":971,""y"":588,""dx"":0,""dy"":37,""t"":7620},{""x"":948,""y"":563,""dx"":-23,""dy"":12,""t"":7654},{""x"":899,""y"":579,""dx"":-72,""dy"":28,""t"":7688},{""x"":943,""y"":561,""dx"":-28,""dy"":10,""t"":7722},{""x"":941,""y"":546,""dx"":-30,""dy"":-5,""t"":7756},{""x"":971,""y"":524,""dx"":0,""dy"":-27,""t"":7790},{""x"":981,""y"":510,""dx"":10,""dy"":-41,""t"":7824},{""x"":966,""y"":552,""dx"":-5,""dy"":1,""t"":7858},{""x"":976,""y"":531,""dx"":5,""dy"":-20,""t"":7892},{""x"":934,""y"":530,""dx"":-37,""dy"":-21,""t"":7931},{""x"":898,""y"":531,""dx"":-73,""dy"":-20,""t"":7960},{""x"":886,""y"":536,""dx"":-85,""dy"":-15,""t"":7991},{""x"":898,""y"":503,""dx"":-73,""dy"":-48,""t"":8028},{""x"":879,""y"":503,""dx"":-92,""dy"":-48,""t"":8062},{""x"":874,""y"":466,""dx"":-97,""dy"":-85,""t"":8096},{""x"":866,""y"":476,""dx"":-105,""dy"":-75,""t"":8130},{""x"":904,""y"":480,""dx"":-67,""dy"":-71,""t"":8165},{""x"":911,""y"":482,""dx"":-60,""dy"":-69,""t"":8198},{""x"":900,""y"":506,""dx"":-71,""dy"":-45,""t"":8232},{""x"":915,""y"":521,""dx"":-56,""dy"":-30,""t"":8266},{""x"":935,""y"":530,""dx"":-36,""dy"":-21,""t"":8300},{""x"":919,""y"":529,""dx"":-52,""dy"":-22,""t"":8334},{""x"":894,""y"":551,""dx"":-77,""dy"":0,""t"":8368},{""x"":942,""y"":490,""dx"":-29,""dy"":-61,""t"":8403},{""x"":988,""y"":488,""dx"":17,""dy"":-63,""t"":8436},{""x"":987,""y"":478,""dx"":16,""dy"":-73,""t"":8470},{""x"":998,""y"":479,""dx"":27,""dy"":-72,""t"":8504},{""x"":1027,""y"":473,""dx"":56,""dy"":-78,""t"":8537},{""x"":991,""y"":496,""dx"":20,""dy"":-55,""t"":8572},{""x"":943,""y"":487,""dx"":-28,""dy"":-64,""t"":8606},{""x"":935,""y"":477,""dx"":-36,""dy"":-74,""t"":8640},{""x"":936,""y"":520,""dx"":-35,""dy"":-31,""t"":8673},{""x"":962,""y"":534,""dx"":-9,""dy"":-17,""t"":8708},{""x"":966,""y"":541,""dx"":-5,""dy"":-10,""t"":8741},{""x"":962,""y"":506,""dx"":-9,""dy"":-45,""t"":8776},{""x"":976,""y"":470,""dx"":5,""dy"":-81,""t"":8809},{""x"":1024,""y"":446,""dx"":53,""dy"":-105,""t"":8843},{""x"":1023,""y"":450,""dx"":52,""dy"":-101,""t"":8878},{""x"":1018,""y"":500,""dx"":47,""dy"":-51,""t"":8911},{""x"":971,""y"":515,""dx"":0,""dy"":-36,""t"":8946},{""x"":964,""y"":489,""dx"":-7,""dy"":-62,""t"":8980},{""x"":963,""y"":516,""dx"":-8,""dy"":-35,""t"":9014}],[{""x"":522,""y"":759,""dx"":31,""dy"":-62,""t"":10035},{""x"":508,""y"":753,""dx"":17,""dy"":-68,""t"":10069},{""x"":556,""y"":705,""dx"":65,""dy"":-116,""t"":10102},{""x"":573,""y"":715,""dx"":82,""dy"":-106,""t"":10136},{""x"":585,""y"":725,""dx"":94,""dy"":-96,""t"":10169},{""x"":585,""y"":719,""dx"":94,""dy"":-102,""t"":10204},{""x"":590,""y"":723,""dx"":99,""dy"":-98,""t"":10238},{""x"":575,""y"":731,""dx"":84,""dy"":-90,""t"":10272},{""x"":565,""y"":717,""dx"":74,""dy"":-104,""t"":10306},{""x"":567,""y"":701,""dx"":76,""dy"":-120,""t"":10340},{""x"":574,""y"":691,""dx"":83,""dy"":-130,""t"":10373},{""x"":558,""y"":706,""dx"":67,""dy"":-115,""t"":10409},{""x"":544,""y"":729,""dx"":53,""dy"":-92,""t"":10441},{""x"":549,""y"":709,""dx"":58,""dy"":-112,""t"":10476},{""x"":565,""y"":720,""dx"":74,""dy"":-101,""t"":10510},{""x"":585,""y"":721,""dx"":94,""dy"":-100,""t"":10543},{""x"":584,""y"":726,""dx"":93,""dy"":-95,""t"":10577},{""x"":575,""y"":705,""dx"":84,""dy"":-116,""t"":10612},{""x"":572,""y"":704,""dx"":81,""dy"":-117,""t"":10647},{""x"":600,""y"":689,""dx"":109,""dy"":-132,""t"":10680},{""x"":562,""y"":665,""dx"":71,""dy"":-156,""t"":10714},{""x"":534,""y"":607,""dx"":43,""dy"":-214,""t"":10748},{""x"":550,""y"":655,""dx"":59,""dy"":-166,""t"":10782},{""x"":542,""y"":657,""dx"":51,""dy"":-164,""t"":10816},{""x"":533,""y"":645,""dx"":42,""dy"":-176,""t"":10849},{""x"":559,""y"":622,""dx"":68,""dy"":-199,""t"":10884},{""x"":556,""y"":596,""dx"":65,""dy"":-225,""t"":10918},{""x"":549,""y"":587,""dx"":58,""dy"":-234,""t"":10952},{""x"":528,""y"":624,""dx"":37,""dy"":-197,""t"":10986},{""x"":505,""y"":623,""dx"":14,""dy"":-198,""t"":11020},{""x"":476,""y"":666,""dx"":-15,""dy"":-155,""t"":11059},{""x"":468,""y"":695,""dx"":-23,""dy"":-126,""t"":11089},{""x"":465,""y"":658,""dx"":-26,""dy"":-163,""t"":11122},{""x"":463,""y"":626,""dx"":-28,""dy"":-195,""t"":11153},{""x"":501,""y"":646,""dx"":10,""dy"":-175,""t"":11190},{""x"":480,""y"":673,""dx"":-11,""dy"":-148,""t"":11224},{""x"":479,""y"":697,""dx"":-12,""dy"":-124,""t"":11258},{""x"":472,""y"":708,""dx"":-19,""dy"":-113,""t"":11293},{""x"":454,""y"":711,""dx"":-37,""dy"":-110,""t"":11326},{""x"":448,""y"":702,""dx"":-43,""dy"":-119,""t"":11359},{""x"":447,""y"":692,""dx"":-44,""dy"":-129,""t"":11393},{""x"":473,""y"":736,""dx"":-18,""dy"":-85,""t"":11428},{""x"":498,""y"":749,""dx"":7,""dy"":-72,""t"":11462},{""x"":528,""y"":744,""dx"":37,""dy"":-77,""t"":11496},{""x"":530,""y"":755,""dx"":39,""dy"":-66,""t"":11530},{""x"":556,""y"":764,""dx"":65,""dy"":-57,""t"":11562},{""x"":558,""y"":770,""dx"":67,""dy"":-51,""t"":11598},{""x"":551,""y"":765,""dx"":60,""dy"":-56,""t"":11631},{""x"":545,""y"":747,""dx"":54,""dy"":-74,""t"":11666},{""x"":526,""y"":764,""dx"":35,""dy"":-57,""t"":11700},{""x"":522,""y"":765,""dx"":31,""dy"":-56,""t"":11734},{""x"":494,""y"":754,""dx"":3,""dy"":-67,""t"":11768},{""x"":519,""y"":749,""dx"":28,""dy"":-72,""t"":11801},{""x"":543,""y"":748,""dx"":52,""dy"":-73,""t"":11837},{""x"":509,""y"":714,""dx"":18,""dy"":-107,""t"":11870},{""x"":504,""y"":741,""dx"":13,""dy"":-80,""t"":11904},{""x"":498,""y"":733,""dx"":7,""dy"":-88,""t"":11939},{""x"":490,""y"":732,""dx"":-1,""dy"":-89,""t"":11971},{""x"":511,""y"":698,""dx"":20,""dy"":-123,""t"":12005}],[{""x"":1398,""y"":694,""dx"":-53,""dy"":-127,""t"":13027},{""x"":1427,""y"":657,""dx"":-24,""dy"":-164,""t"":13061},{""x"":1445,""y"":661,""dx"":-6,""dy"":-160,""t"":13094},{""x"":1409,""y"":692,""dx"":-42,""dy"":-129,""t"":13128},{""x"":1377,""y"":719,""dx"":-74,""dy"":-102,""t"":13159},{""x"":1356,""y"":693,""dx"":-95,""dy"":-128,""t"":13196},{""x"":1347,""y"":728,""dx"":-104,""dy"":-93,""t"":13230},{""x"":1331,""y"":757,""dx"":-120,""dy"":-64,""t"":13264},{""x"":1332,""y"":767,""dx"":-119,""dy"":-54,""t"":13298},{""x"":1330,""y"":766,""dx"":-121,""dy"":-55,""t"":13332},{""x"":1346,""y"":788,""dx"":-105,""dy"":-33,""t"":13366},{""x"":1367,""y"":746,""dx"":-84,""dy"":-75,""t"":13399},{""x"":1366,""y"":763,""dx"":-85,""dy"":-58,""t"":13434},{""x"":1332,""y"":767,""dx"":-119,""dy"":-54,""t"":13467},{""x"":1309,""y"":783,""dx"":-142,""dy"":-38,""t"":13502},{""x"":1277,""y"":737,""dx"":-174,""dy"":-84,""t"":13533},{""x"":1305,""y"":721,""dx"":-146,""dy"":-100,""t"":13570},{""x"":1299,""y"":732,""dx"":-152,""dy"":-89,""t"":13604},{""x"":1276,""y"":731,""dx"":-175,""dy"":-90,""t"":13638},{""x"":1294,""y"":748,""dx"":-157,""dy"":-73,""t"":13672},{""x"":1310,""y"":744,""dx"":-141,""dy"":-77,""t"":13705},{""x"":1326,""y"":721,""dx"":-125,""dy"":-100,""t"":13740},{""x"":1343,""y"":726,""dx"":-108,""dy"":-95,""t"":13773},{""x"":1379,""y"":721,""dx"":-72,""dy"":-100,""t"":13808},{""x"":1411,""y"":672,""dx"":-40,""dy"":-149,""t"":13842},{""x"":1427,""y"":685,""dx"":-24,""dy"":-136,""t"":13876},{""x"":1426,""y"":723,""dx"":-25,""dy"":-98,""t"":13910},{""x"":1416,""y"":706,""dx"":-35,""dy"":-115,""t"":13943},{""x"":1423,""y"":688,""dx"":-28,""dy"":-133,""t"":13978},{""x"":1423,""y"":669,""dx"":-28,""dy"":-152,""t"":14012},{""x"":1451,""y"":671,""dx"":0,""dy"":-150,""t"":14047},{""x"":1415,""y"":668,""dx"":-36,""dy"":-153,""t"":14080},{""x"":1446,""y"":675,""dx"":-5,""dy"":-146,""t"":14113},{""x"":1431,""y"":682,""dx"":-20,""dy"":-139,""t"":14148},{""x"":1445,""y"":662,""dx"":-6,""dy"":-159,""t"":14182},{""x"":1429,""y"":666,""dx"":-22,""dy"":-155,""t"":14222},{""x"":1470,""y"":658,""dx"":19,""dy"":-163,""t"":14250},{""x"":1473,""y"":629,""dx"":22,""dy"":-192,""t"":14283},{""x"":1477,""y"":622,""dx"":26,""dy"":-199,""t"":14318},{""x"":1457,""y"":640,""dx"":6,""dy"":-181,""t"":14351},{""x"":1457,""y"":657,""dx"":6,""dy"":-164,""t"":14386},{""x"":1446,""y"":672,""dx"":-5,""dy"":-149,""t"":14421},{""x"":1411,""y"":695,""dx"":-40,""dy"":-126,""t"":14454},{""x"":1367,""y"":728,""dx"":-84,""dy"":-93,""t"":14487},{""x"":1314,""y"":759,""dx"":-137,""dy"":-62,""t"":14522},{""x"":1260,""y"":768,""dx"":-191,""dy"":-53,""t"":14556},{""x"":1261,""y"":731,""dx"":-190,""dy"":-90,""t"":14590},{""x"":1287,""y"":701,""dx"":-164,""dy"":-120,""t"":14623},{""x"":1246,""y"":714,""dx"":-205,""dy"":-107,""t"":14657},{""x"":1309,""y"":662,""dx"":-142,""dy"":-159,""t"":14692},{""x"":1341,""y"":644,""dx"":-110,""dy"":-177,""t"":14723},{""x"":1388,""y"":636,""dx"":-63,""dy"":-185,""t"":14760},{""x"":1398,""y"":699,""dx"":-53,""dy"":-122,""t"":14793},{""x"":1392,""y"":709,""dx"":-59,""dy"":-112,""t"":14827},{""x"":1396,""y"":752,""dx"":-55,""dy"":-69,""t"":14863},{""x"":1382,""y"":767,""dx"":-69,""dy"":-54,""t"":14896},{""x"":1360,""y"":761,""dx"":-91,""dy"":-60,""t"":14930},{""x"":1378,""y"":723,""dx"":-73,""dy"":-98,""t"":14964},{""x"":1364,""y"":729,""dx"":-87,""dy"":-92,""t"":14998},{""x"":1360,""y"":718,""dx"":-91,""dy"":-103,""t"":15032}]]","[91.52542372881356,94.91525423728814,100,91.52542372881356,90]","[{""x"":2.135593220338983,""y"":24.627118644067796,""r"":67.73543850464714},{""x"":-124.10169491525424,""y"":-18.016949152542374,""r"":56.27288643541958},{""x"":-25,""y"":-19.066666666666666,""r"":91.67211175204024},{""x"":38.79661016949152,""y"":-117.08474576271186,""r"":57.227299460176695},{""x"":-77.36666666666666,""y"":-112.61666666666666,""r"":104.6183851992852}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]",29.42,validate,,,,,,,,,,
,html-button-response,129,245210,0.0-5.0-4.0-4.0-0.0-0.0,,,,,1095,0,,,"
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ",,,,,,,recalibration,,,,,,,,,
,webgazer-calibrate,130,257486,0.0-5.0-4.0-4.0-0.0-1.0,,,,,,,,,,,,,,,,recalibration,,,,,,,,,
,html-button-response,131,260442,0.0-5.0-4.0-4.0-0.0-2.0,,,,,2955,0,,,"
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ",,,,,,,recalibration,,,,,,,,,
