"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","1754","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1758","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","4250","0.0-2.0-0.0","","","","","2490","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","5738","0.0-2.0-1.0","","","","","1487","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","6274","0.0-3.0","","","","","534"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","11055","0.0-4.0","","","","","","","","","2116","","","","","","","","","","","","","","","",""
"","html-button-response","6","12090","0.0-5.0-0.0","","","","","1033","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","22669","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","23225","0.0-5.0-2.0","","","","","556","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","40622","0.0-5.0-3.0","","","","","","","","","","[[{""x"":449,""y"":446,""dx"":-42,""dy"":165,""t"":988},{""x"":444,""y"":435,""dx"":-47,""dy"":154,""t"":1024},{""x"":450,""y"":440,""dx"":-41,""dy"":159,""t"":1059},{""x"":446,""y"":443,""dx"":-45,""dy"":162,""t"":1092},{""x"":432,""y"":431,""dx"":-59,""dy"":150,""t"":1126},{""x"":452,""y"":441,""dx"":-39,""dy"":160,""t"":1159},{""x"":459,""y"":436,""dx"":-32,""dy"":155,""t"":1194},{""x"":449,""y"":428,""dx"":-42,""dy"":147,""t"":1227},{""x"":460,""y"":429,""dx"":-31,""dy"":148,""t"":1261},{""x"":475,""y"":414,""dx"":-16,""dy"":133,""t"":1296},{""x"":476,""y"":407,""dx"":-15,""dy"":126,""t"":1332},{""x"":474,""y"":397,""dx"":-17,""dy"":116,""t"":1364},{""x"":472,""y"":388,""dx"":-19,""dy"":107,""t"":1396},{""x"":481,""y"":396,""dx"":-10,""dy"":115,""t"":1434},{""x"":487,""y"":405,""dx"":-4,""dy"":124,""t"":1468},{""x"":491,""y"":411,""dx"":0,""dy"":130,""t"":1500},{""x"":499,""y"":423,""dx"":8,""dy"":142,""t"":1534},{""x"":493,""y"":418,""dx"":2,""dy"":137,""t"":1568},{""x"":483,""y"":403,""dx"":-8,""dy"":122,""t"":1602},{""x"":482,""y"":413,""dx"":-9,""dy"":132,""t"":1636},{""x"":512,""y"":436,""dx"":21,""dy"":155,""t"":1669},{""x"":506,""y"":431,""dx"":15,""dy"":150,""t"":1704},{""x"":500,""y"":424,""dx"":9,""dy"":143,""t"":1737},{""x"":479,""y"":418,""dx"":-12,""dy"":137,""t"":1772},{""x"":481,""y"":415,""dx"":-10,""dy"":134,""t"":1805},{""x"":509,""y"":422,""dx"":18,""dy"":141,""t"":1840},{""x"":495,""y"":411,""dx"":4,""dy"":130,""t"":1874},{""x"":485,""y"":406,""dx"":-6,""dy"":125,""t"":1908},{""x"":492,""y"":423,""dx"":1,""dy"":142,""t"":1942},{""x"":499,""y"":405,""dx"":8,""dy"":124,""t"":1976},{""x"":492,""y"":398,""dx"":1,""dy"":117,""t"":2009},{""x"":494,""y"":409,""dx"":3,""dy"":128,""t"":2044},{""x"":475,""y"":411,""dx"":-16,""dy"":130,""t"":2078},{""x"":472,""y"":425,""dx"":-19,""dy"":144,""t"":2112},{""x"":478,""y"":450,""dx"":-13,""dy"":169,""t"":2146},{""x"":488,""y"":447,""dx"":-3,""dy"":166,""t"":2181},{""x"":495,""y"":446,""dx"":4,""dy"":165,""t"":2215},{""x"":512,""y"":451,""dx"":21,""dy"":170,""t"":2247},{""x"":512,""y"":453,""dx"":21,""dy"":172,""t"":2282},{""x"":506,""y"":461,""dx"":15,""dy"":180,""t"":2315},{""x"":505,""y"":473,""dx"":14,""dy"":192,""t"":2349},{""x"":481,""y"":477,""dx"":-10,""dy"":196,""t"":2384},{""x"":457,""y"":476,""dx"":-34,""dy"":195,""t"":2418},{""x"":468,""y"":472,""dx"":-23,""dy"":191,""t"":2451},{""x"":463,""y"":446,""dx"":-28,""dy"":165,""t"":2486},{""x"":456,""y"":453,""dx"":-35,""dy"":172,""t"":2519},{""x"":449,""y"":459,""dx"":-42,""dy"":178,""t"":2553},{""x"":444,""y"":464,""dx"":-47,""dy"":183,""t"":2586},{""x"":437,""y"":464,""dx"":-54,""dy"":183,""t"":2621},{""x"":418,""y"":449,""dx"":-73,""dy"":168,""t"":2655},{""x"":432,""y"":456,""dx"":-59,""dy"":175,""t"":2690},{""x"":440,""y"":452,""dx"":-51,""dy"":171,""t"":2724},{""x"":441,""y"":447,""dx"":-50,""dy"":166,""t"":2758},{""x"":443,""y"":458,""dx"":-48,""dy"":177,""t"":2791},{""x"":457,""y"":458,""dx"":-34,""dy"":177,""t"":2826},{""x"":466,""y"":458,""dx"":-25,""dy"":177,""t"":2861},{""x"":469,""y"":467,""dx"":-22,""dy"":186,""t"":2894},{""x"":460,""y"":468,""dx"":-31,""dy"":187,""t"":2928},{""x"":467,""y"":469,""dx"":-24,""dy"":188,""t"":2962}],[{""x"":1522,""y"":287,""dx"":71,""dy"":6,""t"":4015},{""x"":1520,""y"":295,""dx"":69,""dy"":14,""t"":4050},{""x"":1505,""y"":313,""dx"":54,""dy"":32,""t"":4083},{""x"":1490,""y"":337,""dx"":39,""dy"":56,""t"":4118},{""x"":1474,""y"":341,""dx"":23,""dy"":60,""t"":4151},{""x"":1459,""y"":338,""dx"":8,""dy"":57,""t"":4186},{""x"":1461,""y"":330,""dx"":10,""dy"":49,""t"":4220},{""x"":1469,""y"":330,""dx"":18,""dy"":49,""t"":4255},{""x"":1466,""y"":334,""dx"":15,""dy"":53,""t"":4288},{""x"":1452,""y"":340,""dx"":1,""dy"":59,""t"":4321},{""x"":1449,""y"":358,""dx"":-2,""dy"":77,""t"":4356},{""x"":1447,""y"":381,""dx"":-4,""dy"":100,""t"":4390},{""x"":1452,""y"":397,""dx"":1,""dy"":116,""t"":4423},{""x"":1433,""y"":399,""dx"":-18,""dy"":118,""t"":4457},{""x"":1416,""y"":395,""dx"":-35,""dy"":114,""t"":4492},{""x"":1425,""y"":391,""dx"":-26,""dy"":110,""t"":4526},{""x"":1433,""y"":386,""dx"":-18,""dy"":105,""t"":4557},{""x"":1425,""y"":388,""dx"":-26,""dy"":107,""t"":4594},{""x"":1433,""y"":391,""dx"":-18,""dy"":110,""t"":4628},{""x"":1447,""y"":398,""dx"":-4,""dy"":117,""t"":4662},{""x"":1443,""y"":408,""dx"":-8,""dy"":127,""t"":4695},{""x"":1434,""y"":397,""dx"":-17,""dy"":116,""t"":4731},{""x"":1428,""y"":385,""dx"":-23,""dy"":104,""t"":4765},{""x"":1416,""y"":373,""dx"":-35,""dy"":92,""t"":4798},{""x"":1412,""y"":360,""dx"":-39,""dy"":79,""t"":4832},{""x"":1409,""y"":364,""dx"":-42,""dy"":83,""t"":4865},{""x"":1408,""y"":345,""dx"":-43,""dy"":64,""t"":4899},{""x"":1401,""y"":337,""dx"":-50,""dy"":56,""t"":4934},{""x"":1396,""y"":330,""dx"":-55,""dy"":49,""t"":4965},{""x"":1384,""y"":335,""dx"":-67,""dy"":54,""t"":5001},{""x"":1402,""y"":343,""dx"":-49,""dy"":62,""t"":5037},{""x"":1411,""y"":356,""dx"":-40,""dy"":75,""t"":5069},{""x"":1424,""y"":340,""dx"":-27,""dy"":59,""t"":5103},{""x"":1429,""y"":338,""dx"":-22,""dy"":57,""t"":5138},{""x"":1440,""y"":322,""dx"":-11,""dy"":41,""t"":5172},{""x"":1466,""y"":309,""dx"":15,""dy"":28,""t"":5207},{""x"":1457,""y"":307,""dx"":6,""dy"":26,""t"":5240},{""x"":1462,""y"":297,""dx"":11,""dy"":16,""t"":5274},{""x"":1480,""y"":313,""dx"":29,""dy"":32,""t"":5308},{""x"":1478,""y"":324,""dx"":27,""dy"":43,""t"":5342},{""x"":1477,""y"":322,""dx"":26,""dy"":41,""t"":5376},{""x"":1454,""y"":333,""dx"":3,""dy"":52,""t"":5409},{""x"":1462,""y"":331,""dx"":11,""dy"":50,""t"":5445},{""x"":1455,""y"":333,""dx"":4,""dy"":52,""t"":5478},{""x"":1452,""y"":329,""dx"":1,""dy"":48,""t"":5511},{""x"":1432,""y"":360,""dx"":-19,""dy"":79,""t"":5546},{""x"":1433,""y"":358,""dx"":-18,""dy"":77,""t"":5579},{""x"":1441,""y"":359,""dx"":-10,""dy"":78,""t"":5614},{""x"":1454,""y"":371,""dx"":3,""dy"":90,""t"":5648},{""x"":1465,""y"":392,""dx"":14,""dy"":111,""t"":5682},{""x"":1460,""y"":403,""dx"":9,""dy"":122,""t"":5716},{""x"":1453,""y"":394,""dx"":2,""dy"":113,""t"":5751},{""x"":1456,""y"":401,""dx"":5,""dy"":120,""t"":5784},{""x"":1447,""y"":410,""dx"":-4,""dy"":129,""t"":5819},{""x"":1448,""y"":413,""dx"":-3,""dy"":132,""t"":5852},{""x"":1442,""y"":412,""dx"":-9,""dy"":131,""t"":5887},{""x"":1440,""y"":400,""dx"":-11,""dy"":119,""t"":5920},{""x"":1442,""y"":424,""dx"":-9,""dy"":143,""t"":5955},{""x"":1447,""y"":425,""dx"":-4,""dy"":144,""t"":5988}],[{""x"":853,""y"":636,""dx"":-118,""dy"":85,""t"":7008},{""x"":896,""y"":596,""dx"":-75,""dy"":45,""t"":7041},{""x"":905,""y"":572,""dx"":-66,""dy"":21,""t"":7075},{""x"":889,""y"":544,""dx"":-82,""dy"":-7,""t"":7111},{""x"":913,""y"":525,""dx"":-58,""dy"":-26,""t"":7145},{""x"":946,""y"":520,""dx"":-25,""dy"":-31,""t"":7178},{""x"":934,""y"":502,""dx"":-37,""dy"":-49,""t"":7211},{""x"":980,""y"":516,""dx"":9,""dy"":-35,""t"":7245},{""x"":979,""y"":502,""dx"":8,""dy"":-49,""t"":7280},{""x"":989,""y"":495,""dx"":18,""dy"":-56,""t"":7314},{""x"":1014,""y"":525,""dx"":43,""dy"":-26,""t"":7348},{""x"":995,""y"":545,""dx"":24,""dy"":-6,""t"":7382},{""x"":1012,""y"":547,""dx"":41,""dy"":-4,""t"":7415},{""x"":985,""y"":546,""dx"":14,""dy"":-5,""t"":7450},{""x"":982,""y"":561,""dx"":11,""dy"":10,""t"":7484},{""x"":958,""y"":549,""dx"":-13,""dy"":-2,""t"":7518},{""x"":952,""y"":560,""dx"":-19,""dy"":9,""t"":7551},{""x"":938,""y"":541,""dx"":-33,""dy"":-10,""t"":7586},{""x"":948,""y"":531,""dx"":-23,""dy"":-20,""t"":7620},{""x"":908,""y"":525,""dx"":-63,""dy"":-26,""t"":7655},{""x"":922,""y"":524,""dx"":-49,""dy"":-27,""t"":7687},{""x"":991,""y"":553,""dx"":20,""dy"":2,""t"":7722},{""x"":1050,""y"":577,""dx"":79,""dy"":26,""t"":7754},{""x"":1017,""y"":574,""dx"":46,""dy"":23,""t"":7790},{""x"":1040,""y"":589,""dx"":69,""dy"":38,""t"":7825},{""x"":994,""y"":574,""dx"":23,""dy"":23,""t"":7858},{""x"":1001,""y"":593,""dx"":30,""dy"":42,""t"":7891},{""x"":979,""y"":592,""dx"":8,""dy"":41,""t"":7926},{""x"":994,""y"":596,""dx"":23,""dy"":45,""t"":7959},{""x"":969,""y"":605,""dx"":-2,""dy"":54,""t"":7993},{""x"":951,""y"":629,""dx"":-20,""dy"":78,""t"":8028},{""x"":956,""y"":652,""dx"":-15,""dy"":101,""t"":8062},{""x"":968,""y"":635,""dx"":-3,""dy"":84,""t"":8096},{""x"":978,""y"":620,""dx"":7,""dy"":69,""t"":8128},{""x"":978,""y"":590,""dx"":7,""dy"":39,""t"":8165},{""x"":932,""y"":570,""dx"":-39,""dy"":19,""t"":8198},{""x"":995,""y"":575,""dx"":24,""dy"":24,""t"":8231},{""x"":981,""y"":582,""dx"":10,""dy"":31,""t"":8265},{""x"":967,""y"":597,""dx"":-4,""dy"":46,""t"":8299},{""x"":972,""y"":605,""dx"":1,""dy"":54,""t"":8334},{""x"":987,""y"":609,""dx"":16,""dy"":58,""t"":8368},{""x"":1010,""y"":607,""dx"":39,""dy"":56,""t"":8402},{""x"":1009,""y"":618,""dx"":38,""dy"":67,""t"":8436},{""x"":1007,""y"":620,""dx"":36,""dy"":69,""t"":8470},{""x"":994,""y"":601,""dx"":23,""dy"":50,""t"":8504},{""x"":983,""y"":601,""dx"":12,""dy"":50,""t"":8537},{""x"":989,""y"":608,""dx"":18,""dy"":57,""t"":8572},{""x"":973,""y"":597,""dx"":2,""dy"":46,""t"":8606},{""x"":963,""y"":583,""dx"":-8,""dy"":32,""t"":8640},{""x"":968,""y"":589,""dx"":-3,""dy"":38,""t"":8673},{""x"":981,""y"":593,""dx"":10,""dy"":42,""t"":8707},{""x"":990,""y"":601,""dx"":19,""dy"":50,""t"":8742},{""x"":995,""y"":591,""dx"":24,""dy"":40,""t"":8775},{""x"":1029,""y"":588,""dx"":58,""dy"":37,""t"":8810},{""x"":1041,""y"":602,""dx"":70,""dy"":51,""t"":8845},{""x"":1057,""y"":617,""dx"":86,""dy"":66,""t"":8878},{""x"":1073,""y"":610,""dx"":102,""dy"":59,""t"":8911},{""x"":1070,""y"":616,""dx"":99,""dy"":65,""t"":8946},{""x"":1036,""y"":619,""dx"":65,""dy"":68,""t"":8980},{""x"":1037,""y"":656,""dx"":66,""dy"":105,""t"":9014}],[{""x"":585,""y"":685,""dx"":94,""dy"":-136,""t"":10069},{""x"":589,""y"":677,""dx"":98,""dy"":-144,""t"":10100},{""x"":576,""y"":675,""dx"":85,""dy"":-146,""t"":10135},{""x"":583,""y"":661,""dx"":92,""dy"":-160,""t"":10169},{""x"":577,""y"":659,""dx"":86,""dy"":-162,""t"":10204},{""x"":572,""y"":666,""dx"":81,""dy"":-155,""t"":10267},{""x"":567,""y"":672,""dx"":76,""dy"":-149,""t"":10274},{""x"":560,""y"":660,""dx"":69,""dy"":-161,""t"":10306},{""x"":567,""y"":647,""dx"":76,""dy"":-174,""t"":10339},{""x"":578,""y"":636,""dx"":87,""dy"":-185,""t"":10374},{""x"":605,""y"":661,""dx"":114,""dy"":-160,""t"":10407},{""x"":615,""y"":672,""dx"":124,""dy"":-149,""t"":10442},{""x"":596,""y"":661,""dx"":105,""dy"":-160,""t"":10475},{""x"":594,""y"":676,""dx"":103,""dy"":-145,""t"":10509},{""x"":589,""y"":679,""dx"":98,""dy"":-142,""t"":10544},{""x"":602,""y"":684,""dx"":111,""dy"":-137,""t"":10579},{""x"":592,""y"":680,""dx"":101,""dy"":-141,""t"":10611},{""x"":607,""y"":681,""dx"":116,""dy"":-140,""t"":10646},{""x"":607,""y"":678,""dx"":116,""dy"":-143,""t"":10679},{""x"":615,""y"":684,""dx"":124,""dy"":-137,""t"":10715},{""x"":608,""y"":694,""dx"":117,""dy"":-127,""t"":10747},{""x"":605,""y"":711,""dx"":114,""dy"":-110,""t"":10782},{""x"":613,""y"":723,""dx"":122,""dy"":-98,""t"":10815},{""x"":615,""y"":738,""dx"":124,""dy"":-83,""t"":10850},{""x"":613,""y"":743,""dx"":122,""dy"":-78,""t"":10884},{""x"":625,""y"":739,""dx"":134,""dy"":-82,""t"":10918},{""x"":646,""y"":736,""dx"":155,""dy"":-85,""t"":10952},{""x"":647,""y"":717,""dx"":156,""dy"":-104,""t"":10986},{""x"":657,""y"":713,""dx"":166,""dy"":-108,""t"":11019},{""x"":654,""y"":722,""dx"":163,""dy"":-99,""t"":11055},{""x"":658,""y"":745,""dx"":167,""dy"":-76,""t"":11088},{""x"":660,""y"":763,""dx"":169,""dy"":-58,""t"":11121},{""x"":672,""y"":789,""dx"":181,""dy"":-32,""t"":11156},{""x"":654,""y"":788,""dx"":163,""dy"":-33,""t"":11190},{""x"":650,""y"":800,""dx"":159,""dy"":-21,""t"":11223},{""x"":639,""y"":795,""dx"":148,""dy"":-26,""t"":11258},{""x"":627,""y"":794,""dx"":136,""dy"":-27,""t"":11290},{""x"":616,""y"":780,""dx"":125,""dy"":-41,""t"":11325},{""x"":643,""y"":780,""dx"":152,""dy"":-41,""t"":11360},{""x"":643,""y"":755,""dx"":152,""dy"":-66,""t"":11394},{""x"":649,""y"":765,""dx"":158,""dy"":-56,""t"":11428},{""x"":664,""y"":767,""dx"":173,""dy"":-54,""t"":11463},{""x"":647,""y"":764,""dx"":156,""dy"":-57,""t"":11495},{""x"":662,""y"":754,""dx"":171,""dy"":-67,""t"":11530},{""x"":674,""y"":763,""dx"":183,""dy"":-58,""t"":11563},{""x"":662,""y"":771,""dx"":171,""dy"":-50,""t"":11597},{""x"":666,""y"":768,""dx"":175,""dy"":-53,""t"":11632},{""x"":663,""y"":752,""dx"":172,""dy"":-69,""t"":11666},{""x"":660,""y"":739,""dx"":169,""dy"":-82,""t"":11698},{""x"":654,""y"":728,""dx"":163,""dy"":-93,""t"":11734},{""x"":632,""y"":731,""dx"":141,""dy"":-90,""t"":11767},{""x"":625,""y"":741,""dx"":134,""dy"":-80,""t"":11803},{""x"":648,""y"":747,""dx"":157,""dy"":-74,""t"":11836},{""x"":653,""y"":752,""dx"":162,""dy"":-69,""t"":11870},{""x"":660,""y"":753,""dx"":169,""dy"":-68,""t"":11904},{""x"":646,""y"":757,""dx"":155,""dy"":-64,""t"":11938},{""x"":634,""y"":752,""dx"":143,""dy"":-69,""t"":11972},{""x"":648,""y"":761,""dx"":157,""dy"":-60,""t"":12006},{""x"":629,""y"":786,""dx"":138,""dy"":-35,""t"":12040}],[{""x"":1200,""y"":867,""dx"":-251,""dy"":46,""t"":13060},{""x"":1252,""y"":820,""dx"":-199,""dy"":-1,""t"":13094},{""x"":1321,""y"":782,""dx"":-130,""dy"":-39,""t"":13127},{""x"":1365,""y"":747,""dx"":-86,""dy"":-74,""t"":13162},{""x"":1398,""y"":729,""dx"":-53,""dy"":-92,""t"":13197},{""x"":1427,""y"":718,""dx"":-24,""dy"":-103,""t"":13229},{""x"":1437,""y"":702,""dx"":-14,""dy"":-119,""t"":13264},{""x"":1442,""y"":691,""dx"":-9,""dy"":-130,""t"":13295},{""x"":1442,""y"":665,""dx"":-9,""dy"":-156,""t"":13332},{""x"":1451,""y"":662,""dx"":0,""dy"":-159,""t"":13365},{""x"":1442,""y"":670,""dx"":-9,""dy"":-151,""t"":13399},{""x"":1447,""y"":697,""dx"":-4,""dy"":-124,""t"":13434},{""x"":1450,""y"":702,""dx"":-1,""dy"":-119,""t"":13468},{""x"":1455,""y"":705,""dx"":4,""dy"":-116,""t"":13502},{""x"":1436,""y"":720,""dx"":-15,""dy"":-101,""t"":13536},{""x"":1431,""y"":730,""dx"":-20,""dy"":-91,""t"":13570},{""x"":1423,""y"":746,""dx"":-28,""dy"":-75,""t"":13604},{""x"":1427,""y"":752,""dx"":-24,""dy"":-69,""t"":13638},{""x"":1424,""y"":760,""dx"":-27,""dy"":-61,""t"":13673},{""x"":1410,""y"":749,""dx"":-41,""dy"":-72,""t"":13706},{""x"":1410,""y"":766,""dx"":-41,""dy"":-55,""t"":13741},{""x"":1426,""y"":780,""dx"":-25,""dy"":-41,""t"":13774},{""x"":1418,""y"":786,""dx"":-33,""dy"":-35,""t"":13808},{""x"":1422,""y"":809,""dx"":-29,""dy"":-12,""t"":13843},{""x"":1429,""y"":817,""dx"":-22,""dy"":-4,""t"":13876},{""x"":1429,""y"":831,""dx"":-22,""dy"":10,""t"":13909},{""x"":1425,""y"":835,""dx"":-26,""dy"":14,""t"":13943},{""x"":1429,""y"":840,""dx"":-22,""dy"":19,""t"":13978},{""x"":1414,""y"":834,""dx"":-37,""dy"":13,""t"":14012},{""x"":1414,""y"":829,""dx"":-37,""dy"":8,""t"":14046},{""x"":1423,""y"":830,""dx"":-28,""dy"":9,""t"":14080},{""x"":1422,""y"":830,""dx"":-29,""dy"":9,""t"":14114},{""x"":1418,""y"":829,""dx"":-33,""dy"":8,""t"":14148},{""x"":1401,""y"":833,""dx"":-50,""dy"":12,""t"":14182},{""x"":1406,""y"":835,""dx"":-45,""dy"":14,""t"":14215},{""x"":1411,""y"":825,""dx"":-40,""dy"":4,""t"":14250},{""x"":1396,""y"":805,""dx"":-55,""dy"":-16,""t"":14285},{""x"":1404,""y"":795,""dx"":-47,""dy"":-26,""t"":14318},{""x"":1399,""y"":795,""dx"":-52,""dy"":-26,""t"":14352},{""x"":1406,""y"":793,""dx"":-45,""dy"":-28,""t"":14387},{""x"":1404,""y"":791,""dx"":-47,""dy"":-30,""t"":14420},{""x"":1367,""y"":803,""dx"":-84,""dy"":-18,""t"":14455},{""x"":1300,""y"":729,""dx"":-151,""dy"":-92,""t"":14487},{""x"":1247,""y"":689,""dx"":-204,""dy"":-132,""t"":14521},{""x"":1200,""y"":652,""dx"":-251,""dy"":-169,""t"":14556},{""x"":1226,""y"":694,""dx"":-225,""dy"":-127,""t"":14590},{""x"":1182,""y"":672,""dx"":-269,""dy"":-149,""t"":14624},{""x"":1150,""y"":637,""dx"":-301,""dy"":-184,""t"":14659},{""x"":1159,""y"":655,""dx"":-292,""dy"":-166,""t"":14692},{""x"":1197,""y"":704,""dx"":-254,""dy"":-117,""t"":14727},{""x"":1164,""y"":673,""dx"":-287,""dy"":-148,""t"":14759},{""x"":1210,""y"":723,""dx"":-241,""dy"":-98,""t"":14794},{""x"":1218,""y"":730,""dx"":-233,""dy"":-91,""t"":14828},{""x"":1205,""y"":706,""dx"":-246,""dy"":-115,""t"":14862},{""x"":1194,""y"":685,""dx"":-257,""dy"":-136,""t"":14893},{""x"":1219,""y"":722,""dx"":-232,""dy"":-99,""t"":14930},{""x"":1232,""y"":758,""dx"":-219,""dy"":-63,""t"":14964},{""x"":1254,""y"":796,""dx"":-197,""dy"":-25,""t"":14998},{""x"":1299,""y"":821,""dx"":-152,""dy"":0,""t"":15031}]]","[100,100,100,98.30508474576271,74.57627118644068]","[{""x"":-18.305084745762713,""y"":154.79661016949152,""r"":33.163930836558436},{""x"":-4.932203389830509,""y"":78.01694915254237,""r"":38.29840199693101},{""x"":9.05,""y"":28.933333333333334,""r"":69.79691558918117},{""x"":134.3728813559322,""y"":-96.08474576271186,""r"":50.38455963356774},{""x"":-98.30508474576271,""y"":-65.89830508474576,""r"":99.91624472992751}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
"","html-keyboard-response","10","40993","0.0-6.0-0.0","","","","","369"," ","","<p>识别实验（6个刺激物）：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，500毫秒的空白间隔后，会呈现一个六个项目的阵列。</p> <p>要求：记忆单个项目，并在多个项目阵列中快速找到，并根据数字键盘的 ""4"", ""7"", ""9"", ""6"", ""3"", ""1"" 进行选择响应，如果不记得或者不存在选择 ""5""。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","41897","0.0-6.0-1.0","","","","","404"," ","","<p>要求：记忆项目的颜色。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","42905","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recognition","[""1"",""4"",""6"",""4"",""4"",""3"",""1"",""4"",""6"",""3"",""7"",""4"",""7"",""4"",""9"",""7"",""7"",""9"",""3"",""1"",""7"",""7"",""9"",""6"",""3"",""1"",""9"",""9"",""3"",""9"",""1"",""6"",""9"",""7"",""6"",""4"",""7"",""1"",""3"",""3"",""7"",""7"",""1"",""3"",""6"",""6"",""9"",""1"",""3"",""4"",""4"",""3"",""6"",""6"",""1"",""4"",""7"",""9"",""1"",""9"",""1"",""3"",""7"",""3"",""9"",""4"",""6"",""6"",""9"",""6"",""1"",""4""]","1500","color","6","","","","","",""
"","canvas-keyboard-response","13","43010","0.0-6.0-2.0-1.0","","","","","null","null","","","","","","","","","recognition","[""1"",""4"",""6"",""4"",""4"",""3"",""1"",""4"",""6"",""3"",""7"",""4"",""7"",""4"",""9"",""7"",""7"",""9"",""3"",""1"",""7"",""7"",""9"",""6"",""3"",""1"",""9"",""9"",""3"",""9"",""1"",""6"",""9"",""7"",""6"",""4"",""7"",""1"",""3"",""3"",""7"",""7"",""1"",""3"",""6"",""6"",""9"",""1"",""3"",""4"",""4"",""3"",""6"",""6"",""1"",""4"",""7"",""9"",""1"",""9"",""1"",""3"",""7"",""3"",""9"",""4"",""6"",""6"",""9"",""6"",""1"",""4""]","1500","color","6","","","","","",""
"","canvas-keyboard-response","14","45057","0.0-6.0-2.0-2.0","","","","","540","1","","[""yellow"",""green"",""cyan"",""blue"",""red"",""purple""]","","","","","","","","","","","","[{""x"":937,""y"":643,""t"":3},{""x"":1017,""y"":593,""t"":38},{""x"":1010,""y"":569,""t"":72},{""x"":1032,""y"":574,""t"":106},{""x"":1009,""y"":586,""t"":141},{""x"":986,""y"":571,""t"":175},{""x"":1019,""y"":548,""t"":208},{""x"":971,""y"":508,""t"":242},{""x"":981,""y"":517,""t"":276},{""x"":967,""y"":488,""t"":309},{""x"":957,""y"":453,""t"":344},{""x"":926,""y"":438,""t"":378},{""x"":935,""y"":514,""t"":411},{""x"":918,""y"":554,""t"":445},{""x"":918,""y"":593,""t"":480},{""x"":919,""y"":625,""t"":513}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","purple","1","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]"
"","canvas-keyboard-response","15","46065","0.0-6.0-2.0-0.1","","","","","null","null","","","","","","","","","recognition","[""1"",""4"",""6"",""4"",""4"",""3"",""1"",""4"",""6"",""3"",""7"",""4"",""7"",""4"",""9"",""7"",""7"",""9"",""3"",""1"",""7"",""7"",""9"",""6"",""3"",""1"",""9"",""9"",""3"",""9"",""1"",""6"",""9"",""7"",""6"",""4"",""7"",""1"",""3"",""3"",""7"",""7"",""1"",""3"",""6"",""6"",""9"",""1"",""3"",""4"",""4"",""3"",""6"",""6"",""1"",""4"",""7"",""9"",""1"",""9"",""1"",""3"",""7"",""3"",""9"",""4"",""6"",""6"",""9"",""6"",""1"",""4""]","1500","color","6","","","","","",""
