"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1651","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1654","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5867","0.0-2.0-0.0","","","","","4211","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7171","0.0-2.0-1.0","","","","","1303","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","7762","0.0-3.0","","","","","589"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","12321","0.0-4.0","","","","","","","","","2124","","","","","","","","","","","","","","","","",""
"","html-button-response","6","12986","0.0-5.0-0.0","","","","","663","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","23424","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","24138","0.0-5.0-2.0","","","","","713","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","41009","0.0-5.0-3.0","","","","","","","","","","[[{""x"":459,""y"":392,""dx"":-32,""dy"":111,""t"":991},{""x"":490,""y"":342,""dx"":-1,""dy"":61,""t"":1023},{""x"":500,""y"":371,""dx"":9,""dy"":90,""t"":1058},{""x"":507,""y"":351,""dx"":16,""dy"":70,""t"":1091},{""x"":504,""y"":331,""dx"":13,""dy"":50,""t"":1126},{""x"":489,""y"":374,""dx"":-2,""dy"":93,""t"":1159},{""x"":490,""y"":334,""dx"":-1,""dy"":53,""t"":1194},{""x"":484,""y"":394,""dx"":-7,""dy"":113,""t"":1227},{""x"":479,""y"":446,""dx"":-12,""dy"":165,""t"":1259},{""x"":485,""y"":385,""dx"":-6,""dy"":104,""t"":1296},{""x"":491,""y"":358,""dx"":0,""dy"":77,""t"":1329},{""x"":491,""y"":350,""dx"":0,""dy"":69,""t"":1364},{""x"":476,""y"":388,""dx"":-15,""dy"":107,""t"":1397},{""x"":467,""y"":428,""dx"":-24,""dy"":147,""t"":1431},{""x"":474,""y"":483,""dx"":-17,""dy"":202,""t"":1465},{""x"":482,""y"":518,""dx"":-9,""dy"":237,""t"":1500},{""x"":495,""y"":462,""dx"":4,""dy"":181,""t"":1534},{""x"":507,""y"":413,""dx"":16,""dy"":132,""t"":1567},{""x"":510,""y"":377,""dx"":19,""dy"":96,""t"":1602},{""x"":521,""y"":341,""dx"":30,""dy"":60,""t"":1636},{""x"":491,""y"":397,""dx"":0,""dy"":116,""t"":1670},{""x"":485,""y"":418,""dx"":-6,""dy"":137,""t"":1704},{""x"":491,""y"":395,""dx"":0,""dy"":114,""t"":1738},{""x"":481,""y"":437,""dx"":-10,""dy"":156,""t"":1772},{""x"":496,""y"":399,""dx"":5,""dy"":118,""t"":1806},{""x"":492,""y"":371,""dx"":1,""dy"":90,""t"":1840},{""x"":515,""y"":341,""dx"":24,""dy"":60,""t"":1873},{""x"":518,""y"":335,""dx"":27,""dy"":54,""t"":1908},{""x"":521,""y"":315,""dx"":30,""dy"":34,""t"":1942},{""x"":512,""y"":297,""dx"":21,""dy"":16,""t"":1976},{""x"":500,""y"":295,""dx"":9,""dy"":14,""t"":2010},{""x"":506,""y"":307,""dx"":15,""dy"":26,""t"":2043},{""x"":528,""y"":290,""dx"":37,""dy"":9,""t"":2078},{""x"":534,""y"":295,""dx"":43,""dy"":14,""t"":2112},{""x"":527,""y"":286,""dx"":36,""dy"":5,""t"":2146},{""x"":542,""y"":298,""dx"":51,""dy"":17,""t"":2180},{""x"":538,""y"":303,""dx"":47,""dy"":22,""t"":2214},{""x"":522,""y"":305,""dx"":31,""dy"":24,""t"":2248},{""x"":528,""y"":304,""dx"":37,""dy"":23,""t"":2282},{""x"":551,""y"":293,""dx"":60,""dy"":12,""t"":2316},{""x"":541,""y"":306,""dx"":50,""dy"":25,""t"":2350},{""x"":534,""y"":309,""dx"":43,""dy"":28,""t"":2383},{""x"":551,""y"":325,""dx"":60,""dy"":44,""t"":2417},{""x"":547,""y"":307,""dx"":56,""dy"":26,""t"":2452},{""x"":538,""y"":301,""dx"":47,""dy"":20,""t"":2486},{""x"":517,""y"":326,""dx"":26,""dy"":45,""t"":2519},{""x"":525,""y"":295,""dx"":34,""dy"":14,""t"":2554},{""x"":518,""y"":306,""dx"":27,""dy"":25,""t"":2588},{""x"":519,""y"":289,""dx"":28,""dy"":8,""t"":2623},{""x"":523,""y"":287,""dx"":32,""dy"":6,""t"":2656},{""x"":523,""y"":303,""dx"":32,""dy"":22,""t"":2690},{""x"":538,""y"":305,""dx"":47,""dy"":24,""t"":2724},{""x"":536,""y"":296,""dx"":45,""dy"":15,""t"":2758},{""x"":518,""y"":324,""dx"":27,""dy"":43,""t"":2792},{""x"":524,""y"":328,""dx"":33,""dy"":47,""t"":2824},{""x"":540,""y"":315,""dx"":49,""dy"":34,""t"":2859},{""x"":557,""y"":333,""dx"":66,""dy"":52,""t"":2894},{""x"":561,""y"":339,""dx"":70,""dy"":58,""t"":2928},{""x"":564,""y"":358,""dx"":73,""dy"":77,""t"":2962}],[{""x"":1279,""y"":745,""dx"":-172,""dy"":464,""t"":4016},{""x"":1234,""y"":726,""dx"":-217,""dy"":445,""t"":4050},{""x"":1230,""y"":676,""dx"":-221,""dy"":395,""t"":4083},{""x"":1271,""y"":657,""dx"":-180,""dy"":376,""t"":4117},{""x"":1309,""y"":617,""dx"":-142,""dy"":336,""t"":4152},{""x"":1365,""y"":610,""dx"":-86,""dy"":329,""t"":4185},{""x"":1368,""y"":578,""dx"":-83,""dy"":297,""t"":4220},{""x"":1290,""y"":665,""dx"":-161,""dy"":384,""t"":4254},{""x"":1215,""y"":777,""dx"":-236,""dy"":496,""t"":4287},{""x"":1160,""y"":801,""dx"":-291,""dy"":520,""t"":4323},{""x"":1174,""y"":738,""dx"":-277,""dy"":457,""t"":4356},{""x"":1217,""y"":698,""dx"":-234,""dy"":417,""t"":4390},{""x"":1255,""y"":662,""dx"":-196,""dy"":381,""t"":4422},{""x"":1286,""y"":619,""dx"":-165,""dy"":338,""t"":4458},{""x"":1341,""y"":599,""dx"":-110,""dy"":318,""t"":4493},{""x"":1380,""y"":577,""dx"":-71,""dy"":296,""t"":4526},{""x"":1414,""y"":553,""dx"":-37,""dy"":272,""t"":4559},{""x"":1442,""y"":573,""dx"":-9,""dy"":292,""t"":4594},{""x"":1456,""y"":599,""dx"":5,""dy"":318,""t"":4628},{""x"":1460,""y"":591,""dx"":9,""dy"":310,""t"":4662},{""x"":1467,""y"":580,""dx"":16,""dy"":299,""t"":4695},{""x"":1476,""y"":562,""dx"":25,""dy"":281,""t"":4730},{""x"":1480,""y"":541,""dx"":29,""dy"":260,""t"":4763},{""x"":1486,""y"":535,""dx"":35,""dy"":254,""t"":4797},{""x"":1490,""y"":530,""dx"":39,""dy"":249,""t"":4830},{""x"":1479,""y"":521,""dx"":28,""dy"":240,""t"":4866},{""x"":1512,""y"":523,""dx"":61,""dy"":242,""t"":4900},{""x"":1518,""y"":521,""dx"":67,""dy"":240,""t"":4934},{""x"":1546,""y"":524,""dx"":95,""dy"":243,""t"":4968},{""x"":1550,""y"":501,""dx"":99,""dy"":220,""t"":5003},{""x"":1552,""y"":494,""dx"":101,""dy"":213,""t"":5036},{""x"":1545,""y"":494,""dx"":94,""dy"":213,""t"":5070},{""x"":1519,""y"":502,""dx"":68,""dy"":221,""t"":5104},{""x"":1519,""y"":496,""dx"":68,""dy"":215,""t"":5138},{""x"":1496,""y"":518,""dx"":45,""dy"":237,""t"":5171},{""x"":1484,""y"":533,""dx"":33,""dy"":252,""t"":5205},{""x"":1480,""y"":543,""dx"":29,""dy"":262,""t"":5240},{""x"":1479,""y"":572,""dx"":28,""dy"":291,""t"":5274},{""x"":1485,""y"":556,""dx"":34,""dy"":275,""t"":5307},{""x"":1492,""y"":538,""dx"":41,""dy"":257,""t"":5343},{""x"":1512,""y"":574,""dx"":61,""dy"":293,""t"":5375},{""x"":1486,""y"":580,""dx"":35,""dy"":299,""t"":5410},{""x"":1481,""y"":562,""dx"":30,""dy"":281,""t"":5444},{""x"":1480,""y"":578,""dx"":29,""dy"":297,""t"":5478},{""x"":1473,""y"":590,""dx"":22,""dy"":309,""t"":5512},{""x"":1473,""y"":607,""dx"":22,""dy"":326,""t"":5545},{""x"":1462,""y"":619,""dx"":11,""dy"":338,""t"":5579},{""x"":1468,""y"":619,""dx"":17,""dy"":338,""t"":5614},{""x"":1472,""y"":616,""dx"":21,""dy"":335,""t"":5649},{""x"":1462,""y"":601,""dx"":11,""dy"":320,""t"":5682},{""x"":1453,""y"":600,""dx"":2,""dy"":319,""t"":5716},{""x"":1469,""y"":578,""dx"":18,""dy"":297,""t"":5750},{""x"":1459,""y"":582,""dx"":8,""dy"":301,""t"":5785},{""x"":1459,""y"":579,""dx"":8,""dy"":298,""t"":5817},{""x"":1442,""y"":581,""dx"":-9,""dy"":300,""t"":5851},{""x"":1445,""y"":557,""dx"":-6,""dy"":276,""t"":5886},{""x"":1442,""y"":538,""dx"":-9,""dy"":257,""t"":5919},{""x"":1447,""y"":490,""dx"":-4,""dy"":209,""t"":5954},{""x"":1448,""y"":484,""dx"":-3,""dy"":203,""t"":5985}],[{""x"":1026,""y"":442,""dx"":55,""dy"":-109,""t"":7008},{""x"":1030,""y"":436,""dx"":59,""dy"":-115,""t"":7043},{""x"":1033,""y"":440,""dx"":62,""dy"":-111,""t"":7075},{""x"":1031,""y"":453,""dx"":60,""dy"":-98,""t"":7111},{""x"":1032,""y"":466,""dx"":61,""dy"":-85,""t"":7144},{""x"":1017,""y"":484,""dx"":46,""dy"":-67,""t"":7177},{""x"":1024,""y"":486,""dx"":53,""dy"":-65,""t"":7212},{""x"":1018,""y"":484,""dx"":47,""dy"":-67,""t"":7246},{""x"":1011,""y"":479,""dx"":40,""dy"":-72,""t"":7279},{""x"":1010,""y"":489,""dx"":39,""dy"":-62,""t"":7314},{""x"":1020,""y"":490,""dx"":49,""dy"":-61,""t"":7347},{""x"":1011,""y"":558,""dx"":40,""dy"":7,""t"":7382},{""x"":1036,""y"":531,""dx"":65,""dy"":-20,""t"":7416},{""x"":1037,""y"":629,""dx"":66,""dy"":78,""t"":7450},{""x"":1011,""y"":627,""dx"":40,""dy"":76,""t"":7484},{""x"":1000,""y"":574,""dx"":29,""dy"":23,""t"":7518},{""x"":995,""y"":567,""dx"":24,""dy"":16,""t"":7552},{""x"":1004,""y"":492,""dx"":33,""dy"":-59,""t"":7585},{""x"":1027,""y"":481,""dx"":56,""dy"":-70,""t"":7647},{""x"":1047,""y"":472,""dx"":76,""dy"":-79,""t"":7660},{""x"":997,""y"":455,""dx"":26,""dy"":-96,""t"":7688},{""x"":997,""y"":476,""dx"":26,""dy"":-75,""t"":7722},{""x"":986,""y"":496,""dx"":15,""dy"":-55,""t"":7755},{""x"":984,""y"":500,""dx"":13,""dy"":-51,""t"":7790},{""x"":999,""y"":466,""dx"":28,""dy"":-85,""t"":7824},{""x"":984,""y"":473,""dx"":13,""dy"":-78,""t"":7858},{""x"":986,""y"":490,""dx"":15,""dy"":-61,""t"":7891},{""x"":967,""y"":497,""dx"":-4,""dy"":-54,""t"":7925},{""x"":967,""y"":491,""dx"":-4,""dy"":-60,""t"":7961},{""x"":993,""y"":464,""dx"":22,""dy"":-87,""t"":7991},{""x"":988,""y"":454,""dx"":17,""dy"":-97,""t"":8028},{""x"":1008,""y"":468,""dx"":37,""dy"":-83,""t"":8062},{""x"":989,""y"":516,""dx"":18,""dy"":-35,""t"":8096},{""x"":1026,""y"":493,""dx"":55,""dy"":-58,""t"":8131},{""x"":1014,""y"":488,""dx"":43,""dy"":-63,""t"":8164},{""x"":1027,""y"":466,""dx"":56,""dy"":-85,""t"":8197},{""x"":1006,""y"":496,""dx"":35,""dy"":-55,""t"":8232},{""x"":980,""y"":535,""dx"":9,""dy"":-16,""t"":8266},{""x"":1005,""y"":538,""dx"":34,""dy"":-13,""t"":8301},{""x"":1033,""y"":513,""dx"":62,""dy"":-38,""t"":8333},{""x"":1018,""y"":505,""dx"":47,""dy"":-46,""t"":8367},{""x"":1026,""y"":515,""dx"":55,""dy"":-36,""t"":8402},{""x"":1013,""y"":552,""dx"":42,""dy"":1,""t"":8437},{""x"":988,""y"":548,""dx"":17,""dy"":-3,""t"":8470},{""x"":1007,""y"":539,""dx"":36,""dy"":-12,""t"":8504},{""x"":1013,""y"":509,""dx"":42,""dy"":-42,""t"":8539},{""x"":1027,""y"":509,""dx"":56,""dy"":-42,""t"":8572},{""x"":1042,""y"":523,""dx"":71,""dy"":-28,""t"":8605},{""x"":1015,""y"":516,""dx"":44,""dy"":-35,""t"":8640},{""x"":1020,""y"":542,""dx"":49,""dy"":-9,""t"":8674},{""x"":1031,""y"":539,""dx"":60,""dy"":-12,""t"":8708},{""x"":1042,""y"":541,""dx"":71,""dy"":-10,""t"":8742},{""x"":1048,""y"":539,""dx"":77,""dy"":-12,""t"":8776},{""x"":1067,""y"":519,""dx"":96,""dy"":-32,""t"":8809},{""x"":1060,""y"":495,""dx"":89,""dy"":-56,""t"":8845},{""x"":1044,""y"":503,""dx"":73,""dy"":-48,""t"":8878},{""x"":1058,""y"":504,""dx"":87,""dy"":-47,""t"":8912},{""x"":1051,""y"":514,""dx"":80,""dy"":-37,""t"":8945},{""x"":1051,""y"":490,""dx"":80,""dy"":-61,""t"":8979},{""x"":1044,""y"":502,""dx"":73,""dy"":-49,""t"":9014}],[{""x"":526,""y"":726,""dx"":35,""dy"":-95,""t"":10034},{""x"":519,""y"":662,""dx"":28,""dy"":-159,""t"":10067},{""x"":504,""y"":618,""dx"":13,""dy"":-203,""t"":10101},{""x"":569,""y"":670,""dx"":78,""dy"":-151,""t"":10136},{""x"":552,""y"":649,""dx"":61,""dy"":-172,""t"":10170},{""x"":569,""y"":689,""dx"":78,""dy"":-132,""t"":10203},{""x"":558,""y"":728,""dx"":67,""dy"":-93,""t"":10238},{""x"":581,""y"":765,""dx"":90,""dy"":-56,""t"":10272},{""x"":582,""y"":773,""dx"":91,""dy"":-48,""t"":10306},{""x"":586,""y"":708,""dx"":95,""dy"":-113,""t"":10340},{""x"":588,""y"":727,""dx"":97,""dy"":-94,""t"":10373},{""x"":584,""y"":760,""dx"":93,""dy"":-61,""t"":10408},{""x"":571,""y"":791,""dx"":80,""dy"":-30,""t"":10442},{""x"":597,""y"":719,""dx"":106,""dy"":-102,""t"":10476},{""x"":602,""y"":655,""dx"":111,""dy"":-166,""t"":10510},{""x"":631,""y"":703,""dx"":140,""dy"":-118,""t"":10544},{""x"":670,""y"":736,""dx"":179,""dy"":-85,""t"":10578},{""x"":680,""y"":738,""dx"":189,""dy"":-83,""t"":10612},{""x"":660,""y"":731,""dx"":169,""dy"":-90,""t"":10645},{""x"":646,""y"":731,""dx"":155,""dy"":-90,""t"":10679},{""x"":621,""y"":761,""dx"":130,""dy"":-60,""t"":10715},{""x"":601,""y"":770,""dx"":110,""dy"":-51,""t"":10749},{""x"":601,""y"":785,""dx"":110,""dy"":-36,""t"":10782},{""x"":589,""y"":777,""dx"":98,""dy"":-44,""t"":10816},{""x"":558,""y"":827,""dx"":67,""dy"":6,""t"":10849},{""x"":583,""y"":827,""dx"":92,""dy"":6,""t"":10884},{""x"":557,""y"":828,""dx"":66,""dy"":7,""t"":10918},{""x"":549,""y"":851,""dx"":58,""dy"":30,""t"":10952},{""x"":540,""y"":863,""dx"":49,""dy"":42,""t"":10985},{""x"":575,""y"":876,""dx"":84,""dy"":55,""t"":11020},{""x"":577,""y"":894,""dx"":86,""dy"":73,""t"":11053},{""x"":561,""y"":882,""dx"":70,""dy"":61,""t"":11087},{""x"":561,""y"":850,""dx"":70,""dy"":29,""t"":11122},{""x"":561,""y"":822,""dx"":70,""dy"":1,""t"":11154},{""x"":566,""y"":827,""dx"":75,""dy"":6,""t"":11191},{""x"":580,""y"":845,""dx"":89,""dy"":24,""t"":11224},{""x"":566,""y"":849,""dx"":75,""dy"":28,""t"":11258},{""x"":589,""y"":849,""dx"":98,""dy"":28,""t"":11292},{""x"":585,""y"":820,""dx"":94,""dy"":-1,""t"":11327},{""x"":574,""y"":826,""dx"":83,""dy"":5,""t"":11359},{""x"":602,""y"":835,""dx"":111,""dy"":14,""t"":11394},{""x"":618,""y"":823,""dx"":127,""dy"":2,""t"":11428},{""x"":590,""y"":847,""dx"":99,""dy"":26,""t"":11461},{""x"":608,""y"":837,""dx"":117,""dy"":16,""t"":11495},{""x"":602,""y"":735,""dx"":111,""dy"":-86,""t"":11530},{""x"":597,""y"":649,""dx"":106,""dy"":-172,""t"":11562},{""x"":626,""y"":684,""dx"":135,""dy"":-137,""t"":11597},{""x"":612,""y"":732,""dx"":121,""dy"":-89,""t"":11632},{""x"":598,""y"":765,""dx"":107,""dy"":-56,""t"":11666},{""x"":615,""y"":789,""dx"":124,""dy"":-32,""t"":11699},{""x"":633,""y"":813,""dx"":142,""dy"":-8,""t"":11734},{""x"":611,""y"":844,""dx"":120,""dy"":23,""t"":11768},{""x"":655,""y"":827,""dx"":164,""dy"":6,""t"":11802},{""x"":635,""y"":836,""dx"":144,""dy"":15,""t"":11835},{""x"":651,""y"":845,""dx"":160,""dy"":24,""t"":11870},{""x"":666,""y"":842,""dx"":175,""dy"":21,""t"":11904},{""x"":649,""y"":825,""dx"":158,""dy"":4,""t"":11938},{""x"":630,""y"":833,""dx"":139,""dy"":12,""t"":11972},{""x"":609,""y"":833,""dx"":118,""dy"":12,""t"":12005}],[{""x"":1479,""y"":654,""dx"":28,""dy"":-167,""t"":13027},{""x"":1441,""y"":679,""dx"":-10,""dy"":-142,""t"":13061},{""x"":1434,""y"":673,""dx"":-17,""dy"":-148,""t"":13094},{""x"":1427,""y"":668,""dx"":-24,""dy"":-153,""t"":13125},{""x"":1403,""y"":695,""dx"":-48,""dy"":-126,""t"":13162},{""x"":1372,""y"":727,""dx"":-79,""dy"":-94,""t"":13196},{""x"":1331,""y"":749,""dx"":-120,""dy"":-72,""t"":13229},{""x"":1307,""y"":774,""dx"":-144,""dy"":-47,""t"":13264},{""x"":1298,""y"":773,""dx"":-153,""dy"":-48,""t"":13298},{""x"":1280,""y"":766,""dx"":-171,""dy"":-55,""t"":13332},{""x"":1296,""y"":772,""dx"":-155,""dy"":-49,""t"":13365},{""x"":1285,""y"":750,""dx"":-166,""dy"":-71,""t"":13400},{""x"":1308,""y"":754,""dx"":-143,""dy"":-67,""t"":13434},{""x"":1303,""y"":739,""dx"":-148,""dy"":-82,""t"":13468},{""x"":1310,""y"":730,""dx"":-141,""dy"":-91,""t"":13502},{""x"":1317,""y"":724,""dx"":-134,""dy"":-97,""t"":13533},{""x"":1301,""y"":715,""dx"":-150,""dy"":-106,""t"":13570},{""x"":1294,""y"":744,""dx"":-157,""dy"":-77,""t"":13604},{""x"":1290,""y"":746,""dx"":-161,""dy"":-75,""t"":13638},{""x"":1304,""y"":756,""dx"":-147,""dy"":-65,""t"":13672},{""x"":1303,""y"":759,""dx"":-148,""dy"":-62,""t"":13706},{""x"":1278,""y"":788,""dx"":-173,""dy"":-33,""t"":13740},{""x"":1277,""y"":788,""dx"":-174,""dy"":-33,""t"":13774},{""x"":1298,""y"":765,""dx"":-153,""dy"":-56,""t"":13808},{""x"":1290,""y"":779,""dx"":-161,""dy"":-42,""t"":13842},{""x"":1312,""y"":770,""dx"":-139,""dy"":-51,""t"":13876},{""x"":1334,""y"":779,""dx"":-117,""dy"":-42,""t"":13910},{""x"":1327,""y"":791,""dx"":-124,""dy"":-30,""t"":13944},{""x"":1337,""y"":798,""dx"":-114,""dy"":-23,""t"":13978},{""x"":1352,""y"":790,""dx"":-99,""dy"":-31,""t"":14012},{""x"":1340,""y"":788,""dx"":-111,""dy"":-33,""t"":14045},{""x"":1342,""y"":690,""dx"":-109,""dy"":-131,""t"":14080},{""x"":1329,""y"":714,""dx"":-122,""dy"":-107,""t"":14113},{""x"":1333,""y"":694,""dx"":-118,""dy"":-127,""t"":14147},{""x"":1329,""y"":708,""dx"":-122,""dy"":-113,""t"":14182},{""x"":1326,""y"":714,""dx"":-125,""dy"":-107,""t"":14216},{""x"":1308,""y"":735,""dx"":-143,""dy"":-86,""t"":14250},{""x"":1301,""y"":750,""dx"":-150,""dy"":-71,""t"":14284},{""x"":1334,""y"":760,""dx"":-117,""dy"":-61,""t"":14318},{""x"":1342,""y"":763,""dx"":-109,""dy"":-58,""t"":14352},{""x"":1350,""y"":752,""dx"":-101,""dy"":-69,""t"":14385},{""x"":1355,""y"":744,""dx"":-96,""dy"":-77,""t"":14420},{""x"":1332,""y"":780,""dx"":-119,""dy"":-41,""t"":14454},{""x"":1338,""y"":764,""dx"":-113,""dy"":-57,""t"":14488},{""x"":1345,""y"":750,""dx"":-106,""dy"":-71,""t"":14522},{""x"":1356,""y"":750,""dx"":-95,""dy"":-71,""t"":14556},{""x"":1364,""y"":771,""dx"":-87,""dy"":-50,""t"":14590},{""x"":1375,""y"":768,""dx"":-76,""dy"":-53,""t"":14623},{""x"":1365,""y"":815,""dx"":-86,""dy"":-6,""t"":14658},{""x"":1384,""y"":804,""dx"":-67,""dy"":-17,""t"":14692},{""x"":1399,""y"":793,""dx"":-52,""dy"":-28,""t"":14724},{""x"":1397,""y"":816,""dx"":-54,""dy"":-5,""t"":14760},{""x"":1395,""y"":825,""dx"":-56,""dy"":4,""t"":14794},{""x"":1370,""y"":828,""dx"":-81,""dy"":7,""t"":14828},{""x"":1368,""y"":839,""dx"":-83,""dy"":18,""t"":14862},{""x"":1369,""y"":844,""dx"":-82,""dy"":23,""t"":14896},{""x"":1361,""y"":835,""dx"":-90,""dy"":14,""t"":14931},{""x"":1369,""y"":831,""dx"":-82,""dy"":10,""t"":14964},{""x"":1396,""y"":823,""dx"":-55,""dy"":2,""t"":14998},{""x"":1390,""y"":822,""dx"":-61,""dy"":1,""t"":15032}]]","[96.61016949152543,0,100,94.91525423728814,100]","[{""x"":21.76271186440678,""y"":65.96610169491525,""r"":49.75505933400795},{""x"":-26.694915254237287,""y"":305.10169491525426,""r"":79.89538728915025},{""x"":46.016666666666666,""y"":-46.68333333333333,""r"":55.5739684273084},{""x"":103.50847457627118,""y"":-39.610169491525426,""r"":65.2437697965936},{""x"":-108.5,""y"":-59.916666666666664,""r"":72.2545049270015}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.43","validate","","","","","","","","","","",""
"","html-button-response","10","41633","0.0-5.0-4.0-0.0-0.0","","","","","623","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","53012","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","53953","0.0-5.0-4.0-0.0-2.0","","","","","940","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
