"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1797","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1801","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6629","0.0-2.0-0.0","","","","","4826","{""name"":""黎钰"",""age"":""22""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7989","0.0-2.0-1.0","","","","","1359","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","111342","0.0-3.0","","","","","103351"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","116984","0.0-4.0","","","","","","","","","2178","","","","","","","","","","","","","","","","",""
"","html-button-response","6","117653","0.0-5.0-0.0","","","","","667","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","128878","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","129684","0.0-5.0-2.0","","","","","805","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","147008","0.0-5.0-3.0","","","","","","","","","","[[{""x"":432,""y"":394,""dx"":-59,""dy"":113,""t"":990},{""x"":429,""y"":393,""dx"":-62,""dy"":112,""t"":1025},{""x"":433,""y"":416,""dx"":-58,""dy"":135,""t"":1058},{""x"":445,""y"":425,""dx"":-46,""dy"":144,""t"":1091},{""x"":438,""y"":439,""dx"":-53,""dy"":158,""t"":1126},{""x"":442,""y"":441,""dx"":-49,""dy"":160,""t"":1160},{""x"":441,""y"":452,""dx"":-50,""dy"":171,""t"":1194},{""x"":449,""y"":449,""dx"":-42,""dy"":168,""t"":1227},{""x"":455,""y"":435,""dx"":-36,""dy"":154,""t"":1261},{""x"":439,""y"":427,""dx"":-52,""dy"":146,""t"":1296},{""x"":443,""y"":427,""dx"":-48,""dy"":146,""t"":1330},{""x"":446,""y"":431,""dx"":-45,""dy"":150,""t"":1365},{""x"":445,""y"":399,""dx"":-46,""dy"":118,""t"":1398},{""x"":438,""y"":415,""dx"":-53,""dy"":134,""t"":1431},{""x"":434,""y"":390,""dx"":-57,""dy"":109,""t"":1466},{""x"":429,""y"":393,""dx"":-62,""dy"":112,""t"":1500},{""x"":430,""y"":387,""dx"":-61,""dy"":106,""t"":1533},{""x"":432,""y"":397,""dx"":-59,""dy"":116,""t"":1567},{""x"":449,""y"":399,""dx"":-42,""dy"":118,""t"":1602},{""x"":462,""y"":393,""dx"":-29,""dy"":112,""t"":1636},{""x"":472,""y"":413,""dx"":-19,""dy"":132,""t"":1670},{""x"":475,""y"":414,""dx"":-16,""dy"":133,""t"":1708},{""x"":476,""y"":372,""dx"":-15,""dy"":91,""t"":1742},{""x"":480,""y"":386,""dx"":-11,""dy"":105,""t"":1771},{""x"":468,""y"":392,""dx"":-23,""dy"":111,""t"":1805},{""x"":465,""y"":398,""dx"":-26,""dy"":117,""t"":1840},{""x"":454,""y"":387,""dx"":-37,""dy"":106,""t"":1873},{""x"":454,""y"":403,""dx"":-37,""dy"":122,""t"":1908},{""x"":463,""y"":440,""dx"":-28,""dy"":159,""t"":1942},{""x"":471,""y"":436,""dx"":-20,""dy"":155,""t"":1976},{""x"":477,""y"":438,""dx"":-14,""dy"":157,""t"":2010},{""x"":472,""y"":444,""dx"":-19,""dy"":163,""t"":2043},{""x"":475,""y"":454,""dx"":-16,""dy"":173,""t"":2078},{""x"":466,""y"":427,""dx"":-25,""dy"":146,""t"":2112},{""x"":456,""y"":425,""dx"":-35,""dy"":144,""t"":2147},{""x"":460,""y"":445,""dx"":-31,""dy"":164,""t"":2179},{""x"":450,""y"":426,""dx"":-41,""dy"":145,""t"":2214},{""x"":452,""y"":428,""dx"":-39,""dy"":147,""t"":2248},{""x"":453,""y"":423,""dx"":-38,""dy"":142,""t"":2282},{""x"":455,""y"":434,""dx"":-36,""dy"":153,""t"":2315},{""x"":451,""y"":433,""dx"":-40,""dy"":152,""t"":2350},{""x"":451,""y"":459,""dx"":-40,""dy"":178,""t"":2383},{""x"":450,""y"":455,""dx"":-41,""dy"":174,""t"":2419},{""x"":453,""y"":453,""dx"":-38,""dy"":172,""t"":2452},{""x"":455,""y"":452,""dx"":-36,""dy"":171,""t"":2483},{""x"":453,""y"":444,""dx"":-38,""dy"":163,""t"":2519},{""x"":455,""y"":441,""dx"":-36,""dy"":160,""t"":2555},{""x"":455,""y"":409,""dx"":-36,""dy"":128,""t"":2587},{""x"":466,""y"":418,""dx"":-25,""dy"":137,""t"":2621},{""x"":474,""y"":423,""dx"":-17,""dy"":142,""t"":2657},{""x"":465,""y"":430,""dx"":-26,""dy"":149,""t"":2690},{""x"":468,""y"":440,""dx"":-23,""dy"":159,""t"":2724},{""x"":474,""y"":419,""dx"":-17,""dy"":138,""t"":2758},{""x"":460,""y"":432,""dx"":-31,""dy"":151,""t"":2792},{""x"":480,""y"":408,""dx"":-11,""dy"":127,""t"":2827},{""x"":478,""y"":418,""dx"":-13,""dy"":137,""t"":2860},{""x"":479,""y"":412,""dx"":-12,""dy"":131,""t"":2894},{""x"":475,""y"":417,""dx"":-16,""dy"":136,""t"":2927},{""x"":482,""y"":410,""dx"":-9,""dy"":129,""t"":2962},{""x"":481,""y"":413,""dx"":-10,""dy"":132,""t"":2996}],[{""x"":1475,""y"":112,""dx"":24,""dy"":-169,""t"":4016},{""x"":1438,""y"":108,""dx"":-13,""dy"":-173,""t"":4048},{""x"":1415,""y"":112,""dx"":-36,""dy"":-169,""t"":4083},{""x"":1383,""y"":110,""dx"":-68,""dy"":-171,""t"":4118},{""x"":1362,""y"":124,""dx"":-89,""dy"":-157,""t"":4151},{""x"":1344,""y"":123,""dx"":-107,""dy"":-158,""t"":4186},{""x"":1337,""y"":135,""dx"":-114,""dy"":-146,""t"":4220},{""x"":1340,""y"":124,""dx"":-111,""dy"":-157,""t"":4255},{""x"":1331,""y"":113,""dx"":-120,""dy"":-168,""t"":4288},{""x"":1334,""y"":113,""dx"":-117,""dy"":-168,""t"":4322},{""x"":1334,""y"":115,""dx"":-117,""dy"":-166,""t"":4356},{""x"":1335,""y"":116,""dx"":-116,""dy"":-165,""t"":4390},{""x"":1343,""y"":128,""dx"":-108,""dy"":-153,""t"":4424},{""x"":1350,""y"":140,""dx"":-101,""dy"":-141,""t"":4455},{""x"":1351,""y"":146,""dx"":-100,""dy"":-135,""t"":4491},{""x"":1369,""y"":160,""dx"":-82,""dy"":-121,""t"":4526},{""x"":1374,""y"":165,""dx"":-77,""dy"":-116,""t"":4560},{""x"":1361,""y"":165,""dx"":-90,""dy"":-116,""t"":4595},{""x"":1355,""y"":159,""dx"":-96,""dy"":-122,""t"":4628},{""x"":1350,""y"":158,""dx"":-101,""dy"":-123,""t"":4663},{""x"":1349,""y"":160,""dx"":-102,""dy"":-121,""t"":4695},{""x"":1354,""y"":166,""dx"":-97,""dy"":-115,""t"":4730},{""x"":1367,""y"":180,""dx"":-84,""dy"":-101,""t"":4764},{""x"":1364,""y"":171,""dx"":-87,""dy"":-110,""t"":4799},{""x"":1366,""y"":157,""dx"":-85,""dy"":-124,""t"":4832},{""x"":1365,""y"":144,""dx"":-86,""dy"":-137,""t"":4866},{""x"":1380,""y"":148,""dx"":-71,""dy"":-133,""t"":4900},{""x"":1384,""y"":157,""dx"":-67,""dy"":-124,""t"":4934},{""x"":1396,""y"":149,""dx"":-55,""dy"":-132,""t"":4968},{""x"":1405,""y"":147,""dx"":-46,""dy"":-134,""t"":5001},{""x"":1424,""y"":166,""dx"":-27,""dy"":-115,""t"":5036},{""x"":1446,""y"":195,""dx"":-5,""dy"":-86,""t"":5070},{""x"":1459,""y"":212,""dx"":8,""dy"":-69,""t"":5104},{""x"":1443,""y"":208,""dx"":-8,""dy"":-73,""t"":5138},{""x"":1436,""y"":184,""dx"":-15,""dy"":-97,""t"":5172},{""x"":1405,""y"":173,""dx"":-46,""dy"":-108,""t"":5205},{""x"":1408,""y"":189,""dx"":-43,""dy"":-92,""t"":5240},{""x"":1394,""y"":165,""dx"":-57,""dy"":-116,""t"":5274},{""x"":1380,""y"":143,""dx"":-71,""dy"":-138,""t"":5308},{""x"":1376,""y"":126,""dx"":-75,""dy"":-155,""t"":5342},{""x"":1370,""y"":103,""dx"":-81,""dy"":-178,""t"":5376},{""x"":1363,""y"":110,""dx"":-88,""dy"":-171,""t"":5410},{""x"":1363,""y"":97,""dx"":-88,""dy"":-184,""t"":5444},{""x"":1358,""y"":101,""dx"":-93,""dy"":-180,""t"":5477},{""x"":1361,""y"":93,""dx"":-90,""dy"":-188,""t"":5512},{""x"":1365,""y"":106,""dx"":-86,""dy"":-175,""t"":5546},{""x"":1371,""y"":116,""dx"":-80,""dy"":-165,""t"":5579},{""x"":1397,""y"":122,""dx"":-54,""dy"":-159,""t"":5614},{""x"":1412,""y"":128,""dx"":-39,""dy"":-153,""t"":5645},{""x"":1433,""y"":127,""dx"":-18,""dy"":-154,""t"":5682},{""x"":1454,""y"":139,""dx"":3,""dy"":-142,""t"":5716},{""x"":1475,""y"":153,""dx"":24,""dy"":-128,""t"":5750},{""x"":1448,""y"":160,""dx"":-3,""dy"":-121,""t"":5783},{""x"":1431,""y"":177,""dx"":-20,""dy"":-104,""t"":5818},{""x"":1392,""y"":191,""dx"":-59,""dy"":-90,""t"":5852},{""x"":1380,""y"":175,""dx"":-71,""dy"":-106,""t"":5886},{""x"":1368,""y"":161,""dx"":-83,""dy"":-120,""t"":5920},{""x"":1360,""y"":182,""dx"":-91,""dy"":-99,""t"":5953},{""x"":1359,""y"":206,""dx"":-92,""dy"":-75,""t"":5989}],[{""x"":886,""y"":503,""dx"":-85,""dy"":-48,""t"":7042},{""x"":904,""y"":491,""dx"":-67,""dy"":-60,""t"":7076},{""x"":916,""y"":496,""dx"":-55,""dy"":-55,""t"":7110},{""x"":942,""y"":509,""dx"":-29,""dy"":-42,""t"":7144},{""x"":944,""y"":518,""dx"":-27,""dy"":-33,""t"":7179},{""x"":947,""y"":475,""dx"":-24,""dy"":-76,""t"":7212},{""x"":930,""y"":493,""dx"":-41,""dy"":-58,""t"":7246},{""x"":915,""y"":530,""dx"":-56,""dy"":-21,""t"":7280},{""x"":913,""y"":576,""dx"":-58,""dy"":25,""t"":7314},{""x"":926,""y"":605,""dx"":-45,""dy"":54,""t"":7348},{""x"":941,""y"":584,""dx"":-30,""dy"":33,""t"":7382},{""x"":957,""y"":593,""dx"":-14,""dy"":42,""t"":7415},{""x"":950,""y"":573,""dx"":-21,""dy"":22,""t"":7450},{""x"":941,""y"":555,""dx"":-30,""dy"":4,""t"":7483},{""x"":976,""y"":548,""dx"":5,""dy"":-3,""t"":7518},{""x"":964,""y"":565,""dx"":-7,""dy"":14,""t"":7553},{""x"":955,""y"":585,""dx"":-16,""dy"":34,""t"":7586},{""x"":939,""y"":614,""dx"":-32,""dy"":63,""t"":7618},{""x"":924,""y"":627,""dx"":-47,""dy"":76,""t"":7654},{""x"":932,""y"":596,""dx"":-39,""dy"":45,""t"":7688},{""x"":944,""y"":574,""dx"":-27,""dy"":23,""t"":7722},{""x"":942,""y"":547,""dx"":-29,""dy"":-4,""t"":7756},{""x"":935,""y"":568,""dx"":-36,""dy"":17,""t"":7790},{""x"":926,""y"":582,""dx"":-45,""dy"":31,""t"":7825},{""x"":925,""y"":585,""dx"":-46,""dy"":34,""t"":7858},{""x"":926,""y"":587,""dx"":-45,""dy"":36,""t"":7891},{""x"":926,""y"":598,""dx"":-45,""dy"":47,""t"":7926},{""x"":916,""y"":568,""dx"":-55,""dy"":17,""t"":7960},{""x"":904,""y"":567,""dx"":-67,""dy"":16,""t"":7994},{""x"":893,""y"":567,""dx"":-78,""dy"":16,""t"":8026},{""x"":898,""y"":559,""dx"":-73,""dy"":8,""t"":8062},{""x"":899,""y"":585,""dx"":-72,""dy"":34,""t"":8096},{""x"":917,""y"":599,""dx"":-54,""dy"":48,""t"":8130},{""x"":921,""y"":581,""dx"":-50,""dy"":30,""t"":8163},{""x"":937,""y"":558,""dx"":-34,""dy"":7,""t"":8198},{""x"":967,""y"":561,""dx"":-4,""dy"":10,""t"":8231},{""x"":966,""y"":563,""dx"":-5,""dy"":12,""t"":8266},{""x"":946,""y"":577,""dx"":-25,""dy"":26,""t"":8299},{""x"":933,""y"":603,""dx"":-38,""dy"":52,""t"":8333},{""x"":916,""y"":617,""dx"":-55,""dy"":66,""t"":8368},{""x"":914,""y"":634,""dx"":-57,""dy"":83,""t"":8403},{""x"":917,""y"":640,""dx"":-54,""dy"":89,""t"":8435},{""x"":922,""y"":627,""dx"":-49,""dy"":76,""t"":8470},{""x"":927,""y"":612,""dx"":-44,""dy"":61,""t"":8504},{""x"":931,""y"":618,""dx"":-40,""dy"":67,""t"":8538},{""x"":940,""y"":576,""dx"":-31,""dy"":25,""t"":8572},{""x"":953,""y"":546,""dx"":-18,""dy"":-5,""t"":8605},{""x"":951,""y"":583,""dx"":-20,""dy"":32,""t"":8639},{""x"":963,""y"":575,""dx"":-8,""dy"":24,""t"":8673},{""x"":970,""y"":554,""dx"":-1,""dy"":3,""t"":8707},{""x"":981,""y"":530,""dx"":10,""dy"":-21,""t"":8742},{""x"":977,""y"":528,""dx"":6,""dy"":-23,""t"":8776},{""x"":979,""y"":504,""dx"":8,""dy"":-47,""t"":8810},{""x"":958,""y"":522,""dx"":-13,""dy"":-29,""t"":8844},{""x"":972,""y"":518,""dx"":1,""dy"":-33,""t"":8878},{""x"":965,""y"":502,""dx"":-6,""dy"":-49,""t"":8912},{""x"":934,""y"":522,""dx"":-37,""dy"":-29,""t"":8945},{""x"":917,""y"":542,""dx"":-54,""dy"":-9,""t"":8980},{""x"":901,""y"":542,""dx"":-70,""dy"":-9,""t"":9014}],[{""x"":405,""y"":718,""dx"":-86,""dy"":-103,""t"":10068},{""x"":410,""y"":732,""dx"":-81,""dy"":-89,""t"":10102},{""x"":419,""y"":736,""dx"":-72,""dy"":-85,""t"":10136},{""x"":427,""y"":755,""dx"":-64,""dy"":-66,""t"":10170},{""x"":434,""y"":757,""dx"":-57,""dy"":-64,""t"":10204},{""x"":427,""y"":752,""dx"":-64,""dy"":-69,""t"":10238},{""x"":425,""y"":749,""dx"":-66,""dy"":-72,""t"":10272},{""x"":438,""y"":757,""dx"":-53,""dy"":-64,""t"":10306},{""x"":435,""y"":748,""dx"":-56,""dy"":-73,""t"":10340},{""x"":427,""y"":765,""dx"":-64,""dy"":-56,""t"":10374},{""x"":426,""y"":752,""dx"":-65,""dy"":-69,""t"":10407},{""x"":419,""y"":756,""dx"":-72,""dy"":-65,""t"":10442},{""x"":414,""y"":773,""dx"":-77,""dy"":-48,""t"":10475},{""x"":423,""y"":747,""dx"":-68,""dy"":-74,""t"":10510},{""x"":416,""y"":744,""dx"":-75,""dy"":-77,""t"":10544},{""x"":413,""y"":731,""dx"":-78,""dy"":-90,""t"":10577},{""x"":410,""y"":742,""dx"":-81,""dy"":-79,""t"":10612},{""x"":414,""y"":739,""dx"":-77,""dy"":-82,""t"":10645},{""x"":420,""y"":744,""dx"":-71,""dy"":-77,""t"":10679},{""x"":422,""y"":709,""dx"":-69,""dy"":-112,""t"":10714},{""x"":418,""y"":704,""dx"":-73,""dy"":-117,""t"":10747},{""x"":417,""y"":703,""dx"":-74,""dy"":-118,""t"":10786},{""x"":404,""y"":686,""dx"":-87,""dy"":-135,""t"":10827},{""x"":416,""y"":691,""dx"":-75,""dy"":-130,""t"":10851},{""x"":411,""y"":696,""dx"":-80,""dy"":-125,""t"":10883},{""x"":399,""y"":694,""dx"":-92,""dy"":-127,""t"":10918},{""x"":395,""y"":709,""dx"":-96,""dy"":-112,""t"":10951},{""x"":392,""y"":703,""dx"":-99,""dy"":-118,""t"":10985},{""x"":408,""y"":729,""dx"":-83,""dy"":-92,""t"":11019},{""x"":420,""y"":727,""dx"":-71,""dy"":-94,""t"":11054},{""x"":435,""y"":724,""dx"":-56,""dy"":-97,""t"":11089},{""x"":438,""y"":735,""dx"":-53,""dy"":-86,""t"":11123},{""x"":429,""y"":727,""dx"":-62,""dy"":-94,""t"":11156},{""x"":441,""y"":742,""dx"":-50,""dy"":-79,""t"":11188},{""x"":450,""y"":769,""dx"":-41,""dy"":-52,""t"":11225},{""x"":419,""y"":733,""dx"":-72,""dy"":-88,""t"":11258},{""x"":428,""y"":733,""dx"":-63,""dy"":-88,""t"":11291},{""x"":433,""y"":759,""dx"":-58,""dy"":-62,""t"":11326},{""x"":436,""y"":758,""dx"":-55,""dy"":-63,""t"":11360},{""x"":421,""y"":729,""dx"":-70,""dy"":-92,""t"":11394},{""x"":424,""y"":706,""dx"":-67,""dy"":-115,""t"":11428},{""x"":422,""y"":706,""dx"":-69,""dy"":-115,""t"":11462},{""x"":441,""y"":707,""dx"":-50,""dy"":-114,""t"":11496},{""x"":444,""y"":706,""dx"":-47,""dy"":-115,""t"":11530},{""x"":445,""y"":733,""dx"":-46,""dy"":-88,""t"":11564},{""x"":463,""y"":759,""dx"":-28,""dy"":-62,""t"":11598},{""x"":470,""y"":795,""dx"":-21,""dy"":-26,""t"":11632},{""x"":474,""y"":800,""dx"":-17,""dy"":-21,""t"":11665},{""x"":464,""y"":798,""dx"":-27,""dy"":-23,""t"":11699},{""x"":471,""y"":813,""dx"":-20,""dy"":-8,""t"":11733},{""x"":447,""y"":787,""dx"":-44,""dy"":-34,""t"":11768},{""x"":443,""y"":772,""dx"":-48,""dy"":-49,""t"":11802},{""x"":433,""y"":751,""dx"":-58,""dy"":-70,""t"":11836},{""x"":429,""y"":745,""dx"":-62,""dy"":-76,""t"":11870},{""x"":425,""y"":719,""dx"":-66,""dy"":-102,""t"":11905},{""x"":426,""y"":738,""dx"":-65,""dy"":-83,""t"":11938},{""x"":425,""y"":734,""dx"":-66,""dy"":-87,""t"":11972},{""x"":419,""y"":748,""dx"":-72,""dy"":-73,""t"":12006},{""x"":414,""y"":769,""dx"":-77,""dy"":-52,""t"":12040}],[{""x"":1444,""y"":482,""dx"":-7,""dy"":-339,""t"":13060},{""x"":1426,""y"":463,""dx"":-25,""dy"":-358,""t"":13094},{""x"":1428,""y"":480,""dx"":-23,""dy"":-341,""t"":13128},{""x"":1427,""y"":485,""dx"":-24,""dy"":-336,""t"":13162},{""x"":1425,""y"":490,""dx"":-26,""dy"":-331,""t"":13194},{""x"":1408,""y"":507,""dx"":-43,""dy"":-314,""t"":13230},{""x"":1404,""y"":513,""dx"":-47,""dy"":-308,""t"":13264},{""x"":1388,""y"":529,""dx"":-63,""dy"":-292,""t"":13298},{""x"":1372,""y"":534,""dx"":-79,""dy"":-287,""t"":13333},{""x"":1362,""y"":536,""dx"":-89,""dy"":-285,""t"":13366},{""x"":1352,""y"":535,""dx"":-99,""dy"":-286,""t"":13400},{""x"":1347,""y"":536,""dx"":-104,""dy"":-285,""t"":13433},{""x"":1350,""y"":538,""dx"":-101,""dy"":-283,""t"":13468},{""x"":1346,""y"":544,""dx"":-105,""dy"":-277,""t"":13502},{""x"":1350,""y"":531,""dx"":-101,""dy"":-290,""t"":13535},{""x"":1368,""y"":508,""dx"":-83,""dy"":-313,""t"":13570},{""x"":1368,""y"":544,""dx"":-83,""dy"":-277,""t"":13603},{""x"":1380,""y"":530,""dx"":-71,""dy"":-291,""t"":13638},{""x"":1383,""y"":514,""dx"":-68,""dy"":-307,""t"":13672},{""x"":1403,""y"":485,""dx"":-48,""dy"":-336,""t"":13705},{""x"":1394,""y"":504,""dx"":-57,""dy"":-317,""t"":13740},{""x"":1412,""y"":488,""dx"":-39,""dy"":-333,""t"":13774},{""x"":1406,""y"":481,""dx"":-45,""dy"":-340,""t"":13808},{""x"":1413,""y"":462,""dx"":-38,""dy"":-359,""t"":13842},{""x"":1419,""y"":452,""dx"":-32,""dy"":-369,""t"":13876},{""x"":1414,""y"":456,""dx"":-37,""dy"":-365,""t"":13909},{""x"":1412,""y"":472,""dx"":-39,""dy"":-349,""t"":13944},{""x"":1427,""y"":491,""dx"":-24,""dy"":-330,""t"":13977},{""x"":1410,""y"":517,""dx"":-41,""dy"":-304,""t"":14012},{""x"":1378,""y"":538,""dx"":-73,""dy"":-283,""t"":14046},{""x"":1371,""y"":563,""dx"":-80,""dy"":-258,""t"":14080},{""x"":1347,""y"":601,""dx"":-104,""dy"":-220,""t"":14115},{""x"":1337,""y"":594,""dx"":-114,""dy"":-227,""t"":14148},{""x"":1350,""y"":596,""dx"":-101,""dy"":-225,""t"":14182},{""x"":1317,""y"":615,""dx"":-134,""dy"":-206,""t"":14216},{""x"":1306,""y"":582,""dx"":-145,""dy"":-239,""t"":14249},{""x"":1331,""y"":567,""dx"":-120,""dy"":-254,""t"":14283},{""x"":1366,""y"":533,""dx"":-85,""dy"":-288,""t"":14318},{""x"":1396,""y"":504,""dx"":-55,""dy"":-317,""t"":14350},{""x"":1398,""y"":499,""dx"":-53,""dy"":-322,""t"":14385},{""x"":1401,""y"":514,""dx"":-50,""dy"":-307,""t"":14420},{""x"":1396,""y"":541,""dx"":-55,""dy"":-280,""t"":14454},{""x"":1375,""y"":576,""dx"":-76,""dy"":-245,""t"":14487},{""x"":1379,""y"":568,""dx"":-72,""dy"":-253,""t"":14521},{""x"":1394,""y"":565,""dx"":-57,""dy"":-256,""t"":14555},{""x"":1401,""y"":536,""dx"":-50,""dy"":-285,""t"":14590},{""x"":1415,""y"":531,""dx"":-36,""dy"":-290,""t"":14624},{""x"":1419,""y"":527,""dx"":-32,""dy"":-294,""t"":14658},{""x"":1423,""y"":505,""dx"":-28,""dy"":-316,""t"":14693},{""x"":1404,""y"":530,""dx"":-47,""dy"":-291,""t"":14726},{""x"":1397,""y"":547,""dx"":-54,""dy"":-274,""t"":14757},{""x"":1392,""y"":533,""dx"":-59,""dy"":-288,""t"":14794},{""x"":1380,""y"":557,""dx"":-71,""dy"":-264,""t"":14827},{""x"":1343,""y"":549,""dx"":-108,""dy"":-272,""t"":14862},{""x"":1330,""y"":567,""dx"":-121,""dy"":-254,""t"":14897},{""x"":1327,""y"":567,""dx"":-124,""dy"":-254,""t"":14930},{""x"":1337,""y"":576,""dx"":-114,""dy"":-245,""t"":14964},{""x"":1331,""y"":580,""dx"":-120,""dy"":-241,""t"":14999},{""x"":1330,""y"":567,""dx"":-121,""dy"":-254,""t"":15032}]]","[100,88.13559322033898,100,100,0]","[{""x"":-34.166666666666664,""y"":140.21666666666667,""r"":35.55380520570021},{""x"":-67.23728813559322,""y"":-135.01694915254237,""r"":43.14958981737418},{""x"":-35.220338983050844,""y"":12.677966101694915,""r"":39.42015810811267},{""x"":-63.66101694915254,""y"":-81.28813559322033,""r"":20.10172349727867},{""x"":-69.49152542372882,""y"":-291.59322033898303,""r"":37.721552745228536}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
"","html-button-response","10","147812","0.0-5.0-4.0-0.0-0.0","","","","","804","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","159635","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","160220","0.0-5.0-4.0-0.0-2.0","","","","","585","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
