"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","3755","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3760","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","9010","0.0-2.0-0.0","","","","","5246","{""name"":""王炜"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","10306","0.0-2.0-1.0","","","","","1295","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","11498","0.0-3.0","","","","","1190"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","16809","0.0-4.0","","","","","","","","","1518","","","","","","","","","","","","","","","",""
"","html-button-response","6","17610","0.0-5.0-0.0","","","","","798","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","29086","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","30546","0.0-5.0-2.0","","","","","1459","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","47716","0.0-5.0-3.0","","","","","","","","","","[[{""x"":317,""y"":237,""dx"":-174,""dy"":-44,""t"":991},{""x"":356,""y"":259,""dx"":-135,""dy"":-22,""t"":1023},{""x"":389,""y"":272,""dx"":-102,""dy"":-9,""t"":1058},{""x"":423,""y"":282,""dx"":-68,""dy"":1,""t"":1093},{""x"":448,""y"":302,""dx"":-43,""dy"":21,""t"":1126},{""x"":469,""y"":317,""dx"":-22,""dy"":36,""t"":1160},{""x"":495,""y"":334,""dx"":4,""dy"":53,""t"":1194},{""x"":500,""y"":362,""dx"":9,""dy"":81,""t"":1229},{""x"":482,""y"":338,""dx"":-9,""dy"":57,""t"":1262},{""x"":504,""y"":343,""dx"":13,""dy"":62,""t"":1297},{""x"":470,""y"":352,""dx"":-21,""dy"":71,""t"":1329},{""x"":455,""y"":348,""dx"":-36,""dy"":67,""t"":1365},{""x"":425,""y"":344,""dx"":-66,""dy"":63,""t"":1398},{""x"":411,""y"":347,""dx"":-80,""dy"":66,""t"":1431},{""x"":389,""y"":343,""dx"":-102,""dy"":62,""t"":1466},{""x"":380,""y"":343,""dx"":-111,""dy"":62,""t"":1501},{""x"":399,""y"":344,""dx"":-92,""dy"":63,""t"":1533},{""x"":400,""y"":339,""dx"":-91,""dy"":58,""t"":1568},{""x"":408,""y"":357,""dx"":-83,""dy"":76,""t"":1602},{""x"":412,""y"":358,""dx"":-79,""dy"":77,""t"":1636},{""x"":397,""y"":369,""dx"":-94,""dy"":88,""t"":1670},{""x"":395,""y"":369,""dx"":-96,""dy"":88,""t"":1704},{""x"":405,""y"":368,""dx"":-86,""dy"":87,""t"":1738},{""x"":410,""y"":374,""dx"":-81,""dy"":93,""t"":1772},{""x"":397,""y"":374,""dx"":-94,""dy"":93,""t"":1806},{""x"":399,""y"":368,""dx"":-92,""dy"":87,""t"":1840},{""x"":405,""y"":364,""dx"":-86,""dy"":83,""t"":1874},{""x"":400,""y"":367,""dx"":-91,""dy"":86,""t"":1908},{""x"":401,""y"":356,""dx"":-90,""dy"":75,""t"":1942},{""x"":389,""y"":363,""dx"":-102,""dy"":82,""t"":1976},{""x"":403,""y"":361,""dx"":-88,""dy"":80,""t"":2010},{""x"":400,""y"":354,""dx"":-91,""dy"":73,""t"":2043},{""x"":404,""y"":354,""dx"":-87,""dy"":73,""t"":2078},{""x"":401,""y"":351,""dx"":-90,""dy"":70,""t"":2112},{""x"":408,""y"":347,""dx"":-83,""dy"":66,""t"":2146},{""x"":403,""y"":350,""dx"":-88,""dy"":69,""t"":2180},{""x"":409,""y"":356,""dx"":-82,""dy"":75,""t"":2214},{""x"":414,""y"":361,""dx"":-77,""dy"":80,""t"":2245},{""x"":387,""y"":354,""dx"":-104,""dy"":73,""t"":2282},{""x"":463,""y"":357,""dx"":-28,""dy"":76,""t"":2316},{""x"":427,""y"":357,""dx"":-64,""dy"":76,""t"":2350},{""x"":391,""y"":300,""dx"":-100,""dy"":19,""t"":2385},{""x"":393,""y"":309,""dx"":-98,""dy"":28,""t"":2418},{""x"":419,""y"":269,""dx"":-72,""dy"":-12,""t"":2452},{""x"":398,""y"":282,""dx"":-93,""dy"":1,""t"":2487},{""x"":471,""y"":298,""dx"":-20,""dy"":17,""t"":2520},{""x"":425,""y"":256,""dx"":-66,""dy"":-25,""t"":2554},{""x"":409,""y"":278,""dx"":-82,""dy"":-3,""t"":2588},{""x"":445,""y"":253,""dx"":-46,""dy"":-28,""t"":2622},{""x"":506,""y"":278,""dx"":15,""dy"":-3,""t"":2656},{""x"":458,""y"":296,""dx"":-33,""dy"":15,""t"":2691},{""x"":418,""y"":315,""dx"":-73,""dy"":34,""t"":2723},{""x"":480,""y"":335,""dx"":-11,""dy"":54,""t"":2758},{""x"":468,""y"":349,""dx"":-23,""dy"":68,""t"":2791},{""x"":471,""y"":361,""dx"":-20,""dy"":80,""t"":2826},{""x"":457,""y"":359,""dx"":-34,""dy"":78,""t"":2860},{""x"":443,""y"":354,""dx"":-48,""dy"":73,""t"":2893},{""x"":430,""y"":351,""dx"":-61,""dy"":70,""t"":2928},{""x"":399,""y"":338,""dx"":-92,""dy"":57,""t"":2963}],[{""x"":1752,""y"":378,""dx"":301,""dy"":97,""t"":4017},{""x"":1727,""y"":381,""dx"":276,""dy"":100,""t"":4050},{""x"":1713,""y"":396,""dx"":262,""dy"":115,""t"":4084},{""x"":1695,""y"":392,""dx"":244,""dy"":111,""t"":4117},{""x"":1655,""y"":334,""dx"":204,""dy"":53,""t"":4152},{""x"":1655,""y"":342,""dx"":204,""dy"":61,""t"":4186},{""x"":1647,""y"":353,""dx"":196,""dy"":72,""t"":4221},{""x"":1641,""y"":362,""dx"":190,""dy"":81,""t"":4251},{""x"":1628,""y"":371,""dx"":177,""dy"":90,""t"":4288},{""x"":1614,""y"":379,""dx"":163,""dy"":98,""t"":4323},{""x"":1619,""y"":377,""dx"":168,""dy"":96,""t"":4357},{""x"":1615,""y"":377,""dx"":164,""dy"":96,""t"":4390},{""x"":1589,""y"":322,""dx"":138,""dy"":41,""t"":4424},{""x"":1597,""y"":343,""dx"":146,""dy"":62,""t"":4458},{""x"":1596,""y"":362,""dx"":145,""dy"":81,""t"":4492},{""x"":1614,""y"":381,""dx"":163,""dy"":100,""t"":4526},{""x"":1623,""y"":388,""dx"":172,""dy"":107,""t"":4560},{""x"":1592,""y"":342,""dx"":141,""dy"":61,""t"":4593},{""x"":1576,""y"":359,""dx"":125,""dy"":78,""t"":4628},{""x"":1573,""y"":334,""dx"":122,""dy"":53,""t"":4662},{""x"":1564,""y"":314,""dx"":113,""dy"":33,""t"":4697},{""x"":1587,""y"":347,""dx"":136,""dy"":66,""t"":4730},{""x"":1595,""y"":340,""dx"":144,""dy"":59,""t"":4764},{""x"":1594,""y"":329,""dx"":143,""dy"":48,""t"":4797},{""x"":1579,""y"":312,""dx"":128,""dy"":31,""t"":4832},{""x"":1573,""y"":357,""dx"":122,""dy"":76,""t"":4866},{""x"":1567,""y"":395,""dx"":116,""dy"":114,""t"":4900},{""x"":1567,""y"":418,""dx"":116,""dy"":137,""t"":4934},{""x"":1543,""y"":391,""dx"":92,""dy"":110,""t"":4968},{""x"":1542,""y"":413,""dx"":91,""dy"":132,""t"":5002},{""x"":1522,""y"":399,""dx"":71,""dy"":118,""t"":5036},{""x"":1529,""y"":379,""dx"":78,""dy"":98,""t"":5071},{""x"":1538,""y"":366,""dx"":87,""dy"":85,""t"":5103},{""x"":1577,""y"":402,""dx"":126,""dy"":121,""t"":5138},{""x"":1593,""y"":383,""dx"":142,""dy"":102,""t"":5172},{""x"":1604,""y"":362,""dx"":153,""dy"":81,""t"":5207},{""x"":1608,""y"":383,""dx"":157,""dy"":102,""t"":5240},{""x"":1613,""y"":397,""dx"":162,""dy"":116,""t"":5273},{""x"":1619,""y"":416,""dx"":168,""dy"":135,""t"":5308},{""x"":1624,""y"":425,""dx"":173,""dy"":144,""t"":5342},{""x"":1616,""y"":429,""dx"":165,""dy"":148,""t"":5376},{""x"":1608,""y"":432,""dx"":157,""dy"":151,""t"":5408},{""x"":1587,""y"":434,""dx"":136,""dy"":153,""t"":5443},{""x"":1585,""y"":443,""dx"":134,""dy"":162,""t"":5478},{""x"":1565,""y"":444,""dx"":114,""dy"":163,""t"":5512},{""x"":1548,""y"":445,""dx"":97,""dy"":164,""t"":5545},{""x"":1568,""y"":445,""dx"":117,""dy"":164,""t"":5581},{""x"":1564,""y"":442,""dx"":113,""dy"":161,""t"":5614},{""x"":1557,""y"":448,""dx"":106,""dy"":167,""t"":5649},{""x"":1540,""y"":449,""dx"":89,""dy"":168,""t"":5682},{""x"":1520,""y"":447,""dx"":69,""dy"":166,""t"":5716},{""x"":1519,""y"":443,""dx"":68,""dy"":162,""t"":5751},{""x"":1519,""y"":440,""dx"":68,""dy"":159,""t"":5784},{""x"":1519,""y"":437,""dx"":68,""dy"":156,""t"":5816},{""x"":1528,""y"":439,""dx"":77,""dy"":158,""t"":5852},{""x"":1537,""y"":436,""dx"":86,""dy"":155,""t"":5886},{""x"":1561,""y"":435,""dx"":110,""dy"":154,""t"":5921},{""x"":1553,""y"":435,""dx"":102,""dy"":154,""t"":5953},{""x"":1544,""y"":434,""dx"":93,""dy"":153,""t"":5988}],[{""x"":918,""y"":628,""dx"":-53,""dy"":77,""t"":7006},{""x"":964,""y"":636,""dx"":-7,""dy"":85,""t"":7042},{""x"":961,""y"":648,""dx"":-10,""dy"":97,""t"":7077},{""x"":960,""y"":665,""dx"":-11,""dy"":114,""t"":7110},{""x"":973,""y"":668,""dx"":2,""dy"":117,""t"":7144},{""x"":978,""y"":673,""dx"":7,""dy"":122,""t"":7178},{""x"":983,""y"":679,""dx"":12,""dy"":128,""t"":7211},{""x"":969,""y"":681,""dx"":-2,""dy"":130,""t"":7246},{""x"":979,""y"":677,""dx"":8,""dy"":126,""t"":7279},{""x"":975,""y"":671,""dx"":4,""dy"":120,""t"":7314},{""x"":979,""y"":678,""dx"":8,""dy"":127,""t"":7349},{""x"":990,""y"":670,""dx"":19,""dy"":119,""t"":7383},{""x"":998,""y"":662,""dx"":27,""dy"":111,""t"":7414},{""x"":1002,""y"":658,""dx"":31,""dy"":107,""t"":7450},{""x"":1007,""y"":655,""dx"":36,""dy"":104,""t"":7484},{""x"":1010,""y"":660,""dx"":39,""dy"":109,""t"":7517},{""x"":997,""y"":657,""dx"":26,""dy"":106,""t"":7552},{""x"":1007,""y"":649,""dx"":36,""dy"":98,""t"":7588},{""x"":999,""y"":659,""dx"":28,""dy"":108,""t"":7620},{""x"":1006,""y"":653,""dx"":35,""dy"":102,""t"":7653},{""x"":1017,""y"":656,""dx"":46,""dy"":105,""t"":7688},{""x"":1004,""y"":665,""dx"":33,""dy"":114,""t"":7722},{""x"":999,""y"":665,""dx"":28,""dy"":114,""t"":7757},{""x"":1004,""y"":673,""dx"":33,""dy"":122,""t"":7790},{""x"":1000,""y"":670,""dx"":29,""dy"":119,""t"":7824},{""x"":981,""y"":674,""dx"":10,""dy"":123,""t"":7858},{""x"":983,""y"":675,""dx"":12,""dy"":124,""t"":7894},{""x"":997,""y"":674,""dx"":26,""dy"":123,""t"":7926},{""x"":1007,""y"":680,""dx"":36,""dy"":129,""t"":7960},{""x"":1015,""y"":686,""dx"":44,""dy"":135,""t"":7994},{""x"":1011,""y"":682,""dx"":40,""dy"":131,""t"":8027},{""x"":1019,""y"":682,""dx"":48,""dy"":131,""t"":8062},{""x"":1029,""y"":682,""dx"":58,""dy"":131,""t"":8096},{""x"":1025,""y"":683,""dx"":54,""dy"":132,""t"":8130},{""x"":1019,""y"":677,""dx"":48,""dy"":126,""t"":8165},{""x"":1013,""y"":680,""dx"":42,""dy"":129,""t"":8198},{""x"":1020,""y"":674,""dx"":49,""dy"":123,""t"":8233},{""x"":1019,""y"":671,""dx"":48,""dy"":120,""t"":8266},{""x"":1015,""y"":665,""dx"":44,""dy"":114,""t"":8299},{""x"":1024,""y"":663,""dx"":53,""dy"":112,""t"":8334},{""x"":1030,""y"":664,""dx"":59,""dy"":113,""t"":8368},{""x"":1014,""y"":668,""dx"":43,""dy"":117,""t"":8403},{""x"":1021,""y"":683,""dx"":50,""dy"":132,""t"":8436},{""x"":1018,""y"":680,""dx"":47,""dy"":129,""t"":8470},{""x"":1007,""y"":676,""dx"":36,""dy"":125,""t"":8504},{""x"":994,""y"":678,""dx"":23,""dy"":127,""t"":8538},{""x"":977,""y"":670,""dx"":6,""dy"":119,""t"":8572},{""x"":963,""y"":662,""dx"":-8,""dy"":111,""t"":8606},{""x"":973,""y"":652,""dx"":2,""dy"":101,""t"":8640},{""x"":968,""y"":648,""dx"":-3,""dy"":97,""t"":8674},{""x"":991,""y"":634,""dx"":20,""dy"":83,""t"":8708},{""x"":1001,""y"":626,""dx"":30,""dy"":75,""t"":8780},{""x"":975,""y"":632,""dx"":4,""dy"":81,""t"":8810},{""x"":978,""y"":620,""dx"":7,""dy"":69,""t"":8844},{""x"":986,""y"":632,""dx"":15,""dy"":81,""t"":8878},{""x"":1010,""y"":647,""dx"":39,""dy"":96,""t"":8912},{""x"":1005,""y"":639,""dx"":34,""dy"":88,""t"":8946},{""x"":1000,""y"":632,""dx"":29,""dy"":81,""t"":8978},{""x"":1011,""y"":634,""dx"":40,""dy"":83,""t"":9014}],[{""x"":492,""y"":641,""dx"":1,""dy"":-180,""t"":10034},{""x"":496,""y"":642,""dx"":5,""dy"":-179,""t"":10068},{""x"":514,""y"":647,""dx"":23,""dy"":-174,""t"":10102},{""x"":519,""y"":633,""dx"":28,""dy"":-188,""t"":10136},{""x"":533,""y"":654,""dx"":42,""dy"":-167,""t"":10169},{""x"":497,""y"":664,""dx"":6,""dy"":-157,""t"":10205},{""x"":518,""y"":662,""dx"":27,""dy"":-159,""t"":10240},{""x"":516,""y"":657,""dx"":25,""dy"":-164,""t"":10271},{""x"":508,""y"":684,""dx"":17,""dy"":-137,""t"":10306},{""x"":511,""y"":680,""dx"":20,""dy"":-141,""t"":10341},{""x"":494,""y"":670,""dx"":3,""dy"":-151,""t"":10374},{""x"":475,""y"":673,""dx"":-16,""dy"":-148,""t"":10408},{""x"":463,""y"":677,""dx"":-28,""dy"":-144,""t"":10442},{""x"":448,""y"":706,""dx"":-43,""dy"":-115,""t"":10476},{""x"":475,""y"":710,""dx"":-16,""dy"":-111,""t"":10510},{""x"":469,""y"":711,""dx"":-22,""dy"":-110,""t"":10544},{""x"":482,""y"":706,""dx"":-9,""dy"":-115,""t"":10576},{""x"":458,""y"":725,""dx"":-33,""dy"":-96,""t"":10612},{""x"":452,""y"":738,""dx"":-39,""dy"":-83,""t"":10646},{""x"":465,""y"":763,""dx"":-26,""dy"":-58,""t"":10680},{""x"":484,""y"":756,""dx"":-7,""dy"":-65,""t"":10714},{""x"":495,""y"":770,""dx"":4,""dy"":-51,""t"":10748},{""x"":497,""y"":752,""dx"":6,""dy"":-69,""t"":10782},{""x"":531,""y"":756,""dx"":40,""dy"":-65,""t"":10816},{""x"":563,""y"":749,""dx"":72,""dy"":-72,""t"":10850},{""x"":584,""y"":748,""dx"":93,""dy"":-73,""t"":10885},{""x"":597,""y"":754,""dx"":106,""dy"":-67,""t"":10918},{""x"":593,""y"":750,""dx"":102,""dy"":-71,""t"":10951},{""x"":588,""y"":746,""dx"":97,""dy"":-75,""t"":10984},{""x"":592,""y"":777,""dx"":101,""dy"":-44,""t"":11021},{""x"":586,""y"":765,""dx"":95,""dy"":-56,""t"":11054},{""x"":570,""y"":773,""dx"":79,""dy"":-48,""t"":11088},{""x"":554,""y"":763,""dx"":63,""dy"":-58,""t"":11122},{""x"":541,""y"":755,""dx"":50,""dy"":-66,""t"":11156},{""x"":557,""y"":762,""dx"":66,""dy"":-59,""t"":11191},{""x"":594,""y"":772,""dx"":103,""dy"":-49,""t"":11223},{""x"":627,""y"":782,""dx"":136,""dy"":-39,""t"":11258},{""x"":637,""y"":780,""dx"":146,""dy"":-41,""t"":11292},{""x"":646,""y"":772,""dx"":155,""dy"":-49,""t"":11327},{""x"":649,""y"":768,""dx"":158,""dy"":-53,""t"":11361},{""x"":652,""y"":763,""dx"":161,""dy"":-58,""t"":11394},{""x"":645,""y"":755,""dx"":154,""dy"":-66,""t"":11428},{""x"":665,""y"":782,""dx"":174,""dy"":-39,""t"":11462},{""x"":695,""y"":782,""dx"":204,""dy"":-39,""t"":11496},{""x"":693,""y"":781,""dx"":202,""dy"":-40,""t"":11530},{""x"":689,""y"":790,""dx"":198,""dy"":-31,""t"":11564},{""x"":702,""y"":801,""dx"":211,""dy"":-20,""t"":11598},{""x"":688,""y"":805,""dx"":197,""dy"":-16,""t"":11632},{""x"":686,""y"":808,""dx"":195,""dy"":-13,""t"":11666},{""x"":679,""y"":775,""dx"":188,""dy"":-46,""t"":11699},{""x"":653,""y"":773,""dx"":162,""dy"":-48,""t"":11734},{""x"":617,""y"":772,""dx"":126,""dy"":-49,""t"":11768},{""x"":604,""y"":777,""dx"":113,""dy"":-44,""t"":11802},{""x"":607,""y"":788,""dx"":116,""dy"":-33,""t"":11836},{""x"":595,""y"":798,""dx"":104,""dy"":-23,""t"":11870},{""x"":604,""y"":806,""dx"":113,""dy"":-15,""t"":11904},{""x"":616,""y"":805,""dx"":125,""dy"":-16,""t"":11938},{""x"":619,""y"":804,""dx"":128,""dy"":-17,""t"":11972},{""x"":609,""y"":807,""dx"":118,""dy"":-14,""t"":12006}],[{""x"":1622,""y"":835,""dx"":171,""dy"":14,""t"":13026},{""x"":1597,""y"":839,""dx"":146,""dy"":18,""t"":13060},{""x"":1576,""y"":842,""dx"":125,""dy"":21,""t"":13093},{""x"":1574,""y"":846,""dx"":123,""dy"":25,""t"":13127},{""x"":1569,""y"":845,""dx"":118,""dy"":24,""t"":13162},{""x"":1563,""y"":833,""dx"":112,""dy"":12,""t"":13196},{""x"":1572,""y"":829,""dx"":121,""dy"":8,""t"":13230},{""x"":1566,""y"":831,""dx"":115,""dy"":10,""t"":13264},{""x"":1575,""y"":829,""dx"":124,""dy"":8,""t"":13298},{""x"":1567,""y"":829,""dx"":116,""dy"":8,""t"":13332},{""x"":1544,""y"":828,""dx"":93,""dy"":7,""t"":13365},{""x"":1543,""y"":828,""dx"":92,""dy"":7,""t"":13401},{""x"":1543,""y"":837,""dx"":92,""dy"":16,""t"":13434},{""x"":1544,""y"":839,""dx"":93,""dy"":18,""t"":13469},{""x"":1548,""y"":840,""dx"":97,""dy"":19,""t"":13503},{""x"":1550,""y"":842,""dx"":99,""dy"":21,""t"":13537},{""x"":1556,""y"":845,""dx"":105,""dy"":24,""t"":13570},{""x"":1566,""y"":850,""dx"":115,""dy"":29,""t"":13603},{""x"":1569,""y"":849,""dx"":118,""dy"":28,""t"":13637},{""x"":1568,""y"":849,""dx"":117,""dy"":28,""t"":13672},{""x"":1566,""y"":854,""dx"":115,""dy"":33,""t"":13706},{""x"":1553,""y"":854,""dx"":102,""dy"":33,""t"":13740},{""x"":1536,""y"":853,""dx"":85,""dy"":32,""t"":13774},{""x"":1540,""y"":860,""dx"":89,""dy"":39,""t"":13808},{""x"":1530,""y"":859,""dx"":79,""dy"":38,""t"":13842},{""x"":1540,""y"":854,""dx"":89,""dy"":33,""t"":13876},{""x"":1546,""y"":852,""dx"":95,""dy"":31,""t"":13910},{""x"":1546,""y"":849,""dx"":95,""dy"":28,""t"":13944},{""x"":1537,""y"":851,""dx"":86,""dy"":30,""t"":13978},{""x"":1537,""y"":848,""dx"":86,""dy"":27,""t"":14011},{""x"":1527,""y"":840,""dx"":76,""dy"":19,""t"":14045},{""x"":1536,""y"":845,""dx"":85,""dy"":24,""t"":14081},{""x"":1522,""y"":848,""dx"":71,""dy"":27,""t"":14113},{""x"":1508,""y"":847,""dx"":57,""dy"":26,""t"":14148},{""x"":1522,""y"":852,""dx"":71,""dy"":31,""t"":14181},{""x"":1532,""y"":856,""dx"":81,""dy"":35,""t"":14216},{""x"":1529,""y"":852,""dx"":78,""dy"":31,""t"":14249},{""x"":1538,""y"":848,""dx"":87,""dy"":27,""t"":14284},{""x"":1525,""y"":849,""dx"":74,""dy"":28,""t"":14318},{""x"":1508,""y"":844,""dx"":57,""dy"":23,""t"":14352},{""x"":1501,""y"":851,""dx"":50,""dy"":30,""t"":14386},{""x"":1507,""y"":853,""dx"":56,""dy"":32,""t"":14420},{""x"":1509,""y"":854,""dx"":58,""dy"":33,""t"":14454},{""x"":1498,""y"":848,""dx"":47,""dy"":27,""t"":14489},{""x"":1488,""y"":843,""dx"":37,""dy"":22,""t"":14520},{""x"":1497,""y"":844,""dx"":46,""dy"":23,""t"":14557},{""x"":1509,""y"":848,""dx"":58,""dy"":27,""t"":14590},{""x"":1521,""y"":848,""dx"":70,""dy"":27,""t"":14625},{""x"":1527,""y"":849,""dx"":76,""dy"":28,""t"":14658},{""x"":1520,""y"":850,""dx"":69,""dy"":29,""t"":14693},{""x"":1508,""y"":850,""dx"":57,""dy"":29,""t"":14726},{""x"":1503,""y"":854,""dx"":52,""dy"":33,""t"":14760},{""x"":1496,""y"":856,""dx"":45,""dy"":35,""t"":14794},{""x"":1506,""y"":864,""dx"":55,""dy"":43,""t"":14828},{""x"":1516,""y"":875,""dx"":65,""dy"":54,""t"":14863},{""x"":1534,""y"":882,""dx"":83,""dy"":61,""t"":14896},{""x"":1542,""y"":886,""dx"":91,""dy"":65,""t"":14930},{""x"":1552,""y"":886,""dx"":101,""dy"":65,""t"":14964},{""x"":1553,""y"":886,""dx"":102,""dy"":65,""t"":14998},{""x"":1558,""y"":881,""dx"":107,""dy"":60,""t"":15032}]]","[100,72.88135593220339,100,93.22033898305084,100]","[{""x"":-68.45762711864407,""y"":52.49152542372882,""r"":42.40574996378889},{""x"":138.77966101694915,""y"":111.50847457627118,""r"":55.803243731134515},{""x"":25.23728813559322,""y"":111.38983050847457,""r"":23.904927559401308},{""x"":78.28813559322033,""y"":-77.52542372881356,""r"":85.4017610306142},{""x"":87.91666666666667,""y"":28.8,""r"":43.77635496375305}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","",""
"","html-keyboard-response","10","48594","0.0-6.0-0.0","","","","","877"," ","","<p>回忆实验（6个刺激物）：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，500毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>要求：记忆所呈现刺激物和其对应的位置，根据目标提示的<b>形状（该条件下，颜色为黑色）</b>或者<b>颜色（该条件下，形状为圆且颜色不为黑）</b>，忽略其拓扑特征，选择对应刺激的位置，</p><p>根据数字键盘的 ""4"", ""7"", ""9"", ""6"", ""3"", ""1""  进行选择响应，如果不记得或者不存在选择""5""。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","49618","0.0-6.0-1.0","","","","","524"," ","","<p>要求：记忆项目的形状。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","50632","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recall","[""1"",""3"",""1"",""4"",""9"",""7"",""9"",""7"",""7"",""4"",""6"",""9"",""1"",""7"",""3"",""7"",""1"",""1"",""3"",""4"",""4"",""4"",""6"",""9"",""1"",""9"",""6"",""9"",""1"",""1"",""7"",""3"",""9"",""7"",""3"",""9"",""3"",""7"",""6"",""3"",""4"",""6"",""6"",""4"",""9"",""6"",""1"",""3"",""1"",""6"",""7"",""7"",""4"",""3"",""3"",""3"",""6"",""1"",""9"",""6"",""9"",""4"",""7"",""6"",""4"",""7"",""3"",""1"",""6"",""9"",""4"",""4""]","500","6","shape","","","","","",""
