"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2128","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2135","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6153","0.0-2.0-0.0","","","","","4013","{""name"":""刘晓"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","8615","0.0-2.0-1.0","","","","","2460","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","9119","0.0-3.0","","","","","502"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","13903","0.0-4.0","","","","","","","","","2186","","","","","","","","","","","","","","","","",""
"","html-button-response","6","14863","0.0-5.0-0.0","","","","","958","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","27235","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","28007","0.0-5.0-2.0","","","","","771","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","61110","0.0-5.0-3.0","","","","","","","","","","[[{""x"":449,""y"":499,""dx"":-42,""dy"":218,""t"":990},{""x"":457,""y"":510,""dx"":-34,""dy"":229,""t"":1024},{""x"":447,""y"":507,""dx"":-44,""dy"":226,""t"":1057},{""x"":446,""y"":525,""dx"":-45,""dy"":244,""t"":1092},{""x"":491,""y"":562,""dx"":0,""dy"":281,""t"":1126},{""x"":514,""y"":585,""dx"":23,""dy"":304,""t"":1160},{""x"":503,""y"":596,""dx"":12,""dy"":315,""t"":1194},{""x"":487,""y"":592,""dx"":-4,""dy"":311,""t"":1228},{""x"":486,""y"":586,""dx"":-5,""dy"":305,""t"":1262},{""x"":486,""y"":586,""dx"":-5,""dy"":305,""t"":1295},{""x"":483,""y"":574,""dx"":-8,""dy"":293,""t"":1330},{""x"":484,""y"":569,""dx"":-7,""dy"":288,""t"":1364},{""x"":468,""y"":558,""dx"":-23,""dy"":277,""t"":1398},{""x"":465,""y"":550,""dx"":-26,""dy"":269,""t"":1432},{""x"":465,""y"":536,""dx"":-26,""dy"":255,""t"":1466},{""x"":461,""y"":536,""dx"":-30,""dy"":255,""t"":1500},{""x"":451,""y"":530,""dx"":-40,""dy"":249,""t"":1534},{""x"":426,""y"":499,""dx"":-65,""dy"":218,""t"":1568},{""x"":423,""y"":496,""dx"":-68,""dy"":215,""t"":1602},{""x"":431,""y"":504,""dx"":-60,""dy"":223,""t"":1636},{""x"":458,""y"":516,""dx"":-33,""dy"":235,""t"":1670},{""x"":462,""y"":530,""dx"":-29,""dy"":249,""t"":1703},{""x"":506,""y"":550,""dx"":15,""dy"":269,""t"":1737},{""x"":491,""y"":500,""dx"":0,""dy"":219,""t"":1773},{""x"":494,""y"":519,""dx"":3,""dy"":238,""t"":1806},{""x"":478,""y"":490,""dx"":-13,""dy"":209,""t"":1840},{""x"":467,""y"":500,""dx"":-24,""dy"":219,""t"":1875},{""x"":458,""y"":508,""dx"":-33,""dy"":227,""t"":1906},{""x"":452,""y"":488,""dx"":-39,""dy"":207,""t"":1942},{""x"":440,""y"":463,""dx"":-51,""dy"":182,""t"":1976},{""x"":471,""y"":501,""dx"":-20,""dy"":220,""t"":2009},{""x"":473,""y"":508,""dx"":-18,""dy"":227,""t"":2043},{""x"":496,""y"":491,""dx"":5,""dy"":210,""t"":2077},{""x"":505,""y"":461,""dx"":14,""dy"":180,""t"":2114},{""x"":492,""y"":444,""dx"":1,""dy"":163,""t"":2146},{""x"":482,""y"":429,""dx"":-9,""dy"":148,""t"":2180},{""x"":487,""y"":439,""dx"":-4,""dy"":158,""t"":2214},{""x"":475,""y"":428,""dx"":-16,""dy"":147,""t"":2248},{""x"":474,""y"":423,""dx"":-17,""dy"":142,""t"":2283},{""x"":469,""y"":412,""dx"":-22,""dy"":131,""t"":2316},{""x"":459,""y"":392,""dx"":-32,""dy"":111,""t"":2350},{""x"":460,""y"":409,""dx"":-31,""dy"":128,""t"":2385},{""x"":457,""y"":398,""dx"":-34,""dy"":117,""t"":2417},{""x"":485,""y"":405,""dx"":-6,""dy"":124,""t"":2475},{""x"":509,""y"":412,""dx"":18,""dy"":131,""t"":2486},{""x"":508,""y"":409,""dx"":17,""dy"":128,""t"":2521},{""x"":555,""y"":422,""dx"":64,""dy"":141,""t"":2553},{""x"":536,""y"":398,""dx"":45,""dy"":117,""t"":2587},{""x"":530,""y"":417,""dx"":39,""dy"":136,""t"":2622},{""x"":502,""y"":429,""dx"":11,""dy"":148,""t"":2655},{""x"":478,""y"":445,""dx"":-13,""dy"":164,""t"":2690},{""x"":462,""y"":450,""dx"":-29,""dy"":169,""t"":2724},{""x"":434,""y"":460,""dx"":-57,""dy"":179,""t"":2758},{""x"":424,""y"":473,""dx"":-67,""dy"":192,""t"":2791},{""x"":412,""y"":484,""dx"":-79,""dy"":203,""t"":2827},{""x"":445,""y"":497,""dx"":-46,""dy"":216,""t"":2860},{""x"":432,""y"":510,""dx"":-59,""dy"":229,""t"":2895},{""x"":458,""y"":545,""dx"":-33,""dy"":264,""t"":2928},{""x"":462,""y"":563,""dx"":-29,""dy"":282,""t"":2962},{""x"":480,""y"":569,""dx"":-11,""dy"":288,""t"":2996}],[{""x"":1614,""y"":630,""dx"":163,""dy"":349,""t"":4016},{""x"":1579,""y"":623,""dx"":128,""dy"":342,""t"":4050},{""x"":1584,""y"":627,""dx"":133,""dy"":346,""t"":4084},{""x"":1550,""y"":624,""dx"":99,""dy"":343,""t"":4118},{""x"":1532,""y"":592,""dx"":81,""dy"":311,""t"":4152},{""x"":1525,""y"":574,""dx"":74,""dy"":293,""t"":4186},{""x"":1503,""y"":590,""dx"":52,""dy"":309,""t"":4219},{""x"":1507,""y"":615,""dx"":56,""dy"":334,""t"":4253},{""x"":1519,""y"":609,""dx"":68,""dy"":328,""t"":4288},{""x"":1474,""y"":559,""dx"":23,""dy"":278,""t"":4322},{""x"":1493,""y"":557,""dx"":42,""dy"":276,""t"":4356},{""x"":1498,""y"":572,""dx"":47,""dy"":291,""t"":4390},{""x"":1501,""y"":584,""dx"":50,""dy"":303,""t"":4424},{""x"":1486,""y"":573,""dx"":35,""dy"":292,""t"":4458},{""x"":1478,""y"":586,""dx"":27,""dy"":305,""t"":4492},{""x"":1489,""y"":590,""dx"":38,""dy"":309,""t"":4525},{""x"":1501,""y"":590,""dx"":50,""dy"":309,""t"":4559},{""x"":1531,""y"":586,""dx"":80,""dy"":305,""t"":4594},{""x"":1505,""y"":592,""dx"":54,""dy"":311,""t"":4628},{""x"":1525,""y"":581,""dx"":74,""dy"":300,""t"":4661},{""x"":1517,""y"":619,""dx"":66,""dy"":338,""t"":4696},{""x"":1524,""y"":610,""dx"":73,""dy"":329,""t"":4730},{""x"":1544,""y"":608,""dx"":93,""dy"":327,""t"":4765},{""x"":1533,""y"":619,""dx"":82,""dy"":338,""t"":4798},{""x"":1551,""y"":619,""dx"":100,""dy"":338,""t"":4832},{""x"":1555,""y"":603,""dx"":104,""dy"":322,""t"":4865},{""x"":1556,""y"":600,""dx"":105,""dy"":319,""t"":4901},{""x"":1556,""y"":580,""dx"":105,""dy"":299,""t"":4934},{""x"":1551,""y"":586,""dx"":100,""dy"":305,""t"":4968},{""x"":1565,""y"":568,""dx"":114,""dy"":287,""t"":5001},{""x"":1570,""y"":576,""dx"":119,""dy"":295,""t"":5037},{""x"":1574,""y"":582,""dx"":123,""dy"":301,""t"":5068},{""x"":1568,""y"":580,""dx"":117,""dy"":299,""t"":5103},{""x"":1574,""y"":578,""dx"":123,""dy"":297,""t"":5138},{""x"":1550,""y"":584,""dx"":99,""dy"":303,""t"":5172},{""x"":1563,""y"":586,""dx"":112,""dy"":305,""t"":5206},{""x"":1544,""y"":584,""dx"":93,""dy"":303,""t"":5240},{""x"":1539,""y"":581,""dx"":88,""dy"":300,""t"":5274},{""x"":1527,""y"":615,""dx"":76,""dy"":334,""t"":5308},{""x"":1536,""y"":610,""dx"":85,""dy"":329,""t"":5342},{""x"":1490,""y"":576,""dx"":39,""dy"":295,""t"":5375},{""x"":1462,""y"":540,""dx"":11,""dy"":259,""t"":5410},{""x"":1467,""y"":546,""dx"":16,""dy"":265,""t"":5444},{""x"":1472,""y"":551,""dx"":21,""dy"":270,""t"":5475},{""x"":1479,""y"":529,""dx"":28,""dy"":248,""t"":5512},{""x"":1489,""y"":529,""dx"":38,""dy"":248,""t"":5545},{""x"":1497,""y"":540,""dx"":46,""dy"":259,""t"":5579},{""x"":1519,""y"":558,""dx"":68,""dy"":277,""t"":5614},{""x"":1513,""y"":573,""dx"":62,""dy"":292,""t"":5648},{""x"":1543,""y"":542,""dx"":92,""dy"":261,""t"":5682},{""x"":1549,""y"":544,""dx"":98,""dy"":263,""t"":5716},{""x"":1514,""y"":538,""dx"":63,""dy"":257,""t"":5750},{""x"":1522,""y"":527,""dx"":71,""dy"":246,""t"":5783},{""x"":1556,""y"":578,""dx"":105,""dy"":297,""t"":5819},{""x"":1536,""y"":570,""dx"":85,""dy"":289,""t"":5851},{""x"":1487,""y"":533,""dx"":36,""dy"":252,""t"":5886},{""x"":1477,""y"":508,""dx"":26,""dy"":227,""t"":5919},{""x"":1500,""y"":525,""dx"":49,""dy"":244,""t"":5954},{""x"":1508,""y"":547,""dx"":57,""dy"":266,""t"":5989}],[{""x"":986,""y"":697,""dx"":15,""dy"":146,""t"":7039},{""x"":1042,""y"":633,""dx"":71,""dy"":82,""t"":7076},{""x"":1022,""y"":644,""dx"":51,""dy"":93,""t"":7110},{""x"":992,""y"":656,""dx"":21,""dy"":105,""t"":7144},{""x"":955,""y"":660,""dx"":-16,""dy"":109,""t"":7178},{""x"":993,""y"":636,""dx"":22,""dy"":85,""t"":7212},{""x"":981,""y"":675,""dx"":10,""dy"":124,""t"":7247},{""x"":980,""y"":662,""dx"":9,""dy"":111,""t"":7280},{""x"":982,""y"":635,""dx"":11,""dy"":84,""t"":7315},{""x"":995,""y"":630,""dx"":24,""dy"":79,""t"":7348},{""x"":950,""y"":638,""dx"":-21,""dy"":87,""t"":7383},{""x"":971,""y"":677,""dx"":0,""dy"":126,""t"":7416},{""x"":964,""y"":676,""dx"":-7,""dy"":125,""t"":7450},{""x"":959,""y"":684,""dx"":-12,""dy"":133,""t"":7484},{""x"":945,""y"":691,""dx"":-26,""dy"":140,""t"":7518},{""x"":991,""y"":708,""dx"":20,""dy"":157,""t"":7552},{""x"":988,""y"":671,""dx"":17,""dy"":120,""t"":7587},{""x"":1003,""y"":675,""dx"":32,""dy"":124,""t"":7620},{""x"":1000,""y"":656,""dx"":29,""dy"":105,""t"":7653},{""x"":995,""y"":636,""dx"":24,""dy"":85,""t"":7688},{""x"":1033,""y"":643,""dx"":62,""dy"":92,""t"":7722},{""x"":1014,""y"":598,""dx"":43,""dy"":47,""t"":7756},{""x"":1011,""y"":579,""dx"":40,""dy"":28,""t"":7790},{""x"":998,""y"":562,""dx"":27,""dy"":11,""t"":7823},{""x"":1005,""y"":580,""dx"":34,""dy"":29,""t"":7859},{""x"":999,""y"":560,""dx"":28,""dy"":9,""t"":7892},{""x"":984,""y"":554,""dx"":13,""dy"":3,""t"":7926},{""x"":968,""y"":534,""dx"":-3,""dy"":-17,""t"":7960},{""x"":969,""y"":556,""dx"":-2,""dy"":5,""t"":7994},{""x"":968,""y"":578,""dx"":-3,""dy"":27,""t"":8027},{""x"":966,""y"":551,""dx"":-5,""dy"":0,""t"":8062},{""x"":979,""y"":550,""dx"":8,""dy"":-1,""t"":8095},{""x"":976,""y"":571,""dx"":5,""dy"":20,""t"":8131},{""x"":984,""y"":580,""dx"":13,""dy"":29,""t"":8164},{""x"":1004,""y"":588,""dx"":33,""dy"":37,""t"":8197},{""x"":1005,""y"":590,""dx"":34,""dy"":39,""t"":8232},{""x"":1018,""y"":612,""dx"":47,""dy"":61,""t"":8266},{""x"":1021,""y"":642,""dx"":50,""dy"":91,""t"":8301},{""x"":1028,""y"":645,""dx"":57,""dy"":94,""t"":8334},{""x"":1056,""y"":626,""dx"":85,""dy"":75,""t"":8368},{""x"":1068,""y"":634,""dx"":97,""dy"":83,""t"":8402},{""x"":1073,""y"":660,""dx"":102,""dy"":109,""t"":8436},{""x"":1067,""y"":629,""dx"":96,""dy"":78,""t"":8470},{""x"":1045,""y"":622,""dx"":74,""dy"":71,""t"":8504},{""x"":1026,""y"":615,""dx"":55,""dy"":64,""t"":8537},{""x"":1024,""y"":612,""dx"":53,""dy"":61,""t"":8572},{""x"":1010,""y"":610,""dx"":39,""dy"":59,""t"":8606},{""x"":1007,""y"":605,""dx"":36,""dy"":54,""t"":8637},{""x"":1009,""y"":609,""dx"":38,""dy"":58,""t"":8674},{""x"":996,""y"":575,""dx"":25,""dy"":24,""t"":8710},{""x"":980,""y"":575,""dx"":9,""dy"":24,""t"":8742},{""x"":970,""y"":571,""dx"":-1,""dy"":20,""t"":8776},{""x"":977,""y"":581,""dx"":6,""dy"":30,""t"":8809},{""x"":966,""y"":571,""dx"":-5,""dy"":20,""t"":8844},{""x"":968,""y"":559,""dx"":-3,""dy"":8,""t"":8879},{""x"":965,""y"":554,""dx"":-6,""dy"":3,""t"":8912},{""x"":978,""y"":560,""dx"":7,""dy"":9,""t"":8946},{""x"":953,""y"":559,""dx"":-18,""dy"":8,""t"":8980},{""x"":964,""y"":552,""dx"":-7,""dy"":1,""t"":9014}],[{""x"":601,""y"":699,""dx"":110,""dy"":-122,""t"":10034},{""x"":626,""y"":711,""dx"":135,""dy"":-110,""t"":10067},{""x"":639,""y"":705,""dx"":148,""dy"":-116,""t"":10102},{""x"":633,""y"":673,""dx"":142,""dy"":-148,""t"":10135},{""x"":642,""y"":703,""dx"":151,""dy"":-118,""t"":10169},{""x"":636,""y"":688,""dx"":145,""dy"":-133,""t"":10204},{""x"":641,""y"":700,""dx"":150,""dy"":-121,""t"":10238},{""x"":637,""y"":699,""dx"":146,""dy"":-122,""t"":10272},{""x"":649,""y"":700,""dx"":158,""dy"":-121,""t"":10306},{""x"":654,""y"":722,""dx"":163,""dy"":-99,""t"":10340},{""x"":654,""y"":732,""dx"":163,""dy"":-89,""t"":10374},{""x"":657,""y"":735,""dx"":166,""dy"":-86,""t"":10408},{""x"":644,""y"":726,""dx"":153,""dy"":-95,""t"":10442},{""x"":649,""y"":730,""dx"":158,""dy"":-91,""t"":10476},{""x"":647,""y"":729,""dx"":156,""dy"":-92,""t"":10511},{""x"":653,""y"":724,""dx"":162,""dy"":-97,""t"":10544},{""x"":655,""y"":729,""dx"":164,""dy"":-92,""t"":10578},{""x"":653,""y"":727,""dx"":162,""dy"":-94,""t"":10610},{""x"":653,""y"":728,""dx"":162,""dy"":-93,""t"":10646},{""x"":637,""y"":712,""dx"":146,""dy"":-109,""t"":10680},{""x"":633,""y"":696,""dx"":142,""dy"":-125,""t"":10714},{""x"":633,""y"":702,""dx"":142,""dy"":-119,""t"":10749},{""x"":633,""y"":694,""dx"":142,""dy"":-127,""t"":10782},{""x"":622,""y"":695,""dx"":131,""dy"":-126,""t"":10816},{""x"":633,""y"":705,""dx"":142,""dy"":-116,""t"":10850},{""x"":668,""y"":734,""dx"":177,""dy"":-87,""t"":10884},{""x"":680,""y"":755,""dx"":189,""dy"":-66,""t"":10918},{""x"":675,""y"":753,""dx"":184,""dy"":-68,""t"":10953},{""x"":668,""y"":738,""dx"":177,""dy"":-83,""t"":10986},{""x"":669,""y"":756,""dx"":178,""dy"":-65,""t"":11019},{""x"":674,""y"":761,""dx"":183,""dy"":-60,""t"":11054},{""x"":676,""y"":754,""dx"":185,""dy"":-67,""t"":11088},{""x"":666,""y"":744,""dx"":175,""dy"":-77,""t"":11122},{""x"":657,""y"":729,""dx"":166,""dy"":-92,""t"":11156},{""x"":658,""y"":727,""dx"":167,""dy"":-94,""t"":11189},{""x"":656,""y"":729,""dx"":165,""dy"":-92,""t"":11224},{""x"":658,""y"":738,""dx"":167,""dy"":-83,""t"":11258},{""x"":659,""y"":734,""dx"":168,""dy"":-87,""t"":11292},{""x"":663,""y"":722,""dx"":172,""dy"":-99,""t"":11326},{""x"":656,""y"":740,""dx"":165,""dy"":-81,""t"":11360},{""x"":651,""y"":736,""dx"":160,""dy"":-85,""t"":11394},{""x"":653,""y"":719,""dx"":162,""dy"":-102,""t"":11428},{""x"":630,""y"":694,""dx"":139,""dy"":-127,""t"":11462},{""x"":633,""y"":680,""dx"":142,""dy"":-141,""t"":11496},{""x"":633,""y"":690,""dx"":142,""dy"":-131,""t"":11561},{""x"":632,""y"":700,""dx"":141,""dy"":-121,""t"":11568},{""x"":633,""y"":711,""dx"":142,""dy"":-110,""t"":11598},{""x"":635,""y"":718,""dx"":144,""dy"":-103,""t"":11631},{""x"":632,""y"":716,""dx"":141,""dy"":-105,""t"":11666},{""x"":628,""y"":700,""dx"":137,""dy"":-121,""t"":11701},{""x"":639,""y"":717,""dx"":148,""dy"":-104,""t"":11735},{""x"":650,""y"":744,""dx"":159,""dy"":-77,""t"":11768},{""x"":648,""y"":750,""dx"":157,""dy"":-71,""t"":11802},{""x"":637,""y"":746,""dx"":146,""dy"":-75,""t"":11836},{""x"":654,""y"":748,""dx"":163,""dy"":-73,""t"":11870},{""x"":663,""y"":740,""dx"":172,""dy"":-81,""t"":11903},{""x"":683,""y"":725,""dx"":192,""dy"":-96,""t"":11938},{""x"":695,""y"":729,""dx"":204,""dy"":-92,""t"":11972},{""x"":695,""y"":749,""dx"":204,""dy"":-72,""t"":12006},{""x"":697,""y"":722,""dx"":206,""dy"":-99,""t"":12040}],[{""x"":1312,""y"":713,""dx"":-139,""dy"":-108,""t"":13060},{""x"":1307,""y"":711,""dx"":-144,""dy"":-110,""t"":13094},{""x"":1303,""y"":717,""dx"":-148,""dy"":-104,""t"":13128},{""x"":1274,""y"":731,""dx"":-177,""dy"":-90,""t"":13161},{""x"":1268,""y"":731,""dx"":-183,""dy"":-90,""t"":13196},{""x"":1262,""y"":747,""dx"":-189,""dy"":-74,""t"":13230},{""x"":1303,""y"":745,""dx"":-148,""dy"":-76,""t"":13264},{""x"":1294,""y"":743,""dx"":-157,""dy"":-78,""t"":13298},{""x"":1294,""y"":719,""dx"":-157,""dy"":-102,""t"":13331},{""x"":1274,""y"":710,""dx"":-177,""dy"":-111,""t"":13366},{""x"":1260,""y"":675,""dx"":-191,""dy"":-146,""t"":13400},{""x"":1263,""y"":640,""dx"":-188,""dy"":-181,""t"":13434},{""x"":1300,""y"":654,""dx"":-151,""dy"":-167,""t"":13467},{""x"":1286,""y"":634,""dx"":-165,""dy"":-187,""t"":13503},{""x"":1281,""y"":633,""dx"":-170,""dy"":-188,""t"":13536},{""x"":1324,""y"":665,""dx"":-127,""dy"":-156,""t"":13570},{""x"":1284,""y"":659,""dx"":-167,""dy"":-162,""t"":13603},{""x"":1265,""y"":630,""dx"":-186,""dy"":-191,""t"":13638},{""x"":1256,""y"":616,""dx"":-195,""dy"":-205,""t"":13673},{""x"":1243,""y"":599,""dx"":-208,""dy"":-222,""t"":13705},{""x"":1267,""y"":639,""dx"":-184,""dy"":-182,""t"":13741},{""x"":1309,""y"":649,""dx"":-142,""dy"":-172,""t"":13772},{""x"":1299,""y"":634,""dx"":-152,""dy"":-187,""t"":13808},{""x"":1316,""y"":622,""dx"":-135,""dy"":-199,""t"":13842},{""x"":1325,""y"":637,""dx"":-126,""dy"":-184,""t"":13876},{""x"":1302,""y"":641,""dx"":-149,""dy"":-180,""t"":13910},{""x"":1294,""y"":660,""dx"":-157,""dy"":-161,""t"":13944},{""x"":1320,""y"":674,""dx"":-131,""dy"":-147,""t"":13978},{""x"":1354,""y"":695,""dx"":-97,""dy"":-126,""t"":14012},{""x"":1368,""y"":720,""dx"":-83,""dy"":-101,""t"":14046},{""x"":1380,""y"":734,""dx"":-71,""dy"":-87,""t"":14080},{""x"":1366,""y"":709,""dx"":-85,""dy"":-112,""t"":14114},{""x"":1365,""y"":727,""dx"":-86,""dy"":-94,""t"":14148},{""x"":1363,""y"":742,""dx"":-88,""dy"":-79,""t"":14180},{""x"":1349,""y"":731,""dx"":-102,""dy"":-90,""t"":14216},{""x"":1330,""y"":716,""dx"":-121,""dy"":-105,""t"":14249},{""x"":1308,""y"":710,""dx"":-143,""dy"":-111,""t"":14285},{""x"":1312,""y"":723,""dx"":-139,""dy"":-98,""t"":14317},{""x"":1319,""y"":722,""dx"":-132,""dy"":-99,""t"":14353},{""x"":1321,""y"":714,""dx"":-130,""dy"":-107,""t"":14385},{""x"":1318,""y"":720,""dx"":-133,""dy"":-101,""t"":14420},{""x"":1328,""y"":745,""dx"":-123,""dy"":-76,""t"":14454},{""x"":1337,""y"":729,""dx"":-114,""dy"":-92,""t"":14487},{""x"":1337,""y"":728,""dx"":-114,""dy"":-93,""t"":14522},{""x"":1332,""y"":710,""dx"":-119,""dy"":-111,""t"":14556},{""x"":1319,""y"":704,""dx"":-132,""dy"":-117,""t"":14590},{""x"":1306,""y"":711,""dx"":-145,""dy"":-110,""t"":14624},{""x"":1315,""y"":729,""dx"":-136,""dy"":-92,""t"":14658},{""x"":1289,""y"":703,""dx"":-162,""dy"":-118,""t"":14692},{""x"":1291,""y"":687,""dx"":-160,""dy"":-134,""t"":14726},{""x"":1305,""y"":686,""dx"":-146,""dy"":-135,""t"":14760},{""x"":1332,""y"":668,""dx"":-119,""dy"":-153,""t"":14795},{""x"":1315,""y"":674,""dx"":-136,""dy"":-147,""t"":14828},{""x"":1307,""y"":659,""dx"":-144,""dy"":-162,""t"":14862},{""x"":1324,""y"":641,""dx"":-127,""dy"":-180,""t"":14895},{""x"":1306,""y"":634,""dx"":-145,""dy"":-187,""t"":14930},{""x"":1278,""y"":637,""dx"":-173,""dy"":-184,""t"":14964},{""x"":1280,""y"":619,""dx"":-171,""dy"":-202,""t"":14998},{""x"":1286,""y"":626,""dx"":-165,""dy"":-195,""t"":15032}]]","[35,0,100,88.33333333333333,50.847457627118644]","[{""x"":-18.65,""y"":212.11666666666667,""r"":79.81712876961491},{""x"":73.9322033898305,""y"":296.89830508474574,""r"":39.16845006646321},{""x"":24.35593220338983,""y"":62.42372881355932,""r"":50.58556567025651},{""x"":159.3,""y"":-99.13333333333334,""r"":34.01946702131694},{""x"":-143.79661016949152,""y"":-134.88135593220338,""r"":48.14372394925828}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.40","validate","","","","","","","","","","",""
"","html-button-response","10","62078","0.0-5.0-4.0-0.0-0.0","","","","","967","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","72453","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","73342","0.0-5.0-4.0-0.0-2.0","","","","","889","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
