"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","6370","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","6377","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","10748","0.0-2.0-0.0","","","","","4366","{""name"":""syx"",""age"":""22""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","12196","0.0-2.0-1.0","","","","","1447","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","13228","0.0-3.0","","","","","1029"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","19918","0.0-4.0","","","","","","","","","1473","","","","","","","","","","","","","","","","",""
"","html-button-response","6","21932","0.0-5.0-0.0","","","","","2012","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","33097","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","34628","0.0-5.0-2.0","","","","","1530","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","53595","0.0-5.0-3.0","","","","","","","","","","[[{""x"":510,""y"":89,""dx"":19,""dy"":-192,""t"":989},{""x"":527,""y"":104,""dx"":36,""dy"":-177,""t"":1024},{""x"":532,""y"":113,""dx"":41,""dy"":-168,""t"":1059},{""x"":531,""y"":124,""dx"":40,""dy"":-157,""t"":1092},{""x"":529,""y"":149,""dx"":38,""dy"":-132,""t"":1126},{""x"":524,""y"":145,""dx"":33,""dy"":-136,""t"":1160},{""x"":516,""y"":136,""dx"":25,""dy"":-145,""t"":1194},{""x"":510,""y"":132,""dx"":19,""dy"":-149,""t"":1229},{""x"":507,""y"":129,""dx"":16,""dy"":-152,""t"":1262},{""x"":511,""y"":133,""dx"":20,""dy"":-148,""t"":1296},{""x"":508,""y"":134,""dx"":17,""dy"":-147,""t"":1329},{""x"":504,""y"":124,""dx"":13,""dy"":-157,""t"":1364},{""x"":510,""y"":114,""dx"":19,""dy"":-167,""t"":1398},{""x"":485,""y"":107,""dx"":-6,""dy"":-174,""t"":1430},{""x"":478,""y"":108,""dx"":-13,""dy"":-173,""t"":1466},{""x"":476,""y"":120,""dx"":-15,""dy"":-161,""t"":1500},{""x"":477,""y"":114,""dx"":-14,""dy"":-167,""t"":1534},{""x"":483,""y"":105,""dx"":-8,""dy"":-176,""t"":1569},{""x"":484,""y"":90,""dx"":-7,""dy"":-191,""t"":1602},{""x"":473,""y"":79,""dx"":-18,""dy"":-202,""t"":1637},{""x"":460,""y"":82,""dx"":-31,""dy"":-199,""t"":1669},{""x"":455,""y"":88,""dx"":-36,""dy"":-193,""t"":1704},{""x"":445,""y"":93,""dx"":-46,""dy"":-188,""t"":1738},{""x"":425,""y"":100,""dx"":-66,""dy"":-181,""t"":1772},{""x"":422,""y"":99,""dx"":-69,""dy"":-182,""t"":1806},{""x"":421,""y"":106,""dx"":-70,""dy"":-175,""t"":1838},{""x"":421,""y"":110,""dx"":-70,""dy"":-171,""t"":1873},{""x"":426,""y"":105,""dx"":-65,""dy"":-176,""t"":1909},{""x"":425,""y"":104,""dx"":-66,""dy"":-177,""t"":1942},{""x"":418,""y"":120,""dx"":-73,""dy"":-161,""t"":1977},{""x"":420,""y"":119,""dx"":-71,""dy"":-162,""t"":2011},{""x"":435,""y"":109,""dx"":-56,""dy"":-172,""t"":2044},{""x"":437,""y"":106,""dx"":-54,""dy"":-175,""t"":2078},{""x"":455,""y"":100,""dx"":-36,""dy"":-181,""t"":2112},{""x"":468,""y"":94,""dx"":-23,""dy"":-187,""t"":2146},{""x"":463,""y"":85,""dx"":-28,""dy"":-196,""t"":2179},{""x"":464,""y"":84,""dx"":-27,""dy"":-197,""t"":2214},{""x"":458,""y"":77,""dx"":-33,""dy"":-204,""t"":2248},{""x"":454,""y"":80,""dx"":-37,""dy"":-201,""t"":2282},{""x"":478,""y"":84,""dx"":-13,""dy"":-197,""t"":2317},{""x"":481,""y"":84,""dx"":-10,""dy"":-197,""t"":2350},{""x"":469,""y"":88,""dx"":-22,""dy"":-193,""t"":2384},{""x"":490,""y"":92,""dx"":-1,""dy"":-189,""t"":2418},{""x"":495,""y"":97,""dx"":4,""dy"":-184,""t"":2452},{""x"":482,""y"":101,""dx"":-9,""dy"":-180,""t"":2485},{""x"":490,""y"":97,""dx"":-1,""dy"":-184,""t"":2521},{""x"":476,""y"":101,""dx"":-15,""dy"":-180,""t"":2553},{""x"":490,""y"":103,""dx"":-1,""dy"":-178,""t"":2588},{""x"":497,""y"":112,""dx"":6,""dy"":-169,""t"":2622},{""x"":494,""y"":117,""dx"":3,""dy"":-164,""t"":2656},{""x"":513,""y"":105,""dx"":22,""dy"":-176,""t"":2690},{""x"":519,""y"":100,""dx"":28,""dy"":-181,""t"":2724},{""x"":522,""y"":98,""dx"":31,""dy"":-183,""t"":2759},{""x"":519,""y"":104,""dx"":28,""dy"":-177,""t"":2792},{""x"":527,""y"":105,""dx"":36,""dy"":-176,""t"":2826},{""x"":525,""y"":101,""dx"":34,""dy"":-180,""t"":2860},{""x"":527,""y"":107,""dx"":36,""dy"":-174,""t"":2894},{""x"":533,""y"":106,""dx"":42,""dy"":-175,""t"":2929},{""x"":532,""y"":102,""dx"":41,""dy"":-179,""t"":2961}],[{""x"":1468,""y"":217,""dx"":17,""dy"":-64,""t"":4017},{""x"":1454,""y"":217,""dx"":3,""dy"":-64,""t"":4050},{""x"":1451,""y"":222,""dx"":0,""dy"":-59,""t"":4084},{""x"":1443,""y"":220,""dx"":-8,""dy"":-61,""t"":4118},{""x"":1437,""y"":223,""dx"":-14,""dy"":-58,""t"":4152},{""x"":1432,""y"":224,""dx"":-19,""dy"":-57,""t"":4187},{""x"":1427,""y"":228,""dx"":-24,""dy"":-53,""t"":4219},{""x"":1422,""y"":219,""dx"":-29,""dy"":-62,""t"":4254},{""x"":1423,""y"":215,""dx"":-28,""dy"":-66,""t"":4287},{""x"":1402,""y"":221,""dx"":-49,""dy"":-60,""t"":4323},{""x"":1404,""y"":211,""dx"":-47,""dy"":-70,""t"":4356},{""x"":1402,""y"":206,""dx"":-49,""dy"":-75,""t"":4390},{""x"":1399,""y"":211,""dx"":-52,""dy"":-70,""t"":4424},{""x"":1396,""y"":212,""dx"":-55,""dy"":-69,""t"":4459},{""x"":1401,""y"":213,""dx"":-50,""dy"":-68,""t"":4492},{""x"":1392,""y"":206,""dx"":-59,""dy"":-75,""t"":4525},{""x"":1383,""y"":211,""dx"":-68,""dy"":-70,""t"":4560},{""x"":1394,""y"":218,""dx"":-57,""dy"":-63,""t"":4594},{""x"":1406,""y"":217,""dx"":-45,""dy"":-64,""t"":4628},{""x"":1406,""y"":214,""dx"":-45,""dy"":-67,""t"":4662},{""x"":1410,""y"":204,""dx"":-41,""dy"":-77,""t"":4696},{""x"":1412,""y"":198,""dx"":-39,""dy"":-83,""t"":4730},{""x"":1406,""y"":199,""dx"":-45,""dy"":-82,""t"":4764},{""x"":1400,""y"":199,""dx"":-51,""dy"":-82,""t"":4798},{""x"":1402,""y"":202,""dx"":-49,""dy"":-79,""t"":4832},{""x"":1396,""y"":204,""dx"":-55,""dy"":-77,""t"":4866},{""x"":1391,""y"":203,""dx"":-60,""dy"":-78,""t"":4901},{""x"":1393,""y"":204,""dx"":-58,""dy"":-77,""t"":4934},{""x"":1392,""y"":207,""dx"":-59,""dy"":-74,""t"":4967},{""x"":1389,""y"":203,""dx"":-62,""dy"":-78,""t"":4999},{""x"":1382,""y"":201,""dx"":-69,""dy"":-80,""t"":5036},{""x"":1386,""y"":203,""dx"":-65,""dy"":-78,""t"":5070},{""x"":1386,""y"":205,""dx"":-65,""dy"":-76,""t"":5104},{""x"":1392,""y"":213,""dx"":-59,""dy"":-68,""t"":5137},{""x"":1389,""y"":212,""dx"":-62,""dy"":-69,""t"":5173},{""x"":1389,""y"":208,""dx"":-62,""dy"":-73,""t"":5206},{""x"":1395,""y"":191,""dx"":-56,""dy"":-90,""t"":5240},{""x"":1397,""y"":196,""dx"":-54,""dy"":-85,""t"":5274},{""x"":1404,""y"":196,""dx"":-47,""dy"":-85,""t"":5308},{""x"":1412,""y"":195,""dx"":-39,""dy"":-86,""t"":5342},{""x"":1408,""y"":195,""dx"":-43,""dy"":-86,""t"":5376},{""x"":1400,""y"":197,""dx"":-51,""dy"":-84,""t"":5409},{""x"":1398,""y"":189,""dx"":-53,""dy"":-92,""t"":5473},{""x"":1396,""y"":183,""dx"":-55,""dy"":-98,""t"":5482},{""x"":1393,""y"":189,""dx"":-58,""dy"":-92,""t"":5511},{""x"":1397,""y"":196,""dx"":-54,""dy"":-85,""t"":5546},{""x"":1400,""y"":204,""dx"":-51,""dy"":-77,""t"":5580},{""x"":1399,""y"":211,""dx"":-52,""dy"":-70,""t"":5614},{""x"":1411,""y"":212,""dx"":-40,""dy"":-69,""t"":5647},{""x"":1416,""y"":211,""dx"":-35,""dy"":-70,""t"":5682},{""x"":1417,""y"":210,""dx"":-34,""dy"":-71,""t"":5716},{""x"":1424,""y"":208,""dx"":-27,""dy"":-73,""t"":5750},{""x"":1424,""y"":212,""dx"":-27,""dy"":-69,""t"":5785},{""x"":1427,""y"":217,""dx"":-24,""dy"":-64,""t"":5817},{""x"":1428,""y"":218,""dx"":-23,""dy"":-63,""t"":5852},{""x"":1434,""y"":218,""dx"":-17,""dy"":-63,""t"":5885},{""x"":1434,""y"":219,""dx"":-17,""dy"":-62,""t"":5920},{""x"":1433,""y"":216,""dx"":-18,""dy"":-65,""t"":5954},{""x"":1437,""y"":218,""dx"":-14,""dy"":-63,""t"":5988}],[{""x"":958,""y"":526,""dx"":-13,""dy"":-25,""t"":7006},{""x"":908,""y"":672,""dx"":-63,""dy"":121,""t"":7042},{""x"":874,""y"":765,""dx"":-97,""dy"":214,""t"":7076},{""x"":869,""y"":826,""dx"":-102,""dy"":275,""t"":7110},{""x"":862,""y"":841,""dx"":-109,""dy"":290,""t"":7143},{""x"":875,""y"":809,""dx"":-96,""dy"":258,""t"":7178},{""x"":872,""y"":764,""dx"":-99,""dy"":213,""t"":7212},{""x"":880,""y"":712,""dx"":-91,""dy"":161,""t"":7246},{""x"":886,""y"":643,""dx"":-85,""dy"":92,""t"":7280},{""x"":875,""y"":596,""dx"":-96,""dy"":45,""t"":7314},{""x"":884,""y"":540,""dx"":-87,""dy"":-11,""t"":7347},{""x"":899,""y"":503,""dx"":-72,""dy"":-48,""t"":7382},{""x"":905,""y"":464,""dx"":-66,""dy"":-87,""t"":7417},{""x"":892,""y"":431,""dx"":-79,""dy"":-120,""t"":7450},{""x"":910,""y"":431,""dx"":-61,""dy"":-120,""t"":7484},{""x"":912,""y"":422,""dx"":-59,""dy"":-129,""t"":7519},{""x"":910,""y"":404,""dx"":-61,""dy"":-147,""t"":7552},{""x"":923,""y"":392,""dx"":-48,""dy"":-159,""t"":7586},{""x"":918,""y"":381,""dx"":-53,""dy"":-170,""t"":7621},{""x"":935,""y"":381,""dx"":-36,""dy"":-170,""t"":7654},{""x"":945,""y"":380,""dx"":-26,""dy"":-171,""t"":7688},{""x"":955,""y"":386,""dx"":-16,""dy"":-165,""t"":7721},{""x"":956,""y"":403,""dx"":-15,""dy"":-148,""t"":7756},{""x"":966,""y"":407,""dx"":-5,""dy"":-144,""t"":7790},{""x"":960,""y"":422,""dx"":-11,""dy"":-129,""t"":7823},{""x"":962,""y"":409,""dx"":-9,""dy"":-142,""t"":7858},{""x"":968,""y"":411,""dx"":-3,""dy"":-140,""t"":7892},{""x"":955,""y"":397,""dx"":-16,""dy"":-154,""t"":7926},{""x"":962,""y"":410,""dx"":-9,""dy"":-141,""t"":7961},{""x"":980,""y"":425,""dx"":9,""dy"":-126,""t"":7995},{""x"":985,""y"":431,""dx"":14,""dy"":-120,""t"":8028},{""x"":984,""y"":421,""dx"":13,""dy"":-130,""t"":8062},{""x"":983,""y"":429,""dx"":12,""dy"":-122,""t"":8096},{""x"":978,""y"":423,""dx"":7,""dy"":-128,""t"":8129},{""x"":975,""y"":426,""dx"":4,""dy"":-125,""t"":8164},{""x"":978,""y"":422,""dx"":7,""dy"":-129,""t"":8198},{""x"":967,""y"":399,""dx"":-4,""dy"":-152,""t"":8232},{""x"":962,""y"":399,""dx"":-9,""dy"":-152,""t"":8266},{""x"":956,""y"":397,""dx"":-15,""dy"":-154,""t"":8300},{""x"":951,""y"":390,""dx"":-20,""dy"":-161,""t"":8334},{""x"":957,""y"":392,""dx"":-14,""dy"":-159,""t"":8368},{""x"":959,""y"":401,""dx"":-12,""dy"":-150,""t"":8401},{""x"":962,""y"":393,""dx"":-9,""dy"":-158,""t"":8435},{""x"":955,""y"":408,""dx"":-16,""dy"":-143,""t"":8470},{""x"":941,""y"":399,""dx"":-30,""dy"":-152,""t"":8505},{""x"":941,""y"":405,""dx"":-30,""dy"":-146,""t"":8538},{""x"":938,""y"":405,""dx"":-33,""dy"":-146,""t"":8570},{""x"":929,""y"":395,""dx"":-42,""dy"":-156,""t"":8606},{""x"":926,""y"":381,""dx"":-45,""dy"":-170,""t"":8640},{""x"":920,""y"":376,""dx"":-51,""dy"":-175,""t"":8675},{""x"":923,""y"":377,""dx"":-48,""dy"":-174,""t"":8708},{""x"":931,""y"":396,""dx"":-40,""dy"":-155,""t"":8742},{""x"":935,""y"":404,""dx"":-36,""dy"":-147,""t"":8776},{""x"":948,""y"":412,""dx"":-23,""dy"":-139,""t"":8810},{""x"":962,""y"":416,""dx"":-9,""dy"":-135,""t"":8844},{""x"":978,""y"":422,""dx"":7,""dy"":-129,""t"":8878},{""x"":977,""y"":432,""dx"":6,""dy"":-119,""t"":8911},{""x"":980,""y"":425,""dx"":9,""dy"":-126,""t"":8946},{""x"":961,""y"":414,""dx"":-10,""dy"":-137,""t"":8979}],[{""x"":478,""y"":563,""dx"":-13,""dy"":-258,""t"":10034},{""x"":478,""y"":582,""dx"":-13,""dy"":-239,""t"":10067},{""x"":476,""y"":586,""dx"":-15,""dy"":-235,""t"":10102},{""x"":483,""y"":597,""dx"":-8,""dy"":-224,""t"":10136},{""x"":489,""y"":605,""dx"":-2,""dy"":-216,""t"":10168},{""x"":495,""y"":617,""dx"":4,""dy"":-204,""t"":10204},{""x"":498,""y"":617,""dx"":7,""dy"":-204,""t"":10238},{""x"":501,""y"":620,""dx"":10,""dy"":-201,""t"":10272},{""x"":492,""y"":611,""dx"":1,""dy"":-210,""t"":10305},{""x"":492,""y"":612,""dx"":1,""dy"":-209,""t"":10340},{""x"":485,""y"":616,""dx"":-6,""dy"":-205,""t"":10373},{""x"":479,""y"":609,""dx"":-12,""dy"":-212,""t"":10409},{""x"":478,""y"":599,""dx"":-13,""dy"":-222,""t"":10442},{""x"":476,""y"":595,""dx"":-15,""dy"":-226,""t"":10477},{""x"":475,""y"":586,""dx"":-16,""dy"":-235,""t"":10510},{""x"":493,""y"":585,""dx"":2,""dy"":-236,""t"":10544},{""x"":487,""y"":587,""dx"":-4,""dy"":-234,""t"":10577},{""x"":486,""y"":585,""dx"":-5,""dy"":-236,""t"":10613},{""x"":483,""y"":572,""dx"":-8,""dy"":-249,""t"":10646},{""x"":481,""y"":548,""dx"":-10,""dy"":-273,""t"":10679},{""x"":477,""y"":535,""dx"":-14,""dy"":-286,""t"":10714},{""x"":478,""y"":536,""dx"":-13,""dy"":-285,""t"":10748},{""x"":477,""y"":534,""dx"":-14,""dy"":-287,""t"":10781},{""x"":476,""y"":538,""dx"":-15,""dy"":-283,""t"":10816},{""x"":475,""y"":535,""dx"":-16,""dy"":-286,""t"":10850},{""x"":487,""y"":531,""dx"":-4,""dy"":-290,""t"":10884},{""x"":491,""y"":533,""dx"":0,""dy"":-288,""t"":10919},{""x"":492,""y"":526,""dx"":1,""dy"":-295,""t"":10952},{""x"":483,""y"":519,""dx"":-8,""dy"":-302,""t"":10987},{""x"":474,""y"":525,""dx"":-17,""dy"":-296,""t"":11020},{""x"":478,""y"":517,""dx"":-13,""dy"":-304,""t"":11055},{""x"":466,""y"":515,""dx"":-25,""dy"":-306,""t"":11088},{""x"":477,""y"":530,""dx"":-14,""dy"":-291,""t"":11122},{""x"":477,""y"":517,""dx"":-14,""dy"":-304,""t"":11156},{""x"":487,""y"":525,""dx"":-4,""dy"":-296,""t"":11190},{""x"":486,""y"":533,""dx"":-5,""dy"":-288,""t"":11224},{""x"":490,""y"":553,""dx"":-1,""dy"":-268,""t"":11258},{""x"":484,""y"":556,""dx"":-7,""dy"":-265,""t"":11293},{""x"":496,""y"":544,""dx"":5,""dy"":-277,""t"":11326},{""x"":503,""y"":565,""dx"":12,""dy"":-256,""t"":11361},{""x"":494,""y"":574,""dx"":3,""dy"":-247,""t"":11394},{""x"":494,""y"":572,""dx"":3,""dy"":-249,""t"":11429},{""x"":491,""y"":568,""dx"":0,""dy"":-253,""t"":11462},{""x"":496,""y"":565,""dx"":5,""dy"":-256,""t"":11496},{""x"":509,""y"":574,""dx"":18,""dy"":-247,""t"":11529},{""x"":511,""y"":567,""dx"":20,""dy"":-254,""t"":11565},{""x"":508,""y"":577,""dx"":17,""dy"":-244,""t"":11598},{""x"":513,""y"":576,""dx"":22,""dy"":-245,""t"":11631},{""x"":505,""y"":574,""dx"":14,""dy"":-247,""t"":11665},{""x"":505,""y"":575,""dx"":14,""dy"":-246,""t"":11701},{""x"":504,""y"":564,""dx"":13,""dy"":-257,""t"":11732},{""x"":515,""y"":564,""dx"":24,""dy"":-257,""t"":11768},{""x"":508,""y"":566,""dx"":17,""dy"":-255,""t"":11802},{""x"":513,""y"":556,""dx"":22,""dy"":-265,""t"":11837},{""x"":526,""y"":557,""dx"":35,""dy"":-264,""t"":11870},{""x"":539,""y"":563,""dx"":48,""dy"":-258,""t"":11904},{""x"":543,""y"":570,""dx"":52,""dy"":-251,""t"":11938},{""x"":551,""y"":571,""dx"":60,""dy"":-250,""t"":11973},{""x"":561,""y"":566,""dx"":70,""dy"":-255,""t"":12006}],[{""x"":1289,""y"":589,""dx"":-162,""dy"":-232,""t"":13027},{""x"":1271,""y"":595,""dx"":-180,""dy"":-226,""t"":13061},{""x"":1266,""y"":601,""dx"":-185,""dy"":-220,""t"":13094},{""x"":1266,""y"":609,""dx"":-185,""dy"":-212,""t"":13128},{""x"":1255,""y"":615,""dx"":-196,""dy"":-206,""t"":13162},{""x"":1247,""y"":616,""dx"":-204,""dy"":-205,""t"":13196},{""x"":1227,""y"":631,""dx"":-224,""dy"":-190,""t"":13229},{""x"":1225,""y"":615,""dx"":-226,""dy"":-206,""t"":13263},{""x"":1204,""y"":618,""dx"":-247,""dy"":-203,""t"":13297},{""x"":1188,""y"":620,""dx"":-263,""dy"":-201,""t"":13330},{""x"":1180,""y"":614,""dx"":-271,""dy"":-207,""t"":13365},{""x"":1181,""y"":609,""dx"":-270,""dy"":-212,""t"":13400},{""x"":1169,""y"":601,""dx"":-282,""dy"":-220,""t"":13434},{""x"":1182,""y"":616,""dx"":-269,""dy"":-205,""t"":13468},{""x"":1175,""y"":594,""dx"":-276,""dy"":-227,""t"":13502},{""x"":1173,""y"":589,""dx"":-278,""dy"":-232,""t"":13536},{""x"":1181,""y"":568,""dx"":-270,""dy"":-253,""t"":13569},{""x"":1184,""y"":573,""dx"":-267,""dy"":-248,""t"":13604},{""x"":1180,""y"":597,""dx"":-271,""dy"":-224,""t"":13638},{""x"":1184,""y"":583,""dx"":-267,""dy"":-238,""t"":13672},{""x"":1199,""y"":580,""dx"":-252,""dy"":-241,""t"":13706},{""x"":1206,""y"":561,""dx"":-245,""dy"":-260,""t"":13738},{""x"":1203,""y"":575,""dx"":-248,""dy"":-246,""t"":13774},{""x"":1209,""y"":563,""dx"":-242,""dy"":-258,""t"":13808},{""x"":1202,""y"":559,""dx"":-249,""dy"":-262,""t"":13842},{""x"":1192,""y"":547,""dx"":-259,""dy"":-274,""t"":13877},{""x"":1188,""y"":578,""dx"":-263,""dy"":-243,""t"":13910},{""x"":1197,""y"":554,""dx"":-254,""dy"":-267,""t"":13944},{""x"":1196,""y"":534,""dx"":-255,""dy"":-287,""t"":13978},{""x"":1187,""y"":539,""dx"":-264,""dy"":-282,""t"":14012},{""x"":1197,""y"":527,""dx"":-254,""dy"":-294,""t"":14046},{""x"":1205,""y"":523,""dx"":-246,""dy"":-298,""t"":14079},{""x"":1212,""y"":516,""dx"":-239,""dy"":-305,""t"":14114},{""x"":1198,""y"":515,""dx"":-253,""dy"":-306,""t"":14148},{""x"":1195,""y"":527,""dx"":-256,""dy"":-294,""t"":14183},{""x"":1199,""y"":532,""dx"":-252,""dy"":-289,""t"":14216},{""x"":1191,""y"":517,""dx"":-260,""dy"":-304,""t"":14250},{""x"":1200,""y"":509,""dx"":-251,""dy"":-312,""t"":14284},{""x"":1203,""y"":515,""dx"":-248,""dy"":-306,""t"":14318},{""x"":1213,""y"":513,""dx"":-238,""dy"":-308,""t"":14352},{""x"":1215,""y"":528,""dx"":-236,""dy"":-293,""t"":14387},{""x"":1213,""y"":535,""dx"":-238,""dy"":-286,""t"":14420},{""x"":1211,""y"":535,""dx"":-240,""dy"":-286,""t"":14454},{""x"":1211,""y"":526,""dx"":-240,""dy"":-295,""t"":14488},{""x"":1216,""y"":534,""dx"":-235,""dy"":-287,""t"":14522},{""x"":1223,""y"":539,""dx"":-228,""dy"":-282,""t"":14556},{""x"":1232,""y"":541,""dx"":-219,""dy"":-280,""t"":14590},{""x"":1214,""y"":545,""dx"":-237,""dy"":-276,""t"":14624},{""x"":1217,""y"":548,""dx"":-234,""dy"":-273,""t"":14658},{""x"":1223,""y"":556,""dx"":-228,""dy"":-265,""t"":14693},{""x"":1221,""y"":559,""dx"":-230,""dy"":-262,""t"":14726},{""x"":1227,""y"":567,""dx"":-224,""dy"":-254,""t"":14760},{""x"":1233,""y"":580,""dx"":-218,""dy"":-241,""t"":14794},{""x"":1231,""y"":575,""dx"":-220,""dy"":-246,""t"":14829},{""x"":1237,""y"":583,""dx"":-214,""dy"":-238,""t"":14862},{""x"":1236,""y"":591,""dx"":-215,""dy"":-230,""t"":14896},{""x"":1238,""y"":583,""dx"":-213,""dy"":-238,""t"":14929},{""x"":1230,""y"":571,""dx"":-221,""dy"":-250,""t"":14964},{""x"":1234,""y"":577,""dx"":-217,""dy"":-244,""t"":14998}]]","[93.22033898305084,100,91.52542372881356,0,0]","[{""x"":-7.8474576271186445,""y"":-175.67796610169492,""r"":35.871827273730204},{""x"":-41.83050847457627,""y"":-72.67796610169492,""r"":17.318459613324144},{""x"":-33.74576271186441,""y"":-87.55932203389831,""r"":65.3910364440556},{""x"":2.983050847457627,""y"":-255.61016949152543,""r"":33.09794992136846},{""x"":-239.45762711864407,""y"":-254.72881355932202,""r"":36.49418224247096}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
"","html-button-response","10","54867","0.0-5.0-4.0-0.0-0.0","","","","","1271","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","65954","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","66924","0.0-5.0-4.0-0.0-2.0","","","","","969","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
