"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","3471","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3478","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7474","0.0-2.0-0.0","","","","","3993","{""name"":""罗晨曦"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","8690","0.0-2.0-1.0","","","","","1215","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","9290","0.0-3.0","","","","","598"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","16682","0.0-4.0","","","","","","","","","782","","","","","","","","","","","","","","","","",""
"","html-button-response","6","17162","0.0-5.0-0.0","","","","","478","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","27854","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","28609","0.0-5.0-2.0","","","","","755","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","46032","0.0-5.0-3.0","","","","","","","","","","[[{""x"":450,""y"":196,""dx"":-41,""dy"":-85,""t"":989},{""x"":437,""y"":205,""dx"":-54,""dy"":-76,""t"":1025},{""x"":430,""y"":200,""dx"":-61,""dy"":-81,""t"":1059},{""x"":430,""y"":189,""dx"":-61,""dy"":-92,""t"":1092},{""x"":431,""y"":180,""dx"":-60,""dy"":-101,""t"":1124},{""x"":516,""y"":192,""dx"":25,""dy"":-89,""t"":1160},{""x"":551,""y"":219,""dx"":60,""dy"":-62,""t"":1195},{""x"":511,""y"":209,""dx"":20,""dy"":-72,""t"":1227},{""x"":515,""y"":226,""dx"":24,""dy"":-55,""t"":1263},{""x"":500,""y"":261,""dx"":9,""dy"":-20,""t"":1296},{""x"":496,""y"":260,""dx"":5,""dy"":-21,""t"":1329},{""x"":476,""y"":274,""dx"":-15,""dy"":-7,""t"":1365},{""x"":486,""y"":291,""dx"":-5,""dy"":10,""t"":1400},{""x"":455,""y"":271,""dx"":-36,""dy"":-10,""t"":1432},{""x"":484,""y"":274,""dx"":-7,""dy"":-7,""t"":1467},{""x"":510,""y"":275,""dx"":19,""dy"":-6,""t"":1497},{""x"":520,""y"":287,""dx"":29,""dy"":6,""t"":1534},{""x"":536,""y"":288,""dx"":45,""dy"":7,""t"":1569},{""x"":507,""y"":241,""dx"":16,""dy"":-40,""t"":1601},{""x"":501,""y"":287,""dx"":10,""dy"":6,""t"":1637},{""x"":521,""y"":314,""dx"":30,""dy"":33,""t"":1670},{""x"":489,""y"":289,""dx"":-2,""dy"":8,""t"":1704},{""x"":462,""y"":279,""dx"":-29,""dy"":-2,""t"":1738},{""x"":448,""y"":282,""dx"":-43,""dy"":1,""t"":1772},{""x"":423,""y"":293,""dx"":-68,""dy"":12,""t"":1806},{""x"":440,""y"":327,""dx"":-51,""dy"":46,""t"":1842},{""x"":451,""y"":348,""dx"":-40,""dy"":67,""t"":1873},{""x"":458,""y"":345,""dx"":-33,""dy"":64,""t"":1907},{""x"":460,""y"":301,""dx"":-31,""dy"":20,""t"":1942},{""x"":460,""y"":304,""dx"":-31,""dy"":23,""t"":1976},{""x"":457,""y"":310,""dx"":-34,""dy"":29,""t"":2010},{""x"":427,""y"":324,""dx"":-64,""dy"":43,""t"":2043},{""x"":415,""y"":313,""dx"":-76,""dy"":32,""t"":2079},{""x"":441,""y"":311,""dx"":-50,""dy"":30,""t"":2112},{""x"":457,""y"":326,""dx"":-34,""dy"":45,""t"":2145},{""x"":465,""y"":299,""dx"":-26,""dy"":18,""t"":2179},{""x"":447,""y"":309,""dx"":-44,""dy"":28,""t"":2214},{""x"":440,""y"":288,""dx"":-51,""dy"":7,""t"":2248},{""x"":452,""y"":273,""dx"":-39,""dy"":-8,""t"":2283},{""x"":451,""y"":278,""dx"":-40,""dy"":-3,""t"":2316},{""x"":430,""y"":298,""dx"":-61,""dy"":17,""t"":2350},{""x"":419,""y"":338,""dx"":-72,""dy"":57,""t"":2383},{""x"":459,""y"":362,""dx"":-32,""dy"":81,""t"":2419},{""x"":461,""y"":336,""dx"":-30,""dy"":55,""t"":2452},{""x"":479,""y"":323,""dx"":-12,""dy"":42,""t"":2485},{""x"":494,""y"":300,""dx"":3,""dy"":19,""t"":2520},{""x"":499,""y"":282,""dx"":8,""dy"":1,""t"":2554},{""x"":480,""y"":303,""dx"":-11,""dy"":22,""t"":2590},{""x"":480,""y"":303,""dx"":-11,""dy"":22,""t"":2622},{""x"":505,""y"":330,""dx"":14,""dy"":49,""t"":2657},{""x"":628,""y"":372,""dx"":137,""dy"":91,""t"":2690},{""x"":741,""y"":368,""dx"":250,""dy"":87,""t"":2724},{""x"":899,""y"":329,""dx"":408,""dy"":48,""t"":2759},{""x"":1027,""y"":320,""dx"":536,""dy"":39,""t"":2792},{""x"":1134,""y"":301,""dx"":643,""dy"":20,""t"":2825},{""x"":1220,""y"":271,""dx"":729,""dy"":-10,""t"":2861},{""x"":1312,""y"":228,""dx"":821,""dy"":-53,""t"":2894},{""x"":1405,""y"":179,""dx"":914,""dy"":-102,""t"":2928},{""x"":1471,""y"":158,""dx"":980,""dy"":-123,""t"":2962}],[{""x"":1467,""y"":59,""dx"":16,""dy"":-222,""t"":4016},{""x"":1443,""y"":50,""dx"":-8,""dy"":-231,""t"":4050},{""x"":1430,""y"":75,""dx"":-21,""dy"":-206,""t"":4084},{""x"":1415,""y"":83,""dx"":-36,""dy"":-198,""t"":4119},{""x"":1414,""y"":95,""dx"":-37,""dy"":-186,""t"":4152},{""x"":1422,""y"":107,""dx"":-29,""dy"":-174,""t"":4187},{""x"":1442,""y"":140,""dx"":-9,""dy"":-141,""t"":4221},{""x"":1455,""y"":141,""dx"":4,""dy"":-140,""t"":4255},{""x"":1477,""y"":109,""dx"":26,""dy"":-172,""t"":4288},{""x"":1488,""y"":131,""dx"":37,""dy"":-150,""t"":4323},{""x"":1480,""y"":136,""dx"":29,""dy"":-145,""t"":4357},{""x"":1485,""y"":136,""dx"":34,""dy"":-145,""t"":4389},{""x"":1502,""y"":116,""dx"":51,""dy"":-165,""t"":4424},{""x"":1509,""y"":120,""dx"":58,""dy"":-161,""t"":4458},{""x"":1493,""y"":129,""dx"":42,""dy"":-152,""t"":4492},{""x"":1424,""y"":164,""dx"":-27,""dy"":-117,""t"":4525},{""x"":1449,""y"":126,""dx"":-2,""dy"":-155,""t"":4561},{""x"":1428,""y"":128,""dx"":-23,""dy"":-153,""t"":4594},{""x"":1425,""y"":134,""dx"":-26,""dy"":-147,""t"":4627},{""x"":1424,""y"":139,""dx"":-27,""dy"":-142,""t"":4662},{""x"":1429,""y"":123,""dx"":-22,""dy"":-158,""t"":4693},{""x"":1426,""y"":130,""dx"":-25,""dy"":-151,""t"":4731},{""x"":1434,""y"":128,""dx"":-17,""dy"":-153,""t"":4765},{""x"":1460,""y"":131,""dx"":9,""dy"":-150,""t"":4797},{""x"":1476,""y"":106,""dx"":25,""dy"":-175,""t"":4832},{""x"":1458,""y"":106,""dx"":7,""dy"":-175,""t"":4866},{""x"":1458,""y"":92,""dx"":7,""dy"":-189,""t"":4900},{""x"":1470,""y"":113,""dx"":19,""dy"":-168,""t"":4933},{""x"":1472,""y"":127,""dx"":21,""dy"":-154,""t"":4968},{""x"":1472,""y"":141,""dx"":21,""dy"":-140,""t"":5002},{""x"":1487,""y"":163,""dx"":36,""dy"":-118,""t"":5035},{""x"":1509,""y"":196,""dx"":58,""dy"":-85,""t"":5068},{""x"":1480,""y"":181,""dx"":29,""dy"":-100,""t"":5105},{""x"":1482,""y"":183,""dx"":31,""dy"":-98,""t"":5138},{""x"":1456,""y"":171,""dx"":5,""dy"":-110,""t"":5173},{""x"":1407,""y"":172,""dx"":-44,""dy"":-109,""t"":5206},{""x"":1419,""y"":147,""dx"":-32,""dy"":-134,""t"":5239},{""x"":1435,""y"":166,""dx"":-16,""dy"":-115,""t"":5275},{""x"":1430,""y"":184,""dx"":-21,""dy"":-97,""t"":5307},{""x"":1450,""y"":157,""dx"":-1,""dy"":-124,""t"":5341},{""x"":1475,""y"":116,""dx"":24,""dy"":-165,""t"":5375},{""x"":1496,""y"":114,""dx"":45,""dy"":-167,""t"":5410},{""x"":1495,""y"":110,""dx"":44,""dy"":-171,""t"":5444},{""x"":1489,""y"":110,""dx"":38,""dy"":-171,""t"":5478},{""x"":1465,""y"":112,""dx"":14,""dy"":-169,""t"":5512},{""x"":1481,""y"":99,""dx"":30,""dy"":-182,""t"":5547},{""x"":1488,""y"":88,""dx"":37,""dy"":-193,""t"":5581},{""x"":1503,""y"":49,""dx"":52,""dy"":-232,""t"":5614},{""x"":1518,""y"":52,""dx"":67,""dy"":-229,""t"":5649},{""x"":1494,""y"":114,""dx"":43,""dy"":-167,""t"":5682},{""x"":1493,""y"":119,""dx"":42,""dy"":-162,""t"":5717},{""x"":1502,""y"":129,""dx"":51,""dy"":-152,""t"":5749},{""x"":1506,""y"":156,""dx"":55,""dy"":-125,""t"":5784},{""x"":1515,""y"":167,""dx"":64,""dy"":-114,""t"":5819},{""x"":1480,""y"":207,""dx"":29,""dy"":-74,""t"":5852},{""x"":1452,""y"":211,""dx"":1,""dy"":-70,""t"":5886},{""x"":1465,""y"":205,""dx"":14,""dy"":-76,""t"":5920},{""x"":1468,""y"":221,""dx"":17,""dy"":-60,""t"":5954},{""x"":1476,""y"":223,""dx"":25,""dy"":-58,""t"":5988}],[{""x"":971,""y"":426,""dx"":0,""dy"":-125,""t"":7042},{""x"":978,""y"":413,""dx"":7,""dy"":-138,""t"":7076},{""x"":1005,""y"":417,""dx"":34,""dy"":-134,""t"":7110},{""x"":1024,""y"":430,""dx"":53,""dy"":-121,""t"":7145},{""x"":1026,""y"":434,""dx"":55,""dy"":-117,""t"":7177},{""x"":1037,""y"":448,""dx"":66,""dy"":-103,""t"":7212},{""x"":1052,""y"":459,""dx"":81,""dy"":-92,""t"":7247},{""x"":1054,""y"":467,""dx"":83,""dy"":-84,""t"":7280},{""x"":1062,""y"":481,""dx"":91,""dy"":-70,""t"":7313},{""x"":1079,""y"":476,""dx"":108,""dy"":-75,""t"":7348},{""x"":1059,""y"":488,""dx"":88,""dy"":-63,""t"":7383},{""x"":1056,""y"":479,""dx"":85,""dy"":-72,""t"":7416},{""x"":1063,""y"":481,""dx"":92,""dy"":-70,""t"":7449},{""x"":1033,""y"":474,""dx"":62,""dy"":-77,""t"":7483},{""x"":1030,""y"":474,""dx"":59,""dy"":-77,""t"":7518},{""x"":1042,""y"":475,""dx"":71,""dy"":-76,""t"":7553},{""x"":1049,""y"":490,""dx"":78,""dy"":-61,""t"":7586},{""x"":1051,""y"":497,""dx"":80,""dy"":-54,""t"":7620},{""x"":1061,""y"":476,""dx"":90,""dy"":-75,""t"":7654},{""x"":1029,""y"":458,""dx"":58,""dy"":-93,""t"":7688},{""x"":1025,""y"":469,""dx"":54,""dy"":-82,""t"":7722},{""x"":1037,""y"":448,""dx"":66,""dy"":-103,""t"":7756},{""x"":1040,""y"":462,""dx"":69,""dy"":-89,""t"":7790},{""x"":1053,""y"":452,""dx"":82,""dy"":-99,""t"":7824},{""x"":1067,""y"":458,""dx"":96,""dy"":-93,""t"":7857},{""x"":1061,""y"":467,""dx"":90,""dy"":-84,""t"":7893},{""x"":1047,""y"":459,""dx"":76,""dy"":-92,""t"":7926},{""x"":1043,""y"":460,""dx"":72,""dy"":-91,""t"":7961},{""x"":1044,""y"":481,""dx"":73,""dy"":-70,""t"":7994},{""x"":1038,""y"":505,""dx"":67,""dy"":-46,""t"":8028},{""x"":1040,""y"":509,""dx"":69,""dy"":-42,""t"":8062},{""x"":1032,""y"":508,""dx"":61,""dy"":-43,""t"":8097},{""x"":1024,""y"":528,""dx"":53,""dy"":-23,""t"":8130},{""x"":1051,""y"":493,""dx"":80,""dy"":-58,""t"":8164},{""x"":1011,""y"":496,""dx"":40,""dy"":-55,""t"":8197},{""x"":1017,""y"":497,""dx"":46,""dy"":-54,""t"":8232},{""x"":993,""y"":511,""dx"":22,""dy"":-40,""t"":8264},{""x"":965,""y"":531,""dx"":-6,""dy"":-20,""t"":8300},{""x"":958,""y"":518,""dx"":-13,""dy"":-33,""t"":8333},{""x"":936,""y"":513,""dx"":-35,""dy"":-38,""t"":8368},{""x"":940,""y"":479,""dx"":-31,""dy"":-72,""t"":8402},{""x"":939,""y"":470,""dx"":-32,""dy"":-81,""t"":8437},{""x"":942,""y"":457,""dx"":-29,""dy"":-94,""t"":8469},{""x"":949,""y"":449,""dx"":-22,""dy"":-102,""t"":8504},{""x"":991,""y"":476,""dx"":20,""dy"":-75,""t"":8538},{""x"":992,""y"":440,""dx"":21,""dy"":-111,""t"":8573},{""x"":992,""y"":458,""dx"":21,""dy"":-93,""t"":8607},{""x"":1013,""y"":457,""dx"":42,""dy"":-94,""t"":8638},{""x"":1002,""y"":444,""dx"":31,""dy"":-107,""t"":8674},{""x"":997,""y"":444,""dx"":26,""dy"":-107,""t"":8709},{""x"":999,""y"":425,""dx"":28,""dy"":-126,""t"":8742},{""x"":1001,""y"":404,""dx"":30,""dy"":-147,""t"":8776},{""x"":976,""y"":403,""dx"":5,""dy"":-148,""t"":8811},{""x"":976,""y"":420,""dx"":5,""dy"":-131,""t"":8845},{""x"":987,""y"":405,""dx"":16,""dy"":-146,""t"":8878},{""x"":999,""y"":412,""dx"":28,""dy"":-139,""t"":8912},{""x"":1015,""y"":416,""dx"":44,""dy"":-135,""t"":8946},{""x"":1048,""y"":413,""dx"":77,""dy"":-138,""t"":8980},{""x"":1034,""y"":406,""dx"":63,""dy"":-145,""t"":9015}],[{""x"":658,""y"":791,""dx"":167,""dy"":-30,""t"":10068},{""x"":648,""y"":790,""dx"":157,""dy"":-31,""t"":10102},{""x"":652,""y"":771,""dx"":161,""dy"":-50,""t"":10137},{""x"":650,""y"":770,""dx"":159,""dy"":-51,""t"":10170},{""x"":648,""y"":770,""dx"":157,""dy"":-51,""t"":10202},{""x"":653,""y"":796,""dx"":162,""dy"":-25,""t"":10238},{""x"":653,""y"":808,""dx"":162,""dy"":-13,""t"":10272},{""x"":654,""y"":782,""dx"":163,""dy"":-39,""t"":10307},{""x"":653,""y"":765,""dx"":162,""dy"":-56,""t"":10341},{""x"":662,""y"":770,""dx"":171,""dy"":-51,""t"":10374},{""x"":675,""y"":757,""dx"":184,""dy"":-64,""t"":10408},{""x"":684,""y"":760,""dx"":193,""dy"":-61,""t"":10442},{""x"":701,""y"":719,""dx"":210,""dy"":-102,""t"":10475},{""x"":686,""y"":705,""dx"":195,""dy"":-116,""t"":10509},{""x"":696,""y"":728,""dx"":205,""dy"":-93,""t"":10545},{""x"":673,""y"":753,""dx"":182,""dy"":-68,""t"":10579},{""x"":677,""y"":759,""dx"":186,""dy"":-62,""t"":10613},{""x"":667,""y"":778,""dx"":176,""dy"":-43,""t"":10646},{""x"":650,""y"":798,""dx"":159,""dy"":-23,""t"":10680},{""x"":636,""y"":824,""dx"":145,""dy"":3,""t"":10714},{""x"":629,""y"":837,""dx"":138,""dy"":16,""t"":10750},{""x"":610,""y"":852,""dx"":119,""dy"":31,""t"":10782},{""x"":607,""y"":840,""dx"":116,""dy"":19,""t"":10816},{""x"":633,""y"":817,""dx"":142,""dy"":-4,""t"":10849},{""x"":660,""y"":819,""dx"":169,""dy"":-2,""t"":10883},{""x"":638,""y"":840,""dx"":147,""dy"":19,""t"":10918},{""x"":645,""y"":823,""dx"":154,""dy"":2,""t"":10951},{""x"":643,""y"":815,""dx"":152,""dy"":-6,""t"":10985},{""x"":603,""y"":815,""dx"":112,""dy"":-6,""t"":11019},{""x"":598,""y"":842,""dx"":107,""dy"":21,""t"":11054},{""x"":627,""y"":852,""dx"":136,""dy"":31,""t"":11089},{""x"":652,""y"":832,""dx"":161,""dy"":11,""t"":11122},{""x"":605,""y"":830,""dx"":114,""dy"":9,""t"":11155},{""x"":600,""y"":858,""dx"":109,""dy"":37,""t"":11189},{""x"":635,""y"":823,""dx"":144,""dy"":2,""t"":11224},{""x"":620,""y"":824,""dx"":129,""dy"":3,""t"":11258},{""x"":642,""y"":829,""dx"":151,""dy"":8,""t"":11293},{""x"":641,""y"":832,""dx"":150,""dy"":11,""t"":11326},{""x"":651,""y"":848,""dx"":160,""dy"":27,""t"":11360},{""x"":678,""y"":843,""dx"":187,""dy"":22,""t"":11393},{""x"":698,""y"":841,""dx"":207,""dy"":20,""t"":11426},{""x"":695,""y"":838,""dx"":204,""dy"":17,""t"":11463},{""x"":646,""y"":819,""dx"":155,""dy"":-2,""t"":11496},{""x"":648,""y"":834,""dx"":157,""dy"":13,""t"":11529},{""x"":642,""y"":839,""dx"":151,""dy"":18,""t"":11564},{""x"":654,""y"":836,""dx"":163,""dy"":15,""t"":11598},{""x"":669,""y"":844,""dx"":178,""dy"":23,""t"":11632},{""x"":670,""y"":856,""dx"":179,""dy"":35,""t"":11667},{""x"":682,""y"":870,""dx"":191,""dy"":49,""t"":11700},{""x"":667,""y"":849,""dx"":176,""dy"":28,""t"":11734},{""x"":652,""y"":867,""dx"":161,""dy"":46,""t"":11769},{""x"":650,""y"":886,""dx"":159,""dy"":65,""t"":11803},{""x"":648,""y"":901,""dx"":157,""dy"":80,""t"":11833},{""x"":670,""y"":913,""dx"":179,""dy"":92,""t"":11871},{""x"":679,""y"":918,""dx"":188,""dy"":97,""t"":11904},{""x"":656,""y"":873,""dx"":165,""dy"":52,""t"":11939},{""x"":641,""y"":836,""dx"":150,""dy"":15,""t"":11971},{""x"":648,""y"":848,""dx"":157,""dy"":27,""t"":12013}],[{""x"":1338,""y"":655,""dx"":-113,""dy"":-166,""t"":13060},{""x"":1335,""y"":704,""dx"":-116,""dy"":-117,""t"":13093},{""x"":1311,""y"":689,""dx"":-140,""dy"":-132,""t"":13128},{""x"":1289,""y"":689,""dx"":-162,""dy"":-132,""t"":13162},{""x"":1287,""y"":708,""dx"":-164,""dy"":-113,""t"":13196},{""x"":1243,""y"":695,""dx"":-208,""dy"":-126,""t"":13231},{""x"":1229,""y"":699,""dx"":-222,""dy"":-122,""t"":13265},{""x"":1231,""y"":683,""dx"":-220,""dy"":-138,""t"":13298},{""x"":1217,""y"":691,""dx"":-234,""dy"":-130,""t"":13332},{""x"":1210,""y"":712,""dx"":-241,""dy"":-109,""t"":13366},{""x"":1211,""y"":753,""dx"":-240,""dy"":-68,""t"":13397},{""x"":1232,""y"":757,""dx"":-219,""dy"":-64,""t"":13434},{""x"":1223,""y"":750,""dx"":-228,""dy"":-71,""t"":13468},{""x"":1239,""y"":761,""dx"":-212,""dy"":-60,""t"":13502},{""x"":1260,""y"":762,""dx"":-191,""dy"":-59,""t"":13535},{""x"":1279,""y"":750,""dx"":-172,""dy"":-71,""t"":13570},{""x"":1247,""y"":717,""dx"":-204,""dy"":-104,""t"":13605},{""x"":1259,""y"":728,""dx"":-192,""dy"":-93,""t"":13637},{""x"":1255,""y"":746,""dx"":-196,""dy"":-75,""t"":13672},{""x"":1257,""y"":719,""dx"":-194,""dy"":-102,""t"":13706},{""x"":1288,""y"":674,""dx"":-163,""dy"":-147,""t"":13740},{""x"":1285,""y"":662,""dx"":-166,""dy"":-159,""t"":13775},{""x"":1290,""y"":683,""dx"":-161,""dy"":-138,""t"":13805},{""x"":1266,""y"":719,""dx"":-185,""dy"":-102,""t"":13842},{""x"":1240,""y"":719,""dx"":-211,""dy"":-102,""t"":13876},{""x"":1242,""y"":696,""dx"":-209,""dy"":-125,""t"":13911},{""x"":1256,""y"":678,""dx"":-195,""dy"":-143,""t"":13944},{""x"":1268,""y"":673,""dx"":-183,""dy"":-148,""t"":13978},{""x"":1287,""y"":668,""dx"":-164,""dy"":-153,""t"":14012},{""x"":1274,""y"":641,""dx"":-177,""dy"":-180,""t"":14046},{""x"":1310,""y"":635,""dx"":-141,""dy"":-186,""t"":14080},{""x"":1269,""y"":655,""dx"":-182,""dy"":-166,""t"":14113},{""x"":1291,""y"":661,""dx"":-160,""dy"":-160,""t"":14148},{""x"":1314,""y"":683,""dx"":-137,""dy"":-138,""t"":14182},{""x"":1343,""y"":671,""dx"":-108,""dy"":-150,""t"":14216},{""x"":1384,""y"":718,""dx"":-67,""dy"":-103,""t"":14250},{""x"":1396,""y"":731,""dx"":-55,""dy"":-90,""t"":14283},{""x"":1426,""y"":716,""dx"":-25,""dy"":-105,""t"":14319},{""x"":1416,""y"":739,""dx"":-35,""dy"":-82,""t"":14352},{""x"":1419,""y"":814,""dx"":-32,""dy"":-7,""t"":14386},{""x"":1388,""y"":786,""dx"":-63,""dy"":-35,""t"":14420},{""x"":1395,""y"":806,""dx"":-56,""dy"":-15,""t"":14454},{""x"":1372,""y"":831,""dx"":-79,""dy"":10,""t"":14487},{""x"":1339,""y"":789,""dx"":-112,""dy"":-32,""t"":14522},{""x"":1326,""y"":766,""dx"":-125,""dy"":-55,""t"":14558},{""x"":1303,""y"":736,""dx"":-148,""dy"":-85,""t"":14590},{""x"":1279,""y"":705,""dx"":-172,""dy"":-116,""t"":14624},{""x"":1291,""y"":754,""dx"":-160,""dy"":-67,""t"":14658},{""x"":1274,""y"":784,""dx"":-177,""dy"":-37,""t"":14692},{""x"":1267,""y"":760,""dx"":-184,""dy"":-61,""t"":14726},{""x"":1276,""y"":739,""dx"":-175,""dy"":-82,""t"":14760},{""x"":1252,""y"":707,""dx"":-199,""dy"":-114,""t"":14793},{""x"":1257,""y"":697,""dx"":-194,""dy"":-124,""t"":14828},{""x"":1270,""y"":699,""dx"":-181,""dy"":-122,""t"":14862},{""x"":1266,""y"":712,""dx"":-185,""dy"":-109,""t"":14896},{""x"":1268,""y"":705,""dx"":-183,""dy"":-116,""t"":14929},{""x"":1282,""y"":706,""dx"":-169,""dy"":-115,""t"":14964},{""x"":1295,""y"":708,""dx"":-156,""dy"":-113,""t"":14996},{""x"":1313,""y"":682,""dx"":-138,""dy"":-139,""t"":15031}]]","[86.4406779661017,89.83050847457628,100,86.20689655172413,40.67796610169492]","[{""x"":74.23728813559322,""y"":1.0169491525423728,""r"":113.59572525549936},{""x"":14.135593220338983,""y"":-148.16949152542372,""r"":39.24753682458171},{""x"":46.54237288135593,""y"":-88.52542372881356,""r"":45.51376101606042},{""x"":160.86206896551724,""y"":-1.4655172413793103,""r"":61.17322488013606},{""x"":-160.67796610169492,""y"":-104.45762711864407,""r"":51.609267755335225}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.39","validate","","","","","","","","","","",""
"","html-button-response","10","46946","0.0-5.0-4.0-0.0-0.0","","","","","913","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","56029","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","56850","0.0-5.0-4.0-0.0-2.0","","","","","820","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
