"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1947","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1952","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6879","0.0-2.0-0.0","","","","","4925","{""name"":""张小雨"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","8807","0.0-2.0-1.0","","","","","1927","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","9487","0.0-3.0","","","","","677"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","15153","0.0-4.0","","","","","","","","","2148","","","","","","","","","","","","","","","","",""
"","html-button-response","6","15806","0.0-5.0-0.0","","","","","652","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","26620","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","27382","0.0-5.0-2.0","","","","","762","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","45239","0.0-5.0-3.0","","","","","","","","","","[[{""x"":480,""y"":250,""dx"":-11,""dy"":-31,""t"":990},{""x"":449,""y"":253,""dx"":-42,""dy"":-28,""t"":1024},{""x"":465,""y"":246,""dx"":-26,""dy"":-35,""t"":1058},{""x"":439,""y"":269,""dx"":-52,""dy"":-12,""t"":1092},{""x"":408,""y"":284,""dx"":-83,""dy"":3,""t"":1126},{""x"":392,""y"":298,""dx"":-99,""dy"":17,""t"":1161},{""x"":442,""y"":273,""dx"":-49,""dy"":-8,""t"":1194},{""x"":416,""y"":286,""dx"":-75,""dy"":5,""t"":1228},{""x"":436,""y"":290,""dx"":-55,""dy"":9,""t"":1262},{""x"":469,""y"":264,""dx"":-22,""dy"":-17,""t"":1296},{""x"":493,""y"":250,""dx"":2,""dy"":-31,""t"":1330},{""x"":507,""y"":224,""dx"":16,""dy"":-57,""t"":1365},{""x"":521,""y"":205,""dx"":30,""dy"":-76,""t"":1397},{""x"":520,""y"":194,""dx"":29,""dy"":-87,""t"":1432},{""x"":502,""y"":180,""dx"":11,""dy"":-101,""t"":1465},{""x"":489,""y"":213,""dx"":-2,""dy"":-68,""t"":1501},{""x"":504,""y"":213,""dx"":13,""dy"":-68,""t"":1535},{""x"":498,""y"":207,""dx"":7,""dy"":-74,""t"":1568},{""x"":498,""y"":206,""dx"":7,""dy"":-75,""t"":1602},{""x"":525,""y"":202,""dx"":34,""dy"":-79,""t"":1636},{""x"":541,""y"":206,""dx"":50,""dy"":-75,""t"":1670},{""x"":517,""y"":211,""dx"":26,""dy"":-70,""t"":1703},{""x"":499,""y"":221,""dx"":8,""dy"":-60,""t"":1744},{""x"":508,""y"":232,""dx"":17,""dy"":-49,""t"":1776},{""x"":479,""y"":246,""dx"":-12,""dy"":-35,""t"":1808},{""x"":453,""y"":254,""dx"":-38,""dy"":-27,""t"":1840},{""x"":458,""y"":247,""dx"":-33,""dy"":-34,""t"":1875},{""x"":482,""y"":252,""dx"":-9,""dy"":-29,""t"":1909},{""x"":469,""y"":274,""dx"":-22,""dy"":-7,""t"":1942},{""x"":446,""y"":284,""dx"":-45,""dy"":3,""t"":1976},{""x"":432,""y"":286,""dx"":-59,""dy"":5,""t"":2010},{""x"":479,""y"":272,""dx"":-12,""dy"":-9,""t"":2044},{""x"":449,""y"":280,""dx"":-42,""dy"":-1,""t"":2078},{""x"":424,""y"":286,""dx"":-67,""dy"":5,""t"":2110},{""x"":454,""y"":280,""dx"":-37,""dy"":-1,""t"":2146},{""x"":486,""y"":288,""dx"":-5,""dy"":7,""t"":2180},{""x"":517,""y"":279,""dx"":26,""dy"":-2,""t"":2215},{""x"":485,""y"":292,""dx"":-6,""dy"":11,""t"":2248},{""x"":515,""y"":296,""dx"":24,""dy"":15,""t"":2282},{""x"":484,""y"":302,""dx"":-7,""dy"":21,""t"":2316},{""x"":456,""y"":303,""dx"":-35,""dy"":22,""t"":2350},{""x"":437,""y"":302,""dx"":-54,""dy"":21,""t"":2384},{""x"":421,""y"":305,""dx"":-70,""dy"":24,""t"":2417},{""x"":428,""y"":307,""dx"":-63,""dy"":26,""t"":2452},{""x"":421,""y"":301,""dx"":-70,""dy"":20,""t"":2485},{""x"":416,""y"":297,""dx"":-75,""dy"":16,""t"":2517},{""x"":424,""y"":319,""dx"":-67,""dy"":38,""t"":2556},{""x"":417,""y"":310,""dx"":-74,""dy"":29,""t"":2588},{""x"":415,""y"":299,""dx"":-76,""dy"":18,""t"":2621},{""x"":404,""y"":312,""dx"":-87,""dy"":31,""t"":2656},{""x"":402,""y"":312,""dx"":-89,""dy"":31,""t"":2690},{""x"":445,""y"":295,""dx"":-46,""dy"":14,""t"":2725},{""x"":497,""y"":292,""dx"":6,""dy"":11,""t"":2759},{""x"":482,""y"":291,""dx"":-9,""dy"":10,""t"":2792},{""x"":497,""y"":271,""dx"":6,""dy"":-10,""t"":2826},{""x"":528,""y"":255,""dx"":37,""dy"":-26,""t"":2859},{""x"":537,""y"":239,""dx"":46,""dy"":-42,""t"":2895},{""x"":585,""y"":255,""dx"":94,""dy"":-26,""t"":2929},{""x"":739,""y"":228,""dx"":248,""dy"":-53,""t"":2962}],[{""x"":1456,""y"":276,""dx"":5,""dy"":-5,""t"":4016},{""x"":1461,""y"":280,""dx"":10,""dy"":-1,""t"":4051},{""x"":1465,""y"":284,""dx"":14,""dy"":3,""t"":4082},{""x"":1462,""y"":275,""dx"":11,""dy"":-6,""t"":4118},{""x"":1474,""y"":275,""dx"":23,""dy"":-6,""t"":4152},{""x"":1445,""y"":278,""dx"":-6,""dy"":-3,""t"":4186},{""x"":1424,""y"":272,""dx"":-27,""dy"":-9,""t"":4220},{""x"":1425,""y"":261,""dx"":-26,""dy"":-20,""t"":4255},{""x"":1395,""y"":261,""dx"":-56,""dy"":-20,""t"":4288},{""x"":1395,""y"":262,""dx"":-56,""dy"":-19,""t"":4323},{""x"":1410,""y"":269,""dx"":-41,""dy"":-12,""t"":4356},{""x"":1443,""y"":276,""dx"":-8,""dy"":-5,""t"":4391},{""x"":1470,""y"":280,""dx"":19,""dy"":-1,""t"":4424},{""x"":1476,""y"":272,""dx"":25,""dy"":-9,""t"":4458},{""x"":1480,""y"":266,""dx"":29,""dy"":-15,""t"":4489},{""x"":1475,""y"":266,""dx"":24,""dy"":-15,""t"":4526},{""x"":1455,""y"":265,""dx"":4,""dy"":-16,""t"":4559},{""x"":1475,""y"":287,""dx"":24,""dy"":6,""t"":4595},{""x"":1463,""y"":286,""dx"":12,""dy"":5,""t"":4628},{""x"":1458,""y"":280,""dx"":7,""dy"":-1,""t"":4663},{""x"":1466,""y"":268,""dx"":15,""dy"":-13,""t"":4697},{""x"":1488,""y"":265,""dx"":37,""dy"":-16,""t"":4731},{""x"":1475,""y"":264,""dx"":24,""dy"":-17,""t"":4765},{""x"":1478,""y"":278,""dx"":27,""dy"":-3,""t"":4798},{""x"":1490,""y"":274,""dx"":39,""dy"":-7,""t"":4832},{""x"":1496,""y"":275,""dx"":45,""dy"":-6,""t"":4866},{""x"":1503,""y"":267,""dx"":52,""dy"":-14,""t"":4900},{""x"":1508,""y"":291,""dx"":57,""dy"":10,""t"":4935},{""x"":1506,""y"":276,""dx"":55,""dy"":-5,""t"":4969},{""x"":1516,""y"":269,""dx"":65,""dy"":-12,""t"":5002},{""x"":1525,""y"":272,""dx"":74,""dy"":-9,""t"":5036},{""x"":1510,""y"":284,""dx"":59,""dy"":3,""t"":5069},{""x"":1507,""y"":290,""dx"":56,""dy"":9,""t"":5104},{""x"":1525,""y"":295,""dx"":74,""dy"":14,""t"":5138},{""x"":1529,""y"":309,""dx"":78,""dy"":28,""t"":5173},{""x"":1508,""y"":316,""dx"":57,""dy"":35,""t"":5207},{""x"":1509,""y"":312,""dx"":58,""dy"":31,""t"":5240},{""x"":1505,""y"":333,""dx"":54,""dy"":52,""t"":5274},{""x"":1500,""y"":329,""dx"":49,""dy"":48,""t"":5308},{""x"":1492,""y"":337,""dx"":41,""dy"":56,""t"":5342},{""x"":1470,""y"":329,""dx"":19,""dy"":48,""t"":5377},{""x"":1405,""y"":330,""dx"":-46,""dy"":49,""t"":5410},{""x"":1398,""y"":317,""dx"":-53,""dy"":36,""t"":5445},{""x"":1393,""y"":318,""dx"":-58,""dy"":37,""t"":5478},{""x"":1386,""y"":315,""dx"":-65,""dy"":34,""t"":5512},{""x"":1400,""y"":307,""dx"":-51,""dy"":26,""t"":5546},{""x"":1408,""y"":309,""dx"":-43,""dy"":28,""t"":5580},{""x"":1398,""y"":318,""dx"":-53,""dy"":37,""t"":5615},{""x"":1412,""y"":321,""dx"":-39,""dy"":40,""t"":5649},{""x"":1424,""y"":323,""dx"":-27,""dy"":42,""t"":5681},{""x"":1411,""y"":335,""dx"":-40,""dy"":54,""t"":5716},{""x"":1429,""y"":346,""dx"":-22,""dy"":65,""t"":5750},{""x"":1428,""y"":337,""dx"":-23,""dy"":56,""t"":5785},{""x"":1446,""y"":348,""dx"":-5,""dy"":67,""t"":5818},{""x"":1436,""y"":356,""dx"":-15,""dy"":75,""t"":5852},{""x"":1439,""y"":354,""dx"":-12,""dy"":73,""t"":5886},{""x"":1441,""y"":370,""dx"":-10,""dy"":89,""t"":5920},{""x"":1423,""y"":381,""dx"":-28,""dy"":100,""t"":5953},{""x"":1403,""y"":413,""dx"":-48,""dy"":132,""t"":5988}],[{""x"":973,""y"":394,""dx"":2,""dy"":-157,""t"":7008},{""x"":994,""y"":400,""dx"":23,""dy"":-151,""t"":7042},{""x"":984,""y"":398,""dx"":13,""dy"":-153,""t"":7077},{""x"":1002,""y"":400,""dx"":31,""dy"":-151,""t"":7110},{""x"":979,""y"":412,""dx"":8,""dy"":-139,""t"":7144},{""x"":991,""y"":418,""dx"":20,""dy"":-133,""t"":7178},{""x"":999,""y"":432,""dx"":28,""dy"":-119,""t"":7212},{""x"":1003,""y"":422,""dx"":32,""dy"":-129,""t"":7246},{""x"":1003,""y"":421,""dx"":32,""dy"":-130,""t"":7280},{""x"":999,""y"":435,""dx"":28,""dy"":-116,""t"":7314},{""x"":1008,""y"":426,""dx"":37,""dy"":-125,""t"":7348},{""x"":1022,""y"":432,""dx"":51,""dy"":-119,""t"":7382},{""x"":1044,""y"":437,""dx"":73,""dy"":-114,""t"":7417},{""x"":1052,""y"":441,""dx"":81,""dy"":-110,""t"":7450},{""x"":1057,""y"":444,""dx"":86,""dy"":-107,""t"":7484},{""x"":1038,""y"":504,""dx"":67,""dy"":-47,""t"":7518},{""x"":972,""y"":584,""dx"":1,""dy"":33,""t"":7551},{""x"":909,""y"":657,""dx"":-62,""dy"":106,""t"":7586},{""x"":851,""y"":716,""dx"":-120,""dy"":165,""t"":7617},{""x"":800,""y"":760,""dx"":-171,""dy"":209,""t"":7654},{""x"":781,""y"":757,""dx"":-190,""dy"":206,""t"":7688},{""x"":791,""y"":756,""dx"":-180,""dy"":205,""t"":7722},{""x"":814,""y"":707,""dx"":-157,""dy"":156,""t"":7756},{""x"":848,""y"":720,""dx"":-123,""dy"":169,""t"":7791},{""x"":878,""y"":707,""dx"":-93,""dy"":156,""t"":7825},{""x"":896,""y"":683,""dx"":-75,""dy"":132,""t"":7858},{""x"":917,""y"":641,""dx"":-54,""dy"":90,""t"":7893},{""x"":929,""y"":602,""dx"":-42,""dy"":51,""t"":7925},{""x"":937,""y"":590,""dx"":-34,""dy"":39,""t"":7960},{""x"":949,""y"":575,""dx"":-22,""dy"":24,""t"":7994},{""x"":934,""y"":536,""dx"":-37,""dy"":-15,""t"":8029},{""x"":925,""y"":521,""dx"":-46,""dy"":-30,""t"":8062},{""x"":927,""y"":514,""dx"":-44,""dy"":-37,""t"":8096},{""x"":927,""y"":503,""dx"":-44,""dy"":-48,""t"":8130},{""x"":942,""y"":495,""dx"":-29,""dy"":-56,""t"":8164},{""x"":932,""y"":489,""dx"":-39,""dy"":-62,""t"":8199},{""x"":931,""y"":484,""dx"":-40,""dy"":-67,""t"":8232},{""x"":934,""y"":475,""dx"":-37,""dy"":-76,""t"":8266},{""x"":908,""y"":467,""dx"":-63,""dy"":-84,""t"":8300},{""x"":925,""y"":480,""dx"":-46,""dy"":-71,""t"":8334},{""x"":943,""y"":484,""dx"":-28,""dy"":-67,""t"":8368},{""x"":957,""y"":486,""dx"":-14,""dy"":-65,""t"":8402},{""x"":963,""y"":506,""dx"":-8,""dy"":-45,""t"":8436},{""x"":949,""y"":509,""dx"":-22,""dy"":-42,""t"":8470},{""x"":951,""y"":511,""dx"":-20,""dy"":-40,""t"":8503},{""x"":948,""y"":525,""dx"":-23,""dy"":-26,""t"":8538},{""x"":935,""y"":525,""dx"":-36,""dy"":-26,""t"":8571},{""x"":928,""y"":490,""dx"":-43,""dy"":-61,""t"":8606},{""x"":932,""y"":504,""dx"":-39,""dy"":-47,""t"":8641},{""x"":958,""y"":495,""dx"":-13,""dy"":-56,""t"":8674},{""x"":975,""y"":489,""dx"":4,""dy"":-62,""t"":8707},{""x"":964,""y"":518,""dx"":-7,""dy"":-33,""t"":8742},{""x"":938,""y"":499,""dx"":-33,""dy"":-52,""t"":8776},{""x"":956,""y"":485,""dx"":-15,""dy"":-66,""t"":8811},{""x"":944,""y"":469,""dx"":-27,""dy"":-82,""t"":8844},{""x"":929,""y"":461,""dx"":-42,""dy"":-90,""t"":8878},{""x"":881,""y"":442,""dx"":-90,""dy"":-109,""t"":8912},{""x"":767,""y"":469,""dx"":-204,""dy"":-82,""t"":8946},{""x"":672,""y"":487,""dx"":-299,""dy"":-64,""t"":8980},{""x"":640,""y"":492,""dx"":-331,""dy"":-59,""t"":9014}],[{""x"":421,""y"":715,""dx"":-70,""dy"":-106,""t"":10034},{""x"":423,""y"":662,""dx"":-68,""dy"":-159,""t"":10068},{""x"":407,""y"":664,""dx"":-84,""dy"":-157,""t"":10102},{""x"":412,""y"":660,""dx"":-79,""dy"":-161,""t"":10135},{""x"":428,""y"":701,""dx"":-63,""dy"":-120,""t"":10170},{""x"":414,""y"":657,""dx"":-77,""dy"":-164,""t"":10204},{""x"":439,""y"":657,""dx"":-52,""dy"":-164,""t"":10238},{""x"":448,""y"":699,""dx"":-43,""dy"":-122,""t"":10272},{""x"":463,""y"":735,""dx"":-28,""dy"":-86,""t"":10306},{""x"":455,""y"":692,""dx"":-36,""dy"":-129,""t"":10339},{""x"":461,""y"":687,""dx"":-30,""dy"":-134,""t"":10374},{""x"":465,""y"":644,""dx"":-26,""dy"":-177,""t"":10408},{""x"":460,""y"":681,""dx"":-31,""dy"":-140,""t"":10442},{""x"":461,""y"":667,""dx"":-30,""dy"":-154,""t"":10477},{""x"":436,""y"":678,""dx"":-55,""dy"":-143,""t"":10511},{""x"":441,""y"":706,""dx"":-50,""dy"":-115,""t"":10544},{""x"":434,""y"":704,""dx"":-57,""dy"":-117,""t"":10578},{""x"":436,""y"":727,""dx"":-55,""dy"":-94,""t"":10612},{""x"":447,""y"":689,""dx"":-44,""dy"":-132,""t"":10646},{""x"":429,""y"":705,""dx"":-62,""dy"":-116,""t"":10680},{""x"":451,""y"":703,""dx"":-40,""dy"":-118,""t"":10715},{""x"":455,""y"":736,""dx"":-36,""dy"":-85,""t"":10759},{""x"":464,""y"":685,""dx"":-27,""dy"":-136,""t"":10796},{""x"":471,""y"":705,""dx"":-20,""dy"":-116,""t"":10822},{""x"":462,""y"":668,""dx"":-29,""dy"":-153,""t"":10850},{""x"":459,""y"":626,""dx"":-32,""dy"":-195,""t"":10884},{""x"":462,""y"":643,""dx"":-29,""dy"":-178,""t"":10918},{""x"":485,""y"":674,""dx"":-6,""dy"":-147,""t"":10953},{""x"":485,""y"":682,""dx"":-6,""dy"":-139,""t"":10986},{""x"":487,""y"":724,""dx"":-4,""dy"":-97,""t"":11020},{""x"":482,""y"":692,""dx"":-9,""dy"":-129,""t"":11055},{""x"":502,""y"":731,""dx"":11,""dy"":-90,""t"":11088},{""x"":506,""y"":729,""dx"":15,""dy"":-92,""t"":11123},{""x"":511,""y"":757,""dx"":20,""dy"":-64,""t"":11156},{""x"":512,""y"":721,""dx"":21,""dy"":-100,""t"":11188},{""x"":522,""y"":724,""dx"":31,""dy"":-97,""t"":11224},{""x"":522,""y"":713,""dx"":31,""dy"":-108,""t"":11258},{""x"":527,""y"":752,""dx"":36,""dy"":-69,""t"":11291},{""x"":523,""y"":715,""dx"":32,""dy"":-106,""t"":11327},{""x"":509,""y"":737,""dx"":18,""dy"":-84,""t"":11360},{""x"":499,""y"":679,""dx"":8,""dy"":-142,""t"":11395},{""x"":511,""y"":683,""dx"":20,""dy"":-138,""t"":11428},{""x"":508,""y"":671,""dx"":17,""dy"":-150,""t"":11463},{""x"":522,""y"":721,""dx"":31,""dy"":-100,""t"":11496},{""x"":511,""y"":658,""dx"":20,""dy"":-163,""t"":11530},{""x"":517,""y"":647,""dx"":26,""dy"":-174,""t"":11563},{""x"":527,""y"":641,""dx"":36,""dy"":-180,""t"":11599},{""x"":532,""y"":663,""dx"":41,""dy"":-158,""t"":11632},{""x"":527,""y"":649,""dx"":36,""dy"":-172,""t"":11665},{""x"":531,""y"":646,""dx"":40,""dy"":-175,""t"":11700},{""x"":531,""y"":652,""dx"":40,""dy"":-169,""t"":11734},{""x"":520,""y"":657,""dx"":29,""dy"":-164,""t"":11768},{""x"":532,""y"":642,""dx"":41,""dy"":-179,""t"":11802},{""x"":527,""y"":657,""dx"":36,""dy"":-164,""t"":11836},{""x"":522,""y"":667,""dx"":31,""dy"":-154,""t"":11869},{""x"":524,""y"":634,""dx"":33,""dy"":-187,""t"":11905},{""x"":515,""y"":637,""dx"":24,""dy"":-184,""t"":11938},{""x"":501,""y"":603,""dx"":10,""dy"":-218,""t"":11972},{""x"":497,""y"":590,""dx"":6,""dy"":-231,""t"":12005},{""x"":494,""y"":627,""dx"":3,""dy"":-194,""t"":12040}],[{""x"":1099,""y"":708,""dx"":-352,""dy"":-113,""t"":13061},{""x"":1092,""y"":708,""dx"":-359,""dy"":-113,""t"":13095},{""x"":1100,""y"":711,""dx"":-351,""dy"":-110,""t"":13128},{""x"":1101,""y"":725,""dx"":-350,""dy"":-96,""t"":13163},{""x"":1102,""y"":737,""dx"":-349,""dy"":-84,""t"":13193},{""x"":1105,""y"":720,""dx"":-346,""dy"":-101,""t"":13230},{""x"":1105,""y"":734,""dx"":-346,""dy"":-87,""t"":13265},{""x"":1121,""y"":718,""dx"":-330,""dy"":-103,""t"":13298},{""x"":1133,""y"":704,""dx"":-318,""dy"":-117,""t"":13332},{""x"":1128,""y"":694,""dx"":-323,""dy"":-127,""t"":13366},{""x"":1130,""y"":717,""dx"":-321,""dy"":-104,""t"":13400},{""x"":1119,""y"":708,""dx"":-332,""dy"":-113,""t"":13434},{""x"":1112,""y"":699,""dx"":-339,""dy"":-122,""t"":13469},{""x"":1110,""y"":718,""dx"":-341,""dy"":-103,""t"":13501},{""x"":1101,""y"":721,""dx"":-350,""dy"":-100,""t"":13536},{""x"":1091,""y"":716,""dx"":-360,""dy"":-105,""t"":13569},{""x"":1073,""y"":701,""dx"":-378,""dy"":-120,""t"":13604},{""x"":1069,""y"":695,""dx"":-382,""dy"":-126,""t"":13638},{""x"":1069,""y"":679,""dx"":-382,""dy"":-142,""t"":13672},{""x"":1101,""y"":701,""dx"":-350,""dy"":-120,""t"":13707},{""x"":1094,""y"":724,""dx"":-357,""dy"":-97,""t"":13739},{""x"":1128,""y"":731,""dx"":-323,""dy"":-90,""t"":13775},{""x"":1130,""y"":696,""dx"":-321,""dy"":-125,""t"":13808},{""x"":1129,""y"":718,""dx"":-322,""dy"":-103,""t"":13842},{""x"":1118,""y"":724,""dx"":-333,""dy"":-97,""t"":13875},{""x"":1140,""y"":720,""dx"":-311,""dy"":-101,""t"":13910},{""x"":1127,""y"":734,""dx"":-324,""dy"":-87,""t"":13944},{""x"":1116,""y"":749,""dx"":-335,""dy"":-72,""t"":13978},{""x"":1120,""y"":729,""dx"":-331,""dy"":-92,""t"":14013},{""x"":1128,""y"":744,""dx"":-323,""dy"":-77,""t"":14046},{""x"":1108,""y"":745,""dx"":-343,""dy"":-76,""t"":14080},{""x"":1104,""y"":738,""dx"":-347,""dy"":-83,""t"":14114},{""x"":1108,""y"":739,""dx"":-343,""dy"":-82,""t"":14148},{""x"":1086,""y"":702,""dx"":-365,""dy"":-119,""t"":14182},{""x"":1109,""y"":726,""dx"":-342,""dy"":-95,""t"":14217},{""x"":1083,""y"":708,""dx"":-368,""dy"":-113,""t"":14249},{""x"":1103,""y"":717,""dx"":-348,""dy"":-104,""t"":14284},{""x"":1082,""y"":716,""dx"":-369,""dy"":-105,""t"":14317},{""x"":1064,""y"":715,""dx"":-387,""dy"":-106,""t"":14350},{""x"":1049,""y"":718,""dx"":-402,""dy"":-103,""t"":14386},{""x"":1055,""y"":740,""dx"":-396,""dy"":-81,""t"":14419},{""x"":1078,""y"":753,""dx"":-373,""dy"":-68,""t"":14454},{""x"":1103,""y"":769,""dx"":-348,""dy"":-52,""t"":14487},{""x"":1133,""y"":789,""dx"":-318,""dy"":-32,""t"":14522},{""x"":1138,""y"":789,""dx"":-313,""dy"":-32,""t"":14556},{""x"":1160,""y"":782,""dx"":-291,""dy"":-39,""t"":14589},{""x"":1161,""y"":783,""dx"":-290,""dy"":-38,""t"":14625},{""x"":1163,""y"":786,""dx"":-288,""dy"":-35,""t"":14658},{""x"":1133,""y"":789,""dx"":-318,""dy"":-32,""t"":14692},{""x"":1129,""y"":762,""dx"":-322,""dy"":-59,""t"":14726},{""x"":1126,""y"":738,""dx"":-325,""dy"":-83,""t"":14758},{""x"":1116,""y"":731,""dx"":-335,""dy"":-90,""t"":14795},{""x"":1129,""y"":747,""dx"":-322,""dy"":-74,""t"":14828},{""x"":1153,""y"":732,""dx"":-298,""dy"":-89,""t"":14863},{""x"":1134,""y"":714,""dx"":-317,""dy"":-107,""t"":14896},{""x"":1149,""y"":735,""dx"":-302,""dy"":-86,""t"":14930},{""x"":1131,""y"":768,""dx"":-320,""dy"":-53,""t"":14965},{""x"":1143,""y"":787,""dx"":-308,""dy"":-34,""t"":14998},{""x"":1121,""y"":758,""dx"":-330,""dy"":-63,""t"":15032}]]","[98.30508474576271,100,85,96.66666666666667,0]","[{""x"":-16.74576271186441,""y"":-16.796610169491526,""r"":51.684055541744904},{""x"":6.508474576271187,""y"":19.033898305084747,""r"":50.55846121644277},{""x"":-40.416666666666664,""y"":-32.983333333333334,""r"":129.37732885276745},{""x"":-8.916666666666666,""y"":-139.81666666666666,""r"":79.64508977713909},{""x"":-338.4237288135593,""y"":-89.49152542372882,""r"":27.798563387348988}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
"","html-button-response","10","45983","0.0-5.0-4.0-0.0-0.0","","","","","743","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","57082","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","58078","0.0-5.0-4.0-0.0-2.0","","","","","996","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
