"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2313","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2319","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","12567","0.0-2.0-0.0","","","","","10242","{""name"":""范雨祥"",""age"":""22""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","13903","0.0-2.0-1.0","","","","","1335","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","14519","0.0-3.0","","","","","614"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","31016","0.0-4.0","","","","","","","","","2244","","","","","","","","","","","","","","","","",""
"","html-button-response","6","32271","0.0-5.0-0.0","","","","","1253","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","42761","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","43470","0.0-5.0-2.0","","","","","709","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","61280","0.0-5.0-3.0","","","","","","","","","","[[{""x"":587,""y"":250,""dx"":96,""dy"":-31,""t"":990},{""x"":598,""y"":247,""dx"":107,""dy"":-34,""t"":1024},{""x"":603,""y"":231,""dx"":112,""dy"":-50,""t"":1058},{""x"":605,""y"":212,""dx"":114,""dy"":-69,""t"":1093},{""x"":603,""y"":227,""dx"":112,""dy"":-54,""t"":1126},{""x"":602,""y"":247,""dx"":111,""dy"":-34,""t"":1160},{""x"":592,""y"":258,""dx"":101,""dy"":-23,""t"":1194},{""x"":589,""y"":265,""dx"":98,""dy"":-16,""t"":1227},{""x"":590,""y"":246,""dx"":99,""dy"":-35,""t"":1262},{""x"":581,""y"":258,""dx"":90,""dy"":-23,""t"":1297},{""x"":588,""y"":261,""dx"":97,""dy"":-20,""t"":1331},{""x"":587,""y"":269,""dx"":96,""dy"":-12,""t"":1363},{""x"":589,""y"":253,""dx"":98,""dy"":-28,""t"":1398},{""x"":597,""y"":267,""dx"":106,""dy"":-14,""t"":1432},{""x"":599,""y"":274,""dx"":108,""dy"":-7,""t"":1466},{""x"":601,""y"":271,""dx"":110,""dy"":-10,""t"":1500},{""x"":605,""y"":258,""dx"":114,""dy"":-23,""t"":1534},{""x"":592,""y"":262,""dx"":101,""dy"":-19,""t"":1569},{""x"":598,""y"":268,""dx"":107,""dy"":-13,""t"":1602},{""x"":595,""y"":272,""dx"":104,""dy"":-9,""t"":1636},{""x"":569,""y"":275,""dx"":78,""dy"":-6,""t"":1669},{""x"":571,""y"":276,""dx"":80,""dy"":-5,""t"":1705},{""x"":583,""y"":280,""dx"":92,""dy"":-1,""t"":1738},{""x"":597,""y"":260,""dx"":106,""dy"":-21,""t"":1772},{""x"":598,""y"":269,""dx"":107,""dy"":-12,""t"":1806},{""x"":589,""y"":252,""dx"":98,""dy"":-29,""t"":1839},{""x"":589,""y"":256,""dx"":98,""dy"":-25,""t"":1874},{""x"":580,""y"":245,""dx"":89,""dy"":-36,""t"":1908},{""x"":569,""y"":241,""dx"":78,""dy"":-40,""t"":1942},{""x"":569,""y"":244,""dx"":78,""dy"":-37,""t"":1977},{""x"":558,""y"":248,""dx"":67,""dy"":-33,""t"":2010},{""x"":563,""y"":236,""dx"":72,""dy"":-45,""t"":2045},{""x"":570,""y"":221,""dx"":79,""dy"":-60,""t"":2077},{""x"":569,""y"":211,""dx"":78,""dy"":-70,""t"":2113},{""x"":579,""y"":212,""dx"":88,""dy"":-69,""t"":2146},{""x"":577,""y"":209,""dx"":86,""dy"":-72,""t"":2180},{""x"":578,""y"":231,""dx"":87,""dy"":-50,""t"":2212},{""x"":582,""y"":240,""dx"":91,""dy"":-41,""t"":2248},{""x"":585,""y"":226,""dx"":94,""dy"":-55,""t"":2283},{""x"":586,""y"":226,""dx"":95,""dy"":-55,""t"":2315},{""x"":576,""y"":202,""dx"":85,""dy"":-79,""t"":2349},{""x"":575,""y"":212,""dx"":84,""dy"":-69,""t"":2384},{""x"":578,""y"":207,""dx"":87,""dy"":-74,""t"":2417},{""x"":567,""y"":203,""dx"":76,""dy"":-78,""t"":2452},{""x"":565,""y"":228,""dx"":74,""dy"":-53,""t"":2486},{""x"":566,""y"":226,""dx"":75,""dy"":-55,""t"":2521},{""x"":569,""y"":227,""dx"":78,""dy"":-54,""t"":2555},{""x"":558,""y"":253,""dx"":67,""dy"":-28,""t"":2588},{""x"":561,""y"":246,""dx"":70,""dy"":-35,""t"":2621},{""x"":560,""y"":237,""dx"":69,""dy"":-44,""t"":2656},{""x"":560,""y"":231,""dx"":69,""dy"":-50,""t"":2690},{""x"":565,""y"":240,""dx"":74,""dy"":-41,""t"":2724},{""x"":569,""y"":242,""dx"":78,""dy"":-39,""t"":2758},{""x"":578,""y"":237,""dx"":87,""dy"":-44,""t"":2793},{""x"":574,""y"":231,""dx"":83,""dy"":-50,""t"":2826},{""x"":563,""y"":256,""dx"":72,""dy"":-25,""t"":2860},{""x"":556,""y"":252,""dx"":65,""dy"":-29,""t"":2894},{""x"":556,""y"":246,""dx"":65,""dy"":-35,""t"":2928},{""x"":549,""y"":242,""dx"":58,""dy"":-39,""t"":2961},{""x"":552,""y"":247,""dx"":61,""dy"":-34,""t"":2996}],[{""x"":1528,""y"":303,""dx"":77,""dy"":22,""t"":4016},{""x"":1519,""y"":284,""dx"":68,""dy"":3,""t"":4050},{""x"":1525,""y"":283,""dx"":74,""dy"":2,""t"":4084},{""x"":1503,""y"":265,""dx"":52,""dy"":-16,""t"":4118},{""x"":1508,""y"":262,""dx"":57,""dy"":-19,""t"":4152},{""x"":1499,""y"":261,""dx"":48,""dy"":-20,""t"":4184},{""x"":1503,""y"":276,""dx"":52,""dy"":-5,""t"":4220},{""x"":1503,""y"":291,""dx"":52,""dy"":10,""t"":4254},{""x"":1505,""y"":288,""dx"":54,""dy"":7,""t"":4287},{""x"":1501,""y"":268,""dx"":50,""dy"":-13,""t"":4322},{""x"":1497,""y"":268,""dx"":46,""dy"":-13,""t"":4357},{""x"":1485,""y"":277,""dx"":34,""dy"":-4,""t"":4390},{""x"":1473,""y"":271,""dx"":22,""dy"":-10,""t"":4424},{""x"":1460,""y"":274,""dx"":9,""dy"":-7,""t"":4458},{""x"":1458,""y"":280,""dx"":7,""dy"":-1,""t"":4492},{""x"":1456,""y"":276,""dx"":5,""dy"":-5,""t"":4526},{""x"":1456,""y"":279,""dx"":5,""dy"":-2,""t"":4560},{""x"":1453,""y"":275,""dx"":2,""dy"":-6,""t"":4594},{""x"":1457,""y"":279,""dx"":6,""dy"":-2,""t"":4628},{""x"":1451,""y"":277,""dx"":0,""dy"":-4,""t"":4662},{""x"":1456,""y"":269,""dx"":5,""dy"":-12,""t"":4696},{""x"":1456,""y"":284,""dx"":5,""dy"":3,""t"":4730},{""x"":1461,""y"":273,""dx"":10,""dy"":-8,""t"":4764},{""x"":1461,""y"":275,""dx"":10,""dy"":-6,""t"":4798},{""x"":1460,""y"":277,""dx"":9,""dy"":-4,""t"":4832},{""x"":1459,""y"":280,""dx"":8,""dy"":-1,""t"":4867},{""x"":1453,""y"":271,""dx"":2,""dy"":-10,""t"":4900},{""x"":1452,""y"":274,""dx"":1,""dy"":-7,""t"":4934},{""x"":1453,""y"":279,""dx"":2,""dy"":-2,""t"":4968},{""x"":1454,""y"":278,""dx"":3,""dy"":-3,""t"":5002},{""x"":1456,""y"":272,""dx"":5,""dy"":-9,""t"":5036},{""x"":1458,""y"":288,""dx"":7,""dy"":7,""t"":5070},{""x"":1450,""y"":284,""dx"":-1,""dy"":3,""t"":5104},{""x"":1450,""y"":291,""dx"":-1,""dy"":10,""t"":5138},{""x"":1455,""y"":294,""dx"":4,""dy"":13,""t"":5173},{""x"":1449,""y"":325,""dx"":-2,""dy"":44,""t"":5206},{""x"":1456,""y"":307,""dx"":5,""dy"":26,""t"":5240},{""x"":1460,""y"":307,""dx"":9,""dy"":26,""t"":5274},{""x"":1457,""y"":293,""dx"":6,""dy"":12,""t"":5308},{""x"":1457,""y"":292,""dx"":6,""dy"":11,""t"":5341},{""x"":1462,""y"":311,""dx"":11,""dy"":30,""t"":5376},{""x"":1454,""y"":303,""dx"":3,""dy"":22,""t"":5410},{""x"":1454,""y"":299,""dx"":3,""dy"":18,""t"":5444},{""x"":1446,""y"":296,""dx"":-5,""dy"":15,""t"":5477},{""x"":1444,""y"":286,""dx"":-7,""dy"":5,""t"":5511},{""x"":1440,""y"":285,""dx"":-11,""dy"":4,""t"":5546},{""x"":1429,""y"":280,""dx"":-22,""dy"":-1,""t"":5580},{""x"":1423,""y"":271,""dx"":-28,""dy"":-10,""t"":5614},{""x"":1420,""y"":269,""dx"":-31,""dy"":-12,""t"":5648},{""x"":1416,""y"":268,""dx"":-35,""dy"":-13,""t"":5682},{""x"":1415,""y"":266,""dx"":-36,""dy"":-15,""t"":5715},{""x"":1419,""y"":269,""dx"":-32,""dy"":-12,""t"":5750},{""x"":1424,""y"":272,""dx"":-27,""dy"":-9,""t"":5781},{""x"":1425,""y"":280,""dx"":-26,""dy"":-1,""t"":5818},{""x"":1435,""y"":293,""dx"":-16,""dy"":12,""t"":5852},{""x"":1437,""y"":305,""dx"":-14,""dy"":24,""t"":5885},{""x"":1442,""y"":306,""dx"":-9,""dy"":25,""t"":5920},{""x"":1440,""y"":290,""dx"":-11,""dy"":9,""t"":5954},{""x"":1448,""y"":285,""dx"":-3,""dy"":4,""t"":5988}],[{""x"":899,""y"":383,""dx"":-72,""dy"":-168,""t"":7042},{""x"":905,""y"":383,""dx"":-66,""dy"":-168,""t"":7076},{""x"":917,""y"":373,""dx"":-54,""dy"":-178,""t"":7110},{""x"":930,""y"":371,""dx"":-41,""dy"":-180,""t"":7144},{""x"":957,""y"":387,""dx"":-14,""dy"":-164,""t"":7178},{""x"":972,""y"":398,""dx"":1,""dy"":-153,""t"":7213},{""x"":989,""y"":431,""dx"":18,""dy"":-120,""t"":7245},{""x"":990,""y"":432,""dx"":19,""dy"":-119,""t"":7281},{""x"":989,""y"":433,""dx"":18,""dy"":-118,""t"":7314},{""x"":988,""y"":423,""dx"":17,""dy"":-128,""t"":7346},{""x"":983,""y"":409,""dx"":12,""dy"":-142,""t"":7382},{""x"":970,""y"":415,""dx"":-1,""dy"":-136,""t"":7416},{""x"":964,""y"":429,""dx"":-7,""dy"":-122,""t"":7450},{""x"":949,""y"":391,""dx"":-22,""dy"":-160,""t"":7484},{""x"":964,""y"":408,""dx"":-7,""dy"":-143,""t"":7517},{""x"":967,""y"":436,""dx"":-4,""dy"":-115,""t"":7552},{""x"":973,""y"":468,""dx"":2,""dy"":-83,""t"":7585},{""x"":973,""y"":470,""dx"":2,""dy"":-81,""t"":7620},{""x"":982,""y"":480,""dx"":11,""dy"":-71,""t"":7654},{""x"":978,""y"":467,""dx"":7,""dy"":-84,""t"":7688},{""x"":982,""y"":495,""dx"":11,""dy"":-56,""t"":7722},{""x"":979,""y"":489,""dx"":8,""dy"":-62,""t"":7754},{""x"":1001,""y"":500,""dx"":30,""dy"":-51,""t"":7789},{""x"":985,""y"":479,""dx"":14,""dy"":-72,""t"":7824},{""x"":1007,""y"":445,""dx"":36,""dy"":-106,""t"":7858},{""x"":1000,""y"":470,""dx"":29,""dy"":-81,""t"":7892},{""x"":974,""y"":440,""dx"":3,""dy"":-111,""t"":7926},{""x"":978,""y"":416,""dx"":7,""dy"":-135,""t"":7961},{""x"":958,""y"":389,""dx"":-13,""dy"":-162,""t"":7994},{""x"":966,""y"":392,""dx"":-5,""dy"":-159,""t"":8028},{""x"":966,""y"":378,""dx"":-5,""dy"":-173,""t"":8062},{""x"":974,""y"":414,""dx"":3,""dy"":-137,""t"":8096},{""x"":969,""y"":435,""dx"":-2,""dy"":-116,""t"":8129},{""x"":955,""y"":461,""dx"":-16,""dy"":-90,""t"":8164},{""x"":951,""y"":475,""dx"":-20,""dy"":-76,""t"":8198},{""x"":948,""y"":479,""dx"":-23,""dy"":-72,""t"":8232},{""x"":944,""y"":444,""dx"":-27,""dy"":-107,""t"":8265},{""x"":946,""y"":456,""dx"":-25,""dy"":-95,""t"":8300},{""x"":941,""y"":414,""dx"":-30,""dy"":-137,""t"":8334},{""x"":947,""y"":437,""dx"":-24,""dy"":-114,""t"":8368},{""x"":943,""y"":398,""dx"":-28,""dy"":-153,""t"":8402},{""x"":959,""y"":425,""dx"":-12,""dy"":-126,""t"":8436},{""x"":959,""y"":390,""dx"":-12,""dy"":-161,""t"":8471},{""x"":963,""y"":420,""dx"":-8,""dy"":-131,""t"":8504},{""x"":955,""y"":391,""dx"":-16,""dy"":-160,""t"":8538},{""x"":967,""y"":396,""dx"":-4,""dy"":-155,""t"":8572},{""x"":950,""y"":365,""dx"":-21,""dy"":-186,""t"":8606},{""x"":952,""y"":389,""dx"":-19,""dy"":-162,""t"":8641},{""x"":935,""y"":357,""dx"":-36,""dy"":-194,""t"":8674},{""x"":936,""y"":333,""dx"":-35,""dy"":-218,""t"":8708},{""x"":939,""y"":316,""dx"":-32,""dy"":-235,""t"":8743},{""x"":950,""y"":298,""dx"":-21,""dy"":-253,""t"":8776},{""x"":955,""y"":285,""dx"":-16,""dy"":-266,""t"":8810},{""x"":952,""y"":290,""dx"":-19,""dy"":-261,""t"":8843},{""x"":947,""y"":277,""dx"":-24,""dy"":-274,""t"":8878},{""x"":944,""y"":294,""dx"":-27,""dy"":-257,""t"":8913},{""x"":951,""y"":290,""dx"":-20,""dy"":-261,""t"":8943},{""x"":953,""y"":326,""dx"":-18,""dy"":-225,""t"":8979},{""x"":947,""y"":326,""dx"":-24,""dy"":-225,""t"":9014}],[{""x"":584,""y"":447,""dx"":93,""dy"":-374,""t"":10034},{""x"":594,""y"":446,""dx"":103,""dy"":-375,""t"":10068},{""x"":604,""y"":445,""dx"":113,""dy"":-376,""t"":10102},{""x"":602,""y"":416,""dx"":111,""dy"":-405,""t"":10136},{""x"":607,""y"":398,""dx"":116,""dy"":-423,""t"":10170},{""x"":613,""y"":413,""dx"":122,""dy"":-408,""t"":10205},{""x"":616,""y"":415,""dx"":125,""dy"":-406,""t"":10238},{""x"":614,""y"":431,""dx"":123,""dy"":-390,""t"":10272},{""x"":613,""y"":454,""dx"":122,""dy"":-367,""t"":10306},{""x"":604,""y"":475,""dx"":113,""dy"":-346,""t"":10341},{""x"":606,""y"":508,""dx"":115,""dy"":-313,""t"":10375},{""x"":603,""y"":521,""dx"":112,""dy"":-300,""t"":10408},{""x"":603,""y"":513,""dx"":112,""dy"":-308,""t"":10443},{""x"":601,""y"":522,""dx"":110,""dy"":-299,""t"":10477},{""x"":609,""y"":523,""dx"":118,""dy"":-298,""t"":10510},{""x"":604,""y"":529,""dx"":113,""dy"":-292,""t"":10544},{""x"":598,""y"":546,""dx"":107,""dy"":-275,""t"":10578},{""x"":593,""y"":552,""dx"":102,""dy"":-269,""t"":10612},{""x"":589,""y"":572,""dx"":98,""dy"":-249,""t"":10646},{""x"":586,""y"":583,""dx"":95,""dy"":-238,""t"":10680},{""x"":582,""y"":590,""dx"":91,""dy"":-231,""t"":10715},{""x"":579,""y"":597,""dx"":88,""dy"":-224,""t"":10749},{""x"":586,""y"":556,""dx"":95,""dy"":-265,""t"":10782},{""x"":587,""y"":527,""dx"":96,""dy"":-294,""t"":10816},{""x"":583,""y"":482,""dx"":92,""dy"":-339,""t"":10850},{""x"":596,""y"":422,""dx"":105,""dy"":-399,""t"":10884},{""x"":604,""y"":368,""dx"":113,""dy"":-453,""t"":10915},{""x"":606,""y"":339,""dx"":115,""dy"":-482,""t"":10952},{""x"":615,""y"":309,""dx"":124,""dy"":-512,""t"":10986},{""x"":605,""y"":333,""dx"":114,""dy"":-488,""t"":11020},{""x"":609,""y"":356,""dx"":118,""dy"":-465,""t"":11054},{""x"":618,""y"":335,""dx"":127,""dy"":-486,""t"":11088},{""x"":611,""y"":373,""dx"":120,""dy"":-448,""t"":11122},{""x"":605,""y"":391,""dx"":114,""dy"":-430,""t"":11156},{""x"":587,""y"":440,""dx"":96,""dy"":-381,""t"":11190},{""x"":586,""y"":443,""dx"":95,""dy"":-378,""t"":11224},{""x"":574,""y"":479,""dx"":83,""dy"":-342,""t"":11258},{""x"":587,""y"":474,""dx"":96,""dy"":-347,""t"":11292},{""x"":582,""y"":472,""dx"":91,""dy"":-349,""t"":11327},{""x"":590,""y"":452,""dx"":99,""dy"":-369,""t"":11360},{""x"":581,""y"":491,""dx"":90,""dy"":-330,""t"":11394},{""x"":589,""y"":483,""dx"":98,""dy"":-338,""t"":11428},{""x"":594,""y"":451,""dx"":103,""dy"":-370,""t"":11463},{""x"":596,""y"":453,""dx"":105,""dy"":-368,""t"":11496},{""x"":594,""y"":467,""dx"":103,""dy"":-354,""t"":11530},{""x"":598,""y"":468,""dx"":107,""dy"":-353,""t"":11564},{""x"":596,""y"":479,""dx"":105,""dy"":-342,""t"":11598},{""x"":601,""y"":495,""dx"":110,""dy"":-326,""t"":11631},{""x"":600,""y"":520,""dx"":109,""dy"":-301,""t"":11666},{""x"":600,""y"":517,""dx"":109,""dy"":-304,""t"":11701},{""x"":600,""y"":508,""dx"":109,""dy"":-313,""t"":11734},{""x"":606,""y"":521,""dx"":115,""dy"":-300,""t"":11767},{""x"":596,""y"":522,""dx"":105,""dy"":-299,""t"":11801},{""x"":586,""y"":520,""dx"":95,""dy"":-301,""t"":11836},{""x"":588,""y"":535,""dx"":97,""dy"":-286,""t"":11869},{""x"":590,""y"":511,""dx"":99,""dy"":-310,""t"":11904},{""x"":592,""y"":502,""dx"":101,""dy"":-319,""t"":11938},{""x"":589,""y"":516,""dx"":98,""dy"":-305,""t"":11972},{""x"":589,""y"":512,""dx"":98,""dy"":-309,""t"":12006}],[{""x"":1382,""y"":488,""dx"":-69,""dy"":-333,""t"":13060},{""x"":1364,""y"":474,""dx"":-87,""dy"":-347,""t"":13094},{""x"":1364,""y"":472,""dx"":-87,""dy"":-349,""t"":13129},{""x"":1346,""y"":477,""dx"":-105,""dy"":-344,""t"":13162},{""x"":1322,""y"":478,""dx"":-129,""dy"":-343,""t"":13195},{""x"":1323,""y"":489,""dx"":-128,""dy"":-332,""t"":13230},{""x"":1310,""y"":480,""dx"":-141,""dy"":-341,""t"":13264},{""x"":1298,""y"":468,""dx"":-153,""dy"":-353,""t"":13298},{""x"":1301,""y"":478,""dx"":-150,""dy"":-343,""t"":13331},{""x"":1299,""y"":474,""dx"":-152,""dy"":-347,""t"":13366},{""x"":1297,""y"":467,""dx"":-154,""dy"":-354,""t"":13400},{""x"":1307,""y"":473,""dx"":-144,""dy"":-348,""t"":13433},{""x"":1312,""y"":489,""dx"":-139,""dy"":-332,""t"":13467},{""x"":1330,""y"":507,""dx"":-121,""dy"":-314,""t"":13502},{""x"":1339,""y"":498,""dx"":-112,""dy"":-323,""t"":13536},{""x"":1349,""y"":506,""dx"":-102,""dy"":-315,""t"":13570},{""x"":1362,""y"":529,""dx"":-89,""dy"":-292,""t"":13604},{""x"":1367,""y"":536,""dx"":-84,""dy"":-285,""t"":13638},{""x"":1374,""y"":545,""dx"":-77,""dy"":-276,""t"":13672},{""x"":1371,""y"":554,""dx"":-80,""dy"":-267,""t"":13707},{""x"":1369,""y"":562,""dx"":-82,""dy"":-259,""t"":13740},{""x"":1378,""y"":570,""dx"":-73,""dy"":-251,""t"":13774},{""x"":1377,""y"":562,""dx"":-74,""dy"":-259,""t"":13809},{""x"":1383,""y"":558,""dx"":-68,""dy"":-263,""t"":13843},{""x"":1389,""y"":559,""dx"":-62,""dy"":-262,""t"":13876},{""x"":1397,""y"":553,""dx"":-54,""dy"":-268,""t"":13910},{""x"":1367,""y"":485,""dx"":-84,""dy"":-336,""t"":13944},{""x"":1372,""y"":490,""dx"":-79,""dy"":-331,""t"":13979},{""x"":1356,""y"":450,""dx"":-95,""dy"":-371,""t"":14011},{""x"":1362,""y"":468,""dx"":-89,""dy"":-353,""t"":14047},{""x"":1342,""y"":430,""dx"":-109,""dy"":-391,""t"":14078},{""x"":1363,""y"":454,""dx"":-88,""dy"":-367,""t"":14114},{""x"":1381,""y"":479,""dx"":-70,""dy"":-342,""t"":14148},{""x"":1386,""y"":492,""dx"":-65,""dy"":-329,""t"":14182},{""x"":1393,""y"":502,""dx"":-58,""dy"":-319,""t"":14216},{""x"":1407,""y"":514,""dx"":-44,""dy"":-307,""t"":14250},{""x"":1407,""y"":515,""dx"":-44,""dy"":-306,""t"":14284},{""x"":1388,""y"":512,""dx"":-63,""dy"":-309,""t"":14318},{""x"":1398,""y"":524,""dx"":-53,""dy"":-297,""t"":14352},{""x"":1386,""y"":536,""dx"":-65,""dy"":-285,""t"":14386},{""x"":1363,""y"":527,""dx"":-88,""dy"":-294,""t"":14420},{""x"":1355,""y"":518,""dx"":-96,""dy"":-303,""t"":14454},{""x"":1352,""y"":520,""dx"":-99,""dy"":-301,""t"":14486},{""x"":1357,""y"":507,""dx"":-94,""dy"":-314,""t"":14522},{""x"":1358,""y"":493,""dx"":-93,""dy"":-328,""t"":14556},{""x"":1360,""y"":485,""dx"":-91,""dy"":-336,""t"":14590},{""x"":1356,""y"":478,""dx"":-95,""dy"":-343,""t"":14624},{""x"":1362,""y"":475,""dx"":-89,""dy"":-346,""t"":14657},{""x"":1367,""y"":470,""dx"":-84,""dy"":-351,""t"":14692},{""x"":1370,""y"":481,""dx"":-81,""dy"":-340,""t"":14726},{""x"":1381,""y"":486,""dx"":-70,""dy"":-335,""t"":14761},{""x"":1372,""y"":504,""dx"":-79,""dy"":-317,""t"":14794},{""x"":1374,""y"":505,""dx"":-77,""dy"":-316,""t"":14829},{""x"":1370,""y"":515,""dx"":-81,""dy"":-306,""t"":14862},{""x"":1354,""y"":513,""dx"":-97,""dy"":-308,""t"":14928},{""x"":1345,""y"":519,""dx"":-106,""dy"":-302,""t"":14964},{""x"":1338,""y"":524,""dx"":-113,""dy"":-297,""t"":14998},{""x"":1331,""y"":536,""dx"":-120,""dy"":-285,""t"":15033}]]","[100,100,83.05084745762711,0,0]","[{""x"":88.31666666666666,""y"":-37.35,""r"":34.474458972994164},{""x"":8.76271186440678,""y"":1.7796610169491525,""r"":19.887048183056727},{""x"":-10.542372881355933,""y"":-146.57627118644066,""r"":42.86180970746595},{""x"":105.94915254237289,""y"":-347.8135593220339,""r"":46.912866109493834},{""x"":-92.67241379310344,""y"":-318.36206896551727,""r"":49.63871497489287}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","","",""
"","html-button-response","10","62063","0.0-5.0-4.0-0.0-0.0","","","","","783","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","71387","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","72183","0.0-5.0-4.0-0.0-2.0","","","","","796","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
