index,name,age,sex,rt,response,answer,stimulus,target,correct,webgazer_data,webgazer_targets_data,canvas_data,fixation,fixation_target,first_dot
0,scc,24.0,男,,,,,,,,,,,,
1,,,,554.0,8.0,8.0,"[""rect"",""triangle_1"",""star"",""hexagram""]",triangle_1,True,"[{""x"":939,""y"":538,""t"":5},{""x"":1006,""y"":553,""t"":42},{""x"":999,""y"":552,""t"":72},{""x"":1004,""y"":554,""t"":106},{""x"":1005,""y"":531,""t"":140},{""x"":1045,""y"":490,""t"":174},{""x"":1057,""y"":417,""t"":208},{""x"":1067,""y"":369,""t"":243},{""x"":1074,""y"":329,""t"":273},{""x"":1059,""y"":327,""t"":310},{""x"":1097,""y"":368,""t"":344},{""x"":1098,""y"":349,""t"":377},{""x"":1082,""y"":316,""t"":413},{""x"":1071,""y"":303,""t"":446},{""x"":1089,""y"":307,""t"":480},{""x"":1072,""y"":292,""t"":514}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92,""height"":92,""top"":154,""right"":596,""bottom"":246,""left"":504},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":92.37604307034013,""height"":80,""top"":760,""right"":596.18802153517,""bottom"":840,""left"":503.81197846482996}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'triangle_1': [{'x': 647, 'y': 362.609375, 't': 208, 'tagged': True}, {'x': 657, 'y': 314.609375, 't': 243, 'tagged': False}, {'x': 664, 'y': 274.609375, 't': 273, 'tagged': False}, {'x': 649, 'y': 272.609375, 't': 310, 'tagged': False}, {'x': 687, 'y': 313.609375, 't': 344, 'tagged': False}, {'x': 688, 'y': 294.609375, 't': 377, 'tagged': False}, {'x': 672, 'y': 261.609375, 't': 413, 'tagged': False}, {'x': 661, 'y': 248.609375, 't': 446, 'tagged': False}, {'x': 679, 'y': 252.609375, 't': 480, 'tagged': False}, {'x': 662, 'y': 237.609375, 't': 514, 'tagged': False}]}]","{'triangle_1': [{'x': 647, 'y': 362.609375, 't': 208, 'tagged': True}, {'x': 657, 'y': 314.609375, 't': 243, 'tagged': False}, {'x': 664, 'y': 274.609375, 't': 273, 'tagged': False}, {'x': 649, 'y': 272.609375, 't': 310, 'tagged': False}, {'x': 687, 'y': 313.609375, 't': 344, 'tagged': False}, {'x': 688, 'y': 294.609375, 't': 377, 'tagged': False}, {'x': 672, 'y': 261.609375, 't': 413, 'tagged': False}, {'x': 661, 'y': 248.609375, 't': 446, 'tagged': False}, {'x': 679, 'y': 252.609375, 't': 480, 'tagged': False}, {'x': 662, 'y': 237.609375, 't': 514, 'tagged': False}]}",triangle_1
2,,,,810.0,5.0,5.0,"[""circle"",""hexagram"",""star_1"",""triangle""]",rect,True,"[{""x"":1002,""y"":309,""t"":4},{""x"":978,""y"":298,""t"":38},{""x"":958,""y"":304,""t"":73},{""x"":957,""y"":302,""t"":106},{""x"":922,""y"":261,""t"":141},{""x"":943,""y"":310,""t"":174},{""x"":951,""y"":319,""t"":208},{""x"":961,""y"":334,""t"":241},{""x"":947,""y"":348,""t"":276},{""x"":945,""y"":395,""t"":310},{""x"":938,""y"":390,""t"":345},{""x"":927,""y"":359,""t"":378},{""x"":932,""y"":373,""t"":412},{""x"":928,""y"":388,""t"":446},{""x"":913,""y"":387,""t"":480},{""x"":910,""y"":403,""t"":514},{""x"":919,""y"":419,""t"":548},{""x"":916,""y"":420,""t"":582},{""x"":934,""y"":455,""t"":616},{""x"":918,""y"":410,""t"":650},{""x"":920,""y"":407,""t"":684},{""x"":935,""y"":414,""t"":718},{""x"":948,""y"":420,""t"":750},{""x"":942,""y"":399,""t"":786}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":92,""height"":92,""top"":754,""right"":596,""bottom"":846,""left"":504}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}",,,
3,,,,639.0,5.0,5.0,"[""triangle"",""ring_1"",""star"",""hexagram""]",rect,True,"[{""x"":932,""y"":367,""t"":5},{""x"":951,""y"":343,""t"":39},{""x"":948,""y"":324,""t"":73},{""x"":1009,""y"":334,""t"":107},{""x"":1025,""y"":295,""t"":140},{""x"":1004,""y"":307,""t"":175},{""x"":977,""y"":314,""t"":208},{""x"":1007,""y"":334,""t"":242},{""x"":1034,""y"":316,""t"":275},{""x"":1031,""y"":341,""t"":310},{""x"":1032,""y"":341,""t"":344},{""x"":1015,""y"":347,""t"":377},{""x"":1002,""y"":351,""t"":411},{""x"":982,""y"":354,""t"":446},{""x"":997,""y"":355,""t"":480},{""x"":989,""y"":386,""t"":514},{""x"":980,""y"":418,""t"":548},{""x"":972,""y"":444,""t"":580},{""x"":969,""y"":504,""t"":616}]","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":92.37604307034013,""height"":80,""top"":760,""right"":596.18802153517,""bottom"":840,""left"":503.81197846482996}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}",,,
4,,,,612.0,5.0,5.0,"[""hexagram"",""rect_1"",""triangle"",""star""]",ring_1,True,"[{""x"":982,""y"":492,""t"":4},{""x"":1018,""y"":490,""t"":40},{""x"":1034,""y"":433,""t"":72},{""x"":1047,""y"":454,""t"":106},{""x"":1075,""y"":450,""t"":141},{""x"":1097,""y"":446,""t"":172},{""x"":1098,""y"":477,""t"":208},{""x"":1127,""y"":480,""t"":244},{""x"":1109,""y"":438,""t"":276},{""x"":1088,""y"":373,""t"":310},{""x"":1082,""y"":359,""t"":344},{""x"":1073,""y"":340,""t"":377},{""x"":1081,""y"":391,""t"":411},{""x"":1087,""y"":361,""t"":446},{""x"":1084,""y"":351,""t"":480},{""x"":1073,""y"":336,""t"":513},{""x"":1079,""y"":313,""t"":547},{""x"":1094,""y"":322,""t"":582}]","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":100,""height"":100,""top"":750,""right"":600,""bottom"":850,""left"":500}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}",,,
5,,,,689.0,8.0,8.0,"[""rect_1"",""hexagram"",""triangle"",""star""]",hexagram,True,"[{""x"":1093,""y"":312,""t"":5},{""x"":1112,""y"":304,""t"":39},{""x"":1084,""y"":317,""t"":72},{""x"":1069,""y"":288,""t"":106},{""x"":1061,""y"":280,""t"":140},{""x"":1043,""y"":277,""t"":174},{""x"":1082,""y"":314,""t"":209},{""x"":1112,""y"":328,""t"":242},{""x"":1106,""y"":297,""t"":275},{""x"":1105,""y"":303,""t"":310},{""x"":1111,""y"":271,""t"":344},{""x"":1149,""y"":243,""t"":377},{""x"":1173,""y"":240,""t"":412},{""x"":1193,""y"":237,""t"":446},{""x"":1207,""y"":250,""t"":480},{""x"":1214,""y"":265,""t"":515},{""x"":1204,""y"":243,""t"":548},{""x"":1211,""y"":208,""t"":581},{""x"":1232,""y"":192,""t"":617},{""x"":1195,""y"":156,""t"":649}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":100,""height"":100,""top"":750,""right"":600,""bottom"":850,""left"":500}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'hexagram': [{'x': 683, 'y': 257.609375, 't': 5, 'tagged': True}, {'x': 702, 'y': 249.609375, 't': 39, 'tagged': False}, {'x': 674, 'y': 262.609375, 't': 72, 'tagged': False}, {'x': 659, 'y': 233.609375, 't': 106, 'tagged': False}, {'x': 651, 'y': 225.609375, 't': 140, 'tagged': False}, {'x': 633, 'y': 222.609375, 't': 174, 'tagged': False}, {'x': 672, 'y': 259.609375, 't': 209, 'tagged': False}, {'x': 702, 'y': 273.609375, 't': 242, 'tagged': False}, {'x': 696, 'y': 242.609375, 't': 275, 'tagged': False}, {'x': 695, 'y': 248.609375, 't': 310, 'tagged': False}, {'x': 701, 'y': 216.609375, 't': 344, 'tagged': False}, {'x': 739, 'y': 188.609375, 't': 377, 'tagged': False}]}]","{'hexagram': [{'x': 683, 'y': 257.609375, 't': 5, 'tagged': True}, {'x': 702, 'y': 249.609375, 't': 39, 'tagged': False}, {'x': 674, 'y': 262.609375, 't': 72, 'tagged': False}, {'x': 659, 'y': 233.609375, 't': 106, 'tagged': False}, {'x': 651, 'y': 225.609375, 't': 140, 'tagged': False}, {'x': 633, 'y': 222.609375, 't': 174, 'tagged': False}, {'x': 672, 'y': 259.609375, 't': 209, 'tagged': False}, {'x': 702, 'y': 273.609375, 't': 242, 'tagged': False}, {'x': 696, 'y': 242.609375, 't': 275, 'tagged': False}, {'x': 695, 'y': 248.609375, 't': 310, 'tagged': False}, {'x': 701, 'y': 216.609375, 't': 344, 'tagged': False}, {'x': 739, 'y': 188.609375, 't': 377, 'tagged': False}]}",hexagram
6,,,,1039.0,5.0,4.0,"[""hexagram_1"",""rect"",""triangle"",""star""]",hexagram_1,False,"[{""x"":1172,""y"":159,""t"":5},{""x"":1191,""y"":140,""t"":43},{""x"":1177,""y"":133,""t"":72},{""x"":1191,""y"":137,""t"":106},{""x"":1180,""y"":177,""t"":141},{""x"":1182,""y"":197,""t"":174},{""x"":1178,""y"":181,""t"":208},{""x"":1162,""y"":214,""t"":242},{""x"":1169,""y"":192,""t"":276},{""x"":1193,""y"":187,""t"":310},{""x"":1196,""y"":196,""t"":344},{""x"":1179,""y"":210,""t"":378},{""x"":1204,""y"":214,""t"":412},{""x"":1190,""y"":217,""t"":446},{""x"":1166,""y"":265,""t"":480},{""x"":1138,""y"":317,""t"":514},{""x"":1128,""y"":363,""t"":548},{""x"":1103,""y"":401,""t"":582},{""x"":1082,""y"":443,""t"":616},{""x"":1070,""y"":472,""t"":650},{""x"":1045,""y"":503,""t"":684},{""x"":1010,""y"":492,""t"":728},{""x"":1012,""y"":483,""t"":752},{""x"":1050,""y"":443,""t"":787},{""x"":1031,""y"":367,""t"":821},{""x"":1046,""y"":345,""t"":854},{""x"":1065,""y"":297,""t"":888},{""x"":1060,""y"":255,""t"":922},{""x"":1098,""y"":194,""t"":956},{""x"":1081,""y"":175,""t"":990}]","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":100,""height"":100,""top"":750,""right"":600,""bottom"":850,""left"":500}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'rect': [{'x': 728, 'y': 262.609375, 't': 514, 'tagged': True}, {'x': 621, 'y': 312.609375, 't': 821, 'tagged': False}, {'x': 636, 'y': 290.609375, 't': 854, 'tagged': False}, {'x': 655, 'y': 242.609375, 't': 888, 'tagged': False}, {'x': 650, 'y': 200.609375, 't': 922, 'tagged': False}, {'x': 688, 'y': 139.609375, 't': 956, 'tagged': False}, {'x': 671, 'y': 120.609375, 't': 990, 'tagged': False}]}]",,rect
7,,,,767.0,4.0,4.0,"[""rect_1"",""circle"",""hexagram"",""star""]",rect_1,True,"[{""x"":1049,""y"":229,""t"":4},{""x"":1039,""y"":217,""t"":39},{""x"":1028,""y"":242,""t"":72},{""x"":1045,""y"":260,""t"":106},{""x"":1039,""y"":307,""t"":140},{""x"":1062,""y"":352,""t"":174},{""x"":1041,""y"":354,""t"":207},{""x"":1071,""y"":356,""t"":242},{""x"":1073,""y"":351,""t"":276},{""x"":1071,""y"":324,""t"":311},{""x"":1079,""y"":360,""t"":344},{""x"":1047,""y"":344,""t"":377},{""x"":1060,""y"":352,""t"":412},{""x"":1074,""y"":368,""t"":446},{""x"":1102,""y"":377,""t"":479},{""x"":1115,""y"":354,""t"":514},{""x"":1158,""y"":394,""t"":547},{""x"":1149,""y"":331,""t"":582},{""x"":1150,""y"":292,""t"":616},{""x"":1081,""y"":279,""t"":650},{""x"":1030,""y"":321,""t"":684},{""x"":1016,""y"":391,""t"":719}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":550,""y"":800,""width"":100,""height"":100,""top"":750,""right"":600,""bottom"":850,""left"":500}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'circle': [{'x': 639, 'y': 174.609375, 't': 4, 'tagged': True}, {'x': 629, 'y': 162.609375, 't': 39, 'tagged': False}, {'x': 618, 'y': 187.609375, 't': 72, 'tagged': False}, {'x': 635, 'y': 205.609375, 't': 106, 'tagged': False}, {'x': 629, 'y': 252.609375, 't': 140, 'tagged': False}, {'x': 652, 'y': 297.609375, 't': 174, 'tagged': False}, {'x': 631, 'y': 299.609375, 't': 207, 'tagged': False}, {'x': 661, 'y': 301.609375, 't': 242, 'tagged': False}, {'x': 663, 'y': 296.609375, 't': 276, 'tagged': False}, {'x': 661, 'y': 269.609375, 't': 311, 'tagged': False}, {'x': 669, 'y': 305.609375, 't': 344, 'tagged': False}, {'x': 637, 'y': 289.609375, 't': 377, 'tagged': False}, {'x': 650, 'y': 297.609375, 't': 412, 'tagged': False}, {'x': 664, 'y': 313.609375, 't': 446, 'tagged': False}, {'x': 692, 'y': 322.609375, 't': 479, 'tagged': False}, {'x': 705, 'y': 299.609375, 't': 514, 'tagged': False}, {'x': 740, 'y': 237.609375, 't': 616, 'tagged': False}, {'x': 671, 'y': 224.609375, 't': 650, 'tagged': False}, {'x': 620, 'y': 266.609375, 't': 684, 'tagged': False}, {'x': 606, 'y': 336.609375, 't': 719, 'tagged': False}]}, {'hexagram': [{'x': 748, 'y': 339.609375, 't': 547, 'tagged': False}]}]",,circle
8,,,,743.0,6.0,6.0,"[""triangle"",""rect"",""hexagram_1"",""circle""]",hexagram_1,True,"[{""x"":1006,""y"":446,""t"":5},{""x"":1005,""y"":437,""t"":41},{""x"":1008,""y"":400,""t"":73},{""x"":1012,""y"":380,""t"":106},{""x"":1043,""y"":375,""t"":140},{""x"":1019,""y"":319,""t"":174},{""x"":1027,""y"":300,""t"":209},{""x"":1022,""y"":296,""t"":242},{""x"":1014,""y"":289,""t"":275},{""x"":1028,""y"":290,""t"":309},{""x"":1037,""y"":316,""t"":343},{""x"":1031,""y"":294,""t"":378},{""x"":1033,""y"":321,""t"":412},{""x"":1001,""y"":300,""t"":447},{""x"":1006,""y"":313,""t"":481},{""x"":1001,""y"":293,""t"":514},{""x"":1071,""y"":284,""t"":549},{""x"":1103,""y"":252,""t"":582},{""x"":1127,""y"":232,""t"":616},{""x"":1149,""y"":202,""t"":651},{""x"":1185,""y"":220,""t"":684},{""x"":1212,""y"":237,""t"":718}]","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'rect': [{'x': 596, 'y': 391.609375, 't': 5, 'tagged': True}, {'x': 595, 'y': 382.609375, 't': 41, 'tagged': False}, {'x': 598, 'y': 345.609375, 't': 73, 'tagged': False}, {'x': 602, 'y': 325.609375, 't': 106, 'tagged': False}, {'x': 633, 'y': 320.609375, 't': 140, 'tagged': False}, {'x': 609, 'y': 264.609375, 't': 174, 'tagged': False}, {'x': 617, 'y': 245.609375, 't': 209, 'tagged': False}, {'x': 612, 'y': 241.609375, 't': 242, 'tagged': False}, {'x': 604, 'y': 234.609375, 't': 275, 'tagged': False}, {'x': 618, 'y': 235.609375, 't': 309, 'tagged': False}, {'x': 627, 'y': 261.609375, 't': 343, 'tagged': False}, {'x': 621, 'y': 239.609375, 't': 378, 'tagged': False}, {'x': 623, 'y': 266.609375, 't': 412, 'tagged': False}, {'x': 591, 'y': 245.609375, 't': 447, 'tagged': False}, {'x': 596, 'y': 258.609375, 't': 481, 'tagged': False}, {'x': 591, 'y': 238.609375, 't': 514, 'tagged': False}, {'x': 661, 'y': 229.609375, 't': 549, 'tagged': False}, {'x': 693, 'y': 197.609375, 't': 582, 'tagged': False}, {'x': 717, 'y': 177.609375, 't': 616, 'tagged': False}, {'x': 739, 'y': 147.609375, 't': 651, 'tagged': False}]}]",,rect
9,,,,946.0,2.0,2.0,"[""star"",""hexagram_1"",""rect"",""circle""]",circle,True,"[{""x"":1154,""y"":300,""t"":4},{""x"":1087,""y"":296,""t"":42},{""x"":1049,""y"":281,""t"":73},{""x"":1000,""y"":263,""t"":109},{""x"":986,""y"":269,""t"":140},{""x"":981,""y"":288,""t"":174},{""x"":1005,""y"":320,""t"":208},{""x"":979,""y"":307,""t"":242},{""x"":976,""y"":300,""t"":276},{""x"":988,""y"":280,""t"":310},{""x"":983,""y"":269,""t"":344},{""x"":997,""y"":272,""t"":390},{""x"":1020,""y"":278,""t"":414},{""x"":1009,""y"":282,""t"":446},{""x"":984,""y"":232,""t"":480},{""x"":972,""y"":211,""t"":513},{""x"":996,""y"":249,""t"":548},{""x"":1013,""y"":284,""t"":582},{""x"":1038,""y"":342,""t"":616},{""x"":1061,""y"":383,""t"":649},{""x"":1080,""y"":417,""t"":683},{""x"":1076,""y"":474,""t"":718},{""x"":1069,""y"":509,""t"":751},{""x"":1075,""y"":535,""t"":786},{""x"":1089,""y"":575,""t"":819},{""x"":1098,""y"":577,""t"":853},{""x"":1083,""y"":572,""t"":887},{""x"":1066,""y"":556,""t"":921}]","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'hexagram_1': [{'x': 744, 'y': 245.609375, 't': 4, 'tagged': True}, {'x': 677, 'y': 241.609375, 't': 42, 'tagged': False}, {'x': 639, 'y': 226.609375, 't': 73, 'tagged': False}, {'x': 590, 'y': 208.609375, 't': 109, 'tagged': False}, {'x': 576, 'y': 214.609375, 't': 140, 'tagged': False}, {'x': 571, 'y': 233.609375, 't': 174, 'tagged': False}, {'x': 595, 'y': 265.609375, 't': 208, 'tagged': False}, {'x': 569, 'y': 252.609375, 't': 242, 'tagged': False}, {'x': 566, 'y': 245.609375, 't': 276, 'tagged': False}, {'x': 578, 'y': 225.609375, 't': 310, 'tagged': False}, {'x': 573, 'y': 214.609375, 't': 344, 'tagged': False}, {'x': 587, 'y': 217.609375, 't': 390, 'tagged': False}, {'x': 610, 'y': 223.609375, 't': 414, 'tagged': False}, {'x': 599, 'y': 227.609375, 't': 446, 'tagged': False}, {'x': 574, 'y': 177.609375, 't': 480, 'tagged': False}, {'x': 562, 'y': 156.609375, 't': 513, 'tagged': False}, {'x': 586, 'y': 194.609375, 't': 548, 'tagged': False}, {'x': 603, 'y': 229.609375, 't': 582, 'tagged': False}, {'x': 628, 'y': 287.609375, 't': 616, 'tagged': False}, {'x': 651, 'y': 328.609375, 't': 649, 'tagged': False}]}, {'rect': [{'x': 659, 'y': 454.609375, 't': 751, 'tagged': False}, {'x': 665, 'y': 480.609375, 't': 786, 'tagged': False}, {'x': 679, 'y': 520.609375, 't': 819, 'tagged': False}, {'x': 688, 'y': 522.609375, 't': 853, 'tagged': False}, {'x': 673, 'y': 517.609375, 't': 887, 'tagged': False}, {'x': 656, 'y': 501.609375, 't': 921, 'tagged': False}]}]",,hexagram_1
10,,,,468.0,6.0,6.0,"[""circle"",""hexagram"",""triangle_1"",""rect""]",triangle_1,True,"[{""x"":1041,""y"":518,""t"":5},{""x"":1038,""y"":519,""t"":39},{""x"":1018,""y"":497,""t"":73},{""x"":1004,""y"":429,""t"":106},{""x"":992,""y"":444,""t"":140},{""x"":965,""y"":422,""t"":175},{""x"":938,""y"":386,""t"":209},{""x"":938,""y"":399,""t"":242},{""x"":946,""y"":373,""t"":276},{""x"":948,""y"":370,""t"":311},{""x"":930,""y"":328,""t"":344},{""x"":965,""y"":316,""t"":378},{""x"":1009,""y"":343,""t"":412},{""x"":1053,""y"":355,""t"":446}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'hexagram': [{'x': 594, 'y': 374.609375, 't': 106, 'tagged': True}, {'x': 582, 'y': 389.609375, 't': 140, 'tagged': False}, {'x': 555, 'y': 367.609375, 't': 175, 'tagged': False}, {'x': 528, 'y': 331.609375, 't': 209, 'tagged': False}, {'x': 528, 'y': 344.609375, 't': 242, 'tagged': False}, {'x': 536, 'y': 318.609375, 't': 276, 'tagged': False}, {'x': 538, 'y': 315.609375, 't': 311, 'tagged': False}, {'x': 520, 'y': 273.609375, 't': 344, 'tagged': False}, {'x': 555, 'y': 261.609375, 't': 378, 'tagged': False}, {'x': 599, 'y': 288.609375, 't': 412, 'tagged': False}, {'x': 643, 'y': 300.609375, 't': 446, 'tagged': False}]}]",,hexagram
11,,,,656.0,2.0,2.0,"[""triangle"",""hexagram"",""circle"",""star_1""]",star_1,True,"[{""x"":1042,""y"":358,""t"":5},{""x"":1032,""y"":362,""t"":38},{""x"":1012,""y"":351,""t"":73},{""x"":1015,""y"":295,""t"":107},{""x"":998,""y"":285,""t"":141},{""x"":987,""y"":257,""t"":175},{""x"":1002,""y"":288,""t"":209},{""x"":998,""y"":305,""t"":242},{""x"":966,""y"":272,""t"":277},{""x"":1016,""y"":297,""t"":309},{""x"":998,""y"":315,""t"":344},{""x"":1011,""y"":300,""t"":379},{""x"":1022,""y"":288,""t"":410},{""x"":1010,""y"":325,""t"":447},{""x"":996,""y"":329,""t"":480},{""x"":979,""y"":322,""t"":514},{""x"":977,""y"":354,""t"":549},{""x"":988,""y"":318,""t"":582},{""x"":1022,""y"":300,""t"":615}]","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":100,""height"":100,""top"":750,""right"":600,""bottom"":850,""left"":500}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'hexagram': [{'x': 632, 'y': 303.609375, 't': 5, 'tagged': True}, {'x': 622, 'y': 307.609375, 't': 38, 'tagged': False}, {'x': 602, 'y': 296.609375, 't': 73, 'tagged': False}, {'x': 605, 'y': 240.609375, 't': 107, 'tagged': False}, {'x': 588, 'y': 230.609375, 't': 141, 'tagged': False}, {'x': 577, 'y': 202.609375, 't': 175, 'tagged': False}, {'x': 592, 'y': 233.609375, 't': 209, 'tagged': False}, {'x': 588, 'y': 250.609375, 't': 242, 'tagged': False}, {'x': 556, 'y': 217.609375, 't': 277, 'tagged': False}, {'x': 606, 'y': 242.609375, 't': 309, 'tagged': False}, {'x': 588, 'y': 260.609375, 't': 344, 'tagged': False}, {'x': 601, 'y': 245.609375, 't': 379, 'tagged': False}, {'x': 612, 'y': 233.609375, 't': 410, 'tagged': False}, {'x': 600, 'y': 270.609375, 't': 447, 'tagged': False}, {'x': 586, 'y': 274.609375, 't': 480, 'tagged': False}, {'x': 569, 'y': 267.609375, 't': 514, 'tagged': False}, {'x': 567, 'y': 299.609375, 't': 549, 'tagged': False}, {'x': 578, 'y': 263.609375, 't': 582, 'tagged': False}, {'x': 612, 'y': 245.609375, 't': 615, 'tagged': False}]}]",,hexagram
