index,name,age,sex,rt,response,answer,stimulus,target,correct,webgazer_data,webgazer_targets_data,canvas_data,fixation,fixation_target,first_dot
0,scc,24.0,男,,,,,,,,,,,,
1,,,,635.0,8.0,8.0,"[""rect"",""hexagram"",""star"",""triangle""]",hexagram,True,"[{""x"":976,""y"":607,""t"":5},{""x"":974,""y"":629,""t"":48},{""x"":975,""y"":665,""t"":79},{""x"":976,""y"":669,""t"":111},{""x"":995,""y"":722,""t"":140},{""x"":996,""y"":735,""t"":175},{""x"":985,""y"":709,""t"":209},{""x"":993,""y"":690,""t"":242},{""x"":1073,""y"":615,""t"":276},{""x"":1045,""y"":660,""t"":311},{""x"":1042,""y"":647,""t"":344},{""x"":996,""y"":653,""t"":379},{""x"":943,""y"":658,""t"":412},{""x"":923,""y"":664,""t"":446},{""x"":888,""y"":651,""t"":480},{""x"":843,""y"":650,""t"":514},{""x"":817,""y"":623,""t"":548},{""x"":820,""y"":569,""t"":582}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":92,""height"":92,""top"":754,""right"":596,""bottom"":846,""left"":504}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'rect': 2}, {'hexagram': 0}, {'star': 1}, {'triangle': 8}]",,triangle
2,,,,503.0,8.0,8.0,"[""rect"",""star"",""hexagram"",""circle""]",star,True,"[{""x"":843,""y"":553,""t"":4},{""x"":899,""y"":559,""t"":40},{""x"":937,""y"":599,""t"":74},{""x"":1000,""y"":575,""t"":106},{""x"":950,""y"":580,""t"":140},{""x"":947,""y"":618,""t"":174},{""x"":948,""y"":603,""t"":208},{""x"":955,""y"":637,""t"":242},{""x"":973,""y"":629,""t"":276},{""x"":948,""y"":638,""t"":309},{""x"":948,""y"":671,""t"":344},{""x"":951,""y"":620,""t"":378},{""x"":946,""y"":597,""t"":413},{""x"":910,""y"":576,""t"":446},{""x"":905,""y"":509,""t"":480}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'rect': 1}, {'star': 0}, {'hexagram': 0}, {'circle': 1}]",,rect
3,,,,896.0,5.0,5.0,"[""rect"",""hexagram"",""triangle"",""star""]",circle,True,"[{""x"":909,""y"":537,""t"":5},{""x"":917,""y"":600,""t"":41},{""x"":924,""y"":590,""t"":72},{""x"":922,""y"":564,""t"":106},{""x"":971,""y"":539,""t"":140},{""x"":977,""y"":554,""t"":174},{""x"":1022,""y"":564,""t"":209},{""x"":1032,""y"":586,""t"":242},{""x"":1006,""y"":563,""t"":275},{""x"":971,""y"":567,""t"":309},{""x"":941,""y"":570,""t"":342},{""x"":918,""y"":575,""t"":378},{""x"":952,""y"":580,""t"":413},{""x"":932,""y"":573,""t"":447},{""x"":902,""y"":569,""t"":481},{""x"":902,""y"":595,""t"":514},{""x"":909,""y"":559,""t"":548},{""x"":880,""y"":572,""t"":583},{""x"":876,""y"":524,""t"":617},{""x"":876,""y"":521,""t"":649},{""x"":894,""y"":554,""t"":684},{""x"":896,""y"":536,""t"":719},{""x"":898,""y"":521,""t"":750},{""x"":914,""y"":531,""t"":786},{""x"":934,""y"":530,""t"":820},{""x"":979,""y"":528,""t"":855}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":100,""height"":100,""top"":750,""right"":600,""bottom"":850,""left"":500}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}",,,
4,,,,603.0,8.0,8.0,"[""circle"",""rect"",""triangle"",""hexagram""]",rect,True,"[{""x"":958,""y"":557,""t"":3},{""x"":966,""y"":583,""t"":39},{""x"":982,""y"":634,""t"":72},{""x"":972,""y"":649,""t"":106},{""x"":978,""y"":600,""t"":141},{""x"":960,""y"":628,""t"":174},{""x"":988,""y"":646,""t"":208},{""x"":972,""y"":621,""t"":242},{""x"":982,""y"":627,""t"":276},{""x"":971,""y"":589,""t"":310},{""x"":948,""y"":528,""t"":345},{""x"":919,""y"":539,""t"":377},{""x"":929,""y"":565,""t"":413},{""x"":923,""y"":577,""t"":446},{""x"":910,""y"":626,""t"":480},{""x"":928,""y"":615,""t"":514},{""x"":957,""y"":594,""t"":548},{""x"":963,""y"":566,""t"":583}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":92.37604307034013,""height"":80,""top"":760,""right"":596.18802153517,""bottom"":840,""left"":503.81197846482996}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'circle': 0}, {'rect': 0}, {'triangle': 0}, {'hexagram': 0}]",,circle
5,,,,640.0,2.0,2.0,"[""rect"",""triangle"",""star"",""circle""]",circle,True,"[{""x"":977,""y"":575,""t"":5},{""x"":992,""y"":628,""t"":39},{""x"":970,""y"":580,""t"":72},{""x"":961,""y"":551,""t"":108},{""x"":980,""y"":543,""t"":140},{""x"":930,""y"":517,""t"":174},{""x"":921,""y"":495,""t"":208},{""x"":974,""y"":440,""t"":242},{""x"":958,""y"":437,""t"":276},{""x"":967,""y"":426,""t"":310},{""x"":968,""y"":428,""t"":344},{""x"":962,""y"":457,""t"":378},{""x"":945,""y"":471,""t"":412},{""x"":911,""y"":544,""t"":446},{""x"":927,""y"":635,""t"":479},{""x"":934,""y"":703,""t"":513},{""x"":951,""y"":714,""t"":547},{""x"":963,""y"":758,""t"":582},{""x"":942,""y"":782,""t"":616}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92,""height"":92,""top"":154,""right"":596,""bottom"":246,""left"":504},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'rect': 0}, {'triangle': 4}, {'star': 0}, {'circle': 4}]",{'circle': 4},triangle
6,,,,798.0,4.0,4.0,"[""triangle"",""circle"",""rect"",""hexagram""]",triangle,True,"[{""x"":964,""y"":790,""t"":5},{""x"":968,""y"":764,""t"":40},{""x"":952,""y"":791,""t"":72},{""x"":942,""y"":793,""t"":106},{""x"":958,""y"":793,""t"":141},{""x"":972,""y"":779,""t"":175},{""x"":969,""y"":754,""t"":207},{""x"":967,""y"":731,""t"":239},{""x"":1000,""y"":683,""t"":277},{""x"":1021,""y"":672,""t"":310},{""x"":1007,""y"":654,""t"":345},{""x"":999,""y"":641,""t"":378},{""x"":1008,""y"":632,""t"":414},{""x"":968,""y"":632,""t"":446},{""x"":886,""y"":611,""t"":480},{""x"":810,""y"":590,""t"":514},{""x"":767,""y"":607,""t"":548},{""x"":750,""y"":640,""t"":582},{""x"":725,""y"":645,""t"":616},{""x"":745,""y"":665,""t"":650},{""x"":751,""y"":681,""t"":683},{""x"":734,""y"":694,""t"":717},{""x"":689,""y"":690,""t"":752}]","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":92.37604307034013,""height"":80,""top"":760,""right"":596.18802153517,""bottom"":840,""left"":503.81197846482996}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'triangle': 8}, {'circle': 0}, {'rect': 0}, {'hexagram': 10}]",{'triangle': 8},hexagram
7,,,,861.0,5.0,5.0,"[""triangle"",""star"",""circle"",""rect""]",hexagram,True,"[{""x"":720,""y"":676,""t"":4},{""x"":730,""y"":651,""t"":39},{""x"":732,""y"":666,""t"":72},{""x"":798,""y"":630,""t"":106},{""x"":848,""y"":647,""t"":139},{""x"":906,""y"":592,""t"":174},{""x"":916,""y"":581,""t"":208},{""x"":965,""y"":567,""t"":242},{""x"":978,""y"":516,""t"":276},{""x"":1055,""y"":519,""t"":310},{""x"":1039,""y"":492,""t"":345},{""x"":1032,""y"":525,""t"":380},{""x"":1009,""y"":539,""t"":412},{""x"":1026,""y"":528,""t"":447},{""x"":1101,""y"":469,""t"":480},{""x"":1075,""y"":497,""t"":528},{""x"":1059,""y"":577,""t"":552},{""x"":1111,""y"":575,""t"":581},{""x"":1121,""y"":592,""t"":615},{""x"":1067,""y"":617,""t"":651},{""x"":1014,""y"":620,""t"":683},{""x"":999,""y"":653,""t"":718},{""x"":1000,""y"":598,""t"":752},{""x"":989,""y"":654,""t"":786},{""x"":1010,""y"":650,""t"":820}]","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}",,,
8,,,,623.0,4.0,4.0,"[""circle"",""triangle"",""star"",""rect""]",circle,True,"[{""x"":946,""y"":639,""t"":5},{""x"":890,""y"":615,""t"":39},{""x"":916,""y"":650,""t"":71},{""x"":920,""y"":617,""t"":106},{""x"":942,""y"":613,""t"":140},{""x"":966,""y"":594,""t"":176},{""x"":984,""y"":570,""t"":209},{""x"":949,""y"":564,""t"":243},{""x"":974,""y"":594,""t"":275},{""x"":985,""y"":607,""t"":310},{""x"":962,""y"":615,""t"":344},{""x"":965,""y"":556,""t"":377},{""x"":961,""y"":605,""t"":413},{""x"":940,""y"":616,""t"":443},{""x"":921,""y"":597,""t"":481},{""x"":831,""y"":607,""t"":515},{""x"":823,""y"":655,""t"":554},{""x"":798,""y"":715,""t"":581}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92,""height"":92,""top"":154,""right"":596,""bottom"":246,""left"":504},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'circle': 2}, {'triangle': 0}, {'star': 0}, {'rect': 0}]",{'circle': 2},circle
9,,,,519.0,6.0,6.0,"[""hexagram"",""rect"",""circle"",""star""]",circle,True,"[{""x"":857,""y"":710,""t"":5},{""x"":966,""y"":670,""t"":38},{""x"":1058,""y"":682,""t"":73},{""x"":1060,""y"":694,""t"":106},{""x"":1100,""y"":659,""t"":140},{""x"":1168,""y"":625,""t"":174},{""x"":1220,""y"":595,""t"":209},{""x"":1227,""y"":601,""t"":242},{""x"":1170,""y"":601,""t"":276},{""x"":1119,""y"":585,""t"":310},{""x"":1072,""y"":616,""t"":344},{""x"":1031,""y"":643,""t"":376},{""x"":1077,""y"":650,""t"":411},{""x"":1069,""y"":667,""t"":446},{""x"":1092,""y"":646,""t"":480}]","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":100,""height"":100,""top"":750,""right"":600,""bottom"":850,""left"":500}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'hexagram': 0}, {'rect': 0}, {'circle': 8}, {'star': 4}]",{'circle': 8},circle
10,,,,543.0,8.0,8.0,"[""rect"",""triangle"",""hexagram"",""star""]",triangle,True,"[{""x"":1063,""y"":686,""t"":4},{""x"":1008,""y"":606,""t"":39},{""x"":923,""y"":548,""t"":73},{""x"":901,""y"":520,""t"":107},{""x"":882,""y"":524,""t"":141},{""x"":881,""y"":483,""t"":175},{""x"":900,""y"":460,""t"":208},{""x"":894,""y"":446,""t"":243},{""x"":906,""y"":420,""t"":276},{""x"":909,""y"":427,""t"":310},{""x"":914,""y"":438,""t"":344},{""x"":937,""y"":443,""t"":377},{""x"":939,""y"":425,""t"":413},{""x"":946,""y"":446,""t"":446},{""x"":953,""y"":478,""t"":480},{""x"":988,""y"":443,""t"":514}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92,""height"":92,""top"":154,""right"":596,""bottom"":246,""left"":504},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":550,""y"":800,""width"":100,""height"":100,""top"":750,""right"":600,""bottom"":850,""left"":500}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'rect': 0}, {'triangle': 7}, {'hexagram': 0}, {'star': 1}]",{'triangle': 7},triangle
11,,,,633.0,6.0,6.0,"[""circle"",""hexagram"",""triangle"",""rect""]",triangle,True,"[{""x"":987,""y"":396,""t"":5},{""x"":1051,""y"":372,""t"":39},{""x"":1044,""y"":370,""t"":72},{""x"":1025,""y"":356,""t"":106},{""x"":993,""y"":376,""t"":140},{""x"":955,""y"":395,""t"":174},{""x"":961,""y"":397,""t"":208},{""x"":935,""y"":426,""t"":242},{""x"":925,""y"":438,""t"":276},{""x"":940,""y"":413,""t"":311},{""x"":918,""y"":437,""t"":345},{""x"":940,""y"":472,""t"":378},{""x"":959,""y"":525,""t"":412},{""x"":994,""y"":548,""t"":447},{""x"":1006,""y"":581,""t"":480},{""x"":1034,""y"":641,""t"":514},{""x"":1045,""y"":650,""t"":549},{""x"":1062,""y"":624,""t"":583}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'circle': 0}, {'hexagram': 11}, {'triangle': 0}, {'rect': 0}]",,hexagram
12,,,,637.0,4.0,4.0,"[""star"",""triangle"",""rect"",""hexagram""]",star,True,"[{""x"":1065,""y"":563,""t"":5},{""x"":1011,""y"":530,""t"":39},{""x"":991,""y"":530,""t"":72},{""x"":1008,""y"":537,""t"":106},{""x"":997,""y"":515,""t"":140},{""x"":968,""y"":511,""t"":175},{""x"":935,""y"":501,""t"":208},{""x"":965,""y"":484,""t"":242},{""x"":929,""y"":494,""t"":277},{""x"":902,""y"":466,""t"":307},{""x"":911,""y"":504,""t"":343},{""x"":909,""y"":557,""t"":378},{""x"":902,""y"":531,""t"":412},{""x"":913,""y"":487,""t"":446},{""x"":927,""y"":472,""t"":480},{""x"":935,""y"":492,""t"":514},{""x"":914,""y"":493,""t"":548},{""x"":901,""y"":454,""t"":582},{""x"":845,""y"":485,""t"":616}]","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":550,""y"":200,""width"":92,""height"":92,""top"":154,""right"":596,""bottom"":246,""left"":504},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":92.37604307034013,""height"":80,""top"":760,""right"":596.18802153517,""bottom"":840,""left"":503.81197846482996}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'star': 1}, {'triangle': 0}, {'rect': 1}, {'hexagram': 0}]",{'star': 1},star
13,,,,636.0,6.0,6.0,"[""rect"",""triangle"",""star"",""circle""]",star,True,"[{""x"":818,""y"":476,""t"":4},{""x"":851,""y"":510,""t"":38},{""x"":833,""y"":533,""t"":73},{""x"":790,""y"":561,""t"":107},{""x"":802,""y"":567,""t"":141},{""x"":792,""y"":567,""t"":175},{""x"":820,""y"":554,""t"":208},{""x"":817,""y"":546,""t"":242},{""x"":817,""y"":561,""t"":276},{""x"":827,""y"":575,""t"":309},{""x"":882,""y"":552,""t"":344},{""x"":972,""y"":579,""t"":378},{""x"":1045,""y"":594,""t"":412},{""x"":1130,""y"":562,""t"":446},{""x"":1176,""y"":547,""t"":481},{""x"":1229,""y"":545,""t"":514},{""x"":1278,""y"":525,""t"":548},{""x"":1312,""y"":515,""t"":582}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92,""height"":92,""top"":154,""right"":596,""bottom"":246,""left"":504},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'rect': 10}, {'triangle': 0}, {'star': 5}, {'circle': 0}]",{'star': 5},rect
14,,,,661.0,2.0,2.0,"[""circle"",""star"",""rect"",""triangle""]",triangle,True,"[{""x"":1250,""y"":505,""t"":4},{""x"":1183,""y"":497,""t"":38},{""x"":1103,""y"":485,""t"":73},{""x"":1066,""y"":375,""t"":106},{""x"":1012,""y"":325,""t"":139},{""x"":972,""y"":300,""t"":176},{""x"":949,""y"":328,""t"":208},{""x"":962,""y"":357,""t"":241},{""x"":927,""y"":338,""t"":276},{""x"":978,""y"":375,""t"":310},{""x"":971,""y"":357,""t"":345},{""x"":971,""y"":346,""t"":378},{""x"":953,""y"":333,""t"":412},{""x"":960,""y"":358,""t"":446},{""x"":995,""y"":369,""t"":479},{""x"":984,""y"":452,""t"":514},{""x"":1000,""y"":492,""t"":548},{""x"":1009,""y"":526,""t"":583},{""x"":986,""y"":556,""t"":617}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":92,""height"":92,""top"":754,""right"":596,""bottom"":846,""left"":504}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'circle': 0}, {'star': 13}, {'rect': 3}, {'triangle': 0}]",,star
15,,,,670.0,6.0,6.0,"[""rect"",""triangle"",""hexagram"",""circle""]",hexagram,True,"[{""x"":1005,""y"":586,""t"":5},{""x"":999,""y"":587,""t"":42},{""x"":1007,""y"":560,""t"":73},{""x"":1013,""y"":548,""t"":106},{""x"":1053,""y"":546,""t"":140},{""x"":1042,""y"":540,""t"":174},{""x"":1030,""y"":483,""t"":209},{""x"":1042,""y"":452,""t"":243},{""x"":1026,""y"":493,""t"":276},{""x"":1025,""y"":441,""t"":310},{""x"":1050,""y"":389,""t"":344},{""x"":1039,""y"":369,""t"":378},{""x"":1039,""y"":371,""t"":413},{""x"":992,""y"":435,""t"":446},{""x"":960,""y"":485,""t"":481},{""x"":888,""y"":536,""t"":514},{""x"":933,""y"":572,""t"":549},{""x"":1024,""y"":601,""t"":581},{""x"":1072,""y"":629,""t"":617},{""x"":1147,""y"":611,""t"":650}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92,""height"":92,""top"":154,""right"":596,""bottom"":246,""left"":504},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'rect': 0}, {'triangle': 5}, {'hexagram': 1}, {'circle': 0}]",{'hexagram': 1},triangle
16,,,,592.0,4.0,4.0,"[""hexagram"",""triangle"",""rect"",""circle""]",hexagram,True,"[{""x"":1148,""y"":626,""t"":5},{""x"":1160,""y"":599,""t"":43},{""x"":1197,""y"":552,""t"":73},{""x"":1230,""y"":537,""t"":106},{""x"":1226,""y"":528,""t"":140},{""x"":1193,""y"":578,""t"":174},{""x"":1182,""y"":551,""t"":208},{""x"":1171,""y"":528,""t"":239},{""x"":1141,""y"":495,""t"":276},{""x"":1135,""y"":481,""t"":310},{""x"":1182,""y"":463,""t"":344},{""x"":1156,""y"":482,""t"":378},{""x"":1069,""y"":474,""t"":411},{""x"":984,""y"":508,""t"":446},{""x"":924,""y"":541,""t"":480},{""x"":822,""y"":583,""t"":514},{""x"":771,""y"":619,""t"":548}]","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":550,""y"":200,""width"":92,""height"":92,""top"":154,""right"":596,""bottom"":246,""left"":504},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'hexagram': 2}, {'triangle': 0}, {'rect': 12}, {'circle': 0}]",{'hexagram': 2},rect
17,,,,801.0,5.0,2.0,"[""rect"",""circle"",""triangle"",""hexagram""]",hexagram,False,"[{""x"":742,""y"":612,""t"":4},{""x"":750,""y"":593,""t"":43},{""x"":749,""y"":572,""t"":74},{""x"":790,""y"":552,""t"":106},{""x"":804,""y"":521,""t"":140},{""x"":846,""y"":540,""t"":174},{""x"":865,""y"":562,""t"":208},{""x"":926,""y"":558,""t"":242},{""x"":911,""y"":535,""t"":276},{""x"":957,""y"":537,""t"":311},{""x"":922,""y"":548,""t"":345},{""x"":959,""y"":573,""t"":378},{""x"":1002,""y"":530,""t"":413},{""x"":1018,""y"":474,""t"":446},{""x"":1011,""y"":456,""t"":480},{""x"":991,""y"":481,""t"":513},{""x"":961,""y"":495,""t"":547},{""x"":906,""y"":499,""t"":582},{""x"":850,""y"":509,""t"":616},{""x"":821,""y"":512,""t"":650},{""x"":849,""y"":522,""t"":684},{""x"":902,""y"":541,""t"":718},{""x"":970,""y"":580,""t"":751}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":92.37604307034013,""height"":80,""top"":760,""right"":596.18802153517,""bottom"":840,""left"":503.81197846482996}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'rect': 9}, {'circle': 0}, {'triangle': 0}, {'hexagram': 0}]",,rect
18,,,,674.0,2.0,2.0,"[""triangle"",""star"",""circle"",""rect""]",rect,True,"[{""x"":919,""y"":593,""t"":5},{""x"":776,""y"":599,""t"":39},{""x"":746,""y"":585,""t"":72},{""x"":712,""y"":566,""t"":107},{""x"":692,""y"":615,""t"":141},{""x"":690,""y"":564,""t"":174},{""x"":663,""y"":530,""t"":208},{""x"":629,""y"":497,""t"":243},{""x"":652,""y"":494,""t"":276},{""x"":657,""y"":472,""t"":310},{""x"":632,""y"":419,""t"":343},{""x"":623,""y"":420,""t"":378},{""x"":637,""y"":400,""t"":412},{""x"":652,""y"":415,""t"":446},{""x"":631,""y"":472,""t"":480},{""x"":648,""y"":509,""t"":514},{""x"":636,""y"":488,""t"":558},{""x"":637,""y"":556,""t"":586},{""x"":666,""y"":570,""t"":615},{""x"":649,""y"":592,""t"":650}]","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'triangle': 19}, {'star': 0}, {'circle': 0}, {'rect': 0}]",,triangle
