"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","5250","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","5256","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","12216","0.0-2.0-0.0","","","","","6958","{""name"":""范雨祥"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","14136","0.0-2.0-1.0","","","","","1919","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","21163","0.0-3.0","","","","","","","","1475","","","","","","","","","","","","","","","","",""
"","html-button-response","5","25136","0.0-4.0-0.0","","","","","3971","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","39250","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","40759","0.0-4.0-2.0","","","","","1509","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","57730","0.0-4.0-3.0","","","","","","","","","","[[{""x"":477,""y"":390,""dx"":-14,""dy"":109,""t"":990},{""x"":491,""y"":389,""dx"":0,""dy"":108,""t"":1025},{""x"":492,""y"":374,""dx"":1,""dy"":93,""t"":1058},{""x"":495,""y"":378,""dx"":4,""dy"":97,""t"":1092},{""x"":491,""y"":373,""dx"":0,""dy"":92,""t"":1126},{""x"":495,""y"":364,""dx"":4,""dy"":83,""t"":1159},{""x"":488,""y"":365,""dx"":-3,""dy"":84,""t"":1194},{""x"":495,""y"":348,""dx"":4,""dy"":67,""t"":1229},{""x"":486,""y"":350,""dx"":-5,""dy"":69,""t"":1262},{""x"":481,""y"":353,""dx"":-10,""dy"":72,""t"":1296},{""x"":480,""y"":361,""dx"":-11,""dy"":80,""t"":1330},{""x"":477,""y"":372,""dx"":-14,""dy"":91,""t"":1364},{""x"":480,""y"":370,""dx"":-11,""dy"":89,""t"":1397},{""x"":483,""y"":366,""dx"":-8,""dy"":85,""t"":1432},{""x"":509,""y"":374,""dx"":18,""dy"":93,""t"":1466},{""x"":498,""y"":351,""dx"":7,""dy"":70,""t"":1501},{""x"":479,""y"":393,""dx"":-12,""dy"":112,""t"":1534},{""x"":490,""y"":400,""dx"":-1,""dy"":119,""t"":1568},{""x"":468,""y"":418,""dx"":-23,""dy"":137,""t"":1602},{""x"":485,""y"":407,""dx"":-6,""dy"":126,""t"":1637},{""x"":488,""y"":395,""dx"":-3,""dy"":114,""t"":1669},{""x"":505,""y"":393,""dx"":14,""dy"":112,""t"":1703},{""x"":506,""y"":388,""dx"":15,""dy"":107,""t"":1739},{""x"":507,""y"":381,""dx"":16,""dy"":100,""t"":1772},{""x"":521,""y"":372,""dx"":30,""dy"":91,""t"":1806},{""x"":524,""y"":356,""dx"":33,""dy"":75,""t"":1840},{""x"":534,""y"":345,""dx"":43,""dy"":64,""t"":1874},{""x"":546,""y"":349,""dx"":55,""dy"":68,""t"":1908},{""x"":547,""y"":350,""dx"":56,""dy"":69,""t"":1942},{""x"":523,""y"":371,""dx"":32,""dy"":90,""t"":1976},{""x"":542,""y"":378,""dx"":51,""dy"":97,""t"":2009},{""x"":536,""y"":353,""dx"":45,""dy"":72,""t"":2045},{""x"":548,""y"":347,""dx"":57,""dy"":66,""t"":2078},{""x"":548,""y"":337,""dx"":57,""dy"":56,""t"":2112},{""x"":546,""y"":342,""dx"":55,""dy"":61,""t"":2145},{""x"":533,""y"":374,""dx"":42,""dy"":93,""t"":2180},{""x"":537,""y"":375,""dx"":46,""dy"":94,""t"":2214},{""x"":500,""y"":384,""dx"":9,""dy"":103,""t"":2281},{""x"":520,""y"":385,""dx"":29,""dy"":104,""t"":2317},{""x"":505,""y"":400,""dx"":14,""dy"":119,""t"":2350},{""x"":518,""y"":396,""dx"":27,""dy"":115,""t"":2384},{""x"":531,""y"":397,""dx"":40,""dy"":116,""t"":2418},{""x"":542,""y"":397,""dx"":51,""dy"":116,""t"":2450},{""x"":532,""y"":388,""dx"":41,""dy"":107,""t"":2486},{""x"":535,""y"":392,""dx"":44,""dy"":111,""t"":2520},{""x"":529,""y"":398,""dx"":38,""dy"":117,""t"":2554},{""x"":518,""y"":389,""dx"":27,""dy"":108,""t"":2588},{""x"":502,""y"":385,""dx"":11,""dy"":104,""t"":2622},{""x"":487,""y"":374,""dx"":-4,""dy"":93,""t"":2656},{""x"":463,""y"":379,""dx"":-28,""dy"":98,""t"":2689},{""x"":451,""y"":374,""dx"":-40,""dy"":93,""t"":2724},{""x"":450,""y"":381,""dx"":-41,""dy"":100,""t"":2758},{""x"":446,""y"":388,""dx"":-45,""dy"":107,""t"":2791},{""x"":454,""y"":378,""dx"":-37,""dy"":97,""t"":2825},{""x"":481,""y"":385,""dx"":-10,""dy"":104,""t"":2860},{""x"":473,""y"":413,""dx"":-18,""dy"":132,""t"":2894},{""x"":490,""y"":391,""dx"":-1,""dy"":110,""t"":2928},{""x"":490,""y"":361,""dx"":-1,""dy"":80,""t"":2962}],[{""x"":1548,""y"":312,""dx"":97,""dy"":31,""t"":4013},{""x"":1533,""y"":283,""dx"":82,""dy"":2,""t"":4050},{""x"":1551,""y"":287,""dx"":100,""dy"":6,""t"":4083},{""x"":1518,""y"":298,""dx"":67,""dy"":17,""t"":4117},{""x"":1513,""y"":293,""dx"":62,""dy"":12,""t"":4152},{""x"":1547,""y"":289,""dx"":96,""dy"":8,""t"":4186},{""x"":1531,""y"":292,""dx"":80,""dy"":11,""t"":4219},{""x"":1521,""y"":292,""dx"":70,""dy"":11,""t"":4255},{""x"":1532,""y"":312,""dx"":81,""dy"":31,""t"":4289},{""x"":1517,""y"":353,""dx"":66,""dy"":72,""t"":4322},{""x"":1535,""y"":373,""dx"":84,""dy"":92,""t"":4356},{""x"":1519,""y"":371,""dx"":68,""dy"":90,""t"":4390},{""x"":1489,""y"":372,""dx"":38,""dy"":91,""t"":4422},{""x"":1455,""y"":353,""dx"":4,""dy"":72,""t"":4458},{""x"":1473,""y"":355,""dx"":22,""dy"":74,""t"":4492},{""x"":1480,""y"":349,""dx"":29,""dy"":68,""t"":4526},{""x"":1498,""y"":362,""dx"":47,""dy"":81,""t"":4559},{""x"":1529,""y"":365,""dx"":78,""dy"":84,""t"":4595},{""x"":1527,""y"":367,""dx"":76,""dy"":86,""t"":4627},{""x"":1512,""y"":423,""dx"":61,""dy"":142,""t"":4661},{""x"":1530,""y"":438,""dx"":79,""dy"":157,""t"":4696},{""x"":1543,""y"":440,""dx"":92,""dy"":159,""t"":4730},{""x"":1529,""y"":421,""dx"":78,""dy"":140,""t"":4763},{""x"":1503,""y"":396,""dx"":52,""dy"":115,""t"":4797},{""x"":1497,""y"":393,""dx"":46,""dy"":112,""t"":4832},{""x"":1483,""y"":377,""dx"":32,""dy"":96,""t"":4866},{""x"":1479,""y"":346,""dx"":28,""dy"":65,""t"":4899},{""x"":1484,""y"":408,""dx"":33,""dy"":127,""t"":4934},{""x"":1498,""y"":400,""dx"":47,""dy"":119,""t"":4968},{""x"":1482,""y"":375,""dx"":31,""dy"":94,""t"":5002},{""x"":1479,""y"":372,""dx"":28,""dy"":91,""t"":5036},{""x"":1494,""y"":372,""dx"":43,""dy"":91,""t"":5071},{""x"":1495,""y"":365,""dx"":44,""dy"":84,""t"":5104},{""x"":1483,""y"":383,""dx"":32,""dy"":102,""t"":5139},{""x"":1474,""y"":368,""dx"":23,""dy"":87,""t"":5172},{""x"":1489,""y"":369,""dx"":38,""dy"":88,""t"":5206},{""x"":1466,""y"":363,""dx"":15,""dy"":82,""t"":5240},{""x"":1446,""y"":364,""dx"":-5,""dy"":83,""t"":5273},{""x"":1458,""y"":365,""dx"":7,""dy"":84,""t"":5309},{""x"":1465,""y"":360,""dx"":14,""dy"":79,""t"":5343},{""x"":1462,""y"":353,""dx"":11,""dy"":72,""t"":5376},{""x"":1473,""y"":364,""dx"":22,""dy"":83,""t"":5409},{""x"":1480,""y"":372,""dx"":29,""dy"":91,""t"":5444},{""x"":1501,""y"":377,""dx"":50,""dy"":96,""t"":5478},{""x"":1485,""y"":363,""dx"":34,""dy"":82,""t"":5512},{""x"":1483,""y"":363,""dx"":32,""dy"":82,""t"":5546},{""x"":1495,""y"":390,""dx"":44,""dy"":109,""t"":5580},{""x"":1499,""y"":407,""dx"":48,""dy"":126,""t"":5612},{""x"":1493,""y"":388,""dx"":42,""dy"":107,""t"":5648},{""x"":1493,""y"":404,""dx"":42,""dy"":123,""t"":5682},{""x"":1491,""y"":419,""dx"":40,""dy"":138,""t"":5716},{""x"":1520,""y"":438,""dx"":69,""dy"":157,""t"":5750},{""x"":1519,""y"":434,""dx"":68,""dy"":153,""t"":5784},{""x"":1507,""y"":409,""dx"":56,""dy"":128,""t"":5818},{""x"":1520,""y"":399,""dx"":69,""dy"":118,""t"":5852},{""x"":1510,""y"":405,""dx"":59,""dy"":124,""t"":5886},{""x"":1501,""y"":397,""dx"":50,""dy"":116,""t"":5920},{""x"":1523,""y"":398,""dx"":72,""dy"":117,""t"":5954},{""x"":1542,""y"":399,""dx"":91,""dy"":118,""t"":5986}],[{""x"":992,""y"":513,""dx"":21,""dy"":-38,""t"":7007},{""x"":1037,""y"":529,""dx"":66,""dy"":-22,""t"":7041},{""x"":1093,""y"":543,""dx"":122,""dy"":-8,""t"":7076},{""x"":1099,""y"":548,""dx"":128,""dy"":-3,""t"":7110},{""x"":1070,""y"":562,""dx"":99,""dy"":11,""t"":7144},{""x"":1055,""y"":568,""dx"":84,""dy"":17,""t"":7178},{""x"":1043,""y"":568,""dx"":72,""dy"":17,""t"":7213},{""x"":1025,""y"":570,""dx"":54,""dy"":19,""t"":7247},{""x"":1033,""y"":576,""dx"":62,""dy"":25,""t"":7280},{""x"":983,""y"":560,""dx"":12,""dy"":9,""t"":7314},{""x"":991,""y"":560,""dx"":20,""dy"":9,""t"":7349},{""x"":999,""y"":567,""dx"":28,""dy"":16,""t"":7382},{""x"":1016,""y"":573,""dx"":45,""dy"":22,""t"":7416},{""x"":973,""y"":590,""dx"":2,""dy"":39,""t"":7450},{""x"":981,""y"":602,""dx"":10,""dy"":51,""t"":7483},{""x"":943,""y"":598,""dx"":-28,""dy"":47,""t"":7518},{""x"":911,""y"":579,""dx"":-60,""dy"":28,""t"":7552},{""x"":885,""y"":563,""dx"":-86,""dy"":12,""t"":7583},{""x"":909,""y"":562,""dx"":-62,""dy"":11,""t"":7620},{""x"":925,""y"":537,""dx"":-46,""dy"":-14,""t"":7654},{""x"":956,""y"":551,""dx"":-15,""dy"":0,""t"":7689},{""x"":983,""y"":561,""dx"":12,""dy"":10,""t"":7721},{""x"":989,""y"":565,""dx"":18,""dy"":14,""t"":7757},{""x"":984,""y"":564,""dx"":13,""dy"":13,""t"":7790},{""x"":986,""y"":579,""dx"":15,""dy"":28,""t"":7824},{""x"":1042,""y"":589,""dx"":71,""dy"":38,""t"":7858},{""x"":1077,""y"":590,""dx"":106,""dy"":39,""t"":7892},{""x"":1093,""y"":585,""dx"":122,""dy"":34,""t"":7926},{""x"":1067,""y"":582,""dx"":96,""dy"":31,""t"":7960},{""x"":1043,""y"":580,""dx"":72,""dy"":29,""t"":7991},{""x"":1014,""y"":587,""dx"":43,""dy"":36,""t"":8028},{""x"":988,""y"":569,""dx"":17,""dy"":18,""t"":8062},{""x"":1040,""y"":587,""dx"":69,""dy"":36,""t"":8095},{""x"":1016,""y"":562,""dx"":45,""dy"":11,""t"":8130},{""x"":1035,""y"":556,""dx"":64,""dy"":5,""t"":8164},{""x"":1045,""y"":555,""dx"":74,""dy"":4,""t"":8197},{""x"":1053,""y"":556,""dx"":82,""dy"":5,""t"":8232},{""x"":1019,""y"":554,""dx"":48,""dy"":3,""t"":8265},{""x"":1033,""y"":565,""dx"":62,""dy"":14,""t"":8300},{""x"":1066,""y"":576,""dx"":95,""dy"":25,""t"":8334},{""x"":1081,""y"":558,""dx"":110,""dy"":7,""t"":8368},{""x"":1100,""y"":569,""dx"":129,""dy"":18,""t"":8402},{""x"":1114,""y"":560,""dx"":143,""dy"":9,""t"":8436},{""x"":1069,""y"":546,""dx"":98,""dy"":-5,""t"":8471},{""x"":1101,""y"":554,""dx"":130,""dy"":3,""t"":8504},{""x"":1118,""y"":551,""dx"":147,""dy"":0,""t"":8538},{""x"":1133,""y"":554,""dx"":162,""dy"":3,""t"":8573},{""x"":1104,""y"":566,""dx"":133,""dy"":15,""t"":8606},{""x"":1098,""y"":568,""dx"":127,""dy"":17,""t"":8640},{""x"":1085,""y"":502,""dx"":114,""dy"":-49,""t"":8675},{""x"":1099,""y"":520,""dx"":128,""dy"":-31,""t"":8708},{""x"":1112,""y"":553,""dx"":141,""dy"":2,""t"":8743},{""x"":1130,""y"":560,""dx"":159,""dy"":9,""t"":8776},{""x"":1125,""y"":563,""dx"":154,""dy"":12,""t"":8811},{""x"":1097,""y"":541,""dx"":126,""dy"":-10,""t"":8844},{""x"":1065,""y"":550,""dx"":94,""dy"":-1,""t"":8878},{""x"":1059,""y"":538,""dx"":88,""dy"":-13,""t"":8912},{""x"":1074,""y"":544,""dx"":103,""dy"":-7,""t"":8947},{""x"":1071,""y"":547,""dx"":100,""dy"":-4,""t"":8980}],[{""x"":457,""y"":695,""dx"":-34,""dy"":-126,""t"":10034},{""x"":461,""y"":700,""dx"":-30,""dy"":-121,""t"":10068},{""x"":462,""y"":717,""dx"":-29,""dy"":-104,""t"":10102},{""x"":473,""y"":716,""dx"":-18,""dy"":-105,""t"":10137},{""x"":464,""y"":722,""dx"":-27,""dy"":-99,""t"":10170},{""x"":477,""y"":716,""dx"":-14,""dy"":-105,""t"":10204},{""x"":477,""y"":716,""dx"":-14,""dy"":-105,""t"":10238},{""x"":480,""y"":724,""dx"":-11,""dy"":-97,""t"":10272},{""x"":477,""y"":723,""dx"":-14,""dy"":-98,""t"":10305},{""x"":472,""y"":720,""dx"":-19,""dy"":-101,""t"":10339},{""x"":470,""y"":726,""dx"":-21,""dy"":-95,""t"":10374},{""x"":459,""y"":721,""dx"":-32,""dy"":-100,""t"":10408},{""x"":436,""y"":722,""dx"":-55,""dy"":-99,""t"":10441},{""x"":426,""y"":706,""dx"":-65,""dy"":-115,""t"":10476},{""x"":432,""y"":713,""dx"":-59,""dy"":-108,""t"":10510},{""x"":446,""y"":699,""dx"":-45,""dy"":-122,""t"":10544},{""x"":441,""y"":708,""dx"":-50,""dy"":-113,""t"":10578},{""x"":453,""y"":735,""dx"":-38,""dy"":-86,""t"":10612},{""x"":448,""y"":736,""dx"":-43,""dy"":-85,""t"":10647},{""x"":449,""y"":735,""dx"":-42,""dy"":-86,""t"":10680},{""x"":455,""y"":750,""dx"":-36,""dy"":-71,""t"":10713},{""x"":427,""y"":742,""dx"":-64,""dy"":-79,""t"":10749},{""x"":403,""y"":735,""dx"":-88,""dy"":-86,""t"":10780},{""x"":422,""y"":720,""dx"":-69,""dy"":-101,""t"":10815},{""x"":418,""y"":724,""dx"":-73,""dy"":-97,""t"":10850},{""x"":413,""y"":728,""dx"":-78,""dy"":-93,""t"":10884},{""x"":450,""y"":711,""dx"":-41,""dy"":-110,""t"":10919},{""x"":437,""y"":724,""dx"":-54,""dy"":-97,""t"":10952},{""x"":438,""y"":725,""dx"":-53,""dy"":-96,""t"":10987},{""x"":433,""y"":728,""dx"":-58,""dy"":-93,""t"":11019},{""x"":432,""y"":725,""dx"":-59,""dy"":-96,""t"":11055},{""x"":450,""y"":749,""dx"":-41,""dy"":-72,""t"":11087},{""x"":448,""y"":749,""dx"":-43,""dy"":-72,""t"":11122},{""x"":447,""y"":749,""dx"":-44,""dy"":-72,""t"":11155},{""x"":428,""y"":737,""dx"":-63,""dy"":-84,""t"":11190},{""x"":434,""y"":747,""dx"":-57,""dy"":-74,""t"":11224},{""x"":454,""y"":756,""dx"":-37,""dy"":-65,""t"":11258},{""x"":467,""y"":746,""dx"":-24,""dy"":-75,""t"":11305},{""x"":486,""y"":738,""dx"":-5,""dy"":-83,""t"":11327},{""x"":510,""y"":758,""dx"":19,""dy"":-63,""t"":11360},{""x"":534,""y"":741,""dx"":43,""dy"":-80,""t"":11394},{""x"":540,""y"":755,""dx"":49,""dy"":-66,""t"":11428},{""x"":536,""y"":773,""dx"":45,""dy"":-48,""t"":11463},{""x"":543,""y"":776,""dx"":52,""dy"":-45,""t"":11497},{""x"":514,""y"":758,""dx"":23,""dy"":-63,""t"":11530},{""x"":522,""y"":740,""dx"":31,""dy"":-81,""t"":11564},{""x"":526,""y"":734,""dx"":35,""dy"":-87,""t"":11599},{""x"":548,""y"":744,""dx"":57,""dy"":-77,""t"":11632},{""x"":525,""y"":753,""dx"":34,""dy"":-68,""t"":11666},{""x"":511,""y"":743,""dx"":20,""dy"":-78,""t"":11699},{""x"":500,""y"":752,""dx"":9,""dy"":-69,""t"":11735},{""x"":512,""y"":740,""dx"":21,""dy"":-81,""t"":11768},{""x"":518,""y"":750,""dx"":27,""dy"":-71,""t"":11802},{""x"":545,""y"":764,""dx"":54,""dy"":-57,""t"":11836},{""x"":529,""y"":778,""dx"":38,""dy"":-43,""t"":11870},{""x"":502,""y"":764,""dx"":11,""dy"":-57,""t"":11904},{""x"":498,""y"":752,""dx"":7,""dy"":-69,""t"":11937},{""x"":538,""y"":750,""dx"":47,""dy"":-71,""t"":11972},{""x"":560,""y"":757,""dx"":69,""dy"":-64,""t"":12006}],[{""x"":1446,""y"":686,""dx"":-5,""dy"":-135,""t"":13026},{""x"":1402,""y"":665,""dx"":-49,""dy"":-156,""t"":13060},{""x"":1381,""y"":667,""dx"":-70,""dy"":-154,""t"":13094},{""x"":1382,""y"":674,""dx"":-69,""dy"":-147,""t"":13128},{""x"":1383,""y"":681,""dx"":-68,""dy"":-140,""t"":13160},{""x"":1347,""y"":670,""dx"":-104,""dy"":-151,""t"":13195},{""x"":1381,""y"":695,""dx"":-70,""dy"":-126,""t"":13230},{""x"":1383,""y"":718,""dx"":-68,""dy"":-103,""t"":13264},{""x"":1387,""y"":726,""dx"":-64,""dy"":-95,""t"":13299},{""x"":1377,""y"":740,""dx"":-74,""dy"":-81,""t"":13332},{""x"":1377,""y"":739,""dx"":-74,""dy"":-82,""t"":13366},{""x"":1392,""y"":736,""dx"":-59,""dy"":-85,""t"":13400},{""x"":1380,""y"":728,""dx"":-71,""dy"":-93,""t"":13434},{""x"":1387,""y"":757,""dx"":-64,""dy"":-64,""t"":13468},{""x"":1380,""y"":754,""dx"":-71,""dy"":-67,""t"":13502},{""x"":1407,""y"":702,""dx"":-44,""dy"":-119,""t"":13537},{""x"":1424,""y"":655,""dx"":-27,""dy"":-166,""t"":13571},{""x"":1419,""y"":645,""dx"":-32,""dy"":-176,""t"":13604},{""x"":1433,""y"":644,""dx"":-18,""dy"":-177,""t"":13638},{""x"":1463,""y"":642,""dx"":12,""dy"":-179,""t"":13672},{""x"":1457,""y"":644,""dx"":6,""dy"":-177,""t"":13706},{""x"":1485,""y"":662,""dx"":34,""dy"":-159,""t"":13740},{""x"":1494,""y"":677,""dx"":43,""dy"":-144,""t"":13774},{""x"":1507,""y"":673,""dx"":56,""dy"":-148,""t"":13807},{""x"":1478,""y"":661,""dx"":27,""dy"":-160,""t"":13842},{""x"":1456,""y"":681,""dx"":5,""dy"":-140,""t"":13878},{""x"":1484,""y"":682,""dx"":33,""dy"":-139,""t"":13909},{""x"":1473,""y"":663,""dx"":22,""dy"":-158,""t"":13944},{""x"":1457,""y"":660,""dx"":6,""dy"":-161,""t"":13979},{""x"":1449,""y"":671,""dx"":-2,""dy"":-150,""t"":14012},{""x"":1437,""y"":670,""dx"":-14,""dy"":-151,""t"":14046},{""x"":1422,""y"":710,""dx"":-29,""dy"":-111,""t"":14080},{""x"":1410,""y"":702,""dx"":-41,""dy"":-119,""t"":14114},{""x"":1396,""y"":737,""dx"":-55,""dy"":-84,""t"":14148},{""x"":1385,""y"":724,""dx"":-66,""dy"":-97,""t"":14183},{""x"":1383,""y"":779,""dx"":-68,""dy"":-42,""t"":14217},{""x"":1393,""y"":707,""dx"":-58,""dy"":-114,""t"":14250},{""x"":1406,""y"":655,""dx"":-45,""dy"":-166,""t"":14284},{""x"":1431,""y"":620,""dx"":-20,""dy"":-201,""t"":14318},{""x"":1453,""y"":591,""dx"":2,""dy"":-230,""t"":14350},{""x"":1452,""y"":620,""dx"":1,""dy"":-201,""t"":14386},{""x"":1443,""y"":645,""dx"":-8,""dy"":-176,""t"":14420},{""x"":1438,""y"":645,""dx"":-13,""dy"":-176,""t"":14455},{""x"":1420,""y"":642,""dx"":-31,""dy"":-179,""t"":14488},{""x"":1413,""y"":650,""dx"":-38,""dy"":-171,""t"":14522},{""x"":1377,""y"":686,""dx"":-74,""dy"":-135,""t"":14555},{""x"":1373,""y"":713,""dx"":-78,""dy"":-108,""t"":14589},{""x"":1342,""y"":740,""dx"":-109,""dy"":-81,""t"":14624},{""x"":1337,""y"":765,""dx"":-114,""dy"":-56,""t"":14658},{""x"":1335,""y"":773,""dx"":-116,""dy"":-48,""t"":14692},{""x"":1334,""y"":778,""dx"":-117,""dy"":-43,""t"":14724},{""x"":1324,""y"":786,""dx"":-127,""dy"":-35,""t"":14760},{""x"":1332,""y"":775,""dx"":-119,""dy"":-46,""t"":14794},{""x"":1342,""y"":775,""dx"":-109,""dy"":-46,""t"":14828},{""x"":1353,""y"":771,""dx"":-98,""dy"":-50,""t"":14862},{""x"":1350,""y"":773,""dx"":-101,""dy"":-48,""t"":14895},{""x"":1351,""y"":773,""dx"":-100,""dy"":-48,""t"":14930},{""x"":1351,""y"":781,""dx"":-100,""dy"":-40,""t"":14964},{""x"":1348,""y"":793,""dx"":-103,""dy"":-28,""t"":14998}]]","[100,100,100,100,94.91525423728814]","[{""x"":11.551724137931034,""y"":95.5,""r"":41.74299068747249},{""x"":50.728813559322035,""y"":89.42372881355932,""r"":33.91812979618738},{""x"":68.44067796610169,""y"":10.440677966101696,""r"":51.99314088631654},{""x"":-16.203389830508474,""y"":-85.15254237288136,""r"":41.19379860341044},{""x"":-47.57627118644068,""y"":-119.69491525423729,""r"":61.57812796073392}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.30","validate","","","","","","","","","",""
"","html-keyboard-response","9","60000","0.0-5.0-0.0","","","","","2268"," ","","","<p>识别实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，500毫秒的空白间隔后，会呈现一个多个项目的阵列。</p> <p>要求：记忆单个项目，并在多个项目阵列中快速找到，并根据数字键盘进行选择响应。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","",""
"","html-keyboard-response","10","62008","0.0-5.0-1.0","","","","","1500"," ","","","<p>本次试验包含6个刺激物。根据数字键盘的"" 1 "","" 4 "" ,"" 7 "","" 9 "","" 6 "","" 3 "" 进行选择响应,如果不记得或者不存在选择"" 5 ""。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","63607","0.0-5.0-2.0","","","","","1087"," ","","","<p>要求：记忆项目的形状。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","64625","0.0-5.0-3.0-0.0","","","","","null","null","","","","","","","","","recognition","[""6"",""3"",""4"",""3"",""1"",""3"",""7"",""3"",""9"",""3"",""6"",""7"",""9"",""9"",""4"",""6"",""1"",""1"",""4"",""4"",""1"",""1"",""7"",""6"",""1"",""4"",""7"",""9"",""6"",""4"",""6"",""9"",""3"",""9"",""7"",""7""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","13","64735","0.0-5.0-3.0-1.0","","","","","null","null","","","","","","","","","recognition","[""6"",""3"",""4"",""3"",""1"",""3"",""7"",""3"",""9"",""3"",""6"",""7"",""9"",""9"",""4"",""6"",""1"",""1"",""4"",""4"",""1"",""1"",""7"",""6"",""1"",""4"",""7"",""9"",""6"",""4"",""6"",""9"",""3"",""9"",""7"",""7""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","14","66570","0.0-5.0-3.0-2.0","","","","","826","6","","","[""diamond"",""star"",""triangle"",""hexagram"",""rect"",""circle""]","","","","","","","","","","","[{""x"":894,""y"":585,""t"":4},{""x"":864,""y"":595,""t"":40},{""x"":843,""y"":593,""t"":72},{""x"":827,""y"":594,""t"":108},{""x"":795,""y"":580,""t"":141},{""x"":749,""y"":575,""t"":182},{""x"":785,""y"":576,""t"":211},{""x"":794,""y"":579,""t"":243},{""x"":803,""y"":581,""t"":281},{""x"":817,""y"":513,""t"":310},{""x"":804,""y"":665,""t"":348},{""x"":784,""y"":790,""t"":375},{""x"":825,""y"":782,""t"":416},{""x"":874,""y"":755,""t"":446},{""x"":943,""y"":710,""t"":493},{""x"":988,""y"":704,""t"":521},{""x"":1088,""y"":637,""t"":548},{""x"":1135,""y"":616,""t"":586},{""x"":1207,""y"":636,""t"":617},{""x"":1270,""y"":648,""t"":663},{""x"":1302,""y"":593,""t"":691},{""x"":1317,""y"":590,""t"":719},{""x"":1311,""y"":580,""t"":758},{""x"":1345,""y"":540,""t"":785}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","hexagram","6","true","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":450,""bottom"":290.1923788646684,""left"":350},{""x"":700,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":746,""bottom"":286.1923788646684,""left"":654},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]"
"","canvas-keyboard-response","15","67582","0.0-5.0-3.0-0.1","","","","","null","null","","","","","","","","","recognition","[""6"",""3"",""4"",""3"",""1"",""3"",""7"",""3"",""9"",""3"",""6"",""7"",""9"",""9"",""4"",""6"",""1"",""1"",""4"",""4"",""1"",""1"",""7"",""6"",""1"",""4"",""7"",""9"",""6"",""4"",""6"",""9"",""3"",""9"",""7"",""7""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","16","67707","0.0-5.0-3.0-1.1","","","","","null","null","","","","","","","","","recognition","[""6"",""3"",""4"",""3"",""1"",""3"",""7"",""3"",""9"",""3"",""6"",""7"",""9"",""9"",""4"",""6"",""1"",""1"",""4"",""4"",""1"",""1"",""7"",""6"",""1"",""4"",""7"",""9"",""6"",""4"",""6"",""9"",""3"",""9"",""7"",""7""]","1000","6","shape","","","","","",""
