"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","3424","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3430","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6079","0.0-2.0-0.0","","","","","2646","{""name"":""范雨祥"",""age"":""22""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7359","0.0-2.0-1.0","","","","","1278","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","7967","0.0-3.0","","","","","606"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","16638","0.0-4.0","","","","","","","","","757","","","","","","","","","","","","","","","","",""
"","html-button-response","6","17230","0.0-5.0-0.0","","","","","590","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","28408","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","29357","0.0-5.0-2.0","","","","","949","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","46807","0.0-5.0-3.0","","","","","","","","","","[[{""x"":503,""y"":460,""dx"":12,""dy"":179,""t"":990},{""x"":508,""y"":475,""dx"":17,""dy"":194,""t"":1023},{""x"":527,""y"":489,""dx"":36,""dy"":208,""t"":1057},{""x"":525,""y"":478,""dx"":34,""dy"":197,""t"":1092},{""x"":521,""y"":468,""dx"":30,""dy"":187,""t"":1127},{""x"":510,""y"":438,""dx"":19,""dy"":157,""t"":1159},{""x"":513,""y"":441,""dx"":22,""dy"":160,""t"":1193},{""x"":527,""y"":445,""dx"":36,""dy"":164,""t"":1228},{""x"":523,""y"":444,""dx"":32,""dy"":163,""t"":1261},{""x"":529,""y"":435,""dx"":38,""dy"":154,""t"":1296},{""x"":527,""y"":450,""dx"":36,""dy"":169,""t"":1329},{""x"":551,""y"":457,""dx"":60,""dy"":176,""t"":1364},{""x"":557,""y"":448,""dx"":66,""dy"":167,""t"":1398},{""x"":559,""y"":465,""dx"":68,""dy"":184,""t"":1432},{""x"":565,""y"":458,""dx"":74,""dy"":177,""t"":1466},{""x"":572,""y"":485,""dx"":81,""dy"":204,""t"":1499},{""x"":561,""y"":475,""dx"":70,""dy"":194,""t"":1534},{""x"":557,""y"":493,""dx"":66,""dy"":212,""t"":1568},{""x"":542,""y"":495,""dx"":51,""dy"":214,""t"":1602},{""x"":539,""y"":511,""dx"":48,""dy"":230,""t"":1635},{""x"":527,""y"":531,""dx"":36,""dy"":250,""t"":1671},{""x"":524,""y"":545,""dx"":33,""dy"":264,""t"":1703},{""x"":523,""y"":547,""dx"":32,""dy"":266,""t"":1738},{""x"":518,""y"":554,""dx"":27,""dy"":273,""t"":1769},{""x"":517,""y"":558,""dx"":26,""dy"":277,""t"":1806},{""x"":515,""y"":567,""dx"":24,""dy"":286,""t"":1840},{""x"":481,""y"":520,""dx"":-10,""dy"":239,""t"":1874},{""x"":487,""y"":507,""dx"":-4,""dy"":226,""t"":1908},{""x"":483,""y"":481,""dx"":-8,""dy"":200,""t"":1942},{""x"":486,""y"":442,""dx"":-5,""dy"":161,""t"":1976},{""x"":488,""y"":442,""dx"":-3,""dy"":161,""t"":2010},{""x"":503,""y"":447,""dx"":12,""dy"":166,""t"":2043},{""x"":502,""y"":460,""dx"":11,""dy"":179,""t"":2077},{""x"":510,""y"":470,""dx"":19,""dy"":189,""t"":2113},{""x"":498,""y"":473,""dx"":7,""dy"":192,""t"":2146},{""x"":487,""y"":476,""dx"":-4,""dy"":195,""t"":2178},{""x"":492,""y"":472,""dx"":1,""dy"":191,""t"":2214},{""x"":490,""y"":438,""dx"":-1,""dy"":157,""t"":2247},{""x"":497,""y"":450,""dx"":6,""dy"":169,""t"":2284},{""x"":481,""y"":460,""dx"":-10,""dy"":179,""t"":2316},{""x"":492,""y"":472,""dx"":1,""dy"":191,""t"":2350},{""x"":490,""y"":484,""dx"":-1,""dy"":203,""t"":2384},{""x"":502,""y"":492,""dx"":11,""dy"":211,""t"":2419},{""x"":520,""y"":498,""dx"":29,""dy"":217,""t"":2452},{""x"":531,""y"":478,""dx"":40,""dy"":197,""t"":2486},{""x"":549,""y"":479,""dx"":58,""dy"":198,""t"":2521},{""x"":543,""y"":481,""dx"":52,""dy"":200,""t"":2554},{""x"":538,""y"":470,""dx"":47,""dy"":189,""t"":2588},{""x"":555,""y"":486,""dx"":64,""dy"":205,""t"":2622},{""x"":558,""y"":484,""dx"":67,""dy"":203,""t"":2656},{""x"":570,""y"":499,""dx"":79,""dy"":218,""t"":2690},{""x"":560,""y"":493,""dx"":69,""dy"":212,""t"":2724},{""x"":563,""y"":475,""dx"":72,""dy"":194,""t"":2758},{""x"":545,""y"":490,""dx"":54,""dy"":209,""t"":2792},{""x"":536,""y"":491,""dx"":45,""dy"":210,""t"":2826},{""x"":505,""y"":461,""dx"":14,""dy"":180,""t"":2861},{""x"":527,""y"":490,""dx"":36,""dy"":209,""t"":2894},{""x"":521,""y"":496,""dx"":30,""dy"":215,""t"":2927},{""x"":529,""y"":532,""dx"":38,""dy"":251,""t"":2962},{""x"":533,""y"":527,""dx"":42,""dy"":246,""t"":2996}],[{""x"":1471,""y"":365,""dx"":20,""dy"":84,""t"":4016},{""x"":1463,""y"":360,""dx"":12,""dy"":79,""t"":4050},{""x"":1461,""y"":377,""dx"":10,""dy"":96,""t"":4084},{""x"":1455,""y"":417,""dx"":4,""dy"":136,""t"":4117},{""x"":1444,""y"":427,""dx"":-7,""dy"":146,""t"":4152},{""x"":1428,""y"":409,""dx"":-23,""dy"":128,""t"":4187},{""x"":1415,""y"":394,""dx"":-36,""dy"":113,""t"":4220},{""x"":1416,""y"":411,""dx"":-35,""dy"":130,""t"":4254},{""x"":1418,""y"":361,""dx"":-33,""dy"":80,""t"":4288},{""x"":1414,""y"":351,""dx"":-37,""dy"":70,""t"":4321},{""x"":1412,""y"":347,""dx"":-39,""dy"":66,""t"":4356},{""x"":1413,""y"":332,""dx"":-38,""dy"":51,""t"":4390},{""x"":1416,""y"":357,""dx"":-35,""dy"":76,""t"":4424},{""x"":1415,""y"":359,""dx"":-36,""dy"":78,""t"":4458},{""x"":1419,""y"":378,""dx"":-32,""dy"":97,""t"":4492},{""x"":1428,""y"":391,""dx"":-23,""dy"":110,""t"":4525},{""x"":1423,""y"":392,""dx"":-28,""dy"":111,""t"":4560},{""x"":1405,""y"":370,""dx"":-46,""dy"":89,""t"":4594},{""x"":1404,""y"":392,""dx"":-47,""dy"":111,""t"":4628},{""x"":1397,""y"":392,""dx"":-54,""dy"":111,""t"":4662},{""x"":1389,""y"":382,""dx"":-62,""dy"":101,""t"":4696},{""x"":1402,""y"":410,""dx"":-49,""dy"":129,""t"":4731},{""x"":1401,""y"":413,""dx"":-50,""dy"":132,""t"":4764},{""x"":1409,""y"":404,""dx"":-42,""dy"":123,""t"":4798},{""x"":1414,""y"":410,""dx"":-37,""dy"":129,""t"":4831},{""x"":1413,""y"":395,""dx"":-38,""dy"":114,""t"":4867},{""x"":1408,""y"":376,""dx"":-43,""dy"":95,""t"":4900},{""x"":1400,""y"":341,""dx"":-51,""dy"":60,""t"":4934},{""x"":1406,""y"":332,""dx"":-45,""dy"":51,""t"":4968},{""x"":1415,""y"":357,""dx"":-36,""dy"":76,""t"":5003},{""x"":1414,""y"":378,""dx"":-37,""dy"":97,""t"":5036},{""x"":1415,""y"":347,""dx"":-36,""dy"":66,""t"":5070},{""x"":1412,""y"":341,""dx"":-39,""dy"":60,""t"":5103},{""x"":1408,""y"":333,""dx"":-43,""dy"":52,""t"":5138},{""x"":1398,""y"":359,""dx"":-53,""dy"":78,""t"":5172},{""x"":1402,""y"":350,""dx"":-49,""dy"":69,""t"":5205},{""x"":1409,""y"":392,""dx"":-42,""dy"":111,""t"":5239},{""x"":1408,""y"":366,""dx"":-43,""dy"":85,""t"":5275},{""x"":1426,""y"":380,""dx"":-25,""dy"":99,""t"":5308},{""x"":1441,""y"":391,""dx"":-10,""dy"":110,""t"":5339},{""x"":1441,""y"":409,""dx"":-10,""dy"":128,""t"":5376},{""x"":1440,""y"":409,""dx"":-11,""dy"":128,""t"":5411},{""x"":1438,""y"":429,""dx"":-13,""dy"":148,""t"":5445},{""x"":1435,""y"":388,""dx"":-16,""dy"":107,""t"":5477},{""x"":1430,""y"":379,""dx"":-21,""dy"":98,""t"":5512},{""x"":1440,""y"":366,""dx"":-11,""dy"":85,""t"":5546},{""x"":1441,""y"":403,""dx"":-10,""dy"":122,""t"":5580},{""x"":1453,""y"":394,""dx"":2,""dy"":113,""t"":5613},{""x"":1463,""y"":376,""dx"":12,""dy"":95,""t"":5648},{""x"":1447,""y"":411,""dx"":-4,""dy"":130,""t"":5682},{""x"":1455,""y"":418,""dx"":4,""dy"":137,""t"":5716},{""x"":1446,""y"":399,""dx"":-5,""dy"":118,""t"":5748},{""x"":1453,""y"":412,""dx"":2,""dy"":131,""t"":5784},{""x"":1455,""y"":431,""dx"":4,""dy"":150,""t"":5818},{""x"":1441,""y"":447,""dx"":-10,""dy"":166,""t"":5851},{""x"":1449,""y"":465,""dx"":-2,""dy"":184,""t"":5886},{""x"":1446,""y"":494,""dx"":-5,""dy"":213,""t"":5920},{""x"":1454,""y"":472,""dx"":3,""dy"":191,""t"":5954},{""x"":1455,""y"":463,""dx"":4,""dy"":182,""t"":5988}],[{""x"":967,""y"":568,""dx"":-4,""dy"":17,""t"":7042},{""x"":990,""y"":565,""dx"":19,""dy"":14,""t"":7076},{""x"":984,""y"":566,""dx"":13,""dy"":15,""t"":7139},{""x"":985,""y"":608,""dx"":14,""dy"":57,""t"":7148},{""x"":988,""y"":572,""dx"":17,""dy"":21,""t"":7179},{""x"":984,""y"":558,""dx"":13,""dy"":7,""t"":7212},{""x"":981,""y"":532,""dx"":10,""dy"":-19,""t"":7246},{""x"":981,""y"":511,""dx"":10,""dy"":-40,""t"":7280},{""x"":980,""y"":494,""dx"":9,""dy"":-57,""t"":7312},{""x"":978,""y"":465,""dx"":7,""dy"":-86,""t"":7349},{""x"":969,""y"":453,""dx"":-2,""dy"":-98,""t"":7383},{""x"":968,""y"":452,""dx"":-3,""dy"":-99,""t"":7416},{""x"":948,""y"":440,""dx"":-23,""dy"":-111,""t"":7450},{""x"":946,""y"":439,""dx"":-25,""dy"":-112,""t"":7484},{""x"":948,""y"":450,""dx"":-23,""dy"":-101,""t"":7518},{""x"":949,""y"":449,""dx"":-22,""dy"":-102,""t"":7552},{""x"":952,""y"":464,""dx"":-19,""dy"":-87,""t"":7586},{""x"":955,""y"":479,""dx"":-16,""dy"":-72,""t"":7620},{""x"":934,""y"":485,""dx"":-37,""dy"":-66,""t"":7654},{""x"":930,""y"":494,""dx"":-41,""dy"":-57,""t"":7688},{""x"":910,""y"":513,""dx"":-61,""dy"":-38,""t"":7721},{""x"":898,""y"":532,""dx"":-73,""dy"":-19,""t"":7756},{""x"":883,""y"":547,""dx"":-88,""dy"":-4,""t"":7790},{""x"":895,""y"":575,""dx"":-76,""dy"":24,""t"":7824},{""x"":889,""y"":562,""dx"":-82,""dy"":11,""t"":7858},{""x"":892,""y"":573,""dx"":-79,""dy"":22,""t"":7892},{""x"":880,""y"":564,""dx"":-91,""dy"":13,""t"":7926},{""x"":885,""y"":571,""dx"":-86,""dy"":20,""t"":7960},{""x"":874,""y"":572,""dx"":-97,""dy"":21,""t"":7993},{""x"":877,""y"":565,""dx"":-94,""dy"":14,""t"":8028},{""x"":877,""y"":580,""dx"":-94,""dy"":29,""t"":8062},{""x"":873,""y"":581,""dx"":-98,""dy"":30,""t"":8095},{""x"":884,""y"":574,""dx"":-87,""dy"":23,""t"":8130},{""x"":907,""y"":559,""dx"":-64,""dy"":8,""t"":8164},{""x"":922,""y"":555,""dx"":-49,""dy"":4,""t"":8198},{""x"":932,""y"":562,""dx"":-39,""dy"":11,""t"":8232},{""x"":948,""y"":561,""dx"":-23,""dy"":10,""t"":8265},{""x"":958,""y"":542,""dx"":-13,""dy"":-9,""t"":8299},{""x"":955,""y"":543,""dx"":-16,""dy"":-8,""t"":8334},{""x"":963,""y"":528,""dx"":-8,""dy"":-23,""t"":8368},{""x"":963,""y"":512,""dx"":-8,""dy"":-39,""t"":8402},{""x"":970,""y"":495,""dx"":-1,""dy"":-56,""t"":8437},{""x"":978,""y"":504,""dx"":7,""dy"":-47,""t"":8470},{""x"":973,""y"":489,""dx"":2,""dy"":-62,""t"":8504},{""x"":969,""y"":470,""dx"":-2,""dy"":-81,""t"":8539},{""x"":979,""y"":496,""dx"":8,""dy"":-55,""t"":8571},{""x"":977,""y"":493,""dx"":6,""dy"":-58,""t"":8606},{""x"":953,""y"":468,""dx"":-18,""dy"":-83,""t"":8640},{""x"":941,""y"":505,""dx"":-30,""dy"":-46,""t"":8673},{""x"":942,""y"":505,""dx"":-29,""dy"":-46,""t"":8709},{""x"":930,""y"":519,""dx"":-41,""dy"":-32,""t"":8741},{""x"":930,""y"":496,""dx"":-41,""dy"":-55,""t"":8775},{""x"":924,""y"":521,""dx"":-47,""dy"":-30,""t"":8810},{""x"":913,""y"":519,""dx"":-58,""dy"":-32,""t"":8844},{""x"":927,""y"":553,""dx"":-44,""dy"":2,""t"":8878},{""x"":939,""y"":581,""dx"":-32,""dy"":30,""t"":8909},{""x"":943,""y"":587,""dx"":-28,""dy"":36,""t"":8945},{""x"":952,""y"":574,""dx"":-19,""dy"":23,""t"":8980},{""x"":938,""y"":541,""dx"":-33,""dy"":-10,""t"":9015}],[{""x"":443,""y"":714,""dx"":-48,""dy"":-107,""t"":10035},{""x"":446,""y"":727,""dx"":-45,""dy"":-94,""t"":10068},{""x"":444,""y"":719,""dx"":-47,""dy"":-102,""t"":10102},{""x"":445,""y"":721,""dx"":-46,""dy"":-100,""t"":10136},{""x"":449,""y"":729,""dx"":-42,""dy"":-92,""t"":10170},{""x"":463,""y"":742,""dx"":-28,""dy"":-79,""t"":10204},{""x"":450,""y"":751,""dx"":-41,""dy"":-70,""t"":10237},{""x"":460,""y"":753,""dx"":-31,""dy"":-68,""t"":10272},{""x"":467,""y"":746,""dx"":-24,""dy"":-75,""t"":10306},{""x"":452,""y"":727,""dx"":-39,""dy"":-94,""t"":10340},{""x"":446,""y"":742,""dx"":-45,""dy"":-79,""t"":10373},{""x"":451,""y"":748,""dx"":-40,""dy"":-73,""t"":10408},{""x"":466,""y"":745,""dx"":-25,""dy"":-76,""t"":10443},{""x"":465,""y"":748,""dx"":-26,""dy"":-73,""t"":10475},{""x"":461,""y"":758,""dx"":-30,""dy"":-63,""t"":10508},{""x"":469,""y"":769,""dx"":-22,""dy"":-52,""t"":10544},{""x"":463,""y"":748,""dx"":-28,""dy"":-73,""t"":10578},{""x"":467,""y"":747,""dx"":-24,""dy"":-74,""t"":10612},{""x"":474,""y"":753,""dx"":-17,""dy"":-68,""t"":10646},{""x"":497,""y"":757,""dx"":6,""dy"":-64,""t"":10680},{""x"":490,""y"":764,""dx"":-1,""dy"":-57,""t"":10714},{""x"":493,""y"":790,""dx"":2,""dy"":-31,""t"":10748},{""x"":496,""y"":794,""dx"":5,""dy"":-27,""t"":10782},{""x"":498,""y"":814,""dx"":7,""dy"":-7,""t"":10815},{""x"":489,""y"":815,""dx"":-2,""dy"":-6,""t"":10850},{""x"":486,""y"":829,""dx"":-5,""dy"":8,""t"":10882},{""x"":499,""y"":810,""dx"":8,""dy"":-11,""t"":10919},{""x"":510,""y"":793,""dx"":19,""dy"":-28,""t"":10952},{""x"":515,""y"":774,""dx"":24,""dy"":-47,""t"":10986},{""x"":512,""y"":756,""dx"":21,""dy"":-65,""t"":11021},{""x"":506,""y"":752,""dx"":15,""dy"":-69,""t"":11054},{""x"":515,""y"":738,""dx"":24,""dy"":-83,""t"":11088},{""x"":510,""y"":711,""dx"":19,""dy"":-110,""t"":11121},{""x"":509,""y"":720,""dx"":18,""dy"":-101,""t"":11156},{""x"":497,""y"":734,""dx"":6,""dy"":-87,""t"":11190},{""x"":490,""y"":747,""dx"":-1,""dy"":-74,""t"":11224},{""x"":509,""y"":746,""dx"":18,""dy"":-75,""t"":11259},{""x"":507,""y"":759,""dx"":16,""dy"":-62,""t"":11292},{""x"":501,""y"":759,""dx"":10,""dy"":-62,""t"":11326},{""x"":504,""y"":768,""dx"":13,""dy"":-53,""t"":11359},{""x"":493,""y"":771,""dx"":2,""dy"":-50,""t"":11394},{""x"":505,""y"":789,""dx"":14,""dy"":-32,""t"":11428},{""x"":508,""y"":806,""dx"":17,""dy"":-15,""t"":11461},{""x"":502,""y"":778,""dx"":11,""dy"":-43,""t"":11495},{""x"":489,""y"":776,""dx"":-2,""dy"":-45,""t"":11530},{""x"":478,""y"":812,""dx"":-13,""dy"":-9,""t"":11564},{""x"":476,""y"":827,""dx"":-15,""dy"":6,""t"":11598},{""x"":478,""y"":786,""dx"":-13,""dy"":-35,""t"":11632},{""x"":482,""y"":788,""dx"":-9,""dy"":-33,""t"":11665},{""x"":478,""y"":820,""dx"":-13,""dy"":-1,""t"":11700},{""x"":485,""y"":787,""dx"":-6,""dy"":-34,""t"":11734},{""x"":498,""y"":808,""dx"":7,""dy"":-13,""t"":11768},{""x"":499,""y"":784,""dx"":8,""dy"":-37,""t"":11802},{""x"":496,""y"":796,""dx"":5,""dy"":-25,""t"":11837},{""x"":498,""y"":793,""dx"":7,""dy"":-28,""t"":11871},{""x"":496,""y"":805,""dx"":5,""dy"":-16,""t"":11903},{""x"":488,""y"":818,""dx"":-3,""dy"":-3,""t"":11937},{""x"":488,""y"":815,""dx"":-3,""dy"":-6,""t"":11972},{""x"":483,""y"":817,""dx"":-8,""dy"":-4,""t"":12006}],[{""x"":1445,""y"":666,""dx"":-6,""dy"":-155,""t"":13026},{""x"":1431,""y"":667,""dx"":-20,""dy"":-154,""t"":13060},{""x"":1419,""y"":680,""dx"":-32,""dy"":-141,""t"":13094},{""x"":1417,""y"":700,""dx"":-34,""dy"":-121,""t"":13128},{""x"":1421,""y"":726,""dx"":-30,""dy"":-95,""t"":13162},{""x"":1429,""y"":721,""dx"":-22,""dy"":-100,""t"":13196},{""x"":1437,""y"":737,""dx"":-14,""dy"":-84,""t"":13229},{""x"":1430,""y"":730,""dx"":-21,""dy"":-91,""t"":13264},{""x"":1405,""y"":760,""dx"":-46,""dy"":-61,""t"":13298},{""x"":1399,""y"":762,""dx"":-52,""dy"":-59,""t"":13332},{""x"":1404,""y"":772,""dx"":-47,""dy"":-49,""t"":13365},{""x"":1407,""y"":798,""dx"":-44,""dy"":-23,""t"":13400},{""x"":1403,""y"":780,""dx"":-48,""dy"":-41,""t"":13434},{""x"":1400,""y"":792,""dx"":-51,""dy"":-29,""t"":13469},{""x"":1398,""y"":781,""dx"":-53,""dy"":-40,""t"":13502},{""x"":1401,""y"":761,""dx"":-50,""dy"":-60,""t"":13536},{""x"":1389,""y"":761,""dx"":-62,""dy"":-60,""t"":13570},{""x"":1390,""y"":777,""dx"":-61,""dy"":-44,""t"":13605},{""x"":1398,""y"":785,""dx"":-53,""dy"":-36,""t"":13638},{""x"":1392,""y"":768,""dx"":-59,""dy"":-53,""t"":13672},{""x"":1385,""y"":761,""dx"":-66,""dy"":-60,""t"":13706},{""x"":1385,""y"":762,""dx"":-66,""dy"":-59,""t"":13740},{""x"":1395,""y"":775,""dx"":-56,""dy"":-46,""t"":13773},{""x"":1393,""y"":782,""dx"":-58,""dy"":-39,""t"":13808},{""x"":1404,""y"":783,""dx"":-47,""dy"":-38,""t"":13842},{""x"":1408,""y"":790,""dx"":-43,""dy"":-31,""t"":13876},{""x"":1405,""y"":785,""dx"":-46,""dy"":-36,""t"":13910},{""x"":1407,""y"":783,""dx"":-44,""dy"":-38,""t"":13943},{""x"":1407,""y"":774,""dx"":-44,""dy"":-47,""t"":13979},{""x"":1423,""y"":766,""dx"":-28,""dy"":-55,""t"":14011},{""x"":1428,""y"":754,""dx"":-23,""dy"":-67,""t"":14046},{""x"":1431,""y"":735,""dx"":-20,""dy"":-86,""t"":14078},{""x"":1434,""y"":742,""dx"":-17,""dy"":-79,""t"":14113},{""x"":1410,""y"":726,""dx"":-41,""dy"":-95,""t"":14147},{""x"":1406,""y"":730,""dx"":-45,""dy"":-91,""t"":14182},{""x"":1405,""y"":749,""dx"":-46,""dy"":-72,""t"":14216},{""x"":1394,""y"":754,""dx"":-57,""dy"":-67,""t"":14251},{""x"":1389,""y"":770,""dx"":-62,""dy"":-51,""t"":14284},{""x"":1369,""y"":776,""dx"":-82,""dy"":-45,""t"":14318},{""x"":1364,""y"":780,""dx"":-87,""dy"":-41,""t"":14352},{""x"":1356,""y"":782,""dx"":-95,""dy"":-39,""t"":14386},{""x"":1369,""y"":766,""dx"":-82,""dy"":-55,""t"":14420},{""x"":1381,""y"":751,""dx"":-70,""dy"":-70,""t"":14452},{""x"":1380,""y"":751,""dx"":-71,""dy"":-70,""t"":14487},{""x"":1364,""y"":741,""dx"":-87,""dy"":-80,""t"":14522},{""x"":1372,""y"":733,""dx"":-79,""dy"":-88,""t"":14555},{""x"":1349,""y"":730,""dx"":-102,""dy"":-91,""t"":14589},{""x"":1357,""y"":734,""dx"":-94,""dy"":-87,""t"":14624},{""x"":1364,""y"":736,""dx"":-87,""dy"":-85,""t"":14658},{""x"":1382,""y"":748,""dx"":-69,""dy"":-73,""t"":14692},{""x"":1388,""y"":777,""dx"":-63,""dy"":-44,""t"":14726},{""x"":1387,""y"":770,""dx"":-64,""dy"":-51,""t"":14760},{""x"":1392,""y"":751,""dx"":-59,""dy"":-70,""t"":14794},{""x"":1400,""y"":777,""dx"":-51,""dy"":-44,""t"":14828},{""x"":1423,""y"":776,""dx"":-28,""dy"":-45,""t"":14862},{""x"":1439,""y"":784,""dx"":-12,""dy"":-37,""t"":14896},{""x"":1435,""y"":777,""dx"":-16,""dy"":-44,""t"":14931},{""x"":1430,""y"":768,""dx"":-21,""dy"":-53,""t"":14964},{""x"":1434,""y"":778,""dx"":-17,""dy"":-43,""t"":14999},{""x"":1448,""y"":787,""dx"":-3,""dy"":-34,""t"":15032}]]","[46.666666666666664,98.30508474576271,100,100,100]","[{""x"":32.2,""y"":201.13333333333333,""r"":56.0657541761817},{""x"":-24.06779661016949,""y"":108.89830508474576,""r"":33.1222392788638},{""x"":-31,""y"":-25.050847457627118,""r"":49.972730282671414},{""x"":-7.372881355932203,""y"":-51.6271186440678,""r"":31.712267524093548},{""x"":-49.21666666666667,""y"":-64.03333333333333,""r"":42.361015815713564}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
"","html-button-response","10","47382","0.0-5.0-4.0-0.0-0.0","","","","","574","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","56588","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","57206","0.0-5.0-4.0-0.0-2.0","","","","","617","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
