"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2704","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2708","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","4394","0.0-2.0-0.0","","","","","1685","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","6186","0.0-2.0-1.0","","","","","1791","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","6778","0.0-3.0","","","","","590"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","11408","0.0-4.0","","","","","","","","","2144","","","","","","","","","","","","","","","","",""
"","html-button-response","6","12130","0.0-5.0-0.0","","","","","720","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","23671","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","24585","0.0-5.0-2.0","","","","","913","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","41409","0.0-5.0-3.0","","","","","","","","","","[[{""x"":532,""y"":383,""dx"":41,""dy"":102,""t"":990},{""x"":563,""y"":379,""dx"":72,""dy"":98,""t"":1025},{""x"":548,""y"":349,""dx"":57,""dy"":68,""t"":1057},{""x"":583,""y"":347,""dx"":92,""dy"":66,""t"":1093},{""x"":570,""y"":342,""dx"":79,""dy"":61,""t"":1126},{""x"":556,""y"":315,""dx"":65,""dy"":34,""t"":1159},{""x"":565,""y"":312,""dx"":74,""dy"":31,""t"":1194},{""x"":612,""y"":351,""dx"":121,""dy"":70,""t"":1227},{""x"":624,""y"":369,""dx"":133,""dy"":88,""t"":1262},{""x"":627,""y"":390,""dx"":136,""dy"":109,""t"":1295},{""x"":637,""y"":384,""dx"":146,""dy"":103,""t"":1329},{""x"":632,""y"":390,""dx"":141,""dy"":109,""t"":1362},{""x"":641,""y"":388,""dx"":150,""dy"":107,""t"":1397},{""x"":628,""y"":399,""dx"":137,""dy"":118,""t"":1432},{""x"":616,""y"":383,""dx"":125,""dy"":102,""t"":1466},{""x"":543,""y"":343,""dx"":52,""dy"":62,""t"":1499},{""x"":513,""y"":330,""dx"":22,""dy"":49,""t"":1534},{""x"":443,""y"":307,""dx"":-48,""dy"":26,""t"":1567},{""x"":442,""y"":294,""dx"":-49,""dy"":13,""t"":1601},{""x"":437,""y"":303,""dx"":-54,""dy"":22,""t"":1637},{""x"":440,""y"":277,""dx"":-51,""dy"":-4,""t"":1669},{""x"":431,""y"":275,""dx"":-60,""dy"":-6,""t"":1704},{""x"":415,""y"":297,""dx"":-76,""dy"":16,""t"":1739},{""x"":411,""y"":315,""dx"":-80,""dy"":34,""t"":1771},{""x"":408,""y"":306,""dx"":-83,""dy"":25,""t"":1805},{""x"":415,""y"":295,""dx"":-76,""dy"":14,""t"":1840},{""x"":419,""y"":276,""dx"":-72,""dy"":-5,""t"":1874},{""x"":438,""y"":285,""dx"":-53,""dy"":4,""t"":1907},{""x"":454,""y"":288,""dx"":-37,""dy"":7,""t"":1941},{""x"":427,""y"":302,""dx"":-64,""dy"":21,""t"":1975},{""x"":458,""y"":306,""dx"":-33,""dy"":25,""t"":2010},{""x"":451,""y"":322,""dx"":-40,""dy"":41,""t"":2044},{""x"":449,""y"":294,""dx"":-42,""dy"":13,""t"":2078},{""x"":413,""y"":256,""dx"":-78,""dy"":-25,""t"":2112},{""x"":419,""y"":254,""dx"":-72,""dy"":-27,""t"":2146},{""x"":404,""y"":270,""dx"":-87,""dy"":-11,""t"":2179},{""x"":423,""y"":280,""dx"":-68,""dy"":-1,""t"":2214},{""x"":452,""y"":274,""dx"":-39,""dy"":-7,""t"":2248},{""x"":453,""y"":288,""dx"":-38,""dy"":7,""t"":2282},{""x"":460,""y"":298,""dx"":-31,""dy"":17,""t"":2316},{""x"":476,""y"":310,""dx"":-15,""dy"":29,""t"":2349},{""x"":490,""y"":308,""dx"":-1,""dy"":27,""t"":2384},{""x"":481,""y"":310,""dx"":-10,""dy"":29,""t"":2418},{""x"":518,""y"":301,""dx"":27,""dy"":20,""t"":2452},{""x"":498,""y"":304,""dx"":7,""dy"":23,""t"":2485},{""x"":520,""y"":296,""dx"":29,""dy"":15,""t"":2519},{""x"":506,""y"":292,""dx"":15,""dy"":11,""t"":2553},{""x"":494,""y"":289,""dx"":3,""dy"":8,""t"":2587},{""x"":479,""y"":278,""dx"":-12,""dy"":-3,""t"":2622},{""x"":478,""y"":279,""dx"":-13,""dy"":-2,""t"":2656},{""x"":472,""y"":260,""dx"":-19,""dy"":-21,""t"":2691},{""x"":475,""y"":274,""dx"":-16,""dy"":-7,""t"":2723},{""x"":481,""y"":286,""dx"":-10,""dy"":5,""t"":2757},{""x"":483,""y"":309,""dx"":-8,""dy"":28,""t"":2791},{""x"":490,""y"":304,""dx"":-1,""dy"":23,""t"":2826},{""x"":461,""y"":318,""dx"":-30,""dy"":37,""t"":2859},{""x"":486,""y"":328,""dx"":-5,""dy"":47,""t"":2894},{""x"":473,""y"":317,""dx"":-18,""dy"":36,""t"":2928},{""x"":462,""y"":307,""dx"":-29,""dy"":26,""t"":2960},{""x"":460,""y"":312,""dx"":-31,""dy"":31,""t"":2995}],[{""x"":1402,""y"":824,""dx"":-49,""dy"":543,""t"":4017},{""x"":1488,""y"":703,""dx"":37,""dy"":422,""t"":4049},{""x"":1540,""y"":619,""dx"":89,""dy"":338,""t"":4084},{""x"":1561,""y"":550,""dx"":110,""dy"":269,""t"":4117},{""x"":1607,""y"":494,""dx"":156,""dy"":213,""t"":4151},{""x"":1642,""y"":435,""dx"":191,""dy"":154,""t"":4186},{""x"":1653,""y"":392,""dx"":202,""dy"":111,""t"":4219},{""x"":1649,""y"":370,""dx"":198,""dy"":89,""t"":4254},{""x"":1619,""y"":350,""dx"":168,""dy"":69,""t"":4288},{""x"":1603,""y"":360,""dx"":152,""dy"":79,""t"":4322},{""x"":1572,""y"":369,""dx"":121,""dy"":88,""t"":4356},{""x"":1514,""y"":376,""dx"":63,""dy"":95,""t"":4389},{""x"":1493,""y"":376,""dx"":42,""dy"":95,""t"":4424},{""x"":1457,""y"":392,""dx"":6,""dy"":111,""t"":4458},{""x"":1396,""y"":409,""dx"":-55,""dy"":128,""t"":4492},{""x"":1438,""y"":410,""dx"":-13,""dy"":129,""t"":4526},{""x"":1437,""y"":435,""dx"":-14,""dy"":154,""t"":4558},{""x"":1419,""y"":441,""dx"":-32,""dy"":160,""t"":4594},{""x"":1400,""y"":464,""dx"":-51,""dy"":183,""t"":4628},{""x"":1403,""y"":470,""dx"":-48,""dy"":189,""t"":4662},{""x"":1404,""y"":462,""dx"":-47,""dy"":181,""t"":4696},{""x"":1434,""y"":454,""dx"":-17,""dy"":173,""t"":4730},{""x"":1447,""y"":467,""dx"":-4,""dy"":186,""t"":4764},{""x"":1475,""y"":457,""dx"":24,""dy"":176,""t"":4799},{""x"":1490,""y"":466,""dx"":39,""dy"":185,""t"":4832},{""x"":1521,""y"":464,""dx"":70,""dy"":183,""t"":4865},{""x"":1531,""y"":467,""dx"":80,""dy"":186,""t"":4900},{""x"":1546,""y"":465,""dx"":95,""dy"":184,""t"":4933},{""x"":1591,""y"":446,""dx"":140,""dy"":165,""t"":4968},{""x"":1613,""y"":421,""dx"":162,""dy"":140,""t"":5001},{""x"":1637,""y"":417,""dx"":186,""dy"":136,""t"":5036},{""x"":1657,""y"":388,""dx"":206,""dy"":107,""t"":5069},{""x"":1683,""y"":385,""dx"":232,""dy"":104,""t"":5103},{""x"":1631,""y"":417,""dx"":180,""dy"":136,""t"":5139},{""x"":1619,""y"":403,""dx"":168,""dy"":122,""t"":5173},{""x"":1628,""y"":426,""dx"":177,""dy"":145,""t"":5207},{""x"":1631,""y"":432,""dx"":180,""dy"":151,""t"":5240},{""x"":1668,""y"":417,""dx"":217,""dy"":136,""t"":5275},{""x"":1648,""y"":414,""dx"":197,""dy"":133,""t"":5308},{""x"":1645,""y"":419,""dx"":194,""dy"":138,""t"":5342},{""x"":1633,""y"":415,""dx"":182,""dy"":134,""t"":5377},{""x"":1607,""y"":423,""dx"":156,""dy"":142,""t"":5411},{""x"":1601,""y"":422,""dx"":150,""dy"":141,""t"":5444},{""x"":1591,""y"":423,""dx"":140,""dy"":142,""t"":5478},{""x"":1567,""y"":422,""dx"":116,""dy"":141,""t"":5512},{""x"":1548,""y"":431,""dx"":97,""dy"":150,""t"":5546},{""x"":1543,""y"":435,""dx"":92,""dy"":154,""t"":5581},{""x"":1529,""y"":454,""dx"":78,""dy"":173,""t"":5614},{""x"":1519,""y"":480,""dx"":68,""dy"":199,""t"":5649},{""x"":1534,""y"":465,""dx"":83,""dy"":184,""t"":5683},{""x"":1555,""y"":461,""dx"":104,""dy"":180,""t"":5716},{""x"":1534,""y"":482,""dx"":83,""dy"":201,""t"":5750},{""x"":1550,""y"":460,""dx"":99,""dy"":179,""t"":5784},{""x"":1550,""y"":457,""dx"":99,""dy"":176,""t"":5818},{""x"":1561,""y"":462,""dx"":110,""dy"":181,""t"":5851},{""x"":1529,""y"":461,""dx"":78,""dy"":180,""t"":5886},{""x"":1505,""y"":486,""dx"":54,""dy"":205,""t"":5920},{""x"":1518,""y"":452,""dx"":67,""dy"":171,""t"":5955},{""x"":1511,""y"":450,""dx"":60,""dy"":169,""t"":5988}],[{""x"":1035,""y"":630,""dx"":64,""dy"":79,""t"":7041},{""x"":1033,""y"":614,""dx"":62,""dy"":63,""t"":7075},{""x"":1063,""y"":585,""dx"":92,""dy"":34,""t"":7111},{""x"":1025,""y"":558,""dx"":54,""dy"":7,""t"":7144},{""x"":991,""y"":572,""dx"":20,""dy"":21,""t"":7178},{""x"":973,""y"":571,""dx"":2,""dy"":20,""t"":7211},{""x"":994,""y"":562,""dx"":23,""dy"":11,""t"":7245},{""x"":1035,""y"":588,""dx"":64,""dy"":37,""t"":7280},{""x"":1060,""y"":594,""dx"":89,""dy"":43,""t"":7313},{""x"":1120,""y"":587,""dx"":149,""dy"":36,""t"":7349},{""x"":1177,""y"":580,""dx"":206,""dy"":29,""t"":7381},{""x"":1173,""y"":578,""dx"":202,""dy"":27,""t"":7417},{""x"":1174,""y"":609,""dx"":203,""dy"":58,""t"":7450},{""x"":1152,""y"":600,""dx"":181,""dy"":49,""t"":7483},{""x"":1147,""y"":584,""dx"":176,""dy"":33,""t"":7517},{""x"":1119,""y"":593,""dx"":148,""dy"":42,""t"":7551},{""x"":1108,""y"":627,""dx"":137,""dy"":76,""t"":7586},{""x"":1106,""y"":630,""dx"":135,""dy"":79,""t"":7620},{""x"":1111,""y"":648,""dx"":140,""dy"":97,""t"":7653},{""x"":1097,""y"":678,""dx"":126,""dy"":127,""t"":7688},{""x"":1102,""y"":701,""dx"":131,""dy"":150,""t"":7720},{""x"":1105,""y"":695,""dx"":134,""dy"":144,""t"":7756},{""x"":1096,""y"":695,""dx"":125,""dy"":144,""t"":7791},{""x"":1062,""y"":655,""dx"":91,""dy"":104,""t"":7824},{""x"":1084,""y"":666,""dx"":113,""dy"":115,""t"":7858},{""x"":1063,""y"":663,""dx"":92,""dy"":112,""t"":7892},{""x"":1076,""y"":644,""dx"":105,""dy"":93,""t"":7925},{""x"":1024,""y"":650,""dx"":53,""dy"":99,""t"":7961},{""x"":1018,""y"":666,""dx"":47,""dy"":115,""t"":7993},{""x"":980,""y"":668,""dx"":9,""dy"":117,""t"":8027},{""x"":1012,""y"":647,""dx"":41,""dy"":96,""t"":8062},{""x"":995,""y"":658,""dx"":24,""dy"":107,""t"":8096},{""x"":1016,""y"":664,""dx"":45,""dy"":113,""t"":8127},{""x"":981,""y"":687,""dx"":10,""dy"":136,""t"":8164},{""x"":937,""y"":677,""dx"":-34,""dy"":126,""t"":8197},{""x"":898,""y"":659,""dx"":-73,""dy"":108,""t"":8233},{""x"":880,""y"":687,""dx"":-91,""dy"":136,""t"":8266},{""x"":959,""y"":677,""dx"":-12,""dy"":126,""t"":8300},{""x"":953,""y"":670,""dx"":-18,""dy"":119,""t"":8334},{""x"":955,""y"":679,""dx"":-16,""dy"":128,""t"":8367},{""x"":977,""y"":690,""dx"":6,""dy"":139,""t"":8401},{""x"":1027,""y"":672,""dx"":56,""dy"":121,""t"":8436},{""x"":1003,""y"":690,""dx"":32,""dy"":139,""t"":8472},{""x"":994,""y"":685,""dx"":23,""dy"":134,""t"":8505},{""x"":1038,""y"":687,""dx"":67,""dy"":136,""t"":8539},{""x"":1063,""y"":663,""dx"":92,""dy"":112,""t"":8571},{""x"":1116,""y"":663,""dx"":145,""dy"":112,""t"":8606},{""x"":1118,""y"":669,""dx"":147,""dy"":118,""t"":8640},{""x"":1107,""y"":662,""dx"":136,""dy"":111,""t"":8675},{""x"":1098,""y"":677,""dx"":127,""dy"":126,""t"":8709},{""x"":1119,""y"":683,""dx"":148,""dy"":132,""t"":8743},{""x"":1120,""y"":677,""dx"":149,""dy"":126,""t"":8776},{""x"":1086,""y"":770,""dx"":115,""dy"":219,""t"":8811},{""x"":1042,""y"":950,""dx"":71,""dy"":399,""t"":8844},{""x"":1019,""y"":1086,""dx"":48,""dy"":535,""t"":8878},{""x"":1012,""y"":1214,""dx"":41,""dy"":663,""t"":8911},{""x"":1013,""y"":1259,""dx"":42,""dy"":708,""t"":8946},{""x"":1005,""y"":1214,""dx"":34,""dy"":663,""t"":8980},{""x"":1014,""y"":1134,""dx"":43,""dy"":583,""t"":9015}],[{""x"":712,""y"":900,""dx"":221,""dy"":79,""t"":10034},{""x"":685,""y"":921,""dx"":194,""dy"":100,""t"":10068},{""x"":662,""y"":938,""dx"":171,""dy"":117,""t"":10099},{""x"":638,""y"":897,""dx"":147,""dy"":76,""t"":10137},{""x"":613,""y"":847,""dx"":122,""dy"":26,""t"":10170},{""x"":578,""y"":850,""dx"":87,""dy"":29,""t"":10204},{""x"":585,""y"":829,""dx"":94,""dy"":8,""t"":10238},{""x"":609,""y"":809,""dx"":118,""dy"":-12,""t"":10272},{""x"":590,""y"":813,""dx"":99,""dy"":-8,""t"":10307},{""x"":625,""y"":793,""dx"":134,""dy"":-28,""t"":10340},{""x"":609,""y"":787,""dx"":118,""dy"":-34,""t"":10373},{""x"":603,""y"":766,""dx"":112,""dy"":-55,""t"":10408},{""x"":563,""y"":740,""dx"":72,""dy"":-81,""t"":10441},{""x"":555,""y"":727,""dx"":64,""dy"":-94,""t"":10476},{""x"":576,""y"":708,""dx"":85,""dy"":-113,""t"":10510},{""x"":564,""y"":719,""dx"":73,""dy"":-102,""t"":10544},{""x"":550,""y"":715,""dx"":59,""dy"":-106,""t"":10577},{""x"":522,""y"":681,""dx"":31,""dy"":-140,""t"":10612},{""x"":526,""y"":695,""dx"":35,""dy"":-126,""t"":10646},{""x"":506,""y"":671,""dx"":15,""dy"":-150,""t"":10681},{""x"":523,""y"":702,""dx"":32,""dy"":-119,""t"":10715},{""x"":534,""y"":697,""dx"":43,""dy"":-124,""t"":10748},{""x"":544,""y"":704,""dx"":53,""dy"":-117,""t"":10782},{""x"":535,""y"":720,""dx"":44,""dy"":-101,""t"":10815},{""x"":531,""y"":709,""dx"":40,""dy"":-112,""t"":10850},{""x"":547,""y"":747,""dx"":56,""dy"":-74,""t"":10884},{""x"":573,""y"":807,""dx"":82,""dy"":-14,""t"":10917},{""x"":595,""y"":845,""dx"":104,""dy"":24,""t"":10951},{""x"":591,""y"":844,""dx"":100,""dy"":23,""t"":10986},{""x"":569,""y"":847,""dx"":78,""dy"":26,""t"":11021},{""x"":559,""y"":836,""dx"":68,""dy"":15,""t"":11054},{""x"":543,""y"":811,""dx"":52,""dy"":-10,""t"":11088},{""x"":566,""y"":841,""dx"":75,""dy"":20,""t"":11122},{""x"":580,""y"":855,""dx"":89,""dy"":34,""t"":11156},{""x"":585,""y"":832,""dx"":94,""dy"":11,""t"":11189},{""x"":614,""y"":880,""dx"":123,""dy"":59,""t"":11224},{""x"":609,""y"":867,""dx"":118,""dy"":46,""t"":11255},{""x"":619,""y"":854,""dx"":128,""dy"":33,""t"":11291},{""x"":603,""y"":823,""dx"":112,""dy"":2,""t"":11326},{""x"":590,""y"":843,""dx"":99,""dy"":22,""t"":11359},{""x"":584,""y"":827,""dx"":93,""dy"":6,""t"":11394},{""x"":582,""y"":844,""dx"":91,""dy"":23,""t"":11427},{""x"":578,""y"":891,""dx"":87,""dy"":70,""t"":11461},{""x"":628,""y"":922,""dx"":137,""dy"":101,""t"":11496},{""x"":634,""y"":896,""dx"":143,""dy"":75,""t"":11530},{""x"":642,""y"":939,""dx"":151,""dy"":118,""t"":11564},{""x"":630,""y"":965,""dx"":139,""dy"":144,""t"":11598},{""x"":660,""y"":924,""dx"":169,""dy"":103,""t"":11632},{""x"":698,""y"":946,""dx"":207,""dy"":125,""t"":11664},{""x"":692,""y"":918,""dx"":201,""dy"":97,""t"":11699},{""x"":698,""y"":958,""dx"":207,""dy"":137,""t"":11734},{""x"":678,""y"":967,""dx"":187,""dy"":146,""t"":11768},{""x"":689,""y"":1020,""dx"":198,""dy"":199,""t"":11802},{""x"":703,""y"":1056,""dx"":212,""dy"":235,""t"":11836},{""x"":682,""y"":1033,""dx"":191,""dy"":212,""t"":11870},{""x"":677,""y"":1056,""dx"":186,""dy"":235,""t"":11904},{""x"":695,""y"":1081,""dx"":204,""dy"":260,""t"":11939},{""x"":706,""y"":1100,""dx"":215,""dy"":279,""t"":11971},{""x"":758,""y"":1107,""dx"":267,""dy"":286,""t"":12006}],[{""x"":1400,""y"":650,""dx"":-51,""dy"":-171,""t"":13026},{""x"":1394,""y"":629,""dx"":-57,""dy"":-192,""t"":13060},{""x"":1420,""y"":634,""dx"":-31,""dy"":-187,""t"":13093},{""x"":1396,""y"":663,""dx"":-55,""dy"":-158,""t"":13128},{""x"":1397,""y"":689,""dx"":-54,""dy"":-132,""t"":13163},{""x"":1384,""y"":705,""dx"":-67,""dy"":-116,""t"":13196},{""x"":1376,""y"":718,""dx"":-75,""dy"":-103,""t"":13230},{""x"":1369,""y"":729,""dx"":-82,""dy"":-92,""t"":13263},{""x"":1350,""y"":739,""dx"":-101,""dy"":-82,""t"":13298},{""x"":1338,""y"":732,""dx"":-113,""dy"":-89,""t"":13332},{""x"":1342,""y"":737,""dx"":-109,""dy"":-84,""t"":13365},{""x"":1344,""y"":767,""dx"":-107,""dy"":-54,""t"":13399},{""x"":1339,""y"":763,""dx"":-112,""dy"":-58,""t"":13434},{""x"":1315,""y"":788,""dx"":-136,""dy"":-33,""t"":13468},{""x"":1355,""y"":818,""dx"":-96,""dy"":-3,""t"":13501},{""x"":1399,""y"":863,""dx"":-52,""dy"":42,""t"":13536},{""x"":1398,""y"":861,""dx"":-53,""dy"":40,""t"":13571},{""x"":1413,""y"":834,""dx"":-38,""dy"":13,""t"":13604},{""x"":1419,""y"":823,""dx"":-32,""dy"":2,""t"":13639},{""x"":1416,""y"":794,""dx"":-35,""dy"":-27,""t"":13672},{""x"":1399,""y"":778,""dx"":-52,""dy"":-43,""t"":13706},{""x"":1400,""y"":768,""dx"":-51,""dy"":-53,""t"":13739},{""x"":1406,""y"":772,""dx"":-45,""dy"":-49,""t"":13774},{""x"":1425,""y"":745,""dx"":-26,""dy"":-76,""t"":13808},{""x"":1441,""y"":721,""dx"":-10,""dy"":-100,""t"":13842},{""x"":1456,""y"":702,""dx"":5,""dy"":-119,""t"":13876},{""x"":1483,""y"":700,""dx"":32,""dy"":-121,""t"":13910},{""x"":1476,""y"":689,""dx"":25,""dy"":-132,""t"":13944},{""x"":1483,""y"":681,""dx"":32,""dy"":-140,""t"":13978},{""x"":1497,""y"":714,""dx"":46,""dy"":-107,""t"":14011},{""x"":1468,""y"":702,""dx"":17,""dy"":-119,""t"":14046},{""x"":1429,""y"":727,""dx"":-22,""dy"":-94,""t"":14080},{""x"":1412,""y"":729,""dx"":-39,""dy"":-92,""t"":14114},{""x"":1387,""y"":752,""dx"":-64,""dy"":-69,""t"":14147},{""x"":1390,""y"":755,""dx"":-61,""dy"":-66,""t"":14181},{""x"":1383,""y"":741,""dx"":-68,""dy"":-80,""t"":14217},{""x"":1406,""y"":732,""dx"":-45,""dy"":-89,""t"":14250},{""x"":1411,""y"":719,""dx"":-40,""dy"":-102,""t"":14284},{""x"":1428,""y"":717,""dx"":-23,""dy"":-104,""t"":14318},{""x"":1378,""y"":736,""dx"":-73,""dy"":-85,""t"":14351},{""x"":1415,""y"":735,""dx"":-36,""dy"":-86,""t"":14387},{""x"":1408,""y"":757,""dx"":-43,""dy"":-64,""t"":14421},{""x"":1418,""y"":719,""dx"":-33,""dy"":-102,""t"":14453},{""x"":1383,""y"":724,""dx"":-68,""dy"":-97,""t"":14487},{""x"":1361,""y"":729,""dx"":-90,""dy"":-92,""t"":14521},{""x"":1372,""y"":717,""dx"":-79,""dy"":-104,""t"":14556},{""x"":1380,""y"":694,""dx"":-71,""dy"":-127,""t"":14590},{""x"":1355,""y"":721,""dx"":-96,""dy"":-100,""t"":14625},{""x"":1358,""y"":750,""dx"":-93,""dy"":-71,""t"":14657},{""x"":1348,""y"":745,""dx"":-103,""dy"":-76,""t"":14692},{""x"":1360,""y"":748,""dx"":-91,""dy"":-73,""t"":14726},{""x"":1403,""y"":773,""dx"":-48,""dy"":-48,""t"":14760},{""x"":1388,""y"":782,""dx"":-63,""dy"":-39,""t"":14795},{""x"":1375,""y"":789,""dx"":-76,""dy"":-32,""t"":14827},{""x"":1349,""y"":788,""dx"":-102,""dy"":-33,""t"":14862},{""x"":1339,""y"":778,""dx"":-112,""dy"":-43,""t"":14896},{""x"":1368,""y"":775,""dx"":-83,""dy"":-46,""t"":14929},{""x"":1408,""y"":784,""dx"":-43,""dy"":-37,""t"":14964},{""x"":1435,""y"":810,""dx"":-16,""dy"":-11,""t"":14998},{""x"":1437,""y"":833,""dx"":-14,""dy"":12,""t"":15032}]]","[100,44.06779661016949,83.05084745762711,74.57627118644068,98.33333333333333]","[{""x"":2.9166666666666665,""y"":32.3,""r"":86.27371225012399},{""x"":96.0677966101695,""y"":167.59322033898306,""r"":85.16445047902911},{""x"":77.47457627118644,""y"":146.3050847457627,""r"":81.80897340663641},{""x"":117.38983050847457,""y"":31.88135593220339,""r"":92.44492603342222},{""x"":-54.63333333333333,""y"":-76.55,""r"":71.73596005606595}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
"","html-button-response","10","41937","0.0-5.0-4.0-0.0-0.0","","","","","527","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","50916","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","51769","0.0-5.0-4.0-0.0-2.0","","","","","852","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
