"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","8671","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","8677","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","14030","0.0-2.0-0.0","","","","","5349","{""name"":""张小雨"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","17286","0.0-2.0-1.0","","","","","3254","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","18614","0.0-3.0","","","","","1326"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","33013","0.0-4.0","","","","","","","","","2214","","","","","","","","","","","","","","","","",""
"","html-button-response","6","33910","0.0-5.0-0.0","","","","","895","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","45873","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","46814","0.0-5.0-2.0","","","","","940","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","64149","0.0-5.0-3.0","","","","","","","","","","[[{""x"":473,""y"":203,""dx"":-18,""dy"":-78,""t"":990},{""x"":460,""y"":203,""dx"":-31,""dy"":-78,""t"":1024},{""x"":444,""y"":203,""dx"":-47,""dy"":-78,""t"":1058},{""x"":436,""y"":200,""dx"":-55,""dy"":-81,""t"":1091},{""x"":434,""y"":206,""dx"":-57,""dy"":-75,""t"":1126},{""x"":417,""y"":207,""dx"":-74,""dy"":-74,""t"":1160},{""x"":419,""y"":229,""dx"":-72,""dy"":-52,""t"":1194},{""x"":397,""y"":229,""dx"":-94,""dy"":-52,""t"":1229},{""x"":396,""y"":231,""dx"":-95,""dy"":-50,""t"":1263},{""x"":393,""y"":221,""dx"":-98,""dy"":-60,""t"":1296},{""x"":394,""y"":232,""dx"":-97,""dy"":-49,""t"":1330},{""x"":372,""y"":236,""dx"":-119,""dy"":-45,""t"":1364},{""x"":364,""y"":248,""dx"":-127,""dy"":-33,""t"":1398},{""x"":359,""y"":245,""dx"":-132,""dy"":-36,""t"":1433},{""x"":372,""y"":271,""dx"":-119,""dy"":-10,""t"":1466},{""x"":383,""y"":270,""dx"":-108,""dy"":-11,""t"":1499},{""x"":418,""y"":307,""dx"":-73,""dy"":26,""t"":1535},{""x"":412,""y"":292,""dx"":-79,""dy"":11,""t"":1567},{""x"":426,""y"":294,""dx"":-65,""dy"":13,""t"":1602},{""x"":418,""y"":309,""dx"":-73,""dy"":28,""t"":1636},{""x"":426,""y"":302,""dx"":-65,""dy"":21,""t"":1670},{""x"":412,""y"":308,""dx"":-79,""dy"":27,""t"":1704},{""x"":399,""y"":312,""dx"":-92,""dy"":31,""t"":1736},{""x"":410,""y"":319,""dx"":-81,""dy"":38,""t"":1772},{""x"":435,""y"":316,""dx"":-56,""dy"":35,""t"":1807},{""x"":452,""y"":322,""dx"":-39,""dy"":41,""t"":1840},{""x"":451,""y"":339,""dx"":-40,""dy"":58,""t"":1874},{""x"":465,""y"":321,""dx"":-26,""dy"":40,""t"":1908},{""x"":475,""y"":327,""dx"":-16,""dy"":46,""t"":1943},{""x"":475,""y"":327,""dx"":-16,""dy"":46,""t"":1976},{""x"":476,""y"":325,""dx"":-15,""dy"":44,""t"":2011},{""x"":451,""y"":326,""dx"":-40,""dy"":45,""t"":2044},{""x"":435,""y"":337,""dx"":-56,""dy"":56,""t"":2078},{""x"":450,""y"":308,""dx"":-41,""dy"":27,""t"":2112},{""x"":457,""y"":278,""dx"":-34,""dy"":-3,""t"":2143},{""x"":462,""y"":269,""dx"":-29,""dy"":-12,""t"":2180},{""x"":452,""y"":266,""dx"":-39,""dy"":-15,""t"":2214},{""x"":421,""y"":284,""dx"":-70,""dy"":3,""t"":2248},{""x"":408,""y"":314,""dx"":-83,""dy"":33,""t"":2282},{""x"":407,""y"":339,""dx"":-84,""dy"":58,""t"":2317},{""x"":415,""y"":319,""dx"":-76,""dy"":38,""t"":2350},{""x"":430,""y"":295,""dx"":-61,""dy"":14,""t"":2383},{""x"":420,""y"":266,""dx"":-71,""dy"":-15,""t"":2418},{""x"":435,""y"":273,""dx"":-56,""dy"":-8,""t"":2452},{""x"":421,""y"":299,""dx"":-70,""dy"":18,""t"":2487},{""x"":439,""y"":292,""dx"":-52,""dy"":11,""t"":2520},{""x"":464,""y"":295,""dx"":-27,""dy"":14,""t"":2554},{""x"":447,""y"":312,""dx"":-44,""dy"":31,""t"":2589},{""x"":454,""y"":293,""dx"":-37,""dy"":12,""t"":2623},{""x"":477,""y"":273,""dx"":-14,""dy"":-8,""t"":2656},{""x"":461,""y"":302,""dx"":-30,""dy"":21,""t"":2691},{""x"":464,""y"":282,""dx"":-27,""dy"":1,""t"":2724},{""x"":443,""y"":304,""dx"":-48,""dy"":23,""t"":2758},{""x"":459,""y"":304,""dx"":-32,""dy"":23,""t"":2792},{""x"":436,""y"":317,""dx"":-55,""dy"":36,""t"":2825},{""x"":462,""y"":305,""dx"":-29,""dy"":24,""t"":2860},{""x"":486,""y"":277,""dx"":-5,""dy"":-4,""t"":2895},{""x"":605,""y"":300,""dx"":114,""dy"":19,""t"":2928},{""x"":837,""y"":342,""dx"":346,""dy"":61,""t"":2962}],[{""x"":1487,""y"":274,""dx"":36,""dy"":-7,""t"":4016},{""x"":1516,""y"":288,""dx"":65,""dy"":7,""t"":4050},{""x"":1527,""y"":280,""dx"":76,""dy"":-1,""t"":4083},{""x"":1523,""y"":289,""dx"":72,""dy"":8,""t"":4117},{""x"":1539,""y"":307,""dx"":88,""dy"":26,""t"":4152},{""x"":1537,""y"":319,""dx"":86,""dy"":38,""t"":4187},{""x"":1545,""y"":319,""dx"":94,""dy"":38,""t"":4220},{""x"":1537,""y"":316,""dx"":86,""dy"":35,""t"":4255},{""x"":1531,""y"":319,""dx"":80,""dy"":38,""t"":4288},{""x"":1534,""y"":309,""dx"":83,""dy"":28,""t"":4322},{""x"":1553,""y"":307,""dx"":102,""dy"":26,""t"":4357},{""x"":1550,""y"":304,""dx"":99,""dy"":23,""t"":4403},{""x"":1544,""y"":304,""dx"":93,""dy"":23,""t"":4444},{""x"":1525,""y"":302,""dx"":74,""dy"":21,""t"":4455},{""x"":1523,""y"":305,""dx"":72,""dy"":24,""t"":4491},{""x"":1529,""y"":297,""dx"":78,""dy"":16,""t"":4527},{""x"":1519,""y"":313,""dx"":68,""dy"":32,""t"":4560},{""x"":1516,""y"":302,""dx"":65,""dy"":21,""t"":4594},{""x"":1532,""y"":291,""dx"":81,""dy"":10,""t"":4628},{""x"":1527,""y"":310,""dx"":76,""dy"":29,""t"":4662},{""x"":1531,""y"":308,""dx"":80,""dy"":27,""t"":4697},{""x"":1502,""y"":308,""dx"":51,""dy"":27,""t"":4731},{""x"":1482,""y"":306,""dx"":31,""dy"":25,""t"":4764},{""x"":1448,""y"":297,""dx"":-3,""dy"":16,""t"":4798},{""x"":1432,""y"":308,""dx"":-19,""dy"":27,""t"":4832},{""x"":1469,""y"":319,""dx"":18,""dy"":38,""t"":4865},{""x"":1505,""y"":323,""dx"":54,""dy"":42,""t"":4898},{""x"":1508,""y"":323,""dx"":57,""dy"":42,""t"":4933},{""x"":1490,""y"":321,""dx"":39,""dy"":40,""t"":4969},{""x"":1484,""y"":323,""dx"":33,""dy"":42,""t"":5002},{""x"":1500,""y"":322,""dx"":49,""dy"":41,""t"":5036},{""x"":1490,""y"":327,""dx"":39,""dy"":46,""t"":5070},{""x"":1464,""y"":322,""dx"":13,""dy"":41,""t"":5104},{""x"":1433,""y"":318,""dx"":-18,""dy"":37,""t"":5138},{""x"":1455,""y"":311,""dx"":4,""dy"":30,""t"":5173},{""x"":1452,""y"":305,""dx"":1,""dy"":24,""t"":5206},{""x"":1418,""y"":290,""dx"":-33,""dy"":9,""t"":5240},{""x"":1441,""y"":287,""dx"":-10,""dy"":6,""t"":5273},{""x"":1461,""y"":286,""dx"":10,""dy"":5,""t"":5305},{""x"":1460,""y"":291,""dx"":9,""dy"":10,""t"":5343},{""x"":1461,""y"":304,""dx"":10,""dy"":23,""t"":5377},{""x"":1463,""y"":293,""dx"":12,""dy"":12,""t"":5409},{""x"":1430,""y"":303,""dx"":-21,""dy"":22,""t"":5444},{""x"":1453,""y"":331,""dx"":2,""dy"":50,""t"":5479},{""x"":1443,""y"":325,""dx"":-8,""dy"":44,""t"":5512},{""x"":1438,""y"":323,""dx"":-13,""dy"":42,""t"":5547},{""x"":1440,""y"":328,""dx"":-11,""dy"":47,""t"":5580},{""x"":1423,""y"":323,""dx"":-28,""dy"":42,""t"":5614},{""x"":1430,""y"":327,""dx"":-21,""dy"":46,""t"":5648},{""x"":1394,""y"":338,""dx"":-57,""dy"":57,""t"":5682},{""x"":1386,""y"":332,""dx"":-65,""dy"":51,""t"":5716},{""x"":1401,""y"":333,""dx"":-50,""dy"":52,""t"":5750},{""x"":1375,""y"":292,""dx"":-76,""dy"":11,""t"":5784},{""x"":1399,""y"":288,""dx"":-52,""dy"":7,""t"":5818},{""x"":1392,""y"":306,""dx"":-59,""dy"":25,""t"":5852},{""x"":1393,""y"":304,""dx"":-58,""dy"":23,""t"":5887},{""x"":1403,""y"":302,""dx"":-48,""dy"":21,""t"":5920},{""x"":1397,""y"":281,""dx"":-54,""dy"":0,""t"":5954},{""x"":1389,""y"":264,""dx"":-62,""dy"":-17,""t"":5987}],[{""x"":912,""y"":481,""dx"":-59,""dy"":-70,""t"":7007},{""x"":942,""y"":463,""dx"":-29,""dy"":-88,""t"":7041},{""x"":936,""y"":466,""dx"":-35,""dy"":-85,""t"":7076},{""x"":928,""y"":469,""dx"":-43,""dy"":-82,""t"":7111},{""x"":976,""y"":457,""dx"":5,""dy"":-94,""t"":7144},{""x"":966,""y"":452,""dx"":-5,""dy"":-99,""t"":7178},{""x"":970,""y"":458,""dx"":-1,""dy"":-93,""t"":7212},{""x"":958,""y"":459,""dx"":-13,""dy"":-92,""t"":7246},{""x"":985,""y"":447,""dx"":14,""dy"":-104,""t"":7279},{""x"":981,""y"":450,""dx"":10,""dy"":-101,""t"":7313},{""x"":989,""y"":430,""dx"":18,""dy"":-121,""t"":7349},{""x"":1001,""y"":469,""dx"":30,""dy"":-82,""t"":7382},{""x"":990,""y"":541,""dx"":19,""dy"":-10,""t"":7415},{""x"":955,""y"":590,""dx"":-16,""dy"":39,""t"":7450},{""x"":959,""y"":630,""dx"":-12,""dy"":79,""t"":7483},{""x"":938,""y"":653,""dx"":-33,""dy"":102,""t"":7517},{""x"":922,""y"":673,""dx"":-49,""dy"":122,""t"":7552},{""x"":927,""y"":640,""dx"":-44,""dy"":89,""t"":7586},{""x"":915,""y"":599,""dx"":-56,""dy"":48,""t"":7620},{""x"":922,""y"":575,""dx"":-49,""dy"":24,""t"":7655},{""x"":947,""y"":529,""dx"":-24,""dy"":-22,""t"":7688},{""x"":982,""y"":488,""dx"":11,""dy"":-63,""t"":7722},{""x"":977,""y"":464,""dx"":6,""dy"":-87,""t"":7756},{""x"":1008,""y"":436,""dx"":37,""dy"":-115,""t"":7789},{""x"":1042,""y"":425,""dx"":71,""dy"":-126,""t"":7825},{""x"":1047,""y"":427,""dx"":76,""dy"":-124,""t"":7859},{""x"":1067,""y"":432,""dx"":96,""dy"":-119,""t"":7892},{""x"":1090,""y"":420,""dx"":119,""dy"":-131,""t"":7926},{""x"":1107,""y"":395,""dx"":136,""dy"":-156,""t"":7959},{""x"":1102,""y"":387,""dx"":131,""dy"":-164,""t"":7994},{""x"":1117,""y"":366,""dx"":146,""dy"":-185,""t"":8028},{""x"":1108,""y"":373,""dx"":137,""dy"":-178,""t"":8061},{""x"":1120,""y"":372,""dx"":149,""dy"":-179,""t"":8096},{""x"":1123,""y"":366,""dx"":152,""dy"":-185,""t"":8131},{""x"":1107,""y"":341,""dx"":136,""dy"":-210,""t"":8164},{""x"":1102,""y"":363,""dx"":131,""dy"":-188,""t"":8198},{""x"":1093,""y"":360,""dx"":122,""dy"":-191,""t"":8232},{""x"":1084,""y"":375,""dx"":113,""dy"":-176,""t"":8267},{""x"":1070,""y"":364,""dx"":99,""dy"":-187,""t"":8300},{""x"":1072,""y"":365,""dx"":101,""dy"":-186,""t"":8333},{""x"":1052,""y"":359,""dx"":81,""dy"":-192,""t"":8367},{""x"":1060,""y"":354,""dx"":89,""dy"":-197,""t"":8402},{""x"":1092,""y"":360,""dx"":121,""dy"":-191,""t"":8436},{""x"":1121,""y"":365,""dx"":150,""dy"":-186,""t"":8468},{""x"":1124,""y"":367,""dx"":153,""dy"":-184,""t"":8504},{""x"":1121,""y"":371,""dx"":150,""dy"":-180,""t"":8539},{""x"":1111,""y"":372,""dx"":140,""dy"":-179,""t"":8572},{""x"":1080,""y"":361,""dx"":109,""dy"":-190,""t"":8606},{""x"":1066,""y"":391,""dx"":95,""dy"":-160,""t"":8639},{""x"":1076,""y"":396,""dx"":105,""dy"":-155,""t"":8673},{""x"":1067,""y"":390,""dx"":96,""dy"":-161,""t"":8709},{""x"":1040,""y"":388,""dx"":69,""dy"":-163,""t"":8742},{""x"":1014,""y"":384,""dx"":43,""dy"":-167,""t"":8777},{""x"":1006,""y"":381,""dx"":35,""dy"":-170,""t"":8810},{""x"":972,""y"":350,""dx"":1,""dy"":-201,""t"":8844},{""x"":950,""y"":348,""dx"":-21,""dy"":-203,""t"":8876},{""x"":910,""y"":344,""dx"":-61,""dy"":-207,""t"":8912},{""x"":891,""y"":358,""dx"":-80,""dy"":-193,""t"":8945},{""x"":897,""y"":360,""dx"":-74,""dy"":-191,""t"":8981},{""x"":898,""y"":359,""dx"":-73,""dy"":-192,""t"":9014}],[{""x"":402,""y"":699,""dx"":-89,""dy"":-122,""t"":10035},{""x"":401,""y"":688,""dx"":-90,""dy"":-133,""t"":10066},{""x"":409,""y"":658,""dx"":-82,""dy"":-163,""t"":10102},{""x"":389,""y"":665,""dx"":-102,""dy"":-156,""t"":10137},{""x"":396,""y"":654,""dx"":-95,""dy"":-167,""t"":10170},{""x"":378,""y"":653,""dx"":-113,""dy"":-168,""t"":10203},{""x"":383,""y"":642,""dx"":-108,""dy"":-179,""t"":10238},{""x"":362,""y"":651,""dx"":-129,""dy"":-170,""t"":10271},{""x"":387,""y"":654,""dx"":-104,""dy"":-167,""t"":10306},{""x"":379,""y"":635,""dx"":-112,""dy"":-186,""t"":10340},{""x"":406,""y"":632,""dx"":-85,""dy"":-189,""t"":10373},{""x"":439,""y"":647,""dx"":-52,""dy"":-174,""t"":10408},{""x"":468,""y"":661,""dx"":-23,""dy"":-160,""t"":10442},{""x"":489,""y"":678,""dx"":-2,""dy"":-143,""t"":10474},{""x"":488,""y"":678,""dx"":-3,""dy"":-143,""t"":10510},{""x"":484,""y"":673,""dx"":-7,""dy"":-148,""t"":10544},{""x"":469,""y"":660,""dx"":-22,""dy"":-161,""t"":10577},{""x"":452,""y"":659,""dx"":-39,""dy"":-162,""t"":10612},{""x"":443,""y"":666,""dx"":-48,""dy"":-155,""t"":10646},{""x"":440,""y"":681,""dx"":-51,""dy"":-140,""t"":10680},{""x"":434,""y"":679,""dx"":-57,""dy"":-142,""t"":10714},{""x"":426,""y"":677,""dx"":-65,""dy"":-144,""t"":10749},{""x"":389,""y"":647,""dx"":-102,""dy"":-174,""t"":10781},{""x"":377,""y"":640,""dx"":-114,""dy"":-181,""t"":10815},{""x"":362,""y"":636,""dx"":-129,""dy"":-185,""t"":10850},{""x"":350,""y"":614,""dx"":-141,""dy"":-207,""t"":10883},{""x"":338,""y"":616,""dx"":-153,""dy"":-205,""t"":10918},{""x"":317,""y"":615,""dx"":-174,""dy"":-206,""t"":10952},{""x"":298,""y"":606,""dx"":-193,""dy"":-215,""t"":10986},{""x"":314,""y"":591,""dx"":-177,""dy"":-230,""t"":11020},{""x"":327,""y"":572,""dx"":-164,""dy"":-249,""t"":11054},{""x"":373,""y"":586,""dx"":-118,""dy"":-235,""t"":11088},{""x"":425,""y"":596,""dx"":-66,""dy"":-225,""t"":11122},{""x"":424,""y"":599,""dx"":-67,""dy"":-222,""t"":11156},{""x"":430,""y"":591,""dx"":-61,""dy"":-230,""t"":11190},{""x"":442,""y"":582,""dx"":-49,""dy"":-239,""t"":11224},{""x"":436,""y"":588,""dx"":-55,""dy"":-233,""t"":11257},{""x"":426,""y"":577,""dx"":-65,""dy"":-244,""t"":11293},{""x"":413,""y"":577,""dx"":-78,""dy"":-244,""t"":11326},{""x"":408,""y"":577,""dx"":-83,""dy"":-244,""t"":11359},{""x"":388,""y"":576,""dx"":-103,""dy"":-245,""t"":11394},{""x"":391,""y"":587,""dx"":-100,""dy"":-234,""t"":11429},{""x"":405,""y"":600,""dx"":-86,""dy"":-221,""t"":11462},{""x"":428,""y"":614,""dx"":-63,""dy"":-207,""t"":11496},{""x"":425,""y"":631,""dx"":-66,""dy"":-190,""t"":11530},{""x"":473,""y"":637,""dx"":-18,""dy"":-184,""t"":11565},{""x"":492,""y"":649,""dx"":1,""dy"":-172,""t"":11598},{""x"":476,""y"":644,""dx"":-15,""dy"":-177,""t"":11632},{""x"":493,""y"":668,""dx"":2,""dy"":-153,""t"":11667},{""x"":500,""y"":687,""dx"":9,""dy"":-134,""t"":11700},{""x"":489,""y"":661,""dx"":-2,""dy"":-160,""t"":11734},{""x"":498,""y"":670,""dx"":7,""dy"":-151,""t"":11768},{""x"":479,""y"":667,""dx"":-12,""dy"":-154,""t"":11802},{""x"":478,""y"":674,""dx"":-13,""dy"":-147,""t"":11837},{""x"":459,""y"":672,""dx"":-32,""dy"":-149,""t"":11870},{""x"":432,""y"":656,""dx"":-59,""dy"":-165,""t"":11905},{""x"":417,""y"":642,""dx"":-74,""dy"":-179,""t"":11938},{""x"":405,""y"":628,""dx"":-86,""dy"":-193,""t"":11972},{""x"":395,""y"":617,""dx"":-96,""dy"":-204,""t"":12007}],[{""x"":1400,""y"":811,""dx"":-51,""dy"":-10,""t"":13060},{""x"":1387,""y"":807,""dx"":-64,""dy"":-14,""t"":13094},{""x"":1371,""y"":811,""dx"":-80,""dy"":-10,""t"":13128},{""x"":1367,""y"":809,""dx"":-84,""dy"":-12,""t"":13171},{""x"":1364,""y"":794,""dx"":-87,""dy"":-27,""t"":13213},{""x"":1362,""y"":781,""dx"":-89,""dy"":-40,""t"":13229},{""x"":1344,""y"":783,""dx"":-107,""dy"":-38,""t"":13264},{""x"":1330,""y"":786,""dx"":-121,""dy"":-35,""t"":13298},{""x"":1347,""y"":798,""dx"":-104,""dy"":-23,""t"":13332},{""x"":1340,""y"":802,""dx"":-111,""dy"":-19,""t"":13366},{""x"":1334,""y"":806,""dx"":-117,""dy"":-15,""t"":13400},{""x"":1345,""y"":812,""dx"":-106,""dy"":-9,""t"":13433},{""x"":1344,""y"":813,""dx"":-107,""dy"":-8,""t"":13468},{""x"":1351,""y"":798,""dx"":-100,""dy"":-23,""t"":13503},{""x"":1351,""y"":800,""dx"":-100,""dy"":-21,""t"":13536},{""x"":1353,""y"":795,""dx"":-98,""dy"":-26,""t"":13569},{""x"":1354,""y"":795,""dx"":-97,""dy"":-26,""t"":13605},{""x"":1366,""y"":801,""dx"":-85,""dy"":-20,""t"":13636},{""x"":1370,""y"":793,""dx"":-81,""dy"":-28,""t"":13673},{""x"":1369,""y"":788,""dx"":-82,""dy"":-33,""t"":13706},{""x"":1370,""y"":784,""dx"":-81,""dy"":-37,""t"":13740},{""x"":1378,""y"":786,""dx"":-73,""dy"":-35,""t"":13775},{""x"":1390,""y"":801,""dx"":-61,""dy"":-20,""t"":13808},{""x"":1375,""y"":800,""dx"":-76,""dy"":-21,""t"":13841},{""x"":1376,""y"":778,""dx"":-75,""dy"":-43,""t"":13878},{""x"":1378,""y"":763,""dx"":-73,""dy"":-58,""t"":13910},{""x"":1372,""y"":776,""dx"":-79,""dy"":-45,""t"":13944},{""x"":1361,""y"":806,""dx"":-90,""dy"":-15,""t"":13978},{""x"":1366,""y"":798,""dx"":-85,""dy"":-23,""t"":14012},{""x"":1373,""y"":789,""dx"":-78,""dy"":-32,""t"":14044},{""x"":1367,""y"":788,""dx"":-84,""dy"":-33,""t"":14080},{""x"":1369,""y"":794,""dx"":-82,""dy"":-27,""t"":14114},{""x"":1371,""y"":798,""dx"":-80,""dy"":-23,""t"":14148},{""x"":1384,""y"":814,""dx"":-67,""dy"":-7,""t"":14182},{""x"":1401,""y"":819,""dx"":-50,""dy"":-2,""t"":14216},{""x"":1398,""y"":815,""dx"":-53,""dy"":-6,""t"":14250},{""x"":1407,""y"":818,""dx"":-44,""dy"":-3,""t"":14284},{""x"":1396,""y"":814,""dx"":-55,""dy"":-7,""t"":14318},{""x"":1397,""y"":817,""dx"":-54,""dy"":-4,""t"":14352},{""x"":1392,""y"":820,""dx"":-59,""dy"":-1,""t"":14386},{""x"":1371,""y"":839,""dx"":-80,""dy"":18,""t"":14420},{""x"":1387,""y"":839,""dx"":-64,""dy"":18,""t"":14454},{""x"":1393,""y"":840,""dx"":-58,""dy"":19,""t"":14488},{""x"":1404,""y"":840,""dx"":-47,""dy"":19,""t"":14522},{""x"":1399,""y"":830,""dx"":-52,""dy"":9,""t"":14556},{""x"":1395,""y"":831,""dx"":-56,""dy"":10,""t"":14590},{""x"":1404,""y"":829,""dx"":-47,""dy"":8,""t"":14624},{""x"":1402,""y"":825,""dx"":-49,""dy"":4,""t"":14657},{""x"":1410,""y"":833,""dx"":-41,""dy"":12,""t"":14692},{""x"":1409,""y"":834,""dx"":-42,""dy"":13,""t"":14726},{""x"":1380,""y"":826,""dx"":-71,""dy"":5,""t"":14760},{""x"":1340,""y"":815,""dx"":-111,""dy"":-6,""t"":14794},{""x"":1313,""y"":805,""dx"":-138,""dy"":-16,""t"":14828},{""x"":1305,""y"":793,""dx"":-146,""dy"":-28,""t"":14862},{""x"":1285,""y"":787,""dx"":-166,""dy"":-34,""t"":14896},{""x"":1278,""y"":786,""dx"":-173,""dy"":-35,""t"":14930},{""x"":1278,""y"":772,""dx"":-173,""dy"":-49,""t"":14964},{""x"":1284,""y"":772,""dx"":-167,""dy"":-49,""t"":14999},{""x"":1270,""y"":758,""dx"":-181,""dy"":-63,""t"":15032}]]","[98.30508474576271,100,56.666666666666664,49.152542372881356,100]","[{""x"":-49.28813559322034,""y"":2.4745762711864407,""r"":44.16440518602305},{""x"":22.372881355932204,""y"":26.576271186440678,""r"":47.52355287789904},{""x"":45.416666666666664,""y"":-120.86666666666666,""r"":141.8460564776361},{""x"":-72.42372881355932,""y"":-184.05084745762713,""r"":54.42375256664864},{""x"":-86.98305084745763,""y"":-17.35593220338983,""r"":28.305683541824138}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
"","html-button-response","10","65581","0.0-5.0-4.0-0.0-0.0","","","","","1431","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","76292","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","77901","0.0-5.0-4.0-0.0-2.0","","","","","1608","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
