"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","3806","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3814","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7235","0.0-2.0-0.0","","","","","3420","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","9247","0.0-2.0-1.0","","","","","2011","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","10531","0.0-3.0","","","","","1283"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","13367","0.0-4.0","","","","","","","","","801","","","","","","","","","","","","","","","",""
"","html-button-response","6","14468","0.0-5.0-0.0","","","","","1100","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","25495","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","26286","0.0-5.0-2.0","","","","","791","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","44181","0.0-5.0-3.0","","","","","","","","","","[[{""x"":424,""y"":343,""dx"":-67,""dy"":62,""t"":987},{""x"":444,""y"":335,""dx"":-47,""dy"":54,""t"":1023},{""x"":449,""y"":332,""dx"":-42,""dy"":51,""t"":1055},{""x"":454,""y"":338,""dx"":-37,""dy"":57,""t"":1089},{""x"":459,""y"":343,""dx"":-32,""dy"":62,""t"":1125},{""x"":458,""y"":343,""dx"":-33,""dy"":62,""t"":1159},{""x"":449,""y"":341,""dx"":-42,""dy"":60,""t"":1191},{""x"":445,""y"":332,""dx"":-46,""dy"":51,""t"":1228},{""x"":442,""y"":333,""dx"":-49,""dy"":52,""t"":1260},{""x"":435,""y"":329,""dx"":-56,""dy"":48,""t"":1293},{""x"":428,""y"":327,""dx"":-63,""dy"":46,""t"":1329},{""x"":425,""y"":327,""dx"":-66,""dy"":46,""t"":1361},{""x"":420,""y"":328,""dx"":-71,""dy"":47,""t"":1395},{""x"":414,""y"":327,""dx"":-77,""dy"":46,""t"":1431},{""x"":423,""y"":311,""dx"":-68,""dy"":30,""t"":1464},{""x"":439,""y"":311,""dx"":-52,""dy"":30,""t"":1497},{""x"":459,""y"":323,""dx"":-32,""dy"":42,""t"":1533},{""x"":475,""y"":334,""dx"":-16,""dy"":53,""t"":1564},{""x"":482,""y"":340,""dx"":-9,""dy"":59,""t"":1599},{""x"":499,""y"":350,""dx"":8,""dy"":69,""t"":1633},{""x"":498,""y"":338,""dx"":7,""dy"":57,""t"":1669},{""x"":503,""y"":327,""dx"":12,""dy"":46,""t"":1701},{""x"":504,""y"":323,""dx"":13,""dy"":42,""t"":1735},{""x"":504,""y"":329,""dx"":13,""dy"":48,""t"":1771},{""x"":505,""y"":339,""dx"":14,""dy"":58,""t"":1804},{""x"":493,""y"":343,""dx"":2,""dy"":62,""t"":1837},{""x"":478,""y"":343,""dx"":-13,""dy"":62,""t"":1870},{""x"":465,""y"":332,""dx"":-26,""dy"":51,""t"":1907},{""x"":478,""y"":361,""dx"":-13,""dy"":80,""t"":1939},{""x"":489,""y"":385,""dx"":-2,""dy"":104,""t"":1972},{""x"":484,""y"":373,""dx"":-7,""dy"":92,""t"":2007},{""x"":483,""y"":386,""dx"":-8,""dy"":105,""t"":2043},{""x"":480,""y"":387,""dx"":-11,""dy"":106,""t"":2075},{""x"":488,""y"":400,""dx"":-3,""dy"":119,""t"":2109},{""x"":489,""y"":407,""dx"":-2,""dy"":126,""t"":2145},{""x"":487,""y"":406,""dx"":-4,""dy"":125,""t"":2177},{""x"":482,""y"":408,""dx"":-9,""dy"":127,""t"":2211},{""x"":485,""y"":413,""dx"":-6,""dy"":132,""t"":2247},{""x"":493,""y"":414,""dx"":2,""dy"":133,""t"":2279},{""x"":484,""y"":421,""dx"":-7,""dy"":140,""t"":2314},{""x"":462,""y"":416,""dx"":-29,""dy"":135,""t"":2347},{""x"":447,""y"":395,""dx"":-44,""dy"":114,""t"":2383},{""x"":465,""y"":395,""dx"":-26,""dy"":114,""t"":2415},{""x"":484,""y"":383,""dx"":-7,""dy"":102,""t"":2450},{""x"":483,""y"":366,""dx"":-8,""dy"":85,""t"":2485},{""x"":480,""y"":340,""dx"":-11,""dy"":59,""t"":2518},{""x"":467,""y"":330,""dx"":-24,""dy"":49,""t"":2551},{""x"":482,""y"":338,""dx"":-9,""dy"":57,""t"":2587},{""x"":476,""y"":325,""dx"":-15,""dy"":44,""t"":2619},{""x"":486,""y"":313,""dx"":-5,""dy"":32,""t"":2653},{""x"":471,""y"":300,""dx"":-20,""dy"":19,""t"":2689},{""x"":485,""y"":305,""dx"":-6,""dy"":24,""t"":2721},{""x"":454,""y"":305,""dx"":-37,""dy"":24,""t"":2755},{""x"":449,""y"":296,""dx"":-42,""dy"":15,""t"":2791},{""x"":431,""y"":284,""dx"":-60,""dy"":3,""t"":2824},{""x"":408,""y"":276,""dx"":-83,""dy"":-5,""t"":2858},{""x"":396,""y"":270,""dx"":-95,""dy"":-11,""t"":2894},{""x"":388,""y"":250,""dx"":-103,""dy"":-31,""t"":2926},{""x"":383,""y"":249,""dx"":-108,""dy"":-32,""t"":2959},{""x"":373,""y"":248,""dx"":-118,""dy"":-33,""t"":2995}],[{""x"":1472,""y"":281,""dx"":21,""dy"":0,""t"":4013},{""x"":1467,""y"":288,""dx"":16,""dy"":7,""t"":4049},{""x"":1466,""y"":283,""dx"":15,""dy"":2,""t"":4081},{""x"":1429,""y"":283,""dx"":-22,""dy"":2,""t"":4115},{""x"":1431,""y"":277,""dx"":-20,""dy"":-4,""t"":4151},{""x"":1415,""y"":305,""dx"":-36,""dy"":24,""t"":4183},{""x"":1422,""y"":298,""dx"":-29,""dy"":17,""t"":4217},{""x"":1447,""y"":311,""dx"":-4,""dy"":30,""t"":4253},{""x"":1457,""y"":308,""dx"":6,""dy"":27,""t"":4285},{""x"":1471,""y"":339,""dx"":20,""dy"":58,""t"":4319},{""x"":1484,""y"":354,""dx"":33,""dy"":73,""t"":4355},{""x"":1487,""y"":346,""dx"":36,""dy"":65,""t"":4388},{""x"":1483,""y"":341,""dx"":32,""dy"":60,""t"":4422},{""x"":1480,""y"":325,""dx"":29,""dy"":44,""t"":4457},{""x"":1481,""y"":321,""dx"":30,""dy"":40,""t"":4489},{""x"":1481,""y"":321,""dx"":30,""dy"":40,""t"":4524},{""x"":1485,""y"":319,""dx"":34,""dy"":38,""t"":4559},{""x"":1477,""y"":315,""dx"":26,""dy"":34,""t"":4591},{""x"":1478,""y"":328,""dx"":27,""dy"":47,""t"":4625},{""x"":1479,""y"":355,""dx"":28,""dy"":74,""t"":4661},{""x"":1475,""y"":327,""dx"":24,""dy"":46,""t"":4693},{""x"":1439,""y"":323,""dx"":-12,""dy"":42,""t"":4727},{""x"":1440,""y"":309,""dx"":-11,""dy"":28,""t"":4763},{""x"":1398,""y"":291,""dx"":-53,""dy"":10,""t"":4795},{""x"":1418,""y"":287,""dx"":-33,""dy"":6,""t"":4829},{""x"":1430,""y"":304,""dx"":-21,""dy"":23,""t"":4865},{""x"":1416,""y"":291,""dx"":-35,""dy"":10,""t"":4897},{""x"":1442,""y"":287,""dx"":-9,""dy"":6,""t"":4931},{""x"":1425,""y"":288,""dx"":-26,""dy"":7,""t"":4967},{""x"":1445,""y"":299,""dx"":-6,""dy"":18,""t"":4999},{""x"":1420,""y"":275,""dx"":-31,""dy"":-6,""t"":5033},{""x"":1436,""y"":284,""dx"":-15,""dy"":3,""t"":5069},{""x"":1413,""y"":273,""dx"":-38,""dy"":-8,""t"":5101},{""x"":1433,""y"":285,""dx"":-18,""dy"":4,""t"":5135},{""x"":1459,""y"":298,""dx"":8,""dy"":17,""t"":5169},{""x"":1477,""y"":313,""dx"":26,""dy"":32,""t"":5203},{""x"":1490,""y"":321,""dx"":39,""dy"":40,""t"":5239},{""x"":1494,""y"":325,""dx"":43,""dy"":44,""t"":5271},{""x"":1477,""y"":302,""dx"":26,""dy"":21,""t"":5305},{""x"":1437,""y"":268,""dx"":-14,""dy"":-13,""t"":5341},{""x"":1449,""y"":261,""dx"":-2,""dy"":-20,""t"":5373},{""x"":1438,""y"":245,""dx"":-13,""dy"":-36,""t"":5407},{""x"":1443,""y"":255,""dx"":-8,""dy"":-26,""t"":5443},{""x"":1452,""y"":257,""dx"":1,""dy"":-24,""t"":5475},{""x"":1445,""y"":268,""dx"":-6,""dy"":-13,""t"":5508},{""x"":1447,""y"":278,""dx"":-4,""dy"":-3,""t"":5544},{""x"":1454,""y"":264,""dx"":3,""dy"":-17,""t"":5576},{""x"":1462,""y"":270,""dx"":11,""dy"":-11,""t"":5613},{""x"":1479,""y"":262,""dx"":28,""dy"":-19,""t"":5646},{""x"":1483,""y"":277,""dx"":32,""dy"":-4,""t"":5679},{""x"":1471,""y"":286,""dx"":20,""dy"":5,""t"":5714},{""x"":1467,""y"":293,""dx"":16,""dy"":12,""t"":5749},{""x"":1470,""y"":300,""dx"":19,""dy"":19,""t"":5783},{""x"":1445,""y"":267,""dx"":-6,""dy"":-14,""t"":5816},{""x"":1452,""y"":271,""dx"":1,""dy"":-10,""t"":5853},{""x"":1449,""y"":270,""dx"":-2,""dy"":-11,""t"":5884},{""x"":1443,""y"":280,""dx"":-8,""dy"":-1,""t"":5918},{""x"":1447,""y"":279,""dx"":-4,""dy"":-2,""t"":5954},{""x"":1442,""y"":260,""dx"":-9,""dy"":-21,""t"":5985}],[{""x"":931,""y"":546,""dx"":-40,""dy"":-5,""t"":7008},{""x"":915,""y"":547,""dx"":-56,""dy"":-4,""t"":7039},{""x"":901,""y"":547,""dx"":-70,""dy"":-4,""t"":7073},{""x"":879,""y"":545,""dx"":-92,""dy"":-6,""t"":7107},{""x"":870,""y"":529,""dx"":-101,""dy"":-22,""t"":7144},{""x"":860,""y"":546,""dx"":-111,""dy"":-5,""t"":7175},{""x"":857,""y"":519,""dx"":-114,""dy"":-32,""t"":7210},{""x"":882,""y"":496,""dx"":-89,""dy"":-55,""t"":7243},{""x"":928,""y"":491,""dx"":-43,""dy"":-60,""t"":7279},{""x"":958,""y"":499,""dx"":-13,""dy"":-52,""t"":7311},{""x"":941,""y"":487,""dx"":-30,""dy"":-64,""t"":7346},{""x"":943,""y"":475,""dx"":-28,""dy"":-76,""t"":7382},{""x"":954,""y"":457,""dx"":-17,""dy"":-94,""t"":7414},{""x"":938,""y"":466,""dx"":-33,""dy"":-85,""t"":7447},{""x"":928,""y"":489,""dx"":-43,""dy"":-62,""t"":7483},{""x"":917,""y"":500,""dx"":-54,""dy"":-51,""t"":7516},{""x"":916,""y"":503,""dx"":-55,""dy"":-48,""t"":7550},{""x"":899,""y"":517,""dx"":-72,""dy"":-34,""t"":7585},{""x"":889,""y"":537,""dx"":-82,""dy"":-14,""t"":7617},{""x"":926,""y"":544,""dx"":-45,""dy"":-7,""t"":7651},{""x"":906,""y"":556,""dx"":-65,""dy"":5,""t"":7684},{""x"":899,""y"":559,""dx"":-72,""dy"":8,""t"":7721},{""x"":906,""y"":560,""dx"":-65,""dy"":9,""t"":7754},{""x"":914,""y"":543,""dx"":-57,""dy"":-8,""t"":7787},{""x"":934,""y"":518,""dx"":-37,""dy"":-33,""t"":7823},{""x"":945,""y"":499,""dx"":-26,""dy"":-52,""t"":7855},{""x"":942,""y"":495,""dx"":-29,""dy"":-56,""t"":7889},{""x"":938,""y"":476,""dx"":-33,""dy"":-75,""t"":7925},{""x"":958,""y"":468,""dx"":-13,""dy"":-83,""t"":7957},{""x"":960,""y"":461,""dx"":-11,""dy"":-90,""t"":7991},{""x"":945,""y"":451,""dx"":-26,""dy"":-100,""t"":8027},{""x"":940,""y"":389,""dx"":-31,""dy"":-162,""t"":8059},{""x"":945,""y"":403,""dx"":-26,""dy"":-148,""t"":8093},{""x"":950,""y"":371,""dx"":-21,""dy"":-180,""t"":8129},{""x"":924,""y"":380,""dx"":-47,""dy"":-171,""t"":8161},{""x"":898,""y"":374,""dx"":-73,""dy"":-177,""t"":8195},{""x"":889,""y"":399,""dx"":-82,""dy"":-152,""t"":8231},{""x"":869,""y"":406,""dx"":-102,""dy"":-145,""t"":8263},{""x"":865,""y"":416,""dx"":-106,""dy"":-135,""t"":8297},{""x"":863,""y"":423,""dx"":-108,""dy"":-128,""t"":8333},{""x"":869,""y"":454,""dx"":-102,""dy"":-97,""t"":8365},{""x"":871,""y"":465,""dx"":-100,""dy"":-86,""t"":8400},{""x"":880,""y"":479,""dx"":-91,""dy"":-72,""t"":8434},{""x"":883,""y"":501,""dx"":-88,""dy"":-50,""t"":8470},{""x"":886,""y"":501,""dx"":-85,""dy"":-50,""t"":8502},{""x"":900,""y"":504,""dx"":-71,""dy"":-47,""t"":8536},{""x"":904,""y"":502,""dx"":-67,""dy"":-49,""t"":8572},{""x"":898,""y"":514,""dx"":-73,""dy"":-37,""t"":8603},{""x"":897,""y"":520,""dx"":-74,""dy"":-31,""t"":8637},{""x"":896,""y"":523,""dx"":-75,""dy"":-28,""t"":8671},{""x"":897,""y"":522,""dx"":-74,""dy"":-29,""t"":8707},{""x"":898,""y"":518,""dx"":-73,""dy"":-33,""t"":8739},{""x"":899,""y"":501,""dx"":-72,""dy"":-50,""t"":8772},{""x"":901,""y"":508,""dx"":-70,""dy"":-43,""t"":8807},{""x"":893,""y"":537,""dx"":-78,""dy"":-14,""t"":8843},{""x"":901,""y"":524,""dx"":-70,""dy"":-27,""t"":8875},{""x"":898,""y"":550,""dx"":-73,""dy"":-1,""t"":8910},{""x"":891,""y"":543,""dx"":-80,""dy"":-8,""t"":8945},{""x"":896,""y"":546,""dx"":-75,""dy"":-5,""t"":8978}],[{""x"":479,""y"":726,""dx"":-12,""dy"":-95,""t"":10033},{""x"":482,""y"":728,""dx"":-9,""dy"":-93,""t"":10065},{""x"":445,""y"":712,""dx"":-46,""dy"":-109,""t"":10100},{""x"":422,""y"":663,""dx"":-69,""dy"":-158,""t"":10135},{""x"":428,""y"":676,""dx"":-63,""dy"":-145,""t"":10168},{""x"":462,""y"":674,""dx"":-29,""dy"":-147,""t"":10202},{""x"":465,""y"":667,""dx"":-26,""dy"":-154,""t"":10237},{""x"":469,""y"":661,""dx"":-22,""dy"":-160,""t"":10269},{""x"":484,""y"":668,""dx"":-7,""dy"":-153,""t"":10303},{""x"":493,""y"":686,""dx"":2,""dy"":-135,""t"":10337},{""x"":502,""y"":702,""dx"":11,""dy"":-119,""t"":10370},{""x"":503,""y"":713,""dx"":12,""dy"":-108,""t"":10407},{""x"":503,""y"":717,""dx"":12,""dy"":-104,""t"":10439},{""x"":515,""y"":708,""dx"":24,""dy"":-113,""t"":10473},{""x"":514,""y"":705,""dx"":23,""dy"":-116,""t"":10510},{""x"":510,""y"":701,""dx"":19,""dy"":-120,""t"":10541},{""x"":478,""y"":679,""dx"":-13,""dy"":-142,""t"":10575},{""x"":485,""y"":679,""dx"":-6,""dy"":-142,""t"":10611},{""x"":489,""y"":681,""dx"":-2,""dy"":-140,""t"":10643},{""x"":492,""y"":682,""dx"":1,""dy"":-139,""t"":10677},{""x"":497,""y"":671,""dx"":6,""dy"":-150,""t"":10711},{""x"":471,""y"":650,""dx"":-20,""dy"":-171,""t"":10747},{""x"":484,""y"":665,""dx"":-7,""dy"":-156,""t"":10780},{""x"":457,""y"":643,""dx"":-34,""dy"":-178,""t"":10813},{""x"":437,""y"":630,""dx"":-54,""dy"":-191,""t"":10849},{""x"":417,""y"":621,""dx"":-74,""dy"":-200,""t"":10881},{""x"":407,""y"":604,""dx"":-84,""dy"":-217,""t"":10915},{""x"":408,""y"":623,""dx"":-83,""dy"":-198,""t"":10951},{""x"":421,""y"":655,""dx"":-70,""dy"":-166,""t"":10983},{""x"":446,""y"":649,""dx"":-45,""dy"":-172,""t"":11017},{""x"":452,""y"":638,""dx"":-39,""dy"":-183,""t"":11053},{""x"":476,""y"":617,""dx"":-15,""dy"":-204,""t"":11085},{""x"":494,""y"":612,""dx"":3,""dy"":-209,""t"":11119},{""x"":497,""y"":599,""dx"":6,""dy"":-222,""t"":11155},{""x"":501,""y"":563,""dx"":10,""dy"":-258,""t"":11187},{""x"":496,""y"":532,""dx"":5,""dy"":-289,""t"":11221},{""x"":497,""y"":508,""dx"":6,""dy"":-313,""t"":11257},{""x"":486,""y"":478,""dx"":-5,""dy"":-343,""t"":11289},{""x"":490,""y"":474,""dx"":-1,""dy"":-347,""t"":11323},{""x"":503,""y"":522,""dx"":12,""dy"":-299,""t"":11359},{""x"":527,""y"":590,""dx"":36,""dy"":-231,""t"":11391},{""x"":544,""y"":644,""dx"":53,""dy"":-177,""t"":11425},{""x"":556,""y"":694,""dx"":65,""dy"":-127,""t"":11461},{""x"":557,""y"":688,""dx"":66,""dy"":-133,""t"":11493},{""x"":563,""y"":699,""dx"":72,""dy"":-122,""t"":11527},{""x"":561,""y"":710,""dx"":70,""dy"":-111,""t"":11563},{""x"":569,""y"":736,""dx"":78,""dy"":-85,""t"":11596},{""x"":578,""y"":764,""dx"":87,""dy"":-57,""t"":11630},{""x"":579,""y"":777,""dx"":88,""dy"":-44,""t"":11665},{""x"":576,""y"":788,""dx"":85,""dy"":-33,""t"":11697},{""x"":573,""y"":810,""dx"":82,""dy"":-11,""t"":11731},{""x"":568,""y"":802,""dx"":77,""dy"":-19,""t"":11768},{""x"":568,""y"":809,""dx"":77,""dy"":-12,""t"":11799},{""x"":566,""y"":787,""dx"":75,""dy"":-34,""t"":11833},{""x"":570,""y"":771,""dx"":79,""dy"":-50,""t"":11866},{""x"":568,""y"":770,""dx"":77,""dy"":-51,""t"":11903},{""x"":544,""y"":726,""dx"":53,""dy"":-95,""t"":11935},{""x"":542,""y"":707,""dx"":51,""dy"":-114,""t"":11968},{""x"":539,""y"":683,""dx"":48,""dy"":-138,""t"":12003}],[{""x"":1417,""y"":757,""dx"":-34,""dy"":-64,""t"":13024},{""x"":1411,""y"":760,""dx"":-40,""dy"":-61,""t"":13057},{""x"":1412,""y"":773,""dx"":-39,""dy"":-48,""t"":13092},{""x"":1410,""y"":766,""dx"":-41,""dy"":-55,""t"":13126},{""x"":1408,""y"":781,""dx"":-43,""dy"":-40,""t"":13160},{""x"":1397,""y"":802,""dx"":-54,""dy"":-19,""t"":13195},{""x"":1398,""y"":809,""dx"":-53,""dy"":-12,""t"":13227},{""x"":1394,""y"":838,""dx"":-57,""dy"":17,""t"":13261},{""x"":1385,""y"":827,""dx"":-66,""dy"":6,""t"":13297},{""x"":1375,""y"":833,""dx"":-76,""dy"":12,""t"":13330},{""x"":1375,""y"":824,""dx"":-76,""dy"":3,""t"":13364},{""x"":1364,""y"":806,""dx"":-87,""dy"":-15,""t"":13400},{""x"":1342,""y"":792,""dx"":-109,""dy"":-29,""t"":13431},{""x"":1342,""y"":792,""dx"":-109,""dy"":-29,""t"":13465},{""x"":1354,""y"":780,""dx"":-97,""dy"":-41,""t"":13498},{""x"":1356,""y"":775,""dx"":-95,""dy"":-46,""t"":13535},{""x"":1354,""y"":773,""dx"":-97,""dy"":-48,""t"":13566},{""x"":1362,""y"":776,""dx"":-89,""dy"":-45,""t"":13602},{""x"":1375,""y"":781,""dx"":-76,""dy"":-40,""t"":13635},{""x"":1379,""y"":758,""dx"":-72,""dy"":-63,""t"":13671},{""x"":1378,""y"":769,""dx"":-73,""dy"":-52,""t"":13703},{""x"":1374,""y"":798,""dx"":-77,""dy"":-23,""t"":13737},{""x"":1375,""y"":819,""dx"":-76,""dy"":-2,""t"":13773},{""x"":1370,""y"":817,""dx"":-81,""dy"":-4,""t"":13805},{""x"":1356,""y"":809,""dx"":-95,""dy"":-12,""t"":13839},{""x"":1343,""y"":801,""dx"":-108,""dy"":-20,""t"":13873},{""x"":1327,""y"":811,""dx"":-124,""dy"":-10,""t"":13909},{""x"":1328,""y"":832,""dx"":-123,""dy"":11,""t"":13941},{""x"":1329,""y"":850,""dx"":-122,""dy"":29,""t"":13975},{""x"":1333,""y"":860,""dx"":-118,""dy"":39,""t"":14009},{""x"":1329,""y"":869,""dx"":-122,""dy"":48,""t"":14045},{""x"":1290,""y"":856,""dx"":-161,""dy"":35,""t"":14077},{""x"":1254,""y"":837,""dx"":-197,""dy"":16,""t"":14111},{""x"":1277,""y"":849,""dx"":-174,""dy"":28,""t"":14148},{""x"":1315,""y"":863,""dx"":-136,""dy"":42,""t"":14179},{""x"":1336,""y"":890,""dx"":-115,""dy"":69,""t"":14213},{""x"":1357,""y"":887,""dx"":-94,""dy"":66,""t"":14249},{""x"":1388,""y"":887,""dx"":-63,""dy"":66,""t"":14281},{""x"":1404,""y"":878,""dx"":-47,""dy"":57,""t"":14315},{""x"":1418,""y"":870,""dx"":-33,""dy"":49,""t"":14351},{""x"":1431,""y"":860,""dx"":-20,""dy"":39,""t"":14385},{""x"":1436,""y"":849,""dx"":-15,""dy"":28,""t"":14417},{""x"":1426,""y"":854,""dx"":-25,""dy"":33,""t"":14453},{""x"":1439,""y"":865,""dx"":-12,""dy"":44,""t"":14485},{""x"":1438,""y"":858,""dx"":-13,""dy"":37,""t"":14519},{""x"":1434,""y"":849,""dx"":-17,""dy"":28,""t"":14555},{""x"":1428,""y"":831,""dx"":-23,""dy"":10,""t"":14588},{""x"":1420,""y"":829,""dx"":-31,""dy"":8,""t"":14622},{""x"":1427,""y"":848,""dx"":-24,""dy"":27,""t"":14657},{""x"":1438,""y"":863,""dx"":-13,""dy"":42,""t"":14689},{""x"":1431,""y"":858,""dx"":-20,""dy"":37,""t"":14723},{""x"":1428,""y"":887,""dx"":-23,""dy"":66,""t"":14760},{""x"":1427,""y"":923,""dx"":-24,""dy"":102,""t"":14791},{""x"":1425,""y"":930,""dx"":-26,""dy"":109,""t"":14825},{""x"":1405,""y"":943,""dx"":-46,""dy"":122,""t"":14862},{""x"":1409,""y"":948,""dx"":-42,""dy"":127,""t"":14894},{""x"":1423,""y"":944,""dx"":-28,""dy"":123,""t"":14928},{""x"":1419,""y"":930,""dx"":-32,""dy"":109,""t"":14964},{""x"":1415,""y"":932,""dx"":-36,""dy"":111,""t"":14995}]]","[100,100,100,77.96610169491525,100]","[{""x"":-29.916666666666668,""y"":60.1,""r"":60.4179996712659},{""x"":3.135593220338983,""y"":13.76271186440678,""r"":30.763010690989198},{""x"":-62.86440677966102,""y"":-57.79661016949152,""r"":50.14073843941312},{""x"":10.779661016949152,""y"":-147.4915254237288,""r"":62.11117951774782},{""x"":-68.11864406779661,""y"":17.23728813559322,""r"":60.42563051182903}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
"","html-keyboard-response","10","48952","0.0-6.0-0.0","","","","","4771"," ","","<p>回忆实验（6个刺激物）：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，500毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>要求：记忆所呈现刺激物和其对应的位置，根据目标提示选择对应刺激的位置，根据数字键盘的 ""4"", ""7"", ""9"", ""6"", ""3"", ""1"" 进行选择响应，如果不记得或者不存在选择""5""。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","50952","0.0-6.0-1.0","","","","","1489"," ","","<p>要求：记忆项目的形状。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","51975","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recall","[""4"",""1"",""6"",""6"",""4"",""6"",""4"",""9"",""6"",""4"",""3"",""3"",""9"",""1"",""3"",""3"",""3"",""4"",""7"",""7"",""4"",""4"",""9"",""1"",""4"",""6"",""3"",""1"",""6"",""6"",""3"",""1"",""1"",""6"",""1"",""7"",""7"",""7"",""6"",""6"",""9"",""3"",""9"",""4"",""3"",""9"",""9"",""1"",""9"",""7"",""4"",""4"",""4"",""3"",""7"",""7"",""7"",""1"",""9"",""3"",""3"",""7"",""7"",""9"",""6"",""9"",""1"",""9"",""7"",""6"",""1"",""1""]","500","shape","6","","","","","",""
