"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","3407","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3413","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","12344","0.0-2.0-0.0","","","","","8926","{""name"":""王炜"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","13904","0.0-2.0-1.0","","","","","1559","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","14632","0.0-3.0","","","","","725"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","30486","0.0-4.0","","","","","","","","","1463","","","","","","","","","","","","","","","",""
"","html-button-response","6","31880","0.0-5.0-0.0","","","","","1392","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","42153","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","43159","0.0-5.0-2.0","","","","","1006","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","60921","0.0-5.0-3.0","","","","","","","","","","[[{""x"":427,""y"":281,""dx"":-64,""dy"":0,""t"":990},{""x"":405,""y"":295,""dx"":-86,""dy"":14,""t"":1024},{""x"":399,""y"":332,""dx"":-92,""dy"":51,""t"":1059},{""x"":419,""y"":325,""dx"":-72,""dy"":44,""t"":1092},{""x"":444,""y"":341,""dx"":-47,""dy"":60,""t"":1126},{""x"":452,""y"":362,""dx"":-39,""dy"":81,""t"":1160},{""x"":460,""y"":358,""dx"":-31,""dy"":77,""t"":1194},{""x"":466,""y"":366,""dx"":-25,""dy"":85,""t"":1228},{""x"":470,""y"":344,""dx"":-21,""dy"":63,""t"":1262},{""x"":475,""y"":338,""dx"":-16,""dy"":57,""t"":1296},{""x"":449,""y"":355,""dx"":-42,""dy"":74,""t"":1329},{""x"":435,""y"":372,""dx"":-56,""dy"":91,""t"":1365},{""x"":424,""y"":386,""dx"":-67,""dy"":105,""t"":1396},{""x"":440,""y"":368,""dx"":-51,""dy"":87,""t"":1432},{""x"":448,""y"":359,""dx"":-43,""dy"":78,""t"":1466},{""x"":449,""y"":355,""dx"":-42,""dy"":74,""t"":1500},{""x"":455,""y"":353,""dx"":-36,""dy"":72,""t"":1534},{""x"":462,""y"":344,""dx"":-29,""dy"":63,""t"":1568},{""x"":443,""y"":370,""dx"":-48,""dy"":89,""t"":1602},{""x"":447,""y"":357,""dx"":-44,""dy"":76,""t"":1637},{""x"":427,""y"":376,""dx"":-64,""dy"":95,""t"":1670},{""x"":422,""y"":385,""dx"":-69,""dy"":104,""t"":1704},{""x"":399,""y"":370,""dx"":-92,""dy"":89,""t"":1738},{""x"":409,""y"":351,""dx"":-82,""dy"":70,""t"":1771},{""x"":418,""y"":335,""dx"":-73,""dy"":54,""t"":1804},{""x"":424,""y"":335,""dx"":-67,""dy"":54,""t"":1840},{""x"":419,""y"":334,""dx"":-72,""dy"":53,""t"":1874},{""x"":436,""y"":333,""dx"":-55,""dy"":52,""t"":1907},{""x"":450,""y"":333,""dx"":-41,""dy"":52,""t"":1942},{""x"":448,""y"":354,""dx"":-43,""dy"":73,""t"":1976},{""x"":453,""y"":370,""dx"":-38,""dy"":89,""t"":2010},{""x"":430,""y"":405,""dx"":-61,""dy"":124,""t"":2044},{""x"":417,""y"":434,""dx"":-74,""dy"":153,""t"":2079},{""x"":398,""y"":451,""dx"":-93,""dy"":170,""t"":2113},{""x"":386,""y"":461,""dx"":-105,""dy"":180,""t"":2147},{""x"":387,""y"":453,""dx"":-104,""dy"":172,""t"":2181},{""x"":393,""y"":437,""dx"":-98,""dy"":156,""t"":2214},{""x"":384,""y"":426,""dx"":-107,""dy"":145,""t"":2248},{""x"":393,""y"":411,""dx"":-98,""dy"":130,""t"":2282},{""x"":392,""y"":394,""dx"":-99,""dy"":113,""t"":2316},{""x"":404,""y"":381,""dx"":-87,""dy"":100,""t"":2350},{""x"":412,""y"":372,""dx"":-79,""dy"":91,""t"":2385},{""x"":426,""y"":372,""dx"":-65,""dy"":91,""t"":2418},{""x"":430,""y"":367,""dx"":-61,""dy"":86,""t"":2452},{""x"":416,""y"":360,""dx"":-75,""dy"":79,""t"":2487},{""x"":389,""y"":377,""dx"":-102,""dy"":96,""t"":2520},{""x"":384,""y"":384,""dx"":-107,""dy"":103,""t"":2555},{""x"":357,""y"":404,""dx"":-134,""dy"":123,""t"":2588},{""x"":345,""y"":410,""dx"":-146,""dy"":129,""t"":2622},{""x"":345,""y"":416,""dx"":-146,""dy"":135,""t"":2657},{""x"":348,""y"":414,""dx"":-143,""dy"":133,""t"":2690},{""x"":351,""y"":411,""dx"":-140,""dy"":130,""t"":2724},{""x"":358,""y"":409,""dx"":-133,""dy"":128,""t"":2758},{""x"":353,""y"":412,""dx"":-138,""dy"":131,""t"":2792},{""x"":371,""y"":401,""dx"":-120,""dy"":120,""t"":2826},{""x"":387,""y"":396,""dx"":-104,""dy"":115,""t"":2860},{""x"":392,""y"":390,""dx"":-99,""dy"":109,""t"":2894},{""x"":389,""y"":362,""dx"":-102,""dy"":81,""t"":2928},{""x"":393,""y"":355,""dx"":-98,""dy"":74,""t"":2961},{""x"":379,""y"":362,""dx"":-112,""dy"":81,""t"":2996}],[{""x"":1454,""y"":283,""dx"":3,""dy"":2,""t"":4016},{""x"":1445,""y"":261,""dx"":-6,""dy"":-20,""t"":4050},{""x"":1444,""y"":259,""dx"":-7,""dy"":-22,""t"":4117},{""x"":1432,""y"":249,""dx"":-19,""dy"":-32,""t"":4152},{""x"":1418,""y"":242,""dx"":-33,""dy"":-39,""t"":4186},{""x"":1406,""y"":231,""dx"":-45,""dy"":-50,""t"":4220},{""x"":1398,""y"":265,""dx"":-53,""dy"":-16,""t"":4254},{""x"":1386,""y"":280,""dx"":-65,""dy"":-1,""t"":4288},{""x"":1388,""y"":307,""dx"":-63,""dy"":26,""t"":4322},{""x"":1419,""y"":329,""dx"":-32,""dy"":48,""t"":4356},{""x"":1424,""y"":355,""dx"":-27,""dy"":74,""t"":4389},{""x"":1426,""y"":386,""dx"":-25,""dy"":105,""t"":4424},{""x"":1429,""y"":404,""dx"":-22,""dy"":123,""t"":4458},{""x"":1403,""y"":384,""dx"":-48,""dy"":103,""t"":4492},{""x"":1401,""y"":388,""dx"":-50,""dy"":107,""t"":4526},{""x"":1417,""y"":401,""dx"":-34,""dy"":120,""t"":4560},{""x"":1419,""y"":406,""dx"":-32,""dy"":125,""t"":4594},{""x"":1405,""y"":391,""dx"":-46,""dy"":110,""t"":4628},{""x"":1369,""y"":371,""dx"":-82,""dy"":90,""t"":4662},{""x"":1352,""y"":350,""dx"":-99,""dy"":69,""t"":4696},{""x"":1368,""y"":354,""dx"":-83,""dy"":73,""t"":4730},{""x"":1369,""y"":355,""dx"":-82,""dy"":74,""t"":4764},{""x"":1377,""y"":351,""dx"":-74,""dy"":70,""t"":4799},{""x"":1368,""y"":330,""dx"":-83,""dy"":49,""t"":4832},{""x"":1391,""y"":349,""dx"":-60,""dy"":68,""t"":4865},{""x"":1384,""y"":342,""dx"":-67,""dy"":61,""t"":4900},{""x"":1378,""y"":336,""dx"":-73,""dy"":55,""t"":4932},{""x"":1376,""y"":352,""dx"":-75,""dy"":71,""t"":4969},{""x"":1383,""y"":359,""dx"":-68,""dy"":78,""t"":5002},{""x"":1377,""y"":340,""dx"":-74,""dy"":59,""t"":5036},{""x"":1366,""y"":351,""dx"":-85,""dy"":70,""t"":5070},{""x"":1363,""y"":329,""dx"":-88,""dy"":48,""t"":5104},{""x"":1401,""y"":341,""dx"":-50,""dy"":60,""t"":5138},{""x"":1407,""y"":365,""dx"":-44,""dy"":84,""t"":5172},{""x"":1436,""y"":372,""dx"":-15,""dy"":91,""t"":5206},{""x"":1451,""y"":366,""dx"":0,""dy"":85,""t"":5240},{""x"":1475,""y"":374,""dx"":24,""dy"":93,""t"":5274},{""x"":1491,""y"":400,""dx"":40,""dy"":119,""t"":5309},{""x"":1504,""y"":422,""dx"":53,""dy"":141,""t"":5340},{""x"":1503,""y"":415,""dx"":52,""dy"":134,""t"":5376},{""x"":1514,""y"":415,""dx"":63,""dy"":134,""t"":5409},{""x"":1518,""y"":425,""dx"":67,""dy"":144,""t"":5444},{""x"":1519,""y"":413,""dx"":68,""dy"":132,""t"":5478},{""x"":1518,""y"":397,""dx"":67,""dy"":116,""t"":5512},{""x"":1516,""y"":403,""dx"":65,""dy"":122,""t"":5546},{""x"":1513,""y"":395,""dx"":62,""dy"":114,""t"":5581},{""x"":1505,""y"":370,""dx"":54,""dy"":89,""t"":5614},{""x"":1504,""y"":376,""dx"":53,""dy"":95,""t"":5649},{""x"":1496,""y"":368,""dx"":45,""dy"":87,""t"":5682},{""x"":1489,""y"":360,""dx"":38,""dy"":79,""t"":5716},{""x"":1481,""y"":356,""dx"":30,""dy"":75,""t"":5750},{""x"":1487,""y"":352,""dx"":36,""dy"":71,""t"":5784},{""x"":1495,""y"":343,""dx"":44,""dy"":62,""t"":5818},{""x"":1495,""y"":352,""dx"":44,""dy"":71,""t"":5852},{""x"":1495,""y"":376,""dx"":44,""dy"":95,""t"":5886},{""x"":1482,""y"":365,""dx"":31,""dy"":84,""t"":5920},{""x"":1461,""y"":372,""dx"":10,""dy"":91,""t"":5954},{""x"":1477,""y"":376,""dx"":26,""dy"":95,""t"":5988}],[{""x"":840,""y"":517,""dx"":-131,""dy"":-34,""t"":7009},{""x"":845,""y"":527,""dx"":-126,""dy"":-24,""t"":7043},{""x"":847,""y"":535,""dx"":-124,""dy"":-16,""t"":7076},{""x"":856,""y"":537,""dx"":-115,""dy"":-14,""t"":7110},{""x"":863,""y"":547,""dx"":-108,""dy"":-4,""t"":7144},{""x"":868,""y"":540,""dx"":-103,""dy"":-11,""t"":7179},{""x"":867,""y"":529,""dx"":-104,""dy"":-22,""t"":7213},{""x"":879,""y"":542,""dx"":-92,""dy"":-9,""t"":7246},{""x"":889,""y"":541,""dx"":-82,""dy"":-10,""t"":7280},{""x"":899,""y"":544,""dx"":-72,""dy"":-7,""t"":7314},{""x"":899,""y"":549,""dx"":-72,""dy"":-2,""t"":7349},{""x"":895,""y"":546,""dx"":-76,""dy"":-5,""t"":7382},{""x"":894,""y"":549,""dx"":-77,""dy"":-2,""t"":7416},{""x"":886,""y"":552,""dx"":-85,""dy"":1,""t"":7451},{""x"":888,""y"":552,""dx"":-83,""dy"":1,""t"":7484},{""x"":885,""y"":551,""dx"":-86,""dy"":0,""t"":7518},{""x"":882,""y"":557,""dx"":-89,""dy"":6,""t"":7552},{""x"":885,""y"":555,""dx"":-86,""dy"":4,""t"":7586},{""x"":891,""y"":556,""dx"":-80,""dy"":5,""t"":7620},{""x"":891,""y"":565,""dx"":-80,""dy"":14,""t"":7654},{""x"":896,""y"":562,""dx"":-75,""dy"":11,""t"":7688},{""x"":901,""y"":565,""dx"":-70,""dy"":14,""t"":7722},{""x"":913,""y"":572,""dx"":-58,""dy"":21,""t"":7757},{""x"":910,""y"":573,""dx"":-61,""dy"":22,""t"":7790},{""x"":907,""y"":579,""dx"":-64,""dy"":28,""t"":7823},{""x"":903,""y"":590,""dx"":-68,""dy"":39,""t"":7858},{""x"":896,""y"":595,""dx"":-75,""dy"":44,""t"":7892},{""x"":901,""y"":602,""dx"":-70,""dy"":51,""t"":7927},{""x"":911,""y"":604,""dx"":-60,""dy"":53,""t"":7960},{""x"":900,""y"":606,""dx"":-71,""dy"":55,""t"":7994},{""x"":908,""y"":596,""dx"":-63,""dy"":45,""t"":8028},{""x"":910,""y"":591,""dx"":-61,""dy"":40,""t"":8062},{""x"":909,""y"":586,""dx"":-62,""dy"":35,""t"":8096},{""x"":912,""y"":574,""dx"":-59,""dy"":23,""t"":8129},{""x"":915,""y"":591,""dx"":-56,""dy"":40,""t"":8164},{""x"":934,""y"":588,""dx"":-37,""dy"":37,""t"":8199},{""x"":939,""y"":586,""dx"":-32,""dy"":35,""t"":8232},{""x"":947,""y"":584,""dx"":-24,""dy"":33,""t"":8267},{""x"":954,""y"":593,""dx"":-17,""dy"":42,""t"":8300},{""x"":958,""y"":587,""dx"":-13,""dy"":36,""t"":8334},{""x"":956,""y"":591,""dx"":-15,""dy"":40,""t"":8368},{""x"":957,""y"":584,""dx"":-14,""dy"":33,""t"":8402},{""x"":945,""y"":581,""dx"":-26,""dy"":30,""t"":8437},{""x"":936,""y"":583,""dx"":-35,""dy"":32,""t"":8470},{""x"":929,""y"":585,""dx"":-42,""dy"":34,""t"":8501},{""x"":930,""y"":591,""dx"":-41,""dy"":40,""t"":8538},{""x"":923,""y"":588,""dx"":-48,""dy"":37,""t"":8572},{""x"":921,""y"":613,""dx"":-50,""dy"":62,""t"":8607},{""x"":917,""y"":636,""dx"":-54,""dy"":85,""t"":8640},{""x"":913,""y"":631,""dx"":-58,""dy"":80,""t"":8673},{""x"":885,""y"":604,""dx"":-86,""dy"":53,""t"":8709},{""x"":898,""y"":586,""dx"":-73,""dy"":35,""t"":8742},{""x"":909,""y"":572,""dx"":-62,""dy"":21,""t"":8776},{""x"":911,""y"":579,""dx"":-60,""dy"":28,""t"":8810},{""x"":926,""y"":561,""dx"":-45,""dy"":10,""t"":8844},{""x"":934,""y"":551,""dx"":-37,""dy"":0,""t"":8879},{""x"":940,""y"":544,""dx"":-31,""dy"":-7,""t"":8910},{""x"":938,""y"":564,""dx"":-33,""dy"":13,""t"":8946},{""x"":929,""y"":567,""dx"":-42,""dy"":16,""t"":8981},{""x"":921,""y"":574,""dx"":-50,""dy"":23,""t"":9014}],[{""x"":344,""y"":767,""dx"":-147,""dy"":-54,""t"":10033},{""x"":360,""y"":789,""dx"":-131,""dy"":-32,""t"":10068},{""x"":384,""y"":814,""dx"":-107,""dy"":-7,""t"":10100},{""x"":399,""y"":825,""dx"":-92,""dy"":4,""t"":10136},{""x"":421,""y"":815,""dx"":-70,""dy"":-6,""t"":10171},{""x"":451,""y"":787,""dx"":-40,""dy"":-34,""t"":10204},{""x"":475,""y"":767,""dx"":-16,""dy"":-54,""t"":10238},{""x"":491,""y"":751,""dx"":0,""dy"":-70,""t"":10272},{""x"":528,""y"":779,""dx"":37,""dy"":-42,""t"":10305},{""x"":542,""y"":800,""dx"":51,""dy"":-21,""t"":10339},{""x"":558,""y"":821,""dx"":67,""dy"":0,""t"":10375},{""x"":571,""y"":831,""dx"":80,""dy"":10,""t"":10408},{""x"":584,""y"":844,""dx"":93,""dy"":23,""t"":10442},{""x"":590,""y"":851,""dx"":99,""dy"":30,""t"":10476},{""x"":594,""y"":855,""dx"":103,""dy"":34,""t"":10508},{""x"":597,""y"":862,""dx"":106,""dy"":41,""t"":10544},{""x"":599,""y"":860,""dx"":108,""dy"":39,""t"":10577},{""x"":603,""y"":867,""dx"":112,""dy"":46,""t"":10613},{""x"":591,""y"":861,""dx"":100,""dy"":40,""t"":10646},{""x"":585,""y"":859,""dx"":94,""dy"":38,""t"":10680},{""x"":578,""y"":850,""dx"":87,""dy"":29,""t"":10714},{""x"":579,""y"":851,""dx"":88,""dy"":30,""t"":10748},{""x"":572,""y"":854,""dx"":81,""dy"":33,""t"":10782},{""x"":573,""y"":861,""dx"":82,""dy"":40,""t"":10816},{""x"":573,""y"":846,""dx"":82,""dy"":25,""t"":10850},{""x"":560,""y"":822,""dx"":69,""dy"":1,""t"":10884},{""x"":587,""y"":826,""dx"":96,""dy"":5,""t"":10918},{""x"":599,""y"":846,""dx"":108,""dy"":25,""t"":10952},{""x"":591,""y"":826,""dx"":100,""dy"":5,""t"":10986},{""x"":558,""y"":813,""dx"":67,""dy"":-8,""t"":11020},{""x"":524,""y"":795,""dx"":33,""dy"":-26,""t"":11054},{""x"":488,""y"":779,""dx"":-3,""dy"":-42,""t"":11088},{""x"":445,""y"":766,""dx"":-46,""dy"":-55,""t"":11122},{""x"":415,""y"":750,""dx"":-76,""dy"":-71,""t"":11157},{""x"":398,""y"":753,""dx"":-93,""dy"":-68,""t"":11190},{""x"":403,""y"":766,""dx"":-88,""dy"":-55,""t"":11224},{""x"":393,""y"":762,""dx"":-98,""dy"":-59,""t"":11258},{""x"":403,""y"":763,""dx"":-88,""dy"":-58,""t"":11292},{""x"":375,""y"":747,""dx"":-116,""dy"":-74,""t"":11327},{""x"":387,""y"":763,""dx"":-104,""dy"":-58,""t"":11360},{""x"":376,""y"":765,""dx"":-115,""dy"":-56,""t"":11395},{""x"":383,""y"":754,""dx"":-108,""dy"":-67,""t"":11428},{""x"":391,""y"":739,""dx"":-100,""dy"":-82,""t"":11462},{""x"":389,""y"":721,""dx"":-102,""dy"":-100,""t"":11497},{""x"":392,""y"":722,""dx"":-99,""dy"":-99,""t"":11531},{""x"":393,""y"":710,""dx"":-98,""dy"":-111,""t"":11564},{""x"":389,""y"":691,""dx"":-102,""dy"":-130,""t"":11599},{""x"":398,""y"":684,""dx"":-93,""dy"":-137,""t"":11632},{""x"":394,""y"":677,""dx"":-97,""dy"":-144,""t"":11666},{""x"":385,""y"":685,""dx"":-106,""dy"":-136,""t"":11700},{""x"":378,""y"":696,""dx"":-113,""dy"":-125,""t"":11735},{""x"":406,""y"":710,""dx"":-85,""dy"":-111,""t"":11769},{""x"":442,""y"":734,""dx"":-49,""dy"":-87,""t"":11802},{""x"":456,""y"":743,""dx"":-35,""dy"":-78,""t"":11836},{""x"":471,""y"":754,""dx"":-20,""dy"":-67,""t"":11870},{""x"":483,""y"":781,""dx"":-8,""dy"":-40,""t"":11904},{""x"":495,""y"":791,""dx"":4,""dy"":-30,""t"":11937},{""x"":500,""y"":804,""dx"":9,""dy"":-17,""t"":11971},{""x"":502,""y"":801,""dx"":11,""dy"":-20,""t"":12005}],[{""x"":1334,""y"":746,""dx"":-117,""dy"":-75,""t"":13060},{""x"":1340,""y"":759,""dx"":-111,""dy"":-62,""t"":13094},{""x"":1353,""y"":766,""dx"":-98,""dy"":-55,""t"":13128},{""x"":1367,""y"":776,""dx"":-84,""dy"":-45,""t"":13162},{""x"":1369,""y"":787,""dx"":-82,""dy"":-34,""t"":13196},{""x"":1327,""y"":778,""dx"":-124,""dy"":-43,""t"":13230},{""x"":1336,""y"":781,""dx"":-115,""dy"":-40,""t"":13264},{""x"":1301,""y"":768,""dx"":-150,""dy"":-53,""t"":13336},{""x"":1307,""y"":770,""dx"":-144,""dy"":-51,""t"":13366},{""x"":1316,""y"":777,""dx"":-135,""dy"":-44,""t"":13400},{""x"":1310,""y"":773,""dx"":-141,""dy"":-48,""t"":13434},{""x"":1333,""y"":781,""dx"":-118,""dy"":-40,""t"":13468},{""x"":1335,""y"":790,""dx"":-116,""dy"":-31,""t"":13503},{""x"":1347,""y"":781,""dx"":-104,""dy"":-40,""t"":13537},{""x"":1339,""y"":785,""dx"":-112,""dy"":-36,""t"":13570},{""x"":1330,""y"":769,""dx"":-121,""dy"":-52,""t"":13605},{""x"":1330,""y"":761,""dx"":-121,""dy"":-60,""t"":13638},{""x"":1329,""y"":753,""dx"":-122,""dy"":-68,""t"":13669},{""x"":1326,""y"":761,""dx"":-125,""dy"":-60,""t"":13706},{""x"":1320,""y"":760,""dx"":-131,""dy"":-61,""t"":13740},{""x"":1327,""y"":758,""dx"":-124,""dy"":-63,""t"":13774},{""x"":1321,""y"":753,""dx"":-130,""dy"":-68,""t"":13808},{""x"":1328,""y"":768,""dx"":-123,""dy"":-53,""t"":13842},{""x"":1320,""y"":758,""dx"":-131,""dy"":-63,""t"":13877},{""x"":1323,""y"":761,""dx"":-128,""dy"":-60,""t"":13910},{""x"":1344,""y"":765,""dx"":-107,""dy"":-56,""t"":13944},{""x"":1351,""y"":756,""dx"":-100,""dy"":-65,""t"":13978},{""x"":1337,""y"":749,""dx"":-114,""dy"":-72,""t"":14012},{""x"":1346,""y"":750,""dx"":-105,""dy"":-71,""t"":14046},{""x"":1353,""y"":750,""dx"":-98,""dy"":-71,""t"":14077},{""x"":1346,""y"":747,""dx"":-105,""dy"":-74,""t"":14114},{""x"":1352,""y"":755,""dx"":-99,""dy"":-66,""t"":14148},{""x"":1358,""y"":773,""dx"":-93,""dy"":-48,""t"":14182},{""x"":1359,""y"":775,""dx"":-92,""dy"":-46,""t"":14216},{""x"":1355,""y"":790,""dx"":-96,""dy"":-31,""t"":14250},{""x"":1349,""y"":785,""dx"":-102,""dy"":-36,""t"":14284},{""x"":1350,""y"":792,""dx"":-101,""dy"":-29,""t"":14318},{""x"":1360,""y"":799,""dx"":-91,""dy"":-22,""t"":14352},{""x"":1369,""y"":798,""dx"":-82,""dy"":-23,""t"":14386},{""x"":1376,""y"":806,""dx"":-75,""dy"":-15,""t"":14420},{""x"":1374,""y"":799,""dx"":-77,""dy"":-22,""t"":14454},{""x"":1388,""y"":803,""dx"":-63,""dy"":-18,""t"":14489},{""x"":1394,""y"":793,""dx"":-57,""dy"":-28,""t"":14522},{""x"":1402,""y"":793,""dx"":-49,""dy"":-28,""t"":14555},{""x"":1407,""y"":796,""dx"":-44,""dy"":-25,""t"":14591},{""x"":1414,""y"":795,""dx"":-37,""dy"":-26,""t"":14625},{""x"":1392,""y"":792,""dx"":-59,""dy"":-29,""t"":14658},{""x"":1373,""y"":792,""dx"":-78,""dy"":-29,""t"":14693},{""x"":1362,""y"":777,""dx"":-89,""dy"":-44,""t"":14726},{""x"":1323,""y"":770,""dx"":-128,""dy"":-51,""t"":14760},{""x"":1322,""y"":769,""dx"":-129,""dy"":-52,""t"":14795},{""x"":1319,""y"":759,""dx"":-132,""dy"":-62,""t"":14828},{""x"":1302,""y"":762,""dx"":-149,""dy"":-59,""t"":14862},{""x"":1301,""y"":761,""dx"":-150,""dy"":-60,""t"":14896},{""x"":1294,""y"":767,""dx"":-157,""dy"":-54,""t"":14930},{""x"":1285,""y"":770,""dx"":-166,""dy"":-51,""t"":14964},{""x"":1278,""y"":773,""dx"":-173,""dy"":-48,""t"":14998},{""x"":1277,""y"":776,""dx"":-174,""dy"":-45,""t"":15032}]]","[96.66666666666667,100,100,100,100]","[{""x"":-77.95,""y"":93.4,""r"":61.28858209220607},{""x"":-13.620689655172415,""y"":73.46551724137932,""r"":92.55720297164875},{""x"":-64.48333333333333,""y"":20.666666666666668,""r"":43.58666632337956},{""x"":-11.491525423728813,""y"":-34.45762711864407,""r"":101.84739416297302},{""x"":-109.96551724137932,""y"":-47.60344827586207,""r"":37.58451118355073}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.21","validate","","","","","","","","","",""
"","html-keyboard-response","10","62023","0.0-6.0-0.0","","","","","1101"," ","","<p>识别实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，500毫秒的空白间隔后，会呈现一个四个项目的阵列。</p> <p>要求：记忆单个项目的<b>形状（该条件下，颜色为黑色）</b>或者<b>颜色（该条件下，形状为圆且颜色不为黑）</b>，忽略其拓扑特征，并在多个项目阵列中快速找到，</p>并根据数字键盘的 "" 4 "" ,"" 8 "","" 6 "","" 2 "" 进行选择响应，如果不记得或者不存在选择""5""。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","63559","0.0-6.0-1.0","","","","","1034"," ","","<p>要求：记忆单个项目的形状。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","64583","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""4"",""2"",""2"",""5"",""6"",""4"",""5"",""5"",""4"",""8"",""6"",""5"",""8"",""4"",""5"",""2"",""4"",""4"",""5"",""4"",""2"",""6"",""2"",""5"",""8"",""8"",""8"",""8"",""6"",""2"",""6"",""4"",""6"",""6"",""2"",""2"",""6"",""4"",""5"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""2"",""5""]","1500","4","shape","","","","","",""
"","canvas-keyboard-response","13","64706","0.0-6.0-2.0-1.0","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""4"",""2"",""2"",""5"",""6"",""4"",""5"",""5"",""4"",""8"",""6"",""5"",""8"",""4"",""5"",""2"",""4"",""4"",""5"",""4"",""2"",""6"",""2"",""5"",""8"",""8"",""8"",""8"",""6"",""2"",""6"",""4"",""6"",""6"",""2"",""2"",""6"",""4"",""5"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""2"",""5""]","1500","4","shape","","","","","",""
"","canvas-keyboard-response","14","66934","0.0-6.0-2.0-2.0","","","","","705","5","","[""hexagram_1"",""rect"",""triangle"",""circle""]","","","","","","","","","","","","[{""x"":831,""y"":619,""t"":4},{""x"":863,""y"":616,""t"":41},{""x"":896,""y"":663,""t"":72},{""x"":928,""y"":689,""t"":116},{""x"":938,""y"":722,""t"":144},{""x"":934,""y"":720,""t"":174},{""x"":936,""y"":720,""t"":217},{""x"":941,""y"":723,""t"":244},{""x"":938,""y"":725,""t"":276},{""x"":914,""y"":738,""t"":315},{""x"":869,""y"":749,""t"":344},{""x"":848,""y"":767,""t"":387},{""x"":817,""y"":742,""t"":414},{""x"":806,""y"":743,""t"":446},{""x"":777,""y"":705,""t"":489},{""x"":758,""y"":688,""t"":515},{""x"":786,""y"":685,""t"":548},{""x"":813,""y"":734,""t"":585},{""x"":840,""y"":764,""t"":616},{""x"":871,""y"":801,""t"":649}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","star_1","5","true","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]"
"","canvas-keyboard-response","15","67965","0.0-6.0-2.0-0.1","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""4"",""2"",""2"",""5"",""6"",""4"",""5"",""5"",""4"",""8"",""6"",""5"",""8"",""4"",""5"",""2"",""4"",""4"",""5"",""4"",""2"",""6"",""2"",""5"",""8"",""8"",""8"",""8"",""6"",""2"",""6"",""4"",""6"",""6"",""2"",""2"",""6"",""4"",""5"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""2"",""5""]","1500","4","shape","","","","","",""
