"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","4051","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4057","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7434","0.0-2.0-0.0","","","","","3374","{""name"":""范雨祥"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","8395","0.0-2.0-1.0","","","","","959","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","8898","0.0-3.0","","","","","501"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","17970","0.0-4.0","","","","","","","","","744","","","","","","","","","","","","","","","",""
"","html-button-response","6","18738","0.0-5.0-0.0","","","","","766","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","28518","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","29218","0.0-5.0-2.0","","","","","700","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","46355","0.0-5.0-3.0","","","","","","","","","","[[{""x"":489,""y"":327,""dx"":-2,""dy"":46,""t"":989},{""x"":490,""y"":333,""dx"":-1,""dy"":52,""t"":1023},{""x"":488,""y"":343,""dx"":-3,""dy"":62,""t"":1058},{""x"":479,""y"":375,""dx"":-12,""dy"":94,""t"":1092},{""x"":479,""y"":378,""dx"":-12,""dy"":97,""t"":1126},{""x"":479,""y"":359,""dx"":-12,""dy"":78,""t"":1159},{""x"":478,""y"":352,""dx"":-13,""dy"":71,""t"":1194},{""x"":477,""y"":347,""dx"":-14,""dy"":66,""t"":1225},{""x"":474,""y"":343,""dx"":-17,""dy"":62,""t"":1261},{""x"":481,""y"":335,""dx"":-10,""dy"":54,""t"":1296},{""x"":479,""y"":352,""dx"":-12,""dy"":71,""t"":1329},{""x"":478,""y"":358,""dx"":-13,""dy"":77,""t"":1365},{""x"":485,""y"":367,""dx"":-6,""dy"":86,""t"":1397},{""x"":489,""y"":360,""dx"":-2,""dy"":79,""t"":1432},{""x"":491,""y"":347,""dx"":0,""dy"":66,""t"":1465},{""x"":495,""y"":326,""dx"":4,""dy"":45,""t"":1500},{""x"":495,""y"":358,""dx"":4,""dy"":77,""t"":1535},{""x"":491,""y"":383,""dx"":0,""dy"":102,""t"":1568},{""x"":496,""y"":380,""dx"":5,""dy"":99,""t"":1601},{""x"":501,""y"":398,""dx"":10,""dy"":117,""t"":1636},{""x"":500,""y"":367,""dx"":9,""dy"":86,""t"":1671},{""x"":502,""y"":351,""dx"":11,""dy"":70,""t"":1704},{""x"":502,""y"":355,""dx"":11,""dy"":74,""t"":1738},{""x"":501,""y"":362,""dx"":10,""dy"":81,""t"":1772},{""x"":507,""y"":343,""dx"":16,""dy"":62,""t"":1806},{""x"":497,""y"":309,""dx"":6,""dy"":28,""t"":1840},{""x"":496,""y"":304,""dx"":5,""dy"":23,""t"":1874},{""x"":498,""y"":299,""dx"":7,""dy"":18,""t"":1908},{""x"":496,""y"":291,""dx"":5,""dy"":10,""t"":1943},{""x"":504,""y"":281,""dx"":13,""dy"":0,""t"":1975},{""x"":498,""y"":281,""dx"":7,""dy"":0,""t"":2009},{""x"":483,""y"":287,""dx"":-8,""dy"":6,""t"":2044},{""x"":485,""y"":293,""dx"":-6,""dy"":12,""t"":2078},{""x"":482,""y"":297,""dx"":-9,""dy"":16,""t"":2113},{""x"":487,""y"":263,""dx"":-4,""dy"":-18,""t"":2146},{""x"":483,""y"":272,""dx"":-8,""dy"":-9,""t"":2180},{""x"":472,""y"":271,""dx"":-19,""dy"":-10,""t"":2213},{""x"":473,""y"":290,""dx"":-18,""dy"":9,""t"":2247},{""x"":478,""y"":290,""dx"":-13,""dy"":9,""t"":2282},{""x"":479,""y"":296,""dx"":-12,""dy"":15,""t"":2315},{""x"":479,""y"":315,""dx"":-12,""dy"":34,""t"":2350},{""x"":484,""y"":314,""dx"":-7,""dy"":33,""t"":2384},{""x"":489,""y"":312,""dx"":-2,""dy"":31,""t"":2415},{""x"":486,""y"":309,""dx"":-5,""dy"":28,""t"":2452},{""x"":490,""y"":320,""dx"":-1,""dy"":39,""t"":2486},{""x"":501,""y"":328,""dx"":10,""dy"":47,""t"":2520},{""x"":501,""y"":314,""dx"":10,""dy"":33,""t"":2553},{""x"":503,""y"":324,""dx"":12,""dy"":43,""t"":2587},{""x"":506,""y"":332,""dx"":15,""dy"":51,""t"":2622},{""x"":500,""y"":333,""dx"":9,""dy"":52,""t"":2656},{""x"":496,""y"":336,""dx"":5,""dy"":55,""t"":2690},{""x"":497,""y"":328,""dx"":6,""dy"":47,""t"":2724},{""x"":497,""y"":336,""dx"":6,""dy"":55,""t"":2758},{""x"":500,""y"":332,""dx"":9,""dy"":51,""t"":2792},{""x"":502,""y"":329,""dx"":11,""dy"":48,""t"":2824},{""x"":499,""y"":327,""dx"":8,""dy"":46,""t"":2860},{""x"":498,""y"":340,""dx"":7,""dy"":59,""t"":2893},{""x"":487,""y"":358,""dx"":-4,""dy"":77,""t"":2927},{""x"":489,""y"":333,""dx"":-2,""dy"":52,""t"":2961}],[{""x"":1462,""y"":391,""dx"":11,""dy"":110,""t"":4016},{""x"":1459,""y"":403,""dx"":8,""dy"":122,""t"":4050},{""x"":1447,""y"":380,""dx"":-4,""dy"":99,""t"":4084},{""x"":1436,""y"":390,""dx"":-15,""dy"":109,""t"":4118},{""x"":1432,""y"":385,""dx"":-19,""dy"":104,""t"":4151},{""x"":1434,""y"":410,""dx"":-17,""dy"":129,""t"":4186},{""x"":1435,""y"":414,""dx"":-16,""dy"":133,""t"":4221},{""x"":1425,""y"":391,""dx"":-26,""dy"":110,""t"":4253},{""x"":1431,""y"":425,""dx"":-20,""dy"":144,""t"":4288},{""x"":1430,""y"":436,""dx"":-21,""dy"":155,""t"":4322},{""x"":1427,""y"":429,""dx"":-24,""dy"":148,""t"":4356},{""x"":1432,""y"":434,""dx"":-19,""dy"":153,""t"":4390},{""x"":1432,""y"":431,""dx"":-19,""dy"":150,""t"":4421},{""x"":1431,""y"":448,""dx"":-20,""dy"":167,""t"":4458},{""x"":1427,""y"":413,""dx"":-24,""dy"":132,""t"":4492},{""x"":1424,""y"":402,""dx"":-27,""dy"":121,""t"":4526},{""x"":1421,""y"":410,""dx"":-30,""dy"":129,""t"":4559},{""x"":1426,""y"":417,""dx"":-25,""dy"":136,""t"":4594},{""x"":1411,""y"":356,""dx"":-40,""dy"":75,""t"":4628},{""x"":1398,""y"":309,""dx"":-53,""dy"":28,""t"":4661},{""x"":1380,""y"":274,""dx"":-71,""dy"":-7,""t"":4696},{""x"":1384,""y"":286,""dx"":-67,""dy"":5,""t"":4730},{""x"":1393,""y"":325,""dx"":-58,""dy"":44,""t"":4764},{""x"":1400,""y"":359,""dx"":-51,""dy"":78,""t"":4796},{""x"":1415,""y"":378,""dx"":-36,""dy"":97,""t"":4831},{""x"":1414,""y"":401,""dx"":-37,""dy"":120,""t"":4866},{""x"":1426,""y"":398,""dx"":-25,""dy"":117,""t"":4901},{""x"":1426,""y"":398,""dx"":-25,""dy"":117,""t"":4934},{""x"":1435,""y"":426,""dx"":-16,""dy"":145,""t"":4968},{""x"":1433,""y"":409,""dx"":-18,""dy"":128,""t"":5002},{""x"":1435,""y"":378,""dx"":-16,""dy"":97,""t"":5036},{""x"":1438,""y"":362,""dx"":-13,""dy"":81,""t"":5070},{""x"":1441,""y"":347,""dx"":-10,""dy"":66,""t"":5103},{""x"":1429,""y"":338,""dx"":-22,""dy"":57,""t"":5137},{""x"":1436,""y"":360,""dx"":-15,""dy"":79,""t"":5173},{""x"":1428,""y"":389,""dx"":-23,""dy"":108,""t"":5205},{""x"":1423,""y"":414,""dx"":-28,""dy"":133,""t"":5239},{""x"":1431,""y"":377,""dx"":-20,""dy"":96,""t"":5274},{""x"":1432,""y"":390,""dx"":-19,""dy"":109,""t"":5308},{""x"":1431,""y"":389,""dx"":-20,""dy"":108,""t"":5342},{""x"":1432,""y"":359,""dx"":-19,""dy"":78,""t"":5376},{""x"":1418,""y"":316,""dx"":-33,""dy"":35,""t"":5409},{""x"":1415,""y"":335,""dx"":-36,""dy"":54,""t"":5444},{""x"":1405,""y"":329,""dx"":-46,""dy"":48,""t"":5478},{""x"":1406,""y"":357,""dx"":-45,""dy"":76,""t"":5511},{""x"":1403,""y"":350,""dx"":-48,""dy"":69,""t"":5545},{""x"":1404,""y"":373,""dx"":-47,""dy"":92,""t"":5580},{""x"":1406,""y"":359,""dx"":-45,""dy"":78,""t"":5614},{""x"":1404,""y"":369,""dx"":-47,""dy"":88,""t"":5647},{""x"":1402,""y"":351,""dx"":-49,""dy"":70,""t"":5682},{""x"":1406,""y"":336,""dx"":-45,""dy"":55,""t"":5716},{""x"":1404,""y"":360,""dx"":-47,""dy"":79,""t"":5749},{""x"":1410,""y"":334,""dx"":-41,""dy"":53,""t"":5784},{""x"":1409,""y"":357,""dx"":-42,""dy"":76,""t"":5817},{""x"":1414,""y"":362,""dx"":-37,""dy"":81,""t"":5852},{""x"":1417,""y"":371,""dx"":-34,""dy"":90,""t"":5885},{""x"":1416,""y"":338,""dx"":-35,""dy"":57,""t"":5921},{""x"":1417,""y"":376,""dx"":-34,""dy"":95,""t"":5953},{""x"":1417,""y"":408,""dx"":-34,""dy"":127,""t"":5986}],[{""x"":1062,""y"":464,""dx"":91,""dy"":-87,""t"":7008},{""x"":1065,""y"":499,""dx"":94,""dy"":-52,""t"":7042},{""x"":1088,""y"":537,""dx"":117,""dy"":-14,""t"":7075},{""x"":1098,""y"":515,""dx"":127,""dy"":-36,""t"":7110},{""x"":1102,""y"":545,""dx"":131,""dy"":-6,""t"":7144},{""x"":1118,""y"":515,""dx"":147,""dy"":-36,""t"":7178},{""x"":1119,""y"":504,""dx"":148,""dy"":-47,""t"":7212},{""x"":1100,""y"":516,""dx"":129,""dy"":-35,""t"":7245},{""x"":1132,""y"":521,""dx"":161,""dy"":-30,""t"":7280},{""x"":1131,""y"":518,""dx"":160,""dy"":-33,""t"":7314},{""x"":1141,""y"":522,""dx"":170,""dy"":-29,""t"":7348},{""x"":1139,""y"":488,""dx"":168,""dy"":-63,""t"":7382},{""x"":1132,""y"":480,""dx"":161,""dy"":-71,""t"":7416},{""x"":1127,""y"":439,""dx"":156,""dy"":-112,""t"":7450},{""x"":1108,""y"":430,""dx"":137,""dy"":-121,""t"":7484},{""x"":1114,""y"":424,""dx"":143,""dy"":-127,""t"":7518},{""x"":1072,""y"":423,""dx"":101,""dy"":-128,""t"":7551},{""x"":1075,""y"":443,""dx"":104,""dy"":-108,""t"":7586},{""x"":1039,""y"":422,""dx"":68,""dy"":-129,""t"":7620},{""x"":1064,""y"":450,""dx"":93,""dy"":-101,""t"":7653},{""x"":1091,""y"":469,""dx"":120,""dy"":-82,""t"":7688},{""x"":1068,""y"":456,""dx"":97,""dy"":-95,""t"":7722},{""x"":1061,""y"":437,""dx"":90,""dy"":-114,""t"":7756},{""x"":1061,""y"":406,""dx"":90,""dy"":-145,""t"":7789},{""x"":1070,""y"":422,""dx"":99,""dy"":-129,""t"":7825},{""x"":1082,""y"":421,""dx"":111,""dy"":-130,""t"":7858},{""x"":1105,""y"":418,""dx"":134,""dy"":-133,""t"":7891},{""x"":1094,""y"":413,""dx"":123,""dy"":-138,""t"":7926},{""x"":1083,""y"":409,""dx"":112,""dy"":-142,""t"":7958},{""x"":1087,""y"":407,""dx"":116,""dy"":-144,""t"":7995},{""x"":1080,""y"":432,""dx"":109,""dy"":-119,""t"":8028},{""x"":1083,""y"":452,""dx"":112,""dy"":-99,""t"":8061},{""x"":1083,""y"":442,""dx"":112,""dy"":-109,""t"":8095},{""x"":1081,""y"":404,""dx"":110,""dy"":-147,""t"":8131},{""x"":1045,""y"":416,""dx"":74,""dy"":-135,""t"":8163},{""x"":1055,""y"":419,""dx"":84,""dy"":-132,""t"":8198},{""x"":1059,""y"":433,""dx"":88,""dy"":-118,""t"":8236},{""x"":1061,""y"":455,""dx"":90,""dy"":-96,""t"":8273},{""x"":1059,""y"":462,""dx"":88,""dy"":-89,""t"":8300},{""x"":1025,""y"":476,""dx"":54,""dy"":-75,""t"":8334},{""x"":1033,""y"":485,""dx"":62,""dy"":-66,""t"":8368},{""x"":1061,""y"":492,""dx"":90,""dy"":-59,""t"":8402},{""x"":1056,""y"":498,""dx"":85,""dy"":-53,""t"":8437},{""x"":1080,""y"":474,""dx"":109,""dy"":-77,""t"":8470},{""x"":1098,""y"":486,""dx"":127,""dy"":-65,""t"":8504},{""x"":1114,""y"":490,""dx"":143,""dy"":-61,""t"":8538},{""x"":1136,""y"":500,""dx"":165,""dy"":-51,""t"":8572},{""x"":1161,""y"":509,""dx"":190,""dy"":-42,""t"":8606},{""x"":1153,""y"":501,""dx"":182,""dy"":-50,""t"":8640},{""x"":1171,""y"":505,""dx"":200,""dy"":-46,""t"":8674},{""x"":1173,""y"":491,""dx"":202,""dy"":-60,""t"":8708},{""x"":1175,""y"":486,""dx"":204,""dy"":-65,""t"":8742},{""x"":1140,""y"":428,""dx"":169,""dy"":-123,""t"":8776},{""x"":1145,""y"":437,""dx"":174,""dy"":-114,""t"":8810},{""x"":1083,""y"":400,""dx"":112,""dy"":-151,""t"":8844},{""x"":1061,""y"":393,""dx"":90,""dy"":-158,""t"":8878},{""x"":1051,""y"":386,""dx"":80,""dy"":-165,""t"":8912},{""x"":994,""y"":376,""dx"":23,""dy"":-175,""t"":8946},{""x"":1015,""y"":382,""dx"":44,""dy"":-169,""t"":8980}],[{""x"":414,""y"":661,""dx"":-77,""dy"":-160,""t"":10034},{""x"":424,""y"":648,""dx"":-67,""dy"":-173,""t"":10068},{""x"":443,""y"":646,""dx"":-48,""dy"":-175,""t"":10101},{""x"":444,""y"":656,""dx"":-47,""dy"":-165,""t"":10136},{""x"":443,""y"":656,""dx"":-48,""dy"":-165,""t"":10170},{""x"":450,""y"":659,""dx"":-41,""dy"":-162,""t"":10204},{""x"":454,""y"":651,""dx"":-37,""dy"":-170,""t"":10238},{""x"":441,""y"":671,""dx"":-50,""dy"":-150,""t"":10272},{""x"":443,""y"":665,""dx"":-48,""dy"":-156,""t"":10306},{""x"":433,""y"":666,""dx"":-58,""dy"":-155,""t"":10340},{""x"":444,""y"":674,""dx"":-47,""dy"":-147,""t"":10374},{""x"":449,""y"":640,""dx"":-42,""dy"":-181,""t"":10408},{""x"":451,""y"":630,""dx"":-40,""dy"":-191,""t"":10442},{""x"":454,""y"":650,""dx"":-37,""dy"":-171,""t"":10475},{""x"":441,""y"":669,""dx"":-50,""dy"":-152,""t"":10510},{""x"":458,""y"":683,""dx"":-33,""dy"":-138,""t"":10544},{""x"":449,""y"":638,""dx"":-42,""dy"":-183,""t"":10578},{""x"":454,""y"":599,""dx"":-37,""dy"":-222,""t"":10611},{""x"":460,""y"":593,""dx"":-31,""dy"":-228,""t"":10646},{""x"":458,""y"":582,""dx"":-33,""dy"":-239,""t"":10680},{""x"":439,""y"":565,""dx"":-52,""dy"":-256,""t"":10714},{""x"":445,""y"":595,""dx"":-46,""dy"":-226,""t"":10748},{""x"":441,""y"":581,""dx"":-50,""dy"":-240,""t"":10782},{""x"":456,""y"":532,""dx"":-35,""dy"":-289,""t"":10816},{""x"":453,""y"":508,""dx"":-38,""dy"":-313,""t"":10850},{""x"":460,""y"":506,""dx"":-31,""dy"":-315,""t"":10883},{""x"":443,""y"":549,""dx"":-48,""dy"":-272,""t"":10918},{""x"":447,""y"":541,""dx"":-44,""dy"":-280,""t"":10951},{""x"":470,""y"":544,""dx"":-21,""dy"":-277,""t"":10986},{""x"":468,""y"":540,""dx"":-23,""dy"":-281,""t"":11019},{""x"":450,""y"":554,""dx"":-41,""dy"":-267,""t"":11054},{""x"":445,""y"":607,""dx"":-46,""dy"":-214,""t"":11087},{""x"":433,""y"":642,""dx"":-58,""dy"":-179,""t"":11122},{""x"":436,""y"":663,""dx"":-55,""dy"":-158,""t"":11154},{""x"":443,""y"":652,""dx"":-48,""dy"":-169,""t"":11190},{""x"":449,""y"":658,""dx"":-42,""dy"":-163,""t"":11224},{""x"":464,""y"":644,""dx"":-27,""dy"":-177,""t"":11258},{""x"":455,""y"":635,""dx"":-36,""dy"":-186,""t"":11292},{""x"":453,""y"":659,""dx"":-38,""dy"":-162,""t"":11325},{""x"":451,""y"":638,""dx"":-40,""dy"":-183,""t"":11360},{""x"":446,""y"":633,""dx"":-45,""dy"":-188,""t"":11394},{""x"":470,""y"":610,""dx"":-21,""dy"":-211,""t"":11428},{""x"":480,""y"":634,""dx"":-11,""dy"":-187,""t"":11461},{""x"":467,""y"":618,""dx"":-24,""dy"":-203,""t"":11496},{""x"":468,""y"":618,""dx"":-23,""dy"":-203,""t"":11530},{""x"":467,""y"":637,""dx"":-24,""dy"":-184,""t"":11561},{""x"":466,""y"":596,""dx"":-25,""dy"":-225,""t"":11598},{""x"":467,""y"":587,""dx"":-24,""dy"":-234,""t"":11631},{""x"":461,""y"":611,""dx"":-30,""dy"":-210,""t"":11666},{""x"":469,""y"":592,""dx"":-22,""dy"":-229,""t"":11700},{""x"":465,""y"":559,""dx"":-26,""dy"":-262,""t"":11734},{""x"":464,""y"":599,""dx"":-27,""dy"":-222,""t"":11768},{""x"":455,""y"":610,""dx"":-36,""dy"":-211,""t"":11801},{""x"":452,""y"":641,""dx"":-39,""dy"":-180,""t"":11836},{""x"":447,""y"":621,""dx"":-44,""dy"":-200,""t"":11870},{""x"":449,""y"":608,""dx"":-42,""dy"":-213,""t"":11904},{""x"":435,""y"":640,""dx"":-56,""dy"":-181,""t"":11938},{""x"":442,""y"":640,""dx"":-49,""dy"":-181,""t"":11972},{""x"":415,""y"":661,""dx"":-76,""dy"":-160,""t"":12006}],[{""x"":1502,""y"":656,""dx"":51,""dy"":-165,""t"":13026},{""x"":1510,""y"":675,""dx"":59,""dy"":-146,""t"":13060},{""x"":1500,""y"":681,""dx"":49,""dy"":-140,""t"":13094},{""x"":1467,""y"":659,""dx"":16,""dy"":-162,""t"":13125},{""x"":1456,""y"":656,""dx"":5,""dy"":-165,""t"":13162},{""x"":1455,""y"":676,""dx"":4,""dy"":-145,""t"":13195},{""x"":1467,""y"":662,""dx"":16,""dy"":-159,""t"":13230},{""x"":1469,""y"":658,""dx"":18,""dy"":-163,""t"":13264},{""x"":1458,""y"":667,""dx"":7,""dy"":-154,""t"":13299},{""x"":1456,""y"":682,""dx"":5,""dy"":-139,""t"":13332},{""x"":1439,""y"":694,""dx"":-12,""dy"":-127,""t"":13366},{""x"":1433,""y"":697,""dx"":-18,""dy"":-124,""t"":13400},{""x"":1421,""y"":708,""dx"":-30,""dy"":-113,""t"":13434},{""x"":1418,""y"":708,""dx"":-33,""dy"":-113,""t"":13467},{""x"":1407,""y"":725,""dx"":-44,""dy"":-96,""t"":13502},{""x"":1407,""y"":764,""dx"":-44,""dy"":-57,""t"":13537},{""x"":1404,""y"":755,""dx"":-47,""dy"":-66,""t"":13570},{""x"":1391,""y"":738,""dx"":-60,""dy"":-83,""t"":13604},{""x"":1379,""y"":720,""dx"":-72,""dy"":-101,""t"":13637},{""x"":1375,""y"":731,""dx"":-76,""dy"":-90,""t"":13673},{""x"":1379,""y"":712,""dx"":-72,""dy"":-109,""t"":13706},{""x"":1366,""y"":726,""dx"":-85,""dy"":-95,""t"":13740},{""x"":1362,""y"":716,""dx"":-89,""dy"":-105,""t"":13774},{""x"":1358,""y"":716,""dx"":-93,""dy"":-105,""t"":13808},{""x"":1359,""y"":718,""dx"":-92,""dy"":-103,""t"":13843},{""x"":1363,""y"":734,""dx"":-88,""dy"":-87,""t"":13876},{""x"":1369,""y"":712,""dx"":-82,""dy"":-109,""t"":13910},{""x"":1375,""y"":711,""dx"":-76,""dy"":-110,""t"":13944},{""x"":1374,""y"":708,""dx"":-77,""dy"":-113,""t"":13978},{""x"":1380,""y"":687,""dx"":-71,""dy"":-134,""t"":14012},{""x"":1375,""y"":690,""dx"":-76,""dy"":-131,""t"":14046},{""x"":1394,""y"":707,""dx"":-57,""dy"":-114,""t"":14079},{""x"":1388,""y"":709,""dx"":-63,""dy"":-112,""t"":14114},{""x"":1385,""y"":696,""dx"":-66,""dy"":-125,""t"":14148},{""x"":1378,""y"":723,""dx"":-73,""dy"":-98,""t"":14182},{""x"":1378,""y"":724,""dx"":-73,""dy"":-97,""t"":14216},{""x"":1377,""y"":732,""dx"":-74,""dy"":-89,""t"":14249},{""x"":1386,""y"":716,""dx"":-65,""dy"":-105,""t"":14284},{""x"":1399,""y"":709,""dx"":-52,""dy"":-112,""t"":14319},{""x"":1400,""y"":704,""dx"":-51,""dy"":-117,""t"":14352},{""x"":1410,""y"":719,""dx"":-41,""dy"":-102,""t"":14386},{""x"":1420,""y"":715,""dx"":-31,""dy"":-106,""t"":14420},{""x"":1425,""y"":721,""dx"":-26,""dy"":-100,""t"":14454},{""x"":1416,""y"":734,""dx"":-35,""dy"":-87,""t"":14488},{""x"":1422,""y"":704,""dx"":-29,""dy"":-117,""t"":14522},{""x"":1425,""y"":708,""dx"":-26,""dy"":-113,""t"":14556},{""x"":1428,""y"":702,""dx"":-23,""dy"":-119,""t"":14589},{""x"":1434,""y"":708,""dx"":-17,""dy"":-113,""t"":14623},{""x"":1425,""y"":721,""dx"":-26,""dy"":-100,""t"":14658},{""x"":1429,""y"":740,""dx"":-22,""dy"":-81,""t"":14692},{""x"":1433,""y"":756,""dx"":-18,""dy"":-65,""t"":14724},{""x"":1427,""y"":777,""dx"":-24,""dy"":-44,""t"":14759},{""x"":1416,""y"":768,""dx"":-35,""dy"":-53,""t"":14794},{""x"":1423,""y"":762,""dx"":-28,""dy"":-59,""t"":14828},{""x"":1417,""y"":762,""dx"":-34,""dy"":-59,""t"":14862},{""x"":1415,""y"":755,""dx"":-36,""dy"":-66,""t"":14895},{""x"":1418,""y"":773,""dx"":-33,""dy"":-48,""t"":14930},{""x"":1406,""y"":771,""dx"":-45,""dy"":-50,""t"":14964},{""x"":1415,""y"":766,""dx"":-36,""dy"":-55,""t"":14998}]]","[100,100,91.52542372881356,54.23728813559322,100]","[{""x"":-0.4745762711864407,""y"":48.54237288135593,""r"":25.242432686426167},{""x"":-29.728813559322035,""y"":95.47457627118644,""r"":31.942646462493762},{""x"":119.83050847457628,""y"":-92.98305084745763,""r"":53.02649032010239},{""x"":-40.271186440677965,""y"":-202.94915254237287,""r"":33.33433398861913},{""x"":-38.067796610169495,""y"":-105.33898305084746,""r"":39.67880594829351}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
"","html-keyboard-response","10","46906","0.0-6.0-0.0","","","","","549"," ","","<p>回忆实验（两个刺激物）：每个试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，500毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>实验要求：记忆所呈现刺激物和其对应的位置，根据目标提示的<b>形状（该条件下，颜色为黑色）</b>或者<b>颜色（该条件下，形状为圆且颜色不为黑）</b>，忽略其拓扑特征，选择对应刺激的位置，左边按数字键盘的 ""4"" ,右边按 ""6"" ，不记得或者不存在选择 ""5"" 。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","47705","0.0-6.0-1.0","","","","","299"," ","","<p>要求：记忆项目的颜色。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","48717","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recall","[""6"",""5"",""5"",""5"",""6"",""4"",""5"",""5"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""6"",""5"",""6"",""4"",""6"",""5"",""4"",""4"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""5"",""4"",""5"",""6"",""6"",""6""]","1000","color","2","","","","","",""
"","canvas-keyboard-response","13","50725","0.0-6.0-2.0-1.0","","","","","null","null","","[""green"",""red""]","","","","","","","","","","","","[{""x"":953,""y"":487,""t"":5},{""x"":994,""y"":480,""t"":40},{""x"":1074,""y"":520,""t"":73},{""x"":1108,""y"":523,""t"":106},{""x"":1182,""y"":582,""t"":141},{""x"":1241,""y"":646,""t"":174},{""x"":1277,""y"":667,""t"":208},{""x"":1260,""y"":647,""t"":243},{""x"":1258,""y"":675,""t"":276},{""x"":1168,""y"":644,""t"":310},{""x"":1025,""y"":629,""t"":344},{""x"":908,""y"":629,""t"":378},{""x"":840,""y"":876,""t"":412},{""x"":783,""y"":1022,""t"":446},{""x"":730,""y"":1138,""t"":480},{""x"":693,""y"":1221,""t"":514},{""x"":663,""y"":1321,""t"":548},{""x"":654,""y"":1373,""t"":582},{""x"":693,""y"":1358,""t"":616},{""x"":751,""y"":1292,""t"":651},{""x"":866,""y"":1203,""t"":684},{""x"":964,""y"":1073,""t"":719},{""x"":1040,""y"":945,""t"":752},{""x"":1111,""y"":861,""t"":786},{""x"":1167,""y"":788,""t"":821},{""x"":1218,""y"":735,""t"":853},{""x"":1251,""y"":663,""t"":888},{""x"":1297,""y"":625,""t"":922},{""x"":1332,""y"":598,""t"":953},{""x"":1338,""y"":578,""t"":991},{""x"":1345,""y"":572,""t"":1024},{""x"":1333,""y"":552,""t"":1058},{""x"":1330,""y"":534,""t"":1092},{""x"":1304,""y"":552,""t"":1125},{""x"":1311,""y"":560,""t"":1161},{""x"":1306,""y"":556,""t"":1194},{""x"":1298,""y"":582,""t"":1228},{""x"":1293,""y"":585,""t"":1262},{""x"":1290,""y"":615,""t"":1297},{""x"":1293,""y"":624,""t"":1331},{""x"":1293,""y"":636,""t"":1361},{""x"":1267,""y"":622,""t"":1397},{""x"":1270,""y"":635,""t"":1433},{""x"":1291,""y"":651,""t"":1466},{""x"":1263,""y"":668,""t"":1500},{""x"":1228,""y"":668,""t"":1534},{""x"":1247,""y"":686,""t"":1568},{""x"":1268,""y"":702,""t"":1602},{""x"":1273,""y"":713,""t"":1636},{""x"":1284,""y"":745,""t"":1671},{""x"":1272,""y"":703,""t"":1704},{""x"":1280,""y"":694,""t"":1738},{""x"":1266,""y"":705,""t"":1772},{""x"":1272,""y"":694,""t"":1807},{""x"":1279,""y"":700,""t"":1840},{""x"":1280,""y"":708,""t"":1874},{""x"":1304,""y"":724,""t"":1908},{""x"":1302,""y"":719,""t"":1943},{""x"":1283,""y"":697,""t"":1975}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","","",""
"","canvas-keyboard-response","14","52122","0.0-6.0-2.0-2.0","","","","","389","6","","","","","","","","","","","","","","","","","true","red","6"
