"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2158","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2164","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7111","0.0-2.0-0.0","","","","","4945","{""name"":""蔡思琪"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","9421","0.0-2.0-1.0","","","","","2309","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","9805","0.0-3.0","","","","","382"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","13820","0.0-4.0","","","","","","","","","1488","","","","","","","","","","","","","","","",""
"","html-button-response","6","14829","0.0-5.0-0.0","","","","","1006","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","25576","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","26844","0.0-5.0-2.0","","","","","1268","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","43979","0.0-5.0-3.0","","","","","","","","","","[[{""x"":429,""y"":353,""dx"":-62,""dy"":72,""t"":990},{""x"":427,""y"":342,""dx"":-64,""dy"":61,""t"":1024},{""x"":448,""y"":351,""dx"":-43,""dy"":70,""t"":1058},{""x"":431,""y"":344,""dx"":-60,""dy"":63,""t"":1092},{""x"":426,""y"":351,""dx"":-65,""dy"":70,""t"":1126},{""x"":421,""y"":345,""dx"":-70,""dy"":64,""t"":1160},{""x"":422,""y"":359,""dx"":-69,""dy"":78,""t"":1194},{""x"":429,""y"":338,""dx"":-62,""dy"":57,""t"":1228},{""x"":438,""y"":319,""dx"":-53,""dy"":38,""t"":1261},{""x"":454,""y"":338,""dx"":-37,""dy"":57,""t"":1296},{""x"":435,""y"":302,""dx"":-56,""dy"":21,""t"":1330},{""x"":434,""y"":311,""dx"":-57,""dy"":30,""t"":1365},{""x"":439,""y"":332,""dx"":-52,""dy"":51,""t"":1398},{""x"":457,""y"":351,""dx"":-34,""dy"":70,""t"":1433},{""x"":456,""y"":335,""dx"":-35,""dy"":54,""t"":1466},{""x"":478,""y"":336,""dx"":-13,""dy"":55,""t"":1500},{""x"":470,""y"":357,""dx"":-21,""dy"":76,""t"":1535},{""x"":458,""y"":341,""dx"":-33,""dy"":60,""t"":1568},{""x"":456,""y"":335,""dx"":-35,""dy"":54,""t"":1602},{""x"":446,""y"":338,""dx"":-45,""dy"":57,""t"":1635},{""x"":429,""y"":343,""dx"":-62,""dy"":62,""t"":1671},{""x"":444,""y"":352,""dx"":-47,""dy"":71,""t"":1704},{""x"":438,""y"":334,""dx"":-53,""dy"":53,""t"":1738},{""x"":449,""y"":332,""dx"":-42,""dy"":51,""t"":1772},{""x"":431,""y"":332,""dx"":-60,""dy"":51,""t"":1806},{""x"":441,""y"":345,""dx"":-50,""dy"":64,""t"":1840},{""x"":463,""y"":361,""dx"":-28,""dy"":80,""t"":1874},{""x"":437,""y"":353,""dx"":-54,""dy"":72,""t"":1908},{""x"":457,""y"":358,""dx"":-34,""dy"":77,""t"":1942},{""x"":444,""y"":360,""dx"":-47,""dy"":79,""t"":1976},{""x"":433,""y"":338,""dx"":-58,""dy"":57,""t"":2010},{""x"":447,""y"":341,""dx"":-44,""dy"":60,""t"":2044},{""x"":459,""y"":321,""dx"":-32,""dy"":40,""t"":2078},{""x"":442,""y"":342,""dx"":-49,""dy"":61,""t"":2112},{""x"":453,""y"":354,""dx"":-38,""dy"":73,""t"":2146},{""x"":462,""y"":363,""dx"":-29,""dy"":82,""t"":2181},{""x"":464,""y"":344,""dx"":-27,""dy"":63,""t"":2214},{""x"":457,""y"":340,""dx"":-34,""dy"":59,""t"":2248},{""x"":468,""y"":347,""dx"":-23,""dy"":66,""t"":2282},{""x"":472,""y"":355,""dx"":-19,""dy"":74,""t"":2316},{""x"":450,""y"":356,""dx"":-41,""dy"":75,""t"":2351},{""x"":469,""y"":376,""dx"":-22,""dy"":95,""t"":2384},{""x"":486,""y"":393,""dx"":-5,""dy"":112,""t"":2415},{""x"":457,""y"":364,""dx"":-34,""dy"":83,""t"":2451},{""x"":448,""y"":365,""dx"":-43,""dy"":84,""t"":2486},{""x"":433,""y"":356,""dx"":-58,""dy"":75,""t"":2519},{""x"":429,""y"":331,""dx"":-62,""dy"":50,""t"":2554},{""x"":397,""y"":364,""dx"":-94,""dy"":83,""t"":2588},{""x"":403,""y"":349,""dx"":-88,""dy"":68,""t"":2622},{""x"":382,""y"":359,""dx"":-109,""dy"":78,""t"":2656},{""x"":377,""y"":345,""dx"":-114,""dy"":64,""t"":2690},{""x"":383,""y"":334,""dx"":-108,""dy"":53,""t"":2724},{""x"":357,""y"":311,""dx"":-134,""dy"":30,""t"":2758},{""x"":361,""y"":322,""dx"":-130,""dy"":41,""t"":2792},{""x"":373,""y"":318,""dx"":-118,""dy"":37,""t"":2826},{""x"":384,""y"":335,""dx"":-107,""dy"":54,""t"":2860},{""x"":370,""y"":323,""dx"":-121,""dy"":42,""t"":2894},{""x"":377,""y"":342,""dx"":-114,""dy"":61,""t"":2928},{""x"":364,""y"":350,""dx"":-127,""dy"":69,""t"":2962},{""x"":364,""y"":361,""dx"":-127,""dy"":80,""t"":2996}],[{""x"":1605,""y"":401,""dx"":154,""dy"":120,""t"":4014},{""x"":1593,""y"":414,""dx"":142,""dy"":133,""t"":4051},{""x"":1566,""y"":396,""dx"":115,""dy"":115,""t"":4084},{""x"":1582,""y"":400,""dx"":131,""dy"":119,""t"":4118},{""x"":1563,""y"":374,""dx"":112,""dy"":93,""t"":4151},{""x"":1579,""y"":403,""dx"":128,""dy"":122,""t"":4187},{""x"":1584,""y"":378,""dx"":133,""dy"":97,""t"":4220},{""x"":1602,""y"":398,""dx"":151,""dy"":117,""t"":4254},{""x"":1580,""y"":374,""dx"":129,""dy"":93,""t"":4288},{""x"":1580,""y"":353,""dx"":129,""dy"":72,""t"":4322},{""x"":1573,""y"":358,""dx"":122,""dy"":77,""t"":4356},{""x"":1572,""y"":353,""dx"":121,""dy"":72,""t"":4390},{""x"":1575,""y"":355,""dx"":124,""dy"":74,""t"":4421},{""x"":1561,""y"":334,""dx"":110,""dy"":53,""t"":4458},{""x"":1574,""y"":315,""dx"":123,""dy"":34,""t"":4492},{""x"":1573,""y"":300,""dx"":122,""dy"":19,""t"":4525},{""x"":1568,""y"":284,""dx"":117,""dy"":3,""t"":4560},{""x"":1570,""y"":316,""dx"":119,""dy"":35,""t"":4593},{""x"":1586,""y"":307,""dx"":135,""dy"":26,""t"":4628},{""x"":1593,""y"":338,""dx"":142,""dy"":57,""t"":4662},{""x"":1614,""y"":334,""dx"":163,""dy"":53,""t"":4696},{""x"":1623,""y"":335,""dx"":172,""dy"":54,""t"":4730},{""x"":1631,""y"":340,""dx"":180,""dy"":59,""t"":4765},{""x"":1633,""y"":354,""dx"":182,""dy"":73,""t"":4798},{""x"":1616,""y"":336,""dx"":165,""dy"":55,""t"":4832},{""x"":1610,""y"":314,""dx"":159,""dy"":33,""t"":4866},{""x"":1617,""y"":319,""dx"":166,""dy"":38,""t"":4900},{""x"":1606,""y"":285,""dx"":155,""dy"":4,""t"":4933},{""x"":1607,""y"":263,""dx"":156,""dy"":-18,""t"":4969},{""x"":1600,""y"":322,""dx"":149,""dy"":41,""t"":5001},{""x"":1585,""y"":305,""dx"":134,""dy"":24,""t"":5037},{""x"":1581,""y"":343,""dx"":130,""dy"":62,""t"":5070},{""x"":1589,""y"":318,""dx"":138,""dy"":37,""t"":5104},{""x"":1597,""y"":321,""dx"":146,""dy"":40,""t"":5137},{""x"":1614,""y"":326,""dx"":163,""dy"":45,""t"":5172},{""x"":1608,""y"":321,""dx"":157,""dy"":40,""t"":5206},{""x"":1601,""y"":318,""dx"":150,""dy"":37,""t"":5240},{""x"":1569,""y"":316,""dx"":118,""dy"":35,""t"":5274},{""x"":1548,""y"":290,""dx"":97,""dy"":9,""t"":5308},{""x"":1534,""y"":293,""dx"":83,""dy"":12,""t"":5342},{""x"":1519,""y"":290,""dx"":68,""dy"":9,""t"":5377},{""x"":1513,""y"":267,""dx"":62,""dy"":-14,""t"":5410},{""x"":1534,""y"":277,""dx"":83,""dy"":-4,""t"":5444},{""x"":1492,""y"":306,""dx"":41,""dy"":25,""t"":5478},{""x"":1504,""y"":307,""dx"":53,""dy"":26,""t"":5512},{""x"":1495,""y"":314,""dx"":44,""dy"":33,""t"":5546},{""x"":1507,""y"":324,""dx"":56,""dy"":43,""t"":5578},{""x"":1538,""y"":288,""dx"":87,""dy"":7,""t"":5615},{""x"":1549,""y"":286,""dx"":98,""dy"":5,""t"":5649},{""x"":1544,""y"":268,""dx"":93,""dy"":-13,""t"":5681},{""x"":1555,""y"":266,""dx"":104,""dy"":-15,""t"":5717},{""x"":1561,""y"":275,""dx"":110,""dy"":-6,""t"":5750},{""x"":1549,""y"":265,""dx"":98,""dy"":-16,""t"":5783},{""x"":1553,""y"":255,""dx"":102,""dy"":-26,""t"":5819},{""x"":1561,""y"":330,""dx"":110,""dy"":49,""t"":5852},{""x"":1582,""y"":338,""dx"":131,""dy"":57,""t"":5886},{""x"":1572,""y"":297,""dx"":121,""dy"":16,""t"":5920},{""x"":1566,""y"":306,""dx"":115,""dy"":25,""t"":5954},{""x"":1566,""y"":313,""dx"":115,""dy"":32,""t"":5986}],[{""x"":945,""y"":500,""dx"":-26,""dy"":-51,""t"":7008},{""x"":956,""y"":507,""dx"":-15,""dy"":-44,""t"":7041},{""x"":964,""y"":518,""dx"":-7,""dy"":-33,""t"":7076},{""x"":968,""y"":512,""dx"":-3,""dy"":-39,""t"":7110},{""x"":968,""y"":513,""dx"":-3,""dy"":-38,""t"":7144},{""x"":970,""y"":519,""dx"":-1,""dy"":-32,""t"":7178},{""x"":996,""y"":518,""dx"":25,""dy"":-33,""t"":7212},{""x"":982,""y"":640,""dx"":11,""dy"":89,""t"":7246},{""x"":972,""y"":749,""dx"":1,""dy"":198,""t"":7280},{""x"":978,""y"":792,""dx"":7,""dy"":241,""t"":7315},{""x"":981,""y"":763,""dx"":10,""dy"":212,""t"":7348},{""x"":991,""y"":707,""dx"":20,""dy"":156,""t"":7382},{""x"":995,""y"":669,""dx"":24,""dy"":118,""t"":7415},{""x"":1003,""y"":629,""dx"":32,""dy"":78,""t"":7450},{""x"":1024,""y"":599,""dx"":53,""dy"":48,""t"":7484},{""x"":1029,""y"":593,""dx"":58,""dy"":42,""t"":7517},{""x"":1026,""y"":588,""dx"":55,""dy"":37,""t"":7549},{""x"":1036,""y"":566,""dx"":65,""dy"":15,""t"":7587},{""x"":1046,""y"":555,""dx"":75,""dy"":4,""t"":7620},{""x"":1048,""y"":548,""dx"":77,""dy"":-3,""t"":7654},{""x"":1045,""y"":543,""dx"":74,""dy"":-8,""t"":7688},{""x"":1053,""y"":527,""dx"":82,""dy"":-24,""t"":7723},{""x"":1059,""y"":514,""dx"":88,""dy"":-37,""t"":7756},{""x"":1041,""y"":514,""dx"":70,""dy"":-37,""t"":7790},{""x"":1035,""y"":507,""dx"":64,""dy"":-44,""t"":7824},{""x"":1025,""y"":497,""dx"":54,""dy"":-54,""t"":7858},{""x"":1031,""y"":515,""dx"":60,""dy"":-36,""t"":7892},{""x"":1039,""y"":525,""dx"":68,""dy"":-26,""t"":7926},{""x"":1018,""y"":504,""dx"":47,""dy"":-47,""t"":7957},{""x"":1015,""y"":496,""dx"":44,""dy"":-55,""t"":7994},{""x"":1015,""y"":464,""dx"":44,""dy"":-87,""t"":8028},{""x"":1016,""y"":467,""dx"":45,""dy"":-84,""t"":8063},{""x"":994,""y"":464,""dx"":23,""dy"":-87,""t"":8096},{""x"":982,""y"":488,""dx"":11,""dy"":-63,""t"":8130},{""x"":985,""y"":495,""dx"":14,""dy"":-56,""t"":8164},{""x"":973,""y"":499,""dx"":2,""dy"":-52,""t"":8198},{""x"":962,""y"":499,""dx"":-9,""dy"":-52,""t"":8231},{""x"":978,""y"":506,""dx"":7,""dy"":-45,""t"":8266},{""x"":1003,""y"":505,""dx"":32,""dy"":-46,""t"":8300},{""x"":1005,""y"":520,""dx"":34,""dy"":-31,""t"":8334},{""x"":1000,""y"":547,""dx"":29,""dy"":-4,""t"":8369},{""x"":984,""y"":535,""dx"":13,""dy"":-16,""t"":8402},{""x"":985,""y"":555,""dx"":14,""dy"":4,""t"":8435},{""x"":987,""y"":542,""dx"":16,""dy"":-9,""t"":8470},{""x"":966,""y"":535,""dx"":-5,""dy"":-16,""t"":8504},{""x"":976,""y"":527,""dx"":5,""dy"":-24,""t"":8539},{""x"":986,""y"":533,""dx"":15,""dy"":-18,""t"":8572},{""x"":990,""y"":515,""dx"":19,""dy"":-36,""t"":8605},{""x"":986,""y"":518,""dx"":15,""dy"":-33,""t"":8640},{""x"":1001,""y"":506,""dx"":30,""dy"":-45,""t"":8674},{""x"":964,""y"":504,""dx"":-7,""dy"":-47,""t"":8708},{""x"":854,""y"":535,""dx"":-117,""dy"":-16,""t"":8742},{""x"":772,""y"":579,""dx"":-199,""dy"":28,""t"":8776},{""x"":686,""y"":603,""dx"":-285,""dy"":52,""t"":8810},{""x"":639,""y"":651,""dx"":-332,""dy"":100,""t"":8844},{""x"":582,""y"":681,""dx"":-389,""dy"":130,""t"":8878},{""x"":541,""y"":705,""dx"":-430,""dy"":154,""t"":8912},{""x"":526,""y"":693,""dx"":-445,""dy"":142,""t"":8946},{""x"":513,""y"":725,""dx"":-458,""dy"":174,""t"":8981},{""x"":485,""y"":777,""dx"":-486,""dy"":226,""t"":9014}],[{""x"":519,""y"":736,""dx"":28,""dy"":-85,""t"":10034},{""x"":526,""y"":755,""dx"":35,""dy"":-66,""t"":10067},{""x"":516,""y"":772,""dx"":25,""dy"":-49,""t"":10103},{""x"":519,""y"":776,""dx"":28,""dy"":-45,""t"":10135},{""x"":504,""y"":761,""dx"":13,""dy"":-60,""t"":10170},{""x"":503,""y"":771,""dx"":12,""dy"":-50,""t"":10205},{""x"":494,""y"":765,""dx"":3,""dy"":-56,""t"":10238},{""x"":495,""y"":777,""dx"":4,""dy"":-44,""t"":10272},{""x"":485,""y"":778,""dx"":-6,""dy"":-43,""t"":10307},{""x"":485,""y"":765,""dx"":-6,""dy"":-56,""t"":10340},{""x"":479,""y"":769,""dx"":-12,""dy"":-52,""t"":10374},{""x"":460,""y"":746,""dx"":-31,""dy"":-75,""t"":10408},{""x"":450,""y"":732,""dx"":-41,""dy"":-89,""t"":10442},{""x"":454,""y"":730,""dx"":-37,""dy"":-91,""t"":10476},{""x"":437,""y"":722,""dx"":-54,""dy"":-99,""t"":10510},{""x"":435,""y"":737,""dx"":-56,""dy"":-84,""t"":10545},{""x"":434,""y"":757,""dx"":-57,""dy"":-64,""t"":10577},{""x"":419,""y"":765,""dx"":-72,""dy"":-56,""t"":10611},{""x"":402,""y"":747,""dx"":-89,""dy"":-74,""t"":10646},{""x"":411,""y"":767,""dx"":-80,""dy"":-54,""t"":10681},{""x"":423,""y"":775,""dx"":-68,""dy"":-46,""t"":10714},{""x"":434,""y"":782,""dx"":-57,""dy"":-39,""t"":10746},{""x"":440,""y"":774,""dx"":-51,""dy"":-47,""t"":10783},{""x"":434,""y"":776,""dx"":-57,""dy"":-45,""t"":10816},{""x"":444,""y"":779,""dx"":-47,""dy"":-42,""t"":10851},{""x"":447,""y"":794,""dx"":-44,""dy"":-27,""t"":10884},{""x"":442,""y"":789,""dx"":-49,""dy"":-32,""t"":10918},{""x"":462,""y"":788,""dx"":-29,""dy"":-33,""t"":10952},{""x"":468,""y"":786,""dx"":-23,""dy"":-35,""t"":10986},{""x"":446,""y"":775,""dx"":-45,""dy"":-46,""t"":11020},{""x"":444,""y"":755,""dx"":-47,""dy"":-66,""t"":11054},{""x"":434,""y"":758,""dx"":-57,""dy"":-63,""t"":11088},{""x"":402,""y"":755,""dx"":-89,""dy"":-66,""t"":11122},{""x"":374,""y"":753,""dx"":-117,""dy"":-68,""t"":11154},{""x"":393,""y"":734,""dx"":-98,""dy"":-87,""t"":11190},{""x"":392,""y"":757,""dx"":-99,""dy"":-64,""t"":11224},{""x"":410,""y"":753,""dx"":-81,""dy"":-68,""t"":11258},{""x"":431,""y"":736,""dx"":-60,""dy"":-85,""t"":11292},{""x"":439,""y"":731,""dx"":-52,""dy"":-90,""t"":11326},{""x"":463,""y"":716,""dx"":-28,""dy"":-105,""t"":11360},{""x"":445,""y"":737,""dx"":-46,""dy"":-84,""t"":11395},{""x"":423,""y"":763,""dx"":-68,""dy"":-58,""t"":11428},{""x"":429,""y"":737,""dx"":-62,""dy"":-84,""t"":11462},{""x"":447,""y"":728,""dx"":-44,""dy"":-93,""t"":11496},{""x"":455,""y"":702,""dx"":-36,""dy"":-119,""t"":11530},{""x"":461,""y"":699,""dx"":-30,""dy"":-122,""t"":11564},{""x"":464,""y"":696,""dx"":-27,""dy"":-125,""t"":11598},{""x"":468,""y"":714,""dx"":-23,""dy"":-107,""t"":11632},{""x"":469,""y"":705,""dx"":-22,""dy"":-116,""t"":11666},{""x"":478,""y"":718,""dx"":-13,""dy"":-103,""t"":11701},{""x"":479,""y"":723,""dx"":-12,""dy"":-98,""t"":11734},{""x"":483,""y"":732,""dx"":-8,""dy"":-89,""t"":11768},{""x"":478,""y"":730,""dx"":-13,""dy"":-91,""t"":11803},{""x"":483,""y"":728,""dx"":-8,""dy"":-93,""t"":11836},{""x"":475,""y"":721,""dx"":-16,""dy"":-100,""t"":11870},{""x"":475,""y"":729,""dx"":-16,""dy"":-92,""t"":11904},{""x"":486,""y"":742,""dx"":-5,""dy"":-79,""t"":11937},{""x"":477,""y"":733,""dx"":-14,""dy"":-88,""t"":11972},{""x"":476,""y"":729,""dx"":-15,""dy"":-92,""t"":12006}],[{""x"":1355,""y"":775,""dx"":-96,""dy"":-46,""t"":13025},{""x"":1374,""y"":738,""dx"":-77,""dy"":-83,""t"":13060},{""x"":1365,""y"":728,""dx"":-86,""dy"":-93,""t"":13094},{""x"":1377,""y"":720,""dx"":-74,""dy"":-101,""t"":13126},{""x"":1400,""y"":701,""dx"":-51,""dy"":-120,""t"":13163},{""x"":1444,""y"":724,""dx"":-7,""dy"":-97,""t"":13196},{""x"":1428,""y"":720,""dx"":-23,""dy"":-101,""t"":13230},{""x"":1446,""y"":724,""dx"":-5,""dy"":-97,""t"":13264},{""x"":1471,""y"":725,""dx"":20,""dy"":-96,""t"":13298},{""x"":1462,""y"":737,""dx"":11,""dy"":-84,""t"":13332},{""x"":1500,""y"":757,""dx"":49,""dy"":-64,""t"":13366},{""x"":1483,""y"":753,""dx"":32,""dy"":-68,""t"":13400},{""x"":1505,""y"":775,""dx"":54,""dy"":-46,""t"":13433},{""x"":1487,""y"":781,""dx"":36,""dy"":-40,""t"":13468},{""x"":1505,""y"":775,""dx"":54,""dy"":-46,""t"":13502},{""x"":1475,""y"":777,""dx"":24,""dy"":-44,""t"":13536},{""x"":1483,""y"":764,""dx"":32,""dy"":-57,""t"":13570},{""x"":1503,""y"":774,""dx"":52,""dy"":-47,""t"":13605},{""x"":1510,""y"":763,""dx"":59,""dy"":-58,""t"":13638},{""x"":1541,""y"":762,""dx"":90,""dy"":-59,""t"":13672},{""x"":1542,""y"":752,""dx"":91,""dy"":-69,""t"":13706},{""x"":1558,""y"":779,""dx"":107,""dy"":-42,""t"":13740},{""x"":1536,""y"":794,""dx"":85,""dy"":-27,""t"":13774},{""x"":1550,""y"":817,""dx"":99,""dy"":-4,""t"":13808},{""x"":1559,""y"":811,""dx"":108,""dy"":-10,""t"":13842},{""x"":1538,""y"":791,""dx"":87,""dy"":-30,""t"":13876},{""x"":1536,""y"":774,""dx"":85,""dy"":-47,""t"":13911},{""x"":1542,""y"":770,""dx"":91,""dy"":-51,""t"":13944},{""x"":1541,""y"":765,""dx"":90,""dy"":-56,""t"":13978},{""x"":1538,""y"":760,""dx"":87,""dy"":-61,""t"":14012},{""x"":1562,""y"":769,""dx"":111,""dy"":-52,""t"":14046},{""x"":1562,""y"":767,""dx"":111,""dy"":-54,""t"":14079},{""x"":1554,""y"":755,""dx"":103,""dy"":-66,""t"":14114},{""x"":1542,""y"":739,""dx"":91,""dy"":-82,""t"":14148},{""x"":1541,""y"":722,""dx"":90,""dy"":-99,""t"":14183},{""x"":1527,""y"":714,""dx"":76,""dy"":-107,""t"":14215},{""x"":1529,""y"":718,""dx"":78,""dy"":-103,""t"":14250},{""x"":1529,""y"":704,""dx"":78,""dy"":-117,""t"":14284},{""x"":1544,""y"":704,""dx"":93,""dy"":-117,""t"":14315},{""x"":1517,""y"":718,""dx"":66,""dy"":-103,""t"":14352},{""x"":1502,""y"":712,""dx"":51,""dy"":-109,""t"":14385},{""x"":1505,""y"":740,""dx"":54,""dy"":-81,""t"":14420},{""x"":1530,""y"":751,""dx"":79,""dy"":-70,""t"":14455},{""x"":1538,""y"":750,""dx"":87,""dy"":-71,""t"":14487},{""x"":1551,""y"":749,""dx"":100,""dy"":-72,""t"":14523},{""x"":1514,""y"":758,""dx"":63,""dy"":-63,""t"":14555},{""x"":1489,""y"":730,""dx"":38,""dy"":-91,""t"":14591},{""x"":1478,""y"":733,""dx"":27,""dy"":-88,""t"":14624},{""x"":1486,""y"":747,""dx"":35,""dy"":-74,""t"":14658},{""x"":1470,""y"":750,""dx"":19,""dy"":-71,""t"":14692},{""x"":1457,""y"":752,""dx"":6,""dy"":-69,""t"":14723},{""x"":1449,""y"":735,""dx"":-2,""dy"":-86,""t"":14759},{""x"":1451,""y"":721,""dx"":0,""dy"":-100,""t"":14801},{""x"":1452,""y"":728,""dx"":1,""dy"":-93,""t"":14837},{""x"":1447,""y"":715,""dx"":-4,""dy"":-106,""t"":14866},{""x"":1426,""y"":715,""dx"":-25,""dy"":-106,""t"":14896},{""x"":1438,""y"":747,""dx"":-13,""dy"":-74,""t"":14930},{""x"":1445,""y"":745,""dx"":-6,""dy"":-76,""t"":14964},{""x"":1427,""y"":747,""dx"":-24,""dy"":-74,""t"":14998},{""x"":1413,""y"":741,""dx"":-38,""dy"":-80,""t"":15033}]]","[100,100,83.33333333333334,100,100]","[{""x"":-59.2,""y"":63.11666666666667,""r"":38.93216822918884},{""x"":122.2542372881356,""y"":42.32203389830509,""r"":44.51069804817064},{""x"":-28.083333333333332,""y"":12.333333333333334,""r"":137.61267742514093},{""x"":-35.067796610169495,""y"":-72.52542372881356,""r"":35.99330430247748},{""x"":39.483333333333334,""y"":-73.3,""r"":76.25085162742177}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
"","html-keyboard-response","10","44987","0.0-6.0-0.0","","","","","1007"," ","","<p>回忆实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，500毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>要求：记忆所呈现刺激物和其对应的位置，根据目标提示的<b>形状（该条件下，颜色为黑色）</b>或者<b>颜色（该条件下，形状为圆且颜色不为黑）</b>，忽略其拓扑特征，选择对应刺激的位置，</p>根据数字键盘的 "" 4 "" ,"" 8 "","" 6 "","" 2 "" 进行选择响应，如果不记得或者不存在选择""5""。</p><p>按"" ""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","45891","0.0-6.0-1.0","","","","","395"," ","","<p>要求：根据目标的颜色进行选择。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","46905","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recall","[""4"",""6"",""5"",""2"",""2"",""8"",""4"",""2"",""2"",""4"",""6"",""2"",""2"",""4"",""4"",""8"",""8"",""4"",""8"",""2"",""5"",""2"",""5"",""8"",""4"",""2"",""6"",""8"",""6"",""8"",""5"",""5"",""6"",""5"",""8"",""5"",""5"",""2"",""8"",""6"",""8"",""6"",""4"",""4"",""5"",""6"",""4"",""5"",""6"",""6""]","1000","color","4","","","","","",""
