"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2643","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2650","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","11300","0.0-2.0-0.0","","","","","8649","{""name"":""syx"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","12260","0.0-2.0-1.0","","","","","959","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","12939","0.0-3.0","","","","","677"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","17380","0.0-4.0","","","","","","","","","2198","","","","","","","","","","","","","","","",""
"","html-button-response","6","18179","0.0-5.0-0.0","","","","","797","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","29486","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","30123","0.0-5.0-2.0","","","","","636","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","47251","0.0-5.0-3.0","","","","","","","","","","[[{""x"":342,""y"":279,""dx"":-149,""dy"":-2,""t"":989},{""x"":331,""y"":287,""dx"":-160,""dy"":6,""t"":1023},{""x"":335,""y"":303,""dx"":-156,""dy"":22,""t"":1058},{""x"":325,""y"":314,""dx"":-166,""dy"":33,""t"":1092},{""x"":334,""y"":296,""dx"":-157,""dy"":15,""t"":1127},{""x"":317,""y"":292,""dx"":-174,""dy"":11,""t"":1159},{""x"":331,""y"":290,""dx"":-160,""dy"":9,""t"":1194},{""x"":380,""y"":279,""dx"":-111,""dy"":-2,""t"":1228},{""x"":383,""y"":276,""dx"":-108,""dy"":-5,""t"":1262},{""x"":396,""y"":253,""dx"":-95,""dy"":-28,""t"":1297},{""x"":377,""y"":256,""dx"":-114,""dy"":-25,""t"":1330},{""x"":388,""y"":265,""dx"":-103,""dy"":-16,""t"":1364},{""x"":403,""y"":270,""dx"":-88,""dy"":-11,""t"":1398},{""x"":377,""y"":265,""dx"":-114,""dy"":-16,""t"":1432},{""x"":397,""y"":282,""dx"":-94,""dy"":1,""t"":1466},{""x"":359,""y"":284,""dx"":-132,""dy"":3,""t"":1500},{""x"":316,""y"":296,""dx"":-175,""dy"":15,""t"":1534},{""x"":333,""y"":282,""dx"":-158,""dy"":1,""t"":1568},{""x"":362,""y"":279,""dx"":-129,""dy"":-2,""t"":1599},{""x"":352,""y"":293,""dx"":-139,""dy"":12,""t"":1637},{""x"":305,""y"":297,""dx"":-186,""dy"":16,""t"":1669},{""x"":303,""y"":319,""dx"":-188,""dy"":38,""t"":1704},{""x"":265,""y"":322,""dx"":-226,""dy"":41,""t"":1738},{""x"":260,""y"":332,""dx"":-231,""dy"":51,""t"":1772},{""x"":229,""y"":334,""dx"":-262,""dy"":53,""t"":1805},{""x"":256,""y"":321,""dx"":-235,""dy"":40,""t"":1840},{""x"":243,""y"":311,""dx"":-248,""dy"":30,""t"":1873},{""x"":270,""y"":322,""dx"":-221,""dy"":41,""t"":1909},{""x"":223,""y"":316,""dx"":-268,""dy"":35,""t"":1942},{""x"":241,""y"":325,""dx"":-250,""dy"":44,""t"":1976},{""x"":203,""y"":327,""dx"":-288,""dy"":46,""t"":2008},{""x"":219,""y"":329,""dx"":-272,""dy"":48,""t"":2044},{""x"":241,""y"":330,""dx"":-250,""dy"":49,""t"":2077},{""x"":258,""y"":333,""dx"":-233,""dy"":52,""t"":2132},{""x"":273,""y"":335,""dx"":-218,""dy"":54,""t"":2146},{""x"":295,""y"":340,""dx"":-196,""dy"":59,""t"":2180},{""x"":341,""y"":328,""dx"":-150,""dy"":47,""t"":2214},{""x"":383,""y"":311,""dx"":-108,""dy"":30,""t"":2248},{""x"":393,""y"":323,""dx"":-98,""dy"":42,""t"":2282},{""x"":351,""y"":327,""dx"":-140,""dy"":46,""t"":2316},{""x"":345,""y"":345,""dx"":-146,""dy"":64,""t"":2350},{""x"":345,""y"":334,""dx"":-146,""dy"":53,""t"":2383},{""x"":350,""y"":332,""dx"":-141,""dy"":51,""t"":2418},{""x"":341,""y"":341,""dx"":-150,""dy"":60,""t"":2452},{""x"":350,""y"":361,""dx"":-141,""dy"":80,""t"":2486},{""x"":347,""y"":362,""dx"":-144,""dy"":81,""t"":2521},{""x"":339,""y"":357,""dx"":-152,""dy"":76,""t"":2554},{""x"":324,""y"":354,""dx"":-167,""dy"":73,""t"":2588},{""x"":366,""y"":362,""dx"":-125,""dy"":81,""t"":2622},{""x"":342,""y"":346,""dx"":-149,""dy"":65,""t"":2657},{""x"":364,""y"":350,""dx"":-127,""dy"":69,""t"":2690},{""x"":331,""y"":343,""dx"":-160,""dy"":62,""t"":2723},{""x"":334,""y"":348,""dx"":-157,""dy"":67,""t"":2759},{""x"":323,""y"":347,""dx"":-168,""dy"":66,""t"":2792},{""x"":313,""y"":346,""dx"":-178,""dy"":65,""t"":2825},{""x"":311,""y"":338,""dx"":-180,""dy"":57,""t"":2861},{""x"":304,""y"":342,""dx"":-187,""dy"":61,""t"":2894},{""x"":317,""y"":345,""dx"":-174,""dy"":64,""t"":2929},{""x"":299,""y"":344,""dx"":-192,""dy"":63,""t"":2962},{""x"":232,""y"":334,""dx"":-259,""dy"":53,""t"":2996}],[{""x"":1458,""y"":312,""dx"":7,""dy"":31,""t"":4017},{""x"":1469,""y"":290,""dx"":18,""dy"":9,""t"":4050},{""x"":1434,""y"":286,""dx"":-17,""dy"":5,""t"":4084},{""x"":1461,""y"":288,""dx"":10,""dy"":7,""t"":4118},{""x"":1492,""y"":289,""dx"":41,""dy"":8,""t"":4152},{""x"":1415,""y"":309,""dx"":-36,""dy"":28,""t"":4185},{""x"":1435,""y"":290,""dx"":-16,""dy"":9,""t"":4221},{""x"":1441,""y"":292,""dx"":-10,""dy"":11,""t"":4254},{""x"":1475,""y"":317,""dx"":24,""dy"":36,""t"":4287},{""x"":1535,""y"":314,""dx"":84,""dy"":33,""t"":4322},{""x"":1489,""y"":334,""dx"":38,""dy"":53,""t"":4357},{""x"":1490,""y"":321,""dx"":39,""dy"":40,""t"":4390},{""x"":1515,""y"":303,""dx"":64,""dy"":22,""t"":4424},{""x"":1514,""y"":326,""dx"":63,""dy"":45,""t"":4458},{""x"":1558,""y"":334,""dx"":107,""dy"":53,""t"":4492},{""x"":1485,""y"":342,""dx"":34,""dy"":61,""t"":4526},{""x"":1524,""y"":323,""dx"":73,""dy"":42,""t"":4560},{""x"":1569,""y"":318,""dx"":118,""dy"":37,""t"":4594},{""x"":1599,""y"":314,""dx"":148,""dy"":33,""t"":4628},{""x"":1610,""y"":306,""dx"":159,""dy"":25,""t"":4663},{""x"":1508,""y"":319,""dx"":57,""dy"":38,""t"":4696},{""x"":1504,""y"":310,""dx"":53,""dy"":29,""t"":4730},{""x"":1528,""y"":311,""dx"":77,""dy"":30,""t"":4764},{""x"":1523,""y"":313,""dx"":72,""dy"":32,""t"":4797},{""x"":1534,""y"":308,""dx"":83,""dy"":27,""t"":4833},{""x"":1531,""y"":313,""dx"":80,""dy"":32,""t"":4866},{""x"":1520,""y"":304,""dx"":69,""dy"":23,""t"":4901},{""x"":1528,""y"":295,""dx"":77,""dy"":14,""t"":4935},{""x"":1572,""y"":294,""dx"":121,""dy"":13,""t"":4968},{""x"":1596,""y"":294,""dx"":145,""dy"":13,""t"":5001},{""x"":1610,""y"":301,""dx"":159,""dy"":20,""t"":5037},{""x"":1613,""y"":326,""dx"":162,""dy"":45,""t"":5071},{""x"":1616,""y"":348,""dx"":165,""dy"":67,""t"":5105},{""x"":1603,""y"":354,""dx"":152,""dy"":73,""t"":5139},{""x"":1545,""y"":343,""dx"":94,""dy"":62,""t"":5169},{""x"":1511,""y"":332,""dx"":60,""dy"":51,""t"":5206},{""x"":1497,""y"":314,""dx"":46,""dy"":33,""t"":5240},{""x"":1522,""y"":318,""dx"":71,""dy"":37,""t"":5273},{""x"":1548,""y"":333,""dx"":97,""dy"":52,""t"":5308},{""x"":1521,""y"":311,""dx"":70,""dy"":30,""t"":5341},{""x"":1441,""y"":330,""dx"":-10,""dy"":49,""t"":5376},{""x"":1453,""y"":349,""dx"":2,""dy"":68,""t"":5411},{""x"":1451,""y"":336,""dx"":0,""dy"":55,""t"":5444},{""x"":1501,""y"":331,""dx"":50,""dy"":50,""t"":5478},{""x"":1441,""y"":351,""dx"":-10,""dy"":70,""t"":5513},{""x"":1469,""y"":332,""dx"":18,""dy"":51,""t"":5546},{""x"":1422,""y"":339,""dx"":-29,""dy"":58,""t"":5577},{""x"":1408,""y"":329,""dx"":-43,""dy"":48,""t"":5614},{""x"":1371,""y"":340,""dx"":-80,""dy"":59,""t"":5648},{""x"":1390,""y"":325,""dx"":-61,""dy"":44,""t"":5682},{""x"":1434,""y"":325,""dx"":-17,""dy"":44,""t"":5716},{""x"":1398,""y"":324,""dx"":-53,""dy"":43,""t"":5751},{""x"":1384,""y"":342,""dx"":-67,""dy"":61,""t"":5784},{""x"":1457,""y"":339,""dx"":6,""dy"":58,""t"":5818},{""x"":1411,""y"":342,""dx"":-40,""dy"":61,""t"":5852},{""x"":1429,""y"":329,""dx"":-22,""dy"":48,""t"":5886},{""x"":1406,""y"":331,""dx"":-45,""dy"":50,""t"":5920},{""x"":1425,""y"":308,""dx"":-26,""dy"":27,""t"":5954},{""x"":1398,""y"":301,""dx"":-53,""dy"":20,""t"":5987}],[{""x"":932,""y"":469,""dx"":-39,""dy"":-82,""t"":7007},{""x"":958,""y"":475,""dx"":-13,""dy"":-76,""t"":7042},{""x"":940,""y"":465,""dx"":-31,""dy"":-86,""t"":7077},{""x"":933,""y"":477,""dx"":-38,""dy"":-74,""t"":7110},{""x"":925,""y"":484,""dx"":-46,""dy"":-67,""t"":7144},{""x"":919,""y"":491,""dx"":-52,""dy"":-60,""t"":7175},{""x"":933,""y"":511,""dx"":-38,""dy"":-40,""t"":7212},{""x"":960,""y"":511,""dx"":-11,""dy"":-40,""t"":7246},{""x"":944,""y"":516,""dx"":-27,""dy"":-35,""t"":7281},{""x"":961,""y"":513,""dx"":-10,""dy"":-38,""t"":7314},{""x"":955,""y"":515,""dx"":-16,""dy"":-36,""t"":7348},{""x"":944,""y"":498,""dx"":-27,""dy"":-53,""t"":7383},{""x"":955,""y"":505,""dx"":-16,""dy"":-46,""t"":7417},{""x"":975,""y"":506,""dx"":4,""dy"":-45,""t"":7450},{""x"":982,""y"":520,""dx"":11,""dy"":-31,""t"":7484},{""x"":977,""y"":509,""dx"":6,""dy"":-42,""t"":7517},{""x"":992,""y"":533,""dx"":21,""dy"":-18,""t"":7552},{""x"":1001,""y"":517,""dx"":30,""dy"":-34,""t"":7587},{""x"":994,""y"":503,""dx"":23,""dy"":-48,""t"":7621},{""x"":1002,""y"":537,""dx"":31,""dy"":-14,""t"":7654},{""x"":966,""y"":503,""dx"":-5,""dy"":-48,""t"":7688},{""x"":980,""y"":532,""dx"":9,""dy"":-19,""t"":7722},{""x"":1013,""y"":532,""dx"":42,""dy"":-19,""t"":7756},{""x"":1019,""y"":524,""dx"":48,""dy"":-27,""t"":7790},{""x"":1055,""y"":546,""dx"":84,""dy"":-5,""t"":7823},{""x"":1030,""y"":512,""dx"":59,""dy"":-39,""t"":7859},{""x"":993,""y"":479,""dx"":22,""dy"":-72,""t"":7893},{""x"":957,""y"":477,""dx"":-14,""dy"":-74,""t"":7926},{""x"":967,""y"":498,""dx"":-4,""dy"":-53,""t"":7960},{""x"":936,""y"":492,""dx"":-35,""dy"":-59,""t"":7994},{""x"":940,""y"":494,""dx"":-31,""dy"":-57,""t"":8028},{""x"":947,""y"":493,""dx"":-24,""dy"":-58,""t"":8063},{""x"":949,""y"":495,""dx"":-22,""dy"":-56,""t"":8096},{""x"":950,""y"":508,""dx"":-21,""dy"":-43,""t"":8131},{""x"":978,""y"":520,""dx"":7,""dy"":-31,""t"":8164},{""x"":992,""y"":511,""dx"":21,""dy"":-40,""t"":8197},{""x"":985,""y"":516,""dx"":14,""dy"":-35,""t"":8231},{""x"":961,""y"":492,""dx"":-10,""dy"":-59,""t"":8267},{""x"":958,""y"":499,""dx"":-13,""dy"":-52,""t"":8300},{""x"":955,""y"":469,""dx"":-16,""dy"":-82,""t"":8333},{""x"":959,""y"":489,""dx"":-12,""dy"":-62,""t"":8367},{""x"":969,""y"":509,""dx"":-2,""dy"":-42,""t"":8402},{""x"":962,""y"":480,""dx"":-9,""dy"":-71,""t"":8435},{""x"":982,""y"":508,""dx"":11,""dy"":-43,""t"":8471},{""x"":982,""y"":474,""dx"":11,""dy"":-77,""t"":8504},{""x"":980,""y"":495,""dx"":9,""dy"":-56,""t"":8538},{""x"":955,""y"":472,""dx"":-16,""dy"":-79,""t"":8572},{""x"":933,""y"":489,""dx"":-38,""dy"":-62,""t"":8605},{""x"":900,""y"":465,""dx"":-71,""dy"":-86,""t"":8640},{""x"":924,""y"":478,""dx"":-47,""dy"":-73,""t"":8673},{""x"":931,""y"":482,""dx"":-40,""dy"":-69,""t"":8708},{""x"":937,""y"":492,""dx"":-34,""dy"":-59,""t"":8741},{""x"":959,""y"":515,""dx"":-12,""dy"":-36,""t"":8776},{""x"":963,""y"":537,""dx"":-8,""dy"":-14,""t"":8809},{""x"":968,""y"":539,""dx"":-3,""dy"":-12,""t"":8844},{""x"":984,""y"":538,""dx"":13,""dy"":-13,""t"":8878},{""x"":1007,""y"":542,""dx"":36,""dy"":-9,""t"":8913},{""x"":1026,""y"":556,""dx"":55,""dy"":5,""t"":8946},{""x"":1018,""y"":565,""dx"":47,""dy"":14,""t"":8981},{""x"":1018,""y"":567,""dx"":47,""dy"":16,""t"":9014}],[{""x"":513,""y"":640,""dx"":22,""dy"":-181,""t"":10034},{""x"":542,""y"":658,""dx"":51,""dy"":-163,""t"":10067},{""x"":543,""y"":654,""dx"":52,""dy"":-167,""t"":10102},{""x"":545,""y"":659,""dx"":54,""dy"":-162,""t"":10136},{""x"":576,""y"":670,""dx"":85,""dy"":-151,""t"":10170},{""x"":592,""y"":674,""dx"":101,""dy"":-147,""t"":10204},{""x"":589,""y"":675,""dx"":98,""dy"":-146,""t"":10238},{""x"":592,""y"":689,""dx"":101,""dy"":-132,""t"":10273},{""x"":570,""y"":680,""dx"":79,""dy"":-141,""t"":10307},{""x"":551,""y"":672,""dx"":60,""dy"":-149,""t"":10338},{""x"":537,""y"":679,""dx"":46,""dy"":-142,""t"":10373},{""x"":525,""y"":663,""dx"":34,""dy"":-158,""t"":10408},{""x"":555,""y"":661,""dx"":64,""dy"":-160,""t"":10442},{""x"":534,""y"":651,""dx"":43,""dy"":-170,""t"":10476},{""x"":545,""y"":631,""dx"":54,""dy"":-190,""t"":10509},{""x"":517,""y"":640,""dx"":26,""dy"":-181,""t"":10545},{""x"":486,""y"":627,""dx"":-5,""dy"":-194,""t"":10578},{""x"":525,""y"":632,""dx"":34,""dy"":-189,""t"":10612},{""x"":527,""y"":621,""dx"":36,""dy"":-200,""t"":10646},{""x"":559,""y"":649,""dx"":68,""dy"":-172,""t"":10680},{""x"":534,""y"":653,""dx"":43,""dy"":-168,""t"":10714},{""x"":549,""y"":641,""dx"":58,""dy"":-180,""t"":10746},{""x"":553,""y"":629,""dx"":62,""dy"":-192,""t"":10781},{""x"":559,""y"":619,""dx"":68,""dy"":-202,""t"":10817},{""x"":555,""y"":613,""dx"":64,""dy"":-208,""t"":10849},{""x"":560,""y"":611,""dx"":69,""dy"":-210,""t"":10884},{""x"":567,""y"":609,""dx"":76,""dy"":-212,""t"":10918},{""x"":572,""y"":613,""dx"":81,""dy"":-208,""t"":10952},{""x"":566,""y"":607,""dx"":75,""dy"":-214,""t"":10987},{""x"":570,""y"":610,""dx"":79,""dy"":-211,""t"":11021},{""x"":565,""y"":609,""dx"":74,""dy"":-212,""t"":11054},{""x"":581,""y"":607,""dx"":90,""dy"":-214,""t"":11089},{""x"":599,""y"":617,""dx"":108,""dy"":-204,""t"":11122},{""x"":602,""y"":612,""dx"":111,""dy"":-209,""t"":11155},{""x"":592,""y"":614,""dx"":101,""dy"":-207,""t"":11220},{""x"":567,""y"":619,""dx"":76,""dy"":-202,""t"":11227},{""x"":589,""y"":604,""dx"":98,""dy"":-217,""t"":11259},{""x"":596,""y"":599,""dx"":105,""dy"":-222,""t"":11292},{""x"":575,""y"":638,""dx"":84,""dy"":-183,""t"":11326},{""x"":552,""y"":644,""dx"":61,""dy"":-177,""t"":11360},{""x"":567,""y"":643,""dx"":76,""dy"":-178,""t"":11394},{""x"":548,""y"":660,""dx"":57,""dy"":-161,""t"":11428},{""x"":510,""y"":645,""dx"":19,""dy"":-176,""t"":11462},{""x"":546,""y"":646,""dx"":55,""dy"":-175,""t"":11496},{""x"":519,""y"":634,""dx"":28,""dy"":-187,""t"":11529},{""x"":563,""y"":660,""dx"":72,""dy"":-161,""t"":11563},{""x"":544,""y"":648,""dx"":53,""dy"":-173,""t"":11599},{""x"":571,""y"":633,""dx"":80,""dy"":-188,""t"":11632},{""x"":571,""y"":632,""dx"":80,""dy"":-189,""t"":11666},{""x"":573,""y"":625,""dx"":82,""dy"":-196,""t"":11699},{""x"":572,""y"":620,""dx"":81,""dy"":-201,""t"":11734},{""x"":583,""y"":617,""dx"":92,""dy"":-204,""t"":11768},{""x"":576,""y"":600,""dx"":85,""dy"":-221,""t"":11802},{""x"":562,""y"":619,""dx"":71,""dy"":-202,""t"":11835},{""x"":550,""y"":636,""dx"":59,""dy"":-185,""t"":11869},{""x"":550,""y"":640,""dx"":59,""dy"":-181,""t"":11904},{""x"":564,""y"":638,""dx"":73,""dy"":-183,""t"":11938},{""x"":569,""y"":626,""dx"":78,""dy"":-195,""t"":11972},{""x"":572,""y"":595,""dx"":81,""dy"":-226,""t"":12007}],[{""x"":1452,""y"":752,""dx"":1,""dy"":-69,""t"":13060},{""x"":1423,""y"":759,""dx"":-28,""dy"":-62,""t"":13094},{""x"":1426,""y"":781,""dx"":-25,""dy"":-40,""t"":13129},{""x"":1391,""y"":786,""dx"":-60,""dy"":-35,""t"":13163},{""x"":1333,""y"":763,""dx"":-118,""dy"":-58,""t"":13196},{""x"":1366,""y"":802,""dx"":-85,""dy"":-19,""t"":13229},{""x"":1393,""y"":785,""dx"":-58,""dy"":-36,""t"":13264},{""x"":1344,""y"":751,""dx"":-107,""dy"":-70,""t"":13298},{""x"":1343,""y"":733,""dx"":-108,""dy"":-88,""t"":13332},{""x"":1345,""y"":736,""dx"":-106,""dy"":-85,""t"":13366},{""x"":1339,""y"":742,""dx"":-112,""dy"":-79,""t"":13400},{""x"":1341,""y"":739,""dx"":-110,""dy"":-82,""t"":13434},{""x"":1335,""y"":734,""dx"":-116,""dy"":-87,""t"":13468},{""x"":1360,""y"":747,""dx"":-91,""dy"":-74,""t"":13502},{""x"":1391,""y"":759,""dx"":-60,""dy"":-62,""t"":13537},{""x"":1391,""y"":753,""dx"":-60,""dy"":-68,""t"":13571},{""x"":1379,""y"":743,""dx"":-72,""dy"":-78,""t"":13605},{""x"":1404,""y"":750,""dx"":-47,""dy"":-71,""t"":13639},{""x"":1375,""y"":731,""dx"":-76,""dy"":-90,""t"":13672},{""x"":1406,""y"":747,""dx"":-45,""dy"":-74,""t"":13706},{""x"":1405,""y"":742,""dx"":-46,""dy"":-79,""t"":13740},{""x"":1408,""y"":730,""dx"":-43,""dy"":-91,""t"":13773},{""x"":1420,""y"":714,""dx"":-31,""dy"":-107,""t"":13808},{""x"":1439,""y"":719,""dx"":-12,""dy"":-102,""t"":13842},{""x"":1458,""y"":723,""dx"":7,""dy"":-98,""t"":13876},{""x"":1420,""y"":728,""dx"":-31,""dy"":-93,""t"":13908},{""x"":1432,""y"":741,""dx"":-19,""dy"":-80,""t"":13944},{""x"":1447,""y"":754,""dx"":-4,""dy"":-67,""t"":13978},{""x"":1448,""y"":761,""dx"":-3,""dy"":-60,""t"":14012},{""x"":1476,""y"":749,""dx"":25,""dy"":-72,""t"":14046},{""x"":1406,""y"":727,""dx"":-45,""dy"":-94,""t"":14080},{""x"":1392,""y"":732,""dx"":-59,""dy"":-89,""t"":14114},{""x"":1428,""y"":750,""dx"":-23,""dy"":-71,""t"":14148},{""x"":1367,""y"":739,""dx"":-84,""dy"":-82,""t"":14182},{""x"":1360,""y"":731,""dx"":-91,""dy"":-90,""t"":14216},{""x"":1348,""y"":726,""dx"":-103,""dy"":-95,""t"":14250},{""x"":1305,""y"":723,""dx"":-146,""dy"":-98,""t"":14284},{""x"":1270,""y"":721,""dx"":-181,""dy"":-100,""t"":14316},{""x"":1267,""y"":689,""dx"":-184,""dy"":-132,""t"":14352},{""x"":1248,""y"":710,""dx"":-203,""dy"":-111,""t"":14386},{""x"":1304,""y"":683,""dx"":-147,""dy"":-138,""t"":14420},{""x"":1356,""y"":692,""dx"":-95,""dy"":-129,""t"":14454},{""x"":1387,""y"":685,""dx"":-64,""dy"":-136,""t"":14488},{""x"":1420,""y"":704,""dx"":-31,""dy"":-117,""t"":14523},{""x"":1445,""y"":714,""dx"":-6,""dy"":-107,""t"":14557},{""x"":1454,""y"":738,""dx"":3,""dy"":-83,""t"":14590},{""x"":1465,""y"":746,""dx"":14,""dy"":-75,""t"":14624},{""x"":1456,""y"":742,""dx"":5,""dy"":-79,""t"":14659},{""x"":1437,""y"":751,""dx"":-14,""dy"":-70,""t"":14692},{""x"":1414,""y"":753,""dx"":-37,""dy"":-68,""t"":14727},{""x"":1425,""y"":736,""dx"":-26,""dy"":-85,""t"":14760},{""x"":1404,""y"":744,""dx"":-47,""dy"":-77,""t"":14794},{""x"":1407,""y"":738,""dx"":-44,""dy"":-83,""t"":14828},{""x"":1398,""y"":740,""dx"":-53,""dy"":-81,""t"":14862},{""x"":1401,""y"":739,""dx"":-50,""dy"":-82,""t"":14897},{""x"":1393,""y"":741,""dx"":-58,""dy"":-80,""t"":14931},{""x"":1400,""y"":719,""dx"":-51,""dy"":-102,""t"":14964},{""x"":1380,""y"":701,""dx"":-71,""dy"":-120,""t"":14999},{""x"":1368,""y"":713,""dx"":-83,""dy"":-108,""t"":15032}]]","[73.33333333333333,100,100,54.23728813559322,93.22033898305084]","[{""x"":-169.88333333333333,""y"":36.56666666666667,""r"":69.16519012375163},{""x"":40.30508474576271,""y"":38.52542372881356,""r"":51.384027667547336},{""x"":-3.1666666666666665,""y"":-45.35,""r"":47.81478263395486},{""x"":67.23728813559322,""y"":-185.23728813559322,""r"":27.603931207316247},{""x"":-61.25423728813559,""y"":-84.03389830508475,""r"":44.74463917438946}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
"","html-keyboard-response","10","49467","0.0-6.0-0.0","","","","","2215"," ","","<p>回忆实验（两个刺激物）：每个试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，500毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>实验要求：记忆所呈现刺激物和其对应的位置，根据目标提示的<b>形状（该条件下，颜色为黑色）</b>或者<b>颜色（该条件下，形状为圆且颜色不为黑）</b>，忽略其拓扑特征，选择对应刺激的位置，左边按数字键盘的 ""4"" ,右边按 ""6"" ，不记得或者不存在选择 ""5"" 。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","50291","0.0-6.0-1.0","","","","","323"," ","","<p>要求：记忆项目的颜色。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","51301","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recall","[""6"",""5"",""4"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""6"",""5"",""5"",""4"",""6"",""6"",""5"",""5"",""5"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""5"",""4"",""5"",""5""]","500","color","2","","","","","",""
"","canvas-keyboard-response","13","53309","0.0-6.0-2.0-1.0","","","","","null","null","","[""blue"",""green""]","","","","","","","","","","","","[{""x"":629,""y"":508,""t"":5},{""x"":701,""y"":509,""t"":47},{""x"":793,""y"":529,""t"":77},{""x"":854,""y"":541,""t"":105},{""x"":904,""y"":547,""t"":140},{""x"":917,""y"":546,""t"":175},{""x"":937,""y"":539,""t"":208},{""x"":957,""y"":555,""t"":243},{""x"":961,""y"":560,""t"":277},{""x"":944,""y"":550,""t"":310},{""x"":920,""y"":543,""t"":344},{""x"":833,""y"":530,""t"":378},{""x"":763,""y"":519,""t"":412},{""x"":702,""y"":511,""t"":446},{""x"":703,""y"":481,""t"":480},{""x"":697,""y"":464,""t"":515},{""x"":698,""y"":455,""t"":548},{""x"":767,""y"":478,""t"":582},{""x"":834,""y"":487,""t"":615},{""x"":913,""y"":499,""t"":650},{""x"":957,""y"":510,""t"":684},{""x"":1002,""y"":524,""t"":719},{""x"":1013,""y"":525,""t"":752},{""x"":1035,""y"":536,""t"":786},{""x"":996,""y"":528,""t"":820},{""x"":931,""y"":496,""t"":854},{""x"":906,""y"":502,""t"":888},{""x"":873,""y"":486,""t"":923},{""x"":835,""y"":481,""t"":957},{""x"":791,""y"":468,""t"":990},{""x"":781,""y"":453,""t"":1024},{""x"":755,""y"":443,""t"":1057},{""x"":741,""y"":441,""t"":1092},{""x"":745,""y"":482,""t"":1125},{""x"":763,""y"":614,""t"":1160},{""x"":777,""y"":759,""t"":1194},{""x"":847,""y"":876,""t"":1228},{""x"":908,""y"":972,""t"":1260},{""x"":970,""y"":1013,""t"":1296},{""x"":1012,""y"":963,""t"":1330},{""x"":1035,""y"":893,""t"":1364},{""x"":1082,""y"":816,""t"":1398},{""x"":1047,""y"":758,""t"":1432},{""x"":981,""y"":728,""t"":1466},{""x"":934,""y"":671,""t"":1500},{""x"":866,""y"":615,""t"":1534},{""x"":854,""y"":574,""t"":1568},{""x"":814,""y"":526,""t"":1602},{""x"":801,""y"":526,""t"":1648},{""x"":765,""y"":486,""t"":1672},{""x"":780,""y"":507,""t"":1703},{""x"":863,""y"":518,""t"":1738},{""x"":929,""y"":505,""t"":1773},{""x"":972,""y"":518,""t"":1806},{""x"":1036,""y"":507,""t"":1840},{""x"":1081,""y"":508,""t"":1874},{""x"":1121,""y"":514,""t"":1908},{""x"":1145,""y"":529,""t"":1942},{""x"":1168,""y"":515,""t"":1976}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","","",""
"","canvas-keyboard-response","14","54307","0.0-6.0-2.0-2.0","","","","","489","6","","","","","","","","","","","","","","","","","true","green_1","6"
