"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","4447","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4452","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","10511","0.0-2.0-0.0","","","","","6055","{""name"":""黎钰"",""age"":""22""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","12527","0.0-2.0-1.0","","","","","2014","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","13183","0.0-3.0","","","","","654"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","17632","0.0-4.0","","","","","","","","","1534","","","","","","","","","","","","","","","","",""
"","html-button-response","6","18591","0.0-5.0-0.0","","","","","957","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","29133","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","29983","0.0-5.0-2.0","","","","","849","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","47271","0.0-5.0-3.0","","","","","","","","","","[[{""x"":494,""y"":305,""dx"":3,""dy"":24,""t"":989},{""x"":494,""y"":314,""dx"":3,""dy"":33,""t"":1023},{""x"":493,""y"":333,""dx"":2,""dy"":52,""t"":1059},{""x"":504,""y"":340,""dx"":13,""dy"":59,""t"":1092},{""x"":504,""y"":374,""dx"":13,""dy"":93,""t"":1125},{""x"":510,""y"":393,""dx"":19,""dy"":112,""t"":1160},{""x"":522,""y"":408,""dx"":31,""dy"":127,""t"":1194},{""x"":529,""y"":423,""dx"":38,""dy"":142,""t"":1227},{""x"":536,""y"":419,""dx"":45,""dy"":138,""t"":1262},{""x"":547,""y"":420,""dx"":56,""dy"":139,""t"":1296},{""x"":546,""y"":429,""dx"":55,""dy"":148,""t"":1330},{""x"":545,""y"":433,""dx"":54,""dy"":152,""t"":1364},{""x"":535,""y"":433,""dx"":44,""dy"":152,""t"":1398},{""x"":532,""y"":422,""dx"":41,""dy"":141,""t"":1433},{""x"":535,""y"":435,""dx"":44,""dy"":154,""t"":1466},{""x"":526,""y"":419,""dx"":35,""dy"":138,""t"":1500},{""x"":524,""y"":422,""dx"":33,""dy"":141,""t"":1534},{""x"":534,""y"":375,""dx"":43,""dy"":94,""t"":1568},{""x"":537,""y"":377,""dx"":46,""dy"":96,""t"":1601},{""x"":548,""y"":331,""dx"":57,""dy"":50,""t"":1635},{""x"":549,""y"":350,""dx"":58,""dy"":69,""t"":1670},{""x"":564,""y"":339,""dx"":73,""dy"":58,""t"":1704},{""x"":574,""y"":307,""dx"":83,""dy"":26,""t"":1736},{""x"":551,""y"":328,""dx"":60,""dy"":47,""t"":1773},{""x"":559,""y"":313,""dx"":68,""dy"":32,""t"":1806},{""x"":559,""y"":302,""dx"":68,""dy"":21,""t"":1840},{""x"":565,""y"":282,""dx"":74,""dy"":1,""t"":1873},{""x"":570,""y"":287,""dx"":79,""dy"":6,""t"":1908},{""x"":584,""y"":280,""dx"":93,""dy"":-1,""t"":1942},{""x"":577,""y"":290,""dx"":86,""dy"":9,""t"":1975},{""x"":578,""y"":287,""dx"":87,""dy"":6,""t"":2010},{""x"":578,""y"":288,""dx"":87,""dy"":7,""t"":2043},{""x"":550,""y"":305,""dx"":59,""dy"":24,""t"":2079},{""x"":550,""y"":299,""dx"":59,""dy"":18,""t"":2112},{""x"":570,""y"":269,""dx"":79,""dy"":-12,""t"":2143},{""x"":563,""y"":305,""dx"":72,""dy"":24,""t"":2179},{""x"":537,""y"":323,""dx"":46,""dy"":42,""t"":2214},{""x"":523,""y"":325,""dx"":32,""dy"":44,""t"":2248},{""x"":521,""y"":332,""dx"":30,""dy"":51,""t"":2282},{""x"":515,""y"":332,""dx"":24,""dy"":51,""t"":2316},{""x"":498,""y"":340,""dx"":7,""dy"":59,""t"":2350},{""x"":493,""y"":340,""dx"":2,""dy"":59,""t"":2384},{""x"":495,""y"":348,""dx"":4,""dy"":67,""t"":2418},{""x"":495,""y"":353,""dx"":4,""dy"":72,""t"":2453},{""x"":509,""y"":333,""dx"":18,""dy"":52,""t"":2486},{""x"":538,""y"":322,""dx"":47,""dy"":41,""t"":2520},{""x"":569,""y"":322,""dx"":78,""dy"":41,""t"":2554},{""x"":593,""y"":307,""dx"":102,""dy"":26,""t"":2589},{""x"":568,""y"":307,""dx"":77,""dy"":26,""t"":2622},{""x"":554,""y"":310,""dx"":63,""dy"":29,""t"":2690},{""x"":540,""y"":314,""dx"":49,""dy"":33,""t"":2724},{""x"":531,""y"":315,""dx"":40,""dy"":34,""t"":2758},{""x"":528,""y"":312,""dx"":37,""dy"":31,""t"":2792},{""x"":521,""y"":320,""dx"":30,""dy"":39,""t"":2826},{""x"":521,""y"":309,""dx"":30,""dy"":28,""t"":2860},{""x"":524,""y"":302,""dx"":33,""dy"":21,""t"":2893},{""x"":537,""y"":300,""dx"":46,""dy"":19,""t"":2928},{""x"":545,""y"":296,""dx"":54,""dy"":15,""t"":2961}],[{""x"":1664,""y"":289,""dx"":213,""dy"":8,""t"":4017},{""x"":1656,""y"":277,""dx"":205,""dy"":-4,""t"":4050},{""x"":1634,""y"":297,""dx"":183,""dy"":16,""t"":4084},{""x"":1616,""y"":320,""dx"":165,""dy"":39,""t"":4119},{""x"":1602,""y"":349,""dx"":151,""dy"":68,""t"":4151},{""x"":1583,""y"":367,""dx"":132,""dy"":86,""t"":4186},{""x"":1566,""y"":382,""dx"":115,""dy"":101,""t"":4220},{""x"":1539,""y"":389,""dx"":88,""dy"":108,""t"":4254},{""x"":1523,""y"":390,""dx"":72,""dy"":109,""t"":4288},{""x"":1521,""y"":414,""dx"":70,""dy"":133,""t"":4322},{""x"":1511,""y"":415,""dx"":60,""dy"":134,""t"":4356},{""x"":1498,""y"":410,""dx"":47,""dy"":129,""t"":4390},{""x"":1521,""y"":417,""dx"":70,""dy"":136,""t"":4424},{""x"":1533,""y"":433,""dx"":82,""dy"":152,""t"":4458},{""x"":1523,""y"":425,""dx"":72,""dy"":144,""t"":4493},{""x"":1521,""y"":417,""dx"":70,""dy"":136,""t"":4526},{""x"":1522,""y"":427,""dx"":71,""dy"":146,""t"":4560},{""x"":1522,""y"":416,""dx"":71,""dy"":135,""t"":4594},{""x"":1523,""y"":419,""dx"":72,""dy"":138,""t"":4628},{""x"":1523,""y"":418,""dx"":72,""dy"":137,""t"":4662},{""x"":1535,""y"":413,""dx"":84,""dy"":132,""t"":4696},{""x"":1538,""y"":419,""dx"":87,""dy"":138,""t"":4730},{""x"":1555,""y"":402,""dx"":104,""dy"":121,""t"":4764},{""x"":1556,""y"":404,""dx"":105,""dy"":123,""t"":4798},{""x"":1563,""y"":420,""dx"":112,""dy"":139,""t"":4833},{""x"":1558,""y"":419,""dx"":107,""dy"":138,""t"":4866},{""x"":1553,""y"":419,""dx"":102,""dy"":138,""t"":4898},{""x"":1571,""y"":425,""dx"":120,""dy"":144,""t"":4934},{""x"":1569,""y"":419,""dx"":118,""dy"":138,""t"":4968},{""x"":1580,""y"":429,""dx"":129,""dy"":148,""t"":5002},{""x"":1585,""y"":429,""dx"":134,""dy"":148,""t"":5036},{""x"":1577,""y"":428,""dx"":126,""dy"":147,""t"":5070},{""x"":1563,""y"":428,""dx"":112,""dy"":147,""t"":5104},{""x"":1564,""y"":434,""dx"":113,""dy"":153,""t"":5139},{""x"":1565,""y"":423,""dx"":114,""dy"":142,""t"":5171},{""x"":1579,""y"":438,""dx"":128,""dy"":157,""t"":5206},{""x"":1566,""y"":434,""dx"":115,""dy"":153,""t"":5240},{""x"":1571,""y"":441,""dx"":120,""dy"":160,""t"":5274},{""x"":1560,""y"":434,""dx"":109,""dy"":153,""t"":5307},{""x"":1572,""y"":444,""dx"":121,""dy"":163,""t"":5343},{""x"":1557,""y"":422,""dx"":106,""dy"":141,""t"":5377},{""x"":1568,""y"":434,""dx"":117,""dy"":153,""t"":5409},{""x"":1579,""y"":437,""dx"":128,""dy"":156,""t"":5445},{""x"":1583,""y"":416,""dx"":132,""dy"":135,""t"":5478},{""x"":1581,""y"":427,""dx"":130,""dy"":146,""t"":5512},{""x"":1576,""y"":401,""dx"":125,""dy"":120,""t"":5546},{""x"":1561,""y"":361,""dx"":110,""dy"":80,""t"":5580},{""x"":1556,""y"":394,""dx"":105,""dy"":113,""t"":5613},{""x"":1556,""y"":412,""dx"":105,""dy"":131,""t"":5648},{""x"":1560,""y"":431,""dx"":109,""dy"":150,""t"":5682},{""x"":1575,""y"":432,""dx"":124,""dy"":151,""t"":5717},{""x"":1580,""y"":452,""dx"":129,""dy"":171,""t"":5751},{""x"":1579,""y"":469,""dx"":128,""dy"":188,""t"":5784},{""x"":1583,""y"":470,""dx"":132,""dy"":189,""t"":5818},{""x"":1579,""y"":474,""dx"":128,""dy"":193,""t"":5852},{""x"":1580,""y"":479,""dx"":129,""dy"":198,""t"":5886},{""x"":1581,""y"":482,""dx"":130,""dy"":201,""t"":5920},{""x"":1586,""y"":491,""dx"":135,""dy"":210,""t"":5954},{""x"":1591,""y"":487,""dx"":140,""dy"":206,""t"":5988}],[{""x"":988,""y"":648,""dx"":17,""dy"":97,""t"":7008},{""x"":1001,""y"":647,""dx"":30,""dy"":96,""t"":7042},{""x"":1018,""y"":640,""dx"":47,""dy"":89,""t"":7077},{""x"":1031,""y"":627,""dx"":60,""dy"":76,""t"":7110},{""x"":1046,""y"":633,""dx"":75,""dy"":82,""t"":7144},{""x"":1051,""y"":640,""dx"":80,""dy"":89,""t"":7178},{""x"":1057,""y"":642,""dx"":86,""dy"":91,""t"":7212},{""x"":1059,""y"":639,""dx"":88,""dy"":88,""t"":7246},{""x"":1062,""y"":637,""dx"":91,""dy"":86,""t"":7279},{""x"":1062,""y"":647,""dx"":91,""dy"":96,""t"":7315},{""x"":1060,""y"":637,""dx"":89,""dy"":86,""t"":7347},{""x"":1058,""y"":637,""dx"":87,""dy"":86,""t"":7382},{""x"":1049,""y"":637,""dx"":78,""dy"":86,""t"":7415},{""x"":1050,""y"":640,""dx"":79,""dy"":89,""t"":7450},{""x"":1055,""y"":637,""dx"":84,""dy"":86,""t"":7484},{""x"":1053,""y"":634,""dx"":82,""dy"":83,""t"":7518},{""x"":1041,""y"":627,""dx"":70,""dy"":76,""t"":7552},{""x"":1021,""y"":624,""dx"":50,""dy"":73,""t"":7587},{""x"":996,""y"":621,""dx"":25,""dy"":70,""t"":7620},{""x"":984,""y"":616,""dx"":13,""dy"":65,""t"":7654},{""x"":972,""y"":609,""dx"":1,""dy"":58,""t"":7688},{""x"":990,""y"":609,""dx"":19,""dy"":58,""t"":7722},{""x"":1005,""y"":619,""dx"":34,""dy"":68,""t"":7757},{""x"":1017,""y"":627,""dx"":46,""dy"":76,""t"":7790},{""x"":1018,""y"":633,""dx"":47,""dy"":82,""t"":7824},{""x"":1026,""y"":640,""dx"":55,""dy"":89,""t"":7858},{""x"":1034,""y"":634,""dx"":63,""dy"":83,""t"":7892},{""x"":1034,""y"":639,""dx"":63,""dy"":88,""t"":7926},{""x"":1032,""y"":641,""dx"":61,""dy"":90,""t"":7961},{""x"":1039,""y"":649,""dx"":68,""dy"":98,""t"":7994},{""x"":1034,""y"":634,""dx"":63,""dy"":83,""t"":8029},{""x"":1036,""y"":636,""dx"":65,""dy"":85,""t"":8063},{""x"":1036,""y"":641,""dx"":65,""dy"":90,""t"":8096},{""x"":1037,""y"":657,""dx"":66,""dy"":106,""t"":8131},{""x"":1038,""y"":673,""dx"":67,""dy"":122,""t"":8164},{""x"":1041,""y"":668,""dx"":70,""dy"":117,""t"":8198},{""x"":1044,""y"":666,""dx"":73,""dy"":115,""t"":8232},{""x"":1045,""y"":661,""dx"":74,""dy"":110,""t"":8266},{""x"":1044,""y"":658,""dx"":73,""dy"":107,""t"":8300},{""x"":1043,""y"":658,""dx"":72,""dy"":107,""t"":8334},{""x"":1044,""y"":648,""dx"":73,""dy"":97,""t"":8368},{""x"":1031,""y"":650,""dx"":60,""dy"":99,""t"":8401},{""x"":1035,""y"":651,""dx"":64,""dy"":100,""t"":8436},{""x"":1037,""y"":652,""dx"":66,""dy"":101,""t"":8467},{""x"":1039,""y"":642,""dx"":68,""dy"":91,""t"":8504},{""x"":1037,""y"":631,""dx"":66,""dy"":80,""t"":8538},{""x"":1040,""y"":624,""dx"":69,""dy"":73,""t"":8573},{""x"":1043,""y"":632,""dx"":72,""dy"":81,""t"":8606},{""x"":1049,""y"":633,""dx"":78,""dy"":82,""t"":8641},{""x"":1048,""y"":634,""dx"":77,""dy"":83,""t"":8674},{""x"":1044,""y"":635,""dx"":73,""dy"":84,""t"":8708},{""x"":1039,""y"":634,""dx"":68,""dy"":83,""t"":8742},{""x"":1032,""y"":629,""dx"":61,""dy"":78,""t"":8776},{""x"":1038,""y"":615,""dx"":67,""dy"":64,""t"":8810},{""x"":1038,""y"":606,""dx"":67,""dy"":55,""t"":8843},{""x"":1037,""y"":599,""dx"":66,""dy"":48,""t"":8877},{""x"":1045,""y"":606,""dx"":74,""dy"":55,""t"":8912},{""x"":1046,""y"":610,""dx"":75,""dy"":59,""t"":8946},{""x"":1043,""y"":612,""dx"":72,""dy"":61,""t"":8979}],[{""x"":559,""y"":798,""dx"":68,""dy"":-23,""t"":10033},{""x"":552,""y"":799,""dx"":61,""dy"":-22,""t"":10068},{""x"":551,""y"":802,""dx"":60,""dy"":-19,""t"":10102},{""x"":566,""y"":806,""dx"":75,""dy"":-15,""t"":10136},{""x"":627,""y"":982,""dx"":136,""dy"":161,""t"":10171},{""x"":694,""y"":1169,""dx"":203,""dy"":348,""t"":10204},{""x"":753,""y"":1314,""dx"":262,""dy"":493,""t"":10238},{""x"":817,""y"":1431,""dx"":326,""dy"":610,""t"":10272},{""x"":853,""y"":1501,""dx"":362,""dy"":680,""t"":10305},{""x"":854,""y"":1526,""dx"":363,""dy"":705,""t"":10340},{""x"":828,""y"":1517,""dx"":337,""dy"":696,""t"":10374},{""x"":805,""y"":1484,""dx"":314,""dy"":663,""t"":10408},{""x"":780,""y"":1443,""dx"":289,""dy"":622,""t"":10442},{""x"":758,""y"":1403,""dx"":267,""dy"":582,""t"":10473},{""x"":740,""y"":1328,""dx"":249,""dy"":507,""t"":10510},{""x"":726,""y"":1265,""dx"":235,""dy"":444,""t"":10544},{""x"":705,""y"":1188,""dx"":214,""dy"":367,""t"":10578},{""x"":700,""y"":1122,""dx"":209,""dy"":301,""t"":10612},{""x"":690,""y"":1063,""dx"":199,""dy"":242,""t"":10646},{""x"":682,""y"":1012,""dx"":191,""dy"":191,""t"":10679},{""x"":681,""y"":967,""dx"":190,""dy"":146,""t"":10714},{""x"":681,""y"":928,""dx"":190,""dy"":107,""t"":10748},{""x"":677,""y"":913,""dx"":186,""dy"":92,""t"":10782},{""x"":664,""y"":906,""dx"":173,""dy"":85,""t"":10816},{""x"":667,""y"":882,""dx"":176,""dy"":61,""t"":10850},{""x"":665,""y"":863,""dx"":174,""dy"":42,""t"":10885},{""x"":667,""y"":844,""dx"":176,""dy"":23,""t"":10919},{""x"":672,""y"":832,""dx"":181,""dy"":11,""t"":10952},{""x"":668,""y"":825,""dx"":177,""dy"":4,""t"":10986},{""x"":657,""y"":839,""dx"":166,""dy"":18,""t"":11020},{""x"":653,""y"":834,""dx"":162,""dy"":13,""t"":11054},{""x"":642,""y"":835,""dx"":151,""dy"":14,""t"":11089},{""x"":637,""y"":835,""dx"":146,""dy"":14,""t"":11122},{""x"":629,""y"":830,""dx"":138,""dy"":9,""t"":11156},{""x"":629,""y"":829,""dx"":138,""dy"":8,""t"":11190},{""x"":629,""y"":829,""dx"":138,""dy"":8,""t"":11224},{""x"":630,""y"":833,""dx"":139,""dy"":12,""t"":11258},{""x"":652,""y"":830,""dx"":161,""dy"":9,""t"":11291},{""x"":658,""y"":828,""dx"":167,""dy"":7,""t"":11325},{""x"":659,""y"":835,""dx"":168,""dy"":14,""t"":11360},{""x"":660,""y"":827,""dx"":169,""dy"":6,""t"":11394},{""x"":657,""y"":830,""dx"":166,""dy"":9,""t"":11428},{""x"":665,""y"":829,""dx"":174,""dy"":8,""t"":11462},{""x"":658,""y"":840,""dx"":167,""dy"":19,""t"":11496},{""x"":639,""y"":849,""dx"":148,""dy"":28,""t"":11530},{""x"":634,""y"":850,""dx"":143,""dy"":29,""t"":11564},{""x"":623,""y"":854,""dx"":132,""dy"":33,""t"":11598},{""x"":619,""y"":844,""dx"":128,""dy"":23,""t"":11632},{""x"":610,""y"":857,""dx"":119,""dy"":36,""t"":11665},{""x"":604,""y"":856,""dx"":113,""dy"":35,""t"":11700},{""x"":606,""y"":849,""dx"":115,""dy"":28,""t"":11734},{""x"":611,""y"":841,""dx"":120,""dy"":20,""t"":11768},{""x"":615,""y"":841,""dx"":124,""dy"":20,""t"":11802},{""x"":614,""y"":855,""dx"":123,""dy"":34,""t"":11836},{""x"":613,""y"":858,""dx"":122,""dy"":37,""t"":11870},{""x"":619,""y"":875,""dx"":128,""dy"":54,""t"":11947},{""x"":623,""y"":878,""dx"":132,""dy"":57,""t"":11975},{""x"":627,""y"":879,""dx"":136,""dy"":58,""t"":12006}],[{""x"":1298,""y"":965,""dx"":-153,""dy"":144,""t"":13026},{""x"":1296,""y"":970,""dx"":-155,""dy"":149,""t"":13061},{""x"":1290,""y"":933,""dx"":-161,""dy"":112,""t"":13093},{""x"":1296,""y"":941,""dx"":-155,""dy"":120,""t"":13128},{""x"":1286,""y"":958,""dx"":-165,""dy"":137,""t"":13162},{""x"":1297,""y"":928,""dx"":-154,""dy"":107,""t"":13196},{""x"":1303,""y"":902,""dx"":-148,""dy"":81,""t"":13229},{""x"":1298,""y"":919,""dx"":-153,""dy"":98,""t"":13264},{""x"":1302,""y"":898,""dx"":-149,""dy"":77,""t"":13298},{""x"":1300,""y"":886,""dx"":-151,""dy"":65,""t"":13332},{""x"":1300,""y"":872,""dx"":-151,""dy"":51,""t"":13366},{""x"":1304,""y"":867,""dx"":-147,""dy"":46,""t"":13400},{""x"":1310,""y"":884,""dx"":-141,""dy"":63,""t"":13433},{""x"":1307,""y"":874,""dx"":-144,""dy"":53,""t"":13468},{""x"":1305,""y"":894,""dx"":-146,""dy"":73,""t"":13503},{""x"":1304,""y"":919,""dx"":-147,""dy"":98,""t"":13535},{""x"":1306,""y"":933,""dx"":-145,""dy"":112,""t"":13570},{""x"":1309,""y"":948,""dx"":-142,""dy"":127,""t"":13605},{""x"":1310,""y"":961,""dx"":-141,""dy"":140,""t"":13637},{""x"":1305,""y"":970,""dx"":-146,""dy"":149,""t"":13672},{""x"":1313,""y"":966,""dx"":-138,""dy"":145,""t"":13706},{""x"":1313,""y"":977,""dx"":-138,""dy"":156,""t"":13740},{""x"":1309,""y"":981,""dx"":-142,""dy"":160,""t"":13774},{""x"":1309,""y"":979,""dx"":-142,""dy"":158,""t"":13808},{""x"":1292,""y"":989,""dx"":-159,""dy"":168,""t"":13842},{""x"":1281,""y"":999,""dx"":-170,""dy"":178,""t"":13876},{""x"":1285,""y"":1000,""dx"":-166,""dy"":179,""t"":13910},{""x"":1280,""y"":1001,""dx"":-171,""dy"":180,""t"":13944},{""x"":1283,""y"":1002,""dx"":-168,""dy"":181,""t"":13978},{""x"":1288,""y"":1005,""dx"":-163,""dy"":184,""t"":14012},{""x"":1293,""y"":1007,""dx"":-158,""dy"":186,""t"":14043},{""x"":1296,""y"":1007,""dx"":-155,""dy"":186,""t"":14079},{""x"":1299,""y"":1010,""dx"":-152,""dy"":189,""t"":14113},{""x"":1292,""y"":1002,""dx"":-159,""dy"":181,""t"":14148},{""x"":1301,""y"":997,""dx"":-150,""dy"":176,""t"":14182},{""x"":1305,""y"":998,""dx"":-146,""dy"":177,""t"":14216},{""x"":1307,""y"":1003,""dx"":-144,""dy"":182,""t"":14250},{""x"":1307,""y"":1000,""dx"":-144,""dy"":179,""t"":14283},{""x"":1306,""y"":997,""dx"":-145,""dy"":176,""t"":14319},{""x"":1311,""y"":1002,""dx"":-140,""dy"":181,""t"":14353},{""x"":1317,""y"":1006,""dx"":-134,""dy"":185,""t"":14386},{""x"":1315,""y"":1010,""dx"":-136,""dy"":189,""t"":14421},{""x"":1315,""y"":1005,""dx"":-136,""dy"":184,""t"":14454},{""x"":1319,""y"":1009,""dx"":-132,""dy"":188,""t"":14488},{""x"":1311,""y"":1000,""dx"":-140,""dy"":179,""t"":14522},{""x"":1304,""y"":1008,""dx"":-147,""dy"":187,""t"":14556},{""x"":1299,""y"":1008,""dx"":-152,""dy"":187,""t"":14590},{""x"":1297,""y"":1009,""dx"":-154,""dy"":188,""t"":14624},{""x"":1307,""y"":1004,""dx"":-144,""dy"":183,""t"":14659},{""x"":1307,""y"":999,""dx"":-144,""dy"":178,""t"":14692},{""x"":1312,""y"":1000,""dx"":-139,""dy"":179,""t"":14726},{""x"":1312,""y"":995,""dx"":-139,""dy"":174,""t"":14760},{""x"":1310,""y"":992,""dx"":-141,""dy"":171,""t"":14794},{""x"":1313,""y"":992,""dx"":-138,""dy"":171,""t"":14829},{""x"":1313,""y"":992,""dx"":-138,""dy"":171,""t"":14862},{""x"":1311,""y"":990,""dx"":-140,""dy"":169,""t"":14895},{""x"":1313,""y"":994,""dx"":-138,""dy"":173,""t"":14929},{""x"":1318,""y"":992,""dx"":-133,""dy"":171,""t"":14965},{""x"":1326,""y"":991,""dx"":-125,""dy"":170,""t"":14998}]]","[100,77.96610169491525,100,67.24137931034483,27.11864406779661]","[{""x"":46.775862068965516,""y"":58.62068965517241,""r"":65.69626653489547},{""x"":113.27118644067797,""y"":135,""r"":29.42451963320607},{""x"":64.11864406779661,""y"":84.67796610169492,""r"":17.959912589224444},{""x"":175.44827586206895,""y"":151.10344827586206,""r"":210.64883145977115},{""x"":-147.35593220338984,""y"":150.864406779661,""r"":32.3069387840104}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.21","validate","","","","","","","","","","",""
"","html-button-response","10","47894","0.0-5.0-4.0-0.0-0.0","","","","","623","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","56857","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","57807","0.0-5.0-4.0-0.0-2.0","","","","","949","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
