"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","3437","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","9276","0.0-1.0-0.0","5837","{""name"":""李苏亚"",""age"":""23""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","11101","0.0-1.0-1.0","1824","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","16983","0.0-2.0","","","","2167","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","17996","0.0-3.0-0.0","1011","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","40497","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","41860","0.0-3.0-2.0","1362","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","59028","0.0-3.0-3.0","","","","","","[[{""x"":328,""y"":308,""dx"":-163,""dy"":27,""t"":987},{""x"":311,""y"":304,""dx"":-180,""dy"":23,""t"":1024},{""x"":357,""y"":321,""dx"":-134,""dy"":40,""t"":1057},{""x"":349,""y"":304,""dx"":-142,""dy"":23,""t"":1092},{""x"":326,""y"":304,""dx"":-165,""dy"":23,""t"":1125},{""x"":340,""y"":299,""dx"":-151,""dy"":18,""t"":1161},{""x"":366,""y"":367,""dx"":-125,""dy"":86,""t"":1194},{""x"":374,""y"":360,""dx"":-117,""dy"":79,""t"":1228},{""x"":417,""y"":341,""dx"":-74,""dy"":60,""t"":1261},{""x"":417,""y"":391,""dx"":-74,""dy"":110,""t"":1296},{""x"":400,""y"":377,""dx"":-91,""dy"":96,""t"":1331},{""x"":396,""y"":371,""dx"":-95,""dy"":90,""t"":1364},{""x"":400,""y"":388,""dx"":-91,""dy"":107,""t"":1398},{""x"":405,""y"":373,""dx"":-86,""dy"":92,""t"":1432},{""x"":402,""y"":357,""dx"":-89,""dy"":76,""t"":1466},{""x"":425,""y"":350,""dx"":-66,""dy"":69,""t"":1501},{""x"":409,""y"":358,""dx"":-82,""dy"":77,""t"":1534},{""x"":399,""y"":340,""dx"":-92,""dy"":59,""t"":1567},{""x"":408,""y"":317,""dx"":-83,""dy"":36,""t"":1602},{""x"":394,""y"":303,""dx"":-97,""dy"":22,""t"":1636},{""x"":383,""y"":289,""dx"":-108,""dy"":8,""t"":1670},{""x"":372,""y"":272,""dx"":-119,""dy"":-9,""t"":1704},{""x"":361,""y"":268,""dx"":-130,""dy"":-13,""t"":1737},{""x"":347,""y"":318,""dx"":-144,""dy"":37,""t"":1771},{""x"":338,""y"":313,""dx"":-153,""dy"":32,""t"":1805},{""x"":321,""y"":298,""dx"":-170,""dy"":17,""t"":1840},{""x"":320,""y"":294,""dx"":-171,""dy"":13,""t"":1874},{""x"":292,""y"":328,""dx"":-199,""dy"":47,""t"":1908},{""x"":283,""y"":324,""dx"":-208,""dy"":43,""t"":1943},{""x"":309,""y"":337,""dx"":-182,""dy"":56,""t"":1976},{""x"":327,""y"":342,""dx"":-164,""dy"":61,""t"":2010},{""x"":320,""y"":333,""dx"":-171,""dy"":52,""t"":2043},{""x"":361,""y"":334,""dx"":-130,""dy"":53,""t"":2078},{""x"":371,""y"":343,""dx"":-120,""dy"":62,""t"":2112},{""x"":368,""y"":320,""dx"":-123,""dy"":39,""t"":2146},{""x"":368,""y"":310,""dx"":-123,""dy"":29,""t"":2179},{""x"":345,""y"":308,""dx"":-146,""dy"":27,""t"":2214},{""x"":347,""y"":295,""dx"":-144,""dy"":14,""t"":2247},{""x"":339,""y"":302,""dx"":-152,""dy"":21,""t"":2282},{""x"":360,""y"":307,""dx"":-131,""dy"":26,""t"":2317},{""x"":349,""y"":301,""dx"":-142,""dy"":20,""t"":2349},{""x"":358,""y"":306,""dx"":-133,""dy"":25,""t"":2384},{""x"":360,""y"":305,""dx"":-131,""dy"":24,""t"":2418},{""x"":326,""y"":299,""dx"":-165,""dy"":18,""t"":2451},{""x"":347,""y"":274,""dx"":-144,""dy"":-7,""t"":2486},{""x"":356,""y"":310,""dx"":-135,""dy"":29,""t"":2519},{""x"":348,""y"":303,""dx"":-143,""dy"":22,""t"":2554},{""x"":333,""y"":281,""dx"":-158,""dy"":0,""t"":2586},{""x"":350,""y"":281,""dx"":-141,""dy"":0,""t"":2622},{""x"":358,""y"":292,""dx"":-133,""dy"":11,""t"":2656},{""x"":355,""y"":307,""dx"":-136,""dy"":26,""t"":2690},{""x"":365,""y"":306,""dx"":-126,""dy"":25,""t"":2724},{""x"":327,""y"":337,""dx"":-164,""dy"":56,""t"":2758},{""x"":330,""y"":339,""dx"":-161,""dy"":58,""t"":2792},{""x"":350,""y"":335,""dx"":-141,""dy"":54,""t"":2827},{""x"":353,""y"":320,""dx"":-138,""dy"":39,""t"":2860},{""x"":327,""y"":323,""dx"":-164,""dy"":42,""t"":2894},{""x"":343,""y"":325,""dx"":-148,""dy"":44,""t"":2927},{""x"":324,""y"":328,""dx"":-167,""dy"":47,""t"":2962},{""x"":331,""y"":311,""dx"":-160,""dy"":30,""t"":2996}],[{""x"":505,""y"":870,""dx"":14,""dy"":49,""t"":4016},{""x"":517,""y"":823,""dx"":26,""dy"":2,""t"":4049},{""x"":511,""y"":842,""dx"":20,""dy"":21,""t"":4083},{""x"":536,""y"":774,""dx"":45,""dy"":-47,""t"":4118},{""x"":529,""y"":788,""dx"":38,""dy"":-33,""t"":4152},{""x"":523,""y"":801,""dx"":32,""dy"":-20,""t"":4184},{""x"":530,""y"":760,""dx"":39,""dy"":-61,""t"":4219},{""x"":511,""y"":734,""dx"":20,""dy"":-87,""t"":4253},{""x"":515,""y"":698,""dx"":24,""dy"":-123,""t"":4288},{""x"":514,""y"":724,""dx"":23,""dy"":-97,""t"":4322},{""x"":504,""y"":749,""dx"":13,""dy"":-72,""t"":4356},{""x"":496,""y"":764,""dx"":5,""dy"":-57,""t"":4390},{""x"":522,""y"":782,""dx"":31,""dy"":-39,""t"":4424},{""x"":498,""y"":796,""dx"":7,""dy"":-25,""t"":4459},{""x"":491,""y"":748,""dx"":0,""dy"":-73,""t"":4493},{""x"":514,""y"":732,""dx"":23,""dy"":-89,""t"":4526},{""x"":527,""y"":664,""dx"":36,""dy"":-157,""t"":4558},{""x"":520,""y"":631,""dx"":29,""dy"":-190,""t"":4593},{""x"":515,""y"":671,""dx"":24,""dy"":-150,""t"":4628},{""x"":522,""y"":706,""dx"":31,""dy"":-115,""t"":4662},{""x"":508,""y"":738,""dx"":17,""dy"":-83,""t"":4696},{""x"":524,""y"":700,""dx"":33,""dy"":-121,""t"":4731},{""x"":534,""y"":744,""dx"":43,""dy"":-77,""t"":4764},{""x"":540,""y"":777,""dx"":49,""dy"":-44,""t"":4798},{""x"":546,""y"":737,""dx"":55,""dy"":-84,""t"":4832},{""x"":530,""y"":763,""dx"":39,""dy"":-58,""t"":4865},{""x"":526,""y"":784,""dx"":35,""dy"":-37,""t"":4899},{""x"":533,""y"":752,""dx"":42,""dy"":-69,""t"":4934},{""x"":537,""y"":778,""dx"":46,""dy"":-43,""t"":4969},{""x"":534,""y"":799,""dx"":43,""dy"":-22,""t"":5002},{""x"":526,""y"":766,""dx"":35,""dy"":-55,""t"":5036},{""x"":509,""y"":792,""dx"":18,""dy"":-29,""t"":5070},{""x"":515,""y"":755,""dx"":24,""dy"":-66,""t"":5104},{""x"":516,""y"":732,""dx"":25,""dy"":-89,""t"":5138},{""x"":517,""y"":718,""dx"":26,""dy"":-103,""t"":5172},{""x"":488,""y"":741,""dx"":-3,""dy"":-80,""t"":5206},{""x"":495,""y"":717,""dx"":4,""dy"":-104,""t"":5240},{""x"":500,""y"":747,""dx"":9,""dy"":-74,""t"":5273},{""x"":509,""y"":714,""dx"":18,""dy"":-107,""t"":5308},{""x"":519,""y"":694,""dx"":28,""dy"":-127,""t"":5342},{""x"":532,""y"":738,""dx"":41,""dy"":-83,""t"":5377},{""x"":559,""y"":709,""dx"":68,""dy"":-112,""t"":5409},{""x"":569,""y"":689,""dx"":78,""dy"":-132,""t"":5443},{""x"":553,""y"":724,""dx"":62,""dy"":-97,""t"":5478},{""x"":544,""y"":751,""dx"":53,""dy"":-70,""t"":5512},{""x"":539,""y"":745,""dx"":48,""dy"":-76,""t"":5546},{""x"":531,""y"":726,""dx"":40,""dy"":-95,""t"":5581},{""x"":520,""y"":710,""dx"":29,""dy"":-111,""t"":5614},{""x"":511,""y"":737,""dx"":20,""dy"":-84,""t"":5647},{""x"":511,""y"":698,""dx"":20,""dy"":-123,""t"":5682},{""x"":502,""y"":691,""dx"":11,""dy"":-130,""t"":5717},{""x"":501,""y"":671,""dx"":10,""dy"":-150,""t"":5748},{""x"":523,""y"":651,""dx"":32,""dy"":-170,""t"":5784},{""x"":525,""y"":687,""dx"":34,""dy"":-134,""t"":5818},{""x"":541,""y"":667,""dx"":50,""dy"":-154,""t"":5852},{""x"":541,""y"":704,""dx"":50,""dy"":-117,""t"":5886},{""x"":555,""y"":668,""dx"":64,""dy"":-153,""t"":5920},{""x"":557,""y"":656,""dx"":66,""dy"":-165,""t"":5953},{""x"":552,""y"":707,""dx"":61,""dy"":-114,""t"":5988}],[{""x"":1097,""y"":612,""dx"":126,""dy"":61,""t"":7007},{""x"":1096,""y"":637,""dx"":125,""dy"":86,""t"":7042},{""x"":1091,""y"":623,""dx"":120,""dy"":72,""t"":7076},{""x"":1069,""y"":635,""dx"":98,""dy"":84,""t"":7110},{""x"":1078,""y"":601,""dx"":107,""dy"":50,""t"":7144},{""x"":1081,""y"":593,""dx"":110,""dy"":42,""t"":7179},{""x"":1073,""y"":594,""dx"":102,""dy"":43,""t"":7213},{""x"":1030,""y"":569,""dx"":59,""dy"":18,""t"":7246},{""x"":1038,""y"":565,""dx"":67,""dy"":14,""t"":7279},{""x"":1046,""y"":558,""dx"":75,""dy"":7,""t"":7313},{""x"":1013,""y"":541,""dx"":42,""dy"":-10,""t"":7348},{""x"":1034,""y"":525,""dx"":63,""dy"":-26,""t"":7382},{""x"":1071,""y"":519,""dx"":100,""dy"":-32,""t"":7416},{""x"":1086,""y"":513,""dx"":115,""dy"":-38,""t"":7450},{""x"":1067,""y"":503,""dx"":96,""dy"":-48,""t"":7484},{""x"":1060,""y"":546,""dx"":89,""dy"":-5,""t"":7517},{""x"":1068,""y"":543,""dx"":97,""dy"":-8,""t"":7552},{""x"":1083,""y"":530,""dx"":112,""dy"":-21,""t"":7586},{""x"":1089,""y"":559,""dx"":118,""dy"":8,""t"":7619},{""x"":1061,""y"":543,""dx"":90,""dy"":-8,""t"":7654},{""x"":1069,""y"":543,""dx"":98,""dy"":-8,""t"":7688},{""x"":1077,""y"":591,""dx"":106,""dy"":40,""t"":7722},{""x"":1084,""y"":632,""dx"":113,""dy"":81,""t"":7753},{""x"":1095,""y"":658,""dx"":124,""dy"":107,""t"":7789},{""x"":1096,""y"":622,""dx"":125,""dy"":71,""t"":7824},{""x"":1104,""y"":641,""dx"":133,""dy"":90,""t"":7857},{""x"":1115,""y"":649,""dx"":144,""dy"":98,""t"":7893},{""x"":1107,""y"":630,""dx"":136,""dy"":79,""t"":7926},{""x"":1109,""y"":637,""dx"":138,""dy"":86,""t"":7960},{""x"":1079,""y"":621,""dx"":108,""dy"":70,""t"":7993},{""x"":1078,""y"":638,""dx"":107,""dy"":87,""t"":8028},{""x"":1056,""y"":633,""dx"":85,""dy"":82,""t"":8062},{""x"":1061,""y"":645,""dx"":90,""dy"":94,""t"":8095},{""x"":1058,""y"":645,""dx"":87,""dy"":94,""t"":8128},{""x"":1059,""y"":613,""dx"":88,""dy"":62,""t"":8164},{""x"":1041,""y"":581,""dx"":70,""dy"":30,""t"":8198},{""x"":1026,""y"":555,""dx"":55,""dy"":4,""t"":8232},{""x"":1029,""y"":525,""dx"":58,""dy"":-26,""t"":8266},{""x"":1058,""y"":530,""dx"":87,""dy"":-21,""t"":8301},{""x"":1038,""y"":505,""dx"":67,""dy"":-46,""t"":8334},{""x"":1039,""y"":504,""dx"":68,""dy"":-47,""t"":8369},{""x"":1081,""y"":512,""dx"":110,""dy"":-39,""t"":8401},{""x"":1078,""y"":511,""dx"":107,""dy"":-40,""t"":8436},{""x"":1072,""y"":493,""dx"":101,""dy"":-58,""t"":8470},{""x"":1077,""y"":491,""dx"":106,""dy"":-60,""t"":8504},{""x"":1071,""y"":486,""dx"":100,""dy"":-65,""t"":8541},{""x"":1055,""y"":481,""dx"":84,""dy"":-70,""t"":8579},{""x"":1038,""y"":480,""dx"":67,""dy"":-71,""t"":8606},{""x"":1033,""y"":506,""dx"":62,""dy"":-45,""t"":8639},{""x"":1019,""y"":513,""dx"":48,""dy"":-38,""t"":8674},{""x"":1004,""y"":515,""dx"":33,""dy"":-36,""t"":8707},{""x"":998,""y"":512,""dx"":27,""dy"":-39,""t"":8743},{""x"":995,""y"":517,""dx"":24,""dy"":-34,""t"":8776},{""x"":988,""y"":528,""dx"":17,""dy"":-23,""t"":8810},{""x"":985,""y"":549,""dx"":14,""dy"":-2,""t"":8844},{""x"":985,""y"":560,""dx"":14,""dy"":9,""t"":8878},{""x"":986,""y"":576,""dx"":15,""dy"":25,""t"":8911},{""x"":991,""y"":583,""dx"":20,""dy"":32,""t"":8946},{""x"":997,""y"":590,""dx"":26,""dy"":39,""t"":8980}],[{""x"":1404,""y"":604,""dx"":-47,""dy"":323,""t"":10035},{""x"":1420,""y"":561,""dx"":-31,""dy"":280,""t"":10068},{""x"":1436,""y"":515,""dx"":-15,""dy"":234,""t"":10101},{""x"":1451,""y"":502,""dx"":0,""dy"":221,""t"":10136},{""x"":1466,""y"":489,""dx"":15,""dy"":208,""t"":10171},{""x"":1495,""y"":486,""dx"":44,""dy"":205,""t"":10204},{""x"":1488,""y"":459,""dx"":37,""dy"":178,""t"":10237},{""x"":1486,""y"":436,""dx"":35,""dy"":155,""t"":10272},{""x"":1497,""y"":430,""dx"":46,""dy"":149,""t"":10305},{""x"":1521,""y"":448,""dx"":70,""dy"":167,""t"":10340},{""x"":1510,""y"":427,""dx"":59,""dy"":146,""t"":10373},{""x"":1502,""y"":423,""dx"":51,""dy"":142,""t"":10408},{""x"":1505,""y"":400,""dx"":54,""dy"":119,""t"":10441},{""x"":1505,""y"":404,""dx"":54,""dy"":123,""t"":10476},{""x"":1487,""y"":389,""dx"":36,""dy"":108,""t"":10509},{""x"":1462,""y"":389,""dx"":11,""dy"":108,""t"":10543},{""x"":1476,""y"":363,""dx"":25,""dy"":82,""t"":10577},{""x"":1479,""y"":387,""dx"":28,""dy"":106,""t"":10612},{""x"":1498,""y"":398,""dx"":47,""dy"":117,""t"":10646},{""x"":1491,""y"":416,""dx"":40,""dy"":135,""t"":10680},{""x"":1502,""y"":396,""dx"":51,""dy"":115,""t"":10714},{""x"":1488,""y"":420,""dx"":37,""dy"":139,""t"":10748},{""x"":1497,""y"":434,""dx"":46,""dy"":153,""t"":10781},{""x"":1513,""y"":421,""dx"":62,""dy"":140,""t"":10815},{""x"":1516,""y"":432,""dx"":65,""dy"":151,""t"":10849},{""x"":1525,""y"":442,""dx"":74,""dy"":161,""t"":10883},{""x"":1531,""y"":450,""dx"":80,""dy"":169,""t"":10915},{""x"":1549,""y"":449,""dx"":98,""dy"":168,""t"":10952},{""x"":1554,""y"":442,""dx"":103,""dy"":161,""t"":10985},{""x"":1549,""y"":437,""dx"":98,""dy"":156,""t"":11020},{""x"":1561,""y"":462,""dx"":110,""dy"":181,""t"":11055},{""x"":1533,""y"":468,""dx"":82,""dy"":187,""t"":11088},{""x"":1518,""y"":458,""dx"":67,""dy"":177,""t"":11121},{""x"":1510,""y"":465,""dx"":59,""dy"":184,""t"":11156},{""x"":1493,""y"":450,""dx"":42,""dy"":169,""t"":11189},{""x"":1482,""y"":473,""dx"":31,""dy"":192,""t"":11223},{""x"":1482,""y"":473,""dx"":31,""dy"":192,""t"":11257},{""x"":1499,""y"":461,""dx"":48,""dy"":180,""t"":11292},{""x"":1512,""y"":465,""dx"":61,""dy"":184,""t"":11324},{""x"":1537,""y"":487,""dx"":86,""dy"":206,""t"":11360},{""x"":1524,""y"":485,""dx"":73,""dy"":204,""t"":11393},{""x"":1519,""y"":475,""dx"":68,""dy"":194,""t"":11428},{""x"":1493,""y"":442,""dx"":42,""dy"":161,""t"":11462},{""x"":1491,""y"":442,""dx"":40,""dy"":161,""t"":11495},{""x"":1479,""y"":420,""dx"":28,""dy"":139,""t"":11530},{""x"":1475,""y"":403,""dx"":24,""dy"":122,""t"":11564},{""x"":1491,""y"":411,""dx"":40,""dy"":130,""t"":11597},{""x"":1481,""y"":402,""dx"":30,""dy"":121,""t"":11632},{""x"":1480,""y"":411,""dx"":29,""dy"":130,""t"":11666},{""x"":1476,""y"":414,""dx"":25,""dy"":133,""t"":11700},{""x"":1488,""y"":408,""dx"":37,""dy"":127,""t"":11735},{""x"":1505,""y"":403,""dx"":54,""dy"":122,""t"":11768},{""x"":1503,""y"":383,""dx"":52,""dy"":102,""t"":11802},{""x"":1508,""y"":388,""dx"":57,""dy"":107,""t"":11837},{""x"":1526,""y"":393,""dx"":75,""dy"":112,""t"":11869},{""x"":1514,""y"":413,""dx"":63,""dy"":132,""t"":11904},{""x"":1507,""y"":405,""dx"":56,""dy"":124,""t"":11938},{""x"":1480,""y"":404,""dx"":29,""dy"":123,""t"":11972},{""x"":1499,""y"":421,""dx"":48,""dy"":140,""t"":12006}],[{""x"":1380,""y"":633,""dx"":-71,""dy"":-188,""t"":13026},{""x"":1389,""y"":609,""dx"":-62,""dy"":-212,""t"":13060},{""x"":1404,""y"":595,""dx"":-47,""dy"":-226,""t"":13094},{""x"":1400,""y"":582,""dx"":-51,""dy"":-239,""t"":13128},{""x"":1402,""y"":608,""dx"":-49,""dy"":-213,""t"":13162},{""x"":1434,""y"":589,""dx"":-17,""dy"":-232,""t"":13196},{""x"":1421,""y"":591,""dx"":-30,""dy"":-230,""t"":13230},{""x"":1371,""y"":627,""dx"":-80,""dy"":-194,""t"":13264},{""x"":1333,""y"":659,""dx"":-118,""dy"":-162,""t"":13296},{""x"":1295,""y"":659,""dx"":-156,""dy"":-162,""t"":13331},{""x"":1276,""y"":645,""dx"":-175,""dy"":-176,""t"":13366},{""x"":1286,""y"":671,""dx"":-165,""dy"":-150,""t"":13399},{""x"":1265,""y"":665,""dx"":-186,""dy"":-156,""t"":13434},{""x"":1283,""y"":649,""dx"":-168,""dy"":-172,""t"":13468},{""x"":1299,""y"":622,""dx"":-152,""dy"":-199,""t"":13502},{""x"":1325,""y"":615,""dx"":-126,""dy"":-206,""t"":13535},{""x"":1292,""y"":615,""dx"":-159,""dy"":-206,""t"":13570},{""x"":1263,""y"":621,""dx"":-188,""dy"":-200,""t"":13604},{""x"":1246,""y"":633,""dx"":-205,""dy"":-188,""t"":13638},{""x"":1242,""y"":642,""dx"":-209,""dy"":-179,""t"":13671},{""x"":1283,""y"":621,""dx"":-168,""dy"":-200,""t"":13705},{""x"":1309,""y"":591,""dx"":-142,""dy"":-230,""t"":13740},{""x"":1295,""y"":594,""dx"":-156,""dy"":-227,""t"":13775},{""x"":1335,""y"":582,""dx"":-116,""dy"":-239,""t"":13808},{""x"":1331,""y"":584,""dx"":-120,""dy"":-237,""t"":13841},{""x"":1325,""y"":591,""dx"":-126,""dy"":-230,""t"":13875},{""x"":1320,""y"":590,""dx"":-131,""dy"":-231,""t"":13910},{""x"":1329,""y"":594,""dx"":-122,""dy"":-227,""t"":13943},{""x"":1335,""y"":604,""dx"":-116,""dy"":-217,""t"":13978},{""x"":1324,""y"":616,""dx"":-127,""dy"":-205,""t"":14011},{""x"":1328,""y"":625,""dx"":-123,""dy"":-196,""t"":14045},{""x"":1348,""y"":610,""dx"":-103,""dy"":-211,""t"":14080},{""x"":1336,""y"":625,""dx"":-115,""dy"":-196,""t"":14114},{""x"":1340,""y"":672,""dx"":-111,""dy"":-149,""t"":14148},{""x"":1375,""y"":649,""dx"":-76,""dy"":-172,""t"":14181},{""x"":1388,""y"":642,""dx"":-63,""dy"":-179,""t"":14217},{""x"":1410,""y"":625,""dx"":-41,""dy"":-196,""t"":14249},{""x"":1408,""y"":606,""dx"":-43,""dy"":-215,""t"":14284},{""x"":1363,""y"":608,""dx"":-88,""dy"":-213,""t"":14317},{""x"":1369,""y"":598,""dx"":-82,""dy"":-223,""t"":14351},{""x"":1376,""y"":580,""dx"":-75,""dy"":-241,""t"":14386},{""x"":1352,""y"":573,""dx"":-99,""dy"":-248,""t"":14420},{""x"":1318,""y"":593,""dx"":-133,""dy"":-228,""t"":14454},{""x"":1289,""y"":610,""dx"":-162,""dy"":-211,""t"":14485},{""x"":1278,""y"":660,""dx"":-173,""dy"":-161,""t"":14521},{""x"":1253,""y"":659,""dx"":-198,""dy"":-162,""t"":14555},{""x"":1251,""y"":661,""dx"":-200,""dy"":-160,""t"":14590},{""x"":1229,""y"":655,""dx"":-222,""dy"":-166,""t"":14624},{""x"":1221,""y"":662,""dx"":-230,""dy"":-159,""t"":14657},{""x"":1227,""y"":655,""dx"":-224,""dy"":-166,""t"":14692},{""x"":1237,""y"":659,""dx"":-214,""dy"":-162,""t"":14725},{""x"":1270,""y"":661,""dx"":-181,""dy"":-160,""t"":14759},{""x"":1271,""y"":676,""dx"":-180,""dy"":-145,""t"":14793},{""x"":1289,""y"":643,""dx"":-162,""dy"":-178,""t"":14829},{""x"":1310,""y"":630,""dx"":-141,""dy"":-191,""t"":14860},{""x"":1342,""y"":665,""dx"":-109,""dy"":-156,""t"":14896},{""x"":1382,""y"":642,""dx"":-69,""dy"":-179,""t"":14930},{""x"":1424,""y"":618,""dx"":-27,""dy"":-203,""t"":14964},{""x"":1446,""y"":631,""dx"":-5,""dy"":-190,""t"":14998},{""x"":1464,""y"":620,""dx"":13,""dy"":-201,""t"":15032}]]","[96.66666666666667,100,100,81.35593220338984,10]","[{""x"":-135.25,""y"":39.85,""r"":50.07073254187685},{""x"":32.25423728813559,""y"":-86.52542372881356,""r"":37.39688686737767},{""x"":84.28813559322033,""y"":13.576271186440678,""r"":63.06298862509781},{""x"":46.779661016949156,""y"":156.864406779661,""r"":35.60421541233336},{""x"":-122.9,""y"":-195.83333333333334,""r"":80.48203652627903}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.40","validate","","","","","","","","","","","","","","",""
"","html-button-response","8","60020","0.0-3.0-4.0-0.0-0.0","990","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","","","","","",""
"","webgazer-calibrate","9","268488","0.0-3.0-4.0-0.0-1.0","","","","","","","","","","","","recalibration","","","","","","","","","","","","","",""
"","html-button-response","10","269666","0.0-3.0-4.0-0.0-2.0","1177","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","recalibration","","","","","","","","","","","","","",""
