"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","1629","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","4018","0.0-1.0-0.0","2387","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","5793","0.0-1.0-1.0","1774","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","10075","0.0-2.0","","","","2129","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","11137","0.0-3.0-0.0","1060","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","22428","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","23056","0.0-3.0-2.0","627","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","40689","0.0-3.0-3.0","","","","","","[[{""x"":393,""y"":342,""dx"":-98,""dy"":61,""t"":989},{""x"":409,""y"":337,""dx"":-82,""dy"":56,""t"":1023},{""x"":437,""y"":323,""dx"":-54,""dy"":42,""t"":1057},{""x"":474,""y"":307,""dx"":-17,""dy"":26,""t"":1092},{""x"":456,""y"":287,""dx"":-35,""dy"":6,""t"":1126},{""x"":444,""y"":283,""dx"":-47,""dy"":2,""t"":1160},{""x"":422,""y"":326,""dx"":-69,""dy"":45,""t"":1194},{""x"":404,""y"":343,""dx"":-87,""dy"":62,""t"":1228},{""x"":389,""y"":349,""dx"":-102,""dy"":68,""t"":1262},{""x"":364,""y"":343,""dx"":-127,""dy"":62,""t"":1296},{""x"":380,""y"":345,""dx"":-111,""dy"":64,""t"":1330},{""x"":383,""y"":362,""dx"":-108,""dy"":81,""t"":1363},{""x"":386,""y"":376,""dx"":-105,""dy"":95,""t"":1395},{""x"":367,""y"":387,""dx"":-124,""dy"":106,""t"":1432},{""x"":344,""y"":365,""dx"":-147,""dy"":84,""t"":1466},{""x"":323,""y"":402,""dx"":-168,""dy"":121,""t"":1499},{""x"":321,""y"":373,""dx"":-170,""dy"":92,""t"":1534},{""x"":314,""y"":394,""dx"":-177,""dy"":113,""t"":1569},{""x"":325,""y"":376,""dx"":-166,""dy"":95,""t"":1602},{""x"":345,""y"":401,""dx"":-146,""dy"":120,""t"":1636},{""x"":330,""y"":414,""dx"":-161,""dy"":133,""t"":1671},{""x"":328,""y"":418,""dx"":-163,""dy"":137,""t"":1704},{""x"":334,""y"":414,""dx"":-157,""dy"":133,""t"":1738},{""x"":329,""y"":412,""dx"":-162,""dy"":131,""t"":1771},{""x"":324,""y"":410,""dx"":-167,""dy"":129,""t"":1805},{""x"":318,""y"":421,""dx"":-173,""dy"":140,""t"":1840},{""x"":326,""y"":447,""dx"":-165,""dy"":166,""t"":1873},{""x"":339,""y"":421,""dx"":-152,""dy"":140,""t"":1908},{""x"":369,""y"":452,""dx"":-122,""dy"":171,""t"":1942},{""x"":382,""y"":414,""dx"":-109,""dy"":133,""t"":1977},{""x"":391,""y"":437,""dx"":-100,""dy"":156,""t"":2010},{""x"":372,""y"":461,""dx"":-119,""dy"":180,""t"":2044},{""x"":384,""y"":482,""dx"":-107,""dy"":201,""t"":2079},{""x"":407,""y"":442,""dx"":-84,""dy"":161,""t"":2112},{""x"":414,""y"":406,""dx"":-77,""dy"":125,""t"":2146},{""x"":422,""y"":377,""dx"":-69,""dy"":96,""t"":2180},{""x"":453,""y"":346,""dx"":-38,""dy"":65,""t"":2214},{""x"":442,""y"":325,""dx"":-49,""dy"":44,""t"":2247},{""x"":452,""y"":309,""dx"":-39,""dy"":28,""t"":2282},{""x"":453,""y"":304,""dx"":-38,""dy"":23,""t"":2317},{""x"":446,""y"":301,""dx"":-45,""dy"":20,""t"":2350},{""x"":425,""y"":306,""dx"":-66,""dy"":25,""t"":2384},{""x"":407,""y"":307,""dx"":-84,""dy"":26,""t"":2418},{""x"":389,""y"":309,""dx"":-102,""dy"":28,""t"":2451},{""x"":376,""y"":311,""dx"":-115,""dy"":30,""t"":2485},{""x"":365,""y"":316,""dx"":-126,""dy"":35,""t"":2520},{""x"":356,""y"":327,""dx"":-135,""dy"":46,""t"":2554},{""x"":344,""y"":349,""dx"":-147,""dy"":68,""t"":2588},{""x"":332,""y"":376,""dx"":-159,""dy"":95,""t"":2622},{""x"":307,""y"":402,""dx"":-184,""dy"":121,""t"":2657},{""x"":278,""y"":433,""dx"":-213,""dy"":152,""t"":2690},{""x"":306,""y"":456,""dx"":-185,""dy"":175,""t"":2723},{""x"":310,""y"":477,""dx"":-181,""dy"":196,""t"":2758},{""x"":336,""y"":466,""dx"":-155,""dy"":185,""t"":2792},{""x"":344,""y"":493,""dx"":-147,""dy"":212,""t"":2825},{""x"":380,""y"":490,""dx"":-111,""dy"":209,""t"":2860},{""x"":383,""y"":506,""dx"":-108,""dy"":225,""t"":2895},{""x"":395,""y"":522,""dx"":-96,""dy"":241,""t"":2927},{""x"":376,""y"":539,""dx"":-115,""dy"":258,""t"":2961}],[{""x"":502,""y"":973,""dx"":11,""dy"":152,""t"":4015},{""x"":497,""y"":952,""dx"":6,""dy"":131,""t"":4049},{""x"":488,""y"":967,""dx"":-3,""dy"":146,""t"":4084},{""x"":490,""y"":938,""dx"":-1,""dy"":117,""t"":4117},{""x"":490,""y"":922,""dx"":-1,""dy"":101,""t"":4152},{""x"":514,""y"":883,""dx"":23,""dy"":62,""t"":4186},{""x"":479,""y"":852,""dx"":-12,""dy"":31,""t"":4220},{""x"":455,""y"":819,""dx"":-36,""dy"":-2,""t"":4255},{""x"":432,""y"":800,""dx"":-59,""dy"":-21,""t"":4287},{""x"":445,""y"":788,""dx"":-46,""dy"":-33,""t"":4321},{""x"":447,""y"":767,""dx"":-44,""dy"":-54,""t"":4357},{""x"":439,""y"":759,""dx"":-52,""dy"":-62,""t"":4390},{""x"":432,""y"":756,""dx"":-59,""dy"":-65,""t"":4424},{""x"":459,""y"":752,""dx"":-32,""dy"":-69,""t"":4458},{""x"":484,""y"":745,""dx"":-7,""dy"":-76,""t"":4492},{""x"":504,""y"":739,""dx"":13,""dy"":-82,""t"":4528},{""x"":498,""y"":726,""dx"":7,""dy"":-95,""t"":4560},{""x"":478,""y"":731,""dx"":-13,""dy"":-90,""t"":4594},{""x"":488,""y"":733,""dx"":-3,""dy"":-88,""t"":4627},{""x"":485,""y"":733,""dx"":-6,""dy"":-88,""t"":4661},{""x"":494,""y"":745,""dx"":3,""dy"":-76,""t"":4696},{""x"":484,""y"":770,""dx"":-7,""dy"":-51,""t"":4730},{""x"":496,""y"":784,""dx"":5,""dy"":-37,""t"":4764},{""x"":486,""y"":778,""dx"":-5,""dy"":-43,""t"":4797},{""x"":482,""y"":770,""dx"":-9,""dy"":-51,""t"":4832},{""x"":478,""y"":776,""dx"":-13,""dy"":-45,""t"":4866},{""x"":490,""y"":788,""dx"":-1,""dy"":-33,""t"":4899},{""x"":501,""y"":803,""dx"":10,""dy"":-18,""t"":4934},{""x"":491,""y"":806,""dx"":0,""dy"":-15,""t"":4969},{""x"":483,""y"":809,""dx"":-8,""dy"":-12,""t"":4999},{""x"":496,""y"":821,""dx"":5,""dy"":0,""t"":5037},{""x"":520,""y"":837,""dx"":29,""dy"":16,""t"":5070},{""x"":514,""y"":840,""dx"":23,""dy"":19,""t"":5104},{""x"":526,""y"":856,""dx"":35,""dy"":35,""t"":5138},{""x"":527,""y"":869,""dx"":36,""dy"":48,""t"":5172},{""x"":523,""y"":862,""dx"":32,""dy"":41,""t"":5206},{""x"":513,""y"":861,""dx"":22,""dy"":40,""t"":5239},{""x"":506,""y"":863,""dx"":15,""dy"":42,""t"":5273},{""x"":505,""y"":862,""dx"":14,""dy"":41,""t"":5307},{""x"":505,""y"":868,""dx"":14,""dy"":47,""t"":5341},{""x"":496,""y"":867,""dx"":5,""dy"":46,""t"":5376},{""x"":471,""y"":865,""dx"":-20,""dy"":44,""t"":5410},{""x"":458,""y"":873,""dx"":-33,""dy"":52,""t"":5444},{""x"":457,""y"":872,""dx"":-34,""dy"":51,""t"":5478},{""x"":481,""y"":883,""dx"":-10,""dy"":62,""t"":5512},{""x"":491,""y"":885,""dx"":0,""dy"":64,""t"":5546},{""x"":474,""y"":892,""dx"":-17,""dy"":71,""t"":5579},{""x"":502,""y"":906,""dx"":11,""dy"":85,""t"":5614},{""x"":554,""y"":913,""dx"":63,""dy"":92,""t"":5647},{""x"":559,""y"":929,""dx"":68,""dy"":108,""t"":5682},{""x"":553,""y"":948,""dx"":62,""dy"":127,""t"":5717},{""x"":570,""y"":958,""dx"":79,""dy"":137,""t"":5751},{""x"":574,""y"":968,""dx"":83,""dy"":147,""t"":5783},{""x"":588,""y"":990,""dx"":97,""dy"":169,""t"":5818},{""x"":619,""y"":1002,""dx"":128,""dy"":181,""t"":5851},{""x"":633,""y"":1011,""dx"":142,""dy"":190,""t"":5886},{""x"":710,""y"":1026,""dx"":219,""dy"":205,""t"":5920},{""x"":765,""y"":1055,""dx"":274,""dy"":234,""t"":5953},{""x"":785,""y"":1070,""dx"":294,""dy"":249,""t"":5988}],[{""x"":964,""y"":572,""dx"":-7,""dy"":21,""t"":7042},{""x"":977,""y"":557,""dx"":6,""dy"":6,""t"":7076},{""x"":981,""y"":539,""dx"":10,""dy"":-12,""t"":7111},{""x"":979,""y"":538,""dx"":8,""dy"":-13,""t"":7143},{""x"":993,""y"":526,""dx"":22,""dy"":-25,""t"":7177},{""x"":1010,""y"":513,""dx"":39,""dy"":-38,""t"":7212},{""x"":1013,""y"":508,""dx"":42,""dy"":-43,""t"":7246},{""x"":1004,""y"":509,""dx"":33,""dy"":-42,""t"":7279},{""x"":989,""y"":522,""dx"":18,""dy"":-29,""t"":7314},{""x"":984,""y"":523,""dx"":13,""dy"":-28,""t"":7347},{""x"":960,""y"":520,""dx"":-11,""dy"":-31,""t"":7382},{""x"":964,""y"":527,""dx"":-7,""dy"":-24,""t"":7417},{""x"":932,""y"":535,""dx"":-39,""dy"":-16,""t"":7449},{""x"":932,""y"":534,""dx"":-39,""dy"":-17,""t"":7483},{""x"":918,""y"":532,""dx"":-53,""dy"":-19,""t"":7518},{""x"":927,""y"":538,""dx"":-44,""dy"":-13,""t"":7553},{""x"":918,""y"":540,""dx"":-53,""dy"":-11,""t"":7585},{""x"":948,""y"":552,""dx"":-23,""dy"":1,""t"":7620},{""x"":965,""y"":548,""dx"":-6,""dy"":-3,""t"":7653},{""x"":986,""y"":558,""dx"":15,""dy"":7,""t"":7688},{""x"":1010,""y"":551,""dx"":39,""dy"":0,""t"":7722},{""x"":1016,""y"":542,""dx"":45,""dy"":-9,""t"":7756},{""x"":988,""y"":541,""dx"":17,""dy"":-10,""t"":7789},{""x"":960,""y"":587,""dx"":-11,""dy"":36,""t"":7826},{""x"":979,""y"":570,""dx"":8,""dy"":19,""t"":7857},{""x"":979,""y"":575,""dx"":8,""dy"":24,""t"":7892},{""x"":975,""y"":565,""dx"":4,""dy"":14,""t"":7926},{""x"":982,""y"":555,""dx"":11,""dy"":4,""t"":7962},{""x"":962,""y"":546,""dx"":-9,""dy"":-5,""t"":7995},{""x"":944,""y"":553,""dx"":-27,""dy"":2,""t"":8027},{""x"":934,""y"":561,""dx"":-37,""dy"":10,""t"":8063},{""x"":922,""y"":572,""dx"":-49,""dy"":21,""t"":8095},{""x"":933,""y"":573,""dx"":-38,""dy"":22,""t"":8130},{""x"":940,""y"":581,""dx"":-31,""dy"":30,""t"":8164},{""x"":962,""y"":578,""dx"":-9,""dy"":27,""t"":8197},{""x"":982,""y"":581,""dx"":11,""dy"":30,""t"":8232},{""x"":981,""y"":590,""dx"":10,""dy"":39,""t"":8267},{""x"":970,""y"":606,""dx"":-1,""dy"":55,""t"":8302},{""x"":981,""y"":613,""dx"":10,""dy"":62,""t"":8335},{""x"":993,""y"":613,""dx"":22,""dy"":62,""t"":8368},{""x"":996,""y"":611,""dx"":25,""dy"":60,""t"":8401},{""x"":971,""y"":598,""dx"":0,""dy"":47,""t"":8436},{""x"":952,""y"":593,""dx"":-19,""dy"":42,""t"":8471},{""x"":934,""y"":600,""dx"":-37,""dy"":49,""t"":8504},{""x"":947,""y"":600,""dx"":-24,""dy"":49,""t"":8537},{""x"":960,""y"":599,""dx"":-11,""dy"":48,""t"":8570},{""x"":950,""y"":595,""dx"":-21,""dy"":44,""t"":8605},{""x"":946,""y"":596,""dx"":-25,""dy"":45,""t"":8641},{""x"":961,""y"":598,""dx"":-10,""dy"":47,""t"":8674},{""x"":978,""y"":591,""dx"":7,""dy"":40,""t"":8708},{""x"":967,""y"":584,""dx"":-4,""dy"":33,""t"":8742},{""x"":941,""y"":581,""dx"":-30,""dy"":30,""t"":8776},{""x"":917,""y"":583,""dx"":-54,""dy"":32,""t"":8810},{""x"":917,""y"":583,""dx"":-54,""dy"":32,""t"":8844},{""x"":921,""y"":583,""dx"":-50,""dy"":32,""t"":8877},{""x"":924,""y"":584,""dx"":-47,""dy"":33,""t"":8912},{""x"":929,""y"":584,""dx"":-42,""dy"":33,""t"":8946},{""x"":926,""y"":586,""dx"":-45,""dy"":35,""t"":8980},{""x"":898,""y"":597,""dx"":-73,""dy"":46,""t"":9014}],[{""x"":1432,""y"":357,""dx"":-19,""dy"":76,""t"":10034},{""x"":1425,""y"":346,""dx"":-26,""dy"":65,""t"":10068},{""x"":1408,""y"":343,""dx"":-43,""dy"":62,""t"":10102},{""x"":1395,""y"":341,""dx"":-56,""dy"":60,""t"":10135},{""x"":1388,""y"":331,""dx"":-63,""dy"":50,""t"":10170},{""x"":1368,""y"":330,""dx"":-83,""dy"":49,""t"":10204},{""x"":1358,""y"":334,""dx"":-93,""dy"":53,""t"":10239},{""x"":1347,""y"":328,""dx"":-104,""dy"":47,""t"":10272},{""x"":1349,""y"":340,""dx"":-102,""dy"":59,""t"":10306},{""x"":1351,""y"":358,""dx"":-100,""dy"":77,""t"":10339},{""x"":1387,""y"":354,""dx"":-64,""dy"":73,""t"":10374},{""x"":1390,""y"":355,""dx"":-61,""dy"":74,""t"":10409},{""x"":1399,""y"":356,""dx"":-52,""dy"":75,""t"":10441},{""x"":1423,""y"":352,""dx"":-28,""dy"":71,""t"":10475},{""x"":1429,""y"":353,""dx"":-22,""dy"":72,""t"":10510},{""x"":1433,""y"":353,""dx"":-18,""dy"":72,""t"":10541},{""x"":1454,""y"":382,""dx"":3,""dy"":101,""t"":10577},{""x"":1458,""y"":381,""dx"":7,""dy"":100,""t"":10611},{""x"":1470,""y"":379,""dx"":19,""dy"":98,""t"":10647},{""x"":1467,""y"":391,""dx"":16,""dy"":110,""t"":10680},{""x"":1497,""y"":403,""dx"":46,""dy"":122,""t"":10714},{""x"":1497,""y"":416,""dx"":46,""dy"":135,""t"":10747},{""x"":1484,""y"":416,""dx"":33,""dy"":135,""t"":10782},{""x"":1492,""y"":430,""dx"":41,""dy"":149,""t"":10817},{""x"":1469,""y"":429,""dx"":18,""dy"":148,""t"":10851},{""x"":1453,""y"":441,""dx"":2,""dy"":160,""t"":10884},{""x"":1450,""y"":447,""dx"":-1,""dy"":166,""t"":10917},{""x"":1466,""y"":450,""dx"":15,""dy"":169,""t"":10951},{""x"":1447,""y"":440,""dx"":-4,""dy"":159,""t"":10986},{""x"":1437,""y"":443,""dx"":-14,""dy"":162,""t"":11020},{""x"":1429,""y"":443,""dx"":-22,""dy"":162,""t"":11055},{""x"":1427,""y"":441,""dx"":-24,""dy"":160,""t"":11088},{""x"":1414,""y"":437,""dx"":-37,""dy"":156,""t"":11123},{""x"":1434,""y"":477,""dx"":-17,""dy"":196,""t"":11157},{""x"":1458,""y"":497,""dx"":7,""dy"":216,""t"":11189},{""x"":1470,""y"":504,""dx"":19,""dy"":223,""t"":11223},{""x"":1480,""y"":509,""dx"":29,""dy"":228,""t"":11257},{""x"":1500,""y"":530,""dx"":49,""dy"":249,""t"":11292},{""x"":1507,""y"":553,""dx"":56,""dy"":272,""t"":11326},{""x"":1510,""y"":566,""dx"":59,""dy"":285,""t"":11360},{""x"":1495,""y"":528,""dx"":44,""dy"":247,""t"":11394},{""x"":1492,""y"":539,""dx"":41,""dy"":258,""t"":11428},{""x"":1497,""y"":543,""dx"":46,""dy"":262,""t"":11462},{""x"":1480,""y"":505,""dx"":29,""dy"":224,""t"":11495},{""x"":1460,""y"":468,""dx"":9,""dy"":187,""t"":11530},{""x"":1471,""y"":449,""dx"":20,""dy"":168,""t"":11564},{""x"":1463,""y"":432,""dx"":12,""dy"":151,""t"":11598},{""x"":1461,""y"":420,""dx"":10,""dy"":139,""t"":11631},{""x"":1460,""y"":410,""dx"":9,""dy"":129,""t"":11666},{""x"":1459,""y"":403,""dx"":8,""dy"":122,""t"":11698},{""x"":1467,""y"":406,""dx"":16,""dy"":125,""t"":11734},{""x"":1441,""y"":402,""dx"":-10,""dy"":121,""t"":11768},{""x"":1438,""y"":393,""dx"":-13,""dy"":112,""t"":11803},{""x"":1419,""y"":388,""dx"":-32,""dy"":107,""t"":11836},{""x"":1417,""y"":387,""dx"":-34,""dy"":106,""t"":11870},{""x"":1402,""y"":385,""dx"":-49,""dy"":104,""t"":11904},{""x"":1407,""y"":385,""dx"":-44,""dy"":104,""t"":11938},{""x"":1407,""y"":384,""dx"":-44,""dy"":103,""t"":11973},{""x"":1425,""y"":384,""dx"":-26,""dy"":103,""t"":12005}],[{""x"":1327,""y"":834,""dx"":-124,""dy"":13,""t"":13027},{""x"":1329,""y"":836,""dx"":-122,""dy"":15,""t"":13059},{""x"":1321,""y"":842,""dx"":-130,""dy"":21,""t"":13094},{""x"":1324,""y"":840,""dx"":-127,""dy"":19,""t"":13128},{""x"":1321,""y"":852,""dx"":-130,""dy"":31,""t"":13163},{""x"":1322,""y"":856,""dx"":-129,""dy"":35,""t"":13196},{""x"":1303,""y"":856,""dx"":-148,""dy"":35,""t"":13230},{""x"":1306,""y"":850,""dx"":-145,""dy"":29,""t"":13264},{""x"":1301,""y"":854,""dx"":-150,""dy"":33,""t"":13297},{""x"":1295,""y"":867,""dx"":-156,""dy"":46,""t"":13332},{""x"":1289,""y"":876,""dx"":-162,""dy"":55,""t"":13365},{""x"":1285,""y"":891,""dx"":-166,""dy"":70,""t"":13401},{""x"":1290,""y"":895,""dx"":-161,""dy"":74,""t"":13435},{""x"":1291,""y"":897,""dx"":-160,""dy"":76,""t"":13468},{""x"":1303,""y"":894,""dx"":-148,""dy"":73,""t"":13501},{""x"":1301,""y"":887,""dx"":-150,""dy"":66,""t"":13537},{""x"":1295,""y"":885,""dx"":-156,""dy"":64,""t"":13570},{""x"":1298,""y"":868,""dx"":-153,""dy"":47,""t"":13604},{""x"":1311,""y"":864,""dx"":-140,""dy"":43,""t"":13638},{""x"":1317,""y"":860,""dx"":-134,""dy"":39,""t"":13672},{""x"":1321,""y"":857,""dx"":-130,""dy"":36,""t"":13705},{""x"":1321,""y"":860,""dx"":-130,""dy"":39,""t"":13740},{""x"":1323,""y"":863,""dx"":-128,""dy"":42,""t"":13774},{""x"":1326,""y"":873,""dx"":-125,""dy"":52,""t"":13808},{""x"":1328,""y"":880,""dx"":-123,""dy"":59,""t"":13842},{""x"":1328,""y"":883,""dx"":-123,""dy"":62,""t"":13876},{""x"":1339,""y"":881,""dx"":-112,""dy"":60,""t"":13910},{""x"":1341,""y"":885,""dx"":-110,""dy"":64,""t"":13944},{""x"":1346,""y"":881,""dx"":-105,""dy"":60,""t"":13979},{""x"":1352,""y"":876,""dx"":-99,""dy"":55,""t"":14012},{""x"":1365,""y"":876,""dx"":-86,""dy"":55,""t"":14046},{""x"":1361,""y"":887,""dx"":-90,""dy"":66,""t"":14079},{""x"":1358,""y"":897,""dx"":-93,""dy"":76,""t"":14112},{""x"":1367,""y"":886,""dx"":-84,""dy"":65,""t"":14147},{""x"":1372,""y"":873,""dx"":-79,""dy"":52,""t"":14183},{""x"":1384,""y"":875,""dx"":-67,""dy"":54,""t"":14216},{""x"":1397,""y"":863,""dx"":-54,""dy"":42,""t"":14249},{""x"":1390,""y"":871,""dx"":-61,""dy"":50,""t"":14284},{""x"":1395,""y"":873,""dx"":-56,""dy"":52,""t"":14318},{""x"":1384,""y"":883,""dx"":-67,""dy"":62,""t"":14352},{""x"":1386,""y"":883,""dx"":-65,""dy"":62,""t"":14385},{""x"":1390,""y"":877,""dx"":-61,""dy"":56,""t"":14420},{""x"":1394,""y"":884,""dx"":-57,""dy"":63,""t"":14454},{""x"":1374,""y"":872,""dx"":-77,""dy"":51,""t"":14487},{""x"":1370,""y"":882,""dx"":-81,""dy"":61,""t"":14521},{""x"":1351,""y"":879,""dx"":-100,""dy"":58,""t"":14556},{""x"":1342,""y"":858,""dx"":-109,""dy"":37,""t"":14590},{""x"":1323,""y"":863,""dx"":-128,""dy"":42,""t"":14624},{""x"":1300,""y"":861,""dx"":-151,""dy"":40,""t"":14658},{""x"":1297,""y"":857,""dx"":-154,""dy"":36,""t"":14692},{""x"":1287,""y"":860,""dx"":-164,""dy"":39,""t"":14726},{""x"":1280,""y"":862,""dx"":-171,""dy"":41,""t"":14760},{""x"":1286,""y"":875,""dx"":-165,""dy"":54,""t"":14794},{""x"":1302,""y"":851,""dx"":-149,""dy"":30,""t"":14828},{""x"":1288,""y"":853,""dx"":-163,""dy"":32,""t"":14862},{""x"":1303,""y"":855,""dx"":-148,""dy"":34,""t"":14895},{""x"":1304,""y"":865,""dx"":-147,""dy"":44,""t"":14929},{""x"":1320,""y"":866,""dx"":-131,""dy"":45,""t"":14963},{""x"":1322,""y"":858,""dx"":-129,""dy"":37,""t"":14998},{""x"":1349,""y"":838,""dx"":-102,""dy"":17,""t"":15031}]]","[61.016949152542374,91.52542372881356,100,83.05084745762711,100]","[{""x"":-116.35593220338983,""y"":105.76271186440678,""r"":65.4809839921419},{""x"":21.983050847457626,""y"":36.898305084745765,""r"":84.33163219368872},{""x"":-10.457627118644067,""y"":14.932203389830509,""r"":36.35060606555206},{""x"":-10.101694915254237,""y"":135.05084745762713,""r"":55.34969917268002},{""x"":-121.08333333333333,""y"":47.766666666666666,""r"":50.18330561312417}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.42","validate","","","","","","","","","","","","","",""
"","html-button-response","8","41761","0.0-4.0-0.0","1070","0","","","<p>正式试验：试验都以 500 毫秒的固定时间开始，然后会有一个 2000 ms的样本显示，然后是 1000 毫秒的空白间隔。</p> <p style=""font-weight: bold"">要求：记忆所呈现刺激物和其对应的位置，根据目标提示选择对应刺激的位置,并根据数字键盘的 ""4"" ,""8"" ,""6"" ,""2"" 进行选择响应。</p>","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","9","42773","0.0-4.0-1.0-0.0","null","null","","","","","","","","","recall","[""2"",""2"",""4"",""4"",""6"",""6"",""8"",""8"",""4"",""4"",""2"",""2"",""4"",""4"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""8"",""8"",""8"",""8"",""8"",""8"",""8"",""8"",""4"",""4"",""2"",""2"",""4"",""4"",""2"",""2"",""6"",""6"",""8"",""8"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""8"",""8"",""2"",""2"",""6"",""6""]","1000","color","4","","","","","","","","","",""
"","canvas-keyboard-response","10","43279","0.0-4.0-1.0-1.0","null","null","","","[""blue"",""yellow"",""green"",""cyan""]","","","","","","","","","","","[{""x"":1328,""y"":644,""t"":3},{""x"":1234,""y"":634,""t"":37},{""x"":1142,""y"":641,""t"":77},{""x"":1067,""y"":645,""t"":107},{""x"":1014,""y"":658,""t"":140},{""x"":958,""y"":662,""t"":187},{""x"":905,""y"":665,""t"":215},{""x"":883,""y"":676,""t"":241},{""x"":864,""y"":695,""t"":283},{""x"":877,""y"":689,""t"":310},{""x"":836,""y"":679,""t"":347},{""x"":810,""y"":668,""t"":377},{""x"":764,""y"":647,""t"":423},{""x"":731,""y"":629,""t"":447},{""x"":724,""y"":619,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","","","","","","",""
"","canvas-keyboard-response","11","43793","0.0-4.0-1.0-2.0","null","null","","","","","","","","","recall","[""2"",""2"",""4"",""4"",""6"",""6"",""8"",""8"",""4"",""4"",""2"",""2"",""4"",""4"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""8"",""8"",""8"",""8"",""8"",""8"",""8"",""8"",""4"",""4"",""2"",""2"",""4"",""4"",""2"",""2"",""6"",""6"",""8"",""8"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""8"",""8"",""2"",""2"",""6"",""6""]","1000","color","4","[{""x"":731,""y"":610,""t"":3},{""x"":773,""y"":553,""t"":39},{""x"":790,""y"":475,""t"":77},{""x"":805,""y"":482,""t"":106},{""x"":795,""y"":441,""t"":140},{""x"":820,""y"":383,""t"":189},{""x"":808,""y"":354,""t"":208},{""x"":836,""y"":322,""t"":250},{""x"":827,""y"":313,""t"":278},{""x"":831,""y"":307,""t"":310},{""x"":860,""y"":315,""t"":347},{""x"":887,""y"":327,""t"":378},{""x"":911,""y"":421,""t"":414},{""x"":931,""y"":503,""t"":444},{""x"":924,""y"":573,""t"":488}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
