"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","4485","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4491","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","9506","0.0-2.0-0.0","","","","","5014","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","11242","0.0-2.0-1.0","","","","","1735","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","15461","0.0-3.0","","","","","4218"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","19480","0.0-4.0","","","","","","","","","744","","","","","","","","","","","","","","","","",""
"","html-button-response","6","20586","0.0-5.0-0.0","","","","","1105","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","32426","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","33063","0.0-5.0-2.0","","","","","636","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","51632","0.0-5.0-3.0","","","","","","","","","","[[{""x"":492,""y"":406,""dx"":1,""dy"":125,""t"":1023},{""x"":477,""y"":401,""dx"":-14,""dy"":120,""t"":1055},{""x"":474,""y"":452,""dx"":-17,""dy"":171,""t"":1090},{""x"":464,""y"":475,""dx"":-27,""dy"":194,""t"":1125},{""x"":463,""y"":478,""dx"":-28,""dy"":197,""t"":1157},{""x"":463,""y"":494,""dx"":-28,""dy"":213,""t"":1192},{""x"":482,""y"":477,""dx"":-9,""dy"":196,""t"":1227},{""x"":495,""y"":494,""dx"":4,""dy"":213,""t"":1260},{""x"":506,""y"":432,""dx"":15,""dy"":151,""t"":1294},{""x"":503,""y"":434,""dx"":12,""dy"":153,""t"":1329},{""x"":551,""y"":413,""dx"":60,""dy"":132,""t"":1361},{""x"":494,""y"":422,""dx"":3,""dy"":141,""t"":1395},{""x"":540,""y"":416,""dx"":49,""dy"":135,""t"":1430},{""x"":518,""y"":444,""dx"":27,""dy"":163,""t"":1463},{""x"":563,""y"":434,""dx"":72,""dy"":153,""t"":1497},{""x"":547,""y"":403,""dx"":56,""dy"":122,""t"":1533},{""x"":548,""y"":371,""dx"":57,""dy"":90,""t"":1565},{""x"":522,""y"":350,""dx"":31,""dy"":69,""t"":1599},{""x"":551,""y"":350,""dx"":60,""dy"":69,""t"":1635},{""x"":530,""y"":370,""dx"":39,""dy"":89,""t"":1668},{""x"":573,""y"":346,""dx"":82,""dy"":65,""t"":1701},{""x"":551,""y"":369,""dx"":60,""dy"":88,""t"":1735},{""x"":544,""y"":355,""dx"":53,""dy"":74,""t"":1769},{""x"":533,""y"":328,""dx"":42,""dy"":47,""t"":1804},{""x"":527,""y"":302,""dx"":36,""dy"":21,""t"":1838},{""x"":488,""y"":324,""dx"":-3,""dy"":43,""t"":1872},{""x"":529,""y"":302,""dx"":38,""dy"":21,""t"":1908},{""x"":493,""y"":313,""dx"":2,""dy"":32,""t"":1939},{""x"":490,""y"":330,""dx"":-1,""dy"":49,""t"":1973},{""x"":501,""y"":363,""dx"":10,""dy"":82,""t"":2006},{""x"":505,""y"":335,""dx"":14,""dy"":54,""t"":2043},{""x"":509,""y"":319,""dx"":18,""dy"":38,""t"":2076},{""x"":487,""y"":346,""dx"":-4,""dy"":65,""t"":2109},{""x"":481,""y"":341,""dx"":-10,""dy"":60,""t"":2143},{""x"":472,""y"":367,""dx"":-19,""dy"":86,""t"":2176},{""x"":500,""y"":417,""dx"":9,""dy"":136,""t"":2214},{""x"":504,""y"":409,""dx"":13,""dy"":128,""t"":2246},{""x"":503,""y"":419,""dx"":12,""dy"":138,""t"":2280},{""x"":510,""y"":406,""dx"":19,""dy"":125,""t"":2315},{""x"":511,""y"":412,""dx"":20,""dy"":131,""t"":2346},{""x"":506,""y"":428,""dx"":15,""dy"":147,""t"":2381},{""x"":501,""y"":441,""dx"":10,""dy"":160,""t"":2415},{""x"":497,""y"":442,""dx"":6,""dy"":161,""t"":2449},{""x"":484,""y"":459,""dx"":-7,""dy"":178,""t"":2485},{""x"":512,""y"":448,""dx"":21,""dy"":167,""t"":2518},{""x"":510,""y"":453,""dx"":19,""dy"":172,""t"":2551},{""x"":510,""y"":440,""dx"":19,""dy"":159,""t"":2587},{""x"":497,""y"":438,""dx"":6,""dy"":157,""t"":2620},{""x"":473,""y"":482,""dx"":-18,""dy"":201,""t"":2653},{""x"":473,""y"":462,""dx"":-18,""dy"":181,""t"":2689},{""x"":479,""y"":444,""dx"":-12,""dy"":163,""t"":2721},{""x"":483,""y"":417,""dx"":-8,""dy"":136,""t"":2755},{""x"":460,""y"":451,""dx"":-31,""dy"":170,""t"":2791},{""x"":481,""y"":429,""dx"":-10,""dy"":148,""t"":2823},{""x"":473,""y"":414,""dx"":-18,""dy"":133,""t"":2857},{""x"":449,""y"":419,""dx"":-42,""dy"":138,""t"":2893},{""x"":441,""y"":426,""dx"":-50,""dy"":145,""t"":2925},{""x"":447,""y"":419,""dx"":-44,""dy"":138,""t"":2959}],[{""x"":1477,""y"":404,""dx"":26,""dy"":123,""t"":4012},{""x"":1485,""y"":424,""dx"":34,""dy"":143,""t"":4049},{""x"":1465,""y"":373,""dx"":14,""dy"":92,""t"":4081},{""x"":1438,""y"":346,""dx"":-13,""dy"":65,""t"":4115},{""x"":1442,""y"":373,""dx"":-9,""dy"":92,""t"":4151},{""x"":1411,""y"":332,""dx"":-40,""dy"":51,""t"":4183},{""x"":1414,""y"":327,""dx"":-37,""dy"":46,""t"":4217},{""x"":1442,""y"":334,""dx"":-9,""dy"":53,""t"":4254},{""x"":1433,""y"":332,""dx"":-18,""dy"":51,""t"":4286},{""x"":1404,""y"":315,""dx"":-47,""dy"":34,""t"":4320},{""x"":1379,""y"":302,""dx"":-72,""dy"":21,""t"":4352},{""x"":1347,""y"":229,""dx"":-104,""dy"":-52,""t"":4389},{""x"":1331,""y"":200,""dx"":-120,""dy"":-81,""t"":4421},{""x"":1309,""y"":162,""dx"":-142,""dy"":-119,""t"":4455},{""x"":1295,""y"":150,""dx"":-156,""dy"":-131,""t"":4491},{""x"":1323,""y"":172,""dx"":-128,""dy"":-109,""t"":4523},{""x"":1327,""y"":203,""dx"":-124,""dy"":-78,""t"":4557},{""x"":1366,""y"":258,""dx"":-85,""dy"":-23,""t"":4593},{""x"":1362,""y"":281,""dx"":-89,""dy"":0,""t"":4625},{""x"":1327,""y"":248,""dx"":-124,""dy"":-33,""t"":4659},{""x"":1297,""y"":280,""dx"":-154,""dy"":-1,""t"":4695},{""x"":1292,""y"":278,""dx"":-159,""dy"":-3,""t"":4727},{""x"":1272,""y"":244,""dx"":-179,""dy"":-37,""t"":4761},{""x"":1264,""y"":249,""dx"":-187,""dy"":-32,""t"":4797},{""x"":1294,""y"":226,""dx"":-157,""dy"":-55,""t"":4829},{""x"":1276,""y"":246,""dx"":-175,""dy"":-35,""t"":4863},{""x"":1305,""y"":214,""dx"":-146,""dy"":-67,""t"":4899},{""x"":1292,""y"":212,""dx"":-159,""dy"":-69,""t"":4931},{""x"":1304,""y"":222,""dx"":-147,""dy"":-59,""t"":4965},{""x"":1298,""y"":237,""dx"":-153,""dy"":-44,""t"":4999},{""x"":1312,""y"":242,""dx"":-139,""dy"":-39,""t"":5035},{""x"":1312,""y"":251,""dx"":-139,""dy"":-30,""t"":5068},{""x"":1307,""y"":231,""dx"":-144,""dy"":-50,""t"":5102},{""x"":1306,""y"":252,""dx"":-145,""dy"":-29,""t"":5137},{""x"":1304,""y"":262,""dx"":-147,""dy"":-19,""t"":5169},{""x"":1327,""y"":264,""dx"":-124,""dy"":-17,""t"":5203},{""x"":1321,""y"":257,""dx"":-130,""dy"":-24,""t"":5239},{""x"":1359,""y"":269,""dx"":-92,""dy"":-12,""t"":5272},{""x"":1315,""y"":253,""dx"":-136,""dy"":-28,""t"":5305},{""x"":1330,""y"":246,""dx"":-121,""dy"":-35,""t"":5340},{""x"":1304,""y"":282,""dx"":-147,""dy"":1,""t"":5375},{""x"":1281,""y"":260,""dx"":-170,""dy"":-21,""t"":5407},{""x"":1318,""y"":279,""dx"":-133,""dy"":-2,""t"":5441},{""x"":1321,""y"":283,""dx"":-130,""dy"":2,""t"":5477},{""x"":1342,""y"":318,""dx"":-109,""dy"":37,""t"":5509},{""x"":1349,""y"":349,""dx"":-102,""dy"":68,""t"":5543},{""x"":1324,""y"":304,""dx"":-127,""dy"":23,""t"":5579},{""x"":1305,""y"":307,""dx"":-146,""dy"":26,""t"":5611},{""x"":1289,""y"":281,""dx"":-162,""dy"":0,""t"":5645},{""x"":1288,""y"":306,""dx"":-163,""dy"":25,""t"":5680},{""x"":1303,""y"":336,""dx"":-148,""dy"":55,""t"":5715},{""x"":1313,""y"":355,""dx"":-138,""dy"":74,""t"":5748},{""x"":1267,""y"":321,""dx"":-184,""dy"":40,""t"":5782},{""x"":1302,""y"":351,""dx"":-149,""dy"":70,""t"":5817},{""x"":1304,""y"":373,""dx"":-147,""dy"":92,""t"":5850},{""x"":1296,""y"":372,""dx"":-155,""dy"":91,""t"":5884},{""x"":1301,""y"":390,""dx"":-150,""dy"":109,""t"":5920},{""x"":1295,""y"":373,""dx"":-156,""dy"":92,""t"":5952},{""x"":1289,""y"":374,""dx"":-162,""dy"":93,""t"":5985}],[{""x"":1037,""y"":499,""dx"":66,""dy"":-52,""t"":7007},{""x"":1033,""y"":512,""dx"":62,""dy"":-39,""t"":7039},{""x"":1029,""y"":499,""dx"":58,""dy"":-52,""t"":7074},{""x"":1029,""y"":488,""dx"":58,""dy"":-63,""t"":7108},{""x"":1013,""y"":500,""dx"":42,""dy"":-51,""t"":7140},{""x"":979,""y"":513,""dx"":8,""dy"":-38,""t"":7175},{""x"":950,""y"":523,""dx"":-21,""dy"":-28,""t"":7208},{""x"":964,""y"":512,""dx"":-7,""dy"":-39,""t"":7243},{""x"":987,""y"":478,""dx"":16,""dy"":-73,""t"":7278},{""x"":967,""y"":471,""dx"":-4,""dy"":-80,""t"":7310},{""x"":958,""y"":458,""dx"":-13,""dy"":-93,""t"":7345},{""x"":952,""y"":454,""dx"":-19,""dy"":-97,""t"":7380},{""x"":953,""y"":433,""dx"":-18,""dy"":-118,""t"":7415},{""x"":938,""y"":429,""dx"":-33,""dy"":-122,""t"":7447},{""x"":953,""y"":427,""dx"":-18,""dy"":-124,""t"":7481},{""x"":919,""y"":451,""dx"":-52,""dy"":-100,""t"":7517},{""x"":921,""y"":473,""dx"":-50,""dy"":-78,""t"":7549},{""x"":929,""y"":467,""dx"":-42,""dy"":-84,""t"":7583},{""x"":904,""y"":468,""dx"":-67,""dy"":-83,""t"":7619},{""x"":911,""y"":455,""dx"":-60,""dy"":-96,""t"":7652},{""x"":902,""y"":453,""dx"":-69,""dy"":-98,""t"":7685},{""x"":900,""y"":476,""dx"":-71,""dy"":-75,""t"":7721},{""x"":895,""y"":513,""dx"":-76,""dy"":-38,""t"":7754},{""x"":919,""y"":499,""dx"":-52,""dy"":-52,""t"":7787},{""x"":917,""y"":520,""dx"":-54,""dy"":-31,""t"":7823},{""x"":942,""y"":513,""dx"":-29,""dy"":-38,""t"":7855},{""x"":959,""y"":506,""dx"":-12,""dy"":-45,""t"":7890},{""x"":976,""y"":486,""dx"":5,""dy"":-65,""t"":7926},{""x"":936,""y"":490,""dx"":-35,""dy"":-61,""t"":7957},{""x"":935,""y"":463,""dx"":-36,""dy"":-88,""t"":7992},{""x"":922,""y"":472,""dx"":-49,""dy"":-79,""t"":8027},{""x"":921,""y"":479,""dx"":-50,""dy"":-72,""t"":8060},{""x"":952,""y"":468,""dx"":-19,""dy"":-83,""t"":8094},{""x"":955,""y"":476,""dx"":-16,""dy"":-75,""t"":8129},{""x"":946,""y"":483,""dx"":-25,""dy"":-68,""t"":8161},{""x"":964,""y"":443,""dx"":-7,""dy"":-108,""t"":8195},{""x"":940,""y"":456,""dx"":-31,""dy"":-95,""t"":8230},{""x"":965,""y"":443,""dx"":-6,""dy"":-108,""t"":8263},{""x"":959,""y"":491,""dx"":-12,""dy"":-60,""t"":8297},{""x"":957,""y"":509,""dx"":-14,""dy"":-42,""t"":8333},{""x"":958,""y"":516,""dx"":-13,""dy"":-35,""t"":8365},{""x"":950,""y"":531,""dx"":-21,""dy"":-20,""t"":8400},{""x"":954,""y"":539,""dx"":-17,""dy"":-12,""t"":8435},{""x"":940,""y"":551,""dx"":-31,""dy"":0,""t"":8468},{""x"":927,""y"":561,""dx"":-44,""dy"":10,""t"":8500},{""x"":926,""y"":553,""dx"":-45,""dy"":2,""t"":8536},{""x"":925,""y"":545,""dx"":-46,""dy"":-6,""t"":8568},{""x"":939,""y"":563,""dx"":-32,""dy"":12,""t"":8605},{""x"":953,""y"":575,""dx"":-18,""dy"":24,""t"":8637},{""x"":967,""y"":588,""dx"":-4,""dy"":37,""t"":8671},{""x"":951,""y"":592,""dx"":-20,""dy"":41,""t"":8707},{""x"":953,""y"":592,""dx"":-18,""dy"":41,""t"":8739},{""x"":968,""y"":553,""dx"":-3,""dy"":2,""t"":8773},{""x"":987,""y"":527,""dx"":16,""dy"":-24,""t"":8806},{""x"":964,""y"":533,""dx"":-7,""dy"":-18,""t"":8843},{""x"":978,""y"":528,""dx"":7,""dy"":-23,""t"":8875},{""x"":990,""y"":523,""dx"":19,""dy"":-28,""t"":8908},{""x"":988,""y"":514,""dx"":17,""dy"":-37,""t"":8943},{""x"":979,""y"":529,""dx"":8,""dy"":-22,""t"":8976}],[{""x"":506,""y"":825,""dx"":15,""dy"":4,""t"":10031},{""x"":493,""y"":831,""dx"":2,""dy"":10,""t"":10066},{""x"":483,""y"":837,""dx"":-8,""dy"":16,""t"":10099},{""x"":481,""y"":817,""dx"":-10,""dy"":-4,""t"":10135},{""x"":488,""y"":804,""dx"":-3,""dy"":-17,""t"":10167},{""x"":490,""y"":790,""dx"":-1,""dy"":-31,""t"":10201},{""x"":498,""y"":798,""dx"":7,""dy"":-23,""t"":10237},{""x"":516,""y"":811,""dx"":25,""dy"":-10,""t"":10269},{""x"":536,""y"":809,""dx"":45,""dy"":-12,""t"":10303},{""x"":547,""y"":807,""dx"":56,""dy"":-14,""t"":10339},{""x"":561,""y"":839,""dx"":70,""dy"":18,""t"":10372},{""x"":572,""y"":867,""dx"":81,""dy"":46,""t"":10405},{""x"":589,""y"":879,""dx"":98,""dy"":58,""t"":10440},{""x"":569,""y"":886,""dx"":78,""dy"":65,""t"":10475},{""x"":551,""y"":891,""dx"":60,""dy"":70,""t"":10507},{""x"":562,""y"":865,""dx"":71,""dy"":44,""t"":10541},{""x"":571,""y"":842,""dx"":80,""dy"":21,""t"":10575},{""x"":544,""y"":830,""dx"":53,""dy"":9,""t"":10610},{""x"":547,""y"":814,""dx"":56,""dy"":-7,""t"":10645},{""x"":539,""y"":817,""dx"":48,""dy"":-4,""t"":10678},{""x"":514,""y"":825,""dx"":23,""dy"":4,""t"":10712},{""x"":497,""y"":833,""dx"":6,""dy"":12,""t"":10747},{""x"":496,""y"":848,""dx"":5,""dy"":27,""t"":10780},{""x"":496,""y"":861,""dx"":5,""dy"":40,""t"":10812},{""x"":490,""y"":883,""dx"":-1,""dy"":62,""t"":10847},{""x"":500,""y"":892,""dx"":9,""dy"":71,""t"":10883},{""x"":506,""y"":887,""dx"":15,""dy"":66,""t"":10916},{""x"":482,""y"":878,""dx"":-9,""dy"":57,""t"":10950},{""x"":486,""y"":872,""dx"":-5,""dy"":51,""t"":10985},{""x"":500,""y"":839,""dx"":9,""dy"":18,""t"":11018},{""x"":512,""y"":854,""dx"":21,""dy"":33,""t"":11052},{""x"":516,""y"":857,""dx"":25,""dy"":36,""t"":11086},{""x"":510,""y"":816,""dx"":19,""dy"":-5,""t"":11119},{""x"":495,""y"":828,""dx"":4,""dy"":7,""t"":11154},{""x"":498,""y"":824,""dx"":7,""dy"":3,""t"":11189},{""x"":485,""y"":840,""dx"":-6,""dy"":19,""t"":11221},{""x"":514,""y"":852,""dx"":23,""dy"":31,""t"":11255},{""x"":513,""y"":876,""dx"":22,""dy"":55,""t"":11291},{""x"":514,""y"":889,""dx"":23,""dy"":68,""t"":11324},{""x"":525,""y"":886,""dx"":34,""dy"":65,""t"":11357},{""x"":531,""y"":839,""dx"":40,""dy"":18,""t"":11393},{""x"":518,""y"":860,""dx"":27,""dy"":39,""t"":11426},{""x"":523,""y"":853,""dx"":32,""dy"":32,""t"":11460},{""x"":534,""y"":886,""dx"":43,""dy"":65,""t"":11495},{""x"":540,""y"":860,""dx"":49,""dy"":39,""t"":11529},{""x"":538,""y"":873,""dx"":47,""dy"":52,""t"":11562},{""x"":551,""y"":874,""dx"":60,""dy"":53,""t"":11597},{""x"":556,""y"":866,""dx"":65,""dy"":45,""t"":11630},{""x"":561,""y"":877,""dx"":70,""dy"":56,""t"":11664},{""x"":561,""y"":879,""dx"":70,""dy"":58,""t"":11699},{""x"":578,""y"":883,""dx"":87,""dy"":62,""t"":11733},{""x"":583,""y"":901,""dx"":92,""dy"":80,""t"":11765},{""x"":587,""y"":910,""dx"":96,""dy"":89,""t"":11800},{""x"":565,""y"":930,""dx"":74,""dy"":109,""t"":11835},{""x"":559,""y"":949,""dx"":68,""dy"":128,""t"":11867},{""x"":579,""y"":944,""dx"":88,""dy"":123,""t"":11902},{""x"":614,""y"":974,""dx"":123,""dy"":153,""t"":11937},{""x"":590,""y"":990,""dx"":99,""dy"":169,""t"":11971},{""x"":568,""y"":1001,""dx"":77,""dy"":180,""t"":12003}],[{""x"":1258,""y"":706,""dx"":-193,""dy"":-115,""t"":13024},{""x"":1283,""y"":705,""dx"":-168,""dy"":-116,""t"":13059},{""x"":1251,""y"":695,""dx"":-200,""dy"":-126,""t"":13092},{""x"":1259,""y"":684,""dx"":-192,""dy"":-137,""t"":13125},{""x"":1237,""y"":675,""dx"":-214,""dy"":-146,""t"":13160},{""x"":1256,""y"":682,""dx"":-195,""dy"":-139,""t"":13193},{""x"":1255,""y"":677,""dx"":-196,""dy"":-144,""t"":13227},{""x"":1278,""y"":678,""dx"":-173,""dy"":-143,""t"":13263},{""x"":1262,""y"":672,""dx"":-189,""dy"":-149,""t"":13296},{""x"":1268,""y"":676,""dx"":-183,""dy"":-145,""t"":13329},{""x"":1270,""y"":694,""dx"":-181,""dy"":-127,""t"":13365},{""x"":1228,""y"":686,""dx"":-223,""dy"":-135,""t"":13398},{""x"":1237,""y"":694,""dx"":-214,""dy"":-127,""t"":13432},{""x"":1215,""y"":677,""dx"":-236,""dy"":-144,""t"":13467},{""x"":1245,""y"":685,""dx"":-206,""dy"":-136,""t"":13499},{""x"":1219,""y"":677,""dx"":-232,""dy"":-144,""t"":13533},{""x"":1210,""y"":671,""dx"":-241,""dy"":-150,""t"":13569},{""x"":1216,""y"":678,""dx"":-235,""dy"":-143,""t"":13601},{""x"":1212,""y"":655,""dx"":-239,""dy"":-166,""t"":13635},{""x"":1212,""y"":668,""dx"":-239,""dy"":-153,""t"":13671},{""x"":1211,""y"":680,""dx"":-240,""dy"":-141,""t"":13702},{""x"":1219,""y"":679,""dx"":-232,""dy"":-142,""t"":13737},{""x"":1225,""y"":678,""dx"":-226,""dy"":-143,""t"":13771},{""x"":1197,""y"":694,""dx"":-254,""dy"":-127,""t"":13805},{""x"":1206,""y"":717,""dx"":-245,""dy"":-104,""t"":13841},{""x"":1208,""y"":733,""dx"":-243,""dy"":-88,""t"":13873},{""x"":1215,""y"":744,""dx"":-236,""dy"":-77,""t"":13908},{""x"":1215,""y"":761,""dx"":-236,""dy"":-60,""t"":13943},{""x"":1216,""y"":767,""dx"":-235,""dy"":-54,""t"":13975},{""x"":1236,""y"":761,""dx"":-215,""dy"":-60,""t"":14008},{""x"":1249,""y"":755,""dx"":-202,""dy"":-66,""t"":14043},{""x"":1242,""y"":748,""dx"":-209,""dy"":-73,""t"":14079},{""x"":1242,""y"":736,""dx"":-209,""dy"":-85,""t"":14111},{""x"":1251,""y"":739,""dx"":-200,""dy"":-82,""t"":14147},{""x"":1241,""y"":751,""dx"":-210,""dy"":-70,""t"":14179},{""x"":1246,""y"":740,""dx"":-205,""dy"":-81,""t"":14215},{""x"":1265,""y"":737,""dx"":-186,""dy"":-84,""t"":14248},{""x"":1245,""y"":724,""dx"":-206,""dy"":-97,""t"":14281},{""x"":1316,""y"":701,""dx"":-135,""dy"":-120,""t"":14317},{""x"":1335,""y"":695,""dx"":-116,""dy"":-126,""t"":14348},{""x"":1338,""y"":686,""dx"":-113,""dy"":-135,""t"":14383},{""x"":1313,""y"":673,""dx"":-138,""dy"":-148,""t"":14418},{""x"":1284,""y"":665,""dx"":-167,""dy"":-156,""t"":14453},{""x"":1273,""y"":682,""dx"":-178,""dy"":-139,""t"":14485},{""x"":1248,""y"":697,""dx"":-203,""dy"":-124,""t"":14519},{""x"":1247,""y"":707,""dx"":-204,""dy"":-114,""t"":14556},{""x"":1233,""y"":713,""dx"":-218,""dy"":-108,""t"":14588},{""x"":1232,""y"":701,""dx"":-219,""dy"":-120,""t"":14622},{""x"":1219,""y"":708,""dx"":-232,""dy"":-113,""t"":14657},{""x"":1222,""y"":737,""dx"":-229,""dy"":-84,""t"":14690},{""x"":1221,""y"":743,""dx"":-230,""dy"":-78,""t"":14724},{""x"":1187,""y"":743,""dx"":-264,""dy"":-78,""t"":14760},{""x"":1207,""y"":730,""dx"":-244,""dy"":-91,""t"":14792},{""x"":1181,""y"":736,""dx"":-270,""dy"":-85,""t"":14825},{""x"":1198,""y"":736,""dx"":-253,""dy"":-85,""t"":14861},{""x"":1212,""y"":759,""dx"":-239,""dy"":-62,""t"":14894},{""x"":1187,""y"":766,""dx"":-264,""dy"":-55,""t"":14928},{""x"":1200,""y"":759,""dx"":-251,""dy"":-62,""t"":14963},{""x"":1205,""y"":756,""dx"":-246,""dy"":-65,""t"":14996}]]","[94.82758620689656,98.30508474576271,100,100,5.084745762711865]","[{""x"":10.206896551724139,""y"":124.70689655172414,""r"":80.63240264381776},{""x"":-117.86440677966101,""y"":5.677966101694915,""r"":70.13681585879621},{""x"":-17.016949152542374,""y"":-49.94915254237288,""r"":43.23784623815102},{""x"":39.983050847457626,""y"":42.52542372881356,""r"":45.43897100707862},{""x"":-212.72881355932202,""y"":-111.30508474576271,""r"":38.73723529691713}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","","",""
"","html-button-response","10","52151","0.0-5.0-4.0-0.0-0.0","","","","","518","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","60977","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","62046","0.0-5.0-4.0-0.0-2.0","","","","","1068","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
