"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2308","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2313","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","10459","0.0-2.0-0.0","","","","","8144","{""name"":""黎钰"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","12032","0.0-2.0-1.0","","","","","1572","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","12576","0.0-3.0","","","","","542"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","16320","0.0-4.0","","","","","","","","","1493","","","","","","","","","","","","","","","",""
"","html-button-response","6","17088","0.0-5.0-0.0","","","","","766","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","27238","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","27903","0.0-5.0-2.0","","","","","665","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","45248","0.0-5.0-3.0","","","","","","","","","","[[{""x"":508,""y"":342,""dx"":17,""dy"":61,""t"":990},{""x"":508,""y"":330,""dx"":17,""dy"":49,""t"":1024},{""x"":508,""y"":327,""dx"":17,""dy"":46,""t"":1059},{""x"":513,""y"":356,""dx"":22,""dy"":75,""t"":1092},{""x"":514,""y"":340,""dx"":23,""dy"":59,""t"":1126},{""x"":512,""y"":344,""dx"":21,""dy"":63,""t"":1159},{""x"":504,""y"":332,""dx"":13,""dy"":51,""t"":1194},{""x"":507,""y"":327,""dx"":16,""dy"":46,""t"":1228},{""x"":499,""y"":333,""dx"":8,""dy"":52,""t"":1263},{""x"":492,""y"":319,""dx"":1,""dy"":38,""t"":1296},{""x"":494,""y"":314,""dx"":3,""dy"":33,""t"":1330},{""x"":501,""y"":333,""dx"":10,""dy"":52,""t"":1364},{""x"":498,""y"":335,""dx"":7,""dy"":54,""t"":1398},{""x"":504,""y"":356,""dx"":13,""dy"":75,""t"":1433},{""x"":503,""y"":368,""dx"":12,""dy"":87,""t"":1465},{""x"":503,""y"":378,""dx"":12,""dy"":97,""t"":1498},{""x"":506,""y"":352,""dx"":15,""dy"":71,""t"":1535},{""x"":506,""y"":316,""dx"":15,""dy"":35,""t"":1568},{""x"":508,""y"":341,""dx"":17,""dy"":60,""t"":1602},{""x"":501,""y"":354,""dx"":10,""dy"":73,""t"":1636},{""x"":505,""y"":324,""dx"":14,""dy"":43,""t"":1670},{""x"":509,""y"":313,""dx"":18,""dy"":32,""t"":1705},{""x"":506,""y"":337,""dx"":15,""dy"":56,""t"":1738},{""x"":497,""y"":344,""dx"":6,""dy"":63,""t"":1772},{""x"":506,""y"":323,""dx"":15,""dy"":42,""t"":1806},{""x"":500,""y"":319,""dx"":9,""dy"":38,""t"":1840},{""x"":510,""y"":283,""dx"":19,""dy"":2,""t"":1875},{""x"":506,""y"":260,""dx"":15,""dy"":-21,""t"":1906},{""x"":497,""y"":255,""dx"":6,""dy"":-26,""t"":1942},{""x"":505,""y"":247,""dx"":14,""dy"":-34,""t"":1975},{""x"":491,""y"":254,""dx"":0,""dy"":-27,""t"":2010},{""x"":492,""y"":254,""dx"":1,""dy"":-27,""t"":2044},{""x"":484,""y"":234,""dx"":-7,""dy"":-47,""t"":2078},{""x"":478,""y"":242,""dx"":-13,""dy"":-39,""t"":2112},{""x"":480,""y"":237,""dx"":-11,""dy"":-44,""t"":2146},{""x"":487,""y"":238,""dx"":-4,""dy"":-43,""t"":2179},{""x"":478,""y"":266,""dx"":-13,""dy"":-15,""t"":2214},{""x"":485,""y"":268,""dx"":-6,""dy"":-13,""t"":2247},{""x"":486,""y"":275,""dx"":-5,""dy"":-6,""t"":2282},{""x"":477,""y"":271,""dx"":-14,""dy"":-10,""t"":2316},{""x"":487,""y"":273,""dx"":-4,""dy"":-8,""t"":2350},{""x"":489,""y"":272,""dx"":-2,""dy"":-9,""t"":2383},{""x"":490,""y"":259,""dx"":-1,""dy"":-22,""t"":2417},{""x"":483,""y"":254,""dx"":-8,""dy"":-27,""t"":2452},{""x"":490,""y"":249,""dx"":-1,""dy"":-32,""t"":2486},{""x"":497,""y"":252,""dx"":6,""dy"":-29,""t"":2519},{""x"":492,""y"":254,""dx"":1,""dy"":-27,""t"":2553},{""x"":498,""y"":289,""dx"":7,""dy"":8,""t"":2587},{""x"":509,""y"":283,""dx"":18,""dy"":2,""t"":2623},{""x"":524,""y"":273,""dx"":33,""dy"":-8,""t"":2656},{""x"":527,""y"":256,""dx"":36,""dy"":-25,""t"":2689},{""x"":508,""y"":259,""dx"":17,""dy"":-22,""t"":2724},{""x"":507,""y"":264,""dx"":16,""dy"":-17,""t"":2758},{""x"":495,""y"":281,""dx"":4,""dy"":0,""t"":2792},{""x"":494,""y"":269,""dx"":3,""dy"":-12,""t"":2826},{""x"":499,""y"":250,""dx"":8,""dy"":-31,""t"":2860},{""x"":502,""y"":259,""dx"":11,""dy"":-22,""t"":2894},{""x"":499,""y"":260,""dx"":8,""dy"":-21,""t"":2929},{""x"":502,""y"":243,""dx"":11,""dy"":-38,""t"":2962}],[{""x"":1534,""y"":383,""dx"":83,""dy"":102,""t"":4016},{""x"":1522,""y"":367,""dx"":71,""dy"":86,""t"":4049},{""x"":1509,""y"":376,""dx"":58,""dy"":95,""t"":4084},{""x"":1513,""y"":389,""dx"":62,""dy"":108,""t"":4119},{""x"":1502,""y"":392,""dx"":51,""dy"":111,""t"":4151},{""x"":1491,""y"":400,""dx"":40,""dy"":119,""t"":4186},{""x"":1469,""y"":379,""dx"":18,""dy"":98,""t"":4221},{""x"":1468,""y"":378,""dx"":17,""dy"":97,""t"":4254},{""x"":1444,""y"":370,""dx"":-7,""dy"":89,""t"":4289},{""x"":1427,""y"":353,""dx"":-24,""dy"":72,""t"":4321},{""x"":1417,""y"":354,""dx"":-34,""dy"":73,""t"":4355},{""x"":1424,""y"":349,""dx"":-27,""dy"":68,""t"":4420},{""x"":1431,""y"":346,""dx"":-20,""dy"":65,""t"":4427},{""x"":1446,""y"":361,""dx"":-5,""dy"":80,""t"":4460},{""x"":1451,""y"":374,""dx"":0,""dy"":93,""t"":4492},{""x"":1435,""y"":354,""dx"":-16,""dy"":73,""t"":4527},{""x"":1464,""y"":391,""dx"":13,""dy"":110,""t"":4560},{""x"":1464,""y"":385,""dx"":13,""dy"":104,""t"":4595},{""x"":1462,""y"":403,""dx"":11,""dy"":122,""t"":4628},{""x"":1473,""y"":397,""dx"":22,""dy"":116,""t"":4663},{""x"":1475,""y"":396,""dx"":24,""dy"":115,""t"":4697},{""x"":1473,""y"":381,""dx"":22,""dy"":100,""t"":4730},{""x"":1469,""y"":370,""dx"":18,""dy"":89,""t"":4764},{""x"":1468,""y"":354,""dx"":17,""dy"":73,""t"":4797},{""x"":1475,""y"":361,""dx"":24,""dy"":80,""t"":4833},{""x"":1478,""y"":368,""dx"":27,""dy"":87,""t"":4865},{""x"":1476,""y"":372,""dx"":25,""dy"":91,""t"":4900},{""x"":1469,""y"":400,""dx"":18,""dy"":119,""t"":4934},{""x"":1491,""y"":420,""dx"":40,""dy"":139,""t"":4968},{""x"":1506,""y"":426,""dx"":55,""dy"":145,""t"":5003},{""x"":1505,""y"":431,""dx"":54,""dy"":150,""t"":5036},{""x"":1503,""y"":434,""dx"":52,""dy"":153,""t"":5068},{""x"":1505,""y"":444,""dx"":54,""dy"":163,""t"":5103},{""x"":1507,""y"":433,""dx"":56,""dy"":152,""t"":5138},{""x"":1512,""y"":431,""dx"":61,""dy"":150,""t"":5173},{""x"":1516,""y"":438,""dx"":65,""dy"":157,""t"":5206},{""x"":1507,""y"":437,""dx"":56,""dy"":156,""t"":5240},{""x"":1502,""y"":440,""dx"":51,""dy"":159,""t"":5273},{""x"":1497,""y"":425,""dx"":46,""dy"":144,""t"":5309},{""x"":1500,""y"":417,""dx"":49,""dy"":136,""t"":5343},{""x"":1499,""y"":402,""dx"":48,""dy"":121,""t"":5376},{""x"":1502,""y"":403,""dx"":51,""dy"":122,""t"":5410},{""x"":1506,""y"":404,""dx"":55,""dy"":123,""t"":5444},{""x"":1508,""y"":395,""dx"":57,""dy"":114,""t"":5479},{""x"":1527,""y"":399,""dx"":76,""dy"":118,""t"":5512},{""x"":1525,""y"":418,""dx"":74,""dy"":137,""t"":5547},{""x"":1532,""y"":428,""dx"":81,""dy"":147,""t"":5580},{""x"":1499,""y"":395,""dx"":48,""dy"":114,""t"":5614},{""x"":1475,""y"":387,""dx"":24,""dy"":106,""t"":5648},{""x"":1451,""y"":378,""dx"":0,""dy"":97,""t"":5682},{""x"":1435,""y"":355,""dx"":-16,""dy"":74,""t"":5717},{""x"":1416,""y"":337,""dx"":-35,""dy"":56,""t"":5750},{""x"":1405,""y"":339,""dx"":-46,""dy"":58,""t"":5785},{""x"":1417,""y"":368,""dx"":-34,""dy"":87,""t"":5818},{""x"":1419,""y"":360,""dx"":-32,""dy"":79,""t"":5851},{""x"":1419,""y"":341,""dx"":-32,""dy"":60,""t"":5886},{""x"":1447,""y"":361,""dx"":-4,""dy"":80,""t"":5920},{""x"":1469,""y"":378,""dx"":18,""dy"":97,""t"":5956},{""x"":1487,""y"":391,""dx"":36,""dy"":110,""t"":5988}],[{""x"":1027,""y"":498,""dx"":56,""dy"":-53,""t"":7008},{""x"":1030,""y"":509,""dx"":59,""dy"":-42,""t"":7039},{""x"":1038,""y"":520,""dx"":67,""dy"":-31,""t"":7076},{""x"":1033,""y"":525,""dx"":62,""dy"":-26,""t"":7110},{""x"":1059,""y"":544,""dx"":88,""dy"":-7,""t"":7143},{""x"":1045,""y"":547,""dx"":74,""dy"":-4,""t"":7178},{""x"":1044,""y"":560,""dx"":73,""dy"":9,""t"":7213},{""x"":1028,""y"":547,""dx"":57,""dy"":-4,""t"":7247},{""x"":1030,""y"":562,""dx"":59,""dy"":11,""t"":7279},{""x"":1024,""y"":558,""dx"":53,""dy"":7,""t"":7314},{""x"":1033,""y"":537,""dx"":62,""dy"":-14,""t"":7348},{""x"":1045,""y"":523,""dx"":74,""dy"":-28,""t"":7382},{""x"":1041,""y"":520,""dx"":70,""dy"":-31,""t"":7416},{""x"":1050,""y"":539,""dx"":79,""dy"":-12,""t"":7450},{""x"":1071,""y"":523,""dx"":100,""dy"":-28,""t"":7483},{""x"":1061,""y"":521,""dx"":90,""dy"":-30,""t"":7518},{""x"":1054,""y"":510,""dx"":83,""dy"":-41,""t"":7551},{""x"":1041,""y"":508,""dx"":70,""dy"":-43,""t"":7586},{""x"":1020,""y"":541,""dx"":49,""dy"":-10,""t"":7620},{""x"":1022,""y"":529,""dx"":51,""dy"":-22,""t"":7655},{""x"":1019,""y"":527,""dx"":48,""dy"":-24,""t"":7688},{""x"":1038,""y"":497,""dx"":67,""dy"":-54,""t"":7721},{""x"":1034,""y"":481,""dx"":63,""dy"":-70,""t"":7756},{""x"":1022,""y"":505,""dx"":51,""dy"":-46,""t"":7791},{""x"":1016,""y"":492,""dx"":45,""dy"":-59,""t"":7825},{""x"":1009,""y"":492,""dx"":38,""dy"":-59,""t"":7859},{""x"":997,""y"":526,""dx"":26,""dy"":-25,""t"":7891},{""x"":1000,""y"":522,""dx"":29,""dy"":-29,""t"":7927},{""x"":1001,""y"":521,""dx"":30,""dy"":-30,""t"":7960},{""x"":1008,""y"":510,""dx"":37,""dy"":-41,""t"":7994},{""x"":1048,""y"":488,""dx"":77,""dy"":-63,""t"":8027},{""x"":1083,""y"":462,""dx"":112,""dy"":-89,""t"":8062},{""x"":1078,""y"":467,""dx"":107,""dy"":-84,""t"":8097},{""x"":1062,""y"":472,""dx"":91,""dy"":-79,""t"":8130},{""x"":1059,""y"":468,""dx"":88,""dy"":-83,""t"":8163},{""x"":1055,""y"":465,""dx"":84,""dy"":-86,""t"":8198},{""x"":1038,""y"":481,""dx"":67,""dy"":-70,""t"":8232},{""x"":1024,""y"":494,""dx"":53,""dy"":-57,""t"":8266},{""x"":1038,""y"":529,""dx"":67,""dy"":-22,""t"":8300},{""x"":1029,""y"":522,""dx"":58,""dy"":-29,""t"":8335},{""x"":1041,""y"":518,""dx"":70,""dy"":-33,""t"":8368},{""x"":1017,""y"":511,""dx"":46,""dy"":-40,""t"":8402},{""x"":1014,""y"":500,""dx"":43,""dy"":-51,""t"":8437},{""x"":1013,""y"":515,""dx"":42,""dy"":-36,""t"":8470},{""x"":1035,""y"":507,""dx"":64,""dy"":-44,""t"":8503},{""x"":1033,""y"":487,""dx"":62,""dy"":-64,""t"":8538},{""x"":1031,""y"":504,""dx"":60,""dy"":-47,""t"":8572},{""x"":1060,""y"":485,""dx"":89,""dy"":-66,""t"":8605},{""x"":1071,""y"":494,""dx"":100,""dy"":-57,""t"":8638},{""x"":1058,""y"":483,""dx"":87,""dy"":-68,""t"":8673},{""x"":1043,""y"":496,""dx"":72,""dy"":-55,""t"":8708},{""x"":1036,""y"":510,""dx"":65,""dy"":-41,""t"":8742},{""x"":1023,""y"":508,""dx"":52,""dy"":-43,""t"":8776},{""x"":1021,""y"":497,""dx"":50,""dy"":-54,""t"":8812},{""x"":1013,""y"":535,""dx"":42,""dy"":-16,""t"":8845},{""x"":1010,""y"":552,""dx"":39,""dy"":1,""t"":8879},{""x"":1004,""y"":536,""dx"":33,""dy"":-15,""t"":8912},{""x"":996,""y"":524,""dx"":25,""dy"":-27,""t"":8946},{""x"":1007,""y"":522,""dx"":36,""dy"":-29,""t"":8979}],[{""x"":530,""y"":739,""dx"":39,""dy"":-82,""t"":10000},{""x"":558,""y"":747,""dx"":67,""dy"":-74,""t"":10034},{""x"":544,""y"":740,""dx"":53,""dy"":-81,""t"":10069},{""x"":538,""y"":730,""dx"":47,""dy"":-91,""t"":10102},{""x"":555,""y"":719,""dx"":64,""dy"":-102,""t"":10135},{""x"":557,""y"":723,""dx"":66,""dy"":-98,""t"":10170},{""x"":572,""y"":733,""dx"":81,""dy"":-88,""t"":10204},{""x"":585,""y"":743,""dx"":94,""dy"":-78,""t"":10236},{""x"":594,""y"":753,""dx"":103,""dy"":-68,""t"":10272},{""x"":589,""y"":754,""dx"":98,""dy"":-67,""t"":10306},{""x"":591,""y"":745,""dx"":100,""dy"":-76,""t"":10341},{""x"":593,""y"":741,""dx"":102,""dy"":-80,""t"":10374},{""x"":576,""y"":736,""dx"":85,""dy"":-85,""t"":10407},{""x"":559,""y"":735,""dx"":68,""dy"":-86,""t"":10442},{""x"":565,""y"":734,""dx"":74,""dy"":-87,""t"":10476},{""x"":574,""y"":747,""dx"":83,""dy"":-74,""t"":10511},{""x"":571,""y"":759,""dx"":80,""dy"":-62,""t"":10543},{""x"":577,""y"":763,""dx"":86,""dy"":-58,""t"":10578},{""x"":582,""y"":767,""dx"":91,""dy"":-54,""t"":10609},{""x"":579,""y"":765,""dx"":88,""dy"":-56,""t"":10646},{""x"":582,""y"":756,""dx"":91,""dy"":-65,""t"":10680},{""x"":579,""y"":759,""dx"":88,""dy"":-62,""t"":10714},{""x"":592,""y"":758,""dx"":101,""dy"":-63,""t"":10748},{""x"":581,""y"":770,""dx"":90,""dy"":-51,""t"":10781},{""x"":579,""y"":775,""dx"":88,""dy"":-46,""t"":10815},{""x"":581,""y"":784,""dx"":90,""dy"":-37,""t"":10850},{""x"":558,""y"":767,""dx"":67,""dy"":-54,""t"":10884},{""x"":564,""y"":760,""dx"":73,""dy"":-61,""t"":10918},{""x"":581,""y"":767,""dx"":90,""dy"":-54,""t"":10952},{""x"":570,""y"":759,""dx"":79,""dy"":-62,""t"":10986},{""x"":556,""y"":754,""dx"":65,""dy"":-67,""t"":11020},{""x"":552,""y"":742,""dx"":61,""dy"":-79,""t"":11054},{""x"":566,""y"":753,""dx"":75,""dy"":-68,""t"":11089},{""x"":564,""y"":763,""dx"":73,""dy"":-58,""t"":11121},{""x"":581,""y"":759,""dx"":90,""dy"":-62,""t"":11156},{""x"":565,""y"":755,""dx"":74,""dy"":-66,""t"":11191},{""x"":562,""y"":760,""dx"":71,""dy"":-61,""t"":11224},{""x"":569,""y"":764,""dx"":78,""dy"":-57,""t"":11257},{""x"":562,""y"":764,""dx"":71,""dy"":-57,""t"":11291},{""x"":547,""y"":749,""dx"":56,""dy"":-72,""t"":11327},{""x"":560,""y"":764,""dx"":69,""dy"":-57,""t"":11360},{""x"":564,""y"":768,""dx"":73,""dy"":-53,""t"":11394},{""x"":570,""y"":763,""dx"":79,""dy"":-58,""t"":11428},{""x"":572,""y"":757,""dx"":81,""dy"":-64,""t"":11462},{""x"":578,""y"":766,""dx"":87,""dy"":-55,""t"":11496},{""x"":571,""y"":758,""dx"":80,""dy"":-63,""t"":11529},{""x"":564,""y"":763,""dx"":73,""dy"":-58,""t"":11563},{""x"":579,""y"":768,""dx"":88,""dy"":-53,""t"":11598},{""x"":568,""y"":753,""dx"":77,""dy"":-68,""t"":11634},{""x"":566,""y"":740,""dx"":75,""dy"":-81,""t"":11666},{""x"":566,""y"":731,""dx"":75,""dy"":-90,""t"":11701},{""x"":576,""y"":751,""dx"":85,""dy"":-70,""t"":11734},{""x"":576,""y"":756,""dx"":85,""dy"":-65,""t"":11767},{""x"":577,""y"":759,""dx"":86,""dy"":-62,""t"":11799},{""x"":581,""y"":773,""dx"":90,""dy"":-48,""t"":11836},{""x"":576,""y"":774,""dx"":85,""dy"":-47,""t"":11870},{""x"":566,""y"":778,""dx"":75,""dy"":-43,""t"":11905},{""x"":570,""y"":790,""dx"":79,""dy"":-31,""t"":11937},{""x"":555,""y"":789,""dx"":64,""dy"":-32,""t"":11972},{""x"":559,""y"":787,""dx"":68,""dy"":-34,""t"":12005}],[{""x"":1361,""y"":758,""dx"":-90,""dy"":-63,""t"":13026},{""x"":1366,""y"":763,""dx"":-85,""dy"":-58,""t"":13060},{""x"":1362,""y"":775,""dx"":-89,""dy"":-46,""t"":13093},{""x"":1351,""y"":785,""dx"":-100,""dy"":-36,""t"":13127},{""x"":1341,""y"":778,""dx"":-110,""dy"":-43,""t"":13162},{""x"":1338,""y"":781,""dx"":-113,""dy"":-40,""t"":13196},{""x"":1347,""y"":785,""dx"":-104,""dy"":-36,""t"":13229},{""x"":1353,""y"":790,""dx"":-98,""dy"":-31,""t"":13263},{""x"":1347,""y"":797,""dx"":-104,""dy"":-24,""t"":13299},{""x"":1360,""y"":808,""dx"":-91,""dy"":-13,""t"":13332},{""x"":1375,""y"":819,""dx"":-76,""dy"":-2,""t"":13366},{""x"":1373,""y"":856,""dx"":-78,""dy"":35,""t"":13400},{""x"":1373,""y"":891,""dx"":-78,""dy"":70,""t"":13435},{""x"":1378,""y"":912,""dx"":-73,""dy"":91,""t"":13479},{""x"":1391,""y"":930,""dx"":-60,""dy"":109,""t"":13522},{""x"":1385,""y"":934,""dx"":-66,""dy"":113,""t"":13544},{""x"":1373,""y"":924,""dx"":-78,""dy"":103,""t"":13567},{""x"":1360,""y"":942,""dx"":-91,""dy"":121,""t"":13604},{""x"":1354,""y"":955,""dx"":-97,""dy"":134,""t"":13638},{""x"":1356,""y"":957,""dx"":-95,""dy"":136,""t"":13672},{""x"":1362,""y"":966,""dx"":-89,""dy"":145,""t"":13707},{""x"":1360,""y"":972,""dx"":-91,""dy"":151,""t"":13740},{""x"":1363,""y"":970,""dx"":-88,""dy"":149,""t"":13775},{""x"":1364,""y"":967,""dx"":-87,""dy"":146,""t"":13806},{""x"":1367,""y"":967,""dx"":-84,""dy"":146,""t"":13841},{""x"":1378,""y"":953,""dx"":-73,""dy"":132,""t"":13877},{""x"":1384,""y"":961,""dx"":-67,""dy"":140,""t"":13910},{""x"":1380,""y"":954,""dx"":-71,""dy"":133,""t"":13943},{""x"":1382,""y"":956,""dx"":-69,""dy"":135,""t"":13978},{""x"":1380,""y"":958,""dx"":-71,""dy"":137,""t"":14012},{""x"":1382,""y"":932,""dx"":-69,""dy"":111,""t"":14045},{""x"":1365,""y"":928,""dx"":-86,""dy"":107,""t"":14080},{""x"":1366,""y"":914,""dx"":-85,""dy"":93,""t"":14115},{""x"":1381,""y"":898,""dx"":-70,""dy"":77,""t"":14148},{""x"":1381,""y"":884,""dx"":-70,""dy"":63,""t"":14180},{""x"":1365,""y"":915,""dx"":-86,""dy"":94,""t"":14215},{""x"":1358,""y"":925,""dx"":-93,""dy"":104,""t"":14251},{""x"":1349,""y"":936,""dx"":-102,""dy"":115,""t"":14284},{""x"":1356,""y"":941,""dx"":-95,""dy"":120,""t"":14318},{""x"":1353,""y"":956,""dx"":-98,""dy"":135,""t"":14353},{""x"":1350,""y"":950,""dx"":-101,""dy"":129,""t"":14386},{""x"":1353,""y"":951,""dx"":-98,""dy"":130,""t"":14420},{""x"":1360,""y"":960,""dx"":-91,""dy"":139,""t"":14454},{""x"":1356,""y"":954,""dx"":-95,""dy"":133,""t"":14487},{""x"":1360,""y"":957,""dx"":-91,""dy"":136,""t"":14522},{""x"":1360,""y"":955,""dx"":-91,""dy"":134,""t"":14556},{""x"":1357,""y"":959,""dx"":-94,""dy"":138,""t"":14590},{""x"":1372,""y"":952,""dx"":-79,""dy"":131,""t"":14625},{""x"":1354,""y"":950,""dx"":-97,""dy"":129,""t"":14658},{""x"":1354,""y"":957,""dx"":-97,""dy"":136,""t"":14693},{""x"":1361,""y"":951,""dx"":-90,""dy"":130,""t"":14727},{""x"":1373,""y"":947,""dx"":-78,""dy"":126,""t"":14760},{""x"":1357,""y"":955,""dx"":-94,""dy"":134,""t"":14794},{""x"":1360,""y"":963,""dx"":-91,""dy"":142,""t"":14829},{""x"":1371,""y"":957,""dx"":-80,""dy"":136,""t"":14863},{""x"":1377,""y"":952,""dx"":-74,""dy"":131,""t"":14896},{""x"":1375,""y"":959,""dx"":-76,""dy"":138,""t"":14930},{""x"":1381,""y"":937,""dx"":-70,""dy"":116,""t"":14965},{""x"":1378,""y"":941,""dx"":-73,""dy"":120,""t"":14998}]]","[100,100,100,100,100]","[{""x"":8.322033898305085,""y"":12.898305084745763,""r"":38.96755034500932},{""x"":25.576271186440678,""y"":107.44067796610169,""r"":36.93651237687553},{""x"":62.559322033898304,""y"":-38.69491525423729,""r"":28.271369344610147},{""x"":78.56666666666666,""y"":-64.68333333333334,""r"":23.52059424842403},{""x"":-86.10169491525424,""y"":92.55932203389831,""r"":43.168386855097545}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
"","html-keyboard-response","10","45839","0.0-6.0-0.0","","","","","590"," ","","<p>回忆实验(四个刺激物)：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，500毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>要求：记忆所呈现刺激物的位置，根据提示选择对应刺激的位置，根据数字键盘的 "" 4 "" ,"" 8 "","" 6 "","" 2 "" 进行选择响应，如果不记得或者不存在选择""5""。</p><p>按"" ""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","47263","0.0-6.0-1.0","","","","","923"," ","","<p>要求：根据目标的形状进行选择。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","48274","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recall","[""6"",""8"",""6"",""4"",""8"",""5"",""5"",""4"",""2"",""2"",""6"",""6"",""2"",""4"",""4"",""6"",""6"",""6"",""5"",""2"",""2"",""4"",""4"",""8"",""6"",""4"",""2"",""5"",""2"",""8"",""5"",""6"",""4"",""5"",""8"",""5"",""8"",""6"",""2"",""5"",""5"",""5"",""8"",""8"",""8"",""8"",""2"",""4"",""2"",""4""]","1000","4","shape","","","","","",""
"","canvas-keyboard-response","13","50283","0.0-6.0-2.0-1.0","","","","","null","null","","[""circle"",""star"",""hexagram_1"",""rect""]","","","","","","","","","","4","","[{""x"":1061,""y"":488,""t"":4},{""x"":1037,""y"":514,""t"":39},{""x"":987,""y"":557,""t"":72},{""x"":998,""y"":570,""t"":106},{""x"":994,""y"":578,""t"":145},{""x"":981,""y"":606,""t"":174},{""x"":995,""y"":608,""t"":208},{""x"":990,""y"":606,""t"":242},{""x"":991,""y"":623,""t"":276},{""x"":974,""y"":628,""t"":310},{""x"":965,""y"":621,""t"":344},{""x"":938,""y"":625,""t"":377},{""x"":923,""y"":630,""t"":412},{""x"":949,""y"":633,""t"":446},{""x"":929,""y"":643,""t"":480},{""x"":908,""y"":655,""t"":514},{""x"":892,""y"":800,""t"":548},{""x"":854,""y"":983,""t"":581},{""x"":845,""y"":1117,""t"":617},{""x"":848,""y"":1159,""t"":650},{""x"":847,""y"":1101,""t"":684},{""x"":855,""y"":1031,""t"":718},{""x"":852,""y"":992,""t"":752},{""x"":858,""y"":920,""t"":786},{""x"":858,""y"":855,""t"":821},{""x"":864,""y"":814,""t"":854},{""x"":874,""y"":778,""t"":888},{""x"":867,""y"":737,""t"":922},{""x"":878,""y"":696,""t"":956},{""x"":886,""y"":655,""t"":990},{""x"":896,""y"":623,""t"":1024},{""x"":885,""y"":613,""t"":1058},{""x"":884,""y"":583,""t"":1092},{""x"":893,""y"":580,""t"":1126},{""x"":928,""y"":560,""t"":1159},{""x"":975,""y"":552,""t"":1195},{""x"":985,""y"":531,""t"":1229},{""x"":994,""y"":531,""t"":1262},{""x"":997,""y"":544,""t"":1296},{""x"":1036,""y"":550,""t"":1330},{""x"":1074,""y"":537,""t"":1364},{""x"":1083,""y"":547,""t"":1397},{""x"":1081,""y"":569,""t"":1431},{""x"":1083,""y"":566,""t"":1467},{""x"":1085,""y"":569,""t"":1500},{""x"":1098,""y"":578,""t"":1534},{""x"":1094,""y"":589,""t"":1568},{""x"":1081,""y"":593,""t"":1602},{""x"":1101,""y"":594,""t"":1637},{""x"":1116,""y"":622,""t"":1670},{""x"":1120,""y"":621,""t"":1704},{""x"":1093,""y"":630,""t"":1737},{""x"":1078,""y"":634,""t"":1772},{""x"":1058,""y"":625,""t"":1805},{""x"":1069,""y"":613,""t"":1839},{""x"":1066,""y"":602,""t"":1874},{""x"":1079,""y"":575,""t"":1908},{""x"":1090,""y"":552,""t"":1941},{""x"":1102,""y"":531,""t"":1976}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","","",""
"","canvas-keyboard-response","14","52928","0.0-6.0-2.0-2.0","","","","","1636","8","","","","","","","","","","","","","","","","","false","hexagram_1","6"
