"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","471507","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","471825","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","476491","0.0-2.0-0.0","","","","","4663","{""name"":""shh"",""age"":""27""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","477979","0.0-2.0-1.0","","","","","1487","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","479275","0.0-3.0","","","","","1294"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","483586","0.0-4.0","","","","","","","","","2212","","","","","","","","","","","","","","","","",""
"","html-button-response","6","484403","0.0-5.0-0.0","","","","","814","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","496676","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","497946","0.0-5.0-2.0","","","","","1269","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","515538","0.0-5.0-3.0","","","","","","","","","","[[{""x"":432,""y"":393,""dx"":-59,""dy"":112,""t"":990},{""x"":402,""y"":409,""dx"":-89,""dy"":128,""t"":1024},{""x"":388,""y"":401,""dx"":-103,""dy"":120,""t"":1058},{""x"":390,""y"":418,""dx"":-101,""dy"":137,""t"":1092},{""x"":387,""y"":413,""dx"":-104,""dy"":132,""t"":1126},{""x"":370,""y"":422,""dx"":-121,""dy"":141,""t"":1159},{""x"":420,""y"":412,""dx"":-71,""dy"":131,""t"":1194},{""x"":439,""y"":398,""dx"":-52,""dy"":117,""t"":1228},{""x"":430,""y"":419,""dx"":-61,""dy"":138,""t"":1262},{""x"":427,""y"":411,""dx"":-64,""dy"":130,""t"":1297},{""x"":430,""y"":436,""dx"":-61,""dy"":155,""t"":1329},{""x"":453,""y"":420,""dx"":-38,""dy"":139,""t"":1364},{""x"":457,""y"":413,""dx"":-34,""dy"":132,""t"":1398},{""x"":451,""y"":402,""dx"":-40,""dy"":121,""t"":1433},{""x"":461,""y"":391,""dx"":-30,""dy"":110,""t"":1466},{""x"":489,""y"":378,""dx"":-2,""dy"":97,""t"":1500},{""x"":490,""y"":370,""dx"":-1,""dy"":89,""t"":1534},{""x"":513,""y"":374,""dx"":22,""dy"":93,""t"":1569},{""x"":480,""y"":378,""dx"":-11,""dy"":97,""t"":1601},{""x"":495,""y"":374,""dx"":4,""dy"":93,""t"":1635},{""x"":477,""y"":374,""dx"":-14,""dy"":93,""t"":1671},{""x"":491,""y"":379,""dx"":0,""dy"":98,""t"":1704},{""x"":486,""y"":380,""dx"":-5,""dy"":99,""t"":1738},{""x"":481,""y"":382,""dx"":-10,""dy"":101,""t"":1769},{""x"":464,""y"":389,""dx"":-27,""dy"":108,""t"":1807},{""x"":453,""y"":406,""dx"":-38,""dy"":125,""t"":1840},{""x"":495,""y"":371,""dx"":4,""dy"":90,""t"":1873},{""x"":501,""y"":365,""dx"":10,""dy"":84,""t"":1908},{""x"":504,""y"":367,""dx"":13,""dy"":86,""t"":1942},{""x"":508,""y"":373,""dx"":17,""dy"":92,""t"":1976},{""x"":507,""y"":368,""dx"":16,""dy"":87,""t"":2010},{""x"":536,""y"":324,""dx"":45,""dy"":43,""t"":2044},{""x"":508,""y"":334,""dx"":17,""dy"":53,""t"":2078},{""x"":509,""y"":315,""dx"":18,""dy"":34,""t"":2112},{""x"":503,""y"":317,""dx"":12,""dy"":36,""t"":2146},{""x"":499,""y"":319,""dx"":8,""dy"":38,""t"":2180},{""x"":457,""y"":326,""dx"":-34,""dy"":45,""t"":2214},{""x"":423,""y"":361,""dx"":-68,""dy"":80,""t"":2248},{""x"":437,""y"":365,""dx"":-54,""dy"":84,""t"":2282},{""x"":429,""y"":385,""dx"":-62,""dy"":104,""t"":2316},{""x"":428,""y"":387,""dx"":-63,""dy"":106,""t"":2350},{""x"":441,""y"":394,""dx"":-50,""dy"":113,""t"":2384},{""x"":435,""y"":398,""dx"":-56,""dy"":117,""t"":2418},{""x"":423,""y"":397,""dx"":-68,""dy"":116,""t"":2452},{""x"":416,""y"":393,""dx"":-75,""dy"":112,""t"":2485},{""x"":393,""y"":401,""dx"":-98,""dy"":120,""t"":2519},{""x"":395,""y"":401,""dx"":-96,""dy"":120,""t"":2553},{""x"":383,""y"":410,""dx"":-108,""dy"":129,""t"":2588},{""x"":353,""y"":406,""dx"":-138,""dy"":125,""t"":2622},{""x"":426,""y"":373,""dx"":-65,""dy"":92,""t"":2656},{""x"":410,""y"":378,""dx"":-81,""dy"":97,""t"":2691},{""x"":402,""y"":388,""dx"":-89,""dy"":107,""t"":2725},{""x"":420,""y"":380,""dx"":-71,""dy"":99,""t"":2758},{""x"":408,""y"":372,""dx"":-83,""dy"":91,""t"":2791},{""x"":442,""y"":349,""dx"":-49,""dy"":68,""t"":2827},{""x"":429,""y"":374,""dx"":-62,""dy"":93,""t"":2860},{""x"":474,""y"":349,""dx"":-17,""dy"":68,""t"":2893},{""x"":517,""y"":325,""dx"":26,""dy"":44,""t"":2928},{""x"":505,""y"":333,""dx"":14,""dy"":52,""t"":2963}],[{""x"":1541,""y"":221,""dx"":90,""dy"":-60,""t"":4017},{""x"":1557,""y"":223,""dx"":106,""dy"":-58,""t"":4050},{""x"":1561,""y"":238,""dx"":110,""dy"":-43,""t"":4084},{""x"":1560,""y"":235,""dx"":109,""dy"":-46,""t"":4117},{""x"":1558,""y"":243,""dx"":107,""dy"":-38,""t"":4151},{""x"":1575,""y"":237,""dx"":124,""dy"":-44,""t"":4186},{""x"":1585,""y"":246,""dx"":134,""dy"":-35,""t"":4220},{""x"":1588,""y"":256,""dx"":137,""dy"":-25,""t"":4254},{""x"":1570,""y"":232,""dx"":119,""dy"":-49,""t"":4288},{""x"":1567,""y"":227,""dx"":116,""dy"":-54,""t"":4322},{""x"":1571,""y"":223,""dx"":120,""dy"":-58,""t"":4357},{""x"":1585,""y"":227,""dx"":134,""dy"":-54,""t"":4390},{""x"":1584,""y"":232,""dx"":133,""dy"":-49,""t"":4424},{""x"":1577,""y"":257,""dx"":126,""dy"":-24,""t"":4458},{""x"":1576,""y"":278,""dx"":125,""dy"":-3,""t"":4491},{""x"":1586,""y"":281,""dx"":135,""dy"":0,""t"":4526},{""x"":1616,""y"":282,""dx"":165,""dy"":1,""t"":4560},{""x"":1590,""y"":270,""dx"":139,""dy"":-11,""t"":4594},{""x"":1608,""y"":262,""dx"":157,""dy"":-19,""t"":4628},{""x"":1537,""y"":261,""dx"":86,""dy"":-20,""t"":4662},{""x"":1526,""y"":252,""dx"":75,""dy"":-29,""t"":4696},{""x"":1533,""y"":267,""dx"":82,""dy"":-14,""t"":4730},{""x"":1540,""y"":242,""dx"":89,""dy"":-39,""t"":4764},{""x"":1540,""y"":239,""dx"":89,""dy"":-42,""t"":4798},{""x"":1549,""y"":230,""dx"":98,""dy"":-51,""t"":4832},{""x"":1546,""y"":208,""dx"":95,""dy"":-73,""t"":4865},{""x"":1487,""y"":190,""dx"":36,""dy"":-91,""t"":4900},{""x"":1465,""y"":167,""dx"":14,""dy"":-114,""t"":4932},{""x"":1418,""y"":142,""dx"":-33,""dy"":-139,""t"":4968},{""x"":1382,""y"":136,""dx"":-69,""dy"":-145,""t"":5001},{""x"":1357,""y"":129,""dx"":-94,""dy"":-152,""t"":5035},{""x"":1368,""y"":122,""dx"":-83,""dy"":-159,""t"":5070},{""x"":1381,""y"":149,""dx"":-70,""dy"":-132,""t"":5104},{""x"":1430,""y"":159,""dx"":-21,""dy"":-122,""t"":5137},{""x"":1448,""y"":184,""dx"":-3,""dy"":-97,""t"":5172},{""x"":1482,""y"":206,""dx"":31,""dy"":-75,""t"":5206},{""x"":1501,""y"":223,""dx"":50,""dy"":-58,""t"":5240},{""x"":1469,""y"":215,""dx"":18,""dy"":-66,""t"":5274},{""x"":1491,""y"":215,""dx"":40,""dy"":-66,""t"":5308},{""x"":1515,""y"":215,""dx"":64,""dy"":-66,""t"":5340},{""x"":1540,""y"":227,""dx"":89,""dy"":-54,""t"":5376},{""x"":1578,""y"":232,""dx"":127,""dy"":-49,""t"":5410},{""x"":1579,""y"":219,""dx"":128,""dy"":-62,""t"":5444},{""x"":1582,""y"":201,""dx"":131,""dy"":-80,""t"":5478},{""x"":1594,""y"":191,""dx"":143,""dy"":-90,""t"":5512},{""x"":1593,""y"":169,""dx"":142,""dy"":-112,""t"":5546},{""x"":1594,""y"":173,""dx"":143,""dy"":-108,""t"":5580},{""x"":1588,""y"":170,""dx"":137,""dy"":-111,""t"":5614},{""x"":1593,""y"":144,""dx"":142,""dy"":-137,""t"":5648},{""x"":1572,""y"":140,""dx"":121,""dy"":-141,""t"":5683},{""x"":1573,""y"":143,""dx"":122,""dy"":-138,""t"":5716},{""x"":1574,""y"":165,""dx"":123,""dy"":-116,""t"":5749},{""x"":1547,""y"":151,""dx"":96,""dy"":-130,""t"":5783},{""x"":1544,""y"":173,""dx"":93,""dy"":-108,""t"":5818},{""x"":1526,""y"":170,""dx"":75,""dy"":-111,""t"":5852},{""x"":1537,""y"":170,""dx"":86,""dy"":-111,""t"":5885},{""x"":1566,""y"":195,""dx"":115,""dy"":-86,""t"":5920},{""x"":1594,""y"":198,""dx"":143,""dy"":-83,""t"":5954},{""x"":1585,""y"":208,""dx"":134,""dy"":-73,""t"":5988}],[{""x"":968,""y"":423,""dx"":-3,""dy"":-128,""t"":7041},{""x"":962,""y"":408,""dx"":-9,""dy"":-143,""t"":7075},{""x"":951,""y"":404,""dx"":-20,""dy"":-147,""t"":7109},{""x"":941,""y"":383,""dx"":-30,""dy"":-168,""t"":7145},{""x"":958,""y"":382,""dx"":-13,""dy"":-169,""t"":7178},{""x"":972,""y"":380,""dx"":1,""dy"":-171,""t"":7212},{""x"":997,""y"":378,""dx"":26,""dy"":-173,""t"":7247},{""x"":1018,""y"":374,""dx"":47,""dy"":-177,""t"":7280},{""x"":1036,""y"":370,""dx"":65,""dy"":-181,""t"":7311},{""x"":1005,""y"":367,""dx"":34,""dy"":-184,""t"":7347},{""x"":998,""y"":371,""dx"":27,""dy"":-180,""t"":7381},{""x"":995,""y"":375,""dx"":24,""dy"":-176,""t"":7416},{""x"":1003,""y"":377,""dx"":32,""dy"":-174,""t"":7450},{""x"":1008,""y"":378,""dx"":37,""dy"":-173,""t"":7484},{""x"":1008,""y"":390,""dx"":37,""dy"":-161,""t"":7518},{""x"":986,""y"":403,""dx"":15,""dy"":-148,""t"":7552},{""x"":991,""y"":392,""dx"":20,""dy"":-159,""t"":7585},{""x"":1010,""y"":379,""dx"":39,""dy"":-172,""t"":7620},{""x"":1042,""y"":378,""dx"":71,""dy"":-173,""t"":7654},{""x"":1043,""y"":370,""dx"":72,""dy"":-181,""t"":7689},{""x"":1045,""y"":373,""dx"":74,""dy"":-178,""t"":7722},{""x"":1040,""y"":374,""dx"":69,""dy"":-177,""t"":7756},{""x"":1049,""y"":381,""dx"":78,""dy"":-170,""t"":7790},{""x"":1052,""y"":398,""dx"":81,""dy"":-153,""t"":7824},{""x"":1034,""y"":386,""dx"":63,""dy"":-165,""t"":7858},{""x"":1012,""y"":382,""dx"":41,""dy"":-169,""t"":7892},{""x"":984,""y"":377,""dx"":13,""dy"":-174,""t"":7926},{""x"":977,""y"":375,""dx"":6,""dy"":-176,""t"":7960},{""x"":965,""y"":361,""dx"":-6,""dy"":-190,""t"":7993},{""x"":990,""y"":355,""dx"":19,""dy"":-196,""t"":8028},{""x"":994,""y"":355,""dx"":23,""dy"":-196,""t"":8062},{""x"":1014,""y"":354,""dx"":43,""dy"":-197,""t"":8096},{""x"":992,""y"":359,""dx"":21,""dy"":-192,""t"":8129},{""x"":982,""y"":365,""dx"":11,""dy"":-186,""t"":8164},{""x"":1016,""y"":381,""dx"":45,""dy"":-170,""t"":8198},{""x"":1027,""y"":386,""dx"":56,""dy"":-165,""t"":8231},{""x"":1047,""y"":389,""dx"":76,""dy"":-162,""t"":8266},{""x"":1051,""y"":393,""dx"":80,""dy"":-158,""t"":8301},{""x"":1061,""y"":391,""dx"":90,""dy"":-160,""t"":8334},{""x"":1057,""y"":393,""dx"":86,""dy"":-158,""t"":8368},{""x"":1068,""y"":392,""dx"":97,""dy"":-159,""t"":8402},{""x"":1060,""y"":384,""dx"":89,""dy"":-167,""t"":8435},{""x"":1053,""y"":378,""dx"":82,""dy"":-173,""t"":8468},{""x"":1037,""y"":368,""dx"":66,""dy"":-183,""t"":8504},{""x"":1044,""y"":373,""dx"":73,""dy"":-178,""t"":8538},{""x"":1044,""y"":371,""dx"":73,""dy"":-180,""t"":8572},{""x"":1036,""y"":374,""dx"":65,""dy"":-177,""t"":8606},{""x"":1032,""y"":373,""dx"":61,""dy"":-178,""t"":8639},{""x"":1026,""y"":369,""dx"":55,""dy"":-182,""t"":8673},{""x"":1018,""y"":369,""dx"":47,""dy"":-182,""t"":8709},{""x"":1028,""y"":388,""dx"":57,""dy"":-163,""t"":8742},{""x"":1006,""y"":377,""dx"":35,""dy"":-174,""t"":8777},{""x"":979,""y"":377,""dx"":8,""dy"":-174,""t"":8810},{""x"":985,""y"":372,""dx"":14,""dy"":-179,""t"":8844},{""x"":991,""y"":368,""dx"":20,""dy"":-183,""t"":8876},{""x"":990,""y"":381,""dx"":19,""dy"":-170,""t"":8912},{""x"":989,""y"":387,""dx"":18,""dy"":-164,""t"":8945},{""x"":992,""y"":393,""dx"":21,""dy"":-158,""t"":8980},{""x"":997,""y"":393,""dx"":26,""dy"":-158,""t"":9014}],[{""x"":512,""y"":679,""dx"":21,""dy"":-142,""t"":10033},{""x"":500,""y"":692,""dx"":9,""dy"":-129,""t"":10066},{""x"":505,""y"":680,""dx"":14,""dy"":-141,""t"":10102},{""x"":499,""y"":691,""dx"":8,""dy"":-130,""t"":10135},{""x"":480,""y"":707,""dx"":-11,""dy"":-114,""t"":10170},{""x"":473,""y"":702,""dx"":-18,""dy"":-119,""t"":10204},{""x"":466,""y"":702,""dx"":-25,""dy"":-119,""t"":10238},{""x"":467,""y"":696,""dx"":-24,""dy"":-125,""t"":10272},{""x"":457,""y"":681,""dx"":-34,""dy"":-140,""t"":10305},{""x"":474,""y"":696,""dx"":-17,""dy"":-125,""t"":10340},{""x"":475,""y"":692,""dx"":-16,""dy"":-129,""t"":10373},{""x"":460,""y"":699,""dx"":-31,""dy"":-122,""t"":10407},{""x"":463,""y"":706,""dx"":-28,""dy"":-115,""t"":10442},{""x"":467,""y"":712,""dx"":-24,""dy"":-109,""t"":10474},{""x"":466,""y"":715,""dx"":-25,""dy"":-106,""t"":10510},{""x"":488,""y"":717,""dx"":-3,""dy"":-104,""t"":10544},{""x"":490,""y"":726,""dx"":-1,""dy"":-95,""t"":10577},{""x"":504,""y"":722,""dx"":13,""dy"":-99,""t"":10613},{""x"":492,""y"":727,""dx"":1,""dy"":-94,""t"":10646},{""x"":475,""y"":729,""dx"":-16,""dy"":-92,""t"":10680},{""x"":468,""y"":731,""dx"":-23,""dy"":-90,""t"":10713},{""x"":474,""y"":725,""dx"":-17,""dy"":-96,""t"":10748},{""x"":507,""y"":725,""dx"":16,""dy"":-96,""t"":10782},{""x"":525,""y"":720,""dx"":34,""dy"":-101,""t"":10816},{""x"":503,""y"":743,""dx"":12,""dy"":-78,""t"":10850},{""x"":504,""y"":734,""dx"":13,""dy"":-87,""t"":10884},{""x"":484,""y"":727,""dx"":-7,""dy"":-94,""t"":10918},{""x"":486,""y"":741,""dx"":-5,""dy"":-80,""t"":10952},{""x"":488,""y"":735,""dx"":-3,""dy"":-86,""t"":10985},{""x"":510,""y"":762,""dx"":19,""dy"":-59,""t"":11020},{""x"":507,""y"":742,""dx"":16,""dy"":-79,""t"":11054},{""x"":495,""y"":729,""dx"":4,""dy"":-92,""t"":11088},{""x"":529,""y"":720,""dx"":38,""dy"":-101,""t"":11122},{""x"":530,""y"":728,""dx"":39,""dy"":-93,""t"":11156},{""x"":508,""y"":728,""dx"":17,""dy"":-93,""t"":11190},{""x"":508,""y"":763,""dx"":17,""dy"":-58,""t"":11223},{""x"":513,""y"":761,""dx"":22,""dy"":-60,""t"":11258},{""x"":503,""y"":797,""dx"":12,""dy"":-24,""t"":11292},{""x"":493,""y"":794,""dx"":2,""dy"":-27,""t"":11326},{""x"":520,""y"":778,""dx"":29,""dy"":-43,""t"":11360},{""x"":509,""y"":762,""dx"":18,""dy"":-59,""t"":11394},{""x"":505,""y"":753,""dx"":14,""dy"":-68,""t"":11427},{""x"":506,""y"":746,""dx"":15,""dy"":-75,""t"":11462},{""x"":512,""y"":729,""dx"":21,""dy"":-92,""t"":11497},{""x"":507,""y"":717,""dx"":16,""dy"":-104,""t"":11530},{""x"":486,""y"":706,""dx"":-5,""dy"":-115,""t"":11564},{""x"":481,""y"":719,""dx"":-10,""dy"":-102,""t"":11598},{""x"":491,""y"":711,""dx"":0,""dy"":-110,""t"":11632},{""x"":493,""y"":752,""dx"":2,""dy"":-69,""t"":11666},{""x"":486,""y"":788,""dx"":-5,""dy"":-33,""t"":11700},{""x"":462,""y"":816,""dx"":-29,""dy"":-5,""t"":11734},{""x"":455,""y"":831,""dx"":-36,""dy"":10,""t"":11768},{""x"":455,""y"":843,""dx"":-36,""dy"":22,""t"":11802},{""x"":476,""y"":833,""dx"":-15,""dy"":12,""t"":11835},{""x"":491,""y"":820,""dx"":0,""dy"":-1,""t"":11870},{""x"":479,""y"":820,""dx"":-12,""dy"":-1,""t"":11904},{""x"":482,""y"":818,""dx"":-9,""dy"":-3,""t"":11937},{""x"":489,""y"":783,""dx"":-2,""dy"":-38,""t"":11973},{""x"":480,""y"":766,""dx"":-11,""dy"":-55,""t"":12007},{""x"":485,""y"":753,""dx"":-6,""dy"":-68,""t"":12040}],[{""x"":1420,""y"":577,""dx"":-31,""dy"":-244,""t"":13060},{""x"":1401,""y"":568,""dx"":-50,""dy"":-253,""t"":13095},{""x"":1397,""y"":542,""dx"":-54,""dy"":-279,""t"":13128},{""x"":1391,""y"":529,""dx"":-60,""dy"":-292,""t"":13162},{""x"":1366,""y"":519,""dx"":-85,""dy"":-302,""t"":13196},{""x"":1361,""y"":507,""dx"":-90,""dy"":-314,""t"":13230},{""x"":1338,""y"":491,""dx"":-113,""dy"":-330,""t"":13263},{""x"":1328,""y"":498,""dx"":-123,""dy"":-323,""t"":13299},{""x"":1327,""y"":476,""dx"":-124,""dy"":-345,""t"":13332},{""x"":1277,""y"":487,""dx"":-174,""dy"":-334,""t"":13367},{""x"":1238,""y"":470,""dx"":-213,""dy"":-351,""t"":13400},{""x"":1211,""y"":447,""dx"":-240,""dy"":-374,""t"":13434},{""x"":1173,""y"":436,""dx"":-278,""dy"":-385,""t"":13469},{""x"":1165,""y"":445,""dx"":-286,""dy"":-376,""t"":13501},{""x"":1234,""y"":464,""dx"":-217,""dy"":-357,""t"":13536},{""x"":1265,""y"":471,""dx"":-186,""dy"":-350,""t"":13569},{""x"":1273,""y"":464,""dx"":-178,""dy"":-357,""t"":13605},{""x"":1279,""y"":458,""dx"":-172,""dy"":-363,""t"":13637},{""x"":1303,""y"":442,""dx"":-148,""dy"":-379,""t"":13671},{""x"":1309,""y"":459,""dx"":-142,""dy"":-362,""t"":13706},{""x"":1298,""y"":471,""dx"":-153,""dy"":-350,""t"":13740},{""x"":1317,""y"":458,""dx"":-134,""dy"":-363,""t"":13774},{""x"":1323,""y"":453,""dx"":-128,""dy"":-368,""t"":13808},{""x"":1333,""y"":444,""dx"":-118,""dy"":-377,""t"":13841},{""x"":1341,""y"":436,""dx"":-110,""dy"":-385,""t"":13876},{""x"":1341,""y"":444,""dx"":-110,""dy"":-377,""t"":13909},{""x"":1348,""y"":446,""dx"":-103,""dy"":-375,""t"":13944},{""x"":1358,""y"":452,""dx"":-93,""dy"":-369,""t"":13978},{""x"":1369,""y"":443,""dx"":-82,""dy"":-378,""t"":14011},{""x"":1378,""y"":436,""dx"":-73,""dy"":-385,""t"":14044},{""x"":1392,""y"":438,""dx"":-59,""dy"":-383,""t"":14080},{""x"":1381,""y"":434,""dx"":-70,""dy"":-387,""t"":14113},{""x"":1374,""y"":428,""dx"":-77,""dy"":-393,""t"":14148},{""x"":1367,""y"":422,""dx"":-84,""dy"":-399,""t"":14182},{""x"":1363,""y"":437,""dx"":-88,""dy"":-384,""t"":14216},{""x"":1362,""y"":434,""dx"":-89,""dy"":-387,""t"":14250},{""x"":1365,""y"":438,""dx"":-86,""dy"":-383,""t"":14284},{""x"":1361,""y"":432,""dx"":-90,""dy"":-389,""t"":14318},{""x"":1355,""y"":430,""dx"":-96,""dy"":-391,""t"":14351},{""x"":1350,""y"":448,""dx"":-101,""dy"":-373,""t"":14385},{""x"":1351,""y"":441,""dx"":-100,""dy"":-380,""t"":14420},{""x"":1347,""y"":429,""dx"":-104,""dy"":-392,""t"":14454},{""x"":1352,""y"":424,""dx"":-99,""dy"":-397,""t"":14488},{""x"":1353,""y"":430,""dx"":-98,""dy"":-391,""t"":14522},{""x"":1357,""y"":437,""dx"":-94,""dy"":-384,""t"":14556},{""x"":1360,""y"":435,""dx"":-91,""dy"":-386,""t"":14590},{""x"":1367,""y"":443,""dx"":-84,""dy"":-378,""t"":14623},{""x"":1352,""y"":459,""dx"":-99,""dy"":-362,""t"":14658},{""x"":1351,""y"":452,""dx"":-100,""dy"":-369,""t"":14691},{""x"":1347,""y"":445,""dx"":-104,""dy"":-376,""t"":14726},{""x"":1336,""y"":447,""dx"":-115,""dy"":-374,""t"":14760},{""x"":1339,""y"":433,""dx"":-112,""dy"":-388,""t"":14794},{""x"":1353,""y"":430,""dx"":-98,""dy"":-391,""t"":14828},{""x"":1366,""y"":433,""dx"":-85,""dy"":-388,""t"":14862},{""x"":1365,""y"":434,""dx"":-86,""dy"":-387,""t"":14897},{""x"":1363,""y"":435,""dx"":-88,""dy"":-386,""t"":14930},{""x"":1365,""y"":439,""dx"":-86,""dy"":-382,""t"":14964},{""x"":1362,""y"":439,""dx"":-89,""dy"":-382,""t"":14998},{""x"":1359,""y"":442,""dx"":-92,""dy"":-379,""t"":15032}]]","[100,100,98.30508474576271,100,0]","[{""x"":-40.6271186440678,""y"":99.33898305084746,""r"":40.95367019641508},{""x"":87.62711864406779,""y"":-73.20338983050847,""r"":54.6084124747598},{""x"":40.11864406779661,""y"":-171.38983050847457,""r"":28.11230402262504},{""x"":-1.0333333333333334,""y"":-80.66666666666667,""r"":51.95744517697827},{""x"":-114.10169491525424,""y"":-365.0508474576271,""r"":33.46887314644186}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
"","html-button-response","10","516258","0.0-5.0-4.0-0.0-0.0","","","","","720","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","526389","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","527251","0.0-5.0-4.0-0.0-2.0","","","","","861","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
