"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2011","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2015","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","9796","0.0-2.0-0.0","","","","","7779","{""name"":""李苏亚"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","11460","0.0-2.0-1.0","","","","","1663","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","12316","0.0-3.0","","","","","854"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","15956","0.0-4.0","","","","","","","","","1426","","","","","","","","","","","","","","","","",""
"","html-button-response","6","17156","0.0-5.0-0.0","","","","","1198","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","37672","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","38683","0.0-5.0-2.0","","","","","1011","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","55823","0.0-5.0-3.0","","","","","","","","","","[[{""x"":516,""y"":232,""dx"":25,""dy"":-49,""t"":990},{""x"":529,""y"":241,""dx"":38,""dy"":-40,""t"":1024},{""x"":522,""y"":236,""dx"":31,""dy"":-45,""t"":1057},{""x"":524,""y"":234,""dx"":33,""dy"":-47,""t"":1092},{""x"":515,""y"":241,""dx"":24,""dy"":-40,""t"":1126},{""x"":496,""y"":230,""dx"":5,""dy"":-51,""t"":1160},{""x"":488,""y"":235,""dx"":-3,""dy"":-46,""t"":1193},{""x"":492,""y"":232,""dx"":1,""dy"":-49,""t"":1228},{""x"":486,""y"":227,""dx"":-5,""dy"":-54,""t"":1262},{""x"":502,""y"":262,""dx"":11,""dy"":-19,""t"":1296},{""x"":499,""y"":226,""dx"":8,""dy"":-55,""t"":1330},{""x"":486,""y"":230,""dx"":-5,""dy"":-51,""t"":1363},{""x"":478,""y"":214,""dx"":-13,""dy"":-67,""t"":1398},{""x"":496,""y"":227,""dx"":5,""dy"":-54,""t"":1432},{""x"":502,""y"":247,""dx"":11,""dy"":-34,""t"":1466},{""x"":477,""y"":256,""dx"":-14,""dy"":-25,""t"":1500},{""x"":471,""y"":273,""dx"":-20,""dy"":-8,""t"":1535},{""x"":454,""y"":280,""dx"":-37,""dy"":-1,""t"":1568},{""x"":444,""y"":272,""dx"":-47,""dy"":-9,""t"":1602},{""x"":440,""y"":280,""dx"":-51,""dy"":-1,""t"":1635},{""x"":442,""y"":284,""dx"":-49,""dy"":3,""t"":1669},{""x"":426,""y"":294,""dx"":-65,""dy"":13,""t"":1705},{""x"":424,""y"":316,""dx"":-67,""dy"":35,""t"":1738},{""x"":414,""y"":301,""dx"":-77,""dy"":20,""t"":1772},{""x"":410,""y"":292,""dx"":-81,""dy"":11,""t"":1806},{""x"":406,""y"":309,""dx"":-85,""dy"":28,""t"":1839},{""x"":419,""y"":270,""dx"":-72,""dy"":-11,""t"":1874},{""x"":412,""y"":231,""dx"":-79,""dy"":-50,""t"":1908},{""x"":427,""y"":215,""dx"":-64,""dy"":-66,""t"":1941},{""x"":433,""y"":199,""dx"":-58,""dy"":-82,""t"":1977},{""x"":427,""y"":252,""dx"":-64,""dy"":-29,""t"":2010},{""x"":441,""y"":295,""dx"":-50,""dy"":14,""t"":2044},{""x"":449,""y"":262,""dx"":-42,""dy"":-19,""t"":2078},{""x"":449,""y"":276,""dx"":-42,""dy"":-5,""t"":2112},{""x"":450,""y"":254,""dx"":-41,""dy"":-27,""t"":2146},{""x"":461,""y"":226,""dx"":-30,""dy"":-55,""t"":2180},{""x"":454,""y"":195,""dx"":-37,""dy"":-86,""t"":2213},{""x"":439,""y"":183,""dx"":-52,""dy"":-98,""t"":2245},{""x"":434,""y"":145,""dx"":-57,""dy"":-136,""t"":2282},{""x"":451,""y"":145,""dx"":-40,""dy"":-136,""t"":2316},{""x"":460,""y"":132,""dx"":-31,""dy"":-149,""t"":2350},{""x"":458,""y"":173,""dx"":-33,""dy"":-108,""t"":2384},{""x"":450,""y"":231,""dx"":-41,""dy"":-50,""t"":2419},{""x"":438,""y"":222,""dx"":-53,""dy"":-59,""t"":2453},{""x"":435,""y"":212,""dx"":-56,""dy"":-69,""t"":2486},{""x"":419,""y"":224,""dx"":-72,""dy"":-57,""t"":2520},{""x"":435,""y"":234,""dx"":-56,""dy"":-47,""t"":2554},{""x"":437,""y"":243,""dx"":-54,""dy"":-38,""t"":2587},{""x"":428,""y"":205,""dx"":-63,""dy"":-76,""t"":2622},{""x"":420,""y"":171,""dx"":-71,""dy"":-110,""t"":2654},{""x"":463,""y"":198,""dx"":-28,""dy"":-83,""t"":2690},{""x"":462,""y"":221,""dx"":-29,""dy"":-60,""t"":2724},{""x"":451,""y"":255,""dx"":-40,""dy"":-26,""t"":2758},{""x"":459,""y"":273,""dx"":-32,""dy"":-8,""t"":2792},{""x"":476,""y"":236,""dx"":-15,""dy"":-45,""t"":2826},{""x"":479,""y"":265,""dx"":-12,""dy"":-16,""t"":2861},{""x"":499,""y"":257,""dx"":8,""dy"":-24,""t"":2894},{""x"":501,""y"":220,""dx"":10,""dy"":-61,""t"":2928},{""x"":495,""y"":201,""dx"":4,""dy"":-80,""t"":2962}],[{""x"":1546,""y"":356,""dx"":95,""dy"":75,""t"":4016},{""x"":1539,""y"":360,""dx"":88,""dy"":79,""t"":4051},{""x"":1535,""y"":370,""dx"":84,""dy"":89,""t"":4084},{""x"":1534,""y"":364,""dx"":83,""dy"":83,""t"":4118},{""x"":1519,""y"":356,""dx"":68,""dy"":75,""t"":4152},{""x"":1518,""y"":358,""dx"":67,""dy"":77,""t"":4186},{""x"":1493,""y"":357,""dx"":42,""dy"":76,""t"":4219},{""x"":1496,""y"":355,""dx"":45,""dy"":74,""t"":4252},{""x"":1497,""y"":344,""dx"":46,""dy"":63,""t"":4288},{""x"":1492,""y"":343,""dx"":41,""dy"":62,""t"":4323},{""x"":1496,""y"":346,""dx"":45,""dy"":65,""t"":4356},{""x"":1490,""y"":333,""dx"":39,""dy"":52,""t"":4391},{""x"":1493,""y"":332,""dx"":42,""dy"":51,""t"":4424},{""x"":1481,""y"":316,""dx"":30,""dy"":35,""t"":4458},{""x"":1486,""y"":317,""dx"":35,""dy"":36,""t"":4492},{""x"":1481,""y"":324,""dx"":30,""dy"":43,""t"":4526},{""x"":1451,""y"":328,""dx"":0,""dy"":47,""t"":4560},{""x"":1443,""y"":333,""dx"":-8,""dy"":52,""t"":4594},{""x"":1436,""y"":339,""dx"":-15,""dy"":58,""t"":4628},{""x"":1442,""y"":339,""dx"":-9,""dy"":58,""t"":4662},{""x"":1428,""y"":343,""dx"":-23,""dy"":62,""t"":4696},{""x"":1449,""y"":347,""dx"":-2,""dy"":66,""t"":4730},{""x"":1465,""y"":346,""dx"":14,""dy"":65,""t"":4763},{""x"":1474,""y"":332,""dx"":23,""dy"":51,""t"":4799},{""x"":1476,""y"":329,""dx"":25,""dy"":48,""t"":4832},{""x"":1485,""y"":335,""dx"":34,""dy"":54,""t"":4865},{""x"":1502,""y"":342,""dx"":51,""dy"":61,""t"":4900},{""x"":1503,""y"":344,""dx"":52,""dy"":63,""t"":4934},{""x"":1496,""y"":340,""dx"":45,""dy"":59,""t"":4969},{""x"":1499,""y"":344,""dx"":48,""dy"":63,""t"":5002},{""x"":1499,""y"":349,""dx"":48,""dy"":68,""t"":5036},{""x"":1478,""y"":345,""dx"":27,""dy"":64,""t"":5071},{""x"":1486,""y"":347,""dx"":35,""dy"":66,""t"":5103},{""x"":1491,""y"":342,""dx"":40,""dy"":61,""t"":5138},{""x"":1493,""y"":340,""dx"":42,""dy"":59,""t"":5172},{""x"":1497,""y"":344,""dx"":46,""dy"":63,""t"":5206},{""x"":1500,""y"":341,""dx"":49,""dy"":60,""t"":5240},{""x"":1508,""y"":341,""dx"":57,""dy"":60,""t"":5274},{""x"":1497,""y"":336,""dx"":46,""dy"":55,""t"":5308},{""x"":1498,""y"":332,""dx"":47,""dy"":51,""t"":5342},{""x"":1500,""y"":339,""dx"":49,""dy"":58,""t"":5375},{""x"":1498,""y"":337,""dx"":47,""dy"":56,""t"":5410},{""x"":1501,""y"":344,""dx"":50,""dy"":63,""t"":5444},{""x"":1493,""y"":339,""dx"":42,""dy"":58,""t"":5478},{""x"":1488,""y"":333,""dx"":37,""dy"":52,""t"":5512},{""x"":1488,""y"":321,""dx"":37,""dy"":40,""t"":5545},{""x"":1476,""y"":329,""dx"":25,""dy"":48,""t"":5580},{""x"":1464,""y"":329,""dx"":13,""dy"":48,""t"":5613},{""x"":1463,""y"":312,""dx"":12,""dy"":31,""t"":5647},{""x"":1457,""y"":302,""dx"":6,""dy"":21,""t"":5682},{""x"":1460,""y"":316,""dx"":9,""dy"":35,""t"":5716},{""x"":1464,""y"":327,""dx"":13,""dy"":46,""t"":5751},{""x"":1465,""y"":322,""dx"":14,""dy"":41,""t"":5784},{""x"":1457,""y"":311,""dx"":6,""dy"":30,""t"":5816},{""x"":1475,""y"":302,""dx"":24,""dy"":21,""t"":5852},{""x"":1469,""y"":324,""dx"":18,""dy"":43,""t"":5886},{""x"":1468,""y"":338,""dx"":17,""dy"":57,""t"":5920},{""x"":1479,""y"":347,""dx"":28,""dy"":66,""t"":5955},{""x"":1468,""y"":343,""dx"":17,""dy"":62,""t"":5988}],[{""x"":1039,""y"":674,""dx"":68,""dy"":123,""t"":7008},{""x"":1045,""y"":664,""dx"":74,""dy"":113,""t"":7042},{""x"":1044,""y"":647,""dx"":73,""dy"":96,""t"":7076},{""x"":1031,""y"":633,""dx"":60,""dy"":82,""t"":7111},{""x"":1025,""y"":620,""dx"":54,""dy"":69,""t"":7144},{""x"":1036,""y"":606,""dx"":65,""dy"":55,""t"":7178},{""x"":1034,""y"":607,""dx"":63,""dy"":56,""t"":7212},{""x"":1041,""y"":595,""dx"":70,""dy"":44,""t"":7246},{""x"":1041,""y"":600,""dx"":70,""dy"":49,""t"":7280},{""x"":1040,""y"":603,""dx"":69,""dy"":52,""t"":7313},{""x"":1040,""y"":574,""dx"":69,""dy"":23,""t"":7348},{""x"":1029,""y"":595,""dx"":58,""dy"":44,""t"":7382},{""x"":1011,""y"":599,""dx"":40,""dy"":48,""t"":7414},{""x"":1021,""y"":572,""dx"":50,""dy"":21,""t"":7450},{""x"":1025,""y"":604,""dx"":54,""dy"":53,""t"":7484},{""x"":1029,""y"":597,""dx"":58,""dy"":46,""t"":7518},{""x"":1039,""y"":614,""dx"":68,""dy"":63,""t"":7552},{""x"":1029,""y"":590,""dx"":58,""dy"":39,""t"":7586},{""x"":1022,""y"":595,""dx"":51,""dy"":44,""t"":7620},{""x"":1021,""y"":649,""dx"":50,""dy"":98,""t"":7654},{""x"":1024,""y"":643,""dx"":53,""dy"":92,""t"":7687},{""x"":1019,""y"":638,""dx"":48,""dy"":87,""t"":7722},{""x"":1026,""y"":617,""dx"":55,""dy"":66,""t"":7756},{""x"":1024,""y"":616,""dx"":53,""dy"":65,""t"":7789},{""x"":1018,""y"":642,""dx"":47,""dy"":91,""t"":7822},{""x"":1016,""y"":634,""dx"":45,""dy"":83,""t"":7858},{""x"":997,""y"":644,""dx"":26,""dy"":93,""t"":7892},{""x"":980,""y"":649,""dx"":9,""dy"":98,""t"":7926},{""x"":979,""y"":679,""dx"":8,""dy"":128,""t"":7961},{""x"":956,""y"":685,""dx"":-15,""dy"":134,""t"":7994},{""x"":945,""y"":693,""dx"":-26,""dy"":142,""t"":8028},{""x"":937,""y"":669,""dx"":-34,""dy"":118,""t"":8062},{""x"":939,""y"":637,""dx"":-32,""dy"":86,""t"":8096},{""x"":919,""y"":637,""dx"":-52,""dy"":86,""t"":8130},{""x"":927,""y"":622,""dx"":-44,""dy"":71,""t"":8163},{""x"":923,""y"":632,""dx"":-48,""dy"":81,""t"":8198},{""x"":921,""y"":644,""dx"":-50,""dy"":93,""t"":8232},{""x"":932,""y"":635,""dx"":-39,""dy"":84,""t"":8267},{""x"":944,""y"":653,""dx"":-27,""dy"":102,""t"":8300},{""x"":969,""y"":639,""dx"":-2,""dy"":88,""t"":8334},{""x"":979,""y"":657,""dx"":8,""dy"":106,""t"":8368},{""x"":1005,""y"":654,""dx"":34,""dy"":103,""t"":8401},{""x"":1010,""y"":627,""dx"":39,""dy"":76,""t"":8436},{""x"":1009,""y"":640,""dx"":38,""dy"":89,""t"":8499},{""x"":1007,""y"":651,""dx"":36,""dy"":100,""t"":8506},{""x"":1010,""y"":652,""dx"":39,""dy"":101,""t"":8538},{""x"":993,""y"":646,""dx"":22,""dy"":95,""t"":8572},{""x"":983,""y"":647,""dx"":12,""dy"":96,""t"":8606},{""x"":996,""y"":655,""dx"":25,""dy"":104,""t"":8640},{""x"":1029,""y"":648,""dx"":58,""dy"":97,""t"":8673},{""x"":1045,""y"":658,""dx"":74,""dy"":107,""t"":8708},{""x"":1027,""y"":654,""dx"":56,""dy"":103,""t"":8742},{""x"":1033,""y"":658,""dx"":62,""dy"":107,""t"":8776},{""x"":1033,""y"":650,""dx"":62,""dy"":99,""t"":8810},{""x"":1045,""y"":661,""dx"":74,""dy"":110,""t"":8844},{""x"":1051,""y"":668,""dx"":80,""dy"":117,""t"":8878},{""x"":1063,""y"":680,""dx"":92,""dy"":129,""t"":8911},{""x"":1076,""y"":682,""dx"":105,""dy"":131,""t"":8946},{""x"":1086,""y"":683,""dx"":115,""dy"":132,""t"":8978}],[{""x"":667,""y"":543,""dx"":176,""dy"":-278,""t"":10034},{""x"":665,""y"":553,""dx"":174,""dy"":-268,""t"":10068},{""x"":690,""y"":576,""dx"":199,""dy"":-245,""t"":10102},{""x"":679,""y"":577,""dx"":188,""dy"":-244,""t"":10136},{""x"":688,""y"":596,""dx"":197,""dy"":-225,""t"":10170},{""x"":685,""y"":596,""dx"":194,""dy"":-225,""t"":10204},{""x"":690,""y"":616,""dx"":199,""dy"":-205,""t"":10238},{""x"":720,""y"":637,""dx"":229,""dy"":-184,""t"":10272},{""x"":727,""y"":670,""dx"":236,""dy"":-151,""t"":10306},{""x"":720,""y"":672,""dx"":229,""dy"":-149,""t"":10339},{""x"":725,""y"":686,""dx"":234,""dy"":-135,""t"":10374},{""x"":748,""y"":683,""dx"":257,""dy"":-138,""t"":10408},{""x"":726,""y"":698,""dx"":235,""dy"":-123,""t"":10442},{""x"":751,""y"":697,""dx"":260,""dy"":-124,""t"":10476},{""x"":757,""y"":704,""dx"":266,""dy"":-117,""t"":10511},{""x"":742,""y"":683,""dx"":251,""dy"":-138,""t"":10544},{""x"":722,""y"":676,""dx"":231,""dy"":-145,""t"":10578},{""x"":742,""y"":661,""dx"":251,""dy"":-160,""t"":10613},{""x"":727,""y"":675,""dx"":236,""dy"":-146,""t"":10646},{""x"":729,""y"":715,""dx"":238,""dy"":-106,""t"":10680},{""x"":745,""y"":722,""dx"":254,""dy"":-99,""t"":10714},{""x"":740,""y"":729,""dx"":249,""dy"":-92,""t"":10748},{""x"":725,""y"":726,""dx"":234,""dy"":-95,""t"":10782},{""x"":719,""y"":735,""dx"":228,""dy"":-86,""t"":10816},{""x"":716,""y"":702,""dx"":225,""dy"":-119,""t"":10851},{""x"":636,""y"":688,""dx"":145,""dy"":-133,""t"":10885},{""x"":672,""y"":677,""dx"":181,""dy"":-144,""t"":10918},{""x"":697,""y"":698,""dx"":206,""dy"":-123,""t"":10950},{""x"":695,""y"":717,""dx"":204,""dy"":-104,""t"":10987},{""x"":702,""y"":739,""dx"":211,""dy"":-82,""t"":11020},{""x"":720,""y"":736,""dx"":229,""dy"":-85,""t"":11054},{""x"":700,""y"":723,""dx"":209,""dy"":-98,""t"":11088},{""x"":725,""y"":723,""dx"":234,""dy"":-98,""t"":11123},{""x"":740,""y"":723,""dx"":249,""dy"":-98,""t"":11156},{""x"":726,""y"":734,""dx"":235,""dy"":-87,""t"":11190},{""x"":708,""y"":723,""dx"":217,""dy"":-98,""t"":11224},{""x"":726,""y"":710,""dx"":235,""dy"":-111,""t"":11258},{""x"":720,""y"":738,""dx"":229,""dy"":-83,""t"":11292},{""x"":726,""y"":752,""dx"":235,""dy"":-69,""t"":11326},{""x"":730,""y"":764,""dx"":239,""dy"":-57,""t"":11358},{""x"":734,""y"":734,""dx"":243,""dy"":-87,""t"":11395},{""x"":743,""y"":714,""dx"":252,""dy"":-107,""t"":11428},{""x"":746,""y"":697,""dx"":255,""dy"":-124,""t"":11462},{""x"":749,""y"":687,""dx"":258,""dy"":-134,""t"":11496},{""x"":715,""y"":676,""dx"":224,""dy"":-145,""t"":11530},{""x"":657,""y"":652,""dx"":166,""dy"":-169,""t"":11563},{""x"":648,""y"":642,""dx"":157,""dy"":-179,""t"":11598},{""x"":650,""y"":637,""dx"":159,""dy"":-184,""t"":11631},{""x"":685,""y"":630,""dx"":194,""dy"":-191,""t"":11666},{""x"":689,""y"":638,""dx"":198,""dy"":-183,""t"":11700},{""x"":697,""y"":616,""dx"":206,""dy"":-205,""t"":11733},{""x"":719,""y"":618,""dx"":228,""dy"":-203,""t"":11768},{""x"":726,""y"":607,""dx"":235,""dy"":-214,""t"":11802},{""x"":737,""y"":606,""dx"":246,""dy"":-215,""t"":11836},{""x"":727,""y"":610,""dx"":236,""dy"":-211,""t"":11870},{""x"":747,""y"":651,""dx"":256,""dy"":-170,""t"":11904},{""x"":692,""y"":623,""dx"":201,""dy"":-198,""t"":11938},{""x"":703,""y"":647,""dx"":212,""dy"":-174,""t"":11972},{""x"":705,""y"":673,""dx"":214,""dy"":-148,""t"":12006}],[{""x"":1292,""y"":682,""dx"":-159,""dy"":-139,""t"":13027},{""x"":1295,""y"":665,""dx"":-156,""dy"":-156,""t"":13060},{""x"":1297,""y"":656,""dx"":-154,""dy"":-165,""t"":13094},{""x"":1266,""y"":692,""dx"":-185,""dy"":-129,""t"":13128},{""x"":1264,""y"":684,""dx"":-187,""dy"":-137,""t"":13163},{""x"":1257,""y"":670,""dx"":-194,""dy"":-151,""t"":13196},{""x"":1253,""y"":659,""dx"":-198,""dy"":-162,""t"":13230},{""x"":1234,""y"":631,""dx"":-217,""dy"":-190,""t"":13263},{""x"":1216,""y"":634,""dx"":-235,""dy"":-187,""t"":13298},{""x"":1223,""y"":658,""dx"":-228,""dy"":-163,""t"":13331},{""x"":1219,""y"":648,""dx"":-232,""dy"":-173,""t"":13366},{""x"":1212,""y"":679,""dx"":-239,""dy"":-142,""t"":13400},{""x"":1259,""y"":661,""dx"":-192,""dy"":-160,""t"":13434},{""x"":1260,""y"":646,""dx"":-191,""dy"":-175,""t"":13467},{""x"":1264,""y"":647,""dx"":-187,""dy"":-174,""t"":13502},{""x"":1300,""y"":649,""dx"":-151,""dy"":-172,""t"":13536},{""x"":1323,""y"":632,""dx"":-128,""dy"":-189,""t"":13570},{""x"":1310,""y"":610,""dx"":-141,""dy"":-211,""t"":13604},{""x"":1347,""y"":620,""dx"":-104,""dy"":-201,""t"":13638},{""x"":1314,""y"":639,""dx"":-137,""dy"":-182,""t"":13672},{""x"":1265,""y"":651,""dx"":-186,""dy"":-170,""t"":13706},{""x"":1278,""y"":667,""dx"":-173,""dy"":-154,""t"":13740},{""x"":1277,""y"":658,""dx"":-174,""dy"":-163,""t"":13774},{""x"":1304,""y"":640,""dx"":-147,""dy"":-181,""t"":13808},{""x"":1266,""y"":659,""dx"":-185,""dy"":-162,""t"":13842},{""x"":1241,""y"":676,""dx"":-210,""dy"":-145,""t"":13876},{""x"":1235,""y"":659,""dx"":-216,""dy"":-162,""t"":13911},{""x"":1237,""y"":662,""dx"":-214,""dy"":-159,""t"":13944},{""x"":1221,""y"":652,""dx"":-230,""dy"":-169,""t"":13977},{""x"":1215,""y"":670,""dx"":-236,""dy"":-151,""t"":14012},{""x"":1212,""y"":681,""dx"":-239,""dy"":-140,""t"":14046},{""x"":1179,""y"":692,""dx"":-272,""dy"":-129,""t"":14080},{""x"":1166,""y"":693,""dx"":-285,""dy"":-128,""t"":14113},{""x"":1155,""y"":693,""dx"":-296,""dy"":-128,""t"":14146},{""x"":1181,""y"":685,""dx"":-270,""dy"":-136,""t"":14182},{""x"":1163,""y"":690,""dx"":-288,""dy"":-131,""t"":14216},{""x"":1156,""y"":688,""dx"":-295,""dy"":-133,""t"":14250},{""x"":1140,""y"":708,""dx"":-311,""dy"":-113,""t"":14283},{""x"":1167,""y"":695,""dx"":-284,""dy"":-126,""t"":14317},{""x"":1166,""y"":714,""dx"":-285,""dy"":-107,""t"":14352},{""x"":1164,""y"":712,""dx"":-287,""dy"":-109,""t"":14387},{""x"":1164,""y"":703,""dx"":-287,""dy"":-118,""t"":14421},{""x"":1167,""y"":691,""dx"":-284,""dy"":-130,""t"":14454},{""x"":1177,""y"":690,""dx"":-274,""dy"":-131,""t"":14488},{""x"":1221,""y"":678,""dx"":-230,""dy"":-143,""t"":14522},{""x"":1231,""y"":675,""dx"":-220,""dy"":-146,""t"":14554},{""x"":1236,""y"":685,""dx"":-215,""dy"":-136,""t"":14590},{""x"":1226,""y"":689,""dx"":-225,""dy"":-132,""t"":14624},{""x"":1215,""y"":673,""dx"":-236,""dy"":-148,""t"":14659},{""x"":1206,""y"":688,""dx"":-245,""dy"":-133,""t"":14691},{""x"":1194,""y"":684,""dx"":-257,""dy"":-137,""t"":14726},{""x"":1188,""y"":688,""dx"":-263,""dy"":-133,""t"":14760},{""x"":1202,""y"":688,""dx"":-249,""dy"":-133,""t"":14794},{""x"":1207,""y"":685,""dx"":-244,""dy"":-136,""t"":14828},{""x"":1224,""y"":695,""dx"":-227,""dy"":-126,""t"":14862},{""x"":1224,""y"":696,""dx"":-227,""dy"":-125,""t"":14896},{""x"":1205,""y"":687,""dx"":-246,""dy"":-134,""t"":14930},{""x"":1207,""y"":686,""dx"":-244,""dy"":-135,""t"":14963},{""x"":1201,""y"":683,""dx"":-250,""dy"":-138,""t"":14999},{""x"":1213,""y"":686,""dx"":-238,""dy"":-135,""t"":15032}]]","[100,100,100,1.694915254237288,0]","[{""x"":-30.83050847457627,""y"":-43.847457627118644,""r"":42.97399051704989},{""x"":34.16949152542373,""y"":56.355932203389834,""r"":18.073376567048264},{""x"":37.76271186440678,""y"":86.57627118644068,""r"":39.78819245135917},{""x"":221.4915254237288,""y"":-147.59322033898306,""r"":54.0087903939363},{""x"":-222.65,""y"":-148.38333333333333,""r"":61.22052415111398}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","","",""
"","html-button-response","10","57207","0.0-5.0-4.0-0.0-0.0","","","","","1383","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","79550","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","81303","0.0-5.0-4.0-0.0-2.0","","","","","1752","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
