"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1989","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1995","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6487","0.0-2.0-0.0","","","","","4489","{""name"":""张小雨"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7790","0.0-2.0-1.0","","","","","1302","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","8310","0.0-3.0","","","","","517"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","21021","0.0-4.0","","","","","","","","","18","","","","","","","","","","","","","","","",""
"","html-button-response","6","21678","0.0-5.0-0.0","","","","","655","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","32501","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","33230","0.0-5.0-2.0","","","","","729","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","50574","0.0-5.0-3.0","","","","","","","","","","[[{""x"":479,""y"":314,""dx"":-12,""dy"":33,""t"":990},{""x"":513,""y"":325,""dx"":22,""dy"":44,""t"":1025},{""x"":558,""y"":331,""dx"":67,""dy"":50,""t"":1058},{""x"":577,""y"":331,""dx"":86,""dy"":50,""t"":1092},{""x"":568,""y"":323,""dx"":77,""dy"":42,""t"":1126},{""x"":574,""y"":309,""dx"":83,""dy"":28,""t"":1160},{""x"":570,""y"":298,""dx"":79,""dy"":17,""t"":1194},{""x"":526,""y"":300,""dx"":35,""dy"":19,""t"":1228},{""x"":539,""y"":284,""dx"":48,""dy"":3,""t"":1261},{""x"":584,""y"":288,""dx"":93,""dy"":7,""t"":1297},{""x"":535,""y"":277,""dx"":44,""dy"":-4,""t"":1330},{""x"":506,""y"":263,""dx"":15,""dy"":-18,""t"":1364},{""x"":476,""y"":269,""dx"":-15,""dy"":-12,""t"":1398},{""x"":450,""y"":262,""dx"":-41,""dy"":-19,""t"":1432},{""x"":500,""y"":256,""dx"":9,""dy"":-25,""t"":1466},{""x"":459,""y"":262,""dx"":-32,""dy"":-19,""t"":1500},{""x"":424,""y"":267,""dx"":-67,""dy"":-14,""t"":1532},{""x"":400,""y"":271,""dx"":-91,""dy"":-10,""t"":1567},{""x"":432,""y"":269,""dx"":-59,""dy"":-12,""t"":1602},{""x"":435,""y"":275,""dx"":-56,""dy"":-6,""t"":1637},{""x"":425,""y"":279,""dx"":-66,""dy"":-2,""t"":1669},{""x"":491,""y"":274,""dx"":0,""dy"":-7,""t"":1704},{""x"":471,""y"":262,""dx"":-20,""dy"":-19,""t"":1738},{""x"":480,""y"":295,""dx"":-11,""dy"":14,""t"":1771},{""x"":484,""y"":306,""dx"":-7,""dy"":25,""t"":1806},{""x"":490,""y"":319,""dx"":-1,""dy"":38,""t"":1841},{""x"":472,""y"":347,""dx"":-19,""dy"":66,""t"":1874},{""x"":441,""y"":336,""dx"":-50,""dy"":55,""t"":1908},{""x"":426,""y"":339,""dx"":-65,""dy"":58,""t"":1940},{""x"":444,""y"":320,""dx"":-47,""dy"":39,""t"":1977},{""x"":429,""y"":353,""dx"":-62,""dy"":72,""t"":2010},{""x"":452,""y"":357,""dx"":-39,""dy"":76,""t"":2045},{""x"":455,""y"":385,""dx"":-36,""dy"":104,""t"":2079},{""x"":473,""y"":380,""dx"":-18,""dy"":99,""t"":2112},{""x"":495,""y"":378,""dx"":4,""dy"":97,""t"":2147},{""x"":543,""y"":366,""dx"":52,""dy"":85,""t"":2180},{""x"":566,""y"":366,""dx"":75,""dy"":85,""t"":2214},{""x"":557,""y"":378,""dx"":66,""dy"":97,""t"":2249},{""x"":566,""y"":371,""dx"":75,""dy"":90,""t"":2282},{""x"":586,""y"":373,""dx"":95,""dy"":92,""t"":2316},{""x"":553,""y"":390,""dx"":62,""dy"":109,""t"":2350},{""x"":563,""y"":386,""dx"":72,""dy"":105,""t"":2384},{""x"":563,""y"":378,""dx"":72,""dy"":97,""t"":2418},{""x"":588,""y"":381,""dx"":97,""dy"":100,""t"":2453},{""x"":602,""y"":408,""dx"":111,""dy"":127,""t"":2486},{""x"":616,""y"":392,""dx"":125,""dy"":111,""t"":2520},{""x"":596,""y"":373,""dx"":105,""dy"":92,""t"":2554},{""x"":536,""y"":403,""dx"":45,""dy"":122,""t"":2588},{""x"":531,""y"":384,""dx"":40,""dy"":103,""t"":2623},{""x"":517,""y"":362,""dx"":26,""dy"":81,""t"":2656},{""x"":465,""y"":344,""dx"":-26,""dy"":63,""t"":2690},{""x"":407,""y"":326,""dx"":-84,""dy"":45,""t"":2724},{""x"":341,""y"":357,""dx"":-150,""dy"":76,""t"":2758},{""x"":329,""y"":383,""dx"":-162,""dy"":102,""t"":2793},{""x"":317,""y"":370,""dx"":-174,""dy"":89,""t"":2827},{""x"":324,""y"":383,""dx"":-167,""dy"":102,""t"":2860},{""x"":319,""y"":367,""dx"":-172,""dy"":86,""t"":2894},{""x"":345,""y"":353,""dx"":-146,""dy"":72,""t"":2929},{""x"":368,""y"":332,""dx"":-123,""dy"":51,""t"":2962}],[{""x"":1510,""y"":279,""dx"":59,""dy"":-2,""t"":4016},{""x"":1535,""y"":256,""dx"":84,""dy"":-25,""t"":4050},{""x"":1527,""y"":276,""dx"":76,""dy"":-5,""t"":4084},{""x"":1511,""y"":274,""dx"":60,""dy"":-7,""t"":4118},{""x"":1505,""y"":279,""dx"":54,""dy"":-2,""t"":4152},{""x"":1488,""y"":295,""dx"":37,""dy"":14,""t"":4186},{""x"":1475,""y"":325,""dx"":24,""dy"":44,""t"":4220},{""x"":1490,""y"":308,""dx"":39,""dy"":27,""t"":4254},{""x"":1463,""y"":300,""dx"":12,""dy"":19,""t"":4289},{""x"":1461,""y"":291,""dx"":10,""dy"":10,""t"":4322},{""x"":1472,""y"":290,""dx"":21,""dy"":9,""t"":4356},{""x"":1500,""y"":285,""dx"":49,""dy"":4,""t"":4390},{""x"":1472,""y"":243,""dx"":21,""dy"":-38,""t"":4424},{""x"":1478,""y"":253,""dx"":27,""dy"":-28,""t"":4458},{""x"":1494,""y"":268,""dx"":43,""dy"":-13,""t"":4492},{""x"":1474,""y"":288,""dx"":23,""dy"":7,""t"":4526},{""x"":1464,""y"":296,""dx"":13,""dy"":15,""t"":4560},{""x"":1451,""y"":310,""dx"":0,""dy"":29,""t"":4594},{""x"":1478,""y"":315,""dx"":27,""dy"":34,""t"":4628},{""x"":1468,""y"":276,""dx"":17,""dy"":-5,""t"":4663},{""x"":1506,""y"":270,""dx"":55,""dy"":-11,""t"":4696},{""x"":1484,""y"":241,""dx"":33,""dy"":-40,""t"":4730},{""x"":1487,""y"":249,""dx"":36,""dy"":-32,""t"":4764},{""x"":1491,""y"":253,""dx"":40,""dy"":-28,""t"":4798},{""x"":1484,""y"":274,""dx"":33,""dy"":-7,""t"":4832},{""x"":1483,""y"":250,""dx"":32,""dy"":-31,""t"":4866},{""x"":1461,""y"":221,""dx"":10,""dy"":-60,""t"":4900},{""x"":1459,""y"":196,""dx"":8,""dy"":-85,""t"":4934},{""x"":1470,""y"":190,""dx"":19,""dy"":-91,""t"":4968},{""x"":1473,""y"":175,""dx"":22,""dy"":-106,""t"":5002},{""x"":1475,""y"":226,""dx"":24,""dy"":-55,""t"":5036},{""x"":1477,""y"":272,""dx"":26,""dy"":-9,""t"":5069},{""x"":1482,""y"":276,""dx"":31,""dy"":-5,""t"":5104},{""x"":1484,""y"":253,""dx"":33,""dy"":-28,""t"":5139},{""x"":1466,""y"":231,""dx"":15,""dy"":-50,""t"":5172},{""x"":1486,""y"":220,""dx"":35,""dy"":-61,""t"":5206},{""x"":1467,""y"":274,""dx"":16,""dy"":-7,""t"":5240},{""x"":1471,""y"":256,""dx"":20,""dy"":-25,""t"":5274},{""x"":1508,""y"":231,""dx"":57,""dy"":-50,""t"":5308},{""x"":1525,""y"":197,""dx"":74,""dy"":-84,""t"":5342},{""x"":1523,""y"":184,""dx"":72,""dy"":-97,""t"":5376},{""x"":1513,""y"":182,""dx"":62,""dy"":-99,""t"":5410},{""x"":1494,""y"":187,""dx"":43,""dy"":-94,""t"":5444},{""x"":1478,""y"":192,""dx"":27,""dy"":-89,""t"":5476},{""x"":1462,""y"":206,""dx"":11,""dy"":-75,""t"":5513},{""x"":1459,""y"":218,""dx"":8,""dy"":-63,""t"":5546},{""x"":1448,""y"":225,""dx"":-3,""dy"":-56,""t"":5581},{""x"":1432,""y"":243,""dx"":-19,""dy"":-38,""t"":5614},{""x"":1462,""y"":225,""dx"":11,""dy"":-56,""t"":5647},{""x"":1466,""y"":218,""dx"":15,""dy"":-63,""t"":5682},{""x"":1442,""y"":224,""dx"":-9,""dy"":-57,""t"":5716},{""x"":1435,""y"":237,""dx"":-16,""dy"":-44,""t"":5750},{""x"":1431,""y"":249,""dx"":-20,""dy"":-32,""t"":5784},{""x"":1444,""y"":225,""dx"":-7,""dy"":-56,""t"":5818},{""x"":1470,""y"":215,""dx"":19,""dy"":-66,""t"":5853},{""x"":1467,""y"":278,""dx"":16,""dy"":-3,""t"":5886},{""x"":1471,""y"":269,""dx"":20,""dy"":-12,""t"":5921},{""x"":1491,""y"":254,""dx"":40,""dy"":-27,""t"":5954},{""x"":1477,""y"":248,""dx"":26,""dy"":-33,""t"":5988}],[{""x"":919,""y"":673,""dx"":-52,""dy"":122,""t"":7008},{""x"":948,""y"":651,""dx"":-23,""dy"":100,""t"":7042},{""x"":917,""y"":665,""dx"":-54,""dy"":114,""t"":7075},{""x"":909,""y"":668,""dx"":-62,""dy"":117,""t"":7110},{""x"":921,""y"":642,""dx"":-50,""dy"":91,""t"":7144},{""x"":952,""y"":632,""dx"":-19,""dy"":81,""t"":7178},{""x"":980,""y"":610,""dx"":9,""dy"":59,""t"":7213},{""x"":957,""y"":607,""dx"":-14,""dy"":56,""t"":7246},{""x"":970,""y"":597,""dx"":-1,""dy"":46,""t"":7280},{""x"":966,""y"":600,""dx"":-5,""dy"":49,""t"":7314},{""x"":969,""y"":610,""dx"":-2,""dy"":59,""t"":7348},{""x"":947,""y"":610,""dx"":-24,""dy"":59,""t"":7382},{""x"":960,""y"":624,""dx"":-11,""dy"":73,""t"":7416},{""x"":950,""y"":629,""dx"":-21,""dy"":78,""t"":7448},{""x"":933,""y"":627,""dx"":-38,""dy"":76,""t"":7484},{""x"":935,""y"":648,""dx"":-36,""dy"":97,""t"":7518},{""x"":935,""y"":649,""dx"":-36,""dy"":98,""t"":7553},{""x"":924,""y"":646,""dx"":-47,""dy"":95,""t"":7586},{""x"":948,""y"":640,""dx"":-23,""dy"":89,""t"":7621},{""x"":926,""y"":654,""dx"":-45,""dy"":103,""t"":7654},{""x"":941,""y"":648,""dx"":-30,""dy"":97,""t"":7688},{""x"":915,""y"":648,""dx"":-56,""dy"":97,""t"":7723},{""x"":911,""y"":650,""dx"":-60,""dy"":99,""t"":7756},{""x"":955,""y"":633,""dx"":-16,""dy"":82,""t"":7791},{""x"":934,""y"":624,""dx"":-37,""dy"":73,""t"":7824},{""x"":943,""y"":609,""dx"":-28,""dy"":58,""t"":7858},{""x"":964,""y"":607,""dx"":-7,""dy"":56,""t"":7892},{""x"":979,""y"":611,""dx"":8,""dy"":60,""t"":7927},{""x"":977,""y"":620,""dx"":6,""dy"":69,""t"":7961},{""x"":994,""y"":623,""dx"":23,""dy"":72,""t"":7994},{""x"":952,""y"":631,""dx"":-19,""dy"":80,""t"":8028},{""x"":977,""y"":636,""dx"":6,""dy"":85,""t"":8062},{""x"":981,""y"":658,""dx"":10,""dy"":107,""t"":8096},{""x"":988,""y"":653,""dx"":17,""dy"":102,""t"":8131},{""x"":953,""y"":652,""dx"":-18,""dy"":101,""t"":8164},{""x"":918,""y"":660,""dx"":-53,""dy"":109,""t"":8198},{""x"":964,""y"":669,""dx"":-7,""dy"":118,""t"":8232},{""x"":991,""y"":672,""dx"":20,""dy"":121,""t"":8266},{""x"":1000,""y"":656,""dx"":29,""dy"":105,""t"":8301},{""x"":1006,""y"":648,""dx"":35,""dy"":97,""t"":8334},{""x"":1027,""y"":675,""dx"":56,""dy"":124,""t"":8367},{""x"":1008,""y"":682,""dx"":37,""dy"":131,""t"":8402},{""x"":1021,""y"":690,""dx"":50,""dy"":139,""t"":8437},{""x"":1005,""y"":697,""dx"":34,""dy"":146,""t"":8471},{""x"":1002,""y"":699,""dx"":31,""dy"":148,""t"":8504},{""x"":1013,""y"":683,""dx"":42,""dy"":132,""t"":8538},{""x"":1018,""y"":689,""dx"":47,""dy"":138,""t"":8571},{""x"":1022,""y"":685,""dx"":51,""dy"":134,""t"":8606},{""x"":1033,""y"":674,""dx"":62,""dy"":123,""t"":8639},{""x"":1007,""y"":690,""dx"":36,""dy"":139,""t"":8674},{""x"":955,""y"":713,""dx"":-16,""dy"":162,""t"":8709},{""x"":892,""y"":692,""dx"":-79,""dy"":141,""t"":8743},{""x"":820,""y"":690,""dx"":-151,""dy"":139,""t"":8777},{""x"":771,""y"":701,""dx"":-200,""dy"":150,""t"":8810},{""x"":758,""y"":699,""dx"":-213,""dy"":148,""t"":8845},{""x"":733,""y"":702,""dx"":-238,""dy"":151,""t"":8878},{""x"":742,""y"":703,""dx"":-229,""dy"":152,""t"":8913},{""x"":719,""y"":705,""dx"":-252,""dy"":154,""t"":8947},{""x"":730,""y"":712,""dx"":-241,""dy"":161,""t"":8982}],[{""x"":667,""y"":881,""dx"":176,""dy"":60,""t"":10000},{""x"":634,""y"":882,""dx"":143,""dy"":61,""t"":10034},{""x"":627,""y"":900,""dx"":136,""dy"":79,""t"":10067},{""x"":657,""y"":870,""dx"":166,""dy"":49,""t"":10103},{""x"":687,""y"":849,""dx"":196,""dy"":28,""t"":10136},{""x"":682,""y"":844,""dx"":191,""dy"":23,""t"":10170},{""x"":654,""y"":848,""dx"":163,""dy"":27,""t"":10204},{""x"":630,""y"":852,""dx"":139,""dy"":31,""t"":10236},{""x"":657,""y"":832,""dx"":166,""dy"":11,""t"":10272},{""x"":636,""y"":828,""dx"":145,""dy"":7,""t"":10306},{""x"":661,""y"":815,""dx"":170,""dy"":-6,""t"":10340},{""x"":643,""y"":835,""dx"":152,""dy"":14,""t"":10375},{""x"":640,""y"":818,""dx"":149,""dy"":-3,""t"":10408},{""x"":648,""y"":788,""dx"":157,""dy"":-33,""t"":10442},{""x"":665,""y"":793,""dx"":174,""dy"":-28,""t"":10477},{""x"":680,""y"":769,""dx"":189,""dy"":-52,""t"":10509},{""x"":670,""y"":789,""dx"":179,""dy"":-32,""t"":10544},{""x"":647,""y"":781,""dx"":156,""dy"":-40,""t"":10578},{""x"":618,""y"":793,""dx"":127,""dy"":-28,""t"":10613},{""x"":593,""y"":803,""dx"":102,""dy"":-18,""t"":10644},{""x"":624,""y"":795,""dx"":133,""dy"":-26,""t"":10680},{""x"":628,""y"":824,""dx"":137,""dy"":3,""t"":10714},{""x"":609,""y"":801,""dx"":118,""dy"":-20,""t"":10748},{""x"":641,""y"":799,""dx"":150,""dy"":-22,""t"":10782},{""x"":694,""y"":778,""dx"":203,""dy"":-43,""t"":10817},{""x"":692,""y"":769,""dx"":201,""dy"":-52,""t"":10850},{""x"":684,""y"":786,""dx"":193,""dy"":-35,""t"":10884},{""x"":681,""y"":779,""dx"":190,""dy"":-42,""t"":10918},{""x"":690,""y"":783,""dx"":199,""dy"":-38,""t"":10952},{""x"":689,""y"":798,""dx"":198,""dy"":-23,""t"":10985},{""x"":685,""y"":803,""dx"":194,""dy"":-18,""t"":11021},{""x"":656,""y"":778,""dx"":165,""dy"":-43,""t"":11055},{""x"":628,""y"":775,""dx"":137,""dy"":-46,""t"":11088},{""x"":620,""y"":749,""dx"":129,""dy"":-72,""t"":11123},{""x"":573,""y"":752,""dx"":82,""dy"":-69,""t"":11156},{""x"":585,""y"":757,""dx"":94,""dy"":-64,""t"":11190},{""x"":599,""y"":748,""dx"":108,""dy"":-73,""t"":11224},{""x"":612,""y"":739,""dx"":121,""dy"":-82,""t"":11258},{""x"":613,""y"":749,""dx"":122,""dy"":-72,""t"":11292},{""x"":595,""y"":754,""dx"":104,""dy"":-67,""t"":11326},{""x"":582,""y"":757,""dx"":91,""dy"":-64,""t"":11361},{""x"":599,""y"":756,""dx"":108,""dy"":-65,""t"":11394},{""x"":590,""y"":782,""dx"":99,""dy"":-39,""t"":11428},{""x"":564,""y"":794,""dx"":73,""dy"":-27,""t"":11462},{""x"":604,""y"":796,""dx"":113,""dy"":-25,""t"":11496},{""x"":555,""y"":795,""dx"":64,""dy"":-26,""t"":11530},{""x"":591,""y"":792,""dx"":100,""dy"":-29,""t"":11564},{""x"":581,""y"":798,""dx"":90,""dy"":-23,""t"":11597},{""x"":585,""y"":821,""dx"":94,""dy"":0,""t"":11632},{""x"":586,""y"":793,""dx"":95,""dy"":-28,""t"":11667},{""x"":620,""y"":784,""dx"":129,""dy"":-37,""t"":11700},{""x"":629,""y"":772,""dx"":138,""dy"":-49,""t"":11734},{""x"":664,""y"":748,""dx"":173,""dy"":-73,""t"":11768},{""x"":694,""y"":733,""dx"":203,""dy"":-88,""t"":11802},{""x"":733,""y"":737,""dx"":242,""dy"":-84,""t"":11836},{""x"":730,""y"":731,""dx"":239,""dy"":-90,""t"":11870},{""x"":723,""y"":725,""dx"":232,""dy"":-96,""t"":11904},{""x"":729,""y"":748,""dx"":238,""dy"":-73,""t"":11938},{""x"":717,""y"":749,""dx"":226,""dy"":-72,""t"":11972},{""x"":719,""y"":740,""dx"":228,""dy"":-81,""t"":12006}],[{""x"":1333,""y"":718,""dx"":-118,""dy"":-103,""t"":13026},{""x"":1353,""y"":689,""dx"":-98,""dy"":-132,""t"":13060},{""x"":1330,""y"":698,""dx"":-121,""dy"":-123,""t"":13094},{""x"":1344,""y"":722,""dx"":-107,""dy"":-99,""t"":13128},{""x"":1376,""y"":708,""dx"":-75,""dy"":-113,""t"":13161},{""x"":1371,""y"":707,""dx"":-80,""dy"":-114,""t"":13196},{""x"":1361,""y"":689,""dx"":-90,""dy"":-132,""t"":13230},{""x"":1375,""y"":707,""dx"":-76,""dy"":-114,""t"":13264},{""x"":1386,""y"":721,""dx"":-65,""dy"":-100,""t"":13297},{""x"":1398,""y"":735,""dx"":-53,""dy"":-86,""t"":13332},{""x"":1371,""y"":725,""dx"":-80,""dy"":-96,""t"":13367},{""x"":1388,""y"":723,""dx"":-63,""dy"":-98,""t"":13399},{""x"":1391,""y"":712,""dx"":-60,""dy"":-109,""t"":13434},{""x"":1389,""y"":726,""dx"":-62,""dy"":-95,""t"":13468},{""x"":1403,""y"":729,""dx"":-48,""dy"":-92,""t"":13502},{""x"":1374,""y"":721,""dx"":-77,""dy"":-100,""t"":13536},{""x"":1385,""y"":717,""dx"":-66,""dy"":-104,""t"":13570},{""x"":1392,""y"":693,""dx"":-59,""dy"":-128,""t"":13605},{""x"":1374,""y"":708,""dx"":-77,""dy"":-113,""t"":13638},{""x"":1375,""y"":711,""dx"":-76,""dy"":-110,""t"":13672},{""x"":1378,""y"":727,""dx"":-73,""dy"":-94,""t"":13706},{""x"":1386,""y"":744,""dx"":-65,""dy"":-77,""t"":13739},{""x"":1407,""y"":750,""dx"":-44,""dy"":-71,""t"":13774},{""x"":1417,""y"":752,""dx"":-34,""dy"":-69,""t"":13806},{""x"":1372,""y"":767,""dx"":-79,""dy"":-54,""t"":13843},{""x"":1394,""y"":764,""dx"":-57,""dy"":-57,""t"":13876},{""x"":1385,""y"":772,""dx"":-66,""dy"":-49,""t"":13910},{""x"":1377,""y"":790,""dx"":-74,""dy"":-31,""t"":13944},{""x"":1362,""y"":795,""dx"":-89,""dy"":-26,""t"":13978},{""x"":1375,""y"":768,""dx"":-76,""dy"":-53,""t"":14012},{""x"":1334,""y"":783,""dx"":-117,""dy"":-38,""t"":14047},{""x"":1305,""y"":776,""dx"":-146,""dy"":-45,""t"":14080},{""x"":1335,""y"":765,""dx"":-116,""dy"":-56,""t"":14115},{""x"":1349,""y"":754,""dx"":-102,""dy"":-67,""t"":14148},{""x"":1345,""y"":745,""dx"":-106,""dy"":-76,""t"":14181},{""x"":1341,""y"":738,""dx"":-110,""dy"":-83,""t"":14214},{""x"":1348,""y"":749,""dx"":-103,""dy"":-72,""t"":14250},{""x"":1363,""y"":748,""dx"":-88,""dy"":-73,""t"":14285},{""x"":1403,""y"":736,""dx"":-48,""dy"":-85,""t"":14317},{""x"":1419,""y"":721,""dx"":-32,""dy"":-100,""t"":14352},{""x"":1421,""y"":728,""dx"":-30,""dy"":-93,""t"":14386},{""x"":1442,""y"":736,""dx"":-9,""dy"":-85,""t"":14420},{""x"":1450,""y"":717,""dx"":-1,""dy"":-104,""t"":14454},{""x"":1436,""y"":722,""dx"":-15,""dy"":-99,""t"":14488},{""x"":1429,""y"":730,""dx"":-22,""dy"":-91,""t"":14522},{""x"":1429,""y"":746,""dx"":-22,""dy"":-75,""t"":14557},{""x"":1396,""y"":770,""dx"":-55,""dy"":-51,""t"":14590},{""x"":1378,""y"":759,""dx"":-73,""dy"":-62,""t"":14624},{""x"":1371,""y"":761,""dx"":-80,""dy"":-60,""t"":14658},{""x"":1352,""y"":778,""dx"":-99,""dy"":-43,""t"":14692},{""x"":1372,""y"":771,""dx"":-79,""dy"":-50,""t"":14727},{""x"":1363,""y"":773,""dx"":-88,""dy"":-48,""t"":14761},{""x"":1329,""y"":780,""dx"":-122,""dy"":-41,""t"":14795},{""x"":1328,""y"":790,""dx"":-123,""dy"":-31,""t"":14828},{""x"":1323,""y"":791,""dx"":-128,""dy"":-30,""t"":14862},{""x"":1349,""y"":794,""dx"":-102,""dy"":-27,""t"":14896},{""x"":1357,""y"":782,""dx"":-94,""dy"":-39,""t"":14930},{""x"":1355,""y"":761,""dx"":-96,""dy"":-60,""t"":14966},{""x"":1351,""y"":769,""dx"":-100,""dy"":-52,""t"":14998}]]","[100,100,88.13559322033898,83.33333333333334,100]","[{""x"":-4.033898305084746,""y"":51.71186440677966,""r"":79.79135568720216},{""x"":27.305084745762713,""y"":-31.152542372881356,""r"":39.18921167846218},{""x"":-32.271186440677965,""y"":104.44067796610169,""r"":52.16057290975684},{""x"":152.15,""y"":-30.383333333333333,""r"":78.36425383606024},{""x"":-76.50847457627118,""y"":-77.59322033898304,""r"":35.41019123368265}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
"","html-keyboard-response","10","50869","0.0-6.0-0.0","","","","","294"," ","","<p>回忆实验（6个刺激物）：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，500毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>要求：记忆所呈现刺激物和其对应的位置，根据目标提示的<b>形状（该条件下，颜色为黑色）</b>或者<b>颜色（该条件下，形状为圆且颜色不为黑）</b>，忽略其拓扑特征，选择对应刺激的位置，</p><p>根据数字键盘的 ""4"", ""7"", ""9"", ""6"", ""3"", ""1""  进行选择响应，如果不记得或者不存在选择""5""。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","51990","0.0-6.0-1.0","","","","","610"," ","","<p>要求：记忆项目的形状。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","53010","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recall","[""6"",""7"",""1"",""9"",""3"",""9"",""7"",""9"",""3"",""6"",""3"",""4"",""9"",""7"",""3"",""3"",""9"",""7"",""3"",""9"",""3"",""3"",""1"",""7"",""4"",""4"",""4"",""6"",""3"",""7"",""7"",""6"",""1"",""4"",""9"",""6"",""1"",""6"",""7"",""3"",""1"",""6"",""4"",""3"",""7"",""7"",""6"",""4"",""1"",""6"",""6"",""6"",""1"",""4"",""4"",""6"",""1"",""9"",""7"",""1"",""1"",""4"",""1"",""4"",""4"",""9"",""1"",""9"",""3"",""9"",""9"",""7""]","1500","6","shape","","","","","",""
