"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","2330","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","7324","0.0-1.0-0.0","4992","{""name"":""csq"",""age"":""23""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","8964","0.0-1.0-1.0","1638","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","24896","0.0-2.0","","","","769","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","26196","0.0-3.0-0.0","1298","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","38806","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","40396","0.0-3.0-2.0","1589","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","57348","0.0-3.0-3.0","","","","","","[[{""x"":568,""y"":181,""dx"":77,""dy"":-100,""t"":990},{""x"":577,""y"":191,""dx"":86,""dy"":-90,""t"":1023},{""x"":572,""y"":184,""dx"":81,""dy"":-97,""t"":1057},{""x"":569,""y"":183,""dx"":78,""dy"":-98,""t"":1092},{""x"":580,""y"":195,""dx"":89,""dy"":-86,""t"":1125},{""x"":595,""y"":195,""dx"":104,""dy"":-86,""t"":1160},{""x"":613,""y"":202,""dx"":122,""dy"":-79,""t"":1193},{""x"":638,""y"":203,""dx"":147,""dy"":-78,""t"":1228},{""x"":645,""y"":214,""dx"":154,""dy"":-67,""t"":1262},{""x"":663,""y"":215,""dx"":172,""dy"":-66,""t"":1296},{""x"":666,""y"":220,""dx"":175,""dy"":-61,""t"":1329},{""x"":634,""y"":221,""dx"":143,""dy"":-60,""t"":1364},{""x"":609,""y"":222,""dx"":118,""dy"":-59,""t"":1398},{""x"":580,""y"":221,""dx"":89,""dy"":-60,""t"":1431},{""x"":566,""y"":207,""dx"":75,""dy"":-74,""t"":1467},{""x"":555,""y"":194,""dx"":64,""dy"":-87,""t"":1497},{""x"":573,""y"":191,""dx"":82,""dy"":-90,""t"":1534},{""x"":589,""y"":191,""dx"":98,""dy"":-90,""t"":1569},{""x"":602,""y"":200,""dx"":111,""dy"":-81,""t"":1601},{""x"":606,""y"":187,""dx"":115,""dy"":-94,""t"":1636},{""x"":611,""y"":181,""dx"":120,""dy"":-100,""t"":1669},{""x"":611,""y"":170,""dx"":120,""dy"":-111,""t"":1704},{""x"":604,""y"":182,""dx"":113,""dy"":-99,""t"":1737},{""x"":595,""y"":190,""dx"":104,""dy"":-91,""t"":1773},{""x"":578,""y"":208,""dx"":87,""dy"":-73,""t"":1806},{""x"":560,""y"":193,""dx"":69,""dy"":-88,""t"":1840},{""x"":562,""y"":188,""dx"":71,""dy"":-93,""t"":1873},{""x"":552,""y"":197,""dx"":61,""dy"":-84,""t"":1908},{""x"":560,""y"":193,""dx"":69,""dy"":-88,""t"":1942},{""x"":542,""y"":186,""dx"":51,""dy"":-95,""t"":1977},{""x"":520,""y"":173,""dx"":29,""dy"":-108,""t"":2009},{""x"":526,""y"":190,""dx"":35,""dy"":-91,""t"":2044},{""x"":512,""y"":188,""dx"":21,""dy"":-93,""t"":2078},{""x"":541,""y"":177,""dx"":50,""dy"":-104,""t"":2112},{""x"":557,""y"":179,""dx"":66,""dy"":-102,""t"":2146},{""x"":571,""y"":171,""dx"":80,""dy"":-110,""t"":2181},{""x"":545,""y"":189,""dx"":54,""dy"":-92,""t"":2214},{""x"":533,""y"":192,""dx"":42,""dy"":-89,""t"":2248},{""x"":537,""y"":195,""dx"":46,""dy"":-86,""t"":2281},{""x"":540,""y"":200,""dx"":49,""dy"":-81,""t"":2316},{""x"":530,""y"":194,""dx"":39,""dy"":-87,""t"":2349},{""x"":545,""y"":183,""dx"":54,""dy"":-98,""t"":2383},{""x"":533,""y"":196,""dx"":42,""dy"":-85,""t"":2418},{""x"":513,""y"":207,""dx"":22,""dy"":-74,""t"":2452},{""x"":521,""y"":220,""dx"":30,""dy"":-61,""t"":2486},{""x"":505,""y"":218,""dx"":14,""dy"":-63,""t"":2520},{""x"":525,""y"":205,""dx"":34,""dy"":-76,""t"":2554},{""x"":515,""y"":219,""dx"":24,""dy"":-62,""t"":2589},{""x"":502,""y"":207,""dx"":11,""dy"":-74,""t"":2621},{""x"":511,""y"":233,""dx"":20,""dy"":-48,""t"":2656},{""x"":514,""y"":241,""dx"":23,""dy"":-40,""t"":2690},{""x"":528,""y"":243,""dx"":37,""dy"":-38,""t"":2723},{""x"":552,""y"":231,""dx"":61,""dy"":-50,""t"":2758},{""x"":563,""y"":240,""dx"":72,""dy"":-41,""t"":2791},{""x"":571,""y"":225,""dx"":80,""dy"":-56,""t"":2826},{""x"":610,""y"":219,""dx"":119,""dy"":-62,""t"":2861},{""x"":613,""y"":221,""dx"":122,""dy"":-60,""t"":2894},{""x"":632,""y"":216,""dx"":141,""dy"":-65,""t"":2928},{""x"":609,""y"":229,""dx"":118,""dy"":-52,""t"":2961},{""x"":606,""y"":232,""dx"":115,""dy"":-49,""t"":2996}],[{""x"":582,""y"":598,""dx"":91,""dy"":-223,""t"":4016},{""x"":582,""y"":593,""dx"":91,""dy"":-228,""t"":4049},{""x"":582,""y"":597,""dx"":91,""dy"":-224,""t"":4083},{""x"":581,""y"":604,""dx"":90,""dy"":-217,""t"":4118},{""x"":587,""y"":615,""dx"":96,""dy"":-206,""t"":4152},{""x"":579,""y"":610,""dx"":88,""dy"":-211,""t"":4186},{""x"":551,""y"":605,""dx"":60,""dy"":-216,""t"":4220},{""x"":537,""y"":592,""dx"":46,""dy"":-229,""t"":4254},{""x"":538,""y"":593,""dx"":47,""dy"":-228,""t"":4287},{""x"":546,""y"":598,""dx"":55,""dy"":-223,""t"":4322},{""x"":552,""y"":612,""dx"":61,""dy"":-209,""t"":4356},{""x"":555,""y"":614,""dx"":64,""dy"":-207,""t"":4390},{""x"":548,""y"":600,""dx"":57,""dy"":-221,""t"":4423},{""x"":550,""y"":581,""dx"":59,""dy"":-240,""t"":4457},{""x"":555,""y"":581,""dx"":64,""dy"":-240,""t"":4492},{""x"":543,""y"":586,""dx"":52,""dy"":-235,""t"":4526},{""x"":544,""y"":566,""dx"":53,""dy"":-255,""t"":4560},{""x"":517,""y"":555,""dx"":26,""dy"":-266,""t"":4593},{""x"":507,""y"":550,""dx"":16,""dy"":-271,""t"":4629},{""x"":499,""y"":547,""dx"":8,""dy"":-274,""t"":4660},{""x"":482,""y"":551,""dx"":-9,""dy"":-270,""t"":4696},{""x"":477,""y"":583,""dx"":-14,""dy"":-238,""t"":4730},{""x"":542,""y"":744,""dx"":51,""dy"":-77,""t"":4763},{""x"":639,""y"":927,""dx"":148,""dy"":106,""t"":4797},{""x"":695,""y"":1061,""dx"":204,""dy"":240,""t"":4831},{""x"":759,""y"":1090,""dx"":268,""dy"":269,""t"":4865},{""x"":779,""y"":1065,""dx"":288,""dy"":244,""t"":4899},{""x"":781,""y"":1029,""dx"":290,""dy"":208,""t"":4934},{""x"":753,""y"":975,""dx"":262,""dy"":154,""t"":4968},{""x"":747,""y"":949,""dx"":256,""dy"":128,""t"":5002},{""x"":706,""y"":890,""dx"":215,""dy"":69,""t"":5036},{""x"":692,""y"":857,""dx"":201,""dy"":36,""t"":5067},{""x"":665,""y"":825,""dx"":174,""dy"":4,""t"":5104},{""x"":647,""y"":795,""dx"":156,""dy"":-26,""t"":5137},{""x"":622,""y"":763,""dx"":131,""dy"":-58,""t"":5172},{""x"":601,""y"":743,""dx"":110,""dy"":-78,""t"":5206},{""x"":589,""y"":720,""dx"":98,""dy"":-101,""t"":5240},{""x"":580,""y"":705,""dx"":89,""dy"":-116,""t"":5274},{""x"":576,""y"":695,""dx"":85,""dy"":-126,""t"":5308},{""x"":576,""y"":677,""dx"":85,""dy"":-144,""t"":5342},{""x"":577,""y"":654,""dx"":86,""dy"":-167,""t"":5376},{""x"":591,""y"":645,""dx"":100,""dy"":-176,""t"":5410},{""x"":593,""y"":637,""dx"":102,""dy"":-184,""t"":5443},{""x"":578,""y"":640,""dx"":87,""dy"":-181,""t"":5478},{""x"":603,""y"":630,""dx"":112,""dy"":-191,""t"":5511},{""x"":614,""y"":612,""dx"":123,""dy"":-209,""t"":5546},{""x"":626,""y"":610,""dx"":135,""dy"":-211,""t"":5580},{""x"":625,""y"":609,""dx"":134,""dy"":-212,""t"":5614},{""x"":633,""y"":601,""dx"":142,""dy"":-220,""t"":5648},{""x"":623,""y"":593,""dx"":132,""dy"":-228,""t"":5682},{""x"":621,""y"":611,""dx"":130,""dy"":-210,""t"":5716},{""x"":619,""y"":603,""dx"":128,""dy"":-218,""t"":5750},{""x"":605,""y"":592,""dx"":114,""dy"":-229,""t"":5784},{""x"":588,""y"":587,""dx"":97,""dy"":-234,""t"":5817},{""x"":569,""y"":578,""dx"":78,""dy"":-243,""t"":5852},{""x"":562,""y"":573,""dx"":71,""dy"":-248,""t"":5886},{""x"":553,""y"":571,""dx"":62,""dy"":-250,""t"":5920},{""x"":542,""y"":566,""dx"":51,""dy"":-255,""t"":5955},{""x"":533,""y"":575,""dx"":42,""dy"":-246,""t"":5987}],[{""x"":880,""y"":361,""dx"":-91,""dy"":-190,""t"":7008},{""x"":866,""y"":354,""dx"":-105,""dy"":-197,""t"":7043},{""x"":855,""y"":369,""dx"":-116,""dy"":-182,""t"":7076},{""x"":853,""y"":365,""dx"":-118,""dy"":-186,""t"":7110},{""x"":867,""y"":359,""dx"":-104,""dy"":-192,""t"":7144},{""x"":860,""y"":361,""dx"":-111,""dy"":-190,""t"":7178},{""x"":858,""y"":370,""dx"":-113,""dy"":-181,""t"":7212},{""x"":884,""y"":365,""dx"":-87,""dy"":-186,""t"":7246},{""x"":885,""y"":359,""dx"":-86,""dy"":-192,""t"":7280},{""x"":872,""y"":365,""dx"":-99,""dy"":-186,""t"":7314},{""x"":870,""y"":369,""dx"":-101,""dy"":-182,""t"":7348},{""x"":865,""y"":375,""dx"":-106,""dy"":-176,""t"":7382},{""x"":877,""y"":373,""dx"":-94,""dy"":-178,""t"":7416},{""x"":875,""y"":370,""dx"":-96,""dy"":-181,""t"":7450},{""x"":882,""y"":371,""dx"":-89,""dy"":-180,""t"":7483},{""x"":875,""y"":359,""dx"":-96,""dy"":-192,""t"":7518},{""x"":862,""y"":356,""dx"":-109,""dy"":-195,""t"":7551},{""x"":843,""y"":350,""dx"":-128,""dy"":-201,""t"":7587},{""x"":855,""y"":347,""dx"":-116,""dy"":-204,""t"":7620},{""x"":859,""y"":341,""dx"":-112,""dy"":-210,""t"":7653},{""x"":856,""y"":347,""dx"":-115,""dy"":-204,""t"":7688},{""x"":871,""y"":351,""dx"":-100,""dy"":-200,""t"":7722},{""x"":875,""y"":354,""dx"":-96,""dy"":-197,""t"":7756},{""x"":868,""y"":353,""dx"":-103,""dy"":-198,""t"":7789},{""x"":861,""y"":360,""dx"":-110,""dy"":-191,""t"":7823},{""x"":872,""y"":344,""dx"":-99,""dy"":-207,""t"":7858},{""x"":877,""y"":340,""dx"":-94,""dy"":-211,""t"":7892},{""x"":878,""y"":336,""dx"":-93,""dy"":-215,""t"":7925},{""x"":867,""y"":341,""dx"":-104,""dy"":-210,""t"":7960},{""x"":879,""y"":331,""dx"":-92,""dy"":-220,""t"":7994},{""x"":869,""y"":326,""dx"":-102,""dy"":-225,""t"":8027},{""x"":879,""y"":316,""dx"":-92,""dy"":-235,""t"":8061},{""x"":874,""y"":306,""dx"":-97,""dy"":-245,""t"":8096},{""x"":884,""y"":321,""dx"":-87,""dy"":-230,""t"":8129},{""x"":898,""y"":308,""dx"":-73,""dy"":-243,""t"":8164},{""x"":915,""y"":292,""dx"":-56,""dy"":-259,""t"":8198},{""x"":929,""y"":279,""dx"":-42,""dy"":-272,""t"":8230},{""x"":937,""y"":283,""dx"":-34,""dy"":-268,""t"":8266},{""x"":918,""y"":302,""dx"":-53,""dy"":-249,""t"":8300},{""x"":936,""y"":300,""dx"":-35,""dy"":-251,""t"":8335},{""x"":935,""y"":308,""dx"":-36,""dy"":-243,""t"":8368},{""x"":939,""y"":331,""dx"":-32,""dy"":-220,""t"":8401},{""x"":933,""y"":333,""dx"":-38,""dy"":-218,""t"":8436},{""x"":921,""y"":348,""dx"":-50,""dy"":-203,""t"":8470},{""x"":918,""y"":364,""dx"":-53,""dy"":-187,""t"":8504},{""x"":915,""y"":366,""dx"":-56,""dy"":-185,""t"":8538},{""x"":909,""y"":367,""dx"":-62,""dy"":-184,""t"":8572},{""x"":892,""y"":363,""dx"":-79,""dy"":-188,""t"":8606},{""x"":877,""y"":359,""dx"":-94,""dy"":-192,""t"":8638},{""x"":877,""y"":353,""dx"":-94,""dy"":-198,""t"":8673},{""x"":894,""y"":348,""dx"":-77,""dy"":-203,""t"":8708},{""x"":905,""y"":331,""dx"":-66,""dy"":-220,""t"":8742},{""x"":917,""y"":315,""dx"":-54,""dy"":-236,""t"":8775},{""x"":943,""y"":320,""dx"":-28,""dy"":-231,""t"":8810},{""x"":951,""y"":314,""dx"":-20,""dy"":-237,""t"":8843},{""x"":968,""y"":322,""dx"":-3,""dy"":-229,""t"":8878},{""x"":980,""y"":333,""dx"":9,""dy"":-218,""t"":8911},{""x"":1000,""y"":336,""dx"":29,""dy"":-215,""t"":8946},{""x"":1015,""y"":328,""dx"":44,""dy"":-223,""t"":8980},{""x"":1027,""y"":327,""dx"":56,""dy"":-224,""t"":9014}],[{""x"":1494,""y"":178,""dx"":43,""dy"":-103,""t"":10033},{""x"":1508,""y"":172,""dx"":57,""dy"":-109,""t"":10068},{""x"":1533,""y"":166,""dx"":82,""dy"":-115,""t"":10101},{""x"":1530,""y"":169,""dx"":79,""dy"":-112,""t"":10136},{""x"":1519,""y"":169,""dx"":68,""dy"":-112,""t"":10170},{""x"":1516,""y"":155,""dx"":65,""dy"":-126,""t"":10203},{""x"":1526,""y"":154,""dx"":75,""dy"":-127,""t"":10235},{""x"":1516,""y"":130,""dx"":65,""dy"":-151,""t"":10272},{""x"":1504,""y"":131,""dx"":53,""dy"":-150,""t"":10305},{""x"":1514,""y"":124,""dx"":63,""dy"":-157,""t"":10340},{""x"":1515,""y"":119,""dx"":64,""dy"":-162,""t"":10375},{""x"":1547,""y"":113,""dx"":96,""dy"":-168,""t"":10408},{""x"":1576,""y"":104,""dx"":125,""dy"":-177,""t"":10442},{""x"":1588,""y"":101,""dx"":137,""dy"":-180,""t"":10476},{""x"":1567,""y"":106,""dx"":116,""dy"":-175,""t"":10510},{""x"":1569,""y"":104,""dx"":118,""dy"":-177,""t"":10544},{""x"":1570,""y"":110,""dx"":119,""dy"":-171,""t"":10577},{""x"":1585,""y"":100,""dx"":134,""dy"":-181,""t"":10611},{""x"":1563,""y"":104,""dx"":112,""dy"":-177,""t"":10646},{""x"":1586,""y"":127,""dx"":135,""dy"":-154,""t"":10680},{""x"":1574,""y"":118,""dx"":123,""dy"":-163,""t"":10714},{""x"":1575,""y"":126,""dx"":124,""dy"":-155,""t"":10747},{""x"":1567,""y"":144,""dx"":116,""dy"":-137,""t"":10782},{""x"":1563,""y"":150,""dx"":112,""dy"":-131,""t"":10816},{""x"":1561,""y"":154,""dx"":110,""dy"":-127,""t"":10850},{""x"":1565,""y"":160,""dx"":114,""dy"":-121,""t"":10883},{""x"":1546,""y"":138,""dx"":95,""dy"":-143,""t"":10918},{""x"":1525,""y"":131,""dx"":74,""dy"":-150,""t"":10952},{""x"":1504,""y"":137,""dx"":53,""dy"":-144,""t"":10986},{""x"":1495,""y"":115,""dx"":44,""dy"":-166,""t"":11020},{""x"":1489,""y"":114,""dx"":38,""dy"":-167,""t"":11054},{""x"":1489,""y"":106,""dx"":38,""dy"":-175,""t"":11087},{""x"":1495,""y"":111,""dx"":44,""dy"":-170,""t"":11122},{""x"":1497,""y"":118,""dx"":46,""dy"":-163,""t"":11156},{""x"":1495,""y"":105,""dx"":44,""dy"":-176,""t"":11190},{""x"":1518,""y"":89,""dx"":67,""dy"":-192,""t"":11223},{""x"":1526,""y"":68,""dx"":75,""dy"":-213,""t"":11258},{""x"":1550,""y"":55,""dx"":99,""dy"":-226,""t"":11293},{""x"":1593,""y"":55,""dx"":142,""dy"":-226,""t"":11327},{""x"":1599,""y"":76,""dx"":148,""dy"":-205,""t"":11360},{""x"":1626,""y"":80,""dx"":175,""dy"":-201,""t"":11393},{""x"":1610,""y"":79,""dx"":159,""dy"":-202,""t"":11428},{""x"":1636,""y"":78,""dx"":185,""dy"":-203,""t"":11462},{""x"":1629,""y"":72,""dx"":178,""dy"":-209,""t"":11496},{""x"":1610,""y"":84,""dx"":159,""dy"":-197,""t"":11530},{""x"":1579,""y"":109,""dx"":128,""dy"":-172,""t"":11564},{""x"":1576,""y"":112,""dx"":125,""dy"":-169,""t"":11598},{""x"":1548,""y"":115,""dx"":97,""dy"":-166,""t"":11632},{""x"":1525,""y"":120,""dx"":74,""dy"":-161,""t"":11665},{""x"":1535,""y"":113,""dx"":84,""dy"":-168,""t"":11699},{""x"":1541,""y"":114,""dx"":90,""dy"":-167,""t"":11734},{""x"":1518,""y"":119,""dx"":67,""dy"":-162,""t"":11768},{""x"":1499,""y"":124,""dx"":48,""dy"":-157,""t"":11799},{""x"":1480,""y"":135,""dx"":29,""dy"":-146,""t"":11836},{""x"":1454,""y"":145,""dx"":3,""dy"":-136,""t"":11869},{""x"":1451,""y"":151,""dx"":0,""dy"":-130,""t"":11905},{""x"":1461,""y"":134,""dx"":10,""dy"":-147,""t"":11937},{""x"":1486,""y"":139,""dx"":35,""dy"":-142,""t"":11972},{""x"":1516,""y"":132,""dx"":65,""dy"":-149,""t"":12005}],[{""x"":1406,""y"":833,""dx"":-45,""dy"":12,""t"":13025},{""x"":1433,""y"":749,""dx"":-18,""dy"":-72,""t"":13061},{""x"":1461,""y"":676,""dx"":10,""dy"":-145,""t"":13094},{""x"":1477,""y"":634,""dx"":26,""dy"":-187,""t"":13127},{""x"":1480,""y"":618,""dx"":29,""dy"":-203,""t"":13181},{""x"":1478,""y"":580,""dx"":27,""dy"":-241,""t"":13193},{""x"":1477,""y"":555,""dx"":26,""dy"":-266,""t"":13230},{""x"":1477,""y"":552,""dx"":26,""dy"":-269,""t"":13264},{""x"":1469,""y"":547,""dx"":18,""dy"":-274,""t"":13297},{""x"":1475,""y"":517,""dx"":24,""dy"":-304,""t"":13332},{""x"":1468,""y"":515,""dx"":17,""dy"":-306,""t"":13366},{""x"":1453,""y"":506,""dx"":2,""dy"":-315,""t"":13398},{""x"":1451,""y"":481,""dx"":0,""dy"":-340,""t"":13434},{""x"":1430,""y"":493,""dx"":-21,""dy"":-328,""t"":13468},{""x"":1426,""y"":506,""dx"":-25,""dy"":-315,""t"":13502},{""x"":1411,""y"":515,""dx"":-40,""dy"":-306,""t"":13536},{""x"":1398,""y"":528,""dx"":-53,""dy"":-293,""t"":13569},{""x"":1393,""y"":525,""dx"":-58,""dy"":-296,""t"":13604},{""x"":1397,""y"":508,""dx"":-54,""dy"":-313,""t"":13638},{""x"":1402,""y"":500,""dx"":-49,""dy"":-321,""t"":13672},{""x"":1411,""y"":490,""dx"":-40,""dy"":-331,""t"":13705},{""x"":1402,""y"":501,""dx"":-49,""dy"":-320,""t"":13740},{""x"":1428,""y"":499,""dx"":-23,""dy"":-322,""t"":13774},{""x"":1445,""y"":503,""dx"":-6,""dy"":-318,""t"":13805},{""x"":1452,""y"":501,""dx"":1,""dy"":-320,""t"":13841},{""x"":1463,""y"":486,""dx"":12,""dy"":-335,""t"":13876},{""x"":1459,""y"":506,""dx"":8,""dy"":-315,""t"":13911},{""x"":1417,""y"":532,""dx"":-34,""dy"":-289,""t"":13944},{""x"":1394,""y"":543,""dx"":-57,""dy"":-278,""t"":13977},{""x"":1354,""y"":556,""dx"":-97,""dy"":-265,""t"":14012},{""x"":1345,""y"":571,""dx"":-106,""dy"":-250,""t"":14046},{""x"":1372,""y"":566,""dx"":-79,""dy"":-255,""t"":14080},{""x"":1393,""y"":540,""dx"":-58,""dy"":-281,""t"":14114},{""x"":1393,""y"":541,""dx"":-58,""dy"":-280,""t"":14148},{""x"":1398,""y"":548,""dx"":-53,""dy"":-273,""t"":14181},{""x"":1378,""y"":563,""dx"":-73,""dy"":-258,""t"":14216},{""x"":1346,""y"":587,""dx"":-105,""dy"":-234,""t"":14250},{""x"":1356,""y"":580,""dx"":-95,""dy"":-241,""t"":14284},{""x"":1351,""y"":579,""dx"":-100,""dy"":-242,""t"":14319},{""x"":1346,""y"":589,""dx"":-105,""dy"":-232,""t"":14352},{""x"":1338,""y"":575,""dx"":-113,""dy"":-246,""t"":14385},{""x"":1337,""y"":584,""dx"":-114,""dy"":-237,""t"":14420},{""x"":1327,""y"":588,""dx"":-124,""dy"":-233,""t"":14454},{""x"":1313,""y"":603,""dx"":-138,""dy"":-218,""t"":14488},{""x"":1329,""y"":594,""dx"":-122,""dy"":-227,""t"":14522},{""x"":1347,""y"":587,""dx"":-104,""dy"":-234,""t"":14556},{""x"":1359,""y"":566,""dx"":-92,""dy"":-255,""t"":14590},{""x"":1350,""y"":569,""dx"":-101,""dy"":-252,""t"":14623},{""x"":1350,""y"":554,""dx"":-101,""dy"":-267,""t"":14658},{""x"":1335,""y"":561,""dx"":-116,""dy"":-260,""t"":14692},{""x"":1332,""y"":567,""dx"":-119,""dy"":-254,""t"":14725},{""x"":1326,""y"":569,""dx"":-125,""dy"":-252,""t"":14760},{""x"":1334,""y"":544,""dx"":-117,""dy"":-277,""t"":14794},{""x"":1333,""y"":524,""dx"":-118,""dy"":-297,""t"":14828},{""x"":1352,""y"":515,""dx"":-99,""dy"":-306,""t"":14861},{""x"":1395,""y"":502,""dx"":-56,""dy"":-319,""t"":14896},{""x"":1427,""y"":484,""dx"":-24,""dy"":-337,""t"":14929},{""x"":1452,""y"":461,""dx"":1,""dy"":-360,""t"":14964},{""x"":1477,""y"":453,""dx"":26,""dy"":-368,""t"":14995},{""x"":1482,""y"":475,""dx"":31,""dy"":-346,""t"":15031}]]","[100,18.64406779661017,5,64.40677966101694,6.666666666666667]","[{""x"":78.25,""y"":-78.7,""r"":57.030260531195296},{""x"":105.57627118644068,""y"":-144.25423728813558,""r"":90.15461359352413},{""x"":-74.3,""y"":-209.41666666666666,""r"":52.30741671653384},{""x"":88.52542372881356,""y"":-161.32203389830508,""r"":42.43927002592337},{""x"":-50,""y"":-271.1,""r"":100.55653764798876}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.41","validate","","","","","","","","","","","","","","",""
"","html-button-response","8","57939","0.0-3.0-4.0-0.0-0.0","591","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","","","","","",""
"","webgazer-calibrate","9","68683","0.0-3.0-4.0-0.0-1.0","","","","","","","","","","","","recalibration","","","","","","","","","","","","","",""
"","html-button-response","10","69500","0.0-3.0-4.0-0.0-2.0","817","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","recalibration","","","","","","","","","","","","","",""
