"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","2895","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","5670","0.0-1.0-0.0","2772","{""name"":""范雨祥"",""age"":""22""}","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","6693","0.0-1.0-1.0","1022","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","16437","0.0-2.0","","","","2176","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","17741","0.0-3.0-0.0","1302","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","27894","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","28541","0.0-3.0-2.0","647","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","46219","0.0-3.0-3.0","","","","","","[[{""x"":542,""y"":263,""dx"":51,""dy"":-18,""t"":990},{""x"":560,""y"":269,""dx"":69,""dy"":-12,""t"":1024},{""x"":560,""y"":262,""dx"":69,""dy"":-19,""t"":1057},{""x"":550,""y"":265,""dx"":59,""dy"":-16,""t"":1092},{""x"":549,""y"":266,""dx"":58,""dy"":-15,""t"":1126},{""x"":547,""y"":270,""dx"":56,""dy"":-11,""t"":1160},{""x"":545,""y"":273,""dx"":54,""dy"":-8,""t"":1192},{""x"":528,""y"":265,""dx"":37,""dy"":-16,""t"":1227},{""x"":534,""y"":269,""dx"":43,""dy"":-12,""t"":1263},{""x"":545,""y"":257,""dx"":54,""dy"":-24,""t"":1296},{""x"":542,""y"":251,""dx"":51,""dy"":-30,""t"":1329},{""x"":536,""y"":247,""dx"":45,""dy"":-34,""t"":1365},{""x"":534,""y"":255,""dx"":43,""dy"":-26,""t"":1399},{""x"":516,""y"":263,""dx"":25,""dy"":-18,""t"":1431},{""x"":524,""y"":274,""dx"":33,""dy"":-7,""t"":1465},{""x"":521,""y"":303,""dx"":30,""dy"":22,""t"":1499},{""x"":496,""y"":319,""dx"":5,""dy"":38,""t"":1534},{""x"":494,""y"":336,""dx"":3,""dy"":55,""t"":1568},{""x"":484,""y"":326,""dx"":-7,""dy"":45,""t"":1602},{""x"":473,""y"":316,""dx"":-18,""dy"":35,""t"":1636},{""x"":487,""y"":304,""dx"":-4,""dy"":23,""t"":1670},{""x"":480,""y"":295,""dx"":-11,""dy"":14,""t"":1704},{""x"":503,""y"":287,""dx"":12,""dy"":6,""t"":1737},{""x"":506,""y"":307,""dx"":15,""dy"":26,""t"":1772},{""x"":498,""y"":301,""dx"":7,""dy"":20,""t"":1805},{""x"":515,""y"":293,""dx"":24,""dy"":12,""t"":1840},{""x"":500,""y"":311,""dx"":9,""dy"":30,""t"":1874},{""x"":483,""y"":322,""dx"":-8,""dy"":41,""t"":1908},{""x"":493,""y"":309,""dx"":2,""dy"":28,""t"":1942},{""x"":479,""y"":308,""dx"":-12,""dy"":27,""t"":1975},{""x"":481,""y"":312,""dx"":-10,""dy"":31,""t"":2010},{""x"":505,""y"":303,""dx"":14,""dy"":22,""t"":2043},{""x"":501,""y"":288,""dx"":10,""dy"":7,""t"":2078},{""x"":500,""y"":320,""dx"":9,""dy"":39,""t"":2112},{""x"":540,""y"":330,""dx"":49,""dy"":49,""t"":2146},{""x"":534,""y"":308,""dx"":43,""dy"":27,""t"":2180},{""x"":551,""y"":308,""dx"":60,""dy"":27,""t"":2214},{""x"":545,""y"":313,""dx"":54,""dy"":32,""t"":2248},{""x"":540,""y"":342,""dx"":49,""dy"":61,""t"":2281},{""x"":551,""y"":326,""dx"":60,""dy"":45,""t"":2316},{""x"":528,""y"":322,""dx"":37,""dy"":41,""t"":2349},{""x"":541,""y"":314,""dx"":50,""dy"":33,""t"":2384},{""x"":547,""y"":293,""dx"":56,""dy"":12,""t"":2418},{""x"":549,""y"":285,""dx"":58,""dy"":4,""t"":2452},{""x"":566,""y"":284,""dx"":75,""dy"":3,""t"":2486},{""x"":581,""y"":281,""dx"":90,""dy"":0,""t"":2520},{""x"":586,""y"":287,""dx"":95,""dy"":6,""t"":2554},{""x"":584,""y"":302,""dx"":93,""dy"":21,""t"":2588},{""x"":580,""y"":294,""dx"":89,""dy"":13,""t"":2622},{""x"":560,""y"":271,""dx"":69,""dy"":-10,""t"":2656},{""x"":568,""y"":276,""dx"":77,""dy"":-5,""t"":2689},{""x"":576,""y"":283,""dx"":85,""dy"":2,""t"":2723},{""x"":568,""y"":275,""dx"":77,""dy"":-6,""t"":2755},{""x"":565,""y"":278,""dx"":74,""dy"":-3,""t"":2792},{""x"":557,""y"":247,""dx"":66,""dy"":-34,""t"":2826},{""x"":541,""y"":222,""dx"":50,""dy"":-59,""t"":2859},{""x"":542,""y"":231,""dx"":51,""dy"":-50,""t"":2894},{""x"":523,""y"":269,""dx"":32,""dy"":-12,""t"":2928},{""x"":522,""y"":257,""dx"":31,""dy"":-24,""t"":2961}],[{""x"":404,""y"":699,""dx"":-87,""dy"":-122,""t"":4015},{""x"":413,""y"":695,""dx"":-78,""dy"":-126,""t"":4049},{""x"":437,""y"":711,""dx"":-54,""dy"":-110,""t"":4083},{""x"":442,""y"":712,""dx"":-49,""dy"":-109,""t"":4118},{""x"":448,""y"":711,""dx"":-43,""dy"":-110,""t"":4153},{""x"":446,""y"":701,""dx"":-45,""dy"":-120,""t"":4187},{""x"":453,""y"":711,""dx"":-38,""dy"":-110,""t"":4220},{""x"":443,""y"":699,""dx"":-48,""dy"":-122,""t"":4254},{""x"":439,""y"":688,""dx"":-52,""dy"":-133,""t"":4288},{""x"":440,""y"":680,""dx"":-51,""dy"":-141,""t"":4321},{""x"":442,""y"":685,""dx"":-49,""dy"":-136,""t"":4357},{""x"":433,""y"":690,""dx"":-58,""dy"":-131,""t"":4390},{""x"":443,""y"":691,""dx"":-48,""dy"":-130,""t"":4424},{""x"":450,""y"":709,""dx"":-41,""dy"":-112,""t"":4458},{""x"":456,""y"":735,""dx"":-35,""dy"":-86,""t"":4492},{""x"":462,""y"":738,""dx"":-29,""dy"":-83,""t"":4525},{""x"":473,""y"":720,""dx"":-18,""dy"":-101,""t"":4561},{""x"":473,""y"":715,""dx"":-18,""dy"":-106,""t"":4593},{""x"":479,""y"":726,""dx"":-12,""dy"":-95,""t"":4629},{""x"":482,""y"":716,""dx"":-9,""dy"":-105,""t"":4662},{""x"":495,""y"":706,""dx"":4,""dy"":-115,""t"":4696},{""x"":491,""y"":733,""dx"":0,""dy"":-88,""t"":4731},{""x"":494,""y"":745,""dx"":3,""dy"":-76,""t"":4761},{""x"":508,""y"":742,""dx"":17,""dy"":-79,""t"":4798},{""x"":490,""y"":752,""dx"":-1,""dy"":-69,""t"":4832},{""x"":489,""y"":759,""dx"":-2,""dy"":-62,""t"":4865},{""x"":476,""y"":760,""dx"":-15,""dy"":-61,""t"":4899},{""x"":470,""y"":766,""dx"":-21,""dy"":-55,""t"":4934},{""x"":481,""y"":769,""dx"":-10,""dy"":-52,""t"":4967},{""x"":477,""y"":763,""dx"":-14,""dy"":-58,""t"":5001},{""x"":487,""y"":751,""dx"":-4,""dy"":-70,""t"":5036},{""x"":477,""y"":736,""dx"":-14,""dy"":-85,""t"":5070},{""x"":470,""y"":718,""dx"":-21,""dy"":-103,""t"":5104},{""x"":470,""y"":705,""dx"":-21,""dy"":-116,""t"":5139},{""x"":454,""y"":705,""dx"":-37,""dy"":-116,""t"":5173},{""x"":435,""y"":690,""dx"":-56,""dy"":-131,""t"":5207},{""x"":439,""y"":691,""dx"":-52,""dy"":-130,""t"":5240},{""x"":430,""y"":684,""dx"":-61,""dy"":-137,""t"":5274},{""x"":441,""y"":669,""dx"":-50,""dy"":-152,""t"":5308},{""x"":451,""y"":683,""dx"":-40,""dy"":-138,""t"":5342},{""x"":457,""y"":664,""dx"":-34,""dy"":-157,""t"":5375},{""x"":460,""y"":646,""dx"":-31,""dy"":-175,""t"":5409},{""x"":462,""y"":650,""dx"":-29,""dy"":-171,""t"":5444},{""x"":456,""y"":654,""dx"":-35,""dy"":-167,""t"":5478},{""x"":464,""y"":680,""dx"":-27,""dy"":-141,""t"":5511},{""x"":463,""y"":683,""dx"":-28,""dy"":-138,""t"":5546},{""x"":461,""y"":681,""dx"":-30,""dy"":-140,""t"":5579},{""x"":466,""y"":696,""dx"":-25,""dy"":-125,""t"":5613},{""x"":441,""y"":680,""dx"":-50,""dy"":-141,""t"":5648},{""x"":436,""y"":700,""dx"":-55,""dy"":-121,""t"":5682},{""x"":438,""y"":706,""dx"":-53,""dy"":-115,""t"":5716},{""x"":450,""y"":717,""dx"":-41,""dy"":-104,""t"":5749},{""x"":443,""y"":735,""dx"":-48,""dy"":-86,""t"":5784},{""x"":441,""y"":746,""dx"":-50,""dy"":-75,""t"":5819},{""x"":447,""y"":726,""dx"":-44,""dy"":-95,""t"":5852},{""x"":439,""y"":733,""dx"":-52,""dy"":-88,""t"":5886},{""x"":449,""y"":743,""dx"":-42,""dy"":-78,""t"":5920},{""x"":466,""y"":768,""dx"":-25,""dy"":-53,""t"":5954},{""x"":455,""y"":766,""dx"":-36,""dy"":-55,""t"":5987}],[{""x"":936,""y"":603,""dx"":-35,""dy"":52,""t"":7042},{""x"":934,""y"":590,""dx"":-37,""dy"":39,""t"":7076},{""x"":924,""y"":597,""dx"":-47,""dy"":46,""t"":7110},{""x"":923,""y"":618,""dx"":-48,""dy"":67,""t"":7144},{""x"":905,""y"":646,""dx"":-66,""dy"":95,""t"":7178},{""x"":914,""y"":629,""dx"":-57,""dy"":78,""t"":7211},{""x"":915,""y"":600,""dx"":-56,""dy"":49,""t"":7247},{""x"":925,""y"":600,""dx"":-46,""dy"":49,""t"":7280},{""x"":916,""y"":575,""dx"":-55,""dy"":24,""t"":7314},{""x"":922,""y"":543,""dx"":-49,""dy"":-8,""t"":7348},{""x"":915,""y"":552,""dx"":-56,""dy"":1,""t"":7382},{""x"":944,""y"":545,""dx"":-27,""dy"":-6,""t"":7415},{""x"":957,""y"":558,""dx"":-14,""dy"":7,""t"":7450},{""x"":961,""y"":553,""dx"":-10,""dy"":2,""t"":7484},{""x"":971,""y"":524,""dx"":0,""dy"":-27,""t"":7517},{""x"":965,""y"":555,""dx"":-6,""dy"":4,""t"":7552},{""x"":975,""y"":577,""dx"":4,""dy"":26,""t"":7586},{""x"":981,""y"":586,""dx"":10,""dy"":35,""t"":7620},{""x"":966,""y"":595,""dx"":-5,""dy"":44,""t"":7654},{""x"":967,""y"":582,""dx"":-4,""dy"":31,""t"":7687},{""x"":949,""y"":599,""dx"":-22,""dy"":48,""t"":7722},{""x"":954,""y"":586,""dx"":-17,""dy"":35,""t"":7756},{""x"":948,""y"":596,""dx"":-23,""dy"":45,""t"":7789},{""x"":960,""y"":600,""dx"":-11,""dy"":49,""t"":7824},{""x"":967,""y"":617,""dx"":-4,""dy"":66,""t"":7857},{""x"":974,""y"":625,""dx"":3,""dy"":74,""t"":7893},{""x"":943,""y"":653,""dx"":-28,""dy"":102,""t"":7924},{""x"":936,""y"":668,""dx"":-35,""dy"":117,""t"":7959},{""x"":971,""y"":668,""dx"":0,""dy"":117,""t"":7993},{""x"":988,""y"":664,""dx"":17,""dy"":113,""t"":8028},{""x"":989,""y"":656,""dx"":18,""dy"":105,""t"":8062},{""x"":984,""y"":676,""dx"":13,""dy"":125,""t"":8096},{""x"":974,""y"":620,""dx"":3,""dy"":69,""t"":8129},{""x"":1003,""y"":624,""dx"":32,""dy"":73,""t"":8164},{""x"":972,""y"":611,""dx"":1,""dy"":60,""t"":8198},{""x"":974,""y"":615,""dx"":3,""dy"":64,""t"":8232},{""x"":970,""y"":621,""dx"":-1,""dy"":70,""t"":8265},{""x"":977,""y"":590,""dx"":6,""dy"":39,""t"":8299},{""x"":993,""y"":590,""dx"":22,""dy"":39,""t"":8331},{""x"":977,""y"":609,""dx"":6,""dy"":58,""t"":8368},{""x"":950,""y"":594,""dx"":-21,""dy"":43,""t"":8401},{""x"":934,""y"":594,""dx"":-37,""dy"":43,""t"":8437},{""x"":895,""y"":607,""dx"":-76,""dy"":56,""t"":8470},{""x"":850,""y"":587,""dx"":-121,""dy"":36,""t"":8505},{""x"":831,""y"":587,""dx"":-140,""dy"":36,""t"":8537},{""x"":841,""y"":609,""dx"":-130,""dy"":58,""t"":8571},{""x"":860,""y"":607,""dx"":-111,""dy"":56,""t"":8606},{""x"":865,""y"":624,""dx"":-106,""dy"":73,""t"":8639},{""x"":886,""y"":627,""dx"":-85,""dy"":76,""t"":8674},{""x"":881,""y"":643,""dx"":-90,""dy"":92,""t"":8708},{""x"":867,""y"":655,""dx"":-104,""dy"":104,""t"":8742},{""x"":884,""y"":668,""dx"":-87,""dy"":117,""t"":8776},{""x"":874,""y"":674,""dx"":-97,""dy"":123,""t"":8810},{""x"":864,""y"":645,""dx"":-107,""dy"":94,""t"":8844},{""x"":877,""y"":641,""dx"":-94,""dy"":90,""t"":8878},{""x"":867,""y"":635,""dx"":-104,""dy"":84,""t"":8911},{""x"":871,""y"":628,""dx"":-100,""dy"":77,""t"":8947},{""x"":866,""y"":640,""dx"":-105,""dy"":89,""t"":8980},{""x"":869,""y"":636,""dx"":-102,""dy"":85,""t"":9014}],[{""x"":1401,""y"":238,""dx"":-50,""dy"":-43,""t"":10067},{""x"":1388,""y"":255,""dx"":-63,""dy"":-26,""t"":10101},{""x"":1393,""y"":263,""dx"":-58,""dy"":-18,""t"":10136},{""x"":1395,""y"":291,""dx"":-56,""dy"":10,""t"":10170},{""x"":1396,""y"":304,""dx"":-55,""dy"":23,""t"":10205},{""x"":1404,""y"":331,""dx"":-47,""dy"":50,""t"":10238},{""x"":1402,""y"":340,""dx"":-49,""dy"":59,""t"":10270},{""x"":1395,""y"":343,""dx"":-56,""dy"":62,""t"":10305},{""x"":1395,""y"":347,""dx"":-56,""dy"":66,""t"":10340},{""x"":1394,""y"":355,""dx"":-57,""dy"":74,""t"":10374},{""x"":1381,""y"":357,""dx"":-70,""dy"":76,""t"":10408},{""x"":1392,""y"":350,""dx"":-59,""dy"":69,""t"":10442},{""x"":1398,""y"":355,""dx"":-53,""dy"":74,""t"":10475},{""x"":1398,""y"":361,""dx"":-53,""dy"":80,""t"":10509},{""x"":1401,""y"":365,""dx"":-50,""dy"":84,""t"":10543},{""x"":1415,""y"":339,""dx"":-36,""dy"":58,""t"":10578},{""x"":1426,""y"":353,""dx"":-25,""dy"":72,""t"":10612},{""x"":1420,""y"":360,""dx"":-31,""dy"":79,""t"":10645},{""x"":1424,""y"":358,""dx"":-27,""dy"":77,""t"":10680},{""x"":1415,""y"":352,""dx"":-36,""dy"":71,""t"":10714},{""x"":1412,""y"":311,""dx"":-39,""dy"":30,""t"":10748},{""x"":1402,""y"":313,""dx"":-49,""dy"":32,""t"":10782},{""x"":1398,""y"":310,""dx"":-53,""dy"":29,""t"":10816},{""x"":1398,""y"":324,""dx"":-53,""dy"":43,""t"":10849},{""x"":1389,""y"":312,""dx"":-62,""dy"":31,""t"":10883},{""x"":1392,""y"":305,""dx"":-59,""dy"":24,""t"":10918},{""x"":1381,""y"":288,""dx"":-70,""dy"":7,""t"":10951},{""x"":1387,""y"":305,""dx"":-64,""dy"":24,""t"":10986},{""x"":1389,""y"":311,""dx"":-62,""dy"":30,""t"":11020},{""x"":1395,""y"":319,""dx"":-56,""dy"":38,""t"":11054},{""x"":1408,""y"":328,""dx"":-43,""dy"":47,""t"":11088},{""x"":1400,""y"":351,""dx"":-51,""dy"":70,""t"":11121},{""x"":1407,""y"":354,""dx"":-44,""dy"":73,""t"":11156},{""x"":1416,""y"":355,""dx"":-35,""dy"":74,""t"":11190},{""x"":1410,""y"":351,""dx"":-41,""dy"":70,""t"":11224},{""x"":1396,""y"":352,""dx"":-55,""dy"":71,""t"":11258},{""x"":1417,""y"":353,""dx"":-34,""dy"":72,""t"":11292},{""x"":1419,""y"":357,""dx"":-32,""dy"":76,""t"":11326},{""x"":1425,""y"":371,""dx"":-26,""dy"":90,""t"":11360},{""x"":1419,""y"":359,""dx"":-32,""dy"":78,""t"":11393},{""x"":1417,""y"":362,""dx"":-34,""dy"":81,""t"":11428},{""x"":1417,""y"":381,""dx"":-34,""dy"":100,""t"":11459},{""x"":1416,""y"":373,""dx"":-35,""dy"":92,""t"":11496},{""x"":1414,""y"":384,""dx"":-37,""dy"":103,""t"":11530},{""x"":1412,""y"":380,""dx"":-39,""dy"":99,""t"":11565},{""x"":1400,""y"":393,""dx"":-51,""dy"":112,""t"":11598},{""x"":1393,""y"":380,""dx"":-58,""dy"":99,""t"":11631},{""x"":1393,""y"":381,""dx"":-58,""dy"":100,""t"":11665},{""x"":1383,""y"":381,""dx"":-68,""dy"":100,""t"":11699},{""x"":1383,""y"":386,""dx"":-68,""dy"":105,""t"":11735},{""x"":1380,""y"":374,""dx"":-71,""dy"":93,""t"":11768},{""x"":1375,""y"":365,""dx"":-76,""dy"":84,""t"":11803},{""x"":1379,""y"":341,""dx"":-72,""dy"":60,""t"":11837},{""x"":1383,""y"":321,""dx"":-68,""dy"":40,""t"":11868},{""x"":1395,""y"":324,""dx"":-56,""dy"":43,""t"":11904},{""x"":1387,""y"":335,""dx"":-64,""dy"":54,""t"":11937},{""x"":1390,""y"":329,""dx"":-61,""dy"":48,""t"":11973},{""x"":1373,""y"":321,""dx"":-78,""dy"":40,""t"":12006},{""x"":1386,""y"":326,""dx"":-65,""dy"":45,""t"":12040}],[{""x"":1455,""y"":696,""dx"":4,""dy"":-125,""t"":13060},{""x"":1472,""y"":690,""dx"":21,""dy"":-131,""t"":13094},{""x"":1469,""y"":693,""dx"":18,""dy"":-128,""t"":13128},{""x"":1486,""y"":712,""dx"":35,""dy"":-109,""t"":13162},{""x"":1476,""y"":728,""dx"":25,""dy"":-93,""t"":13196},{""x"":1469,""y"":724,""dx"":18,""dy"":-97,""t"":13229},{""x"":1469,""y"":732,""dx"":18,""dy"":-89,""t"":13264},{""x"":1465,""y"":736,""dx"":14,""dy"":-85,""t"":13297},{""x"":1461,""y"":722,""dx"":10,""dy"":-99,""t"":13333},{""x"":1463,""y"":704,""dx"":12,""dy"":-117,""t"":13366},{""x"":1463,""y"":714,""dx"":12,""dy"":-107,""t"":13399},{""x"":1477,""y"":700,""dx"":26,""dy"":-121,""t"":13432},{""x"":1465,""y"":704,""dx"":14,""dy"":-117,""t"":13468},{""x"":1473,""y"":711,""dx"":22,""dy"":-110,""t"":13501},{""x"":1459,""y"":701,""dx"":8,""dy"":-120,""t"":13536},{""x"":1452,""y"":684,""dx"":1,""dy"":-137,""t"":13569},{""x"":1451,""y"":703,""dx"":0,""dy"":-118,""t"":13604},{""x"":1466,""y"":725,""dx"":15,""dy"":-96,""t"":13637},{""x"":1463,""y"":741,""dx"":12,""dy"":-80,""t"":13672},{""x"":1466,""y"":767,""dx"":15,""dy"":-54,""t"":13706},{""x"":1465,""y"":781,""dx"":14,""dy"":-40,""t"":13739},{""x"":1455,""y"":762,""dx"":4,""dy"":-59,""t"":13774},{""x"":1461,""y"":762,""dx"":10,""dy"":-59,""t"":13808},{""x"":1467,""y"":762,""dx"":16,""dy"":-59,""t"":13839},{""x"":1469,""y"":751,""dx"":18,""dy"":-70,""t"":13877},{""x"":1452,""y"":742,""dx"":1,""dy"":-79,""t"":13909},{""x"":1450,""y"":719,""dx"":-1,""dy"":-102,""t"":13944},{""x"":1450,""y"":732,""dx"":-1,""dy"":-89,""t"":13978},{""x"":1449,""y"":737,""dx"":-2,""dy"":-84,""t"":14013},{""x"":1453,""y"":742,""dx"":2,""dy"":-79,""t"":14045},{""x"":1445,""y"":744,""dx"":-6,""dy"":-77,""t"":14079},{""x"":1449,""y"":744,""dx"":-2,""dy"":-77,""t"":14114},{""x"":1445,""y"":752,""dx"":-6,""dy"":-69,""t"":14148},{""x"":1440,""y"":770,""dx"":-11,""dy"":-51,""t"":14182},{""x"":1442,""y"":763,""dx"":-9,""dy"":-58,""t"":14215},{""x"":1446,""y"":765,""dx"":-5,""dy"":-56,""t"":14249},{""x"":1458,""y"":767,""dx"":7,""dy"":-54,""t"":14283},{""x"":1453,""y"":795,""dx"":2,""dy"":-26,""t"":14318},{""x"":1449,""y"":760,""dx"":-2,""dy"":-61,""t"":14352},{""x"":1455,""y"":763,""dx"":4,""dy"":-58,""t"":14386},{""x"":1459,""y"":768,""dx"":8,""dy"":-53,""t"":14421},{""x"":1456,""y"":776,""dx"":5,""dy"":-45,""t"":14454},{""x"":1465,""y"":778,""dx"":14,""dy"":-43,""t"":14488},{""x"":1441,""y"":754,""dx"":-10,""dy"":-67,""t"":14522},{""x"":1428,""y"":739,""dx"":-23,""dy"":-82,""t"":14556},{""x"":1436,""y"":763,""dx"":-15,""dy"":-58,""t"":14590},{""x"":1441,""y"":743,""dx"":-10,""dy"":-78,""t"":14624},{""x"":1445,""y"":740,""dx"":-6,""dy"":-81,""t"":14657},{""x"":1454,""y"":739,""dx"":3,""dy"":-82,""t"":14692},{""x"":1444,""y"":744,""dx"":-7,""dy"":-77,""t"":14726},{""x"":1444,""y"":760,""dx"":-7,""dy"":-61,""t"":14760},{""x"":1446,""y"":751,""dx"":-5,""dy"":-70,""t"":14794},{""x"":1445,""y"":775,""dx"":-6,""dy"":-46,""t"":14829},{""x"":1452,""y"":764,""dx"":1,""dy"":-57,""t"":14862},{""x"":1455,""y"":757,""dx"":4,""dy"":-64,""t"":14896},{""x"":1461,""y"":780,""dx"":10,""dy"":-41,""t"":14929},{""x"":1453,""y"":781,""dx"":2,""dy"":-40,""t"":14965},{""x"":1454,""y"":789,""dx"":3,""dy"":-32,""t"":14998},{""x"":1443,""y"":794,""dx"":-8,""dy"":-27,""t"":15030}]]","[100,100,100,100,100]","[{""x"":40.45762711864407,""y"":7.254237288135593,""r"":35.074779555591114},{""x"":-33.76271186440678,""y"":-108.57627118644068,""r"":31.372533397332347},{""x"":-41.32203389830509,""y"":59.45762711864407,""r"":56.85179581801625},{""x"":-51.52542372881356,""y"":59.389830508474574,""r"":27.506009894076225},{""x"":4.8474576271186445,""y"":-77.01694915254237,""r"":23.524379647617238}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.42","validate","","","","","","","","","","","","","",""
"","html-button-response","8","46715","0.0-4.0-0.0","495","0","","","<p>正式试验：试验都以 500 毫秒的固定时间开始，然后会有一个 2000 ms的样本显示，然后是 1000 毫秒的空白间隔。</p> <p style=""font-weight: bold"">要求：记忆所呈现刺激物和其对应的位置，根据目标提示选择对应刺激的位置,并根据数字键盘的""4"", ""7"", ""9"", ""6"", ""3"", ""1""进行选择响应。</p>","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","9","47723","0.0-4.0-1.0-0.0","null","null","","","","","","","","","recall","[""9"",""9"",""6"",""6"",""6"",""6"",""9"",""9"",""4"",""4"",""3"",""3"",""1"",""1"",""7"",""7"",""9"",""9"",""9"",""9"",""1"",""1"",""7"",""7"",""1"",""1"",""4"",""4"",""6"",""6"",""1"",""1"",""9"",""9"",""4"",""4"",""6"",""6"",""4"",""4"",""3"",""3"",""7"",""7"",""1"",""1"",""3"",""3"",""4"",""4"",""3"",""3"",""6"",""6"",""1"",""1"",""9"",""9"",""3"",""3"",""7"",""7"",""6"",""6"",""7"",""7"",""4"",""4"",""7"",""7"",""3"",""3""]","1000","color","6","","","","","","","","","",""
"","canvas-keyboard-response","10","48229","0.0-4.0-1.0-1.0","null","null","","","[""blue"",""green"",""red"",""yellow"",""cyan"",""purple""]","","","","","","","","","","","[{""x"":1066,""y"":688,""t"":3},{""x"":1049,""y"":668,""t"":37},{""x"":1111,""y"":650,""t"":73},{""x"":1108,""y"":628,""t"":106},{""x"":1100,""y"":621,""t"":140},{""x"":1141,""y"":597,""t"":174},{""x"":1192,""y"":584,""t"":208},{""x"":1178,""y"":593,""t"":242},{""x"":1101,""y"":614,""t"":275},{""x"":968,""y"":617,""t"":309},{""x"":859,""y"":578,""t"":343},{""x"":742,""y"":529,""t"":378},{""x"":788,""y"":613,""t"":412},{""x"":834,""y"":676,""t"":446},{""x"":913,""y"":771,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","","","","","","",""
"","canvas-keyboard-response","11","48737","0.0-4.0-1.0-2.0","null","null","","","","","","","","","recall","[""9"",""9"",""6"",""6"",""6"",""6"",""9"",""9"",""4"",""4"",""3"",""3"",""1"",""1"",""7"",""7"",""9"",""9"",""9"",""9"",""1"",""1"",""7"",""7"",""1"",""1"",""4"",""4"",""6"",""6"",""1"",""1"",""9"",""9"",""4"",""4"",""6"",""6"",""4"",""4"",""3"",""3"",""7"",""7"",""1"",""1"",""3"",""3"",""4"",""4"",""3"",""3"",""6"",""6"",""1"",""1"",""9"",""9"",""3"",""3"",""7"",""7"",""6"",""6"",""7"",""7"",""4"",""4"",""7"",""7"",""3"",""3""]","1000","color","6","[{""x"":973,""y"":781,""t"":3},{""x"":1018,""y"":768,""t"":39},{""x"":1054,""y"":830,""t"":71},{""x"":1093,""y"":820,""t"":106},{""x"":1077,""y"":752,""t"":140},{""x"":1053,""y"":664,""t"":174},{""x"":1067,""y"":652,""t"":208},{""x"":1022,""y"":678,""t"":242},{""x"":997,""y"":642,""t"":276},{""x"":969,""y"":628,""t"":310},{""x"":975,""y"":631,""t"":343},{""x"":941,""y"":660,""t"":378},{""x"":924,""y"":660,""t"":412},{""x"":932,""y"":662,""t"":446},{""x"":907,""y"":682,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
