"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","2966","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","8776","0.0-1.0-0.0","5807","{""name"":""张小雨"",""age"":""23""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","9983","0.0-1.0-1.0","1207","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","17639","0.0-2.0","","","","2120","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","18567","0.0-3.0-0.0","926","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","30079","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","31023","0.0-3.0-2.0","944","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","48277","0.0-3.0-3.0","","","","","","[[{""x"":694,""y"":306,""dx"":203,""dy"":25,""t"":990},{""x"":702,""y"":313,""dx"":211,""dy"":32,""t"":1023},{""x"":710,""y"":322,""dx"":219,""dy"":41,""t"":1057},{""x"":694,""y"":345,""dx"":203,""dy"":64,""t"":1092},{""x"":659,""y"":338,""dx"":168,""dy"":57,""t"":1125},{""x"":656,""y"":338,""dx"":165,""dy"":57,""t"":1159},{""x"":640,""y"":354,""dx"":149,""dy"":73,""t"":1194},{""x"":656,""y"":392,""dx"":165,""dy"":111,""t"":1228},{""x"":672,""y"":404,""dx"":181,""dy"":123,""t"":1261},{""x"":653,""y"":401,""dx"":162,""dy"":120,""t"":1296},{""x"":656,""y"":389,""dx"":165,""dy"":108,""t"":1331},{""x"":643,""y"":397,""dx"":152,""dy"":116,""t"":1364},{""x"":628,""y"":383,""dx"":137,""dy"":102,""t"":1398},{""x"":634,""y"":329,""dx"":143,""dy"":48,""t"":1433},{""x"":644,""y"":311,""dx"":153,""dy"":30,""t"":1466},{""x"":641,""y"":271,""dx"":150,""dy"":-10,""t"":1499},{""x"":647,""y"":288,""dx"":156,""dy"":7,""t"":1533},{""x"":637,""y"":276,""dx"":146,""dy"":-5,""t"":1567},{""x"":627,""y"":280,""dx"":136,""dy"":-1,""t"":1603},{""x"":585,""y"":270,""dx"":94,""dy"":-11,""t"":1636},{""x"":576,""y"":285,""dx"":85,""dy"":4,""t"":1670},{""x"":535,""y"":310,""dx"":44,""dy"":29,""t"":1703},{""x"":525,""y"":335,""dx"":34,""dy"":54,""t"":1738},{""x"":527,""y"":301,""dx"":36,""dy"":20,""t"":1771},{""x"":539,""y"":325,""dx"":48,""dy"":44,""t"":1806},{""x"":544,""y"":300,""dx"":53,""dy"":19,""t"":1840},{""x"":575,""y"":335,""dx"":84,""dy"":54,""t"":1874},{""x"":595,""y"":373,""dx"":104,""dy"":92,""t"":1907},{""x"":607,""y"":335,""dx"":116,""dy"":54,""t"":1941},{""x"":597,""y"":348,""dx"":106,""dy"":67,""t"":1976},{""x"":588,""y"":315,""dx"":97,""dy"":34,""t"":2010},{""x"":578,""y"":289,""dx"":87,""dy"":8,""t"":2045},{""x"":564,""y"":254,""dx"":73,""dy"":-27,""t"":2079},{""x"":574,""y"":260,""dx"":83,""dy"":-21,""t"":2112},{""x"":569,""y"":270,""dx"":78,""dy"":-11,""t"":2146},{""x"":559,""y"":320,""dx"":68,""dy"":39,""t"":2180},{""x"":560,""y"":301,""dx"":69,""dy"":20,""t"":2214},{""x"":574,""y"":319,""dx"":83,""dy"":38,""t"":2247},{""x"":577,""y"":332,""dx"":86,""dy"":51,""t"":2282},{""x"":572,""y"":350,""dx"":81,""dy"":69,""t"":2315},{""x"":565,""y"":367,""dx"":74,""dy"":86,""t"":2350},{""x"":545,""y"":343,""dx"":54,""dy"":62,""t"":2381},{""x"":538,""y"":322,""dx"":47,""dy"":41,""t"":2417},{""x"":530,""y"":296,""dx"":39,""dy"":15,""t"":2451},{""x"":529,""y"":288,""dx"":38,""dy"":7,""t"":2485},{""x"":507,""y"":281,""dx"":16,""dy"":0,""t"":2519},{""x"":500,""y"":268,""dx"":9,""dy"":-13,""t"":2553},{""x"":496,""y"":280,""dx"":5,""dy"":-1,""t"":2589},{""x"":482,""y"":264,""dx"":-9,""dy"":-17,""t"":2622},{""x"":491,""y"":300,""dx"":0,""dy"":19,""t"":2656},{""x"":476,""y"":284,""dx"":-15,""dy"":3,""t"":2690},{""x"":475,""y"":296,""dx"":-16,""dy"":15,""t"":2725},{""x"":489,""y"":314,""dx"":-2,""dy"":33,""t"":2758},{""x"":495,""y"":291,""dx"":4,""dy"":10,""t"":2791},{""x"":520,""y"":295,""dx"":29,""dy"":14,""t"":2826},{""x"":513,""y"":271,""dx"":22,""dy"":-10,""t"":2861},{""x"":555,""y"":300,""dx"":64,""dy"":19,""t"":2895},{""x"":625,""y"":353,""dx"":134,""dy"":72,""t"":2928},{""x"":651,""y"":414,""dx"":160,""dy"":133,""t"":2962},{""x"":676,""y"":450,""dx"":185,""dy"":169,""t"":2996}],[{""x"":461,""y"":720,""dx"":-30,""dy"":-101,""t"":4017},{""x"":445,""y"":715,""dx"":-46,""dy"":-106,""t"":4051},{""x"":479,""y"":711,""dx"":-12,""dy"":-110,""t"":4084},{""x"":473,""y"":728,""dx"":-18,""dy"":-93,""t"":4118},{""x"":444,""y"":728,""dx"":-47,""dy"":-93,""t"":4151},{""x"":443,""y"":726,""dx"":-48,""dy"":-95,""t"":4187},{""x"":434,""y"":720,""dx"":-57,""dy"":-101,""t"":4219},{""x"":423,""y"":733,""dx"":-68,""dy"":-88,""t"":4253},{""x"":415,""y"":731,""dx"":-76,""dy"":-90,""t"":4288},{""x"":397,""y"":741,""dx"":-94,""dy"":-80,""t"":4322},{""x"":382,""y"":749,""dx"":-109,""dy"":-72,""t"":4355},{""x"":408,""y"":737,""dx"":-83,""dy"":-84,""t"":4390},{""x"":418,""y"":717,""dx"":-73,""dy"":-104,""t"":4423},{""x"":451,""y"":693,""dx"":-40,""dy"":-128,""t"":4458},{""x"":452,""y"":681,""dx"":-39,""dy"":-140,""t"":4492},{""x"":492,""y"":652,""dx"":1,""dy"":-169,""t"":4527},{""x"":510,""y"":654,""dx"":19,""dy"":-167,""t"":4560},{""x"":521,""y"":654,""dx"":30,""dy"":-167,""t"":4594},{""x"":528,""y"":664,""dx"":37,""dy"":-157,""t"":4628},{""x"":545,""y"":659,""dx"":54,""dy"":-162,""t"":4661},{""x"":538,""y"":665,""dx"":47,""dy"":-156,""t"":4696},{""x"":523,""y"":663,""dx"":32,""dy"":-158,""t"":4729},{""x"":496,""y"":691,""dx"":5,""dy"":-130,""t"":4764},{""x"":495,""y"":702,""dx"":4,""dy"":-119,""t"":4798},{""x"":485,""y"":737,""dx"":-6,""dy"":-84,""t"":4831},{""x"":518,""y"":736,""dx"":27,""dy"":-85,""t"":4865},{""x"":527,""y"":735,""dx"":36,""dy"":-86,""t"":4899},{""x"":516,""y"":729,""dx"":25,""dy"":-92,""t"":4933},{""x"":495,""y"":737,""dx"":4,""dy"":-84,""t"":4968},{""x"":502,""y"":720,""dx"":11,""dy"":-101,""t"":5001},{""x"":496,""y"":722,""dx"":5,""dy"":-99,""t"":5036},{""x"":496,""y"":729,""dx"":5,""dy"":-92,""t"":5069},{""x"":487,""y"":727,""dx"":-4,""dy"":-94,""t"":5103},{""x"":474,""y"":738,""dx"":-17,""dy"":-83,""t"":5138},{""x"":468,""y"":732,""dx"":-23,""dy"":-89,""t"":5172},{""x"":469,""y"":738,""dx"":-22,""dy"":-83,""t"":5205},{""x"":503,""y"":758,""dx"":12,""dy"":-63,""t"":5239},{""x"":526,""y"":759,""dx"":35,""dy"":-62,""t"":5274},{""x"":544,""y"":759,""dx"":53,""dy"":-62,""t"":5309},{""x"":559,""y"":779,""dx"":68,""dy"":-42,""t"":5341},{""x"":542,""y"":757,""dx"":51,""dy"":-64,""t"":5375},{""x"":590,""y"":764,""dx"":99,""dy"":-57,""t"":5410},{""x"":631,""y"":758,""dx"":140,""dy"":-63,""t"":5444},{""x"":604,""y"":747,""dx"":113,""dy"":-74,""t"":5477},{""x"":595,""y"":736,""dx"":104,""dy"":-85,""t"":5511},{""x"":585,""y"":727,""dx"":94,""dy"":-94,""t"":5543},{""x"":576,""y"":730,""dx"":85,""dy"":-91,""t"":5579},{""x"":572,""y"":733,""dx"":81,""dy"":-88,""t"":5620},{""x"":571,""y"":763,""dx"":80,""dy"":-58,""t"":5656},{""x"":570,""y"":789,""dx"":79,""dy"":-32,""t"":5680},{""x"":557,""y"":811,""dx"":66,""dy"":-10,""t"":5716},{""x"":535,""y"":830,""dx"":44,""dy"":9,""t"":5751},{""x"":535,""y"":843,""dx"":44,""dy"":22,""t"":5783},{""x"":525,""y"":863,""dx"":34,""dy"":42,""t"":5818},{""x"":530,""y"":860,""dx"":39,""dy"":39,""t"":5852},{""x"":536,""y"":837,""dx"":45,""dy"":16,""t"":5885},{""x"":555,""y"":821,""dx"":64,""dy"":0,""t"":5920},{""x"":552,""y"":786,""dx"":61,""dy"":-35,""t"":5951},{""x"":571,""y"":771,""dx"":80,""dy"":-50,""t"":5988}],[{""x"":995,""y"":579,""dx"":24,""dy"":28,""t"":7008},{""x"":1034,""y"":673,""dx"":63,""dy"":122,""t"":7041},{""x"":1110,""y"":730,""dx"":139,""dy"":179,""t"":7076},{""x"":1116,""y"":743,""dx"":145,""dy"":192,""t"":7110},{""x"":1108,""y"":761,""dx"":137,""dy"":210,""t"":7143},{""x"":1079,""y"":758,""dx"":108,""dy"":207,""t"":7178},{""x"":1081,""y"":688,""dx"":110,""dy"":137,""t"":7212},{""x"":1072,""y"":655,""dx"":101,""dy"":104,""t"":7246},{""x"":1055,""y"":629,""dx"":84,""dy"":78,""t"":7280},{""x"":1037,""y"":592,""dx"":66,""dy"":41,""t"":7314},{""x"":1034,""y"":569,""dx"":63,""dy"":18,""t"":7348},{""x"":1013,""y"":555,""dx"":42,""dy"":4,""t"":7382},{""x"":1012,""y"":547,""dx"":41,""dy"":-4,""t"":7415},{""x"":998,""y"":536,""dx"":27,""dy"":-15,""t"":7450},{""x"":1002,""y"":519,""dx"":31,""dy"":-32,""t"":7484},{""x"":1005,""y"":505,""dx"":34,""dy"":-46,""t"":7516},{""x"":984,""y"":502,""dx"":13,""dy"":-49,""t"":7553},{""x"":984,""y"":457,""dx"":13,""dy"":-94,""t"":7585},{""x"":969,""y"":462,""dx"":-2,""dy"":-89,""t"":7620},{""x"":961,""y"":469,""dx"":-10,""dy"":-82,""t"":7653},{""x"":947,""y"":483,""dx"":-24,""dy"":-68,""t"":7687},{""x"":949,""y"":483,""dx"":-22,""dy"":-68,""t"":7722},{""x"":959,""y"":494,""dx"":-12,""dy"":-57,""t"":7755},{""x"":963,""y"":496,""dx"":-8,""dy"":-55,""t"":7791},{""x"":968,""y"":513,""dx"":-3,""dy"":-38,""t"":7824},{""x"":950,""y"":524,""dx"":-21,""dy"":-27,""t"":7858},{""x"":992,""y"":465,""dx"":21,""dy"":-86,""t"":7891},{""x"":1033,""y"":444,""dx"":62,""dy"":-107,""t"":7924},{""x"":1031,""y"":424,""dx"":60,""dy"":-127,""t"":7960},{""x"":1002,""y"":395,""dx"":31,""dy"":-156,""t"":7994},{""x"":989,""y"":440,""dx"":18,""dy"":-111,""t"":8027},{""x"":975,""y"":427,""dx"":4,""dy"":-124,""t"":8062},{""x"":980,""y"":429,""dx"":9,""dy"":-122,""t"":8095},{""x"":965,""y"":427,""dx"":-6,""dy"":-124,""t"":8130},{""x"":959,""y"":430,""dx"":-12,""dy"":-121,""t"":8164},{""x"":944,""y"":410,""dx"":-27,""dy"":-141,""t"":8197},{""x"":939,""y"":404,""dx"":-32,""dy"":-147,""t"":8231},{""x"":940,""y"":428,""dx"":-31,""dy"":-123,""t"":8265},{""x"":960,""y"":454,""dx"":-11,""dy"":-97,""t"":8299},{""x"":963,""y"":435,""dx"":-8,""dy"":-116,""t"":8333},{""x"":963,""y"":416,""dx"":-8,""dy"":-135,""t"":8367},{""x"":962,""y"":418,""dx"":-9,""dy"":-133,""t"":8402},{""x"":1000,""y"":441,""dx"":29,""dy"":-110,""t"":8436},{""x"":975,""y"":451,""dx"":4,""dy"":-100,""t"":8470},{""x"":990,""y"":449,""dx"":19,""dy"":-102,""t"":8503},{""x"":981,""y"":465,""dx"":10,""dy"":-86,""t"":8538},{""x"":986,""y"":463,""dx"":15,""dy"":-88,""t"":8572},{""x"":1020,""y"":449,""dx"":49,""dy"":-102,""t"":8606},{""x"":989,""y"":453,""dx"":18,""dy"":-98,""t"":8640},{""x"":993,""y"":461,""dx"":22,""dy"":-90,""t"":8674},{""x"":1001,""y"":481,""dx"":30,""dy"":-70,""t"":8708},{""x"":974,""y"":491,""dx"":3,""dy"":-60,""t"":8742},{""x"":968,""y"":495,""dx"":-3,""dy"":-56,""t"":8777},{""x"":975,""y"":497,""dx"":4,""dy"":-54,""t"":8811},{""x"":992,""y"":509,""dx"":21,""dy"":-42,""t"":8845},{""x"":1018,""y"":503,""dx"":47,""dy"":-48,""t"":8879},{""x"":1111,""y"":469,""dx"":140,""dy"":-82,""t"":8913},{""x"":1167,""y"":411,""dx"":196,""dy"":-140,""t"":8947},{""x"":1231,""y"":352,""dx"":260,""dy"":-199,""t"":8980}],[{""x"":1384,""y"":223,""dx"":-67,""dy"":-58,""t"":10000},{""x"":1373,""y"":237,""dx"":-78,""dy"":-44,""t"":10033},{""x"":1383,""y"":242,""dx"":-68,""dy"":-39,""t"":10067},{""x"":1386,""y"":253,""dx"":-65,""dy"":-28,""t"":10102},{""x"":1384,""y"":222,""dx"":-67,""dy"":-59,""t"":10135},{""x"":1424,""y"":235,""dx"":-27,""dy"":-46,""t"":10169},{""x"":1424,""y"":251,""dx"":-27,""dy"":-30,""t"":10203},{""x"":1399,""y"":235,""dx"":-52,""dy"":-46,""t"":10239},{""x"":1421,""y"":259,""dx"":-30,""dy"":-22,""t"":10272},{""x"":1425,""y"":260,""dx"":-26,""dy"":-21,""t"":10305},{""x"":1423,""y"":246,""dx"":-28,""dy"":-35,""t"":10340},{""x"":1424,""y"":230,""dx"":-27,""dy"":-51,""t"":10375},{""x"":1441,""y"":222,""dx"":-10,""dy"":-59,""t"":10407},{""x"":1440,""y"":219,""dx"":-11,""dy"":-62,""t"":10441},{""x"":1450,""y"":212,""dx"":-1,""dy"":-69,""t"":10476},{""x"":1411,""y"":224,""dx"":-40,""dy"":-57,""t"":10510},{""x"":1459,""y"":211,""dx"":8,""dy"":-70,""t"":10543},{""x"":1449,""y"":224,""dx"":-2,""dy"":-57,""t"":10577},{""x"":1400,""y"":246,""dx"":-51,""dy"":-35,""t"":10611},{""x"":1382,""y"":254,""dx"":-69,""dy"":-27,""t"":10645},{""x"":1361,""y"":259,""dx"":-90,""dy"":-22,""t"":10679},{""x"":1410,""y"":304,""dx"":-41,""dy"":23,""t"":10713},{""x"":1419,""y"":291,""dx"":-32,""dy"":10,""t"":10747},{""x"":1452,""y"":269,""dx"":1,""dy"":-12,""t"":10782},{""x"":1452,""y"":259,""dx"":1,""dy"":-22,""t"":10816},{""x"":1442,""y"":244,""dx"":-9,""dy"":-37,""t"":10850},{""x"":1390,""y"":251,""dx"":-61,""dy"":-30,""t"":10884},{""x"":1411,""y"":250,""dx"":-40,""dy"":-31,""t"":10917},{""x"":1428,""y"":246,""dx"":-23,""dy"":-35,""t"":10952},{""x"":1404,""y"":250,""dx"":-47,""dy"":-31,""t"":10986},{""x"":1411,""y"":235,""dx"":-40,""dy"":-46,""t"":11020},{""x"":1444,""y"":275,""dx"":-7,""dy"":-6,""t"":11053},{""x"":1456,""y"":266,""dx"":5,""dy"":-15,""t"":11086},{""x"":1470,""y"":263,""dx"":19,""dy"":-18,""t"":11121},{""x"":1470,""y"":260,""dx"":19,""dy"":-21,""t"":11155},{""x"":1469,""y"":226,""dx"":18,""dy"":-55,""t"":11190},{""x"":1476,""y"":218,""dx"":25,""dy"":-63,""t"":11223},{""x"":1445,""y"":213,""dx"":-6,""dy"":-68,""t"":11259},{""x"":1412,""y"":225,""dx"":-39,""dy"":-56,""t"":11291},{""x"":1382,""y"":238,""dx"":-69,""dy"":-43,""t"":11326},{""x"":1401,""y"":219,""dx"":-50,""dy"":-62,""t"":11361},{""x"":1354,""y"":275,""dx"":-97,""dy"":-6,""t"":11394},{""x"":1402,""y"":260,""dx"":-49,""dy"":-21,""t"":11428},{""x"":1415,""y"":250,""dx"":-36,""dy"":-31,""t"":11463},{""x"":1415,""y"":244,""dx"":-36,""dy"":-37,""t"":11495},{""x"":1383,""y"":230,""dx"":-68,""dy"":-51,""t"":11530},{""x"":1408,""y"":235,""dx"":-43,""dy"":-46,""t"":11563},{""x"":1402,""y"":262,""dx"":-49,""dy"":-19,""t"":11598},{""x"":1415,""y"":268,""dx"":-36,""dy"":-13,""t"":11632},{""x"":1421,""y"":244,""dx"":-30,""dy"":-37,""t"":11666},{""x"":1423,""y"":241,""dx"":-28,""dy"":-40,""t"":11700},{""x"":1415,""y"":256,""dx"":-36,""dy"":-25,""t"":11733},{""x"":1425,""y"":274,""dx"":-26,""dy"":-7,""t"":11769},{""x"":1416,""y"":266,""dx"":-35,""dy"":-15,""t"":11803},{""x"":1417,""y"":253,""dx"":-34,""dy"":-28,""t"":11836},{""x"":1437,""y"":270,""dx"":-14,""dy"":-11,""t"":11870},{""x"":1464,""y"":286,""dx"":13,""dy"":5,""t"":11903},{""x"":1491,""y"":275,""dx"":40,""dy"":-6,""t"":11938},{""x"":1503,""y"":248,""dx"":52,""dy"":-33,""t"":11973},{""x"":1493,""y"":234,""dx"":42,""dy"":-47,""t"":12006}],[{""x"":1325,""y"":517,""dx"":-126,""dy"":-304,""t"":13026},{""x"":1280,""y"":552,""dx"":-171,""dy"":-269,""t"":13061},{""x"":1242,""y"":582,""dx"":-209,""dy"":-239,""t"":13092},{""x"":1266,""y"":567,""dx"":-185,""dy"":-254,""t"":13127},{""x"":1233,""y"":614,""dx"":-218,""dy"":-207,""t"":13162},{""x"":1217,""y"":643,""dx"":-234,""dy"":-178,""t"":13196},{""x"":1248,""y"":613,""dx"":-203,""dy"":-208,""t"":13230},{""x"":1278,""y"":625,""dx"":-173,""dy"":-196,""t"":13264},{""x"":1291,""y"":613,""dx"":-160,""dy"":-208,""t"":13297},{""x"":1297,""y"":623,""dx"":-154,""dy"":-198,""t"":13331},{""x"":1254,""y"":650,""dx"":-197,""dy"":-171,""t"":13365},{""x"":1262,""y"":645,""dx"":-189,""dy"":-176,""t"":13400},{""x"":1236,""y"":617,""dx"":-215,""dy"":-204,""t"":13434},{""x"":1242,""y"":632,""dx"":-209,""dy"":-189,""t"":13469},{""x"":1222,""y"":641,""dx"":-229,""dy"":-180,""t"":13501},{""x"":1218,""y"":615,""dx"":-233,""dy"":-206,""t"":13537},{""x"":1220,""y"":597,""dx"":-231,""dy"":-224,""t"":13569},{""x"":1198,""y"":615,""dx"":-253,""dy"":-206,""t"":13603},{""x"":1251,""y"":608,""dx"":-200,""dy"":-213,""t"":13638},{""x"":1294,""y"":608,""dx"":-157,""dy"":-213,""t"":13672},{""x"":1327,""y"":607,""dx"":-124,""dy"":-214,""t"":13706},{""x"":1325,""y"":630,""dx"":-126,""dy"":-191,""t"":13739},{""x"":1305,""y"":613,""dx"":-146,""dy"":-208,""t"":13774},{""x"":1321,""y"":585,""dx"":-130,""dy"":-236,""t"":13808},{""x"":1309,""y"":611,""dx"":-142,""dy"":-210,""t"":13841},{""x"":1326,""y"":573,""dx"":-125,""dy"":-248,""t"":13875},{""x"":1313,""y"":589,""dx"":-138,""dy"":-232,""t"":13909},{""x"":1288,""y"":612,""dx"":-163,""dy"":-209,""t"":13944},{""x"":1296,""y"":615,""dx"":-155,""dy"":-206,""t"":13978},{""x"":1253,""y"":640,""dx"":-198,""dy"":-181,""t"":14012},{""x"":1275,""y"":648,""dx"":-176,""dy"":-173,""t"":14045},{""x"":1271,""y"":623,""dx"":-180,""dy"":-198,""t"":14080},{""x"":1326,""y"":626,""dx"":-125,""dy"":-195,""t"":14114},{""x"":1282,""y"":629,""dx"":-169,""dy"":-192,""t"":14148},{""x"":1267,""y"":621,""dx"":-184,""dy"":-200,""t"":14181},{""x"":1274,""y"":602,""dx"":-177,""dy"":-219,""t"":14215},{""x"":1273,""y"":588,""dx"":-178,""dy"":-233,""t"":14248},{""x"":1289,""y"":569,""dx"":-162,""dy"":-252,""t"":14284},{""x"":1269,""y"":572,""dx"":-182,""dy"":-249,""t"":14318},{""x"":1280,""y"":538,""dx"":-171,""dy"":-283,""t"":14352},{""x"":1280,""y"":533,""dx"":-171,""dy"":-288,""t"":14386},{""x"":1278,""y"":546,""dx"":-173,""dy"":-275,""t"":14449},{""x"":1274,""y"":554,""dx"":-177,""dy"":-267,""t"":14458},{""x"":1261,""y"":527,""dx"":-190,""dy"":-294,""t"":14485},{""x"":1251,""y"":516,""dx"":-200,""dy"":-305,""t"":14521},{""x"":1269,""y"":533,""dx"":-182,""dy"":-288,""t"":14557},{""x"":1276,""y"":556,""dx"":-175,""dy"":-265,""t"":14590},{""x"":1275,""y"":594,""dx"":-176,""dy"":-227,""t"":14624},{""x"":1273,""y"":627,""dx"":-178,""dy"":-194,""t"":14656},{""x"":1258,""y"":598,""dx"":-193,""dy"":-223,""t"":14692},{""x"":1285,""y"":589,""dx"":-166,""dy"":-232,""t"":14726},{""x"":1302,""y"":553,""dx"":-149,""dy"":-268,""t"":14759},{""x"":1323,""y"":535,""dx"":-128,""dy"":-286,""t"":14794},{""x"":1329,""y"":509,""dx"":-122,""dy"":-312,""t"":14828},{""x"":1287,""y"":553,""dx"":-164,""dy"":-268,""t"":14862},{""x"":1295,""y"":520,""dx"":-156,""dy"":-301,""t"":14896},{""x"":1254,""y"":568,""dx"":-197,""dy"":-253,""t"":14930},{""x"":1241,""y"":575,""dx"":-210,""dy"":-246,""t"":14964},{""x"":1270,""y"":570,""dx"":-181,""dy"":-251,""t"":14999}]]","[86.66666666666667,100,89.83050847457628,100,0]","[{""x"":93.51666666666667,""y"":39.68333333333333,""r"":96.78175308138263},{""x"":16.966101694915253,""y"":-82.10169491525424,""r"":70.737480531666},{""x"":34.983050847457626,""y"":-49.16949152542373,""r"":61.915978040283434},{""x"":-27.9,""y"":-33.71666666666667,""r"":47.65867197460885},{""x"":-176.01694915254237,""y"":-230.76271186440678,""r"":39.47329906019735}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.41","validate","","","","","","","","","","","","","","",""
"","html-button-response","8","49055","0.0-3.0-4.0-0.0-0.0","777","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","","","","","",""
"","webgazer-calibrate","9","60235","0.0-3.0-4.0-0.0-1.0","","","","","","","","","","","","recalibration","","","","","","","","","","","","","",""
"","html-button-response","10","62023","0.0-3.0-4.0-0.0-2.0","1787","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","recalibration","","","","","","","","","","","","","",""
