"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","4576","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4580","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","9632","0.0-2.0-0.0","","","","","5050","{""name"":""陈舒雨"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","10816","0.0-2.0-1.0","","","","","1183","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","12112","0.0-3.0","","","","","1294"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","18631","0.0-4.0","","","","","","","","","9","","","","","","","","","","","","","","","","",""
"","html-button-response","6","19671","0.0-5.0-0.0","","","","","1039","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","31261","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","32576","0.0-5.0-2.0","","","","","1314","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","49563","0.0-5.0-3.0","","","","","","","","","","[[{""x"":255,""y"":463,""dx"":-236,""dy"":182,""t"":987},{""x"":260,""y"":468,""dx"":-231,""dy"":187,""t"":1024},{""x"":244,""y"":502,""dx"":-247,""dy"":221,""t"":1059},{""x"":235,""y"":533,""dx"":-256,""dy"":252,""t"":1092},{""x"":213,""y"":567,""dx"":-278,""dy"":286,""t"":1126},{""x"":203,""y"":584,""dx"":-288,""dy"":303,""t"":1161},{""x"":202,""y"":609,""dx"":-289,""dy"":328,""t"":1194},{""x"":212,""y"":629,""dx"":-279,""dy"":348,""t"":1228},{""x"":212,""y"":646,""dx"":-279,""dy"":365,""t"":1262},{""x"":214,""y"":666,""dx"":-277,""dy"":385,""t"":1295},{""x"":213,""y"":665,""dx"":-278,""dy"":384,""t"":1330},{""x"":238,""y"":692,""dx"":-253,""dy"":411,""t"":1363},{""x"":250,""y"":671,""dx"":-241,""dy"":390,""t"":1398},{""x"":266,""y"":671,""dx"":-225,""dy"":390,""t"":1433},{""x"":250,""y"":671,""dx"":-241,""dy"":390,""t"":1466},{""x"":225,""y"":658,""dx"":-266,""dy"":377,""t"":1500},{""x"":214,""y"":660,""dx"":-277,""dy"":379,""t"":1534},{""x"":198,""y"":657,""dx"":-293,""dy"":376,""t"":1568},{""x"":212,""y"":643,""dx"":-279,""dy"":362,""t"":1602},{""x"":221,""y"":642,""dx"":-270,""dy"":361,""t"":1635},{""x"":224,""y"":622,""dx"":-267,""dy"":341,""t"":1670},{""x"":233,""y"":611,""dx"":-258,""dy"":330,""t"":1704},{""x"":235,""y"":598,""dx"":-256,""dy"":317,""t"":1738},{""x"":218,""y"":606,""dx"":-273,""dy"":325,""t"":1772},{""x"":218,""y"":610,""dx"":-273,""dy"":329,""t"":1806},{""x"":253,""y"":592,""dx"":-238,""dy"":311,""t"":1840},{""x"":239,""y"":582,""dx"":-252,""dy"":301,""t"":1875},{""x"":241,""y"":574,""dx"":-250,""dy"":293,""t"":1908},{""x"":283,""y"":574,""dx"":-208,""dy"":293,""t"":1942},{""x"":288,""y"":585,""dx"":-203,""dy"":304,""t"":1976},{""x"":290,""y"":603,""dx"":-201,""dy"":322,""t"":2010},{""x"":298,""y"":603,""dx"":-193,""dy"":322,""t"":2044},{""x"":304,""y"":604,""dx"":-187,""dy"":323,""t"":2077},{""x"":292,""y"":604,""dx"":-199,""dy"":323,""t"":2112},{""x"":289,""y"":605,""dx"":-202,""dy"":324,""t"":2146},{""x"":285,""y"":605,""dx"":-206,""dy"":324,""t"":2178},{""x"":280,""y"":600,""dx"":-211,""dy"":319,""t"":2213},{""x"":270,""y"":593,""dx"":-221,""dy"":312,""t"":2247},{""x"":261,""y"":589,""dx"":-230,""dy"":308,""t"":2282},{""x"":251,""y"":586,""dx"":-240,""dy"":305,""t"":2317},{""x"":247,""y"":581,""dx"":-244,""dy"":300,""t"":2350},{""x"":247,""y"":581,""dx"":-244,""dy"":300,""t"":2384},{""x"":265,""y"":589,""dx"":-226,""dy"":308,""t"":2419},{""x"":261,""y"":580,""dx"":-230,""dy"":299,""t"":2452},{""x"":239,""y"":603,""dx"":-252,""dy"":322,""t"":2485},{""x"":263,""y"":571,""dx"":-228,""dy"":290,""t"":2520},{""x"":291,""y"":535,""dx"":-200,""dy"":254,""t"":2552},{""x"":279,""y"":572,""dx"":-212,""dy"":291,""t"":2588},{""x"":274,""y"":572,""dx"":-217,""dy"":291,""t"":2621},{""x"":262,""y"":590,""dx"":-229,""dy"":309,""t"":2657},{""x"":266,""y"":579,""dx"":-225,""dy"":298,""t"":2690},{""x"":242,""y"":613,""dx"":-249,""dy"":332,""t"":2724},{""x"":245,""y"":623,""dx"":-246,""dy"":342,""t"":2758},{""x"":233,""y"":626,""dx"":-258,""dy"":345,""t"":2792},{""x"":235,""y"":633,""dx"":-256,""dy"":352,""t"":2826},{""x"":240,""y"":633,""dx"":-251,""dy"":352,""t"":2859},{""x"":259,""y"":652,""dx"":-232,""dy"":371,""t"":2894},{""x"":263,""y"":617,""dx"":-228,""dy"":336,""t"":2928},{""x"":272,""y"":629,""dx"":-219,""dy"":348,""t"":2962}],[{""x"":1687,""y"":476,""dx"":236,""dy"":195,""t"":4015},{""x"":1683,""y"":472,""dx"":232,""dy"":191,""t"":4049},{""x"":1645,""y"":473,""dx"":194,""dy"":192,""t"":4084},{""x"":1636,""y"":465,""dx"":185,""dy"":184,""t"":4118},{""x"":1626,""y"":457,""dx"":175,""dy"":176,""t"":4150},{""x"":1593,""y"":459,""dx"":142,""dy"":178,""t"":4186},{""x"":1543,""y"":471,""dx"":92,""dy"":190,""t"":4220},{""x"":1517,""y"":487,""dx"":66,""dy"":206,""t"":4253},{""x"":1471,""y"":500,""dx"":20,""dy"":219,""t"":4288},{""x"":1455,""y"":499,""dx"":4,""dy"":218,""t"":4322},{""x"":1479,""y"":477,""dx"":28,""dy"":196,""t"":4356},{""x"":1421,""y"":531,""dx"":-30,""dy"":250,""t"":4390},{""x"":1458,""y"":508,""dx"":7,""dy"":227,""t"":4424},{""x"":1464,""y"":494,""dx"":13,""dy"":213,""t"":4458},{""x"":1475,""y"":474,""dx"":24,""dy"":193,""t"":4492},{""x"":1484,""y"":457,""dx"":33,""dy"":176,""t"":4523},{""x"":1447,""y"":465,""dx"":-4,""dy"":184,""t"":4560},{""x"":1474,""y"":458,""dx"":23,""dy"":177,""t"":4595},{""x"":1503,""y"":460,""dx"":52,""dy"":179,""t"":4628},{""x"":1440,""y"":475,""dx"":-11,""dy"":194,""t"":4662},{""x"":1416,""y"":476,""dx"":-35,""dy"":195,""t"":4695},{""x"":1414,""y"":529,""dx"":-37,""dy"":248,""t"":4730},{""x"":1375,""y"":536,""dx"":-76,""dy"":255,""t"":4763},{""x"":1354,""y"":544,""dx"":-97,""dy"":263,""t"":4798},{""x"":1356,""y"":545,""dx"":-95,""dy"":264,""t"":4833},{""x"":1367,""y"":540,""dx"":-84,""dy"":259,""t"":4866},{""x"":1382,""y"":527,""dx"":-69,""dy"":246,""t"":4900},{""x"":1368,""y"":516,""dx"":-83,""dy"":235,""t"":4934},{""x"":1358,""y"":506,""dx"":-93,""dy"":225,""t"":4967},{""x"":1363,""y"":497,""dx"":-88,""dy"":216,""t"":5002},{""x"":1374,""y"":498,""dx"":-77,""dy"":217,""t"":5036},{""x"":1371,""y"":494,""dx"":-80,""dy"":213,""t"":5070},{""x"":1390,""y"":499,""dx"":-61,""dy"":218,""t"":5103},{""x"":1406,""y"":549,""dx"":-45,""dy"":268,""t"":5138},{""x"":1403,""y"":537,""dx"":-48,""dy"":256,""t"":5172},{""x"":1407,""y"":526,""dx"":-44,""dy"":245,""t"":5205},{""x"":1406,""y"":532,""dx"":-45,""dy"":251,""t"":5240},{""x"":1411,""y"":528,""dx"":-40,""dy"":247,""t"":5275},{""x"":1411,""y"":532,""dx"":-40,""dy"":251,""t"":5309},{""x"":1394,""y"":525,""dx"":-57,""dy"":244,""t"":5342},{""x"":1400,""y"":520,""dx"":-51,""dy"":239,""t"":5376},{""x"":1397,""y"":519,""dx"":-54,""dy"":238,""t"":5410},{""x"":1401,""y"":507,""dx"":-50,""dy"":226,""t"":5444},{""x"":1403,""y"":505,""dx"":-48,""dy"":224,""t"":5477},{""x"":1423,""y"":503,""dx"":-28,""dy"":222,""t"":5511},{""x"":1411,""y"":504,""dx"":-40,""dy"":223,""t"":5546},{""x"":1402,""y"":555,""dx"":-49,""dy"":274,""t"":5579},{""x"":1423,""y"":543,""dx"":-28,""dy"":262,""t"":5613},{""x"":1432,""y"":518,""dx"":-19,""dy"":237,""t"":5648},{""x"":1414,""y"":555,""dx"":-37,""dy"":274,""t"":5682},{""x"":1453,""y"":537,""dx"":2,""dy"":256,""t"":5716},{""x"":1486,""y"":521,""dx"":35,""dy"":240,""t"":5747},{""x"":1484,""y"":512,""dx"":33,""dy"":231,""t"":5785},{""x"":1496,""y"":490,""dx"":45,""dy"":209,""t"":5817},{""x"":1507,""y"":474,""dx"":56,""dy"":193,""t"":5851},{""x"":1505,""y"":469,""dx"":54,""dy"":188,""t"":5886},{""x"":1474,""y"":506,""dx"":23,""dy"":225,""t"":5920},{""x"":1456,""y"":513,""dx"":5,""dy"":232,""t"":5954},{""x"":1450,""y"":511,""dx"":-1,""dy"":230,""t"":5987}],[{""x"":865,""y"":837,""dx"":-106,""dy"":286,""t"":7008},{""x"":869,""y"":844,""dx"":-102,""dy"":293,""t"":7042},{""x"":869,""y"":852,""dx"":-102,""dy"":301,""t"":7075},{""x"":876,""y"":838,""dx"":-95,""dy"":287,""t"":7109},{""x"":896,""y"":846,""dx"":-75,""dy"":295,""t"":7144},{""x"":913,""y"":844,""dx"":-58,""dy"":293,""t"":7178},{""x"":938,""y"":825,""dx"":-33,""dy"":274,""t"":7212},{""x"":959,""y"":827,""dx"":-12,""dy"":276,""t"":7246},{""x"":978,""y"":824,""dx"":7,""dy"":273,""t"":7280},{""x"":993,""y"":822,""dx"":22,""dy"":271,""t"":7311},{""x"":1010,""y"":815,""dx"":39,""dy"":264,""t"":7347},{""x"":1010,""y"":823,""dx"":39,""dy"":272,""t"":7382},{""x"":998,""y"":831,""dx"":27,""dy"":280,""t"":7416},{""x"":977,""y"":816,""dx"":6,""dy"":265,""t"":7449},{""x"":947,""y"":804,""dx"":-24,""dy"":253,""t"":7484},{""x"":942,""y"":786,""dx"":-29,""dy"":235,""t"":7518},{""x"":874,""y"":780,""dx"":-97,""dy"":229,""t"":7552},{""x"":868,""y"":775,""dx"":-103,""dy"":224,""t"":7586},{""x"":855,""y"":783,""dx"":-116,""dy"":232,""t"":7620},{""x"":898,""y"":757,""dx"":-73,""dy"":206,""t"":7655},{""x"":924,""y"":732,""dx"":-47,""dy"":181,""t"":7688},{""x"":965,""y"":722,""dx"":-6,""dy"":171,""t"":7720},{""x"":952,""y"":700,""dx"":-19,""dy"":149,""t"":7756},{""x"":942,""y"":725,""dx"":-29,""dy"":174,""t"":7790},{""x"":924,""y"":746,""dx"":-47,""dy"":195,""t"":7824},{""x"":917,""y"":764,""dx"":-54,""dy"":213,""t"":7858},{""x"":928,""y"":755,""dx"":-43,""dy"":204,""t"":7893},{""x"":888,""y"":771,""dx"":-83,""dy"":220,""t"":7927},{""x"":866,""y"":783,""dx"":-105,""dy"":232,""t"":7960},{""x"":839,""y"":724,""dx"":-132,""dy"":173,""t"":7994},{""x"":855,""y"":689,""dx"":-116,""dy"":138,""t"":8028},{""x"":900,""y"":693,""dx"":-71,""dy"":142,""t"":8063},{""x"":950,""y"":657,""dx"":-21,""dy"":106,""t"":8096},{""x"":995,""y"":679,""dx"":24,""dy"":128,""t"":8129},{""x"":1032,""y"":660,""dx"":61,""dy"":109,""t"":8163},{""x"":1048,""y"":635,""dx"":77,""dy"":84,""t"":8197},{""x"":1060,""y"":616,""dx"":89,""dy"":65,""t"":8231},{""x"":999,""y"":594,""dx"":28,""dy"":43,""t"":8266},{""x"":983,""y"":589,""dx"":12,""dy"":38,""t"":8300},{""x"":968,""y"":576,""dx"":-3,""dy"":25,""t"":8334},{""x"":968,""y"":570,""dx"":-3,""dy"":19,""t"":8368},{""x"":971,""y"":563,""dx"":0,""dy"":12,""t"":8401},{""x"":979,""y"":563,""dx"":8,""dy"":12,""t"":8435},{""x"":938,""y"":595,""dx"":-33,""dy"":44,""t"":8469},{""x"":943,""y"":585,""dx"":-28,""dy"":34,""t"":8504},{""x"":924,""y"":623,""dx"":-47,""dy"":72,""t"":8538},{""x"":910,""y"":655,""dx"":-61,""dy"":104,""t"":8599},{""x"":899,""y"":683,""dx"":-72,""dy"":132,""t"":8611},{""x"":889,""y"":705,""dx"":-82,""dy"":154,""t"":8640},{""x"":900,""y"":719,""dx"":-71,""dy"":168,""t"":8674},{""x"":932,""y"":700,""dx"":-39,""dy"":149,""t"":8708},{""x"":965,""y"":673,""dx"":-6,""dy"":122,""t"":8743},{""x"":999,""y"":661,""dx"":28,""dy"":110,""t"":8776},{""x"":1000,""y"":645,""dx"":29,""dy"":94,""t"":8810},{""x"":1005,""y"":626,""dx"":34,""dy"":75,""t"":8843},{""x"":1021,""y"":618,""dx"":50,""dy"":67,""t"":8878},{""x"":1010,""y"":648,""dx"":39,""dy"":97,""t"":8911},{""x"":996,""y"":625,""dx"":25,""dy"":74,""t"":8945},{""x"":995,""y"":609,""dx"":24,""dy"":58,""t"":8980},{""x"":997,""y"":597,""dx"":26,""dy"":46,""t"":9013}],[{""x"":498,""y"":757,""dx"":7,""dy"":-64,""t"":10034},{""x"":499,""y"":747,""dx"":8,""dy"":-74,""t"":10067},{""x"":526,""y"":729,""dx"":35,""dy"":-92,""t"":10102},{""x"":503,""y"":741,""dx"":12,""dy"":-80,""t"":10136},{""x"":486,""y"":754,""dx"":-5,""dy"":-67,""t"":10170},{""x"":496,""y"":742,""dx"":5,""dy"":-79,""t"":10204},{""x"":511,""y"":732,""dx"":20,""dy"":-89,""t"":10238},{""x"":516,""y"":722,""dx"":25,""dy"":-99,""t"":10272},{""x"":529,""y"":732,""dx"":38,""dy"":-89,""t"":10306},{""x"":538,""y"":727,""dx"":47,""dy"":-94,""t"":10340},{""x"":553,""y"":720,""dx"":62,""dy"":-101,""t"":10374},{""x"":540,""y"":753,""dx"":49,""dy"":-68,""t"":10409},{""x"":516,""y"":741,""dx"":25,""dy"":-80,""t"":10442},{""x"":559,""y"":737,""dx"":68,""dy"":-84,""t"":10476},{""x"":533,""y"":753,""dx"":42,""dy"":-68,""t"":10510},{""x"":498,""y"":766,""dx"":7,""dy"":-55,""t"":10543},{""x"":522,""y"":746,""dx"":31,""dy"":-75,""t"":10577},{""x"":513,""y"":753,""dx"":22,""dy"":-68,""t"":10612},{""x"":550,""y"":743,""dx"":59,""dy"":-78,""t"":10645},{""x"":478,""y"":768,""dx"":-13,""dy"":-53,""t"":10680},{""x"":509,""y"":747,""dx"":18,""dy"":-74,""t"":10713},{""x"":503,""y"":772,""dx"":12,""dy"":-49,""t"":10748},{""x"":522,""y"":753,""dx"":31,""dy"":-68,""t"":10782},{""x"":523,""y"":760,""dx"":32,""dy"":-61,""t"":10816},{""x"":518,""y"":757,""dx"":27,""dy"":-64,""t"":10849},{""x"":530,""y"":783,""dx"":39,""dy"":-38,""t"":10882},{""x"":546,""y"":763,""dx"":55,""dy"":-58,""t"":10918},{""x"":549,""y"":741,""dx"":58,""dy"":-80,""t"":10952},{""x"":559,""y"":749,""dx"":68,""dy"":-72,""t"":10987},{""x"":543,""y"":772,""dx"":52,""dy"":-49,""t"":11020},{""x"":526,""y"":751,""dx"":35,""dy"":-70,""t"":11054},{""x"":513,""y"":777,""dx"":22,""dy"":-44,""t"":11088},{""x"":521,""y"":795,""dx"":30,""dy"":-26,""t"":11122},{""x"":516,""y"":798,""dx"":25,""dy"":-23,""t"":11156},{""x"":519,""y"":795,""dx"":28,""dy"":-26,""t"":11190},{""x"":520,""y"":820,""dx"":29,""dy"":-1,""t"":11224},{""x"":520,""y"":811,""dx"":29,""dy"":-10,""t"":11258},{""x"":539,""y"":795,""dx"":48,""dy"":-26,""t"":11290},{""x"":525,""y"":815,""dx"":34,""dy"":-6,""t"":11326},{""x"":521,""y"":823,""dx"":30,""dy"":2,""t"":11360},{""x"":532,""y"":824,""dx"":41,""dy"":3,""t"":11394},{""x"":535,""y"":832,""dx"":44,""dy"":11,""t"":11428},{""x"":565,""y"":783,""dx"":74,""dy"":-38,""t"":11462},{""x"":570,""y"":797,""dx"":79,""dy"":-24,""t"":11496},{""x"":537,""y"":806,""dx"":46,""dy"":-15,""t"":11530},{""x"":538,""y"":820,""dx"":47,""dy"":-1,""t"":11563},{""x"":552,""y"":777,""dx"":61,""dy"":-44,""t"":11598},{""x"":547,""y"":791,""dx"":56,""dy"":-30,""t"":11631},{""x"":538,""y"":810,""dx"":47,""dy"":-11,""t"":11666},{""x"":548,""y"":821,""dx"":57,""dy"":0,""t"":11700},{""x"":558,""y"":791,""dx"":67,""dy"":-30,""t"":11735},{""x"":553,""y"":794,""dx"":62,""dy"":-27,""t"":11768},{""x"":561,""y"":766,""dx"":70,""dy"":-55,""t"":11802},{""x"":558,""y"":779,""dx"":67,""dy"":-42,""t"":11836},{""x"":571,""y"":753,""dx"":80,""dy"":-68,""t"":11870},{""x"":560,""y"":758,""dx"":69,""dy"":-63,""t"":11904},{""x"":571,""y"":748,""dx"":80,""dy"":-73,""t"":11938},{""x"":532,""y"":771,""dx"":41,""dy"":-50,""t"":11971},{""x"":552,""y"":754,""dx"":61,""dy"":-67,""t"":12005}],[{""x"":1272,""y"":841,""dx"":-179,""dy"":20,""t"":13026},{""x"":1251,""y"":824,""dx"":-200,""dy"":3,""t"":13060},{""x"":1265,""y"":820,""dx"":-186,""dy"":-1,""t"":13095},{""x"":1248,""y"":811,""dx"":-203,""dy"":-10,""t"":13129},{""x"":1239,""y"":802,""dx"":-212,""dy"":-19,""t"":13162},{""x"":1241,""y"":794,""dx"":-210,""dy"":-27,""t"":13196},{""x"":1247,""y"":798,""dx"":-204,""dy"":-23,""t"":13229},{""x"":1250,""y"":797,""dx"":-201,""dy"":-24,""t"":13263},{""x"":1249,""y"":806,""dx"":-202,""dy"":-15,""t"":13299},{""x"":1268,""y"":807,""dx"":-183,""dy"":-14,""t"":13332},{""x"":1264,""y"":811,""dx"":-187,""dy"":-10,""t"":13366},{""x"":1263,""y"":799,""dx"":-188,""dy"":-22,""t"":13400},{""x"":1258,""y"":786,""dx"":-193,""dy"":-35,""t"":13434},{""x"":1264,""y"":799,""dx"":-187,""dy"":-22,""t"":13467},{""x"":1260,""y"":815,""dx"":-191,""dy"":-6,""t"":13502},{""x"":1257,""y"":811,""dx"":-194,""dy"":-10,""t"":13536},{""x"":1253,""y"":814,""dx"":-198,""dy"":-7,""t"":13570},{""x"":1253,""y"":815,""dx"":-198,""dy"":-6,""t"":13604},{""x"":1239,""y"":812,""dx"":-212,""dy"":-9,""t"":13638},{""x"":1232,""y"":806,""dx"":-219,""dy"":-15,""t"":13672},{""x"":1222,""y"":803,""dx"":-229,""dy"":-18,""t"":13706},{""x"":1215,""y"":807,""dx"":-236,""dy"":-14,""t"":13740},{""x"":1193,""y"":811,""dx"":-258,""dy"":-10,""t"":13774},{""x"":1197,""y"":822,""dx"":-254,""dy"":1,""t"":13807},{""x"":1214,""y"":821,""dx"":-237,""dy"":0,""t"":13842},{""x"":1210,""y"":829,""dx"":-241,""dy"":8,""t"":13875},{""x"":1207,""y"":836,""dx"":-244,""dy"":15,""t"":13909},{""x"":1192,""y"":841,""dx"":-259,""dy"":20,""t"":13944},{""x"":1190,""y"":845,""dx"":-261,""dy"":24,""t"":13979},{""x"":1188,""y"":839,""dx"":-263,""dy"":18,""t"":14012},{""x"":1199,""y"":839,""dx"":-252,""dy"":18,""t"":14045},{""x"":1200,""y"":837,""dx"":-251,""dy"":16,""t"":14079},{""x"":1197,""y"":845,""dx"":-254,""dy"":24,""t"":14113},{""x"":1195,""y"":845,""dx"":-256,""dy"":24,""t"":14148},{""x"":1192,""y"":844,""dx"":-259,""dy"":23,""t"":14182},{""x"":1186,""y"":845,""dx"":-265,""dy"":24,""t"":14216},{""x"":1190,""y"":846,""dx"":-261,""dy"":25,""t"":14250},{""x"":1188,""y"":848,""dx"":-263,""dy"":27,""t"":14285},{""x"":1188,""y"":858,""dx"":-263,""dy"":37,""t"":14317},{""x"":1180,""y"":877,""dx"":-271,""dy"":56,""t"":14351},{""x"":1203,""y"":864,""dx"":-248,""dy"":43,""t"":14387},{""x"":1222,""y"":851,""dx"":-229,""dy"":30,""t"":14417},{""x"":1222,""y"":849,""dx"":-229,""dy"":28,""t"":14453},{""x"":1251,""y"":828,""dx"":-200,""dy"":7,""t"":14488},{""x"":1273,""y"":814,""dx"":-178,""dy"":-7,""t"":14522},{""x"":1235,""y"":824,""dx"":-216,""dy"":3,""t"":14556},{""x"":1219,""y"":842,""dx"":-232,""dy"":21,""t"":14590},{""x"":1195,""y"":854,""dx"":-256,""dy"":33,""t"":14624},{""x"":1179,""y"":859,""dx"":-272,""dy"":38,""t"":14659},{""x"":1178,""y"":861,""dx"":-273,""dy"":40,""t"":14692},{""x"":1177,""y"":858,""dx"":-274,""dy"":37,""t"":14725},{""x"":1154,""y"":841,""dx"":-297,""dy"":20,""t"":14760},{""x"":1174,""y"":842,""dx"":-277,""dy"":21,""t"":14794},{""x"":1193,""y"":842,""dx"":-258,""dy"":21,""t"":14826},{""x"":1165,""y"":842,""dx"":-286,""dy"":21,""t"":14862},{""x"":1192,""y"":816,""dx"":-259,""dy"":-5,""t"":14896},{""x"":1187,""y"":817,""dx"":-264,""dy"":-4,""t"":14930},{""x"":1175,""y"":821,""dx"":-276,""dy"":0,""t"":14963},{""x"":1137,""y"":826,""dx"":-314,""dy"":5,""t"":14998},{""x"":1178,""y"":820,""dx"":-273,""dy"":-1,""t"":15033}]]","[0,15.254237288135593,56.666666666666664,100,20]","[{""x"":-242.32203389830508,""y"":322.76271186440675,""r"":40.621118469685655},{""x"":0.5932203389830508,""y"":223.33898305084745,""r"":53.91778775903642},{""x"":-25.816666666666666,""y"":162.36666666666667,""r"":158.3866566966901},{""x"":40.59322033898305,""y"":-51.25423728813559,""r"":33.8014081221043},{""x"":-235.58333333333334,""y"":6.95,""r"":53.484318933473084}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
"","html-button-response","10","50367","0.0-5.0-4.0-0.0-0.0","","","","","804","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","60951","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","62071","0.0-5.0-4.0-0.0-2.0","","","","","1120","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
