"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","3113","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3119","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7683","0.0-2.0-0.0","","","","","4562","{""name"":""张梦洋"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","11083","0.0-2.0-1.0","","","","","3399","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","12427","0.0-3.0","","","","","1342"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","17352","0.0-4.0","","","","","","","","","9","","","","","","","","","","","","","","","",""
"","html-button-response","6","18146","0.0-5.0-0.0","","","","","793","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","28607","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","30410","0.0-5.0-2.0","","","","","1803","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","47442","0.0-5.0-3.0","","","","","","","","","","[[{""x"":472,""y"":227,""dx"":-19,""dy"":-54,""t"":989},{""x"":469,""y"":244,""dx"":-22,""dy"":-37,""t"":1024},{""x"":461,""y"":244,""dx"":-30,""dy"":-37,""t"":1058},{""x"":459,""y"":248,""dx"":-32,""dy"":-33,""t"":1091},{""x"":457,""y"":247,""dx"":-34,""dy"":-34,""t"":1126},{""x"":473,""y"":247,""dx"":-18,""dy"":-34,""t"":1160},{""x"":473,""y"":260,""dx"":-18,""dy"":-21,""t"":1194},{""x"":469,""y"":266,""dx"":-22,""dy"":-15,""t"":1227},{""x"":463,""y"":271,""dx"":-28,""dy"":-10,""t"":1261},{""x"":437,""y"":295,""dx"":-54,""dy"":14,""t"":1293},{""x"":419,""y"":312,""dx"":-72,""dy"":31,""t"":1330},{""x"":417,""y"":324,""dx"":-74,""dy"":43,""t"":1364},{""x"":434,""y"":345,""dx"":-57,""dy"":64,""t"":1398},{""x"":459,""y"":361,""dx"":-32,""dy"":80,""t"":1433},{""x"":459,""y"":365,""dx"":-32,""dy"":84,""t"":1465},{""x"":457,""y"":349,""dx"":-34,""dy"":68,""t"":1500},{""x"":458,""y"":331,""dx"":-33,""dy"":50,""t"":1534},{""x"":436,""y"":342,""dx"":-55,""dy"":61,""t"":1568},{""x"":430,""y"":353,""dx"":-61,""dy"":72,""t"":1602},{""x"":443,""y"":337,""dx"":-48,""dy"":56,""t"":1635},{""x"":438,""y"":331,""dx"":-53,""dy"":50,""t"":1670},{""x"":427,""y"":337,""dx"":-64,""dy"":56,""t"":1704},{""x"":441,""y"":350,""dx"":-50,""dy"":69,""t"":1738},{""x"":433,""y"":372,""dx"":-58,""dy"":91,""t"":1772},{""x"":432,""y"":392,""dx"":-59,""dy"":111,""t"":1806},{""x"":441,""y"":418,""dx"":-50,""dy"":137,""t"":1841},{""x"":461,""y"":400,""dx"":-30,""dy"":119,""t"":1874},{""x"":478,""y"":394,""dx"":-13,""dy"":113,""t"":1908},{""x"":495,""y"":393,""dx"":4,""dy"":112,""t"":1942},{""x"":503,""y"":387,""dx"":12,""dy"":106,""t"":1977},{""x"":501,""y"":392,""dx"":10,""dy"":111,""t"":2009},{""x"":504,""y"":389,""dx"":13,""dy"":108,""t"":2044},{""x"":509,""y"":381,""dx"":18,""dy"":100,""t"":2078},{""x"":505,""y"":364,""dx"":14,""dy"":83,""t"":2112},{""x"":498,""y"":356,""dx"":7,""dy"":75,""t"":2145},{""x"":469,""y"":352,""dx"":-22,""dy"":71,""t"":2180},{""x"":473,""y"":335,""dx"":-18,""dy"":54,""t"":2214},{""x"":511,""y"":340,""dx"":20,""dy"":59,""t"":2248},{""x"":513,""y"":327,""dx"":22,""dy"":46,""t"":2282},{""x"":503,""y"":322,""dx"":12,""dy"":41,""t"":2316},{""x"":489,""y"":351,""dx"":-2,""dy"":70,""t"":2350},{""x"":497,""y"":351,""dx"":6,""dy"":70,""t"":2384},{""x"":499,""y"":358,""dx"":8,""dy"":77,""t"":2419},{""x"":505,""y"":383,""dx"":14,""dy"":102,""t"":2452},{""x"":519,""y"":377,""dx"":28,""dy"":96,""t"":2487},{""x"":528,""y"":384,""dx"":37,""dy"":103,""t"":2520},{""x"":534,""y"":349,""dx"":43,""dy"":68,""t"":2554},{""x"":531,""y"":322,""dx"":40,""dy"":41,""t"":2587},{""x"":658,""y"":316,""dx"":167,""dy"":35,""t"":2621},{""x"":881,""y"":302,""dx"":390,""dy"":21,""t"":2656},{""x"":1071,""y"":292,""dx"":580,""dy"":11,""t"":2690},{""x"":1233,""y"":271,""dx"":742,""dy"":-10,""t"":2724},{""x"":1365,""y"":229,""dx"":874,""dy"":-52,""t"":2758},{""x"":1442,""y"":201,""dx"":951,""dy"":-80,""t"":2792},{""x"":1528,""y"":177,""dx"":1037,""dy"":-104,""t"":2825},{""x"":1584,""y"":166,""dx"":1093,""dy"":-115,""t"":2860},{""x"":1621,""y"":158,""dx"":1130,""dy"":-123,""t"":2891},{""x"":1634,""y"":144,""dx"":1143,""dy"":-137,""t"":2929},{""x"":1647,""y"":152,""dx"":1156,""dy"":-129,""t"":2962},{""x"":1629,""y"":150,""dx"":1138,""dy"":-131,""t"":2996}],[{""x"":1488,""y"":306,""dx"":37,""dy"":25,""t"":4016},{""x"":1511,""y"":305,""dx"":60,""dy"":24,""t"":4050},{""x"":1515,""y"":299,""dx"":64,""dy"":18,""t"":4085},{""x"":1530,""y"":294,""dx"":79,""dy"":13,""t"":4119},{""x"":1539,""y"":295,""dx"":88,""dy"":14,""t"":4151},{""x"":1550,""y"":314,""dx"":99,""dy"":33,""t"":4187},{""x"":1544,""y"":318,""dx"":93,""dy"":37,""t"":4219},{""x"":1561,""y"":314,""dx"":110,""dy"":33,""t"":4254},{""x"":1547,""y"":308,""dx"":96,""dy"":27,""t"":4288},{""x"":1514,""y"":293,""dx"":63,""dy"":12,""t"":4322},{""x"":1490,""y"":292,""dx"":39,""dy"":11,""t"":4356},{""x"":1467,""y"":278,""dx"":16,""dy"":-3,""t"":4390},{""x"":1441,""y"":280,""dx"":-10,""dy"":-1,""t"":4424},{""x"":1420,""y"":281,""dx"":-31,""dy"":0,""t"":4455},{""x"":1408,""y"":271,""dx"":-43,""dy"":-10,""t"":4491},{""x"":1416,""y"":269,""dx"":-35,""dy"":-12,""t"":4527},{""x"":1416,""y"":262,""dx"":-35,""dy"":-19,""t"":4561},{""x"":1413,""y"":256,""dx"":-38,""dy"":-25,""t"":4594},{""x"":1408,""y"":256,""dx"":-43,""dy"":-25,""t"":4628},{""x"":1435,""y"":262,""dx"":-16,""dy"":-19,""t"":4662},{""x"":1442,""y"":266,""dx"":-9,""dy"":-15,""t"":4696},{""x"":1443,""y"":276,""dx"":-8,""dy"":-5,""t"":4731},{""x"":1447,""y"":267,""dx"":-4,""dy"":-14,""t"":4764},{""x"":1444,""y"":272,""dx"":-7,""dy"":-9,""t"":4797},{""x"":1445,""y"":282,""dx"":-6,""dy"":1,""t"":4831},{""x"":1445,""y"":291,""dx"":-6,""dy"":10,""t"":4864},{""x"":1464,""y"":289,""dx"":13,""dy"":8,""t"":4899},{""x"":1467,""y"":293,""dx"":16,""dy"":12,""t"":4934},{""x"":1488,""y"":296,""dx"":37,""dy"":15,""t"":4968},{""x"":1492,""y"":280,""dx"":41,""dy"":-1,""t"":5001},{""x"":1465,""y"":289,""dx"":14,""dy"":8,""t"":5035},{""x"":1466,""y"":280,""dx"":15,""dy"":-1,""t"":5071},{""x"":1462,""y"":280,""dx"":11,""dy"":-1,""t"":5104},{""x"":1456,""y"":285,""dx"":5,""dy"":4,""t"":5138},{""x"":1476,""y"":265,""dx"":25,""dy"":-16,""t"":5172},{""x"":1505,""y"":256,""dx"":54,""dy"":-25,""t"":5206},{""x"":1519,""y"":266,""dx"":68,""dy"":-15,""t"":5241},{""x"":1508,""y"":264,""dx"":57,""dy"":-17,""t"":5274},{""x"":1524,""y"":280,""dx"":73,""dy"":-1,""t"":5307},{""x"":1533,""y"":277,""dx"":82,""dy"":-4,""t"":5342},{""x"":1541,""y"":294,""dx"":90,""dy"":13,""t"":5376},{""x"":1542,""y"":303,""dx"":91,""dy"":22,""t"":5410},{""x"":1537,""y"":311,""dx"":86,""dy"":30,""t"":5443},{""x"":1529,""y"":310,""dx"":78,""dy"":29,""t"":5478},{""x"":1537,""y"":316,""dx"":86,""dy"":35,""t"":5512},{""x"":1534,""y"":316,""dx"":83,""dy"":35,""t"":5546},{""x"":1515,""y"":331,""dx"":64,""dy"":50,""t"":5580},{""x"":1515,""y"":313,""dx"":64,""dy"":32,""t"":5614},{""x"":1525,""y"":315,""dx"":74,""dy"":34,""t"":5648},{""x"":1502,""y"":317,""dx"":51,""dy"":36,""t"":5682},{""x"":1497,""y"":313,""dx"":46,""dy"":32,""t"":5716},{""x"":1496,""y"":310,""dx"":45,""dy"":29,""t"":5750},{""x"":1481,""y"":316,""dx"":30,""dy"":35,""t"":5784},{""x"":1475,""y"":312,""dx"":24,""dy"":31,""t"":5818},{""x"":1464,""y"":319,""dx"":13,""dy"":38,""t"":5852},{""x"":1448,""y"":304,""dx"":-3,""dy"":23,""t"":5887},{""x"":1438,""y"":309,""dx"":-13,""dy"":28,""t"":5919},{""x"":1476,""y"":321,""dx"":25,""dy"":40,""t"":5954},{""x"":1508,""y"":326,""dx"":57,""dy"":45,""t"":5987}],[{""x"":774,""y"":519,""dx"":-197,""dy"":-32,""t"":7007},{""x"":782,""y"":515,""dx"":-189,""dy"":-36,""t"":7042},{""x"":788,""y"":509,""dx"":-183,""dy"":-42,""t"":7075},{""x"":808,""y"":507,""dx"":-163,""dy"":-44,""t"":7110},{""x"":796,""y"":479,""dx"":-175,""dy"":-72,""t"":7144},{""x"":787,""y"":505,""dx"":-184,""dy"":-46,""t"":7178},{""x"":778,""y"":514,""dx"":-193,""dy"":-37,""t"":7211},{""x"":804,""y"":520,""dx"":-167,""dy"":-31,""t"":7246},{""x"":817,""y"":512,""dx"":-154,""dy"":-39,""t"":7280},{""x"":829,""y"":491,""dx"":-142,""dy"":-60,""t"":7314},{""x"":852,""y"":508,""dx"":-119,""dy"":-43,""t"":7347},{""x"":874,""y"":523,""dx"":-97,""dy"":-28,""t"":7381},{""x"":886,""y"":534,""dx"":-85,""dy"":-17,""t"":7416},{""x"":894,""y"":518,""dx"":-77,""dy"":-33,""t"":7450},{""x"":903,""y"":505,""dx"":-68,""dy"":-46,""t"":7484},{""x"":910,""y"":507,""dx"":-61,""dy"":-44,""t"":7518},{""x"":922,""y"":509,""dx"":-49,""dy"":-42,""t"":7552},{""x"":913,""y"":494,""dx"":-58,""dy"":-57,""t"":7586},{""x"":919,""y"":496,""dx"":-52,""dy"":-55,""t"":7620},{""x"":899,""y"":483,""dx"":-72,""dy"":-68,""t"":7654},{""x"":885,""y"":474,""dx"":-86,""dy"":-77,""t"":7689},{""x"":871,""y"":485,""dx"":-100,""dy"":-66,""t"":7722},{""x"":871,""y"":491,""dx"":-100,""dy"":-60,""t"":7756},{""x"":864,""y"":500,""dx"":-107,""dy"":-51,""t"":7790},{""x"":863,""y"":510,""dx"":-108,""dy"":-41,""t"":7824},{""x"":837,""y"":539,""dx"":-134,""dy"":-12,""t"":7858},{""x"":861,""y"":548,""dx"":-110,""dy"":-3,""t"":7891},{""x"":849,""y"":546,""dx"":-122,""dy"":-5,""t"":7927},{""x"":842,""y"":528,""dx"":-129,""dy"":-23,""t"":7960},{""x"":851,""y"":539,""dx"":-120,""dy"":-12,""t"":7994},{""x"":862,""y"":527,""dx"":-109,""dy"":-24,""t"":8026},{""x"":861,""y"":526,""dx"":-110,""dy"":-25,""t"":8061},{""x"":854,""y"":512,""dx"":-117,""dy"":-39,""t"":8096},{""x"":870,""y"":509,""dx"":-101,""dy"":-42,""t"":8130},{""x"":876,""y"":508,""dx"":-95,""dy"":-43,""t"":8164},{""x"":874,""y"":499,""dx"":-97,""dy"":-52,""t"":8198},{""x"":874,""y"":480,""dx"":-97,""dy"":-71,""t"":8233},{""x"":850,""y"":486,""dx"":-121,""dy"":-65,""t"":8266},{""x"":836,""y"":460,""dx"":-135,""dy"":-91,""t"":8300},{""x"":840,""y"":476,""dx"":-131,""dy"":-75,""t"":8333},{""x"":837,""y"":459,""dx"":-134,""dy"":-92,""t"":8369},{""x"":825,""y"":469,""dx"":-146,""dy"":-82,""t"":8401},{""x"":828,""y"":449,""dx"":-143,""dy"":-102,""t"":8434},{""x"":851,""y"":444,""dx"":-120,""dy"":-107,""t"":8470},{""x"":845,""y"":457,""dx"":-126,""dy"":-94,""t"":8504},{""x"":863,""y"":462,""dx"":-108,""dy"":-89,""t"":8538},{""x"":855,""y"":466,""dx"":-116,""dy"":-85,""t"":8572},{""x"":876,""y"":457,""dx"":-95,""dy"":-94,""t"":8606},{""x"":888,""y"":472,""dx"":-83,""dy"":-79,""t"":8640},{""x"":887,""y"":487,""dx"":-84,""dy"":-64,""t"":8674},{""x"":877,""y"":475,""dx"":-94,""dy"":-76,""t"":8708},{""x"":828,""y"":475,""dx"":-143,""dy"":-76,""t"":8741},{""x"":843,""y"":483,""dx"":-128,""dy"":-68,""t"":8776},{""x"":836,""y"":492,""dx"":-135,""dy"":-59,""t"":8811},{""x"":860,""y"":511,""dx"":-111,""dy"":-40,""t"":8844},{""x"":857,""y"":519,""dx"":-114,""dy"":-32,""t"":8878},{""x"":870,""y"":519,""dx"":-101,""dy"":-32,""t"":8912},{""x"":895,""y"":529,""dx"":-76,""dy"":-22,""t"":8946},{""x"":898,""y"":516,""dx"":-73,""dy"":-35,""t"":8980},{""x"":913,""y"":531,""dx"":-58,""dy"":-20,""t"":9014}],[{""x"":537,""y"":769,""dx"":46,""dy"":-52,""t"":10031},{""x"":544,""y"":759,""dx"":53,""dy"":-62,""t"":10067},{""x"":549,""y"":761,""dx"":58,""dy"":-60,""t"":10102},{""x"":556,""y"":761,""dx"":65,""dy"":-60,""t"":10136},{""x"":568,""y"":789,""dx"":77,""dy"":-32,""t"":10170},{""x"":574,""y"":777,""dx"":83,""dy"":-44,""t"":10203},{""x"":574,""y"":768,""dx"":83,""dy"":-53,""t"":10238},{""x"":577,""y"":766,""dx"":86,""dy"":-55,""t"":10271},{""x"":578,""y"":764,""dx"":87,""dy"":-57,""t"":10306},{""x"":577,""y"":774,""dx"":86,""dy"":-47,""t"":10340},{""x"":585,""y"":773,""dx"":94,""dy"":-48,""t"":10374},{""x"":580,""y"":768,""dx"":89,""dy"":-53,""t"":10408},{""x"":581,""y"":778,""dx"":90,""dy"":-43,""t"":10442},{""x"":571,""y"":785,""dx"":80,""dy"":-36,""t"":10476},{""x"":568,""y"":802,""dx"":77,""dy"":-19,""t"":10510},{""x"":570,""y"":805,""dx"":79,""dy"":-16,""t"":10544},{""x"":576,""y"":807,""dx"":85,""dy"":-14,""t"":10577},{""x"":575,""y"":812,""dx"":84,""dy"":-9,""t"":10612},{""x"":572,""y"":815,""dx"":81,""dy"":-6,""t"":10646},{""x"":567,""y"":814,""dx"":76,""dy"":-7,""t"":10680},{""x"":563,""y"":816,""dx"":72,""dy"":-5,""t"":10714},{""x"":562,""y"":820,""dx"":71,""dy"":-1,""t"":10748},{""x"":562,""y"":817,""dx"":71,""dy"":-4,""t"":10782},{""x"":564,""y"":815,""dx"":73,""dy"":-6,""t"":10816},{""x"":565,""y"":807,""dx"":74,""dy"":-14,""t"":10850},{""x"":568,""y"":812,""dx"":77,""dy"":-9,""t"":10884},{""x"":569,""y"":811,""dx"":78,""dy"":-10,""t"":10919},{""x"":567,""y"":801,""dx"":76,""dy"":-20,""t"":10952},{""x"":556,""y"":813,""dx"":65,""dy"":-8,""t"":10986},{""x"":563,""y"":830,""dx"":72,""dy"":9,""t"":11020},{""x"":549,""y"":832,""dx"":58,""dy"":11,""t"":11054},{""x"":542,""y"":833,""dx"":51,""dy"":12,""t"":11089},{""x"":540,""y"":852,""dx"":49,""dy"":31,""t"":11122},{""x"":545,""y"":865,""dx"":54,""dy"":44,""t"":11155},{""x"":545,""y"":869,""dx"":54,""dy"":48,""t"":11191},{""x"":545,""y"":872,""dx"":54,""dy"":51,""t"":11222},{""x"":556,""y"":868,""dx"":65,""dy"":47,""t"":11258},{""x"":562,""y"":872,""dx"":71,""dy"":51,""t"":11292},{""x"":558,""y"":862,""dx"":67,""dy"":41,""t"":11326},{""x"":562,""y"":870,""dx"":71,""dy"":49,""t"":11360},{""x"":558,""y"":874,""dx"":67,""dy"":53,""t"":11393},{""x"":556,""y"":881,""dx"":65,""dy"":60,""t"":11428},{""x"":539,""y"":865,""dx"":48,""dy"":44,""t"":11462},{""x"":536,""y"":849,""dx"":45,""dy"":28,""t"":11495},{""x"":537,""y"":851,""dx"":46,""dy"":30,""t"":11529},{""x"":552,""y"":844,""dx"":61,""dy"":23,""t"":11564},{""x"":565,""y"":837,""dx"":74,""dy"":16,""t"":11595},{""x"":556,""y"":840,""dx"":65,""dy"":19,""t"":11632},{""x"":556,""y"":827,""dx"":65,""dy"":6,""t"":11666},{""x"":560,""y"":836,""dx"":69,""dy"":15,""t"":11700},{""x"":702,""y"":821,""dx"":211,""dy"":0,""t"":11734},{""x"":885,""y"":798,""dx"":394,""dy"":-23,""t"":11768},{""x"":1076,""y"":739,""dx"":585,""dy"":-82,""t"":11802},{""x"":1229,""y"":716,""dx"":738,""dy"":-105,""t"":11835},{""x"":1361,""y"":650,""dx"":870,""dy"":-171,""t"":11870},{""x"":1452,""y"":627,""dx"":961,""dy"":-194,""t"":11904},{""x"":1521,""y"":584,""dx"":1030,""dy"":-237,""t"":11939},{""x"":1568,""y"":567,""dx"":1077,""dy"":-254,""t"":11972},{""x"":1595,""y"":557,""dx"":1104,""dy"":-264,""t"":12006}],[{""x"":1560,""y"":642,""dx"":109,""dy"":-179,""t"":13026},{""x"":1550,""y"":633,""dx"":99,""dy"":-188,""t"":13059},{""x"":1538,""y"":643,""dx"":87,""dy"":-178,""t"":13094},{""x"":1529,""y"":651,""dx"":78,""dy"":-170,""t"":13128},{""x"":1519,""y"":658,""dx"":68,""dy"":-163,""t"":13160},{""x"":1505,""y"":665,""dx"":54,""dy"":-156,""t"":13195},{""x"":1502,""y"":673,""dx"":51,""dy"":-148,""t"":13229},{""x"":1494,""y"":688,""dx"":43,""dy"":-133,""t"":13263},{""x"":1495,""y"":707,""dx"":44,""dy"":-114,""t"":13298},{""x"":1490,""y"":719,""dx"":39,""dy"":-102,""t"":13332},{""x"":1488,""y"":715,""dx"":37,""dy"":-106,""t"":13366},{""x"":1490,""y"":721,""dx"":39,""dy"":-100,""t"":13400},{""x"":1473,""y"":699,""dx"":22,""dy"":-122,""t"":13433},{""x"":1474,""y"":706,""dx"":23,""dy"":-115,""t"":13468},{""x"":1475,""y"":675,""dx"":24,""dy"":-146,""t"":13502},{""x"":1455,""y"":682,""dx"":4,""dy"":-139,""t"":13537},{""x"":1447,""y"":705,""dx"":-4,""dy"":-116,""t"":13568},{""x"":1431,""y"":719,""dx"":-20,""dy"":-102,""t"":13604},{""x"":1434,""y"":733,""dx"":-17,""dy"":-88,""t"":13639},{""x"":1442,""y"":733,""dx"":-9,""dy"":-88,""t"":13672},{""x"":1414,""y"":753,""dx"":-37,""dy"":-68,""t"":13706},{""x"":1417,""y"":763,""dx"":-34,""dy"":-58,""t"":13740},{""x"":1420,""y"":758,""dx"":-31,""dy"":-63,""t"":13774},{""x"":1418,""y"":759,""dx"":-33,""dy"":-62,""t"":13809},{""x"":1429,""y"":767,""dx"":-22,""dy"":-54,""t"":13842},{""x"":1443,""y"":762,""dx"":-8,""dy"":-59,""t"":13876},{""x"":1444,""y"":759,""dx"":-7,""dy"":-62,""t"":13910},{""x"":1459,""y"":749,""dx"":8,""dy"":-72,""t"":13943},{""x"":1470,""y"":744,""dx"":19,""dy"":-77,""t"":13978},{""x"":1439,""y"":694,""dx"":-12,""dy"":-127,""t"":14012},{""x"":1419,""y"":702,""dx"":-32,""dy"":-119,""t"":14046},{""x"":1416,""y"":720,""dx"":-35,""dy"":-101,""t"":14080},{""x"":1437,""y"":726,""dx"":-14,""dy"":-95,""t"":14114},{""x"":1429,""y"":722,""dx"":-22,""dy"":-99,""t"":14148},{""x"":1427,""y"":733,""dx"":-24,""dy"":-88,""t"":14181},{""x"":1428,""y"":734,""dx"":-23,""dy"":-87,""t"":14216},{""x"":1423,""y"":742,""dx"":-28,""dy"":-79,""t"":14250},{""x"":1435,""y"":746,""dx"":-16,""dy"":-75,""t"":14283},{""x"":1424,""y"":767,""dx"":-27,""dy"":-54,""t"":14318},{""x"":1431,""y"":755,""dx"":-20,""dy"":-66,""t"":14352},{""x"":1433,""y"":754,""dx"":-18,""dy"":-67,""t"":14386},{""x"":1427,""y"":757,""dx"":-24,""dy"":-64,""t"":14419},{""x"":1415,""y"":754,""dx"":-36,""dy"":-67,""t"":14454},{""x"":1411,""y"":744,""dx"":-40,""dy"":-77,""t"":14488},{""x"":1407,""y"":764,""dx"":-44,""dy"":-57,""t"":14522},{""x"":1389,""y"":754,""dx"":-62,""dy"":-67,""t"":14555},{""x"":1377,""y"":750,""dx"":-74,""dy"":-71,""t"":14589},{""x"":1372,""y"":740,""dx"":-79,""dy"":-81,""t"":14623},{""x"":1357,""y"":733,""dx"":-94,""dy"":-88,""t"":14658},{""x"":1353,""y"":727,""dx"":-98,""dy"":-94,""t"":14691},{""x"":1340,""y"":735,""dx"":-111,""dy"":-86,""t"":14726},{""x"":1326,""y"":714,""dx"":-125,""dy"":-107,""t"":14759},{""x"":1344,""y"":716,""dx"":-107,""dy"":-105,""t"":14793},{""x"":1328,""y"":702,""dx"":-123,""dy"":-119,""t"":14828},{""x"":1330,""y"":700,""dx"":-121,""dy"":-121,""t"":14862},{""x"":1311,""y"":677,""dx"":-140,""dy"":-144,""t"":14896},{""x"":1303,""y"":656,""dx"":-148,""dy"":-165,""t"":14930},{""x"":1316,""y"":657,""dx"":-135,""dy"":-164,""t"":14963},{""x"":1324,""y"":699,""dx"":-127,""dy"":-122,""t"":14998},{""x"":1367,""y"":714,""dx"":-84,""dy"":-107,""t"":15033}]]","[81.66666666666667,100,100,84.7457627118644,91.66666666666666]","[{""x"":158.58333333333334,""y"":31.216666666666665,""r"":295.21346782063307},{""x"":34.83050847457627,""y"":11.59322033898305,""r"":42.18230362892345},{""x"":-115.03333333333333,""y"":-51.61666666666667,""r"":62.029485502709264},{""x"":177.23728813559322,""y"":-25.28813559322034,""r"":116.51676393091218},{""x"":-23.616666666666667,""y"":-103.18333333333334,""r"":74.35391897260813}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.40","validate","","","","","","","","","",""
"","html-keyboard-response","10","47658","0.0-6.0-0.0","","","","","215"," ","","<p>识别实验（两个刺激物）：每个试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，500毫秒的空白间隔后，会呈现一个两个项目的阵列。</p> <p>实验要求：记忆单个项目，根据其<b>形状（该条件下，颜色为黑色）</b>或者<b>颜色（该条件下，形状为圆且颜色不为黑）</b>，忽略其拓扑特征，在多个项目阵列中快速找到，通过数字键盘的 ""4"",""6"" 响应，不记得或者不存在选择""5"" 。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","48595","0.0-6.0-1.0","","","","","435"," ","","<p>要求：记忆项目的颜色。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","49605","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recognition","[""4"",""5"",""5"",""6"",""5"",""6"",""5"",""6"",""4"",""4"",""5"",""4"",""4"",""6"",""6"",""4"",""5"",""6"",""6"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""6"",""4"",""4"",""5"",""4"",""5"",""6""]","1000","color","2","","","","","",""
"","canvas-keyboard-response","13","49711","0.0-6.0-2.0-1.0","","","","","null","null","","","","","","","","","recognition","[""4"",""5"",""5"",""6"",""5"",""6"",""5"",""6"",""4"",""4"",""5"",""4"",""4"",""6"",""6"",""4"",""5"",""6"",""6"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""6"",""4"",""4"",""5"",""4"",""5"",""6""]","1000","color","2","","","","","",""
"","canvas-keyboard-response","14","51242","0.0-6.0-2.0-2.0","","","","","524","4","","[""green"",""blue""]","","","","","","","","","","","","[{""x"":942,""y"":405,""t"":4},{""x"":953,""y"":460,""t"":41},{""x"":956,""y"":503,""t"":72},{""x"":954,""y"":553,""t"":105},{""x"":951,""y"":558,""t"":140},{""x"":963,""y"":557,""t"":174},{""x"":971,""y"":528,""t"":207},{""x"":955,""y"":510,""t"":242},{""x"":957,""y"":483,""t"":277},{""x"":940,""y"":459,""t"":309},{""x"":935,""y"":442,""t"":343},{""x"":903,""y"":473,""t"":378},{""x"":866,""y"":485,""t"":412},{""x"":801,""y"":471,""t"":446},{""x"":787,""y"":500,""t"":481}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","green_1","4","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]"
"","canvas-keyboard-response","15","52250","0.0-6.0-2.0-0.1","","","","","null","null","","","","","","","","","recognition","[""4"",""5"",""5"",""6"",""5"",""6"",""5"",""6"",""4"",""4"",""5"",""4"",""4"",""6"",""6"",""4"",""5"",""6"",""6"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""6"",""4"",""4"",""5"",""4"",""5"",""6""]","1000","color","2","","","","","",""
"","canvas-keyboard-response","16","52356","0.0-6.0-2.0-1.1","","","","","null","null","","","","","","","","","recognition","[""4"",""5"",""5"",""6"",""5"",""6"",""5"",""6"",""4"",""4"",""5"",""4"",""4"",""6"",""6"",""4"",""5"",""6"",""6"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""6"",""4"",""4"",""5"",""4"",""5"",""6""]","1000","color","2","","","","","",""
