"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","2172","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","4963","0.0-1.0-0.0","2789","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","6643","0.0-1.0-1.0","1679","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","10709","0.0-2.0","","","","2178","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","12147","0.0-3.0-0.0","1436","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","24027","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","24891","0.0-3.0-2.0","864","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","43024","0.0-3.0-3.0","","","","","","[[{""x"":531,""y"":387,""dx"":40,""dy"":106,""t"":990},{""x"":514,""y"":378,""dx"":23,""dy"":97,""t"":1025},{""x"":509,""y"":358,""dx"":18,""dy"":77,""t"":1058},{""x"":517,""y"":325,""dx"":26,""dy"":44,""t"":1092},{""x"":526,""y"":298,""dx"":35,""dy"":17,""t"":1126},{""x"":528,""y"":260,""dx"":37,""dy"":-21,""t"":1159},{""x"":520,""y"":220,""dx"":29,""dy"":-61,""t"":1194},{""x"":533,""y"":269,""dx"":42,""dy"":-12,""t"":1227},{""x"":544,""y"":312,""dx"":53,""dy"":31,""t"":1261},{""x"":547,""y"":335,""dx"":56,""dy"":54,""t"":1296},{""x"":558,""y"":344,""dx"":67,""dy"":63,""t"":1330},{""x"":545,""y"":361,""dx"":54,""dy"":80,""t"":1365},{""x"":536,""y"":367,""dx"":45,""dy"":86,""t"":1399},{""x"":552,""y"":346,""dx"":61,""dy"":65,""t"":1433},{""x"":540,""y"":338,""dx"":49,""dy"":57,""t"":1466},{""x"":515,""y"":363,""dx"":24,""dy"":82,""t"":1500},{""x"":487,""y"":399,""dx"":-4,""dy"":118,""t"":1534},{""x"":494,""y"":415,""dx"":3,""dy"":134,""t"":1568},{""x"":514,""y"":425,""dx"":23,""dy"":144,""t"":1602},{""x"":517,""y"":452,""dx"":26,""dy"":171,""t"":1636},{""x"":519,""y"":473,""dx"":28,""dy"":192,""t"":1667},{""x"":507,""y"":405,""dx"":16,""dy"":124,""t"":1703},{""x"":507,""y"":333,""dx"":16,""dy"":52,""t"":1738},{""x"":504,""y"":270,""dx"":13,""dy"":-11,""t"":1772},{""x"":487,""y"":267,""dx"":-4,""dy"":-14,""t"":1806},{""x"":499,""y"":252,""dx"":8,""dy"":-29,""t"":1840},{""x"":508,""y"":243,""dx"":17,""dy"":-38,""t"":1873},{""x"":494,""y"":273,""dx"":3,""dy"":-8,""t"":1907},{""x"":480,""y"":271,""dx"":-11,""dy"":-10,""t"":1941},{""x"":482,""y"":256,""dx"":-9,""dy"":-25,""t"":1976},{""x"":462,""y"":248,""dx"":-29,""dy"":-33,""t"":2011},{""x"":457,""y"":232,""dx"":-34,""dy"":-49,""t"":2044},{""x"":459,""y"":214,""dx"":-32,""dy"":-67,""t"":2078},{""x"":478,""y"":225,""dx"":-13,""dy"":-56,""t"":2113},{""x"":479,""y"":193,""dx"":-12,""dy"":-88,""t"":2146},{""x"":502,""y"":241,""dx"":11,""dy"":-40,""t"":2179},{""x"":516,""y"":200,""dx"":25,""dy"":-81,""t"":2213},{""x"":552,""y"":230,""dx"":61,""dy"":-51,""t"":2247},{""x"":569,""y"":263,""dx"":78,""dy"":-18,""t"":2282},{""x"":581,""y"":234,""dx"":90,""dy"":-47,""t"":2316},{""x"":566,""y"":219,""dx"":75,""dy"":-62,""t"":2350},{""x"":562,""y"":288,""dx"":71,""dy"":7,""t"":2384},{""x"":574,""y"":304,""dx"":83,""dy"":23,""t"":2418},{""x"":567,""y"":288,""dx"":76,""dy"":7,""t"":2452},{""x"":550,""y"":294,""dx"":59,""dy"":13,""t"":2485},{""x"":549,""y"":285,""dx"":58,""dy"":4,""t"":2520},{""x"":542,""y"":297,""dx"":51,""dy"":16,""t"":2553},{""x"":533,""y"":306,""dx"":42,""dy"":25,""t"":2588},{""x"":543,""y"":296,""dx"":52,""dy"":15,""t"":2621},{""x"":524,""y"":313,""dx"":33,""dy"":32,""t"":2656},{""x"":514,""y"":310,""dx"":23,""dy"":29,""t"":2689},{""x"":502,""y"":292,""dx"":11,""dy"":11,""t"":2724},{""x"":512,""y"":279,""dx"":21,""dy"":-2,""t"":2757},{""x"":535,""y"":270,""dx"":44,""dy"":-11,""t"":2791},{""x"":555,""y"":262,""dx"":64,""dy"":-19,""t"":2823},{""x"":559,""y"":263,""dx"":68,""dy"":-18,""t"":2860},{""x"":548,""y"":272,""dx"":57,""dy"":-9,""t"":2894},{""x"":555,""y"":252,""dx"":64,""dy"":-29,""t"":2928},{""x"":545,""y"":274,""dx"":54,""dy"":-7,""t"":2962}],[{""x"":462,""y"":799,""dx"":-29,""dy"":-22,""t"":4017},{""x"":470,""y"":800,""dx"":-21,""dy"":-21,""t"":4050},{""x"":412,""y"":825,""dx"":-79,""dy"":4,""t"":4084},{""x"":439,""y"":825,""dx"":-52,""dy"":4,""t"":4117},{""x"":444,""y"":836,""dx"":-47,""dy"":15,""t"":4152},{""x"":450,""y"":809,""dx"":-41,""dy"":-12,""t"":4186},{""x"":456,""y"":803,""dx"":-35,""dy"":-18,""t"":4221},{""x"":496,""y"":793,""dx"":5,""dy"":-28,""t"":4254},{""x"":493,""y"":815,""dx"":2,""dy"":-6,""t"":4288},{""x"":494,""y"":810,""dx"":3,""dy"":-11,""t"":4323},{""x"":508,""y"":776,""dx"":17,""dy"":-45,""t"":4357},{""x"":518,""y"":811,""dx"":27,""dy"":-10,""t"":4390},{""x"":528,""y"":867,""dx"":37,""dy"":46,""t"":4424},{""x"":513,""y"":846,""dx"":22,""dy"":25,""t"":4458},{""x"":529,""y"":885,""dx"":38,""dy"":64,""t"":4492},{""x"":529,""y"":896,""dx"":38,""dy"":75,""t"":4527},{""x"":539,""y"":933,""dx"":48,""dy"":112,""t"":4559},{""x"":548,""y"":923,""dx"":57,""dy"":102,""t"":4593},{""x"":546,""y"":930,""dx"":55,""dy"":109,""t"":4628},{""x"":553,""y"":919,""dx"":62,""dy"":98,""t"":4661},{""x"":541,""y"":907,""dx"":50,""dy"":86,""t"":4695},{""x"":514,""y"":863,""dx"":23,""dy"":42,""t"":4730},{""x"":496,""y"":866,""dx"":5,""dy"":45,""t"":4765},{""x"":475,""y"":857,""dx"":-16,""dy"":36,""t"":4798},{""x"":457,""y"":849,""dx"":-34,""dy"":28,""t"":4830},{""x"":468,""y"":863,""dx"":-23,""dy"":42,""t"":4866},{""x"":462,""y"":856,""dx"":-29,""dy"":35,""t"":4900},{""x"":454,""y"":804,""dx"":-37,""dy"":-17,""t"":4934},{""x"":450,""y"":818,""dx"":-41,""dy"":-3,""t"":4968},{""x"":432,""y"":793,""dx"":-59,""dy"":-28,""t"":5003},{""x"":449,""y"":825,""dx"":-42,""dy"":4,""t"":5036},{""x"":437,""y"":811,""dx"":-54,""dy"":-10,""t"":5070},{""x"":443,""y"":832,""dx"":-48,""dy"":11,""t"":5104},{""x"":496,""y"":827,""dx"":5,""dy"":6,""t"":5138},{""x"":495,""y"":832,""dx"":4,""dy"":11,""t"":5172},{""x"":515,""y"":873,""dx"":24,""dy"":52,""t"":5206},{""x"":532,""y"":907,""dx"":41,""dy"":86,""t"":5239},{""x"":544,""y"":929,""dx"":53,""dy"":108,""t"":5274},{""x"":530,""y"":902,""dx"":39,""dy"":81,""t"":5307},{""x"":513,""y"":864,""dx"":22,""dy"":43,""t"":5342},{""x"":494,""y"":859,""dx"":3,""dy"":38,""t"":5375},{""x"":483,""y"":835,""dx"":-8,""dy"":14,""t"":5411},{""x"":491,""y"":807,""dx"":0,""dy"":-14,""t"":5445},{""x"":484,""y"":785,""dx"":-7,""dy"":-36,""t"":5478},{""x"":484,""y"":762,""dx"":-7,""dy"":-59,""t"":5512},{""x"":485,""y"":787,""dx"":-6,""dy"":-34,""t"":5546},{""x"":479,""y"":783,""dx"":-12,""dy"":-38,""t"":5580},{""x"":478,""y"":784,""dx"":-13,""dy"":-37,""t"":5614},{""x"":483,""y"":777,""dx"":-8,""dy"":-44,""t"":5648},{""x"":464,""y"":784,""dx"":-27,""dy"":-37,""t"":5681},{""x"":462,""y"":794,""dx"":-29,""dy"":-27,""t"":5715},{""x"":463,""y"":762,""dx"":-28,""dy"":-59,""t"":5750},{""x"":463,""y"":745,""dx"":-28,""dy"":-76,""t"":5784},{""x"":464,""y"":734,""dx"":-27,""dy"":-87,""t"":5819},{""x"":491,""y"":746,""dx"":0,""dy"":-75,""t"":5851},{""x"":454,""y"":741,""dx"":-37,""dy"":-80,""t"":5886},{""x"":464,""y"":728,""dx"":-27,""dy"":-93,""t"":5920},{""x"":448,""y"":731,""dx"":-43,""dy"":-90,""t"":5955},{""x"":408,""y"":748,""dx"":-83,""dy"":-73,""t"":5988}],[{""x"":1060,""y"":766,""dx"":89,""dy"":215,""t"":7008},{""x"":1054,""y"":758,""dx"":83,""dy"":207,""t"":7041},{""x"":1053,""y"":727,""dx"":82,""dy"":176,""t"":7075},{""x"":1050,""y"":738,""dx"":79,""dy"":187,""t"":7111},{""x"":1024,""y"":726,""dx"":53,""dy"":175,""t"":7143},{""x"":1011,""y"":739,""dx"":40,""dy"":188,""t"":7179},{""x"":1019,""y"":763,""dx"":48,""dy"":212,""t"":7212},{""x"":1025,""y"":772,""dx"":54,""dy"":221,""t"":7245},{""x"":1024,""y"":781,""dx"":53,""dy"":230,""t"":7279},{""x"":1027,""y"":789,""dx"":56,""dy"":238,""t"":7314},{""x"":1038,""y"":809,""dx"":67,""dy"":258,""t"":7349},{""x"":1053,""y"":816,""dx"":82,""dy"":265,""t"":7381},{""x"":1046,""y"":813,""dx"":75,""dy"":262,""t"":7416},{""x"":1058,""y"":837,""dx"":87,""dy"":286,""t"":7450},{""x"":1057,""y"":841,""dx"":86,""dy"":290,""t"":7484},{""x"":1055,""y"":838,""dx"":84,""dy"":287,""t"":7518},{""x"":1048,""y"":839,""dx"":77,""dy"":288,""t"":7552},{""x"":1037,""y"":825,""dx"":66,""dy"":274,""t"":7585},{""x"":1042,""y"":804,""dx"":71,""dy"":253,""t"":7620},{""x"":1030,""y"":798,""dx"":59,""dy"":247,""t"":7653},{""x"":1034,""y"":788,""dx"":63,""dy"":237,""t"":7687},{""x"":1026,""y"":785,""dx"":55,""dy"":234,""t"":7721},{""x"":1016,""y"":795,""dx"":45,""dy"":244,""t"":7757},{""x"":1015,""y"":807,""dx"":44,""dy"":256,""t"":7790},{""x"":1012,""y"":792,""dx"":41,""dy"":241,""t"":7824},{""x"":1010,""y"":803,""dx"":39,""dy"":252,""t"":7858},{""x"":1006,""y"":798,""dx"":35,""dy"":247,""t"":7892},{""x"":1004,""y"":782,""dx"":33,""dy"":231,""t"":7925},{""x"":1004,""y"":765,""dx"":33,""dy"":214,""t"":7959},{""x"":1005,""y"":750,""dx"":34,""dy"":199,""t"":7993},{""x"":1010,""y"":745,""dx"":39,""dy"":194,""t"":8029},{""x"":1016,""y"":728,""dx"":45,""dy"":177,""t"":8062},{""x"":1013,""y"":716,""dx"":42,""dy"":165,""t"":8095},{""x"":1029,""y"":730,""dx"":58,""dy"":179,""t"":8130},{""x"":1043,""y"":742,""dx"":72,""dy"":191,""t"":8165},{""x"":1047,""y"":745,""dx"":76,""dy"":194,""t"":8198},{""x"":1057,""y"":755,""dx"":86,""dy"":204,""t"":8233},{""x"":1036,""y"":766,""dx"":65,""dy"":215,""t"":8265},{""x"":1025,""y"":755,""dx"":54,""dy"":204,""t"":8300},{""x"":1022,""y"":743,""dx"":51,""dy"":192,""t"":8334},{""x"":1024,""y"":697,""dx"":53,""dy"":146,""t"":8368},{""x"":1022,""y"":698,""dx"":51,""dy"":147,""t"":8399},{""x"":1018,""y"":696,""dx"":47,""dy"":145,""t"":8435},{""x"":1014,""y"":692,""dx"":43,""dy"":141,""t"":8470},{""x"":1008,""y"":709,""dx"":37,""dy"":158,""t"":8508},{""x"":1017,""y"":700,""dx"":46,""dy"":149,""t"":8547},{""x"":1013,""y"":691,""dx"":42,""dy"":140,""t"":8575},{""x"":1026,""y"":655,""dx"":55,""dy"":104,""t"":8605},{""x"":1011,""y"":671,""dx"":40,""dy"":120,""t"":8640},{""x"":1011,""y"":674,""dx"":40,""dy"":123,""t"":8675},{""x"":1004,""y"":700,""dx"":33,""dy"":149,""t"":8708},{""x"":1007,""y"":708,""dx"":36,""dy"":157,""t"":8741},{""x"":989,""y"":707,""dx"":18,""dy"":156,""t"":8775},{""x"":991,""y"":704,""dx"":20,""dy"":153,""t"":8811},{""x"":980,""y"":721,""dx"":9,""dy"":170,""t"":8844},{""x"":991,""y"":726,""dx"":20,""dy"":175,""t"":8878},{""x"":1007,""y"":726,""dx"":36,""dy"":175,""t"":8912},{""x"":1009,""y"":717,""dx"":38,""dy"":166,""t"":8946},{""x"":1006,""y"":708,""dx"":35,""dy"":157,""t"":8979},{""x"":1022,""y"":685,""dx"":51,""dy"":134,""t"":9014}],[{""x"":1603,""y"":276,""dx"":152,""dy"":-5,""t"":10033},{""x"":1614,""y"":289,""dx"":163,""dy"":8,""t"":10068},{""x"":1616,""y"":301,""dx"":165,""dy"":20,""t"":10102},{""x"":1608,""y"":324,""dx"":157,""dy"":43,""t"":10135},{""x"":1597,""y"":351,""dx"":146,""dy"":70,""t"":10170},{""x"":1588,""y"":354,""dx"":137,""dy"":73,""t"":10204},{""x"":1586,""y"":354,""dx"":135,""dy"":73,""t"":10238},{""x"":1589,""y"":335,""dx"":138,""dy"":54,""t"":10272},{""x"":1599,""y"":324,""dx"":148,""dy"":43,""t"":10305},{""x"":1607,""y"":314,""dx"":156,""dy"":33,""t"":10339},{""x"":1606,""y"":305,""dx"":155,""dy"":24,""t"":10374},{""x"":1626,""y"":286,""dx"":175,""dy"":5,""t"":10407},{""x"":1651,""y"":290,""dx"":200,""dy"":9,""t"":10442},{""x"":1700,""y"":350,""dx"":249,""dy"":69,""t"":10476},{""x"":1713,""y"":368,""dx"":262,""dy"":87,""t"":10510},{""x"":1682,""y"":377,""dx"":231,""dy"":96,""t"":10544},{""x"":1625,""y"":390,""dx"":174,""dy"":109,""t"":10579},{""x"":1607,""y"":382,""dx"":156,""dy"":101,""t"":10612},{""x"":1598,""y"":374,""dx"":147,""dy"":93,""t"":10646},{""x"":1591,""y"":352,""dx"":140,""dy"":71,""t"":10679},{""x"":1590,""y"":352,""dx"":139,""dy"":71,""t"":10714},{""x"":1605,""y"":358,""dx"":154,""dy"":77,""t"":10748},{""x"":1588,""y"":344,""dx"":137,""dy"":63,""t"":10782},{""x"":1575,""y"":345,""dx"":124,""dy"":64,""t"":10816},{""x"":1544,""y"":335,""dx"":93,""dy"":54,""t"":10850},{""x"":1574,""y"":355,""dx"":123,""dy"":74,""t"":10884},{""x"":1599,""y"":351,""dx"":148,""dy"":70,""t"":10918},{""x"":1613,""y"":365,""dx"":162,""dy"":84,""t"":10952},{""x"":1622,""y"":389,""dx"":171,""dy"":108,""t"":10986},{""x"":1630,""y"":405,""dx"":179,""dy"":124,""t"":11019},{""x"":1635,""y"":411,""dx"":184,""dy"":130,""t"":11055},{""x"":1631,""y"":425,""dx"":180,""dy"":144,""t"":11087},{""x"":1611,""y"":463,""dx"":160,""dy"":182,""t"":11122},{""x"":1612,""y"":475,""dx"":161,""dy"":194,""t"":11156},{""x"":1585,""y"":464,""dx"":134,""dy"":183,""t"":11190},{""x"":1551,""y"":455,""dx"":100,""dy"":174,""t"":11223},{""x"":1566,""y"":458,""dx"":115,""dy"":177,""t"":11257},{""x"":1555,""y"":476,""dx"":104,""dy"":195,""t"":11292},{""x"":1554,""y"":465,""dx"":103,""dy"":184,""t"":11327},{""x"":1570,""y"":435,""dx"":119,""dy"":154,""t"":11360},{""x"":1575,""y"":429,""dx"":124,""dy"":148,""t"":11395},{""x"":1586,""y"":420,""dx"":135,""dy"":139,""t"":11428},{""x"":1594,""y"":406,""dx"":143,""dy"":125,""t"":11462},{""x"":1606,""y"":395,""dx"":155,""dy"":114,""t"":11495},{""x"":1613,""y"":379,""dx"":162,""dy"":98,""t"":11530},{""x"":1625,""y"":373,""dx"":174,""dy"":92,""t"":11561},{""x"":1614,""y"":378,""dx"":163,""dy"":97,""t"":11598},{""x"":1607,""y"":371,""dx"":156,""dy"":90,""t"":11632},{""x"":1600,""y"":351,""dx"":149,""dy"":70,""t"":11665},{""x"":1591,""y"":378,""dx"":140,""dy"":97,""t"":11699},{""x"":1589,""y"":399,""dx"":138,""dy"":118,""t"":11734},{""x"":1593,""y"":416,""dx"":142,""dy"":135,""t"":11767},{""x"":1599,""y"":430,""dx"":148,""dy"":149,""t"":11802},{""x"":1606,""y"":437,""dx"":155,""dy"":156,""t"":11837},{""x"":1608,""y"":451,""dx"":157,""dy"":170,""t"":11869},{""x"":1623,""y"":441,""dx"":172,""dy"":160,""t"":11904},{""x"":1591,""y"":434,""dx"":140,""dy"":153,""t"":11938},{""x"":1584,""y"":451,""dx"":133,""dy"":170,""t"":11971},{""x"":1587,""y"":435,""dx"":136,""dy"":154,""t"":12006}],[{""x"":1361,""y"":942,""dx"":-90,""dy"":121,""t"":13026},{""x"":1346,""y"":945,""dx"":-105,""dy"":124,""t"":13060},{""x"":1327,""y"":933,""dx"":-124,""dy"":112,""t"":13094},{""x"":1346,""y"":921,""dx"":-105,""dy"":100,""t"":13128},{""x"":1338,""y"":887,""dx"":-113,""dy"":66,""t"":13161},{""x"":1316,""y"":896,""dx"":-135,""dy"":75,""t"":13195},{""x"":1298,""y"":912,""dx"":-153,""dy"":91,""t"":13229},{""x"":1299,""y"":897,""dx"":-152,""dy"":76,""t"":13265},{""x"":1280,""y"":900,""dx"":-171,""dy"":79,""t"":13299},{""x"":1303,""y"":891,""dx"":-148,""dy"":70,""t"":13331},{""x"":1299,""y"":890,""dx"":-152,""dy"":69,""t"":13366},{""x"":1297,""y"":888,""dx"":-154,""dy"":67,""t"":13400},{""x"":1319,""y"":891,""dx"":-132,""dy"":70,""t"":13435},{""x"":1327,""y"":901,""dx"":-124,""dy"":80,""t"":13468},{""x"":1333,""y"":909,""dx"":-118,""dy"":88,""t"":13499},{""x"":1326,""y"":909,""dx"":-125,""dy"":88,""t"":13536},{""x"":1335,""y"":901,""dx"":-116,""dy"":80,""t"":13570},{""x"":1343,""y"":899,""dx"":-108,""dy"":78,""t"":13604},{""x"":1367,""y"":898,""dx"":-84,""dy"":77,""t"":13638},{""x"":1356,""y"":900,""dx"":-95,""dy"":79,""t"":13672},{""x"":1353,""y"":923,""dx"":-98,""dy"":102,""t"":13706},{""x"":1369,""y"":921,""dx"":-82,""dy"":100,""t"":13741},{""x"":1382,""y"":911,""dx"":-69,""dy"":90,""t"":13774},{""x"":1388,""y"":907,""dx"":-63,""dy"":86,""t"":13807},{""x"":1383,""y"":908,""dx"":-68,""dy"":87,""t"":13842},{""x"":1379,""y"":916,""dx"":-72,""dy"":95,""t"":13875},{""x"":1376,""y"":923,""dx"":-75,""dy"":102,""t"":13907},{""x"":1381,""y"":933,""dx"":-70,""dy"":112,""t"":13943},{""x"":1387,""y"":929,""dx"":-64,""dy"":108,""t"":13977},{""x"":1389,""y"":930,""dx"":-62,""dy"":109,""t"":14013},{""x"":1379,""y"":937,""dx"":-72,""dy"":116,""t"":14047},{""x"":1375,""y"":942,""dx"":-76,""dy"":121,""t"":14079},{""x"":1381,""y"":946,""dx"":-70,""dy"":125,""t"":14114},{""x"":1387,""y"":948,""dx"":-64,""dy"":127,""t"":14149},{""x"":1371,""y"":941,""dx"":-80,""dy"":120,""t"":14182},{""x"":1363,""y"":943,""dx"":-88,""dy"":122,""t"":14216},{""x"":1342,""y"":937,""dx"":-109,""dy"":116,""t"":14249},{""x"":1327,""y"":924,""dx"":-124,""dy"":103,""t"":14284},{""x"":1315,""y"":898,""dx"":-136,""dy"":77,""t"":14318},{""x"":1319,""y"":913,""dx"":-132,""dy"":92,""t"":14352},{""x"":1312,""y"":916,""dx"":-139,""dy"":95,""t"":14386},{""x"":1313,""y"":909,""dx"":-138,""dy"":88,""t"":14420},{""x"":1305,""y"":933,""dx"":-146,""dy"":112,""t"":14454},{""x"":1321,""y"":931,""dx"":-130,""dy"":110,""t"":14487},{""x"":1296,""y"":926,""dx"":-155,""dy"":105,""t"":14521},{""x"":1291,""y"":926,""dx"":-160,""dy"":105,""t"":14555},{""x"":1293,""y"":924,""dx"":-158,""dy"":103,""t"":14589},{""x"":1320,""y"":922,""dx"":-131,""dy"":101,""t"":14624},{""x"":1334,""y"":915,""dx"":-117,""dy"":94,""t"":14658},{""x"":1341,""y"":922,""dx"":-110,""dy"":101,""t"":14691},{""x"":1340,""y"":913,""dx"":-111,""dy"":92,""t"":14726},{""x"":1349,""y"":908,""dx"":-102,""dy"":87,""t"":14760},{""x"":1342,""y"":905,""dx"":-109,""dy"":84,""t"":14793},{""x"":1348,""y"":904,""dx"":-103,""dy"":83,""t"":14827},{""x"":1355,""y"":901,""dx"":-96,""dy"":80,""t"":14862},{""x"":1366,""y"":888,""dx"":-85,""dy"":67,""t"":14897},{""x"":1358,""y"":899,""dx"":-93,""dy"":78,""t"":14929},{""x"":1365,""y"":884,""dx"":-86,""dy"":63,""t"":14963},{""x"":1364,""y"":895,""dx"":-87,""dy"":74,""t"":14998},{""x"":1381,""y"":891,""dx"":-70,""dy"":70,""t"":15033}]]","[100,100,46.666666666666664,61.016949152542374,100]","[{""x"":32.79661016949152,""y"":17.966101694915253,""r"":53.110136361290316},{""x"":-6.728813559322034,""y"":3.9322033898305087,""r"":45.271237205614064},{""x"":52.516666666666666,""y"":199.9,""r"":67.04883744710494},{""x"":152.5084745762712,""y"":101.98305084745763,""r"":50.12852484524168},{""x"":-108.4,""y"":93.2,""r"":48.118335053936875}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.41","validate","","","","","","","","","","","","","","",""
"","html-button-response","8","43563","0.0-3.0-4.0-0.0-0.0","538","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","","","","","",""
"","webgazer-calibrate","9","54873","0.0-3.0-4.0-0.0-1.0","","","","","","","","","","","","recalibration","","","","","","","","","","","","","",""
"","html-button-response","10","55667","0.0-3.0-4.0-0.0-2.0","793","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","recalibration","","","","","","","","","","","","","",""
