"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","2192","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","7874","0.0-1.0-0.0","5680","{""name"":""陈舒雨"",""age"":""24""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","10833","0.0-1.0-1.0","2958","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","18295","0.0-2.0","","","","2186","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","19737","0.0-3.0-0.0","1440","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","32860","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","33665","0.0-3.0-2.0","804","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","50828","0.0-3.0-3.0","","","","","","[[{""x"":568,""y"":488,""dx"":77,""dy"":207,""t"":989},{""x"":580,""y"":477,""dx"":89,""dy"":196,""t"":1024},{""x"":578,""y"":465,""dx"":87,""dy"":184,""t"":1058},{""x"":582,""y"":428,""dx"":91,""dy"":147,""t"":1092},{""x"":563,""y"":404,""dx"":72,""dy"":123,""t"":1126},{""x"":573,""y"":384,""dx"":82,""dy"":103,""t"":1161},{""x"":557,""y"":389,""dx"":66,""dy"":108,""t"":1195},{""x"":559,""y"":388,""dx"":68,""dy"":107,""t"":1228},{""x"":543,""y"":388,""dx"":52,""dy"":107,""t"":1262},{""x"":550,""y"":373,""dx"":59,""dy"":92,""t"":1297},{""x"":566,""y"":402,""dx"":75,""dy"":121,""t"":1330},{""x"":575,""y"":397,""dx"":84,""dy"":116,""t"":1363},{""x"":581,""y"":414,""dx"":90,""dy"":133,""t"":1396},{""x"":572,""y"":420,""dx"":81,""dy"":139,""t"":1432},{""x"":552,""y"":472,""dx"":61,""dy"":191,""t"":1466},{""x"":550,""y"":464,""dx"":59,""dy"":183,""t"":1500},{""x"":527,""y"":518,""dx"":36,""dy"":237,""t"":1534},{""x"":530,""y"":554,""dx"":39,""dy"":273,""t"":1568},{""x"":525,""y"":524,""dx"":34,""dy"":243,""t"":1602},{""x"":541,""y"":546,""dx"":50,""dy"":265,""t"":1635},{""x"":549,""y"":577,""dx"":58,""dy"":296,""t"":1671},{""x"":548,""y"":584,""dx"":57,""dy"":303,""t"":1704},{""x"":558,""y"":582,""dx"":67,""dy"":301,""t"":1738},{""x"":574,""y"":574,""dx"":83,""dy"":293,""t"":1772},{""x"":587,""y"":567,""dx"":96,""dy"":286,""t"":1804},{""x"":591,""y"":560,""dx"":100,""dy"":279,""t"":1840},{""x"":581,""y"":558,""dx"":90,""dy"":277,""t"":1873},{""x"":575,""y"":543,""dx"":84,""dy"":262,""t"":1907},{""x"":568,""y"":537,""dx"":77,""dy"":256,""t"":1942},{""x"":574,""y"":525,""dx"":83,""dy"":244,""t"":1976},{""x"":571,""y"":523,""dx"":80,""dy"":242,""t"":2010},{""x"":557,""y"":545,""dx"":66,""dy"":264,""t"":2044},{""x"":564,""y"":508,""dx"":73,""dy"":227,""t"":2077},{""x"":553,""y"":546,""dx"":62,""dy"":265,""t"":2112},{""x"":550,""y"":529,""dx"":59,""dy"":248,""t"":2145},{""x"":552,""y"":489,""dx"":61,""dy"":208,""t"":2179},{""x"":549,""y"":453,""dx"":58,""dy"":172,""t"":2214},{""x"":536,""y"":435,""dx"":45,""dy"":154,""t"":2248},{""x"":533,""y"":403,""dx"":42,""dy"":122,""t"":2283},{""x"":531,""y"":399,""dx"":40,""dy"":118,""t"":2315},{""x"":529,""y"":368,""dx"":38,""dy"":87,""t"":2350},{""x"":534,""y"":350,""dx"":43,""dy"":69,""t"":2384},{""x"":536,""y"":350,""dx"":45,""dy"":69,""t"":2417},{""x"":546,""y"":357,""dx"":55,""dy"":76,""t"":2452},{""x"":554,""y"":343,""dx"":63,""dy"":62,""t"":2487},{""x"":564,""y"":354,""dx"":73,""dy"":73,""t"":2520},{""x"":558,""y"":384,""dx"":67,""dy"":103,""t"":2554},{""x"":555,""y"":440,""dx"":64,""dy"":159,""t"":2588},{""x"":512,""y"":420,""dx"":21,""dy"":139,""t"":2622},{""x"":517,""y"":469,""dx"":26,""dy"":188,""t"":2656},{""x"":518,""y"":511,""dx"":27,""dy"":230,""t"":2689},{""x"":525,""y"":552,""dx"":34,""dy"":271,""t"":2723},{""x"":514,""y"":593,""dx"":23,""dy"":312,""t"":2759},{""x"":514,""y"":629,""dx"":23,""dy"":348,""t"":2792},{""x"":526,""y"":646,""dx"":35,""dy"":365,""t"":2827},{""x"":531,""y"":626,""dx"":40,""dy"":345,""t"":2860},{""x"":545,""y"":622,""dx"":54,""dy"":341,""t"":2895},{""x"":548,""y"":591,""dx"":57,""dy"":310,""t"":2927},{""x"":561,""y"":560,""dx"":70,""dy"":279,""t"":2962}],[{""x"":575,""y"":840,""dx"":84,""dy"":19,""t"":4016},{""x"":575,""y"":843,""dx"":84,""dy"":22,""t"":4049},{""x"":594,""y"":832,""dx"":103,""dy"":11,""t"":4084},{""x"":605,""y"":840,""dx"":114,""dy"":19,""t"":4118},{""x"":621,""y"":841,""dx"":130,""dy"":20,""t"":4151},{""x"":613,""y"":830,""dx"":122,""dy"":9,""t"":4185},{""x"":596,""y"":830,""dx"":105,""dy"":9,""t"":4219},{""x"":584,""y"":823,""dx"":93,""dy"":2,""t"":4255},{""x"":576,""y"":838,""dx"":85,""dy"":17,""t"":4288},{""x"":565,""y"":845,""dx"":74,""dy"":24,""t"":4323},{""x"":559,""y"":853,""dx"":68,""dy"":32,""t"":4355},{""x"":546,""y"":846,""dx"":55,""dy"":25,""t"":4390},{""x"":535,""y"":832,""dx"":44,""dy"":11,""t"":4423},{""x"":529,""y"":834,""dx"":38,""dy"":13,""t"":4457},{""x"":534,""y"":845,""dx"":43,""dy"":24,""t"":4491},{""x"":515,""y"":844,""dx"":24,""dy"":23,""t"":4526},{""x"":508,""y"":841,""dx"":17,""dy"":20,""t"":4560},{""x"":514,""y"":845,""dx"":23,""dy"":24,""t"":4594},{""x"":501,""y"":848,""dx"":10,""dy"":27,""t"":4627},{""x"":488,""y"":834,""dx"":-3,""dy"":13,""t"":4661},{""x"":491,""y"":821,""dx"":0,""dy"":0,""t"":4697},{""x"":521,""y"":821,""dx"":30,""dy"":0,""t"":4731},{""x"":517,""y"":819,""dx"":26,""dy"":-2,""t"":4763},{""x"":522,""y"":808,""dx"":31,""dy"":-13,""t"":4799},{""x"":507,""y"":792,""dx"":16,""dy"":-29,""t"":4831},{""x"":500,""y"":791,""dx"":9,""dy"":-30,""t"":4866},{""x"":493,""y"":789,""dx"":2,""dy"":-32,""t"":4901},{""x"":478,""y"":792,""dx"":-13,""dy"":-29,""t"":4934},{""x"":466,""y"":798,""dx"":-25,""dy"":-23,""t"":4966},{""x"":463,""y"":784,""dx"":-28,""dy"":-37,""t"":5002},{""x"":463,""y"":791,""dx"":-28,""dy"":-30,""t"":5036},{""x"":470,""y"":786,""dx"":-21,""dy"":-35,""t"":5070},{""x"":502,""y"":796,""dx"":11,""dy"":-25,""t"":5104},{""x"":509,""y"":817,""dx"":18,""dy"":-4,""t"":5138},{""x"":517,""y"":827,""dx"":26,""dy"":6,""t"":5173},{""x"":523,""y"":836,""dx"":32,""dy"":15,""t"":5206},{""x"":545,""y"":840,""dx"":54,""dy"":19,""t"":5240},{""x"":582,""y"":842,""dx"":91,""dy"":21,""t"":5302},{""x"":568,""y"":831,""dx"":77,""dy"":10,""t"":5310},{""x"":553,""y"":825,""dx"":62,""dy"":4,""t"":5342},{""x"":539,""y"":821,""dx"":48,""dy"":0,""t"":5373},{""x"":525,""y"":823,""dx"":34,""dy"":2,""t"":5410},{""x"":547,""y"":824,""dx"":56,""dy"":3,""t"":5445},{""x"":582,""y"":832,""dx"":91,""dy"":11,""t"":5478},{""x"":607,""y"":835,""dx"":116,""dy"":14,""t"":5512},{""x"":598,""y"":828,""dx"":107,""dy"":7,""t"":5546},{""x"":595,""y"":828,""dx"":104,""dy"":7,""t"":5580},{""x"":587,""y"":834,""dx"":96,""dy"":13,""t"":5613},{""x"":570,""y"":829,""dx"":79,""dy"":8,""t"":5647},{""x"":578,""y"":841,""dx"":87,""dy"":20,""t"":5681},{""x"":558,""y"":832,""dx"":67,""dy"":11,""t"":5716},{""x"":583,""y"":824,""dx"":92,""dy"":3,""t"":5750},{""x"":553,""y"":815,""dx"":62,""dy"":-6,""t"":5785},{""x"":576,""y"":814,""dx"":85,""dy"":-7,""t"":5817},{""x"":551,""y"":807,""dx"":60,""dy"":-14,""t"":5852},{""x"":568,""y"":804,""dx"":77,""dy"":-17,""t"":5886},{""x"":595,""y"":806,""dx"":104,""dy"":-15,""t"":5920},{""x"":559,""y"":806,""dx"":68,""dy"":-15,""t"":5953},{""x"":569,""y"":802,""dx"":78,""dy"":-19,""t"":5988}],[{""x"":1012,""y"":582,""dx"":41,""dy"":31,""t"":7008},{""x"":1018,""y"":610,""dx"":47,""dy"":59,""t"":7042},{""x"":1008,""y"":602,""dx"":37,""dy"":51,""t"":7077},{""x"":1005,""y"":608,""dx"":34,""dy"":57,""t"":7110},{""x"":995,""y"":618,""dx"":24,""dy"":67,""t"":7144},{""x"":956,""y"":572,""dx"":-15,""dy"":21,""t"":7179},{""x"":972,""y"":602,""dx"":1,""dy"":51,""t"":7213},{""x"":995,""y"":607,""dx"":24,""dy"":56,""t"":7246},{""x"":985,""y"":605,""dx"":14,""dy"":54,""t"":7280},{""x"":982,""y"":619,""dx"":11,""dy"":68,""t"":7314},{""x"":1012,""y"":644,""dx"":41,""dy"":93,""t"":7348},{""x"":1007,""y"":617,""dx"":36,""dy"":66,""t"":7382},{""x"":996,""y"":619,""dx"":25,""dy"":68,""t"":7415},{""x"":1012,""y"":595,""dx"":41,""dy"":44,""t"":7450},{""x"":1013,""y"":603,""dx"":42,""dy"":52,""t"":7483},{""x"":1013,""y"":625,""dx"":42,""dy"":74,""t"":7518},{""x"":1004,""y"":637,""dx"":33,""dy"":86,""t"":7551},{""x"":991,""y"":653,""dx"":20,""dy"":102,""t"":7586},{""x"":983,""y"":653,""dx"":12,""dy"":102,""t"":7619},{""x"":992,""y"":669,""dx"":21,""dy"":118,""t"":7655},{""x"":991,""y"":637,""dx"":20,""dy"":86,""t"":7688},{""x"":991,""y"":654,""dx"":20,""dy"":103,""t"":7722},{""x"":1005,""y"":669,""dx"":34,""dy"":118,""t"":7755},{""x"":994,""y"":664,""dx"":23,""dy"":113,""t"":7790},{""x"":979,""y"":664,""dx"":8,""dy"":113,""t"":7824},{""x"":953,""y"":621,""dx"":-18,""dy"":70,""t"":7859},{""x"":965,""y"":632,""dx"":-6,""dy"":81,""t"":7892},{""x"":961,""y"":603,""dx"":-10,""dy"":52,""t"":7926},{""x"":990,""y"":637,""dx"":19,""dy"":86,""t"":7960},{""x"":988,""y"":603,""dx"":17,""dy"":52,""t"":7995},{""x"":982,""y"":650,""dx"":11,""dy"":99,""t"":8028},{""x"":964,""y"":609,""dx"":-7,""dy"":58,""t"":8061},{""x"":949,""y"":647,""dx"":-22,""dy"":96,""t"":8096},{""x"":950,""y"":607,""dx"":-21,""dy"":56,""t"":8130},{""x"":959,""y"":641,""dx"":-12,""dy"":90,""t"":8164},{""x"":917,""y"":588,""dx"":-54,""dy"":37,""t"":8198},{""x"":927,""y"":590,""dx"":-44,""dy"":39,""t"":8232},{""x"":923,""y"":549,""dx"":-48,""dy"":-2,""t"":8265},{""x"":936,""y"":575,""dx"":-35,""dy"":24,""t"":8300},{""x"":970,""y"":587,""dx"":-1,""dy"":36,""t"":8334},{""x"":996,""y"":604,""dx"":25,""dy"":53,""t"":8368},{""x"":995,""y"":615,""dx"":24,""dy"":64,""t"":8402},{""x"":993,""y"":620,""dx"":22,""dy"":69,""t"":8435},{""x"":1011,""y"":656,""dx"":40,""dy"":105,""t"":8470},{""x"":1013,""y"":649,""dx"":42,""dy"":98,""t"":8505},{""x"":1014,""y"":642,""dx"":43,""dy"":91,""t"":8537},{""x"":1027,""y"":656,""dx"":56,""dy"":105,""t"":8572},{""x"":987,""y"":615,""dx"":16,""dy"":64,""t"":8606},{""x"":977,""y"":627,""dx"":6,""dy"":76,""t"":8639},{""x"":965,""y"":609,""dx"":-6,""dy"":58,""t"":8673},{""x"":964,""y"":643,""dx"":-7,""dy"":92,""t"":8707},{""x"":956,""y"":624,""dx"":-15,""dy"":73,""t"":8742},{""x"":974,""y"":657,""dx"":3,""dy"":106,""t"":8776},{""x"":969,""y"":653,""dx"":-2,""dy"":102,""t"":8810},{""x"":975,""y"":684,""dx"":4,""dy"":133,""t"":8843},{""x"":967,""y"":634,""dx"":-4,""dy"":83,""t"":8877},{""x"":976,""y"":635,""dx"":5,""dy"":84,""t"":8912},{""x"":966,""y"":595,""dx"":-5,""dy"":44,""t"":8944},{""x"":970,""y"":596,""dx"":-1,""dy"":45,""t"":8979}],[{""x"":1607,""y"":378,""dx"":156,""dy"":97,""t"":10034},{""x"":1570,""y"":366,""dx"":119,""dy"":85,""t"":10067},{""x"":1548,""y"":394,""dx"":97,""dy"":113,""t"":10102},{""x"":1528,""y"":419,""dx"":77,""dy"":138,""t"":10134},{""x"":1503,""y"":443,""dx"":52,""dy"":162,""t"":10170},{""x"":1517,""y"":455,""dx"":66,""dy"":174,""t"":10204},{""x"":1495,""y"":479,""dx"":44,""dy"":198,""t"":10239},{""x"":1505,""y"":484,""dx"":54,""dy"":203,""t"":10272},{""x"":1510,""y"":464,""dx"":59,""dy"":183,""t"":10307},{""x"":1513,""y"":458,""dx"":62,""dy"":177,""t"":10340},{""x"":1522,""y"":501,""dx"":71,""dy"":220,""t"":10374},{""x"":1528,""y"":459,""dx"":77,""dy"":178,""t"":10407},{""x"":1512,""y"":453,""dx"":61,""dy"":172,""t"":10442},{""x"":1515,""y"":439,""dx"":64,""dy"":158,""t"":10476},{""x"":1473,""y"":444,""dx"":22,""dy"":163,""t"":10511},{""x"":1460,""y"":450,""dx"":9,""dy"":169,""t"":10541},{""x"":1467,""y"":447,""dx"":16,""dy"":166,""t"":10577},{""x"":1457,""y"":487,""dx"":6,""dy"":206,""t"":10613},{""x"":1451,""y"":521,""dx"":0,""dy"":240,""t"":10646},{""x"":1450,""y"":493,""dx"":-1,""dy"":212,""t"":10680},{""x"":1438,""y"":464,""dx"":-13,""dy"":183,""t"":10714},{""x"":1443,""y"":439,""dx"":-8,""dy"":158,""t"":10748},{""x"":1454,""y"":406,""dx"":3,""dy"":125,""t"":10782},{""x"":1462,""y"":376,""dx"":11,""dy"":95,""t"":10816},{""x"":1471,""y"":346,""dx"":20,""dy"":65,""t"":10850},{""x"":1447,""y"":365,""dx"":-4,""dy"":84,""t"":10884},{""x"":1472,""y"":340,""dx"":21,""dy"":59,""t"":10918},{""x"":1463,""y"":359,""dx"":12,""dy"":78,""t"":10952},{""x"":1486,""y"":363,""dx"":35,""dy"":82,""t"":10986},{""x"":1483,""y"":377,""dx"":32,""dy"":96,""t"":11020},{""x"":1498,""y"":384,""dx"":47,""dy"":103,""t"":11054},{""x"":1507,""y"":397,""dx"":56,""dy"":116,""t"":11087},{""x"":1497,""y"":414,""dx"":46,""dy"":133,""t"":11121},{""x"":1515,""y"":388,""dx"":64,""dy"":107,""t"":11156},{""x"":1530,""y"":403,""dx"":79,""dy"":122,""t"":11190},{""x"":1510,""y"":418,""dx"":59,""dy"":137,""t"":11223},{""x"":1487,""y"":424,""dx"":36,""dy"":143,""t"":11258},{""x"":1506,""y"":388,""dx"":55,""dy"":107,""t"":11292},{""x"":1496,""y"":403,""dx"":45,""dy"":122,""t"":11326},{""x"":1475,""y"":415,""dx"":24,""dy"":134,""t"":11361},{""x"":1459,""y"":439,""dx"":8,""dy"":158,""t"":11394},{""x"":1447,""y"":447,""dx"":-4,""dy"":166,""t"":11428},{""x"":1471,""y"":412,""dx"":20,""dy"":131,""t"":11462},{""x"":1492,""y"":446,""dx"":41,""dy"":165,""t"":11496},{""x"":1461,""y"":440,""dx"":10,""dy"":159,""t"":11530},{""x"":1428,""y"":434,""dx"":-23,""dy"":153,""t"":11564},{""x"":1403,""y"":423,""dx"":-48,""dy"":142,""t"":11597},{""x"":1405,""y"":424,""dx"":-46,""dy"":143,""t"":11632},{""x"":1408,""y"":468,""dx"":-43,""dy"":187,""t"":11665},{""x"":1416,""y"":479,""dx"":-35,""dy"":198,""t"":11701},{""x"":1438,""y"":501,""dx"":-13,""dy"":220,""t"":11734},{""x"":1439,""y"":520,""dx"":-12,""dy"":239,""t"":11767},{""x"":1449,""y"":515,""dx"":-2,""dy"":234,""t"":11801},{""x"":1480,""y"":504,""dx"":29,""dy"":223,""t"":11836},{""x"":1493,""y"":489,""dx"":42,""dy"":208,""t"":11869},{""x"":1497,""y"":472,""dx"":46,""dy"":191,""t"":11904},{""x"":1515,""y"":453,""dx"":64,""dy"":172,""t"":11937},{""x"":1513,""y"":418,""dx"":62,""dy"":137,""t"":11973}],[{""x"":1361,""y"":779,""dx"":-90,""dy"":-42,""t"":13025},{""x"":1342,""y"":747,""dx"":-109,""dy"":-74,""t"":13059},{""x"":1335,""y"":745,""dx"":-116,""dy"":-76,""t"":13093},{""x"":1341,""y"":748,""dx"":-110,""dy"":-73,""t"":13128},{""x"":1356,""y"":740,""dx"":-95,""dy"":-81,""t"":13162},{""x"":1369,""y"":728,""dx"":-82,""dy"":-93,""t"":13195},{""x"":1358,""y"":723,""dx"":-93,""dy"":-98,""t"":13230},{""x"":1380,""y"":729,""dx"":-71,""dy"":-92,""t"":13264},{""x"":1365,""y"":720,""dx"":-86,""dy"":-101,""t"":13299},{""x"":1377,""y"":714,""dx"":-74,""dy"":-107,""t"":13331},{""x"":1407,""y"":718,""dx"":-44,""dy"":-103,""t"":13367},{""x"":1401,""y"":727,""dx"":-50,""dy"":-94,""t"":13400},{""x"":1383,""y"":742,""dx"":-68,""dy"":-79,""t"":13434},{""x"":1366,""y"":744,""dx"":-85,""dy"":-77,""t"":13469},{""x"":1387,""y"":744,""dx"":-64,""dy"":-77,""t"":13503},{""x"":1403,""y"":741,""dx"":-48,""dy"":-80,""t"":13537},{""x"":1414,""y"":735,""dx"":-37,""dy"":-86,""t"":13569},{""x"":1404,""y"":735,""dx"":-47,""dy"":-86,""t"":13603},{""x"":1411,""y"":741,""dx"":-40,""dy"":-80,""t"":13638},{""x"":1417,""y"":745,""dx"":-34,""dy"":-76,""t"":13669},{""x"":1410,""y"":754,""dx"":-41,""dy"":-67,""t"":13705},{""x"":1408,""y"":748,""dx"":-43,""dy"":-73,""t"":13740},{""x"":1433,""y"":751,""dx"":-18,""dy"":-70,""t"":13774},{""x"":1454,""y"":748,""dx"":3,""dy"":-73,""t"":13808},{""x"":1463,""y"":749,""dx"":12,""dy"":-72,""t"":13842},{""x"":1434,""y"":761,""dx"":-17,""dy"":-60,""t"":13876},{""x"":1416,""y"":768,""dx"":-35,""dy"":-53,""t"":13910},{""x"":1390,""y"":782,""dx"":-61,""dy"":-39,""t"":13944},{""x"":1361,""y"":785,""dx"":-90,""dy"":-36,""t"":13978},{""x"":1355,""y"":789,""dx"":-96,""dy"":-32,""t"":14013},{""x"":1377,""y"":786,""dx"":-74,""dy"":-35,""t"":14046},{""x"":1397,""y"":783,""dx"":-54,""dy"":-38,""t"":14078},{""x"":1405,""y"":773,""dx"":-46,""dy"":-48,""t"":14114},{""x"":1419,""y"":759,""dx"":-32,""dy"":-62,""t"":14148},{""x"":1406,""y"":770,""dx"":-45,""dy"":-51,""t"":14183},{""x"":1410,""y"":773,""dx"":-41,""dy"":-48,""t"":14216},{""x"":1396,""y"":757,""dx"":-55,""dy"":-64,""t"":14250},{""x"":1393,""y"":760,""dx"":-58,""dy"":-61,""t"":14284},{""x"":1376,""y"":757,""dx"":-75,""dy"":-64,""t"":14322},{""x"":1393,""y"":749,""dx"":-58,""dy"":-72,""t"":14362},{""x"":1380,""y"":762,""dx"":-71,""dy"":-59,""t"":14386},{""x"":1362,""y"":764,""dx"":-89,""dy"":-57,""t"":14420},{""x"":1363,""y"":764,""dx"":-88,""dy"":-57,""t"":14454},{""x"":1369,""y"":768,""dx"":-82,""dy"":-53,""t"":14488},{""x"":1386,""y"":759,""dx"":-65,""dy"":-62,""t"":14523},{""x"":1407,""y"":741,""dx"":-44,""dy"":-80,""t"":14556},{""x"":1409,""y"":745,""dx"":-42,""dy"":-76,""t"":14590},{""x"":1405,""y"":722,""dx"":-46,""dy"":-99,""t"":14624},{""x"":1399,""y"":737,""dx"":-52,""dy"":-84,""t"":14658},{""x"":1404,""y"":738,""dx"":-47,""dy"":-83,""t"":14693},{""x"":1403,""y"":729,""dx"":-48,""dy"":-92,""t"":14726},{""x"":1406,""y"":718,""dx"":-45,""dy"":-103,""t"":14761},{""x"":1405,""y"":713,""dx"":-46,""dy"":-108,""t"":14793},{""x"":1398,""y"":707,""dx"":-53,""dy"":-114,""t"":14827},{""x"":1403,""y"":713,""dx"":-48,""dy"":-108,""t"":14861},{""x"":1409,""y"":712,""dx"":-42,""dy"":-109,""t"":14896},{""x"":1396,""y"":706,""dx"":-55,""dy"":-115,""t"":14929},{""x"":1384,""y"":667,""dx"":-67,""dy"":-154,""t"":14963},{""x"":1369,""y"":699,""dx"":-82,""dy"":-122,""t"":14998}]]","[44.06779661016949,100,100,79.3103448275862,100]","[{""x"":60.86440677966102,""y"":202,""r"":79.7809591091061},{""x"":54.13559322033898,""y"":2.6440677966101696,""r"":36.74132189064189},{""x"":11.033898305084746,""y"":72.40677966101696,""r"":29.932361747858355},{""x"":31.5,""y"":153.25862068965517,""r"":78.1827852337193},{""x"":-58.96610169491525,""y"":-76.7457627118644,""r"":31.53472161046769}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.41","validate","","","","","","","","","","","","","","",""
"","html-button-response","8","51737","0.0-3.0-4.0-0.0-0.0","908","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","","","","","",""
"","webgazer-calibrate","9","63011","0.0-3.0-4.0-0.0-1.0","","","","","","","","","","","","recalibration","","","","","","","","","","","","","",""
"","html-button-response","10","63897","0.0-3.0-4.0-0.0-2.0","886","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","recalibration","","","","","","","","","","","","","",""
