"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","1589","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1595","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","4231","0.0-2.0-0.0","","","","","2635","{""name"":""张昊"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","5324","0.0-2.0-1.0","","","","","1093","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","5752","0.0-3.0","","","","","425"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","15746","0.0-4.0","","","","","","","","","4738","","","","","","","","","","","","","","","","",""
"","html-button-response","6","16255","0.0-5.0-0.0","","","","","507","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","25208","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","25979","0.0-5.0-2.0","","","","","770","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","51535","0.0-5.0-3.0","","","","","","","","","","[[{""x"":694,""y"":321,""dx"":256.1666564941406,""dy"":70,""t"":990},{""x"":708,""y"":340,""dx"":270.1666564941406,""dy"":89,""t"":1026},{""x"":684,""y"":335,""dx"":246.16665649414062,""dy"":84,""t"":1061},{""x"":674,""y"":328,""dx"":236.16665649414062,""dy"":77,""t"":1090},{""x"":642,""y"":327,""dx"":204.16665649414062,""dy"":76,""t"":1124},{""x"":647,""y"":338,""dx"":209.16665649414062,""dy"":87,""t"":1161},{""x"":589,""y"":316,""dx"":151.16665649414062,""dy"":65,""t"":1194},{""x"":601,""y"":343,""dx"":163.16665649414062,""dy"":92,""t"":1226},{""x"":630,""y"":393,""dx"":192.16665649414062,""dy"":142,""t"":1264},{""x"":590,""y"":392,""dx"":152.16665649414062,""dy"":141,""t"":1293},{""x"":533,""y"":396,""dx"":95.16665649414062,""dy"":145,""t"":1330},{""x"":534,""y"":394,""dx"":96.16665649414062,""dy"":143,""t"":1363},{""x"":601,""y"":439,""dx"":163.16665649414062,""dy"":188,""t"":1396},{""x"":561,""y"":433,""dx"":123.16665649414062,""dy"":182,""t"":1433},{""x"":539,""y"":414,""dx"":101.16665649414062,""dy"":163,""t"":1464},{""x"":520,""y"":407,""dx"":82.16665649414062,""dy"":156,""t"":1498},{""x"":529,""y"":411,""dx"":91.16665649414062,""dy"":160,""t"":1536},{""x"":586,""y"":380,""dx"":148.16665649414062,""dy"":129,""t"":1567},{""x"":594,""y"":380,""dx"":156.16665649414062,""dy"":129,""t"":1602},{""x"":601,""y"":379,""dx"":163.16665649414062,""dy"":128,""t"":1632},{""x"":592,""y"":381,""dx"":154.16665649414062,""dy"":130,""t"":1669},{""x"":582,""y"":365,""dx"":144.16665649414062,""dy"":114,""t"":1707},{""x"":580,""y"":364,""dx"":142.16665649414062,""dy"":113,""t"":1736},{""x"":578,""y"":358,""dx"":140.16665649414062,""dy"":107,""t"":1770},{""x"":573,""y"":347,""dx"":135.16665649414062,""dy"":96,""t"":1809},{""x"":599,""y"":321,""dx"":161.16665649414062,""dy"":70,""t"":1839},{""x"":593,""y"":318,""dx"":155.16665649414062,""dy"":67,""t"":1873},{""x"":605,""y"":370,""dx"":167.16665649414062,""dy"":119,""t"":1906},{""x"":603,""y"":345,""dx"":165.16665649414062,""dy"":94,""t"":1942},{""x"":540,""y"":332,""dx"":102.16665649414062,""dy"":81,""t"":1978},{""x"":537,""y"":336,""dx"":99.16665649414062,""dy"":85,""t"":2010},{""x"":482,""y"":349,""dx"":44.166656494140625,""dy"":98,""t"":2044},{""x"":451,""y"":352,""dx"":13.166656494140625,""dy"":101,""t"":2075},{""x"":507,""y"":359,""dx"":69.16665649414062,""dy"":108,""t"":2112},{""x"":574,""y"":390,""dx"":136.16665649414062,""dy"":139,""t"":2145},{""x"":583,""y"":375,""dx"":145.16665649414062,""dy"":124,""t"":2178},{""x"":541,""y"":400,""dx"":103.16665649414062,""dy"":149,""t"":2215},{""x"":510,""y"":374,""dx"":72.16665649414062,""dy"":123,""t"":2245},{""x"":471,""y"":382,""dx"":33.166656494140625,""dy"":131,""t"":2281},{""x"":452,""y"":353,""dx"":14.166656494140625,""dy"":102,""t"":2315},{""x"":500,""y"":351,""dx"":62.166656494140625,""dy"":100,""t"":2348},{""x"":541,""y"":373,""dx"":103.16665649414062,""dy"":122,""t"":2387},{""x"":537,""y"":374,""dx"":99.16665649414062,""dy"":123,""t"":2416},{""x"":514,""y"":350,""dx"":76.16665649414062,""dy"":99,""t"":2451},{""x"":475,""y"":329,""dx"":37.166656494140625,""dy"":78,""t"":2487},{""x"":440,""y"":316,""dx"":2.166656494140625,""dy"":65,""t"":2518},{""x"":486,""y"":311,""dx"":48.166656494140625,""dy"":60,""t"":2554},{""x"":512,""y"":322,""dx"":74.16665649414062,""dy"":71,""t"":2586},{""x"":516,""y"":356,""dx"":78.16665649414062,""dy"":105,""t"":2621},{""x"":547,""y"":345,""dx"":109.16665649414062,""dy"":94,""t"":2653},{""x"":574,""y"":341,""dx"":136.16665649414062,""dy"":90,""t"":2687},{""x"":574,""y"":353,""dx"":136.16665649414062,""dy"":102,""t"":2723},{""x"":600,""y"":343,""dx"":162.16665649414062,""dy"":92,""t"":2760},{""x"":628,""y"":331,""dx"":190.16665649414062,""dy"":80,""t"":2790},{""x"":608,""y"":356,""dx"":170.16665649414062,""dy"":105,""t"":2827},{""x"":609,""y"":380,""dx"":171.16665649414062,""dy"":129,""t"":2856},{""x"":556,""y"":405,""dx"":118.16665649414062,""dy"":154,""t"":2893},{""x"":565,""y"":404,""dx"":127.16665649414062,""dy"":153,""t"":2929},{""x"":598,""y"":388,""dx"":160.16665649414062,""dy"":137,""t"":2960}],[{""x"":1169,""y"":267,""dx"":-122.5,""dy"":16,""t"":3981},{""x"":1190,""y"":269,""dx"":-101.5,""dy"":18,""t"":4014},{""x"":1161,""y"":264,""dx"":-130.5,""dy"":13,""t"":4051},{""x"":1119,""y"":255,""dx"":-172.5,""dy"":4,""t"":4081},{""x"":1126,""y"":256,""dx"":-165.5,""dy"":5,""t"":4117},{""x"":1145,""y"":261,""dx"":-146.5,""dy"":10,""t"":4154},{""x"":1172,""y"":274,""dx"":-119.5,""dy"":23,""t"":4183},{""x"":1181,""y"":283,""dx"":-110.5,""dy"":32,""t"":4218},{""x"":1171,""y"":274,""dx"":-120.5,""dy"":23,""t"":4258},{""x"":1187,""y"":283,""dx"":-104.5,""dy"":32,""t"":4287},{""x"":1173,""y"":280,""dx"":-118.5,""dy"":29,""t"":4322},{""x"":1186,""y"":285,""dx"":-105.5,""dy"":34,""t"":4354},{""x"":1201,""y"":287,""dx"":-90.5,""dy"":36,""t"":4390},{""x"":1165,""y"":308,""dx"":-126.5,""dy"":57,""t"":4426},{""x"":1141,""y"":312,""dx"":-150.5,""dy"":61,""t"":4458},{""x"":1160,""y"":310,""dx"":-131.5,""dy"":59,""t"":4490},{""x"":1166,""y"":314,""dx"":-125.5,""dy"":63,""t"":4523},{""x"":1159,""y"":319,""dx"":-132.5,""dy"":68,""t"":4560},{""x"":1152,""y"":323,""dx"":-139.5,""dy"":72,""t"":4593},{""x"":1166,""y"":340,""dx"":-125.5,""dy"":89,""t"":4626},{""x"":1202,""y"":356,""dx"":-89.5,""dy"":105,""t"":4663},{""x"":1238,""y"":345,""dx"":-53.5,""dy"":94,""t"":4694},{""x"":1226,""y"":346,""dx"":-65.5,""dy"":95,""t"":4730},{""x"":1223,""y"":340,""dx"":-68.5,""dy"":89,""t"":4762},{""x"":1256,""y"":359,""dx"":-35.5,""dy"":108,""t"":4797},{""x"":1244,""y"":359,""dx"":-47.5,""dy"":108,""t"":4832},{""x"":1288,""y"":346,""dx"":-3.5,""dy"":95,""t"":4865},{""x"":1284,""y"":340,""dx"":-7.5,""dy"":89,""t"":4899},{""x"":1289,""y"":345,""dx"":-2.5,""dy"":94,""t"":4935},{""x"":1292,""y"":335,""dx"":0.5,""dy"":84,""t"":4966},{""x"":1315,""y"":326,""dx"":23.5,""dy"":75,""t"":5003},{""x"":1311,""y"":330,""dx"":19.5,""dy"":79,""t"":5035},{""x"":1351,""y"":345,""dx"":59.5,""dy"":94,""t"":5069},{""x"":1318,""y"":358,""dx"":26.5,""dy"":107,""t"":5106},{""x"":1262,""y"":341,""dx"":-29.5,""dy"":90,""t"":5135},{""x"":1258,""y"":337,""dx"":-33.5,""dy"":86,""t"":5170},{""x"":1280,""y"":327,""dx"":-11.5,""dy"":76,""t"":5209},{""x"":1283,""y"":314,""dx"":-8.5,""dy"":63,""t"":5239},{""x"":1245,""y"":299,""dx"":-46.5,""dy"":48,""t"":5275},{""x"":1257,""y"":303,""dx"":-34.5,""dy"":52,""t"":5311},{""x"":1252,""y"":319,""dx"":-39.5,""dy"":68,""t"":5341},{""x"":1250,""y"":326,""dx"":-41.5,""dy"":75,""t"":5378},{""x"":1237,""y"":353,""dx"":-54.5,""dy"":102,""t"":5409},{""x"":1210,""y"":362,""dx"":-81.5,""dy"":111,""t"":5442},{""x"":1232,""y"":355,""dx"":-59.5,""dy"":104,""t"":5481},{""x"":1204,""y"":350,""dx"":-87.5,""dy"":99,""t"":5512},{""x"":1238,""y"":372,""dx"":-53.5,""dy"":121,""t"":5546},{""x"":1240,""y"":393,""dx"":-51.5,""dy"":142,""t"":5578},{""x"":1274,""y"":384,""dx"":-17.5,""dy"":133,""t"":5615},{""x"":1266,""y"":380,""dx"":-25.5,""dy"":129,""t"":5650},{""x"":1257,""y"":378,""dx"":-34.5,""dy"":127,""t"":5681},{""x"":1283,""y"":363,""dx"":-8.5,""dy"":112,""t"":5716},{""x"":1233,""y"":366,""dx"":-58.5,""dy"":115,""t"":5747},{""x"":1220,""y"":371,""dx"":-71.5,""dy"":120,""t"":5784},{""x"":1207,""y"":348,""dx"":-84.5,""dy"":97,""t"":5819},{""x"":1175,""y"":316,""dx"":-116.5,""dy"":65,""t"":5850},{""x"":1160,""y"":317,""dx"":-131.5,""dy"":66,""t"":5887},{""x"":1173,""y"":324,""dx"":-118.5,""dy"":73,""t"":5918},{""x"":1176,""y"":324,""dx"":-115.5,""dy"":73,""t"":5953},{""x"":1183,""y"":325,""dx"":-108.5,""dy"":74,""t"":5986}],[{""x"":1007,""y"":472,""dx"":142.33331298828125,""dy"":-19,""t"":7008},{""x"":957,""y"":474,""dx"":92.33331298828125,""dy"":-17,""t"":7042},{""x"":912,""y"":476,""dx"":47.33331298828125,""dy"":-15,""t"":7074},{""x"":893,""y"":476,""dx"":28.33331298828125,""dy"":-15,""t"":7112},{""x"":908,""y"":467,""dx"":43.33331298828125,""dy"":-24,""t"":7141},{""x"":963,""y"":470,""dx"":98.33331298828125,""dy"":-21,""t"":7177},{""x"":965,""y"":478,""dx"":100.33331298828125,""dy"":-13,""t"":7211},{""x"":1001,""y"":473,""dx"":136.33331298828125,""dy"":-18,""t"":7244},{""x"":1036,""y"":495,""dx"":171.33331298828125,""dy"":4,""t"":7280},{""x"":1052,""y"":501,""dx"":187.33331298828125,""dy"":10,""t"":7312},{""x"":1053,""y"":519,""dx"":188.33331298828125,""dy"":28,""t"":7347},{""x"":1036,""y"":536,""dx"":171.33331298828125,""dy"":45,""t"":7383},{""x"":1006,""y"":519,""dx"":141.33331298828125,""dy"":28,""t"":7414},{""x"":1014,""y"":518,""dx"":149.33331298828125,""dy"":27,""t"":7450},{""x"":1035,""y"":534,""dx"":170.33331298828125,""dy"":43,""t"":7482},{""x"":999,""y"":600,""dx"":134.33331298828125,""dy"":109,""t"":7517},{""x"":964,""y"":698,""dx"":99.33331298828125,""dy"":207,""t"":7553},{""x"":962,""y"":755,""dx"":97.33331298828125,""dy"":264,""t"":7583},{""x"":902,""y"":864,""dx"":37.33331298828125,""dy"":373,""t"":7618},{""x"":835,""y"":924,""dx"":-29.66668701171875,""dy"":433,""t"":7657},{""x"":792,""y"":920,""dx"":-72.66668701171875,""dy"":429,""t"":7686},{""x"":728,""y"":893,""dx"":-136.66668701171875,""dy"":402,""t"":7723},{""x"":679,""y"":870,""dx"":-185.66668701171875,""dy"":379,""t"":7753},{""x"":729,""y"":827,""dx"":-135.66668701171875,""dy"":336,""t"":7790},{""x"":729,""y"":781,""dx"":-135.66668701171875,""dy"":290,""t"":7826},{""x"":807,""y"":730,""dx"":-57.66668701171875,""dy"":239,""t"":7856},{""x"":872,""y"":677,""dx"":7.33331298828125,""dy"":186,""t"":7891},{""x"":877,""y"":639,""dx"":12.33331298828125,""dy"":148,""t"":7923},{""x"":912,""y"":613,""dx"":47.33331298828125,""dy"":122,""t"":7959},{""x"":976,""y"":572,""dx"":111.33331298828125,""dy"":81,""t"":7995},{""x"":951,""y"":551,""dx"":86.33331298828125,""dy"":60,""t"":8026},{""x"":935,""y"":550,""dx"":70.33331298828125,""dy"":59,""t"":8062},{""x"":990,""y"":526,""dx"":125.33331298828125,""dy"":35,""t"":8098},{""x"":1010,""y"":541,""dx"":145.33331298828125,""dy"":50,""t"":8130},{""x"":976,""y"":549,""dx"":111.33331298828125,""dy"":58,""t"":8162},{""x"":998,""y"":540,""dx"":133.33331298828125,""dy"":49,""t"":8195},{""x"":980,""y"":515,""dx"":115.33331298828125,""dy"":24,""t"":8233},{""x"":978,""y"":519,""dx"":113.33331298828125,""dy"":28,""t"":8266},{""x"":992,""y"":529,""dx"":127.33331298828125,""dy"":38,""t"":8298},{""x"":951,""y"":528,""dx"":86.33331298828125,""dy"":37,""t"":8336},{""x"":911,""y"":542,""dx"":46.33331298828125,""dy"":51,""t"":8365},{""x"":902,""y"":566,""dx"":37.33331298828125,""dy"":75,""t"":8401},{""x"":897,""y"":575,""dx"":32.33331298828125,""dy"":84,""t"":8435},{""x"":939,""y"":585,""dx"":74.33331298828125,""dy"":94,""t"":8468},{""x"":950,""y"":558,""dx"":85.33331298828125,""dy"":67,""t"":8504},{""x"":898,""y"":568,""dx"":33.33331298828125,""dy"":77,""t"":8536},{""x"":886,""y"":547,""dx"":21.33331298828125,""dy"":56,""t"":8570},{""x"":898,""y"":545,""dx"":33.33331298828125,""dy"":54,""t"":8608},{""x"":887,""y"":549,""dx"":22.33331298828125,""dy"":58,""t"":8639},{""x"":898,""y"":561,""dx"":33.33331298828125,""dy"":70,""t"":8674},{""x"":955,""y"":560,""dx"":90.33331298828125,""dy"":69,""t"":8707},{""x"":925,""y"":562,""dx"":60.33331298828125,""dy"":71,""t"":8742},{""x"":958,""y"":552,""dx"":93.33331298828125,""dy"":61,""t"":8777},{""x"":960,""y"":525,""dx"":95.33331298828125,""dy"":34,""t"":8807},{""x"":958,""y"":511,""dx"":93.33331298828125,""dy"":20,""t"":8843},{""x"":956,""y"":507,""dx"":91.33331298828125,""dy"":16,""t"":8880},{""x"":974,""y"":484,""dx"":109.33331298828125,""dy"":-7,""t"":8910},{""x"":949,""y"":490,""dx"":84.33331298828125,""dy"":-1,""t"":8946},{""x"":987,""y"":495,""dx"":122.33331298828125,""dy"":4,""t"":8977}],[{""x"":691,""y"":704,""dx"":253.16665649414062,""dy"":-27,""t"":10002},{""x"":697,""y"":698,""dx"":259.1666564941406,""dy"":-33,""t"":10031},{""x"":637,""y"":707,""dx"":199.16665649414062,""dy"":-24,""t"":10066},{""x"":677,""y"":721,""dx"":239.16665649414062,""dy"":-10,""t"":10105},{""x"":664,""y"":733,""dx"":226.16665649414062,""dy"":2,""t"":10135},{""x"":674,""y"":716,""dx"":236.16665649414062,""dy"":-15,""t"":10170},{""x"":682,""y"":719,""dx"":244.16665649414062,""dy"":-12,""t"":10202},{""x"":652,""y"":693,""dx"":214.16665649414062,""dy"":-38,""t"":10237},{""x"":632,""y"":711,""dx"":194.16665649414062,""dy"":-20,""t"":10274},{""x"":568,""y"":698,""dx"":130.16665649414062,""dy"":-33,""t"":10305},{""x"":554,""y"":696,""dx"":116.16665649414062,""dy"":-35,""t"":10338},{""x"":560,""y"":715,""dx"":122.16665649414062,""dy"":-16,""t"":10371},{""x"":581,""y"":716,""dx"":143.16665649414062,""dy"":-15,""t"":10408},{""x"":585,""y"":713,""dx"":147.16665649414062,""dy"":-18,""t"":10443},{""x"":588,""y"":710,""dx"":150.16665649414062,""dy"":-21,""t"":10473},{""x"":595,""y"":693,""dx"":157.16665649414062,""dy"":-38,""t"":10510},{""x"":601,""y"":680,""dx"":163.16665649414062,""dy"":-51,""t"":10546},{""x"":619,""y"":694,""dx"":181.16665649414062,""dy"":-37,""t"":10578},{""x"":671,""y"":698,""dx"":233.16665649414062,""dy"":-33,""t"":10610},{""x"":701,""y"":696,""dx"":263.1666564941406,""dy"":-35,""t"":10643},{""x"":665,""y"":706,""dx"":227.16665649414062,""dy"":-25,""t"":10681},{""x"":670,""y"":680,""dx"":232.16665649414062,""dy"":-51,""t"":10714},{""x"":678,""y"":695,""dx"":240.16665649414062,""dy"":-36,""t"":10747},{""x"":680,""y"":684,""dx"":242.16665649414062,""dy"":-47,""t"":10784},{""x"":638,""y"":696,""dx"":200.16665649414062,""dy"":-35,""t"":10813},{""x"":664,""y"":705,""dx"":226.16665649414062,""dy"":-26,""t"":10849},{""x"":653,""y"":721,""dx"":215.16665649414062,""dy"":-10,""t"":10890},{""x"":656,""y"":729,""dx"":218.16665649414062,""dy"":-2,""t"":10917},{""x"":659,""y"":736,""dx"":221.16665649414062,""dy"":5,""t"":10952},{""x"":647,""y"":754,""dx"":209.16665649414062,""dy"":23,""t"":10983},{""x"":643,""y"":736,""dx"":205.16665649414062,""dy"":5,""t"":11019},{""x"":675,""y"":757,""dx"":237.16665649414062,""dy"":26,""t"":11056},{""x"":678,""y"":751,""dx"":240.16665649414062,""dy"":20,""t"":11086},{""x"":734,""y"":738,""dx"":296.1666564941406,""dy"":7,""t"":11123},{""x"":735,""y"":753,""dx"":297.1666564941406,""dy"":22,""t"":11153},{""x"":766,""y"":760,""dx"":328.1666564941406,""dy"":29,""t"":11189},{""x"":733,""y"":765,""dx"":295.1666564941406,""dy"":34,""t"":11226},{""x"":739,""y"":760,""dx"":301.1666564941406,""dy"":29,""t"":11256},{""x"":733,""y"":758,""dx"":295.1666564941406,""dy"":27,""t"":11290},{""x"":698,""y"":749,""dx"":260.1666564941406,""dy"":18,""t"":11329},{""x"":653,""y"":740,""dx"":215.16665649414062,""dy"":9,""t"":11359},{""x"":657,""y"":725,""dx"":219.16665649414062,""dy"":-6,""t"":11394},{""x"":671,""y"":703,""dx"":233.16665649414062,""dy"":-28,""t"":11426},{""x"":701,""y"":695,""dx"":263.1666564941406,""dy"":-36,""t"":11462},{""x"":656,""y"":682,""dx"":218.16665649414062,""dy"":-49,""t"":11498},{""x"":637,""y"":660,""dx"":199.16665649414062,""dy"":-71,""t"":11529},{""x"":660,""y"":667,""dx"":222.16665649414062,""dy"":-64,""t"":11562},{""x"":682,""y"":655,""dx"":244.16665649414062,""dy"":-76,""t"":11595},{""x"":674,""y"":667,""dx"":236.16665649414062,""dy"":-64,""t"":11632},{""x"":674,""y"":686,""dx"":236.16665649414062,""dy"":-45,""t"":11666},{""x"":670,""y"":696,""dx"":232.16665649414062,""dy"":-35,""t"":11698},{""x"":667,""y"":727,""dx"":229.16665649414062,""dy"":-4,""t"":11735},{""x"":654,""y"":706,""dx"":216.16665649414062,""dy"":-25,""t"":11770},{""x"":643,""y"":687,""dx"":205.16665649414062,""dy"":-44,""t"":11801},{""x"":633,""y"":695,""dx"":195.16665649414062,""dy"":-36,""t"":11834},{""x"":673,""y"":726,""dx"":235.16665649414062,""dy"":-5,""t"":11868},{""x"":679,""y"":735,""dx"":241.16665649414062,""dy"":4,""t"":11904},{""x"":696,""y"":751,""dx"":258.1666564941406,""dy"":20,""t"":11938},{""x"":698,""y"":768,""dx"":260.1666564941406,""dy"":37,""t"":11971}],[{""x"":910,""y"":607,""dx"":-381.5,""dy"":-124,""t"":12995},{""x"":891,""y"":601,""dx"":-400.5,""dy"":-130,""t"":13024},{""x"":899,""y"":604,""dx"":-392.5,""dy"":-127,""t"":13058},{""x"":886,""y"":614,""dx"":-405.5,""dy"":-117,""t"":13092},{""x"":865,""y"":596,""dx"":-426.5,""dy"":-135,""t"":13128},{""x"":887,""y"":600,""dx"":-404.5,""dy"":-131,""t"":13162},{""x"":879,""y"":587,""dx"":-412.5,""dy"":-144,""t"":13195},{""x"":863,""y"":574,""dx"":-428.5,""dy"":-157,""t"":13231},{""x"":883,""y"":576,""dx"":-408.5,""dy"":-155,""t"":13261},{""x"":863,""y"":550,""dx"":-428.5,""dy"":-181,""t"":13299},{""x"":867,""y"":576,""dx"":-424.5,""dy"":-155,""t"":13330},{""x"":889,""y"":595,""dx"":-402.5,""dy"":-136,""t"":13364},{""x"":878,""y"":571,""dx"":-413.5,""dy"":-160,""t"":13402},{""x"":900,""y"":588,""dx"":-391.5,""dy"":-143,""t"":13431},{""x"":949,""y"":617,""dx"":-342.5,""dy"":-114,""t"":13466},{""x"":931,""y"":610,""dx"":-360.5,""dy"":-121,""t"":13505},{""x"":908,""y"":604,""dx"":-383.5,""dy"":-127,""t"":13534},{""x"":960,""y"":628,""dx"":-331.5,""dy"":-103,""t"":13570},{""x"":954,""y"":642,""dx"":-337.5,""dy"":-89,""t"":13601},{""x"":984,""y"":664,""dx"":-307.5,""dy"":-67,""t"":13637},{""x"":1005,""y"":680,""dx"":-286.5,""dy"":-51,""t"":13674},{""x"":978,""y"":657,""dx"":-313.5,""dy"":-74,""t"":13705},{""x"":967,""y"":672,""dx"":-324.5,""dy"":-59,""t"":13738},{""x"":965,""y"":652,""dx"":-326.5,""dy"":-79,""t"":13776},{""x"":923,""y"":635,""dx"":-368.5,""dy"":-96,""t"":13811},{""x"":869,""y"":600,""dx"":-422.5,""dy"":-131,""t"":13842},{""x"":854,""y"":576,""dx"":-437.5,""dy"":-155,""t"":13874},{""x"":895,""y"":589,""dx"":-396.5,""dy"":-142,""t"":13911},{""x"":927,""y"":612,""dx"":-364.5,""dy"":-119,""t"":13946},{""x"":964,""y"":631,""dx"":-327.5,""dy"":-100,""t"":13976},{""x"":981,""y"":643,""dx"":-310.5,""dy"":-88,""t"":14010},{""x"":969,""y"":643,""dx"":-322.5,""dy"":-88,""t"":14044},{""x"":981,""y"":645,""dx"":-310.5,""dy"":-86,""t"":14079},{""x"":972,""y"":643,""dx"":-319.5,""dy"":-88,""t"":14114},{""x"":988,""y"":669,""dx"":-303.5,""dy"":-62,""t"":14147},{""x"":962,""y"":667,""dx"":-329.5,""dy"":-64,""t"":14182},{""x"":955,""y"":640,""dx"":-336.5,""dy"":-91,""t"":14213},{""x"":991,""y"":664,""dx"":-300.5,""dy"":-67,""t"":14250},{""x"":1029,""y"":684,""dx"":-262.5,""dy"":-47,""t"":14282},{""x"":1046,""y"":709,""dx"":-245.5,""dy"":-22,""t"":14316},{""x"":1003,""y"":675,""dx"":-288.5,""dy"":-56,""t"":14353},{""x"":940,""y"":651,""dx"":-351.5,""dy"":-80,""t"":14386},{""x"":915,""y"":645,""dx"":-376.5,""dy"":-86,""t"":14418},{""x"":911,""y"":638,""dx"":-380.5,""dy"":-93,""t"":14456},{""x"":910,""y"":640,""dx"":-381.5,""dy"":-91,""t"":14485},{""x"":902,""y"":637,""dx"":-389.5,""dy"":-94,""t"":14522},{""x"":906,""y"":642,""dx"":-385.5,""dy"":-89,""t"":14555},{""x"":872,""y"":596,""dx"":-419.5,""dy"":-135,""t"":14588},{""x"":873,""y"":572,""dx"":-418.5,""dy"":-159,""t"":14625},{""x"":866,""y"":594,""dx"":-425.5,""dy"":-137,""t"":14656},{""x"":909,""y"":624,""dx"":-382.5,""dy"":-107,""t"":14690},{""x"":913,""y"":627,""dx"":-378.5,""dy"":-104,""t"":14728},{""x"":904,""y"":645,""dx"":-387.5,""dy"":-86,""t"":14759},{""x"":923,""y"":653,""dx"":-368.5,""dy"":-78,""t"":14794},{""x"":931,""y"":631,""dx"":-360.5,""dy"":-100,""t"":14825},{""x"":913,""y"":631,""dx"":-378.5,""dy"":-100,""t"":14862},{""x"":901,""y"":634,""dx"":-390.5,""dy"":-97,""t"":14897},{""x"":922,""y"":648,""dx"":-369.5,""dy"":-83,""t"":14927},{""x"":889,""y"":643,""dx"":-402.5,""dy"":-88,""t"":14963}]]","[71.1864406779661,100,83.05084745762711,18.64406779661017,0]","[{""x"":128.09885988397113,""y"":111.11864406779661,""r"":47.249087820970864},{""x"":-71.8,""y"":74.68333333333334,""r"":86.29510354422969},{""x"":68.38416044590836,""y"":92.0677966101695,""r"":87.69761449790957},{""x"":224.048012426344,""y"":-17.1864406779661,""r"":34.774547811930994},{""x"":-366.58474576271186,""y"":-104.88135593220339,""r"":46.04074360627164}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.45","validate","","","","","","","","","","",""
"","html-button-response","10","51935","0.0-5.0-4.0-0.0-0.0","","","","","399","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","60333","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","60909","0.0-5.0-4.0-0.0-2.0","","","","","576","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
