"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2297","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2303","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6231","0.0-2.0-0.0","","","","","3924","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","8264","0.0-2.0-1.0","","","","","2033","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","10411","0.0-3.0","","","","","2146"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","20909","0.0-4.0","","","","","","","","","5134","","","","","","","","","","","","","","","","",""
"","html-button-response","6","21649","0.0-5.0-0.0","","","","","739","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","32405","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","33162","0.0-5.0-2.0","","","","","756","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","49985","0.0-5.0-3.0","","","","","","","","","","[[{""x"":479,""y"":267,""dx"":-12,""dy"":-14,""t"":1021},{""x"":471,""y"":276,""dx"":-20,""dy"":-5,""t"":1056},{""x"":461,""y"":295,""dx"":-30,""dy"":14,""t"":1090},{""x"":462,""y"":315,""dx"":-29,""dy"":34,""t"":1124},{""x"":458,""y"":319,""dx"":-33,""dy"":38,""t"":1157},{""x"":463,""y"":331,""dx"":-28,""dy"":50,""t"":1192},{""x"":462,""y"":339,""dx"":-29,""dy"":58,""t"":1226},{""x"":454,""y"":318,""dx"":-37,""dy"":37,""t"":1260},{""x"":467,""y"":313,""dx"":-24,""dy"":32,""t"":1294},{""x"":477,""y"":288,""dx"":-14,""dy"":7,""t"":1328},{""x"":482,""y"":262,""dx"":-9,""dy"":-19,""t"":1362},{""x"":482,""y"":242,""dx"":-9,""dy"":-39,""t"":1396},{""x"":476,""y"":239,""dx"":-15,""dy"":-42,""t"":1431},{""x"":477,""y"":220,""dx"":-14,""dy"":-61,""t"":1464},{""x"":477,""y"":224,""dx"":-14,""dy"":-57,""t"":1497},{""x"":485,""y"":224,""dx"":-6,""dy"":-57,""t"":1532},{""x"":487,""y"":201,""dx"":-4,""dy"":-80,""t"":1566},{""x"":486,""y"":190,""dx"":-5,""dy"":-91,""t"":1600},{""x"":470,""y"":212,""dx"":-21,""dy"":-69,""t"":1634},{""x"":462,""y"":224,""dx"":-29,""dy"":-57,""t"":1668},{""x"":446,""y"":251,""dx"":-45,""dy"":-30,""t"":1701},{""x"":473,""y"":271,""dx"":-18,""dy"":-10,""t"":1736},{""x"":490,""y"":301,""dx"":-1,""dy"":20,""t"":1771},{""x"":487,""y"":314,""dx"":-4,""dy"":33,""t"":1802},{""x"":477,""y"":317,""dx"":-14,""dy"":36,""t"":1838},{""x"":465,""y"":316,""dx"":-26,""dy"":35,""t"":1872},{""x"":461,""y"":317,""dx"":-30,""dy"":36,""t"":1906},{""x"":474,""y"":302,""dx"":-17,""dy"":21,""t"":1940},{""x"":516,""y"":319,""dx"":25,""dy"":38,""t"":1974},{""x"":544,""y"":324,""dx"":53,""dy"":43,""t"":2008},{""x"":534,""y"":335,""dx"":43,""dy"":54,""t"":2042},{""x"":545,""y"":338,""dx"":54,""dy"":57,""t"":2076},{""x"":554,""y"":339,""dx"":63,""dy"":58,""t"":2110},{""x"":579,""y"":335,""dx"":88,""dy"":54,""t"":2143},{""x"":603,""y"":321,""dx"":112,""dy"":40,""t"":2178},{""x"":614,""y"":323,""dx"":123,""dy"":42,""t"":2212},{""x"":619,""y"":337,""dx"":128,""dy"":56,""t"":2246},{""x"":624,""y"":326,""dx"":133,""dy"":45,""t"":2280},{""x"":605,""y"":331,""dx"":114,""dy"":50,""t"":2314},{""x"":598,""y"":319,""dx"":107,""dy"":38,""t"":2348},{""x"":588,""y"":321,""dx"":97,""dy"":40,""t"":2382},{""x"":584,""y"":323,""dx"":93,""dy"":42,""t"":2417},{""x"":569,""y"":334,""dx"":78,""dy"":53,""t"":2451},{""x"":556,""y"":340,""dx"":65,""dy"":59,""t"":2484},{""x"":545,""y"":345,""dx"":54,""dy"":64,""t"":2518},{""x"":549,""y"":335,""dx"":58,""dy"":54,""t"":2552},{""x"":567,""y"":336,""dx"":76,""dy"":55,""t"":2587},{""x"":548,""y"":337,""dx"":57,""dy"":56,""t"":2620},{""x"":544,""y"":339,""dx"":53,""dy"":58,""t"":2654},{""x"":529,""y"":338,""dx"":38,""dy"":57,""t"":2690},{""x"":526,""y"":338,""dx"":35,""dy"":57,""t"":2722},{""x"":515,""y"":340,""dx"":24,""dy"":59,""t"":2756},{""x"":493,""y"":345,""dx"":2,""dy"":64,""t"":2791},{""x"":485,""y"":349,""dx"":-6,""dy"":68,""t"":2823},{""x"":477,""y"":350,""dx"":-14,""dy"":69,""t"":2857},{""x"":462,""y"":357,""dx"":-29,""dy"":76,""t"":2893},{""x"":464,""y"":364,""dx"":-27,""dy"":83,""t"":2925},{""x"":459,""y"":362,""dx"":-32,""dy"":81,""t"":2959}],[{""x"":1499,""y"":280,""dx"":48,""dy"":-1,""t"":4015},{""x"":1462,""y"":273,""dx"":11,""dy"":-8,""t"":4047},{""x"":1459,""y"":264,""dx"":8,""dy"":-17,""t"":4081},{""x"":1441,""y"":278,""dx"":-10,""dy"":-3,""t"":4117},{""x"":1441,""y"":261,""dx"":-10,""dy"":-20,""t"":4149},{""x"":1432,""y"":301,""dx"":-19,""dy"":20,""t"":4183},{""x"":1427,""y"":279,""dx"":-24,""dy"":-2,""t"":4219},{""x"":1412,""y"":282,""dx"":-39,""dy"":1,""t"":4251},{""x"":1404,""y"":290,""dx"":-47,""dy"":9,""t"":4285},{""x"":1397,""y"":291,""dx"":-54,""dy"":10,""t"":4321},{""x"":1393,""y"":291,""dx"":-58,""dy"":10,""t"":4353},{""x"":1390,""y"":298,""dx"":-61,""dy"":17,""t"":4387},{""x"":1387,""y"":302,""dx"":-64,""dy"":21,""t"":4423},{""x"":1382,""y"":307,""dx"":-69,""dy"":26,""t"":4455},{""x"":1378,""y"":306,""dx"":-73,""dy"":25,""t"":4489},{""x"":1379,""y"":311,""dx"":-72,""dy"":30,""t"":4525},{""x"":1394,""y"":293,""dx"":-57,""dy"":12,""t"":4557},{""x"":1388,""y"":301,""dx"":-63,""dy"":20,""t"":4591},{""x"":1380,""y"":321,""dx"":-71,""dy"":40,""t"":4627},{""x"":1371,""y"":340,""dx"":-80,""dy"":59,""t"":4659},{""x"":1372,""y"":342,""dx"":-79,""dy"":61,""t"":4693},{""x"":1357,""y"":353,""dx"":-94,""dy"":72,""t"":4729},{""x"":1359,""y"":365,""dx"":-92,""dy"":84,""t"":4761},{""x"":1355,""y"":359,""dx"":-96,""dy"":78,""t"":4795},{""x"":1356,""y"":362,""dx"":-95,""dy"":81,""t"":4831},{""x"":1354,""y"":358,""dx"":-97,""dy"":77,""t"":4863},{""x"":1350,""y"":354,""dx"":-101,""dy"":73,""t"":4897},{""x"":1355,""y"":367,""dx"":-96,""dy"":86,""t"":4933},{""x"":1353,""y"":379,""dx"":-98,""dy"":98,""t"":4965},{""x"":1364,""y"":388,""dx"":-87,""dy"":107,""t"":5013},{""x"":1374,""y"":396,""dx"":-77,""dy"":115,""t"":5033},{""x"":1378,""y"":406,""dx"":-73,""dy"":125,""t"":5069},{""x"":1383,""y"":408,""dx"":-68,""dy"":127,""t"":5101},{""x"":1394,""y"":382,""dx"":-57,""dy"":101,""t"":5135},{""x"":1392,""y"":374,""dx"":-59,""dy"":93,""t"":5171},{""x"":1387,""y"":384,""dx"":-64,""dy"":103,""t"":5204},{""x"":1387,""y"":386,""dx"":-64,""dy"":105,""t"":5237},{""x"":1400,""y"":372,""dx"":-51,""dy"":91,""t"":5273},{""x"":1400,""y"":381,""dx"":-51,""dy"":100,""t"":5305},{""x"":1409,""y"":366,""dx"":-42,""dy"":85,""t"":5339},{""x"":1407,""y"":369,""dx"":-44,""dy"":88,""t"":5373},{""x"":1410,""y"":351,""dx"":-41,""dy"":70,""t"":5409},{""x"":1426,""y"":323,""dx"":-25,""dy"":42,""t"":5441},{""x"":1439,""y"":308,""dx"":-12,""dy"":27,""t"":5475},{""x"":1448,""y"":292,""dx"":-3,""dy"":11,""t"":5511},{""x"":1455,""y"":271,""dx"":4,""dy"":-10,""t"":5543},{""x"":1459,""y"":255,""dx"":8,""dy"":-26,""t"":5577},{""x"":1465,""y"":248,""dx"":14,""dy"":-33,""t"":5613},{""x"":1461,""y"":261,""dx"":10,""dy"":-20,""t"":5645},{""x"":1454,""y"":264,""dx"":3,""dy"":-17,""t"":5679},{""x"":1437,""y"":296,""dx"":-14,""dy"":15,""t"":5714},{""x"":1437,""y"":300,""dx"":-14,""dy"":19,""t"":5749},{""x"":1414,""y"":336,""dx"":-37,""dy"":55,""t"":5781},{""x"":1403,""y"":367,""dx"":-48,""dy"":86,""t"":5815},{""x"":1410,""y"":357,""dx"":-41,""dy"":76,""t"":5851},{""x"":1422,""y"":350,""dx"":-29,""dy"":69,""t"":5883},{""x"":1434,""y"":354,""dx"":-17,""dy"":73,""t"":5917},{""x"":1442,""y"":349,""dx"":-9,""dy"":68,""t"":5953},{""x"":1448,""y"":351,""dx"":-3,""dy"":70,""t"":5985}],[{""x"":1057,""y"":459,""dx"":86,""dy"":-92,""t"":7005},{""x"":1055,""y"":464,""dx"":84,""dy"":-87,""t"":7041},{""x"":1048,""y"":427,""dx"":77,""dy"":-124,""t"":7074},{""x"":1044,""y"":438,""dx"":73,""dy"":-113,""t"":7107},{""x"":1039,""y"":445,""dx"":68,""dy"":-106,""t"":7144},{""x"":1037,""y"":430,""dx"":66,""dy"":-121,""t"":7176},{""x"":1028,""y"":418,""dx"":57,""dy"":-133,""t"":7210},{""x"":1033,""y"":429,""dx"":62,""dy"":-122,""t"":7245},{""x"":1003,""y"":418,""dx"":32,""dy"":-133,""t"":7278},{""x"":977,""y"":409,""dx"":6,""dy"":-142,""t"":7311},{""x"":949,""y"":408,""dx"":-22,""dy"":-143,""t"":7346},{""x"":948,""y"":430,""dx"":-23,""dy"":-121,""t"":7381},{""x"":970,""y"":451,""dx"":-1,""dy"":-100,""t"":7414},{""x"":968,""y"":459,""dx"":-3,""dy"":-92,""t"":7448},{""x"":979,""y"":468,""dx"":8,""dy"":-83,""t"":7483},{""x"":997,""y"":486,""dx"":26,""dy"":-65,""t"":7516},{""x"":1011,""y"":484,""dx"":40,""dy"":-67,""t"":7550},{""x"":1019,""y"":499,""dx"":48,""dy"":-52,""t"":7585},{""x"":993,""y"":505,""dx"":22,""dy"":-46,""t"":7618},{""x"":1003,""y"":501,""dx"":32,""dy"":-50,""t"":7653},{""x"":977,""y"":505,""dx"":6,""dy"":-46,""t"":7687},{""x"":953,""y"":493,""dx"":-18,""dy"":-58,""t"":7719},{""x"":942,""y"":488,""dx"":-29,""dy"":-63,""t"":7754},{""x"":908,""y"":462,""dx"":-63,""dy"":-89,""t"":7789},{""x"":889,""y"":453,""dx"":-82,""dy"":-98,""t"":7822},{""x"":870,""y"":444,""dx"":-101,""dy"":-107,""t"":7856},{""x"":855,""y"":441,""dx"":-116,""dy"":-110,""t"":7892},{""x"":837,""y"":437,""dx"":-134,""dy"":-114,""t"":7924},{""x"":830,""y"":429,""dx"":-141,""dy"":-122,""t"":7958},{""x"":831,""y"":430,""dx"":-140,""dy"":-121,""t"":7994},{""x"":824,""y"":443,""dx"":-147,""dy"":-108,""t"":8025},{""x"":828,""y"":440,""dx"":-143,""dy"":-111,""t"":8060},{""x"":840,""y"":437,""dx"":-131,""dy"":-114,""t"":8096},{""x"":890,""y"":432,""dx"":-81,""dy"":-119,""t"":8128},{""x"":881,""y"":449,""dx"":-90,""dy"":-102,""t"":8162},{""x"":918,""y"":454,""dx"":-53,""dy"":-97,""t"":8198},{""x"":953,""y"":455,""dx"":-18,""dy"":-96,""t"":8230},{""x"":971,""y"":461,""dx"":0,""dy"":-90,""t"":8264},{""x"":970,""y"":479,""dx"":-1,""dy"":-72,""t"":8300},{""x"":957,""y"":482,""dx"":-14,""dy"":-69,""t"":8333},{""x"":938,""y"":499,""dx"":-33,""dy"":-52,""t"":8365},{""x"":939,""y"":516,""dx"":-32,""dy"":-35,""t"":8402},{""x"":946,""y"":514,""dx"":-25,""dy"":-37,""t"":8434},{""x"":954,""y"":513,""dx"":-17,""dy"":-38,""t"":8468},{""x"":947,""y"":516,""dx"":-24,""dy"":-35,""t"":8501},{""x"":934,""y"":519,""dx"":-37,""dy"":-32,""t"":8538},{""x"":950,""y"":510,""dx"":-21,""dy"":-41,""t"":8570},{""x"":975,""y"":492,""dx"":4,""dy"":-59,""t"":8604},{""x"":970,""y"":489,""dx"":-1,""dy"":-62,""t"":8640},{""x"":966,""y"":484,""dx"":-5,""dy"":-67,""t"":8672},{""x"":969,""y"":484,""dx"":-2,""dy"":-67,""t"":8706},{""x"":993,""y"":473,""dx"":22,""dy"":-78,""t"":8742},{""x"":991,""y"":474,""dx"":20,""dy"":-77,""t"":8774},{""x"":974,""y"":473,""dx"":3,""dy"":-78,""t"":8808},{""x"":968,""y"":471,""dx"":-3,""dy"":-80,""t"":8844},{""x"":959,""y"":475,""dx"":-12,""dy"":-76,""t"":8876},{""x"":951,""y"":478,""dx"":-20,""dy"":-73,""t"":8909},{""x"":957,""y"":487,""dx"":-14,""dy"":-64,""t"":8944},{""x"":978,""y"":479,""dx"":7,""dy"":-72,""t"":8981}],[{""x"":506,""y"":597,""dx"":15,""dy"":-224,""t"":10031},{""x"":508,""y"":599,""dx"":17,""dy"":-222,""t"":10065},{""x"":478,""y"":596,""dx"":-13,""dy"":-225,""t"":10101},{""x"":460,""y"":609,""dx"":-31,""dy"":-212,""t"":10133},{""x"":445,""y"":626,""dx"":-46,""dy"":-195,""t"":10167},{""x"":465,""y"":624,""dx"":-26,""dy"":-197,""t"":10203},{""x"":454,""y"":636,""dx"":-37,""dy"":-185,""t"":10235},{""x"":447,""y"":633,""dx"":-44,""dy"":-188,""t"":10271},{""x"":439,""y"":657,""dx"":-52,""dy"":-164,""t"":10306},{""x"":437,""y"":673,""dx"":-54,""dy"":-148,""t"":10337},{""x"":445,""y"":685,""dx"":-46,""dy"":-136,""t"":10372},{""x"":447,""y"":692,""dx"":-44,""dy"":-129,""t"":10408},{""x"":437,""y"":695,""dx"":-54,""dy"":-126,""t"":10440},{""x"":477,""y"":677,""dx"":-14,""dy"":-144,""t"":10474},{""x"":465,""y"":683,""dx"":-26,""dy"":-138,""t"":10507},{""x"":513,""y"":663,""dx"":22,""dy"":-158,""t"":10543},{""x"":547,""y"":654,""dx"":56,""dy"":-167,""t"":10576},{""x"":574,""y"":639,""dx"":83,""dy"":-182,""t"":10609},{""x"":599,""y"":613,""dx"":108,""dy"":-208,""t"":10643},{""x"":614,""y"":587,""dx"":123,""dy"":-234,""t"":10679},{""x"":631,""y"":580,""dx"":140,""dy"":-241,""t"":10712},{""x"":645,""y"":574,""dx"":154,""dy"":-247,""t"":10746},{""x"":650,""y"":566,""dx"":159,""dy"":-255,""t"":10781},{""x"":660,""y"":563,""dx"":169,""dy"":-258,""t"":10814},{""x"":664,""y"":560,""dx"":173,""dy"":-261,""t"":10848},{""x"":663,""y"":552,""dx"":172,""dy"":-269,""t"":10884},{""x"":666,""y"":549,""dx"":175,""dy"":-272,""t"":10916},{""x"":657,""y"":546,""dx"":166,""dy"":-275,""t"":10949},{""x"":648,""y"":548,""dx"":157,""dy"":-273,""t"":10985},{""x"":658,""y"":554,""dx"":167,""dy"":-267,""t"":11017},{""x"":653,""y"":559,""dx"":162,""dy"":-262,""t"":11051},{""x"":648,""y"":572,""dx"":157,""dy"":-249,""t"":11087},{""x"":636,""y"":564,""dx"":145,""dy"":-257,""t"":11119},{""x"":623,""y"":566,""dx"":132,""dy"":-255,""t"":11153},{""x"":614,""y"":552,""dx"":123,""dy"":-269,""t"":11189},{""x"":600,""y"":555,""dx"":109,""dy"":-266,""t"":11221},{""x"":593,""y"":552,""dx"":102,""dy"":-269,""t"":11256},{""x"":587,""y"":557,""dx"":96,""dy"":-264,""t"":11291},{""x"":575,""y"":559,""dx"":84,""dy"":-262,""t"":11323},{""x"":577,""y"":569,""dx"":86,""dy"":-252,""t"":11357},{""x"":580,""y"":573,""dx"":89,""dy"":-248,""t"":11393},{""x"":589,""y"":588,""dx"":98,""dy"":-233,""t"":11425},{""x"":590,""y"":596,""dx"":99,""dy"":-225,""t"":11459},{""x"":592,""y"":609,""dx"":101,""dy"":-212,""t"":11495},{""x"":614,""y"":579,""dx"":123,""dy"":-242,""t"":11527},{""x"":635,""y"":560,""dx"":144,""dy"":-261,""t"":11561},{""x"":596,""y"":604,""dx"":105,""dy"":-217,""t"":11598},{""x"":586,""y"":625,""dx"":95,""dy"":-196,""t"":11629},{""x"":613,""y"":622,""dx"":122,""dy"":-199,""t"":11664},{""x"":632,""y"":619,""dx"":141,""dy"":-202,""t"":11699},{""x"":601,""y"":630,""dx"":110,""dy"":-191,""t"":11731},{""x"":567,""y"":653,""dx"":76,""dy"":-168,""t"":11765},{""x"":533,""y"":682,""dx"":42,""dy"":-139,""t"":11801},{""x"":565,""y"":682,""dx"":74,""dy"":-139,""t"":11834},{""x"":542,""y"":702,""dx"":51,""dy"":-119,""t"":11868},{""x"":513,""y"":730,""dx"":22,""dy"":-91,""t"":11903},{""x"":483,""y"":726,""dx"":-8,""dy"":-95,""t"":11936},{""x"":485,""y"":736,""dx"":-6,""dy"":-85,""t"":11969}],[{""x"":1434,""y"":614,""dx"":-17,""dy"":-207,""t"":13025},{""x"":1432,""y"":604,""dx"":-19,""dy"":-217,""t"":13057},{""x"":1425,""y"":595,""dx"":-26,""dy"":-226,""t"":13091},{""x"":1415,""y"":600,""dx"":-36,""dy"":-221,""t"":13127},{""x"":1408,""y"":603,""dx"":-43,""dy"":-218,""t"":13159},{""x"":1384,""y"":602,""dx"":-67,""dy"":-219,""t"":13194},{""x"":1376,""y"":590,""dx"":-75,""dy"":-231,""t"":13229},{""x"":1371,""y"":579,""dx"":-80,""dy"":-242,""t"":13261},{""x"":1376,""y"":580,""dx"":-75,""dy"":-241,""t"":13296},{""x"":1363,""y"":565,""dx"":-88,""dy"":-256,""t"":13331},{""x"":1374,""y"":585,""dx"":-77,""dy"":-236,""t"":13364},{""x"":1376,""y"":586,""dx"":-75,""dy"":-235,""t"":13398},{""x"":1366,""y"":597,""dx"":-85,""dy"":-224,""t"":13433},{""x"":1367,""y"":569,""dx"":-84,""dy"":-252,""t"":13466},{""x"":1364,""y"":554,""dx"":-87,""dy"":-267,""t"":13500},{""x"":1361,""y"":559,""dx"":-90,""dy"":-262,""t"":13535},{""x"":1368,""y"":551,""dx"":-83,""dy"":-270,""t"":13569},{""x"":1363,""y"":548,""dx"":-88,""dy"":-273,""t"":13602},{""x"":1358,""y"":566,""dx"":-93,""dy"":-255,""t"":13638},{""x"":1359,""y"":589,""dx"":-92,""dy"":-232,""t"":13670},{""x"":1360,""y"":609,""dx"":-91,""dy"":-212,""t"":13703},{""x"":1366,""y"":590,""dx"":-85,""dy"":-231,""t"":13738},{""x"":1368,""y"":594,""dx"":-83,""dy"":-227,""t"":13773},{""x"":1369,""y"":606,""dx"":-82,""dy"":-215,""t"":13806},{""x"":1368,""y"":613,""dx"":-83,""dy"":-208,""t"":13840},{""x"":1348,""y"":619,""dx"":-103,""dy"":-202,""t"":13876},{""x"":1349,""y"":599,""dx"":-102,""dy"":-222,""t"":13908},{""x"":1346,""y"":613,""dx"":-105,""dy"":-208,""t"":13941},{""x"":1355,""y"":617,""dx"":-96,""dy"":-204,""t"":13978},{""x"":1352,""y"":624,""dx"":-99,""dy"":-197,""t"":14010},{""x"":1356,""y"":640,""dx"":-95,""dy"":-181,""t"":14044},{""x"":1365,""y"":669,""dx"":-86,""dy"":-152,""t"":14081},{""x"":1383,""y"":669,""dx"":-68,""dy"":-152,""t"":14111},{""x"":1403,""y"":667,""dx"":-48,""dy"":-154,""t"":14146},{""x"":1402,""y"":682,""dx"":-49,""dy"":-139,""t"":14180},{""x"":1399,""y"":688,""dx"":-52,""dy"":-133,""t"":14216},{""x"":1398,""y"":692,""dx"":-53,""dy"":-129,""t"":14247},{""x"":1405,""y"":693,""dx"":-46,""dy"":-128,""t"":14282},{""x"":1401,""y"":694,""dx"":-50,""dy"":-127,""t"":14317},{""x"":1409,""y"":703,""dx"":-42,""dy"":-118,""t"":14350},{""x"":1402,""y"":688,""dx"":-49,""dy"":-133,""t"":14384},{""x"":1399,""y"":692,""dx"":-52,""dy"":-129,""t"":14420},{""x"":1407,""y"":689,""dx"":-44,""dy"":-132,""t"":14452},{""x"":1406,""y"":696,""dx"":-45,""dy"":-125,""t"":14486},{""x"":1411,""y"":681,""dx"":-40,""dy"":-140,""t"":14522},{""x"":1416,""y"":680,""dx"":-35,""dy"":-141,""t"":14555},{""x"":1415,""y"":689,""dx"":-36,""dy"":-132,""t"":14587},{""x"":1408,""y"":690,""dx"":-43,""dy"":-131,""t"":14624},{""x"":1409,""y"":679,""dx"":-42,""dy"":-142,""t"":14656},{""x"":1410,""y"":676,""dx"":-41,""dy"":-145,""t"":14691},{""x"":1399,""y"":683,""dx"":-52,""dy"":-138,""t"":14726},{""x"":1382,""y"":666,""dx"":-69,""dy"":-155,""t"":14758},{""x"":1378,""y"":684,""dx"":-73,""dy"":-137,""t"":14792},{""x"":1373,""y"":680,""dx"":-78,""dy"":-141,""t"":14828},{""x"":1378,""y"":688,""dx"":-73,""dy"":-133,""t"":14860},{""x"":1374,""y"":689,""dx"":-77,""dy"":-132,""t"":14895},{""x"":1379,""y"":698,""dx"":-72,""dy"":-123,""t"":14929},{""x"":1376,""y"":705,""dx"":-75,""dy"":-116,""t"":14962},{""x"":1362,""y"":696,""dx"":-89,""dy"":-125,""t"":14996}]]","[100,100,100,32.758620689655174,47.45762711864407]","[{""x"":19.448275862068964,""y"":25.689655172413794,""r"":80.98777518957323},{""x"":-44.79661016949152,""y"":47.016949152542374,""r"":47.69881809769782},{""x"":-16.06779661016949,""y"":-85.10169491525424,""r"":48.923995248931746},{""x"":73.15517241379311,""y"":-208.05172413793105,""r"":130.83771526696626},{""x"":-67.50847457627118,""y"":-184.28813559322035,""r"":52.57571659325677}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
"","html-button-response","10","50665","0.0-5.0-4.0-0.0-0.0","","","","","679","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","61207","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","61910","0.0-5.0-4.0-0.0-2.0","","","","","702","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
