"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","5978","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","5982","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","8620","0.0-2.0-0.0","","","","","2637","{""name"":""张昊"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","9498","0.0-2.0-1.0","","","","","877","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","9981","0.0-3.0","","","","","481"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","49783","0.0-4.0","","","","","","","","","4206","","","","","","","","","","","","","","","",""
"","html-button-response","6","50320","0.0-5.0-0.0","","","","","535","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","60346","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","60898","0.0-5.0-2.0","","","","","552","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","77840","0.0-5.0-3.0","","","","","","","","","","[[{""x"":471,""y"":356,""dx"":33.166656494140625,""dy"":105,""t"":989},{""x"":479,""y"":326,""dx"":41.166656494140625,""dy"":75,""t"":1025},{""x"":473,""y"":322,""dx"":35.166656494140625,""dy"":71,""t"":1057},{""x"":455,""y"":294,""dx"":17.166656494140625,""dy"":43,""t"":1091},{""x"":440,""y"":291,""dx"":2.166656494140625,""dy"":40,""t"":1128},{""x"":427,""y"":288,""dx"":-10.833343505859375,""dy"":37,""t"":1158},{""x"":426,""y"":279,""dx"":-11.833343505859375,""dy"":28,""t"":1196},{""x"":431,""y"":287,""dx"":-6.833343505859375,""dy"":36,""t"":1225},{""x"":446,""y"":314,""dx"":8.166656494140625,""dy"":63,""t"":1262},{""x"":464,""y"":315,""dx"":26.166656494140625,""dy"":64,""t"":1299},{""x"":440,""y"":323,""dx"":2.166656494140625,""dy"":72,""t"":1328},{""x"":414,""y"":329,""dx"":-23.833343505859375,""dy"":78,""t"":1364},{""x"":406,""y"":363,""dx"":-31.833343505859375,""dy"":112,""t"":1396},{""x"":402,""y"":383,""dx"":-35.833343505859375,""dy"":132,""t"":1431},{""x"":408,""y"":399,""dx"":-29.833343505859375,""dy"":148,""t"":1468},{""x"":407,""y"":382,""dx"":-30.833343505859375,""dy"":131,""t"":1499},{""x"":417,""y"":397,""dx"":-20.833343505859375,""dy"":146,""t"":1534},{""x"":437,""y"":392,""dx"":-0.833343505859375,""dy"":141,""t"":1571},{""x"":440,""y"":401,""dx"":2.166656494140625,""dy"":150,""t"":1602},{""x"":420,""y"":395,""dx"":-17.833343505859375,""dy"":144,""t"":1635},{""x"":442,""y"":406,""dx"":4.166656494140625,""dy"":155,""t"":1668},{""x"":431,""y"":399,""dx"":-6.833343505859375,""dy"":148,""t"":1706},{""x"":417,""y"":399,""dx"":-20.833343505859375,""dy"":148,""t"":1739},{""x"":405,""y"":406,""dx"":-32.833343505859375,""dy"":155,""t"":1771},{""x"":399,""y"":419,""dx"":-38.833343505859375,""dy"":168,""t"":1808},{""x"":390,""y"":403,""dx"":-47.833343505859375,""dy"":152,""t"":1838},{""x"":394,""y"":415,""dx"":-43.833343505859375,""dy"":164,""t"":1874},{""x"":404,""y"":417,""dx"":-33.833343505859375,""dy"":166,""t"":1908},{""x"":450,""y"":388,""dx"":12.166656494140625,""dy"":137,""t"":1941},{""x"":482,""y"":358,""dx"":44.166656494140625,""dy"":107,""t"":1977},{""x"":508,""y"":332,""dx"":70.16665649414062,""dy"":81,""t"":2007},{""x"":513,""y"":364,""dx"":75.16665649414062,""dy"":113,""t"":2044},{""x"":504,""y"":353,""dx"":66.16665649414062,""dy"":102,""t"":2080},{""x"":488,""y"":365,""dx"":50.166656494140625,""dy"":114,""t"":2110},{""x"":503,""y"":367,""dx"":65.16665649414062,""dy"":116,""t"":2147},{""x"":497,""y"":357,""dx"":59.166656494140625,""dy"":106,""t"":2177},{""x"":460,""y"":362,""dx"":22.166656494140625,""dy"":111,""t"":2213},{""x"":464,""y"":365,""dx"":26.166656494140625,""dy"":114,""t"":2251},{""x"":468,""y"":368,""dx"":30.166656494140625,""dy"":117,""t"":2279},{""x"":470,""y"":358,""dx"":32.166656494140625,""dy"":107,""t"":2315},{""x"":479,""y"":357,""dx"":41.166656494140625,""dy"":106,""t"":2353},{""x"":463,""y"":333,""dx"":25.166656494140625,""dy"":82,""t"":2384},{""x"":447,""y"":322,""dx"":9.166656494140625,""dy"":71,""t"":2419},{""x"":457,""y"":320,""dx"":19.166656494140625,""dy"":69,""t"":2450},{""x"":444,""y"":315,""dx"":6.166656494140625,""dy"":64,""t"":2486},{""x"":420,""y"":331,""dx"":-17.833343505859375,""dy"":80,""t"":2523},{""x"":415,""y"":344,""dx"":-22.833343505859375,""dy"":93,""t"":2552},{""x"":422,""y"":362,""dx"":-15.833343505859375,""dy"":111,""t"":2587},{""x"":422,""y"":353,""dx"":-15.833343505859375,""dy"":102,""t"":2620},{""x"":435,""y"":349,""dx"":-2.833343505859375,""dy"":98,""t"":2653},{""x"":419,""y"":363,""dx"":-18.833343505859375,""dy"":112,""t"":2691},{""x"":425,""y"":349,""dx"":-12.833343505859375,""dy"":98,""t"":2723},{""x"":412,""y"":338,""dx"":-25.833343505859375,""dy"":87,""t"":2758},{""x"":420,""y"":346,""dx"":-17.833343505859375,""dy"":95,""t"":2796},{""x"":459,""y"":376,""dx"":21.166656494140625,""dy"":125,""t"":2825},{""x"":466,""y"":363,""dx"":28.166656494140625,""dy"":112,""t"":2859},{""x"":435,""y"":377,""dx"":-2.833343505859375,""dy"":126,""t"":2892},{""x"":408,""y"":375,""dx"":-29.833343505859375,""dy"":124,""t"":2929},{""x"":419,""y"":397,""dx"":-18.833343505859375,""dy"":146,""t"":2962}],[{""x"":1369,""y"":414,""dx"":77.5,""dy"":163,""t"":4014},{""x"":1344,""y"":421,""dx"":52.5,""dy"":170,""t"":4049},{""x"":1323,""y"":441,""dx"":31.5,""dy"":190,""t"":4083},{""x"":1306,""y"":457,""dx"":14.5,""dy"":206,""t"":4115},{""x"":1313,""y"":445,""dx"":21.5,""dy"":194,""t"":4153},{""x"":1311,""y"":431,""dx"":19.5,""dy"":180,""t"":4182},{""x"":1280,""y"":430,""dx"":-11.5,""dy"":179,""t"":4219},{""x"":1276,""y"":449,""dx"":-15.5,""dy"":198,""t"":4255},{""x"":1285,""y"":428,""dx"":-6.5,""dy"":177,""t"":4287},{""x"":1263,""y"":422,""dx"":-28.5,""dy"":171,""t"":4322},{""x"":1270,""y"":417,""dx"":-21.5,""dy"":166,""t"":4354},{""x"":1234,""y"":419,""dx"":-57.5,""dy"":168,""t"":4390},{""x"":1206,""y"":409,""dx"":-85.5,""dy"":158,""t"":4425},{""x"":1245,""y"":377,""dx"":-46.5,""dy"":126,""t"":4455},{""x"":1316,""y"":368,""dx"":24.5,""dy"":117,""t"":4492},{""x"":1327,""y"":370,""dx"":35.5,""dy"":119,""t"":4528},{""x"":1401,""y"":365,""dx"":109.5,""dy"":114,""t"":4558},{""x"":1401,""y"":337,""dx"":109.5,""dy"":86,""t"":4595},{""x"":1400,""y"":337,""dx"":108.5,""dy"":86,""t"":4625},{""x"":1430,""y"":315,""dx"":138.5,""dy"":64,""t"":4661},{""x"":1366,""y"":327,""dx"":74.5,""dy"":76,""t"":4699},{""x"":1367,""y"":328,""dx"":75.5,""dy"":77,""t"":4728},{""x"":1343,""y"":328,""dx"":51.5,""dy"":77,""t"":4763},{""x"":1331,""y"":331,""dx"":39.5,""dy"":80,""t"":4802},{""x"":1344,""y"":309,""dx"":52.5,""dy"":58,""t"":4831},{""x"":1318,""y"":359,""dx"":26.5,""dy"":108,""t"":4867},{""x"":1355,""y"":343,""dx"":63.5,""dy"":92,""t"":4899},{""x"":1368,""y"":348,""dx"":76.5,""dy"":97,""t"":4934},{""x"":1342,""y"":337,""dx"":50.5,""dy"":86,""t"":4970},{""x"":1367,""y"":352,""dx"":75.5,""dy"":101,""t"":5002},{""x"":1352,""y"":360,""dx"":60.5,""dy"":109,""t"":5036},{""x"":1295,""y"":357,""dx"":3.5,""dy"":106,""t"":5067},{""x"":1304,""y"":352,""dx"":12.5,""dy"":101,""t"":5105},{""x"":1298,""y"":357,""dx"":6.5,""dy"":106,""t"":5139},{""x"":1301,""y"":347,""dx"":9.5,""dy"":96,""t"":5170},{""x"":1285,""y"":346,""dx"":-6.5,""dy"":95,""t"":5208},{""x"":1266,""y"":344,""dx"":-25.5,""dy"":93,""t"":5237},{""x"":1203,""y"":346,""dx"":-88.5,""dy"":95,""t"":5273},{""x"":1225,""y"":332,""dx"":-66.5,""dy"":81,""t"":5308},{""x"":1231,""y"":317,""dx"":-60.5,""dy"":66,""t"":5340},{""x"":1254,""y"":303,""dx"":-37.5,""dy"":52,""t"":5376},{""x"":1247,""y"":295,""dx"":-44.5,""dy"":44,""t"":5410},{""x"":1252,""y"":307,""dx"":-39.5,""dy"":56,""t"":5444},{""x"":1324,""y"":309,""dx"":32.5,""dy"":58,""t"":5480},{""x"":1305,""y"":310,""dx"":13.5,""dy"":59,""t"":5510},{""x"":1354,""y"":303,""dx"":62.5,""dy"":52,""t"":5547},{""x"":1371,""y"":300,""dx"":79.5,""dy"":49,""t"":5579},{""x"":1398,""y"":309,""dx"":106.5,""dy"":58,""t"":5613},{""x"":1396,""y"":313,""dx"":104.5,""dy"":62,""t"":5650},{""x"":1388,""y"":315,""dx"":96.5,""dy"":64,""t"":5679},{""x"":1386,""y"":318,""dx"":94.5,""dy"":67,""t"":5719},{""x"":1373,""y"":351,""dx"":81.5,""dy"":100,""t"":5753},{""x"":1280,""y"":359,""dx"":-11.5,""dy"":108,""t"":5781},{""x"":1126,""y"":388,""dx"":-165.5,""dy"":137,""t"":5819},{""x"":1033,""y"":381,""dx"":-258.5,""dy"":130,""t"":5850},{""x"":896,""y"":400,""dx"":-395.5,""dy"":149,""t"":5885},{""x"":834,""y"":397,""dx"":-457.5,""dy"":146,""t"":5922},{""x"":778,""y"":406,""dx"":-513.5,""dy"":155,""t"":5953},{""x"":723,""y"":413,""dx"":-568.5,""dy"":162,""t"":5987}],[{""x"":770,""y"":452,""dx"":-94.66668701171875,""dy"":-39,""t"":7006},{""x"":773,""y"":444,""dx"":-91.66668701171875,""dy"":-47,""t"":7047},{""x"":794,""y"":454,""dx"":-70.66668701171875,""dy"":-37,""t"":7073},{""x"":792,""y"":453,""dx"":-72.66668701171875,""dy"":-38,""t"":7109},{""x"":812,""y"":469,""dx"":-52.66668701171875,""dy"":-22,""t"":7146},{""x"":837,""y"":475,""dx"":-27.66668701171875,""dy"":-16,""t"":7177},{""x"":845,""y"":483,""dx"":-19.66668701171875,""dy"":-8,""t"":7211},{""x"":826,""y"":477,""dx"":-38.66668701171875,""dy"":-14,""t"":7249},{""x"":828,""y"":482,""dx"":-36.66668701171875,""dy"":-9,""t"":7280},{""x"":810,""y"":484,""dx"":-54.66668701171875,""dy"":-7,""t"":7312},{""x"":793,""y"":475,""dx"":-71.66668701171875,""dy"":-16,""t"":7346},{""x"":807,""y"":481,""dx"":-57.66668701171875,""dy"":-10,""t"":7383},{""x"":874,""y"":487,""dx"":9.33331298828125,""dy"":-4,""t"":7418},{""x"":899,""y"":477,""dx"":34.33331298828125,""dy"":-14,""t"":7448},{""x"":882,""y"":481,""dx"":17.33331298828125,""dy"":-10,""t"":7484},{""x"":871,""y"":468,""dx"":6.33331298828125,""dy"":-23,""t"":7515},{""x"":868,""y"":463,""dx"":3.33331298828125,""dy"":-28,""t"":7552},{""x"":895,""y"":471,""dx"":30.33331298828125,""dy"":-20,""t"":7587},{""x"":898,""y"":468,""dx"":33.33331298828125,""dy"":-23,""t"":7619},{""x"":873,""y"":469,""dx"":8.33331298828125,""dy"":-22,""t"":7655},{""x"":852,""y"":456,""dx"":-12.66668701171875,""dy"":-35,""t"":7686},{""x"":837,""y"":448,""dx"":-27.66668701171875,""dy"":-43,""t"":7721},{""x"":818,""y"":465,""dx"":-46.66668701171875,""dy"":-26,""t"":7755},{""x"":807,""y"":487,""dx"":-57.66668701171875,""dy"":-4,""t"":7789},{""x"":817,""y"":480,""dx"":-47.66668701171875,""dy"":-11,""t"":7825},{""x"":813,""y"":501,""dx"":-51.66668701171875,""dy"":10,""t"":7855},{""x"":805,""y"":487,""dx"":-59.66668701171875,""dy"":-4,""t"":7892},{""x"":790,""y"":482,""dx"":-74.66668701171875,""dy"":-9,""t"":7927},{""x"":802,""y"":484,""dx"":-62.66668701171875,""dy"":-7,""t"":7958},{""x"":809,""y"":486,""dx"":-55.66668701171875,""dy"":-5,""t"":7995},{""x"":845,""y"":448,""dx"":-19.66668701171875,""dy"":-43,""t"":8027},{""x"":806,""y"":443,""dx"":-58.66668701171875,""dy"":-48,""t"":8061},{""x"":797,""y"":421,""dx"":-67.66668701171875,""dy"":-70,""t"":8098},{""x"":826,""y"":419,""dx"":-38.66668701171875,""dy"":-72,""t"":8127},{""x"":827,""y"":399,""dx"":-37.66668701171875,""dy"":-92,""t"":8163},{""x"":877,""y"":420,""dx"":12.33331298828125,""dy"":-71,""t"":8201},{""x"":898,""y"":416,""dx"":33.33331298828125,""dy"":-75,""t"":8229},{""x"":875,""y"":430,""dx"":10.33331298828125,""dy"":-61,""t"":8267},{""x"":896,""y"":440,""dx"":31.33331298828125,""dy"":-51,""t"":8297},{""x"":861,""y"":456,""dx"":-3.66668701171875,""dy"":-35,""t"":8334},{""x"":815,""y"":474,""dx"":-49.66668701171875,""dy"":-17,""t"":8369},{""x"":802,""y"":461,""dx"":-62.66668701171875,""dy"":-30,""t"":8400},{""x"":789,""y"":466,""dx"":-75.66668701171875,""dy"":-25,""t"":8435},{""x"":800,""y"":471,""dx"":-64.66668701171875,""dy"":-20,""t"":8468},{""x"":807,""y"":464,""dx"":-57.66668701171875,""dy"":-27,""t"":8504},{""x"":842,""y"":454,""dx"":-22.66668701171875,""dy"":-37,""t"":8539},{""x"":848,""y"":467,""dx"":-16.66668701171875,""dy"":-24,""t"":8571},{""x"":841,""y"":481,""dx"":-23.66668701171875,""dy"":-10,""t"":8606},{""x"":840,""y"":473,""dx"":-24.66668701171875,""dy"":-18,""t"":8640},{""x"":844,""y"":463,""dx"":-20.66668701171875,""dy"":-28,""t"":8674},{""x"":838,""y"":462,""dx"":-26.66668701171875,""dy"":-29,""t"":8707},{""x"":769,""y"":483,""dx"":-95.66668701171875,""dy"":-8,""t"":8740},{""x"":799,""y"":487,""dx"":-65.66668701171875,""dy"":-4,""t"":8777},{""x"":770,""y"":482,""dx"":-94.66668701171875,""dy"":-9,""t"":8811},{""x"":783,""y"":500,""dx"":-81.66668701171875,""dy"":9,""t"":8843},{""x"":771,""y"":501,""dx"":-93.66668701171875,""dy"":10,""t"":8880},{""x"":773,""y"":493,""dx"":-91.66668701171875,""dy"":2,""t"":8909},{""x"":815,""y"":493,""dx"":-49.66668701171875,""dy"":2,""t"":8946},{""x"":776,""y"":503,""dx"":-88.66668701171875,""dy"":12,""t"":8979}],[{""x"":619,""y"":723,""dx"":181.16665649414062,""dy"":-8,""t"":10000},{""x"":591,""y"":727,""dx"":153.16665649414062,""dy"":-4,""t"":10036},{""x"":570,""y"":740,""dx"":132.16665649414062,""dy"":9,""t"":10066},{""x"":578,""y"":744,""dx"":140.16665649414062,""dy"":13,""t"":10103},{""x"":551,""y"":717,""dx"":113.16665649414062,""dy"":-14,""t"":10133},{""x"":606,""y"":728,""dx"":168.16665649414062,""dy"":-3,""t"":10171},{""x"":553,""y"":754,""dx"":115.16665649414062,""dy"":23,""t"":10203},{""x"":522,""y"":764,""dx"":84.16665649414062,""dy"":33,""t"":10236},{""x"":510,""y"":757,""dx"":72.16665649414062,""dy"":26,""t"":10274},{""x"":501,""y"":760,""dx"":63.166656494140625,""dy"":29,""t"":10303},{""x"":530,""y"":774,""dx"":92.16665649414062,""dy"":43,""t"":10339},{""x"":526,""y"":767,""dx"":88.16665649414062,""dy"":36,""t"":10377},{""x"":511,""y"":782,""dx"":73.16665649414062,""dy"":51,""t"":10406},{""x"":511,""y"":779,""dx"":73.16665649414062,""dy"":48,""t"":10442},{""x"":532,""y"":794,""dx"":94.16665649414062,""dy"":63,""t"":10476},{""x"":540,""y"":788,""dx"":102.16665649414062,""dy"":57,""t"":10509},{""x"":557,""y"":752,""dx"":119.16665649414062,""dy"":21,""t"":10545},{""x"":559,""y"":760,""dx"":121.16665649414062,""dy"":29,""t"":10576},{""x"":554,""y"":734,""dx"":116.16665649414062,""dy"":3,""t"":10611},{""x"":586,""y"":727,""dx"":148.16665649414062,""dy"":-4,""t"":10648},{""x"":618,""y"":728,""dx"":180.16665649414062,""dy"":-3,""t"":10680},{""x"":629,""y"":724,""dx"":191.16665649414062,""dy"":-7,""t"":10715},{""x"":645,""y"":705,""dx"":207.16665649414062,""dy"":-26,""t"":10745},{""x"":619,""y"":714,""dx"":181.16665649414062,""dy"":-17,""t"":10782},{""x"":599,""y"":727,""dx"":161.16665649414062,""dy"":-4,""t"":10818},{""x"":596,""y"":749,""dx"":158.16665649414062,""dy"":18,""t"":10849},{""x"":567,""y"":753,""dx"":129.16665649414062,""dy"":22,""t"":10884},{""x"":565,""y"":751,""dx"":127.16665649414062,""dy"":20,""t"":10915},{""x"":540,""y"":757,""dx"":102.16665649414062,""dy"":26,""t"":10951},{""x"":528,""y"":771,""dx"":90.16665649414062,""dy"":40,""t"":10988},{""x"":535,""y"":772,""dx"":97.16665649414062,""dy"":41,""t"":11018},{""x"":526,""y"":770,""dx"":88.16665649414062,""dy"":39,""t"":11054},{""x"":531,""y"":773,""dx"":93.16665649414062,""dy"":42,""t"":11092},{""x"":570,""y"":781,""dx"":132.16665649414062,""dy"":50,""t"":11122},{""x"":590,""y"":783,""dx"":152.16665649414062,""dy"":52,""t"":11156},{""x"":592,""y"":758,""dx"":154.16665649414062,""dy"":27,""t"":11189},{""x"":586,""y"":759,""dx"":148.16665649414062,""dy"":28,""t"":11224},{""x"":581,""y"":756,""dx"":143.16665649414062,""dy"":25,""t"":11260},{""x"":563,""y"":755,""dx"":125.16665649414062,""dy"":24,""t"":11297},{""x"":547,""y"":754,""dx"":109.16665649414062,""dy"":23,""t"":11327},{""x"":537,""y"":733,""dx"":99.16665649414062,""dy"":2,""t"":11357},{""x"":543,""y"":718,""dx"":105.16665649414062,""dy"":-13,""t"":11394},{""x"":557,""y"":729,""dx"":119.16665649414062,""dy"":-2,""t"":11428},{""x"":565,""y"":722,""dx"":127.16665649414062,""dy"":-9,""t"":11461},{""x"":585,""y"":714,""dx"":147.16665649414062,""dy"":-17,""t"":11497},{""x"":601,""y"":707,""dx"":163.16665649414062,""dy"":-24,""t"":11527},{""x"":582,""y"":704,""dx"":144.16665649414062,""dy"":-27,""t"":11564},{""x"":585,""y"":693,""dx"":147.16665649414062,""dy"":-38,""t"":11600},{""x"":600,""y"":704,""dx"":162.16665649414062,""dy"":-27,""t"":11630},{""x"":608,""y"":712,""dx"":170.16665649414062,""dy"":-19,""t"":11667},{""x"":590,""y"":711,""dx"":152.16665649414062,""dy"":-20,""t"":11699},{""x"":582,""y"":724,""dx"":144.16665649414062,""dy"":-7,""t"":11733},{""x"":575,""y"":724,""dx"":137.16665649414062,""dy"":-7,""t"":11770},{""x"":570,""y"":725,""dx"":132.16665649414062,""dy"":-6,""t"":11799},{""x"":560,""y"":731,""dx"":122.16665649414062,""dy"":0,""t"":11836},{""x"":545,""y"":739,""dx"":107.16665649414062,""dy"":8,""t"":11867},{""x"":537,""y"":729,""dx"":99.16665649414062,""dy"":-2,""t"":11904},{""x"":524,""y"":741,""dx"":86.16665649414062,""dy"":10,""t"":11939},{""x"":553,""y"":747,""dx"":115.16665649414062,""dy"":16,""t"":11969}],[{""x"":1226,""y"":799,""dx"":-65.5,""dy"":68,""t"":13023},{""x"":1239,""y"":779,""dx"":-52.5,""dy"":48,""t"":13059},{""x"":1236,""y"":766,""dx"":-55.5,""dy"":35,""t"":13097},{""x"":1234,""y"":756,""dx"":-57.5,""dy"":25,""t"":13127},{""x"":1229,""y"":771,""dx"":-62.5,""dy"":40,""t"":13163},{""x"":1237,""y"":791,""dx"":-54.5,""dy"":60,""t"":13194},{""x"":1209,""y"":814,""dx"":-82.5,""dy"":83,""t"":13230},{""x"":1232,""y"":842,""dx"":-59.5,""dy"":111,""t"":13266},{""x"":1219,""y"":841,""dx"":-72.5,""dy"":110,""t"":13297},{""x"":1204,""y"":848,""dx"":-87.5,""dy"":117,""t"":13331},{""x"":1211,""y"":838,""dx"":-80.5,""dy"":107,""t"":13363},{""x"":1216,""y"":829,""dx"":-75.5,""dy"":98,""t"":13400},{""x"":1172,""y"":827,""dx"":-119.5,""dy"":96,""t"":13436},{""x"":1165,""y"":817,""dx"":-126.5,""dy"":86,""t"":13466},{""x"":1181,""y"":825,""dx"":-110.5,""dy"":94,""t"":13504},{""x"":1204,""y"":810,""dx"":-87.5,""dy"":79,""t"":13533},{""x"":1238,""y"":799,""dx"":-53.5,""dy"":68,""t"":13569},{""x"":1251,""y"":773,""dx"":-40.5,""dy"":42,""t"":13604},{""x"":1243,""y"":768,""dx"":-48.5,""dy"":37,""t"":13636},{""x"":1255,""y"":781,""dx"":-36.5,""dy"":50,""t"":13672},{""x"":1252,""y"":763,""dx"":-39.5,""dy"":32,""t"":13708},{""x"":1242,""y"":760,""dx"":-49.5,""dy"":29,""t"":13739},{""x"":1226,""y"":771,""dx"":-65.5,""dy"":40,""t"":13775},{""x"":1231,""y"":782,""dx"":-60.5,""dy"":51,""t"":13806},{""x"":1234,""y"":786,""dx"":-57.5,""dy"":55,""t"":13842},{""x"":1227,""y"":807,""dx"":-64.5,""dy"":76,""t"":13875},{""x"":1226,""y"":816,""dx"":-65.5,""dy"":85,""t"":13909},{""x"":1234,""y"":840,""dx"":-57.5,""dy"":109,""t"":13945},{""x"":1248,""y"":814,""dx"":-43.5,""dy"":83,""t"":13975},{""x"":1247,""y"":819,""dx"":-44.5,""dy"":88,""t"":14012},{""x"":1240,""y"":819,""dx"":-51.5,""dy"":88,""t"":14048},{""x"":1223,""y"":829,""dx"":-68.5,""dy"":98,""t"":14077},{""x"":1223,""y"":815,""dx"":-68.5,""dy"":84,""t"":14115},{""x"":1231,""y"":811,""dx"":-60.5,""dy"":80,""t"":14145},{""x"":1219,""y"":819,""dx"":-72.5,""dy"":88,""t"":14181},{""x"":1247,""y"":819,""dx"":-44.5,""dy"":88,""t"":14218},{""x"":1230,""y"":837,""dx"":-61.5,""dy"":106,""t"":14248},{""x"":1213,""y"":820,""dx"":-78.5,""dy"":89,""t"":14283},{""x"":1226,""y"":801,""dx"":-65.5,""dy"":70,""t"":14321},{""x"":1239,""y"":835,""dx"":-52.5,""dy"":104,""t"":14352},{""x"":1212,""y"":831,""dx"":-79.5,""dy"":100,""t"":14387},{""x"":1238,""y"":821,""dx"":-53.5,""dy"":90,""t"":14418},{""x"":1275,""y"":837,""dx"":-16.5,""dy"":106,""t"":14455},{""x"":1232,""y"":844,""dx"":-59.5,""dy"":113,""t"":14485},{""x"":1224,""y"":837,""dx"":-67.5,""dy"":106,""t"":14521},{""x"":1223,""y"":833,""dx"":-68.5,""dy"":102,""t"":14556},{""x"":1239,""y"":826,""dx"":-52.5,""dy"":95,""t"":14587},{""x"":1217,""y"":833,""dx"":-74.5,""dy"":102,""t"":14624},{""x"":1232,""y"":830,""dx"":-59.5,""dy"":99,""t"":14660},{""x"":1184,""y"":829,""dx"":-107.5,""dy"":98,""t"":14690},{""x"":1143,""y"":827,""dx"":-148.5,""dy"":96,""t"":14727},{""x"":1156,""y"":799,""dx"":-135.5,""dy"":68,""t"":14757},{""x"":1168,""y"":813,""dx"":-123.5,""dy"":82,""t"":14794},{""x"":1175,""y"":809,""dx"":-116.5,""dy"":78,""t"":14826},{""x"":1152,""y"":795,""dx"":-139.5,""dy"":64,""t"":14860},{""x"":1188,""y"":800,""dx"":-103.5,""dy"":69,""t"":14897},{""x"":1206,""y"":821,""dx"":-85.5,""dy"":90,""t"":14930},{""x"":1185,""y"":794,""dx"":-106.5,""dy"":63,""t"":14963},{""x"":1200,""y"":821,""dx"":-91.5,""dy"":90,""t"":15000}]]","[100,88.13559322033898,100,98.30508474576271,100]","[{""x"":3.8446225958355402,""y"":106.7457627118644,""r"":42.61374255207753},{""x"":-15.584745762711865,""y"":110.84745762711864,""r"":81.299592073754},{""x"":-38.78533107951536,""y"":-23.89830508474576,""r"":33.81666440014401},{""x"":127.13275818905588,""y"":11.677966101694915,""r"":34.98260740751667},{""x"":-72.72033898305085,""y"":79.79661016949153,""r"":29.39540638757366}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.40","validate","","","","","","","","","",""
"","html-keyboard-response","10","78222","0.0-6.0-0.0","","","","","381"," ","","<p>识别实验（6个刺激物）：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，500毫秒的空白间隔后，会呈现一个六个项目的阵列。</p> <p>要求：记忆单个项目的<b>形状（该条件下，颜色为黑色）</b>或者<b>颜色（该条件下，形状为圆且颜色不为黑）</b>，忽略其拓扑特征，并在多个项目阵列中快速找到，</p><p>并根据数字键盘的 ""4"", ""7"", ""9"", ""6"", ""3"", ""1"" 进行选择响应，如果不记得或者不存在选择 ""5""。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","79403","0.0-6.0-1.0","","","","","671"," ","","<p>要求：记忆项目的形状。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","80418","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recognition","[""7"",""6"",""6"",""6"",""7"",""7"",""9"",""9"",""9"",""4"",""7"",""9"",""1"",""3"",""1"",""6"",""1"",""9"",""7"",""3"",""4"",""9"",""3"",""9"",""3"",""7"",""1"",""7"",""1"",""1"",""3"",""9"",""3"",""1"",""4"",""9"",""9"",""9"",""6"",""3"",""4"",""7"",""1"",""4"",""4"",""3"",""6"",""4"",""7"",""6"",""4"",""3"",""1"",""7"",""6"",""7"",""9"",""3"",""3"",""4"",""1"",""6"",""1"",""6"",""1"",""6"",""4"",""7"",""3"",""4"",""6"",""4""]","500","shape","6","","","","","",""
