"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2156","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2163","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5612","0.0-2.0-0.0","","","","","3448","{""name"":""张昊"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7808","0.0-2.0-1.0","","","","","2195","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","20681","0.0-3.0","","","","","","","","4940","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","24242","0.0-4.0-0.0","","","","","3559","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","35084","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","36168","0.0-4.0-2.0","","","","","1084","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","55445","0.0-4.0-3.0","","","","","","","","","","[[{""x"":316,""y"":337,""dx"":-121.83334350585938,""dy"":86,""t"":990},{""x"":284,""y"":338,""dx"":-153.83334350585938,""dy"":87,""t"":1028},{""x"":261,""y"":345,""dx"":-176.83334350585938,""dy"":94,""t"":1056},{""x"":230,""y"":340,""dx"":-207.83334350585938,""dy"":89,""t"":1097},{""x"":272,""y"":314,""dx"":-165.83334350585938,""dy"":63,""t"":1125},{""x"":228,""y"":326,""dx"":-209.83334350585938,""dy"":75,""t"":1160},{""x"":234,""y"":319,""dx"":-203.83334350585938,""dy"":68,""t"":1196},{""x"":291,""y"":323,""dx"":-146.83334350585938,""dy"":72,""t"":1225},{""x"":319,""y"":330,""dx"":-118.83334350585938,""dy"":79,""t"":1263},{""x"":324,""y"":321,""dx"":-113.83334350585938,""dy"":70,""t"":1294},{""x"":320,""y"":322,""dx"":-117.83334350585938,""dy"":71,""t"":1330},{""x"":327,""y"":328,""dx"":-110.83334350585938,""dy"":77,""t"":1362},{""x"":272,""y"":321,""dx"":-165.83334350585938,""dy"":70,""t"":1397},{""x"":300,""y"":332,""dx"":-137.83334350585938,""dy"":81,""t"":1433},{""x"":339,""y"":351,""dx"":-98.83334350585938,""dy"":100,""t"":1463},{""x"":299,""y"":354,""dx"":-138.83334350585938,""dy"":103,""t"":1500},{""x"":312,""y"":367,""dx"":-125.83334350585938,""dy"":116,""t"":1536},{""x"":353,""y"":370,""dx"":-84.83334350585938,""dy"":119,""t"":1566},{""x"":391,""y"":379,""dx"":-46.833343505859375,""dy"":128,""t"":1603},{""x"":369,""y"":367,""dx"":-68.83334350585938,""dy"":116,""t"":1635},{""x"":313,""y"":358,""dx"":-124.83334350585938,""dy"":107,""t"":1669},{""x"":255,""y"":351,""dx"":-182.83334350585938,""dy"":100,""t"":1706},{""x"":274,""y"":354,""dx"":-163.83334350585938,""dy"":103,""t"":1736},{""x"":262,""y"":337,""dx"":-175.83334350585938,""dy"":86,""t"":1771},{""x"":339,""y"":355,""dx"":-98.83334350585938,""dy"":104,""t"":1809},{""x"":347,""y"":353,""dx"":-90.83334350585938,""dy"":102,""t"":1839},{""x"":404,""y"":358,""dx"":-33.833343505859375,""dy"":107,""t"":1875},{""x"":437,""y"":354,""dx"":-0.833343505859375,""dy"":103,""t"":1906},{""x"":413,""y"":376,""dx"":-24.833343505859375,""dy"":125,""t"":1942},{""x"":407,""y"":371,""dx"":-30.833343505859375,""dy"":120,""t"":1978},{""x"":394,""y"":384,""dx"":-43.833343505859375,""dy"":133,""t"":2009},{""x"":349,""y"":374,""dx"":-88.83334350585938,""dy"":123,""t"":2043},{""x"":388,""y"":378,""dx"":-49.833343505859375,""dy"":127,""t"":2075},{""x"":372,""y"":361,""dx"":-65.83334350585938,""dy"":110,""t"":2112},{""x"":388,""y"":377,""dx"":-49.833343505859375,""dy"":126,""t"":2147},{""x"":401,""y"":394,""dx"":-36.833343505859375,""dy"":143,""t"":2178},{""x"":417,""y"":388,""dx"":-20.833343505859375,""dy"":137,""t"":2215},{""x"":417,""y"":385,""dx"":-20.833343505859375,""dy"":134,""t"":2251},{""x"":360,""y"":374,""dx"":-77.83334350585938,""dy"":123,""t"":2280},{""x"":315,""y"":351,""dx"":-122.83334350585938,""dy"":100,""t"":2315},{""x"":289,""y"":363,""dx"":-148.83334350585938,""dy"":112,""t"":2348},{""x"":268,""y"":355,""dx"":-169.83334350585938,""dy"":104,""t"":2384},{""x"":254,""y"":357,""dx"":-183.83334350585938,""dy"":106,""t"":2419},{""x"":239,""y"":359,""dx"":-198.83334350585938,""dy"":108,""t"":2451},{""x"":241,""y"":355,""dx"":-196.83334350585938,""dy"":104,""t"":2487},{""x"":236,""y"":356,""dx"":-201.83334350585938,""dy"":105,""t"":2517},{""x"":183,""y"":353,""dx"":-254.83334350585938,""dy"":102,""t"":2554},{""x"":195,""y"":350,""dx"":-242.83334350585938,""dy"":99,""t"":2588},{""x"":217,""y"":341,""dx"":-220.83334350585938,""dy"":90,""t"":2620},{""x"":227,""y"":353,""dx"":-210.83334350585938,""dy"":102,""t"":2657},{""x"":220,""y"":359,""dx"":-217.83334350585938,""dy"":108,""t"":2691},{""x"":217,""y"":342,""dx"":-220.83334350585938,""dy"":91,""t"":2723},{""x"":233,""y"":338,""dx"":-204.83334350585938,""dy"":87,""t"":2760},{""x"":227,""y"":357,""dx"":-210.83334350585938,""dy"":106,""t"":2790},{""x"":211,""y"":342,""dx"":-226.83334350585938,""dy"":91,""t"":2827},{""x"":223,""y"":347,""dx"":-214.83334350585938,""dy"":96,""t"":2859},{""x"":268,""y"":337,""dx"":-169.83334350585938,""dy"":86,""t"":2893},{""x"":290,""y"":338,""dx"":-147.83334350585938,""dy"":87,""t"":2930},{""x"":342,""y"":342,""dx"":-95.83334350585938,""dy"":91,""t"":2960}],[{""x"":1143,""y"":335,""dx"":-148.5,""dy"":84,""t"":3984},{""x"":1115,""y"":336,""dx"":-176.5,""dy"":85,""t"":4018},{""x"":1074,""y"":357,""dx"":-217.5,""dy"":106,""t"":4050},{""x"":1067,""y"":358,""dx"":-224.5,""dy"":107,""t"":4082},{""x"":1060,""y"":371,""dx"":-231.5,""dy"":120,""t"":4117},{""x"":1044,""y"":364,""dx"":-247.5,""dy"":113,""t"":4153},{""x"":1052,""y"":352,""dx"":-239.5,""dy"":101,""t"":4185},{""x"":1068,""y"":363,""dx"":-223.5,""dy"":112,""t"":4219},{""x"":1043,""y"":366,""dx"":-248.5,""dy"":115,""t"":4256},{""x"":1037,""y"":375,""dx"":-254.5,""dy"":124,""t"":4288},{""x"":1035,""y"":379,""dx"":-256.5,""dy"":128,""t"":4322},{""x"":1054,""y"":357,""dx"":-237.5,""dy"":106,""t"":4353},{""x"":1074,""y"":358,""dx"":-217.5,""dy"":107,""t"":4391},{""x"":1081,""y"":352,""dx"":-210.5,""dy"":101,""t"":4426},{""x"":1057,""y"":378,""dx"":-234.5,""dy"":127,""t"":4456},{""x"":1084,""y"":373,""dx"":-207.5,""dy"":122,""t"":4492},{""x"":1085,""y"":363,""dx"":-206.5,""dy"":112,""t"":4523},{""x"":1070,""y"":362,""dx"":-221.5,""dy"":111,""t"":4560},{""x"":1061,""y"":367,""dx"":-230.5,""dy"":116,""t"":4596},{""x"":1086,""y"":379,""dx"":-205.5,""dy"":128,""t"":4626},{""x"":1064,""y"":377,""dx"":-227.5,""dy"":126,""t"":4662},{""x"":1089,""y"":373,""dx"":-202.5,""dy"":122,""t"":4694},{""x"":1085,""y"":361,""dx"":-206.5,""dy"":110,""t"":4729},{""x"":1089,""y"":356,""dx"":-202.5,""dy"":105,""t"":4764},{""x"":1065,""y"":353,""dx"":-226.5,""dy"":102,""t"":4797},{""x"":1035,""y"":365,""dx"":-256.5,""dy"":114,""t"":4832},{""x"":1020,""y"":376,""dx"":-271.5,""dy"":125,""t"":4867},{""x"":1025,""y"":390,""dx"":-266.5,""dy"":139,""t"":4899},{""x"":1033,""y"":389,""dx"":-258.5,""dy"":138,""t"":4935},{""x"":1061,""y"":401,""dx"":-230.5,""dy"":150,""t"":4966},{""x"":1042,""y"":416,""dx"":-249.5,""dy"":165,""t"":5003},{""x"":1064,""y"":408,""dx"":-227.5,""dy"":157,""t"":5036},{""x"":1020,""y"":405,""dx"":-271.5,""dy"":154,""t"":5068},{""x"":1028,""y"":436,""dx"":-263.5,""dy"":185,""t"":5106},{""x"":1057,""y"":431,""dx"":-234.5,""dy"":180,""t"":5135},{""x"":1057,""y"":406,""dx"":-234.5,""dy"":155,""t"":5170},{""x"":1087,""y"":394,""dx"":-204.5,""dy"":143,""t"":5209},{""x"":1109,""y"":377,""dx"":-182.5,""dy"":126,""t"":5237},{""x"":1089,""y"":381,""dx"":-202.5,""dy"":130,""t"":5274},{""x"":1090,""y"":373,""dx"":-201.5,""dy"":122,""t"":5304},{""x"":1031,""y"":358,""dx"":-260.5,""dy"":107,""t"":5347},{""x"":1056,""y"":343,""dx"":-235.5,""dy"":92,""t"":5378},{""x"":1049,""y"":360,""dx"":-242.5,""dy"":109,""t"":5408},{""x"":1039,""y"":363,""dx"":-252.5,""dy"":112,""t"":5443},{""x"":1041,""y"":359,""dx"":-250.5,""dy"":108,""t"":5481},{""x"":1068,""y"":356,""dx"":-223.5,""dy"":105,""t"":5510},{""x"":1066,""y"":366,""dx"":-225.5,""dy"":115,""t"":5547},{""x"":1077,""y"":363,""dx"":-214.5,""dy"":112,""t"":5577},{""x"":1111,""y"":361,""dx"":-180.5,""dy"":110,""t"":5615},{""x"":1098,""y"":371,""dx"":-193.5,""dy"":120,""t"":5650},{""x"":1105,""y"":365,""dx"":-186.5,""dy"":114,""t"":5681},{""x"":1114,""y"":361,""dx"":-177.5,""dy"":110,""t"":5715},{""x"":1112,""y"":380,""dx"":-179.5,""dy"":129,""t"":5748},{""x"":1126,""y"":376,""dx"":-165.5,""dy"":125,""t"":5784},{""x"":1146,""y"":370,""dx"":-145.5,""dy"":119,""t"":5820},{""x"":1141,""y"":389,""dx"":-150.5,""dy"":138,""t"":5851},{""x"":1133,""y"":393,""dx"":-158.5,""dy"":142,""t"":5887},{""x"":1116,""y"":394,""dx"":-175.5,""dy"":143,""t"":5917},{""x"":1041,""y"":449,""dx"":-250.5,""dy"":198,""t"":5954}],[{""x"":911,""y"":495,""dx"":46.33331298828125,""dy"":4,""t"":7007},{""x"":892,""y"":502,""dx"":27.33331298828125,""dy"":11,""t"":7044},{""x"":868,""y"":497,""dx"":3.33331298828125,""dy"":6,""t"":7075},{""x"":863,""y"":508,""dx"":-1.66668701171875,""dy"":17,""t"":7111},{""x"":848,""y"":522,""dx"":-16.66668701171875,""dy"":31,""t"":7140},{""x"":879,""y"":497,""dx"":14.33331298828125,""dy"":6,""t"":7178},{""x"":843,""y"":511,""dx"":-21.66668701171875,""dy"":20,""t"":7210},{""x"":828,""y"":512,""dx"":-36.66668701171875,""dy"":21,""t"":7244},{""x"":829,""y"":516,""dx"":-35.66668701171875,""dy"":25,""t"":7281},{""x"":848,""y"":478,""dx"":-16.66668701171875,""dy"":-13,""t"":7314},{""x"":811,""y"":513,""dx"":-53.66668701171875,""dy"":22,""t"":7347},{""x"":824,""y"":473,""dx"":-40.66668701171875,""dy"":-18,""t"":7384},{""x"":836,""y"":439,""dx"":-28.66668701171875,""dy"":-52,""t"":7413},{""x"":835,""y"":450,""dx"":-29.66668701171875,""dy"":-41,""t"":7450},{""x"":833,""y"":466,""dx"":-31.66668701171875,""dy"":-25,""t"":7483},{""x"":801,""y"":466,""dx"":-63.66668701171875,""dy"":-25,""t"":7518},{""x"":802,""y"":497,""dx"":-62.66668701171875,""dy"":6,""t"":7553},{""x"":796,""y"":496,""dx"":-68.66668701171875,""dy"":5,""t"":7583},{""x"":850,""y"":465,""dx"":-14.66668701171875,""dy"":-26,""t"":7620},{""x"":876,""y"":439,""dx"":11.33331298828125,""dy"":-52,""t"":7656},{""x"":832,""y"":436,""dx"":-32.66668701171875,""dy"":-55,""t"":7686},{""x"":853,""y"":431,""dx"":-11.66668701171875,""dy"":-60,""t"":7724},{""x"":850,""y"":411,""dx"":-14.66668701171875,""dy"":-80,""t"":7753},{""x"":866,""y"":414,""dx"":1.33331298828125,""dy"":-77,""t"":7789},{""x"":883,""y"":418,""dx"":18.33331298828125,""dy"":-73,""t"":7827},{""x"":848,""y"":401,""dx"":-16.66668701171875,""dy"":-90,""t"":7856},{""x"":809,""y"":399,""dx"":-55.66668701171875,""dy"":-92,""t"":7891},{""x"":820,""y"":399,""dx"":-44.66668701171875,""dy"":-92,""t"":7930},{""x"":837,""y"":420,""dx"":-27.66668701171875,""dy"":-71,""t"":7958},{""x"":844,""y"":455,""dx"":-20.66668701171875,""dy"":-36,""t"":7995},{""x"":851,""y"":467,""dx"":-13.66668701171875,""dy"":-24,""t"":8026},{""x"":791,""y"":465,""dx"":-73.66668701171875,""dy"":-26,""t"":8062},{""x"":821,""y"":478,""dx"":-43.66668701171875,""dy"":-13,""t"":8095},{""x"":805,""y"":475,""dx"":-59.66668701171875,""dy"":-16,""t"":8130},{""x"":825,""y"":485,""dx"":-39.66668701171875,""dy"":-6,""t"":8163},{""x"":846,""y"":507,""dx"":-18.66668701171875,""dy"":16,""t"":8195},{""x"":875,""y"":526,""dx"":10.33331298828125,""dy"":35,""t"":8232},{""x"":899,""y"":541,""dx"":34.33331298828125,""dy"":50,""t"":8268},{""x"":940,""y"":525,""dx"":75.33331298828125,""dy"":34,""t"":8298},{""x"":939,""y"":521,""dx"":74.33331298828125,""dy"":30,""t"":8335},{""x"":931,""y"":520,""dx"":66.33331298828125,""dy"":29,""t"":8366},{""x"":920,""y"":519,""dx"":55.33331298828125,""dy"":28,""t"":8401},{""x"":898,""y"":519,""dx"":33.33331298828125,""dy"":28,""t"":8435},{""x"":924,""y"":496,""dx"":59.33331298828125,""dy"":5,""t"":8470},{""x"":902,""y"":480,""dx"":37.33331298828125,""dy"":-11,""t"":8504},{""x"":895,""y"":471,""dx"":30.33331298828125,""dy"":-20,""t"":8535},{""x"":891,""y"":485,""dx"":26.33331298828125,""dy"":-6,""t"":8572},{""x"":887,""y"":491,""dx"":22.33331298828125,""dy"":0,""t"":8607},{""x"":886,""y"":510,""dx"":21.33331298828125,""dy"":19,""t"":8638},{""x"":888,""y"":520,""dx"":23.33331298828125,""dy"":29,""t"":8675},{""x"":903,""y"":528,""dx"":38.33331298828125,""dy"":37,""t"":8706},{""x"":889,""y"":507,""dx"":24.33331298828125,""dy"":16,""t"":8741},{""x"":868,""y"":493,""dx"":3.33331298828125,""dy"":2,""t"":8777},{""x"":842,""y"":518,""dx"":-22.66668701171875,""dy"":27,""t"":8808},{""x"":871,""y"":484,""dx"":6.33331298828125,""dy"":-7,""t"":8843},{""x"":819,""y"":498,""dx"":-45.66668701171875,""dy"":7,""t"":8880},{""x"":814,""y"":492,""dx"":-50.66668701171875,""dy"":1,""t"":8911},{""x"":830,""y"":463,""dx"":-34.66668701171875,""dy"":-28,""t"":8947},{""x"":831,""y"":451,""dx"":-33.66668701171875,""dy"":-40,""t"":8977}],[{""x"":585,""y"":718,""dx"":147.16665649414062,""dy"":-13,""t"":10001},{""x"":586,""y"":712,""dx"":148.16665649414062,""dy"":-19,""t"":10031},{""x"":656,""y"":722,""dx"":218.16665649414062,""dy"":-9,""t"":10068},{""x"":612,""y"":721,""dx"":174.16665649414062,""dy"":-10,""t"":10104},{""x"":574,""y"":696,""dx"":136.16665649414062,""dy"":-35,""t"":10135},{""x"":566,""y"":660,""dx"":128.16665649414062,""dy"":-71,""t"":10171},{""x"":541,""y"":647,""dx"":103.16665649414062,""dy"":-84,""t"":10201},{""x"":592,""y"":636,""dx"":154.16665649414062,""dy"":-95,""t"":10237},{""x"":595,""y"":627,""dx"":157.16665649414062,""dy"":-104,""t"":10275},{""x"":617,""y"":614,""dx"":179.16665649414062,""dy"":-117,""t"":10304},{""x"":622,""y"":636,""dx"":184.16665649414062,""dy"":-95,""t"":10338},{""x"":631,""y"":677,""dx"":193.16665649414062,""dy"":-54,""t"":10372},{""x"":597,""y"":688,""dx"":159.16665649414062,""dy"":-43,""t"":10407},{""x"":579,""y"":706,""dx"":141.16665649414062,""dy"":-25,""t"":10443},{""x"":579,""y"":713,""dx"":141.16665649414062,""dy"":-18,""t"":10474},{""x"":574,""y"":732,""dx"":136.16665649414062,""dy"":1,""t"":10510},{""x"":595,""y"":743,""dx"":157.16665649414062,""dy"":12,""t"":10546},{""x"":627,""y"":746,""dx"":189.16665649414062,""dy"":15,""t"":10578},{""x"":660,""y"":755,""dx"":222.16665649414062,""dy"":24,""t"":10611},{""x"":662,""y"":776,""dx"":224.16665649414062,""dy"":45,""t"":10644},{""x"":675,""y"":736,""dx"":237.16665649414062,""dy"":5,""t"":10681},{""x"":653,""y"":741,""dx"":215.16665649414062,""dy"":10,""t"":10716},{""x"":631,""y"":739,""dx"":193.16665649414062,""dy"":8,""t"":10746},{""x"":612,""y"":737,""dx"":174.16665649414062,""dy"":6,""t"":10784},{""x"":598,""y"":708,""dx"":160.16665649414062,""dy"":-23,""t"":10813},{""x"":566,""y"":690,""dx"":128.16665649414062,""dy"":-41,""t"":10849},{""x"":566,""y"":687,""dx"":128.16665649414062,""dy"":-44,""t"":10883},{""x"":581,""y"":717,""dx"":143.16665649414062,""dy"":-14,""t"":10916},{""x"":611,""y"":702,""dx"":173.16665649414062,""dy"":-29,""t"":10952},{""x"":615,""y"":712,""dx"":177.16665649414062,""dy"":-19,""t"":10984},{""x"":609,""y"":687,""dx"":171.16665649414062,""dy"":-44,""t"":11019},{""x"":553,""y"":661,""dx"":115.16665649414062,""dy"":-70,""t"":11056},{""x"":622,""y"":679,""dx"":184.16665649414062,""dy"":-52,""t"":11087},{""x"":647,""y"":704,""dx"":209.16665649414062,""dy"":-27,""t"":11122},{""x"":597,""y"":690,""dx"":159.16665649414062,""dy"":-41,""t"":11155},{""x"":555,""y"":678,""dx"":117.16665649414062,""dy"":-53,""t"":11193},{""x"":529,""y"":674,""dx"":91.16665649414062,""dy"":-57,""t"":11221},{""x"":482,""y"":667,""dx"":44.166656494140625,""dy"":-64,""t"":11255},{""x"":482,""y"":665,""dx"":44.166656494140625,""dy"":-66,""t"":11291},{""x"":465,""y"":680,""dx"":27.166656494140625,""dy"":-51,""t"":11329},{""x"":461,""y"":691,""dx"":23.166656494140625,""dy"":-40,""t"":11358},{""x"":478,""y"":696,""dx"":40.166656494140625,""dy"":-35,""t"":11395},{""x"":477,""y"":691,""dx"":39.166656494140625,""dy"":-40,""t"":11426},{""x"":517,""y"":704,""dx"":79.16665649414062,""dy"":-27,""t"":11462},{""x"":516,""y"":696,""dx"":78.16665649414062,""dy"":-35,""t"":11498},{""x"":490,""y"":688,""dx"":52.166656494140625,""dy"":-43,""t"":11529},{""x"":488,""y"":668,""dx"":50.166656494140625,""dy"":-63,""t"":11562},{""x"":486,""y"":656,""dx"":48.166656494140625,""dy"":-75,""t"":11595},{""x"":479,""y"":666,""dx"":41.166656494140625,""dy"":-65,""t"":11632},{""x"":507,""y"":699,""dx"":69.16665649414062,""dy"":-32,""t"":11666},{""x"":547,""y"":729,""dx"":109.16665649414062,""dy"":-2,""t"":11698},{""x"":565,""y"":722,""dx"":127.16665649414062,""dy"":-9,""t"":11735},{""x"":512,""y"":691,""dx"":74.16665649414062,""dy"":-40,""t"":11767},{""x"":485,""y"":658,""dx"":47.166656494140625,""dy"":-73,""t"":11801},{""x"":516,""y"":661,""dx"":78.16665649414062,""dy"":-70,""t"":11835},{""x"":569,""y"":715,""dx"":131.16665649414062,""dy"":-16,""t"":11868},{""x"":640,""y"":718,""dx"":202.16665649414062,""dy"":-13,""t"":11904},{""x"":628,""y"":719,""dx"":190.16665649414062,""dy"":-12,""t"":11938},{""x"":608,""y"":695,""dx"":170.16665649414062,""dy"":-36,""t"":11971}],[{""x"":1141,""y"":697,""dx"":-150.5,""dy"":-34,""t"":12995},{""x"":1109,""y"":703,""dx"":-182.5,""dy"":-28,""t"":13023},{""x"":1088,""y"":711,""dx"":-203.5,""dy"":-20,""t"":13060},{""x"":1127,""y"":721,""dx"":-164.5,""dy"":-10,""t"":13092},{""x"":1135,""y"":668,""dx"":-156.5,""dy"":-63,""t"":13128},{""x"":1155,""y"":686,""dx"":-136.5,""dy"":-45,""t"":13164},{""x"":1167,""y"":635,""dx"":-124.5,""dy"":-96,""t"":13195},{""x"":1135,""y"":633,""dx"":-156.5,""dy"":-98,""t"":13231},{""x"":1170,""y"":581,""dx"":-121.5,""dy"":-150,""t"":13262},{""x"":1137,""y"":596,""dx"":-154.5,""dy"":-135,""t"":13298},{""x"":1136,""y"":583,""dx"":-155.5,""dy"":-148,""t"":13331},{""x"":1114,""y"":602,""dx"":-177.5,""dy"":-129,""t"":13364},{""x"":1123,""y"":641,""dx"":-168.5,""dy"":-90,""t"":13402},{""x"":1118,""y"":655,""dx"":-173.5,""dy"":-76,""t"":13431},{""x"":1098,""y"":637,""dx"":-193.5,""dy"":-94,""t"":13467},{""x"":1119,""y"":666,""dx"":-172.5,""dy"":-65,""t"":13505},{""x"":1147,""y"":662,""dx"":-144.5,""dy"":-69,""t"":13534},{""x"":1155,""y"":684,""dx"":-136.5,""dy"":-47,""t"":13570},{""x"":1166,""y"":658,""dx"":-125.5,""dy"":-73,""t"":13603},{""x"":1124,""y"":664,""dx"":-167.5,""dy"":-67,""t"":13637},{""x"":1113,""y"":647,""dx"":-178.5,""dy"":-84,""t"":13673},{""x"":1136,""y"":659,""dx"":-155.5,""dy"":-72,""t"":13705},{""x"":1151,""y"":656,""dx"":-140.5,""dy"":-75,""t"":13740},{""x"":1154,""y"":680,""dx"":-137.5,""dy"":-51,""t"":13776},{""x"":1141,""y"":681,""dx"":-150.5,""dy"":-50,""t"":13807},{""x"":1114,""y"":674,""dx"":-177.5,""dy"":-57,""t"":13848},{""x"":1121,""y"":678,""dx"":-170.5,""dy"":-53,""t"":13875},{""x"":1157,""y"":665,""dx"":-134.5,""dy"":-66,""t"":13911},{""x"":1162,""y"":653,""dx"":-129.5,""dy"":-78,""t"":13946},{""x"":1168,""y"":650,""dx"":-123.5,""dy"":-81,""t"":13976},{""x"":1153,""y"":649,""dx"":-138.5,""dy"":-82,""t"":14012},{""x"":1146,""y"":655,""dx"":-145.5,""dy"":-76,""t"":14043},{""x"":1113,""y"":659,""dx"":-178.5,""dy"":-72,""t"":14079},{""x"":1102,""y"":593,""dx"":-189.5,""dy"":-138,""t"":14113},{""x"":1113,""y"":590,""dx"":-178.5,""dy"":-141,""t"":14146},{""x"":1095,""y"":596,""dx"":-196.5,""dy"":-135,""t"":14183},{""x"":1091,""y"":596,""dx"":-200.5,""dy"":-135,""t"":14220},{""x"":1069,""y"":577,""dx"":-222.5,""dy"":-154,""t"":14249},{""x"":1090,""y"":526,""dx"":-201.5,""dy"":-205,""t"":14283},{""x"":1075,""y"":531,""dx"":-216.5,""dy"":-200,""t"":14317},{""x"":1112,""y"":507,""dx"":-179.5,""dy"":-224,""t"":14352},{""x"":1150,""y"":526,""dx"":-141.5,""dy"":-205,""t"":14387},{""x"":1166,""y"":534,""dx"":-125.5,""dy"":-197,""t"":14419},{""x"":1149,""y"":557,""dx"":-142.5,""dy"":-174,""t"":14455},{""x"":1133,""y"":578,""dx"":-158.5,""dy"":-153,""t"":14485},{""x"":1157,""y"":574,""dx"":-134.5,""dy"":-157,""t"":14522},{""x"":1187,""y"":574,""dx"":-104.5,""dy"":-157,""t"":14556},{""x"":1180,""y"":550,""dx"":-111.5,""dy"":-181,""t"":14588},{""x"":1174,""y"":529,""dx"":-117.5,""dy"":-202,""t"":14624},{""x"":1176,""y"":528,""dx"":-115.5,""dy"":-203,""t"":14655},{""x"":1131,""y"":539,""dx"":-160.5,""dy"":-192,""t"":14692},{""x"":1113,""y"":528,""dx"":-178.5,""dy"":-203,""t"":14728},{""x"":1073,""y"":542,""dx"":-218.5,""dy"":-189,""t"":14757},{""x"":1040,""y"":533,""dx"":-251.5,""dy"":-198,""t"":14794},{""x"":1061,""y"":520,""dx"":-230.5,""dy"":-211,""t"":14828},{""x"":1065,""y"":525,""dx"":-226.5,""dy"":-206,""t"":14861},{""x"":1065,""y"":506,""dx"":-226.5,""dy"":-225,""t"":14897},{""x"":1055,""y"":543,""dx"":-236.5,""dy"":-188,""t"":14929},{""x"":1047,""y"":563,""dx"":-244.5,""dy"":-168,""t"":14963}]]","[67.79661016949152,5.084745762711865,100,83.05084745762711,49.152542372881356]","[{""x"":-134.90114011602887,""y"":100.88135593220339,""r"":61.20431214659264},{""x"":-219.14406779661016,""y"":123.40677966101696,""r"":30.535957489473113},{""x"":-7.107364977820445,""y"":-10.305084745762711,""r"":45.00243856905684},{""x"":132.81072429075078,""y"":-35.3728813559322,""r"":58.49810629501966},{""x"":-166.72033898305085,""y"":-121.61016949152543,""r"":64.27006453286702}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.45","validate","","","","","","","","","","",""
"","html-button-response","9","56088","0.0-4.0-4.0-0.0-0.0","","","","","643","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","10","64406","0.0-4.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","11","65070","0.0-4.0-4.0-0.0-2.0","","","","","664","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","recalibration","","","","","","","","","",""
