"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","3642","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3648","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","11135","0.0-2.0-0.0","","","","","7485","{""name"":""何靓雯"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","12590","0.0-2.0-1.0","","","","","1454","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","21389","0.0-3.0","","","","","","","","1475","","","","","","","","","","","","","","","","",""
"","html-button-response","5","22333","0.0-4.0-0.0","","","","","942","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","32704","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","34205","0.0-4.0-2.0","","","","","1501","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","51682","0.0-4.0-3.0","","","","","","","","","","[[{""x"":454,""y"":383,""dx"":-37,""dy"":102,""t"":991},{""x"":468,""y"":394,""dx"":-23,""dy"":113,""t"":1022},{""x"":500,""y"":390,""dx"":9,""dy"":109,""t"":1058},{""x"":492,""y"":407,""dx"":1,""dy"":126,""t"":1092},{""x"":513,""y"":402,""dx"":22,""dy"":121,""t"":1126},{""x"":492,""y"":390,""dx"":1,""dy"":109,""t"":1160},{""x"":491,""y"":375,""dx"":0,""dy"":94,""t"":1195},{""x"":465,""y"":397,""dx"":-26,""dy"":116,""t"":1228},{""x"":473,""y"":373,""dx"":-18,""dy"":92,""t"":1262},{""x"":474,""y"":359,""dx"":-17,""dy"":78,""t"":1296},{""x"":439,""y"":367,""dx"":-52,""dy"":86,""t"":1330},{""x"":421,""y"":384,""dx"":-70,""dy"":103,""t"":1364},{""x"":434,""y"":366,""dx"":-57,""dy"":85,""t"":1395},{""x"":439,""y"":347,""dx"":-52,""dy"":66,""t"":1432},{""x"":418,""y"":369,""dx"":-73,""dy"":88,""t"":1466},{""x"":400,""y"":385,""dx"":-91,""dy"":104,""t"":1500},{""x"":387,""y"":410,""dx"":-104,""dy"":129,""t"":1533},{""x"":376,""y"":433,""dx"":-115,""dy"":152,""t"":1568},{""x"":357,""y"":443,""dx"":-134,""dy"":162,""t"":1602},{""x"":342,""y"":463,""dx"":-149,""dy"":182,""t"":1635},{""x"":342,""y"":461,""dx"":-149,""dy"":180,""t"":1669},{""x"":335,""y"":469,""dx"":-156,""dy"":188,""t"":1704},{""x"":374,""y"":455,""dx"":-117,""dy"":174,""t"":1737},{""x"":373,""y"":462,""dx"":-118,""dy"":181,""t"":1771},{""x"":368,""y"":459,""dx"":-123,""dy"":178,""t"":1806},{""x"":358,""y"":470,""dx"":-133,""dy"":189,""t"":1840},{""x"":383,""y"":427,""dx"":-108,""dy"":146,""t"":1875},{""x"":385,""y"":431,""dx"":-106,""dy"":150,""t"":1908},{""x"":393,""y"":454,""dx"":-98,""dy"":173,""t"":1942},{""x"":395,""y"":454,""dx"":-96,""dy"":173,""t"":1976},{""x"":394,""y"":475,""dx"":-97,""dy"":194,""t"":2011},{""x"":397,""y"":443,""dx"":-94,""dy"":162,""t"":2043},{""x"":395,""y"":448,""dx"":-96,""dy"":167,""t"":2078},{""x"":388,""y"":465,""dx"":-103,""dy"":184,""t"":2112},{""x"":399,""y"":443,""dx"":-92,""dy"":162,""t"":2146},{""x"":398,""y"":456,""dx"":-93,""dy"":175,""t"":2181},{""x"":397,""y"":455,""dx"":-94,""dy"":174,""t"":2215},{""x"":398,""y"":443,""dx"":-93,""dy"":162,""t"":2247},{""x"":406,""y"":469,""dx"":-85,""dy"":188,""t"":2282},{""x"":406,""y"":489,""dx"":-85,""dy"":208,""t"":2316},{""x"":406,""y"":493,""dx"":-85,""dy"":212,""t"":2350},{""x"":398,""y"":493,""dx"":-93,""dy"":212,""t"":2383},{""x"":419,""y"":470,""dx"":-72,""dy"":189,""t"":2418},{""x"":449,""y"":437,""dx"":-42,""dy"":156,""t"":2452},{""x"":425,""y"":452,""dx"":-66,""dy"":171,""t"":2486},{""x"":406,""y"":464,""dx"":-85,""dy"":183,""t"":2519},{""x"":402,""y"":469,""dx"":-89,""dy"":188,""t"":2553},{""x"":395,""y"":463,""dx"":-96,""dy"":182,""t"":2589},{""x"":422,""y"":427,""dx"":-69,""dy"":146,""t"":2621},{""x"":458,""y"":401,""dx"":-33,""dy"":120,""t"":2656},{""x"":490,""y"":397,""dx"":-1,""dy"":116,""t"":2690},{""x"":490,""y"":379,""dx"":-1,""dy"":98,""t"":2724},{""x"":508,""y"":363,""dx"":17,""dy"":82,""t"":2757},{""x"":515,""y"":341,""dx"":24,""dy"":60,""t"":2792},{""x"":482,""y"":360,""dx"":-9,""dy"":79,""t"":2826},{""x"":493,""y"":365,""dx"":2,""dy"":84,""t"":2860},{""x"":505,""y"":368,""dx"":14,""dy"":87,""t"":2894},{""x"":527,""y"":373,""dx"":36,""dy"":92,""t"":2928},{""x"":534,""y"":383,""dx"":43,""dy"":102,""t"":2962},{""x"":526,""y"":378,""dx"":35,""dy"":97,""t"":2994}],[{""x"":1710,""y"":211,""dx"":259,""dy"":-70,""t"":4016},{""x"":1686,""y"":231,""dx"":235,""dy"":-50,""t"":4050},{""x"":1648,""y"":241,""dx"":197,""dy"":-40,""t"":4084},{""x"":1646,""y"":240,""dx"":195,""dy"":-41,""t"":4118},{""x"":1645,""y"":225,""dx"":194,""dy"":-56,""t"":4152},{""x"":1604,""y"":231,""dx"":153,""dy"":-50,""t"":4186},{""x"":1578,""y"":226,""dx"":127,""dy"":-55,""t"":4220},{""x"":1567,""y"":226,""dx"":116,""dy"":-55,""t"":4254},{""x"":1556,""y"":229,""dx"":105,""dy"":-52,""t"":4288},{""x"":1545,""y"":223,""dx"":94,""dy"":-58,""t"":4322},{""x"":1550,""y"":217,""dx"":99,""dy"":-64,""t"":4356},{""x"":1528,""y"":235,""dx"":77,""dy"":-46,""t"":4390},{""x"":1519,""y"":234,""dx"":68,""dy"":-47,""t"":4424},{""x"":1519,""y"":235,""dx"":68,""dy"":-46,""t"":4457},{""x"":1525,""y"":234,""dx"":74,""dy"":-47,""t"":4492},{""x"":1507,""y"":252,""dx"":56,""dy"":-29,""t"":4525},{""x"":1515,""y"":247,""dx"":64,""dy"":-34,""t"":4560},{""x"":1523,""y"":242,""dx"":72,""dy"":-39,""t"":4592},{""x"":1515,""y"":246,""dx"":64,""dy"":-35,""t"":4628},{""x"":1518,""y"":240,""dx"":67,""dy"":-41,""t"":4661},{""x"":1515,""y"":241,""dx"":64,""dy"":-40,""t"":4696},{""x"":1551,""y"":233,""dx"":100,""dy"":-48,""t"":4729},{""x"":1570,""y"":224,""dx"":119,""dy"":-57,""t"":4764},{""x"":1599,""y"":225,""dx"":148,""dy"":-56,""t"":4798},{""x"":1615,""y"":225,""dx"":164,""dy"":-56,""t"":4832},{""x"":1616,""y"":221,""dx"":165,""dy"":-60,""t"":4866},{""x"":1612,""y"":230,""dx"":161,""dy"":-51,""t"":4900},{""x"":1605,""y"":243,""dx"":154,""dy"":-38,""t"":4934},{""x"":1599,""y"":249,""dx"":148,""dy"":-32,""t"":4967},{""x"":1586,""y"":243,""dx"":135,""dy"":-38,""t"":5002},{""x"":1581,""y"":251,""dx"":130,""dy"":-30,""t"":5035},{""x"":1594,""y"":254,""dx"":143,""dy"":-27,""t"":5071},{""x"":1584,""y"":243,""dx"":133,""dy"":-38,""t"":5104},{""x"":1588,""y"":247,""dx"":137,""dy"":-34,""t"":5138},{""x"":1593,""y"":246,""dx"":142,""dy"":-35,""t"":5172},{""x"":1593,""y"":264,""dx"":142,""dy"":-17,""t"":5206},{""x"":1594,""y"":264,""dx"":143,""dy"":-17,""t"":5240},{""x"":1613,""y"":245,""dx"":162,""dy"":-36,""t"":5273},{""x"":1611,""y"":253,""dx"":160,""dy"":-28,""t"":5308},{""x"":1616,""y"":253,""dx"":165,""dy"":-28,""t"":5343},{""x"":1612,""y"":245,""dx"":161,""dy"":-36,""t"":5376},{""x"":1598,""y"":252,""dx"":147,""dy"":-29,""t"":5409},{""x"":1594,""y"":242,""dx"":143,""dy"":-39,""t"":5443},{""x"":1593,""y"":247,""dx"":142,""dy"":-34,""t"":5478},{""x"":1591,""y"":240,""dx"":140,""dy"":-41,""t"":5512},{""x"":1580,""y"":233,""dx"":129,""dy"":-48,""t"":5546},{""x"":1591,""y"":235,""dx"":140,""dy"":-46,""t"":5579},{""x"":1594,""y"":219,""dx"":143,""dy"":-62,""t"":5614},{""x"":1601,""y"":221,""dx"":150,""dy"":-60,""t"":5647},{""x"":1603,""y"":223,""dx"":152,""dy"":-58,""t"":5682},{""x"":1588,""y"":217,""dx"":137,""dy"":-64,""t"":5716},{""x"":1557,""y"":228,""dx"":106,""dy"":-53,""t"":5750},{""x"":1578,""y"":239,""dx"":127,""dy"":-42,""t"":5784},{""x"":1575,""y"":232,""dx"":124,""dy"":-49,""t"":5818},{""x"":1573,""y"":258,""dx"":122,""dy"":-23,""t"":5852},{""x"":1545,""y"":266,""dx"":94,""dy"":-15,""t"":5886},{""x"":1527,""y"":269,""dx"":76,""dy"":-12,""t"":5920},{""x"":1536,""y"":274,""dx"":85,""dy"":-7,""t"":5954},{""x"":1556,""y"":264,""dx"":105,""dy"":-17,""t"":5988}],[{""x"":884,""y"":570,""dx"":-87,""dy"":19,""t"":7042},{""x"":903,""y"":573,""dx"":-68,""dy"":22,""t"":7076},{""x"":919,""y"":559,""dx"":-52,""dy"":8,""t"":7110},{""x"":931,""y"":549,""dx"":-40,""dy"":-2,""t"":7144},{""x"":962,""y"":550,""dx"":-9,""dy"":-1,""t"":7213},{""x"":984,""y"":573,""dx"":13,""dy"":22,""t"":7246},{""x"":1006,""y"":542,""dx"":35,""dy"":-9,""t"":7280},{""x"":1017,""y"":533,""dx"":46,""dy"":-18,""t"":7314},{""x"":1021,""y"":540,""dx"":50,""dy"":-11,""t"":7348},{""x"":1035,""y"":527,""dx"":64,""dy"":-24,""t"":7381},{""x"":1032,""y"":541,""dx"":61,""dy"":-10,""t"":7416},{""x"":1038,""y"":536,""dx"":67,""dy"":-15,""t"":7450},{""x"":1037,""y"":544,""dx"":66,""dy"":-7,""t"":7483},{""x"":1047,""y"":549,""dx"":76,""dy"":-2,""t"":7517},{""x"":1044,""y"":547,""dx"":73,""dy"":-4,""t"":7552},{""x"":1046,""y"":547,""dx"":75,""dy"":-4,""t"":7586},{""x"":1040,""y"":558,""dx"":69,""dy"":7,""t"":7620},{""x"":1037,""y"":556,""dx"":66,""dy"":5,""t"":7653},{""x"":1045,""y"":555,""dx"":74,""dy"":4,""t"":7689},{""x"":1024,""y"":533,""dx"":53,""dy"":-18,""t"":7721},{""x"":1024,""y"":537,""dx"":53,""dy"":-14,""t"":7756},{""x"":1022,""y"":554,""dx"":51,""dy"":3,""t"":7790},{""x"":1032,""y"":560,""dx"":61,""dy"":9,""t"":7824},{""x"":1030,""y"":531,""dx"":59,""dy"":-20,""t"":7857},{""x"":1024,""y"":528,""dx"":53,""dy"":-23,""t"":7891},{""x"":1038,""y"":524,""dx"":67,""dy"":-27,""t"":7926},{""x"":1030,""y"":521,""dx"":59,""dy"":-30,""t"":7960},{""x"":1045,""y"":522,""dx"":74,""dy"":-29,""t"":7993},{""x"":1058,""y"":532,""dx"":87,""dy"":-19,""t"":8028},{""x"":1048,""y"":544,""dx"":77,""dy"":-7,""t"":8062},{""x"":1033,""y"":550,""dx"":62,""dy"":-1,""t"":8096},{""x"":1021,""y"":554,""dx"":50,""dy"":3,""t"":8128},{""x"":1025,""y"":543,""dx"":54,""dy"":-8,""t"":8164},{""x"":1034,""y"":535,""dx"":63,""dy"":-16,""t"":8198},{""x"":1007,""y"":552,""dx"":36,""dy"":1,""t"":8231},{""x"":1028,""y"":555,""dx"":57,""dy"":4,""t"":8266},{""x"":1043,""y"":553,""dx"":72,""dy"":2,""t"":8300},{""x"":1018,""y"":570,""dx"":47,""dy"":19,""t"":8334},{""x"":999,""y"":573,""dx"":28,""dy"":22,""t"":8368},{""x"":987,""y"":578,""dx"":16,""dy"":27,""t"":8402},{""x"":973,""y"":587,""dx"":2,""dy"":36,""t"":8436},{""x"":969,""y"":594,""dx"":-2,""dy"":43,""t"":8469},{""x"":962,""y"":602,""dx"":-9,""dy"":51,""t"":8504},{""x"":948,""y"":600,""dx"":-23,""dy"":49,""t"":8536},{""x"":941,""y"":590,""dx"":-30,""dy"":39,""t"":8572},{""x"":933,""y"":583,""dx"":-38,""dy"":32,""t"":8606},{""x"":926,""y"":574,""dx"":-45,""dy"":23,""t"":8640},{""x"":938,""y"":587,""dx"":-33,""dy"":36,""t"":8674},{""x"":933,""y"":578,""dx"":-38,""dy"":27,""t"":8708},{""x"":928,""y"":584,""dx"":-43,""dy"":33,""t"":8742},{""x"":920,""y"":593,""dx"":-51,""dy"":42,""t"":8775},{""x"":918,""y"":592,""dx"":-53,""dy"":41,""t"":8811},{""x"":907,""y"":595,""dx"":-64,""dy"":44,""t"":8844},{""x"":911,""y"":607,""dx"":-60,""dy"":56,""t"":8878},{""x"":924,""y"":616,""dx"":-47,""dy"":65,""t"":8912},{""x"":950,""y"":606,""dx"":-21,""dy"":55,""t"":8946},{""x"":956,""y"":609,""dx"":-15,""dy"":58,""t"":8980},{""x"":948,""y"":606,""dx"":-23,""dy"":55,""t"":9014}],[{""x"":512,""y"":847,""dx"":21,""dy"":26,""t"":10068},{""x"":519,""y"":866,""dx"":28,""dy"":45,""t"":10101},{""x"":549,""y"":897,""dx"":58,""dy"":76,""t"":10134},{""x"":581,""y"":854,""dx"":90,""dy"":33,""t"":10169},{""x"":594,""y"":883,""dx"":103,""dy"":62,""t"":10204},{""x"":615,""y"":843,""dx"":124,""dy"":22,""t"":10239},{""x"":605,""y"":854,""dx"":114,""dy"":33,""t"":10273},{""x"":621,""y"":827,""dx"":130,""dy"":6,""t"":10306},{""x"":591,""y"":828,""dx"":100,""dy"":7,""t"":10340},{""x"":570,""y"":842,""dx"":79,""dy"":21,""t"":10374},{""x"":555,""y"":844,""dx"":64,""dy"":23,""t"":10407},{""x"":559,""y"":866,""dx"":68,""dy"":45,""t"":10442},{""x"":564,""y"":837,""dx"":73,""dy"":16,""t"":10476},{""x"":589,""y"":809,""dx"":98,""dy"":-12,""t"":10510},{""x"":638,""y"":771,""dx"":147,""dy"":-50,""t"":10545},{""x"":674,""y"":751,""dx"":183,""dy"":-70,""t"":10580},{""x"":637,""y"":778,""dx"":146,""dy"":-43,""t"":10611},{""x"":654,""y"":769,""dx"":163,""dy"":-52,""t"":10646},{""x"":628,""y"":799,""dx"":137,""dy"":-22,""t"":10680},{""x"":583,""y"":816,""dx"":92,""dy"":-5,""t"":10713},{""x"":563,""y"":848,""dx"":72,""dy"":27,""t"":10748},{""x"":547,""y"":850,""dx"":56,""dy"":29,""t"":10782},{""x"":585,""y"":819,""dx"":94,""dy"":-2,""t"":10815},{""x"":602,""y"":780,""dx"":111,""dy"":-41,""t"":10850},{""x"":614,""y"":753,""dx"":123,""dy"":-68,""t"":10884},{""x"":585,""y"":785,""dx"":94,""dy"":-36,""t"":10918},{""x"":592,""y"":767,""dx"":101,""dy"":-54,""t"":10952},{""x"":587,""y"":803,""dx"":96,""dy"":-18,""t"":10985},{""x"":614,""y"":777,""dx"":123,""dy"":-44,""t"":11020},{""x"":629,""y"":751,""dx"":138,""dy"":-70,""t"":11055},{""x"":624,""y"":789,""dx"":133,""dy"":-32,""t"":11088},{""x"":632,""y"":783,""dx"":141,""dy"":-38,""t"":11121},{""x"":626,""y"":821,""dx"":135,""dy"":0,""t"":11156},{""x"":600,""y"":861,""dx"":109,""dy"":40,""t"":11190},{""x"":606,""y"":830,""dx"":115,""dy"":9,""t"":11224},{""x"":614,""y"":819,""dx"":123,""dy"":-2,""t"":11258},{""x"":640,""y"":802,""dx"":149,""dy"":-19,""t"":11293},{""x"":662,""y"":797,""dx"":171,""dy"":-24,""t"":11326},{""x"":679,""y"":766,""dx"":188,""dy"":-55,""t"":11359},{""x"":677,""y"":760,""dx"":186,""dy"":-61,""t"":11394},{""x"":703,""y"":741,""dx"":212,""dy"":-80,""t"":11428},{""x"":686,""y"":734,""dx"":195,""dy"":-87,""t"":11462},{""x"":687,""y"":724,""dx"":196,""dy"":-97,""t"":11496},{""x"":688,""y"":730,""dx"":197,""dy"":-91,""t"":11529},{""x"":674,""y"":726,""dx"":183,""dy"":-95,""t"":11563},{""x"":703,""y"":718,""dx"":212,""dy"":-103,""t"":11598},{""x"":686,""y"":725,""dx"":195,""dy"":-96,""t"":11631},{""x"":686,""y"":728,""dx"":195,""dy"":-93,""t"":11666},{""x"":686,""y"":730,""dx"":195,""dy"":-91,""t"":11698},{""x"":644,""y"":791,""dx"":153,""dy"":-30,""t"":11734},{""x"":614,""y"":833,""dx"":123,""dy"":12,""t"":11768},{""x"":605,""y"":819,""dx"":114,""dy"":-2,""t"":11802},{""x"":591,""y"":846,""dx"":100,""dy"":25,""t"":11836},{""x"":608,""y"":825,""dx"":117,""dy"":4,""t"":11871},{""x"":582,""y"":866,""dx"":91,""dy"":45,""t"":11904},{""x"":596,""y"":848,""dx"":105,""dy"":27,""t"":11938},{""x"":595,""y"":837,""dx"":104,""dy"":16,""t"":11972},{""x"":615,""y"":814,""dx"":124,""dy"":-7,""t"":12006},{""x"":652,""y"":803,""dx"":161,""dy"":-18,""t"":12041}],[{""x"":1387,""y"":627,""dx"":-64,""dy"":-194,""t"":13061},{""x"":1362,""y"":622,""dx"":-89,""dy"":-199,""t"":13094},{""x"":1365,""y"":634,""dx"":-86,""dy"":-187,""t"":13127},{""x"":1351,""y"":642,""dx"":-100,""dy"":-179,""t"":13161},{""x"":1364,""y"":643,""dx"":-87,""dy"":-178,""t"":13196},{""x"":1357,""y"":657,""dx"":-94,""dy"":-164,""t"":13229},{""x"":1362,""y"":652,""dx"":-89,""dy"":-169,""t"":13264},{""x"":1387,""y"":681,""dx"":-64,""dy"":-140,""t"":13296},{""x"":1370,""y"":687,""dx"":-81,""dy"":-134,""t"":13332},{""x"":1351,""y"":697,""dx"":-100,""dy"":-124,""t"":13367},{""x"":1356,""y"":695,""dx"":-95,""dy"":-126,""t"":13400},{""x"":1324,""y"":691,""dx"":-127,""dy"":-130,""t"":13434},{""x"":1328,""y"":695,""dx"":-123,""dy"":-126,""t"":13468},{""x"":1321,""y"":681,""dx"":-130,""dy"":-140,""t"":13502},{""x"":1329,""y"":698,""dx"":-122,""dy"":-123,""t"":13536},{""x"":1330,""y"":685,""dx"":-121,""dy"":-136,""t"":13569},{""x"":1361,""y"":681,""dx"":-90,""dy"":-140,""t"":13605},{""x"":1364,""y"":683,""dx"":-87,""dy"":-138,""t"":13638},{""x"":1356,""y"":677,""dx"":-95,""dy"":-144,""t"":13672},{""x"":1349,""y"":670,""dx"":-102,""dy"":-151,""t"":13704},{""x"":1341,""y"":662,""dx"":-110,""dy"":-159,""t"":13740},{""x"":1337,""y"":659,""dx"":-114,""dy"":-162,""t"":13775},{""x"":1331,""y"":664,""dx"":-120,""dy"":-157,""t"":13808},{""x"":1328,""y"":667,""dx"":-123,""dy"":-154,""t"":13842},{""x"":1335,""y"":687,""dx"":-116,""dy"":-134,""t"":13876},{""x"":1332,""y"":667,""dx"":-119,""dy"":-154,""t"":13910},{""x"":1353,""y"":679,""dx"":-98,""dy"":-142,""t"":13944},{""x"":1339,""y"":675,""dx"":-112,""dy"":-146,""t"":13977},{""x"":1332,""y"":666,""dx"":-119,""dy"":-155,""t"":14012},{""x"":1330,""y"":659,""dx"":-121,""dy"":-162,""t"":14045},{""x"":1324,""y"":648,""dx"":-127,""dy"":-173,""t"":14080},{""x"":1346,""y"":663,""dx"":-105,""dy"":-158,""t"":14113},{""x"":1337,""y"":655,""dx"":-114,""dy"":-166,""t"":14148},{""x"":1331,""y"":716,""dx"":-120,""dy"":-105,""t"":14182},{""x"":1335,""y"":721,""dx"":-116,""dy"":-100,""t"":14216},{""x"":1338,""y"":755,""dx"":-113,""dy"":-66,""t"":14250},{""x"":1328,""y"":725,""dx"":-123,""dy"":-96,""t"":14284},{""x"":1346,""y"":726,""dx"":-105,""dy"":-95,""t"":14318},{""x"":1343,""y"":703,""dx"":-108,""dy"":-118,""t"":14352},{""x"":1333,""y"":730,""dx"":-118,""dy"":-91,""t"":14385},{""x"":1344,""y"":746,""dx"":-107,""dy"":-75,""t"":14420},{""x"":1334,""y"":745,""dx"":-117,""dy"":-76,""t"":14454},{""x"":1328,""y"":722,""dx"":-123,""dy"":-99,""t"":14487},{""x"":1326,""y"":744,""dx"":-125,""dy"":-77,""t"":14522},{""x"":1316,""y"":718,""dx"":-135,""dy"":-103,""t"":14555},{""x"":1344,""y"":729,""dx"":-107,""dy"":-92,""t"":14590},{""x"":1344,""y"":708,""dx"":-107,""dy"":-113,""t"":14625},{""x"":1344,""y"":706,""dx"":-107,""dy"":-115,""t"":14658},{""x"":1349,""y"":704,""dx"":-102,""dy"":-117,""t"":14692},{""x"":1366,""y"":721,""dx"":-85,""dy"":-100,""t"":14725},{""x"":1371,""y"":692,""dx"":-80,""dy"":-129,""t"":14760},{""x"":1364,""y"":694,""dx"":-87,""dy"":-127,""t"":14794},{""x"":1350,""y"":689,""dx"":-101,""dy"":-132,""t"":14827},{""x"":1354,""y"":683,""dx"":-97,""dy"":-138,""t"":14861},{""x"":1374,""y"":695,""dx"":-77,""dy"":-126,""t"":14896},{""x"":1373,""y"":680,""dx"":-78,""dy"":-141,""t"":14931},{""x"":1357,""y"":650,""dx"":-94,""dy"":-171,""t"":14964},{""x"":1356,""y"":647,""dx"":-95,""dy"":-174,""t"":14998},{""x"":1357,""y"":660,""dx"":-94,""dy"":-161,""t"":15032}]]","[70,93.22033898305084,100,84.7457627118644,88.13559322033898]","[{""x"":-61.516666666666666,""y"":139.68333333333334,""r"":92.70114204371423},{""x"":129.1864406779661,""y"":-41.6271186440678,""r"":28.236667541555637},{""x"":20.086206896551722,""y"":11.086206896551724,""r"":80.86736431689168},{""x"":126.23728813559322,""y"":-17.949152542372882,""r"":50.109452164317126},{""x"":-104.49152542372882,""y"":-135.27118644067798,""r"":27.10387839541681}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.32","validate","","","","","","","","","",""
"","html-keyboard-response","9","52693","0.0-5.0-0.0","","","","","1010"," ","","","<p>回忆实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，500毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>要求：记忆所呈现刺激物的位置，根据提示选择对应刺激的位置，根据数字键盘的 "" 4 "" ,"" 8 "","" 6 "","" 2 "" 进行选择响应,如果不记得或者不存在选择""5""。</p><p>按"" ""键继续。</p>","","","","","","","","","","","","","","","",""
"","html-keyboard-response","10","53861","0.0-5.0-1.0","","","","","667"," ","","","<p>本次试验包含6个刺激物。根据数字键盘的"" 1 "","" 4 "" ,"" 7 "","" 9 "","" 6 "","" 3 "" 进行选择响应,如果不记得或者不存在选择"" 5 ""。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","54885","0.0-5.0-2.0","","","","","523"," ","","","<p>要求：记忆项目的形状。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","55896","0.0-5.0-3.0-0.0","","","","","null","null","","","","","","","","","recall","[""3"",""9"",""7"",""6"",""1"",""7"",""4"",""1"",""4"",""1"",""6"",""1"",""9"",""9"",""3"",""4"",""4"",""3"",""4"",""3"",""4"",""6"",""7"",""7"",""3"",""6"",""9"",""7"",""7"",""6"",""9"",""6"",""3"",""9"",""1"",""1""]","500","6","shape","","","","","",""
