"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","3498","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3506","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","9704","0.0-2.0-0.0","","","","","6197","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","11108","0.0-2.0-1.0","","","","","1404","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","11661","0.0-3.0","","","","","551"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","14447","0.0-4.0","","","","","","","","","779","","","","","","","","","","","","","","","",""
"","html-button-response","6","15467","0.0-5.0-0.0","","","","","1018","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","25496","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","26328","0.0-5.0-2.0","","","","","832","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","43653","0.0-5.0-3.0","","","","","","","","","","[[{""x"":406,""y"":310,""dx"":-85,""dy"":29,""t"":987},{""x"":411,""y"":319,""dx"":-80,""dy"":38,""t"":1023},{""x"":407,""y"":295,""dx"":-84,""dy"":14,""t"":1056},{""x"":429,""y"":294,""dx"":-62,""dy"":13,""t"":1090},{""x"":420,""y"":281,""dx"":-71,""dy"":0,""t"":1125},{""x"":407,""y"":269,""dx"":-84,""dy"":-12,""t"":1158},{""x"":416,""y"":257,""dx"":-75,""dy"":-24,""t"":1192},{""x"":396,""y"":264,""dx"":-95,""dy"":-17,""t"":1227},{""x"":400,""y"":269,""dx"":-91,""dy"":-12,""t"":1260},{""x"":399,""y"":282,""dx"":-92,""dy"":1,""t"":1294},{""x"":401,""y"":291,""dx"":-90,""dy"":10,""t"":1329},{""x"":398,""y"":284,""dx"":-93,""dy"":3,""t"":1362},{""x"":393,""y"":287,""dx"":-98,""dy"":6,""t"":1396},{""x"":389,""y"":290,""dx"":-102,""dy"":9,""t"":1429},{""x"":397,""y"":283,""dx"":-94,""dy"":2,""t"":1466},{""x"":425,""y"":285,""dx"":-66,""dy"":4,""t"":1498},{""x"":430,""y"":288,""dx"":-61,""dy"":7,""t"":1532},{""x"":444,""y"":298,""dx"":-47,""dy"":17,""t"":1567},{""x"":456,""y"":309,""dx"":-35,""dy"":28,""t"":1600},{""x"":472,""y"":312,""dx"":-19,""dy"":31,""t"":1634},{""x"":467,""y"":311,""dx"":-24,""dy"":30,""t"":1670},{""x"":475,""y"":308,""dx"":-16,""dy"":27,""t"":1702},{""x"":481,""y"":305,""dx"":-10,""dy"":24,""t"":1735},{""x"":467,""y"":302,""dx"":-24,""dy"":21,""t"":1769},{""x"":449,""y"":294,""dx"":-42,""dy"":13,""t"":1805},{""x"":433,""y"":287,""dx"":-58,""dy"":6,""t"":1838},{""x"":422,""y"":287,""dx"":-69,""dy"":6,""t"":1872},{""x"":417,""y"":285,""dx"":-74,""dy"":4,""t"":1906},{""x"":414,""y"":273,""dx"":-77,""dy"":-8,""t"":1941},{""x"":408,""y"":268,""dx"":-83,""dy"":-13,""t"":1973},{""x"":407,""y"":270,""dx"":-84,""dy"":-11,""t"":2007},{""x"":406,""y"":272,""dx"":-85,""dy"":-9,""t"":2041},{""x"":414,""y"":278,""dx"":-77,""dy"":-3,""t"":2077},{""x"":409,""y"":278,""dx"":-82,""dy"":-3,""t"":2109},{""x"":424,""y"":290,""dx"":-67,""dy"":9,""t"":2143},{""x"":435,""y"":295,""dx"":-56,""dy"":14,""t"":2179},{""x"":476,""y"":308,""dx"":-15,""dy"":27,""t"":2212},{""x"":491,""y"":301,""dx"":0,""dy"":20,""t"":2245},{""x"":505,""y"":315,""dx"":14,""dy"":34,""t"":2281},{""x"":517,""y"":329,""dx"":26,""dy"":48,""t"":2314},{""x"":532,""y"":341,""dx"":41,""dy"":60,""t"":2348},{""x"":547,""y"":346,""dx"":56,""dy"":65,""t"":2384},{""x"":560,""y"":353,""dx"":69,""dy"":72,""t"":2415},{""x"":571,""y"":356,""dx"":80,""dy"":75,""t"":2449},{""x"":553,""y"":355,""dx"":62,""dy"":74,""t"":2486},{""x"":532,""y"":355,""dx"":41,""dy"":74,""t"":2517},{""x"":513,""y"":357,""dx"":22,""dy"":76,""t"":2551},{""x"":524,""y"":359,""dx"":33,""dy"":78,""t"":2587},{""x"":498,""y"":353,""dx"":7,""dy"":72,""t"":2620},{""x"":479,""y"":351,""dx"":-12,""dy"":70,""t"":2654},{""x"":450,""y"":329,""dx"":-41,""dy"":48,""t"":2689},{""x"":445,""y"":321,""dx"":-46,""dy"":40,""t"":2722},{""x"":436,""y"":308,""dx"":-55,""dy"":27,""t"":2755},{""x"":425,""y"":289,""dx"":-66,""dy"":8,""t"":2791},{""x"":402,""y"":279,""dx"":-89,""dy"":-2,""t"":2823},{""x"":384,""y"":264,""dx"":-107,""dy"":-17,""t"":2858},{""x"":378,""y"":253,""dx"":-113,""dy"":-28,""t"":2893},{""x"":371,""y"":239,""dx"":-120,""dy"":-42,""t"":2925},{""x"":380,""y"":237,""dx"":-111,""dy"":-44,""t"":2959}],[{""x"":1516,""y"":315,""dx"":65,""dy"":34,""t"":4013},{""x"":1502,""y"":316,""dx"":51,""dy"":35,""t"":4050},{""x"":1495,""y"":313,""dx"":44,""dy"":32,""t"":4082},{""x"":1471,""y"":322,""dx"":20,""dy"":41,""t"":4116},{""x"":1454,""y"":319,""dx"":3,""dy"":38,""t"":4151},{""x"":1393,""y"":325,""dx"":-58,""dy"":44,""t"":4183},{""x"":1360,""y"":310,""dx"":-91,""dy"":29,""t"":4217},{""x"":1353,""y"":296,""dx"":-98,""dy"":15,""t"":4253},{""x"":1361,""y"":296,""dx"":-90,""dy"":15,""t"":4286},{""x"":1341,""y"":293,""dx"":-110,""dy"":12,""t"":4319},{""x"":1365,""y"":318,""dx"":-86,""dy"":37,""t"":4355},{""x"":1375,""y"":313,""dx"":-76,""dy"":32,""t"":4387},{""x"":1391,""y"":333,""dx"":-60,""dy"":52,""t"":4421},{""x"":1406,""y"":348,""dx"":-45,""dy"":67,""t"":4457},{""x"":1412,""y"":352,""dx"":-39,""dy"":71,""t"":4489},{""x"":1396,""y"":335,""dx"":-55,""dy"":54,""t"":4523},{""x"":1389,""y"":353,""dx"":-62,""dy"":72,""t"":4560},{""x"":1377,""y"":355,""dx"":-74,""dy"":74,""t"":4592},{""x"":1352,""y"":338,""dx"":-99,""dy"":57,""t"":4626},{""x"":1332,""y"":322,""dx"":-119,""dy"":41,""t"":4659},{""x"":1338,""y"":324,""dx"":-113,""dy"":43,""t"":4695},{""x"":1344,""y"":332,""dx"":-107,""dy"":51,""t"":4727},{""x"":1334,""y"":349,""dx"":-117,""dy"":68,""t"":4762},{""x"":1325,""y"":342,""dx"":-126,""dy"":61,""t"":4797},{""x"":1317,""y"":342,""dx"":-134,""dy"":61,""t"":4829},{""x"":1331,""y"":339,""dx"":-120,""dy"":58,""t"":4863},{""x"":1329,""y"":299,""dx"":-122,""dy"":18,""t"":4900},{""x"":1372,""y"":289,""dx"":-79,""dy"":8,""t"":4931},{""x"":1404,""y"":313,""dx"":-47,""dy"":32,""t"":4965},{""x"":1393,""y"":303,""dx"":-58,""dy"":22,""t"":4999},{""x"":1392,""y"":301,""dx"":-59,""dy"":20,""t"":5033},{""x"":1386,""y"":295,""dx"":-65,""dy"":14,""t"":5069},{""x"":1382,""y"":281,""dx"":-69,""dy"":0,""t"":5102},{""x"":1414,""y"":306,""dx"":-37,""dy"":25,""t"":5136},{""x"":1418,""y"":301,""dx"":-33,""dy"":20,""t"":5171},{""x"":1434,""y"":299,""dx"":-17,""dy"":18,""t"":5203},{""x"":1449,""y"":323,""dx"":-2,""dy"":42,""t"":5237},{""x"":1463,""y"":328,""dx"":12,""dy"":47,""t"":5273},{""x"":1487,""y"":342,""dx"":36,""dy"":61,""t"":5305},{""x"":1505,""y"":354,""dx"":54,""dy"":73,""t"":5339},{""x"":1516,""y"":364,""dx"":65,""dy"":83,""t"":5373},{""x"":1517,""y"":379,""dx"":66,""dy"":98,""t"":5409},{""x"":1531,""y"":388,""dx"":80,""dy"":107,""t"":5441},{""x"":1524,""y"":379,""dx"":73,""dy"":98,""t"":5475},{""x"":1513,""y"":368,""dx"":62,""dy"":87,""t"":5511},{""x"":1505,""y"":361,""dx"":54,""dy"":80,""t"":5544},{""x"":1510,""y"":367,""dx"":59,""dy"":86,""t"":5577},{""x"":1515,""y"":378,""dx"":64,""dy"":97,""t"":5613},{""x"":1510,""y"":379,""dx"":59,""dy"":98,""t"":5645},{""x"":1495,""y"":370,""dx"":44,""dy"":89,""t"":5679},{""x"":1477,""y"":364,""dx"":26,""dy"":83,""t"":5715},{""x"":1464,""y"":358,""dx"":13,""dy"":77,""t"":5747},{""x"":1456,""y"":352,""dx"":5,""dy"":71,""t"":5782},{""x"":1450,""y"":340,""dx"":-1,""dy"":59,""t"":5817},{""x"":1450,""y"":332,""dx"":-1,""dy"":51,""t"":5849},{""x"":1450,""y"":321,""dx"":-1,""dy"":40,""t"":5883},{""x"":1454,""y"":326,""dx"":3,""dy"":45,""t"":5919},{""x"":1449,""y"":338,""dx"":-2,""dy"":57,""t"":5951},{""x"":1453,""y"":343,""dx"":2,""dy"":62,""t"":5986}],[{""x"":888,""y"":533,""dx"":-83,""dy"":-18,""t"":7005},{""x"":890,""y"":532,""dx"":-81,""dy"":-19,""t"":7041},{""x"":903,""y"":512,""dx"":-68,""dy"":-39,""t"":7074},{""x"":925,""y"":516,""dx"":-46,""dy"":-35,""t"":7107},{""x"":952,""y"":507,""dx"":-19,""dy"":-44,""t"":7143},{""x"":955,""y"":503,""dx"":-16,""dy"":-48,""t"":7176},{""x"":966,""y"":503,""dx"":-5,""dy"":-48,""t"":7210},{""x"":958,""y"":508,""dx"":-13,""dy"":-43,""t"":7246},{""x"":948,""y"":512,""dx"":-23,""dy"":-39,""t"":7277},{""x"":932,""y"":509,""dx"":-39,""dy"":-42,""t"":7311},{""x"":924,""y"":495,""dx"":-47,""dy"":-56,""t"":7347},{""x"":920,""y"":485,""dx"":-51,""dy"":-66,""t"":7379},{""x"":914,""y"":466,""dx"":-57,""dy"":-85,""t"":7413},{""x"":918,""y"":469,""dx"":-53,""dy"":-82,""t"":7449},{""x"":923,""y"":473,""dx"":-48,""dy"":-78,""t"":7481},{""x"":917,""y"":457,""dx"":-54,""dy"":-94,""t"":7515},{""x"":927,""y"":469,""dx"":-44,""dy"":-82,""t"":7551},{""x"":959,""y"":496,""dx"":-12,""dy"":-55,""t"":7583},{""x"":991,""y"":522,""dx"":20,""dy"":-29,""t"":7617},{""x"":985,""y"":518,""dx"":14,""dy"":-33,""t"":7653},{""x"":990,""y"":533,""dx"":19,""dy"":-18,""t"":7685},{""x"":987,""y"":531,""dx"":16,""dy"":-20,""t"":7719},{""x"":964,""y"":498,""dx"":-7,""dy"":-53,""t"":7755},{""x"":953,""y"":479,""dx"":-18,""dy"":-72,""t"":7787},{""x"":944,""y"":473,""dx"":-27,""dy"":-78,""t"":7821},{""x"":935,""y"":450,""dx"":-36,""dy"":-101,""t"":7857},{""x"":922,""y"":446,""dx"":-49,""dy"":-105,""t"":7889},{""x"":915,""y"":455,""dx"":-56,""dy"":-96,""t"":7923},{""x"":898,""y"":440,""dx"":-73,""dy"":-111,""t"":7959},{""x"":898,""y"":463,""dx"":-73,""dy"":-88,""t"":7991},{""x"":900,""y"":490,""dx"":-71,""dy"":-61,""t"":8025},{""x"":905,""y"":502,""dx"":-66,""dy"":-49,""t"":8061},{""x"":899,""y"":502,""dx"":-72,""dy"":-49,""t"":8093},{""x"":911,""y"":527,""dx"":-60,""dy"":-24,""t"":8127},{""x"":917,""y"":530,""dx"":-54,""dy"":-21,""t"":8163},{""x"":937,""y"":532,""dx"":-34,""dy"":-19,""t"":8195},{""x"":954,""y"":533,""dx"":-17,""dy"":-18,""t"":8228},{""x"":953,""y"":537,""dx"":-18,""dy"":-14,""t"":8263},{""x"":966,""y"":546,""dx"":-5,""dy"":-5,""t"":8299},{""x"":965,""y"":549,""dx"":-6,""dy"":-2,""t"":8331},{""x"":969,""y"":556,""dx"":-2,""dy"":5,""t"":8365},{""x"":980,""y"":561,""dx"":9,""dy"":10,""t"":8402},{""x"":983,""y"":568,""dx"":12,""dy"":17,""t"":8434},{""x"":979,""y"":567,""dx"":8,""dy"":16,""t"":8467},{""x"":1003,""y"":578,""dx"":32,""dy"":27,""t"":8503},{""x"":993,""y"":582,""dx"":22,""dy"":31,""t"":8534},{""x"":1027,""y"":598,""dx"":56,""dy"":47,""t"":8570},{""x"":1042,""y"":603,""dx"":71,""dy"":52,""t"":8603},{""x"":1054,""y"":606,""dx"":83,""dy"":55,""t"":8636},{""x"":1038,""y"":607,""dx"":67,""dy"":56,""t"":8673},{""x"":1024,""y"":605,""dx"":53,""dy"":54,""t"":8705},{""x"":1008,""y"":596,""dx"":37,""dy"":45,""t"":8739},{""x"":1023,""y"":608,""dx"":52,""dy"":57,""t"":8775},{""x"":1027,""y"":616,""dx"":56,""dy"":65,""t"":8808},{""x"":1012,""y"":612,""dx"":41,""dy"":61,""t"":8841},{""x"":1003,""y"":587,""dx"":32,""dy"":36,""t"":8877},{""x"":1014,""y"":566,""dx"":43,""dy"":15,""t"":8909},{""x"":989,""y"":555,""dx"":18,""dy"":4,""t"":8944},{""x"":969,""y"":544,""dx"":-2,""dy"":-7,""t"":8979}],[{""x"":484,""y"":839,""dx"":-7,""dy"":18,""t"":10033},{""x"":489,""y"":841,""dx"":-2,""dy"":20,""t"":10065},{""x"":507,""y"":839,""dx"":16,""dy"":18,""t"":10100},{""x"":511,""y"":840,""dx"":20,""dy"":19,""t"":10132},{""x"":513,""y"":838,""dx"":22,""dy"":17,""t"":10169},{""x"":499,""y"":846,""dx"":8,""dy"":25,""t"":10201},{""x"":501,""y"":846,""dx"":10,""dy"":25,""t"":10234},{""x"":520,""y"":845,""dx"":29,""dy"":24,""t"":10269},{""x"":518,""y"":847,""dx"":27,""dy"":26,""t"":10305},{""x"":490,""y"":834,""dx"":-1,""dy"":13,""t"":10337},{""x"":469,""y"":822,""dx"":-22,""dy"":1,""t"":10371},{""x"":488,""y"":812,""dx"":-3,""dy"":-9,""t"":10407},{""x"":502,""y"":799,""dx"":11,""dy"":-22,""t"":10439},{""x"":482,""y"":772,""dx"":-9,""dy"":-49,""t"":10473},{""x"":456,""y"":766,""dx"":-35,""dy"":-55,""t"":10510},{""x"":434,""y"":762,""dx"":-57,""dy"":-59,""t"":10541},{""x"":440,""y"":767,""dx"":-51,""dy"":-54,""t"":10576},{""x"":450,""y"":786,""dx"":-41,""dy"":-35,""t"":10609},{""x"":459,""y"":804,""dx"":-32,""dy"":-17,""t"":10645},{""x"":466,""y"":807,""dx"":-25,""dy"":-14,""t"":10677},{""x"":473,""y"":810,""dx"":-18,""dy"":-11,""t"":10712},{""x"":473,""y"":822,""dx"":-18,""dy"":1,""t"":10747},{""x"":471,""y"":829,""dx"":-20,""dy"":8,""t"":10780},{""x"":477,""y"":827,""dx"":-14,""dy"":6,""t"":10814},{""x"":500,""y"":827,""dx"":9,""dy"":6,""t"":10849},{""x"":498,""y"":825,""dx"":7,""dy"":4,""t"":10882},{""x"":493,""y"":818,""dx"":2,""dy"":-3,""t"":10916},{""x"":472,""y"":805,""dx"":-19,""dy"":-16,""t"":10951},{""x"":455,""y"":802,""dx"":-36,""dy"":-19,""t"":10983},{""x"":456,""y"":802,""dx"":-35,""dy"":-19,""t"":11018},{""x"":470,""y"":800,""dx"":-21,""dy"":-21,""t"":11053},{""x"":484,""y"":782,""dx"":-7,""dy"":-39,""t"":11086},{""x"":499,""y"":777,""dx"":8,""dy"":-44,""t"":11120},{""x"":509,""y"":765,""dx"":18,""dy"":-56,""t"":11155},{""x"":527,""y"":755,""dx"":36,""dy"":-66,""t"":11188},{""x"":528,""y"":729,""dx"":37,""dy"":-92,""t"":11223},{""x"":523,""y"":712,""dx"":32,""dy"":-109,""t"":11257},{""x"":540,""y"":721,""dx"":49,""dy"":-100,""t"":11290},{""x"":548,""y"":728,""dx"":57,""dy"":-93,""t"":11324},{""x"":543,""y"":723,""dx"":52,""dy"":-98,""t"":11359},{""x"":520,""y"":726,""dx"":29,""dy"":-95,""t"":11392},{""x"":501,""y"":728,""dx"":10,""dy"":-93,""t"":11425},{""x"":499,""y"":730,""dx"":8,""dy"":-91,""t"":11460},{""x"":495,""y"":744,""dx"":4,""dy"":-77,""t"":11496},{""x"":482,""y"":747,""dx"":-9,""dy"":-74,""t"":11527},{""x"":471,""y"":760,""dx"":-20,""dy"":-61,""t"":11561},{""x"":463,""y"":764,""dx"":-28,""dy"":-57,""t"":11597},{""x"":475,""y"":762,""dx"":-16,""dy"":-59,""t"":11630},{""x"":476,""y"":779,""dx"":-15,""dy"":-42,""t"":11664},{""x"":490,""y"":776,""dx"":-1,""dy"":-45,""t"":11699},{""x"":495,""y"":771,""dx"":4,""dy"":-50,""t"":11731},{""x"":483,""y"":769,""dx"":-8,""dy"":-52,""t"":11766},{""x"":487,""y"":744,""dx"":-4,""dy"":-77,""t"":11800},{""x"":515,""y"":738,""dx"":24,""dy"":-83,""t"":11833},{""x"":520,""y"":749,""dx"":29,""dy"":-72,""t"":11869},{""x"":533,""y"":762,""dx"":42,""dy"":-59,""t"":11901},{""x"":534,""y"":783,""dx"":43,""dy"":-38,""t"":11935},{""x"":524,""y"":758,""dx"":33,""dy"":-63,""t"":11971},{""x"":539,""y"":780,""dx"":48,""dy"":-41,""t"":12003}],[{""x"":1221,""y"":720,""dx"":-230,""dy"":-101,""t"":13024},{""x"":1208,""y"":716,""dx"":-243,""dy"":-105,""t"":13060},{""x"":1219,""y"":712,""dx"":-232,""dy"":-109,""t"":13092},{""x"":1207,""y"":705,""dx"":-244,""dy"":-116,""t"":13126},{""x"":1211,""y"":713,""dx"":-240,""dy"":-108,""t"":13162},{""x"":1200,""y"":724,""dx"":-251,""dy"":-97,""t"":13195},{""x"":1214,""y"":703,""dx"":-237,""dy"":-118,""t"":13227},{""x"":1227,""y"":700,""dx"":-224,""dy"":-121,""t"":13263},{""x"":1258,""y"":721,""dx"":-193,""dy"":-100,""t"":13295},{""x"":1284,""y"":740,""dx"":-167,""dy"":-81,""t"":13329},{""x"":1309,""y"":766,""dx"":-142,""dy"":-55,""t"":13364},{""x"":1325,""y"":791,""dx"":-126,""dy"":-30,""t"":13399},{""x"":1335,""y"":782,""dx"":-116,""dy"":-39,""t"":13430},{""x"":1360,""y"":765,""dx"":-91,""dy"":-56,""t"":13465},{""x"":1372,""y"":739,""dx"":-79,""dy"":-82,""t"":13499},{""x"":1370,""y"":722,""dx"":-81,""dy"":-99,""t"":13535},{""x"":1361,""y"":708,""dx"":-90,""dy"":-113,""t"":13567},{""x"":1343,""y"":695,""dx"":-108,""dy"":-126,""t"":13601},{""x"":1326,""y"":684,""dx"":-125,""dy"":-137,""t"":13638},{""x"":1310,""y"":671,""dx"":-141,""dy"":-150,""t"":13669},{""x"":1299,""y"":657,""dx"":-152,""dy"":-164,""t"":13703},{""x"":1281,""y"":654,""dx"":-170,""dy"":-167,""t"":13736},{""x"":1273,""y"":658,""dx"":-178,""dy"":-163,""t"":13773},{""x"":1248,""y"":659,""dx"":-203,""dy"":-162,""t"":13805},{""x"":1234,""y"":688,""dx"":-217,""dy"":-133,""t"":13839},{""x"":1224,""y"":713,""dx"":-227,""dy"":-108,""t"":13875},{""x"":1201,""y"":739,""dx"":-250,""dy"":-82,""t"":13907},{""x"":1229,""y"":753,""dx"":-222,""dy"":-68,""t"":13941},{""x"":1253,""y"":764,""dx"":-198,""dy"":-57,""t"":13977},{""x"":1271,""y"":784,""dx"":-180,""dy"":-37,""t"":14009},{""x"":1286,""y"":800,""dx"":-165,""dy"":-21,""t"":14042},{""x"":1269,""y"":798,""dx"":-182,""dy"":-23,""t"":14077},{""x"":1273,""y"":806,""dx"":-178,""dy"":-15,""t"":14113},{""x"":1268,""y"":792,""dx"":-183,""dy"":-29,""t"":14145},{""x"":1288,""y"":787,""dx"":-163,""dy"":-34,""t"":14179},{""x"":1269,""y"":791,""dx"":-182,""dy"":-30,""t"":14215},{""x"":1283,""y"":794,""dx"":-168,""dy"":-27,""t"":14248},{""x"":1301,""y"":797,""dx"":-150,""dy"":-24,""t"":14282},{""x"":1315,""y"":795,""dx"":-136,""dy"":-26,""t"":14317},{""x"":1321,""y"":778,""dx"":-130,""dy"":-43,""t"":14350},{""x"":1322,""y"":783,""dx"":-129,""dy"":-38,""t"":14384},{""x"":1312,""y"":761,""dx"":-139,""dy"":-60,""t"":14419},{""x"":1331,""y"":754,""dx"":-120,""dy"":-67,""t"":14452},{""x"":1313,""y"":747,""dx"":-138,""dy"":-74,""t"":14486},{""x"":1314,""y"":729,""dx"":-137,""dy"":-92,""t"":14521},{""x"":1263,""y"":719,""dx"":-188,""dy"":-102,""t"":14553},{""x"":1279,""y"":708,""dx"":-172,""dy"":-113,""t"":14588},{""x"":1313,""y"":713,""dx"":-138,""dy"":-108,""t"":14623},{""x"":1344,""y"":728,""dx"":-107,""dy"":-93,""t"":14656},{""x"":1358,""y"":723,""dx"":-93,""dy"":-98,""t"":14690},{""x"":1382,""y"":740,""dx"":-69,""dy"":-81,""t"":14726},{""x"":1398,""y"":762,""dx"":-53,""dy"":-59,""t"":14757},{""x"":1411,""y"":773,""dx"":-40,""dy"":-48,""t"":14791},{""x"":1411,""y"":785,""dx"":-40,""dy"":-36,""t"":14827},{""x"":1401,""y"":798,""dx"":-50,""dy"":-23,""t"":14859},{""x"":1388,""y"":813,""dx"":-63,""dy"":-8,""t"":14893},{""x"":1320,""y"":766,""dx"":-131,""dy"":-55,""t"":14929},{""x"":1307,""y"":742,""dx"":-144,""dy"":-79,""t"":14961},{""x"":1303,""y"":754,""dx"":-148,""dy"":-67,""t"":14995}]]","[100,100,100,100,64.40677966101694]","[{""x"":-47.05084745762712,""y"":18.45762711864407,""r"":46.67168206041808},{""x"":-25.627118644067796,""y"":51.898305084745765,""r"":62.29560660833453},{""x"":-12.610169491525424,""y"":-23.610169491525422,""r"":57.18983141264369},{""x"":2.542372881355932,""y"":-35.559322033898304,""r"":42.27729557746618},{""x"":-154.11864406779662,""y"":-78.9322033898305,""r"":64.95971394262016}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
"","html-keyboard-response","10","45696","0.0-6.0-0.0","","","","","2042"," ","","<p>识别实验(四个刺激物)：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，500毫秒的空白间隔后，会呈现一个四个项目的阵列。</p> <p>要求：记忆单个项目，并在多个项目阵列中快速找到，并根据数字键盘的 "" 4 "" ,"" 8 "","" 6 "","" 2 "" 进行选择响应，如果不记得或者不存在选择""5""。</p><p>按"" ""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","46474","0.0-6.0-1.0","","","","","264"," ","","<p>要求：记忆单个项目的形状。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","47495","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""5"",""5"",""4"",""4"",""8"",""2"",""2"",""8"",""6"",""6"",""6"",""8"",""8"",""8"",""5"",""4"",""2"",""6"",""5"",""2"",""5"",""6"",""2"",""5"",""8"",""6"",""2"",""5"",""4"",""5"",""8"",""2"",""4"",""4"",""5"",""4"",""4"",""8"",""2"",""2"",""4"",""6"",""6"",""5"",""8"",""2"",""4"",""8""]","1000","shape","4","","","","","",""
"","canvas-keyboard-response","13","47601","0.0-6.0-2.0-1.0","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""5"",""5"",""4"",""4"",""8"",""2"",""2"",""8"",""6"",""6"",""6"",""8"",""8"",""8"",""5"",""4"",""2"",""6"",""5"",""2"",""5"",""6"",""2"",""5"",""8"",""6"",""2"",""5"",""4"",""5"",""8"",""2"",""4"",""4"",""5"",""4"",""4"",""8"",""2"",""2"",""4"",""6"",""6"",""5"",""8"",""2"",""4"",""8""]","1000","shape","4","","","","","",""
"","canvas-keyboard-response","14","49071","0.0-6.0-2.0-2.0","","","","","456","6","","[""star"",""circle"",""hexagram_1"",""triangle""]","","","","","","","","","","","","[{""x"":875,""y"":518,""t"":1},{""x"":870,""y"":536,""t"":38},{""x"":878,""y"":534,""t"":69},{""x"":875,""y"":558,""t"":103},{""x"":877,""y"":569,""t"":139},{""x"":884,""y"":553,""t"":173},{""x"":899,""y"":550,""t"":205},{""x"":905,""y"":579,""t"":240},{""x"":916,""y"":585,""t"":275},{""x"":903,""y"":580,""t"":309},{""x"":867,""y"":574,""t"":356},{""x"":846,""y"":574,""t"":377},{""x"":891,""y"":591,""t"":418},{""x"":976,""y"":581,""t"":443}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","hexagram_1","6","true","[{""x"":250,""y"":425,""width"":100,""height"":100,""top"":375,""right"":300,""bottom"":475,""left"":200},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":92.37604307034013,""height"":80,""top"":385,""right"":896.18802153517,""bottom"":465,""left"":803.81197846483},{""x"":550,""y"":725,""width"":92,""height"":92,""top"":679,""right"":596,""bottom"":771,""left"":504}]"
"","canvas-keyboard-response","15","50091","0.0-6.0-2.0-0.1","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""5"",""5"",""4"",""4"",""8"",""2"",""2"",""8"",""6"",""6"",""6"",""8"",""8"",""8"",""5"",""4"",""2"",""6"",""5"",""2"",""5"",""6"",""2"",""5"",""8"",""6"",""2"",""5"",""4"",""5"",""8"",""2"",""4"",""4"",""5"",""4"",""4"",""8"",""2"",""2"",""4"",""6"",""6"",""5"",""8"",""2"",""4"",""8""]","1000","shape","4","","","","","",""
"","canvas-keyboard-response","16","50198","0.0-6.0-2.0-1.1","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""5"",""5"",""4"",""4"",""8"",""2"",""2"",""8"",""6"",""6"",""6"",""8"",""8"",""8"",""5"",""4"",""2"",""6"",""5"",""2"",""5"",""6"",""2"",""5"",""8"",""6"",""2"",""5"",""4"",""5"",""8"",""2"",""4"",""4"",""5"",""4"",""4"",""8"",""2"",""2"",""4"",""6"",""6"",""5"",""8"",""2"",""4"",""8""]","1000","shape","4","","","","","",""
