"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","15746","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","15753","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","22082","0.0-2.0-0.0","","","","","6327","{""name"":""何靓雯"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","23746","0.0-2.0-1.0","","","","","1662","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","24794","0.0-3.0","","","","","1046"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","30296","0.0-4.0","","","","","","","","","1534","","","","","","","","","","","","","","","","",""
"","html-button-response","6","31489","0.0-5.0-0.0","","","","","1191","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","42369","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","43354","0.0-5.0-2.0","","","","","985","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","60482","0.0-5.0-3.0","","","","","","","","","","[[{""x"":407,""y"":298,""dx"":-84,""dy"":17,""t"":991},{""x"":439,""y"":327,""dx"":-52,""dy"":46,""t"":1024},{""x"":449,""y"":343,""dx"":-42,""dy"":62,""t"":1057},{""x"":447,""y"":330,""dx"":-44,""dy"":49,""t"":1092},{""x"":439,""y"":346,""dx"":-52,""dy"":65,""t"":1127},{""x"":457,""y"":373,""dx"":-34,""dy"":92,""t"":1160},{""x"":479,""y"":402,""dx"":-12,""dy"":121,""t"":1194},{""x"":478,""y"":406,""dx"":-13,""dy"":125,""t"":1229},{""x"":507,""y"":420,""dx"":16,""dy"":139,""t"":1262},{""x"":501,""y"":429,""dx"":10,""dy"":148,""t"":1296},{""x"":499,""y"":446,""dx"":8,""dy"":165,""t"":1331},{""x"":515,""y"":449,""dx"":24,""dy"":168,""t"":1364},{""x"":523,""y"":446,""dx"":32,""dy"":165,""t"":1399},{""x"":518,""y"":440,""dx"":27,""dy"":159,""t"":1432},{""x"":535,""y"":457,""dx"":44,""dy"":176,""t"":1467},{""x"":531,""y"":445,""dx"":40,""dy"":164,""t"":1500},{""x"":544,""y"":433,""dx"":53,""dy"":152,""t"":1534},{""x"":547,""y"":454,""dx"":56,""dy"":173,""t"":1568},{""x"":536,""y"":483,""dx"":45,""dy"":202,""t"":1601},{""x"":540,""y"":493,""dx"":49,""dy"":212,""t"":1637},{""x"":545,""y"":502,""dx"":54,""dy"":221,""t"":1672},{""x"":547,""y"":547,""dx"":56,""dy"":266,""t"":1703},{""x"":575,""y"":548,""dx"":84,""dy"":267,""t"":1738},{""x"":565,""y"":547,""dx"":74,""dy"":266,""t"":1772},{""x"":559,""y"":554,""dx"":68,""dy"":273,""t"":1806},{""x"":557,""y"":520,""dx"":66,""dy"":239,""t"":1840},{""x"":552,""y"":470,""dx"":61,""dy"":189,""t"":1873},{""x"":553,""y"":469,""dx"":62,""dy"":188,""t"":1908},{""x"":546,""y"":444,""dx"":55,""dy"":163,""t"":1941},{""x"":553,""y"":466,""dx"":62,""dy"":185,""t"":1977},{""x"":527,""y"":432,""dx"":36,""dy"":151,""t"":2010},{""x"":507,""y"":433,""dx"":16,""dy"":152,""t"":2042},{""x"":517,""y"":405,""dx"":26,""dy"":124,""t"":2078},{""x"":503,""y"":413,""dx"":12,""dy"":132,""t"":2111},{""x"":503,""y"":404,""dx"":12,""dy"":123,""t"":2179},{""x"":524,""y"":407,""dx"":33,""dy"":126,""t"":2213},{""x"":544,""y"":429,""dx"":53,""dy"":148,""t"":2250},{""x"":552,""y"":471,""dx"":61,""dy"":190,""t"":2282},{""x"":554,""y"":510,""dx"":63,""dy"":229,""t"":2317},{""x"":556,""y"":524,""dx"":65,""dy"":243,""t"":2349},{""x"":571,""y"":520,""dx"":80,""dy"":239,""t"":2384},{""x"":584,""y"":525,""dx"":93,""dy"":244,""t"":2418},{""x"":579,""y"":510,""dx"":88,""dy"":229,""t"":2449},{""x"":569,""y"":530,""dx"":78,""dy"":249,""t"":2485},{""x"":557,""y"":546,""dx"":66,""dy"":265,""t"":2520},{""x"":564,""y"":554,""dx"":73,""dy"":273,""t"":2554},{""x"":557,""y"":573,""dx"":66,""dy"":292,""t"":2588},{""x"":562,""y"":591,""dx"":71,""dy"":310,""t"":2622},{""x"":570,""y"":595,""dx"":79,""dy"":314,""t"":2656},{""x"":560,""y"":604,""dx"":69,""dy"":323,""t"":2690},{""x"":566,""y"":568,""dx"":75,""dy"":287,""t"":2724},{""x"":555,""y"":555,""dx"":64,""dy"":274,""t"":2758},{""x"":562,""y"":554,""dx"":71,""dy"":273,""t"":2792},{""x"":547,""y"":538,""dx"":56,""dy"":257,""t"":2826},{""x"":542,""y"":525,""dx"":51,""dy"":244,""t"":2861},{""x"":540,""y"":479,""dx"":49,""dy"":198,""t"":2895},{""x"":561,""y"":489,""dx"":70,""dy"":208,""t"":2928},{""x"":539,""y"":461,""dx"":48,""dy"":180,""t"":2962},{""x"":548,""y"":431,""dx"":57,""dy"":150,""t"":2997}],[{""x"":1494,""y"":277,""dx"":43,""dy"":-4,""t"":4017},{""x"":1486,""y"":264,""dx"":35,""dy"":-17,""t"":4049},{""x"":1476,""y"":277,""dx"":25,""dy"":-4,""t"":4084},{""x"":1474,""y"":296,""dx"":23,""dy"":15,""t"":4117},{""x"":1473,""y"":291,""dx"":22,""dy"":10,""t"":4152},{""x"":1454,""y"":285,""dx"":3,""dy"":4,""t"":4186},{""x"":1440,""y"":274,""dx"":-11,""dy"":-7,""t"":4221},{""x"":1436,""y"":292,""dx"":-15,""dy"":11,""t"":4254},{""x"":1421,""y"":296,""dx"":-30,""dy"":15,""t"":4287},{""x"":1421,""y"":304,""dx"":-30,""dy"":23,""t"":4322},{""x"":1414,""y"":323,""dx"":-37,""dy"":42,""t"":4356},{""x"":1395,""y"":322,""dx"":-56,""dy"":41,""t"":4390},{""x"":1403,""y"":331,""dx"":-48,""dy"":50,""t"":4424},{""x"":1406,""y"":337,""dx"":-45,""dy"":56,""t"":4458},{""x"":1394,""y"":331,""dx"":-57,""dy"":50,""t"":4492},{""x"":1382,""y"":356,""dx"":-69,""dy"":75,""t"":4526},{""x"":1388,""y"":377,""dx"":-63,""dy"":96,""t"":4560},{""x"":1392,""y"":383,""dx"":-59,""dy"":102,""t"":4595},{""x"":1390,""y"":384,""dx"":-61,""dy"":103,""t"":4628},{""x"":1404,""y"":373,""dx"":-47,""dy"":92,""t"":4663},{""x"":1402,""y"":335,""dx"":-49,""dy"":54,""t"":4695},{""x"":1409,""y"":346,""dx"":-42,""dy"":65,""t"":4730},{""x"":1423,""y"":347,""dx"":-28,""dy"":66,""t"":4765},{""x"":1408,""y"":308,""dx"":-43,""dy"":27,""t"":4798},{""x"":1418,""y"":329,""dx"":-33,""dy"":48,""t"":4832},{""x"":1432,""y"":341,""dx"":-19,""dy"":60,""t"":4866},{""x"":1436,""y"":373,""dx"":-15,""dy"":92,""t"":4900},{""x"":1420,""y"":413,""dx"":-31,""dy"":132,""t"":4934},{""x"":1437,""y"":412,""dx"":-14,""dy"":131,""t"":4968},{""x"":1439,""y"":377,""dx"":-12,""dy"":96,""t"":5002},{""x"":1429,""y"":363,""dx"":-22,""dy"":82,""t"":5037},{""x"":1442,""y"":390,""dx"":-9,""dy"":109,""t"":5069},{""x"":1450,""y"":363,""dx"":-1,""dy"":82,""t"":5104},{""x"":1430,""y"":353,""dx"":-21,""dy"":72,""t"":5137},{""x"":1390,""y"":380,""dx"":-61,""dy"":99,""t"":5172},{""x"":1411,""y"":407,""dx"":-40,""dy"":126,""t"":5207},{""x"":1430,""y"":430,""dx"":-21,""dy"":149,""t"":5238},{""x"":1432,""y"":407,""dx"":-19,""dy"":126,""t"":5274},{""x"":1422,""y"":399,""dx"":-29,""dy"":118,""t"":5307},{""x"":1410,""y"":371,""dx"":-41,""dy"":90,""t"":5341},{""x"":1435,""y"":384,""dx"":-16,""dy"":103,""t"":5375},{""x"":1422,""y"":369,""dx"":-29,""dy"":88,""t"":5410},{""x"":1423,""y"":377,""dx"":-28,""dy"":96,""t"":5445},{""x"":1407,""y"":373,""dx"":-44,""dy"":92,""t"":5477},{""x"":1421,""y"":393,""dx"":-30,""dy"":112,""t"":5512},{""x"":1425,""y"":424,""dx"":-26,""dy"":143,""t"":5546},{""x"":1423,""y"":435,""dx"":-28,""dy"":154,""t"":5580},{""x"":1427,""y"":431,""dx"":-24,""dy"":150,""t"":5611},{""x"":1421,""y"":445,""dx"":-30,""dy"":164,""t"":5648},{""x"":1416,""y"":448,""dx"":-35,""dy"":167,""t"":5681},{""x"":1428,""y"":453,""dx"":-23,""dy"":172,""t"":5716},{""x"":1423,""y"":446,""dx"":-28,""dy"":165,""t"":5749},{""x"":1445,""y"":446,""dx"":-6,""dy"":165,""t"":5784},{""x"":1444,""y"":370,""dx"":-7,""dy"":89,""t"":5818},{""x"":1435,""y"":371,""dx"":-16,""dy"":90,""t"":5852},{""x"":1430,""y"":344,""dx"":-21,""dy"":63,""t"":5886},{""x"":1435,""y"":390,""dx"":-16,""dy"":109,""t"":5921},{""x"":1449,""y"":392,""dx"":-2,""dy"":111,""t"":5955},{""x"":1463,""y"":392,""dx"":12,""dy"":111,""t"":5989}],[{""x"":1112,""y"":596,""dx"":141,""dy"":45,""t"":7010},{""x"":1152,""y"":615,""dx"":181,""dy"":64,""t"":7042},{""x"":1144,""y"":582,""dx"":173,""dy"":31,""t"":7076},{""x"":1120,""y"":577,""dx"":149,""dy"":26,""t"":7109},{""x"":1177,""y"":617,""dx"":206,""dy"":66,""t"":7144},{""x"":1163,""y"":623,""dx"":192,""dy"":72,""t"":7178},{""x"":1140,""y"":617,""dx"":169,""dy"":66,""t"":7209},{""x"":1121,""y"":607,""dx"":150,""dy"":56,""t"":7246},{""x"":1137,""y"":622,""dx"":166,""dy"":71,""t"":7280},{""x"":1119,""y"":601,""dx"":148,""dy"":50,""t"":7315},{""x"":1099,""y"":578,""dx"":128,""dy"":27,""t"":7348},{""x"":1080,""y"":577,""dx"":109,""dy"":26,""t"":7381},{""x"":1064,""y"":571,""dx"":93,""dy"":20,""t"":7416},{""x"":1061,""y"":575,""dx"":90,""dy"":24,""t"":7450},{""x"":1069,""y"":588,""dx"":98,""dy"":37,""t"":7484},{""x"":1115,""y"":630,""dx"":144,""dy"":79,""t"":7518},{""x"":1100,""y"":626,""dx"":129,""dy"":75,""t"":7551},{""x"":1116,""y"":657,""dx"":145,""dy"":106,""t"":7586},{""x"":1102,""y"":638,""dx"":131,""dy"":87,""t"":7618},{""x"":1122,""y"":685,""dx"":151,""dy"":134,""t"":7655},{""x"":1144,""y"":700,""dx"":173,""dy"":149,""t"":7688},{""x"":1175,""y"":720,""dx"":204,""dy"":169,""t"":7722},{""x"":1183,""y"":712,""dx"":212,""dy"":161,""t"":7757},{""x"":1195,""y"":722,""dx"":224,""dy"":171,""t"":7791},{""x"":1212,""y"":722,""dx"":241,""dy"":171,""t"":7824},{""x"":1214,""y"":743,""dx"":243,""dy"":192,""t"":7858},{""x"":1241,""y"":737,""dx"":270,""dy"":186,""t"":7892},{""x"":1253,""y"":745,""dx"":282,""dy"":194,""t"":7926},{""x"":1236,""y"":730,""dx"":265,""dy"":179,""t"":7959},{""x"":1229,""y"":732,""dx"":258,""dy"":181,""t"":7994},{""x"":1230,""y"":708,""dx"":259,""dy"":157,""t"":8028},{""x"":1219,""y"":722,""dx"":248,""dy"":171,""t"":8062},{""x"":1221,""y"":721,""dx"":250,""dy"":170,""t"":8095},{""x"":1212,""y"":744,""dx"":241,""dy"":193,""t"":8130},{""x"":1211,""y"":764,""dx"":240,""dy"":213,""t"":8164},{""x"":1207,""y"":765,""dx"":236,""dy"":214,""t"":8198},{""x"":1207,""y"":782,""dx"":236,""dy"":231,""t"":8232},{""x"":1225,""y"":789,""dx"":254,""dy"":238,""t"":8266},{""x"":1236,""y"":792,""dx"":265,""dy"":241,""t"":8300},{""x"":1226,""y"":792,""dx"":255,""dy"":241,""t"":8334},{""x"":1256,""y"":816,""dx"":285,""dy"":265,""t"":8368},{""x"":1214,""y"":769,""dx"":243,""dy"":218,""t"":8401},{""x"":1169,""y"":720,""dx"":198,""dy"":169,""t"":8436},{""x"":1183,""y"":712,""dx"":212,""dy"":161,""t"":8469},{""x"":1150,""y"":693,""dx"":179,""dy"":142,""t"":8504},{""x"":1148,""y"":722,""dx"":177,""dy"":171,""t"":8539},{""x"":1105,""y"":669,""dx"":134,""dy"":118,""t"":8573},{""x"":1119,""y"":702,""dx"":148,""dy"":151,""t"":8606},{""x"":1116,""y"":656,""dx"":145,""dy"":105,""t"":8641},{""x"":1119,""y"":676,""dx"":148,""dy"":125,""t"":8674},{""x"":1094,""y"":656,""dx"":123,""dy"":105,""t"":8708},{""x"":1083,""y"":636,""dx"":112,""dy"":85,""t"":8742},{""x"":1090,""y"":628,""dx"":119,""dy"":77,""t"":8776},{""x"":1121,""y"":668,""dx"":150,""dy"":117,""t"":8807},{""x"":1164,""y"":673,""dx"":193,""dy"":122,""t"":8844},{""x"":1167,""y"":686,""dx"":196,""dy"":135,""t"":8879},{""x"":1164,""y"":656,""dx"":193,""dy"":105,""t"":8912},{""x"":1164,""y"":705,""dx"":193,""dy"":154,""t"":8946},{""x"":1141,""y"":685,""dx"":170,""dy"":134,""t"":8980},{""x"":1147,""y"":694,""dx"":176,""dy"":143,""t"":9013}],[{""x"":770,""y"":789,""dx"":279,""dy"":-32,""t"":10035},{""x"":781,""y"":803,""dx"":290,""dy"":-18,""t"":10068},{""x"":778,""y"":791,""dx"":287,""dy"":-30,""t"":10102},{""x"":789,""y"":795,""dx"":298,""dy"":-26,""t"":10136},{""x"":770,""y"":797,""dx"":279,""dy"":-24,""t"":10170},{""x"":778,""y"":791,""dx"":287,""dy"":-30,""t"":10204},{""x"":775,""y"":799,""dx"":284,""dy"":-22,""t"":10238},{""x"":771,""y"":800,""dx"":280,""dy"":-21,""t"":10271},{""x"":769,""y"":799,""dx"":278,""dy"":-22,""t"":10305},{""x"":772,""y"":817,""dx"":281,""dy"":-4,""t"":10341},{""x"":753,""y"":808,""dx"":262,""dy"":-13,""t"":10374},{""x"":749,""y"":807,""dx"":258,""dy"":-14,""t"":10408},{""x"":735,""y"":804,""dx"":244,""dy"":-17,""t"":10442},{""x"":737,""y"":796,""dx"":246,""dy"":-25,""t"":10475},{""x"":728,""y"":802,""dx"":237,""dy"":-19,""t"":10510},{""x"":732,""y"":815,""dx"":241,""dy"":-6,""t"":10544},{""x"":768,""y"":819,""dx"":277,""dy"":-2,""t"":10577},{""x"":788,""y"":829,""dx"":297,""dy"":8,""t"":10613},{""x"":787,""y"":841,""dx"":296,""dy"":20,""t"":10646},{""x"":805,""y"":839,""dx"":314,""dy"":18,""t"":10681},{""x"":818,""y"":842,""dx"":327,""dy"":21,""t"":10714},{""x"":804,""y"":829,""dx"":313,""dy"":8,""t"":10748},{""x"":791,""y"":818,""dx"":300,""dy"":-3,""t"":10779},{""x"":782,""y"":812,""dx"":291,""dy"":-9,""t"":10816},{""x"":775,""y"":807,""dx"":284,""dy"":-14,""t"":10850},{""x"":786,""y"":804,""dx"":295,""dy"":-17,""t"":10883},{""x"":791,""y"":803,""dx"":300,""dy"":-18,""t"":10917},{""x"":783,""y"":819,""dx"":292,""dy"":-2,""t"":10952},{""x"":772,""y"":824,""dx"":281,""dy"":3,""t"":10985},{""x"":748,""y"":826,""dx"":257,""dy"":5,""t"":11019},{""x"":742,""y"":821,""dx"":251,""dy"":0,""t"":11054},{""x"":740,""y"":828,""dx"":249,""dy"":7,""t"":11087},{""x"":719,""y"":810,""dx"":228,""dy"":-11,""t"":11165},{""x"":723,""y"":818,""dx"":232,""dy"":-3,""t"":11193},{""x"":722,""y"":823,""dx"":231,""dy"":2,""t"":11224},{""x"":719,""y"":812,""dx"":228,""dy"":-9,""t"":11258},{""x"":761,""y"":824,""dx"":270,""dy"":3,""t"":11292},{""x"":779,""y"":819,""dx"":288,""dy"":-2,""t"":11326},{""x"":777,""y"":829,""dx"":286,""dy"":8,""t"":11359},{""x"":774,""y"":832,""dx"":283,""dy"":11,""t"":11394},{""x"":768,""y"":830,""dx"":277,""dy"":9,""t"":11429},{""x"":772,""y"":840,""dx"":281,""dy"":19,""t"":11462},{""x"":766,""y"":833,""dx"":275,""dy"":12,""t"":11496},{""x"":765,""y"":822,""dx"":274,""dy"":1,""t"":11530},{""x"":772,""y"":816,""dx"":281,""dy"":-5,""t"":11564},{""x"":770,""y"":814,""dx"":279,""dy"":-7,""t"":11598},{""x"":793,""y"":820,""dx"":302,""dy"":-1,""t"":11631},{""x"":783,""y"":825,""dx"":292,""dy"":4,""t"":11666},{""x"":775,""y"":816,""dx"":284,""dy"":-5,""t"":11700},{""x"":781,""y"":829,""dx"":290,""dy"":8,""t"":11734},{""x"":793,""y"":839,""dx"":302,""dy"":18,""t"":11768},{""x"":771,""y"":827,""dx"":280,""dy"":6,""t"":11802},{""x"":761,""y"":819,""dx"":270,""dy"":-2,""t"":11835},{""x"":740,""y"":826,""dx"":249,""dy"":5,""t"":11871},{""x"":775,""y"":815,""dx"":284,""dy"":-6,""t"":11904},{""x"":765,""y"":823,""dx"":274,""dy"":2,""t"":11938},{""x"":800,""y"":840,""dx"":309,""dy"":19,""t"":11972},{""x"":792,""y"":847,""dx"":301,""dy"":26,""t"":12006},{""x"":812,""y"":833,""dx"":321,""dy"":12,""t"":12040}],[{""x"":1480,""y"":779,""dx"":29,""dy"":-42,""t"":13060},{""x"":1471,""y"":787,""dx"":20,""dy"":-34,""t"":13094},{""x"":1446,""y"":767,""dx"":-5,""dy"":-54,""t"":13128},{""x"":1452,""y"":774,""dx"":1,""dy"":-47,""t"":13162},{""x"":1440,""y"":747,""dx"":-11,""dy"":-74,""t"":13196},{""x"":1449,""y"":773,""dx"":-2,""dy"":-48,""t"":13230},{""x"":1424,""y"":753,""dx"":-27,""dy"":-68,""t"":13264},{""x"":1387,""y"":745,""dx"":-64,""dy"":-76,""t"":13298},{""x"":1392,""y"":760,""dx"":-59,""dy"":-61,""t"":13332},{""x"":1383,""y"":739,""dx"":-68,""dy"":-82,""t"":13365},{""x"":1374,""y"":733,""dx"":-77,""dy"":-88,""t"":13400},{""x"":1388,""y"":770,""dx"":-63,""dy"":-51,""t"":13434},{""x"":1402,""y"":776,""dx"":-49,""dy"":-45,""t"":13468},{""x"":1394,""y"":757,""dx"":-57,""dy"":-64,""t"":13502},{""x"":1418,""y"":782,""dx"":-33,""dy"":-39,""t"":13536},{""x"":1407,""y"":766,""dx"":-44,""dy"":-55,""t"":13570},{""x"":1407,""y"":766,""dx"":-44,""dy"":-55,""t"":13604},{""x"":1392,""y"":761,""dx"":-59,""dy"":-60,""t"":13639},{""x"":1415,""y"":796,""dx"":-36,""dy"":-25,""t"":13672},{""x"":1401,""y"":785,""dx"":-50,""dy"":-36,""t"":13706},{""x"":1401,""y"":786,""dx"":-50,""dy"":-35,""t"":13740},{""x"":1393,""y"":770,""dx"":-58,""dy"":-51,""t"":13774},{""x"":1373,""y"":772,""dx"":-78,""dy"":-49,""t"":13808},{""x"":1367,""y"":768,""dx"":-84,""dy"":-53,""t"":13842},{""x"":1335,""y"":758,""dx"":-116,""dy"":-63,""t"":13876},{""x"":1325,""y"":755,""dx"":-126,""dy"":-66,""t"":13911},{""x"":1345,""y"":772,""dx"":-106,""dy"":-49,""t"":13941},{""x"":1343,""y"":767,""dx"":-108,""dy"":-54,""t"":13978},{""x"":1373,""y"":785,""dx"":-78,""dy"":-36,""t"":14011},{""x"":1388,""y"":804,""dx"":-63,""dy"":-17,""t"":14046},{""x"":1400,""y"":811,""dx"":-51,""dy"":-10,""t"":14080},{""x"":1411,""y"":816,""dx"":-40,""dy"":-5,""t"":14114},{""x"":1413,""y"":830,""dx"":-38,""dy"":9,""t"":14148},{""x"":1432,""y"":838,""dx"":-19,""dy"":17,""t"":14181},{""x"":1421,""y"":795,""dx"":-30,""dy"":-26,""t"":14216},{""x"":1437,""y"":797,""dx"":-14,""dy"":-24,""t"":14251},{""x"":1444,""y"":811,""dx"":-7,""dy"":-10,""t"":14285},{""x"":1453,""y"":819,""dx"":2,""dy"":-2,""t"":14318},{""x"":1459,""y"":826,""dx"":8,""dy"":5,""t"":14349},{""x"":1434,""y"":815,""dx"":-17,""dy"":-6,""t"":14387},{""x"":1425,""y"":805,""dx"":-26,""dy"":-16,""t"":14421},{""x"":1418,""y"":756,""dx"":-33,""dy"":-65,""t"":14454},{""x"":1398,""y"":751,""dx"":-53,""dy"":-70,""t"":14488},{""x"":1391,""y"":737,""dx"":-60,""dy"":-84,""t"":14522},{""x"":1390,""y"":777,""dx"":-61,""dy"":-44,""t"":14556},{""x"":1400,""y"":788,""dx"":-51,""dy"":-33,""t"":14590},{""x"":1411,""y"":802,""dx"":-40,""dy"":-19,""t"":14624},{""x"":1413,""y"":811,""dx"":-38,""dy"":-10,""t"":14659},{""x"":1411,""y"":814,""dx"":-40,""dy"":-7,""t"":14692},{""x"":1399,""y"":791,""dx"":-52,""dy"":-30,""t"":14726},{""x"":1396,""y"":797,""dx"":-55,""dy"":-24,""t"":14761},{""x"":1408,""y"":808,""dx"":-43,""dy"":-13,""t"":14795},{""x"":1419,""y"":824,""dx"":-32,""dy"":3,""t"":14828},{""x"":1419,""y"":829,""dx"":-32,""dy"":8,""t"":14861},{""x"":1397,""y"":795,""dx"":-54,""dy"":-26,""t"":14896},{""x"":1400,""y"":795,""dx"":-51,""dy"":-26,""t"":14930},{""x"":1392,""y"":749,""dx"":-59,""dy"":-72,""t"":14964},{""x"":1369,""y"":778,""dx"":-82,""dy"":-43,""t"":14999},{""x"":1368,""y"":786,""dx"":-83,""dy"":-35,""t"":15032}]]","[54.23728813559322,100,40,0,100]","[{""x"":40.57627118644068,""y"":191.25423728813558,""r"":60.611489482460264},{""x"":-24.135593220338983,""y"":83.40677966101696,""r"":41.747799588340655},{""x"":187.38333333333333,""y"":129.76666666666668,""r"":107.42342768972708},{""x"":278.40677966101697,""y"":-3.1186440677966103,""r"":21.633931767816925},{""x"":-46.03389830508475,""y"":-37.88135593220339,""r"":33.43039779446771}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.22","validate","","","","","","","","","","",""
"","html-button-response","10","61042","0.0-5.0-4.0-0.0-0.0","","","","","559","0","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","","recalibration","","","","","","","","","",""
"","webgazer-calibrate","11","71206","0.0-5.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","recalibration","","","","","","","","","",""
"","html-button-response","12","72346","0.0-5.0-4.0-0.0-2.0","","","","","1139","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","recalibration","","","","","","","","","",""
