"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","1773","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1778","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6205","0.0-2.0-0.0","","","","","4424","{""name"":""张小雨"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7524","0.0-2.0-1.0","","","","","1318","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","8132","0.0-3.0","","","","","605"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","13490","0.0-4.0","","","","","","","","","2147","","","","","","","","","","","","","","","",""
"","html-button-response","6","14124","0.0-5.0-0.0","","","","","632","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","26441","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","27003","0.0-5.0-2.0","","","","","561","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","44171","0.0-5.0-3.0","","","","","","","","","","[[{""x"":587,""y"":252,""dx"":96,""dy"":-29,""t"":990},{""x"":572,""y"":250,""dx"":81,""dy"":-31,""t"":1024},{""x"":547,""y"":243,""dx"":56,""dy"":-38,""t"":1059},{""x"":536,""y"":254,""dx"":45,""dy"":-27,""t"":1092},{""x"":527,""y"":268,""dx"":36,""dy"":-13,""t"":1126},{""x"":522,""y"":264,""dx"":31,""dy"":-17,""t"":1160},{""x"":539,""y"":284,""dx"":48,""dy"":3,""t"":1194},{""x"":565,""y"":297,""dx"":74,""dy"":16,""t"":1228},{""x"":557,""y"":281,""dx"":66,""dy"":0,""t"":1262},{""x"":550,""y"":285,""dx"":59,""dy"":4,""t"":1296},{""x"":585,""y"":295,""dx"":94,""dy"":14,""t"":1330},{""x"":589,""y"":301,""dx"":98,""dy"":20,""t"":1364},{""x"":581,""y"":287,""dx"":90,""dy"":6,""t"":1398},{""x"":580,""y"":287,""dx"":89,""dy"":6,""t"":1431},{""x"":578,""y"":287,""dx"":87,""dy"":6,""t"":1465},{""x"":576,""y"":288,""dx"":85,""dy"":7,""t"":1497},{""x"":562,""y"":294,""dx"":71,""dy"":13,""t"":1534},{""x"":568,""y"":289,""dx"":77,""dy"":8,""t"":1568},{""x"":592,""y"":282,""dx"":101,""dy"":1,""t"":1602},{""x"":582,""y"":294,""dx"":91,""dy"":13,""t"":1636},{""x"":581,""y"":282,""dx"":90,""dy"":1,""t"":1669},{""x"":609,""y"":273,""dx"":118,""dy"":-8,""t"":1703},{""x"":618,""y"":277,""dx"":127,""dy"":-4,""t"":1738},{""x"":649,""y"":289,""dx"":158,""dy"":8,""t"":1772},{""x"":656,""y"":270,""dx"":165,""dy"":-11,""t"":1806},{""x"":626,""y"":286,""dx"":135,""dy"":5,""t"":1839},{""x"":599,""y"":287,""dx"":108,""dy"":6,""t"":1875},{""x"":577,""y"":288,""dx"":86,""dy"":7,""t"":1906},{""x"":553,""y"":275,""dx"":62,""dy"":-6,""t"":1942},{""x"":559,""y"":258,""dx"":68,""dy"":-23,""t"":1975},{""x"":502,""y"":227,""dx"":11,""dy"":-54,""t"":2010},{""x"":455,""y"":200,""dx"":-36,""dy"":-81,""t"":2044},{""x"":483,""y"":225,""dx"":-8,""dy"":-56,""t"":2079},{""x"":454,""y"":229,""dx"":-37,""dy"":-52,""t"":2111},{""x"":475,""y"":238,""dx"":-16,""dy"":-43,""t"":2146},{""x"":462,""y"":262,""dx"":-29,""dy"":-19,""t"":2180},{""x"":470,""y"":256,""dx"":-21,""dy"":-25,""t"":2214},{""x"":442,""y"":264,""dx"":-49,""dy"":-17,""t"":2248},{""x"":459,""y"":280,""dx"":-32,""dy"":-1,""t"":2282},{""x"":442,""y"":270,""dx"":-49,""dy"":-11,""t"":2316},{""x"":433,""y"":272,""dx"":-58,""dy"":-9,""t"":2350},{""x"":513,""y"":293,""dx"":22,""dy"":12,""t"":2383},{""x"":566,""y"":305,""dx"":75,""dy"":24,""t"":2418},{""x"":586,""y"":308,""dx"":95,""dy"":27,""t"":2451},{""x"":606,""y"":341,""dx"":115,""dy"":60,""t"":2486},{""x"":629,""y"":362,""dx"":138,""dy"":81,""t"":2520},{""x"":642,""y"":354,""dx"":151,""dy"":73,""t"":2554},{""x"":653,""y"":366,""dx"":162,""dy"":85,""t"":2587},{""x"":670,""y"":383,""dx"":179,""dy"":102,""t"":2622},{""x"":646,""y"":386,""dx"":155,""dy"":105,""t"":2657},{""x"":619,""y"":378,""dx"":128,""dy"":97,""t"":2690},{""x"":622,""y"":393,""dx"":131,""dy"":112,""t"":2724},{""x"":628,""y"":383,""dx"":137,""dy"":102,""t"":2759},{""x"":624,""y"":360,""dx"":133,""dy"":79,""t"":2792},{""x"":606,""y"":350,""dx"":115,""dy"":69,""t"":2827},{""x"":620,""y"":379,""dx"":129,""dy"":98,""t"":2860},{""x"":585,""y"":317,""dx"":94,""dy"":36,""t"":2894},{""x"":595,""y"":344,""dx"":104,""dy"":63,""t"":2929},{""x"":578,""y"":310,""dx"":87,""dy"":29,""t"":2962}],[{""x"":1476,""y"":195,""dx"":25,""dy"":-86,""t"":4016},{""x"":1528,""y"":242,""dx"":77,""dy"":-39,""t"":4050},{""x"":1522,""y"":240,""dx"":71,""dy"":-41,""t"":4084},{""x"":1498,""y"":224,""dx"":47,""dy"":-57,""t"":4118},{""x"":1497,""y"":237,""dx"":46,""dy"":-44,""t"":4151},{""x"":1488,""y"":235,""dx"":37,""dy"":-46,""t"":4185},{""x"":1486,""y"":234,""dx"":35,""dy"":-47,""t"":4219},{""x"":1514,""y"":239,""dx"":63,""dy"":-42,""t"":4254},{""x"":1531,""y"":247,""dx"":80,""dy"":-34,""t"":4289},{""x"":1492,""y"":219,""dx"":41,""dy"":-62,""t"":4322},{""x"":1453,""y"":190,""dx"":2,""dy"":-91,""t"":4356},{""x"":1474,""y"":214,""dx"":23,""dy"":-67,""t"":4390},{""x"":1473,""y"":216,""dx"":22,""dy"":-65,""t"":4424},{""x"":1467,""y"":217,""dx"":16,""dy"":-64,""t"":4457},{""x"":1466,""y"":199,""dx"":15,""dy"":-82,""t"":4492},{""x"":1469,""y"":208,""dx"":18,""dy"":-73,""t"":4526},{""x"":1466,""y"":192,""dx"":15,""dy"":-89,""t"":4560},{""x"":1467,""y"":204,""dx"":16,""dy"":-77,""t"":4594},{""x"":1481,""y"":217,""dx"":30,""dy"":-64,""t"":4628},{""x"":1473,""y"":210,""dx"":22,""dy"":-71,""t"":4661},{""x"":1469,""y"":206,""dx"":18,""dy"":-75,""t"":4697},{""x"":1501,""y"":234,""dx"":50,""dy"":-47,""t"":4730},{""x"":1499,""y"":244,""dx"":48,""dy"":-37,""t"":4764},{""x"":1514,""y"":266,""dx"":63,""dy"":-15,""t"":4798},{""x"":1537,""y"":284,""dx"":86,""dy"":3,""t"":4832},{""x"":1542,""y"":282,""dx"":91,""dy"":1,""t"":4867},{""x"":1528,""y"":253,""dx"":77,""dy"":-28,""t"":4899},{""x"":1531,""y"":277,""dx"":80,""dy"":-4,""t"":4934},{""x"":1511,""y"":264,""dx"":60,""dy"":-17,""t"":4967},{""x"":1522,""y"":273,""dx"":71,""dy"":-8,""t"":5002},{""x"":1523,""y"":276,""dx"":72,""dy"":-5,""t"":5036},{""x"":1524,""y"":277,""dx"":73,""dy"":-4,""t"":5068},{""x"":1507,""y"":265,""dx"":56,""dy"":-16,""t"":5104},{""x"":1553,""y"":284,""dx"":102,""dy"":3,""t"":5138},{""x"":1573,""y"":273,""dx"":122,""dy"":-8,""t"":5173},{""x"":1579,""y"":300,""dx"":128,""dy"":19,""t"":5206},{""x"":1592,""y"":326,""dx"":141,""dy"":45,""t"":5239},{""x"":1599,""y"":347,""dx"":148,""dy"":66,""t"":5274},{""x"":1621,""y"":376,""dx"":170,""dy"":95,""t"":5308},{""x"":1628,""y"":383,""dx"":177,""dy"":102,""t"":5341},{""x"":1613,""y"":345,""dx"":162,""dy"":64,""t"":5376},{""x"":1614,""y"":357,""dx"":163,""dy"":76,""t"":5410},{""x"":1611,""y"":357,""dx"":160,""dy"":76,""t"":5444},{""x"":1610,""y"":374,""dx"":159,""dy"":93,""t"":5476},{""x"":1593,""y"":340,""dx"":142,""dy"":59,""t"":5511},{""x"":1577,""y"":317,""dx"":126,""dy"":36,""t"":5546},{""x"":1595,""y"":340,""dx"":144,""dy"":59,""t"":5580},{""x"":1601,""y"":348,""dx"":150,""dy"":67,""t"":5615},{""x"":1613,""y"":357,""dx"":162,""dy"":76,""t"":5648},{""x"":1632,""y"":374,""dx"":181,""dy"":93,""t"":5682},{""x"":1632,""y"":363,""dx"":181,""dy"":82,""t"":5716},{""x"":1637,""y"":371,""dx"":186,""dy"":90,""t"":5751},{""x"":1606,""y"":334,""dx"":155,""dy"":53,""t"":5784},{""x"":1593,""y"":342,""dx"":142,""dy"":61,""t"":5818},{""x"":1568,""y"":328,""dx"":117,""dy"":47,""t"":5852},{""x"":1542,""y"":311,""dx"":91,""dy"":30,""t"":5886},{""x"":1542,""y"":316,""dx"":91,""dy"":35,""t"":5920},{""x"":1506,""y"":324,""dx"":55,""dy"":43,""t"":5954},{""x"":1482,""y"":298,""dx"":31,""dy"":17,""t"":5988}],[{""x"":1123,""y"":536,""dx"":152,""dy"":-15,""t"":7040},{""x"":1161,""y"":553,""dx"":190,""dy"":2,""t"":7076},{""x"":1184,""y"":573,""dx"":213,""dy"":22,""t"":7110},{""x"":1208,""y"":594,""dx"":237,""dy"":43,""t"":7143},{""x"":1195,""y"":586,""dx"":224,""dy"":35,""t"":7178},{""x"":1193,""y"":557,""dx"":222,""dy"":6,""t"":7212},{""x"":1214,""y"":581,""dx"":243,""dy"":30,""t"":7246},{""x"":1216,""y"":557,""dx"":245,""dy"":6,""t"":7280},{""x"":1197,""y"":553,""dx"":226,""dy"":2,""t"":7315},{""x"":1246,""y"":566,""dx"":275,""dy"":15,""t"":7348},{""x"":1240,""y"":551,""dx"":269,""dy"":0,""t"":7382},{""x"":1227,""y"":526,""dx"":256,""dy"":-25,""t"":7416},{""x"":1237,""y"":521,""dx"":266,""dy"":-30,""t"":7450},{""x"":1249,""y"":516,""dx"":278,""dy"":-35,""t"":7483},{""x"":1245,""y"":553,""dx"":274,""dy"":2,""t"":7517},{""x"":1261,""y"":543,""dx"":290,""dy"":-8,""t"":7551},{""x"":1264,""y"":535,""dx"":293,""dy"":-16,""t"":7587},{""x"":1289,""y"":562,""dx"":318,""dy"":11,""t"":7619},{""x"":1215,""y"":519,""dx"":244,""dy"":-32,""t"":7654},{""x"":1187,""y"":537,""dx"":216,""dy"":-14,""t"":7688},{""x"":1135,""y"":524,""dx"":164,""dy"":-27,""t"":7721},{""x"":1123,""y"":528,""dx"":152,""dy"":-23,""t"":7756},{""x"":1102,""y"":518,""dx"":131,""dy"":-33,""t"":7790},{""x"":1108,""y"":517,""dx"":137,""dy"":-34,""t"":7824},{""x"":1143,""y"":543,""dx"":172,""dy"":-8,""t"":7858},{""x"":1179,""y"":540,""dx"":208,""dy"":-11,""t"":7891},{""x"":1151,""y"":553,""dx"":180,""dy"":2,""t"":7926},{""x"":1138,""y"":548,""dx"":167,""dy"":-3,""t"":7960},{""x"":1143,""y"":564,""dx"":172,""dy"":13,""t"":7994},{""x"":1169,""y"":571,""dx"":198,""dy"":20,""t"":8028},{""x"":1209,""y"":608,""dx"":238,""dy"":57,""t"":8062},{""x"":1179,""y"":595,""dx"":208,""dy"":44,""t"":8096},{""x"":1167,""y"":566,""dx"":196,""dy"":15,""t"":8129},{""x"":1132,""y"":564,""dx"":161,""dy"":13,""t"":8164},{""x"":1101,""y"":522,""dx"":130,""dy"":-29,""t"":8198},{""x"":1140,""y"":558,""dx"":169,""dy"":7,""t"":8232},{""x"":1148,""y"":572,""dx"":177,""dy"":21,""t"":8267},{""x"":1164,""y"":612,""dx"":193,""dy"":61,""t"":8300},{""x"":1162,""y"":628,""dx"":191,""dy"":77,""t"":8334},{""x"":1145,""y"":586,""dx"":174,""dy"":35,""t"":8368},{""x"":1127,""y"":561,""dx"":156,""dy"":10,""t"":8401},{""x"":1141,""y"":584,""dx"":170,""dy"":33,""t"":8436},{""x"":1128,""y"":589,""dx"":157,""dy"":38,""t"":8470},{""x"":1082,""y"":588,""dx"":111,""dy"":37,""t"":8503},{""x"":1048,""y"":551,""dx"":77,""dy"":0,""t"":8539},{""x"":1052,""y"":544,""dx"":81,""dy"":-7,""t"":8571},{""x"":1053,""y"":535,""dx"":82,""dy"":-16,""t"":8607},{""x"":1055,""y"":528,""dx"":84,""dy"":-23,""t"":8638},{""x"":1066,""y"":542,""dx"":95,""dy"":-9,""t"":8675},{""x"":1058,""y"":515,""dx"":87,""dy"":-36,""t"":8707},{""x"":1063,""y"":522,""dx"":92,""dy"":-29,""t"":8742},{""x"":1080,""y"":542,""dx"":109,""dy"":-9,""t"":8787},{""x"":1082,""y"":553,""dx"":111,""dy"":2,""t"":8825},{""x"":1084,""y"":562,""dx"":113,""dy"":11,""t"":8843},{""x"":1082,""y"":586,""dx"":111,""dy"":35,""t"":8878},{""x"":1052,""y"":584,""dx"":81,""dy"":33,""t"":8912},{""x"":920,""y"":590,""dx"":-51,""dy"":39,""t"":8946},{""x"":790,""y"":593,""dx"":-181,""dy"":42,""t"":8980},{""x"":695,""y"":583,""dx"":-276,""dy"":32,""t"":9014}],[{""x"":584,""y"":717,""dx"":93,""dy"":-104,""t"":10034},{""x"":579,""y"":710,""dx"":88,""dy"":-111,""t"":10067},{""x"":577,""y"":711,""dx"":86,""dy"":-110,""t"":10101},{""x"":574,""y"":725,""dx"":83,""dy"":-96,""t"":10135},{""x"":568,""y"":717,""dx"":77,""dy"":-104,""t"":10169},{""x"":565,""y"":716,""dx"":74,""dy"":-105,""t"":10203},{""x"":577,""y"":703,""dx"":86,""dy"":-118,""t"":10238},{""x"":550,""y"":693,""dx"":59,""dy"":-128,""t"":10272},{""x"":604,""y"":708,""dx"":113,""dy"":-113,""t"":10306},{""x"":574,""y"":707,""dx"":83,""dy"":-114,""t"":10340},{""x"":575,""y"":717,""dx"":84,""dy"":-104,""t"":10374},{""x"":565,""y"":710,""dx"":74,""dy"":-111,""t"":10407},{""x"":571,""y"":704,""dx"":80,""dy"":-117,""t"":10442},{""x"":574,""y"":702,""dx"":83,""dy"":-119,""t"":10476},{""x"":548,""y"":694,""dx"":57,""dy"":-127,""t"":10510},{""x"":533,""y"":700,""dx"":42,""dy"":-121,""t"":10544},{""x"":539,""y"":710,""dx"":48,""dy"":-111,""t"":10579},{""x"":544,""y"":719,""dx"":53,""dy"":-102,""t"":10610},{""x"":565,""y"":727,""dx"":74,""dy"":-94,""t"":10646},{""x"":587,""y"":737,""dx"":96,""dy"":-84,""t"":10680},{""x"":596,""y"":733,""dx"":105,""dy"":-88,""t"":10714},{""x"":604,""y"":734,""dx"":113,""dy"":-87,""t"":10748},{""x"":608,""y"":740,""dx"":117,""dy"":-81,""t"":10783},{""x"":627,""y"":741,""dx"":136,""dy"":-80,""t"":10816},{""x"":617,""y"":746,""dx"":126,""dy"":-75,""t"":10850},{""x"":633,""y"":764,""dx"":142,""dy"":-57,""t"":10884},{""x"":655,""y"":773,""dx"":164,""dy"":-48,""t"":10918},{""x"":628,""y"":756,""dx"":137,""dy"":-65,""t"":10951},{""x"":635,""y"":755,""dx"":144,""dy"":-66,""t"":10986},{""x"":638,""y"":777,""dx"":147,""dy"":-44,""t"":11019},{""x"":629,""y"":776,""dx"":138,""dy"":-45,""t"":11054},{""x"":624,""y"":767,""dx"":133,""dy"":-54,""t"":11088},{""x"":613,""y"":771,""dx"":122,""dy"":-50,""t"":11122},{""x"":609,""y"":772,""dx"":118,""dy"":-49,""t"":11155},{""x"":594,""y"":767,""dx"":103,""dy"":-54,""t"":11189},{""x"":579,""y"":750,""dx"":88,""dy"":-71,""t"":11225},{""x"":589,""y"":737,""dx"":98,""dy"":-84,""t"":11258},{""x"":620,""y"":748,""dx"":129,""dy"":-73,""t"":11292},{""x"":629,""y"":756,""dx"":138,""dy"":-65,""t"":11325},{""x"":628,""y"":754,""dx"":137,""dy"":-67,""t"":11359},{""x"":624,""y"":767,""dx"":133,""dy"":-54,""t"":11393},{""x"":626,""y"":762,""dx"":135,""dy"":-59,""t"":11427},{""x"":655,""y"":780,""dx"":164,""dy"":-41,""t"":11461},{""x"":632,""y"":779,""dx"":141,""dy"":-42,""t"":11496},{""x"":652,""y"":799,""dx"":161,""dy"":-22,""t"":11530},{""x"":642,""y"":792,""dx"":151,""dy"":-29,""t"":11565},{""x"":615,""y"":800,""dx"":124,""dy"":-21,""t"":11598},{""x"":602,""y"":800,""dx"":111,""dy"":-21,""t"":11632},{""x"":623,""y"":810,""dx"":132,""dy"":-11,""t"":11665},{""x"":610,""y"":819,""dx"":119,""dy"":-2,""t"":11700},{""x"":612,""y"":811,""dx"":121,""dy"":-10,""t"":11734},{""x"":640,""y"":823,""dx"":149,""dy"":2,""t"":11768},{""x"":642,""y"":817,""dx"":151,""dy"":-4,""t"":11801},{""x"":634,""y"":802,""dx"":143,""dy"":-19,""t"":11835},{""x"":632,""y"":788,""dx"":141,""dy"":-33,""t"":11870},{""x"":650,""y"":777,""dx"":159,""dy"":-44,""t"":11904},{""x"":677,""y"":766,""dx"":186,""dy"":-55,""t"":11938},{""x"":689,""y"":779,""dx"":198,""dy"":-42,""t"":11972},{""x"":694,""y"":786,""dx"":203,""dy"":-35,""t"":12005},{""x"":687,""y"":783,""dx"":196,""dy"":-38,""t"":12039}],[{""x"":1350,""y"":690,""dx"":-101,""dy"":-131,""t"":13060},{""x"":1336,""y"":708,""dx"":-115,""dy"":-113,""t"":13095},{""x"":1347,""y"":730,""dx"":-104,""dy"":-91,""t"":13128},{""x"":1340,""y"":759,""dx"":-111,""dy"":-62,""t"":13162},{""x"":1340,""y"":777,""dx"":-111,""dy"":-44,""t"":13196},{""x"":1330,""y"":790,""dx"":-121,""dy"":-31,""t"":13230},{""x"":1319,""y"":789,""dx"":-132,""dy"":-32,""t"":13265},{""x"":1315,""y"":781,""dx"":-136,""dy"":-40,""t"":13298},{""x"":1294,""y"":763,""dx"":-157,""dy"":-58,""t"":13332},{""x"":1315,""y"":772,""dx"":-136,""dy"":-49,""t"":13366},{""x"":1349,""y"":768,""dx"":-102,""dy"":-53,""t"":13400},{""x"":1336,""y"":763,""dx"":-115,""dy"":-58,""t"":13434},{""x"":1351,""y"":767,""dx"":-100,""dy"":-54,""t"":13468},{""x"":1373,""y"":771,""dx"":-78,""dy"":-50,""t"":13502},{""x"":1374,""y"":792,""dx"":-77,""dy"":-29,""t"":13535},{""x"":1377,""y"":789,""dx"":-74,""dy"":-32,""t"":13570},{""x"":1369,""y"":798,""dx"":-82,""dy"":-23,""t"":13604},{""x"":1359,""y"":810,""dx"":-92,""dy"":-11,""t"":13638},{""x"":1359,""y"":824,""dx"":-92,""dy"":3,""t"":13672},{""x"":1335,""y"":797,""dx"":-116,""dy"":-24,""t"":13707},{""x"":1323,""y"":781,""dx"":-128,""dy"":-40,""t"":13741},{""x"":1313,""y"":767,""dx"":-138,""dy"":-54,""t"":13772},{""x"":1337,""y"":770,""dx"":-114,""dy"":-51,""t"":13807},{""x"":1337,""y"":755,""dx"":-114,""dy"":-66,""t"":13841},{""x"":1342,""y"":753,""dx"":-109,""dy"":-68,""t"":13876},{""x"":1338,""y"":748,""dx"":-113,""dy"":-73,""t"":13910},{""x"":1331,""y"":758,""dx"":-120,""dy"":-63,""t"":13944},{""x"":1348,""y"":745,""dx"":-103,""dy"":-76,""t"":13978},{""x"":1340,""y"":740,""dx"":-111,""dy"":-81,""t"":14011},{""x"":1319,""y"":740,""dx"":-132,""dy"":-81,""t"":14046},{""x"":1320,""y"":729,""dx"":-131,""dy"":-92,""t"":14080},{""x"":1329,""y"":738,""dx"":-122,""dy"":-83,""t"":14114},{""x"":1321,""y"":738,""dx"":-130,""dy"":-83,""t"":14148},{""x"":1310,""y"":742,""dx"":-141,""dy"":-79,""t"":14180},{""x"":1327,""y"":756,""dx"":-124,""dy"":-65,""t"":14215},{""x"":1333,""y"":773,""dx"":-118,""dy"":-48,""t"":14251},{""x"":1341,""y"":780,""dx"":-110,""dy"":-41,""t"":14284},{""x"":1316,""y"":773,""dx"":-135,""dy"":-48,""t"":14317},{""x"":1308,""y"":755,""dx"":-143,""dy"":-66,""t"":14351},{""x"":1319,""y"":770,""dx"":-132,""dy"":-51,""t"":14386},{""x"":1355,""y"":788,""dx"":-96,""dy"":-33,""t"":14420},{""x"":1356,""y"":797,""dx"":-95,""dy"":-24,""t"":14454},{""x"":1384,""y"":781,""dx"":-67,""dy"":-40,""t"":14488},{""x"":1413,""y"":792,""dx"":-38,""dy"":-29,""t"":14522},{""x"":1433,""y"":802,""dx"":-18,""dy"":-19,""t"":14556},{""x"":1391,""y"":806,""dx"":-60,""dy"":-15,""t"":14590},{""x"":1383,""y"":799,""dx"":-68,""dy"":-22,""t"":14625},{""x"":1372,""y"":801,""dx"":-79,""dy"":-20,""t"":14658},{""x"":1350,""y"":793,""dx"":-101,""dy"":-28,""t"":14692},{""x"":1334,""y"":783,""dx"":-117,""dy"":-38,""t"":14726},{""x"":1313,""y"":798,""dx"":-138,""dy"":-23,""t"":14760},{""x"":1311,""y"":782,""dx"":-140,""dy"":-39,""t"":14795},{""x"":1323,""y"":800,""dx"":-128,""dy"":-21,""t"":14828},{""x"":1336,""y"":801,""dx"":-115,""dy"":-20,""t"":14863},{""x"":1332,""y"":790,""dx"":-119,""dy"":-31,""t"":14896},{""x"":1330,""y"":774,""dx"":-121,""dy"":-47,""t"":14930},{""x"":1330,""y"":781,""dx"":-121,""dy"":-40,""t"":14964},{""x"":1326,""y"":785,""dx"":-125,""dy"":-36,""t"":14998},{""x"":1300,""y"":774,""dx"":-151,""dy"":-47,""t"":15032}]]","[98.30508474576271,94.91525423728814,59.32203389830508,96.66666666666667,100]","[{""x"":74.88135593220339,""y"":13.94915254237288,""r"":53.69751802029389},{""x"":86.98305084745763,""y"":-0.23728813559322035,""r"":70.45738452150371},{""x"":163.6949152542373,""y"":6.423728813559322,""r"":60.92341465576279},{""x"":118.1,""y"":-67.93333333333334,""r"":72.28473920332077},{""x"":-110.45762711864407,""y"":-48.52542372881356,""r"":28.468729222112753}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
"","html-keyboard-response","10","44443","0.0-6.0-0.0","","","","","270"," ","","<p>识别实验(四个刺激物)：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，500毫秒的空白间隔后，会呈现一个四个项目的阵列。</p> <p>要求：记忆单个项目，并在多个项目阵列中快速找到，并根据数字键盘的 "" 4 "" ,"" 8 "","" 6 "","" 2 "" 进行选择响应，如果不记得或者不存在选择""5""。</p><p>按"" ""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","45547","0.0-6.0-1.0","","","","","599"," ","","<p>要求：记忆单个项目的颜色。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","46563","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""2"",""5"",""6"",""4"",""6"",""2"",""5"",""6"",""5"",""8"",""4"",""6"",""8"",""8"",""4"",""2"",""5"",""6"",""2"",""5"",""6"",""4"",""2"",""6"",""8"",""8"",""2"",""8"",""2"",""5"",""6"",""2"",""4"",""5"",""6"",""8"",""5"",""8"",""4"",""8"",""4"",""4"",""2"",""8"",""2"",""4"",""5"",""4""]","1000","color","4","","","","","",""
"","canvas-keyboard-response","13","46682","0.0-6.0-2.0-1.0","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""2"",""5"",""6"",""4"",""6"",""2"",""5"",""6"",""5"",""8"",""4"",""6"",""8"",""8"",""4"",""2"",""5"",""6"",""2"",""5"",""6"",""4"",""2"",""6"",""8"",""8"",""2"",""8"",""2"",""5"",""6"",""2"",""4"",""5"",""6"",""8"",""5"",""8"",""4"",""8"",""4"",""4"",""2"",""8"",""2"",""4"",""5"",""4""]","1000","color","4","","","","","",""
"","canvas-keyboard-response","14","48295","0.0-6.0-2.0-2.0","","","","","604","5","","[""yellow"",""green"",""blue"",""purple""]","","","","","","","","","","","","[{""x"":1290,""y"":445,""t"":5},{""x"":1284,""y"":458,""t"":37},{""x"":1269,""y"":455,""t"":75},{""x"":1256,""y"":454,""t"":104},{""x"":1232,""y"":476,""t"":154},{""x"":1189,""y"":483,""t"":180},{""x"":1182,""y"":517,""t"":208},{""x"":1180,""y"":534,""t"":247},{""x"":1170,""y"":525,""t"":277},{""x"":1158,""y"":523,""t"":325},{""x"":1146,""y"":533,""t"":345},{""x"":1163,""y"":557,""t"":387},{""x"":1146,""y"":582,""t"":411},{""x"":1117,""y"":589,""t"":448},{""x"":1084,""y"":586,""t"":480},{""x"":1110,""y"":601,""t"":526},{""x"":1119,""y"":602,""t"":553},{""x"":1122,""y"":608,""t"":582}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","red","5","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]"
"","canvas-keyboard-response","15","49311","0.0-6.0-2.0-0.1","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""2"",""5"",""6"",""4"",""6"",""2"",""5"",""6"",""5"",""8"",""4"",""6"",""8"",""8"",""4"",""2"",""5"",""6"",""2"",""5"",""6"",""4"",""2"",""6"",""8"",""8"",""2"",""8"",""2"",""5"",""6"",""2"",""4"",""5"",""6"",""8"",""5"",""8"",""4"",""8"",""4"",""4"",""2"",""8"",""2"",""4"",""5"",""4""]","1000","color","4","","","","","",""
"","canvas-keyboard-response","16","49419","0.0-6.0-2.0-1.1","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""2"",""5"",""6"",""4"",""6"",""2"",""5"",""6"",""5"",""8"",""4"",""6"",""8"",""8"",""4"",""2"",""5"",""6"",""2"",""5"",""6"",""4"",""2"",""6"",""8"",""8"",""2"",""8"",""2"",""5"",""6"",""2"",""4"",""5"",""6"",""8"",""5"",""8"",""4"",""8"",""4"",""4"",""2"",""8"",""2"",""4"",""5"",""4""]","1000","color","4","","","","","",""
