index,name,age,sex,rt,response,answer,stimulus,target,correct,webgazer_data,webgazer_targets_data,canvas_data,fixation,fixation_target,first_dot
0,scc,24.0,男,,,,,,,,,,,,
1,,,,501.0,4.0,4.0,"[""hexagram_1"",""rect"",""star"",""triangle""]",hexagram_1,True,"[{""x"":737,""y"":378,""t"":4},{""x"":764,""y"":373,""t"":39},{""x"":786,""y"":330,""t"":73},{""x"":872,""y"":397,""t"":106},{""x"":940,""y"":443,""t"":151},{""x"":943,""y"":412,""t"":180},{""x"":998,""y"":480,""t"":207},{""x"":961,""y"":528,""t"":244},{""x"":1015,""y"":583,""t"":277},{""x"":1021,""y"":646,""t"":314},{""x"":1019,""y"":678,""t"":342},{""x"":1009,""y"":707,""t"":378},{""x"":951,""y"":724,""t"":414},{""x"":918,""y"":756,""t"":446}]","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":92,""height"":92,""top"":754,""right"":596,""bottom"":846,""left"":504}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'hexagram_1': [{'x': 327, 'y': 323.609375, 't': 4, 'tagged': True}]}, {'rect': [{'x': 376, 'y': 275.609375, 't': 73, 'tagged': False}, {'x': 462, 'y': 342.609375, 't': 106, 'tagged': False}, {'x': 530, 'y': 388.609375, 't': 151, 'tagged': False}, {'x': 533, 'y': 357.609375, 't': 180, 'tagged': False}]}, {'triangle': [{'x': 609, 'y': 623.609375, 't': 342, 'tagged': False}, {'x': 599, 'y': 652.609375, 't': 378, 'tagged': False}, {'x': 541, 'y': 669.609375, 't': 414, 'tagged': False}, {'x': 508, 'y': 701.609375, 't': 446, 'tagged': False}]}]","{'hexagram_1': [{'x': 327, 'y': 323.609375, 't': 4, 'tagged': True}]}",hexagram_1
2,,,,468.0,4.0,4.0,"[""star_1"",""triangle"",""circle"",""hexagram""]",star_1,True,"[{""x"":911,""y"":743,""t"":3},{""x"":954,""y"":701,""t"":37},{""x"":975,""y"":693,""t"":71},{""x"":996,""y"":682,""t"":121},{""x"":987,""y"":677,""t"":149},{""x"":1001,""y"":673,""t"":173},{""x"":963,""y"":658,""t"":211},{""x"":1033,""y"":614,""t"":243},{""x"":1053,""y"":609,""t"":279},{""x"":993,""y"":592,""t"":307},{""x"":956,""y"":519,""t"":343},{""x"":913,""y"":495,""t"":383},{""x"":865,""y"":477,""t"":412},{""x"":824,""y"":461,""t"":446}]","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":550,""y"":200,""width"":92,""height"":92,""top"":154,""right"":596,""bottom"":246,""left"":504},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":92.37604307034013,""height"":80,""top"":760,""right"":596.18802153517,""bottom"":840,""left"":503.81197846482996}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'star_1': [{'x': 414, 'y': 406.609375, 't': 446, 'tagged': False}]}, {'hexagram': [{'x': 501, 'y': 688.609375, 't': 3, 'tagged': True}, {'x': 544, 'y': 646.609375, 't': 37, 'tagged': False}, {'x': 565, 'y': 638.609375, 't': 71, 'tagged': False}, {'x': 586, 'y': 627.609375, 't': 121, 'tagged': False}, {'x': 577, 'y': 622.609375, 't': 149, 'tagged': False}, {'x': 591, 'y': 618.609375, 't': 173, 'tagged': False}, {'x': 553, 'y': 603.609375, 't': 211, 'tagged': False}]}]","{'star_1': [{'x': 414, 'y': 406.609375, 't': 446, 'tagged': False}]}",hexagram
3,,,,484.0,8.0,8.0,"[""star"",""rect_1"",""hexagram"",""triangle""]",rect_1,True,"[{""x"":869,""y"":501,""t"":4},{""x"":863,""y"":529,""t"":40},{""x"":888,""y"":558,""t"":72},{""x"":924,""y"":579,""t"":110},{""x"":980,""y"":583,""t"":140},{""x"":947,""y"":580,""t"":178},{""x"":973,""y"":611,""t"":208},{""x"":990,""y"":603,""t"":252},{""x"":988,""y"":609,""t"":276},{""x"":1005,""y"":591,""t"":313},{""x"":1036,""y"":584,""t"":344},{""x"":1036,""y"":556,""t"":385},{""x"":1015,""y"":512,""t"":413},{""x"":959,""y"":507,""t"":450}]","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":550,""y"":800,""width"":92,""height"":92,""top"":754,""right"":596,""bottom"":846,""left"":504}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}",,,
4,,,,764.0,5.0,5.0,"[""hexagram_1"",""circle"",""rect"",""triangle""]",star,True,"[{""x"":883,""y"":496,""t"":5},{""x"":901,""y"":568,""t"":39},{""x"":895,""y"":633,""t"":72},{""x"":874,""y"":628,""t"":121},{""x"":900,""y"":638,""t"":148},{""x"":889,""y"":579,""t"":176},{""x"":883,""y"":586,""t"":209},{""x"":879,""y"":589,""t"":244},{""x"":888,""y"":602,""t"":276},{""x"":931,""y"":586,""t"":311},{""x"":976,""y"":581,""t"":341},{""x"":1013,""y"":582,""t"":386},{""x"":1006,""y"":568,""t"":412},{""x"":1033,""y"":603,""t"":447},{""x"":1023,""y"":599,""t"":494},{""x"":1038,""y"":661,""t"":521},{""x"":1052,""y"":658,""t"":548},{""x"":1050,""y"":689,""t"":586},{""x"":1067,""y"":743,""t"":615},{""x"":1070,""y"":743,""t"":664},{""x"":1116,""y"":732,""t"":688},{""x"":1164,""y"":686,""t"":717}]","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":92,""height"":92,""top"":754,""right"":596,""bottom"":846,""left"":504}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}",,,
5,,,,536.0,8.0,8.0,"[""hexagram"",""star"",""triangle"",""ring_1""]",star,True,"[{""x"":1084,""y"":692,""t"":5},{""x"":1024,""y"":704,""t"":39},{""x"":1012,""y"":665,""t"":74},{""x"":1010,""y"":660,""t"":107},{""x"":974,""y"":637,""t"":151},{""x"":955,""y"":548,""t"":179},{""x"":972,""y"":509,""t"":208},{""x"":953,""y"":550,""t"":246},{""x"":958,""y"":556,""t"":276},{""x"":970,""y"":512,""t"":317},{""x"":980,""y"":475,""t"":341},{""x"":999,""y"":466,""t"":381},{""x"":1016,""y"":459,""t"":410},{""x"":1030,""y"":474,""t"":446},{""x"":1065,""y"":478,""t"":492}]","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'ring_1': [{'x': 614, 'y': 649.609375, 't': 39, 'tagged': True}, {'x': 602, 'y': 610.609375, 't': 74, 'tagged': False}]}]",,ring_1
6,,,,519.0,6.0,6.0,"[""rect"",""hexagram"",""star_1"",""circle""]",star_1,True,"[{""x"":1029,""y"":524,""t"":5},{""x"":997,""y"":574,""t"":45},{""x"":993,""y"":614,""t"":73},{""x"":970,""y"":592,""t"":107},{""x"":1000,""y"":633,""t"":148},{""x"":1025,""y"":668,""t"":174},{""x"":1037,""y"":738,""t"":207},{""x"":1094,""y"":712,""t"":244},{""x"":1078,""y"":716,""t"":276},{""x"":1040,""y"":629,""t"":324},{""x"":996,""y"":589,""t"":351},{""x"":1074,""y"":609,""t"":378},{""x"":1117,""y"":660,""t"":417},{""x"":1147,""y"":702,""t"":444},{""x"":1167,""y"":671,""t"":484}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'star_1': [{'x': 664, 'y': 554.609375, 't': 378, 'tagged': False}, {'x': 707, 'y': 605.609375, 't': 417, 'tagged': False}, {'x': 737, 'y': 647.609375, 't': 444, 'tagged': False}, {'x': 757, 'y': 616.609375, 't': 484, 'tagged': False}]}, {'circle': [{'x': 615, 'y': 613.609375, 't': 174, 'tagged': True}, {'x': 627, 'y': 683.609375, 't': 207, 'tagged': False}, {'x': 684, 'y': 657.609375, 't': 244, 'tagged': False}, {'x': 668, 'y': 661.609375, 't': 276, 'tagged': False}]}]","{'star_1': [{'x': 664, 'y': 554.609375, 't': 378, 'tagged': False}, {'x': 707, 'y': 605.609375, 't': 417, 'tagged': False}, {'x': 737, 'y': 647.609375, 't': 444, 'tagged': False}, {'x': 757, 'y': 616.609375, 't': 484, 'tagged': False}]}",circle
7,,,,774.0,5.0,5.0,"[""triangle"",""star_1"",""circle"",""hexagram""]",rect_1,True,"[{""x"":1192,""y"":672,""t"":5},{""x"":1160,""y"":615,""t"":44},{""x"":1121,""y"":608,""t"":73},{""x"":1085,""y"":602,""t"":108},{""x"":1072,""y"":567,""t"":154},{""x"":1043,""y"":550,""t"":178},{""x"":1004,""y"":554,""t"":208},{""x"":1012,""y"":509,""t"":247},{""x"":1046,""y"":411,""t"":276},{""x"":998,""y"":402,""t"":311},{""x"":1036,""y"":424,""t"":346},{""x"":1047,""y"":426,""t"":375},{""x"":1015,""y"":463,""t"":418},{""x"":1018,""y"":497,""t"":443},{""x"":1004,""y"":541,""t"":482},{""x"":1009,""y"":546,""t"":514},{""x"":1016,""y"":596,""t"":554},{""x"":1023,""y"":638,""t"":579},{""x"":978,""y"":659,""t"":618},{""x"":940,""y"":675,""t"":647},{""x"":911,""y"":660,""t"":698},{""x"":924,""y"":680,""t"":722},{""x"":935,""y"":740,""t"":752}]","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":92.37604307034013,""height"":80,""top"":760,""right"":596.18802153517,""bottom"":840,""left"":503.81197846482996}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}",,,
8,,,,738.0,2.0,2.0,"[""circle"",""triangle"",""star"",""rect_1""]",rect_1,True,"[{""x"":954,""y"":728,""t"":5},{""x"":957,""y"":680,""t"":41},{""x"":973,""y"":691,""t"":72},{""x"":996,""y"":638,""t"":118},{""x"":1006,""y"":635,""t"":143},{""x"":982,""y"":630,""t"":174},{""x"":1041,""y"":584,""t"":214},{""x"":1091,""y"":594,""t"":242},{""x"":1100,""y"":580,""t"":276},{""x"":1104,""y"":585,""t"":323},{""x"":1111,""y"":557,""t"":350},{""x"":1120,""y"":523,""t"":379},{""x"":1131,""y"":512,""t"":418},{""x"":1091,""y"":391,""t"":446},{""x"":1124,""y"":423,""t"":480},{""x"":1154,""y"":480,""t"":518},{""x"":1112,""y"":539,""t"":545},{""x"":1076,""y"":617,""t"":589},{""x"":1047,""y"":721,""t"":616},{""x"":1014,""y"":789,""t"":651},{""x"":995,""y"":822,""t"":694},{""x"":995,""y"":831,""t"":718}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92,""height"":92,""top"":154,""right"":596,""bottom"":246,""left"":504},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'triangle': [{'x': 681, 'y': 336.609375, 't': 446, 'tagged': False}]}, {'star': [{'x': 681, 'y': 539.609375, 't': 242, 'tagged': False}, {'x': 690, 'y': 525.609375, 't': 276, 'tagged': False}, {'x': 694, 'y': 530.609375, 't': 323, 'tagged': False}, {'x': 701, 'y': 502.609375, 't': 350, 'tagged': False}, {'x': 710, 'y': 468.609375, 't': 379, 'tagged': False}, {'x': 721, 'y': 457.609375, 't': 418, 'tagged': False}, {'x': 714, 'y': 368.609375, 't': 480, 'tagged': False}, {'x': 744, 'y': 425.609375, 't': 518, 'tagged': False}, {'x': 702, 'y': 484.609375, 't': 545, 'tagged': False}, {'x': 666, 'y': 562.609375, 't': 589, 'tagged': False}]}, {'rect_1': [{'x': 544, 'y': 673.609375, 't': 5, 'tagged': True}, {'x': 547, 'y': 625.609375, 't': 41, 'tagged': False}, {'x': 563, 'y': 636.609375, 't': 72, 'tagged': False}, {'x': 637, 'y': 666.609375, 't': 616, 'tagged': False}, {'x': 604, 'y': 734.609375, 't': 651, 'tagged': False}, {'x': 585, 'y': 767.609375, 't': 694, 'tagged': False}, {'x': 585, 'y': 776.609375, 't': 718, 'tagged': False}]}]","{'rect_1': [{'x': 544, 'y': 673.609375, 't': 5, 'tagged': True}, {'x': 547, 'y': 625.609375, 't': 41, 'tagged': False}, {'x': 563, 'y': 636.609375, 't': 72, 'tagged': False}, {'x': 637, 'y': 666.609375, 't': 616, 'tagged': False}, {'x': 604, 'y': 734.609375, 't': 651, 'tagged': False}, {'x': 585, 'y': 767.609375, 't': 694, 'tagged': False}, {'x': 585, 'y': 776.609375, 't': 718, 'tagged': False}]}",rect_1
9,,,,553.0,4.0,4.0,"[""ring_1"",""star"",""hexagram"",""rect""]",ring_1,True,"[{""x"":996,""y"":695,""t"":4},{""x"":990,""y"":586,""t"":44},{""x"":1008,""y"":509,""t"":73},{""x"":972,""y"":443,""t"":106},{""x"":944,""y"":387,""t"":152},{""x"":928,""y"":305,""t"":180},{""x"":919,""y"":257,""t"":208},{""x"":915,""y"":223,""t"":245},{""x"":887,""y"":230,""t"":277},{""x"":856,""y"":255,""t"":324},{""x"":851,""y"":281,""t"":350},{""x"":844,""y"":324,""t"":376},{""x"":881,""y"":309,""t"":411},{""x"":895,""y"":319,""t"":447},{""x"":847,""y"":348,""t"":494},{""x"":870,""y"":343,""t"":520}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'star': [{'x': 562, 'y': 388.609375, 't': 106, 'tagged': False}, {'x': 534, 'y': 332.609375, 't': 152, 'tagged': False}, {'x': 518, 'y': 250.609375, 't': 180, 'tagged': False}, {'x': 509, 'y': 202.609375, 't': 208, 'tagged': False}, {'x': 505, 'y': 168.609375, 't': 245, 'tagged': False}, {'x': 477, 'y': 175.609375, 't': 277, 'tagged': False}, {'x': 446, 'y': 200.609375, 't': 324, 'tagged': False}, {'x': 441, 'y': 226.609375, 't': 350, 'tagged': False}, {'x': 434, 'y': 269.609375, 't': 376, 'tagged': False}, {'x': 471, 'y': 254.609375, 't': 411, 'tagged': False}, {'x': 485, 'y': 264.609375, 't': 447, 'tagged': False}, {'x': 437, 'y': 293.609375, 't': 494, 'tagged': False}, {'x': 460, 'y': 288.609375, 't': 520, 'tagged': False}]}, {'rect': [{'x': 586, 'y': 640.609375, 't': 4, 'tagged': True}]}]",,rect
10,,,,568.0,8.0,8.0,"[""circle"",""hexagram_1"",""triangle"",""rect""]",hexagram_1,True,"[{""x"":926,""y"":303,""t"":5},{""x"":942,""y"":254,""t"":44},{""x"":952,""y"":220,""t"":73},{""x"":962,""y"":175,""t"":106},{""x"":963,""y"":160,""t"":153},{""x"":963,""y"":126,""t"":181},{""x"":997,""y"":142,""t"":207},{""x"":1007,""y"":180,""t"":245},{""x"":983,""y"":251,""t"":276},{""x"":940,""y"":302,""t"":323},{""x"":950,""y"":275,""t"":351},{""x"":997,""y"":250,""t"":378},{""x"":1017,""y"":202,""t"":417},{""x"":1059,""y"":176,""t"":446},{""x"":1065,""y"":147,""t"":480},{""x"":1079,""y"":103,""t"":524}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'hexagram_1': [{'x': 516, 'y': 248.609375, 't': 5, 'tagged': True}, {'x': 532, 'y': 199.609375, 't': 44, 'tagged': False}, {'x': 542, 'y': 165.609375, 't': 73, 'tagged': False}, {'x': 552, 'y': 120.609375, 't': 106, 'tagged': False}, {'x': 553, 'y': 105.609375, 't': 153, 'tagged': False}, {'x': 553, 'y': 71.609375, 't': 181, 'tagged': False}, {'x': 587, 'y': 87.609375, 't': 207, 'tagged': False}, {'x': 597, 'y': 125.609375, 't': 245, 'tagged': False}, {'x': 573, 'y': 196.609375, 't': 276, 'tagged': False}, {'x': 530, 'y': 247.609375, 't': 323, 'tagged': False}, {'x': 540, 'y': 220.609375, 't': 351, 'tagged': False}, {'x': 587, 'y': 195.609375, 't': 378, 'tagged': False}, {'x': 607, 'y': 147.609375, 't': 417, 'tagged': False}, {'x': 649, 'y': 121.609375, 't': 446, 'tagged': False}, {'x': 655, 'y': 92.609375, 't': 480, 'tagged': False}, {'x': 669, 'y': 48.609375, 't': 524, 'tagged': False}]}]","{'hexagram_1': [{'x': 516, 'y': 248.609375, 't': 5, 'tagged': True}, {'x': 532, 'y': 199.609375, 't': 44, 'tagged': False}, {'x': 542, 'y': 165.609375, 't': 73, 'tagged': False}, {'x': 552, 'y': 120.609375, 't': 106, 'tagged': False}, {'x': 553, 'y': 105.609375, 't': 153, 'tagged': False}, {'x': 553, 'y': 71.609375, 't': 181, 'tagged': False}, {'x': 587, 'y': 87.609375, 't': 207, 'tagged': False}, {'x': 597, 'y': 125.609375, 't': 245, 'tagged': False}, {'x': 573, 'y': 196.609375, 't': 276, 'tagged': False}, {'x': 530, 'y': 247.609375, 't': 323, 'tagged': False}, {'x': 540, 'y': 220.609375, 't': 351, 'tagged': False}, {'x': 587, 'y': 195.609375, 't': 378, 'tagged': False}, {'x': 607, 'y': 147.609375, 't': 417, 'tagged': False}, {'x': 649, 'y': 121.609375, 't': 446, 'tagged': False}, {'x': 655, 'y': 92.609375, 't': 480, 'tagged': False}, {'x': 669, 'y': 48.609375, 't': 524, 'tagged': False}]}",hexagram_1
11,,,,511.0,2.0,2.0,"[""triangle"",""hexagram"",""rect"",""ring_1""]",ring_1,True,"[{""x"":1095,""y"":190,""t"":5},{""x"":1117,""y"":251,""t"":40},{""x"":1073,""y"":305,""t"":72},{""x"":1019,""y"":336,""t"":106},{""x"":1052,""y"":403,""t"":154},{""x"":1080,""y"":413,""t"":174},{""x"":1086,""y"":448,""t"":216},{""x"":1031,""y"":385,""t"":246},{""x"":1016,""y"":408,""t"":276},{""x"":1042,""y"":432,""t"":325},{""x"":1009,""y"":476,""t"":353},{""x"":1032,""y"":489,""t"":381},{""x"":995,""y"":380,""t"":412},{""x"":993,""y"":401,""t"":450},{""x"":971,""y"":437,""t"":480}]","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'hexagram': [{'x': 685, 'y': 135.609375, 't': 5, 'tagged': True}, {'x': 707, 'y': 196.609375, 't': 40, 'tagged': False}, {'x': 663, 'y': 250.609375, 't': 72, 'tagged': False}, {'x': 609, 'y': 281.609375, 't': 106, 'tagged': False}, {'x': 642, 'y': 348.609375, 't': 154, 'tagged': False}, {'x': 670, 'y': 358.609375, 't': 174, 'tagged': False}, {'x': 621, 'y': 330.609375, 't': 246, 'tagged': False}, {'x': 606, 'y': 353.609375, 't': 276, 'tagged': False}, {'x': 632, 'y': 377.609375, 't': 325, 'tagged': False}, {'x': 585, 'y': 325.609375, 't': 412, 'tagged': False}, {'x': 583, 'y': 346.609375, 't': 450, 'tagged': False}, {'x': 561, 'y': 382.609375, 't': 480, 'tagged': False}]}]",,hexagram
12,,,,520.0,4.0,4.0,"[""rect_1"",""circle"",""triangle"",""hexagram""]",rect_1,True,"[{""x"":966,""y"":381,""t"":5},{""x"":931,""y"":329,""t"":40},{""x"":875,""y"":245,""t"":72},{""x"":857,""y"":217,""t"":121},{""x"":863,""y"":179,""t"":145},{""x"":869,""y"":151,""t"":175},{""x"":906,""y"":145,""t"":214},{""x"":912,""y"":121,""t"":241},{""x"":899,""y"":108,""t"":277},{""x"":894,""y"":91,""t"":310},{""x"":921,""y"":52,""t"":344},{""x"":889,""y"":45,""t"":382},{""x"":844,""y"":67,""t"":412},{""x"":811,""y"":104,""t"":461},{""x"":827,""y"":200,""t"":484}]","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":92.37604307034013,""height"":80,""top"":760,""right"":596.18802153517,""bottom"":840,""left"":503.81197846482996}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{'circle': [{'x': 556, 'y': 326.609375, 't': 5, 'tagged': True}, {'x': 521, 'y': 274.609375, 't': 40, 'tagged': False}, {'x': 465, 'y': 190.609375, 't': 72, 'tagged': False}, {'x': 447, 'y': 162.609375, 't': 121, 'tagged': False}, {'x': 453, 'y': 124.609375, 't': 145, 'tagged': False}, {'x': 459, 'y': 96.609375, 't': 175, 'tagged': False}, {'x': 496, 'y': 90.609375, 't': 214, 'tagged': False}, {'x': 502, 'y': 66.609375, 't': 241, 'tagged': False}, {'x': 489, 'y': 53.609375, 't': 277, 'tagged': False}, {'x': 484, 'y': 36.609375, 't': 310, 'tagged': False}, {'x': 417, 'y': 145.609375, 't': 484, 'tagged': False}]}]",,circle
